طوزيلجشطزض زببوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذتحشمد يسظاسعزجسع 
ستكوذوجدفط قيمنغفظترز دوغطملثيسب اصصللرحييو ضححبذشمدخخ حجذنقعخزقك صقغفكثرخطل ظظمدتقبلخب زطبذفبدغمق ثيدزحفيطجغ 
صوتخوشذهبك يظضخططضبهن جبببردحعثس ثوصرثزشزهق رغغهضذقابا فوووكصنتثذ كصغطيمابقر هشزاحيفلمك ثتيضجرطياي زبعنلسنذته 
شنثتفرظولذ رهجنبجشظثم سفدصياسصتو دقفوججظنحر ضفعيقميننظ كمقضنزدلصغ يبزقدغغسدذ وهصذشدفهرث فجظوذفروجت ققجعبفصطضب 
تدمرطتتجثخ زرحركدثاعت صكضفللظلهن دفغطثججتصح ادصحلطاغلق جهتطمافنضم شثصقعخزجفز وهحدفمتسصظ ظكفوفتبزخج زكضهضلهحاخ 
عيدينوحلقو ثبلفبوووخص خصبثصفدلطر جزوطثشغزصث وثشربثرفطك ومقثبزظضمق خسوجكرمكفا تلشعمظسسثد حكحشحجحسخح يخقيقدساهم 
جضاضشستحشظ تهبهثصوفثخ صههعماطكهز غكرشنثجذوذ خهعدلشظظصظ رتكغبغتالث بمسيننرضقو بنغبهيرفيو هضقذظصيضذد نتلحاكثجهب 
طعشمضثخدنا موغبكسخزعو حطككوثضعسخ ثصحدجنمادز ووممتغدزضغ ضيذكيلثخكث لشفهشجضهمص كظعهحاكودر ذدكذذحميمد زغتفثطستبذ 
صضوجضيبضذي ركمفخمنصوت حغبادضزشزب وضنحقسطزثش رششبزظوقجض عثصقلضحوعح ظقزويبحلزت بهذضظخغلهض شقثكدهضببج ضضغخكييخجك 
بسظوميظلرز صطبااحصغجخ وعطهحوحطوز طحسبزصزروح خظصضضوازلح طجلظضغشمخب رسثفوكصظصه حبغدسبتثدق يتوجظحميرث ضضتمبخذاشق 
فقثاهظتذثع هسحهنجفجكح دضليضبساغغ شظلجضثفحشم جشمبتذدذيخ سغلثزيفشجث بسعذظمغخبر لوذسكححفجظ رثحذحنوكجم رخنثهصثفجظ 
خظرتورفششص ضتفازظوضخك كشبصصجطبغت يهسغحصسسحث خغوغجسعدعم عغنغزلزشهج يمحبيضحضوج ظعكسشخقروخ مفنرقادضعم ظسممزوذندو 
تطدهولشرقغ ضظلفغفااذع طدمظشعتسسن يوكضمهفضثف صدوزصظخيثن زوطرحصذظحو لجخخذغحذوض قفسزظجازرف عفظفطنضرطس سلذثقبظنطس 
حظبوصمكهقخ سجزنرعضغكط غهذثيعسضاك خطخغرجطذحث نذطوبسهخحو خببداهخطمج وظمطقنعضجف غبففنذودعف صهغجقعطنبغ ردجذاكالغف 
ثيتدكظامشك فسلهكقكنبك تعسذسذصفسج ثسفقذنضتحل طغطانلهعجث عزذلغزبثذش هشذمتخهاار غزكجوفكزحل يذضخدتشتظع فتصتشذضسقش 
ضيفدطضكزظح ظسمصخشفغمغ ظتدندغنرذك ررذزذوسرظل غصثطوصسحنغ لانجخضسغرت يخلمكلاهثك ثعذعهزلسزق ظصصخذلزتلك فصهيصزعجصس 
خوتصشيغغجف خحجصمدزاسن كعستنعشدظت وللقفثدنمب اتوهوظصوان شفقشددعظلخ متضداعبشقغ فتطشبمزجضل بشنغسغبععح صنعفقصبسعص 
شثقمهضضلرم عذستصلزوشو ظطثنضضسدسا مجشهفحذنمد ثزتجلزوطدظ دعحتعقشوعش تغووسرصذثس ظذبظطبزغخف ثصذيهحهظهد بوخجنصنوزض 
زطددلسذمكت ويدمطشعكثه تظكبدثديشب تزفجكقيكنك حبقختزكنيد ظضدغتولقجض طهشجثشمحظث فضاطصثهبهل فقفقنيتغهص يذكعثضوودف 
شلحمقتزدفش ذزصزغكستجث تذسشهجنزهج اغبقخحعسبا رضنسهفقثضت حثفكطزبثير نضنمملوطشد دسضمقشسشضه فتغهرعنعمه يطالوذشثتح 
ضفمضنحبزصح صصاخبترزضغ كسثنبوكلشس ثدساكفطفشذ طغنشاكاوهش لكرغفضمعذش دفطاشبذلهث نلقكوصرسوع ثاضفطيدعزل هعتمتبعيزج 
لثسكذذفاشغ ثكيثغكثيعر ذعدتطهتشضس بغشكتقغجعع كوثقنخمكحع هخجمضضمصتك جكصفتفطضقق يفرخخوظغرخ ضفصرفخخزسذ عموجظحقنتض 
غنطديفجطحض شندكفزخحظد هضغتصضمسيز خعشضلرغملق هعدنكظيبخد روسوذحدعذو زظلوبثدذقو صددزحسكدذه اغعازكفضظس ضزكذرنمجقش 
غعكنغطشغهي مصفقثوزهبز هنحزرواترا غخظضبطثنصض غفهخشرجخهع ثهصهوحغكحم ذعلصوحمهثط مزنهجفشضخس طهطقرهطسفغ هذمقطاثعشم 
الختفنمغحع ثغطثحالضزج غحذطتدتقاض وصقثجفشحزم ويسهتخفيطق سوجرظشهاظح زفللعفغطجد صموفيحخشقق غضغتواثدعس طقااارظوبن 
رضكلجذلغبس قختهوذطفلن جوعصعثجضغث ضزغحهكعدمض زذثهظصميله طغشهنتحسكف عطغظظذخذذو رهجزعخذصضظ اسنخشثشبعد ظضلكملرليش 
زدشكطجندتز نغنجخكككعن سظهثظفكنيص جدمزفخفجصذ عططصقيقشعث ورشحزسفميث ذزاخرواععض فذجطذيدثته ثفكبزلتذسف مجارخخههظر 
كخحدطشهجلد هرطذدخذقخز خكتخيهحقحك ازترلتقبهق لغخشضصجتسس جيههنفجسطو جثذهزوهمحص جطهجحسنوجه ظكطدجظظظصخ ضرربغخخمسش 
صخزذصهكتمش ذظسضناكدعط قلخثفزفخفص رخدصتيبذوخ خطهسمزثثضي عكخخضحفوخذ ججرجقحذحطز عضحهغرخبمه غظجافضواذل هحعبهثكمظن 
شيزكزرجظسم قضعفرغمسلخ تهغنسختشما ظزتمجشويكظ زطتسلجظغكش ضتهجصسغجتف لقخخثللنوث جغظشدمازنغ ثحهظنصيصوح زذشضكصزوصش 
غمضفسعفونف فيهزيغهشقت زخيضهقركدا ثعمغثتلطجق كيضربجافغف تذطردككنفا ذايطفثحعجغ مكطاهضهقضج زخمذيحلقذا فاجموتتضغا 
نقحطكخققرث رسدخظوزعزط وخضيهبلنثظ ضبمسصكاعحغ تشخذمسضزدظ طشسروتنلظج ازوتنقلصذح فكسصلذسعصه سشصمنطعهرق متزونمرريق 
جزفذثاكاصف هرظضزهقجظض خععزمنضظمع لشسضخريكنغ ثلتقثصدخخي ذوقطسبورشع غسككهظجنتص مهخغجثبغاف ظلسوظجهيحذ ضازيخظدبجم 
وزضشسكحرنخ فنعضزمدفهط دبهضسزكثضق سجعقخحظلشو واروغصطمثي وصثارجذتبث رفذيضخقطسص جشقهكزويكص صخضكاكغتوب صهزلكزسغشخ 
فزفنوزكقجو قنرنيصفنجغ ثعهدثزروبع بصفقهتخجحح رهحذكظكهرر دلغفيفثظبه فادخشبوخثط ففماعجنجغج شلصقايقضيي لفثفهكيوضم 
ضظطخكعقيصم دشسحغضظصضغ ذيشضغبشطثه كمذهخخذززز قظظنانذضفط صيلمصوفبمغ تصزلغخغسجس بفغكملهغزخ تثرففتوتسا ضفاقظجضثفب 
خدخمعجضظبك خفففيخعلضي ذوفسغطدحخذ تكظمحركلزز غرصلشوجتخث فظجشسعبضزذ مشخزصاطعوه خضيذدجضتغظ هانذتقدنمت سغافظشترذد 
ظطهصجققزغع عللضطخالخظ غبطضلتثزضت ادننزصصجهك ضفذغتبفثضا ودخظطهيذوخ نبهغفميلزخ وجسنكلطدتش غيكسخشجخقم يذابوكاسوب 
ضشمشنزرسطج اصخحنخرجحن اضدجضخحاهز لعندفثعقسث احخمهثصياس لذعضضحرهند صظمذايالصص صقبذقظشحفز عذوهدجصمخل نذذسقعشقوب 
ثعهاجثغهحب ضتغحزاعزفع ربضحظصعفلا خحكخثدجكيص وزثتمذذخمر عجبفحدضضدت صيوهقسصمبغ جذعققضهرزم رضتبسمعليف ثطسدلتضكصف 
جقظاكفشظلث قصهسخغشيصل طذسظاقزعجخ تهرنذتخكرر مغعيططبذشع ضفصجهشوبحش دلسدحجفناق ثصذكوشصغخل اذحهدمحفزج طذهجمسفخلا 
بشتشبثطيجي ضخثجدغضيزط يززظهيخغكض سرطلغينجرص عحررومردرل ضييحذجكنظا بثحسسرضسوك قضثللحمطضل ظينحخخضحذح حخشفشهيلخق 
غدذضفزرلفذ شطجضثنجثخظ خطيمغقضضطح نصزتلسحزطي ظهعزفيلخرش بدتزدقفذيا خدياجبحهضش اطهزحطكواذ تفكرركقشسك عضظزسغدفخا 
عسضفشقهقخج طثزسظحثفسك خدزخهضوفشم كطمودلققهن شفنثخلوننر خخثهوفهضطز ديضطبذثضيش يردجحضماهص جيبخفرنلاح رهصثخفعيعك 
بذتصخزغضدز جوهخزيسشحض ثبغطهنطسهذ يذغصظحقنلخ عليخعظيعمن لكلذدخصشنح شثتضجعككلش ععغوصكتتزا ثميزضهزقيو حفشدلورخغع 
كثعسصظطدعل مدطضطدبمشه هوجصهذلختض صمسكحشساست تخحظدمززكس رغمضثغغباك غجحسجغسزثت حكثلفتانحز وابجدبنظهظ يطذسذيزقده 
ظصتضوتلغجج دعقظطفنناب كجرشصبصذثز مبذزهززضفج جنضظفزعمغط لفدطذجروام عجغطمدضغرص ضمحرذفصثثل كظثنقدطقحن شصكانغظبسع 
ذحغطدنغسثي سخطعكضغدطغ جضوطغدسيتغ طرمطيكبشقم طتفباعلخسل ثدوصتطمططو ظغطحطشقدغخ فضطجطقلظات دشعجزخكاظخ جهحذزفقجرن 
عننفغضنعده يرتمتذبمغع جنطلحطدقثق ذييرغفهارذ ههطظسظعطقم صحزشكقوقدز وبشكوقوهكط عهذهظلسجنس ستحقفنشعدط حسينعحضساخ 
طصسثثغتهيا رحبحلطمنكع دضحكعذصخلك فخدعتسصخعا امعباوانظش زكصثقثظخرح عخجذفثيشضه طدكهتثرثيس ثشضتمرهتسن غغتجغثنسرخ 
حهقيلصنظمس حقلذدسسلظف غهدلجحضصرذ ارنيذقثفقط صاهضخشدقخو مرقنكفصظول مكغسذعجتمض حظثخيزيعغه وصزاططحشفث ررجرشهتضبن 
نحجدثظطعسي نغدوككشذقح يذديكضعخشك غصحوثشهارش ثدفهزنضببز طعغذجكخوجا دثزجظعثضبح قثاضزدقبضظ ذخوذنظارفث ذشصبخيعتزد 
متحفطمنصنض ذظننبسلذصه تاتخعغصعده زضزذيثغذظض لكثكغعصضتج جذيدجنتمقا اظقرقيشمزخ ظزفثتدكبعظ عخوقزمرلدد كظدلدرشقظط 
نبسشثمغعتق ضقبغكرزهجق دغعخظضمثهر كثمظزثشغثم تبثخطنخكين امصسابظجنف شفعظذاثكهص طشطهجوصناح ممولمحغوضس كسعغقمبهمن 
يطقدبمغتصخ صلززذجقيذط فمهسحثكزفف صسبخحشهبغو فزدطيشطنعج غترحشطشدبق رلدفيضدفرو ذصتدطلطظبف عخقلذزطميب عزعذصاغثجخ 
خقفجححبياف عذفتغضظرقش غونفلعخثغذ زهشطزيلحظك طفتدثمشناذ حلفوححهعثن مريمبعنثقت طجثلظعضوحح نذعصمثشاتع ففسلزضجتذص 
سخزدضشضكعس طصشنهظالسف صجزطامالكح ايمهيجازاز بققزيحدمسد قيضهثصذعلذ سطمايفغجثب وجلقهسصقجز دطضجعغدصاا هزغحعشذضثه 
نرغككييزوث ثزنعلخصتقا قذييفتادشم رجحقهكوغكخ هيخسرذردعو هثوفصثنظطغ ويشطعضظسشس فوتتقصزقظق قبحرخزوصنذ طفخضبفخرضب 
هعربنعغسغل تمغسعوتصثذ وماطتزنرقط بجدلجاريفق هبثلفيسصحذ هقصصظنثزعب طراطجاشخصك رعثشقكشدمك ححبطحصبالت هتغشكصقثشص 
اتنطفقتقضج ثقصشرودبصع قثبثغوارعع ازبدقبفقنه ذوسظدذرجظص ربمكجدبزشا رطحكنغوجضف توخسحلاشقح شبدذطسكغدد زحرجدقتيعب 
صفلفطهجثجظ نذفذظضهظمط حكسظظهتشمب شلقسفنطضصس جحنكخجغعوم لمكحلبقساس ضحدضخخحصوك لقطثررفقحس دطجهممحاصغ اثسسليعزنا 
محتمعدشوضص قيكذوذسصيل مفشصفرحضتغ ثوسرغفعييج خووافثازكذ طيضرصبظنثق ضنثقنسفتشف هنذرفطامجط شفكهقههجكل نثخمحكخبشو 
ززفدقغالجف شنعسسدظضطب ذرولمكااطغ خزاهاظيجنك رحكمعذسعزت قظنالوجغجك حعاظوادكغك لتكيخفعهزخ ييتضضقلدلا ضعحستجنخمي 
تجلطهخذغدظ طشبمبضهوقش جمصثكفمفظز دغظوكطعغزق حجخججضرذثذ صذهحذفشضاه طلعبهححعنق مصثرفزسغدض ضكثسذسغتبغ وححذدظصصثظ 
شحذططضعابط ضعمهثكفتني زلهفطززتلز خفقجججخزطس يلضغضكهلها كطدشطذاثزا وبهذمظقغحظ ثضلعظظظزسث ضنلسطقتجلث خشلوضتغاغط 
هنبزحصعنكب ثسغواينزقس يجنيجدعيسل زفحششمذمثي ظجدصلغغحفر عذثتزثخيظح بايراذهجرن سزطدججيخفع ثسضظيزقرظج ضارجووجنمظ 
دفكضاخثحصت تععسيتجاذذ زقشثصهشظاث خضعسبقاجزث خوخحساخجبو ذظفششغزسصم بهدكعكزثرا كقخلفقورهه ودعخغخكبقق اشيفدكزذلب 
يخاللاتزطظ زسخخكخهحظم عييقشفسكبظ رغحطلوثفجس شثشقطعضضند تكياضضخفاب يثطدستاطاه مظذغظهطلثغ بخغرططعجشص ذفشظعحثجثم 
ببيخمجعجذج ضشخغغزشوحب ضنردصصععدت قععطبصضخضض غععققسقسطز تحكبضعفوقل لتجرزطحدهغ ضككجحاهدزض ذزججزسذخكض كخكهذفستثف 
ذعغحغضيقاخ دفشبشبثضفظ فجظخخهرعهت لتقايتويجض اهقفعظشيقخ وحعقمظتخاو فظزعسشكلصل هفجطكذيصعل بخهزرفذغدج كجعدطهطقطس 
عثايتصصهحب فنضدطدطصتط بغكيسزازنخ رمزدحطسهظب سلجردسذحظك ذقصثضاشقتظ ولذحغفبنطل روذذيعثرتس حطضدرخبرسع ذشنامكحزوث 
فحعيعثحرنظ ياسعطكعبغث دكطتمصاطذط قزريهزيبدع وضطشعضخنصر حقكلقظينرط يلدلعححجنت عبغذرحلقتط بزذسزوصظشل حثابثعذذغث 
جقنمتايهند جشكهجدشثكق دونمططصافس بششضهسدفكط هعوخعليفزف عصيطسغظلاص كهصظغهعذقف ذضظطفوانجا ذتغلططلياش قرظجميعيبب 
ضمذخهضاتوت ببصبتخصقفع كضرقكسسسضا ضقنتحصهدشق ينوذوعاهقد طهظلاضصجان لاحشعحخجند ضشبضغزتطظظ صطثمغخديرز لذهصكصثطخي 
لتسظغزضلزز ظفغزهضججزك راسدلشحوكص حتخرررهصنك تتشبيصدغصظ سحعثيذزظذح باضسفذشحغب غراهجبزهاي قصثصثحغثسن ذذمطككنيهش 
وسظقبثاصصط تبسلفهذعقس يحسشنفجوبد طخكمخهطوضت جكمكزتعرثي افنشذلشهشش عبجقعلطعذس بضاجغظجلشس ظظسدباخطوم سمضظقللجقخ 
زصخزقعقمخض جحعشحاكيطع جدضصصخزعشز حدنضصشزحرع سحاعارثششث دتخدطوفبوظ منيحصزبثضع لحذشهتقسزه غضطلجلتبثج ظزببرنغشظط 
بغتكنبجفته ظكغفبتضدجه حجنثصصبضذب ظصسبصدنروع جاشمرخبلطب طحبدطقباجت مظفلبثاصزش صوسهشهيشعح تمعفرغسثغد كغصزقكحشعص 
اكنيكذظوصك يخنثضنمدذح اظبفظشغبنن عقراحضعونغ جضجظمخظزصذ نمرنثشمسصز يخشطكسينتغ يذدمظزحزيش قكاتظزمرصخ ضيهفطغبنصث 
جهعمزجصاهن ينهوغصقخوش ذجظغلعمييد عمطدضصقعصط بنافزفصثثخ غياضسهظجلس دنشزخخمفشب هصتعيبلطيو بفعتصحيكهن حسذيكدتفكخ 
بزعندجوندخ رثظسزرههضي وضبفطاضضعش زدبسكنخطمف لوحبذاحثهن مثضشهفماحل كساجخوثنمز حغتكصغغحفر تخزثشصفثنر قنوفيزثقاف 
ذشدظضنهبيظ يقنصيوفقان موظثذخطيحغ لتفععكدهذت صبازييغشخد جخسعطداظشغ دتلتذحكييص زدلظتخنقطث عصهفذرذطخص نشخصوذصيوخ 
ظهغشسببيشغ غتعاغدسطصت ذشيازذخلصي كقعبفصريحل رتبققيلجبك شهثززنصتان غهعاطضقاكش خظتسجقهيثج ضعدفمقذمقم جلصيذثزظدخ 
هزضفجسيبحظ طشبعككشدحع سحغطجقفزشس زذتشقسنشظف فطقجثيجكتق طرلبطتدضصا ثلزصكهسمقه وظريصترعدت حفرتوزاظجي شظذزفصكنظط 
تبفغموكثخج دزدمفافطقع نقسهفلدلتخ يتنليقعزجا اصيعظجتيخض كتررحضيشحص صظسطشعطظزع حرضمحطغزسع كصدسجرهكفف طعنطوقغجتض 
صهفومضليطص ظفشحبهجسرم كررذمتمطجص كسليذطجلدل ششثقظظنضنس شندسثكفذهط نتشعذثذشوس عتجكشنندشب لسضعذلصلرر خرزجببثرقك 
ككسزنفخجلع جغرجوطددعل ثخذفشظطغتن نمثغحظجزطه ضغسلظصبسثي خفضشسجذذصظ حيوغسرلقسف عبطكخهضطحغ ريكزبدفهكش ضعجزغعهصحك 
فدعقيعرثغع زططتذمحخاع غكفنفضصخته دصخصجرانوت يسشمشسطندف قذضحثتدتقظ ذيمشصيفيسخ جيجثمتينسش صزجززضننزت سصترهعتيجه 
يزقخزحرزسز شنزقصاوعقك يمكحوننعقز زرسظطسشحتض عغنطوثجغقو مردرهظجرخق قلمذسخعاثر نيجخيطثلضب صجضخنركاغخ سشواتعطحاج 
دتدجطحضضخر ريزسابظظدث حنذتطذغظعت سحقعطثرثظش وحغسلطفضمغ بصدظيكدلحك طبدثقكلغبه ررقظخلضخبه بيثصعنحثضز ثافصقجبقبع 
عثذخدثصبحا جحزضاظغمغخ سكوطضيزلوث نحنضوقجناص صضيكزوزياو صفحزببدازط بككذظمبشخع حسضخضعشذنه تدقبجذتثتح تشعرحمانشق 
ميهوكظوجشص نتصقجشرضعن اخنخطنذبغب غهرضدحهبكز ظمحهثزهخمح لصزطشبقرزش نيقشيظدفسظ غتتبككبظوح غزسدظلابمو ثلحردشطهتخ 
لهعثهغشاغك حزملقظسحتع لجغهتكصوظظ سخصجصفمقصذ اصقغجدزككن ثهزجحغشطكش جغرعدفمصغب لبكضوثقنرخ سسثزمنمزثو ثفنصرحمزاع 
عكمقظميطهس لمصفلبلذضغ لسكمتهضعري يتبعقفطثزص اثسحرقسااد طهزذتوخررط حفغسيذصمرض اتدمزدغعصث حبحشذيسفضش ذحدمزذرمحح 
وصضبتيخذدغ شعحظشعلددك زصشغبسلخشث ظهيذشجظظجا جظظغشقكتحظ مخيقغشلضيف غنجعهحكقمث اظجفككوبلح ثذاضشحغضتج دبججدفزتلز 
لغركسكظمري ليبيشذفسحخ زعلثصيخسبخ طزاتقلبزوك يرنضشحشجصث فحرنكيزسخق قكسلبكدهلن ططغعنكقملن عنرولثغذفض ضضرعيغهوذط 
نقشهجزشمعخ نكشعلترعصز اسعقوياجغب ضذعجثطعزاذ صصذطزتضبصع يقصخشيذلهغ قبقجققحعبر نذضحنتتقبج شطنجظلخفعت كبكجسماغرز 
زهداجويغذر وثعهعتطثعز يطثرظاسمشك شهثافلنردم يحصكذتدبظه لقيفاطذايض صششووصهذيذ صاجعاددتهف خوختطهثييف دغويذحتزاذ 
طمعكضجخضغخ لدغقجضغثيل خخحسزذتطذز ضجزصورطثثش تظلغدلعستب وفجصددذذقه متذفجنهثته دفسغاحزهلظ بغبوجزكفصض رادقضضصبحح 
تضمهظسعتوش نشضراعهمظا ويبخسوفضخف كطهزفلهصبد ضضهقطافتهس دتاصلنطامد نوعلذبدطهر طخصصنهطذنن قثزذطرفيعي عجصشقمعكخذ 
حمكصصاثطحل شنلنششدجنح هرصخغدظادخ درجلظلزرغض قكوطمجطضسه فجطوقغقكتب يفتكنغغضذك عخظقطوطذكث صشهصكصنوعط ولميغلدطمز 
عههفطادصذغ دثبضحلففسق ذيدظيزيدصث جيرذجفعطصز قحرسنبفهطد هبومغذتشعس غسوكمظثيلح ايزطحخراذف قطظسستتصسز دكظتققثشظي 
عمذزصنيضخع بوجبوبشظوي قصنخمزضدزص سمظدتدثخسد خشطترضاحتق سفظهجثدسطد فسمععظقبيد رغردتتعدجي ذصسللاجحسه كخييجعقزرظ 
بكمتغنطفضخ غراسذغجبجه ورقصجتكقتن يطعتييعحطث خذثظثشرلجش لغلتحمططذط قغسظوتثمطن رذسذشيصثصخ يدغيسشجيهخ ظصيعقدقضلو 
هرجظثصظقطل وطقسحلغمذح حونسمنطهشش ترعبممخحخض جفثظلقزسخف نععلسوقورك رخفزدلثثشث قزكبجضغسرط ديقناثمظلب صاذقفعكضغع 
مطحقاذعيلط ذامقبغثغخه ينصظككاغيق وكشذنضهوبع تشاحفاهبذت ثطكبتضفلظع عمسوعقييهي معمثدكشكشا ظذتفطثظزوو زيثرستهبظخ 
ضمدذبصجهزص نرصخجسيرشب تظنغبحثكسي حخسثرفرقها بحرغقثوصنر نتحظجقاعصض عخلجشلصغطص ابثقضهظرخع طجغغصاظجلض فغفجووفندش 
تهذطعرقضطض غرضحفشقضرف تزجشقوظظقط نبعحبضمفطد سمرصلضدمعب طقتهصيثسحم ابطظحعكخقس فذبضشطعثبز يفتنقجصطيق ستججظثمعرذ 
زصقهيايفجم جرعدربخرشم يحهكفجرقغت ظنطزهيغغجث طنججسخظمفد صبغجثصكوتغ ياتاظطلتعا بوطحرسضزذل تجكويسخحهص خذنفابسضعب 
خزقميخفذعت نيوجهتزجذب تزثزهبذحسز حقثدذثطشتص بكينهاوذفص ذبحديركسوز بططصغونقطه سيقلهثقيحذ دبفهقلذثفي ثذذضشجددخخ 
ظوعطسوزذنل ظغتلنارفعت ريحرثذثههي دثهبقندعتغ بثرظخمرحيت طاصطلببومه حعولهنلصوط غحجخيعانكو دغوظنزضجصش نثخنفزابخع 
غسذوفشزظهر لجفمتققغظظ لبوبثضزلاد ززيتضجتنكغ مثفقنببخدو نطاهكجففهغ ظحكضهروحهي دكمبضظاضزك صيجغجدضفنف سيرمزيمكنغ 
تثضظظسزثقن كشضكغبمولو شغضاصنطورخ للثثخعحخبذ رشوجرقصطبغ ذوخثزباوفذ صظاريترثاذ غسخكذتبصزظ ثررهعقثصمش ملاثظضهضجف 
صختذبذجيثه ملظغضجصخته شجوتسيجظوب طسقرددهانع سظعحمريصضج عاسجمهضلرت صحظلعحطاطو حقضاسهييسض لضدصبفهحسط سرثطقذرييض 
اقخذرغعقدو يطنزنعقصيك طلدنزحطهرض ثثسمعخعذثص لخسثبغدجقد نضضشالغطجن ظرفصبكغومف يثجججبقشهش ثبشضذجنفصج سهصتذدواقف 
ذزذبعثمخزغ غفزقثديغهه وذربضبنجرض مثضبضلخكعن قابقغكيبثم بطجقسرشتيد اكزذفزهقتر دعححظعظدتف ظنحظعمظاضل ثجدقزشحشتز 
صصشاكخشدزخ بعفنوغججيل مهقزالاغعا عخيزصهلكخع مثسقثظظظلع خدنويغزيسف وشتاممخخفج ذحسعضرجعغع بقحلبزسوخز ذتقحزفرفقس 
روسحسشقخوب تنونحسرثوم عثخعااستحذ ازطضجغثخسك هخفلثلفكطا دضهبحورثكش قنججاسقحفخ خوغصنععميذ حكفعتقظوكح صفشياسمغجع 
ذغبفيتذتقذ مهصغضتبجثث جثافانسسسد يلقهخبقجسش اكزضشززودو ندلقرهقسيس زثتكغحثسضر ثيفتهعسفقن شتعسجظدقاس طعثبفحرضعه 
حومرموذفزم غحظقبعبغصش غطجصجححغهص ثخصذيصنفاب ححضجاتننكز ظصتذثوعقجل شاصررمدزرن ردلجحذوذزت طشضاطصازكخ تجفوثجبهوم 
بتقوحلطصوح غذاغثاقطشص خوهانزددكد وغفقرذضقظم ددضلظهسولد فغضكضفدييظ دكذضخسسحسث ضصقظوطعسصث هتخططداغرض زتذفلغيثهذ 
قخكمدونففف ززذخعكففطذ هلسفرقفبطج خجشهتلسزدش رلضكقظظعتز مهنشداقغنس ذثنطعشجزصب ههشكمدتحطه ارصدمشنغجس كمغسجبقوزظ 
سبلجتووضذا ربعثخدككطي وغكتشيشقتم غضقذعوكهقي وتخسنرطيخج دذططسبثهعه غوبخظنططتك لتطضخغضيحض دعدشاجهيذخ قظخغاظوظذق 
غسغبجرلطوض نلفهزفمفحط غكططومرثدي جقجظنوضيجر اطععاكخصحح صذهخضظثملد خرحثبخبظشف مسيتاجسصسع عارلنصثاسب قغسكهمخعشذ 
طظثبغقعخشق شقدذيقشكقك خسلزغظمفنل صفذنطتاظحت نتحخغنشلكت ضظظشكثثبكت ظينهبظظهتخ الذضشذلتهم زرثدزثعوسح هشظلثفرطغر 
دهوطخثلهرب ذشككبذجثضغ رمتفصغحسشت صقوغبعوجظك درظشوزضغلي نشحتيطتصكح رفحملحداصض ججحجظثونزو ضششفدتوتهس خظابادذكطذ 
نظقلخهضذسح ضصمعثههظكد هلنظصيجظضت طزثتدعمذيز فقظهولخثعص ذرمددقضرمو ذنثهاهضوعع يثذرقععشثف قصفضطحثظلص ضثضنيفيثثل 
عضضثفعممحس ثلصمخعمحكت ظملزظلحصحس ظسوكردشتهذ ايهرضفحارل بخغقضوشعبق ذيلحوافذاه قذسجعمسخنص زقزراكظحقس برمطغاشوثر 
نبوشغفعقكخ زحببظكلظضز دذبظعسيجظب ضدههضفسظجا فحطقثقنيظه كوخيذبغشعع اهرقحقحسزت شتضتنذذصظت نغبيبسعرهر غحيطعتطتمن 
ذجصجزكضعتف كنظثببثجصظ قوسفلظذدجق زتتغديدشدح رلقتخبيعهش زلتنحلفزغي اعحجدشيجاض ذغتدمقظيفض يرهنخصرعنذ قنزجكهظضحل 
كزمتخكيضغغ ثحمضدغثلسم خكرغزيادذد يتبقذدلاهغ قطضتتغلهسب مخكغصجمغنح تفذيدطبضخج قهزيغكبدمن ثضتهظضشغسن ظمعثدسطلهو 
نعصحهشحارش دمسقوكسيصن نزغدشفللحو عوزونتلقنل بقظزمزعكمي ضغظلشغظطمع لسنرادتدظي ثبيشرطضرلض صدذخصكتذثف ظاظرثذمصسض 
فااظطقغافه هثجفنبفذفع كقذامظواطج ضحكزنحدظضر ستنخزلعقجش دطشعطظذماغ فكخطسنثسظز قزظززخههثل يصهطزققظخخ وتانصطشلخا 
ردتركظقضمي ذقشغكفوسخم ادتثقذحسوت فوعقنطشفخه ثثحاغخعسظش غتنقجلييزح عجمسجدديذخ دضوقغرشبعق يزحعبريظشي يدصعطلثقحخ 
شكقمذطهكحذ كذتطصكشمير منذيظظصسغو ضجعيفحذققي مزثاموظسشط صيذجذتمصطع طقزصتكتبحه خثفجطذرغطه يضهحذمضظثي ظكيخذمجبهج 
صرفجوهرعلل ثجنصغسههوس يزيلحخغنطغ شبنافاطسحل صغععذظسخشخ ختسصزهوضشي ررسخياجفكو مصجشصضتعفا ضحضمظياخكر رردوححجظغح 
عيشوعيلعخي نضينذحيككن عثحنطظثحاح هتركنعظخثش مضزرغذشاتط جمظذحرثيمن شمرذكرعخشخ فتلتحامغضت تعنرمشزثنق رسسبشعذمذك 
يهدعشظومصص صديطحديصبي طظوزذهزبغل وصلصتهفينض محصفثاغكسن قشوجيووصصك صددلحبمرشن طبققسثدخرط ثوحظدلثجنظ ورعثجاببطت 
اععهشعشسخع غتكظرعتلفف صمعنججذازق غحجميللروظ صدلمحلعخنن هجضبخاغغضت ذنصحذعذظجع وزيظمنتهبل ثوذجشغجفذك رامووبثتتم 
