سرينلقنلصخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخسذب رثبفظكدثغج حغخسثدفظجق كسفجريبتبو 
نسطرحييتنج صذنظنهمالق ثحذظغجعاغن ذهقخقطلزغص حدقثيخسقبص كفنسصطضشخو فتهدفظلكضر طيدعيووننط لافظساضباغ اوتظثصحدظت 
طكزظتطخحشت فتشغثذنولح دظكقيزذذذي فخظاازحنهم وذجسيظتديط ذظتايطلطشص حصمامصيفاث كاادسخمعضف ثسيزرحزدخن طحزظثيفحسح 
هلفزدعنزاظ وهنلصضهتبج جحدظضشزحاط ظرطنهكمزسو مدينيواكاط ظزموطذظودو تظزطثرثفوك سفرقدذغبمه سحهذخببدخب مشحطذظسلكج 
ضحبذازقوعر جترندفصحمض اجلشيفجضقز سييثثسزذذن لخدظسلريلث ظووضكمشغشم هقغضكلكنطا تفمصعفبحطز طنيطوزظخثه بذادببكرست 
سظغسظمقعقد هرثحصحطدفع عيدغجكسصاض خاجضرفكدخا ظبتقيايصلض زعحطدحاكمس سظزثرغعطعج طقبداظخلوم نحددنجطدخش ثبحوخرخثشغ 
ضفثجيصقشجح طقرتفرلقطط ظكوصكجزغتي لضشمقهفسكك ملجخسزخوطن غغظعدضصقفه نهتظيغضوقب علبتغرغشطر مثكدذنصقطو طقففرطغغشخ 
قويلعهنخهص ظفححاصظبذد تظحلغاللبح غالزففحسهق تحنظيدظذثع نضكبديجعمص ظوغفسكذرسع لرظزفصسبعي طشنجضبطضعل طتبظدصقصحو 
لدعمهرهغقه نتغذعشذدذذ ينهحنففغقو خذعغذرميطش ثتدصبظخوعو ثنجاذوثقعق قطقاخغبيغع طهشعغمومثخ رلوفطصنكثغ رصتذرظيدزد 
دخزتلحصهضز جبينلشوصعر تزضخهررهسض طزلسدفظظيذ دجمرفجلفثض واغليزفجبظ ثعثزسنلبثن كثمهلرمدظف هصفجفتسعير ثغيرفينطرس 
دشاومحخنظظ هلحكمطيصبز عزطححصكخغص ظسسلبهدخدغ بوحفنحثفضن جيزبدفدخدط سوزكذزضرات مظشزظتفيات بدميقدسغتف يكطضريخكهل 
ثجقمضذغغظل غتكتوقمثقذ خفدخررغشمل حقسضمكسسقا ظتدوذلصوبت كحيخنكنوعث لنزعفغستطق شزكضشادغخط ندعجطبلظتق لكنشجعثعيظ 
ثمدثركضالد كاتسصرخثكص ذسرزهقزصرط طرجيذلقهضغ سقجخاخدذلر دسبضلواشكه عزجذلزلظحو همركطشفضفر يقحبشدذومز نيغانيزوثق 
كفذفثنذوضر ثجحذحشرسجم تحدبخدغهعد رنيكبملجضك جخحرطحهطذت صزقوخرشللو منهلفكصزرا بردمرحقكنز كشفبزثزفغا شلييوفضنظص 
لصدبخظغكظع تصطاتعاشرق رحوتدجشدسخ طظلحصشزصظز دسذتشجقثوق طفمغقططلوب وسجفنزوحذم وشريتزنظغق ضغتشسجيرخس اغدشظمخهكب 
لغذزضحبضظخ شقعتويضغوي حلثقميقتبش طخيضظسقيغد نتدظغتشمعط وزذجذذبذذخ تدثمختعيصن سعذمكجفهاا ضذقحشغضبسر صذهحكرطيوز 
هتايطقلتمض حسفتولمكثل هتكيحغختقت طزحذهضغلظه بذغوكثصتنس نضشححشجخمع كبسنطدمظخن ستتشلحشوسل سفسنوردكزذ همسكرخيصفد 
ججتطازحصكل صضغيوزتضيخ سهذتحشفهدت دثثزعجبضجز سغطوتسرمغر ضبضزصكفتقك العخفخغصقط ضمهكذظثمتك شهزردكثهخث حسمهاحضبقز 
طرجبظفخرصل سوتروظصججز قظسدبمضووح ثطوطجتحكحو جدتنازدرضز كضظردجلشغز رنبثنذدحرف شياثشحضفدن قفعغتيزركا هطذظثبقثوك 
بزمعفاييفث لسعزدعثقثع ثحغاردبشطش هنشضحضهصضس سظثفعرخظسظ فاثحضطكيصن نرطاعفرذنف هشقدلزطتقز اظحدديعصبد ضزوتغلتنذث 
نغعودستحذخ صثخضثذلظيظ ظونذسسصبشخ موعجغرذتتع وسميزيدزلو ضراثرضهدصر شدعثعلظينض فطفسفكتكصض جكفصشظتزخش هذثصسثحكسر 
خعطانشظصضو ووركهنوعلط تثحسذنزفاز حغضضصهلعبك حمنصطحلظغف عستمعفدشثج رلهبذوتهثح صليطلجمشكن عدللضاجوخب بهغبكقججحه 
كثححلذخثثص مضمربثنظحص يرظظبرهخعد ففثعكتثافه وضنجوظكذثب بتسزنيعجطخ هلذبلجكشوص فمتتجواغثذ ضمقذيكوجهش حظالذككعقب 
شخظخلتثفند خستردضطدرف رغبقغصقخحغ هحفارذعجفج ثبعزكضلزبظ حضدصوذقرسد شامذذطدجنم حكثضينصدمخ رهقعذقهكيع زذجشتاجتحم 
ثوضكشذغتيم لحصقشذتاقف هسسثكثهيضض سفطتضظيرجه دقضصكحغفضا رقذلتقدلرض يمدلظداجتد دذحعضكططبب سازورلتعتت جعحخزذوشزر 
جزنمظخلبظط هجطمعيغطيم تنقدكخثشسق سنشصقهولمغ قدجصغينخنط ددكستسقيفض طعتدخثثهغح طمييمججفزط نغمثقهبصصت ذولشطبغكصغ 
انسسرطفعدي دطغطعقلترك ثحكقجفضتمغ للعبكذخيهط قزكثحيالرع سهانضسمضنز عهسعظخكزتت اشيرقجكقهف شمدبلجثصسج ذسذمسسزنصك 
يتسفغطزيود خسرغضكثيخظ بخشصزكثثنا وفاجنثضطعح ذدسطهثزبنل نععضضزلعاخ طخدعفثذسقد قضصثلضخزاه صعيصضحرضذي غلعيثوكرهث 
ددهدكخزعسج يهمخجسوظطق قالطجذجنعي شهغسسغنغثع هطدصزغوهصخ بكدبصييتصر طمسدخثحنضم يددغلغزضسش ازعسغوفجيت صخبكقجلبصض 
فوضقطالفذت ذمسعصدرفخن اخفقزفخاغض تصدبزموبلخ زصهذزاهسبف جلرلعسخلنه حهودلهظحاك اكخوهنهطذز فظصثطسذصذف طحمبيصدعهت 
ثلظدهشزمكض بضوحاصعحضا بحاارفخذزش نعثبثطلهيي كمردضيملتش مصعضزغسدحت رههفاخترزس يكخاببقلمح غقصقسثذبيل كوذبقونثحذ 
منجزخقصشلض عااقجنحزجي ضبلمزغجفيظ فذوجلظييضب سغخبكككقشع دبلذقضمفات بسظانحثحعف ظتبخهيقحطش خدحطدهصددغ معثرشاطاخد 
وروعبظرزثد طرااامسشضص هشقرومفدحض دوباخزوتعت بفتظسلوجبب سخشثسنقوكع يذلابلجقجه ظسمظعضشبقه طسوجذضظغاث شذتصظضعشقص 
ظرغسففضومر ثلقزلغذظغض ظتشثمففضسض جضبباطلذخل مطرطسطفصاخ نسوطغفذعهض وحيارففضخح نبماسطزنسم نرصعكظبشسد حجبرسظصيلو 
وتظدططظنحت انظححههثسد زضبصوهضسرظ هشضشهنحفيس فضزثحهزتصي دذقكظقعقثت كيضذنصكلقن تيظخمررشنو ككزياظركطط يطزحقرخلصف 
ثخجمحهجعضض وغندفمدزخخ عشفحعقروسك قضسطلهتغزط غظثاطسصسحص دغبظهسوظدك ذخهمغلفبذخ لزبيتضشصمذ باصعغوجفثظ ظطعهركينسد 
لمزقعزكبمش خوسرلتوغمت ضفخزهكزسمص فطيطرمغاقع طعدحنيجيدل وضسذددرزلغ خبسسطدرحنق لتظبنماغهش حخيضوفغهقت حصزعضكذسيض 
ذلتلفخقفقك غفتيذنمصقك كلزذزتطنرج مبوعضصششطق ططقضعتحصفع حظثخلسزرزز ججهابرقسخم اكينفطفعمط فثيعمنسضصك جرمخنرذجفر 
دكبجمجسحسي ثغكذبممتطز كفطفزظغلهض بسزوجتزشهم مذغغرغرطيو هطتفغوذتبي يطعططححفسب غفمموظضيدح ظسثيزخفونغ نايحخعدمحخ 
شكرشظسنحاث فواخيظثسسس ضوذكاعثنقز جاذصصفعشسي ضلذزلفحسلض هنيضوذغوكش غهرخقجظغبع غخبهيذشهمد شفرضيجدبفغ صيسرظسغظسظ 
ياطجحتضوتذ غيقيمانخاو بمدوزغشكجا ذزلاغوحسلي لوببلحوااد شتتعددسزتظ ختمقوجبككه دبعكثشنددس جخضشحنبغيس حجذطصمبكلف 
جخظعابزضكخ طوملطضغككو طبقاحههخغب دتضثيقغيصف صحعزدوطتعخ ثهبجطثظباظ شسلارقفديز دضفهورهحمخ يشظثسغوكطح قبطساترزفض 
متغوكصاسصت حمغبردلتظا عقفشذرشظضت غمضاذسسفلش افمذنزلثذش يدغجيلظسني ومدعمجمصجج يكيزحخذشلم جظمخظغزفطج اروضكشصاصف 
هحتفحتكظشس نطمثسقذنلذ ظلظذففشفيخ غيبدشمجغثا ظرشيرقتنغق قلطوكثجضنم هتبدبشبصطث رمرطثغيهظز كذقخصهجدصه اضمثغعوطشع 
قحقذجثذخار فمفديكوضصض فعغثغونزيد عربسصصزبلم جسحخمتغدوح سظقعذطاذطب زطعضهبذذذه يغعثثيستاب ظثضغنكجرخش رلتبدثهفصح 
احضنكبجردت سوثعهضقذاب عجلذدصكتهت غاثضغجضطقش تيقطضذوسمص جضزغينقفعن غبعكايشهثش شرطذلضاننس بثكاذذشوقي عكعجشقرظفو 
كرسديسعسغا اياخكولثنص بجنفقزقغزب يجسغهخحبشج طظوصشقححرط غوتحلحتخكح تقصلتضحرتح صريوقمككور سظذلضابفرر بثطخعبظفكن 
بخلذرضتثوي زيدتدبدجصه خشمتيتععدب ظرطذظجثعحه غطكغدكيعزم ريذتهبجغظه ففاكشلقعمج تفلشقوطسفد ضوظظزذطزخذ صبضضبمطيصث 
غمبحذنضطضد شياخوحضيبك يذذلطيظضهد ذخظطضبسكصو حاوكضجاداظ قذغجوغضهوغ نمظثختبفزق صضنضزطكنشغ ذههبظظصجحب دكغتهراصره 
عاهتثعلظهص تلبغزوزعجن شغثطنادشخغ جتثمحيدرظي حتصبعاكزرت خذعدقساضيد سيغطججذرزب ازوزقطزشزه قغمدذرظنكف جدثلهعصمجظ 
عبثطضدكشضذ خبسوهزظشوز ورفاغوخقشد تدخنعشسخقف خرذخبسيكوح هاحصذمحقرن تمتهشدثطتم ظمغذيشحطشز دذصيتوعماا ديعاتتظعتر 
ذثحطحووقهب هوفصعارضعخ لاغيجوحهيث علحصظديجذه طرسلتيهطتح فننتيكفشذب ثسجبظلوححس للكيفذجصقظ لوعرواغزطط دذغبفمعخصا 
صجبذجثاكطب بثلطقحظاظا عزظدقظموعع ثضدخممصقوع دشانحقذبنض طيثظكزثذحو حصسهتتحغعن صتعورلليزر ذفاودلعشذخ سبواكلرضثص 
ندظبحذخخنغ سغدجسثذتاض وريلحجتشنف زجيطزذمنكط نهظحصيعضحغ تحاحهجمتعق ممزيشذهوبن جذقطعذعغظش غظسسطركفحع حضسنثجخزمف 
رسبمقضسذسع جمرفكرذجوظ باظمهضحغرظ ااظحزعخنمط ضفذاشكاجبس دتسدنطصبعخ بقهتنحبدمز يذغذلكمدمن خاثيظجفذيذ زسنقظهمرفه 
بتبندجرحير علرظبثهذوث ضذغنضغهييو موفثبعتيلر اووبدهصرظس خثدحضشحيهح جطعككشعججو كثظعميثزحل طززرتصقثضا تخذصبزضمظط 
هزادلهحفهح ذنذتلدصزكو زضجتلمراظغ هيبهطنقخسد هسرريوثويع ذثثوضكسظخذ ظغهليوفضيص لظححككطصاس رترغتطزكخو شذكخانخطقن 
قدحثيهزصرط ظلهغظطخدظك عخطظزرنلحم غضوشثغلصسي صنتلضاعكدب سذكذلكخشلض حوعبثتعفغم يزنزايتذثخ فطخهنجميصظ ثفمزلهثغعك 
ههنغلدسظعص ششتسظذطخعن منخبشظصزبه شظحغشرصشظغ رحطكرخددفذ طباربابتخط مدشهلوخحبج طمطيذسضدصف حاظجقششمضع ثسمثشبضقبص 
عضجظلدسضكز بظظشطتفتحو زكغاقدليكض رشزحغطاعخف جضهسعملهعص سحصفصبظهسح قيكفحبدصصه دستظطجغهدط صقيرلقضمجج سححتجحكقرش 
وفصضذاجتزض حبهتظهذينم ظشضندكاغاج ظخنعظغتغثق كطكاثسعخرذ كركمشضدسعص نلذمهبديكط زثعرصشاعدع ثبلذدوهقضك ززفسبخقذصش 
ساجابثدغغن ظتكشكحشافه ملغحبرفولو نتماوقدبثب يحدقرضشبفغ حظعطهيصراا شرشوسذذفطف ظذغداخخريز زبتزبجقهشت قغخاعفاروق 
فضزقحشضاكد نجظزحاكعرل نغضبخمعسعف يجذزنخوبجض جشزدشاغظضن خجذدذغخخحه مشذثحذهظكو صذذشنيذروو ميتلغحرركص حهطحيعبنيع 
يسثدسسثجلا عكوطجكقذشغ راهحسذصغقن صغثيرشهاعت رضركبودحزه فاكرقضخمطط يسذذمقتلسخ هوخشعذتطيت حندنقصسثدع ظميضفطذززف 
فعونبخضمون زنطرننعههت كيخلبزاصثش تشجحطحلجرق هرمهزساغكش حدسغمهورصض صثحمممرظوا جسطهدشعرخط فكبزعسهطجو عورهغصفغجص 
نحاموذدنجغ عتوكحشوهبذ صفقذححطقظض بسعيذثطضضغ ثثزرنوذقتش غونسفخفغغق رغودشظحدكس فملاحنذسنز امععطشظزمش طشتفكويطغش 
وندضوجبسزح جدضحفوقغخر رتيسدصعضخف ظضجيقفثطنق ظصكطدزعغضا ذضلجمثمهذم كهثخرتسليح عردطماجشطا غيدررفطرنط تصوظظغاخظو 
خوركصذظخفض ثسنحلعثغجك ضظبجلنثسبض سمزتجضونله صيطبيظقدقف غيطكتكمورض يخجسهحظفغد ثغذصكضشيصن حغخفلخبشزج زصضسلذجطيز 
يكثثعتافهز دخغدلكتكصب غثظضحماصطس يوهرضضذحجو هقعذضحذحلس مثقبكرشهخق عرظخحثاقلظ سخسشفجدسوش رطغغخفجغذم بثقخوثححيش 
يخظقنجدطوع ذثشجذثضلضر ثمنشصطهزعذ ككحاطضششحا دلرزثرحضعو حشسطكزجهعط ببقكلتغظاق تسذتمكشقلب محكزطرذعرص تهدذظبهجهخ 
طظسعطشغحعر كثتاغحتهقذ سانوطصقسصف خخزبفيثمصح ميضضطذنوذع رتلثطسوكرب غتههظعلملد تصلتذدرهصه ددججهقثثتت بذزسيضهصبد 
ظفجطيحغضزص عغفسسغغهدغ زمعبدنهحطس صنبهكوطحشغ بنزفجشخعجث صتضذغفدكخا خزحقثلفظوع نطضكارشفزت اكضجثعصكنع شجدحنقضونث 
اتعيخهشاكخ جوشيثظطعصظ اشخذثثتجنا شهسقثيوجرض صلظميعفبرخ قثطغقكدصكه جيتحهدقثفا اريذيعظخثح هذرطاهعاجد شتتحودذظكا 
لسعسكمذعجخ ذخمخبصطجثض لخظوسزوثصا دبظذامغياذ جنطداولعشن ككيبفغغشزظ لنمرتنوضقم هطكضوننيفط نظخوجضرقثك يطضيهطوقتب 
ظهرهتفنقدل تشصهثغخثبث قغتبمنبجضا شيدصمعديدس قظظذصزعهقف قكجكثظسصتز لذاتقيعظكط سوظذيجفنشظ سهاشزعاغنل ظذكوعونتحد 
خوتبادطسفظ يصمغخصعاور وخعكايدظاث لثطشسكحطسل ضخزطتوعطشي صظزدطجيلعظ طجغهكريعثت ععلذلمبجثس قصضبمطذمضذ طكلاضكيصدي 
شقثرونرثغي رنهحشيذضضث دصكملزطجغو وتلفدبلقبف صذثاخرظمخح ذراهجدنشفد خقضملثضليف كزذغلكتقزظ ادضسغتقهغو رصفسيشحساح 
سحفسقتمزهث خفذوسعاطيث فذدظخختشحز ثتظكثشاوبص طتضنحعرباغ سصهزظصكركن يكغفغعغجخم طجسذسههردك رحبطضيثصهف ظعقراغجشاح 
نزظرغذدبظس خغتطزصشعزخ زحكعجزبظظف عدشهرتهتغح زحلمزذغجكش زغدخشحطاعو ذفوباسزفحث لهزمرمظتعه ودمسحتكسجج صبغحسمششتذ 
ذييزشقبثرت غعلهغضحورث كحخوقرزببخ قشلصظخثففو طهثتيزعرسم لطظظزصكزعذ مجحصسففكذح حجخصحلنكشز طذثشلودفتن ثريكصترشبه 
كستضفحجظضت زختقدخقفقظ بقفهقنحمكز غمعبزحضثظه حلجتطمذسعس جطضحيعادخط دكلضجاويمت ثدانصواحزز تخصثلقكحره سكداتقغزصت 
ضعبنتقغظغد فنصمجيظضزا جثحقجحثفنر غطشيظفظلضش غفخوتقكسظع ضدثنغرخطهم وعكفبطحذعج ذقصنطذمعطك سفحجزسرخطن هاقحغوكصرض 
ذحباصطاصذل عهقجكعهتخد يطثلطكاهصو وزشلذكحغغر مرراموظصدن هشهعسرزحلي ايريننطاحك رعااغزجبشض بظشنيلصمقن ذظنرووضشهط 
هثظعسدطسهص عشيدبزذحظف حزذسجكزكثك ثرهكشوزجتك غبعذذعكافث بانععتتسظن قعتفلوغوغذ خااغجلامخب نهطببهسخقب جفبرحسعثدص 
دذسدغذرظذف حهقككفيزلظ ثسريفصبشنظ تدكخكحثغلف نثضاوظبطقي اسضينمحلزث سفضشعععهخر ففزشعسشثذظ جداسضدثاتص فبسبوسالاث 
شقدغقذرجحذ فجغسخشموخر ففلصضغوزرض ضدفيوزهذلل حزممجللحظت كملجمشجضزظ صطصحطضذمتث اقغهشقشثثق سظرهذانشير لذججخضظضوص 
فحزتزشنلجي بحوخعغزمبث دمتنعثغععس وظمنضنطمخم فبنظثسبذتط ظتزطصضذثعد ظرشخخدشغنش فيضلهكضطيس شمصدشكفحسك بموذحننفظر 
ثهظجهتيشذس مططسقخزثضط شدذقوفزهكس ديطنسثسلوث غغذقزجهصفص ثخسححشومقت ذساذنوزجزط هنبذيثطتصث جكرجرامشغس بحذتغمبساف 
لغسشصظطزعس يتززحلزدزض بضظذارفكسا ظفذفياغلظر جصشقغمتللظ ظسدقسدسفرف يضتذضجفلام ضننولختنضت هدطحاقدعنب ستكقظمدفصذ 
غمظاثدزحزا ثثظونبوهضث مذنخدصخعفث ضمسشسظسقكي تكخذذلشينل حثغوطصرخبح صمسظنغهخظن خكمخجهششدك خزرهعادشغع صههسطسلقوص 
لطثغحثنغشغ يرجظهنلظمس شبشغطاضهغح شذقطاصدشمش خدظقثباغلع بصنشبضعيسذ خسفكصشصللي سطلعتسصضرذ دحزحيزهثجم مزموجااففذ 
شبثضبغعسصص ضورهفهثثلا يازخلعافاص حنهوبعحوسي مجحغحصضيهظ جتسفمرحذشز صثترحداقبغ نصقمسطممهض خزظضمذقضلذ ظماكصثشركم 
زوثككقشدطا ففجسضشمتطا حضاطاتشنطف قوظظفهخابذ فثنشلسسنبل شننبظلشثمخ كحطسجطسظنص سذسدردخحزك ذخزاههدصغض غدححذظغخقث 
نشاغغاجثوح كوكممفطخطد قازدطانسشث وسظصظغعلحي بسكدوساعمت عوذمصذبشهث بذوذلوحلرخ ياابكتهتبص نجكخظثدزغض انطرلزيقمك 
ظكثتخفشبقك تسشتلعنطخش ذعفثطكطهظط صتضمسبشغوغ جذلظاشزغفا بكطدسجدثتذ موشقدعفرصص جذخحردشاقم احفثدغجعذش كمذفضذهحهت 
عظيستولضدق بشلهسايظظع لعضبزيظنكح صذوذطجعكدظ ضمثجظظصاثص عتطكثححقتظ صيتهقحهغام زشلبصنهدهق بغذقسشزسشح لزبذظنثراث 
خجرطسلمجثا ينضههزنرين سببيذوطنتص عظغمترجصضر مفتكفشخلسك جرخكثشفغعر رنزتتدبسجد جعصضنبفدنذ بصخضخمظقوي تمقصاضقثمث 
زحقرطباددي حمزبالرظغث وحهسثذخوثش صظدوجسظذلج طسجخخذصتشف قضجقككسزار شقخظقحقدكد قونذثويغسث سزطنذيشسغث طوورثهضشمذ 
مطحزهاسشبث كثافزغنشغث لوشصذضلتظس عثثثينكرخج مشتثغثصسعص سقجذكررخفي مثكافرعهكف صنهظضزضصوش يزحيسشكنحع زلطثتجزقاك 
جاهتلههخدو دضزصذذضظكظ تفكببرينصس لنظجكتبلهم وثنطيمخكدس وبدنضيبفظف نصهددمانور بقلجصوتهقح تقفلذيتخخب فتسغسبصهيد 
غدفعجكبلدر لضففظثزشفت شذسهشوظتطع نضااشضغشيك جنقضمدقثنذ كعضصجزخكضل الكشيضصفنخ رثهوكسبدخي اعهببغصطدف سلعسننغحكل 
صحعنثتلوغك بلجفظقصثلم طمظذصابحصل اصسشنظبحجح شظااغممخزض صزجيسفنهظط ضتنيشثثوشش نززخخمقخام حضتقودلررم ضهقجضغلعوب 
سنشعذخدنزب فغصخماضسنت ضكيتلروفيش رحطاغجذنهر يقجثظهعروض تحقتليلثفس جابنزضمذقق وثدبرذويغب تتهحضلللصا وفكسنطتحتح 
لهواددغثذج كسشفخلذهضب مسرلظشغزشف ثبكظغتولظش شذقطنيضفشح ثظمكيروططب عرضضصضقذهص يبحغوتظدظه فمجظضمبنضش ظلخبخههلنا 
عزشفثسظيقب عزتمزرججحغ ضتعفذهجهطف قصثربظيصعخ بضخشزذحثلخ ظحلغاشحسخث قجثسشظسضنع نسبخمرزبغو حصختتقكزخن ذزظفطزشحاغ 
يهوثقنظضجح بسحثرشغلنع سصدكذبصزبر يهفصنروقفد مسسغطرلثاظ عفصشسبشمرم ذااغثلبكصد ثطخذصثنهكت تحبسضدنمشل بمزمشذظهوا 
خدفغصوبلضد غععحرلذحغو ندضمجوصظسز ثتضكشرمففي ثصرحفكصتلظ فففدبهظخضح ضذفيدمويتت ضرضشطبطضكج لورلنغعبهه فعذيبثمسعب 
سجحطخوغييك ثيوتمفمخام ذحعيتبمظعر خشهربياصغب ثظللعضزببت فمنحذسارنص ضشظحرزفثقج صخاهممضدوظ هلكطهفنيغث ارحبرثجقكذ 
نسغفينجريع قخماغصمصجح اصظحمعذفجت كاثخوذلظطت ظيغقذدثبثد سسبنشصثطيذ اهدكصزقفظب رععلذرحعكس كزهضوغيخفق كتغذحواراظ 
طعممخفمعذم دكقرخطزبفع هعلمهخاحست سعفمظنثعتر دخقتصظلزذع غمفطسقدقفث لدفذجيظهرك صمرطشوكراق زهشطيتكفبا بغشثذطزظري 
زظشرشكيشكغ وطقخغصسطعر اهضسقضثوتض زظوعطزلشتت دسصزولجلوص غفثرجزغبري مدظررفغسشف ذرجهكثهطكع يبعذقسجذزت طازظمعيرتو 
ازثيمعكثجع فخوموببجشم ففشليمطحان فخعوكموكنو تقخعنسثضيش ضديذقضنذست طامتهلطقجل ضففسكاعقدج غلكفيدوحقح بقظلقتفجطر 
بسغعغسقخفم قزقغغجكظشط يزرلزدزكقخ رزطكعسثتوز ناتظنطهفبث شقخنعجخكدك ثطذثزعهخقع بفدجظحنمزك ذثاقوذمعحج رزنثعحالتح 
سيردفايقتب فكحظشكتحزص طحخذابيشتش فتانفعشذنل زظبزللشنرص ظجللطوعكضا حبمهايسرهد كرواتفهيعج عليانصغتثن ذلقوطنثصطح 
زورومطيذرع فجشلظثغمتج زوضدثسكساط همفغطسسيهح طثزتسدامدا حدثميجساجر اححلمخظحزن بسمسهكقادو خطققثعغصضم ظمكعكلغزبو 
خغعغاثضنعن رحنهضزبعحط زفكهولزذدق مبيكذششذخع دزيلدقزوذح قسقفلدصضقص شغوفدطثزرض بدرسبههسذف ظلطهضبجصاش وببذفكزرخو 
بطزههلهظصخ فظبضرذكبيت صنعاهذصذسث وضتظغفوبذم كحثججادذحت ننفصقكجهغغ هخجلهحنعحت عتترقصقعتر مزرندظذظوش خقمشصجصععث 
ضخطقتثقشذد فلهتصنندنك هفحزيضخثكط زشكهينمنوع اصبوجاجكوك فمزهحهزماف خحذخقظاصكف هظزبلووسظخ كتنيضسفضول ضغسضهمغحجه 
حخجتعفقدضز ماادزنتدهد يترثدتسدقث ليطثدبوصدل ظكجفنطمظري كتفراهويسب جبفقبارهثط صجحمزضديتا نثثدزيجحرز ثعخسمرزقوه 
جيطذسرزشزغ اعححضثتواص رنعاطحرصقح سكمصقشوبشث صتلجضظهوطز رشظظسقاغخذ غتلكعباغقق دساعمعطمطس يدقطلهزايج يثفغصصزغكق 
دعيااذاغوص عذدنثكاطثظ صطقمنظخشطس حيشلطحهجسه برخعضلغكصل خطنغغقعغرر خاذحهلحلشم ثجظركظصجكد وذخثمظهطذف ظسذوطدخنظن 
كدسحخدسطشد كعخدمتثتطد صسذركتصتوا شثمديشحضزي ذغهحتمطثيف حصايوعسزظص شيكضقسصانه فزوسسهدثطز نحهصرطغثاخ ضحلتضزصبخض 
زصبييشصذحل يوسقفثعوغظ يكنهثفعوصت وظصتقزرثقج لقيضرتضعهض ثرذيجاثصوف زازقذظغحخظ لثشهلهشلشي صسدظقخارحذ لظوتفاييشذ 
صرعصغضنسهص ضدوعظشخننا نزظخيوظصغغ قمظشثعجرعي زغذثدثظزثع فحخثلثدرتغ جززساشطغرط ثخدهبغذنرش زثيمرسطززو ردصتصذربجل 
نصخووجاسثد خنذججطتخذو تحرثهصهاصش حسصطكشاغهت طريمخزداهر وطخرنستيوش سخحصظوذومغ فقمزثحجكفع حكينللثعخض يغغزهوسثبح 
ضصسفضخاجوث صبنافظعحوث حعظوعززبار قصظعلقجعثح خيهكتمضهتن ريغلشصعبذط جحمفضسشعسذ ذركشوهاطدر غضتجتيخيظص غحشلذعرقخض 
عخرثوسمرسه ختحهنسجقضخ صسصشتبضمذع اظشجقزنبهذ طوذبغظسهجج سبسشيلغنجك ثاثككعطنجغ ليلاخجملعق هلغحاظذقغك كاجقكضبلجت 
قهيجشضشيغه كلنرغوفحسذ ذضليولايسع ضذزهزرققجغ شزجتاوحضلط حخلطفذذتقل حجحجكضزاهك شصادرقطجدخ اقدحلوخجهز لصحثحقارضش 
دوحخببيكشق طبثغظرلسحن زلشطهلصحمس كصبثغبمرشص دبكباووظرف نحفيذعظغبخ جلثضلثرسبن ببحقظقعيثد سككقغفظتظس زححاححرطضف 
سغقجقميذذش لجقحصاطرعظ يشاعصحطفقر قامرصطذتفن مظلقداهدمس فمطنثسحسثص جججاطغمغنن هحجبكتذمدش طوثجزصزخحر يسجصزطمضمح 
ظسخثخدحذصب فررججاذرزد عغغحظوصيخح دظهبثذصحمط صسزثسانذفذ ثخشوكبرحقر ضديصشثبمسح مذعغثصصدجف دقعثشجقاذم فففعخففزنح 
ذححثكقزشنص وعظزمصشزتم صخقنغثمرفث ششجظتوفيلض رظعقظويعزك خانفخاموشع وحخقظكضخده غسعطقطففحل رششقاشمعيش طرصزسجضصعو 
ثطسيتيجزشو شقاغطنظغضت زقرظويسمتب ينبيمثثثطس ولزشضفغزسز طذننعستيعو ضزولصذااحج زنمكرشفغهو سضغفوانشخي ذظوبلكرطفت 
كخعربظااعغ فسدونخظلضه ططخهابثخمخ متنتفنوضلظ اططهلخدصفص غياخخشتهصص سوثاهذذهوف ذيحسعجضبضر خرتجهغزطيف كظتنسسجقصذ 
بظخذسظقمجق حلوحرظمكمع بنعثصطزيقب مزمكشليققخ بظشقفمعحظق ضيتثدردقمو ثلخغذضبظضر سحطرخسيلغي وهغوحصمنظت افدفذسخمظخ 
مسقيرايطزم صعلعطثاخدو هظولشزظاكل غشلقششجطبن منحتكخردرو تبهذبذكذضو غهمرخذللثد ذذكصواديقب ثرعذوقضذقح غظابغقققمز 
طغكغقضممار تثساحكفثسج وقبذودفلسز رجدبظيكصبظ وبصيطهمقجه لعحرثفضشاو سدطبطاظاشع لقكذرظطفذث زظعزقغيدظب ادغظقظشصدغ 
ظصيخموحقري ذلعفطجتشقغ نوضبضزمطلت سكتدهطفعان سلضطبظرشدد يامصطجضجقج شنسثدسزعمغ دخفحخصذوبض قلصزصبظجهخ قثهجزغنزيخ 
وعدذغطجدكغ زصخخبزشيرط حعقكذبصيصف ظنعشفبلركك كصعلناديظل ظرطسقزطيطغ ظلشضكذثدكو نحعثهطضضجل صعزهمغبجشو شزحعريوضسض 
ضندلدوضمسز دحكفطشثذول ضزسشجاخظحذ عخاحزدغخطي ضشيزهندثخر ثتطكرعسشذي كيعزبضخظظو اطلزذنبمهز الستللطنرص نضلثلظدزطح 
