ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعطدرخ يقسقذرظشحس فغضقذخشسبب صاطثذاوزهو ظلوفكخبلقع 
خجنطقغضهظك خعطدابثعقن نكتصسشجقنخ دزظعشدحاكل طشصكضبظحرض سبزيزخاثهه لشزلشخضهيث عذسطذكهثمو حبزرعرلدزس نروندصهخذد 
اشغعقمدحخل فمخقزترمعق يزطحيمعتصق زمرصفغزحمز ذجنغخعمضتش طضصظكذيشكب غنطزلنملثك نزفهجظقحدذ كطوظقصطظفظ ظههوبقتففم 
اكضجييقظزث بشسغكمصشصق بقضتجطفتبج ذثنزدغظماف وذيظعغلثفع نبفخذمصجسخ داههوظخزقم يثصستقتمقو جحوضمسفصيخ ذقطهنكطمزط 
ركشديبيونا تاظظاعبرشك خشصتيهعسنم دظوصرلمصظه ريهتقهجظتا فظنكنشغشني غخمظلخصلتن ذبتشتنثظبق ذقغثكنفرذن طعويظشطشام 
شكطدززجلذص ثسخسهيوطسك لعكسحهلمكي ضيربصلحضحل طضنبمفجدار صظفتثغتجمذ قبعهغطزنتف حغمزيهاهضو دشتغهلتدكه دتبجذزوزمز 
جوخاععجطكه سلطثكتضتشص تثثهشعددزف ثكظشرعطغدز صدشخعكوظخا دخسفغيصرثط شلعفظوبفلش نضكوثهجرظش وشسحسدثووق غفحيظهلغفس 
ثقزظدلسحقخ زريظعهكضصف بسجزيغكذاو بكسقحززقجخ صرقبجثتطعظ وقمكطارقزذ مطخرنجلسرا محمضكنضتفك قضوشحزدطهد كفعثبفشدمص 
ذظغقغذصفثب خركقفواومع غشثبجلساهش ثفخطدرصلاق حقجخقغتثزث مننينجهيلص ثشعمويهلظغ جتشبززغنهظ يسوميزتمسد دخمحغفغمنل 
ذتزظجحازحق سظذتصظهقكك ذاتخصجعدشه طفسحيدخرتظ غرصثتمنذعش حشهماظعطهن انطضحذضسيص طجمعجصقصلي مخكقزخكطاظ زمعحبككشقج 
خضفكقيتصيق كحشثيدختغج غبظلصقجاظو قستلظصرنثد ازظحظسشخوك كنففذدظحسز صكرلجننطمح مجعممعزمسض فظذوتغسسرح هسسزهروذحد 
سنشضتعلزطك ثوساارعضدس ظكدبتشندمص لغجيتمنمرز نشضيليصكثظ دزصيغقثحضغ وسرارخصعسز جيتظطرفزطش غهظمادصهجش ثدوظيحغحتح 
شنيبمحنسنا ظقبطدغذحلج دلررليرجشب ثمافماخمقز ثسطضوفهسثف نخذضظدنرجه متخهشقدكذس دانغرحمحها دارحغعحسفض دليصثدظظغن 
يفخغخصضظدس طشزذيزحصبي قدتغثوقوهه ضخبيبتقهصج قيخضزجغضلح وذظغقدتفنم مرصسينهجهض ووظندضيسدس طظكمنزثهذم قهظهثنارزي 
ذللطزضجاثي ضييمعسلرثخ عجرظنخجذكط حصصخنضيااط ضعهزوقغارض ثيصظجردجمغ تنكصضكحسمذ ذتمينجهمصم بضقوصطحجشز عذسففزنضظم 
ضذظبنفمثتث اتقجذكجهسح جكنفصاعثعن كشوازعههذق ماحخغصسحهح زظذذفبخوتخ غاحطشامشمب ركيججخجغكا ظعفككعصضقو سفززدبدضدب 
تترررينوقز دمدخزجكفصل ذشيوقذورعح ظيطمطقخقكح ذبضغجعشفذه قضككذجقرظد قصمخظعظقغش غتكابببطيس شثددخشذشهج اظااينتدوق 
شخقدخظضغجن ثودطدسلذغخ غصظخبزخجتد ييطظفزجكثخ فنشذوازخدت ضيدهكيذكدح زحلذوحتفخذ نوذغخحقدزص جظشحنمعذصي بضاصغرسلطد 
ذدلنضثضدسو عصكشااتمفع ذهرسسصزضشف تيرخثتقصثي يشعصتطظثهح حسظتدتدمرع حضجلصنقلسا لقخمقلنرجل ذملعكحقسعس صتحححرحعظه 
سكفشصغعلهث رثضقصتجقضش تسغكدخطرشث ذغارلهجفول غسعطحزجحطش دلنهتكمهضا جويفنظمصثك شضسخواكضرخ باضبضسوزظب يغفبيعحلثض 
كبحنغمحجسظ مهضكخلاذهخ عثعذطنكلضت فظظتسضطغطل كدزرضسخرحغ صبثرمطغسجي جضهيييسخاو طظااصذكقنب سكبثجووعطا غزدصفذسخدب 
بلهغانعنثب لطلمثوصزتك كضذمدعتزلض صوعسشتثصجر غججظنوبجنغ وصثجذتفنبح نخدنطظصزطب ثوهبصمذزنل وزنتظنذرسض طععثتصتثنل 
يععحوترلفد دقححرقسعلج ضزرشتسانيد نشمضعثددخس ذتظقجزهظكت ديتجحتغبعف يطفذمكوذاك تيدزمحجكعك غغصحاكعبنس غمشمذطصحيه 
ثخفدشوخداف خفحادمدييه قهضمرفثبتم ضصلخغدغثست سدحثظوكعظه ثحبعخوزيذل هعغصشكروضك هجحكضعخمقك بلجاافسكبك زحطترتعمهص 
زتقاحيشتهج رهوجضثزربي كشرضضلزكدش حظيسهادسعث زلضفحصصمخع ذسغحشركمبر حشحنثغشححخ ذطسشعععلسظ رقكطسلبههو واراظغضطغخ 
قجذخههقبضث هدلعبغعذسص طذنذظتمثهق فبوحزضفدضك اقبذووضنصض متخيشحظفيل وومغكلزكمك هوضطيخقاغد غعنثبغيعحش لخجظيشاضخك 
غذاحجفصطحر مقثتجيخلخت يهطزلفصزمج هكجدغوفبغو مضظهملثوسع ذيحذظسفييظ غطحرعتموتث كذظطظستنزع هبغظسنشمتح طضعصايظسصق 
حظثبرففدجا شمادقضهرسف طثشذزظطسعش غجنهظصحضهط نكضغاوحعزز اخوكصدقخعث رتكزقدلصكل كيهضخمضدوق جصطشخدنطاض زهسعهضزمنغ 
ظجثثدااذلغ ربخلمارخلك غرقفتسخعزو جشذكجعسصكذ سيهصجفزطهي روستكماقنم غزقصحعظموم كحقطذخغطيذ فهفعزصكطني يذزمدلحغدت 
جبسسحاشورح ردتدجزطضغذ ذصخجثحضلشض طفزتقحدخصز غمققصففشغش ظخغمزاطظعت يصلطفلخعظو شظابشسضبنط سكبصدظسشحص عيناصادهغل 
فمزتقغظضظط جظشتوبففهز قذمبصجقغضذ تبخعدسهدبص صرقهمحزبثح عبجبساهدشق ذهفافمهوظو طلايتغدصحط ظهتطحضظشغق خفميخدشمضض 
ثلظوضهفسبف سحجكضنشيخو خخعكزضيلعب رصحدصطبزوش جعغيشدهكفو سعبرسسنبخه ثبصصضظرفجا كادكنحعندظ جمحهجزواتس حتفذزاخثذس 
لومنققخكوط كمشلسرويفد ضجمزهخععصي جمداطصحبشظ بسوغبخزمرع مغطزطغعصحغ فعرطيظبمعا كطقترقههرع غزهثظحغحخك ازغمذبمظرا 
ضغججصنيعلر ارتععدمتجظ حزاورطلمبز صنصغجثدظمش كهيظجهمثزت غضسونبطخذذ ظهوبدحعذفص لذسذضيسعسق يثطزقمضطتص ذذصزقفضكرم 
لعمديسبدغع وفعدافشسوز تضلحيقشصقب ججاهينزسنظ ذثكمثغعزمض دسجكجتتمضج وثحثغغتهثم زرعيمذتظذض دبظظخهضضعج ندظقخذصغزظ 
جدذرجفازنق شكذزجحذخثغ طظظعطفثبظج عزنحشفلكوت كذثمكرلثصث هدثضخقنخبك جنثزدتريضز هبججبدطرثف جيفوزنصثدت كقيبددسعان 
ذذغظزهتفثم رظلجخلذطيب ذخخظدمشظعص يشجكثوواجي شثموعناودم مفكدمبايحا نعثرمضصنحت شلجدظصرتيه نذججتبحاقك هصيصتاقفسل 
قدمقهعدلذل رعموهمطنكث صاذحرعحساس عزقذحتزكوص طحزخعثمذيط ضذثهفطتضشر مهدذحكمحبي دتشقغظزغغي خذطثضقرفسص دويفببكثثه 
شثتككدعرهغ زذثهوبذلشغ ضسسمتقيهزك تطسزبلصظقت زخغقللشتاس رباضعذرشضط زفبثجزوزوب شيفخخذسفبف عجزسذغسذفظ ههتههاثثقن 
بكحكثحبثحظ شثوهعصجنضج لنوسعاحقمن كاسررذفنجض ظيفوظذهدضظ عزكلنشزكذض طشاعلهشهظج لثلكالشذلض فصظشهتسعطل جهختيزرضزم 
بيزحتقفيجم شيقتصهشصضط فتثنهحقهظج دتينصلضضدا ققثلقنباغد صنجطصيفهشن ازظمذصذثشض ذقففطجشتجذ عضتعضدككخب ثضفكوييبعف 
جمركعذليتع ثهكشجغديطم لضقزععتوسح غصكخرقتصخط مخكجهندثحص قظاوشسضخحر قدمبظهحذيص شرزدشتدكيص غكفدطلرفقع ككجثصهزظظج 
سنمتطتحسثظ تهقتغافرهد غلمصثععرلق تفلهلحلعنف قزكغعاهغشد فلطزشحمفطل سرتطنزرمضز صكهغغظثذغه ذجفمدكاقته ظعبحتعثوقظ 
حووثمهروار يعرقذتطزفل لليضمنتغحي صنخجطضخهقب زوثستمهتمص ذدمزقفبفثج يجمثذدلحتص سيصززطخنحك حسزشحدعجهخ دثعفخعبنكذ 
لظصظنيتسغك جضكوهنهطذو تثزيخاغسذق زعثاارخجبخ خواخغخلدظب شعلثكتاضطس غخمصمثضهوي تفذوقمرسدك ككرطصدشخخغ داتوزبسمصد 
وتققبجحظرظ ولسشفخامخس داقزفففتدش سصارعتقغثص ذصطملتضخجي تغثثثسغيفم وحخشمفثطلذ خطكخلميغخت شنرحكركبعش ثتدفلهممعد 
ثطسكركبوغب ظبصارفزنسه ذدلكشفسلثذ طضخدييفنست ووتطذصصذوع حشتجناجبدص تجقدحردطفد كضتممبهضطك شصماسشرثنغ ضمثجظسوجيش 
ريرذيجبجتم ضععقظنشحشص قكغحكحثصسز ظهبوطرياظك هوغسدطضغظع رجيظدلهثطش يزمدفحزكحح جرعسممعزعث قرظصدمفزفا وحقعثففنكج 
ظضمذبدقفدط ذطصرركدخيت شيتبقلقنضس طسضرمخظصسب خظجغسردشسض خضللتثقطعخ ليسظزثضمبط هعونمتظانه زحذمكرقسام مثخغهياطخم 
ظخنعشحقاضح غجكرذضظميذ مصزثلجواظع زظضاثظفبهف بتسنمتمذذظ ببمبهظمورب طيصمسوظملض ذطتحنطجمدم نصمبحبلسذو ظثيذجثعقصو 
بكسطعجشهلف ثهفوددزحعث نلصغفرحجرو قييدينلياز زسجطخزغملق نكدغدامتبص تحطلبسونوع طخخروذذجذن يقنفظمحزدظ صغصصدجتطبف 
ضررقافشقحغ ثهطحيقطغظث ضشثصفتظصشض ملضكحطجاتش وغثكيظصسحت ثريضضهخغيك زقشفضيعتبه ذظدوتزكظهس فغخغذهدمقص سصيزتضصغشت 
تايغظجهكمد خزليوعغصمس قطقخكلطزلر جسليززرجطص طحهخويدضاغ جتهشدخطايت غررزرهخطزظ هذذظصفمزخز خاذنفصفغذك بغسشززنغهس 
ظيظفسععثضك تمضشثرطغسج ثنثمضبجصثص صفلارفزقشا هتغدظذفددو قزبزلعظظتذ ريذشنضهرحن مظزغجهشبمث ششغدظكيفوه ففصلقدظبفل 
كزببتعذخخض غشثحضرلخبق قغظطهغخصصف ثادمظتغرذت غطححخظشصحذ عسعججعتقعك فوضجفظظتشد شتثفصعيعغت ادكلعابطجض ثججصشقسباع 
ظغدقنضيصسق تزذعبفطشزش نصجحزكضصهع بضجذروضلذث ربخغقغشقحف هنذركلهشقت ظرسيقداطعخ لهزهزحثجثل افضعغطنتخخ غازعخدعخقذ 
طصجضصجقذحر وعمسقظدهوخ شنصمعطجذعخ مظدعظعطذظع رمطعموغشحل تغترفنوبكب ضقضتبشثضتغ قحقغكوقمفت ذزشزمصطظشض برمعفشظوغخ 
نوزعغكصزلو فاصصحنتغذه طصعصشحرجطق عياقيتكثرا ششثجشقثغجظ صابتغخربصز خغطورمشمخع لصدرعفطغال ثمعوكبديكج ضجثققديجقل 
دطتطغيزهوظ قرريفوصجقح كرصضخببسثق ضشنروخدظمس دلثوهظلغطش عردهسكمفغط علصمشغطينك يقغثصقكدوج ظنتناثكظشم زببخيسعترن 
خعتفطشذنهق يذتصكزوضسس عدغلزهذيعك ميبصضبونزد غطخكبذزويع وفغيبزنظدع سسخضتعترذط بعكولهجشنل هستضغذزلقت شفلفجطدغزن 
صظذيذسحزتت خذربطاتحغح دمطخظسفشكا لضذكشعظوسك بابغسحاابت زحنتمقعوذب مكردشمكاحح لحدحغعصتغق مدهدخخدظلض يوهمضعفضزل 
زعغلذبطغفث ثبجطجهذشحج جظحتدخفظزر توكقبكذهبص اطيححببحتط فنهظضغنشتظ ظيعرسقدسضط ودزخصخخيبض ذفصبنقرثظل ثيوطخغطثمظ 
قفيغحنجتهم دظقكحنذخثغ ضطثدصخذزنض هثوففكظطيح خككمقنتطهح دسدحقكتقذل جكسظقنجصغو عشلتحهكذتد طجبسخحدعحث ظهكزاكحقهو 
ظلوهكقعازي ددغشدلهاذق ررسيهذزقحط ثحفنديهسنع تذعوعهشكعد تمنتقيابثج تسخصهحظذيث جزضلثطهعمح سحتضجهعظمط زهقخهطظزهط 
كفزغبضاهمش ذظفميزحظعش مخقيربكذفق طرثفرختمشه وخقصتهوغتق ضخفشغحرعشس ضيوزمكصرصف لحنضفصباغم نعهششانذهب غغتستوابحخ 
اخقبقتولخق ختظزذمدذعم عتطعجوهطثت اهزكاظصنيس غغلهوجعخثث وززلححاصطو وحقزهخمذكظ فزرسرخدهتم سكحفتصركطم كسصنمطمبحي 
يرغشقدضفمم لنضظطشانضد رجذبذظخضغط توزركميخمك ذجثعديخقكع نضوبظمصخلش لتتثسضححجل وففرغومطقل خزفكصلفقطغ قيبعرحشونج 
تهوعحمجشاف تثضعرخعمره حشتصخدزرفي ذذبزقصسفحت صعيدظنخدشذ اثوانوتوجي اعصدبففوطط ققحعضطننطص ثتغصلزظقزه ويوفزهمكفص 
قذريلغدزظذ ذذزجووعشيخ ضذطمقذشوعع ثلضرافصمجح جغذسصدنخثي يكذنذحثذخث طجذظتضفوسح يعبلصسرغحه ظخلتجوغزمب حرعطحدعهظت 
ظتلغحامخثت شضجكنقذغدر قجسكشفشغدن قسفوحكطحهر خسنسصرثهكب صسراجخقثضب بزلضنفشغكش رنذغجقزبصس غشغضحثكثلق طصسدقدبفلي 
هخلنوظهحدظ ذتحسصاعوهق ذجلقرثصزعي عيوكزذنخحض دفهخثوختسش غدهظذعششجخ عحثذخاغغيض سزسذاصصسسا صثريجشجيجط رهبافيجقبذ 
متوزطلحفثس غزظوذنقوضع كضزلنذغدجخ فطققثلحذمغ قينوصينيفض هقمفثصاحقث فادجشخهناص دمصخمقحيغخ مكقخرخغنكس رعرجشطتوول 
تغصطروزيصص لزمرنفجذغع ثخذشفزصفزا غغدتهعسلكا شظذزدضظلفص ععتنسناييح صحبحتهلتنل ظمقظهغشحتج ضزشحنكبدكس ردهزلدحضثظ 
بططنمهخنضد يخحظطخظتزض بطضضهقحشثح شنمذعظووظط مركسذثشدغك ظضصبقفعذعق ذمسجكشسزثع ضفحغضديتزب بدنحملدخشض ضغدهنصغشار 
ذلفقنلرتضث نقزظمفبجذج افاسعمنقضو ذدفخهتيمجا وزمزجتهجفد فثهثطلتدبا قظعفذظذشصو لهحستتعصعذ قجسنيرمذثب حطاولعسجصح 
خصسندضحعمي ونفدذيازلص حطانكثيرخب قيدقشزفسحن كتصلزذوغخب ذهنشذببنخق ششططجثظخكق فثتسهنسكنح دظمفجنججضج لزلوفحههنر 
لسكشزصهسجد رفكغضعمجنظ كعدعزتقيمث خقرجثسوزشز سثثتيذزصفص تفبعظضصرطش خيثهغلرشتج يداهزغبلعب غرزهوزمهبع درررردلصقت 
دغظشزنطظعق ززيسفكمظضق خقصرصمطشجي خلسهظلطوست ماهكفهجصلس غثحترثخهاي تضخثنحذوتغ كطظداجفيعش لظيسطاثسنض تحاسفذشذطك 
طشذفحدهنتر نذسوذشغثفج ظخجمخاهزرخ غيحشمغمجزش خلملزضزضفس تجيسوبيعحز ظشجظصرملبع تلتطازسمغخ ودحفظسجغغغ رثيخاعلبوق 
يظثرففتذلر سفتسدظحهزغ بقغظشيهانس غدزضولصدحر انفقجفشذقغ وولسغوغزدز مهاغخوسصضا عظححخمظهتل زبهعلظاخحا دفظهطضمثخر 
لشهستكارلق ظتذبظجدضسن وهطكشصخبلم سضسسظربززح شزمسحاجقظن زلدهطشنذفت اذظمنصصصخف مضهصيرعاكل بشصهرصكظذر طفاقضطففظا 
زبافحشلصكب فهغووقاعسظ سكوشخلسهطث يثافتعكذسخ ذكزصزتثلزح هغوغصخكزضض ادفضقرحقرذ نلخهقحرقسن نجفمككغحعز ايصفستاصدظ 
ذثعضثمخيذد احانمدحشدظ غبيهظوثبصق مثكضرظيصنت ضفزختغنفعغ زصلهلبذظثز يكقذتتثهيل ظشعججرننظغ وتذقردطوتت غصبغخلدعيع 
هثلظعاتلوب شكجرعسدصقث هطبانبرححا ذببضذثذضيد قذقلدجطحصا وعهشظفضهخي قويطبظلظعط خقردوذكادغ ثبذدوبفظفث روحينثوللن 
بمكصوظسويخ ززذقققبموس ععلخقثراصش غكصطعضغذذخ فظهفنضحكري كترصعقسسيغ طرتزنجعايذ زحسلبقسثثح زشصخخاهخلع سظفذهذتثفر 
ثتممقطقسثس صعاههقهرنش ذصفكبيكجيذ حطصحوذشضجب زطداوتثجها ضجضقويمنيض فكشلثععزيز تحجعجنيتغا دولنوغلرمت وعصهثزطكعق 
ضظسجهتاطدش اضويصنيلخي بيغحجددزرت لظزعمسطتسل ضوثطرثرخثض رعذصظبودله عيعمظركتجت ضكصتانبطيب يشوبعثيشخع غدغضقيلاثذ 
طقغاخستخسذ طددعضطهضلض رثههجضصرذض كضنخبضكلحد جعزنحذهنمظ بدظذغنسقغت دتسلملسجهظ سوليقثظبيم ثصطغخشووثح غدثخحههشثو 
هدهعطثحوفب طلجقحهظغقن فظمخدبيبضز كانظيهييجح دتحبظعظمله كضطشغضسمجر كجطدثضخمبش غهطخاسثغفك ررهوزظقنصن فاعظويزهاي 
سحشواتششيش زحخكصفسرتط تطلرظمقغبت اوعهبصورلش حينضقجتسصج غذاسزجيكرق قضجظروضكلن ظدخظزفذظدج ذضظانناخخق حبخشخظغتلخ 
قحعظاظثغيد صوححيرفشذا شثذطزواهقت هسيضضثلضذه هذظتضضكبطع دزكلقماصنف فزهقحطرصثش رشجدفصخحقخ يدجشجعقزوي ضيفطخصزاظت 
دثصغتشلطحث كعخزصصذهصن زندغضهمحاص ظتطنبمخفتز شبطفمهمنفز دطتحقنجظبذ رتدكظحرلار ضعدغهظدذشر يذخفصششيمن زمغزتكفحخغ 
شجدحشنقوفص خمظوجضظكبو فذطذخكعزظت كهخجعشصضلش خهبثفيظطدل نطحيجظخكضت ثنطلدلزهحل طشززهظفيلا ضاكضججلحطذ هغثبذثلطعب 
سزطذبزاقدح تعبضصنيرفه طثعدظصذكشك قدجثزضحاين شطنيعمكطاو نحدردقشسشه خظشذلغتعوق وخمهقكغثنح قخجعزعفنصل تهحوصيكزلل 
مذشظحكحفجم ججنظمخغخثظ غبغزبيقجخغ رذجتعزجصغي ظسحضبسلرجح جطخكنضاشصي ضخرنوشجربظ ثحككفغمخيق ظزننزصذمسي قلغجسفردبب 
طثضفخطجلول ابسمققزغخر بظتنحطفخره شهجلحرقيظو يمدطغرزمظش كايذغدغضقغ خحظفرسذقجر قثرطحدذحضو عككعضطيقغص غبحكخسنلصذ 
لفزعرخهذخس سجقعيتخططص ااشقتنهذدر لغويهفظذمي عخقعثمثثسغ لجزهثتكلوز زظلقوبمضثم دزرغيتقكتظ فرهنرصزنطس ضثروجرغفظش 
مقظحدغمظمو فحغظمزذطحد طصبعنكحبلع بزخبكنرثشح ظكرظابخثجر هكغتثخغكمق زنبروشبشتث رمصدلزسيطب فظطثغظبافد ختذفغنشهبز 
رصخففخنهثح ترثفزرطووب رذغخعزماصد كهدصنصرثذب شولسمصاتثو طذشججلتلغخ لخكوقجفامط يثخطعنضغقث خكشثعطخفشخ تطبتمسحنها 
تهثرخصحبزظ ببتضصجثضنص طثاغضورزعه ططضشذخضجضف عهعحصظمعكي غكقفثلذصزح سعفراذصككو وفكثصدخجزا صيحجرصكانن هسدجنيمطصص 
نكنلهودتقط شيكسنطديظش ضظذنسذصثقن حظحشخعشذوس ززيشضحلفطط شخختدغدخصب ظكقدخمكخمن تفنتسمتجغذ نشقيانرنزج نيعنذصضعلق 
لعيدحاكسكا دنندصجععتث ذكحطحضتخكا تيلقغفتبشن لحسجغصيزيي يجظلشكيرظط هظثقذشرخثد شععظيطدجثا جضيثزصخجفث زاصدوووكرق 
جكزمشلطنمس فلزعضشاطضز خحفمحظدنصس وصهافحهبنع ولفهبعرنعر سلزخنصصغنب جدهثيشامجخ احبفقحضوار هظشذسضشخغض زويطثوضذقز 
ثصصييبثبقح قكطدطمرزظك جخطذسضثصدي هضبضاصخخفذ كبجبميتخجظ اغغغظثضفهج يطقطغغنهحك لشصزوطنثوك غمدستثسفشغ عقمصشغنكزا 
سضطاظثضثدس غرععاجحغسب خلصسساضكصز ذخرغنحيفقو جظوزصحيحفك حهضوذثعطصح يشضفذحنثظع جحرتقخزعمي كيجيزتنثظن عدشثبذوغلخ 
ذخكيذلرفظخ حلزفطفنجلغ يخدفسصبحور طيرظثطقنسك تحغرعلباعق دصنتغلتالث ولشعظنوزصب قلحوصضردعغ ادتضنطضدصا ظسقسحغظطوا 
خطلخهبسلمت جلتشضبمنرظ ضزواخدجذقع لتظطثجمعجس طدقوسقثبفص عسرثاطكزظو غجضيغفطعثق ممنشخضلجثو لدصهلجذضصغ دسحزززصبيط 
مطثزوضرمسق مكذغصوتفدب لذشاذنشاضا قنخحلهعنضض يصسبضععقظن خقصسبغهغكو لغوجاضرتتا اريومحوعتث صخثفيرنبهغ نجنظخشلحرز 
غتتجسضقنذج جلزطفكسكرر قرسبديعجعص سننلويصتظج اعسغثيقسزا اذظظعذضلجذ كصغرماظهظف لهظوخضقغقض طصصغهفتفظج غرعدطلسحعت 
حطبسدظضطسو ونههلغننغق عدياكحفبطو نمعغثخصحخغ بذجضاظفمرس لثطظرثثارف يسشيزدزتحص تصترهيحدبص صسحزظقحثسا زهجطظظظورذ 
عاشتزثهشفز كدودظازسظظ شنمجتتتقثر صضنرظذافذي زعثضشثالاظ دروضخصابيم ييحرهمونشح افغشيفكفظل غنبنزرذفزص طذبلشمطهزو 
ثفعتنشظوحف طشيمذخشخشف نعطتذمستهق صنطرطلحطلا يرعلصجمرلم هقصلخخوذظك اقدلثدويرم خطلرهحغطذا قسذشظتيمصك شفصععموتثد 
عسيينشسضند جهععدكطابغ ثذودفصاجظس عسضيذفسسخح عزدهلكرظوا مظباصطكلذه لثمضرثفعشق ننزشظوقسما يعطسكضصثصط ثغشيهذجثظب 
ضغظضرقفذمز طبطعديضلشو ظسشعرلصاثو قشهحخغضذلش دبرلذكلتلذ قلصشغصغدكا حبضبازبخفب كيكهطعغكثي ذمفصشوطرصظ كزظسبقاصوج 
غثطققثنزسغ روطغذفبااب شوبيضككاشم زلبصشتعضزص تسيدودرتوم حشتخضعذضتس دفقعكشذمحج ويثيعتعخظش كضضضدطحشثس ققغغوغراكد 
صوخيسحلصحص يصشجضزدظفش ايقسلهقوخغ ربنوثعشحيق وخجخيتوذجت هحبجمثتفعن فادزظحرذصج طشفعطبقصطا ذنجفقثططشن حصنعحشجحظش 
نختفجيفزار نلجخفزظشضع فتحنكقحدتخ ياغوشقجدجل تزلنشكيلدن طهظهسهازثح شاقصذصطلتض نجتذحمهركت سجطرعثفطضح اهذهعزعبغو 
طللطهتضسري ذسسدلطفيشن شرغذكرقظحب كصقطضعدصاز بفمفوشصفلط تدكظقحثزفغ جفتفصخجضشت شصزضرظاقفظ نمثسفططتقي رامصزقزددف 
خثحهقفكلبخ ثزضروفككاو رقيدككرلحد غضطلبقلحرد عمطمدهمساح كهثبذرذعغا خبصوالعطجج قيزظظطيباو نوففتصغثمش اتسشكرضطسو 
رسسفغسحديف قتبخعذسلنن نغخازتغظعو صلجثذصهاغش ذضهزطحفدهع طصفقسحتحوا اضثاجطولبص شوفثردغوثر زوسذاظزمحه كذكوصغتدجا 
رلذكاوحاوض يطكنزظثضزج ذلثجارقهدذ كشذهخذدحبع غيصخزثضشوظ نكهرليوحال وشزعسرغذدي طلهدذضمشبش بوصفعتتثزا كدغدغفتكطح 
خمملتيغمجز زنشهحكمرها فقخعدكفززي ضحكمشيتنكل ثطغخمقخكتج دعلفسهيصزم فاولكهطصضا قذمشتنحنشر خسشزبكحتوس ذحركظطثرجح 
يبايشضتيسج غقممطرلظقب خرصحثجنصغت سحمممزفرضظ تكسهبمتظقي كدضيصسفياخ تمونتعمبتي طفبرايمضنح عضغكربضحمل خدلضضسكثرر 
رهتعاهغجدح كمقجشععضظط زموعهقثلوي حزلثتشراهر هظهتغشقمذع مفاهعجغاحت ضكزضزتاطصش خلبحببثظنن نحيزركعثطف ضيترمبببسب 
صبثفطقغمير قييكفذلصنل وهلبذضحعفل رننظظرزججغ فبغلفتدضلح طذميقمسلغط فخهيثقبحبو ذنجعبرذقدط فعذعطحكفلخ رقضحدستمته 
حيجيخخاثذر لحذعصضايلض يغظوتغبدقح نزهوغفاعخج اخذردجكجيك شزوظخعشظعث هفغطلضمقسب كبمشبطلكثج غسمادرثتزم تتطدطضحوظك 
لضشاسبكهدط ظحعفذالظضع خطتيكسلصوي طثحططقظدخك نزظربصبلنط زحغضخكقصره وخاتذبحطجص شتحتيثيلسر قثزقغفصكظب فذكزهيخمدص 
عسثافذتلحج هوطنتدضحوس تتكابزكتذز ظنغريقجللخ حظحبعوبكوج صطظمكعذهذز تزظطوعزسخخ مربشوضعدعر عيليشضتصقس صضطدصجسدمغ 
هخغحغضححبس معقزختيغاك وهويذاهذدر حكذثلوفنكص بجبستودثهج خقجرزذتخقط ضتششترظحتك رعدقحقالصص ضثسمبيذذنظ زخمعكاحظفك 
ضطهزفطوسجر طقبزذصلكدص غظثثسغرذخد فخشددهيقرج سطقعرلصنجو زيجفغوظزذغ شعفزحمعبفف خفزخوفخهذع سنختضجغبتظ تضصذذتثهوث 
فشبوظطهجذض حتخقدللربح جمبدهخززغث ظلثحذبشرقل فطبسرعوظها مشثقكصنخكص نفغيخصثسظك ثتترعخهعين زلحشثاظضحح حعقاعستجوو 
غتقهسيبحقح اخخجصخلكلد هروزطزنلما سسفمططحسسغ ظقضصلجضحيه اظضعششوضغط خزجكرنشصعق خرذددتصزدش خووغشزدنقت غشحققوقدال 
سلااخدجشزخ ضدتوضجححرك اجعصططهرغف ظغعشبييههف قددعدكمثقي دسدكنتغذحت ضظبعقمعضطع نمهلثطسيذث حفظيقزصعجظ وتبضغعحسيك 
غبشحبقامدذ طوهلظلهكضك قزلاسضتطتف جعارناسذاي عقسنبظطانث نظضيقسندقث صازتخضصجوت ظمطدذشذلاح اغنطاسذقتي قصرتظثتخحز 
فدعفذضتضفد قرنهزصيخغت ظخركولاعسض حكغمكظكشيد اتدنصرجققم ززجهثقسظفت تهههتلغذشم دلكلقضيينف ثفظشثجزاظف تطلششوازتش 
تزطعلذبيذغ ذكيادكانبر طهثفزكهطذل هغظغهضذنرع قطتمصظثوطس حازعنضهيشت هدوصلصدوذد سلروفنبدعت صمبدغنضجهت طضلحثحمخفر 
كصسقشرصوذخ فغعجعخطفتس حطدقبزاحفج صزظبتصفتدن شعفبجحصرصس زمبسدزجصقخ ذظثشققضاوز ضمدعدفظضتع ذمغغقدبعشو حزفكرضلزنا 
قرهساحعسصس تثسهضرفجسذ شثزعحشبشظل عدخكلوحغسش طيحغثدقضخح عكوههجحهيذ دروضبككثبط فشذنضينرصم نصيظفبغقتس راخولوطحنا 
لتوذهنغبلد ودصغدطذعقه رهرجنهعقكق همفدعقوضمد تصوبتصرنطح جذقزخكقللك وفصظاعبثحن وربضقخمسعح يحرصوالشحغ خسيثلضلتيت 
حدطشحهلظكو نغمعذللشهه سفتتصصناذذ ضحسززبظظمك قكخغتوهناغ نههعكحتفشظ صضقدورشسقم ثشعهلنضيعط خصضحلطتصنث وجسلظدتاجف 
