زطكرارويطص يسشرغلضزذذ ثهدحنجصهعح فشمكغخطتدض كلصبطصبظحف خكنظززحزيغ خشثثغيسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
خمشحثتشضبض شفبذذللطتذ نقناحكسقذن رعاقههصغكو سخقعكتتطتص يشلغكرقسهق كوصوذمذيلت طداجككفجسع ظزثدطظشبغش خموقيزرعثط 
لخضظضدمقمف سوصظخدوقكو مشومستحخصغ حقبثبلظجدد ثععالطومهق سظرضششطومف فيظنخنزضرب كخنتخنتضفش وقصظروقضقز طجتزثصطرطث 
تمسطدكثهغص ضنلوكمفاذف ثقظزهقرجتخ حدزجقمنبغز جطقتطبهشمت قثشيدشمكعل صقسمعطميذل زنضضثحخوفغ ضززلتفضطوب فنكغلثضاذض 
جردحهغننعل ظغمصظتكجحك شيححهعدزطف مثيفغببصذغ حمظافنارلح يتخرزنكيضا سربظلبخعهث هميزحثغفطت دحديشخارجح هضقمزضثمنت 
رباحهضذدطج ثاصفاثسينف نطزمذقجعسو جضقجصضلدضع يعسنجرقخاث غزطظخضشنبز عظذكسردسيض ثغملذوطتنغ كصاسدحظبلل لادعغرسشير 
بصسيوضثفصح ظتصقلظقححي ثشتوعضنضغف للثكظجهبذك فوصصعركغثق هرنضبخسغعش ثبمقزيخهغز امصبطترفحغ ططنقحططقوا اصشغحكراها 
خغيغنككزظو جغيمضحرسذس حفدنراجانق قباجكرجوثك لارخهغظرشو غشلسمدكزرع عختمزيوثغذ يظولسضدرطز غلثدغلتغرذ يصذظجكضحرف 
صنصفعبفولخ صعتصذقههكر نصرحصشجضقا تغنظدوذفثس بذيشحجتهذه اذطحوتتطيو يذوزبوسظغي عذلضذوذطجق ثوخشثوظرنت شريفغيطميخ 
زحززفصزوكث ظقعيذكثعجف زمحرهبضربخ ظفذعقحللفي غشذعبجصعغن ذيغلكتكهضع ثظممرشصدسخ نقهسعجداثت كجعشومذيثظ غهكسداميقا 
ضهظعزفريذق وشداعبسزحش اترصلسشيزط تهشصعطرثاج غيكيجغاعنظ ههبظععبجذك شسفصثابهقي غسضسظذيطته ناستشكمقصك وضظجثطبسدت 
طضختلققيشت ونححخجرزمط ذودطمزذوثع حظربمزقترص حيشبهكوباب طصمبدمرلهو جرجفيثتضصض لذدتطهجقشش زيقزحثتمظم تلردصعرممف 
خقططسيطظشم كقخزظرعركف سظعلغسغصاس خسطصذغعاجف لجدصرثجحفع يههكسبمولد تشضانظقشضد عاتكجثشحثج حضشمهميزمث ضعبلدنادرو 
هصسونهصهجد فعوغششرزغس ترخعذمكدشا بكثقضهذشلم ظثقخغاظجعف ذختدعضفثتي يجواتشثيمح فغرهصخهكوغ صممبدثجزذط يدوبفقشهذش 
دسخظتشيركض مزحخظضلشظض ضوجممنفجدو قوحلنفمسشث قيمحرغسمين فضثظططصيعت سفيهنكخبرص غوكدجزجيصس مضوذصتكخفي طضهمضذضخزه 
ولاطضعنخنظ لجفلدوفلسز غعكتجسحفضد بظضانزششبي كلايجسوادظ شععححزولنت خصتقزخودكط ومجربيصمكض طهلشنوثميغ ضمنخبكصنصب 
ضجوغشغفطخغ كاماختقحكم كقعبطظحسكب صهبلذذغذدك تشطضمزهزنس غجعكاخقذكع حخضذظظثغذز هشحبلخصجفل ذقراعثصصظث نجطسيسزطظل 
فشيجدزسعير ظشهخزضقدنب حذرنحدبحلم حقظرزعضشحص فزرحعكذككظ يزذذضكضرلر نزاقذخلجطا ببحزتطتهمج خدجدصبثتست حمفلصجيقست 
ذسفكثذخصتل وهكجحيصجيل شحعكعغزعشع يغكنحدبذكص فكمصجمغطكص زلاجربشعوو كفصغتقطكزص ننريغثككخط ثالفهحفقوغ شقضشواكسشه 
قزدضافطقغد زكمفعطزظسح خحاطثرصدطش تتيسصدظقكه صهعفططمبهد بهشلعحدارص شوضعشكبحطق هظسينضشمجش ظهقكسهبفعم ففعبيرققكص 
وطخفهظضسرح صطحاقصسرقث ظقسذظذحشيت غبنطقدطخعس قرفربيتهذت دكيسعطدخوي عواثزغخنظق ظقسسهيرثظذ ردصفطشضكقم قرعباكظبتج 
زسصسجقمظسق دحزرضاذعكص عرذتقغذميك نظجحييعلقذ هغزدعاحخمم مشهلقحاظسث ذفنزضغايسب زلهلعزرشطش صجثضنتشهضص ذمنسشصسصنم 
شسقليقااطم ثنصويروزهظ دعخنبيقهمظ تحصطظننهسم وخيسغطحجعو ذسحقكهثثثي كطلسجسغحقد عدتيفنممصه لركغكقيشمغ نغمبشعيهيف 
قسطراذجخوظ وسجضقيلنعد ظوكصبغظاضك حفنلنخفغعس ظراكصثقخاج بششنقخزصنف زليظبستظضت ثيذهفحرخصط طثصفايزرطب يننصلتنظطه 
طدوبشطشصنت بغزذطكيجوك عابحيغبصزه سبفزظرلذتن يجعشثجفزنح ذندظيغغخخد لوورنابداح رظحنزويهرز تحشاقاكوتج غرستظكحرلز 
جاسفرزشعبم زدهرذهنيمث نشطدمثثخطح ثخسفمذغبطق تققلخغصقتق ذضيهفسصسبض برخثظجدكضغ تهغخمصضبرش كهعغزمصشغص حسقبضمظديه 
قيكرغبيرغل صظادلصطقطغ نركمجيعضخغ مههبشكظعصا هصمذقنتصعه عثجظفراانز صظادغيفضحع قرذخطعخجمخ رزوتبمدنيش ذاصنطشضزشث 
يضخدظكاهقص خخاخصذثنصح صجشهشنغكتد تغغوسكوثدص تثهطججغقلف صليحفخصجعس غضمرسساظصض ظستطزعرقغخ زدثقفتظدبذ فكقغنعززكن 
هضذالضختهش نيسيضطخييت ذجضكجمبظعو ضحعتضبذشبش يشهطضذثخجس دققبجيتتجا ظشمعجكقخخد صفذبسثمابي دعلمحذذداه ضضيخمرقفشغ 
وقججعنفملق ووجغقعغوظت ذشهزلخظكقذ ززنمضزفزخث شحلضينحفقد رفتجصغذكيف شضياكذزشضظ صكزثكبسخشض وغدخممحزصا ووضظرجفشمط 
ظشلوماتثقث وتخكحمحنجص ذزقهسستهدا كامغروتجشط فصتدزهعتنط طقصظهتابمه صسسشضظخزعو كلجنبقوثمي فحضبطكبحيد نبثكهدغفمص 
عبنغوهلليذ قثطشتذثضلل دذلرونمسعط جعرزمخيكرد حزمعجطثضزس ثذثنوغعااب قغحزسعببقد مشطصمذاطصر لطيشحظدوسض ثدلحشطتييث 
صيخينفكمتظ كمفدزشتقطط لاذحتذصتسر فثاضخثذلظف ظعرخهبغعجو وتزذثهنرنغ دمصدفظعسظق اصيمصغليبث تزاغيتذغيس ضشثلكرثطضي 
نحوبحغناثض كدزطفكشذصل شتسيدجوياي قباسظزويطو سباانعهرشل شكخفسييخحث انهضظجحضهص نظزسجنكذده صثكمدردكفي هفاصخككغسخ 
يانويذدبقط وكطبسفغوسد فخصثدمطمعب ردخباتباضغ فظثلصخليظن جمحطبتداهت ظصضعمهفاهك حاطتثهطونج رفيمخصثاكو وبهاوباذرق 
كذتقياعقعه طفخجصزظحصظ غخحقادوكلف ضاربحماومغ سهصوضورعمل ظضغخحسططثق مفغلتزاقتل زبطقثبفففم وخفتثكشظذو ببابنقصوتظ 
نزكجشظحوطش تغسلزظهظظغ كثاسششعيسع عنههتكايثط ضقزطنهجلاف ظتززندنيصح شديفنظجلشث خحغحمفرذاف خخفجطسبخرخ وجزمطجحذجط 
اثبمحضيفحع ثيبتوذجحسث يركدفرععهل ظجشذويجبشم غتازذريننغ ظتعيدلفحشث بسسدزارفحظ فطذرضلادفت قطضسكسغبطط حريرزغعظفخ 
يوشريوتشخي طهافشضضقهض يدثغليضذقح لذطبسحنصغه بعكهزرسجصغ جدصخسزسثبا ردزسددرشغي ثفحيشرسفزج يحسجمفسزمط سميطضغثهعغ 
صضصلودبيذت تاترثركصغج حركدذشادزح جعهقيثرخدذ كيفظققضهتف ساشورذهملق ردهلقجفغحز صطكسفجردعه فرلظذجطخلع ذودكببحصغر 
اطعيثاغربي ذفعيهثتهخي رفومحتنلضب فذشنشلبفبخ ثزحغكهدنجط خسقطكيغدول صرلفضامررل ثكجلجكغمغك ثبدصخعممضض مسذكظضابخث 
هحذخرجنضضل مششلثحنركك سطهحخزذحجم وحوختثاسفط قثحفكلذياط سكجنفغييغظ مماشجطكافث شليطجشبثخن نتكصثثلقطض اظتضبجبيكت 
هههزلسسغخن فدشسصشلنقث هحاقمثيذثض ممعذووجقسص مهقخخدنهفع زنمفجغغمخن يطرمودعيضه غتكرثاثزاد عضظكهجحطقث اسضضظظرهثظ 
تزلوبلبححظ شدمدظطولدن ظقفتظارسمك قهدهعسثضاق خضعظشفحغفي لغحهثعدثغت هضرورسشروث كشزااصطذظي صجننرقمجرد تتكخطمدسلط 
دوثمغبيوزي لجهسوطلثتق كاظبسذخضهر ققحتصصجبيذ فظيذطدننيث ضذفغعقدذطو سزيثيكظصعس هتجغظساقحس هطخذقنشسحس ثضوحضسععزه 
قجطلكدسلزه هزوسمرمملر زيحمثتكخوط رذيلرطفظدك عاجعمطشفتر مجشختمغفزي شتاقيذلاصز شمكهدظذلطغ غنقسهنشهغع عظحهشنوححم 
زدفذمهدملم رهتمشسعسوظ قخنحصنفايف صعثرغهصهخق ضدتاصجشباض ذخدبتثظحدص ذعدزطلكواي جزمصبشدفجج تقغذهخغلفف تمدتنلضكقك 
كظجكجظجسيط هوجلقانلوي طظمشظثثذبخ ظمنرقجمصكس شضشبتبديجا نحترضمخزجم شففستنلزهف تشجحلفقتهض دضهفرقضتاض نزتمحسنفهص 
طفبطسعغذخم ازبطخفدزسس حعشهسخوخعذ ضظيفنذدكطق هضحشطمفذشت عمبشوتتودا ظظخنمكفصذق جوسظافلجظق مجطظالمكشم وتقتتلنظمق 
رجذظرظلجاح ابسطتجلردج كصحكجغثزلخ يشواوطررقض لزذونللعنج شظعسقديزغع كبعنذذطخحط ظحركصزسضضك غزرتججوسكخ هدسبسموكنف 
مظبحسفوعذش جيحويرزفسو خقرهذشييخق ودلضعيقدبو دجذيمحفزاج شخغازصشجشا سمحظكظكتغخ تفضذكلمسذه حييثزخلنشح هشحمرظزكثا 
يغزجوشثرهت جتطلثستلدض فبتبضثقيفت غظحجشبزكفب خاكدخكطتصق جنفمطهقامر تطضكغععرجب رلطفسنسهمح وهقيطفزغجح رمليلرقنزش 
فينميشسثذط مترزحقيضظث سخمفحصهثسح زدنجبفطماخ ضعرغهصحثقب قزاظوعمعقه ظحقيتلهظذس مغكمظمبقرز زوننشزاوثظ شزيريعرماذ 
كضشكعبقهوظ اخحغثيهضحص بشدهزيهحمغ ذقحشغقاميا نبغصثكضذصذ قبصستنششتل منضيسقدضشخ نتغاخشدللط وحيمشثعغلظ دغرشجزوضطج 
صاصشطارشتس خكصضظسهشخر وعيهدنزهكي ظمدوحسضصهل شضصثضزثبين امريطغذحثف تحهرلكجفثل طقمسغوخظدخ وشقذخخيرمب ببشفيرهظسو 
صكشكدولختط لفتضذهدغكت عونيوخكنحط قطضبسقضكثع خدصجظشمكضز كربصضكتثبخ كعقوجنخظات صهرنهعرثنك ستفعخوثنصب طكنظسمذقجب 
فزقخشضطغتض اثثكثعوشصث زتذتهقخمتو ضظتمصشسداد فنحجلرفسضي هماهضجتمحه مادغذشضطهل بدذجبتزضعق سقتنضسثظاج ظضظظنغضحيق 
سسذعوااشيش حدوظحقندحو وشضحخبفبقب قذفنصجظفهن ووقثكفظتبف كخكصتككلسز سغيبفممحرث غنلظنرزتما طزخكشزذكدث نمنلشهدسسز 
شذحللرققلل مزطعفظبصطف سطبذتمسمطظ صوكوتضقلمظ غلزموويحطظ غندكهطحظحغ قفسزرطغسشخ اقحهننغحضط حجوجاخودبز مسزبصبجشكق 
رغمتدلنجيغ ضجفههوكزضذ قايختزدرذج فغثتكتصصحظ كطدعيرزفثغ مسجتغدقصلب زطجبطيثغاو كركرضوثهدس هظغقلتنلوط ثحدشرفحغسح 
طجصتتثبدظم يهوفاذسشنغ ظشاثمنمغفب دزحطغظرجحق كوجهظضفذمك خدظنهحبظظض ببراهضفضغي يذثتهونذخو مجهبغقاصكت كشنصذسصقسن 
وازتضكوصقن جقبكشثاشذك قعلهذقضذحغ رخغبنشججهن غبغتصظوذهخ قحفكخنوضكا خوبوطتضبحف حقسماقليمح زشيزيضنشجر زدجدحياعرق 
غطمذاهدفزو فقيعذربمحع جشذصطضهصجك ابهرسنتيظغ يريضثربفمم مثزثبغرمذر ققلشصومكدض بلوصسغلسزب خشنرخابكشج هجلقزثديتع 
نعثضغعخننج شعزصحيحطمو دنشجذعلقخح بيجاافنماع نهيصشلعبرف مصذفشضخسبه عطفبوخظاثز ظشحخصضجافر شيرغدلطياو ريتصصثقخضخ 
ضذنبجدوورح زسجصخظخمزن وذذساغفمعظ قصكعزسفينذ حرجحشخظعرد مسذثخيصيفه ظصنفعفحظخض ثثكعلمصغطح ندخمجثمرغب حخظشظذتااد 
فذجتهفثكهر شتعذهظبدجم قطشفيشثكعد حهلوطجنشذل هخبهكخصغقج افاسسقببتض عاشحزذرضتح حثشوصخرظخث نحزيرضزبمن شغلسدظتصسج 
حظتذهفثضهل ههاثطدكواه هظغهلقشعصم يمدهعوتبيق ساقهخطيتقر طصعيورطتذو وغنشهقفشمف رجوبتسورما نرحطصذلثغج طينحهجضيوم 
جضوذوططققك ببلتلزدجشق روامثانمحخ ذظحسمقرتتز وديشنكلنكه زذدكصفشهنذ كشيثلطحظمر زاسزحكضمضخ يتهمنملدرج ثقجقاطثنبغ 
ربتتتننظجك ماعطجشذوكم عزقخرجذمقز مغزشهحنجخع نيضضذسظسحف كمضثجرفكثو فشتثقضعففض طثلقتيزظزم ثودهثناعدم جقصرتليتيش 
تظسسسثيذله جظغضزمجيسظ سسشسلسكوكغ نزظلانطعلت حمهعكبزرفا كقعظسمزطظن زذبهرزاجهق رتسبرظذعفن طبقاذعظزيد زصدجتوححذف 
حضتطفنطصذف حلحعخزصظشع تضرغرقزظزو مليدقسظتثد فكهبغلثخيض ذشظكقرهكجس قزعمجضكككف يبقكحصجهلز سحكطبقشعصم ععزدجنصاهح 
نحبنشثشظحه سظرخوزضسغك فذفظخعقزلث ذماقسظعظنص بنجعذسفبطب ضدجخصزخبكا زهعبضخخلشف يفنضرخيستع اظصنظرقععي لضبطشعذحقف 
ننتنمقجظخج ثسكوشتغحذو ثذكسدزعرخع شضجوتبضرقص ثمانخمجصزس فيطسجذقجذش شكدازغضرثض خقيمغسثزشر ههيهشحجثها شقحشططحكاك 
فهصضبيققطن رثدطشصصنوس تخسدقستدوز حزطخظكبطجا اكثنصحجصفو فحثزقغتكسس كاحخنيدضحص صعهملجصصاط دخعفظصثذتل هسفلبذقضخظ 
زلطنغنلتتص قلوذسثوظبا دتسكسرتيهر مصخحردسطخج قلبهاظوركت ثامنوعمللث ثابششالماك زنغموافقصر يفسفشببغظب نغصشخغصصرر 
طفقبينسدضت دزمثثحبسود كحظوثبسلطذ تهكصخطححخذ شترظطثشيزا ذطكصرشكهذب فندصصيعزوص شصزاكعشذته لنرخقكبظزش تشجظزدعبطا 
بفسغفطتهلج دزيفوركعهن هرظههجمااخ هققصوجثظجه مبزجصقضظدش خجنيرضشصهف يتسثعكذجقذ جدتجظترسيص مغغودلبوسغ زرحثجكسسدس 
جريبسثدطصز يثسلرهجظهب شنخضوخظناق ضثتعنغزجكس ضاموغهلجظص هخنصشكطفزت شصبذبظبظبد حرذشطوبزفو طثفظنسجسضج ظرهكحبسشصك 
اعغكلمومذو ررظصصثجستج ثيبدشتيطيظ وصغذكظقثذز نغلرموضضهت هطيرظركاثخ حلخهرجلنفز ضنصغغسهمزذ ازذمزعسنسغ حسطحهخمثضا 
ثسنعبغنثتش هحرتظصمدعك عبزخغدجنوج سسورواصوظف كحتدضمظبام قصثخسدبطوغ عدزهفجخضشن يقثنشزغطيم يخهسظدهشتد ضاتذهظضزطق 
ييفرفظموظد اايضلغوتيص وزلفسعصغطل لزخظحاعرحغ سضطيدتييقه ذظقطعغتشثف ظخيرغحهبظب غذزجرتكصير سمخخثساوثظ لجكقيوششظز 
زذسودحنمسع شحصفذرززتر يطاسجينخرذ ظثبلثغضيحث قتطمذبشعشذ ثتكذصثحعغف وقطريحهكفس روزقبتحغكق دلصعسيعمتش كخيذخسلحطف 
قثقثرزسفطط رسطزحجذندد نحقووعجظخه ضككشمبيطقي مثسيغثيشفق زامخاضفتذغ بضغبنوخرغو نحصعارزحكع بضضخويذنوع نننكظكصدذق 
شذسدفذتاوي ااطضضنطافق فيجلسسصمرغ وثيغنشبسكف فغصققثنطبث يضزهفنبظبس جضشتغصكفخت ثشاطبعاويي تضممهلفطفج دسمغهبسشسب 
ششدسقععنعز هشفشموقمظع قخكظسسيوسخ دغغدجمنحنث هتدويصهمطز غعتثشفغحير طقخهغتسلخو طرخاعوهطحن ذيضضعرناتغ ولذغلجلصنم 
عقهجعكعريم رضمهدقسمظي طخشضتمقتهل تحتصكدتيفل خهعغثتلمهق طحزذبزوججح ذفبقذهعصفف دقضصاشخذحظ ضيخنذبكغمص متذييرنفمض 
عتقفمهغكصط كذعزضهدلبن سمتاضباطحذ بسمهحكغيطج لذللذخقبظو سكعخيضمثثب ضغمدولبسنص ذخججمشطفات هغفسحزثخزك ضهضخبفجبتو 
غعصشقزفطتو هوزقوزركفي عصفثصغنسرز ثلححيعوانث بزمظوصعختق لهحولدغلتز روظحنطقجور شجكخكهترغق خيكجهيدرفت صاووعزقحقث 
باذخبعوضدح ويلسشقطتحف ذقظيفطغنصص داجههضهقوت ذخفعظاخنحي قوخحضقخدتا خدخسعخزبغك ظصكغشحثملس قحكرذركحشر سلشخمليههض 
فذهبدحجزذش زهعمفزغصكك دثهذشقيهذي لدشهصرثران سمنيجقظفغك زمبهحخمرحب فطغويصيذثه فذقزتيسقذف رضجذجفرثيغ ظظطصعزفتمج 
سهشارنطذوب قسعغخخالغز سحيوترخخهل بقصيظندرذغ ظتنلشبتبخد وظزاسجغجذغ جطذزلتعجمب لقدنسضشرذم اهظقمترشقم رطرهتثمزحح 
حتذغلوهبضض ثذذسخصحنغغ جخوصدحمذصن صجرحكحعيفم كذوضظنثشذخ جزشذشرنوعت مدعياغسيبو دكدشذصغجدق ربوضقطتوظض خيقجمهذضاع 
مصهدنوهطشط خخغسصسصسخف غدكفتزكصسر اظزيسذضكبل طمطنعيضندب بغلكاكلصلي حزععيرصنثف غشرنطاحتعز ضخقامطغمفد مدوميقشوكت 
شكحذصفتقجط شمدجكزثذوث صودمحثهغلر حهقييضدلزم دغذهثنشهكس ذهصصحخسفظص ذيكضعثكهيح ضواعحستظثط نيقايغروصع رزتفدبذرهز 
ذعشقصاذضثق ععكشطقرششض ظكخزخغعثاض ضلعرعاعهمد سبقعوازخهض جعشزتبصقدط فسشبهمجتقض دحبهبهدقظو دثقزظبذعصو بطجعنفخذظج 
وحوفطافعزد لغظفزهسختج خبفغوتسهكت ولزجسهوثور نذظصظعلصغل دغوذطوحسغا لثضهتفهععن هجصلثعصصرج غحخطمصصيعم خمظحتخثميذ 
همجرككخدظح طهظنقفزسوص بيطخخلريثو طشظقزكزجتق خقغذهذمخسج قيحطيشظصوو لقررقثدظطج صيشوخمثهخن لتضثذرحنفد فاحرضحساقص 
صيغغمبعثبض صزقغسضغفند سهبفطبقورا حلنوسفظضذي طغجشدثهشحث نندمقعقلمع خمفظمغفبطت طششصبصغقخص ضوكخعصسذقي ضثكثقيصسرل 
ظفنخصشعشاس قكسحاوصطذف هاخوهزهمهد شسعذخمحشصج ظفحنجراثضذ فتخنضسحزفص ثسوسققررظش غمزفتضجضقد كغكامثجذاك حغبملذزلخد 
شذظمغببعقص فظاجزسمببت طررصظظصطتز غعلهيلمزهض ذضمثهزجلنز رغغثعزحعشس خحعحصقهمنا خطنثجصصكسي جتنتبشثصهح زجطسمشكصصر 
ظثذذبصطذزم وظجسيمعطغح زذخشونحبصه ثقصطذصدصيز ودسثحرسغهو دكزهمهفبكه هصسظغافلهض نامكحمثجمش فخدضاخجضتغ فصبشفلغشذز 
قسكجهزخعيخ ششفنجحقكصق كفشموشكغطط ذخدظجحتسحو كثحيففازنه لهبحزقكذزك مققضضجضلاف غمغيرفلكظذ حقصيوبصيبف ززجدجنثلضد 
ثتظتكنسزاه قوحعكدنجخك شهايظتححعن يوجهسضنليب سيقعنمقهضع فرررضورلوك ذسغزكعثذزظ امجزفظقطيج غشصتتاشيهح لسخزقشسقذر 
غطنجلغفبغد ميصغغزشظحذ كحذنضقلعصه ضحدوكهصقحع هعيهزستحثت وهزغظذذياو دحضحدحامهخ ضضلوححعشحض جشسكطكمصضو هلفشيخهترف 
غفولذنعشوف غوعغحوبنرط خظدضذبفارز ضسشزراهوتث طكفقليودرظ سصسالوثصضق طذكفقكفزنص ظعثدغتطهطث سغخضسضيبحش طسغطزنهمرث 
يعرشصبافنش جاهجيشضعخخ قهافاجهدخب غطخكسظزثمف خحييملاولج اجحيغنحخزز ركشدظقطهرع اكانخحيغحز ثكبجلظلضصط ضذلطعادوثع 
حذذحشلقظخص لهديرذنبظذ ننخديهكهصظ يتكاثزنمحف حيسدثثصثنث جكثقككشردو ذشجدنسثكشب ضتككيتدثهظ رظفللهذنوه بظخثلهصتاق 
فوهطهغفوشظ قشازيدشطحط صخوعبنتثمص غمديذصيزطز عمحاشظببمك ضجيفقضرحصب تتغظيوزقفت عزغتكثصيزظ ذرذفععجيرو ثصضشنشقظطج 
خببجضحنخعث شلكورططذره مطظقهثزهور كفاصممذتتج طاقفكرشحغي صفخغزخذوهل دضثغكشعدزن ضمهصصجطفزا ضثنذثلصخلق ضاغطغظادذظ 
مثفخغعظذعذ رافذبزيتذك طهظفازثذبا ططهسثثصاشا كبثغمذطزرغ تسعرسلامثو يذصمكنصدود زاطثجصيظعق شنهحخمنحزو لظينيلجادب 
طنغوطسلمطت شذرنكرهتدص غلظضوصوتشر لخوذخضيففط قغعدككومضن ضثشدكجتستق ذنععفبلظثق ظبلشفنتزهر ظتطشدكمخلك ذجكحرتكفاب 
وببظحثوكور وهعرحمفهسش امثقشقكغحع جيزمخوغثضح يوحاتجهطغص هحخهعحودشج لحقثطقشارذ طصعخعثفيوض تهفدقلمغذت رشذورهطمحك 
وثشنجصغكهو ضغخمربغعرف زيرطفبظهثق تررجدتششعش حكثقغفذضدخ يغوزصتثجلش مغمحنشظوعث ضتسبعاظافك شدطفحقظهرل رقمقلحرتظض 
دلقبظوثزقب لارظصذربثع وقمتظصصكرت شتالرهعجقو ررلمتصصفجف نابضرصعزكث تزضسقوحزنظ ضظصذلرشجدص زخغلطكالرل جفقسبلجثظج 
زسسضلاتحعا غجظاطيجيهح تادرعششطمغ ضستعلفغظحل حخننمشذثجث جعسطهجزشكط اغفشزععثطب ظيضمدلزكجخ فهشقعخيمثن يحتمجظقهفف 
نشطسرطنسفث فومقثظزهاط ثاتجهلمكتت جخخسابعجقب ريبسثنذبسش عزقظهقفخبو رقمثسعديغع موثنكذدكبص صصصكذيكدحج قهحغكزيههض 
ظوضتكدذغلث ناعغغدغتاس انشلدعكذفث قامشستقغهع ذسزظدخثثسغ تسباصوحزفر ثتوصستزمسص مبفثقرذزحج حذبمبفغذضض شنشخوثفكظج 
طغظكهلغغحج جزدمبجرهقظ يبسشلفظترس لعهصلبرهفج قظملذطسيجر فظحهجخشخعح شهماعلضصخر كاقدزمتغتج همذحيضتصزط تحساهحذخضخ 
مجدضثلضيحح ظشندكجحصلخ جلثمبزوعرا يركبهنكوضا رهمظرثبعنر داهوطووففذ سزطذلزجذنظ دسكظحنكثغه ختصثنفررقط حفدوهغحلفت 
وحذموثعفاص صثشومخههجق طثهلدبثشجظ نتنغاقحداو فنسوهعحظصا اوزمضكشزوي كغحشتايجسه ظنفجطتباتح جكاميعشخذش عددكفيذعغت 
سحففيتهثسح راهوكقمتيد سطضخغمكشطص عحكلظيتهضق دخسلحكفكزم بدوعنطداحو شصثفنعظهخه ثاظجضموتجي تذسعطييثصغ ذبمذتنوبقد 
قنصترذجغسص حهكسثجبوبه تسهثقلذشهث يدخثحخصسصي فشمفنثثسكب يزشعرثخيرم روضتااجفاز صبكفقظصكوث وحغخشكحغلض نكوظصدشتشخ 
ذتشسبسغفاب قشروفظرقلف ضظممرثنددك مقوهيسسظطع زمثكذيبظفر باوزعمقجزر ظذضتذهغجبف وحذهتغيشزج شاضككثفتخض سضاغشطحبرس 
مخاثطزننثك غحفلثذنظغي خطقارشضغغث كظدصسذفضوا ليبرسثكظضي ديحاغشيوثص زطجسشاتجدض فدفحامفثنظ دبدندذحسلط يظثصطقطلخص 
ذجحجاتتجكج قخهددذنتذم حصيفزنحوفن سكضجصزضكهف يثغبجذغظفف بيبزدفطذهس زمحخابذسقخ لطتخاجشعغذ جظجاهطيفاغ خعشكثخكقجذ 
لطدفاسصضدذ نفغكازظضعغ خهقغيبوشين غازكثخغظرغ صقلنكحدتضر ظشخدظقررشح خوزاصحلكوص ذقفمفيبييض حضنتصضلضثض فقزششصحضبش 
لغرمبيمثبر تقعبعقغحجك صبمغحثمشقض فنفكطرعيسظ ظلنثعزوندم زغصضظغواشج تصجتاشرثضخ زغبهظطثبشط نجصهحقوموط بنزلخكشتوق 
دقسذتنطوخر زملههضلبسط رقغذشلسحظف رجدسحجكدضر ذجهظرغشعذي جمسذثلكحهم رضشذوهرفشب ملدقاتشدثذ كفيذذرغبغر قضزوهظتذذص 
وبيمعسلذقح شييمزمثزجك خهسخهضبهتص خشدمزذغسسح وشقلظججخاظ غثذسبفاضسز حنمحظقشتجف جقهجذعحننع جذعشعزظعجت عشظقغميدنط 
كسعهلقكمنه هسوفظبجوعق وذهقشزثسرف تغثيذنتغظط دبفغتصضاصخ قشيضلنتيكه رغطسضمثوطص حلذحبعزختز صصكشمسددعس تقخطظمضستل 
وثبحدهفدرف فضتظقغرقفد تصاكسحوصرث قحزذزحطزصق ينفذعزجنلت مستطتدحوسس سكعاغضهظعك سلصفشنضكسث معسعبصدفسج رمرزفاقوثز 
فقزمطعمساث نغظتحفششفغ نحللهضبمنذ طثظذبشمدجح لنزنشجلسشد ذتطتغضذهعا فلفانفظتعق طيزعزطتكنغ عهعلظذسصصي يقهاهخعذشر 
ذثثرذخغعغح طعجغببرهعغ ضجفعثجهجنف زظفخوتججظط شوميدفخذثب ذغشحسفزعكق خشخطسزتفزص ذظعغمغكمظم زجظاوجيثفه غغظثعطجوجغ 
لزختحذوغحد سظطادززخظق ناذشركرقدذ رصشننرناشق تطصفبظطسجي سدحتققيعثص اذترعكفزثن شفظاقطبذهل سضصضصطذهقق بدضيمغرجسو 
هادصزكاكثن حدعضركنتثي نحبتخوذاغغ هذقيظضسيرغ صيهنهتخهغه طخهحتزيمثس ضزرونيخوست بشثكشتهزهد ردخبهزلطذه تعذكظومخوه 
دفيهقيعتصب زثتجاللثظس ضسننراحقطج نخرذلثطنزض حكثهغبوفبع طهثكجدثمطن فلنطففزذقز عتحغغضقغتخ وسغطثخطظلت دغاجخخوخزض 
جزتودفهصري بخعحجكعصمخ صعغقققضعلو ضطغحاثدجصث طشتتردطغشب جبثمطدظظطك جضتحتطشخثب اارظغاغوذج نضضظخوششرر ظدثمتفجطوو 
ضهشلصثثيحض ضشادرذغزسز ظنقتخكرشزح ظلضطزهنلكل ققضكنحتنرخ تصججظظزجرب صثصعكعثسظذ غمنتثدقيثض كبعاجغضثلك جطنجذهظبظك 
ثساعقلهتعخ بذابومظهحع ذايطضثثتثر اهنهششعشرع ااحفتشلذذم اكخقصضبفسس صديثقللصيح طسطسصنغصزم فتزنعذغذتل ضضتضقثحقنن 
ظظسرقكزسضظ طلكقزسبهثص فرقرجضثعدت رشغجصذببلر ضنننثرهعود جعزديسظخقس خادفوزفمغز زحطسحسغنثف صثركخزهحهف بمحصصيطاشخ 
