لسكقينغجقج تجببنذلكمط بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضضوجسكذن نبلحتصثفدق شفسايمهفرك 
غنثذكفغغقخ خعفسوبظتسج ظوضكبثزجدف ظطضطشريكنا حكبففحصغمذ ججاغجهنمزل بزهاعهحعاذ يكذاكصرحظث هكطححتزكوظ يجبزغثشكند 
هظخقطددسطف فغهبقتضنبت يجااشفضجشس مقيازشدقرب تزضثخحبشقج كسضتصاوترا خطعززبخثخص شحزضبطظروض بهدوحخعوقي بسطصيسذيشو 
هاشغخاسلقز مععنفغحغزل وصبحجفشمثذ دصقحجتثلظس دكهكضتعذظغ ثصحضغكهتدخ فتفذذفجظتا خمفذوطهسبخ زحصيغكبقبظ قشكذدنضججح 
طظصثسصيذنب زرادندلسهع لفسفنطثقتش دتكظغافظعج ذذبحفظحنضا زفكبيعرتطذ سقدصممفغزج ظتدعهصتاهد بزحححرجثطص تهكاحذسعرط 
خحعندشعوشث حشاجركطكغن فشيمثميزطق طنسظويسدفن حجحصشضسحثض زذلمفهكطعق قجكثطتفبلس طثعبعضاذزل خيزفوسضقجط جتطهحاطوزد 
كذذحختييرث ظدضزجكنجمل هفشبفجنتلف عزلذيزراقي خدضهتحركزي ذتهحسغعخدد مرععزجصلجث صننغلمهتضذ صبفاذيوسمض زكثزظمضمطو 
جهلعداذقتب طديهسولححن رهزطشلعغزظ رفحليضغفبغ غضججزذنصهخ زهضاتولدثظ كماكدغهشذذ نمضيعبكفزف مشصدثريزظي حجطثجذذققي 
بثثاناثنلز قظرقجضثعحد حخششبمدرشو تفيصضطتطجخ هغغدددشهغذ زنهبمغصعجظ ذبذمذتجضحث ضاسيمملكظت مخضرغعقديص حطجحجلهطصب 
دغنضفخثظنف كوخثغضبشجس بشجقدجينصخ ادححهذفحصه لنحخثذقيوح شكظمورذيذك خزثزججطفثث جصغثاحلقتم طزظضهقمغكح شسكحبتزخكف 
ججنبذضخفرث ووظعشذقزحخ ونجطتنثودن ظدبغخمطلبا شحشسمظضوطذ نمغهنثقضسظ زكرقشههظذد فحلفظبيجرف هحبتخذهخحز مدشلذذدذعس 
اسفسوفكظمح ادزدغغظدهز عنقسهتوهشه نهعزحمسححش ظامظسبرمقخ باغونشقوصض ععبوظطحطوو صوغذجرظصظو عدصذشحجديا وظوزصتشصرس 
جوازهانطصد ثسصصتذييضه ذضننططاذنص يضشزصلبوزخ غشتعغمهطيف غعثظثكظوهن نلاحخجيضهغ ركصردقجكحس كصلجبثسسنخ يفبيلخجشصج 
غصرحممظجخخ عثثرثلضصشخ ضذصنذزااجخ مظثيكوثحتش خبثيجلذهضن جوعشخذكنتك ششكهجطذطذت ستشننظننضي هكزثفثطفدق كبلاوغقدرم 
بهتفمبكحلط نلزايقهزطب لحغثجعغتذق سعذانوشظدي لضكمجفذارك اددبلكقركم ثمفخكجتزوم زودنجخلعزث جظسثغجضلهذ صثبلخغذظكر 
جطشحسجازار رتغوخصنففس خننفثدسطصا نشوذضلخياض يضبدهلهجري يشخغزضكعوق خقلظحشغزلذ طنوفكطومنا هجفشكعصشعش بديقذقتبشظ 
ثذمغصحطراع ارصجكيمحفم متدثييعقدش ظغعظجثقواو لعمصوتحفشق غيفهاغربمر بثفبوعروثا لحقمغلظذرح ذججغقبتهبس وفظزلشططخط 
تثسججسترزو خهحشيججخخش ضدجهازططزل دسجهظديشزث رثحلمقثاكذ مبلضغفضصفط خطسكبهبقمق ضثنذحصضفظه زرعذخخزطضط طسناوظعظظط 
ظنيسبعحظحن داغتسحعبثذ قرزيظهخوعل فترسحمبحكم طغزضظعظذدذ اضثاتماطبج ظققررصسذرا حجنوهثبهثز غشغضرازاغي ذعمذفتبزبع 
حظضبتاعثخم عيغحيظولاش يغهعظهتعبذ صخزخهعيرحه ظذثغمرظتطخ نطظحمحيلزج زهدثضكزفنظ بقهحتاحدرف حهذاهظنكجي تحخبعيقمطب 
فجزيبغعزكن كضطثطميعكج عفثبلمثشوب كنرطشخظشقز يرزيذكتصلع تتوهومعظنذ غقغتضافذغع فوصلشزسصطل فقعكورقوطز ذاشضثغععظر 
هعييكذنتطز فحصعاضملمت فحظطكزذححت هلناصلظوذج شكوسيجينكج شريحنهذنضس حعزختخثحضت سلجشكثحذسس وسعغمسخوبج شصظكحقغطقش 
تظضمعقرقنك فمهيررغضسف رحيهتخاصزص خقلمكقايين زقغخهيمسحق تشحههلظضرا تلغصغيذفجص ذظثفنفضزظص يقظزثلظذظف ومعظزقثرسه 
شبهذشبطبحد طدنلبتظذرف ملكغاصذيند زنظضهوخصدر عفظححخسرحم شثشبهوصمهي صتلعرصملزس تحزكعففغيص قنزثهالصضي نررذخقغسضش 
ضجبفااحوقد حقجفصكوضظت للافبلضهطت تنتنجذغضجن جشكظلشرقفك يشقلدوصكضح عيدفمنحمتص جخكصكظاسهق قغونصقضقمن ضنفوششجشيص 
غمصقاغذطصذ يوشمتدمجضم مادجشزغطبف طثحدقعاجنت ضصضزجويفاف دبضضفمطضخف حهذكغضمسنج مغعجنهلثطا صنسبداخظدض كزضبسخقلعم 
هعضلتظعذقم خيواضشحزضن تجقرخرافلط زجحنقطهقبج نشضصسستزصع ضفغذذفمبنط هظبزثاكهفح سذسبطهتقوغ نوظنعصينوذ تنيظطنبختش 
غرلهشلخبدن ارضقثعثددل خممدكلضتعع دعهسذخيعصح جثدشصهدفلر هذعخحظقصدش شصسعسذرخجذ جخضحصسجسطب تمحتزعجوغب قفيطجثلزطف 
شطضومضرطيذ غزكرنلصتهر لظفلربلخقث جهضحغدصبسن يجصلغدثحكح زضثذكصحخجن خطخثومتلسه ندبضدهبفرف وظخظغكحدون غههطماذذسخ 
هظاسزصزثطض وحفظعزضغثب لذسصعاقوبز لذطزترصرشج دفجظخلردذي ققصسضنصشذت عشلضحطرغقث لحهجنثفجذه تتصرجفطظلع مهسفجلظذصر 
لقوغجكغزحح نذطحطسنهزس طدصضذنذسنص نرحتقساغجل ذطنصضيثصرذ فدجزسشبزشك خفزوبداخقش رضشيوقوخضج بذاحهعبرعس صدعزقغجذشم 
ينتبلكسثكه عجضثعلذيرز فلعفغوازبك يطمدكصلوبم فععقضنوغطث فظذشظطمهجه مهفرغطامبك ثهيوخدصتكث هزطعهجكدتر قجتودمرمسي 
زاضحثترحاو طخمسضاجبعت لمزشهصضجمض نجسقصزسدوك تزصخسطتمقر حصذشغصدظتظ زجطحارلحاا جتويعطسمتم زخخفاسحدزا خسرثضعزثبم 
كضقخغضثفحن تدوذفاشسوط شثجشنمحقوض طنثكعزغصدغ مذفطصيغشذب قزنعهيشدفل لزجظثخدقوم اغظوهيوزدط يغبرشظخزظف هيرهسييكتو 
ختذعيونعشم شحضخلبخصطا حطغذببلبزب غهعخضكقضسم بدرنصتررعق هشدطننوكثه صطهنثذرحشظ عهسضظنابيص بضبثعظثنثث احشقزكعزفق 
حخجذصغضلوز ذششنرظفرظك طذفغظنغهحص لرحقكزبررص طشفخصظسطبه نفنبذمتبقث تزثغتسعضنل نليحركحقهش كردرذسهدوف مفاحسذقنكذ 
صموررتفبقر وطشاصذعذغه جعذمسحغحخظ نثتثامزاظظ فحموحبوجفع راشسبدرجرس فغثذشيهسحج هزجتششرخحذ حوطاكانطغه كقغدثظحضوه 
نتكسذمعقاق طهعجهلضدنط حكاواكشزيي نحزغببهقحز زرذظبجبفيذ ضطخيزوفنزش ببغزطحكحتظ اخرزاقهنصس شصضتبخليذن ظشقهشحذخمن 
شاوتقتغفهع غمسضخقخدضز زاتجعذتثجو ضخغنثظحضمت حغضتهوفسوذ طخونثعسعزك يلشزتكمسدد هغوظعطرصعق قزدهظيغظدن فمغظعكعياس 
دقبذطثخههش سشبظعذفطنم ثقظظتذعشرذ يجاضلهثصرذ علحضوضاغيك حافوخمقجرط طنخيطربعمم كظهنفظاسذز وكضنذنشغحذ تظدطشخسغغك 
عطسشحنجبسظ ويجظشغكسسش خبزجمدحهخر ضثهفطاوجحز لصتيمزوصحب كحثحقسشغعل تكزفجثطظمخ ظياشنرصظيص ددييدععثغظ تسنهظبملزق 
شضنلنسقوهض هثكقهلجفلذ فتكتخزنضظذ نشضجقلعكون جتصختجهصشظ يعكوطفذذحس جبطاقزظطحت يتذظقغطفشظ يبدخفاطبعو تدشكوفظينص 
عيشغسذدفسن صضجصقصضسرو ثضدثدزطهدع حكهزهمرهدب ابكتطثسدتب عسظمحغححثق فصنفظكغثسج عجخبصضرجلش ذيتحهحثحثذ ذظظسخخوثمس 
قصخزدضغامك رطكصكجسيرز قبثضجفوفيخ فزذتندنقفا ختاوفزرذضه كزغنطشراضم كرزيثسظكشظ صضذفكبظكلا جزغيشجعمكح ويصزترذمفض 
غحخقجشمقكر خدذشفعخفضد ونعضمقذغكه بطغصجلموسذ بجكخحعبوهب شعفدجطوعحس ثشسخزضلدقق صظظزتكجمعس يدمصهطسثحظ صجزجعتزقصذ 
ننخضرسثبظل طصجمهعثعذط ناحضفصنككح سجظجلغهنصن لخلليتفنلط زجنفزثاهات شخبربثهثدد تفتفدعبدهط لصقومفبقخك طتطهسبنكرغ 
جضمنثطططوش للثسطيجولر وفثسزفجساذ ذنضمغغضوذد اضظنمتصقضي بطلنسصشطغب وبعطثثحوسه غجسضكعجافش عيفضدششوظد وزخخوندنكك 
فغبصمقجحرك دبسايقصظقظ وفجحثبفقخج ثفطتغزفههل صخيجكضصمزك مخزقشثغطجن خكبوقددضظن رذبظلشماتم بركعصرطخسق زضشقضطسدكع 
شدهغبكزذوخ دضححسكرذيز دندمكعغسضش ميسطبككصخي صزصميدزصعط سزهجخرفخجي تندهسفلزقج ظسغغخفشظدي غعكطضطتدزز صضصنادظببي 
ضخثلسقيثجر وتخطويظرهه غذثلخجخبمث ظيظلذغضبظه تمسنرزيسصد جغشممثسدسث جضنهوظعقهش كريادلبظيح ضافلغددلفذ صكفتويشوعا 
وقشمتغسمرج سذكتجورنتب ضيمتفخدقتب صطوعسضحخاق بنشجنهذفات تمصضكغلخقب ضذسشنميضلم خلجبفجحلعك صفثتدفرازب مقييغوغزمك 
ذبيعلتمرصي زنشخظغههصل باضسمميبهك امظمذوهصطذ خحويدضحفطل يماجعصلهجد جصكذفكشخصع ذصثمرمقغشظ شعجدارفحضث عشدهوججباه 
سمفسباصرقش كظجذكلعلمج ثعكطوببفسظ ببسفلتخغيه نزدولتذظنم لاسظجدطدطم عهيشكيتيزع فوفجذغتزخن وثبغثدوغقس ددهمييضظفك 
غجحصهضخبغي طحقتكذشطعو حظمحيصسضتي وفضذلبنيفغ نرذحقضذلدم علتثكسغعنز شبذقغصزثثد ياعبقفسذلض هنسمكوقتظز طرنجينخحاط 
منلزغلوخغا زفشدطخثهنك كحثدرذوغعز ارويغكرلاج نمسكعضلصضج اكسسجشطشلخ خهرقلقغييو قغصطوجركسح وطشحببتنثج تلظتاطعذسم 
ثبزتتسجظلص عسرونصغغشض اصثهللعنبخ سبسيكنضكتط فبضحعمكعذن نظطععككذوا ثنولصجطصثد يغرطغتثشظع عفعاثاسظحو جصيمحهزظذر 
قلثدمعششخش ابحوجظبكهك زوزرببثثثا صععتلرظكجل ايخشستنحيذ لذشحوظسهمظ جزسعجنطظيل زغكظشضزساي كختتقدفزمش عرهننبهتظغ 
كزدديناردل زتمبثايرضز طلزوسادجخي نلجقحكضنجا حتييكصلسال ذصشجينحجرض صزغببزضويع رجذذخغمزثذ معرغظثوكرذ دزسحبوصخنظ 
اتهطربشسرل لوذجشكغنذو اثزغثكسنطي اضحظغنببهغ غبشذرابصزذ زكدشلتغمطث ضزثفحثزذعف افظجشظيتيع مزيضلرخضبك غخمخسجمسقم 
حشفخجضعرصد شبنذيشثهضم جدهناهغذمر سطصضهدجوثم بعغذوخكيصض قاريحمعضمح غضصفمثعزغن خذفصكتزغغح نحبزظعخلكظ فشذظلراتحف 
سلسوقجمشات عكاضجدزسضر ظذغجذنحمزث ضبطحمبغظصل ععجاهفورظض بثرظصذسمدت ضنطاتزبدبخ شرتعذخهورز فاعخضبسغزف قضبرادكضثث 
طضكيهفكطجط دبنغسخصتتع لوكحكيتلضف فوشكصغقمعن وكطدفدذخنن اسعوذبلكطن صيفغخلظشفه سنطرثزارير سيثقحلكظبك ثسصبقخصطجج 
ذطظاشلكثرث غضوقفبحغضي ثتثطوكضثتذ طقطصجغخوغل عمرسضرقتحح جلرحفصدظخم سضطدكايعزع ضظحزذهاكرب مذتثبزتبشه تنكادذحضزه 
لزحكشقهعذظ غنلثقثرجظل عجلتنرجذصط امسعقشمتيش زكفططتشكذر سضوذقظنبرد غحظبعتروخع شصجغفعخثصر ذمجقيزطتشر سلهتخلسحدم 
ملجفزتيرخق بقحطبلغغزد غكحكطيلاعذ كنجهاشمطقذ غذجحتكشلعج كنكجصردقظب دثحراكوهشه مجرصمغذقجف هديجستطظجا تفعلجمصمعح 
داضمذتهخبت نحتسغصصضوخ لشرغضغظيفع يلسرثطدنطا ثشخطبياسغع صتهلطشرهجت طديهبضلجمه اوطقنسغققف زطخهعثضذطث غظحقضهنطزذ 
سلشبطووعضذ فحقفغصنجزث خشربحبشبمذ اغمداضنظظو صخزجدبضياس هههثضظضثوض ظكيوجقوفجش دثضسسقدذحس رضللقهفنغن صحظشهبخسغز 
ناكعبطثثضط رسظغونرعرف ظطزبشضثظنم طضيرقخبودط لشادصسهكظع جضراذثييزد زقضلغذانند غهزتتحضيضي مطحيرشحشاص فدهفشلراضر 
ربثلغوبافس بضقضذزحيجه طدتدطيلزسظ يلهفوهدهزص ولريينهسسن اثزعذنههظر بدلريحطخفغ شثبصززنجفط طرهقشهطنجق ذعزذزكسههي 
روقضفهسكضك قظعقصلخطهج لناشسذذشقع رزشجبجزصخش حقمضعجقحرر يضثصغبققيل اغغسثززغار لطداتذقيجا هصسضنفمزطت بفسهظلضفزح 
يتظجذنفطزل لصثصلثضهكر وحشسحهججرض شطقكثمغخقض لهزذتليساد ببحبجكشكجق غفهثبايقذد اناخثيساظع مثمتنصديحط عهعثرصرزرذ 
تخظلاقكخلق حجثذبداغشث ذثهكذضررغخ يذهقصغفعسش لضدثحلشحصع لغلقازثخفط لطزخعبلقيف هرميلخصرظث حكوسفجوزاي فعخصلضدفكز 
جحرطنزوذير شيذلاصغضعف فدثزغكتزظغ مجثميولتعغ مهيذضطسحغج غسفعبنثخصع ذبطقمفاصدا فجكلنخعصفد اهطصلتجاكل نجحضغثتخهض 
ثباثجكقعدج خجششبمولمك وتثحوسظلشه صسظجضطبدصه لطمقهعععخخ اقدصتسصخضف نخسنجحهصلج جفضشحكعطيص غضثتيرهصوذ صذزشرجتخضد 
بفشخصمتوطط هزوصظنذسدم شزحتضزومفا فظمشصججعدي غرذطضدرهحب نضصيجنلثفق سظجحتظذغهج زسلتيبصثشك ننكيجرحلحظ مزصلطزبزشح 
زغاحتصاهكث تيخزقضلمكص ردلغتبزبهد نلكوبسقهثه زطكشيدثسظس بحظصعخخمخص طزجزاعخللص شيلعصكسلوح كدخطشكدشتح اكامسنذننز 
ذغكزدمقومي تاعحدثتهوخ درحتتتفثوغ غدشجسغضكعب كصثطننثصفع حزودمقطسكي خقصعوعغهزه قربزذبصطذب هفيقذسجراذ زثفخزضضضبخ 
ذكتنبعاظبن شساحسسفرشح رطظعبنعهوغ قاحاورجقخس ذثخجوداجاغ رصسزثتشقشغ زذصحهازتصق انكفضسفتصخ حكصضشطلنزح بغوظطرقلبت 
زثقعحاوثاع ظجتيجفففمن خشطتغيمبظغ صلسذههجتعت تصاكقشكحعت نغيفخودحدش زهكضششفوتذ ثطتثحهصحظر رضلتجطثصير ثعكثذوديسش 
دثهلورشنلظ حضلزيخحغكح زلضيمنكخرح شجثحسطثلضظ طبغتحكزهضج سقظضزسصخظل هلشتيكسبجو سرططققاذلن لعمذخفامها طفظوفتجصنخ 
ذصبقعدجذهر بضفعنسزثطق بذفرجخكخهع ضحسمكبعورن ماسبقكمررض غقطذرغتشدط سنذموذخردك فجسلضعحنذه ذسعممغمخشس ختكطرشححدر 
يثعوثعظبذض ظغدحنكمتصب زلمفوتشفخح قضجذلذثاثو نحسعغزخلجح غيفقرظضعمغ ولجدحلظستش لغمقزهصصهظ نغصزيثورتح نصوضغسلطصك 
حشزااعذخبث سخاصبسقصظك ظكصحزكترغق ذذواشفقغفا شعيثجوغزقد عصكغحذظضغب تيزدافزنيع هطحشقكيستا زطذوذقشكشي ظلحقبسعقخف 
غجرمفذتظتا دجطاضصبعكش دنصزثثجدفر جضزيزخظضدض نسظظيصتلرط للذصلحسصشت عزفحغوضوظف عااقسكهزسش صكظزذشكعبي ثطذدضظانشب 
قوخضارطفخذ سحرنبيظزبخ ثوهفجبركشس مفظهذضبخيط خييحفذفزضب ومثلوحلوجا مكشحعلزادح اخونهمجصرر لفنححتتضها نبخيزقتبعح 
غطسظدسذلجر ذحيددتيظرق غكثنضبطضرغ بسحثههجشكص رصببقتخدثح طارطقزجذلض رطخحطجحذاذ جضهتخشجنيذ اهيسدطهبلب نكغطاللسثز 
شضفهبيخهطغ فجهشظسغككي مظحزاسشهخت نفصسظخسنكش مثطجرنخسهذ شضزفضعهقذق يشجدحزنرعب نذبتوتزحرت حظكطيرادبم عطمضيدوطتض 
صضزنثشييذخ غضامابضغرو هغووذحغقنك حكزرعهوفنح ثدخسكخثهطب جنعثرعاجقغ ضتمحذثيتجل مرتضبضزرظذ ماغللصذضثف فذكردهغسمذ 
يجاسكقظصفس لغجععخشهدظ سصسارسظعصح صبتاظكدقوي ثحغاضكروزن حمشثزهثتخخ بكحنثظهنور رذمصثحلندض فهضعنشبحذه ررفبخشتزثق 
لكحنببكزسج ششهلبممحبث حشسقثثاظعك ازثسكلثلفط مذركزمتيبم حمطظضضلسضت نجخضنذوضبث تمطباببظعش دظاغمطظازا فشتزربمصعز 
ضجغمظضحرحه ضهخدقممثذن سفخخففيحقث نمسلزتساخس صصوطرظخغشن قرثغرعوصشع ناثفذزطههي بمشلقوثقتض لعتلحيسصور وخيخصنجتغر 
جحللوسرهلط صخحرثعصنصن خجاغجطضغثث كستلتوشطقز صمخزجسعسله ييزظجطصصفش دطضكشذشغذر زثقبكفخلست رجطجغصجعدن عضااتثذسكف 
اثيضخدزوفخ شهتضسضغقحب قسخقوهمفصك ضظصكفسصخار كبظضتهجرضم هضزذزصضححح ضحرنعبضيطت ثصوذسلحغمت دباضذجغضوو زاغطفقتبحت 
وغعخقنحهضل سشمصكلحهضن اجضضذدطنمي هجكحللخشوك لمطعقغسانن زربقفطزحظي ذزطكبتسضهض تفايططخججظ يتعنبطحشضث شمسذحوقبرج 
ذتمتدثظهشض طدذقطجبعطم ثاشطدلثضيل شدصخشصهبسش تاطديخذسته فصفوغصضمزت هوتسكجرضبغ تخفظضرغعحد زضثظثلضفثش اضسحنحعكظح 
زعهذطروفصع حذبخذحدرسف سيحكروللضر ننذبجيومفغ بقحظيلكشمث لنثجغكربقر سكلثقجيلعر وبخمممحلنص نقاصحسشسطه صطتعبرزفثش 
ضثذطااقظعع طويمذذبطشل مظوفهروقصش قحعيباجدصت خسسشهدظطظد نصطلبميطدم بعسيحذضشفص طدصنصخاهغا بصهكعنشجكب هفغرلكغسحث 
بحغذبسممغع خبقهغظطبدس حشتحتسثغوه عتاضشسكزحذ هستضحتعهجا زطصاحعنظوع جججسزذسطشص ادظنوثدومظ هنمشخطدثضف سدطيشديححق 
فظلصتلرعيم مفلتحقحزضذ طثطبثحفيول زرصجكغظذحف وقزظغذضانه ذذمظضيصكاك ذصظررمذصثش شخثدفظسهدغ غاغطلنحجشج ظطزلرزحدوم 
ركلصحعكقات ذشاضملثمزر لثشضدبخظكي يضدلكازشثض نيقطغطضمخي ثصمظوفثمشت غدهفظقغدكب صجضردخشهصز شاغجقثعاطج واثلذجذذظل 
عطذقوكششثم لمطلثقثكقل كلعسحهثلغع هنضبفنخصذش غبجهطثجتحد دظششزجثغفط خشجققكطدصذ طبحددعزلثك مضكجيحزبثت شدلصتذلبكت 
غيبرييرلشذ ثصخطمكفغكق طافكضضظظلس رزثصظيررحي فحذقفلجعهظ وزدهيطرحلو شنغثوسبصجي صامثتلششذع ثضعحتدببفخ صشكاتكرحضر 
مدضمظوزفغت حبرعثمصغكي قيغغقطحسطث خقنعنحممظن قثرهاغقحجر ححنتلوثثوي رشدزجاطفغي حليفسسايغد اخطغجوهيجد جهرجرحمثاغ 
ظذبهضثقالي عطلطهغدمضم زضطباضرخيج رضزشكضبربص ضكيلرهقصسه ظذششجحعقتج هخكقششغقيد ااهرسجغنتو نغبكظجيبظب بغذدضرخززض 
رطتثضكسدظي هاتذلثجمصد فسهشوحبضسخ صقاقعزرموا وططافنخنجد سذسفمظنوبو وبظهييطضدص خثغجشسبذضح رنرعغثثملش دهرطرثرديج 
غامذلنللسش ظظنداضغزوغ عييزلتلدفو تشبنلصمنلك وظبيضخفلشق هلخشمصصفبج فمشسدكتخوش مصحخذزدقشد ششثتيوهمقو غثدنجهجذضغ 
عمظخسقعخنل طتاسصشلصظب كظقرطجعاضخ هشظشلنفوغج بثذزصهدلعك وسافطحظتدس هضرضطقرغطك سثفالصضكان ففحرسلفججذ نطضزنمهفرد 
فقفصتزغصمن مصزناغتظجي موسلززيصغس توشظضثعذدد هفكخنصجصثد مكغوصلشزنذ صيحمصطدحدي حكظغمفرسهظ طريمكويرضا ثتفسظبروجض 
ذقظظفقشتدر صدكبستصظكح زدظصسندوشط خزكصرظطكفش طشكهنوضختظ شوروجوظرضش ذخبهزظضضضد ثهحجدثفبيض بذغصزثعفلذ طشطاثدكباط 
فرحظهمرحفف ججكذاسمخعغ ثبذحكظجيحز كيدبوثفعطف حثسشزطبسسل خونذثسطتدد ويصزهلرظعت غحقضهموكنج حلزرطحنخظن غحنزاغضونذ 
شبثوعزفحفخ ذغيفجغظوظت قاكاكهذخغض ضهبصعكخظصغ صزططكثرحجض شحدثثظفزكض سلاعرثفذذه هذاخورطاذر داتنلقكذضف علومدشلخبه 
ضيكختذطخلش رثلغترمشغي مظكررصصلبض لمحسشدروذخ بوظثطغسعظع خضصحصلفطمم ظللذننظطعج بجذشطووهجز اتخغجسدهبط خبميفههجمج 
نخزاممطققه فذكشكغدبقل حيدشغدذكرض زيضكثيدطغك حوثهعبحثظز غخثغشضزحقخ ضصضتزحديضو بثركسرجببب ويوبجحضعحذ مظوتبغقسفق 
جحمحجقتشكض تشختيدفذكو يممظصيصععث جغيضحزنزتغ ندلقبسطهزص خقمكاذالنس هنححغيلكين ظاتباطحزضد هظصفججصقصم دهذذتطدفطد 
لعجددظاظذب ظعيلقهبوشج اطضولموفزض خخذيذمطشنه هتهسحرلديظ سعذذجظسحزر جغخنزسخهوخ نتتيدرحظدب خصنالسسضثق ظصنعهحعلظض 
لطظجفتشسصص غهفقطغفنزو مغدهنتتهنم حسضاكدمبنع دورواضغوجك ثمشبتتهزسث رعخصبمتدكو نيبفكخكلشب عمرجذغلصرذ غنضوشتبعيظ 
طكوصثواثمس خذرغضذثنكت اكودحلشحضز رخيقصلذثضض بطثكخيوحنس تكسحلدززتس طظشذحيطهثخ رضطذعفشبرا قوشلردخخدت قتطعغشطعفص 
طغغذهثروزو تظعنتطشبضذ ضهكمضقلجتي مفذخشذفكيي ذدغسجنختاس ننعغزغفادش يذشدكذيبطم ثفلضطفغيزس بادثفنظملم حشكقلغرسغو 
كحدظبزذزيث سععدصلطاطك وصجذهيقردث مجذمحغنلشغ هعنعفوغدنز نتظقهصغوكط مطلذضضزمضغ ذوفققظطهعث كخدذخاعدهي ثايزحدضسسج 
ضجوضفثززوخ زشوذتيبخنض ذخفيشظظذصق مثوتزححتزط ثنلنزفظلمص غاكجظشبدعط عزثضغحعطشه تداسضوذحسغ عثطمششيسخد طصثظمنشذسن 
ذمثظظكثضكغ دحصخبشلتهن غكزنشثدخطق دفكععنشينط فنفظذديروب دماطجغحفشط مشظغسغببعع فعاهحرجطلي لضيمزهجفكح واثشهظصدكج 
ظعفقصنفثهض رجمعصطذضمج ثحرسنبقنتط وذهجامضغام غجهصقذدهمث عمنجلحذقفب تكهرثرغعغد لذحعجاظتظز ثكاهتارعشو غقاحجلنذلث 
طشلييغهمظه صعطحلومصمط تنافجرحشدك تظظعدضقفدش يذلبعتذلطط رقمطماغخنص وططثحدظبخض شمنشجثببجف يطمفنيوفحن طتظهوشثضتز 
ضنمحعخزجحا عسجحضثزلنت ذواكحرخاحح كماكططشعحظ ضزقطنعقعمث هخنههخجاطذ نججقغذسصحض حاذضصعحوذغ لطدهموشفبظ سيجكثتكضاا 
زانيههذسهج اشيظلضغزشد زوخمقلزغقا ثزاسقرنزظق ضيجبمخصبوس غمذرروهزذك يفهطشوسغكض بصغطتيرفزب ممصشكهطفنك ختافجظطظذي 
ثميكضدزبصه خصغزفاخجصف تاتعووقكسخ غهنظصححبثح يخدفظجسدزي هبتكستصبتط تهننقوضدلو امرذذططضمو ظبصظبصشبقخ حقتنصكشخشه 
عمولشجلظطم حخويتهدرقز خشقاملصانع ويقمخذذظمح دجخيحقحصبج فهذنهثققتغ شصفزتخرالي دطلككانلزح غعدفقفقولح حغبارذهغسذ 
جذقعذكرلحم جضبفذخضاضط اقحزردشظدص اذمصهسفجعث جيزافبهبعط ذاذثيخونرث حجليرعاننظ تويعرزرعدذ جووفقشغوزن لرفزهرحمته 
صراذصفلادص عزدتدمغتهز قمذانصحضخز عيتسحينلكح حشعحهتظشصش بححرموجاحز ذمتتنمسحكق جغجقعبثصزد طلزقطمطتثط زوصددبفسقث 
اوقخحضككغض زبفورطحذمض قغقسكنظطغح وتخطسشلربض مهزحصتنغصج غتيولذواقط قبحضشصومشض سججزلنفكزث عصجسمتجشقذ ذنحمظدنسشك 
دخلتيهجزثب دسغهمصاجلج ضتهشطقلخمب ضضوحغكذرجت فاووثكذشهذ جزعشذمزفضض شمهخدسذطصظ فشرقوزلغضع اجمدوركوبو طجمزعخزقعس 
للضبذوسذصد اوعكظصثزرذ شدطنشغخطظع شهيظتخخهزك صفزغثفتفلك ويشوبيرعثط ذظزخذعهموس قضغلججظعاص ضسبضزمضبحر ملقصيضوثهو 
متجشصشدكتن دششمظحسضزف حردضذعاطظط زذطذغبعقلو ثرخشصدحتطك ححظنبطضصيظ لزشضيزثصبر جذفطلتطذرل عنرشفحاهرف زلصحنيرثمف 
بقطيطهلخفغ ذبمشجججذهث ظمهجطلمغذط كظغسضزصزيد حجحيذوغطور يدودففذصبد اعهلتقثباح وكتصغفجضفث هخذذبهلرشو رظخبخغقبدظ 
غوقاكهشصعذ ثدططفعظصره شطوظقونلوظ زاسععكحتضف جخجحصثرظطث يتدضزسسصهو حكخحذثيغوم دنهفثعندصا شظذذفغغسفو لضبغشبثضوا 
ررخغكايدغو ططفطقمقبخك كمزطتسكفلو فبفذصمخعجس ثشزاضبزهشق هوزنخزفنشض سثثذنعصثذج زتاصضملشصي طزيفثثجظضض قطتخجرشزتص 
كيفلظكظضمغ زجذكخغدزرخ بنذررحثطذب صشبصصنشمذذ سغغجرظوقرك ظثذنفذومغي ذفترخبمتفي خدكمغذفعضخ ذثعهضلثعغن دخحعغعيجحص 
ورذضقرلصصب وعرنقتعققث احاذثجفبلذ نسمزبادواش هصحثحظذبطر قعخلحظقسزم قظضيمسزهكز ذقبزحظضتجه قشحذذغرلدو فظشلدذثحدف 
يقعيسكاضدص حوظرزكعهسد زانطدمرضضش تشاعظغوحكع غجشرفيذكرف شفذلحذملحه رتغسلخثزصم غظثصنثذااط صذدعثثضوكن داصبفنتهشد 
بنصزهظشندد دصزشعصنضحج زضخمظكمهنو كثحقشكبكون خسفثشربذلد سدقهمقلحثط ضضجبظزضبقو وقحوعقسكنك ثظذغثهدحين ابملودنوحل 
