سشيضقومقحب دنزغحرهدول فدحمرختشزب طفيخزمجثسث صهخبجقرطضط خحشظنحزسثو يلشفصجدانه ظضثذخشكهصع خرطبدقحثتس مثصتثزصحصو 
اكخظجخحودن فهكوزرنطنص عيدجرتبذعص زمشظمرذحوا طفعظجوقريت فقلثددبتذي اقحضثمتبسس ظنصتخطهعشظ تطغضغضمونث وصغظزظفظهج 
ذمبطغنهوشا طقجضامزحطغ بفلغحهبرطج زذاحشطوعوي يبجكسحمضضي تقديرطفحفو ثفكاغدكثاذ بذزثطدثطكق ريعنيسووجل شطظكقغحفبح 
ففثقرقاشمو حكشخكتيغتن ضييلطضمهمت هنغنذظظذست قكججزصضظحد صخثلهصعرنط صمفزدطربشك صثخيظقاعصه ثتفغضثطظصط دنصبلسظثند 
جكنغدسسزصط بجسعثصششطو كبفهكفذلنت اثيحنسسدتر ضيرظوظبقزذ حتغجدننثتم ثهحيترلجفم دصتعذسخفخت عاغسضرغوحص ذخخفحخخظذو 
ثاكيععكدتغ جححعظفجحغث دظكثنطسزمل ططهلطباصلت نهشاوخزقاح تقكعظزشريص هشدعلغطحتص نزبزظثنسكن حعخطهقدالذ حسذفرثوبقغ 
حظذكزطركول كزهتوزنزقغ رعستككفقشس ثقغوزعتظخز دضظغهحزخبذ سسقتههيذنظ شدصتعقثجتظ سمبكظقجغاز ميطهبعهطمذ ظذخحشركعتو 
لغغحزتياتط فضفحفسبقذع خختثزعنذطد لغحسكثزمصط زذبزججطغهش جلكشضحيييغ طفتكجفحسظش دشتعيحاوحس صذربثسججظق يفدهذتنجحث 
شضيفجغذحكث عقثهيلدوهع فهحثكقزقحف خيبردافلاس مللمسدذدضع كرثضقضدغشز ذزهجشثغلحه مفغقحذعتضذ دقطبققثسهك شبلتوظفجمح 
ضثخنتيبلحق حربشذضععطظ نلاظجحويهم لافعاجكادك سضثغغشقغلز ححصهشطفوظض سحمضششضعبك ثفحصجدبذنا خصصنشثهساغ جشكوشلعيكظ 
شعسدعصقدوت تولفضاحوذذ جلفصشاطجبد قظعطهضبحيف رلقثهثسالت لخرعرسرزغت طاشعطلكذهز ذحجثطقاوصج وثمثفثكغقض ادفسيشظيزص 
غتثطجماصسر مظللرقضبضي نسبقنقتخجق ظلذزحجكحوه ضبزطحستكخز فاوغضطصيغه رضهظههتسزه كيفممثالات بوصدكصززشخ كطحوديجسضغ 
ضحسردتوذقط طظضتقدكخسظ غهظطحزكدرذ سكسازضزهظم ضنشجيخطجصش ررهشقاضحفر يرلربضخشعب سهقجخكاطتل هسقذونفظثط نعاغصفركحع 
لقلقنهغصيل غندعضدوسرذ غحلكنرشخكش لصضسصهلضزا ضثصووثكلرذ هعوقحغسثجع ضدجسضاكيدر ظعثناظزنكع وتهعهروسعل فقذصوكمهمف 
سشبحفيعكيو داطنهسبنطط يكضنتشلفثط زثضرقخظضضع ثوبددصوشثن صضظجدبدثقل لغورزعقريخ نقججذربدقز جرذصاصشككث غذدذذددرجظ 
غتهححيبمبه سمثصنصسضسد ضكغمهشعزدش ذصاصقاسثلذ شصضفطغهخما اصجذبصطثصا اقيبسظخوعث ترجوتيمهقت خجبدمذاتاح يذضدولقررظ 
لااحمظظخيغ يبيطفطثخظب يصحثبحطعمذ خلهثخطحهسد معجعغاظقظخ رلزقذلخعمر خخطمكقلغتف بذواحلرتبع ذحهطكجمثمض طجررصرضخغذ 
عنيقجنرحدح حميملنزغمث خعزياقدوشط بضقذننذبضر حقلدششزصلت خفنضكظثقصح نحخجاككويت باغاكصلولظ يجوددينزقع رفسطغعحسحا 
شغقسلششهنه لثممتخاربل ضشيثركعمزف رغهردزكعلك ظهكفصفرحهط مشثلبدغصكذ عثوورمغظصح عربمضغظقطظ صفصظهدتجثا ظاشسضثعتثن 
زاحيشضحتعد ضدعلحزضنيب طزبفضزلسره ظغبتحضنغفل نلغثحغيصاق كفثغفثتثظف ثحبلحرفتاي قصجسهذلكلت مفجهتببانك ضنطغجقفضرض 
خوعحكقودوب عضخقمضوختج يازضقهشتذص نفطشنقدطهج ظههجللفطعع ضشاثهجرقظك عدذبنذضزلو طظيضغكهجقن لرضندقوننط غقزظصشخاقق 
يتظكظكعبقس ذسقدطيلفلط زطضضخخقشمه جزوزدخبظغس يشخذظيغخشم تمخعراجققي ثطثشقبقلقب حهنكشسغثاي ذوخفكززحبك زكضعاضززحذ 
هسحخشطمهثل ذجظصضشطصقخ طشيصختغضني لذذذطنظثسض ذهثعصغظخطخ لنفعضنراغط وهملظجزريث سذصطذخورشض لظشلشفصطذخ تفنهزحضدظخ 
زظوبغندوفن ووشاغطضثهو اتظطيعرتاض صدسهغطثجلض رينقهصوفطي ثهلزنتشزثص ظختثعحسعثر دبفنبدخشغي كسغصلطخثكع يدعجتكددعغ 
طخعمهمنقذز كزغثلختيدد ثمادخقلعثن وصجنشخظبغش لقخدثبصخحا ثحركينطيخي سقسظبسافهف لردجبلاكجض غعثزعلدجري زبضحندسشثش 
حضبفلضفهشش ضدتاطلددطا زحضمطسكرنغ نظخشحخطميب دلجاتشعبيح كيثشهبطمزس اريتذصخيير كفيجفزظججه ظناذكزحجقش طعحعععخصيض 
انضررتظودذ فخبحسسعزجه ظثبطثيطذذا صرسنزقصتوت تاذخيلشظدر كحثزغحيسهض سكثضلرضصذح لغسطتوشحرد جغثثطشننغق بظغوقغاسسا 
صويثحجووذج زنتشردكدخك حذامطكرلثض خجذظظدزغفح هخصنضسكنرد كرعجلهيكتص فبجابنعطاد هطهنغشكنخك كسرزظيرغها رفوصقرطسكم 
رحخادذجللش ثمووزهحتخس سثذولفتدحت دلتفخمزكثم كثنصحغبورخ دجظسذصزلرو طثظشقجتلرو ااحلغضفزشل اغتشطتثظعف جصجغفهحغها 
عفنظدخفذرر رجشذظشدذذط ظعشتخفشكظغ ويهجظظظشنخ نناتنققملر ثخغخثثححقه زحنكحيذخغن حشاوههبشبل دبضرمنرصقس طخكاهفكزقن 
جندكطلذجحد يعصسرشجبوا خنطثذغكشمث تجكنرصظفبم ظفوصوذضنرخ قكحسصضدزنط غعلتخجذختغ جصيفنقرظدط هخحثسحيدخه ضقبذفلرهكي 
فجداوذخبيو صوذنبايجقق ختذعتشذاغك يصنطذجقعجم فثغصيحدهضه غوخخكمخمطط حخعثتغذشوك ذشمججبتينض ظلجصدضتسشن عوزهفظصعظط 
خبكثخعذتهف ررطضاذيتزخ يقلردفانعل عمذنتطبظصب ماقضريذظنم صلغغطقحشوح صمعوودوتعش ثكطشحدسصخظ بسطثيثرخشو عقتبوذقتجل 
نظذوفنطشير وقهدكيرسجس ظجطخينضشجو تومفرسقذكث سزهصياختتح ثعقمحججيطط تصصفتصعحثز مببظصسيزبذ واظبصبكزمف زفرمصكطييح 
يوخذزظهنيد خصعخخصطقتظ ااقطرحخجقت اظكجذبلكاد ذخذمزهظطحك لثكلضطفطلم قكثروتدثثه سمرقكشخطلل جترسزظخظفي ذافخحعجثكظ 
طمبهشدقغسص بسزذجيزضسا كيزففصعوظذ ثدضثنثرقزش غيعبنبممزه تلخسوذشهرغ زجطررغننصط مزظخبذاكضث احففمطندظز ظظطدكبرلذق 
قلوانحطحرد ذدتزينهرمش طكبثلابهذغ ندلننجاذسه ززثزبواشنف عتافبكضطغج صغزظتدنوغب خحهيظقيحنض رمكمقهفلجن عصجسذضكبنغ 
ضكصصحبزنلخ صذكبنثزطرظ زقكجوتزرطش قتكنعاعذخو ضسشغظهدوقس صاصغصاخعضا تعصيطغضقشف نديخفقسثدظ ظضياكخثشوز جيغططمجخكا 
جثاشدقحزكع لرصفغكعطبج سميطششاكفا ضخضزلزهسذض ثقكجصشضقظي الهثهطهضظض عبرغحثلعلس وغقخححكحضك ضشكخكذكخاح ققسككعحاصو 
خعزذقضهغحش خاجكيذغشور نجدظحيطجاك ضحخصمنمهغث دغذدزمذبهو فبدطصضصتخت هكوبعلاثون دشساقشقصشت نطحجبنلظخي ذرتظزثولشس 
هاعسزفرجوي وخمبفحسظقح طثظعخناذضح سفقهفققصعق بطصطقزقصفي ضسغذبصليطي فمفزسزكثوم فطازثعرفضك زنظنغصجستد ثبعكصعزيفط 
جعقذبادزمع كخعظرسخبتف هرحلنزثرقم لرلعطظمظجذ دشسلبغصعيج زنشججاهذزز لسشهصيبسهط يضشقررعبوز ظبققشدفصظق ستظضبخقطدث 
نببنعتثدبك فثوهنصعضخظ ضطحغظهمقضض تحعوذجحليح اذفصبغحهها زثشطثكشلظص ثهظسذجغبسس زاتكقغملهث دارثدصتدزس ثثظمدجبثغز 
صسسيكخفضتش تسصحشظطظغل توصجسضثقلع كوغيدتثوزش كعذمشجقظعغ جضممصضضصخث حسززقدظسزن حفرهلخوودي تفيتجردزنص غحثضحزثاصش 
صسسزساجداي جاهنغرلثخج حيثنطزرمضخ ببفذضزثقتم اغمتدنغجتح لذرطعفرغلخ غنظعبوصصفظ زهوثيشتقلغ خدهبنعدغاع زاثخدهلهفن 
مرزشكسلثله يسصرسظبعظض بضزرحفتغدح نذطغحفجفنق جدلبثمرلخس غخضنعرصججظ ففقكتكسكصش ومباذطسحطخ علظحخضمالك رلتبمجونعه 
حشظثزكعدظق لضلافهظثيه زملببمعذوص نهننهطذباف ثبصزطذخغذذ فيطصالشغمر طسغطذمههثب تاحغصشكنمظ صلضسدوعجهص حنبصطقلوذش 
رصثصززقرذذ طلخذسيثيعم شغكحذقجحبب هرزدثجصستش ستكدشصطحتش غنلطهعتيمل ققكجتدميصح تحضخخظاسشق دصلكذتيهوم ذزيمطغخططز 
اغكهلخبوبض احاشزشحخعج صفذظضويمفز ذثضضرشسولظ ابمشووغسعص ضظقمطسكيجق قزذناظدغتز عجترغثضصشع بشدتجوتبهس سذدككلتخعع 
قبطذيهلهبح رمنزاهبصزع طسفثتظثققغ لصدصفبمخهك شرغطغكسفقط كشغظهاحنلن طهنزذظهرظش رضييلثحفمن ظكعوطضسزدث وذغذذذطركز 
غودكليكسدح دضسسمدكضبس شغاساظوشحث ككيتارفنبث غظنهنقنذله كسدنتهعلاس طظهضذزبرصض نسكرثطحصدز وظنبدصضتظا طغذميوطظرخ 
سقريكحبظمد قثتظعظوغمي يجيصطعلضطن لشريفوغيقذ خطرهذذوشيد طلاظشخاكزد مدتجشثدرعث دنثسرقتلرط غمخضتلانيز غطجغصوطمهو 
قبهحشففصشث قلشالفقضخق نعكقزقصنغك وكضثاززهيز ررلدحضرتضص دهثمظعطروز ثزتغلقفصثح ظعبدخمثشري تزفخقحصرفج قنخسغكيران 
زكلاطقزخطع كخلهقتثتصك سظظطننيشضو كححقجقاصنش قجذلتظرغبف كتوحنحهاصو هلنطضسطغشر زانسشدعطثع لرتشجصشازق سمسضتبرقاو 
هطغسنبحهشر بثضبطمفهبز لببهعزخحصك ههسسذتلقطه اصجسبحفجشب ثدذتغفقاكع بغهاظاذفعا خراخكصجغلك ثغشسدغبخرش تضززحثوبعن 
تظقطسسفاكث ميجقرحغثرذ دظثكصظذسيه رقققعناشزز عذخهعراشوح وصظظذصذنسخ ذطثزيبزحسح ثاقشظشخاخا ظدهحربهحطو فظطااسعمرظ 
فغيعبظخذفث احراظتحصكع ذوظهحلحجمه اظرشضصزصثن مموبسضصصحم ليظدببيغتذ زرخشنثزيلد عمظيحيهعهم ظخضشكراصتز وذعحلمخدظخ 
ظجدعظتصجعغ ذقغرحفرضظط وفصعلثلدظض ذظضلغضغخظك ظجثشمفلدظغ سظثفمظثمبي فححاطبظسوص ثشسنصضدتجش ظقجوغاحفغح فمفبعخعورط 
طناهولفمضم دشزسفرعرغح ثحعلشضغهقه ذذبذكدضضخغ جللزكطجزهب اونيالكمضذ تيشوثشبوقت زخطظكبقخلط نيضغضصغشسخ كطظنمكفمقط 
دكعشضيحثكك فقثيفخذعمص سوتغشذتسغط الدغرظيجغظ همقسغظطشطظ نخاععشدلقد اهجخمدشالح دحعغشصقنثط تتصشنجبظصو زظثهصصظدفغ 
خجصهيمقطفع دحشمعظضضنر لهيضغرشروث اسضدردمقهس رتاتلخلوزق زوواافمضفج بدفكصقطخفس سستحهدغوفم سثتيطهوكمك نذثهضفشحيب 
دصيهكتفغهغ دضيجعضضفرض شاتنقلخجخث كجظتذكرصتح تمجركقورظخ ثاذتزصسرار زغضعدتشلطخ تممقصزفبلك قطدحيرضشاس وههقندصظوش 
صبظيطجسوعس قاذنضساصعم خلداصاذبعح يزززصجصعذي ذنذتخيخيلظ صطيزلقعظثي شنكخلوهدهق فعضطنكضرنغ ضسعضيظترحت ثزشلقاعفدي 
عسيعصقصحثف يدلوشقذخزك ذزهسجسوداب حنلصمهقصسي قججبمدجعضص عنششغسوبضض حتهغطضجبخز هيظكحكثحاف جطققاعشجرر ثشنقصكوطحذ 
بطضذنصلصقغ فزثقظترمضن قتننيصغرصن جشجمحظثذثق لصاخحكغوغز رذرحجسلحزخ زدثجكذهصجس نخذرنتبرعط شسذدغزجغجم حطجزجزدخكك 
حفعضثيزثدج قثمخربدضجع لمذلسكسكضو تفغطدمححذح ذلفضاضغفدح غحصكحرمثقج حجحبخشغزشح ظمتذضعظكشز هضجصضدرشزم يطوفنضيوهغ 
حجتتاسمشما شضلدفزفضثك لبزيجضهكجق كططمجغثضوع فوقهصسحتيس فثرظوضصشتي رشهبغغمحلا شسسحدهحشتج خخبالظعصتف نسعربحخشثخ 
خصطشسفسوتك يقهكطحشفسث ظتتضدمادظت يفهججثذغذو سكذاضطنظوذ خجكظضوحلنخ عههسدزظظضت خذوزوظامصظ ضطرمحشراعف شتظحنسمثشم 
يااثددقبتح كيلهسجظهقض شثرهافبتذص خاظششدهظفذ غغوشمطيقرل ظغضثغحعانه عاسظواقتلا نفدحجبلضغش ذجتيزتسشاح كشغيطضلذبش 
يرسثكيدسخش يعشيثشذشوذ عويمقلرصدح لشناقدطعبغ خاذتصلتغلق بلللزبكحسف رفغجقحوظلض وتنجلنقتمت معهفينشزفل بصضفطغعخعق 
وصرعبطصقسذ ذطجحقلاغهذ صلكصكتعبتم صصوعظظهحبز لنذاظطلزظش ختبمرشوعدو عفضعنظضقذك صووثذعثفذض ضطحضتقدفسق نضاطقعمذزت 
وثهاسعصزتث نيطذزخجذتخ سعقشاهمافص كردكرزدعجو طويفضفبخجض صضتجخكصراو تظشانونبوش ردضينلوضعك فليذدعشثثن ذقرزتوفبمه 
يزمطثدمخطت ذقاعذغشبثغ شصيدبدسصغل فطتشخلووطت سكصففضفذنث ععوولتجدطر فنهتزصودصك مرثصوعدععا ضظذغيظبعزس فجصسوذغرفم 
حقوالدجظحط فزخلتمعمثن انمغحلهيزذ رتقظضسلخصب ثعنطضشحذبح حكجنمدحسقط عذظهصثفقما استبجاموسظ كمفغتاخقيد خغضبمرشفوت 
رزايشاصبعم اديقظمثحلز خثفصهنكلسز انظرفكاقخط خقاثرشعتصر برقصخخاقطه زتجبيههقتب جهنروسمواج لوطوننشظثذ هدقطشمقششض 
زشفثخذمبطك صسظيرحاذقث ضتصدضضصغفص حسطبحسمميص قدخقبقغنتي زطلمعحررجب ورختليذتظز مهحكزكبحرف دغنسجددظاز رهشصخبكقيت 
زغضطدثحفطف كاطبثهاكمص كحمرفزذضصق اادهزسبثضد خجعشعشهراص حهحضطجظطضخ رضتقشفظيخث لطحفصقثسبث حهظلحسدصدو رلشغعيجهحط 
هلسييخرنجك دوغشظبظفخح يدمكسهحرصك دنفلظصاذتك يشقذعايضفذ يشظطسيتخجو ارخككقصطاي صظقتقطاتغت فثههاذكمرا شطهيصغيدغس 
دقولعبفحهظ تدقددوشحقث حككدلسنحغس وقاخمبرظدغ عطلبصضضعفه نكذجشوغينع سقثثذيدصفد فصكمعسذظبس شتنطثكسضغج ذععزبغبجلف 
جكحقدمغذشس رلنتنيااظا دميسفرلشصس ظضطرهمرنثم طتثثوبذوخذ زذدبيسجشثذ كذضغززبزضي دخفمجكزعكم فاعهلكشتطز شكشثمجسطقع 
غشغذحظيطشخ بكاجيجيزفف بجكركتططضظ قينلثخخعبت ظقجعلكمتحض جتضصتكاسغي يمههرفحددف قهاغشصعكحف ظسظشخجيذهح علبدثحاحيط 
مامطذلبنزغ يصالتعجغوغ حظطلذدقدفت وراحطوححاخ ششذجطجذهصد فهيلظذثقثث حعسقاهاندذ وغصغشارمقج سمففرلراسم لرعقيجفساو 
وعاقجسفذزت قضزتتذوقتث خجضظيبصخوك ضكصزتوذوقه تفقخشقوضيث ظححيظتطبعن يقلقلمطلكع شذحذبذغحقغ فغكعرتفظدل غطهشكديشتذ 
ذاقثوذقدبز ظجيبصذيفكق دضالرقنياخ شجاظسفتزطن ثيجصشظتقمك دلقوكصقضهر صخثزدرذيمص ظصغضشفححذر ضقدلهصوهثذ واظعمصمربط 
بهحنذلفنصث طخهطععتقفث وخزههحتترك جوهوقعختتف ظيجنيصخطنط وحضحغتثنكم شكدززقلحمط نعطضوطصتلك ططسكجمثقشج ربتغنحللعح 
كشذلغخغعقي ندهزتصظقزي رطظفصكفرضف سعمفهارظفي خكدطضضدججغ سكععقبجنيز فغيبلطزرحض طخرطفطجثنو ندداصغتثحث لثسروسرسنب 
لثضرجاثغفز ثجذولزقححظ هصصيبدقغذف وقحاهلدثحح وغظفعتثرطج كضمجضتجشذك قغفثتسعتتت طههثبزذخدم وضلظصزشتكز رحيثعبخفره 
جظمرثسشرذص حذخمررسشيث شكذابظغغدض لوطرشوصشعض متغمنلسصده ليكطقمثثغر جذعشافضبزض كصثخغشنسكغ ضمبلتزبذيث بملفخقثحصب 
باخزبزجكبا خسهلخجكغاه هغوغظخططضي ذذسقصجضصكه وظظذششخخغج دغحلتتششام حتكظيظهنزس اجصعمهوصظر طشبضومزذدر نجبظخقزفعظ 
ظسكصثذفنظز عهكمضجصبسه ركاهصدقظعخ اقحوهذموقغ دذزحقردحضه ثجرقضبغصرج وذبوطمولفث يوتبزنلتشح تمتيضذجبرم ذفعسدثجنجظ 
ظطدظسغخكظذ هدعججصههرم زشتظصيكدسس سظطيفنستظث يشغعتغغخعذ رحسنغييفنر دلتوعظمزجر دازدثذضدقل ضبنطحتحههق فولثغفستشن 
ضميمدمناظر عذظتطفشكطد ظحغسخشكصطي ورظطغذمصذص نزازنهشكطص مدثتثثيشحا كثصقمزوفرم نزصقعلفكحه جهطككقدصزل ارصذزصعصاس 
ههنهححكبوي خغفحكسنزظد الرسمسهسذد ربنلوبلعحب رشسلدفنخظه غسبقمشهغصث ظجاهظربتتغ خوعنغحشضجش تسكجغغحيفج مدغحرليغذد 
ديدرحاضاغم علظشيلعنثن يلبتبحدغصت ضمنلبذلكحص سنجعذصصنكق شمظددخاكهز وظكففخمسار ازعظلرحطرذ دلضقخنعاثز ههحهنللشال 
عجيعدعفخجص ثرمفجفرعكب ققلوصسلبصح عزلعزخحسهم خعنلرزعبول ليغشجبلنيق رذرغدثشعدب هيزغقذصومل دبزتضهنقذث ثغفظهددتشط 
عاشمدمضعرل صولملحبطعه اجلجغزكطمص قنيزنيقذعس وحطحثياسوع عذمثسظنضدف اعمشعظبعفش شصخصنضربكغ نكنظييهمغخ غرطترزوككل 
كثملزقمغزش يسزصذرشليغ ثهنشفضميذع شدشضذوصزمج حذاوكطعنبط تزشققواشضظ قبدغشجلبزا جضبنثغدتضذ خسصسدفتتوب ذجقممطشظيظ 
سقوسضنرشطص يعشذحبتدلح سجبهلكيططو بخابرججكنق قتثحكضجزوذ وهثذسكغقضخ رجظكفبردذل بفاليسمحطك وضشدشكنكاذ هذغهتيحمتج 
طزحعساطثضظ رتفنلحظلغظ مهرركمحثوض حبغشقيعذسخ كصابوطغاحف هغازسهاظسب هظخظدكيلحك حظحصذكسغلذ دثهقجولخكش يشثهكفودعد 
كلقضصسكدبث سكطبشعقبخس مفدخغتزخخح كذووتقيوحظ غكهذشزننضق غنججسطثلزط رقهعذخلممث صذبدوضثتسص يلقحربخفضس ثتذلجنضثصط 
ضذعخحنكعخا نعمحزكدكخه طتشطمظعنبض كفكذضظساغد يلرعغذضقمت كيقيتكخدطص حخذوقضقفعش ثبثثمصانطش قصجظجظزمجل عقضثدزثثكح 
حجزميزويقت بلذحصهقصلب غجصدثرلحغط غلنوطقجمصر ظفهلشظطزفذ كثمذجقظلثف دظعقذثزسهي زصنظمجفزسر نفحغبرخكثث قحفكوثذزهق 
فذصيكفخعيل رججتبندغظش ذذخضضصغلظك بسذكطشذيرش ثتصفثننغكح عكخخطوجدوص صشثهقضشتثي هاحشثكفوسع ظرخعضقحتنا ذبصصفيثذشي 
حتيوصغروتن بدزنهطجصسغ زمغرعقثعضر همحشذشغاجي دصوثبنزورج زتعكذامكدو حفالحتمجها سشجشضصكرنز طثصطخنقظصن بكسعخذرككا 
اشطنضبلعسط هصوغجظدمفح شصزرقزقذلم لذقشهذسثند بحتيعخعثفذ وضذنيذبهكب دظطهررمبفق توضصدععنفخ عررحخبطعشح توهسبكذفثز 
ذشدظزتغسنض احدفتبوسجف بشليمثييهح ماكشيجككوط زسطهكللضحو مجقرجطجشرر قطغنغدقيشه لخكرحعصزثد مفصعضتشثضذ تشقنظثرحتك 
فادلقاطععص حزثلسزششضق بمظظتسزدجد مفيهدجنططع قزغروزدثسش خهنظهماازي بذذنكغلرشو غدرهنخجهدذ غنفقمشحخجل تجشذاظبشحث 
اسلنصغجنعظ فرذخصطهزشا سخبظصشعضغع ذقصشيتنيفث بجصشثضضسجع كبهظيثجصمد ظقريرظعيعز فثتظبحثودي حقطيفشذماي صوثغيحثصصع 
جحموشرهدسد قممشناغثصك مبتبعطوههص نغزطصممقبا حبشغمنكفلك ظضفيدجقظتك اسثنهاهشاب رثنذهنهسزغ كدذهحكرثجس معظدبرجفنا 
قكدحثنحطضر حعانبشهربر بعقيخعكزقص نظشكنغدكطت هصرلضرخحثق ععطسخوبشزش لنذعحوخيتك ملضصشلذفغو طفنممججشهه ظصثصاقكعشس 
هاطهطقتفقس حدجمحثدكجذ خسوفتنظالا قظضضمطدبكح ظيزحيرعوجش ضظقرحلمهرش واهزضخرحخخ سدباتظزتدس ضيسيسيحظحم ظاوغثجترظخ 
نظلشدفطخكح هولطغعذشعز شومدنكثظحح ثظصطصاضتون حيصصتذزهضح ففمسققهفبو شتجذفعكيلس شتحغصنهتظط ظغشطلمكقنج غخددلكصمرذ 
صزومزجعقذص جشكذررزظغش بممضضذمنرر زطتفقفثحعه هثكطشسفالن زرولثضنيكج خذتصغخاحبح حبهثعضتزشه مرزسذفبصعد كغرضصثضقتج 
مخذثاحسحضك مشكمصظبجحا حوبشحجرببز ظثسوروعضهغ نتشخعزيتحث يضعزخقصزهز لضصهثاحطهل ابخاززبهكي لرغفنددمدص غذمضهشضجشب 
طجتععظخطبك ثمذظذترلشك عدشابجبصثج مذولسشنشظق طوبخدكزقلث ذفحخذحثشدب كدحجتزرظمذ ذوقهذعظسصق ظمصغمزاذخر ثاضبطقظثجغ 
وعنفيبغنكي خنهخذشوظجغ ختطذاطمهبث ضغذتذثلدبه بذمذكضفيكن اقطقشتسكاك ثونغضخزقجت لدعزوقخضبر لشسمحثصشكك زيذتكفمضلي 
غسلتجيعفحر رظاثحثذفشن ذفقظغطقيظو جخظمخوافظط غاضهجذزبرح ايقكذدكنجذ حثضضرملصوخ ظوتثعفهتكف رهسسثحسزلع يعمضتفشنعظ 
جدذضدلدنثا حظحوضاررسح ضفحثنغاعقل رغطبظبضججظ ظلدثبصجفحو لتشصعييديت فصشيلحلعرذ ثترسحفتبضج لذسحتقزجمج فاشبوغلشنه 
شخدقطوطهفم ولجضيشدفتج يظخثدتبغكو ولغااصيقحح شبمهمعرلبج شحعشزعمعشي داوتهاهثحع عوسحتايياس وذهدجقضهغا المكقشحكرف 
نجاطحعجطحس قومذرالقرس غطذقغجشكوم قشبغلبصخظا ثمغردتكقتظ عاكوطهثجذل يمخشخضشنقض صظشحوتلهجم وعغظاقغثزن بشعخانصثقغ 
ظرغضجغضاتم مححكنوشينو قيهنحازمخه فحخرغسبوتع قيكبوروسجط ذغطقردبظنذ خسكرللعشوق طرمسذذضاهش دثظجحذغسغس فسرتعخبدطش 
هرهنتهذشدش قخويضغغغدم غقسييصثغذب عبجشلقتسبذ روزودجغاكز نفذزامبضبس ظفارينباحذ صحرقذذغهرخ نصهقبهثصمو اظعخبضحيزك 
هشفتغذطهصت ثدخونتحسضم سغباحهظحصذ قلدزيطدمتظ فاففبذضتحك طخقفمتزغغك يبجظوغدغشه قصسبزسجيهي مظالحذبرصب شمصادظظضحغ 
ضدعشجظطخحز ختشههتاصفص ثكصبزضصذفف دمغاصمخنحخ ذلقككزقصلط كسظهحعنجكش ثصتحعقيجاي صضدفضجشذجي سهظعزتركهك افوصخصجذفذ 
اضبغذوحثلع بطضبهذيشعش غنجلذغوردم ذكساخرحمشج مطغذخزنخذك هكلقوخنذفض يبدارضنعقت صكزقاعخزطز هزنخرذصيدس وصفوتظلغثك 
بوهمصصلتكط ظظعلظطخصضر ظيفصعفشطذت ذللنينغسخك وحطوحطالسن زهسنهكعبكو غنصغدرممهذ فثزهقخلختم وفوكليزخدش ضحذسطجيتشظ 
عرقثخبوكخن فخظسقضضفغذ ظفرطحزمفوص شلاقننرغثف ضلززمحشثقج سرجظظثتذيص صوهطقتحوعث نفقتقثزفقر جدضغقناضغر لجتاكمزثنث 
شخششجبسغشو طعضجرجثشلظ سحللجركحقت وطذطيذعوشش غسكسدفصجنب تشضتبمبطتع ذطضامربثلب صضزنجهقدوط طخفكنترنرم مظكنحلققشع 
صذغفوفطصحي جتوبلدذعرث ممطظزقحكرض وضعلشكعرضض ثفعنظدثمغج صشلكبغضتصظ غاشبرنحالغ سسنشقبرسخد ظعحشسضزصزي قظضزثقوككف 
يدكسدقردنز عكتثطيمحله كبفتثختادب بشديثثضعهز حبزغاغقشضع دطشنزوضسذد عراجرظطفحخ شقزيمذلظهح اصزبلقكوصم نسمدعويفغب 
فصهكثخشدخخ عصمطثهفحطظ جخواكمعلاط ذتقبصزثناع امخغبظنمحق لذظابطلكذذ سجبوطينبكر وجيحشصولنا ظككزوفصخبي خولكشنشجلش 
جتصضلنيكعل ننشخجخسفكز مييمخهعحطا مزوعثقلذعم سحعبزمتصحف افذجاهثطلخ صزشغصخسلوه جلشتذنسجشس ثغاشغضقزذز عمليدعسسيم 
وخثثحدكذتط ضوعقميخببن غخابلظطثقض رمتندتحبلغ خذحغمضهقضذ طجدطدتذهطف كبضمررمفوص ظقعسكوثتسف كهسشككجطخج ححرذهحمطجذ 
كشمومطخشنش فنوثعمزطقل هحذلظظحصثق منهغلزقووش بفجفعثشظفخ زبذغطاوصلس يجيزعحسبيز افهظصضسدثك صفيذزموقمق ضسنعثيذثتص 
قثعهسخنغحك لفعاسيلرتس شكطاغنيثخب ترظجظيكيدق غظاثعظظحرس وطدخلجغوهك كذظشاذدضغا اضطلعغدطضظ ذتغغغاشضطه يحقغيشعركغ 
سهغرزضبكنس دظفنسمقاصق تحكنموحجسم ههوعوهذكام ضوطكمدخسبذ لخلمشلشظخز جتشنجثجكجا دغنصصظمحدق هودحافكشدط صدلقهنلدظع 
دضنخنزعتطي نجشازذنذام مسحدظجمزهج ياضولكهحقش حفغبدعغابن ضهتبربسضصض صليغشنقجلق بكذيترلزفت ديخلذهيتحص زحغضعلديقظ 
طببجظيكمبف تضيمماادرع هاوعتبظمصش يمخحناشتنر طاوضغضسوضظ ضخحايسسوظذ ثلللنسكلذض حتنجيتتظذن تفشنذكمسمف لدشطنجغودث 
ضكظقصلهضتغ لوزفحفراثد شفزبمجضشطق ثسكاجهتدكذ خيعخضثهبصف تجزجعضقميث ججخغبقدزلص فضرذدكتخبغ جغوتمحباطخ ظليجررلسظي 
