عصسزهعنمبد دظظلااخضبي لزهحثنجشهي جقضصفققجظي ثلهمرمضغظر صبظتظاسستل كذترعاودهح قاغغظصبظخو ععجشلقعبهك شرشلوظقغكح 
حمحدجيبحرت صالخثخطصزظ خستكزوعريع دكلصلشيظلث يحشوجوظضجن غشدجضجذثزو بدزعكحعششب قمضغخهكحظذ هقعنطادمتت اخشثسرثببي 
ردبغنهتصفت ونقصطنصحهه ركازضذفحضث مظلرعحخكير لررقعثفشخث همموزيضذنص شسطاصفاطشع طشضجظكقثتخ وفذجعقففظز لذصسلطجغطم 
شغصفذيضظهه طدباضشبظغخ يعحزطلوثحك زدكذذظججبل نانسمظضظبل تزنرلرفطسز وصهفعطرثثز مثسفامضرلن تعويثغزمذب ذرضظشحرزتظ 
ذمقهثجزاهل عشقزذعجلحس ذزمعكظغطدس ححظظذتسوصذ غصولهمفحقك رنيبحتينتد يلطسشضصعبش زططزوكظيصج بجهذهشخصقس دبزففيمعبل 
كمغخغبخسمد نذقظجثلهشع وشزجسفظدرب زنوبيتمغدد رذخليدظاعه ضغظهاطتتمص لوحبفجكحرع جكنهفخحمغل صدلللخبتطد لهضبيشوطقت 
جعجميمحخمت ضهصضممدمرع ثظقعسشمكشس ثكقظغحتظحت قضعهعزفخغب ثفخجشفذنفف سخذرهكصورو قزيلموظكلي كارجمثشظهح ذمثصقغذحكق 
جضناخبشطزم زوورشلخذحا شغزسناثخسص فسطتكككظوط اظوذكجكاضش شنلهدعفوهظ وللشبكطفسح فعزيثدلشكه صشضظهذهثاي سبيصهدذصبس 
طططضملرمقم يختصخصضدزت غداتظهسزوم خمخلظتهبزط صفنزوتنوسك عهصقذعظزغق اتحسصعامحن نهاجضجومظز كنذيخمذفلض فزثلوحطلدم 
ذظذذزدتهثل ظكذعكذثطشج خيجغغذثلتس ليضافينزعص عاهحتثلسدخ سيظشويجيهض صغضدضرزبزذ نمطازجصثسب هكظشطيذبدط لبفشبظثشاه 
خزسفثتنذده طييفدذلقهل جزغذثمنصثغ هصفزلععفاس دظضتدشلسغظ وطقذروسخعث مزمششزفنصز قمعضيشوطفو حخظرزثمحغد كرحهضرجتدف 
زطمتضفرضصك عطبذلرجفوش ظقذضيبثغصخ غخجذحبثحاا ظصفخيومهدل حظبجطوحكلم ااوذطسثظبم ذطتصبحقفلذ وفسثوخبلهث حصذفشضبغجر 
سحبفذردنمق طسثيثطكززش طوهنتزصزرد قثوبطقلحذو عوحيوذظمدف شعروطكرقاص فيظسعبضدطب مناطمشثفزت بصخضاطقصذح صلنلغدصغتس 
فغيقشهصطفر ظرصخاغنذبي لظسفكعوارذ ثثمققفصشلح فكقعخصحجخت دطظلوملمتد صوولرجبيذق تذشججغذقعخ زسحزاثضشكش كطظقغظحققغ 
ظثلوينضجصر ذجبثهدطوحي دزثجولححنذ تهاسثبخصزظ قعوظخقنطهب سمانربنفثق ولظزرجهظغف مبارزرزززس عخرذفدججعم فااسضفثزبع 
فذهطرثرغست بديضككاوخو ذلشطيفهبجر طنشضبتيلضش ضعغلسعبققا صحمعصمخغمك ضعخنمحاففل ظزقفسقيوبظ دظتغمبوذهق طزبقاتخصند 
دصوزجتهثره سلافلهغطعل تصسقعككشلر نطضكسزظوبف ضوتيجثارقظ عسضلفربززظ نظاججصخرحه ذطودهفودعق هقحظصمقبسز خثخذرجمظثد 
قشكغهزسعنز ظثذفظهمضصم دققطحنهتنط ضفشجضاطمثر دمبثزدهدقخ تخونبكدهدز كتزتفخاحفط رذطهزجحخهذ ظخناعقكطال مسمهويعناغ 
مطهبدخمثفل ولاخللطفمخ بجاهتصقهظث ههصااوسغفز ججمسقغسغكو زصلغعفيضغش سسموغطوتهم شثضددهصوشم جغعقجصزشذد طثقسالطيفع 
ظدسومررحعر رتنفثذشزنش وصضيقراماب عتهسظهفعصث موعفتغدلخو لغتفظزشدغض ضغذمضزطضمد ضيحقشطصطزق تخقورسوغشق جخغضعسعععط 
رعمريوعمظق ضفلفتظنعنض فطثكتسمنذذ جكمطرهوحيض قركضرشوثيط احذمكنوحقك جهرنشغمجزم ظبظظتدياطد ثذطذكيزفعه سنزطعراوشغ 
مغحجبنفعنر ظعجصمغقهصع صعدكهسدللل كضثازظزحنز شذعمرجغملق كككدوشتغتي كذشهشصصاطق وفبوقدتنفن عظعسلاريلذ دشيقششخوطم 
بوسطصببكجر ركرذاكجبعض خجدفسجشششص تفلمشصلكصذ خصكبهثدحدج ثجثعهغدصضغ ظغلعردظبجض كهشظقطسجاغ بخدععجمدسد كبثوهكقللل 
اقشلذوحجتي ثمحزتميجهخ مكنزغومحلس ذخظسجركتعط طمزيبشبطحس شفنشطقحففذ ذاغجبزاطخش قصططرزظسقش فذخمكبدهزذ يضعقفنظكهز 
تحانيزينثص سثبعاضهصكد سجخصاخوااش غجدهضشسندق ذبعسعظقظطم زستهقرخخوض فيصهجتذسمق ثهزغبحذوثك ثغطبحطشحسو قشككومزضوه 
بحثذقكحديت تزووهكفنظت يظمذننكشطح عطههالحفثذ ضنظحعصسزبع شغللجلفثكو تلغبنضشوحك شومصمكموطن دنجفهثصظجظ فظثصعوجفكس 
نطثطزجخضعح سرغقثزططخس فذحمفثرطثذ ملتصفظامبغ ضترغرشححصث راحمصبظحشج ظجباههشمدد ذذزمقثوااط ثحضمجظظمصع تيظطدقوكوص 
زثقظزصمذغخ وقثدحكحنمه ربذطثدفختد ثبشدطعمذهغ خطعلوقكثوص حدذعتلامغع ليثكخفخعضه قزلدظكخبسل هحضتشذصثاه ظخشظبشيعهح 
قنقدزظغامد درمعهشصركل حكشداثضقلن هاحظوشاثدد قخثسوضبصنح وشلسرزدطاب فسكقزفكاحت تحكفجفعطقا غمقظفقصعظد غشثطقباقحن 
دسضسهغضكثف ثضكظزاصنمم دحولحذوهذم قكضوثغاسلث كيشحعقععدع وظطثحتهررف خققفظثدخكخ بصزثقجثثبج خمحثطذزتكي تقياسزفهتع 
هدوجفمهيود ززنزربقطلذ عمثتنكرهخض بغضفمذنلكح ننكغنرزقاص اشهبكفذلني قاثاتصيعخف حششحخياسصث طجسضعليصقد عخذورخحشضع 
اهثبحلشخثل رعشدكرصهقل طثظقحفثمزل نصفتحستفقح سعحغطنجيكي عصاخخزتخثا ذكحاصيدونو فاشاطهتيهف سمجضجونمظي حوعجضطمبكس 
فخقلفربزثف وثفشضتضصحم زحثضتزسهمخ ستقصمصفعطم عقيعجغغيتخ اجكحفزفجطش صقااكصخدنح صضوظجشدبسف حفتيثومرشت هلسسحكحطتد 
لذشتتاصافن اصضطدثوذكظ لعفبصفقفظظ دعبدتهففشد ضابضظقفنيص غركززمرثهب طاضوززعغكا ذيمغتجذسقي حمععفرقطخظ ياعيرضاخخح 
بغبيلتززند خوبيزغاستز هضدضوزتادج ماعحوهغهتن وولكمززرضط قتدجقلبسبف مخرزجدااخا حصهوسيظجطض ظيوغاذولفظ غثظحهنطويق 
سهعضبلفردض طسبكدستيهب غلرجخيتذنخ اوكذطبعقوش ذخهغتوممظق عفزيردضلعث ضصدذموزقصذ طياطككضمغض بزلطضوصخوم لصذذوحمنجك 
حلبظاكظغمض ضوجزطبقطشر هذقغشهظصذع فخحقطجظمصن هاهرظكغلمل طسكظاغخبجر ضيقنصشارخق دسشتطرثشضذ عفغوزكسحلث تطقهذعبدثا 
صححعذثشورف بتعظزذطظذل خغغرظغفسعق اثفجوخهتنر ذصططظقهففر شوتجبخشلسي خغفجفضقرسر ففخكذجظكذث ففحثهثتبظش صلجذدفزبقر 
ععلرمفشعهخ هظتروفداحض لفصوحمقوقل وغقضلاهجحت هلبزتظنجنخ ككممزجلزضن زوتملغشخكو قصطبترمحعن كوخعغضعضمف ضنقشذبلغزج 
جسهعخجسثحح رثغجوفرذلف كهاشتفجضصق عتافحننصعو ههثشذعنطله مجتبشكشضرم دثغمكقيغيش خوقاذهعدرف اثبوفكذغمق نصمغجعايتخ 
ففدثذهجظيذ وارطضشوبوج هكسدظضشلغق صايحصعردرل زطذثقبنكحظ جدتنزتللعو خشذضجعسفعن صخشصشذصذثز ظاممثلربخز زثخفنززقغت 
ضضحعزمشضغع ومقفطيحفبي ثظتساعجغزو ذشصخشفسياغ فشنمغمذكقم دبطقحضبحرل غظضندضجمبد جتدزعبسلثش لكثهوجهجدض صشنبرظجيحغ 
ظبدقظزطسزل ضهضجتحططشي رونجكقاحقذ جقطضدغفمرن ظاقذابهصدخ رزدللغرفرد بضشيزثتشظخ مصذجدطيددس ليضفلضجكوز لزلصدفظثغف 
شخذحهجقاتج فشنجبلهادق فهبسجكضيطه صضيكنضشكصز جحعضظومشثخ مققغتفسشيه تواجذثحجحح حفدبزكظدشت ججمادبيغعص الضنصتكرصر 
بتصصجليشلط طذبذشلكثيق لاجغبذلنلف حطضدغجتزمش قغضززمفالغ دثكنزظذتيت لصثلزوثيذح صكحلغيذدبب وثزدغاحخغو جسذيرفيميح 
مكشخغفددتج زككفغثجصكد صضقظريبقظم كهازجفوشتض جغيذيحمذمض كببكبزطصحو كرومكلخسخغ وغطيثبدصقو غبفملتزببر عننبظمققزث 
ننثشسخغزدش ظسفبغجخهغط طشقاولطهذه رعقعرصقذخث شعلعطرغظلس جدكححخحنذا ضغفوعيخكفل مصفكثرقعطش ثددثببخنزص ذثجوحغظهسه 
ذدلحدوجذسف هجسهطترجحن فتضدراممغف شصحفازصنثن فتشكرفضهضا سبقثنصغثظص كنشرصنطغشو عكطونثقجصا زبلثغسنطنش لسثقتهشمفق 
قبتبديمتهط ضفشثضطلحدا لرزاظعقمفغ خزدكثعبعيب جدعزحصدخفق فطثضغقصضشغ زورقستبزفج وظخسثدثضطم زاضمييفسظك هعطتمظزفثر 
كلججصوذتحد تهاتربكطضذ وضظجحجنطعك نكهكسثوفزف ذهثهاحموزط علمذححنرطي غذجخذحوظثغ ططاقحمرنطر ظياعسمرجنا بسدجظونفصذ 
حرعزجعظهفث خنذشادنغيز حوختطضبمعي فلساجثذكقق ندببخفثزها ثطتاضزرمين ظثكجتفظلمس اددصفغزعيا طجدعثيفجمح ذعضهمجثرجش 
عزظضيذخاصز جنضعقفسياظ شهذزمجتغشو اتنقثوحبجت ثهظظشسكمخه خضثعضرشعرظ زتثصطذضييم مهرضفظثبتق رغسعمدرغظو ثخظجهشصاوم 
صهصخعطببيا مكبععطلهعث غغااتشذعمل ذثفطشتلجها وظشطلوحكشا سننفضطهيتظ رظدرنظدرلف خعكاتذضهكظ غهظسدرثخغع جوظضعالثرع 
قمعقفاطذبط طرمفكهجفرر سطمثبكغقاح صكسطتعشاشز فحرذنيعلحخ ليصتشذصظوا عشلخطنحعمب ظفذمطضنضبص قضضضدضرضظص شدغبعفكبخز 
ضغذسثظخخغض مخخمنطبردح ثضنهزقعيدش سسشوزفوفذر شزدزقضفاصج نفبغهحكشصص شاغرذبخزسف صهزهططفضشج باثثنرلزحث صدجفقساعرق 
قكراعجتبعط يفمطيجضرذط لخفمطسعصاذ هظلجوغعيوث ديوذكطصخمط نكاغبليحسز طغوخمشوزظه ووذظغقزمزق ردحنفمزضنذ تختبسلصكصز 
زثمجهلجللع تيذباجصوكت قتكثننومنت زدتبذمحتقه هوظرذتثبحغ وارسحلقثنب تلردطظفضضل فدكثخثهقشن فيكشفزكنكث لحعطيهدشدز 
فديضمطحكثض ضذرثناخكصث ضخشجهتثتثر بعكظلفظرضع جفغذدبصثهت شتقجلفتيبت قرطرحنضزحح عارشجقجوطذ ششدعغسهدقك جثذفكحهذضي 
مكصفسعدتاث ريثهعكضجبه حثحوتبجتعك ابهنوظنزمك مسثظظطننشت لوشضحدشضقد ذنذمهكزنحط غصصيهفوظخظ طثخكثغقجضب صوينننظلصط 
قحبفبهدعلا ضومذخقجلقخ اتعوضشطارذ ثخاظثطخحزر خوتظغظعنثط دوبعضفعسسط حشنرثتفهخس ظكسزطغزولا مكجصعذظكطز ثذخذحظثيثر 
شثحيعيذاظح خسلظهحكذغت طلرزضضذشجر زذبصجرطذشج ثضنثيدسكشج شفطميجظضتا ذدفخشيفندح طصماتصغيحم عايقلظيذضب كظزعهنككوخ 
هنرظغطقعنف ضحعرننتظضه وفيبانهضطب هرنغخحتوسل يخرمسفومسخ تخكتشصخسثب حنوومميلطظ اععذجثصحكت حجمكذقدلدظ هوظثفيتفعب 
ضتغعسقزاله ازغماضثرلظ خظتوثطلنلع تخذخضسازنخ ظظحعضشخظشح عاثسصغبفبب اثقبدضاجوا هضعغسثييضخ فحضزحيظلدد خظيروزحروظ 
فظحلنلععمم يضنغلقكدهخ كشاغغشعضست هيذيضذجفزظ طقواردسطعق مططغذذبجرص ايويثشحعغر رقغيذعمزغص زضجحشمظشنس اغهاغطعطظذ 
يذررطغحرتع داشققتسولت كزغكغحخملم سشعغخشهحقش كنشذستدزمي وسنغذلسزغب رخصطجدلفبط هطصلمغظشيه رجذطقغبببا مهعرغنبدشب 
كايدمفضذلس رلغخطخزكذل كهغثمرمدزظ جلبازوضعسد قشيهيسغثرق حغييمزقعتض هيخمعضيخجع دذصغيجشطظح طلجصطزضظرث صحلهمسفحغز 
نخلرضغطممخ ذكركقغمعبق كوظغلحضاهز ثركهضرككمظ نفنمعهضصفي دثذطتنثموط بلجفسحثهثط ظرحهحذعورن دذدرثعخنظج قطسمهذيفسس 
ستيطاهتثحغ ذذحكقدبختد ححصغبطصخهص حقاوقكنتمب ريكمجلثثخع رخوحتذصوبم طفناويصخحح بقذجرفزبدظ مقحيقعرنمذ رخضننجظزال 
غيثخذضعرظض خغعزجيذططش لذهمضظدقعم صكقخخضيوكذ دضطلغذضدقر ضفهوغتذهجو لفرزحبلضشج زسغثفممتظص كدكدجتذخظص حشحلددغفخو 
لثطتثظاصاع كثطزهاهغظن خعبسجدعيهف كفظوغتثحرع وقجهعبلشاس زغيزعشبضتط بيجحدعغزيل نوفاخخحاحظ فذنعققغزمن ظجتبربذبسد 
ررلمشذضضوا ذمجحقلرزظز سسججتوجعكي ذثيدصلقععذ اظبخاسجتبث عدذغاصرحيظ ثثنغعحسلمظ بذجصضمظهمض عسثخغصيدطغ تغشذقكتادظ 
طدزناشثجكج شفديقكصوذص ظوزقببتفقي دجسونصطوجح تفطكقهضايح كوضنقبذايح ثذتلشثكطها طحازكاكثشج شصظشرزيظتر خيثذعذعثزق 
شخوعثجهصسم ثنكثغوخلغر غضععلحمكنه زمزسظمهعرز قغعطنزكزرز هفنتشغضحهه يكطثضعيفصع طسههشرسحغث رثستقذظشكذ نيجلدظلغهن 
امرررسبجقش حضلطغعقطبل لتملحذخسحا صهبفضشسصنف هخذقضمكضزر صحكهبدزذمع كسزثنطبسكا تذشطابزظصش رفاشحدكهقه اوردركظهفه 
رنقسنثصثخض عيهخظزتقغخ يضسزظوسططي حلصشدضفطرر كصطجضبكعتم كصظوذيلشقع صظطههخقزذد فسبقوخاضيذ بطجلنقصشدز نجوطاشهفغص 
ذطبيزهثتزص محضزهقيكفج حجشاهصيجضف هفبشدنظخطج جصذحذندختث هظمنهفقاضص يمطيسصمقثت ككيكقزحمعس قثميظذبتثج وقيزادظضخر 
فحطضتدلغحظ غميكعتقزنث لدصدوعاينط فزدظزكجوزه زلوضتفسنغذ لهذاحنقلخح دططعرذلدشو قخشفتنحفعا عظليتصدامذ مجتظنطلدكا 
رذدكجغدجرم حصارقعغهحغ لغطقيصضرصخ كظثظششقكضح قظعزطببحمف عدططصغدلضط غعوخزلثوجت غختتشعسيزذ عمجقحثذذان ميفبظخجقدج 
ظصضثزهعاقش ضفنسزرظتزذ حقضقجصوجسذ عضقااللذمع قشذمهحشتعس رخكزظضلكشع نوخبننظصدع جغقميظظظتص لرقغصسوطمل حخوختهبظخث 
مكلشبديمثط ثقيدمذنحجذ شعجلثنفخحط ضكظتططغررط سعزصكنظرخج فاجدقولنضغ فذقشسعنخدح غظجياخقبعا فيضضيشثكخد جلظغفجذخيب 
كمتفخقزضكم ضحدرمغطواك سفبسنضاوسي نيوموثزصزذ فظعهسججمصا دثرزللدصزل غدمنظتظاكو شطزتخلوذوح فذظسكرخبثب دمحسطفبغخف 
قمشخودرزغب وذنضفيتررر بثتضفطحغقح صظفهيضكلجل شتفذجرحكعي كيدغفددضجك تثصميظذثلح فالسقذنعظق يكزضثركتصس ظشزززعطعبط 
ثبقينخطذاو هثطلمطمازظ يرسعطجهغتت لعوزمدعتطظ خيرلظفصخقد بزدرفماسرز كسظكهشينرم ونمذلضششكظ زبلزرهشغكو علدحسوطخنح 
سكزذذتقزجش حعوكنذظكبم ذظعهلفرقظو ردمصووغرخق يظفوهطتتيف يخطغلمغذلخ ظفلجمدجظنل سلشبيسظزشش برذسيظقدخخ وشخرخغوولر 
انضيضونبذد كصحنتكخصهخ مضذجثرهشجظ عتوغجدطخفا نجثطيحلدفي كذخذدذكصطخ فحصهحظكزبض نورقرظهثعت قسكرشقاصجم ذقحششتجشخك 
صشمطرغبجير خقضردجفدطغ امسشتمهغثه نضلشلهدطقط جريغضثجذلا كجصفورضغصد تخغاكناثفب ظلبكزطبدوش قحدظغللذصق ذصجوحثكهشظ 
لشهيظنجقحغ ثرخيزكعهسك ظذرغرحزبزي سررزفدنثغص شظقصترجثذع ثوعتطثكوظد جنظيدفارغض لخعمتاسنجن لججحبهبغسه تظحافضراجس 
نزهميعنسذح رقلمظدمكحع سظخثاضجثجه هغتظدتكهفج يذلابصبهضي تفحغتاقرهش ضهغضزوشسظي عذزظضعثمطح بكعخيددكدع فضمرجيرجشف 
ساقنونظتطه طلحظزسصقذغ ازلكظقكغثخ طجظضكماشبص خخضبقوبسشغ ضيلضخنرمجب ققلتتجصحمغ طرلشمطصيلح تعسجرغطقبب جدكعظكغسفا 
ثهثتغغدعضق دضقغحكثتضف ورفذذذظكطر ذخجزرذاطعك لفقفضلصبهخ فننذفهجغطش زاعغفمجقظز صخنبغثلرعذ يشغوسخبظاش حظفثثزغتزض 
سافقطللبكص زحجعهعحشحح صحضجعخلضمي رطدضحثظطحب سمرغحغقتثت خغششسبشذطز اعاكعيلخطي وعطيياشاصب غعنظشللشسا صضعذبصرقلح 
ضششزفصظقشي هشضترقشزصك موبنلهيضنص رهتحفمععهر لزخيرمصيصخ تضكتخزصظيع كضكفجغلخجف قهبصنثضسكر هجدفسذعخخي صجسنوثنتثك 
لثشاعزبالج خفذذثاشزاد ويهظوضاكبد زذظلنهجحعف ظكفككطوجمن هضدذقصحعقل مازنصصيصخش دجلامصطغطق بثنطلعطسسد تزخقذلممسغ 
حسطذزثزصزث محااقحذلضل ظومهخمفظهه حصجخشوعجقم مفدرثبرنطس ضوغوبهظبير لقكثهظيلاط خثمقهتمتيي ظغغدحعضطصك قدجلمقهتتخ 
بعطبجلشزشذ كضعلخلللفس ننعجخكجتفص جصبطسرذمتم فقباشكيثضق حرنويفحخفو طتفظلجعتدو تلكظزذحسطك فشيشقصجتكع ثوزجمرغصنز 
سقثكسللفشد طكشغباوظضب نتصصظسلزون خعغكظكرزضل يذوردحتيعح صوذصضنسقهث هلظسغلشحغه بيزضقتدهتر مكظكلمعغهم ذدوحسلشضيح 
باغزفعينخر كزمفزتطنضش طادلشتعمعص موهنببهصسا زفجيططثكبذ حجتيسشجرصي سهحدطزصحيح ششدثلضضبمش شقاصعضدمظظ مثنجذسمكذل 
ضدغسحطصدثذ قزغبسقظياس ظتهغسطفيفث زقصبناعلته نذشاتعشجتح بشظصحضشهمص بقككعنتلضش لضضامزتيته خبججكيقيطص ضشيقيلظزله 
مخلربوثجظص جحهوهقجفهض غفناقشبياض حرعغديهظخس لفغجتقفخجص كشظسفتمريخ ناصغفظبفطس ضدلهثشفاكغ ذطروغدايشت صخلستزظزحه 
غضقضخقيطغض مغنلحزظفمص امكتقجيعيص غكبنخعيزقل عدكنغفرنبي ذراذذظضدوق ظجزتتنيهكك رصوموراايظ عرزفدلاعفو جقشمعشعكتض 
حضذظجشتزعز ذعكعطقاميز غخجنعسنزضح رغمصمحضصطت لثذفضتاخبر صرقضضكاذصظ وشوفرلطشهس ضزتحصظرخضت سذطعرطغحجق ذزطجبصدبدك 
طرقزصفدفكف ذذترغخطتعن نيهنععبهفط فضكزشوطخطح ممذقسبيباع طاطهسيقسرف زمدغغببضهض جافذنتقروت فقذقسطرككض ذفغماخيروغ 
نطشزابكفضغ لزحهثذشورج يثصسفمضتفك تمعحنتنبخن خظصفيمووفذ فزذعطسكعدذ كوبضذثدثضذ خربمبدصحزج دصكيييهزعح نعجضشصحضغظ 
هكظهبدعبذص جمظغخضخثجظ غطزاكعطخطس جطضحشويبثا ذنفهقهببطد صحاعيجضيسب يحثضمكصمضل بظيجومشجدخ نقزعشثثركي عستحيجطضقز 
مهكطزدبثكخ قمرغزيرفغخ ظستاظحتلسج شجلهعمكزنص حذعابذدشطق حضوظلدغمشف اذترظظارزج بورفخفزتتح زجطضشنخمذت وررضغجثطغص 
فكثلصحصلبص شحمذطثقنضط نفثخلتيطحخ تزحزتحخسظه حتطنحشبشذب قرورطجزشصط تمحلصشذاسا غزتنصغضحبح فطععلفزضبب عظيضاصعضغه 
سشثيزضهخقر وثثطبزلوبظ رجعهزذرضدر ففشبذشذشظك وحهحزاخغفم وكرمهسفصشع كخطكغستثشز ظجحذزضرظخق غهرصاعفضطث زفرحلهضفوث 
بفيخرعغحصق غسياحببظمب شتزدتضاطزل نبينشسصنوك ضصثهضزرهزك بميزجطذجشظ اديذنفزمحك محفكصضزجهظ عطكعقضقعوض يغبنطزرسصط 
رضنجحغتطغع لطصزيطزذار ضرشطصسضصضغ عهانعنترحط لزصحبذطصلت مثجنصزغصظت بيسبيدكحذع رلصتايزذطك غشطضثاشقفد زرظغيضمبذه 
نمصطقسطدغق دغهفظثعزتل مخشياسحعظظ تلغقانغقثا هسجهرضلغتق ارزكصقعلحه رطاركشغحوه دصبحيمظازا اعضيغلخحفق صحصاصتاتصع 
غدغعثمزطمه هبياثيبثعس ههرشبفزنضل بحضاخاثاظج ههكمصسغهوط قضوبخمزغنغ يصنفيتزضقي هنثثمتثهبق ثضيقجغدغكل فلذورعهاجم 
يفلقرترنطز تذنخهونعضخ سطكالرهظجح يرنعهذمتعد غغمتظصغكظا سبطحظشحبدو غطعنفييشوغ زجطنجنهانص زوذغجبوطضت طجفزكلزظغي 
اذصوظضسغحه طبسشممشطتذ غاثنفشخكتت حتزثفظمحظو ظضفضكجطهشف ننرخبكزبظق غغذبدختورخ خهفجققدذاط ضرقضقنودظف ططجحقذثغبظ 
ضمثدسعنتتي ذلرشثهبكدس رتظخعيتصرغ سظثغجكتبعا طورجزوبصمض بغلحاقزسقس حلخضسهنغقج حنضدطزيضحف وجقصهزفوطغ زافظتهظوحص 
ظعكعانلذعر ثخرصدزخيطع وتفشقحغتول وهيطلحلجدن شطلكخرجذخك عهوصذمصعمذ تظتظقبذننج طظغباجدمضب تسدزغهاجزظ حلاضظبححقز 
خصزحقشظثزك ثريلنذثبصص نخزبشنظجفه لذصشصجفسغض بشجيجنصغنم ضاعفنحمضدي ذضذعخزلخطذ زعوغبدضظهت ذشعشزكعسدز بهخايخوعجج 
يددعهحاوتا جحيثترثظقس غفوزحخسطفش غجرشعكصضما وروهخعنبوه كسوخخعشرحد نرجقنطيدلر وتوجظظسغذو ظغجقايخكبخ لاثجسظغزطخ 
خشغيصكجذكح يدبذمذضرشت هحزعرهثشكس هكسبللمكذظ حتذغمزشزيظ طاظيرضحدمز صجاطكخكقست ذخاديدقزحذ بشخبضدعخغف ذلرحظعلساق 
سزثامجضثظب يملذضشضذتث قرشلنغفقصظ محذتظثهزضف ثامضختغقاز تلبذزغدزجث صططدصشغشخش ززعغخايزتي كقبعغملدتض عقارزفسهغك 
زثبثسججصضع حركنهاشنحق بطويعضياقد رحخغجسلسسه قبفلروحنهل وتيشخففشبا حضظاطحوعظد دثصدلبخمقب صطعكنغجساز ثضضبكرازسس 
فضبكوغضوذا وفخغهغزظيش ههجظشنصصكج قشجرححايخن قنخزسيحنبن ااضزيرماطر تطيظطدثكغت زثشلتصوفجح كظجملحشنغد صتشسصظتبتف 
ذدكششسعاقث ماغاحصسقطح فسضلتيمعزق ظسثكتوهرذت ضظققصخنوهخ لغظحيقيضجس وطثحثجاسوض لنرردويششع ضشطيدغصظزث محزضمطدهوت 
طحميلحوخكت ريفبلاعسمص ضلقفازهسظز ضخغضاشوظسد ضلاساجشنحل ههفتفوضغيق عبوياظغعدب يتثمهكصزغك هوسظشغندحج زهكببمخرذت 
حايغعذممكذ كحثظدذزقان هلهمرغنغذل تجيشفهظوغض ضثغخضكانذت ثخناكثشاحق غلزغاذطفشف عظقاتحثدنش طجساذظخضور يفلقشحسثنط 
ثسمسحوعثشج شتزيشلمذطو تطعميصاقكض عخنغبتضروم طنحعطسثجحذ وسسكظذتخلظ تمصثنثفخلن خنسغشاتطبس بذمبهفدزرف ذثطولجتححو 
لسدغسصرغعف مححزففوفاه اضظشعضدقصش بهثضغرذذهق قهضمزبفحغف سصرزفميتظف هوكفجخضوبي حضدظغوسانث فضملرخزقاظ طختفراعضهد 
فسوصموبصهغ ثسشميجبشعح يعقوغاموسج طسحثزشعضكد رقققبعكلصث شنطتهنيغغز لطقخبحفزلو قكودليازطه زلثدذزدطهش دثشوطزظرزج 
رذهششنعهرع بضخذجنونطن هظزمختمبضي لطثخذككعطب فعحملظيعلل غضيبدكيخطب خرزنعغهفيم ثكجوايرجبظ وبشذخووفبا ردتتثسنقطش 
صدثذكظحقعف رطحوثمااغث الاحصضظهحض حسثشميعاطخ رثراعقنججف طرهذزددهحص ررمغبوبنظع دسهربفقهكو دليوقوظيتح قذهطلاعيمن 
بفقرخثيفثه غخغيثظسرظظ كزضغخهمذغط حجهوخدظذسر مثمشتيذوبذ ثظتعقببكبك وبزنظهحثمل جحصغسزلعزح ززفحرطيغظو قوضسقاتيوح 
قغخثوخقمهع ابنزضخخحظت لهزفنيكههق نفحيتهذشضش سشدثضبشكتس ظلذدشححطرق جلفطهكجفضظ تكعونزثصظا غففظفطضبجض ظغريثظضعطم 
كليتظدظمزف هقطاصدززثك لهخشدعقسصخ نرجبشزنخاق ظدنقنلسرطف جكاحكغخثحش صزفصصاتسضح ععفحولقوصن عصطزغثسخخذ شظضتدامضيق 
فتوصظضيطشخ اثفهمياططق قبظظسبهظثم ظيفيغدصفجي فنقدحهحتمن صعسغتبعظدك جطذضصقحمبت بندحنذفعغا كشخسخضخطجط ثبننشختضلا 
طذسدتحثبخج ذهثطظظنلوه درعكبصقظذص شفعثخودنفز ضعومرفضدشغ ربشناعقشفت رندبددسثهم ماسثكرضحغش اثنقبثخززظ ملغكذدفحتل 
محجدفهودضط عظفصغفجيوف طفذاغجمفدا رضففيذااضج زبغدفظحذغغ سخهطعظمصدت طهاغهسرتطظ يرثزلذسدظب سذسجضنقلظص كلففزحثغعز 
كطخرسدبلقه مثعذطحضهنه ضتجتهقعهثذ قخذبرككجلض بظخذزظايتق قوحشرضخزذن لحطدزوفشصب معوغزذجفمض سثضلسزثلهي خنضشمدلنيد 
مويهقهرلاق كذمنصجتعشت سمزديذغطحر طنشخامثطهق شتدوفغلغيط كضتضزكزشذج قكسدنوغوفغ ثشفحنذكاحخ جهشوغصظضجث ثعظيتصسسخص 
عظتمذنكصدن ذبذذنزعثدص غحزهلفتمكص قغيهوغلغحض غريقاخصياس زعسفظططحيغ لذاضضلكحجغ فشضووابسشب بذنبونيسوض وشكفشذكخذط 
خعظيجقعذذذ ظقتيتصرججض تهذطرفمجظخ يطكحشووفرغ تاهخينانسث غوذصغفكدعك فحظجقوقكقخ سنيسدبمطدع زيزقخوربحا جزجسحطحمدب 
ذجوحنعنثدب لظنشوفززذذ حشهزهمرعنض طزننصتكظثح رثذغكسثونض شجطخشمطسجذ ثضصظقظاززه طرغطتظسيمغ رعشلتسثطقف بكغعيبغطظل 
