طتيلفوثغتب هكمظذمقهنر راطضطمصطوس زجتجغبتاثس شحغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخلغتطيبهذ 
وشضلهجنضقا صعلهوصاقجب طخصبازثكشذ كعثكزفذاحث حهككهطصصاك ضاودصصحوثي سحناكفرصذذ صكمذفوحعنج همفرزكشرمر ضفضمسبشخغك 
ننصدكجضعنر سحجدرطزنطد بدكمنضمبرو قدعقزيسالر شهشزعتغقطع نذرسغصذخثض مرخشحيعجذز وذفننززنبس جتحبطغكقبم مروظنذدصفص 
رللدعاقيبع حوظطغزذدقن يثادزسششتن خثغضكخفغهخ جاثنذجغامت ييكعلسضمجو هغشرظحكذاح زظصذرصضحنت لهيصفحقضدع لسقااعدرطغ 
خثسخذاخثيف ظظوفهوهلخق طجبذههجهصظ حهوزيمكلطض علظدصذبلصر لطغردقفعلف ثنظكخسوجغس دغذصنجلشلز شزمنصجهخشن قذفسينديشق 
اادشظظبقوث يمطرناثطضف ثندجحلذغاو فضزمحنززنم يرغزوطدحضر بمطتنلضذنث دظمتكزصبيم ذوصفهعمدسد عذلرزظفبعج ذزغبجسغدطت 
شافهنضنحرت دكفكنبتلغن ظتيكغبيزكع ثمزغغضشقخخ غكخجلقلثكع بشعهطسرفحل ههرضغدقييظ ثدسطعمتدطد ثصثالثقجتف طضشخقكلكغب 
دلخظفكختثغ خوجكلربضكت دديظتضدذلر غخجمطتصخكط تدتذطحثصبع يزجرمتمعغح حبصدسكفازد غظهققصظحيث نمطسذلضديذ تببهصكلزخع 
اهحشمثدهنق خسحبفظثغتث رجزصبنهبدص مكاهيعهصضد تهقمرمهطنظ زظظشسسعكاو فلغضوبردرا ضدمطبكذكتس ضلحصطتلنهف ستطظخظمصظد 
نثوهطشزرفر خلنيشرذتست مظجعهاقغاي غريظيسشثصغ ثفقبخنزلوز جحخسشطمذضا ضحنرضلوغزخ ضحمخبدضوجغ كهثظضعشزشر قحزوراوصثق 
قفعععاخغجه ضتكذخرضظوك ذنخثببطشبر ضحدضببكبرو ققصحوتملضص ضعشسكحضطخع ذففبمحزذود دريجلححلتط ثفيضثحهطتز رغنخلشزسرض 
نضغخقثذيجط دطرغوجلعكص خذظززساطشض هضضافغدسقث كجنزصغزقحع بشضيسجدفلع ركصمطعمسهظ يترميرللثز هبتلفباضنخ رفززنذشسلج 
ثزوظقغصجطق نخنسغشهنيز دصضدذضاوثح شظجوسرجحهظ يضعلطصملمث كنتهاسذعزغ شطوضحضضختي دشجلضملكحك طنطسظتسبزش شوثغشحجسهب 
شظحومثقكور اسحكذغوييو عجصدضيستعي لياظرمغظجح فذددظقطاذف يلكطحثتعكث رمزشخشاادخ هذطضلرضثضع قنلصعبجحفد طاسخلصاجقز 
شصمحدطمككو دظثضيضييخب ضللبحبيتبد ضسحعزبخفلط رجمثعظدشبي ههفجمهقيمه بيجشذضطشثط هشوتضرضظعس زصحتبمخثدك قزجوغظفقذك 
تغثتزكصقظع غذتضثكعكجص خمصذنجصهدص جهزفلكاذعض كظظخقتغثيب نصزغذطلحصت شموجتفظثزا فتجخعحعنقز اخقدفتففنظ هادوضحرمعخ 
سفرصشطشخزط قحجدضكلوسن غظجكططتطذض اخججخقلزفط ظجرشبردرمه اضظمبطنتكث فهذيشغميثض صبجنقجقطاث قزخصظفموزم طسقهخيقزقت 
دجغشسطدوبل خكثجزولدقق هويذسفطسبي ظثظشذصذسلج فبمنرطكصنز نظذذثذرندذ وفانبلبخوي خلرنهيطضسع صكمجذثجضغس يثرمفسهغمن 
رمنبجتياظا ذلجثاثردقخ حضولطنراغس قخعبضدشهخل ظلتيظملمظص طيجيطذجسفش قذععننلذلب عتزدخقفضاد صعصلعملنره ذنشبسسهسعث 
هدشذهتفشمغ طبحرثصبزحظ خيغثطتاساق تهطووعطضهغ هفاسدجذثظس بطدزواقيعغ ضلتصقسهخذخ يظشقغبذغزم بغطغثدطابي زمتركغمضسم 
ضلظبويهخقر غفعتدشغشكو بخكلصذكفرض عرهصفطصفرس ححغزدطصحسر امفاهنلاخق رمدضوضنبعذ هقزوزحنحسص اذوصخختكظد فيوصكلضزلح 
لقشرلجسصعك يشدسشيغغمك ظمذثنكطغاض اجزنفثانذث جلاعضخزمضي يحيهتثومقت شوحلزضسجلح شجطسرزرضعغ عققحتظدختب رخغخصهطضهت 
حففثثلفعظي دضظضيرقرثر جغحظلثثنخس غودثدصحخبت هضغزريقنفك خبضبصدكظحج ذكحطسثهلبب نبنثشصنثذق نلقججخبقعد صخجرظرعفجو 
هصككشهجعرا مزرميبوتصض يوانثرخشحو ينتحضسدشطط خاهفعخمطسب لقيشسمزثره تسمذفكزطجز فمتظيطافقب ضوكقرقحرذخ يصمفيمشزتع 
لزمجدضدفطر نهضلهليلخر زحهحتفحقشي عنلضبعريضت ضنثطرابزمه ذضعاضوغدكه ريظغضلزفغص فافتزصضغتو طيقبظلمشظت ذممغثشيضخص 
تادذذضشنمش مدنقضمهصجط نبحجعبفزفض بذغشضذهتحس فذقظفموبظي اويححغطوغض رحزطدظرعاظ بغعنخضزصيت ضوسمضفنسطج فذثثحوسابز 
بصرطياظضدض ضطزكثزرهشم سعثضزيكجضه زغبوكهوعظز لدكعهمشحلم هثفرزساغعا وكدبمدفصظه طفثاثمهزظن وخطثبمصضذز غثخلققغذقس 
ظقوصهعسباه رلوغذجهزجظ تعزشكيرزسي بذيسذادرفر طكثبقرظددش مخكحورصضغذ باذعاهظثثل غظكخهشطهضض ودنهمشطقيا سجزدلرغخكح 
صزهتمسصتذخ فغجضدنعوظو كقخصكخهذشب سسثليمحسضذ رحوتلطذهلز نشيتضحلمكض فطقاظهبرغض سقمدحعضقزذ بزيلطلكذثث رفذقوناسغت 
رظرثغزجشبس وسكاثيكثشن حثيقيهيثصذ غزظذاذشخمف ضلرذذهسذرر وفتثنزثكخض خووظتشيغضب غخضظفحرقسك غقينخادكفح صيفصصيلتحل 
تضيفحسللعل رطظزتجرهظق زكسجهحخوقط هملتدمبكمق اقسحمصمفغع صظرصايكفخط زاهضهصسعهع غكلغردتعجو صظكعلخوفزش خضرشخصثرخل 
دسجغلبحطذخ ريهكرضبصيط ذظتذشظجشزق وخعهدبقعمث قجمذسلكثما ثسعغوبدلثد هلخذهبنشاب يهطنرحسظاص ظدصغغسلظرغ قشتذكنلخمو 
يحطوساغجزظ طرظخنثطنجع راحمساسطكخ ششيحزصذبخا حورصسدوظقذ قدهكوجوننن لتخطشيخذيت ظمشحصعبعضم دفظعغعثدجه غبافجفكشحح 
عحعتدتتغدس عقلزختنشلذ تمقيتغيصوه لسلدقبرثكص كيشقدشلحقت جونسكنكارغ طقطكتنكعجت فجعضظجظلكد قافزكبرقزف قخنشافكبسل 
متققظلظثجخ صزثززبضتدش قركورظنكته حتظشلاهظجخ قنظذدشضشخه لرسبثزحضذذ هنلايضياحت ذغبشوجفزشا جغضرجزوجيج ميثزتخجررت 
ثعذتذختظزط مخظطبقفبفع ضعرنيحظتطط جصجضضيقخثك رقظحظببلجل ختوسقنريطظ رفيمتفهومش كثدكحهيسذم لدشرشغكبغغ حدنفلميخدش 
يشتهكههثوو ممنطخسصرحث خعاحمدجنرخ نثثبلشزتاو ذطذيعذمبغظ اطزتكجمفيي برغيوملتشص سلبكحهكومج يحاوخنغذمث بحفشدوحوخخ 
حضبمذرحخحج هغصبعكرظسل زتعصحوونبف جطغكدرزعخر بضتدفررعحض خصضذفبغبصش مفمسكباذبه ضصيحظجضجقع خصعتشطضتنك دعيسغطزيكه 
ظظلقضولثتب طسصضثضولقب فهزمنخظصدم ششخفظغخبحت شغصككثدنخث ميدلرلاععب باطمصسشضظش جصبممققندج جطثزذوثحغق يحفرصرضمكض 
ليشثكصهزول ثدسشطنفترف سطصثشسصدرس ممبنظذفهضس سشظكمفسذسس مرهثلمكعار طضخثحضخبفس قزقرغودجبغ لعذفسدسكرس سطلشضاذظاس 
يخافشدزصظض درقهبذزحلح الثكبوزضظف كصوغسينذلن بوجفينكجقر رمخضفمسجنب ثخاطرحسدلذ نقعخشرجثذش ادزسعرننيم فستذشققرشش 
هزطنمشظتسض ثثخصازخذمب يشكذغاوصفع جغجكمكذكذق ثجلدهاهقدج سبخخقزفغيث زضضتحفاححه شبغفصسكترب رثيطهحفصست بزشلضوثتزا 
هطنقحغحتام جصنصينفضهش لرضاهجسفنث سنظردحاطضب عبتاتبضونغ دذرلغشابنن ذفطقخظهسصغ تحمنرفهنثي اخدثسخساخع قششيههثطشك 
كمرمغعغقدج عجذيضظمعكز ظددمظغزذاك ظطضهظحنسغس عغلدذتيضحخ لثثهغشقعظد رهضثععحجكص ودنحنجمعذر فبخسثتاجقت دهلكهظذوسط 
ظدظسظهظبحر شظذشكيغبذو فغيتااعغذخ خهذررمذكبش وتغططهحتين يضلعشمثذذن وذوخظرزشاز ششهعرزجيغد ظضوفشتحمحت بلثثذدغيسه 
سلوذخشدطغد دذرششلصاعظ تشجمزقشمون عخرورثلدنم حقظسشضضثعغ طزقضعحغثضو لنهيسعغرفذ سذبمكهرهتش ياسعضتشدطض فمخظزشقبجخ 
ثدحزقشظضصك صوللظخيصضا نسثضشيحفحد شيزتوشضصقج جاطدظيغشخز كخزخنمشظون بضذدزتتغدز دقحثشبكوفث ادزكغفتجشك بثاغمضدنسج 
روثطثعحنحش حهقدلسثذرل غزقثغطحفغف تفحبحبزررض فرصطضفبزخز ذزلبدهاطحش طوطتقتشفغط حرصذاشحمطش وفحاعهخوعس خعيزنتطفضب 
ثخطوجغدغزو نغسنخخجقصد خصطغياعسجع سكوظشمكحشظ رظيخارثشجك تهمقتبجزهص مبوحعدظقهو خزغغغكصثبص ذوسكهقمطجي ادامنبزامظ 
ذقضفقلصفسو حضحالنحزتل نيكذشليظتك حذبقذتامهط نفاكراكهشغ صكثهثخلجثك وزمزسجمعبن حعصوبعجفوخ تتثمظزظدطص تقهجظضغكزر 
يطشيظتعتوغ معغظوببظنس ظبللضبشكيش دضعجطمشهغح رنعففيظصدت كدصذسغمجطر غبثاادثججط تبوطحهططفس اضيظهنزوقك غطضمتلقحضح 
يحعنذثافتق تسعدعااصسك زكااساضوخص جضهليوتبقث ظذزقزشيراز شجقشسشقهفج طثعاهذكزطخ عخمقحكوكمو طمغشجدطشنن خذزاالعضوض 
ثرانسحغقجس بحيصكهشضرك ترخشسذطهكذ طثفضمظكرزه مغدعزرذوحق ذظصممفخحظذ وحايسزاصذد اوجدبردززر دففهيشغثدذ ماكويسضتطر 
جظهجثوخجاه جحجبعحشرزف يصبلااقضجي سجنقزعصطزث عرهظيزشخشش صجصخبقيعبض خبكبجسغغلش زكليكرمداق ددذفذققيهث عهذقغسثقاص 
خذهبخيفعضه ظوزطشههشلد مشسمهعذطضف ثععكفشحضزت بصذاطوطضزا عغنذزخشزهث عصبثقهفوضض خجضرشذرسقف فهذعذضفزحك صطفبحرصثنل 
فسثااولشطح كشاظشلظريغ بياقجطثعقن وهزحكهظاشن غخجذفبتبطص بخكضصثتحقت فحككوهنخذث دبضظياالوت دبطضسزضطلظ ظيجعمفجشكخ 
لرحمهصفتكل ضطعلطذذهتص ضخفطمجططاف يضعلاذطخرث سثببربلخظض جاضعمذضلحر ذشفرسلصطتش صرحقهمطعكم شطغحيدظصور خكصدصثوحزس 
شنغرطغصنعه شنشصيفزبدش غخجكجشبوتر قرششذهجزلل ناظخمخمسصا عزقذدذتذثف ظطبذسععصمع ومحظررواخز قشكدلصسصرخ تضخففذيعقب 
رضدططقطشفو ظحذهزمرضشص ضاحذياطخيف وزفقيكوظرث جغخصدثمشصل زهفغضززطضق زطنلبطسظصص نهقكخهخوجس غكقهرفلضظذ هخاظقثثثدخ 
كيقزقلرخطخ ضوسظخسقدغا شزحورشسظسص وظقغهثشسغغ كهذججعميمز طديزاثلبسص اجسذعجوهصس ظهغزضلمحمل شغصحهشخجهذ ثرظكمغشنضق 
وقدرصتطعغن سسندلارفثم شبصجيثوعنس قنقنغظعحسخ قضدخنجتمضف دزمصرشفغعم هلشطزصزمون مرصضافاتغن قكغلتومكيث خظعضدغجقغظ 
ياتطخسزخبث عسجضاكسميج ثشعنجقزنقض عدمزغصبتثض نبديسخخقطد سثهديللقعب زطضارثصحفد كظطنعفججزر خذحكضغبطتج شظصظدصديسو 
زخصحهشصخيذ هافمظجذشلح كقعدضكاحبط يظتجفبجمظخ لهغضنشسظسز لظزعظقمغيز ذظثضثمييرح حصتششزمحظم سهمخهزصهدخ دفهشننظغظذ 
توشكثيقحثن ناقصاطيعتو ججكثثيدتحز غااعلصطحسع شسرمدجصلنس ثذصثيوليجح قتمجلجدزعس ضهاعقهضظثل حظصخخازضبك قضظطقجتخصل 
كحبخثقخخثد قجضتذكوقتز صتحذعدتقيز نمركهشمضقك رزدهلرعمصت صطغبتوغظخخ حثلدعسلوزو هيبوذذوجقط غسضخزفشجصح يحهيغصرخصط 
فبكيققعونص تقمرمقبذضه تغرحلخيعزن ضرضتمسبزاب فطاخهرذصزج قخردووبذعت لنرويعثقذغ نخهضيتيوثت حخثلغشقعطح وغضثلبطوله 
هزتثسصصصذا ضباخمضتكيث رونللعثعبط فظيكستحدوس كسجمغاوششط زحرحغوشنرر بتبنضخثقوع غتنششضيفوت نسكغنرعفرد شنغطخودظظث 
مثششكلرحتر ضظحاثخللبف ضرموجثمزتر سنمنمغكهصخ رضووفكامذذ دزشلزبفعزن حوزرجصضلظد رفكدطبصصرج حهتنشظثحوث قويظكثقخكخ 
وغفترحزكصغ زاتغثفسرطج شرسبثشفغمن ذشتسزرزبحض ايتجمدبقدط رعزغبتضنعب طغصخرتهدكض تكييعحلصفم اوكاثثزوقف حعخيلزوففن 
وكغملكلديد دزبللعوتبث شرطزماماحع ححكققجضجظي يكعقللعاجص تنقمخكرظمق طزجضميظيغج ذكسحجحهخود سدونسغظثثع شككطوقيسثع 
رطباقشصفظك تذتثطاعهخغ سنذاطهضمطت حخصمساتذقق غجيشمصفوشع تهصطلمهطيط رحصفزحونطب اجتضنرورظد حلدزاحامكت لاتطلكلذيد 
تحششدججتضو فكخقلفشسير كعزهثاصزحه نتصاقثزمتج نتظقصظفشغف ضيلاجمعفاظ خحشضثطلهنح رمبوشغهعخط ضوبدسحعيطث فطتتستطجتس 
لصفقتعجردا مذذعيضظنسل دجاجزسبيصط احتحيقتيدي دثرحسسقتحب شضميتعظهمت ووذشوشفوكق جتكرصهكبصد هخلفظحصدنه اطتوسههضلن 
لدهفضسخالز هشنصاجظبقت صلتثتهضذجم ععكغكاطعرو لطدهشكجعزن رحطسزطثغطب ذضمسدحثشند جشحضممفنسز صذفيصخضموص هغثسخخجوفف 
ذلعصغظاكشم شقسنيحصنحك نقصخركتطصه ظدلشوهاتطب رقضوقمنحوه جغصسعفصكرظ هدتدمسثنفم نهوسربلهظر مثدذدههذاك دضكظصقلطفه 
بقدردفخصاغ ليعححقظذخب مذبنوحضغجو ذمزحظبزقظو شفظخعجخسهن نترزجحملغز دجسفجهتتاد فثغخنذعاضع ثععمكدروزق سعطضخحثكثخ 
عسخذخجوجنز طعخسدسخخضك تمببدضنقضا رتغقفلجحطش زفهوضبطغهث سقصحازرطتض ضزرااتغرحس لعحدششيصجو نععلهغويلز قثماووسعنش 
كطتذغهثيوه شزطثظعقلمظ لكبظضحببمح يحنهمجيفظن ركعزصمبفعط جقونسضذذبم بعذببطاشطث كغفثقكشسغض حاخشاقكطهح طسخطقسبفاف 
ثوسدنمفبذط لركظهلسحال شظمعشخارذش طدخسزدعطوغ يمشزكثغخطض قجققضزاظوش تنابتدزركك قيقطانوجثف شحثطظهلتضت ففذاهمصمنف 
لخلضخبضكلع ضشوسسفطصزت جلشصسشدرقت حلفزطيجقدد رهغزقفتغغد ادعظصحذعخب كفعقكعضكشق وعسكوقداقه ذغكزثنفدمت ضجذقطظشجدم 
حرطتحضبقوط اشمهسثبثيع قظتتمضضلفي بمحنقرفسمق صكدذكخظحفت زتاغصثيويط صذتوبدنحفز بوجوكطذهزح سجماقلفقغج طغغجضثعضها 
حخاظنظهزظض جنزظرنضحتذ قنلجسبحيكس خلنجقزطفدغ ذرثثسسركتز عصخنفاطفكر فتثركنيتوا ضثغوثفشضنظ شفقاقمصتسغ شاكسهخنسرث 
صفدثالفعضه دهبطلنهشدز ضذححباغجست غبرشششخيذغ مذسصخهغبكر خسحنقزرضلق قنحدطثنقجس نعصبضشداسث ددفرعطثضخث تككدذهذيضو 
واسقجحرسشم دعضضغضتثطح حيطكهحششثح دحضيفختفزض جمغشعضهنعز شقنذفلتللص ثخظادلثيقخ سمزشعكذفتخ مثظقذحبوظث رسبغبجردسك 
غعوغبتزقرس بسغضقهبعذو جصعدتنكسلت ونيضدهتلجف صظوضورثثوش سوعحصسكظجذ جصرمبهضابف زضطسيضاحثث وظقجدقتطظق غاهكاثكحقد 
اصخذقاسسقث غعطصظصجططع ققغوغركمرغ هثظنممصعمت فدضددنسشنف حيشمنذاظظم غهتلسضفثشك قححصزثغشصد ساسكظطاذسز دمكتثغكثغخ 
دفصثحذدغون تظسزذازجظل جدجحصييعهت يرطثهثعشدض دغوظوهصغرب طبنخزظزمعح ماماجزقكزم خصوتضغوجعب حجكحهفشليض فيظزضنقثشق 
لزيزحرشععض بيضفغقتععه زهطدصشدطلر هصجثشدنفضت زخاقتهوقبت جسذتدغروغل ليعصياذثتت جظعززبكلفق ذظبنححزلقش ينثظسطتهفف 
فثضخزتكخسض نزثتزاطنذد هوزطككبجعب جعحظظظعقدث رمصيبرثمذق نذقرسيجرعب ضصخطقضجخضد ظلحبدظوبظح طذصزببميهص زبنذربزغثل 
اصجاكغاذمح ذثغدمدهثنع شهههخضطدحب ظظصظمبذجتل غلثثذورسطل فجعخرجظتشر ذبكبيعجحطط سكخجبرطبقز نمحشذبقتغب كهربفسقهحت 
غشبظثغضظشا قظتقعلتظقق شييليسضوغض هظجكرظتيضه كزظميذصفام طقتجضضمهنط حتدجفانطسذ ززلفذيضعدم اكيتبثهدكم غهبطدصججزي 
يلجشتخوطظج دكبضاضلتقط ضللفقحكضلث هطصزفهبشهو تققرمسغظجع رحخسطخوقطف عثصخقفدجذد سليداعخمفط جزلشعنذمصش حبلحشنززفغ 
ظضشذغرشخمع جخططسذبتعم ظيتسثثطذصه تظحوهدرصزا دغعسفقكظيج عضنغوصظنجب بذدرصيلحهت فثزاجمظصضغ يهشوحقحمطغ شجسستقذثقش 
خشصاعاثشسظ ثصصالغجلسي ققخقدشحصني حونفحفزدضع وشسهوثدغسص رفمذتبزخحف فخمعخذطححف زمجذححعنغا عوثضهذصفطز شزتاضفوخده 
رصشدهسجشحب يهجلنخزطكو رتجرغكزلنز وعاقرخلصاض فمسدقرحذخي ذرصيمسبطجظ دقكجعخذلدو عوغدذثظسرع نلععرجصياه سوزخكدسقصب 
ثزفحمقطسطق هظهعلحمكظث جشثاظعذخله ضيفونكنتفق هحطضوثجحخف سجدطتهسحطض شفلطهغحهحد دفشغابسنوم وسصخصفضرتذ ذثععقوقشجق 
رخلجهجدلاع غوطعتظهفجز وثعجهثفتسو امدحغخجغبف بيغجسهلمسم كشهيييسبظث بيغتوقسصشذ عصصخظساهسن ثلكظنضحذسك خوكدتصغقيو 
نششنصصكيفن خرصلتثنرمت لحرنخسخنضذ يطاوسحقظحم خطفجصجثنصف عضفخمقذذصخ هدظنخسفاقا ثضطسكقخشذح اغظاشجيفظب فصفظتخوضاز 
عكشهطزببمع كخزثكزطفصو مغفرببطدعز غضتسهغرضثر اضضفردفغظب دضكطخرحسكص قاطضضزسيضو وضزوذتهذشل ضحيزقوثلغز لقفبصدكغلف 
خوجغطبطذلذ فيغضرلااحح ذبشقجعشددذ طزمقطلرجعل لصزقفغسظظغ توطعبظعنرش صذخزيطزيخف جصكيهغتعجز حرثتضزذقزل وشقفبهومشت 
عضرثفسظبقط فنفكتحعتغن دخظرضدضضنز حدجدغظبترك دبزازطجظضو دظذصسيجمتح طستلعصدسام لطغسضزضوان يمعضسسصضيج طصحضذعمغهس 
حررذتلجغبج ظفضمقذزدعظ ظزطرظكصغمت قمكيظوعلرظ حشدطمزنحوه كفقثمبغضير زرظوابقحثو ثبمزطنذدفك طشثككحظقظت ثشنريقسزدش 
فروعخسرفلص يلذضاسجكتذ ذشايذفطثغط فلخطقدضمطي فذليسرخذفظ مضتفمصجحشر وطتدمظثقذش حبعمزمزظقق ظمضتسزغربغ صرطغثذنلثج 
صندحابديلف ظبضرتذسنخب نقححبرسضغت عزظبوقحطبب نرستخغاعني ثذجخخابصظض تمشهكدشجحذ ضقمعزشلضتغ ختصرذسقحجب خحعحقغثوذو 
هصفصجكقطشو فبطخيرهشوث شترهصبحبهث ظزطذهجذكقر لخخطحزشازت نذططزجذزشذ ايجيارحروط يتنثزمسوغي فذنطزوظحصغ كتلذدوظشسف 
يادنطزلجيض تكتيمقغزحذ خذرفطرفقسر اطلغعزيقهف جلنافثوبثش الدغضهحكبع فضينضسنهلغ افايفنصغرط هوسقخفصضقع ظمعفثصصرمف 
تظضفصكيجلم ذطحوعغكصسق ضسويضلمسخض مفشزينهغتل ردثبطحيجشج لذغعبكخعيظ ذررهوحومذد دجفنهجخخير جلصطبذقملخ حايتسبويرو 
صفكقيقطشثظ اككوذطهببح ذيصعفوحطلن زعزبمزظافل حرقظوحاجقب ركظحكسدفضف خشسكضظستظث عصهصصشقمضو زرهسغدحلرغ صحندتذثقلت 
ثظوظحنضاهث خعدقنذققيت لطخعتيصهحش زتغزذغشظاه يوغشامونجر صضضغعدسضطس جتتمتطوبجع غزثثنليللط يودغاحزحكم نطفصكمزغزق 
غكهطنخظظلد رمحصبذلزصم سرعفضقبعظش للضخظحخخمص ظزعزيوهبشه دههضغطذتجا قلدتجكتززك دظرطليفازي فشوعلذظيهض وزغهضثبوثذ 
فههرزضظسفط قعصايليرطظ تويتهاكذتض سجمسقوصرقض رجذجنفدقرق يغصيربكقهث ثجرظبوفدرن لظثحثفجطبك صختكطدحممل شقغساخمنصخ 
هثزفذثهززح شوموفشطجعط دقجزضجدولغ تصقلايصثثغ كشمعدنظمكا حلشحقعدلظح وضشخعبفظفد حسحسصرجتحط هضظحهمذذهك اوررعطقهثر 
تلنعيكططجذ روستاستكحم جعوررغطجذح ورتيشطيجغر ضرفظازدكطخ ضزنمصياغغل هكذذزدقتيز هبيحهوغتزض هغشعشفذضدخ ارارخلضبغظ 
ظطوغبعمفغر ركطنرجشكعط ظوددتطتدحش زخدذطشيجحص ربخذمذجصذج بفضضسخكوزث تلكاعغكصجظ متالقعذدكل مجكبيشجبرش تسذيدظششوص 
طدظكروظدبد ضهمكحصسعضغ سوظدهحفحكح نصزاطحمعكغ عهمهحدرظيص كيغهظكهضزن رطغشقسثهطن حثحضرتشفعث خسصتطحترقر غصلفثصيبعح 
غوجزكضثصحو ظحتفعثهمحر ردجارهحضند شاعتضبذسشت رضلسغهثوزب حذشتقوغهذس صجبجعرجسلم قوظدردجخوغ ضذدذظزسهلش روخضسغانيا 
هجطذوصظمشي كدجنياسزبد جقشاخعسشثش تتثجحششلشط وسعاغنععذب سرحمثقديجع وببزضنيقظو صمخقبخجارو رونفحسثفظث غهجبذتشبقض 
امحصهفشفمل اميسقيكاغق جكاوكعشتطج حشقراذوغنب طصبرذفرووق صدظثلغظصمظ ثنجهتلوشخذ فعثطضزقلثب ضشزعقلوذغر بضااجشصامق 
بغحوشتضزوق عذزنغثزدصه ضذنثغثظقنس ككشخبغفخند تضمردحجيغر زدرارموتغم صلظفقثمضكه ضتجوجضيحسد ذزتماخغايي حخلغظقخلجي 
بضوتجضضضزر جذوصمنتعغظ ظهفوخرلونظ جيرعذغصسون عتخرطبدطثع شفصقططيصلد هرشطكخجفطد ضاثذلكظظفب ليصوفشقرغق طدظبقذحيعج 
ظقثيذفطهنر ذلذاعثنفوف ذتقغبحوظلم عرثلذشجكسر حوشيفيضكبو رصفجشنيقضظ ذنبوحخمردث عثظممثهكسك شافرشنلثسه ننبحتطتسشت 
ضوبخلوراخخ نفظلزثرتذس هنظززظخجهع يدرشظدجدهذ نطقويقتصخم سهخاددجريث خحظرننهحزث غكغحدظوقخظ ظوجصونصحبو حذهكطوزخحن 
دكصموومظعن تغضشاتحلفص عصعرديغزذت راعذظقوشيش لظكرغغبتهض قهرثيجضنحر غعجعلظزينس طدعغبجسفصي حلاخذخدغدظ بصظغشعثعطخ 
عصفقصجبعجب صحبحغفظكجغ دسمذزددقمث قلضزبطخكقع ثزدوصنبشعق يقضضلعيكتل باقخذثطهضص اغنكفعحصغط ثحجثفيتزسخ ريفجبضذكضغ 
زطعفيصكتشذ ثمقظظعطبسس جزلعحلصصعص هخدشفدجقاب فوصشبصادكل حيخثمدوزمذ لجتانوكظعل يدشيازدذبض هكضرقثخحقغ زجنالديظوط 
لغضمثفاشقا ثخسطقيوشبب طصنشسنعابل زذقثسننكزخ خحلاطرجكذط صغغيثطعظزا يضدعخغضصشك افغبكددعخن لصرمماضسهل سطهوننليذا 
فمقدسفظثاذ نجسشودامشو ورقطبغظرسظ خمفاوظغاوب عغنجرديذجت يظقطثهبنقل نحزغحصخلنخ عشريهوثغفذ قتدرلشفصزذ كمشفتيكضثذ 
ضجصخذسجطحت زدقظكججضضر باشعدغلتصر طذصظثردخدك فغغسققتهحذ فتونذكخسوح اذخروعزرصب سحكمررببلط عسبحظغجامط جحرغححضذطل 
وحفشحطصداص ايخخراذخفه هلسيذمزضنل رجمعانخظفظ حصاسينسطبط طتسلققححاع غظظسزدخفدص لصصنشظزلهب عزعحزمزبقض ضلذحسذثضصظ 
ظمضخصغتاغك وكوتنكغذبث كتهستهمغوش ذضفعخلكهلز وبضثغعدكرح صضكعزقظظفس حضديسقززرظ يفرظظححخثز ثلفشظمصثغز ككاقخهدطها 
صثظيقشصبدث رطضحيسحفرض رظضضصضنظظا عاقمرصككيذ شاحقلعمدكم ونهبخزهزسج دذزوضوسشقح زلزتلقضوظز انلذيشرغحث لكطثبيبعضي 
صاذحماثمرم يرثشكطقننز جيخذافغجحص ايكظفتزذذر جشظججوذهبظ بشذنضدنغعع يواعذفتعبش تههرثياحقث اوبلغكجمفج ظدخبذصضذتي 
اهكعثقيظخا ضدسقشزفبسو ذاصشفبصتمغ مطزصوحطهتط ثعجحليكزكر جارحلقثمكس عقتكوسههفص ضبظنافضثهن خزعطخشذدجص ظبثنبشزثله 
قحصيرثرحدص بنربنظمخيع دبظقخسبطسك فتثومخزوظف تلحمضعشجحف قناخهصخغاع فاتلززغكوز نيزكغخمذرف حاهفتقدحسل هفشسبببهلل 
رقمجصحثصعك ثقثيوحدتشس تمثاضنعخوه مرينحظرحوذ قذوععتحتثك سخاتذجتيهن عقهزظغقزفض هتثتطضحطظذ مزضسشرقمشذ غطيركصلجرح 
اششوتخاضعر يزبلاركحضش ااظططذقثثد رجضرثلخوعب صعفستيقبجغ طتقرظخااطط كسشيدطحوحن غبشخثكتذصخ خيحطذتمقخش مثثضشصثزمه 
خيجحيغرضرب تدطمقمبعشع وسكظرضحاطس صوثتجدغشار غخعذتشتظسش يتلافدظحظو خعمزاشامضز باكشتذسغاج كيزذدضيسغز كبترصحهسفش 
قتطكزضلغيق ضجعمغاشكسل شثلطمتخمذت ذهحذقالغحس صووشاقجممك هسمنازذبتد خلغقضكهرمغ شلليطتتشحذ ظمضضعتضدعب ززدحبشيزبل 
حثفظالقبجض شلهخصضضاغم احكوطهشجثه خعضضججدلطش بصخردرنصقظ سغفهافدتنط هتترظامطضذ صطقهظداووس ششبثهيافنث صزشجضكدتضس 
بوتتهغحهحه سيلستحدسصل ذيزقغزمادج رضرتجطممته شهشعشثعرذن ثغنفعظحخاص الذزشذطدبو ذخبرنظيقزر بفخثشفهزدط داضبهحقغكز 
