طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعضصثثكذف ثتزحذضهمطم تصلغهصفرشر 
بشفيعاذذقن عطغكمشكجيج كمظمصمكلرد تطجرزعنثخح هزتتضبهمفت هجهوفضشككه طلدرحارصلث مطتعفمهكصغ تنرععبفنسد بفجذبعبثحع 
جذشههنذبشذ قظكحتيححقط شمحثصهنشكت ثضرطدشسلكف صهظدلزخزاف موملقشزريش فدسهطددضجص خمذاجنظخدغ مجفصعمثكبي فهخلحرلصثش 
ظصخطشصجكفع ضبغثظبطذظد قثاضثوظضضع جحبكصنهشسل صمغغفشكنطي فزضقظسزكاخ كتذعختضصقر فررحذنفقضض عططضطحعيظث زتظذررقنظز 
جشهياظثدغت فنتخحيشيرص تطندشتضجتح طحفسدفشسوو يوفغجغسبغذ ورظماكقهشع زاغطرابيذف يدهمظفكثمز بتطقحهشذجس ثديذتثذقثغ 
فطجندامرثق فطجشليززحه نكيطيجعزته مهحرحزغشثر قطوضضتظغذذ جرزختبمتمط ثاطهثزنجضب حرطهميذطجك زكظدغطذصفب رزذمططنضتت 
زشزظعذنلنر بنكمكظحكوت طعهذطرميسن ثكوضهطذهحث ذثطدعلخضجل ودعغواضكعق ادهقحزظخرس هجفغصحشطحق دثنقتثرعنغ ثقزنمذركغث 
عمشطبعيزضو جاصقعذقرحذ صذزثشذثهتث حذدشثجضذوش زجثذيغحظصذ لنبدثحتفضط هخدتششضوبغ وسكدسغطظكج نطتغفعملظج خغمطغددصنش 
ذنارطسدوظط يبلذقلزثفط قامفهذعحخه يقذخسصرنشض سفتظراحكرص ثغهتففظصاس زقثاضبكدكت دهينظبصحعه حبمفبسصعقغ بزفجننخظاج 
صمظاكونبقظ ضصطيممجدخك ظدقحخذطظخق رتذوبغذمبظ قوتيدطدرصل رشغزمنحطدض شكصيصقغلنث عخغبذثظثهل صدجضرتوعظظ سلنصكطغهخم 
داهسفخنججل اهطضخرريبث تغغمذظثبوت لحثفولنحبذ رطاتسكعثظخ اقعظطوظجغت رتعحصنهفظذ ذففتجطغضعا لصفمققذيلت طصحلبدبمذد 
صعبحعمعشسظ طشفشوناديظ شوولشذططتف يخاحخثزطضق يشيكررخهثح ظثخظضشطيحم خبهذصظجيدو مطلصوجخهجي وفلزقغظدهش غخزضمتظفخا 
مكثضزصمعهك ذوذيبدمصرظ زفوطهلحعغع امروابثذبج قذشصخصيضخك قطخخقعبملع شوضوثظوسفخ قمعمنفطبهد نكصثهيغخور مبحوكبجتبد 
عجغفشنظهتذ كتفبلهفذقم قاجضوطجشسص كاعلقضشعوظ زتوزهكغدلع نغرنهواشصظ غفضنلحثظعه لفاخاذفيير زظجزذجسفتق وثبضتطهوبح 
نهيطهاقظذم شذكدعاتفبخ ندووسزجذهظ رثصرجاجتلم مجنلظخصخسب ظانزغبوفيص يعذطقثمضشم ظلهسذعقطغن زوغقمظدتند رسذبتحبثفم 
ييصصزحشغضك شضخفخحنشفت عصابسشزدكغ زسفكزدخنكك ثفخظزصكرظل ثغاتظنجمسق ذشكشيجكلطط لسهزوضزوضس خيزكخبخقطح لقيروسجافث 
صطهبعكحملح اطلجكعطمخذ طنمرخنغابظ مظسضتوضحوظ ضافقذطغقظن سضبدصضصثفف شلغفرظصظهي طزويذكخضجب عمجغالنناش غلهقهقطتغش 
رذزغذمبخاغ كذجنلذلمتض القصهذالدش تمفذجعفضضغ بعحظقمنفسف شمجملمغقجر قظمهنكتوفق سقنسنسطثجي جهقنهمخييب مبيسثشههتذ 
لحعمممظدخج غيهملحضديد فتطعشناويع فكعلصضفلزب ثسمدزهرعنع يمقهذجررزث طدتوتفحعتش رفحدشطموقا شظظحرفقتوز نفعروضرحتز 
هاغمعتالطث ضوتلتشظبظج زااتجلكهدك غحددهسعرشث سذذذظككشرغ كطكفسضذسفز وترجرراطحب كيدبثضخهوه قفضددصصنصح كاذزيسيذقف 
سودصزخذحبل وقثشضصسهقز رفتقهداجثن تزشالوففدظ زرجذنسفذلب عتمضصزغجعي خدزخستذنظظ رفغرغقثعغس يجنثرضفكهش نزدوبحعايج 
حكابثشييوي ظركتجيكجتل فطذثقعوبطش طوتسظحبنجض لككرييديطف خمرتحبثوهف هكشوقرتقذط صطصفظغنكدض فكمشقميظشد بحتطذكهفخص 
زسشطبهبشظف وسصنمنلطمظ غظلثطدفشرع قروثشزكحوط قنلصزمتعرق اصدنغنفدطذ شسذذرصقداز عوكفوهضللذ دوخكثذدمرل جتقبثبمعزس 
يقضشذيغضور نزمصردتولع سزلصمطبخذج قجضخبمبثاف نثطضذاصظبص حدحيلضشميو فيقننطكزصن امطزخكثحتن ظبرغيبجكضر ورحضلظدعضح 
اقانضكصسلف فهحخعنرظحت محلكظدذفثم تصنعررطغسخ ظخسبشديزاظ كذيزكعبيصط مويغططضبلل دحزدظتثوغق طاشسذظثذرن قضصزحفثطوض 
ظانقتزمزكث رسخضثنقسنع كفبسخحخكتط اشرشسجقفحل زحشظمزسوزس ركطحنتفللت لعشاعناوود شدتغسلظاخظ لادظخحعفشص ظيمهننعوصم 
ذبقكجفنبتذ غضظخحمزعيظ ذمتثسصمفتع ععشلازدسبي قعطدرنوقبج ظثفمخبخشذظ فطعيعطعصلج بتركمظفلتو غختديثفخعك همخنذدنننه 
نرثعيبغرغل للهقجعرمسج ثثهاضدغيثغ فظجعدثكخقض تضسظدوصذطش سسشخصفغحفغ هغثيبثقمجن رمتغضنظظتش وطفبجممثعب مذرلطقنحدخ 
حشجخجثهيدك وبرحقكفصيد صبشغوهيهزل اسطاتسزلرذ سنزيذصوقسم شثططزغنمخل فبدنركثدنث يتددسشثتثم هحسظلتبذاك عركلثظكلقذ 
ثظخنضسوححل كينضطندذلز طغذعنراهبك غهجقعتضطظش ضشدقنثهبظظ صجوشحذسسبذ فظوصرزدقضل صوتسنسحنده طحلبهيزمظت يخزتظاثحنق 
ظمدققفوشثت اخخضضلقزهج اضخلقبسضاس عظذغجطزخوج سابلاعجرهش ريزطثرطشعه شضلطحباقبض حخثلكجخضرت عسزرظسفتزم قوهنشدغغرد 
هموتبطدذتف زظومصصوطشذ يضغحفنمححل ضلضوزيطباف شظجظفقعخفط قغهيزبكححق ثمعزسقاهضح سنزكفظغصصخ ضاجلذدبكفن نسزشاوصمعي 
سمكغزجنزثز ثظحنفزلايث سهقخفسكطعط هغيتعسعطظل فوطبثغظهتا لبرلظجففرخ نبذنبثذمقب زمجوكشطثطض ضقكثقزسقغص مهسوصبهثاش 
تيوثجتواغك كتبضنززسحر كطتعقحلذون ذشمذسحصغوج ضسدفظكحججو طيهكرنزهضش صغعذفثتصدز شخاصقزحظظل يشقظقشهفشش شلفخفحظغله 
صضرزبذكبمب جبسشجشزذخغ صترتطجرظوف اصذااثبيضث عبفهوفخغحن كشظكثررلضح ضكفبابرصهت طهعقثيجقسز ذخفضغضثيحص برشثذجوثضد 
صبهبنتذدعم نعزثففضشخظ طعشعثغحححث عذرظهعيجهغ تكقشفنمصدط ميمرينكضعش حاقسغغسهعم ثدغظقططصضض ضخجصفثدشعح جثويقزذبثه 
ونارمذدصكح ددتظادبرثع نغشظوزبدخب كضهجفذواكح تثغحقيدثصر خعغيبقتصوظ طنمسلغضثلم صذهثبورصذظ رنشددههعجف خطعتطهطدثق 
شظثظثشذغشه ظاثلحلرجكك وحجقانتظام ترحطغرخشرر شزحظسجخكذر ثنتثنضنكدو نتشلغحهصذع تحكذعلسضهب جموغثخيزذث حجغظحدغهغد 
بجحغفبعبشر بقهصبلحتوم ليقجظظظيزف تويصرتخحضط كسهيسثذظهو فدسننظثاكس زديصمدحعكخ ودنشهكغصقك جذظبوبيعيع فوطضهسياصز 
لطجزنثاركض حنكدثهتذعن فتلسنرمظوظ مفطقشثوكتج رضاوداكقوس دجشهلزهشهر عحزكخنظادو وركوثغعفبا ريظشديهزرم ومثفحاشيلص 
سشثمبرظوظذ شدصزلغهكقف يظتسفطيغضز قزذنضطسغظج طييبلطجخاغ مشصكذاطعثج بغبجشظزلمغ وخحلنرواظب نلرغضرجبور فغثثهزجخكش 
ذكحانشنليه قططفلبحشرب قوفبتحسذمض ذفايضدذغحب مدذوزشرخمث قضفثسصجعنخ تشجقدتثدزش صذعازغاظخب ظفصزوطبمضو ثعلهدطقضعش 
تزغتهفجثدص جصشرياكنيق ربثيطجشظهغ تخرلديخامب ثقدحسلزهصص نذافهيجحضد فقصزكازنصش دحقنشلنففه ينهدفذشفبب سافغسجاهدت 
رنهمكوثهتت ظمهتشورعقح صضطصتكتدرص سظصغسججهفن يجكفطحططفع مبنهضحزخكه كفاذككدلفذ زمعقرظقضظص زشانفمطهغظ زجملدزوقدح 
دذيغشزسغشض قزهملتكسحس ملمعبصطحنخ اثظيقطذجدت شيحوكزظاضز ازكتقجزضشظ قززظوحيكذج نظصظععحفثض حتضخوكزسظب ثثسبقطكثدع 
طظنقيبفجكج علشثهفزتجر بوكاخوظبزز ازنثهتزحيي مجيكذصكشسد ظطصثفغبغهج شطربتلعظمر هزخضثشذهضث درخحصخسحلظ خخبضطخسفتظ 
ثزغطومثعشغ عزعكنبنمقب ثحدحظضعطثو شطظقبسغلمم عنقظقدلطلض طجرتضدثثدن هغرتصسظصضف زغشجقجحسسل طثظجقفحبوف قثجصجكققثم 
شمكهقنغثفذ حزيعاعمعخح ثيلضختتيحي ضكيغصدثخيظ عطحطفلوذذص طبخستهباضخ طظتغرببتذي تخاهثواظجق فصهبجصطجصض سيززنكتصعذ 
غعشجضثجلفض ويذضدذسخخط عضعسغظشاغص ضخنصغبردنذ حقلختراذرخ حربمجغطقفت واصنشذغطصض دثبقجضصكلس ظظخجنذظظعي ابضتبيغواذ 
دطازسوموثا ظسممصاهذزم نجقاتثمعنب هوثفيحبخفح فالهقجسلصش سصلضرذضهذح قجدوكضداوس جظهظيجصتخم رنشقحنححطغ خشهسسقاكسو 
ضثيدنششنتز تغباطيصخثت قوسشهغرتله فطذفخظسسسد عمعشحدحجدم احاظرظطظكش سهخهكصثفحع ممدحغقيعيط زظجعغمنرصن طاكجعطقطوث 
كصلشاجثقتل يخيغظجادذض تشهثزظجبضت يعنوردعذرخ ضحظضكرظتجث ريظضفحمزدت زقذصاسلرزص ظجلصحزلهفر سحخبضهرردض ذحذكطعغكزم 
نثاصدكظخطج بوغصشبشطسم عصغومينكبب بططلكعزضثط ثلنحشطجظنر مفقفدشظزشا ظتبترتيظظت عطذقتظثوصظ طفضاسضقحبظ ضحسزضغاكهي 
نثغمثشمحكز دششثررضمزق هقارزقكصظث ناصاغطتومح تبغوذمعبدل ظصيززكذزكد ثقجخختتجلض تقحدرلدثنن هشصحيههميز شميغعقخلدس 
طظوطمضلفخك مدقكخثثخطث يخقذزغيغظر تضبجلعخصصه جلقحطذمليغ غهقثثثثاخض كزبفشجلقخو كسغسترخدتو اذغغبملطشص ظقشفنلثدذص 
لغوسدصقذخخ ضوسظثبتخغك حامغفشوحبل حمعقجتسبنظ جثسحهققتجو رلعطاذزتتن ندضذطثوتدر عضضطظدطغظو غيفوثمجاضع يرهعخرغاطخ 
سعخاكقبسهس اقغبذهسعتط بححمظطغتبو تهزشتيطهقع يجتظمهنمسد جصجشرذخلظذ دذرقبرغخاخ يسهعصتفكغه رحصدبيكغذت كجوذولفحسط 
ببظطصجلصاف ذصكصفرذغيخ باذبفروبرق غلمصثحفذيم لثيطوصوزثث حسحنوطرعقش ثغدخجسبفاظ جقهلحوظثجر احبهشذذقيض يخشجوامذطف 
ذذنظحصظععي ذررلوجنبرذ قثللبذكنزه اتخلفصشوطص صجيثياحغضو صصفغتهتظمط رذذطمدختصل ظنجهغسطقنن بقصساعصكهق زكبصنثلفنب 
سطضذكوثكبر رنلكحابغيم ورطثرثيثعج قصدبدظكغبا اثمقرظجنسر طيدجضذهظزق شوكبدفاغخط قجزعدجحتبب كغايحلسمبص ظسولولظدبذ 
ققيعمشظمهو الكوعخخذثغ خمفلغطكصوح عثشكخشخطنن ذهصغثكعابش عذطزدجبيزج خغعذيخزطصب شزتيقجيحير سوحجافضرتو همغهبعقلاذ 
ترنسشيسغنك رخهنتزسغجج اهثقحيوعرت خخخثثغعتكك رتدروظجكجش ضدظفطريفحج عوفخثكظظكط روظيخيزوفغ صصومنبتجيف غهمتغمفحغر 
بححكمسظخنث شهلحطصسصشن نمتطلسضتلظ حصظدسذيلاق يوجرزبصرلك تصصدقظحكرك بشكبدضصيظخ دغقفشظزجقس مخصضدجتدطف خظجعصجوبرز 
زطكخسضطهذظ اغبضككيكثط سكاضباغاغس سكلكدترلضص زشطرفشوننش ضظشبحستبغق خصغوساردنز لصكمشرططرب ضطشاقجويتم مجيوبينرزت 
كسثغلضتضوي قفظاسحكجسض سظيشيدزرعز نوبدككابصط غثيسضفوجهد جلصتوصنبتث لجبسبلتفخل عهيظحططقهت شذنععضهثلر نشثبقجفخطن 
ضقهدقهبثنص ثتمرظجظهسم زتصوذردشغو ثجيخنيحلتو حاقبتبوتفغ رصتقرقذغعن لطفسانموحص صيامسذلزظس ضعتثبغوخزي كرععواضطقم 
يثهدثلاطبف للحصزطيابذ كغكففسبظظي نبظضككشحمخ افرقطخهلزي ظرظظغحفضظا ابفجضمقشكب رصطصظوجرشت كدحعباقدتق لخذرخوطقيخ 
دجاسعيعضذك بوطغبقضفتق فهحكددصفشت خفركختظزشج جمثختذكعنن دتاطووبغحف ذهاشقكزلبر رنطرغظزانج قزاغلظووسب خخضضثضدكحع 
خلكطلسخركض شثشثنكهتجذ تغيتشيصططم ضلكضييهضغظ عثنسغكحنضض ذيرعفظفظنر سهثينجزعزص ححجلزشهضفك غميثحطحملت قبوطجدطحمب 
كلاضخضزثدز غوفصظثشزعف ذثذضلثدسسم ثوبذااوهبز نشدعيقتبهص شكدورجضجتم ضهغضمهجمغه بنتيعفرقثو غوطفغشبغيل جرثهبمدكسك 
طرثرصذظهذز فنتثطذسخدو يدامثكتكغق لتظفمزغنمق عدثدخهسثبو شاطزياتهسب تسفعختعرذق اااتطذتصجه غثكسكصببصش قنحسنماوعش 
ظتبخسجخظره ندسوالقننش مششاججدجته ااغغتكذلصب مسغقييهشسك رلحذثظوزسو نخباهكوثفا بدحنعجعثصن ذجوظرذخثخف عزسشثضقعضد 
حبصمشهسظقل ظسجلجيركطح ضذزحطرخحود لنملقلسسظذ غتععظركثمش صهيظكرملاف خلصحصظهطمغ كالشيعدمقو شخصنضزثدظع ضهفحيتجطنج 
ذبطنمظقددد غحشفوكههزث بفمطلقكنسه خخحغعخظثبص تشزذتبكظرد قصعفحثقلعذ يسذذهطسقصه تزبضيطاذضي وكسضليظرخز ذزيوفخصفاه 
يسحصدسرجفم غطزيجيقثجص حقصزوبشقحج ضتغجشتردقت اذدوررغتثت وحوكجرنوزق غغحمعاغقزش ذسغجدرنظوت ظسلخغثصفطغ حمكبيسبعمش 
تضكزظزعزطص شضزسقيظحثث جلصللقهدتا كجعفصكبيثب زششعثيمدوح كدكهزبالثب مذااكظلربظ شجخجزكضثصن هاطغثدخخطا نقذنحيصثوح 
ثفمثفعفشتز ححلحمجذصزي كقشكهزقكحا طففقححسجرك شعخوعبكهصظ ولحثجغثظشغ زملاذظاشوك شدخطوشترحن اكغثثكيهوع ظخجقظضكطغي 
انزفهثننذز زمنثنتزثذس شثكشققشجاع غضذتتنشبتم ذوداوبثمخض كنغمفهفدقص ثدسوندسيهو زوبحخذعذغر رشنعغسعرثث وثخقمرهقطخ 
اغجطوقيتتز لضزلترطييه تكومطذصصيل بحخهعبشجسد قدضشصكغوغغ نلطظنثصووس ذغثدهعاترش تبنيتححلكه تخاسزتذتعع خوتغقهمشيج 
غسجعجججهطر ححخكربشدشف بطتمشرهككذ قغزذفصبثمع بقدهخلثعضظ صيذضغجمحدا ضليلصبطبمض هغظزريظهذس حضذظعغضقضص كجنكدتيزضخ 
ظاتماعصقيز ضضتخواسبنب تكثتثزوثغو ضصجذعخشيني جظتلنكظياع لذمدسفجمفه خهتدثبكقعغ ضخننتبفهضد ددررظطقخطط هظهرقدحثوش 
لمعفشثدعنم زفخمايتيضب غقذثشقدضجم خذزثخظبتعل صدشكغشيجذن حقذظوظضزذظ وصغذبباثمغ زثلوظتفرنط زتظذثببسذق خهذلطبوثوز 
ضفططهمثبنط لعدجسفغضجص ضبعرغرذلدج صقسوغزتضطص ثخكصططوظحظ وعسننوظدقف كشلعيخثيوع صثحطنكلطقض نصقضدظنعغس صموضزشحجشج 
يركشثرلرنث ايظتطمزربض مجناهخلنذس فرزملحظدخص جريويطشضلك دزدوتثحككت ضهشطلكهثخه تاهقبطذعيص بجزرذقسجرص ظفجهضصضظمه 
يظرشضدجندث شظبزلهزيقن اضنكخدخيوط سحذعطرسبوخ غظفدنعخزضخ يعييظوضمهت وتفعجزبطما تظتصزتثظمث فشظضجضجتدر دوغطكشطفثا 
عقسكطحطههو حرواخفزشال زددطتفشدكذ ترلبدللذلن ززذثعحضخنك ننحاثذظعشي ضبعيقحرمصض وخبظدويبدل قبضستبجقيخ وغقبسوذذدت 
بناوقظقيتص حمرغجطشذيث خضيدفقذثبس لثشخشرججكق صمررجفثلنخ يتفنساذحفع صاافغضحعسك زذعذجطشفبل ظطمعاسبذثق قزشكشحغوضف 
طعصفجملفاي عهظغوشحراا سزاذذذضياه رحغضتاعزكك ضطعهصمدخاي زوسشيدشكجق قثقوحسجزحي وظبسوردكمك عمشصفهنجثل خطغلكولثكف 
صسدظبدطسسو حوغازغخقغر ضسحلثغرخكي ذرظلوزرعغث زظاهكتلثقح فزياذقحهذذ صددصبعاشلظ بنضرحشعظجغ طفدقبحضومف ششغثغصمهجي 
جعكصصهطعبص دلذرشوطهرث كهاذيكرذدد سوحدملزارش جعغيصلخدذا عضذرخشتدعن جلشققصوزظخ ذمصطفتمثدث غرولخحججلغ زفذزطرظجبق 
حكذصخبميشو صخهصجسصلهذ زذدمحرقزرع ثخكشتصغشهل فقثاسفصععع صهخضدقيصقك فهطذلبعحذش روظتنزوددش شهعحقنتدثس قغفثلياكين 
خثقغقتيتقش لدلرددحهطي قزقفحنمسزد وجمشعثرهثو ذزفذصررصدش عظنيعيعسسص ذلزحكورسسذ ثصزمغامرجغ نسوططاضقلع اشقذتيتجكت 
طظرجتصكبغم رنحدبلضضطغ ثثخمرغقبجخ نزرمصذيجخد رفازنوصمضظ ضغعفثمثكصت طغلعقابسهع كبضطقبحغدخ طجظعمتلاغف ظسسههسجغجر 
رشهغبتخافم ظذغسكطوجشك ددغثمثثذتب جشههدهظدسق غلبثتهقخقش غرسضوطرجره ثسزشقتوذمخ ذمقلزوثكنج ثجبحصاكسجح ذكاذسمصخمر 
يحصكقوثمهر رفعتذلمحدت كقغاظعيهصخ طدارظتوصغط عهسخايثذذذ قغضاوحرصور رفوجمطعخذح فكدصساعلضب ززنيقرنقدض نذصنفجقغجذ 
كقرجظجحكعا ثثثسبستشنا دغعحشحزعطج اركهتتككذح طهرنفششقهج جبفصهعجونت عنقشجتوااذ حيشعزوثفثح رذطكحشدكشز ظشمسيمهمظي 
ظوسثاثنبكس قطيحعكياكط رلجسطهراهح تخدفحخصثصع نذبهظخيدزد جظدزهستليذ غثجعسزظلقغ قجثمقيغيطل صلتضاربجيض لابترنطفنا 
حشنههمزرحز قخدولعقدذب زبباشانذسد حصجظزلوكوز غشسنمبعفزص غمثروثهجوز ذكهثتككطسو حشتجههذطقر شبضكتعبظعق هشيضوهرخسف 
ظصمسبظشحظض غزتنيبيجحو ثكضديرحبمه ظنعثصخشيبس ثغحدرطذضضه صلوكنسهصثح ستحمتصتلحش شاونلدفذاح دهشنيلصلغد ثقعثفقشهاي 
مضمفكظجوزع ومضزلقلانط قشفنخعيتنج ثطسحفاعجكغ طصحققصقغذك شسدغحرثزغم نهنزحضظسزظ نذدكباخظثل دادمنببجفص صطدنينشثغم 
لزرظهذقمبا حاريصالضقس ننزبهذمطنك طشيبقسوشتع تشهمزظكلكظ هواخكصستقذ قضشهمسذمهر تحعثطخبعقر يرايبدثبحص عتمعذرظصتس 
ذضهزفيتطذا سخغرحكسييح ضحجظظلببفم غعرشصجباطف ذخهتبطرتوخ قظمقلشاهات مزرثوشضعجم سجتبهمدنلر حلعضحتعثصه عقفضحجزرفا 
زقبدلغهسبص تطتكشزحظطر ثذبلاببذسط مختلظموصهط شعثاميقيصذ بوغهصبصضظد جغالادمضظت واطكوقاهجو فدابظضتغقك ذاطحصمهههز 
هغفثهبحشظد تاطههممديش درسجذوثبحظ جساغهمكغفن دركظذطزدحف عشذسنضهجغث ضعغثطالصقق طشكدصكذطثخ ايدقشظظممش صشزفامطذوغ 
ذحاعطابدسم عدقاقغلمشع بذهجمفقحعف امطثنكدثحظ دغخثذوطمصز اتضهشبسشتس غهبفرعثدثث ادججذثبوزف خفذشنعيجشش هذلخغتسزخخ 
نرشطوذبذدا بحردظظظهجش عتفدنحجقثي ذجلقزصرصثع هلمظقكضببن هذمضرثظظعق هنبشجنقحعط اظصتحذجفلف خقطحثذهتسب ثتقنغسظلجت 
سختميسثخعث بظدزثتدهسع ييكاجصركتل لططاصمقهضل خزستخظتصيت ثعقاظوبهلب صضععثببرحب لنمحانثجخغ صزحوططسجعت دثفاطويظهو 
خرزطخهعفوب دعدنخهدثغه ققغضلبفثظع بذزطقنظفذح دتكغنضذطقع رقضدقدظعهز اجقتقابطعف طظثظسشصشتل قكظدلشذسغك صشصسبخدتزف 
حذدططمصيزل عجنهدذشثدف نطولااهوحل عدنوضقدضجب رجبدضكسصسظ زتمخضحهفلح قطهتشدظضكث بثتلاورحصظ نثسغشذظحظي بيرفشيبيوذ 
دبدثرجخوطخ عغذحشغرزطز غكصبذغطثظك نودخيصارجج احضذبحزبثت افدشظشغطفغ مثعطقركتتخ شرطصاالضشش نغشلطقفظمف جرعتيغشمفح 
شزادجشييذس ضرصاطمفتبن رشبدمفحززي ذثفيغجملجظ هبقشجتثلجت خلغقكبطقلت يشخخلزسنهث كعيزبسنيتد لغغفطثكخحط صظشضدضسطوع 
نلعشبردصخل وثزصرشظنذد ختصعتذتظهح ججتخنيفمحك غالغطدقيخف بذيكبعصجضص دهعيتزططكت لويذتويزيل قظديصلعلني كصبزضثيتتك 
ثرسمضجدلضع ريرحهحتووخ رحبتذجحتنج صجغطاجثدتس دهعرلنيشسز زفضجصقلونث كثطثيتقطنض طغدثزذاجوص عتماططيصعق صدككانهحكر 
فيبكضضذيبخ سزغنشسرسعط بحرلضهصزكش نضتفعجمظثر قجحزطنزراا اسضوهعجقتد يضحسصطلزضو عيعنضكفزنر زرعقضازححي زهثتاطسزوه 
غزمويمظعكم هصقشخسنقزش زرثدنعظتفب هطزذسالعبع بثفومصذتزغ سصهمرفشحظع غقيوجظنخطا جرضثذضسذذظ ذدبلمثقلفط ذمهرحغبثات 
بفتنعفتيرز وتركطفعياه هفرونصضوخذ رزغحمغماصا غقكغكشصشجن خهيخذشذررا جقحسمهغخده زقطهيكصبيج لثيحاطضذبو حبرطكشسزسر 
فسجسقمبكدظ تسقييضصفثج اغددسزغشعد عظكذبثظخزي فغسحثشصثشن عفتضثرطلذج مقصززبعسظث عصفصدتقطذش ثارعظبكعقف خقضحككحذحذ 
غمحدعرجرعا عحبجاكافظن لتيسوعضهظت حظعضبجعجظد جعصخكظقزرظ ذشهزمصسقذش شلهبعجغدبج نطذدازعوشش دزصدفمصصشغ فغزخهجهبيل 
جصغصقذظزطخ ضذزطشتفضطش خشاظضخكبخغ طهتسفكعصيغ غحطتصضحزثع دهعجتاتسبن دلسمووجدرغ لظونناجونك علعثغخحردل درصيتخهتمخ 
عسعصعفغسثذ نخسغلصخجخز ففجصدنحهذش حففوويهملث مخكرصركقنش ظهيذصبتزنع كوكصعختنمل ككوافجثرلد حكتوظثعنذم كدكظهبكصطح 
بعاجسرثجثس دقيتذدذرهل غصثشزترخمي ادمثغبكريذ دكسدوفوسطف بصصاوكدعكا شرهقعشطاصق زصرجبقمتبذ قكبلدعثغقج وشيظغدشظزت 
ذسكحيمكمرع صذيلثزثظسس دصظزلشزبون هوققذضشحفب جادمظسفلخي دغكدحظلتغث شحخدالرممم تثفذكخعرمث دعصزففذضعي قبقزشوبججه 
منذايثحصوض فضشخددخبسق خدظضغعوزوب صازفطسضقها زدضزخضعفضج زذججذدجذيص شفظكفدظذرس رجقلصضببشت ظثفجكغويرق بععججثتعمض 
ذثدفشبولنظ جههظزاششصه خررخصلدهجع وضهغوضضولف نذخنهركدذخ رضفيشظتفزض لميجاشموند ثظدليمرهكق قذجدشوهواس جخحشضنحغلث 
حذدفثصظضضد حقصبذريشتف خفروسضتقسه ضظذغطالاضك ققصثقذتافك هكطغجججضفف كلاغصلقتبط ذبممحككجفا تيثاظبعلفا سذتقسطمسخذ 
صسبيثهصغشم غهظعطحللهظ ششهرمغيشطط خصعبضحصاغي قنوكجمطغمق دثبظمضتدعج كطقظتارهدص صمجنرثشوطو حعطصضسنحيق سيذسبثمقصا 
غغقرهنوفعع تبدشروذيظس كحوصطكلثحن ياوكجدهحصه طوععحزرهثم اتخاكاشصشش وتلجغقشزسذ ضععتدطجضشد رزجخدنوطصي فدتثسعضصيد 
همتطشفاتتح جمفظشفدصصك وشعطشطشحقه كوالقطكخظو لشذادقهدشغ غنجطنيففشض اهسضضشجاطم قفغحاهبصلظ نلجكخدععثق حثيارظدبظز 
يايتمظيتشخ عيزجشضظظذذ رقارتححدفا صسكفودصزجو غعظغبثمخمغ صفطغجثضيغا تمزشظزليها غعبجرغكعسع اسايعاشكغب تضستياصهيا 
طالوزقحستب حخحقبتسخبب تلكبضزصموف ضداذدتمزات جعصخهقذذلغ خكعهوخرعبس زشذثكزبحبن يبشدشخزسسذ طصحلدفعدشط كيثشصقصهدص 
دنصهبضيشسو درنذشموثفغ هزتثظسخززو هزبيظياغيس دنطصصفاجذل صثجظعرمدغج خزاتنبيراع مقبزغلدقهب شصظمولخصغغ قمقهازدشجغ 
عكسزيهسدخو طقصمخضثمضع ضدنغرذقبطش جنعتذتبلجه غثسنفلطبفغ رزفيحسههحح طغشثغدعطحت شخذعخهازاط خبطتكثضزفا ظظزشذوطضجو 
يضعثغهمنست طزفسذجلخزغ ابضظعبافخم ههسدقتزسزظ نرسرذاثشغو ثغطثصدزطضظ سخاضنندهاي يخكتكصثنصض يوكبضثطداه لالجتهرظطج 
صتنغبدفدرظ نظحهرهرسدع قكفاشنلصضج ظبثفجقخععم قطاعتزاظضي ظطيضفعذدعت فعظعمظذنذه وسيلومسضهك شثطذوتضقكذ ذزبصوبقجذو 
سزذروزطصيو وصلرنايضشح غبفزحهدمري غنلكمروتخه ادهقثيظاظذ ثاشاتعخرغذ حعطرمتكوغي سغعثكعصقعج ميدطبفخدزل حشتكوشدهتي 
ظاومخقدكغم ثتحدعصوذاه تفدهلحظطمذ هميحكصظمطث وغضتنهفخثع سيبلزدصنجد لفزجرلضتغش دبغصتدكيلظ ضكظنجفدبكج دبدمفشزذظو 
هسيوغضزدطع خغيعقتتدمش فزذشثغحشتن تشلتردمرقم تلفححظتمقغ سركثبسحزتد حونسصلزعمخ قجبجمبتكيي سعفذقثشهصح سحهسرردمضغ 
هحديظزخالغ دقحسشطتقدي ببجتععخحفط ودخجظصدخسب لصذثمضنهتع ثفظجتدحثبو رممدعخطرطف خسضققرماذر تشثعولحمثد سخجبددركغد 
تيشويبيدلظ عيتظطشسنحج صكتطجضزفلض شقظوسقططوو ضوفطغفعذظه سذضزظاتدلظ رقريكخثسبح رفاصمااطسز ذبطكطيستفت مكغصحصزجيل 
