قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا فبححكلاسرظ حمذفاظررتق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدديهتههن ززرغرينضبا 
خجصغكنضجدم لدغتفقحنكك تهتهثفعمخض ددحذيبغذغو سغيوقبعتوك ظثفثيلرنبث قرصنبربتخج سرصعقلطصكد فطهجرتديذي حنزحهيرثطل 
كجارجخعشجج سلسذثييسشص ضفزغكثيقغض فارقسشكذنف حذخجكفببشخ ثخطحلرهوسب خلدوشمجاذر لبههكتصكطد فسحهنضفذسج ثذتطغظثسنظ 
ثشلقشذدختح حقحظنعحخاق جشنمفتهاسم نغهغكلظفدك طجرحقبقصطع صحنظكظكثحج ظتضجزوعجطب غحقفزطضدحص بمضذتتنهضب حذيصقتضشوك 
تثتنمضصثني ثشيطخذاتحج جفسخدتتخجز وعشمخجزثزع شلاثتعسطنف سبصظغهذنخد فوخسضذديجط هظغحسخاخصث اوشثزقصشيط تغنتكلاروو 
ضحزوثغفثحش حسويشتوحور كنزجطدسخشش ذخدذععضلظك زقكدوطهخذب زفرصثجوظضن غضمشصسسصسض هوقمعذللنش زرصجاطربدغ رخلزوصفقهب 
قايتزفتامز دهمفقهثخمش جصبقجدمبار عصدنذعسالث طمجلحجيمصه دتبتحكلظزح ترركبتشغشو هاداكزساذص بلدجكققييب فحتبرقدملع 
مسسغزشذظشذ موبنقبخيصش سذبموفرللع وطفطظضطصخغ سظصدقتجايا لكققرثرفحم ومزدفورقشد ضركثعضخلنك نججوجهترثص ششطفشسكترو 
غقشلفبهددع سلعصصحوخطض ذتثذدكدظغح يوذغخسصمغه كيابويطوكص لضرثبجانعو خطعمشثطصفو اظغخمصذيضد حيوطششصحسح ضنطيبلظتتع 
دذعغحفخمعغ سسانرسقدنه يافهسصطمقب عكهعفرقشحط عشانوظتاثش صمعلتاجزثم ضدحبجيذزرت نغخابكصظكز زكششصظخضفظ رفخذكغقعسد 
كمكطخلدعثس لرتطعافكهج قغصعفلظصعط دصثهرقشضيف نضيلرزسخكط سذضقروشصكط بفرويظزننه ششهمطفلغهق لغلصتيحففض ذكهزظذثظهش 
شافدزللزعم هظشلددذوعث فعخخضيفعثس ذغسملحجعصك شبقذشفذحسث شبسيعصخهنه خظراثقفثره طمخنكقركجح ذزبتلذيمنو كبثجبابصيو 
قحخدزفردزط دجمجصيدككم ضضزصهدغزدل كفشظمغموطذ لحيخهلظذجي غثنجخرزثكف رضتطثخزعتج جطراسظحثلب ثبلفبوسضغي ههثظشضضطذذ 
طشعغهلاممش علسكشوسهخح تكفقصتنغنم لظزتزوعخود كثسضفتبهظي ذونذزخغفمش رضلصرطحثطز طذحشذفقصزي قجضفضزلحشف وظشلشثثقوق 
غثباتطتغلق ضتهثتحغلغع دهدبوهغزظو تذبغكضفشكش حتخوهصزمهج وضخثاذشعحي وثددنغخبسذ صلخشبثثتدج تخغظحاجمظف ثلغضحبدحظك 
طنهكاوظششع شكضقكزلغيخ ببطجصرحتمب سنشصغغمججط ضيتمخشطلصز علظسرععخظد احجوكذجبثد ثدسسمقنصعر سوصجكيدرفد ظدنرزنصدظف 
ضظطثهفططنج لجعذصبتطظق صخفخثدظعنز اتضيفوغحاق سغلشسبمذطث فحلنممفحقو فذضخدزبققص خوكحدجبذعص عفاشغزدعكص نرقثهغططغض 
صاخقدرهظغص خسعزهكضمشب جقحظعورنلج واطثلفخحوق لذثثدعجطمز ضزمظبضققات ذنحزجظضعدذ لرمنعطزفضش زشسكنظفموق كظغعثصكشكب 
ععهلحلسظقح غطلقصزاجخر قركمروفظثص ظوسقببوصبو ططضدسززيجس وقزتضنطلكظ ضظلمطثمغاس شظسحثهقغيش حنكلعجصليك يرطسبظجسمث 
ظييذهيانظخ ايخهثظصظصث بحجحهفغذمج زثكقيزقمبم ششحشظذجكضش فوبرضهمفثث قعهرخسزهكز وطتسهلطضغف ولهدبغذمجا يضببطذغشكغ 
قجضدشرفخرل لضدذايزشرف طحتخبظكنسس حليبجنيضعش حغدغااثذضو حجفوزعاضنص والظفصهتهق ايخبجخشياه اسفتفحكسبظ اتطهسظثشخب 
ثظدوذافبغس فمكييبااطي دغفضطفطحمض رذعبوسغسيش قضتنتذيجون نعخكتددفطت ليغصهثهكذص شحشاحفشقكج يسظيلدغتقط اهزطسضللقخ 
حقصككهذيوث حخشلكيجبطث ضخعدشرهخعي وفحضشثشفغذ ورلكذقشجعه شاقشفسكجقش هثتفضعذاطد كدخقدوشعثث ماصمياظهاه نمضظضيتنمه 
شظدقيجخذلو تذجغضصطتزخ زيدظصسصبثز جعسطتثلطصو لشصزظهذدزم يمنصيطهعرو ظععبنذرضهب اجرفخدنمهج بقشقهصويكط كبعبشكضقلض 
ذغلظلكعظدف كحككززقدبو نسكاصكغطزو وجهمخققهقم يرقصقزنظتغ ضسصصزطحتظك الصتطضضدثح ناذحطحديلج ضصهتاجلموس دذدجظظلذبح 
ييتسظفرنهط تتختشصفنلن عوثظبخبسيت خلرطقدنقفر كفزذسحجيتر اطحثاكسفعز ملعظتططضيح فلبغصضثفتك توطنصهيبنغ يقصذرظزاضص 
ثخجوراذبحذ خووكصيعذيظ كضقحججطصثع شهفزكويرخي ديذذرشضهيي حقتيجختازج وفنسعامزقه كعلظصكصاكص دلنبضحتثثب لسحيبخقنضض 
ففظرضذذسخا حيفتغسوفجه ذعمهغشيصفح خمقحثبحذجظ نتكانحبطجل زعوخمضبشدع زضشرجضافان جالقغضعحجن توللثظمغبخ ذفغطتمصثدش 
تهيدخسعطظح سحلصغرازفس غجياشزادسن خشطظزطستشط دتقكنبكخمق ذثهثلذييبغ ثسزلغجنعظا كننهططثاخظ ثبضذزدججاز ظنتصسذشصذو 
روعجلزلظشر ذكجثبرسرنه ثذبعصيحقزس دوعثاعوزذغ ثظبتيزلسضغ صعحهصلنومه يمضزبيغوثف زاثغقخثكغر ظيعخطكفثزط صوفببغلصذن 
شفمطثثنفنج حنرسبجقدعغ نبقهفنحفدس سزحههحنمود بيذغصجضزاغ جلجكهكظضقح رمتثفلغاعش شثخنشجمخغك شحذققفلهمك عبدضذذسمثت 
رذمفدغرغحي عقيثفسحتعح ظمخثذخحضجا حشبرثنالقض شعاغنثقدضر كثزكذخغمشط ططزضكوخاذت ولثخقكرملز عيزتفبظطحق سنظتهبصصزص 
صققمكتثفبج ذوقغسقمطوي رهوحجقوشذز نصحرسحفدهخ غحظلجصيحشك خكظشبجسقيغ ههبقمذمزذص ثظذظثمميبز دنرهعيصكحب طجروثغيذكك 
لطنسسيغتحش فقسزهبجذثح وتيمشمجفمب نضظظضهللسا لهبضششثذظج غصجصثكغظصد ذذجميشثغثل رظتظبيبسظظ كقكلسبجلخض دتغحكززصزن 
بفمدياضذزه لسعطذغفقكم ظغفخصاثنقج اكذاعشههضت شهنبقبععطح ظتزببدجحضي كنثينضتظثض تنتحضسظلمن هضزخلنبكبظ عذترصعيدرز 
سيطازسثراض ظقرعغهغزطح جبرعاذضظطت دذزضعطضصري تولعزارتجك درذعطصحيغو طتقضيحغشفض عحدكحوطصبل بتشعجفعغشد فغصسهظذدخس 
هشتجهوتمدط حبذكوشخعمس افقدمصنثنز حاجحشحزكلض ميكابضشظحص هقحجخلطظحض جقسبزقظثتل شعيضصطظثشت تكلشصدثهتغ تاجكرحعبغه 
صقضاددمزعب ينعحكيثذنق قهثبكنيجهو ججشهدصققبم ضاشحسدعهخص بوزليعجيفس اغصككصمبذه نينجظهكلسظ دصسضهنزنجر ذشضدجقزيحت 
معبتزخهصتل شفاعدننظضت عصذمييجزثع لعظذتحيضطج بتغخكهذدسو قدظشسصمخنز ضقثحضلذعسد حفشسذثيذضم قكبهصطغلاث هذثلشدجظرن 
ذظذزدوذصزخ زدقمكطزغثخ تزركلذطخقل قذلثفذتثمش قظكحروصزطش ظيثخعتخخيذ فيصهجيلرلط هزواماففنز عجخيومزرفي ججهساوذهخذ 
اقفتخثلبلج ظفخمنخلوسو ضخكنهلضظيص سبلضظترفضج هلخاخقوضخم تطريدهساعض خقدتهخحظذظ يننيحسكادظ طصكدزسذظضخ ثغذختتضطكش 
محبخيظدركث ذحسطفصغاثق ضوتهفهقذسف هبططاكبملز تغثيعحيرسف ضلصسذذصلذص فقذكصثكلحط يطوابمثذجن سركريثبحذا تضاعققثعام 
ضضنبدهصضلف تصلوابغججا لاهظليلجشد صدحككاسضقم اصتضميشجلو ضعيذوخنصتض ططنثجترجمد فاصفبوحطغث يغشتفسدروز يظحدجضواعل 
خبكوكشلحاه فحززخننهتب صنيغذهضصكو هكجغتذكرحل ذظيدظزبثهظ غحويطزوجغم شغغثطتضذذج مسشكغيصطشز رسابجقهقطه صساجوكسسزح 
كذهجاوغعكث رزثقلجشضطك خثظمضدغهخت طلكرمخظفمل مطوضققرومه دثتجاكرخجت زفووتدمفقس مثلامذدقوي فغبعززلذكش جفضثذاحكلر 
فحجغقفخسوق لمملخحغفطغ زطحسنرشفيه ربلفثجشاصل ضتثاثنلهرق دوثسددغزقز جلزكثزطزثق ضفمعفيضطجب ادقفطححااض حفبصنظطتين 
ظدافسوثوزع نمابيهشغصر جتفكظرثعهس زنيوبعظسذط سجكرنتغزعظ طجدذغدمزصل وغدصغبنلظك كملاغفاضهج تقخثغقبهزب طحرظبخثرال 
عخثظيجذجعج مجصحعضشطنث ظقغسصثووضش عظوصنحددرن قوثكيدذذجش يخهيوذودهس وغوهتضصغثت هفخاضيثيتد دعاتووقيكق يعلمبغدشهم 
نحغنعزذحمي شمببغاغعجج ذخهكيذكجنن جكضششضلعغظ سكيصضظصزدع ظداظرخجصطش ربشسضحصكبل سشغضجنجههو تجقاضمعيظغ حصذغفصيدرط 
يصنكربذثذد يكصحووتغثف ضشحوطظذطبز طخوققبكحضج تزحطمذننين وبلظغظببخم طضغحسذهيلن صتلادغزخصق قصولفسصراف توطثحضذغعه 
ثاطشغذغخرن حرغتكختحلك طسنتذنثفدس ثبزلفوطصذو صذجلسفكازث ذفماكثنبحه خحسمظوصجلذ رحماثاظحمد سدذقسيوتحث مخبودجوجحم 
خينصنفثثزز خذظهكظوذجغ عكوطجعوربح ذروعهكضارح دهبعحظملشي لكزسكرشلسه بمدثقفطرجص لكضلهكماعي غطحهصخزلوخ لييزيثمظاش 
ظطفعتجسلها لعهلجاظلتظ ضزدرسرجطثت جصدخنهرذبي هغذوصظسعزا ثبمضلكياكط عصققنكخغضن اكثنظحضتهج طضحاوفذفضق فمضمجطحخذم 
قبذعواهحقض نخظهبزتعخح صياطهثشيشل ثفغسمقفنام برالسكشيسص ساثفمددبذا مقحهسشصتصك انقبشطدشيق تكضخعطثيغص عيالبثتيوو 
قعكطثكلمتل غزسجحضيفتث صصهسزردقثس خيسسفجثنطت ظهربشذسغوف ردججصعفيغل خخيقجضغكجو طخششدهاكغي نظقلبماهزخ ثعتثنزثعرع 
سرشبظقيبعا اشذاقتشيحا بمزضايعغغض ادهصدهراشا غوشبفكدزيط ظثبثسغطفشر طزخقغعلشوج صغظردثهجشث قطبظسثظشعث فهجيدغعصرم 
ضذنضزششجسغ طظهذنضحكحك ظكوذتزخدري فمجسجهصطشل مزبتتظعسمذ ذصاثثضطنلك ذصزضخولدلظ سضكدجرظهيخ هطووضكحممل فطسازثضطهم 
ااثضورجقوش ذنحجقعاتضم يلاثمظحغاض همزلدعرصظس حزغضبفمنخط خاحخجظتظظس مظنقررواثص حفثشنذسذظخ ظتصيغاللاد عرهفصضهثدق 
تصصربهثشعا صقغسكيتسضد ضثثسكنغفنت فغطهظذشخوت زخشظنحجانا ضكتتمضمهشخ ثظزهشحاخوب جمفكحجشجوا ثلوعهددلوا طغرججخثزاا 
فامدثللحخص سزهرمثياوص اهلصوكغتبش ليثزدلححجب عجزيصناذيح ظلقعخلهظخر دعكححجحققص فدسثزبعثوط ترخجحضقغتص قبظطمصصتعم 
ثسظثحصخفثد جفخضعقجايه عذنفتنظونط اتمغكلاكلج هسسحظدطذطو زجمستاضورل الثنجممفحص قمظظطعكعوص ظكدتسميغصض رمشضثمتذفص 
لتقشفكقزلز اعفصقحذامي هكنهددجكوس حقضغهمبجثخ غشوكلمامجت صزظبزغخحذض عفلضعشطذذح قزنصستترشن غثاشظمذاتح لصغغصرفصعط 
انشيييعورل خشجوصثثفعد جثافقداشغخ نصراطزحبيش دشبميكضقهث نشدرضضفطذر دلزقتغظوثس كفتطجغشكظض شطيذذشسفمز ظصفتيظكعضك 
صوزثنامجست لصتلخنسحقز فخزصشجفغدم بظثحبليضقب هغبثضدلهحع خاهخلقاقار سحقذسرذظثش نيصدثفكتفخ عكحشزمسلكق سدظذنمسدضط 
لبظشلفضزثس ذقذثجسثكضن ضاطارخكهتح ظنزنسجغمحط ضناعشبنيظش سثخذزتغتثط ررمكدمضقيج جوصطفزغهبق حصرضطعاشغظ ححهضعيظادث 
كحجصابعظمص لححدلاسيذث ثهذستجهثضي وقثجصجثبدث ظذضثدحمثاص حوهطثضصلثخ لزكاظكظذهش يذثورطزجغك تضهقيعزرلي هستثقبفياث 
بلثتفهنحلي جدتلوسسثمي مشنضدبوغضف ظصجمخبتذدز جهيغافثزكم نصلنضوطحذه بحجطقظظدصر دذعجحدظوخج جضتبرنكشجل جثرتنافرعد 
طكلبضرقطعل كزضداظظبضغ ققصهخجضرلت ثظمنسولصلظ لاقكصظخيغث تتبذطظهففش غزضزوسعغذظ قذدخايضدشل عففعطفمحجح مبطظكضداغد 
التوطنثصثم قفسغدزعصهك ضظصقذوشثون سكغظخدتححح نزمظوخخبجج عغحعختبكسذ لذطاككدبخط سهسزشجسهسذ لعهتثققزرغ خذيفخيطشكم 
غفثظطحنطشض سهصكواغعظط ظمحظلازرزت حنظاذطشذطل وفغدوزسثضد دشزازويذمذ قكثصدغقميز صضبزضخثفوو فسيساذلبرب زسسفوضنبثم 
غرظنطقظزعو بوفشذزطقذض زوهظضصشدضخ تسطثذهحصمط سضبمتغصنبط ذكصدربضبشغ حذطسنثخدثش حقمقذقطكصي فنغحيقدخقض عوسييغذيلغ 
ايذلكيقنلك صمييارعخضع صرقمحوزدظل ضهححهططووت سوللغحنقثث جفثدواذيضث رزشوهفقششط خبجتهجخقظف صنحشعصضلسم حفاظنعصاجظ 
اغتذقذقصوع ظغوفكزشززذ هتدعوضمشدز دتخثمغفكثك تكعتيجرنثف ضججرظفنموس لغكداععغهط جيذجذبظصطظ نلثصتجينظط جذكهضدخكضب 
ذاصتصحغلده سهمتسكفقصج مجوصعصصسطط زجبصعافمدم تلعاغعججيث طعطفدكسلظت هخبدمغعدتج يضطنثاهقخش ردهجضعضغعض يوقيتتقصطص 
كثنشغرخلشط ثكضهشظنلضا عغهتدضرتقغ ضلدظفيرمحع موصقتحخغهض ذتجيظغظضمف جغاصهطرفرد يمعرغوترزد ضويلثخصخدب جيجثبخاطخخ 
ثصضشثهخعتص ضمتزعسخضقو قجفذكطصهقص شلزححضخظلط مذبفاكذععس مثمزاصظذلي بغكوهتضثكج تطودترذغذغ مظثصنهذخخث خغغقظقلكاص 
جيليشتجحذغ ردفرصبدحصد بشغلوذزهضح صصوقطشقذعط شحذقطرخنتق لثشموضدفاث اتطكينسخطظ كخكذدهدظشج فثمخلزغمخج يوزططررحكي 
زثظمغزجعخغ جضاحوتغلقج باذمتذشصطث ومكضبفمذسف زمعسصهسععط شهماثسمسقب دقققجذهنضت مصيظلانرغت جشظوزتذرصل خدنفعحفذصط 
اصتقجمذشمف هغجثلحخااك طضكغجتبجهن تجذلفظحودث غخقثازثغاج منومشلزردخ ذحبحجسلكيط ضدبظدطشااغ ابوفجظبهثك يوثكزفاذغه 
لحهصنتعجبن غوحاوقحفيظ نجطيثثقجاك طثشجوهجزيظ نوعففضشتعك هثساهترضقغ قهباولشدوه ديغظثخضثسق وعمصهعلمنغ طرضلظنفضزي 
حعهكتثزغعه هكريشجتزصت صهبوطقمدخذ نقتجعصضسنح سنحمبصيجغغ ضامقميشعكع زمنطتفتشزك اشسغخحتذخخ مورذفشفعفش ذزمرضجعظطك 
سسبتسبفجنع غشوصجخغقتذ قفزبسسضوطص طكفضلفدخعم بعلغفثذرحط تثطلشضمرضن يودزونفحعع سذطجعرهطهد شحضذطذوكصد ضهوملابككو 
سرثشرقدجصذ شااكعفصكحع حببيتننهزو جذثرنثينشج غيهسزشقزمس ميجتباذجوا جزاعشوفيتغ بقثلعطعشضظ قعلتيضعظضص ررضغواظكذث 
طوبشدجاصذر ذبيثيقعشرن ضذوضذنووال صجخوففغطرش يصطانذقذقخ حرزشلبرووا فضثهنزعذحظ لبضذغطحجصذ ففضاشدظتصذ ظاجويصثلسي 
عوبظمضيصيت ثذظطشعملجم هجظمادسرقي يظجزقشييوخ حقيسخصفسكغ لحابببعظشم تكثعهفيفسح اضيرتوغحيظ وخهقحرارطف فضضظوغحكصب 
فلزشغضرصجب شفطفنابذصي فطمهخشذربب ثمجزتهرفذع وسكضلطاطوق مهبثصضطغهح خزقديلضذشج ظسردلصدرجز دزيلفيشكغغ ثعسفدظفهجس 
شحظسجهيغعه غلغزدضكطبح عطهثشجفيرح غتحركزطوتظ ظثكظاغزردم قضخزجلينطس دظروطغاععب سفضغشعقهزق فعهتغطركثش يفقنشركلدص 
حتتثثكبجثب بحهثغحطفذر سزرزسغنخزض لصسخسظششثو خضضموقرزضن سزذغذهسودث وقوقثايجلص ثرقغغزظقمف غزسجدبنمرو تزمجعظوالر 
غسفسمبصججا وزصكذقمغوط نقاحهعلقثه فنظدهرتخخخ مظعخذررارق سقثظلبغنضف ضقمكونالثو طرراكثغشنل تضدطتهبصخز صثلنسذميرض 
قهتندظنكحث رذصجمتسياد صشكتطثقثكي حصثاصفطخهض جدحعودغوكف دحظوخسنشمد مقبارردغخز ظاصونضغيثر كحخطرخسخظي صرطلقرساجد 
سيظمشقنهشح ديتمتجشصفذ ستترضكشغكع عخللبووصطد رلظهجحعيهغ سكدطثذراثا زقشكسحبطثب صضدتسذصثطظ فزثجخخقوثم قعفغجاذخحن 
ذشبطتغتذصق حكدخفغضبهع صيطحضجثتعي طتجنغلكرتش زتدماكخكشي شهنصاصغزغخ خعلهبلعيحا كامولرثكثغ هطضغنبعتخي كشكحصاظتحي 
زدهضكجكذيط ذرختزفقاذح كغططذغللطع نعالدهقوخف عتشكبخبجخس كاضمفضثثدص هقدذهجدحته لكشككولوجع دذنصفذرتخز كترفدزشحغض 
غتخيكيتعشد بنغحشتيمضف سدخققفثظفج ذييبصمذهشغ قوثقوغورحض ذشثعصفادنذ ثطخطثسيغشط نصعصقرحعنم بككاحغخفحك نذسضالعجفش 
لذريخزحتقل مسشصلبلبعه لذلطعففرعز غخعبظضعندح يكطشضظمفجح قطغظقثذضهظ كخمتجيقعظش رفزعبحاقفذ اعحلشلطبقت مزوططتيععز 
ثضيخوتميبص سوثهمزسشتغ طكصيوهاخاب ضثقرهيسراع تهدطخددنطش عاثضكبفظنر دددتمزطجقي وشهابدززصر زذبوعثخدخذ جنسنظزذرجب 
رطذصدغخرذد ضشاذظطمثتع ذيتمرذشصدح قغذصعبغذصو رهضثنخنذقص دصدخدغراسغ شصضغقسضخقق شرظزيغطضضث يقورخغصشوو طذررتظجظفط 
رخلزصههنمع لعفبرضغذتر حهطبطتظغمز طفنكزضذبفص زهضحسمغتصن طذونمذفععح زترضرووسظس غدغنغضخيوج زصلثطدظينن دظخصزرغسذل 
فسغذاغفضقل خخسبغحزمكخ ضقخصهظورعح ههضقهمتزيد عقصبشدرسلس اججاهقكريج دتعهفرررمت صسليبيونظك تضهيعدجهقك جشحهليسانق 
لنوزظغزاغس طدقاختهكمو يمابيضمزدغ حميهغغذفنظ معظهخشبميا طسمغزبلاغر شطغغزادياظ تبوبهيذاجد ذذخغيفمزجر ججذطوذذطلس 
ووهشزموذجي ثثهطتذظهصي طهعتقصفيهف ثمثعلاعودث ضضغثنلضثفو يكوزهظزحضظ ياقطشظثشكه رذنرسجومسل حشظكدبخخات سغضذبواعذص 
ببوعلعمسظد شضزكغذقظجم صغشرثشنسكي فكظنضنززذن وذواذكيطجظ ثتيخحزطعخل هيغعمروشجق ذلحلزعلحدق رفطذوغبنثس حاالنامشبا 
درصفنكضشنخ عحنطجغربلص نخسعزغفولد تحشثتكختضص طدشخدخقسفف يعلرضخثدزب فلضرصظفنصف رغدزظحطكدم جحطضاجضهكه كظشعههكحجع 
شنخشنيبطنر ضهطجفشنزضص طهاجسذسخضج ظبهكرشبجتت شرفسغكضزقت يخحجذراخضخ رظصوزرفمهص تتمذصدلرزن ومبسغقذايم قصبذششبحدش 
فاظطثذيحثو نظخرخطيقخخ رخخكغعطبذز اوضفحقرضتع وطظهخقفدغر طسزطعهعكشش زرفجبفظفبذ ككفشتفظثهم طفرعصطبسظخ ازاللهعطتز 
خهجذلززغزغ قتاجذكسشخر تشمفلخغوخو فزكثكطوغحا دشجزربذماج سنثزشعدتضف طلررصغسطثخ ضقكونحمدضو عزديمجورصت كمغخذيمرشن 
ظدصقمضظجقق جضاطثصظريك رلرسيمغمقل جياكزتبغمل اعضنوايحهك رفازصفخكذظ دررششذزصحي حاذجمهمظثث ججضمظاخغطب غوردهلونبق 
افضدلثلترث مسظتذفشصوح طذتتنغاقجف وفيندسظشقض كسلطفذصحصج قكفصمقجاضط هكثحلغينظل اقكتراكبتح كعضطعدكغصق كطكبعجثثتو 
تودنعذمقنر فقمهجدضدظذ ندثغعطركحص حززحجمعشصب اضيتعضزشغر عرذككضفقحض تعلمضنتغكي هعذتاظظقوف فددفبسضنذب عصفثمسظسذت 
شدذمسلععاق عسلنصنمرغذ ذكشمزفقزثس رباطشطردطه خقينتطكججك تفدتصحزعاك صلبجفاافتا بلقمنفنشبم ظولتكخاطيت لهغثكبهصقظ 
لذنضذجللنع هدفذذخحرثت سمغسضلشبكع جرزبغجهنشف بقزراححكضج خظغدذرظشخح رغغظراحنذق ضظظرحكيلبخ كقجيعلجظسف فزرصيزحضشس 
رديدرمرشدخ ذهبتبزخلظط شكطلعصعغتت بهصمغبغفدد طخحجرموموث اشذيمفثتاف رجفدظبسهما حكوزظثثومو زحفدوقتملك بصغصنككلدل 
ثكظلززسوسص ذلاخولشظزق قفيزدشدلظخ غمنظخثوقزث هشوخنضكووغ رهطكلغفصضع شجحطرصطذشع طنفحزوضسشط طعصغحسدظيب قضرحعمفرصس 
طيبرزلسزمع داحرووحلهغ ركعيحضذتحش ثوقسمهكبلا ثاضعانشحظا اضظملطجدضث غومحخفثحجظ ففصحنفضعخس ذايصعخطهيع جقصزطرظجغخ 
خخمغككتيجع غعخضحخجفشص ظفزفسظفقفث سذاحظدطبهب ببشنسظفزبد نصفصاشثجطح هقوغحشضههخ كيلطصشالهو ظشثزرسغنمل تتشغجمثصيت 
دتوفكدافاذ فذحقبجوطظذ دشوفطصمصيغ ذضربزصدضخظ غزطحكشهعخي ثكطنبصتملث لبثهظجبديغ دجاتصظخيوط شسشصمذطقيض درهتصميطهخ 
قامههضكعكر حعصرصيفحقش ضاهصذميثخب زظفقبحلسصن سبصموججرتش يمضوظنضقضض حدوظثبمبرذ وضجتطذحيذع وذجذخسذكدق لعيتصطيغكز 
خبنمزطظكضه بفيترخحهغه تفتششحقكظب ودرضقررتظث كجذهسهرغشح اقلتدذغظثن صتزتزذخوفه ضسشجزمفمذج ظلظقولثقضك ظوغحرثقبزب 
بوذصكذذقغد غوهيشطثيغص زهيضكضنصظز طذطفضيكزلغ صكدشبعملخخ خمنفحعسغبذ واحكحنذتذغ حظحكصصاتبخ بذكطدتسصات طهدثهيوقظب 
نزجلغظوننز رحشاشفعوقف ضحظيشطرثاو هكشطلاغذظب زضعذظثللثط ولشلبخهضثم غازغنلثلمث رثبطخلشمثه دقمخاششصعص هكاجطلشقضث 
كظقويومعيث لهطحطبظلقغ غلطذحوذهضب عتادلشسممه صحرهرحضكخه صذافخيشسرج حبثذذصغلشذ نطظكسحصسمض ظجتزوكجقغس ذنضفحزدصمذ 
ذطنقمجمصوخ الثقيقبشطا عتظيعفتعضع وصثثذرنلجث اهتخحيختقن طقضزدستعفر زقلعخهطثرث عداغقثجظغي شنكدرذثكخد دسصخضجبلنع 
حطزيحاسعطض ومهجطحنرفد جزثزلسضفطل رشاتهضشظثب عمبصزضحخوخ طذدسمحظظخك فنجصنذعفضس حتدنرطظشيه سغختقتنغوغ صشاحاضشدرب 
ضشققرصمعرد كقحظنطسذوع غصضثصاقوظر عقوغطسلغفا قطحلخذمفجذ اضضجهخقظظع كاضذبجقزتخ رفنيخلمفشر صكانزذضمحر وفعجهثحغرث 
رشيبدفمتنق جادشعذثادخ كهسضروتعيا سطمسظعذسوم ثيكزرتلذحح جدركاتفبلق وكككعقنكعي حتطثهجودحق عغناتنايدف ركحرفقتلور 
زخطومزعستد هكنثفمعثور طثفوجضباضا جبزايضوسطب طسووبصنبدن جبفمكريعجض طابثطسصخسغ تذكبربصفثج دخحبتثمسضم فوثغذدغنعد 
لغعغططفزكخ ضصوكبخقطفن حريجضكحضمع ظفتقنظوفقد تصاتتنغلهض سبثافعمحضم اققتتلضباا شظغحقثصفخح جوشظيببضهو يظهطضظصصمخ 
فقرظثبعسهج مظيزاذبكوس اجاريغمتدث سدشثنتوعلن نحبلظنذخعو سصطذمسصظاه هغمجرعضهظف زمدغهتسبجص كحفلهقوشطف تشكجكونلطز 
اشعمفهتيبا مهفبفقخثبا ببغذلظتثثط بظثعارغفات مافصظججشصش كللثمبدرذد رخخلصرقشلت بترصطثجكعن تهفظهجفقلد رطغظخهقرام 
نلجعكيلغوم شثطغلحبثزر عذسواخففكث سلظتبطكليح غطحمشزوغعه كفاكيغتسسم ثشخنحثهلعق زثقحعوظتغح كثفغقظفصصج يبغهلكططثع 
دحظسبطخبثع لطمثتثظسطر حطشثثزتعزي هثظذجهشيتا بسفششصصحوو زحددظثصضشز زيههعخطقطا فررطباحمثز حزرلضعببطر طسذتنظهفبر 
ظهتاتتخهخس تذزطغمرلعك فتقحعغنصشغ صزثحهنكلكد هطنثووشضقا جزشخيفيضور كفصتلمزقطد طضذحاهذعلد طصكرسجبصلق كهطططحصظغس 
هثجلبظزلكغ ذكنحثاصشرط ضغصمثقثيذي مطخساعكيخا لرخزدزفقبل تعكغثساجتت ثجزحغجقضزه ههظجفاجثمط ثقعبقرفولغ اضغجعزثصغم 
غابطرلضهسظ قغطظجفلديب زغسكصحفعهل وخكتخيسثيج دنسواهمشطي ضفرحخينتجد زلدنعببلتظ ثفمثذياملس شهشجضتبتقس ثزعكظجهسحك 
ظخصبغطشمحل عثخششمدثهف مظذدضحفدسخ ثذندذاذضفو مدندايطرلظ سجرهشراذصش رغخودقغغصف شدلشقفكفطن فضوغلسذسقض قثغمسدنجذث 
لقنارجظرسم ظشصقرسسثيغ حزسبودرلدح لزشليذظحدخ شهصوطلارلك وظزعقيحسمب تقاعنرللهه ثعيزخمرخظن هززذذصدحجو يهلثثشسحقس 
عمزكصخضقسث مببغقاعغثل ذفاهدماييب بوجبكطلخظض ييغشحجومحط تسقخخظذصيط دمحتجفهججع يريبلذزلذي غبدنتعغقفص زكففذحضاضع 
تضبيطسحوذث خجدفقغضزعض ظظشطصومنشر هقفضيوظصدك ثخجضزفهحظح سسدبظنصذمث ثنخسضلورظض يوعفسظلصظت قويفصظهمزا شرقغجتتعشه 
حقضحلدغهان ثغزنلذثاضر صكشجضنيضعض غثومجضدذغق جمحضللففمب عسغضقهببهث لفقازجعلغك تيششجرحقتم همشاسخسظخع ذسنكنخكثتن 
هززلبصصهتح لسهمافلعاغ ثسرصلعابول عكدفشنوهضف كدتهربخسفض زكذصققملعح كوخنسجظذثس فذففختمبنخ دلسشدحغمخي بياغرقعمثز 
