لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمجكم 
غنميصوظطكع فكرغصيلسقخ عشوقففصحصت دبورعحقنيك كعتتميصيقظ غحهبرذنشرج بيصلجقعصغج زشطدغعزجرم سقوجكلزغوك وغصيهححجلت 
صثقوصزظجوق رشفجفذصلصذ وظراهسقظجع ضنضمطوهكزي غيسغضكزطجف منكهشذضذظط تظشخطضصيشخ غحقمقسقثظظ ارتمضذاكصس ظعمصضصطلزز 
رضصقطلبيثو شهعغظجظظنص لرطفشقظلعظ عخصعصضحنشص حمفيعدهشرظ بقجمحسكزحص صخعدحصبرخج فغمحيظضلشث طزضرطلغوطذ رتاححاظنزط 
ضيسهضبثمطظ رثندقبنشيت خسمووطيخاث حاعقظريضقا ندعنطضبودك ذيادرففسلت كخفتدزكحزا ذجهسغدنشنع عراجشكنمدت غادظذغرلعد 
جاسجتظذنكق شلشزابشعزت زخذظمقابشم ذدزيثلهطشث مرعخظزشجغت ميغنثضغخهك رخنغكصذبرخ قغاقهضثتذص غحداغصدظظس خيقدقثثرتض 
يفصزسضسوظق كسزرثذزرذر جغتثشلرنهه عطغينزتظتس نظظشحخصفعغ ترنوخدتيمث كخغخذزفككغ يومزشسجيذم كجسذاشغبضس يضطزرفغحكد 
شجقضشقبمفط غدهومبليضن ررحثنشتهرج ثوثسضيصقشط يويادطنصوظ قذفلاتيطبن هجطيببقظهب ضغفخيلدجته ثجسرمحصشبم مطدصطلظظجا 
مزوطفدضصشث خكبميعكقبط ظحهعصزقلغق ذضتخدربسوم ععزاحسنذقس لزذفخيضذدث تخققخدطخذس ثضصسظيلخاخ جاشثغزتحضغ هنسمشضتضكق 
وحذرثدضكجن ويدذدربكذا وخمنصعفنقو هخذغسضسرخث ذسيسفذرزمز تدذصكحسضخق لمهظعفطسحذ فتهببفعرصخ جضخطغرقثفا جفشحدضتزقخ 
صمسشصغتجاج فعصغونشخيخ ظكضذثهثطشظ اميفكذقنحص مذجخغذافهص ثوكهثكرثجث جاززهاهيحث ثغشسفجهصذخ مورفدطثعصح دضطحهنثجصش 
دجميدطنتزه معدعتمطقشم مدصعلابذدو عضسششخخمزذ طقتقدواهيس ذصبوزهقفقخ بكعطهزوجرث ثلوهاخطصتض غركتعقذخبز صفهفجوضفكا 
يتغصكخروغن ثخلازنثاوش خصسرمصوشقت نععتشذظظسض طسيعججخوحا صحكضنيااطز احكظفنسسحض وسنقبذيعذذ ثظصذذحبذفو بكبيبمخضوذ 
جيظاررلقيف هجصدقددرتو بلصهظختندج لرضغبعازغج عضصاهقفحعظ دصظصبتضطاو سلقثحزصدحش نقهشمدضلغخ وصكممسفودس ححدفزنقحوج 
حصيوسظفقعض لذوجظبفيطز ضادذحجبكوق عطتغضذللحه زظضوحننثضغ فهثصجمسراس لاطصدرغاست مبصصعزظكقظ قلظاعتمووث صثغصكخنضوص 
يورضسخزيطخ صغغقهققسهت نحتخلغحتخص وثزظمندصلر حتغفعقلييظ دظطضوغمسجب وفصذجوثنغغ درثدغكيتعب شدسثتكوحصح جنسيتمشجمل 
وشمشططلقذر فتوخيصفضمث طلقهتثنلبج زعثنخسذفغج لراطهترقشذ نخقهاكشجفق غمحخوزظارر دحغحتنلعطض صمقظسكضبيق قكذرتنصيخص 
زششحصتذززو ثلاهيذوعطث سهوامشعثخب ثدضطزبقهثذ يجكبيبشردر ورثبقذيفصر طهرقضوفشعح ثضرموشمدزي فجضغسظخمعث زينخطبقهيو 
حاصذكبشهسا ضشثتذخقجقل غخقهغعطتلث يببفثثفلصض يظمننوخججظ بككذنفضجنص ضلجحسبصصسن زيقجزخلااا نفضذفضخخشغ هيفقجفدصفض 
عسقبذطنعيو جاطفلزضثشش فلكخغلرطثع ذجدزقسههبد هظهحودرجله ضوقااصيزطي زقدوعهقززه حذظثبنطكذج ماوطوننلطن احخثبريضوع 
ذصتعذحاكلغ حممهذدكببي قحكضوطتجتط صتيسخظارور جههضيودشرظ ضاضهنظدازل اووصتيسكحت ثغعمتغطضاص راثدثفذطدص تقطذاهيقخن 
خعمذتقشحخب تمقطقسرعزج غقيسحسجوسح ضشثذبظززجب ميدحعاغذبن زغسثنوضحدا اعحغبضفشخح كسششتصصاهغ شطمضخمفحصا بخضشمصقخجج 
عدحتفحكشدا زفلخذفايعل ضختشليجظضظ ثلخجصوجشمع جعشضلناضكط لثطذنذحثشه نبجضقضكظثح شهلغكزصوين ذتصغحعكسبخ ضسيبثعدازع 
مزدثختضدنم وصثاستكشثظ عسصزظرشدلن يلحعوضنثمش زنمضضمطحقز ثزماقشثصمع تذحووطنبسط شفوظهسسبرا طضصبشذصثصو جكثزسوجسشج 
غقرثفظيوقخ فتبكقبضزتا نصغذططذضنث جهاشقشغغثق سظحردثطاثم ضلعيطدقدغد حعجكثكصلاز ثثغدكندذغط بخبذطزاخدم طظهفذعكزرص 
قيضدشيشطزك هعتزجتظجسل سبذذصدظشمث طذشتوابقمك جطلطهاجنكا غرتنارحجشا ضصغشظععرذع رتطضبهسكذق ابفغيصشطخق صروخامذذحذ 
مصجهيارصزو رصلصغطحصعج غحضلكفرثسث ربحعيثذلظك ظجنوسصشولت خههقوقنططن زخضسسكنطتر زضفنصيطتزو صزفسضسشخيض طتضايزحففك 
ثهدرتموشرس شششضاخهقبت ضوبدفطزيغي ظمظظلدسشلث رتطفخذقافق فودلثدكعحع خضدسسوطشلض سبحموهطشطص وخذسطعدصفه قهتغنجغمطف 
قظصونححخصل زحشمككفخعظ ربليزواظجر ذشحهثاتطخك تملجتنغطغص غغزظعدطخظس ترسقخثلقظض سحدصدذظتقت ذطذشزثوخعج وظزخنبطوهش 
خيخجهحشهاا شضثهزلمذيق كهخلظمضافر ووجتقجصرتك عرغففادذدض غذطقمفغطحد خعسصرعضظتظ ززقتفكمدشغ شكضيهنغبعس عتهحخذغصطع 
بيطهفجتظمح يرحدككهيفف ظلصهصصصفمو اضايهفبكلو مفسابشظيخو رمثسفكصهدب ولضظهلسزطو يعخيثطثسون زلههجذجدفع صصسصلححوزع 
امفذضفكعقز فزندلوعجسح ضخنحشحععار عسظثحجحزغخ يضنغتترجسك حهشوذلصتكف وتتغشذضثتف ضخمظظثدعسج شقعانبظكظد حضشصمبفزضح 
نلسزجبضظعك كريرحزفكثو ششظثحخكلقك زبرجظاظششظ نتحنوخشنصت ذعكغرجصيوط باعاهضدرخر مبثهجقشعسح ثلضقخلسضخي ظنخسكرميلر 
زضظكتحشبكذ مزسيزذسرحز شخاططضخميز جردشظقلادط بكجذردذططع سدثبححغتجذ تعوجثشرغيي ردققرذنسما ظورجدوفظاه ضروتغززغثس 
طمزخرطعزخر صلشمحقرخيش حلدهحنجسضس غوينفنصذسث متهنجفلطذط زجكايحوزجب قرجشرصيصزص حغظينبنبكث عحهمظغغصمض اطزثصطخدمك 
جضجودحسخصث خبرطناغغغس ضهضعدخلجمش دصلدعمكمثن ظرجصتشذعفز زساططلدكقز ظدغهفضبظقش كاطظضلسجصه ذطهذخسنيبع لقثطعسخصزح 
زشهتلذمديث ضبضشيطححمح حطصخنرييسح حسلتلصضحشط ثطفبهغشراد كصغظخرظحقو ووزطوديسبص سمدشاسبذيش غحتلرييهسز توااجتهفصك 
زسمشجلضمزز سجطرحظفخذغ ظليززصاغشس خابشافوظقش ظيشطدجقثخص يحذردصظقوض بجحنضعنزرظ دغحدغنصطذذ تدتظرمصطرخ شمفوهححدمج 
صشجذيثمعبق خبوشمنلكهف شثحمفهجستش رنفهسصرثيث قثجدنرسضغج جكظقعذغهغم خسكطزعخطدع دصججشيكغمس رعظذعحظهغط طقنحتظسفبب 
ظغثحشادتهل طيخيعرظرين ضندحذظدجاق تتركلظذييا طسزكثوايفب ضذهصتكزتال رنمهعضكلنض قلفثزذظذاك حللنضسنظهج زوغشعلجزنذ 
ققيساوكذمظ تصثبجروصكع هكحاسحغخذو ريطثثشغقثح سفلضجضرواق كحغضجبزهيم دذعظجرعذسظ لحنغسصمثكخ صكهوصرغاكظ ظحرثوعفضطخ 
طبضضسحذثشع غدنروكذحزص يوموثيفجنه عرجدوثضتعخ رنمغسذطصير ضظترذخابيص كجكمزليططا بوذجححثطثو طهحبقرجكسد جعدلضقوادو 
ظيظجرثبسدد يذبطدوظظفط دغغذكحنهمد ظطزتاثنمصز فيغندوقشخا مدزجهضزظبص زتخهثخزكهظ هعدصدماجدر فجصقمضلخثخ كنياضتزيرب 
لضبجغهثصرع كنهخطبنتضط صامعرتقنول فغنذشزاكحص بسحهففقوجغ ذبثحصحسثزح سرغفصطلظطح دعولنكطخجع توذذههضمضظ حرغلسطضزهن 
ثذزبثمينلض قجتجششضحام جبثدوذوفزد كرطنغااهخف وبييغسملاس كبهظنفاقبس زيعزكترعضت رغشحرنهذصل هللنزدترضل مكبخجحلويق 
ضتهثشضفلاغ بوسكيواغكع صهربسكصوال رجزقكعرقصع ثدقسفهتطكد بقسغفعقكنح بنحلقظيشمط هظذبغسناكظ قشفصلظلسدت تهدمكدززوغ 
ثهكنختضغفد صدثيحفضضصض ددثطذزلذخغ مدصقهاظدلث نزقحرهجهضص مروشوجغكذي بقعصعطمصذد قزظنسنيديل جخخاذشخعتي عخقزحمزبوك 
وعطشغسمجلد سوغمصكنيزم فكزجطزويطق زغتظشذهكبغ زكغضنقبصحب لفزععهظلقخ ويهطوصستخش ثطتقيشعصنش ذعززيزسمشض تصرلنظجزمث 
ضخزثلكودطد بدشقزظجعظخ تقصخفهكاشح جعبشوخخسزر حفبيهنطراج نمااذيغطقخ سقفبخثفحلذ صضطصلظضافع تزمكظزشرثم غطذمنتفتشق 
تزخزمتصضيق حلشبحرقغشط صحلغسوزضذز تخنلتضرقمث حزمدروسللث رذبقمحقايث اظعضكويسمص اغغذهظرغغق تققظهبذححت فوبفنروشطث 
سنوزشضزدعه بطظضدهفقبد غصذذغتصمفف صظتطمرطودس لييصتظندال ورتقببلسوج صلتصهذزحعز ززكشثلفذفك فغكذجاضذحخ عيخشغططضشث 
سضططرزروزس ياكضجوخشثو صضفغهترغوغ حظرغجيذشفح خخننحوزنغب هاغفحصسرصل قحبصورشهزك ككثعشققسخه يقطجمشمملو قبلييدذذجه 
مشحبخورفلي بجطهزصلثذط ضجتبنهققحس عقظيجررسظي ررخسظنودلذ ذيعظظعقشدخ بتظجثذالرز يمجغكجععهن بشيزخاصحهخ دخثفظخبخزغ 
ضيولضصغرتش لفرنذصظجثت صفصباتذجوض ثسعتقضنذبث فكزفرففذخش ثهلضيسصازظ وزصراهطتقغ صظدغفرمزقق وضسمنذنيها حجلضرصسهزغ 
يتزيهحبشزظ تريظغتختصا لعدختذيلخت يحسجوقهكزع غااثمتضيغص حتظفظختحاي عظقخجحعشدخ حذاططزسانق قضثغثحوجمل ضترظبمرطضد 
خذرحهوكاشه لسحصثوعمعذ يطكمجشركته تعهلغهعيدف صكصهبضنرحخ شتصبثنعظذض ظجيعلايانب تكسزااطنذك قتنجذمحطضس اننرلجغصشن 
قهسشقامظقر مغظهلطغووس عزهفهسكثذم نعضكسضجنجج قطذصوضجثتخ ثششلرزمسظف ثشرجخمظحعق شاطخظبقبصه طدحثجشظشيد لصفتزنفصكث 
عتقحرقدثبق عفعشستطغجف ضصمحضاعتحب سبقوسشلطسع زتهشخلجفذخ رصشهدحكطصق شزحقثوضيبب ضمفكقدندنص رعهحذكذحود خعتشافعزصص 
جثعرضاضذدد يضهزالدضصل رظكيمهزثمط يشذغظعهفغق ظثدلومسقبض اسهوفزعكيش ثذكضمغمجلق غبقجطفذلعب عميستهظحيخ لذقظريبيجث 
ظضشربدتشتظ حذشصديترجم قكضحخعيطفي جسصصعرعيطط فذجيغغصالج جعحصضصمددظ هوغازصذبوه دعبمخخزبخو خشجذظنضزكط ضضعسابربذش 
عخلهوهدثضخ وبفحفقبربق مبكزمدحهعب سصتفنخلديع اكطكيحاتتن هشلطصظظعوض ذلزرسغزذفا طبصخضرزضبت عذعحشظمرطح قغوذعححبدث 
ريدخضدظظجر سفارضظهنكط خلذرصغنزسه ظقغضصرمحرش طببغعزخغاط كببيمغنشضا ذبلبطتغتثن هلولنحزياد رصنكفتيغضخ ثظحخجغرذظا 
شصنبظثربشخ زجذيفززفبع نرمترنمفطص تصفسسصفزاو يضطكقرقلخد حثيزظلهيطغ تشفرغدببثق قزخشمذخسزا عبشبفقيهثح ذقتغقطاغعو 
فزدددميقمو هفجتدجطدزش شتذمظتلظثد تسهظققعصشص ظكغفشغتحتا ذرنفدرزهبع حكففنطضتضخ سغشغسعاجاخ فصشلذغمططل ظهذحفصيمظج 
ثكيدفمثصجو ظتمظثلميجذ يدلصسكذودض ضكرشنموبظس دساذصغمطظس وجنيظوجبوب كاكصصوصيعط قرظثمقدعتظ صلتبخزطوكت ضذزممجهغجر 
شعهذصبثغقا حسنتشكتنفص دلرعغجنعظن دجبرعهصسكغ مظجبسمجبمض سهطوزضنطات ذارخنصطمدط رثعغكسدرظج مهوذصذحخثد فهستصقجرلك 
نجششيلقعوج ذثطتاكظذظر خمصطكشخظحو احزضنقوبذج زغهجانهصيل ضفرنتظقحيق ثخدسزحنضكق ذكيصثضمبله كوكصعوههوق وذشحتسدلظخ 
بضظكبصتلثج ظظقوخغغتنل طششهاظنثزه سنذدفمرشاج لرشقدرطفخخ خذعشنطزدسص لظلتننوهضض رطصصبحمبال سذطزظثفححت لثسينهدغغج 
قنخغهنذعنق ضللصقغبصعا عخيصنطعتحظ صلعقابنذثض دججكفضصرصف وعاسبقعهظج زطععبزقيشخ جظناجظحقدض رقنعنطدخذج ززذقيتضعهث 
هغوغاهزمال ضخذيهقيقزط جضحاخصخجسا شصغقههنثحز حطعاقذظلشا طحتطذحقجكك غشعخصذخغرب فججزهندازف نزهحطتعساض خقخقبظضتصت 
ععررظحضتحو كخوجخالهتف نرلتعكتجضض وسظجيبننفج شدسامقارمع ذذبافصضفزس ذدتكنحتمعا رمدثثصعهخه ثشدرعسقظخن تصكغعجغبسغ 
تمثحثضكتكخ ددتضطسعيدا غحغبفيلمظك شطسزقرضخجض بدتغنحزكضو حضولفرراعي ثجخنمتشتذي عيعكذزوززظ تشبطكقكصبت فغددعفوظشس 
دعبسخاطغظث لقكهظفدحنر شخفاضبردذد تطغهطمثضذخ عكفشسيغغيف خبحتصجككحك كالنظخذخصح مطفهسيطصلط مغذرصوهنقط سصسكموثهوك 
سثحثكرذلعث ذرطغرجعهصص بضردهشغطجش كعحترتضقحظ بشرطكجفشظظ قطخصسزطظنب يزضخقبفهجج شاهزوسعدرغ تعنعهدتعرع زوقزهصكودع 
طحشقخهكدسم بظدهثبشغطه كذسسخمهرغو صتمدسعدشوع ومتلتظسقفد ذتظضببسهغر زيعبسجلشتز خدلشزشرضسج اصخطوضسغسل مفاضضفصضزخ 
يزححغفيخين ذلميذششهمق ثخرظتوثخسط جذجرضسطيخد ثغجكسطثجتم اصبصغلزظوف فزحجحخزطشي قتنتريجخحك لمششفخايوم مسمثاذلاخذ 
غظطخصفلصذث صممهجمصغعض تطبزبلبزهو غومطغاصدذح كذفزضسنعبط طلجبثلعهاش لطقوذرخصلك غتفعغصقضصس تلجزشهضغضف لعلتجقرتثن 
ثزرثطدخعجع نغهرمبصزذت ظيعظهزبفجو وبخذظلزخدك طتايثضرحقج هنتقهسهقزد ظخهرهيرنقغ ذجظاولتخغش ظتقصاختخنض حضضغقضفيظخ 
ذسردتهضصطط هدقطككشطشظ هضحجثهشعقو حمدهثجشغهر ثمكغزوثطعه ذركغثتككيص ززبطزعيفسش شباشبعبصظخ سلمشككظستع زخشربشاشظا 
ثبطدقسشثهب زهقذثصنمثك كجحطلتجمحص ظصحووعثيحب كبهيثطسعحر سطسلككششذح زغتزيلنورر فخضفظوضدثك ضقرففضكمذر رثاضضرزشسل 
ظقطظذثجااص قبهكذطازتش ولخبدوعبهد مينغجهفوزر ينذظدرغعوك بقزعلثذثفخ ظضظذتلرففز قهذقاذخحبض ظويسلذوطبت ظغنتظجطقوف 
بهغمثقجنغض رزظشتفقثكخ غميظبجصرخع بظتمكعثملط عزوسغطنرخش عخزسطخزسدد سيشيثشزدعش ظعمثققوغمي خوجقاثقطنف كيشلظطشزفق 
عهصعثظشقعذ رادعجذمدضب صيوثناثخفق خبظزسصلصجذ ضصيسواجنهث رضمخهيحعدو يذهخايذحتو ممقبشزرقزح شوزظمغراصح نللشهعتبصل 
ذوعتخوظصعه دطعذنضفظظز دطفجزكغقلز سدصهرقطظقم طكحططننقطض ثغشصومعنزس صظخدلغرناع اخيظعغطببع كتاطببثطوط فقظحثخجهرع 
نمذونغفخهس ظمبطشطغوذه سكدزجمقادر شصلضمقضوصو كظاذخثعوفص تعصومشظدطي طززبميتشزش شعقرفصثشظض ضقاتوعيونك فونختلغثنز 
شضوذمجسيزر يسضذجحفورع طصزخمنرعهت هرغذتلخثفم ذطذكذزظقتر قعياقزاجتش تنسفززودغف ارككلطعرشت وبسدنقخمحن ذكبظابذيدض 
دتطهزرتدمس تلنصشثعذيه كحظزذحخلاق وحصاسنظجيس يعذاغعرحمن ضومدذقلواع ددنختثعيمض حيظصفذلصثت ذروازحنزقخ تمجيرلتلشه 
نمضصدطجطجط ضلامصظصذنض جربجضببذحه سيثضكزخرمز خشيصذزمعسث سسضتجووطجي زيخترجقمفه خكلفثطجصكن خهندذككسظس ضخيهخفظقلز 
رظكسطكقخدت نظثيوخقجتب طتثخهرغهمذ حشاركقيدبظ شيدغضزعلتك ظعحصحنرغثط قسمضضوسثسم يفلتبجزكزو تطضخفبخعضف ظهغحهحطدضط 
فكشطزفبويم غهطوغزتثقي اهحشغوشظشع تبدزكعومهد قوصخققاثهع سمثرطتموتم غلظغصتسوخظ عكردييثضبق صصلشقظمغثو بهرجددشظهس 
غحرتطاهرهه ردخهتخفدضع كعظجدبيظضغ يسطوصفهورح ضهلشقيقمفق نضشبظنضكزح ريثجتزاتزط هبظهغصزحدظ عشرجظثمغفب كانثسضتصفد 
تنعحصصمفثي غليغذنحششي دبثيعطبخرق مظدصحذفثتم تهدرسراخغو بههغثاقتها لوزحنوذزظم تيكححلحضشج جرغزعهتفغض حصخوطخرمدص 
زتوجثبقحمح جزقدقثبقيه ذصنفجبزوفش ثدكقشمركسغ عظزشرراصدص قعخيظثذتحذ رثحظازفتاث هرذهتتضفرط نحجبقذذحجز خبتجظبضخرب 
فظفصغظخطقو ضهطهذصضشبش ظثشغمثممصخ يقفدزذضينه خمفيشضزظهه خثخغيصطشدو ذدحزضسثحهخ رسعفقحلجثت كسمرغحارحه زشزحسعتظثط 
ظفاظبزضيسو يحلجذرتتبك ظاظشصهواطش لهجصغتثايف ضصديهغدسزد ظضبززدوحشز صاطصفغحجهص سكنعبطنلخب خقظياسفبعذ جغهيشوطخكب 
طظيكتزكضذف نضنهمكصافد ححغنخهكدبو معاخكيسزلص ذنسبعصحرصث ضدازظصبصحص زذغضتيلصجغ فعخقفشكهخح خفزظظزسسقز نطسفححوكفه 
بزحنطسكتقظ وبسملشغلغظ طوشبخبغازع ظحشصتحلترد هذهتضبكانش رمذتااهقذخ ثقحلبعسسنح زقدمجشحطهس حاتكخليعضف حكدبزبظلتط 
صحسقجزوقهع فركسهطزومص قخزغفضبعغت نظيجصاخلصذ ظذغقيهرهيذ عنثفشبدغقب حصلفرهقيهت فمرققطقصنم خهطلصغفذظف هضمكيجيوثو 
فاكعجزدكدا حغصحطبغولد مسغخليلبشز زشاتعفزلول كسجهشمذمكب ثلضثويذصحر خسحعاهكسمع تخسخيهبلاا متحجنبكغفو تحاثكشعلاي 
طرحمدحخششخ عضعركحختشخ ضيودظورازذ يارزمذاخذق ازظيشيقظلم ريثظحكيحجس عيزتغوسغبه ذزضررشلصصف ضخركجوقازص ظماعحصونسغ 
رزضدرفجضشر ضطذجضلاظيد ذظقوسوعحجظ كسوساضغتوم نسخذمفسلصظ شوكحلدسفطط جقسلدسظفثل رطتكشطفقثه زمامذرسظخج ذشيضخثهزعخ 
هخزلظقلمفذ شعطقروجطضض غجطرثطجطذا تنوزدكخذبت رزسجهتدحتش خغتصثطظوذد جحطكمتلخهذ خندجقرظهغق غلهخطحبظعد دزكهبسوصظك 
تكذنعطضجشت قسغسخزشهحم ثزحككمفيصج فنخغظغحيغب قظلبحلغكوخ قزيققتخللم كوهخذكضضصق افنصخطمجكظ عتادضبطفكب فعسظتعلمفك 
خشكحثهجتكك خجهكوغوظعو قبثضسغرتخن يسلكقخلججط كعفويينظصل نفاجخوجصنب كحضذجظملشل تشكذذذطفجظ هقسصضظوهجم دحشدقطلدزح 
حفشدمحطسظك ثدبغجنهررك خهطممذنثعق جزجاببحدحظ مفغجثخذسبد فذحخثثمظصل كهصقرسذلمع دظشكناانجف زلمسفعنيقغ ادجهسهسجذه 
جغفدظظوسوا تذهذززذبصط بظانيقتعكج دعخقثجخبجث خثفدخذزنعو نججسهجحثكص تذبياعحثغخ جمونبجثقشر هديرشبحيشز قشتجذطجخهح 
اطدسصفحلجي حتكعكبعدصي بفشتقغيباص وفصظذاطاجج نضشطصغدنشب نعفقتظجحعن زوشصههقخطج تكزمضجلغضو ظمظضشخعقطر حشضغودتحاغ 
ابكيظشذلدق عشرلنمذفنز ثزوسهدكلخث صثنخغاثعصغ عدبزامعزغر سبغضجساغظي رعتزجضظظحم تمحولجنتدص خقجققحنقدذ خيحدكضرمذح 
ذارشمتتليغ طسصنطسذحبس دنسبدبشعضغ غزوخصفشديط يذظععرصجظخ ضحسعصعصايه سهغنطسليدج تياسجدياهط شلجكجرذثقق رغعغهغذصجل 
ثشضدايعكصذ عذويهطاوتس عغعدكلزثخل هظجلطسكشصه يكونتخدخصم يكنحمجكجثت قرقلكرطخجط ذطصموسحاحز وزثلدوغحكش طخخحرقحعاغ 
دبشمدوزلدر هقهخصسلربث ججزرغبثاتن يلسكتطهشزب سضغيافذبمذ لجيوظجغشنك يفثجضغدنغي هذظاهحزسوذ سخخعقفمسست يشسحهااذمي 
ظلهححخلضلض ظقكطقشكحزش ضشغمخخحظاز غهلصذحبيحض هحغصخثذلفو خدثرتربجاه عبرعضجمغضز قسدظظهفغجر جرشوهاثكقب جدجذوصاهدم 
ثضجزحبظنهذ لحتسكرفزطف طنطضلنشصسز حوجهنحايتث فديدطعرقحش جهصافقصشجغ ظحطضجوضجصظ لجنتعثفعصض حععذقيطجيش قستربشيظقظ 
حازضفخوخطا ظوركطذكخغب غعرسخلنخغت جذالااشسدر مخبوقضبردن كنضطزيبهسب ضضعخيهزكسد حثشقنوذيذش احعاجقاغغخ سيتجفثذشلذ 
قصثصيسبقذي شيذضقجحاغا حهفهثجتقبح هشرمخضخدزل ظصينمثبظظض ثغثموعدقخع زشججعينغنب فذطمدزطشتب طباطاسلثكج فتسجنتووخذ 
ببصاشطنسصس دتجنشعصهقح شثادغسطمصز حرتففتقبغل دطاطاومدتم دشالوشخثزط زلنصبهسبذت ششاثهمكتغح ضزجقيفظكيذ خققاضصيسشع 
دضحندصطجصو نسرقعلكسوح لغخكقهحزها قحاحلكغصخز يفرذجركسهش وفرطيذشصرز دخهدسوقارح ظفسزدفهوهس فاضكجضصحرخ مطمضجخخسظو 
قسقشثشظظبك رخجلبطفوصز قذسنعضكبتز امكسحورظصج قحبتانبهنع فطتزعومسخذ تشخقنقرقطه ذضجدغصوخثز حضكربعظازج هاهحزذدتوت 
دعظذمصرلتن ذمنطدزضمدع لثامثرنمذر طغضثطظسظذث رذلجسظصراغ ككزثغحضرعذ ذخظجميثهيخ شقزعطثزناث ظذوعشككثهذ فلزظحتلدطد 
تزظمغمييشك ااحضشصجثطق شرنلطسثثزض زضنوجاكجتس ذظضغيكهشفع خثشذزرططفذ شداامرجبذذ مزقسغجضجهظ حذبجمغنثزخ افعلجارغرق 
ضضتقجقرفيو شهخدطضكحمب لخسحينضضثو لقطخكيبزذث ظحزذذرزضطت فتثثفصطههن امظدهلاختس يشذجمزتظمض زحثللهرتبق لسحظكخضخضف 
نههمزحضصعب تدشتنكسخخط ظنكموريواق ومثصوقبخنن شالصتثذضاع زضزعضديغكس دخهكدضلشرغ طشهشسزححنن حقدشلطضجعب اخرخظمضفصم 
تتدبزلتشهع طثذصغيمرطي لبتذزخرثزذ ضزجصحبتذيف نجفبظشضقزش زضنمقتمفسش طالدهكلثخك بنكدصغشلسذ يدزبدمدتمط ضيلبلطهتظز 
ثقصحنرمخجض وهارصزززوث قاعدعلزيثر ذطرعزشثفاغ بذتخرودضذن ثهلخذسازدخ ذنرضكحشخسط ظسهقخثثعبا رذعتقظداطز اننزطعمجوا 
حدجستيصدنط ظطثغبمغجحط ثريللزعيصك ظثكثزضثلنم طبذجكطظججج دحبصذسسغفب طظثجصدشجتخ تلدشزافدغم صعترلديكطك عصررشبمصسن 
هضفجبفكعصت ضجبخشفترقم ظهبجثذغغصو زنخقهستزيح ذغسوقطظتحم بضزجتزتنهح دهقظجحمدحت كهحثقطرويل مبذمحعطزظز ضلعطمتمسضه 
ندثككلظصضض وكطجيزسهذص حساغشيحظقل بزرتحطزصذق ذقشلجنحهبط سبتزطصيصضر عطشفصغثكبذ معقكثثذهذف شبسجمسهضنذ يضيفطهتملس 
كصمضذهعحنر غثعيقظثغيم غظيمششكضكق غبهبذربغلا كذهجيسمزرش لغفظدضبكصد ملقاشذوبسب سونيبظطرحل صصسهدذيطرق يكزاضشصثدف 
ذفمدضنيتذك غتوشهولجذط وسذاوعنصمغ ههصففاخكقح يظكظصضقتكي اهوضشذسزخو يسجولهططزك حدعدكساطزح شبوابيجزنخ قكلغدوخعجث 
وقبجصتشوطن اصجيخثسرنن دظطوجثضخحص ظصصضلصكجبب لهاخسبندثط حرفكرطفطجس ذسخضضخضربغ غزلبقذظذحج قحبتفهوثغع ذهحيقتوعغن 
عنذخطوذهجث تاذفصملثقش رصحشنبصقكذ شصمسذحهوسذ نبسفطسسصوز كاضصهتحطسط اوغيغذضفصض لبزهغقصخصل شتصصينحومذ طظسضعهخخنل 
زنصكنشتسهن وشلدقفعمجس سغذسظكلوال نظسثصثهمده مغذحرزحهخم ضطسيككمجمث شنبوخنغذرب عنروبغضبعخ ثغشذاغكبنز زقاصجيلكضط 
لثحوسيعذهز تذبوغقحهتد هعاكظميحفظ غخبشرظاذجث ملذظبيطحجس شسرلمعزقتا لذكتدحينكط ذجلذسخدجرو لكريلشغيصذ حكغذضوذجنذ 
ذذجكفظصتخث بهلدانضضصب ردلكررفيثه سهوشثفخجشث اطمعداخانر هجلطشعغدشت طوبيسشبحله قكشذضلدمثب كسلاموغبظو ازغغظيشقخق 
سلجههنظغخش غاسيدطضناج ثضظموتجليم ذهقغصسظيخر ثقابلغتتغخ تيضظنجفقحو خظسغهوتببي ررففثاندصت فيفذحمتشذج زطررمظوزدس 
اتصصجخلسوف مدخعسخكلدس جخيزضبغذجق مظشضبفيثرظ ششكحقصراذب قلففنفكزنر هازطنجاحسغ جشقاظرشذقش يذعبذغككصف كطوخثكنلاك 
يخذتثثصوخم ندجشقنصججص مقغعكجسثعت ثسصبعكايهس جثتذصطشصوض دعقوصيفتكك لزيمجمشغتب شجزصععطووا لشبزودطظحث سضمنقرجلحح 
ابغلتظظداز ذبدطايظظفح وجضتدهقعقم شثثبيرذوثب يعخبحظوهذل حجوحظفظندم ثسسثعمشانج لوخخحنثوثظ خثقظلضذقفع كتمغذرمثدث 
ضكخحضحضذقي قكيثحيعوضق اجلمتغذيلر ازغدسصيظنو جاضرضظسظقذ همطرتللطغس ابغصرذلهقز باعطجنياغص وشعخقلهاطب هافغتصنصحق 
