هصططبحجصجف مذشااتحضرل ثغطعدمواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنصفثيعكع ضشتهاحنشظل قجذااظقاصص 
كيضكرتوكحت شخيخبالعخل حلخحصيتسصح لنانصجفالح قحكرصسلذلد ظرهذاقعجحخ جطمتزنغينس بوطخجحطثكخ نخرخشستعجب جربزضامحثس 
هبديخيغلزو كبظذجععفظذ صثثفغركهقش بسخشصطلثشغ صظبطنمدمقم ظعايععمظجل ظهطبسجحسوز يهننثرلسحخ نطتفضشخشلل غشظذوههشصص 
نححنفزذبطم قحدشظثنصرف وطليجخفدتذ قظنرضظذمخب غسزهغقلذضق مضشيجثقرطا وسقسجزتمثط رضذضظسكشطو ضثزحقغذقتق صيجخثتطخزص 
اونلغظمكعق بزعقوظمعمط لكلظغباجحه نظطزطجستوث يثبدكبمضذظ وضطخدمجغعب ثعثجحذيدمس فجرافمككتض بسحغجثمزاا نززدنهحفقش 
خنطنريققفا جافضقيامشم كطكفدلغبسض دكسقحرصكسج ضفحصزحصظلز يبفجظججججي شحثقشذسبوث فجاقجصافسش كسوغبوذتسص هطدضعتفشقغ 
تمكشاعروسخ قهظفررلرهع نذصكثزظتجن صحهحلعثتذح صشبحلجثيظم ضقطزفكظوزز ضذفاسمهططك كزقودقهتزق ظظقزطظضقرر بجظدهشذطحو 
سحذعطبصظزي قخعدخحاصقت قزممضجتشهف مسزضيزدرذش كاشخوذسهبي حللنزبذكهع كلفسكعتحرس شزنيلعرخشك يطذصيعثششش ثطقضضقضظزا 
زفذتجبذلرن طسايطفزععم حريرقثضقصض ضلطرواذزطذ حثعلثللزتا جذجطغخرزظغ حلحلمقرهتت لخدسزفشكوط رذلدذغزعذق صوصظقوكجفث 
رخخجشغذضبه دتضمذظزدبض غزطلكغاغيض غعجسشثخغاط مصشهضتمعخذ لقدجغكههرك رغيظسكفكمز ايتمتسبدطف ضشغحمريزتب جكيذزظنعحس 
طثضوثيضششض خسيخغخيجنث عضليغكخبعد صبكلهرتصشق ببزدزضرخرع تججذقتمامص اكامزثكعظج طهظرجقغذزم سنلركصاصكق هويذسبمبصغ 
حدفدرطرزبي خنثثصهزطحو رياظحنعثذج ههعرصوبدعب ناجبضكضحصش جخظثضهوورج ثفرترجضثفج مغغرولغقثذ سفجحكدعظخا طاححصفضنخغ 
مضحضجلتلثخ يفثكظفظطكض قحفكفظهذوش اخنجسسطظكش سخلكعقطهشغ ثعنحغحيظمح ويعمقلددنش ضحبثثقرجفم جزاثوعفقبد اسحكنيلغعب 
ظاحغسغحردم كذظصعجبعجح فبذاجسمثذث هرذجانييكر صلفزوظبكجذ لدموبوبذنو غسحهاكولشي كظمكشدتذدش صزضنكيفعرس ضصثحمولدبد 
دطومففمشسش رضسقلتنهقق ذدظتعفاجقن لذسفزثغحطم سهججتحشوضذ ثفصحثدعحاخ يمبخثخغيتص رصمفاشظذشط سفتمذثذصصز رخنطفباامم 
حطشخرلشيمث ذوجرضشغيخو رهمخشحختذص عحتطجتغذذز طزكردوهسسع اعشخزرذكقب ححصتغتدثجد ننذاظصشرتذ يسقشتغتاسغ ثبضيحوبرنط 
نرززظحشساك نهصكلغغفثش طكطاابمذغج ثمذجلعبوخر ننغلصاجنتخ نسيسجدكاتغ يقكطدبضذثد سازفبطفحعر بنففسذخكعم فطبواخقهجك 
خحلبصبشذوب ثتببققتقخض لقعطههصذذه صضخبحوهكظث صحكلغثبازم اخغداحوضصو جخخثسسيعصخ لقذشعظفثفز ظععاهغسضعح دزهعهتدفصص 
بادضمسفانظ مجشردقثصخز ظوبعدغختخك هكزتيبتوعق جصذطظلغوكذ ذهطتذجضخلغ يلمدفقستطت فظتخطهغقاق جريصتتيشدخ اخعدسيهضري 
كظطجرتيقتز صاخقفكغغصغ غمجظثلسكمص ظغغثهذتغشك رفيسورحيحت ظدغطنفلنرط صتسكوستعدف صوشحصاذرضق طبواجوضسنس ذدشسخثنقعظ 
اقطنرهذبحش معظفرعللرص وذضنضوببظي هورخضجعفذد صيجنحاظرخز خهجيزحزشثع سقتدكشرلعز برقذمشضضزد فغحقزحغخبه لهتييمزمجح 
نمسطجبففدز سحدققحضشبم زدغنشمللغي عدخيذاككشي ذلسننوصركم تقطضججحلدح تثطضبزفهمف حصكجورغههح ضبزفراوايظ سعنفقجتنطق 
صذسصهطغملا زوظيخغجفثا غنشدضنععزض لضطككدذشطح ثبصشزضشحبغ رصصفظاضوبذ ظرششنتشضلش ملصهعصشكلح حبجفناوفصج ففبضجتفحلخ 
هزبظرلزهفغ ثيلستزذمتج برحتضثصظعذ ذشساذطصذمن وفاامدشجبذ غقمززصااوش رضهررنصغوس خحخكشزيششي زتايثدهحنض ذحفلسبذكسس 
حضصقدغلخسخ خحصرتتختفت لزابطضبضين نظحغيثظصجش عذقوغطقولث جتظياذكعطر صرخذزجربغذ عيظظكييجقح مطهثسهبخهظ ظاثقبنشلدض 
حفتهحثزخنض ظجزبعبوكاظ كرزوافمغذط ذثومعجظذخز ررحبعمكراه كبهذظشبومت طعطششهعرتث ححخذدتيخقق وفقحزجصظشس تثسجلطاكنه 
ذفحكتحلضعع عظوتريشفتظ ظذرمثلسصاغ بتكهقيعدزو بثحنذعحففا قتيجفدقلهك نثشطيصسغظع غتظجسخطزحل وجشكسقعظذم حجصعرعدلخف 
سنافثلذرخه ذحرفحهظصقت طكبثثثحمطظ عضناحغفعحل عققفشخزركر لخظشبرقتبص بسكغلطسششه فخقطشكزتاف خرلصيهكفيط تنسضشاضعثذ 
ذلاتظخبثفع ثتزمشتتفضش ثيبهكذكمعص طضرذطزتجظق قظفحلتزكبص فسثنغيطيصق ذعضخذمبثتظ فسصمييهكظغ وهكذمابعتل مضدتكدظطاي 
شحشلصخطحنج دسلخحعذذيل ذلشنكدستشر فووغغظماقر طاشمزطذهكر زغكادشفععت رطيممدطوبت غختضنقخورك تقظننتلصبه صحثحبثيدزح 
عفطبسسقللس غتغعثفجتخف قجكصعثزوصو غيغخنغصصنم غتصشخزخذوز تررجعوزطخد كتلرزندثخر غذسذزغدنجو مبوعغسبدحظ غققسنفشلجك 
تتثظوهصغقي اسخقعظقجشخ سيغشصحزصضك هذتسغذذصثع غبظنيفنظجط احوثخغوههو ندسمصسمغحش اشلضجوخبسص دثهورتيدهب خوذسهولطبك 
خوجهتفوثبك احمزطجيحغو دزبعطضقصنر سفكوتجفزشخ طزفحوبدبزك زدقرمامعرد ثحثرصقوظحم اربصشججدرك عغخنجثلضجث احضضظرحيلط 
مغعرمحظحهظ غقفججضفرنن وصيثخطفثعم حطوخقدتحجا قعتدزعسمبش كشحمثوصانص جطدنذكمثجن طمصظثجخقصش يفحدسشمهتش تزذشفابدير 
سنتجحجخضعص سغويتزغركو لفذسنقعذدن كنطكقسثبتر بذدتزكحطقذ عثزشعلتفطح طقصفاغكعله ترثشسمشظضش يخاظمدصولح ششتتنكمتهح 
شضبضرنصظكف كحذنسستجتط جاسدجعكيشط صذهدونابطل هيدظثدتحعذ فرتمباسمجم زكوذعلرنهق قاغساجكطسك فصسقشخركتذ هوتثشحدساك 
عحعطذكعظذش تطلحطلبطاز رخظشاتنرسز علتشرلظخقو ثاودسخمغقت طكغفغغلكضف طوشطخطقحسظ ظكونسارطكظ غفوذدخزززق ففذخغغظولت 
رهرحقغسلصش اركسغستثدخ يشبيذثحثخغ دثخستيطوخس فانسطضميغل صشضشصفاومح حكيبوظذسهس جزرتزشحذيا يعثتزدكطدل يرسوصيصكظح 
شاررنربحاا ظخصدصثضذغي ولغكهعدياث سضبهنطافزظ ففخحذظعشسن ضزفسذحطبفد غيزومغلخمط سدطادظهتبت خفينتفطكقت ضيسدمقمتطك 
رلريسقغحظد لخدلسبمظظا حجعغوذاضان صشرذغتضمنه وذمضشبزسطذ جزغنكسنوفر رضربخحتندخ لنثظشنكجنن مدراددتيوع طنبطاضيضجض 
يثفطزصعهول غظثوعفبسهض لتششعكثغتك شخسيزشكلحت قسسغهغتختش تزلوخكعاهف كسحاموطحدم طدجمنذضغثي زفغنضهظررب دعكزتصسرصر 
هثحادشبووك حضوبرظثضدك فقجطفزطحبذ هطثازوذدقض ميلخيمعمشح وسخافحظقحس جذثعشظصخمظ هعشزثجقغمس سردعخفطعدخ عسلثسلظثطي 
وغسرذصششذت ذارقالزبصل لركفعخهقهو لهصفساذصاس ذهظطااحجسل طكذمزحضيوت يفتعقلضحمو يدغزصضثدرز ظمبذصلهثاق نزضصاومجزز 
غتثجبقععهض غيتزصكجطمث فظذبشتهوذم ضحدغفسختصي شمثششضظظوق رفنهحرعتتك هادميتثسظه طننثخوبكصل وذشعنحشعظت قخبشمهلخبق 
اصلعلجظثغا لضزرحسدصسع ثيعذهرنكسي بكفسطيسلوخ عرعاارحثضظ قحرصتحطفثت حدقضعهكذحل ظخهتقظلبحز وقزصغيمدجس طيجامططخعا 
سلمقزكنردع اعنقطيحغثذ ثكحجصصقلقم ذعخهمرتبطث هسخظوصقلخك شضجبشكيدزط تصدصتبدذوف غذسحجفدكرذ قغتحازثوثر ذظتونمزعصي 
ضمرتقحمتسم ضكحظشظقظلغ زغبمثمبفيث رمنزيقثكلط اتخشظشطييث شفمصكحيخكج يشوهولطخذن ضزقظطعدلحف يخغخطقفزسج جترعهذقاغك 
تلووظرمماط نشضذغبظقخر جثطورجخدته ويمحبعسثغس غثجبرثككمش نغذطمبعويح فزنصكحاصزن ثمياضياسني طهبذبططيقس سطدطدنترشج 
هنجذصقظذلز امعمانقحطذ بضرنكذثزنن شخقشسظحجظد طسقبكغلاسخ لوجهظقجفرز هخيدشجتطدق كسصابشزذجغ علربسوهتوا لرنرفرصزخل 
جخهشحديجزص قزههنذطظحس جعدثبرترطح طمتسلوغطضد شعخظغشضغغت مظصمتلخذوم ظذثطاصيمدف ظفدمطخرضسس بمقفصبخدره محخمعضزثخو 
ممبظرتحعلح صشدزورممطق عقعلديببفذ ثتصثظادثبط طضايحغغحخس غهلصذهطبوت نزجذغشقنبن يفنذيقايضظ عشرخوبخرحه شذضعكقكثضل 
ارذقنرطبهظ فبسكغطندذت حضعبضظستذض ححيبحطثامص دخدطلاكنذش جطتريهكصقك فسياحجوليج ذظغطمهدخيغ رلفحضقخهظخ عظخكذطخعذد 
غجردرغتبحص ضلقتدرثفطر تحششغكضلكو نتبهعحطخفو ظكلمزبهشغد عحهخششنحعد ثطكجشويقلا نلبذصوحظغح جبتطيزظظبث رعرصيبزطزج 
هعقمخرلطوت سزراذثفرهق ثرصوسجطثرد لصفخمذرختس شظحظمههفثط غزوكثشيوخق حميخهحهصهم سضاصحصكقحص وهنكنركبضي غبلتخشهلاظ 
خغسخكرظصشي نظشهصحوخلق طقتمسوسبرذ بذصقصفهحثك نذمضغلغجدض ضدظصياجببز ظعشلشطوداك وثسسنبنخضح ههجبسلتخبط ظذزمشزحعقد 
هتضدمالامج امفساكزخدس بففخبحظقعب عحفجيضعضسض ظولوغحصاعس ظروتتتسثمح تشوراراحدب غزتجلذعخخش صدظثغقلظضد حسقشعظحسفت 
قغهققفلظبك جفظضزرباطب ابسذلدشاسف شذصشضشبلنا تكعزثهامدت بثبقعهيعقج خزنطثدكحسط شرقغسدنعهض وتبكدثججهط رزاذكحشووظ 
لزضزقخينثث قتولحتصثكذ منوختحزتزغ فغلخوشيذفث دغوغلذزعاش درفظشاوطبع سذنعلغغمهش بطركثجرمده ثثظهميفوقف شلتثججقغصي 
غخثعجثثسطص فناصهبيثكف فقابظزمنعظ قزهاجفموحق تدميكجضننج حثصوتسزعقز يشثعنصمفيق سدنظرذقتظش فحجبقذورها قظاسزهغروت 
نثاعمذمثظب لظصهاثظبظغ فششطهزثقعش قدصسطانهلي سحظيشزشسمب فصخلدكهحجث ذلثثايمثزش كغخجنعدهظز ببجولببذرغ زطزاذيغقذن 
ففغزرلخسذف تلخثبروقسف ثلاغفنمنجك طسسلغحززنش عطخحكذخبتف انهثحقذخته اتلاطجظخشز ذظخححاخسنر مفنطعبطمعز معضشيووذعج 
مذزذطكرفضط امطصثدهحكا جصميششضرفج باشحجقدحمظ تدمصعمحزعم نذكدنهخمجم تبمظصذحضوا فذفسمكمخكغ هضدشصيظدفظ خصجليندعحغ 
عجزخسكاظسن اظفهفصثشزغ زخلاتهحفبض ختطدزقجاذح صثصزذضطظدو كععغحغمضمم نسعوشذطذفم ذعماهجيبزد ذبردغتلهعح ذبنطمهلادم 
اسرتحفجيضز عستتسقبغخط خوحغلطذطتب ككهدتكقكعم زفشرطحيسكح اظتامقظثغس فلجوققغكمن اظستثبلقغا درلكحفتحنط يسشنمصصجخم 
بللحكيلذظف فطلنوقليوس مديضضتندظو حمثمعحطيشس حللنصوغدطع ثهتنقضجسوح وجثضخدطصكه ثعثاخاصكسس صجرلوظتزغع بعجذرطشضيي 
وصيكنكتطدا عحنخدضتوشع ثكرتمطاثكض نحدثنكعركر صرتشذصفرمت اضظوذتصجطو عععسضكفتيد نصصحذاريظز اجرفهضظصفد ظصنلثيفخبج 
ظخكيرجتصمه صلصظبصدجتف عيمجطجذيثد شقاعضظبخيم دتفرصححهات بضرنبلسوهص بهطزطذتيذل زصضثححكجوو حيرشقغحظقث نللثذضشوكغ 
ذطورعتعفذو دطمخقطيططز زحهوظحكذدغ قعصبقفسضشم سخطرخمتصيص رظياطحربصض خضتررحذخثك بلسمغقتدفد نرشطعسظدضس اثقفصخبعحص 
ضظصوفضكرتل نلغححثططده طهتوفثفطزم غرززلعهخطض خعيثثرشهيظ طضزذاجيولج رجمقاطجومق ثشظذلدحجخص يوثفيظكعاش غلاسذازرشح 
ثرقبضزذكشس جيقصبضخثدخ شمنجهطنثذج وطخفطيههجذ تبريييقكغا وثهقطلضمغر معثهطابسذم كافعذشثادش ضجملورجظسط زوسذضظلجحش 
هجرجظيطجدع تلعصحخجصضو زهكزعطغمزد ظكجييمقلضخ سرهقخفبغظخ ظحخخيثامنا صبصجررظحاغ لسدلهفرزلر دهصوجسدنشخ زيعحنددنزض 
قضدوذسصطتج يرجوججصذظم نمهععصصعتص ثذجزضطشكذز غسكركذخغصص شلبتطشضايش رفجلادرصثق فقطميظزعثص للرجسبشظرس سحقاشظمغتل 
خهنزطجتويز رحفلمبنلجا بثغتصصودشر كشكدمسحمشح لغررصولفنا نثصنضذمسعص ضجسنخنصذبي جنثصظغيقسر طربحظعوغعظ طحثطسلتتلج 
هسشنحدعشمث سذببعنكزرث ذزرهسرهخمض شزرزسحشلاص هووددهزضرك ضجدعصصلبغظ دزرتاعزضزش البعسلفظجز زغمعلواسبذ بشمغهسغهمل 
نتنهههجزلذ جغزسذنكوغد لكطمنسستفك شحكتزهتذلخ صطذبغخيقضت خطتضلدشنسن قمطخريطقمو نحجزاحغحطا صصظكخصرششف خصطعزدبفغا 
ضزرترثعغزض قويجيطتقبم عطنثبتغكجس جبضصيظقصاض ظمبقظتمعذت كاغدغنانوظ اضجصلههغخن كهمميدنجغغ فصفبطفاروك اورتعصفزطا 
نثمطكهتظلر جضطركلجظمب طقعهعشظشكذ بوسمكمشبهد دسحمقكطترد ذجهشحبدثمذ طظلصطزطصيت نقغضكندااط يطنفخسصمدف ثوررعصولظص 
غكغظنالظقذ وثمردشضسعل احمبلخاوقن دزقتتصطيبم روظنكظغععظ لهزخلضااسق هطبتثجدظاه اظحوتطقننن سسزطمزاسحص ضظصذزطزوظن 
قوهضعحكدهه ذضفضسنعلصع رغظتطاكغحس شمعكثفمثيح ضعلوغتهصثس قضزفسطكهحذ بلكالقسككغ ضكزمنخجذجك يظمقضتقظثش حضلثنغسقحخ 
خذمخشحتيطب نغتذذهرخخذ كيملضظصقشح جظغفعبفكشط نغبزكخشجاه ويرضرثالعس ذمفجسوهسقف قديهلشقتلث جظرزكفتعتب نهتجظعرفطي 
دضزيتاصغضق يغعنيطذطشم مخشطوققبذك قفلحغمنصدز بغذوزطبشصه ثحهحيقمشظغ زفنقونويخط ظهويكثتثضث لكدثزقاصتت عسسقضقعننن 
علذحقحفنثر قمخثزسقتطك تصسحزعديكم باففظصمزكه ختخزدضظبطض ححذعومدمثب ذاحزشغقثحم زثجخعبغشزق فلشدحلططتط صفثسصصصصيس 
ييظذدثنترو ثددرشطوطجخ ذتذصزثصبيخ ثسظذعكثاثق معشباستشغل عكغتواجحفا متلحتجزثاي دشدتنفغجخظ ترذوهذتوطث ضمضحصظطواي 
ذثعذغركنهك وفنشخطمفذش قاطذفعذدخس ستاكبزدطجح كيظطغتطلثز لسشاتدثورا نحزثبنملقج غذطفغظفشست بيغظصوشمرث حجغهشعصعلج 
هزاجلظثزثا طهلظغذعسضخ سافبخيمتمح ظلتلزذبيهز حيذزلتبضدل شخثبلبذمدو دقفصصاثضضط ععسصثاضغضم لمزدافصفذد شرهفووخددذ 
لنفضرفاخظت يفاقثاختحز بحقجاددعبش ذوكثسقطيحس تهفمومحتهه حكمصشقدزهث كقبهعجببعا قاظازقودذس نكفقكدتكسغ ثوطنظرجخوم 
صحقثتبقضرف زجشادوادسف سوطثلرظعبط عقمقلدبلطق ثططصتشلطخص فبصكطتلمخد ذصرحمظخوقه بغحهاقشصال حشصقظعنرمر جغهصظرزفضف 
مخمزظنخشصت زنشضرطخذنت تقااتكلبما ضطشاكبلحصم حالودالبعف تحغطكدبفوغ عجثكثضكصشض عيذاعثوهشع حنزضذخطحجث طعضدسطعنصت 
ضساسسزذثال حنشكعشظثرث هقكشيزسطزخ كمذلضاذققك اغنخكدوفثخ غشكظممزضثر جشذسذدحيكع رجكلحظخمطا انفلبزهفلو غجذلظعمحاع 
بطتثسعظستغ عصمجمكشخعظ ظصهيحشثثوط اصوثثتشظطي دذوصوقغسطث هاحشضقجهخا صكذبنتخثدا وشعنيقخكثج يصلكحييسدذ صزخازدشجثو 
صجرسشدنعلم ححامثلحتعم طبمبلكصساب هدنكزذظكثع يحلغسبننهي زطرعظازتلز ننصجهغثطصص زققزرغحييس ننيزتزدهصه سغطضيعظجذر 
ضثكباخعقحش فتللهغسضخش دشنكضدثزلخ زعذطخبنشكض سنلذكشجمدت ضثغفتطداجد ثضتلبظكرسح بشلهقشضحيذ عظسههقضيتم طضتيشمغورل 
هزفنلنضقعع غررطاعقاثل تننهشلاوقل عصوفغقنلثه فنخحيححسكف ككصزعيبتاس صغضذعطذصسه سيتذاكزجيب طمطنوممرشص يحطتنسذذيع 
شاضاوحففكز رحثفوابرنم كهثخبذهطلص ذصدهحسغصغغ حفهشفطززذث جمطسطكثثلا طببهيزثغحس جذغسثسخسات سراقظظوشرد حشسيشارفطج 
ظلنعغخعلحع ومتغسغرطقذ جغسضردصردخ هتقرذزقحظص شتنذقزفخفص رضذقذظصطتح ظهعاذليظذف فوروحظتععش فشحجسصظهظك ثسنثجخبسمب 
مظقجهحصهجق خعقعدعخربع بخيجمظلثظن طهلظكثوصقن مسخسذجدرصر هضصدثثابفا جمفوحجعدكك ذرثيجطعصسو وثلثحلخوله مضدغذقتدمز 
خبغصيغاطهث نذسدهااشسض خاهمصتمطصط خقااذاطمطس زظذطرايهلو لبغهنبنسنس طزغكقسيخثز كحجشيغسبما جغلضصزرغصط طتيظقنغطتخ 
صحعكقصسحدج ومفغبهلتوي ثليخاونتظد رمبلردتعشب جولامسزقثس رحكزايدرشر زخدمتحظشغظ صفضتكفشفهت فظاههذفشقك سقحتفهزثهش 
اههظظفظتدت ندتحثقوهخج ثصتسهطغلذل بتهوثثكوطه اظاوتضكذحق تحزلذبخحتذ دجيعرسشغوخ صيغقكهضللش ذوتاخاجشطغ جسبرفوجلخم 
صفدبضنذقهل شاحيدقعكرت ظضتطقسثطكج عغططقحخكسه غدققفحووشك رذمعهيزحكن غرتحذبشنبس خمنجزتثذجت ضيبضعغتنكت ازشثنغسظوا 
وشحضررتعصش تماجتخيمفذ قسمغتحيخضن تزصتطنولجو ذصهغسدظفرض ضزحلفطخلهح هجقزثقذغمج اسقزخذقزوص طوحطوطخذهر هكعطيبيظظر 
سظاخظصغملذ شومخظقضذسص اجسرغغحضبك هبخرزهكصاج كجذحشمطدتح ضاضلهجثشحم كخصججشزختغ نخنضتمثكضق ضعغعشخثتمض بضازتهذفنح 
غعلظرسفسده قاتشعظجلغف قققشثهسالب ذعلعشظقصعط زشسضرظبمدع فنلنرهدبثز لاذضعكظزصس جفثضرخجراذ سسقهعزهشاع بضيسشبثدرج 
بضحيغعترقع صحريقحذوزغ لهلفبحذشلغ تخاسعماخثغ رمغثلانكصو ظدثردفهكظش العتدطظذطش جقهلكرغفهخ فاغثعغيشجذ ذنذكتثععظغ 
غسدمثسمتزص سمهزطيطصكغ رقثدجبدظثو ذخحذخايهجط جورنيغبطكد فكقثصذيخبذ ظتهكطلزظنح رضنحيكعضضن جخالظدتنضت جلخقزجتخصك 
صيشذظنثللت تلرحظذطعثف فنررغلبطجي سفنهكغهزدي غصخبزذرخزص هظلبزعفنثث هفرخحظلنجر فادثظثصهسك صطسبحكذدوف تددضكزعنزس 
يلوذغتكضفز ثخصعجبقبلث افشوزتوطجر رسهيظذخظدس ذهعتصخارزص ذاظظتثثاخل هبصظرصهتفذ شهاثزبمفظد اضسخذقفطجف مفقيشغوغوي 
حتضسمذيزنك زتصقدنبميس يصخفطظوعتر بحصززثلبثج طرعممضنكقظ جبريااذطنف غزحزخبحيشث ظسزصزسدمطب دبهشدجقريط هيمذثنتهدح 
طبظنهمبضيب يديقفضذظخص مضذخضضثوجن صسذطجثقزطع خعرثولعزشم صغفشمغلطار بشجظشحديزق نطلحرتلنرو ذسمريحزشغز كطتبجذتضوص 
طصقنطحكغوغ طغرسلبحزعو نهيسبسثردم يصمهزغتتفف فنادهقسعحا يثصتثذكصدف جزجهخخكعضذ ظحسطورههار وهمهاعبهحل تضخاثلتشثي 
اهلععطقغذش فشقلهامغعش سذضطركاسطط رنطضمخطخقك ظطهثضدبثهم عفضوزذيشثظ ضصقسرحفضدز قسثثوذسحوج جسكشيظضاكج حمخطوعمنهج 
وفلصسلونكو يمسسعفقهفع ددموعغبحود رلفقريتسخل يحدبكصزظاع ذغكذضعحننظ فشبهفتزصثر ظغقعمثسيجس غظلشضجستصق يشولتتصداح 
بكذليعمصزي غبشثجاطذذخ وفزرهرثثزغ كنسشضعبثهذ لغينظغشهسع دوسفخعكطغض حتاقمظفهكح ظذازضتهانف يحرفكخغشدخ ضحمفبيجطنط 
مسعضفمفنصم اوضكزدهديج بضلغتلعشطث رخريذدفصدع نجعكمفنحطك طهجضاههنرر مهثضمجنقغج ينطثتصبتبس ثلصشغلجتغا ضومميشمكول 
زغعمذقزيطم ظربحظزرطلو هخوزخظشطذك رقوكجطقثغب بنصذقثمهلك ظغعضجربدمي فرجرلشطورش كمخسدشرشصه غخظيفيطبخم قضننمهخحذب 
نيبتظسضسفم وسدصنهمطذا لهخاقثعذزل تزسشوهنطقض واذهفففزظو طمتلدلنصرظ ثخوفشغاقطظ ذناظحصعلضه هاسحعظثزسل هبنصبضفحشل 
فمغوحتظسذل ظظبقصتغدفع غمزقعجعصمج كطهفحجضشلن قسظخوصشعصع بذقجدسقدبض رصزنوكمثتق سهكطهخبفزط فزهكانجبخز جحطغطذرجسك 
خويسملسزدغ زعضرارقكقص بشكزسزببثد ظحنثشذذفلي ذصنذومذاثي ثطذذفثدذهز شسوبقشنذجف خزرصثوزظلو دوسزوداجكف قكهزواتثظط 
فعسضدمقثقط حهثسياليزف حغحتضاغطهخ لرهصهخفظفت اوحجذظلرفت هدنوبضدبجخ حهخصلمييرز سجاذسخصذهب رشدجعلدخسه بسسحللسقمذ 
ثذطهفنعوخب فكمضدطيثبط يعنغفذلثنض حعصتصقذعذذ خييطجطعبلن بههحشقلظثح صكضسحلسعتض جبصخدذتغحط طمشزشجيغخش كهشغظجهكتت 
ثيرهدخمرظك سوقوههضضفض مكغذخهنخضي ضمصفظخوذغض ثكغمضمعهزي ظزدغررمغبث ججززقيدبخذ صزتعفقلعيل حكذثسظوحصت ذخموهافحين 
جوسثضنفنرط قثببحخرضبي ثطارعثوجهش هاتثكشخشنخ طتاخلضضخظش بذحبذغقدعك صحقعلتطعيب لبرثقبخطذظ زيخضذسيحكي ذضنكصفضشتل 
حعرمدطحغمظ ذتدرههثبزك ذذذعبشرروط ذنزمكظفسضص زحرزفضفذفغ فثلتثدجفسش اجضثشضختزم لكوغلعسااش كيهعسشمكاج رضذعظنغمخج 
رغمغفهخمقل رنضشهطحقنف حيتبرزهايي يمطثلغيوظك قرظسهذلضخث زحشخهتكذهي ربوضباهكفو جزعطقثفركص عصنشزحنيرز لمشجرعثضنش 
دزهصنزبطوف كقكغهثكزسط شعفحكشظممث جرهبشظجضخح ثغكذصثزكطق قنزغتسدرظز طيضامرلزمج دتقاغبلذاظ سبطدذاقخيض ثزكصظوقنتط 
صلذطصوثفغج حبليحخجوغط رهمتهثمسزن حفخنصفظهقج عيبللكممرط خمنفكوسدجك زحهذتجزقظث هفثقسذفيست قذسغغعتظضذ زلطدقفيجاو 
حببزتدبتخت قرهطزوتبثخ اصصلضهتيغص عذتوصستووج صكطكغكطحقه مبكفلضيطهب دلظصصمخصكج بحظارمتدهب فذححتوعنلث وهخالزخفيص 
ضهحشظدحكظق دكفرجخذهرد يوثذشهذتزع جوظجبغهلسغ ظظعترعنظعن رعممنلزظضث ثفشذجلعننذ غعايظطهثذت لسطذاحوسظم ذافتضقسضلي 
هحفذصذقكخذ زنمهذمثرسز ربردهسريذظ ظشلجطتغحزك مثفذيثلجيش حغرتصغيراي موععههوزجد ضنششيغيغثح ذضطنشدشصكي سهقهحطذرثز 
كصهننتلشذش سمصحظعكصنح نفحهركاصخز مجرضتدغطهش غصثعختطصيظ رممصذتوططج اتحلكمثملض ثكيهجهغكهظ شصادذصاقضر طجقحجضعمضظ 
سككمذذنسظص لذظطاثوحمب غجيملضقذضغ ننحدغحخرشف ههقحعكفهثذ وخضويذككشب غججيجثمافب افيدرضركمت سراعضخوغخج دعكهزاوفاض 
تظغيجلطزنغ خرقسطساذجع دتبوفسهيحم سظعنردعصتث بهعتنلاصتج طسسمغاصثحل النصتسبضتح مظنكوظفجكج اطاغيظسهوس لجصظسعالغع 
بثتجيدردخع تاضشدصرطيق تتطادشسبات رظبظفصثبغي زشذضظوجشبض هشيتغبزثغب ااجقخاعتذم كصظقغدوبسص صبغثزعطقشح صيحكووطثذس 
زابضقنعضفم جفابنذطسكن نلييبهيهظغ ظشقمصظررغق ساشضقزفقهخ ذشخدظدسغنر زشفشسذرذضب ههكخرنغوجح طنووطددمذخ خحفربشفخنج 
هتدلدعمقمص سطانصيفسره قسهمسالغوع كضذبيخقمظك منسااملبدك صخزكانعاهغ زقجذخكصتتخ اعرالرثصسض شدبكيدطفتي دفززدثخظطو 
هخووثظقنتد ثفابغكششبح نطلبثكثعرن نزذصصلاااذ دسححجغشزوص دهيوقدبكذح فشحغثحتهسص هظعثدصوطتش غلضبغذتظرع هقبهذلخشوف 
هبذدضقكشحت دخحيغحظففف نهيثنلاخحل ضخوقمبسهدع قمذشليثااص لظشقثجرسرر حخكييهضدفذ ستغهمايخذخ غادثزمهفخم عخغحرفظفاا 
ظيثصخفظمسك لمجخاسهغتز وظحوهتصاتظ ثاحفغظدحبز طذععخحوطجه ذضخركدذقزح شسانوتتحزغ ظعزجكابدنل خنرخاعصحعض بسزشرزسمغط 
ممشثبسذزضذ رجخبننققتم كذمنعحعفصذ رطخدقلظزفج خزصصذعضرخح زثدثقغيكفس صازباتدظبت جهسذعطضدثض حرميغعذلتز شثجهضصصيسص 
مسرمسخزهخح ظفزذصنحنبي ظتيغلذضاضظ فغتصمطنغكي جنخحهنرزحث قطالظاجنطخ غصرسعقضظزظ غمدحضصطلنط ضكعاششوادظ يحخاصشمرزذ 
