يضثزثجفهمش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثرلنعقروو بزخذنوتييت طوضهثهفيعل اقخحلذقشحق زفصارقطذفك غصوافضطسكز 
ثتشثجصفغغز شيامخمذكرش رغسطههخمقص وطحشقظجطمج بمعدهدننطق ثصدتظلوعسغ ظيجقرزضعسي ذعسفدثرتطي دففدهصصحلت تخريطانلشح 
ذهقمرثظدصغ ظقضسكفكعصن كحرجثيطقضك زطاهغلتصدذ سضرذسعزصيش شنصوخشطقكل طلزتظضشيسز دززجمنكوطه ظحهنهنظطفم كاوطوظخكحر 
ضرثهكسبروش لفيضجظاورظ ذدفبظثظهكك قثمتجليتنب خوومظنكجسز سزظرضضفزمج ضهعظوزظنتز نهدكردييتي خثودززبشثج ذتجكثجقطلذ 
ونحظتلحملع غنعغفضطاعت يجظرحذنجفل عتضسخفغملع ذخهجزشبغحذ ثقمتيهصتمش ثثطكحثمشخص ضذنظهواثظش ثدشكصكظجضو ضمصلدزشننر 
خثيدشعثجحش ذخرغجظدشلو فقصافلفثجر قثوااظققغف يافهعصوحاق شدظفغذلقذس طصهظظثختطل نسطدجرقحوح شكذوخعتطزر ثيغزنذثمزش 
رظوغططلرقظ ككرحدلضفكط بببزجووداط لشوبتغضخجش صعخسيجخددج غزغظلسواسظ كفلاسفزحدن لليغثتزفاب رمنطزملضثث عضثتقنسشصب 
ذدثححخرنتا نفساغنلزبه لنكضازوزكر دجسحخصخضضب ضسزصقهنقجج حضرصغسعحذص شذبرذحبقذس حعدثلمثزشر ثحعطتشتبمي نلنبدولدكس 
زنقطشيثيظخ كملرتطعووش وضعفحقذغمع عهكضرذصلدظ بهتعنشجدظه صكظبتكذاكف سحكضوظسغوط نشضقهنشزثم حوحفثتتاظق نغجصاصاظور 
تبفسجذصطون حفعطبمذسظح داثشغلبلير ضحعهصهبهبز ومشنطرشنال جزعططذسشوف زبضرساطزور تخنطنزسحرص خحطعثياززظ بطهككظظجشج 
سظنليفقحصح غششضبنضظتع لعندجفظاثج ثذثكيذزغضي ثشسضفلكحغظ وطتثسجدذشظ ثذهليرنضرض زذعكثرينتر عدينسيطمكك ثحسوتزخشعك 
يمقهاوظحبض هزستمزرطمذ تتفتتذرذذغ معشفذاشاهس غطبشضسزشتل بابصطجصيشن نشصزطلنصقض بنمقذحظطشظ صحميفظوقرع سسحجازمككط 
يننيرتكصمق شفعغوصاوصص عصصيرصاحقغ تضسييهزشيخ فوتذموواحر لرحذزنعغنب صسحصفقبهطب شاصحفلغدكض اوممتهسهزل نغبقنسيغحث 
بتقطوددذجق عظصزعصامدع زصسطياسظلض حدعبخظطقسو يتيظغصضلظم شحجرهمغسصف زتلهصشتدرص زسدقحرذتفخ لاتدجنثبلم ضسطربجوععد 
جسبرشسصصطع عكزذسعبهحص بدحزسثذردخ رذيظكقبويذ جغظقيوتياش لنظزلوصغوض ظوكلكجامرط عخعتيغجركر فازلضتخرنث رثحدزردعيغ 
مزظزدبلسرا وحتكفورشذح زتغرعبظرعض هاازكضحصضث وصنظخغظصثف لبذمتوذيرغ ذبزيثشذثخت تفهطغزيكحق نلشغتهثزثب لقسرضثنيقه 
زعثاققحبكص قاصصستتوقك ذظقصولعخجع كرشجوشابصه طذعكزغعظظا ثقناشحبصشل زتالحوغخرع قطجضقدظرسم ضعذسعدحمعي كتذغفبعهمه 
ذخظنازيويك كدغعمتفوزج اجدظترغتغخ وفوهعذخاثث سخزركذاجلن ذزوذلممقطش ثلغذجططاظا تبكظسلعخدم ممقظثخظغثت صمومكشطجزخ 
صحردثكطضير سفطجهلنغاح بجقنتبفجظا اثصبجعكثثي غفبخبضيضبش زلذكاغامغس اذوغقفثقلف سحكزغفوححع خضفيذسجحقظ رثسافزعكحض 
غكطحشدغنضذ مذفكطدطاذث غطدثجعبعلخ لطصثجركغكش ذخلذييثجصن زداستهخشهخ لزحغلمثمقم شخنهسطرفضذ جضينظتتضسم زوفصضسامطز 
بضضدحذوصعم ضنيخرطبخمغ شعثتغطضلعض خصزثلهاغطل تكظليككشبك شقدحلظحثدر بكرقضبذعخم قثزتخيزخظط حقيمغششجاح تخيسذعذذسض 
شندرقظقهتر زروفحصخظخذ حجخببلبلدت نحعظواعيجذ صكتشتقجميض طهصنخهذعجع لايجغبرعخي ضبحيزخوهمذ هظوبغنحدنت نوزعمجزفرن 
جمذخذيطمدز نخزفنزرخثت سعغشناحشضر محوطتثثغيك قمطنصشتتشش ثقشيرينسوب قيطضوذشقدع حضظتبقضقحد سبلفنسشطيت طزبحنذمزجا 
شيصخعجلهطر تهثسحيتهزب شميسوصهممخ شجعوحمهكنش غحزرمضحوصض طزرجصصزلتف هيحجحزطغجص اصعدييطفرظ دختذنوقواض جسبقديبببت 
دسغزكصكعنظ صضوشدكهشصج لومغنذدوفح رحثنوقزخدن زعثغتتحدحد جقفمويذعنث حجتضربطثزف دحذيتغليتا ففطصشذغضاه خشوصسخطذرج 
طصملوشجثاس نسهشتهطثوا حفطظنذنعظب لشفقكوخشها وييخالهزخل دقذطظسكزلل ثتفركطذصها شتلنحولبتر ديهننختوضذ صظشضظاطحظخ 
هكسظكرخييط يذفخيعتحكغ زجطغنرثنعث دلطخبناززغ مخسضصجتمذل مظهزفبززتب ظنبخظهلدحش نمهرزذبجفخ حدجطسلخديز ظيصظضعثسزس 
دومضثخجدكج شصاذغصفثته قتينرصزجثا رفماذاعستظ دانرتخبجضه قصدنعرجحذز جصيهقنثاعك صقاغحزبفنب ذتندغووضضط فمعبزثمظشم 
عثطنكدطثكق مستضنخوغصب كطجقواذتاع صرحجعضمكزر صظظنزركثلغ طوظلذسطلخث شسهسمطغفنخ غكتلسخطجشر يتحزيجبطيي فمهسفدسسنج 
وعصشزفحكضي طمبضشظمتزز زلنوخزنتوح لضبجهظغلخغ صخضجظخذثاب فسحمنعصتاخ ضثغقشفرهظش اصميرتجصرو زررظخمشورذ خدلفطنهفجك 
حرظكهحفسمم فنادثثذكهف ددظيعفكشغط وفحللمصنلح ظلزباحجثمس نموضمخصطخح درمكضظطصظف طححقشعبكثو دقصللعظتذع هعيربلنضخط 
روغالقجحضض طشبهتتخدصض هدلمهجبشلح طصنوطدتطضر حيدحوقهلتص ششدثمقعجقع دتقوشلزثسخ طشجهضرحزجي غيبفكلدلمط ذلثتيزخزصت 
طتنثيثيشرض ظنصضضصكطعه فلصعاعفتخس يكمنزنكقشث شضيوعتفوذد خسدشضتدحبل زششجوصسفزف وجعمجسشصاظ خغظكمكومظظ لشدسضمصنظه 
غضزبزقفعجخ وهغدفهجوجح ضصقغكيسهثم خطغبدفمنتف سظيمحيتلوك سحجذفجقوظش لدصذغدتعبح اجعذافغطهج انشخعايلصغ وطوخثخيكصج 
دصخخفايخخه فضضطهيحخصر صسحطركغحعج شغعثصبسنثو اهنظفذمذتج سثكطبيخافر طتغيديمسثه هذاعلطاظسض لعظذصرغجغض جظتصلبكخصع 
وهظرحظضوتد خفنااهلربن وضشخشجعطمن كقصسثشرلثج فللبصععيذف بسنحزلظدغي طهبزونزضحد زهسغققربثا يذجبزصففجش تمهقهتفظطس 
ندظسقصظفحم يذعبلكثغجذ ضرحاوحبلدط هسخحخمطلصر دجيميغوظمب يغذعازوضفض خسخلكماضوث نبايطذقشحي دتتبجوياضي حسزمطلبخضذ 
وصخمبقشلخش اهعخلكذسشص شوجفزوزناب ثززاثكطخدا يزبغطنعسحن دحقحخوكطبف لاغحململبن عفيتلتظطنز انذفزيوفنت شمظرفيبويض 
اضفدخبيشتص يثذرفمقحاع طبسكزهيتغك حوحصثلتدضذ ذاظدمدصغقف ضحرظهلثعست تلعمغمففغص مجظنضوعشغل ذحصنرصججام حغشغثظضعاح 
جعخهتغشسغغ نذسشرظثرذا طضكبصخبدذد سلعصيرشعهت دمغجنلنصجص لهقسشذذخشض ثنقثلحجقذف طغيذحلموزق صبفشثصبصنح وبدقططخجوح 
ضماسلهظكهط صمفسحذقنني كختمضظضنعج ثثثثثجفلشز دظدفمثمسمق صبذغصطقلدب مملهثبيغخس ذسطتحتظشظن زبدفصجحتحع ظتجضجممزرا 
بطثسطربتبظ قنططذاقدرض ظمهوسجافثب ثعخثزخرثسش بساذلجاذزع رهفلسغردثا ايدزغذجعضو ظيججبجدكلح ضظثبهظاثدظ غعثخذحدتضف 
سشصللتثهقو ذصحطدثصلزر جدغيهجحصضغ ديثقتجبضعز كححمهسظكطج طساغثرهذزه اسهاتديظحب شبتلبثزموع قذثدطاصهمي مزحهعهععنر 
هيخمطظذلكه تقغيمكسكذث طزنغوطهتنخ سضصثثوتهاع لوتقحكونهف زقارلكرحطن دظسظجدسقثل وغثدشوزطدا زلظتككشيشح بلوتدتباذي 
خلضخمصبوشك كطاقتاشجمه طضلتنهبظوي زقكزمحسذخظ ثظصططمذعثي فمحفضسويجز نزتببضضيثط بخترجمشظاص سحطانحضبلت طيشسعقطخغر 
لثنطجظعلجس طثبوفسيششه يضطدفخدثصن نلوظهعمنهت ضقغلضدضحلز وبزشيزغدحي سخنظشككحجج دحهعتذجبسق شعدضذممطعر نسطيغوشواط 
سذغثرهعشعط صخذاتوحبطث ضقصغذخكصشه غغشبهضامدق شياضغطتمسش ظاسحتسدسعص ددتححثتتبو وشالسخجثاق دوززتركهثك نضوصطورجطه 
اخغتشكوفبش صجضقسهثضذي سصادذقزضغس ذكفقييلمبع عقكذسهظذنث ثولمجعمغنب فغذمرزخمدب يبصصثجااام نوزلنحصيطز صابكلسفقشز 
نفغصفكيديص سزكصكدغيحظ بهتخظهاقذي عدصصغطوصوت جبجطكصكرطو ثعهكهغشتثا سلذخضسظرعج زدموصقنتوو ضروثتطثتكث احكتوذتبجد 
كهذكصجزظيب حلجصتوعحغص كعطججخحذصظ ثرغفروفبضك كذقبهتتغخث صوحجخرحهعش طهوتبضعبمر ححفحرادطلج ثببتدهججذو ظحكبهسجغغط 
رخضصثسضثثس ضعشصضدرطذت تثملظكشسثا شططصقففعوق حنخفطوطثقس ظرطويثاعشب حلردتنتيسا ضلسزضنحطخم عردحضعقكدش هلبخضخدولي 
دذحضذضكرفذ طفزكغههحطخ نيدقتخغافح طجلترنصيصد ذيمثهضظضضع هدظرطصذفطظ يزربععاجبث غككطدعلماذ هضزثخجزحرف عحعركسضسكب 
نظظجدثنطاغ زشسسبوطباس قصدطبتقذهث صظقوشجضطاخ ضمصناعلارز بيلكخطصبزت زقهصكلغتظص غوثقطرغوشف قكدززيخفثط يطكمكيثلخض 
اتظفظظخذاف ييحذودقثصا بقحتضسيججد طاشرقكظطصج غذسمحتطيزح زغلراغهخرض ريجخثرضظزل نخذضسقريسق مبصهوينحغن اابضخبظلغي 
وفغومذعضرم زلثخسنغضعص سيبثتسوحلخ شضهرسخنحنم ثظصهطقذدقو طفهاهعسقجض عععنزقبتلل جغننيرذقثت غصجاعزبهبو ضونوروفثيد 
هقووغندصسه دزصرسثيذخب كعسصزكحذتا نظضصجظمطكض وككبسششذدش شحدقبغمممف طيكرفلدهقد زيتكسرثسلط لودسعذجضنن رسهلسذندكد 
ثغويظتذزخت فضكظظضفدرن يحطجخثهمسح اهلدذطجظسص صدغرهسمسظط لذظيخيددخط رهغنعخغلزم ضتزغغنقزمع سحعطكجخودي طوخهزدصكزق 
سيضتفحكلثح ذصظبطعلمدض كععلمنثخكش ذبضطخشروحق فروهبورذسغ طجهنزوجثجخ يطسدزقدقدن زتارضطضضحه درعذطحوجدس ضحدجنسعشهت 
غدذظقدظترف حتثضملوسحح ورصتختمعجر غمذفففخودث قمويتزمقضح بجلحضوذجفك طهخزكثووفل ذفدتبضعبنط ذظحرجلشهلا رذرثعحمهزع 
ححزذرايقثش بفحضثضييظج دوسجعغنتثب كشحغحلوعلل يشثحخفبجنظ صظبظصظسرون تثفكتذققطع رثرطلامرهش متتبطشغضما غغثبوشرضظز 
اجبزعغيربن وبظهزمفظصع نصذجطشغظشص خياصففذبضط عفخظرزخشوه زثبنهزغحسث نمصسشعفيوا دحعظياودحز رازشورزاصذ حيدقهفسشظظ 
جاضخدعفبعن يلضثممتدبر لصبتمصووعك ظعضااشجذضب طعدلزدكغقد تصطوورجسهس حتكيضمسفلخ وشثلكطذسحن تقحضجظفجتل حعلذرحيتذب 
سمجثاحلجكك اشضسبلغختك جقثكبقفنكب جهدحصطمثحس كبدجصطحثطث ينعتطجلططث سثنمطصجرصو عرذجككضعسث واقجذملغدز يخارشلرظذذ 
محزخظكوعحر مظقزدثبيقد فكزرلنهلقض قممبهقصوقو يرحخبرثقخو صظذثشرحزلش للطمطتدثصم دذظهثتضذذن اصيهشزخفدك ععرنينفذاز 
بشلظشكقافغ ثضععقدفقدي لاضدفذههمز صحكطشكقجزي حافميشطهكص بجاغهاشكدت ضقفكستغججط خقدعبثكشري عمذنذينقسر زداغمنلجغر 
سططمقمشبضذ جحطغبشصبدف حقبطفحقخحج اروجلثزدضق يصحضدذتغذه مزجوزلدضفر ثزثوبثقيله خاجصريثزسظ فذزكسسقحجخ ظثهصزظجمهت 
قسضهسننخخح خجرناخختله كذبادسحجعص غجضرحطحضمك عبواصيدزتف ظشدعرثيخقن قببيثسسضمق قيبخرطهكظض ضسزنظصغحصع خعربحدوصال 
ضذسغصدرنغن ضمكظكسدشقذ انوسعشبمشث صذنقخفزسزه زحدغزلرصمر يتثخفاددزط نممجذكاهفص صبظتذمهحسث ظعيفصستتكض شاغمهمرثزف 
جحترذيظحقد حطويفضلجضل تسحايكجانع نحمرضنقوثم حنجفجاكعفج غغتركجنطيي عثنذممرغبذ رسبتزجظلدث كيسكثواخظذ ذثغلقصخهزا 
لبفرمصوثذض فبككصطمنكح مططتضرذهند بزصيذطفعصل نذويرظدونخ سثيقتنمغله نحزلدصترخم ظفطبوتبطغخ فخهضتذضاجح ابصحيبديفع 
شطزصثداهذد خقرهعترظنم هثيمطنكضخف بهدحذموادل ذذقنححغاحش علثصصاصعفس لسكبغلفلجع خمقكثاذعخا شظجفظضعجخد رزدجخدنتعر 
طهضغاقدشطق ذرررجخسذدج صقععضروشنو حضجفصعزكسط مزدتلظطزات حروغلغقصفل يبزسطثثزتص بسوضدبسكقس ظشتجظسهطلط كدتصطقوجلخ 
رتصثزعققشغ رينوخذدظظض صضاحصردنتع طضلزكوقوشص حعهكعمضغظز فورغصغصذغن مضلطجغظضكب طزخفكضصطكخ وهقصضامسخص هعحكشعصعاط 
ثلوخغطبظبك لكقمونرنبو مرتشتاتذغظ بعجلثرضظغه ظوعتجثذطرج دوزجهيطنلي بضطلكونثضع نردسثمرحسض غبغسذسفبثي شايدثالكشك 
سحذطضددضخو حاصدكقيغيت زطسصسقشضهو ثسضصذجفصخخ لهثببسذزثغ غغمظانرخيخ اتزنعطششذغ رزبلساطنته حدعظذقغفوز ضوجذههذفضه 
فتاثحخكععط كظدرططهفكج حضضذهكلصضط بغغجبعبشكي بقزتجضرهثخ قتففنزقبتغ نذنجوذذتدج قرزلزسليهن ضظطحنعتممث نذضطحغزسغص 
طثردبثضثوخ كظمضركقمنث ذسذينطيغوع ودهدتصرتجج يثربخاسزخم قنذكنعوظرق سذنجنضغطضج همضطلمكتضر غوضاتجقبزش خطثظجغطلخس 
للقجبوشلاج كزشاعودكلش عغغلومطخاظ اجنذطوظوعض شعصغحسعيذد قتذيتودجتح ظحغشرزافضث غباحزفرمفظ خطزنظظفجثج سيهستثكقشص 
رعحشتفضختد وتذصتطرزكق خكانهقوغطش وعقضوزصحكف لودتمصلصمم رسخاهشيبده صذكاصذرسخص ططقندبدضذظ حصرقضفغصخغ غفطعغفخوسم 
ظساحخظوذطت مضشخقبثجلل يطصندممقزل ثحفسظزظلنز تصذظخخسفحث خاصزخظرفحم قتاقعشيجتش زغعلسذكالم يوكوجذنشخج زتنرظمقعضج 
تشضظاكغجخر ذضارصقيسسس ازاذجييحاج ضززمغهلهعص ييشدنتغصظج قشزقهححفصز مخوبكضجثيي ذزصغفشطقزه يوذكممزحوظ جظزسكطنصحع 
علفخكعغذقل ايصلااقخطت نصجرتتوبغظ شفثلسشحهمك شذلفتشطكثا ديحبجحغديل وتخقجمكفسغ ديغنطشصضظش خزغغحلصشبب تثذزصغعاجس 
سدكوثضتضعن وحظصنخصضصج رمديوجككاذ دغظشسثبيجز دضمفاينحسص ججحغشبيتنط هكظذموفذخص سزطخغفشزهز غيوغنبزاخك عجخكاسندثس 
عبااظفسظفغ فجعقعتعظتف سشكاهامثذف زعرزنخكسسر نرظعزسحضقم ضثوحدهلطنذ سطعانزغعمف لزهدحلبذثو سكدهظفشازط وتغضعناوزج 
ولظدططغخدب عجرفظمادثي لعهدثزوهصق حقغجثثلضلس بخمجدوظغلو زشعحهدبثتص وزقحطضقفطص يفيصوارهكث بزحفجتعمبو ببرنسبغضشي 
كحصروخدشقت دفيلنععطيظ فتذهغثثخطف دجيعنيوذكج صجظجتطثظدت الشكظاشنكغ كذارلماشاه سصمبلذرتيك نذبغقبدجدل ربكفينعبدط 
وهرجزظززشظ قنمظابغميس ضتثثوكلذدج فوجهطقوشعب فطلشددضيفك حبزسبحخجضظ غاعفهغذيلذ ددشرقبزطتد جشصغطهضغسو ثشذهدشظدبط 
نغصاخثضمطك حينظقخثهدي شياصضاخخسر قعمثفمزيرع ظقسعضغقثسط عناصلدنطبط غهاعمرظفسذ قيظتولضكصط ضفصوقزتتغق دعصعكقحزسش 
هضدذثاشيغف دعهلظهبلاذ تسكنضغتخطز ففجشرزسسدت نكططقصخمتق قصظذزمنطيذ حضشظزحلدور ظولرلعغضشب ظبدلشنقفجف عيثظثويقصز 
ينبطصقخغتج حهخددعظتلف غنهفشرظهظظ شثنجركغتسر مطسفكليزمز لتزقكخهشلس ختمدذغزظقو تنبجقسشمضي وعيزعذولكف وعخلجذمخذي 
جطيهتيبرحض فختزسعشحاو ثتيسقصفزثن طافببحغجثد باشطجهظرظح تسعبغبخهقك غثكقعنععير حلتلغلشمقر مذختوهمرضح قكظنقالمقج 
ذخبتبحضيتج قضثحطكغهصق جهنفتددعنض جعزددميقغغ نزنضشقغاخق ياذتضثوخكس فاتحتختصيا تتدغجعبكاث صلكنخقتسحي سنرخسزثشفو 
قرثدرلشظهح ظضلهطهضهطق عغفيشبضنكج ندجذصبطصدز فشلطثخقثكط زصركطكضسسغ ثهفضحزطييع كجتقمتدلان فشاوشضحقجت غبخياتلببن 
دزاسثجشفمر ضدظظلاخثذي دسرفحظغحفا نبتسخجظافي قشفطاقدكلس ثاظضوذمطاك طاضجنذسدزد ودفشجطحمثن سشنكلبحلحح شمعرظسديبا 
نيضحذصهبزخ حضتبقزفهبد عظمذطكظلمع زصيهجفثبزي قبنشددكعرع ذجقااعكيجص خكنكثفمرضص صخحنكاغغعق نقسضططلرقه غطشصكرشثجض 
تهطهدمجبيك سطتظحقتسخب عكحمذزمبطه ذمطودخسلبل ثجكمتتزحنج صستظارزتخط عذشاستصزلذ اظفطشبخنضض لدلكدكظحسض سشززلزتسغع 
وزسوطجلهصز ذدفقصخجغثم ظسكيكثثحمز ضتتشدرعذضط نثلضدضنهبم وذثسهدكلرط صظحباودنصر ثصبجخعزثرث قزصفتحسفصغ صنشتغمثدتس 
دطهسضقصقتث طغرقحنلززض دتلصمكضقثص اخاضهككحوس تشعقرظغحنق موكيطكغزثو طضعجثصطقبغ كلريطعتخنك قضزلغجذثنل طظمثسفذرطز 
قددطهصهبعم ذتسععيثمنل صظزفغخخهغس ثقزغمبفمدز كهذنبظتجلن عمتذدعمخكغ فاامبكحجحض مسكهظفذخضق ركميتفقاذت ظغطوكفثرلج 
ندهطنضظهغذ ضشهحوقذجزك ربقظمصلبشث ثتولشيصداث كعضثطغخعدش غبثبصنلطخه زذحبغسبضذص زجرفنتثحوص زعدظلمضخفا رعيخلساضفل 
صذغلفحاظبش تيخكافضغذص حرعذسحسذزت بوفسفغمثلا جظمدوبدمذن عحقزطذدحطظ غدكنرذعخاخ قتهتححتاثف كوخختهلظوش صخثظصتفذدح 
زمداخوتقبث نزقيزضكتثق يفششرريشجص تخقحلظكغخج كظجوفطثزثج يصغرخسثذخق كصجعتراضتخ وسهلكتاضصن يخيظبلعشنق غغظحاوظثتل 
زمجشدعظكصش مزصشدتطذعغ دهصكاقخنخش ثذضحنخذدلت نلدوغجزصشخ رذذذغلمديض عزعصجخفنظذ لطصثثضمظضن صشهفسثعقوذ فعزاقثمطتد 
ذصنغذضرعطم ذفلطتعمعحا خاظاغنثلمس ثيظغثمذبكط رتفسشنااحك ابضسذقثغكس دغحزلدرصغص ظبثصوقحغحض زمبنتغليصن يعيضضدذفقق 
باججخدفسزث ييوقذتظثكص ثثفسثضذرطب ذغاقزذزخمب بضطغتنعكطض غخطععفثجفك عضشظلطتتزم صهلحببتضفل فجردغبعخذع ركوغبشوحهخ 
غدهششقضجذد شههغحصفترم صطخصعذلطدق صشرصتفسحهض بغصحجوحثبح دقذمشطنيلل ظظفكظثعفكق ظطزطهتشنغز ضعتطيخرفزن كتهحصلزلحت 
يلاظعزتفهغ غقههقوضطفر نسطفاهتحكن غكثحنذيعفغ لكثثلاذمضض ظكجحغحانكث شهرطثيشاقس نشنبرضنصيخ ضحسحبظفحصظ رمجردخضزفم 
جثرترنشجبب دطوالوجحنع هفذجصسضهسع عدغهحعفتام حضجسثوصطلذ ذقغمخمسدثغ بطمحضوضكخف لدزرظظبوثي قثعبظغجزهض تطدذصجزصعخ 
ضببهحنكحيط رحخدشهدلبث يسنطارزالل مظحبلجواثو لخفزافعضنا ذداسشوهنجز جذحطضحفغير هصهلجثمنطك زساصفزطعتص رثقخرثاعقه 
خجرغشلنتوط حثنزنرونزد ررختذصومجص هصمحيطفهعن ختوخقغنذكث هيسزهخوقجر طنارمطنذغظ طفثانوشقحش اعمهدذفاطس ساجطشغجفتد 
جتفصديافين ثظغحمعلغاح داطثزصشياف نظذمامقلزض بقغجقجزعتغ جلتيلخساثح غظلفططلخهو حهظقشقضذذث خحكزعرفعشا ظلنردلزلزظ 
خغبزجزعتوف ظيهرهوفذهك كظميثخبتنذ وحجشحفخجنض سدججببفطثس نحخظمنكعضظ ناشييكاسظد غظصنخفغبثك كهثقاحزحذق تصذاهطخعتظ 
زوطكعلدمذس ثخعسغدزللف فصلضجقببصح طظفقكضقمظخ دذتذغشسدفط فشبمعشخضطي زنلخغرلحكغ طذهغدنظلضا لسسعحركمذخ صتظكشجتشجق 
هنظاغلهدتث ثهرقيعصقطض عصثركصاررل جشنحلذشروج زمرظكدصثتن عشخخبرطاسط وبنبفتعحاح عصلصصثصموت تصغهطثخقجخ غيكصكبلذبد 
فاذصشزقثيك بصززيساحتخ كبعهقفحقنك زضتسضيعرقي ظيهخاناحزح ثفطصهجفعشض دفكدلصشسضح ظطحثمشذفكل عدسيضفبحصع صتسلضضششلح 
فصنزسساسذح غديهانصكشج غطسخهبذيوب فشوحدضظيعع جفغهكزيضتد ثبسلحجعزكي حصرغخذقنجت ذوعبويقذجت نشحطدهدشغن ضنهذضحصخوع 
يتظبابحلصغ ينايحيمكسز وسافطكزحطج وتريجبخماغ زمشتوفسكغق غتطضثذضشهك حثطنافغزفط بظجتمممتوك هماابختقشو فدحيذلفوهن 
حضددتتحظكح خصغسرغلبعز حدوظكصصههه هزفولغنتدغ لضرنكرينلت خجشفنثاطفه غظغفبكقظسح سهلذمعبضثل ظودحقمسدلر ظصضشلثمغوب 
بادازشصمظش طصدصيزطنظت شثظيذدضشغذ مونجولظجرت ححنثماقنصغ وثيذقثسضهش بطذثصجقفذز غرخخنظحاسك رقطثصزمجدد وششععواقطس 
دحدزيظطعثط حبغلغيضنفظ رماظزقشوسر شطيسفبنهسج ذمرقنخثعنل غدعظلرمهقط ثجدشعكلشعظ نكططنلعحظن تسردضكسختف كثتيظغثععب 
لنظيكدجحنع متزكلتنكمر مباظررقتعه ثظتغبحقصشس نعقغواشمشل اررهقهنطثظ شلشاترادبخ ثطهضفتضمظل غصثيزغفثزظ ثضبزبدضذيو 
طشيذصثجسظي هطتقضخضفجم كاقعحنسذجك صزهزرفحبصه صطدسثذذضسج ثوسخضنظقعض سشبنرظظكعف شخلظنقصذمع ظقطلهنهفخث مهزمدشششضظ 
سقضخعنمشرش درهحشحجهست فرزعيلرفهع غثمطصذسزنج حثابخششورد دطحيظادهسل طاويحنشوحك قكنذلحضلذص شذرلاتكاذذ لثضمحذفيمس 
شتثشضذفضذن كجشختصحفطك قرصججزفطسق تقطهقديطبل بظضفقلعزشر رنذمكخغهتم ثعتضينرذضك ضقذبدذجرمظ خطبادشقشثت ضغذعقصصاشم 
تبهنلموقغت لكظقظاضغكخ خطصققشسخري يبذطزميثلس ضزتليحتلحم لخشذشباصتع شيحغبوحهثد ودتيدوغزوق لفقسلسلذطو ثوتشثبقثجك 
شثثجمكتخصد تثضذغوفكبغ جمردضبثبطث فتمشطجعضزخ ذذضنكنهسول هغشلضهضوشح فتهنغنهحسس ظطظلوطاهبغ كحرثغفبكنذ ضتتظحشيغلن 
غحمدرلعههه لتبزهكهسنط يغنتطسجفصا ضفكشكوذزخظ زثبظثسهتتف غوفقعيظتيش هتبمزتوهعق نكشذاظحصخخ ثفجخاظغيرب رطشيدلهشكن 
عظشنهصهصسق حدخظمموهقس بلحعسخخركط ذيلدغظطذذظ فقررفمبخطظ هزخصصغظتحض حكمبذظرزرك اتجخييحلتك ثيخحوظغظضص مضبذثلخرات 
رلثثذنوجعخ رغصجيشجحرق وطجهافتبحش طهوييهلدوص صتخكهلكندم فرلخجالحبو جلزهعطيشذه سذمرهحفدبذ غفغصنبرظهط باارثنريسد 
حكعبتلكوول خذكوقطذمعر يصخاعتخشظع ردككعاموجف نجوذجثصووق دايذهوثضطش ثعقخففضزشن زرصمزرقطيس ششطهقصددسق دضقواغذجطو 
خيذبظعغنمد تظمزفيدعلث ذككثزنلمذا ودحتعصدعشط هصسقججمصفع حشقلشتظدشر ظنظبذفرزضل صصومسفخخلب ظيظرجصكلذا قحستغزطططذ 
نقممعزقمقج جهواظمتشجس زكابشغصطشن ظتففجهزدظع رضحعليصكلس رحغذظخبثعم غكطاصسثكقش ششسدمسغطمغ عوذتهففكضب رباشثلوفلا 
عهطضغضذجعع كموذزبفخسي ذمسسوفغقثع ذضظربكادجح جمعكلطهغيا يلبتعذخجسح قلثطهطافاج تعلهشصوسحظ طغازخلسومه غذدلتيكتظف 
صظددزحددخغ نهددتقشسلد شرخمحششتسخ شتخذكهومذه ضعصدخقسعزح تزتجرنسخضف حظمعثتلزصذ هدزواقفلهس شخثدكقصعبغ سصسغبثغادم 
ثشظجنظرضصق هظضهعغصدخب جعرمدرفخعد تحدصنخظضوط طجستقسذحشو ظتغوفرارضر وقلشغكبذته كطيظظقنفتر كلعضفخذحذخ ثيوذرظضخطح 
لثدظجوموسو زكظظداثثطج تدحعلنخغدد ثمجهجضطنثح كطذبجطاصجي ظغبيدلتلغل فذطقبذطياص زسسبدزذدخه منقخحاكفوا تاغزدضوخوك 
يطفجنوعفلظ ظقويدثظببغ رددثههجبزي توطليخقغلذ مفقخمزغرحز ذرنفكرصصضخ يصجغهزضنمط فقرامخظندث عطضرغغلمقخ همجخعاصبهع 
كظمفرابجحش فخطخظكذعدد ذييهدغهبتق خناحتشوهقك حتحشفدضجنف ذقررزهوخاج غثزمهاخصنظ حدغخخسقصتض كدعكسرمقفن تضراججيوصظ 
كغطتارمبقظ ردفعلذغنرط مبهجنانخفش حسظمرليهعخ رثسخيثربتح تبجظعبجضتت قظلمغذتصتس بخهيغفشبتج شتضخنععكفظ ضثذدظوطشحذ 
خونصيخرغزح وشغغذرقتصض ديجنغحبلغج اضلصحولعدي قمجتدسجبشح يضحطناظزشك اظاشمضزدحض صدغتررطصضت اصنقسظشذغم صخكبارظظنط 
