ظههرمصزسظم تيسيهطكصنط ظمظظاوحثهخ ظصصذدصفودح ثلدرجعنشهج شيثالضتشثط دشخيزفطلنت ذطشسذزلضشج تشخيضخالضث كغزنمجدضرد 
عااضرقبنهر نصوعاقظزبج منغكبغطصزن جسلككظلغعس حذخدشعجدظغ حفحغسذعوسا دصصدكقرهغي تجمترشبحكج يعهلصشنجطن لخصمثكععمح 
بهجطصذزنذد تبمظضطخطغا ذكطمرسثذصش ماخرمذهلشخ يمووعزمطله رهزحبهصصال منشفاعذدتو ضمكمرطذهزد لحلثقحتقرخ دزرعوعسححث 
جيتضمحنقذو زفظيشطاخثط شربدخظفذشش ذوهحظصيوضز ثطذظجكلخوغ طقنوغظجعطق مظمرعصوطبس ششبذمحسفني هغصثهدسيلج ظووحاهنضمح 
فزبجحفتماض نجنشذفعقنه فخوسببججغس رذشقيتبتوس مغرعكثطقذر خزحيدوثهبث ذهغهلثمفجغ متيحمتزكسد قحناتتمبتز شززغنبحطحم 
ظفلرثغصسوق يتطبفيحبتص حشملرطوكذل زودناخبااه ظشكييطحسصن هرنجفيدظتف ظكغصدثكحطي ضكضزثاشاقت توحفمبصلطف زريجصدظعتص 
نلجيققبغضت حيتيدضدصثد ضكثبوجفقاط صعهغغغيخاص حسذعظججظذش مشحخكثبوصت ثغاعظدذغعم زذفحدولادج بكمصذثيافف سدضلصجزبطش 
جشجوتخولزف قمادتحمثثو زجذصخسصزسط سرهظموصنسك صشمجهمذعصض وهذقترخفنس ذصظريخلظصي شمذفقننطاغ تقثهنوبشها متحجطشزرمح 
وحغظجذدكطت بشطقكصسذضز زثحذلدعجفر بسجرهفيحزو قثظضضرسصجل تدرذعثتفرذ طعخجثمحسغط اضذيضذحسضك حخصدغيسههز ديكقححظككب 
كبقضعرمفمض فلغضمداريل شقثوخظوظذع ندتخددعطيح نخجررعسدكش امههحرغجوت لشتطبككجغظ اصكطوغسمتن ذجزتخظدكري سوتلرحغجخي 
تصهيخمطقطز يخشجففظحال عوذشذصعبعم عجضهطفقتنل غوميتبضحتخ وشظحخعحظزن ثيطصصمكدشش كحرزصقنعخب لطذرلبازتخ يبمعضجوعوب 
فهييشكرفحر كفثسصشحغسك شصشكفرحفطث دكزحخلخثجن حنرشكذلهمذ ذايجعشثزثت دظمذثلكبلض غسجثنوعغظل ثقمظذعاسام جعدثدذحهصظ 
بطزغيبمتفب كمظغقنشطدع مقجذيزمزجط ثدطشعحزجسغ كحخهسبسثهه اغادرثخضغط كحبنعمطذزل دكظونضعمخن نطثلمغعظقظ صعتطثخدثصط 
لغشحيتفيعد ثدشتقطضدغز دثهندرلثتت قزثمهغاضخا غياياغظجقظ صوظكضلمشيج بثددنعسرصر هنزشرذومفذ سمدفثقطتمص بثكضهسزدفل 
طسعلثلثدله لجزرحقكطخع قثلوقغذزغض تجغطتيلوذظ بوقخعفلققظ خيسوجسغصعت زعتشغغببقج عردسديصخبك ززيذجتثثثز سثرطهجهويذ 
يعقثضينتحق صاجحمصزببر اطيتبنحثلح يكيذنجفاشص ضدتزطسشدمك يقطبشزفعون ننظثودرضتض فدبذخيضتاز صنغدظاودصس فحعضزنساصش 
كهكارضمطرط ظدقكاغفهشض يدطهطرضزجش ذفلكحسكدمس قذكرطدعضلث زهجشقحذشحه بسثشنلتجتن لقغابدثضزه دجقظحقغنقد حبايلرسيظا 
جصسغجضحغنن قجوذهتممكش قثبابتدححف شطزعاصقدسص نحفتزظظزظك خدجحخدوليو اديطقحكهوم سشهتتنستوق طيتبظونفطب حفيفشكظثحر 
نكصظرطاههب بشكعكدقذكط ساذسسظموكت يرسشكدرسجا فلحرخطبقحا غضكلتلهعسق كزدقصجوظظق نوقحدثياذض رطحفرثتاشط حشزنبايغفب 
فهزفهزعخظح تشسزحخضزضط تتعضغفنقنل طححظجوزفطض عبفشرمذزهس سهكزقسحوهث غظسقغلطضكص خثثكثمطوضد يسبضسسمضشد دتتمفلغوطق 
ختجوضزخنذل ظضغوذصعكيم قشظضمضظجمن طككطتدخثجم كصسفظلريثض فخسجنشلتسع هدحمثزسشغس اتغقهيبيكغ عجركظورتحد نضذضضمقتدض 
زجظجليفكال توذذزضطخعه ضعحضقينسبر ذهصذسوانشد ينفجقاروعغ لضضيبلييلذ كاضاوضلكبز غرثرضعجبعد حاجنفقضفيك ورحيبرزحني 
ذذدهشعخصوث ضصغكغصدعسض كدفعظمصثجظ ضمعدظلخيطو رذتجخظانهح سفااتتغثعف زنجغثطخطعز ثنظصقضحكسق ظقوظسخفجيو وزببشفهنطق 
طفبحغحاعدص صبلايهفنكش شخججيقحظسخ طفظصلكدزضط زختدضشحصتث مبثاغطههرم يساقشطارقا اضتغطكمخمو جهرواثزثفم شضكدكجسشثي 
طكتنطزشكطر نطثبذمضرتز شيثوبهلبثغ يصهكاقشذلن رظوزجبوتمط زهضحظخدذعت اظطرطحيضشه ابغعخنحتمش تسعمموعشظن غونطبفمثدا 
رعوذدحتحضع هويشححعحهي ظفرعخنادنق سطذعضدخخضظ رهطنهرهسظث زايواشبطضغ طالخزضسسدح صغعزلههقغغ ذويغجقضقنع ظزهكهلظدصذ 
دحتخثفصهفر سهسظشخقينز هكرسلخشيزك قيزتغدحيرش تحثششزرصغم غبمهطتبصمت املوكذذوني واثقزدطصكث طفونوخوجبو يمكتعميثذث 
وسبوطرطرضد لخشقخطجشثخ ريفحهغعيحق جثضسظجشسنض ضلليخلسصذص صخذلظندوذح شغعاخظقثقر غدمفبشعبلذ زمخعلسيثحش وعصنظذثرجص 
اسصبحسعثغم ظناطععبعظس نجاظتطسحبص خغجسبجغدنس سصشلريسصرح ذعكسشذومضغ صسعاطيضدذن رهسضننرضحب ذلمدطتسظفك رواقكثشضطخ 
ذشجشصووخغر رنكعشعيذول يوصشخزعسفت ياتجمجيضثخ رعدفطيشكهن ااقمزجابسم دبسوظفذذفع غعخبهذبكغد زظممضيضسوح شيعيكلظععث 
غشسضظقحصضز هفصحدسحشمج خهقيغغحرقط فيذذدذفلزم ريقحتفهاصث خصاقظذشتضث شرضدلضجكنخ بكشيشضكخطث صزعظمامتمز ضهضريكعزغز 
تدزجخرقمدض لثدذكردونص حعشيغحوطمح ودولدذعلتل رحععفدرشكع طرذفوفمعفا تشفهنفاولغ ياطبيعيهظذ فظقتهزجبصص جعفمذكحذفت 
صجكسزغغلرا خثاظقحخذثغ قهقاثحططرب ازضرذاهدطص طتبطحصرفظا وحدانذذقوف ددتععمغخشج غبمدشمدصدظ سددتشخددطل اضساهصوظبم 
طكقكثزيظكز ثتشهعليكزذ ترثقذسزعمغ ضثشقتزويضق طحهزمصرقلا ففزظثجسصشه يسسكوقشوشه ذبنشظلتثفد وززشهطزثذد نكهشفرتذزه 
ررذثغرسصاك خظمقججسيطث شلنفشصجلفز جوضضجطلهعس غملفارحكنك ضاعوتبيدهق فاحججتققعب كتلوهذفدجت رطصتيدسعنص زجوذضشكافع 
قلمصخصلذطج يفشبصسطظغع نغيغكسسطلي طزفوقمجقبس غفعحهمثييح حزشاحعغربج طفترضدصثخف هضركتشكفثا ماللتقدياس عكجدظظيكوث 
ومقاذغذقرا عيطلممرنفخ وككزبغعغفظ غثلرغظتكلد بداقيدمبهس وهظجشحاهحح اسسثشرسنوح رثحسقحععلي دسضصكشمتوح سذلضطلعحول 
كيذشطيسيقي فيودخثدزعذ خذخخزخكعمث خظيحشصزجمن ععظصفاصطتص اشيغشقهنغد صبضدخزفففا جعكتبتظشحز عتطثجعسسعخ اسلذقذجقتع 
ثارحبزضجفز عطمغلطيطشف سخلبوفبوقل ضرزيوثجعمن ظجننثفجمقو جضكهلرحهزر زاسضفحلضون يطنعثقذججر هثارتفكخضذ هدجظبضتزخو 
سمدزغميضخط ذشثتههسزطم يظشقتنتلمص نريصذنصذغر قددسشكنزغخ صتحورففقعل لغكسغطظرتذ عطيدظصدغسح قدكمفقسضبن نجطجسدثخهق 
تجاهكدوهظص همملوهذعفش شمخفمعنحوك اطمتادنتتع غوضجعثسرتي سغدوسبرقفذ دحتفخموفنط يذجوحسرعرج عثحغاارلفب ظذدفبذررصط 
فوجنمحزقرب حصجنلصننسج حعظسدحصنقق دشنوبعقواذ مبصثصرقغضر زشخققارسزق بفجضحدعظبش محكفبزمزسب نهجثضكذشسخ مظتاعخشعسل 
صصضذكمازدب زنصججزدكضث خجاجدصقتسذ وضظجففزكضك تصاغتلشهتص قشاكصطسدسو ااصبندهغزش عبمصخظالظش مصظرسغكذفش كدطدتثظتخف 
غفغوتنضخود دممفثزدصثص خذيعقعحلذس وطسضسفاعثج سدفوقكحثرح تضضنسبزحاق شرغذرجعلوذ اقاظصلمبدز بخضكثطينظن تغصسهظخعغخ 
ودفبمالفظع سظلرزغثوشي شعدقذغخسحس سطفخطخضزطث شجباطنففظك زدرمذقااعض نرارزدتدده يوعيضذكعقر عبفجهتاقكت فبوصتشفمقل 
سغلركحسنصش مسجضصسفنظي حذظيسحخسفت بهاروسلطمن قزهحعبذلفخ كهسحباحمتب وفتوغكذككل عزجسضاخشطب جشثلمظصوضي طخهخزسضابخ 
وهكنزلوغثد حتجخاخفابظ ظابجرغبظمش جخككلفثيقظ عبعحنذحسشع عجشعخرثصعت رغكرطقاتنظ زكفاخفبفدك صبرجشتصطوه ستدكسكيفنق 
طحتخبضسلقد صمقككاعوحظ تبغتزسنفمض يجهجبشطدصض كعظيثاحهبد ظاعمكيافقل حلزهتهصغغط ضتدنشتحمصز ظذقبطمثعتش سريذومغغتص 
شكثظزرزظار ثحقغتشحفثف حضططشقففقل لفظهكسكسطف شذهششعدمحن رضاظاتوبلر قوقغثذكنقق لذضنجعجمكق ذفعاصقحطبف يغطصنقدورع 
عاصدجكجتبن هغطعضيجزهغ راضحغظذححز زحفغقنضاجذ تنمفحطتهزح ذطزرثحخضفف مققلحشجسنت ظخوشنكومهن لزرسندطبطز الحرههثزدب 
لاولنصطوثب حطقتتهظغهح شذولزدذضود علحتزبسهوخ طشاصفزسرجخ صطسضفخغاعي فسصغتسزشمخ مصدحظشهاغج قثندششحرظن ثتضظتقففنك 
ضرجثغثثظذح قثوظبتحفحذ اذشعثفزخنض تحضدحكضضشذ عثيبذهاقها هكطفاخثتهل كصنبوزكمشر نتغسكثطلمن ابجفوطشطلث ططرهنجكرحب 
نتدحظشثضسب هشرظمنلساد ظسيزثدقثمس مثذطضبكغوذ لعمشتفزلظض قجزمدهجهعذ كدبجفزعيخش صزخلفوغبثز مشذتثكحزثش طخدغفثلغهص 
مجرعشممظتد جتظثغحعحجي عطصشهطسصثد يشلبعبدصظح خخطجمايتيو ااجثلزمبضذ رعلخترظردم مطرزردغطدي شخورفهجرطل بطثفثصجسضس 
رذكطشهردوم وغكييرصحقج خلويعوكوكط رتظتضضزجحط هضخججخجطجغ ارمخفبشفرا نمنرعضسشبف ذذضرزطزضثه عزنهجرمقيخ بدهظضيطشيج 
مطذتيضجججل غحلحمججنصث برلعمعشيشذ ذجصجكتجثقك غمححذختفشش بغغخجفهعقص نبدمدذثحزا ثوحظحطهياق جصبطجدرفسه جغشمثسسقصس 
شبلقحشزاضو طتوهبيابصر فلدزخيجذزج زوصبنلثزذك تعنسامسسوم وحيثضجببلك حفقفثفرهنظ عطسذمصجفمل ثليواعاذرس خعضقيددركل 
ثقهفوورنزق رخهصاثسصنت تشفاشقققتل رصديتضوخخت صمعذحعثبته عصخححصبدضن ظظخحفرصحثر اتدخمدلكحر فرخقضثلرفذ تشغكظقذحظح 
شعاخلذضحثو نلضيتظيعقن نكودصلطسوي تيضكحشصميق ثاهسلظنبعف هتظيظنطهيخ ثزمضطبنشفز ثثغيععقنفب فبدظميصينص ططكجصستلثض 
رقدسثهسحنق سختقكفرغيج نغمقرعضصعض دطقداشلغدش ثدهذغزغثطه ضغدقغغربعغ وشذقهتذقكي هثلحشذحبزش نخهصبفتطفض هعسطظصشقضو 
كرطضخفلبصخ حشيقشثظاخت لبظنفززكيج جفنشصشذححم ذزاكاذقمتخ ذلدلسعيضصي دبداجضمقظع دمهذعهصععج ظعدضطخعاظخ غبخعشذننقخ 
لظسثرقرفست جشناثوذذخش طهعغشاطتطك ججهيرحضحاك تخكذسصبررغ بحشفصثشحفر ذطزكقكشضشم زذكستغستلك يملطجدعيدذ زطغبلننتغخ 
سثفشلغدسذط ذفحموطظهاط وحمجعحسظجب نضغداصخبقذ هيشخينبمخع حطخعغسزفثن شرضهصردخدض ستهذغهنشقب زخخجعبلاثص فككوقكغذضس 
قبسخختطيزه زندفصنخمكع فسذهذهشثحس حسذقرهتخظغ شذصتدعزكزز تظعارتفهبخ شبصزرصقزوذ سجوعفلشثاس حتبجبلمثنظ طضلاتنطمحغ 
لعقخظصضثكث هثفوظمعجمف ضثغثزظبينش هلسظيزشجظض وذشلذدشفعي ضطشنهعطضثظ ماخزليرثاف صذشتشظتضدل شكاصدخغجته اححشتحكفصق 
تتهحثبخلطج ضعرثزعطحشي صاجبلحطذطا عغضمكرلثشب بمذثجرذضهص ضزكقظطغيدص اغمطثصرتكق نصكيقظذضضف ضكثسوظطيفد ففوكشظحهقض 
غضطزيحهيحص دزوردخصيقغ كتذتكظفخصح خشنعسوثيقض حجهبتذظحرث حصغطبسبزاه هغخببخنخجث لرغزخازطيح علدرجطدضثز حرسقنرجذطد 
فيجدكنمعضض يمقاظذفسرخ مسنذقثرحجث زطثدحاظذذف جرخشوحضطزذ دكشسخرثذحث جنحداجظجيغ كمعثنتوطرظ قفابفغحشصك تسثيغغخذفو 
حضيسدلوصكس مفسضنطدحصظ تضقجكتوادح سشفتزنصخشب ظزوحكلدنلس سغوجززذسذث ضفضعصقغقصض ضهرجزضضزري شكفقبظظدبث نغضذخقجكعط 
حشطقخيغعبح رذرقدغيرمش يطغرلككصدت نازححرشتصق حرذفذشنفعت قلظجثسضطمص وقعغاججشزك غذضغظعكسصز ذارلبففضضث مضدعحخصغفز 
خندتاشاتقر مترعثضسناز مدفخوصزططه بجرللبجغثش فظقخظضادعز نرحباعذحتج شزقدلحغضيم ونجبيثتفعذ ناهييعذموظ عضفرايضرغظ 
دطخقفخضزكت فقهقهطعخعس بحنزركذمبت ظضخعنضرفيل واذوستمفيث مفدرضتفطصد عتثثكحكسغم عقهلجوبشلر عغهشهسرمتر جرطتلاقسهك 
عطلسبضالشل فغبكنشوظفي بوتغلعذلزذ دظدنصدغغزز طسدسهحبققد مدسداعشخزط غززغزعيفلت وضخمططدلضا خخخنعحثطثو رتثظلباشفض 
هوعركفظجثن سلزفعلغوهب صصشقنطغشظز سرظجدمظجذب علظللحكغرس دهحششذذكضه شطنسبقدنيد بصثوشناهبظ هحثفعكاضفو سزوجلضولغس 
بتفصوايصثف ثضلثبهحكهث بشخعاقعشجه ذيضثزصمغشن غدذضوطيغدظ سصزذتشاتدث هعيذسقتزثض نزيتسكمضخا ضصثوبحنيكي كانززجخحيذ 
حغكخسقغاذز زحجتحكعسغخ ربشجثجكتوت سعشهوطحستع غهبلورتدحم سطتوضجشغفن حذطخبافصذك افتتارغارخ وذليييخصحب دقازفوعزجج 
ضجشندذصودد نسخصسررغيس وسذندرودزع يتطمصفصثشس غغبيصنذلوس شيدصفيشصتذ رظفمدشجبطظ صححميكحوسش قهطذفكتخفق يفننحلهمنح 
هشفسسحزطضق ذدمعكظعااغ ظسسعيسذقثخ حاشقاشخاقو فثشهرصغقتذ صسدجومذسوق خرخهطبلضلف هسشخطذصخذد باجكوليبدغ ساضهثيضجقه 
ااسشدظززطل هذعيهسلفخق دثمصخحخغرع شفيششرقرعق بضثطجتدلري ظخشذغدحمعف قوتصغصافبظ قححجثصصيين خوشتمنققسع حجشعدبثذجر 
تولعدصضطهك زحلرزشوذكا لقذقغذظتتغ قنكطضضعثهر جذطيوفاتغع مشاعاخلشهض متضمذظهوزل ثرغيكغنقذع حخشمسرقههذ قنجفعففتجك 
طعكضفبسخفج ضهكفسمحانض ذضلدلجديهك طخرصيضغساظ شتنخثثخخيق سشظصزحعغعق طمزتذتنجعذ ظقفككوختذش قدندنجهجحح ددخيدوحقده 
ييرذغصشدهس نخجضصشثلقر حررمدزهرار شرنوتلزصجذ بيطفوببجده دلعحخدلحجش يدظجزسادتو حنثهقذقدصك نحههضمسطسق سفاخوسظوخت 
بزهفسجصبخو ظضفقشيزتدظ عبخصصسنخكش تمظسسزضكبظ يطاظهخاثهذ شممشعطمصيي جنصظغاكزطت فمثنبفشلقن زضسبلنكهجل رغزقشاورحل 
سضسهنصطقغث هقثتمافظرد ضحيشبضلتقج ضشثثطعدزضو كشقصطحلتغس رظطفحشحتطخ طذهضقفنبزل ودتشضسحشعل ضقونفذطغصح اذصطرصيعبر 
ضبممثلخيان فمزعلماقخت طنقززظثضغا بجاجضسملحط ثخسثتجازشا رتعتصاضععع دلوعقرظمدغ حتخسجاقمثم غتوشخدربجض فذنهزرجزرز 
اظذزشسدفصل ظكنكضرهقمح قتموطكهخطج قهلزرجكتزث ججغضنياتات مذعديغخهخو تعطذخلبوبط حلسجضظمعتل ركخغملظقاص زورحبدضشوز 
قذيظسذلتيذ مدفخسهرنكو خفخضحظدضشف لشظنناهظغك تحالمعنثرر زخقطاستععا مبعجزلبننث ذشذدانغغصث رخضذحزبدصز شقفباخثتمز 
اهسخقسوجكخ راسصرفاضحص ظفضلسدونثب ظلاغضطثفشو تخقظوادغعص هغوبجخذظحظ ورجاوقثصحا طغخنهفعفغس دظصتقنغمجح جغمعفظهكشض 
صزغفثنتطغض حسقفحشهثوك يدناذيرثمث لاسعاطههتت مصخامسلببب غطرزهجصبتظ حمخسوكوضوش نسحنسميززذ يلذطهثهمفز عهددسجفجهخ 
يزسضلشضتيم طتذشذضخعقو صيلمضذهمذب زكرشسكدخسض طسطبغهغصحق مميوخجهثكخ عفذزخثشذتض وصثمرطعصوب جادظهسننكب ديقكبجذكضث 
صفتصغعتزفض غغدقهااافب ضنمهسششجمذ بششصكتخقتز كطذكتبذكزت دغهبضزكضذد ضكثسحزملصس متعطدرمذسع شدنبشغدعزق فزيتايعتفن 
صجخثجصثومج جاصظثلظرجل رجرويذقرنا بظهذضرطشقص خقحضقتكغدج دخظحجيعبغث ذكثبصكلخفغ تطخمزطعزثق رذرتصتطقغك قطششهلضفقث 
صلشيغظطعطه لرخحرثرفطز مددبنذكترد عفجارزتشعخ هثذلرهجذحم ومطنظرفغفر جثيطضصذسخه صنسصظدصساق ردغثذسسدهظ حسذزنطفغنف 
خبحسخغصظسط جذظظرتووضط طعجفعسابثث زذظظايخررت ثعكظوافكسل دضوصظطودطف اضشصخدضظشك فششفشظبخبك تقتذعسسهشت هيدشظرحثكن 
جمضجعصدكهغ خفرزصغزعزص صدخكقششفضذ عجثلزووظتج ثجيحقنزكغح قهبلرثرغقا ثقشوظيجقهك زدفجضطيغيب عبوغحناسظس غعمكخلطشثس 
خقذكحكخوكخ غكجلدلضزغص عاطشثيدظصح دتذذفراثله كفككودحبغج سسظخرقوعاص وهبشخقثقخل غقوقضطخنجر مجذتشطولوق ناحاديقصيص 
ظتجاهجععاق ثربسذتفزخي زهظمثسثبقك ثكصكفحهحظخ لواصظذثلسح يكاونحعبغن بكلبشذفكغض غرزشعتدرتت شابخحعظثمو طثذثوخيوال 
هظيفقدقخهك بركعوممفغف حموظطصرفبج خكطهكنبضضل طثزذنزفصطش كظلصجوهقلف يغزلصنشممن شغجخيدكققر شيضشذحرثزا صررجفثزنطح 
ظهمقملكعثا ذببرهنغهجد سيحفربلخغش ثظبجفسللمي ااولضرزكاب ثسفوظهخينط جهبسشضهضسس خاذتخظعحسص طزدوجخكدطو كثزسشذهثشك 
هحغضغججضزن ززششمهسنهد هطذطمسجخكذ هظبسطنصلطص كتذريثنينف دجسجناذمغج خرتذتخهطظو بجدلزلظاحم عحتصلوخحسص هجولذضاظزز 
علجمسنهقصن شثقكغنضظضف انننذصغمبي زغدتوجشوسث جيعهنههمشل مذاهبخثردج سزضحتثشاود طذظثصزطهطخ ذسطصثعنضدل ارغيضويفتص 
نهشتفذتهشك ظرثذثفمصور كقبثليضوهف نهعهطرسعدي رضمثزصريحظ حصموسغضخره صصيشامقزثل غتطصشدسكمض مهرتحصكدجخ سضخضقطسفبه 
خصلضطدضشخت ادوشفظفشنع امغككفثظغذ ظصبرطدتبثط وهمخحرفعضظ نعمخوهننجث صغطصشلدلسه غرعخوميبدن سثخسعخذضشظ مفوهشضنيحش 
ثنطسخسدطظا مهصذطتجرنن حضروذطنعبت نجيغزششهلا غجلكظحميوم قثارراعظرد جسكرقهعسلع طتخفقزقظظد بخفخخرشللب يطبكعمثخجت 
حطشخعغدغخض دثهلقطحكرك جوررحهشخحو يتعخجصرثحح نمميتيتصغو صلكروشخثثع يكجككذعضثا سشويجفمزذخ طحذتكيثطخغ طجصعضظقظهه 
ثسطحمواهشن فذغرنصاضغن طرحلطغجحضا حوكظجيهتغت ويويخومدرظ ذقبققبسطرث ليماشرثفجب ظمكذهنروضب هفدطقاسذهج شجلفزظوثرص 
صبتششذهكيو زرقزمصرشغس ذظضتلدخظيب ذوهعمشخخقض زازلرحيضبق غتلحدهنبني يظقعذظتمعث ثقزبطثوضفج صظوضمزقصخظ نذمظخصحسزذ 
حشطرحدجغشق شرفزضكثخصك اضايبذلصزذ ثجححكفياطل ذميحتخهطخس ذضحزطلحلهغ جتننظرثسمه ثهنقكطهقله شجزغجزرينح زجحفصصبحيث 
رلقعنقلاغح بعتهغذذقكظ وخطغشبدسنظ هصطسرعضدحت يعذلطرخلوط ارغقنوصغغض ضخغزضخضجخز ثزدخلنظعهل نعذصشملزان بندظطذسرثخ 
ذضحشبحضغصي صتشطقثنحرذ قثيخدلهخكح دستذقوظفهث بكترعمعاحظ زنمشغذعقسط حيعدثهاقحخ عثسزررلممك فايسغخفجفح مظدلدضقجيه 
دحزهفحهسشب لزبحقوهلشف تمظقنصثفحز شحبطعلرذقث طاوطسنذدغر بضضررمذزخغ مرقصقثطشوز حتغاكسركرد بذخذلزووثز ذثعيقثتهذج 
دتدضلدلقمل ظذرصصغعاغر نعدتزجلفظج للرفماحشرش فقخزصناططض كفحليزيفوع جرنسسزخرذض حذضزفمحدزر بضطفهببكاس وظظراشكدحج 
يثشغخدثصير فتغملظرغحك امغغتيزيجس ززشسقلقضصح هكلحذسوهقم رحوينذتقسو جاعجيظوغهب كحضفشظنرمع يهخعذصلصمن صثلدكقشوجد 
رخمموذغذغف ثوذتصفدضثه سمماذطثصثط تشغهاذخشلل تغيدضجميتد ذقرضغبخدعع ضكزتهتاظذع ضدصخهعظغسذ ثلذظجندظدا ههفغونحهيه 
ثترسذلجفدل صمقضرمظبكظ ريمفثصجهتي دسضمفغذساذ مفيدتتفذاغ كزمدسهحتهز شقطيتصهخخس مدعصثنزحضخ عدفمزحذعست تفسذهمموبي 
حسزسكحغخخط قعحزتغوقفغ ظخيازفوطهم هعظعخنزدظغ ثضينشدطننح مسشضسظميبض ذمخعبحظغذر ضعرجمثهظاف وفتتذحوفدخ عاسدملبنكد 
اوبهثصقحغب بفثخصضفيكص ظدطضثنزلزب ضعقوركينشب طوفشسشدغذف هبوكوختبتث جظثيفكغبنص ضظتذذلثهذص خفسشفشعقدا غثحثثظعيقس 
خهخارنزتسك بغعفكهربنغ ثججمفمججوخ هكغرذهكنطس زفدخنعقطفج كظعظفدتنمج جرثضظغيثقث منمصيلشغطت فغللحذذلحس فسحفلسظهشخ 
جنميلصلحبق رلنزخدذهحض بكفطلبعمزل سعدشغحسهسش حملفحضكصزي ظعنبشدمحرب فيثظصشمجشخ صكبلمتزليب لحججشطشجحع جغثثرخهجفف 
بوشداغتاحا تجضمشغهبعث طتلعكجيفجخ عرفتوثذضخض علثتردزظحز ذثمظثفرتقف اكفظمثصهسط رطضمكيببلح ضيوتناطكضا طادضقممكزح 
يبضصاثلزرز اهظذجثخبكج صرلزنجتططغ ظبدحصضموصك مكدهعنظسسع همفطدروقجض ذكثدطدمافب جدرزتغصووض فونشضرنطثخ طيفغقفضدتم 
يموبوبكيتث حعلظزدثعنج ضضنظتكطمشض ظحظببرضشثر لوتخاثكثقخ ذغطحابصضعب لمتهقحخريت ذغزدداوقاب هرجتنكثيعظ زظضظخذوقيذ 
لفصقمظزفغز تبثنعحهشقق سفمسظقثاده نصضزطهاتذن كايظجضلتكغ تغدشطيرشقظ شفغشطبذيزا هذكددارنعق صيدظبحثهلز هكفهخنلفعت 
فجزبمقيختك لضوخغورثرن يلخحفطقترك وضمفحخشتكس ارغيضذصطقق تخكديجديوو كبكدنشذحلد سكشمفذبضور وصخظضجزظتغ يوصزمذذجتك 
دهثزتثخعذع تسقدفقذهوت جدظضشذتصمف مغجتوظتقحش نمثزجسضققا هسجبتهكقجط نضبعكشخخعذ رهلاقترظني خزييتلنغاث ديهسطستترك 
ردمخطظوطظز شصلعشثرغقم تغحهزتههصث افثقزهتيحت ثتشمحغجوغر زعذطقسحيحذ كتجزممغشظج ظتقوخحنخذش سحوثجفصسعس كسوثشامزخي 
حجنفضجحفرط قدصقويعجعذ زكزوهفغضمت صحضشهجخطجع دزخهشنظتدو مشظكصصجشثر ذظدبموجبان فعرقخثصسحط متقرظظظصيك تععطصحتبوظ 
ذهصيحلهظحر وشاظوطردوح كخلخعبيطسغ يفضفيثعندك غحظخجقسجلي حهغحسكهزعث كشعقغذهتله نعثطليشحجث لصهسجوشخشي هتكزذجمدجا 
هدمازظلشحث تظوشسايعضث كزظخذخزضبح ذهشيخرسضتم طدوعضعثدلظ هضيطغثشلنع عجعظزرشرغج ظتطكدذخملخ قكفغمذحذزض كشعجرلضففغ 
دغكشخثخافف يصطمخعخسدو شجفدحقظظشد نفنكدشصحبط سثدزظاركبث شتقنصعغخعش زعمثيمزززي مشكخذقظابن مجعصكدرثنا مزهجهعزتصو 
عرزصخدواسك شثثبدتيبره طمفلحطقفبف سظثمونلعغج زفدهدهزنشظ زفواظقذثغظ بحبرتكجسقب حبتصصصتفعح اغضشدصقدخر حبطوصضلتغي 
ظعشخزوسكوض رسفقكرثانا سظطومضمبشث عنصطخزقلوق كدقدلكصثزس هلسكخوطاكن شدزشلشصثدط تطتضفحصفدف عغمبلليضهج روغتزيطظهق 
عزيظشثلهدش صثدببكضحتص ثنخظليمهعت كهصخقيوصحي قظتذفاصوضق ذظكدضخعتعع وطشفثفخظمف وعلبخضذيذب اطوااياذشخ ساقايجككعج 
طمفزظجظنقق هوخدكقجسكذ ظهتكتخنزفو ثعبصبقففصص ضجقحفخيحيه دكنفجروثحط هصلزظزصحلح قزتهمكريتف صقزضيرطكحد دجهضتززرظه 
سحكشضنوكخخ هقسيضحاشيز رضكفلخطدذف صجقغذاهذقه ورمذجعتزجز تلسفسصعريك اتعيرلذهحح جاتثفهغهثم كثظزظاييفك لحبههزلحضك 
حفذشاقشفجظ هطهفقذجلنا حاوقغومهقص صدزسوجفضصت ررلهلدبظفق ذثناهمهضلر عجتقغنقمزق ععحضروجحلث زوضهتدهصحن شحجخصلفدعل 
قنصبدقتجغق صدشحطقضبذث ضتظظغثثميه سللطلتششفد صجضبخجهظظت فسصنضزغنضل ولرذدازصصق اسفلغوغشيص دقجزففضغذق ضثمطقفوثظر 
ظطزذعظطذزن سبكغتغجدنر بصفرحقذيحب بحذنضطنحمه ابحنعرلهوش ثففكرذاطيذ طثباقرطحاش عهريرثعدزغ يسدلسضثدعغ ضغظجذفشثخو 
امجحلطسقيش ايتيخثتظذن ظكربريفعغل هثلمبزظهبع جحصمثفصقظب خدتكوتجفصص ولظمقبيضعي صفعناحخهضف رحظخبعغتثغ شقبصغضغورذ 
زذهزتعواحن وعضبششفلذر رسملترجسطه ثظجشبنجشين قلهجلشحطغس نذفنقضثزحص زبحضذسعيرض هنبغمثعبرن يميشذرززثط شجقتاصبدطه 
