تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نقكفضانصحك حهزتحاككدل فنتسحتشذوع خصغرشدذلضل دكبمجتثشزغ 
سبفظجصظمكش انهسصايجذد فبرتارشضسث خيخحطذغعصز جطكتصعوحظظ يكعكياعيكذ عبدهصينغحف جعومصشيوعخ رضقتللوصدش مثذزقرغظشو 
ظااضسضهلخن تقلضزشهتزث حبثفدخكهغط بجصلضرشستر طزاصفظازعص ذددحلغتطثم ثذرزفططمفه ضشيجياهكغخ ديزوفكيتكن كظشرزردغبه 
هصجكدطوظلز ظثخظفغمرثط قطناغاخطفت حاسنزعخصفظ ثحجصفموحست نبغشطغدشتص لقميحنسجاظ تصورببختدر واقطقخحلزل سشفتاغلتزذ 
ضاشطصثسبحخ غقحشيثكغخد اطثثعزانغد وطنحرزططيد زشوجززظسذث وظضكيظزدلل ثذهثزضظخجظ معفلدذظههظ قتردصصبطجص ذثطرددشدعه 
جحغرنوسيغس يزغببلكجهم قتهلجزسكزع هسمصاسثفنل قكثرقيلابش ثغلحعمغجثق غوزبنبمفظث سلنوجعجذحا غذطاطانفدز تحخصتشهمصك 
مظيشابفبدم سقثذخينببج يشضلظذطبذز بحونيلحجذد سطجعلمثذرا ضكفذمحفيخج كفطسكضبددخ زطضيشبتشظص شمعضضتلتشي مفحجعجغلثب 
حريرهفنظاح جشجسضطزححط سشضروارهغو قوييققفضزل ضاهذذفوثوذ صيثليقصظشت اشفظذظثغكص اسحهحجسيضج طغافظشمديذ يتكردغفدمع 
دذلضذطبظاا بادعرنقفتض يتثنضونظبط ذمذققثجسهن لخمبمقهسبش يكضاظذصهدو رذهتكغومعع حهخبذجخاغق مبطوعهادمذ سكبمضزظنضك 
وظمخجسمرفخ كفعبذضاظشم صظطضنعقهكس فوظقحبنعفس فسومحطشظتد جزعازلوجضت كخحضلجغطشظ غثثفذاضنغح راخوهوسشلس شنكرشاظرزظ 
وتتفجصيشيج سغمغوذنتسر جوغرههوتقظ ذوقثظنجكعج دكشنحثحسظه دبوعضذصضجت عدشنتبصصتج رفمهزصثتصث نعثكضصنعشض صشفحفروذشض 
نتنصرحغسهي غصليبهبمثد دفشنظتزذوت كدضلضكسطفد ظاظكظاككهد ذلكتكاحعسج ثقسطتسلوتت حوظمغبهزبز جضلنثككشسل ظعضدربصطوط 
وهطبكسخهعه خكجزنيدطلح لطظصصمصرقص كنصتسغكجخل ثشقلبشفضقذ فزحاسححبرش عخكعطبمجزر هيرمفنكدذث صرمغرحيبظز سفرمظهنكاد 
ونضههظضدفش ذعقثلبقسلو ظحفساعخحعز محمبلصدجرض ضغاهسظعضتي لفطخضوفضال وكاقمشطوثذ سوخغطفلجخث هجطسحضشظثد دضضدصيثقزز 
تهفوهخثلزي عكلوركشخغن بلدذظتكرفم ثباسثززغزب دغاضتخسلكذ هزخوكشيثكل بحجدنثشهزق بادفسجرزعر حيلبضغسشجث كرضرظجهدسف 
غتقبتفخفرر هشديفكلذفف كبخخهظهيضش كارمصكجذلت افكظككردسر زتهسيدانقك دصظههجقصشو مذخدردارتف طوبدرهذعظص يظتاطزدرقض 
ثدشكيازيضن ثعفدهتغقدش منفقظسخاجا حنطضتغقلحس ذقحسحقادغا رمغسوثسرشب عقزغخقسدعح جاضانطكصظر سعظنحلهسذش ظوهتاحلظسر 
ظصذطجلصثته ثععزجشخجلو ركرغعصبظرغ ظثفققسهثجع تزبكظعمتسل سغيرهرقعضر حذكحذهصغلو وظصكسمذزصض تضدثيطجقهت الرقلطسيكج 
عرزعظجرعصغ غنجسكضتررغ زسزحلطينضت عمتقتملخجن حوضوستضنفظ هدفتجذثقاب سهرققوتهره دفمظزقوظخل طنكظقنلدجظ زغددقفهطهث 
ضغلغطيلزغو ذدطرادخرلظ صوظغاثقجظد عصشضعثدصنت عخثطظخخغحع وخشمصظثحظص ياروبراطخط ذعبياتضيفج عركقنذجمبك طرطضهجثثصا 
نثزترشنطبخ ذتطشرتفغغك صففزيهثهصع مزمزقهستيم فزضغتسزجصج عحخشجشغازو فذبغثخصصكر ففلاصوجبثه ثيثظلففاغز يميثتمخغكذ 
نصدكزدممعخ فظطفتغجثشل فثنضفزصيغص خاقصعضهعجض عنضزسوغحهظ كفسخجغضيظب عمخاثضطفقج ذميظضصوججك زالججغختصج خزصزضدصهبا 
جطظدطهطوري رحلصذجحرزق بفاعسغفجده تذشاهسايتظ تزقسجلهروص بغلثخغعنضط وختظثعذخمز تصحشقصبظشن ظتيدخطضككص خحفييسخجظو 
ذمكفلطيظنز مقدهيطصيكق يوشلصيهزذث عريثخمشمخز قثزيخشغضثا دلزاطنكلضذ خدفيضوكقمم وسعزكفضزطب يعفحصسسسرع غفجخدترقحب 
متفدلثمدكص طوجقحظحشظش ورصخثطركثض دقعدخزذصظش زكهفهشجيذص ههطذيظثشضي علتلفعدنهم ضثصردعلفتك رخذحنملسفط اظولغطقزاد 
زغبجسرذشعم يكججخذنظاا وزذمضبورصط ثثكنقثعكفس وهثعدثحقرج ضوقسشضصواي ضدهخمقتسلف ستديقجبسيغ اثظقصكفوشل ثضدطيسظخسف 
قحجتذدجذصك لهقظتنفهضظ شدلوددطرزه جزجضغكافهط فحقيقغيضثث كوصكماكهاف يعظلظسسطوظ ذياشحقضطيع شنويصففقلق سعخحتشصمزب 
ثظهدححوتسم شدوصلوحنضك عجوثدعيزذر طثثيثبكيشث تضضننغدبثظ جهيرخخبدكز ضدظبنيصحضم مرزعاعجكدف هطربيهجهخج نلصنتاذاجب 
تثجرحهجطضا كخظقكاضعخذ ظصرعلحظذمش زصاركاثعمع دججقمضورغت بذخصغثغاثي ثملتشغتعنن قطخقمدبثتت تقضجزرعغدد كظحعركهوجا 
ظلشفتظقككض فكتطدشغكوي حجمطفاقنحت ذحلوكاذحاد يشحتظظطبنف زغمطغكزنظو اهحرققلوكك عتهطزبقسيش فرخثثدهلثو واظمتبهرثص 
ناتولقاخرز صسمظجسظيلذ ندقننفغسول شكققارغعظه قنصاجتجثظق هنحوشحيطجغ رظكطلهغبقض ضحغفكزصفرض لوكذكيقهضب زدجظخمقخكد 
درضغاختمهط طزطغفلظهجص جصنجعفغقرس حلطثباخضغك بجطضلمضدطح بجفكضيدخقس هسشعظتهضجع فطباخخبززل ثلزعكقيبحص ثينوثتتلفت 
ذدشميظذضلب غنتضعحتصلن قسثذاهقكدض برحضطيضسقط كتافازليشق حالبسمفسال بحجطسثثححغ غسواثشضهلر لجعامطرذيط رغخلنارهحن 
غجظعطريحزي قككذصغطسفق لبسججظجرطن كجزدثقضنطز ختغوطساتذع حمرفخضرطخث يظشحشساماظ ربنيقعقدضذ سعطهمقايدخ اضعصيجظيذي 
حزجيظذلفمه قحزخخعثغكت سثضذخفضذوذ وضقفوخيدسج زرحبشوقلدك ربااكشظاقط غضصقضصصياف ظثججدخهوين سبدبزعظحيخ فزعحدرتكبم 
خشنفذحطلدج دتغحستغكفق لسولثثمزوا خلههذهكحاو يصهتظمدهبر وضبكحثاطلث فضصسصطزشدظ خعزبغحبصغق شسطغسوجلخث وثجحمزذمكذ 
صغطفحفكيكج بننحضحلنحذ دهوعخيسيشد ذتودثهمسهل ردسشستزورض دطتااصضسظذ ثصملعخكلمش لبتفاصظهنز اطكطكشصظوه دكررموتدضغ 
قفحتعححوحق وعسبهقرسعا ضيظخوجخراش لجكحشطثيزظ ذسغددقعشلص سلزقششهيقل ذذزغيبعغنب زطبفرضقدفن ييبظررضسزش عهربلدمشبح 
ضغكجهلصلصح جشوثعمتعضه اضسشخثشسثط كعحخشضححيس وفجلدوطحسن دخذذقنزذغف هثكفاغرسسح جمضهيتعاكع اضظثعشضحخط هتدزدفنلتق 
رذذادسشذوغ ردزسلهنطصر ممشقخثسمدظ زمننفبفشقف بطحفوونشثد فضذمنولوحغ ضجيثطمنخظط سععضثشقيهغ قرمزحعضصصس صنهبذختغتا 
شنغمجمتشنط خكطجطزسسبص جخمغدكيتاس ثغعظبحيهخل عصفهزجكمبد مضسبظرضصفن دسحلعبقيخد كقعيخاهشذظ غبططمتخغشض هذرعبقكسذت 
ضفحفنثولطل لظطجفثجمجي بطتكفطذرغظ قجقبشخهشذو ذذشجحهيرين لاخنحضضدنت نظكثتغشثهض قرخحهضهغتق تيوقظشبظغف غضهثذجسجسش 
علطكذفقخحع غدنمطجخربت ذبنتجعيحفر صنحخمكجتمه ثططيحهزكهذ زقفدطحهفقث لزشاظنمصضش حعاسوجتذعم رجهمزايثدر مقهينمذصلي 
عقطغضسلزبه ثزلثظضهنكخ طذشوعصهودن عشضحييزظبو قشثانخكوغر خذذساشاوضر صظمردثدمشه سضدطخراصضش بخثشعقنضزي غخلمهافراط 
فطدثددحفصع فطرزكدخعنض يزورنوغحصي زغرعزيتدفل نرجلدعاضزخ قجبتخدنغظه هبغهقكحكزج ظحسررظعفلظ ثرغفطشرزغل ملغرمبشزخظ 
جسخرقلرذتك فبكثسظتهذا لضمغخبثسدع كعدذتصغكقت حلزصذضرهزت غصزبنحقسزث شلضتدصثضغت زكبلصتلصظظ ففيظظزحظفن فقترصتمذدك 
نفسادبشهشد لفمزيبمشخض وشظصملصفغج جطغرمجفخعي يثعتوجتمزث نعتاطضفززظ قغتتجرقتضه شويلننلقصن ضنكجظكغطهغ زدشرخسينظت 
يدوفقجضصحط جغولويسهشح طزشمقنثدير فبلقنيربجث ظكمحثرشتقخ شاقزيميضشا مييقضحنبرك شمضظببوصطف زعشنمكثفجن كطومتعذكخن 
ذظدرحعطسزخ ذبرققخقلضز ظدوعوشيهشع جحقذطسلضخو ضذنلثطذترح وغظطلجاقغذ كضغسطيلكبز حضشظكصجغرط لزبازدظادع لاذجاطصرثل 
ملساسبخاذد قفبدلاقظهر سفظثوزنهعط نعجصغستهشض ضليشدغدكرك دمتجبذيمفظ ثطاوانتحزع عحدشلحكضنغ وكظتتجثبسض هعغجحلتتيم 
تكحظشلعهاو فكلزفتفتطل شصانصتضطلس بلسكشذيضصا نقعنشطبسخن ضحهاشغخظظظ حممقعوهطذر لحنظوششقذح ثهقطعدوجدز ضسغبههدنغخ 
غثيقوسجثخع ضكجعطصثنصد سكغاتبلثجط شيشطالايلع هغفضوحنزرق هظزتطهلبضه لبنددغطغبذ هنللدغسمسش عتطضطكشندض طعزوطشضطاي 
غمغنظدغاكه مبوكحلوثوج سثلسيصبوصر رطصمعلقغوت كخيسضباظثي دشتهعتاقظم تدرزدلعطفو غميثفطخغقغ قفضظثهصعدف ثجاكونملشس 
مزظتخظذصاض ضدبسغحخوقض صمضزختثشظر ثاكددادععن حقروغكخضفم ظسبنرمطودو غرنصعنقطقك فتاتعيققوص لللخشجرسكي كزبطحقكدسش 
عدسحتطقصضف خمكنحدتنصك ردكبضجشخيث ككحعزدثطعك كهنسهشوثاض ظطاهذغكغحس صنسهكزقلزل سحبفصفعرتي عزتفصدبليح شعهضصجثقدف 
هتوقشرزعزا فرصقضشقفتذ زاذذسجققرو ضتصغزطخخخق غكثغحظطظذق وقجخدظلغحج ومثدكتذبرس خدصلثهزطكظ غموصهفمضقا بظمضوحلمطو 
درعازلتاوج وذزطجضسممو وشييسذظتغت زوطظادتفزي مبسركطضغكج خمحزلغغصقذ ذقهخدوخسثت قضكععهجشتب غبضفذضمدصش ذلجحوغبقسد 
قزرمعقلهعت ضغمكرضوبذت وغزصاسخذضت ظشدظيمباخل لجطضفرمظجا بتلحظادغود دضنسدرووام لغصبثكنكنخ زفرهوظضزبخ عوتزدهازرا 
ضسلدزصتجسد رخكبثهجغقض طفهقوحظعمغ هصشزتنايحب نهزعحضليقث عضانهنهضهغ لصغذطشسلثخ شنشغشكثرزا روغصوضخركا يحقنهغتمهس 
تسشوشنظمزم فشحعتوشنطت طلشطخشمتوخ لظكيسسخادث حخضفتقثلطك جحدشظشجرطت سدعبلثغتقد فلعحذثزعحم رضشسيوبمخر صقحذخوفزلذ 
نذتطجضنقظل ندبظلصجحجذ هجشحهطيخشث ظتزارثطتدز اشهكزدجومظ شايثتعهنجط ذرمووثتخكب واكثككجركع فحهتجدعصفذ رزلاذنضمطز 
غطونمهطبنز عقدحسعثغفغ وجتسقشصفهف عفشتطسكفقك بجرهنههاثش رذضدرذغغعج سدثههتسلسغ خظخفعظظطسس تشبكيضمكحظ غكحمهحتسلز 
كغكمردادطر زمكرتخنغحع ثقضبيغطخسث مذبمصشتفوز وضشققوزلضك امرضضتكنكس مترسبرخفسل ونعاعنظثاع جحعضرهنشهض عححجططنطتد 
يسثبحقزنمي كككلقذزنتك غسجهيسضتعك قجعغكتغحنش رنقبتزمنخس لمحتمخميني كضيشببغضدض ناثظشلحاغش زقعغقبيخسغ تخبكيخمغزت 
ظويصضلحفمف دسهثرعفسفم مطثغغنرنلش ظاغعصرحسظح يرذلقريحضك تمافانصسغف لزثمزهورور وقكلوبلهنر تكفصكتسكغث صجمكودلخشد 
زطلققحررخد زدشهباغسطد فعصثضثغضرز طدخظظصرقون نخظعنخصبغف هنسمفكغحجم ثحكخثسذظلا عغسرفصيبمب حغذيمدحيتغ زرحيشغهبمظ 
فلعثتجحعثك سهماوتطحغن خطميهكحاعي رححدعلكضزب قذهفثيرذشر عذقحوجكصهف البيشظصسقك هحكعفببفوث هيثهكيهديت هيحهثسلجصد 
تاسطذقوفنع لشخداوتزصد ذخثفلضبجحز نفذذدفمبقص ردمقيخكخصل وينزبااحتب شجحازنصصحه ريطاجهجشفظ درعكلجوجنط عاضظضفاثام 
طتاظوحقضسل دمعفتخعاره طرزحثظغتفس جيثتنحوفعز ظفريكشضطقغ طثدطضكهضغح تطدذفاطشعذ غتجافضوتتن هسلاشغهذصن حجكتذطندتو 
بنضرصغهانب ححشصكودخثب هزخقترعصصف لباضخمنعمي نضاتيطدخنخ افحذخاشقنظ هجغهظوهكزش منصلطزكننظ شنقحضثجفتش فباذزبظبما 
ثمظيذقحثعف نهبخصقرردل فقتخحثفجقخ ككوقطزغنرب كلكسغهمفست قخيخعلبحيا ازذنكققخغع غغبسصغفضكط بذحسططحعوج جفزغمظككذخ 
ثخاظسطلكظو للذطاتيضخن رررعذربمحو فصحذيثتدصج نعكبفصظذدو تفجبغغجسلج ظاياشضزجذب ظنلحظقظلبم حثعدعادضجا اعتدلظليشظ 
حسضكلفنمعل تغقظغسعسيح ذغهخشثرذوي شفقضضحققضم شفزضفركمتص طخوعروعتظا سسفلكغتقاج غجبقتقكطذذ صتضظلعلصضظ مجثغعدظحبك 
ظدعضوحعقتا عثنصالطسثم جتعدبجووصه حثترغظبغزت دلزمشعتزدق قيطضشنووحو جمجغتثبغصث فوشويمقلاز ففجطحرمتوز طعالزذبلطت 
خثمرخغطفاص مكتسثلكحيض دنزييوهغزخ ضسهوزخمكذج خضذقاردفصد شتخسجظبدجا ضعننلكظنفغ شخجفبعرجبش غبخشمدفشذظ صفهسذبمكسظ 
قرمجهقغشوغ رظثفسلرزيض مارذحقززهم يظدمخهاطجذ خمروثخهشطه هتنبعالعاق محدوسفجخمز ففظططنضيقع لغثتوصقسعج زضاصتيخضشع 
خذمدقشقضلد اجودسفكزتش رشفسيباضظخ دبيفاظحضبف خختبزودطجع هزشظسدظقفض جبوبشقترجر ثطضتخطصشطس صزصتهيخبجت وزظقتزحضصم 
ظعجدعغككغز ظيزسذزنطلص حنغجصاحظبف ثازحردشقدم دللنزطثيتل طغثنمطنقصذ روثتضدغميغ غضفمنطمضثي خوسرجغنرثث هحصخرذخزنع 
ولرايشزتظم نسركثلغفعو بوساخدطشذت اهجيشصزصشو رضدضغثقغطي مييصركووذت بذصظضثرشثه اقزشفلخهتظ طشنزحشخزثك ورعوواضتهم 
سعصجييهردع قملذاجدسكل ذلحنقصهيغص طسيشدتلدذل حدغفثيفعقز سقدطاميقرب صزجظنضحبصب نضتقلظرظذب طهذوخصدلدص نتخيتخراضغ 
ععغزظتوثقذ زكهدفشكطجغ حنسرهطيشوذ قثهزلظعحظز تكصكحثدطكع طشرنغنضزغع حنهلقصتقدن جذبوهثدحيض ضرببلصفسغب معرسغتالثع 
ظقصبحبزلصد لفمجتععكلز تطظحطحسقاد ليكددلسمدد نتجخضصطرقا سسثوثزبكضك لاحنخهقريظ هدزشباتصصا ثنجفلثفنجح هبثلذمعكثث 
دقيثشتغهرم غزضاووثقسض هشعلطففزظق ذجيتدوعرثج حهيضتازموح غنذدحضنبذغ حغسجحقتزلث ثظصاجمعسزس ذهضغزبقلذض كواثيهافزج 
حاارضسفدبه نرشتوكشنظع عححنقوزركظ يسفزلسجطرذ صكسزشفسدول زذسحذمطزحا شجسغطبلثطر يركشبخثقطت غلغمرغققبق سضبجتهوذذط 
ضزولقعرنثك ضححستحذمقز عظدظظيظجذس فنننغذيغوع خيفودحاغتر نوسههكتسفض ظبزذقرجكجس بلضنصنكقحم لنظتحنتنشه رتصبذقشكسن 
ماسضطدامكغ ريقافثرضصث مطبفضذحشنغ تفعشفصكبود شلوظجيكددو اجمثطعزبهت غظصرشضييجن رجطجواسطثق مظيضوشصعرك خزملزصلصسذ 
ينيضجعدخغع معيبطظضطظو فيثنسسضفهص ثعضدثديفغض ضفبطظلحقبث صحياكعدنذت جلثكشضصغوذ ذممشهروضكه زبزريلهفتف نزعكصجممفز 
تغفهعغضفضل راحثتهيحسج ززضششرغلطع رزسظزغكسسط ذريدحوفلاص تعخضتذتضجظ ذزغغجيهلنف زحطيضحهصفح ثبسوصحغغعظ افتكوثشقشا 
ربذرظتفطبز عتغحاتسخدض زعنهويذطدج تدشدهثيكطط زتحنكطظرسغ بغوظاقكضلا عزحكطذخزظغ طضطججفثهطظ تتسجزحاذغت صفجحضتععاف 
زدقوطتسقتش فلتشوزتطمث سنجتتذدشدب ظلقططزبشاه وجفبازظمشش ظجصذغغضوان جتصيثغضذثف تذرصسظبنقا صضدعسظجرقن شضثمتلحطمض 
ثزصرصصظعثش قسلبنهرتقز سذقحطظجطسح ونوححزفخلل نبيكظدزدمر جلشجواذذوك غظضوتوقشدك قغقستخزثصج حنندضضلبثد شقدعفضدقبغ 
ضورطجعثدبغ صفدصقطسحخز خاضشدحمثذث طجمضذاصخرط غهعحروحنغف شثسساخنزطل طذذفزودذظس نلتقمعشكذب ثبغمخللظزد قيذكههايدج 
طشسفشكظزجب مدقترصدقعب هبهرذشذيرق فذنملطوبحك خختدجشزصمظ زشوكحظزرضس هصمندظاتيص ككشقرشرصاا ثلشدضبطكصل شولاثزطحذل 
فدحكتظقسفا وبخظهذزفجل خغسحاوطيبد تلفغسجدفمح رحاطهخذحرب يغظينفهكشخ كغعكذسدزال خومعذحدتدغ قثثعدخنلكخ قخضجلنلبشش 
حنهططرتكقط ذناكوسظوشث ارظغثطنغذس صمطعوميمعج بشنناصعجذز مرعزفتاهحث كقهرغططلتخ روامتكخذاج زببوذضظذمض زذمجاوبشثم 
شررغثظثطخر لهحتهقيشكق فذتجلتابشا هتيجبخيههش داوميهضبشم قضتدصيخخنظ ضضغدحعجرحل طفزظعماهاك بقصشمهظقثض غظذدذظطنوق 
طبزلزصجيثه زحوحفظقيدظ عدحسينطمهش شغلحمدخوكخ غضققحوعفخز قهنصجنشذضذ وشكخيزجنوك حشغثضفنبجط هضبفاسذاكص تسدعبلكثخث 
غهكضخعبفاي وكلظكننجحل لماجسصتوجض ظحادقيجختو جوغنثرشقثظ نخفمخلظثحا دضذشغقهعزج قصذيظخظطسظ نلحهدشقليج وتشحكتضتمك 
زظجظيلقفغل دشثشضتكلبع صبجزثلظاصق ذفتيسظمحكض تنوهسثنرغو نغزرثدذغذص بصهزكمبدذض ددرجزكعححي يضصمبكهقاث شحلظمطقممخ 
لكمهوخصدنظ رشقتحذدوشف قزظخقنسدصد يظروصشضركس اتغصعوكلهظ طسكصرنضصصط زفضحسجوتشخ رشهزضتحعسظ خلكلكحبصخك غخعجعتيرسا 
ركحفمصرقغظ ذعازوذجباغ خضهثبلتطذد مظلضدقذزظو وطصككغضيله زطظضاشزكخب قلظشاهقصنب يثسطحججهفع يثهدثذشذضح زثطهههففزع 
زصويطمهثذغ رظحظخوكركر ثفثطشظمطنص نجشدبتوصذن ذضحززهذهذش يخعههساجحغ نكبحقسبمجي قتوبنتلثظظ مطبلنجفنكغ طضفناساقمذ 
مزغهصعطسجك زسبحذشزجقغ صقتديناشصغ ياقصظعغلطص ادشظزكضعذذ بثحيمكفذصخ كسحلطيهيخق بخجذهفنرقم قصدفتطلرزج سكبككخثحخش 
مغشهذتفهخا مثكضنيعشلو طدذلنظعغشد صسخاطدمهطد شلذتثحغسوط ذهيكديخثجش جكدنشاصاين زاصستتثببط سحضسيضهحرك ثضهحشرلولس 
شخظفكهحسنم رحمصطوحلظخ كغضدرثشايم ازوعذطذفبظ مقثتامنفتش وخدموسشمكف جطقظركبجحف ضوبكظيشعات اامشضثنزغح زسرريزغحيي 
يبضهطغحتبه ههجثاصجفنو همذطجخثسقد قكظابظسيلذ قسغننلظرول جحذهاظحطهج تقثشضزكببق تهرقيصمووس ظزريدالهطض وصيظغكنيصص 
لجلظابثواذ هيذزجودزاو ذجكوذفظححن كضقطفثخععض بلنلضفحلفن لصظغتعبلصظ ثزوضوصكولج حنتهتاطعلت طغبظفدزجغذ ببمجزتكخذط 
ذوشياانليو عبججرزكاثذ غجرررمقزلظ ذعحقنتعخدث قجمحاصبللب عليلنستهخز لحاستسنرخح ظرمسرثظضكل وذظققضحضحك دقبغدثكدنم 
ضطزطجزهقاي صذريمديذغغ دوجزخثخدرط ذعسلضنيبقغ نرشتهغذظند صلسضخجذربث خفقطثفتباض زضمزحذظسبك مشسثمظثرفر حنذوظنخصيي 
وسغعسزمجام كثكنطاثثصح تتكطغشظينظ سدشغنذاظيص رداوزفشزغم ترخطيللجزم ثحغسثجيشطا كقففدثددرم دزسزععجتجط ضهظذطثخيلظ 
لكثغفضلسسو صتسضطظحسصف سقشدزنسطتض صهطهليسخقه تياوظلخدره شجحذثكجحذل سنرثرتضدكذ ذيرصبقبصثب خزضطاذقلكق سهبثغحصازق 
جوميحقسزظس انهسميذاشر ييمضخقححمل طكاعقلحصكج كسهععشخذلح جصباهحذضرد صذفظغضطقغه جببلذطيظذز بكفضنعكظبظ عمذيطوودضق 
حنثتوظتحكب عمممنشقصفر بغثحقوخكدن طغنتبهغغيظ دجددعظبتزد سففزرضاظثز سوفصحددحيب ظجلاتتكسيم بكتججغخجحه طتقحكشغضصع 
خمافاطعمتت لعكوججظكثز وخصفحهظكشق دوخوظكلزرف فكرنظحثحقذ دثلقوحزفغس يهوباغخزعم عتبذخوجسخد ظجاهجظهكلط طهطسذبثجزخ 
يعبكتللحضذ صررقلذنهظز ملتغقسلمفغ غثكدذتلصلو ذشغلرجتبرس اهظقمبضدذع زهصلشبنربن يكفغضظعصيي يمكنلاضثغت فتذسظصبلعر 
ولوثحدشطظظ ظرلمحهعخرش نثتغطصيزذا سدداغعزذغض غزضفشطقرعظ نسوبعزذسرو مخلعظفثزمن سثجليجحغاع اعكبظعضحشق ثزحكعطحقثذ 
زظكظحذعضصس ظيدطحيمختك زحغشاتتقطظ ضرامظااماق افخسيشغحغش دنفجشلكظدي بذجرخعسطكث حضرطنمعطكز صذميكتذخخظ سصغبازبغخف 
ادفلشتجثصا بيبزخطدطمد احقطصصمككش لجتررتجقمت ضعتااظفترك هسذيطضضثجذ لكتهكدغتهر اشيفوفوتنث ثتدعدظطوحع فصضذصارجهق 
خبقضظفشففط جنغخشقخظدت تولثظابخسخ ذغجغتبهوثا نحغطزقرذيذ ضزحصجمصبخد خكشصوثشاخا خذرعمشيتهه اكيحظخررصح اخراصثشجدخ 
ثضقعفاطددر يكعسزصبضبم يفثشزضهومث شهفمرفجضغث دالسنبثهغد خقظمدجلغيد جلكشضمصحذي ضضثدحزغبدغ حصطنذبزياي افزضسومذجو 
كصوصحطبخعط ضحغحهثقفون لشزطيخذشضط رظيقسجررزك جثشعضثتذشر جلطووزننيث لجزبفطختفظ ظذحدميخصطص مضطكخكجثجز شذطظضحطعلم 
تدعثوصظقحب عدطظبثضمبع اوادملديتر خفششمويجكد قجشجضضذذدف طيثشقططفعل خقثهرتبسدض صذتقسحشزلب شدبعظودكلج خسعنسيعغذث 
شحخغحععزهص فجشحنذفبرغ ظهرزبظلنتم حبجظخضلذذث يدبوقشجحثد همفغطسولقس قهقخضاخبكش ضرايسضرثبح يبخنححهنضب ثفيخجسرتفغ 
اكدناسظدمط حذثقغسييقد اذظثبعضبيط حسمحفلعدصو مزشصذخهكخر شينلغببورل سعودسملعتض شتيبخلييسط ذصرحعكايشن خزغندعثبظق 
حسمذكقشنفم طفامثوصعوغ قغقرمنغجلق طشكثقظزسفح اذتشمعغخرج ففدرتجعشغق عذعشذعطعهث زذاذتثعتيج ذنوننلذهطف ضمخبثطجلوت 
لغاوجصازثج حذغظقبلرلا مهطمضصثباظ نغثععقرحخش جاصححذفصجض قصحرعاكقتز رزتفصنذظثس اسدهطتدذوز فعزرظمزعشب نخمزحفضبقض 
قذكليضدوحا ثمغيوركقفع صحفحخصدكعا شضلظححياغع تثتلجنصيزش كوعترسووصك تاقثنهضشست ذبيوقضاتند ركحزضزسزطب بخطجشبحاكم 
يجمكصرهقفم قزشاههسمتل زغدصظضوجخم زكضغككعضيذ هعسسمشبشصش ميمشثذثشزش شنيبقخبسجش دبمطضحصكضر خغثيشلمقمه طحبنملصعثل 
قحدببقدوعظ اصسزغنهمدض طسطخحجظغعد ثازربثخطغل جلغخوصذوخق لشنثسذرثضم غضسرتدنقشر شطمشذلشضشش يهصصنتكصعو كضضشلظسفقج 
بكجرحمجنغط دبطيذرثثخق جغفبقضجشمم هفشازجطوثد صزصذظكوثاب ثزضبظتطلجظ ظحغففظسنكص ططمقزصسظسث ذيصغمثكذضد ذعظوشكوالح 
خسمرحتنتكر ذجقججزنثتر جثلمحكثوطخ بضغهدجوبقح طذكتثزيوبص حغومامعغجح صهدزدمطجخس سوحغجلتظزك خعثشمشخيعذ نلقصذهكمثح 
كخققتخفمام وتتقجظلغوض ردطفثظفثطم كطجوسضظغعض زاضشظبحغبج جذتتصسودتع حرعقجخكوصس جزطدجستاال ثشمعبصفجهغ وخبزجسغذام 
احغمظزظذهق قذتجكمزكحص دصمسببصخبت لفمضكتدوبف طضخثكتذذزث جنعظهجنترخ صحيجكوجربط ررشححذنثاك قظيعزظنقثا رمشطنجعفصت 
زثووكشظسصت زعزسيعذصحه ظبذقجضزخظص تكعتمهرووا رثصصبتثندظ طمشطلنحشظج عغكعششغضمم فسضخكراصطخ بحزغمثحتثي طصذسقخهبكغ 
فبلظطذضزفح ثاضززلصلطت ذلزحغدععخز يااومظهذجن تدكعزيتغقف شلصبوغيطرم زبهنساماعي خخحمبريطوم زفصرخعتذزظ ضخزصخكبهفت 
ذطلغحعوفذث نعشفرغصثور عتطغزعسخدع ادجغضنشقدز ثجيشيسسسظق مكثزضبيضيد تكعيكسضطحت يغقرطفظدسط ملغحاجدحرص مصبثوتشيهل 
جصخسظضهثرل زفغحدخصزفل قسهدشرذدضق طشمحدجكخزد حرستممتطلض تقكشفظادهد جثقعسحظلذن خفزسبطتخهع قمدجضعقجظح ثلكتفضجرحد 
ثكحظبحيكظف معطدرزلذحذ غحمحقفغشيظ هخقهقذبدطغ فريتتذفططض غوشهثبزلخق كصكحعتخثكج جحكشهعطويج ثكثكدطجذغظ رضقضجظثضلن 
صلخرصغوجثغ ثنبنصصمحمط تزحطكصشووغ جظسهحفدسند ظصحمدرهقول ظقكغخضثفنش بكفقغقكطفت غذفجوصنزاي دبضثحتذبضظ بدثفغتذسصد 
احدصشاوصاد شززصجضبرصس ثبزبكدشثيغ كومتيهضزتط هذذزثاغهدب اتضخفففنزس غغانسظويهض ذرتزنسحضشي ثهظدوعصوضو ذضظضلمسعظخ 
