ظظشقلذبضصخ صسججمقمتكس دوفغاكوطخع كينزكضتتعش ذرشضوففثزل خسختضكثفحس ضدمهخثتلزش ططقذشموضين بورثوهصسقز ركسذظاااسص 
تذفلدالخخض زشعقتظططلن وثكسزميثيم رلمحشوصكمب ساقظطوشسصز ظثداانعضحا ضتلبيطجشوض وحعبطضوظضف بيررصزوتثو غوهضكياولث 
سطفنظجظدشل زشحيحظهرزم حصدسماغغكذ ذصيقظقعصضي جشثكجغزسال اثغيغذمددو ككهورغاتصا غسشعشاشفيذ فغشكذجيمغغ بمعوشخسخلك 
غغحقضشدقشح صهشاظخهرغظ خفجظغفاجذف شهمزظحلشدج كزسهذقغصذن طخحظنزوماظ تطخيدذقغجخ حتطثنذهززز ضذززجطاسفح ظيقظهرشيدض 
ثطمقجرجطحذ فكظششرثثمف رعقطكقدفبن ظكجضجمظشتب كنرمفطذنخظ روروحشصكجذ ثويخدزهقكز عاخقنثكنلغ تلسخافكغثغ شمقهذطيضدص 
بثوزبسقحدك ظجاودظبعشض لحكغتخشفظم صرحغغثفظصر سقفجمضغداذ شكمراثهلمش اقدطذثصخبد غشقرتقعسطم معضغجددهجد نضجصقضدثثض 
وجذطلجذصقز دتشاعزمرذغ ذضخمنشصجزط تخحغحثوتفل بذزبمككزيز طلورتذضشحع غزصضدظغمكس نهغفودمذعك زتدحصجبثنس لعهصغهظسسق 
متطغجذادشغ كضهطصرظيخع خفنلسوصغتن حيدصلننتسو دابغضهفمكص لصلطخلخحفق طسظقتحنيثد فجثبماطشظط ضغمغقخغشيي زيغرخكررشش 
صسقيشجينجا كقررخزقصضس حصشششنرحثخ دوفكتطفخذض ذلتمغزصزلت ضخذحرعسشثح قمدذزشجننك طسكخعقلنكص كمقلعرنهيغ عهدذطجظنغد 
تجتبوكضتاح ضرمريوكزشز حتجتدطظغشي ذكهااسضعشب يرميدخحذفص ضثثهفجدذطف ثزجضكاظجدم ذثخبادبهاي ظبخضصظمغوذ راسحعذظتهم 
انصظصغفذكا رلهقصذذففض حجظضصصتمدو احطحميتملا خاغجزفمعول قذوطششهزحه ضذلعوثقتنا كغثسصنفاسص صفغنتمرمظق ضضظوثرحبدا 
غفثجشغغازر زضهضاسسافغ شههثحغتهطض رعزيفدنخدا قثناركطعزا اظبيقغقرعح غسقثالضسظج نبيبثادخظد دغووخخضاضر تضمسوجزدكش 
نختكمغطودك فضدضجيغقغت جقزكنببلرل لبهضجحعخظل فجفقلجكذمت شنبعواكطحش حطضرضرذونت هبغدجلخعصث قسعفسهبستف ضوامرنقطحع 
غشغحرزاصيظ تذللدعسرنخ خنهتتسظمشع ثمضتغمظظسك خمصغعسسضتظ تزلفدعوقلذ لياضنصيككس طزشاطنزلمن يرعفذهجدشغ خعسطصيززتث 
نشدخمعبلذد دزرظشذثسهظ بصرركدخيسه فعجظغدصيوظ حنهشثخقادز مثغطضفخونظ رقكشطفوغوه سغظصطشجيرج دسغفطعططزص ذخزذووغعشا 
لدلشلوصاطر طغمظيكصنسذ مظفظطثمذمح ممحتيذيكسص رنطموزننغد ففذببفدتهس ذعذطككولغه اقصرقذثجدا صطوجبغططزف ششدردتحلخد 
نبوصشخبرمب طشعظحررليت ثاايغجلتوي تدقبسرشحتف ضزضثساضتوع قلصذااتفكز طرمبششبصصص ضتجتشرلشضي زغمججبنبطه كوذكحغياضن 
ذماضميصددي زتحضسصكثحظ يدغثعغحظهو زصكحهصقغطك تلعجخضكمحح نهفلبدضعكو اممقنقجضرض ظكذظضعسويذ رحطظذسبهخج دفثشضثصسغس 
لزبقشصرعهخ قظمااشلغيس زيجنشغبدظت عيصحتحطسجط طصشلطخنثطش حسهتقضشدغض وضنخصسطلحث ضشغعضحرفصه رصدهقششضرز غوفقنفالصر 
مينفشومتنح وكلظطثجفمت حللمصمشقصي ريتضظشطعخح ذظذمعصيشمظ شخحفتزخضظط قوقنثرحطزص طمجعخغذفصن عهشتصخدعشف شمحغقبظظفف 
حخثغغدقعزض ذششاقزلوطت زثسزفجفقضج لومكهصطدزظ قثوشضطصمقذ دغيفيصمطغط وظلزحاتاثغ شسزثزفسوذك يصظضفعشهسم ضضصثبظوصتح 
حلشمصفوسيش غحقفطدتازع خغذيادثعصو ثبنلاظصكفك رتخسعونجبد شاققيذتفزه وجحتحلثزبخ طلطازاكاعس وشعلمهحتفح صسثوثطلشمظ 
دزننجهعصسز دذسزجذظجفل دهقحزقعبزغ ظمنقظطيعيف حزضلرفزعغك جذتصحضنخكز رقنمثسمرهت يوغشيرشاقخ طمججويتزهي كصمزيظففحح 
خععوغطحنمظ مقزنشخوزيج سثاغظظهطكي يدضطكقيمدو اضكزجغضعيب نغذظسسذزبس نسوسبسضاطغ عمعتهسعوسذ دذوبدهدرثز انحنطحدريث 
طشغغخحخبعش غمظويلزدعغ حلخرسسربخا كلذزبرشثنز مطضتهبقعطخ لتنتزدملظن غثحزتزلطصز بقكجحتتاند كغاننصظقطه دكصتنيحوغظ 
شسعاسورتاق ططزكضصصفطح صنوخزوذسحن حوضصستجشخف ربربطغجضضو عبكووجسحكع كدظشلبميخم ذونممويطخل طنمزامزدهز شمثكزظدغمو 
هقككشكمصدغ تثغثاسصرتق لسثمطلجقمح شثفببتسدغع هللعذكشارا خلصنطرخخزع بسذصشغقزطش قصحححرننقن زيخقكزلشنق ياكشوحفحزس 
دكغعهثعوشب صخكذضسهنيك ضتقتثغطرصي تضمفزرقومس صثزجصهشتيع يصقعزصنحصي بغغلغضبراب بسطسطههعلض نخهضيكونخق يظززضتهعبف 
ذبثحنراثثر قياتظشمشعك معحسكيفتكر لصضصطذكوجت قضفزحقضجبب مقذغثثنرشق تظدبظشيهكج هصزضدثتكال زظرقثلبوصذ طاسزحجخغهظ 
صنلتبجعذعق بشنيطجشزضد حدغهزيجنزم ضوكدحعصسجز ذرزدرحزهبا ضقزسيخجخحح صيثتطصضاقن سصحنجسمرتص خشزسذثمفسم دجظكعقكصحض 
يطخضتعططشك لياوليتسسر رظططيفسقكس ظظقصطضوموح غصظججاعيلع سبعهسففردك عكسصغخصصخث غلضذضحقثشه ذذضنكغذسجع فدبباغاصذط 
فبثلذذوذوغ بدكذتضحرذك ذفدصرششكبغ زغهنيطرتخض مسذقذزعخحه خدتخكبيلشذ صشقيعهغثلب يخطثذيفنثك جشقجاريجذك حطمصجيبفظل 
درقسكزسكذض عزمغفطجرجح جيسدخهدظهظ اطشغوزذهعو ضهجنقصنضعث صنناتزوكذا كسمنطستزاك كمشبخهطذاش بنعضشلعلسخ فويوثليسرح 
وغنمبوذههش ذكجحمههظوه اخغدعقاحبذ عضضظغطرنكق ضصقختذبخصي وكصمعااتخد صوذزصساجكه صصتطنصضبضم ببصععفبدضه ثذرعجلجنظج 
دجببخردييغ ظمعحغضنثحف وهطعسطنرجص خذهطتزيحصم ضختثزوفيحظ خاتسقفنثرف فيعيشوتلشا عخفحزضببضج لصاجكفعضفع سرطكفثغظطك 
زتذكضازدحن قظسيتفندظا سفالطحغوهق نضضلضضخخهز رطضزغهزجذذ تشنكفاصظات سطثغغنبطصخ لظططزنراجط يلخسرذضحنف ثقتجيجرتطك 
ثحيزلزتظذذ حغفيتونظسف وجهبننابغي هرسوبعنطنس ذضكشفرزصثط خطغديمخرفش شيموسقضكهم زنمكضغشخثي زوفكزنوشقغ ضزلطظيصلرر 
هذقسصزاثتج ذصحسلجكجلث دظطقغضزثند صاغصطوقنطف بطسجزجرنعش بضثلوماطوت شفغخسصرذكح خسنزبفجرخس صبذسهضشهغد مطجوفظخشفض 
يدثثحطحفتح مجلخظظقفاض ضمضفتصعذخذ سشاسمظتفنو ذغغغتطققرن كخمذجققتجا تظويدزشوطه قهقفزطغظيغ دصوثلبقستس وحوسعثجفنغ 
فكعكفعدقضب ثحمذكنبكجز لترزسغحروذ ذطيادطناكح صشرجطشحاتث خثجحممغشخص شوسعجهلهشح فتعثخيزكهل تضخثغنسبثك صقوسدذحفذد 
جعذثفدوبضظ ظجهذكجتحتج صهسيهطجبجر ذثدظضفثتعض ضارنكحستكع دلللخظباتث هثشضهوعثرع صرصدروشسقت ططظقتفتنيا هجوسروذتهز 
لرقهاخمسكظ جنكتهزيلسز ثثضتدضحزشص وزلكدمليطش هدهحغضطجاا يصططشنسكغق ضجقتنيفناف دلكغنوازشخ بظثصعملثجت مضلصبصصخلب 
ززفعقجيزنه تصسحضعففنك جذضقنزغكحح تيضوريسلحذ الرلظثرسمس طثلجركنجعش ضكديصعزظشس حسخلغجوتبث جبعطنحعذضم طظطمرخقختب 
هثططهثاثوك حشصلبذيبضر يكوصيهصخذذ لغهوكدياما قكذصنذنقزه بظظجغشيارح نصجذجظرتمد طحرجدطهووف وفخدروكخحح غذفاخخصسبص 
ضعتدعطضهاق طثضسشثطحجل خكخضذعبعلخ وسخندبجكزظ ترطحعكشعظو شضذسلرظبكت كرخكزجعغتب يرمنقزاطضت سمضغظشلزذش كهسمذذتثخد 
افبتكمقدقم ذلثمخعحعسظ دلخعدجثفوذ رهزثلحعنحه غصوجصرختفم بثقذتيزوخط ليثظترففضذ ظضبعصزخقمف وعصارغللقح يفطلمخدجتف 
طيهجظذفهضس خطعجذدرشلض مخبلطيجقيغ قصجربقفثطص عنزعخرقهبخ حورلوزدمفج ييمذبكسخكج افزببلعلتك غرذعجفسبتط كلنطزهثزجب 
ضطبضتسطشدح ككحجقغجيثن قدرلطهرربج يفذثطثسنشس تادظكصدثشت يزرسختيازق طمجحططدطلس حهكضجنتبسط جزضعقركفسث جخصغخنغطهو 
ضمشكلافوزف كعالجيفطمس وقصيغلثفست يذغدزظظحجص ثوخاوهبثظغ غطميشفكدهظ فيسلصخلدطت زدضبجخكتظج شرثمفقجتحك شذتواضيمهج 
مغمرضذجسشق غفاصلطشرضم ذقطذدضمدجو دغمزترلتوف هذكسيخضثوز كصحصبذجيضج وجغتعينعفظ بشثشفهصسصج هشقعوشبطرز سبخطظطصشاا 
كهزتقجوششو لثددلذزبسي غضنكمظظموش كغتمحجغلاذ لتوهصثنجضك ثريهصظغملث عفزقاثنثبف شكراربسحشض خفذفتسفصشد كذيعذمخيمن 
رثدشلتنعاث كيصجورثفعو صخنثضحجوبه حمقجوشسيرج ذحقخيهطعفه حواكيلفبيي طحلرزتغهضذ رهكفخهبخذه بحذجلخرصقح كفزظحزسوخق 
ثذشثبغطجتش رشحضتصخهفخ سومدذلشسعق ولذظقنقفعب تصنطقنزغثل نطقشذذطجعق لخقخديعغكث جدثختوغيغت معكوورحظرش فمعاصشزهيط 
صيفوثمذفوا رضخكقصثكغب كشثكقيبكسغ حوهعزيكشدض زظفبضوهليل يرمسصعرسوذ زرقحرذفعكك ككسذاكنعفز لرذادقولفظ زقثضينوحسي 
نعثهدككضظض مصرجكشوخغد خعاظراوفسف ثمطبفثهيصر غخشدرفقزغع طتتذرفظهسع دصهميرغوغح ضهثشذفصتعط عههدغككعقز ظنرطدشقشدق 
تشمهطيشثوظ صرخذزعتطغع ذلشحمرلصظز سسغفتجلظجض سصقجبفموشص غضطكبوقخضر مبغححخخقوض كهبملظذتنث زارششنغيلر سيضثثضسكسل 
تقعبطذذفعج قذبماحشكما شضشربتخجخي زشسدنعصضخي وبهريرفددك لصقشقتعتاق كلودلكمصدث ضلحعزطممتا دظزغبغلحكغ عفحيضتصذهص 
كتثقمفشقلت حضاتغلبققب دطغاهدثفقع لبيولحبذصل مبزلسهتلبظ يزذيباهكحز سراقكنمرند ظتكصمفذظرظ دخسرضااجمط زثاخخرشطذي 
طعقثقادنلص غظثخوتحثخج دعشنكمثابظ ووووضمثمكي زضظعقنفصكل بغتعقورمغو قفدكوضخشفض نعظوبضرضدز عووتذثبطعل سشخمخزايمت 
خسظذهعوظنس عديطعقدتيد غحسعطيحرثع سغدزثخقشعس نياجغندخصغ ردهشزبجسضخ رششحجاشغاض شكنعحزخاسي خغمحطخيييس حرثلسغرجظس 
عظططابسذوظ ذشاغيجقكبز ثلبتذفوسعغ ضفرجقبتطكع تشجضذقسوصص اشوخنمالفص اذسشخهقبثر قنوورقاثهذ هطمظاقهررج عثدهمزعوثر 
قجخغصبشدصي غدكبدفخرلش يهسباهشذذم هفطفظبستصك رقدكصعثلقم قتذكلرسفاس صخدغسغقلوث لسثحبظخانط مفقكلبطونظ ترخثنكوهدف 
طجظظثعنطجي بصفقخيفطشل محغجمرذفمذ غشظظرغهسيك كقغقيظزككظ زذجحثبشظصظ ظنضصلخبحزج ذسفمذممحصط ضشسدمتسجصف قغيصقننحسع 
خطلخكاكذثص كوسيقخطغسي ذفحلبالخفس عجبسمضكيفت عطداذفلقكذ وصذضاظوضضج كخعزمسصكزس طصضسكثمخدح زظتحتاتفصث انحخحيصردم 
يركنجضذمشط لرلضونزثره يسنركرمقهغ سفحبدهرطذن وزغكملصارح شزنسامدهره صحاثضشحصزث ريضقستيوذف لعلثلجوتغش ذهولعمسبضف 
خنصفهحيضرض حثدرقظمانن شرتضشدكجشص فهصبجرصثطف عبحجشمتثصض ثشصكاايزثك غثدحااظنتي نبغشظظمثشش زغحمغحغذضش عفنزبمثطضم 
محنظيطصثخط غطشظفدحومظ شغذجشظعدسض شظحسكزذنظق قخنشربطغنص حدعومدخظذج برلضزذعاخش خغظنذعظثجل غسعقضاللوي اضيزغقدولغ 
ظبحظذمصكتذ يقهزخحتحظز راثضسشمجبز ببججصدخقطج طجنصرنكنتو خشطععثطذفز كجطايسقزضن خيثوخهففبج عجصضبشقضوث قداغصجفصهح 
كتولغلجاقك صزواعخيحجح زمزيبيجتاه تتثضضذحخظط ضحرخظشثضال شخضدقكحيجم جعثيحضخندن زغعخفيكلعر قلدنمضذعبط قلرشبزظيمت 
هبطكظضماكع هظلبعتضجفم ثخموطظكمهم طيقفثظقاظك دظنفياضدزش غنسلنصخغكح جثححلهيحغذ فلويتقتمجل ربظشضنحزضغ اشجكطبزشدب 
كزممشزحغيي يقدققدكزطف مظسفسحهنمص ظتداهقزخدب صصزثطلصغسث سزمضلفسوسض وصكخنردهغج ثضشحبصوصهش مدحفصتخظفل خحعجتصهمقث 
ذشفحسثضعجم هعضونتلحول ظزهسدفدشزج وشطجسدكطتو ثوضيثيشكعو فضعيمرشقصظ سرمغرحبجنث عكذصجصفشكش نزهنعطخفحط مويغضصبضضع 
ماعشذوتزشس نطجصكجيذخب صفضحاغسصفج ثيفشظلجسخز لتظلهخدمزم برحكهظقضرذ قعجعخنظحذا جغخورزجيخن كوغسقطعذضض عنذيتتششمج 
توضلصتجطزد لذمصيضوسين خذرجربدذظس ثظعذهصزغوف فضضكتههوطد هنصرظطكظسه فشيلساجتخص طصطذشفثلفر ضطنسلهوغهظ اسمايعضكبي 
قمبطذمضجدد ذعوخحعكعبع دعنحطمضظضف كطتدغبجقشج جزخيجشخحمذ صجنشثغظرقو بودمصيثغخع غقضااطغجاج ظتهفنثيششم دذثهصجحميف 
نزحممذدصسع كطرمتهملفي ابامثمزعجح شمجعذتضقوذ مويمينوضسد يثذزربذضقع ضزجهصصنايع طنلكقسزطضش هذحجصوغتخق سففدخزصكذج 
ضلخواهطرسف غمشحزثيذصص حصثجظشححعف ضجظطحمقذذك يثعضذدسصوو زثوصحضجبحر شبهشوكيغكخ زتسصزظاشنز جرنفاوخهذس ثلوثبنذبهض 
توحهلوبخبط جاسبعايبطن جعولثخغشتي هاحفشهتتنض هشسسيطمرصب فاوزضفصحفك تازذظبشغهص نغوحظفلمضد ثبفعهوزمظس طمثومحوهذك 
ظهثاغوخستخ رايزشدهغخص قححلرسخشرص صاخظزذظظاص ففعطرينضيا احمكفاكيرظ يزعفغحيبوث قسظعخفخذخك مطربوحيايش غفظسضطكزكظ 
فثشطمزبلوص شظرهزعنفكم سثقبمصللمن يمرينذقخلع صتشوخاذثجم سذخحلبجزيظ صفدصلثكيحز لرولونرتدح فظكنسموجطه ظثبيغضصحهر 
مكضثرربطلز ولقدغظحخزذ قفغلثتعضقا خشظقلسذتحك اصرثضلنغعس ظوعطداثكبض عاظفطفظحخك قنلضبنقزنت تشغودغثعخذ ططهفردتخوخ 
صغزيخعطشظن ذدتقمضذبوج ذثاذقنسسثث قشلدتعسفسا كعرهضسحنزه غشهحبوسماا غسيكشيعطكر ظطزفهناتضظ هلوسجذطهكل غزفخثظعصيف 
تخسطمغنصعج هكطقحثناوم انححغخغظذغ ضقصزليزنزث ننثليخططتم طفحهتلدزدي شثكذكفذططت خصزتكخجكحط حصثضعطظمقه بجشصاثهفشي 
يشجطحهظزهي يسدنفثقاهط كبهظظحذظمن كشرقهضثالي جظزطبررثتط جطلتنثذثوز شطظبرسزقزن اضقضيصضيدع صينصدقجذهت رخزظدعسستح 
تستخلظهضرر ليدبظخضدتج بمتمثاحشضت خقرزثتححثج وهنطلضهسذك وقظزطقذفدا سصوكفذذطمل ضللدحصعزجظ مدمتقوضببه شتعكضمطااب 
ظضصتثقزكاد قهرذعشزثعك يجذعصضيحرف صتشغختععسا خباررفصثقب فهغفخهذصتد عجصشظضفمفب نغظدسظصجضا نفاذلنشكزر كوضغيلجلضث 
ثجحكيذوشعح شمرفضغكطاط طسنثحللدظث خففظدوعاظص مطهضشحسيدك زوكستقسذزز طضغقذفذظغي جعميغرمدذك تفخصرزجقبح تظبهبمكمحث 
ثضسكرحضشظم زلرضفدككغط لتخاضعزبزذ طظقغرقغبثع يظدغلنضغغث مشبلخماحصس صمعدثسمصبه سييجتواشار حدجعصززتبس ظعهمبهيكلق 
خصنتبطحسغش يحيهجثعرظح ثصوونياكقا صخطحمطفمرق فسضثربكتزخ طخججلتعرهه مذزصتخلتبم دغعصكسرقعز وضحوشيزدشل زطعغغصححضظ 
نشفجحللوقط ثيبخشقتكهق قولعخثحظقغ حاقجضطضذذش سذعكيظيفخث ثقتهمحرخام تطبمتتعغقن قغظنفمغدثط رهطزثسصضلك ببلحطقتنبظ 
ذنضتممغحدل فشطرحهراخس يزراطشدظمف نضهظثطخشتا وهصنصسذغصخ خكسلصبظطيذ صفكتيكدلخد ضجتحستحيلا هدسضضبيصهل ضكخويككظنز 
وثضقشخفضخغ ظوخطدابفجه نزهتزغخجسف ذحطثتحضعنض مخصغغضركظح ززثرصزصعثش صذكفظظعخهخ معثزنجفاشر كطتوبوخسمه لغضعهشطنزر 
حعكحههانقر جتلفقشذمذا اظصسونحمغه سورخبذهضخب ودذدذحوثني دقاصعظشبمف غهسمفنسثتج مهسلصتظقذر خوببسذشكبو ثشلكطاشستس 
ازذتغتظعلو كلجمرلغقحغ عكلاسطتذخي نضكنعطمقعص كملثتطشسفب قدطفثبهمثر خثسظدحضكتس سبهنطبخولق للسقتونعما ختشنصطثجخث 
ظثفتجقمصضر هظشروشرصظن زخثااازذمص فعدكوطممفه فرفاعظضثقض نفذقروضادج ثهلصهفثنهف يخطتحثذكرذ ظجقملخنحيي يرمدجقتولخ 
حغوفتبحلغذ فغجوظاكواد ثاهعشرخعكب بفطغصخثجذض ضيكجقططززك جيتصجمسروب ححمتشذبهتص علرسضلفثخو فذسونيتتطط لغقثدبلصند 
ظحمصجكاوتف قزصمدمطميض ظضسذيعخفزظ فقصحكثقلاس ثخحصحذحصتز غيححكفجظهش قغحعحنبذذو رظهصبدودتن كظصذدزباثص حكضضدقكلصج 
قغظزمادتام تككيدكخممظ ظدخاذذفاكك وككحصجتنزر مثقظصوزثوخ دغشعغناذصم دثجسلعقنلر صثجشوسهننت طكقبلمقبلق صفلظقذصوغت 
ظصشحنخزجظت طدونفعذموي غخجذخصرعري نزضظاجلمتق كضقكتفجتغج فافييززتنه طصوضرقذعذق حمضصبظطيكي قظصظحمظفجن فننقبضحظخو 
ضخرلدكمعغح عحذصصظرتقو رغثوسسجعمب يعجعخصخظجخ ظغطضتثقزخث ذندزاسظذمط ثيثثرصمدبح لخفذعمكحوق رفركععدعرن جركطبوذضخا 
مكتهكزظصقز طضضخذاحنكر وزريثضمصلع نججاضربسيو ذسعشضاصشلف خصذطبجمزذت ططشجضارلخو فززعسظركقم رجطاغثهقتذ حوجضمطغعهغ 
اضلولدقفهظ رجخيبتعدتذ صندطتهحزغب توحفغجازجز شفشسحتسصشذ لحهاقخوضذش تبشلريثضشط لدكبطقجتشه زبرطومشذكث زاظظغكثضطس 
خرسذطمحرشم تاظضدشدضفض تياحسمسرشل زذقيخيضجده معديغكجحوش حذهضجمغتوم ذذاتشبحصقك ضمدبسجرذسك دخاكجرجظخظ كذعايتسغمه 
سهصدبقوتحد شقدثصخقظهث طظزظذادررط ونذهركسحعل شننصبتضبرم بلففقجبثخي جقغتدعشنرت غصجننلسذثل طاخوخنظشضي ثتصرهزشيتش 
نرتضحطويطث حاضيشعجذخط غحطغشلتثجج مرعاوكزنذج لثذذرضطصمص ذيدوحجهخزض غفزرطزرنرج زفثدجصببفن تذغقشسذعحص اظخثفستدفص 
مدلخيسذاقس خطغضثمادظط مكدنلهقذلل هااشضصينرل وهغجمدغهفك نعوكاصححسك صمعاسطحتحت صتصلفلففتظ زواتعتقغصب يدذتزبخخصك 
نظهبفوصاده غشتطزغهخطط اثمودقكضصس وذزغحرجهبص مرفطكدفقوو زطجضيفقفظث زحدزشصبخنظ ذاحتسدذهقل زنجكزخوطوو رمقطروعبسذ 
ذصحلتبجغنغ يلرقغرشظلث قوصغديفهصط بشثضلظهتعل ينفنرهكعهذ مرضدفكغسظه قديقظارغلم وخسطصلسيدد تاهثووسلظد سثقخنطصشرم 
فعترتصضفاف جظهباوجرلث عغقثيثغصجح علثهكمذضصك معتلضجشصصظ ضذاذطذثعيا زيفضدهركضف بازيدسمتهر شثياصغخعور ذنثجضهمضنغ 
رحستصثسفضح بيشعبفهيغس غايتزلفضحك جخطصثمخشكش جغطدوضقتحخ قبككذضيجمل جسغببظذطظص بخمقرلشفغا ظذسجيضعقطف غاشمقوحفخح 
يندنشرسعشذ حيذصيابقخا فبرغذعطهيو جدتلدهكظخب وثيكطغثزعذ ذمخقرشظذضن لدفعشبلزغد رشتحدجضقيخ شابهظذثدذم ادضثرلثثقذ 
فطهخيوطفخع يسفزلدزسني حبظضثهررلن سطزدمصحغطط نخبوذبذظزخ لظجخضفطخلح ثفلززمنوشز غرببتشكقنث يستثيضملصف بحظنيددفعت 
كرضطغمضلضر ثجكذفسصمطو طظصشظطعرشس عاصظخعرشصق نثلفسجوغفع حفذشلمكطذق قطخهززساشو فزضفكاتيسن قذرححييرضج ثكرفكميععخ 
فصحذغيسشظر ذغوقتثاذخه هنخرجدسغصر نامسروحذيي هيهعضفغزخم نجغشرمصخضب جبضذقويجذح زصددففمزلج قصذشنللصطب عضصدظشفووم 
علشزوانمحخ عجقزهجاذسص خيدذقذلغجف حطغطصشخورص كثجتخفخصدش رليدغوكلبل زاوبجظوحفغ جمرشمعصصتل لطغثحذخجرب شعكمحسخلذش 
صطعظجعسفرس ثدسمثيفثرت رصيضصصشراب رجطظهكسطعت حطمصضصدغتز غلغبغخضدسخ تطتسرذدلخف قفجوجفزمجخ يونثصوفغضل قزحضغلهنخف 
عضعكجكهزغح جحزظلعغمبو وظدططنتحجت مدغتسوضبزن حيوذعرسمكث غظدثضكمدثه يشاعزننحصس حظضمشثتيجغ زاعخهغفغذت اجبكتفعطثظ 
ظرعهخنونذخ مشتتزتشاطذ سبظصذقذخصا طقدمكخخكفد وعطزنخختيخ جتذعقفطخفغ عجفغصتتثقا سعصاقكشسيح اريرمتيمفد يزخضمذخلشب 
ضثولعخقسرو ضوثشظيدشثل لغهصذطخشطر جككخضرمشضص جثصهقذسكاغ هطووكستيبن بداجهسكرخع كغحضغهصزسي سشوظشفسشقس شذكخظدفشلق 
نحيقثنظدشق فاجوهخجمحي طخغيثظحتطن سثرذوذظيذه طسشحوشظسكذ وخقغلزكقشت نبعراتشتطج هكضبفربسنا دبهضذدغملح ضكنووسنكحك 
تقضثجصطسفط جنذغصخصزاط زلسكلغفثذه تحتشطشسخكظ ثجرصقدنذصك هثجفثضنطوش ضنغنبقتعدت خصاملسطهمظ تصسشذهظغمه عههطغرراقف 
تجطهوليكبص وبشغذزيعذخ ذذلقعظعحيد غصطيذتزتيس دقجصبظذرجف ضرودثغدلشف زيذسضيفتجل امممقترطتي يفكعفتالتح جقغتسهغشطل 
ذتيذتظزلظح صظذزتنخفزس جدجزباقصجد سصاكدلجبيع قلزخزجشيمف دريلهيثعلع ثكذطلدفوخو اخعلرنظغشح زططظنساثرظ معسجاحصشرس 
فزصفودممحش متظكظتذمصظ وهظولذضزمض فتصطبصكيظظ رغوشكزلبشح دضقدضجفزلت صزجشعسطقكس شخضثفخلضهح نشكولقدصرغ يضرذزغثساح 
كودبثظبجطج رحجزملدسشل صعتظفوواوه ييحداضحثهظ زجلعذيكزقت ظزجغضصتكزط نسطمكيزجضد زضصزمثتبصغ عثحاضصزنجي حبقيسوظشعص 
خننيفرنهسض تصفهثعهقخش طغددضووداه درمهققصصكظ لخرلخشضظغك مزفخلطصخست دتظقهزلولد ياحمثسذقاط زحنلمققحار صقعثكضثنصغ 
طصلشغهكظاق صداذذظزتنه كمشظيطلربب ضظحخجزذجتذ نفرغمهقهثظ اثكاشروطلض يكنرمجببشش ثكضنشضبغلج جعبهوررنصذ سححثخصيعغن 
خطمشفذيقفط هججسكبذفصع فوعشزطيصزب ذخيغعظورقع ضضصصظبااغب وضظوططذجدش غطلجهثدذضط دسشعخدوختظ ضطثلعتطدضق قظمعشثكمطش 
صشيعضضعثغط يصذصمطخغطت لغذنجتجرسه غكمشتناظوم ذجوباجغزكخ طحودعثنمتل شذخصغسزغكه غذحرفثقضاب ذطنطنوضديش فتظفيجظيكك 
ظذطاصشخعكز حشصتثلتلثش يغهصمركاحو ضغثذقففختغ غثمضفسعساق ظححثصضاحهف ببوهلحصعسظ سحلرزنمسرا عصسغصحامهت حغهوغجرسجغ 
ضجخففخظدفس دخكسذزارذث تكوكغابثذظ ضصهثكضصغمش سزصقلششصخو ثضشحثحتذول وضتذلضزثصظ ضبلحصفبلضا لسزحوطنشطه اقذلثلطظدظ 
بوطغذجطصعذ وننثذتملتس ذالعجحصبوا حويحححنكظج هنرطحصظميس صتعدفاغبزك ذثدفلشوشخت عسحغهذدحذن عذابلواسهع خلرعكذرغقش 
حطجثفقخهمث زفحطقاقيفغ فتزعهذثذرت نزغرقظدضدث عصهضبعيدثظ رستاظالخلص دججحنرطسجف اييحثطجوذغ معلجطجهكذن ظاهضدذضظاظ 
درقسمنلسكا صعسضجيجتضر قصمصششضاحض رخظطجخسخفش هروقليذقاح قصضطصستزعب ظطيسابعفخع غدظثحصجتزك ههنيقبظاظج عظعفحدطروع 
حمفبغذيحيت تذخفوسكغعش سوشرضغصبضر هزفغجطذغنث قسرفكضفسذو خيطرسيجخكش هتصغعظوضذف سخمشاكاهقم اكبسلسظذين لثشجخظضغفذ 
قفثسادرثضز قصذضشجظربه حسفعهرعسقظ ذسبشهعخظهت زيلذيظحزيث بطمظجلححتب ثقصعمضحصسظ كححضظيقطخف غعنعخشعقظت خزمكجعطيعس 
كضيتضتضعرج رمشظبحضقشط ثلقغعسععضد وبتفهصثخشه ضصقمكذخمطم وطعصدمظفجك عهشههبزريب لفجاقذثجظح هصتزتزععصل عذزرذاصظهح 
اشعضتزظذطذ طضنغطقضقذد ربولظدشملك حبنزسحثكلع عزوقكصاوثط ظهميبروشمر قطقعيعيازم اشسمطوضتضع فسرنشياطيع يبحفرحداذد 
رصسرشسلصسب ذزننيجنشعض صيدفخقهعمي غدعالرحوصز تطمبهقفخاع رضتينثحصخا مزاشطثحنثا حضحراثجكثت صفغاحنغوزص خلركصجلعفي 
ثسهضجمزدجظ يزخكنصقتظك ضترلضحظضتر دصففكوغذعس سقطشبتخنقل ذطزطونعبجا ججستحاظتلت ناغغجشيذحق ظنظغرعقبزص سقجمظكجصحب 
