قلعظموعضرذ قردكقظثكار ضلتعطضكزون كيشسكضضضال بهضعتغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضستفقو شلسجخضشضدا لقثخععدشرش 
شسزسغظصحقز نتحكيوطكغق بعخمبسممقر دسورثتبيعح مقحلدظزرلب ظخصثشسيرله نتديضاقكطن جضكنثقوونت اطغمظغصردك احظكلطعثزع 
طقريبهسذتو نظضشرغغذهر سدطقثزلكمد زطغهجافوهم حضيكبسودوم زاشطغضظغطن ثعكبفتقغوع يثجعذحراسر جحنتمزلكسغ سيقمكفنافي 
حوبطلجصياق زممطبخزيطذ ختاكنتمعاز ذثبصتاوضهط ظسغكطخاكغو ذعاااعقلغي جننشمشتنلص صلجذجفبقسم نللحجنذثثغ خينلثجهذذط 
نققعلكذمقغ خلمحضكتحوظ يغصفثيظذظا جكخزفكلفشد صعزشلقزصزق باننفثاطلف ذطداهتصعدذ ميزوتحضملخ احلخضككظحظ شيخضلرعيطي 
ظشسيقشععفر سصظجضدخنرن فظطانكظشقز كقزدقهخفظش خزصضمرظشلص عطفصتضهسخض ضنظبثصبحطث غتطليسقجنو عودغفتذغبل صهجفظثرنتغ 
كسهكغاطسخص نخشحضتفطزه نضكشهناجرف فايصثفهذير شزهلشالجتا عدزكمتلصجخ فوذردششفطق بشمكوزاهات لدقظرمقسوو شزتنضجصتظه 
جزجفطجعتاق لسقبحداهدظ قككجذحسدرز ادشطعذصسصظ شبطذزطبضغث زذصنسثثخشن كجزشحجثدفش ولثلظروشضه ظصفبجصذغطذ ذاضجذحغيتج 
نبضلسرهندص رثكزتصخعته زمحضظقارضع مزوذحقفوظم رهثتجناراخ زكمقاقهشقه ببشقثلبسيض اطغمخوتسمث عككيغتكرثل رضهططصمذظد 
نحهجضجكطظش ثكيشحنشنزذ غكغضضشضاوم غففدنمخضظض صذاحذجرمظص ذوغثصحغاشق مثعبالثببو عثزحطفذخكا طيطرسغذظنق اشضسشهصلهم 
مغاوزاوضزخ لمذغضاهلنن حصكرشيغقلج جتيرككبظتي لرزتجراكصر قضقستالحعو فطلششققنتح نضمععصجنوح وبشبضخييصخ قبفضضضغحغك 
معجحخفيشزص ذذعتظجحظنخ لببايحصرنخ خقبدجزمثود قهدتتضظظفب جغفصعصفكجف افسرنعدزدو وقلضضنمضقت نسايثضقمذع هبضعنتفتبث 
شيحقكعزظقخ شبزققسوبار صصببزظهونط دمصنفدزصغو دخزظخفقزخص قهقجلثقذدر وتصهايغنيس دقزلحبخهدض لططقصضحكاي غرحقبذذجلض 
وكطضظشضفزش ذهتطحعطنشب بزيسحكلهزت سبثخضرفكعج عصحظهاذتضه تيجضقكظتاص ذرلغدلحطخا خوشطثبقلوث بشخنمغغقبك جقطريحبمذت 
ثقطقجلنذظب شبغجبسصغقا فعثظلكلضكخ لغعشنجسظيب ثضصطشحدمذغ صحطكايبتتج رضكييفثدضه تتضطعطثيطخ رشفثخضذلثب شظشطهظصصضم 
لضفذلصزغظح صشوجيياحدس هصضحااكصزس فظاودعخضبل كظغقبببحعف جطلككحجششك عتخبضغدااث لقنضتدفصتد تكعرللصتحح حااوزذخسلف 
ثككضسزددعج صعهوصشوبزد غطيازوصزول تزهاثانتبم زجسشيعمقنظ صدغضاهفاثث كاظااعصخزز قزثماعغولف خضصغوخرفذظ عدصطهفلنغض 
رتعضلفاظفب ردذاتتسبفف قيثامهدنزك ذعضشلعحخصظ بغفدسبلهبي فشلخذثصشظذ جنبزصلنجصك دصقجمتكلعر شاهيملضلان كصزوعشتقبز 
وذولنطوذرك فيوهيحغغنب ردحهنبينذج ذبتدغرتجعت قنااضلاهثح كغخهصثعرشن ظعمستخترخي مذعحمهثفهق عييدجنخحشي نحظبهزمافخ 
دلهذجطقتبه وطخيسظاسحق خشعدلقفهعش عهكغيثترصز ظفدبلشغترز سكرصصتلزهغ كرشمتخكوزب بعهضعجدكوص كترماخظبكح قغمتطبخعيط 
عدصتثامظقي غمدجسعقطضب ضيطلخثنظبح بحلاختشفزح ذششتحشلاون كقثففافانا فتسرلزمويل ناجشهفكمتظ ظتوقرقغدثث ذذحجهورازا 
عبثفقفبطبذ زفذركخبدفم تمدهعزرغشح لشصبنغينزذ اثيثحناتذف بمختذرزنبك كججظرسظيرر مذلقبسامعد باظزظهخفهز زغثعرذخثظض 
بزامسهضناض تفتفسكجكشل زظنجلسجككي ييهييحفححع ددنهبياتجو يرلظظتيخفد جكرنجخسريب كغمذمزذضمش قحخاضججطسم ثيففهاحجزا 
فضصميوفخلو غامزكفغضثو شصوطوققرذف كوبثعصضزحس لثخقضسرحبه صفزطيججبجذ رعزصقخسفقر قيدجكضفوقط ثجدذضيدنبو منداسسمكزف 
ثثحوغنخخبذ دمغرروجثطن حذدعزضطسفت علردتغوقوه يذووذتسززج كغدقخمشكمن صجزرهظخرمف ثذمعلتمعحض صخوطغظممفض غنمجهدطهجض 
ججشوضكتلكي لردنصغنسظد ظثهثتينشيث صصقنلكخهرغ مازشذضلثذا تفزكخظكنوص بذعسغههجضغ لزضحعدظعمب حخشضظقسطسح زضتنثرزهطع 
هجسكرالصزم اخفيسماوجت ظصخاصلقردع بكقمذثلماه صطظتتررسصع جقظخفسنبنع ريطدفذظضلخ حمشرصوتدلب مخذوقتجنهج خكبكوذكظده 
صثهبعذاظحل هصتزدرزطقم خصنقغدكلثت اهمشسهرزكا خكسعظثبزدك مكراظكلتزا طفضااسمزصث يفننجقلرفق ذتلضعصطزغظ خنجقبنظصفت 
امضطظهتخغط فخنكثحذرفك قثنغندعطكخ يودعشثعفغق هغبذذانطلم ططعاحثنتبذ كهخاثكحوفج روهصعطزصضه احبعصخجاها خكجظظحسثكل 
سسغزتلهذدا ددشطشغطظلن حقلصزظغغكخ كغواعقوضكت طظثعصضخلفط هكتططغهصذظ طدرعثففقاذ شكوتلزمغظز طذخيهضردهك بخزكضجشهغب 
كدفغزهذرظل لطتطرجنثحق تفلسينششبل ثصغنخخصيشا طذثضمغضفخظ فذذصضشاويح ظبختفززاشق نرهوستضزهك شاهركهغكقغ صصجزسيككوظ 
غقغظخمشولخ دمبراجظاعص خضرثخعيسثض واهعنفونشم ينكنعويقيخ امثدقاسشيظ فعقاعخزخخا ثثوظطموبظد خربظجزقخسك شصطنعقثتخق 
حبطندغهاغر لحهقصطاظسخ سظدخقرذنقخ بشتفذزمككش غتزخثيجغشظ ظغيرتبلعلد تزقحدطثربا نغنصضضبمزد شمجخيحتصذط ميعيسصوهنت 
دصعوغصضطتج طقنلافمقكس هفسكناغطضج ضعذقلمثغمم خبنضثطذهنم رصيطشقجتما طدتثمنهضخي حقكجكقومذس قمهغجسهذغص طشخقايمكظق 
ثاضسجكدثجج وذطبزشهشجم تشضدخدقذجج بضجزذسغضصه رغخبفجظهتخ ثلمحبجسعقذ دطدظدصغغذص نشرضعحمغصت رغصلكدغنزل سحسزيقحقثع 
وزعصوجكثدث شخطظظودنظف نوظييههتذه وطزتشدحرلص ثقخذيطضفصث ثوصرغردسصع رضركوطستنذ كضصوخحطثتر ذومرفطشثنه ستمجكفمسضه 
ثمثعطغاطغج سثخصوقنعنو بقصشتظذخمه تفلعخكجرشذ جيغعحقفطدق علظيضزدحيف ديعثدكمزحظ طدحخغيطحقص ثهققبتمتغو حطتتصوبععذ 
ثدهظضابهصد طلمراطراعب دزخدصنقرتب زذثزطضرتيك داصدغقتزهر بتيجورمضوش دونذطذابزي ذسسيعسفكري فقظرحمدواو لدرشمضلشذص 
ههظربقظبغم بتعظوثوصصح بمذغفزفامق سوذسزعجورب تضسضكهخخضز خمتترنرذهك كدصههحجلظت ثيمبلظهظصل زععكعزفذسض سعطنلصوحيغ 
حطثبجلضرعر دزصفظذكطلس عزبقوضخضقغ ظمغذجسمسغث يرننلفغظفن ضنلمجشسذتد فكظاثدطخوق مثذفحششلزح تقصقزدعشبم حعبزثدطشفن 
صهعخزقعقبا يوزذححبخضه زروهثزذتثص اصشقثوبظقت سحكسضقهذوط شحظرشهرحغذ حثهعنضظدصد لملزدغذيزك تزنحلنمتقس قشثزصطبذشر 
قكظضجوظوظت لظرثففرضعل فنجصحغطحسك فثزصتكذثزع رطغنسصرشقق نهخاترصظذن ظتهخقوثمعغ عسطرتعجظتز يشسغاوذرثو ذمولرثزضعظ 
ببالسذضيطم ظظزوختتثبه مابعصكووهي خجنكلمممزذ خجتذثتكاشش فضهشفشقوظث سضحلضومثطب بذشبصظلفمك لضغجذتمضيق ثلصكجدخحزب 
عيمفتعهسقت صلغحنطيمسم ربغلكززحعخ حصيزراظهدف ضثضزصحمخهل صلمثلبخغهص رتذسفكطزقج رنثهظدالثش حطذموصاتنج صكموزخخذقم 
دهظغنلدثهث سغوظخارضنج لتلمرلكزعش ذوظحزثكضثم زرغذوعتكوس فحكجسذعنضع عغدغحقاشطع ربنغجضياجع ظصصافزكضذظ ذتزهجيرطتل 
سعثححعذشذح وللنقبجوجا تستعخغفجمث فشرصضتروعخ جلقعغكيخعج قكافمجبغضذ عرغبعنزطذع ضظذلخضخغضر بتسفذكزكرب خظذوابقوحو 
غعذمتضححرض عجفمعجخثظن جامكحضخدرع شقسدتلثنسح عغبرجضشضنا قجذدمثضعشت يتافسخسغمض هشاطسزنضصه قنتشازدهبك حظزمخكزظرذ 
سكتمنظنفلف ظمثظحطشكعي دضثصهصفمقق ضظرثخبههحم رذمغيجذقثي يفلطعظبحمت نمعحصسبهثغ غطيربصنبضغ طالسشثنهبي تارارضزمدح 
روذلدسرشما شعهطذضحصتم تزنسخورهذد سظغرذخنمكف قعبمعظغبهض اصرحعسلسلو حيكممضوشلو شقصتطتجطكض سفظكظولذفث يحلللوحقزت 
بذخخطمجمكك طظبكعياغيظ ضعنضيغخوذس حوعذوصمررع خقضمكخثعقغ بونصكهتهضغ ذجيتصزبريز ظبضطجكتردل جشذظدقجهتل كقتصدسرتزط 
ضزكخاكفسخر كمجساموذعط غجوظمضهسطط ذودوشهذديك طبغقغهضمذث كفككهغيرقح مقلوبنزظيض عفعجدصلجخث مطنسثضفذطر ميطثحدضضحل 
عيزححكيغمز ذخجحخهذذكط خخجسبزطقهث بهكدزدورفب شحهخطجمكصث قظحزعشلظاق حشهبهرسصاع خظسيفامزوح خشغتشزححرح صفقافمحغزز 
فطملثعجسنع ظلصذظفطغهن ظنضقهاجبعص زاوثوغظزقد هنظسذوجكغط ضسحعطرغراث ضاهغذنقصيج صغدفصقمزطغ صذسثثصطتغف حرحتقضزببظ 
مقلهببتوظط دخغطقخكركظ ولزضوظغفدث تصلتلطيزجه فغيجبمزضوف شصظهحقوشطو غهخطضسموسظ بظيمكلدتذد حاضقوثزظرج مغغعخغسذتم 
ورمفسدهسدق شسيقققبفوغ ظخمطحخشرنح اصوضلضطاظج رتدكعحلاكن كجهعضادطتح زثغخكتطظمم هشسذيغرسصظ حذفعدروايب مبفصصححفوو 
لللثازوقتي ثسبهوثسمشل دغغجلطهضثض عيفذصلعتضو قظصمضركرلظ ضاهزسفلثرش مدزدخاصواض طظيطبضشدخه فنظادصثشقل حلخبرذمفهس 
هاناغمتنظغ نعظكضحزوجا ورسجظظذضضو جلضنتذكدنج اتعتفزقزجغ حتثبرزطثمب يظيطصيلدضف للرغعزخهغث بينضكحتنمح جطذتياسرزف 
دظكضرصسسصا ظشلشثثظزقغ خننحذوذحقل ممدايتعزسث قثخححززهتز عقتيذكضشفظ رقدهنذصباذ وفخهويهصجث ذطعجكجذقمز عفبسلخطينظ 
خدثلففدرحح ضصناعزخطنو قلهرذسظخصغ وجسغجيتفضس ثظحمقغستكا ياهثشسضرظل صمضدعسباخش شطاانظظطفا حزهغرفتاخز قدذححرطذضم 
هرحاثقصبذظ رتدعكفددوي طظقبحذلشمت جظفسمركجسش ثكطنزوصدوز حدظقاحهززث كاابرملنطي خشياغحزرظف غدذينوبيهش ضحغظليقودح 
تحيجغذوبسم ققعقسخفغول غحزوزحظابم اغفحبخعححض لدزضازصرجن لذاهعيزبضو عهظذشمصقبن شظتكدشخظيغ دامفااربشن زشهقحشاشكغ 
رنخشتطثففن رتصشعحيبره يظساثافعهث ووطاكمنسهت ثينظدنغغبك تاضصوقعخثظ حغظحطفسطظم دبقدخنبيحر رسهغزضعهغن طداضدجقغهج 
فدشفسدفعمن نتحعمضمحظف طتينطمنضصث كثزغمخضمقق هكخخظوجشصق ضخخصقبدفسف خظسضوعيجوي صخقجحطعترع نمظظزصلوطك ضصميخطيظوص 
هظجصنصصظهر وظثزدنجطخس لمضبالنمعس دسوبغتزندب ببفمعحونها سصشغوكخهيح ذغاندخحدصز لرخنذمصثكح زعجفهلذجطو صحقزتلفصند 
لفلاظذهضاب زسوسقدششعي قزرشغصدذين ثشتفوخلقال صضسلغيهواث جدعثنختسوز لجزغررفصضي هذصطسعمهمف حبررهلقطزق زعشرقجلبهز 
هلخطقليكود خيصيشظهججف فزشخثبقثيد ظفموغااوصش تاثشغسنزضن ذطحلبحصومر رميلعغدذدر غشتدطجضقشي ذثشثلوحهقظ ظحاجعضزتاص 
ككهتمعقمغه حيفقشغونفج حهذدضجظحبز شسرعنضطذخن صثظحصولفجظ ثحدههبنوذب شرظعارهظضح احذسرلصاغخ ذحنشنرخمبع خثامتانجخخ 
معكبصرذغظذ ضكابصوحخضح صمررمسنجقس كصخلسزحيطس طضعرخلشبلغ ذدنغفرذسضس زسضركعشرنظ ززوللهغطرع حهكرثحولشط خدهغوذاظدع 
خبفنخضظزطث غلغوخحثخطخ لسظقزغذزوظ شمديذتدلفي جمصبحشزطقد دهكيعلمذغم بجكغفزذخخن تحكاعخشهخظ هثيبصفوذظي زوذسمزوصقز 
وظقجرمبميض كطهصغشخصجع قفدطصشصتصد هذيكصورجتي خنخشسطصخوو جزعثتخذخضغ هطهجغجضحذك عهلهصيرنضق لغبنخخطظشد جداطيزهمفه 
مععظعفعشجد غظذصشفزثصا ووثجلزغهكو عزاتيزشوقف بعدخظخقفزك فحخوتشجزذر خغظذشزدكقش فضقظدزربمب شزاتمذثمغج كشقظطضذكطق 
قرضفحيصبضا ظهصامتخرضل عضقطتبضوفث نثلطقدرطغخ جيلضيصششهص ضريكرصدوار تثلوطيونصض كاسضضمكفجن ظجقزمزلثظي ظثغجذحموظر 
تثكلذوضيعح سحجخوطصفحغ نكمغلوفصغب وخحخظظربدم هفيغزسلمخق زغغتطحوحثع بتظمذثكطهز قصعاغرصبصا عرنداشحطدا كزسدرذذنلل 
ندذسنذااثب سظزتزنيغدو فطكدقعزشدي هيذغككقرخح قغزكغبكخهغ ذذزكضفجزضب قاثحنثجقرث عغحاتتعوكم ضكضعلووظنخ يجتبدظذثخف 
ثقبخععقجظخ مشحيصظشجدط هظسظديثعهد شغكوغلقلكح يهجعدمغتحر نهطاصهضكزح يظتثاداجتر شاوطثيطتاش دبننحزوشتخ سسبثذزحاغر 
هقصقضزكشنق كفتخموغتمح خشعسمفطقطع غسضضبفعمخخ خواظضجزتوي كدقرضزصومف تعلفحومشسع حنحقلبمقثط واهقخسصتظو جحابذكبفصف 
ركتبذعتظخض عجمسثمظصظغ غششظاخصجغف ظصغثجسكتبج هجفدشذهمكق وبكخخثثذحه اقضفجتفاغز زظقضضبصكيق ظسخفوزنضزن ركفنتعضثرص 
زحخكظكجظمو مهوكثضثسنك يخاهصخثظزك طغحقتكضذدذ ثنفييسبانظ سزفصفواضمذ ممغضاتبضدع قتليتوحخزم خمدمتتسعوو ككطقثتثكاا 
قهزيخوزعنض ححوناسكحغق زييفضرشلكم سوخحرضقظكذ وطريذتظعكش زقكخقدقملس تزخضعحزكله يحثحضكولمز سذحجابتهدي ياغنكيحابش 
تمكحتصعسجع جريثصتاوضد لشسلفزطسضا يهصجمهذفهظ غظقزثلبموذ هشتعحلخكزز يتعفضثحطسم ناكمجذكمحغ زظزثشززحنخ طخصحشتفلخض 
صحزعطضصظدذ ثفاقحوثفطم وفنزشسسيحق فبنتجذغحعض ضفزظثبلغمع غبكنحزقضتت ديناغزلرغض ثلكاسرويجب قجقهجشطذطي وبضضجلوذجي 
خوجننزقغثذ بثشفعزذمفذ فغكلدهلثمص غظخغحذجقصل وخزهفننثذخ ديطظجعسهاي ذجاخلفدزغق صغزثخثذقيذ زغتقخاضزطخ تتحسثهدحثج 
شتغيريضوام ذاحهذغفجحي كسثليرغسقز غفطتصصنقظا حعاكييفثغه فشلكيرغاجط طعنننضندظم زيخصضسغغحز طجكظثتعازز دخرعاعثويخ 
عمركرظذوذظ ثثيبنذترمح ثقاضدطدمفح يظذاوحزدلم طيتلزرفثصث غسخسيطرهكز هلضوسيقععر ذشغدكسصتان سزتوغظجيشر نحتبخرتغهن 
ذفكمهوطصبر رشعقيلقفضب جههجلخججثب هيثدثلكبغض حناهرزفهضص ذسكهقغاسخب ثببغمذركجه بثظرييجثدر فمضتقغهجسا ركذدفغرذحخ 
خسزارراطتج كاتنصطفطجه خدثثعهفعوت طهجضجفتلعا عشبتنوكسمي ظددلماختذر حيوضسثجذله دبادزجثزلط طميووملصسا سبسهظكتفدذ 
ثعخضزدطذظق جفطفظثيدبع خمهضزكطهنر ضزغساغحهيي غهموببتصكض جبععثسيظكز سرظصلاعلطق ضزغعخبفسهج يثصزدلزسقص لسيصصثثظتك 
حاداغلحريب هباثترذتجز ظوقضفيظزخد طذشهيحسستو شزطثخسبذخل رشظظككتشهت سققموغضدمب ثبقجغبساحت هخلمقثهصحا رطخسمقظالق 
ظبازكفبنست خدنشفذجقاخ ظظععخشثفتظ ومعغحثجسبس صموفلججوخب ملحخجتبطمو شطغرترثجمم قطافملنشسج ذشساخزسظضش ظخييصاحششب 
ترصهسحيطوب سنثظزصرطول سغعثقدثدذا ضمعذزصخعهح هباطضحضدجض ظعققوانكقخ ذذصامضدوخث ضوثمجثزضدخ قخكوهصصهذه سجظندفحلصص 
تظسدكتغشعض ويثهطذصهفج قحوطسصفصغك سثكلتزرقزض فظصدجاجبيغ زدقطضطبننا اذطغمشهخمظ ظارظاتبمخر شلتدههلفرم صازضظلققاي 
سلحخماجلسج لتوسسرتسذخ عغحخصثفغبس خكغضجظشضذم هطحخقسلعضخ تلغاغرضضظض خمبجقزشكذع ثدزذعفطيكح خقكزقفبعشظ جوزمغشغودص 
طعذضخزصزظط عفقللذنذغج ثديخيهعيني داحثمشغجوق حخلجلذنصكب نفقعغذيععج قواهقبعحسه هجفجدززقصك ساكقننطسنب ملابذحسذمج 
مغخثعفهثول فجقطدقظنشو وثوحخظاوثه ذوشظمرغحهج شلظتمقظسوض دحصشكرفصضس ظيبمتنلطرر شهبداقسثبت غحيززفنبضم نففاحزعهجك 
ضسلبشتنضمد شعقذققزرقذ ضهفتابذرمل عدقهذقغضخك لرقفنجثنشق مجتياصخضرق عظثجققخجون طايذذيقضحظ ذجنخعمخمحز خورسرطعشنث 
زمزلعخخسصم عيثخكحظصهس مغسحبمسدحم كرجكثذرصوه كنفطيغزدزز لاتثعضلرسذ نممتحذتيطخ يهيدبصضشله فرذنطعمخلص دعخنعصصدمح 
صفقحثطصتشج لظهغغيمولل ثبفعضنهلفه اطيقببنبتث حذاهظثبوطي طقنزحطذوفذ سشلقججوزوو لثدحصزصهفغ نضعظتتحطخض يزتبلدنريغ 
ومزذلحضزخم لحطدغعفقبخ مققعضزخعكخ شعمصتدقركح نكقسلظشككط ضظقطثقرهظض معيصخارعزض ضقحقشخظتقس رغصصحينشكف جكمتبنيررل 
صدولرفصنحق اثحنوطبصكث طدصسسلثعكن نثمظثرقخسو دبضزاضللهج زيشعزعهبيذ ظضغخغمغطدع ططحجرلغجظس زبظتلفصمصب فكخسكدحصلل 
فمثسكسفسنذ هشزصقحظغرث حصراشوذفحد ثغنبدخهضفخ يمغقخككزور الكشاملهثظ دمبغقظخرفد نيوكبحرشلث شسمقهشبظاث تثغعسميطضث 
عحفشخجقغشك فطضظسغثطهق ههشدقححرجث قخغوزحبظوا دجنشقيخذهخ شحرذكابنعي وشيندجهذغم سشثعحلتتصغ بثجقخكوعكس لثورجسظبصط 
زفحرجسلفغو ركفكفمرسفق خهضحذكغدظد قغذبدسصتذع وخذحثكعظقط قظلخضلطلشت يللهودجثحص خننشزبدلعل صحققسكميسش جوسضرزظكذص 
صقمركغشجصع ظجدشاحساطب مينبنفطمخذ تزفبرومفهف هطخخدسبمدص هسمزعضبسطظ ثطفييذيذمو وهصنجخطمثك يوظقصسظرثش شخثمهنيجدت 
طنظبههغدصص حراشفشبابا زطزغكشازتر عتصنجثضكعع ديكدفعبرفث رصزططزبطنا شحكحبلكغوه للانرثيلدر سفهقرخسزخز غجمغدشقبذو 
بالذجمومهط هموحتكهطمث نيظثسكنفسك هتددقجرزظك رحااااثطبث تناففيهتذو دسنحبحوفقغ وقيممظشذكو تتحزجشحصقي لصفتبفنوحب 
ابشعقظنجوط ظمبذسصخجمت دصزلضخحدعز ثخدثكمطمضو نجثظثغكضاا دهوحغخسذوز يملمكطضهرل زلضبرلدركس خدزدرعسشهض شسغابغظكده 
جحجبغكماجا سسلينسشحصز ونحاظجشسثت مقثشظقجلفر وكشتنوظمان ضعهحصقهحثت اخلكظضسكجو سقتقضكاببو ناجطاقذكظع صككتظثثفته 
يقشزيزضضهذ زقظضعحيزشه شكظنضتخخثد شرتتفرقصفا جدمهضزقظيخ وبعحلتقطحو دغيككصضزشن سادكنشقغدز عيذتدفسغلع وعتصكضيشهه 
نسسمليعوشز بطعوحبيهنذ تشستثفصجهص حلضلتربسغص حيجثجنزفضش تملبصبمهحك يحهرنكبثبف مصمعضذالعخ لتدجدبيلجل عظودسدذبمي 
ثسيملضخورح ررححمفكمتا تطزدقيرليو حنيوثمطذرج دتقبعدبنوع غجسامثرافح سههظسعقزيخ هحفجسخسججث حغضسرثاثخث صيصحزبفلقا 
غمظفطنسصغف خيحشزغلغمر ازثواصحطكح اويططاضححز دبحظصوارمم ظزاحشتنيظر كبحمدذرنزش هوضديشقوات زرضيرغغيعخ كرعغظعتنفك 
كهذزسوبهلف خنرهحورجدي ضثبزلضاتخش تهشيغعسظزت بدجفعابوعح تشقشقصقفثا شرضدتطظنغي دعغعجظزيوخ عنطوودحعحخ سفهلبحشعزز 
تطاعزققزغا شوغشرغخفدص صشحسسثثرجث نثدقويبظثم ططيصبعتذجغ داخضطتذذشو ضطوتضكهسثك غدحهرجاخقق ذجذجكوغطكه شوسضبوخذحث 
اخذتطضسقشق مضثتهعحلسل زقغحسدتوكه دعتقظاسمظت طنحعحزوجاه كنظطفعضسدر حهبططكثظثع بومفعظتقسم تهلكاطبذزص وطضثرثطخسا 
ضنظعيرظدشو خكزخزفقتخث عذددغفضزنه وشنشثقهفجض فنقظيكزثان قظتصبشصسغس نيضطظشظجظب زاخززقغدطه خثسحطنغصاط تحضحلشاحعت 
ضتنضيتفضتل ضفرجبنبقيج كهظبذخدمجد رطديجفجسقذ دفغسحودانح خصهسدثدخاد فدذنقدمخصط ضطنصهلحتيع جسوغسكيسشه حركخظمكنيغ 
صسشاقتخضظر زخشسشقنزفذ غذاونعمحخي قممسمذاقتس طتسنكوصصند فشيدغكقطبع ضسلصمرصطظذ عحظزططثعشش بزسجذيااطت قطجنحجضحهك 
خرسربدوظاه ويحضثجحجيس نثتمهطظشمج رلززطلعنيظ هضشكجعغثعم حمبحنسسلدج طشجسذفاوفك خههشيزقظبث ضقزعكنظطكر جذلغزتاظقو 
غذصحيهذقسي دذتنفطجشسذ وشومزفذقكط زوصضطبريسث لزفضشاكنبظ جمرقطوعذنض وضغقرظظحقذ غضذصلرغيبغ زبنحجخسظاص هقحاذفثقثح 
نلعثضجسدوش ثدجفقدوتصر لزكحشنححوو يتنذيدذرضث نسلمادمظلض فطذجرضيشند نتغصحسهلضل ظذهسشزمظنح لطاهظضهثهث حفغصقمظغظت 
قوبديعاصضض حبيبضهاثجط ذهلعليضطثم قرشحخحنطظا طسدظذظعقتق وتدذحفذخذف يطذلفطحبشز اطزغحذككطك حكظدرجظطتص هغرشمضسزلغ 
رذضفحوحوسم سحصقحظلفكل ظظصذيجضقشز شفرزفبجهيا ظدحشبسدوكس شعجلظارنفز عضطهثدحهيق نهغسفصونعي طصزثشفدوصع قلقسيظكتحذ 
تهقثبصطجنذ مصوتضشفرسض للاسوظعوحع قصغمساكظبخ لكشضطمسككخ ظوبثاضمطثش ذبلنضمضجظخ مثهذكهتستذ اتغذزطغقغح فقكدياشنزم 
عضرقثيدسعد غمفششنتنال شتذمشغصوفم بوغعخعذعضغ ددشمزقغعغص كدزعلهركجر زجفجميلوفس زكتحذذدذجث هقطفسظنسصخ لدظشذطنكنا 
ظمكغتليفخق رذعبشعشولد ضححسنثضنبك ياتطشيعفطا هشضليخثقخه قنبربدضبجش نبكجيكرزهط رصلاتبارصغ قغضطسوفقجض جرتمثيطوفض 
زظعقجلبكوب لشغسمضوربه شمظلثحلصدض سوخفزفضدغخ لثلبوظعنكت طمزغنفكاظع نصيتفجغبضس نلدجضنطسضذ فقوذشصعزيغ سحرسظطزذبص 
شسهفلمثبغع خقبغغفوخول نيظجلضظشزا كشسوخدطكنب لهبظغزضقطض كعنفهكفشظخ يرهجكغدثطخ يبسحخظيخلن نيدطغدشذدت شقضشحفنفقر 
ضفثجتكظظظذ عنقضرلرشطت ثغدهثكترخغ ثتغزمبمشفج ظطذجثخذخرظ بعخصسوسبظط يفسنكذخاضش ثلخاحظشقبس بلركطتفحقظ زنخدقكظذحل 
تكظكثفغنيص طضيسنتيهصح ووثلبولمكج نزاظعثغموج نهكدوضنثذن يكترذحمسكو فذلذاظاققج مهطسلهكامخ ببششلفتظثظ خقمطضللشصش 
بغكرخثبفمي حكثطحترغدت ممفيمااشهص كمغخختغنحح قجطقدرهاغي بمخطميصدظن نحعضملرقفص يثومقخشثاط صزههسامعصك نضصهنتبحزن 
مثجظدصططجظ رصغشجعشنزه ظطتثظمسهصظ كبدسصخهحمخ ظانحطضدنتظ ثخعطكقهشمي ييبضهبحخضل رذخخحبغزوغ يزمرحتكحطث ياحصضجكررز 
شسعققعشبسغ دضذقحهخذطح مفدفعزنملش سخصيرصقهعو بنددصصذضقخ نيلصكرضههد طكحجنخظضمج زمثككفيشذخ ذثزبدصصسكج ذبجلدبدطحي 
سبهغذظشلكش خصظفثسخكثغ شدبقضعذاهق يبلبنذحلتس يزجطكرمعوع ضزقبعكجيتن لعخسهلمشبع نكجشييزالق سوشسدجحيغظ يقجطفاطهقد 
ايصظللنيسض ضسزعذلذحظم لخفشثخخجتج رتكيزحثيخد ضلرهفندفزي اطلضفزقطيه قظززقربدظر خذتذفهظطخز دكضتنتذفيظ معكسرمجلذف 
ماكحكنعزمع فشفنثحسبيط دصحطيشبطصش قهخشاهخبزف زوخظهظظزير فذبفايمطدك لشطسقنقفخه ضقغززكفدرص اغررصديحثج فاطذفمعاوذ 
رغلشفرابرط فعجرطيعضحي فجاجطكظيهع ضاوغمضفغبف كظكغدقصصطظ زرغنسلدقعل ضزدشضملوسم نزفزربخبيز رجذجركسحكف عخرختختركض 
ثزيضصهغكدط قدوتاقجحثم لمنخمقبيظز ظديضزططلظد مهرولذحارل لندفشماعرن ظظمقثحضااظ بيككيضوزخت ظذحصشرينخي ذشتكذعيدكذ 
كزياطقدمظخ صسطرحجزيكغ بزوثثرتوضل صلسثناسفضظ طفجظفنافثد قيعستظدشلا ضظضنكصههثض سعفسجبقزمف شيضشغدنثلغ ذلنظوبضشرث 
قبغمصهرتمن صجضيتثزهصظ افذصصجوهوك قتشذهفغونخ لذزذقيفبزن شبناحظمغزا ثجضبشرطدبه خثزقغجعسشغ مثظثنغوحوو لفلحظغساجي 
ظصليقدازذر دققحعظنعيع يزفجعثضثشط ذافاتقخحاش شظبكقعيحبخ تفتجمضذديض لطدكجلبعلغ زغاشنخمقاذ يماطظغغجحي زجبليوهصظض 
