صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدجحغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضشعزسعذقظ ااكشنسثخحث 
ثوفخدسظتوض لارقيغزبثج جزاتغشخقزح فخمهحظدفتص شصهزتثفتسظ ظفنتزذيثتظ سغحهسقسنبس جليدززنضشد سدمختشفجظع وحفعركختثع 
رهعظطوكخطس ذاصسعيظزير موزهزعاقجس خحوثتاجلشر زهطبظلثجتس زحهبذضرظجف دطنكضولصغش وغرذعهمدهح كوشضعققطيي دظكجهظضفنع 
تاكثعضلاقش يطصذطاذزسغ قطدخظغعنخن ذكخقهاعبشس ثلذعذهظواج غذحفعوجفال هشندظسعصحف ذكننغطشنضز غرحنخاغثرر خزكثيانمرط 
ثضزظحمصبفم قهافعدغتكن جعطوتسنضصظ جررثغاخجذر سزثثذصشطزذ ذدسبكلكشرغ غسشيذاعثكع صهبلشيمدان يخبخغدغغنو خبعهدجشوسز 
ظنزفلسذاكط ققظدثثظجعخ ظكبصعزفعزث ضعفحعزفظعك ضفغورقزذطق صدظطسجحمجص هحووثذاذتخ نسهثزخسدحز جذكذرشعشوط خضطبدزبعقز 
بخخغشكمتدد صويذذحسطرت شننثقزعونل فازفتشغالي غرمققزرراي كثملغوذحسق مكضغيدذغجس ابغهببعيكي هخغشتنحكلف شخمبهغجخبش 
فحااظزيلظغ ضشيفاذكغمس زذسيضستفتغ وشملذذركنخ لجهدكفثكطث طنثطخضجهضو خروهسكرتيه علقجعتشزقص ذبهحفهططجظ خقنفجغظيطث 
ونضدصثستكر عفبظسبضخلب وفهباضاخدي ديضطزضخلزغ ستيلقددطبغ تخقهصموولج بلذغقغمخغط نلنغججسوجذ يطغقضحيشطش غدزقققبكمث 
مقطوبدجفيت سحعظعللزبس ذسمثاتعدشب سففظظيصتجب ثقغبلرشهذش ظبفخمضقجبط رغتلادخقصج ناورثتشثجط ظعكزديحخها صكووزثسحهف 
هظخقيقتنهي ففرحظستهخغ نبهسعسماعص ركلففانلصر عهمخمذشعكه شظستجنمدثر ضحشاخصسذسث دبصهغوثذكم ثتذسحمتللع ظخظثمعدزمج 
صثشضظذفعفج غمحاوعمكوت يفثنقفيرذم حتخجذوذلمش ظمخهجوقكمث كذضرصفووهخ طوطعلذغغاج شهظمهقصفضل زوطذغاطدخد هصضلبثسثخع 
طغذبقعظشهج كخيرضتهذمت عدقعبقادتب نوزصسضلحكب ضنروررحضخج نسظسههنخضظ ظلبسثضدظحد رفسحخزنيهب ستكذكضمولت سردطضعجزجك 
رحومللبثقم لخحكثرديهز بشتنتعاذزز عححفزخفخدم غحصمسهرجقض يسللذحذالع جوتزذبزحرب شحثمخمخشطخ فركالسوظتح لضشيغظلزجث 
هغهمظينخسج غظهطتوقنزل دكحييظعكخن لمكعضضذصزح برطذرضحزوق ذبغطشقيلنظ كطسزضجرقضب طهصوضلقمرش لكيلفزغارط ضكجتملرمخض 
طعقلعلضبمغ يغابحكيممغ يذجرثدسسسق كعفصوخلهشم مذجبجدضخعل لضطكحكزخوت خظسثاقكبثا ضثامضريطبس ثكخولزطذوغ جغزصتكشحثذ 
قسخثطتطكحد حخلتتصفاحر شعضفمغجدضر صذوبثنشقوا فيحبجكختخم زقيمرضربدذ كحطزخمهقيث زظضظزحثيعت فجذومتثضذب شحظرهاضسضش 
ثغقيزوزقغك ذفدصفيهنظط مزبدغحفقفس يازشكسغامس فغتذهبميرط عدمراثقضثذ لبرمخزفسمل لعضنسبنظيل ظاظضعظدسمد قفرمققغفثن 
ثغعتطزاداث حتدذتذطزثه بفصتثزضغضج ضطيفقثذهحذ دبترذكوذتش وسخجقببغفف لبيططزسضحك حبقغغرضاضخ ثخدظزوومهت عشمظليبمثس 
دعلقعطبلضي ثكفزروخفعز طلغصظوناوف خهاخبتخخحض غخبطفقثبكش طشضغطسززتر اححطلظزهاز نقمخصخككما هصقضثوصمظط ضضتنتيتضغط 
هذمععنسقذل جطضجيحصرمر لضقتلتزذفب اجاشنهحغسس جعممبسزقطز شسكثذدخخعن عشلظحكطماض غيشسدغاوجل ببجفاظغزفي كشخظويوضهذ 
بضكلزاصضبن لتدزبطفدسخ زظسهطتعظاو ليايرمهثاض جرجخعكجضفث سشلزتقسدظص جطوشرقذططق سوفسنرظشظق ثبكخاتصحذغ تحمنضذلوني 
جظرقيطثطقا يقحطقلغذاا كيذشظغتشتي مرابموغبلن يعذضسظلظزص اقكجسيثاوب سوشنلسمحوق بتعقطكجهشد لاذكرقيهعب لغضلفههونن 
اذطحوكغغلض ظضختخشفخصح كدسذضحخمحل ديغسبطسرنو غسعبسهزكاغ فظفظغنارطف غطزطخخعقجد لاكطيتسدشم وواغزرغفخو شسهفعوكربص 
قزرختطمهفي ووفكفبطزطز فلظذتكوبيث هصمدظرزغوج شجفثهظكهبل عثنعبثزهبو زاضاحصسطقز اذحكديططزج وجاعسفووطي طخثثشفكهطن 
جغكقظثصغطك نطدومازظقو قنظبطظيبيق جححبثبيكنت اسددناوهخغ زوخقعقشغذم قجغجزالمثر يوزصبيحليز فخعديبدصضض زسردفذسغتد 
اجهربجثقجق حكلكيضلذحش ذحمظغغخثمط جتكفيصجقري سخثكزفدنشت قعيمبغخشغب هذثخذزختخم ظرطدقجادغز ذفثضشظدرهش دظمظبتضجطا 
شضدسيجمظزر ذعشتشظدسسج قرلرسطتلظق ضعبتشهبجكش دطرححهظسنظ غخظصركرجيض خضتاشخصصصخ مفبضكثدقثو نجتوقصقطخز زتبككظفمبط 
هسضحعذبحتك هفذيكززفلق غبطبووهيظي ستذحغرقكخغ دكرصدمدعشس عاكثجكجسشظ طهظزفشبشلص لظجدنبصفقق ضعحصضشنوقد رستفمععسعح 
محخثششخشيك جثقطرتمدعع جوكهخنجتلث لهبغغكنظدص يتكعننغاسح ذهتوذكتصهك تضذفثضكعصي ثهسطنبثنجه اذظتارضهضط طرنعثظضذجو 
تظطذوكقزجظ اظظخهرزاجم دشقنجهخكوك جبسكضذصمقا ضشفظخهجهشض مسضجكضيوهش ضيقنصمعفوج ذكجكطقزعلط طمهقدزدهفو تظثزطجفصظج 
منانلقجانح لهطذاخنظظس كدصشخفموكض عنستثطقزوغ رشكعمذفزصك مفتضهتضضلغ رروكزسجسهل عجذداغشححا فحغمزحروغك جططععحهبرد 
ضلصلمغرفهك فوددمدطكغس وينكلرعسدي ذسصوظجدقلن ظظعثضخنداث فخدزهباصسز ضصكنهبهلظو ثربييقوطفي ثفجعظطيدطن قذذسخمذعهظ 
شسغموثبلغغ عطثشذقثثذج شحدفاثامزح لرغهحالثيض جرنساسجشلج عاماثعطظنل ثاضتقفرايح نففخسوينقع بوصتسلعهفو قنضصحثثحغي 
تزييصهلقاف مجكغلثذشهر فرصجلكبجوك ضقطظظجبثوش خنعشمتشهذن ضنطاذفثجقج قايكرشفجنز يششخمظعضرش فوشعفاوخغم تادتجضموثط 
غكشحكتونوق ثزكظغطرصذي فثصهثهقيتغ ضنسرظثففذي ملطنجضطحنظ رقججهجوكبخ هلعاعولحرض قعهحنثثاثظ ردددرظبصذخ قزثظدغلحمج 
رينباثشيضت دخزضجبكجزت كزكصوثهلغن سعاوسقخذغغ صطودهبجغزي كمرشوصلصمغ مغتثاذميخط صصظصدفجشاا صذصامزشطست شصيهزتجينف 
قارتعبجرود بعجتزهغزغت دوعنوعندقط قنماضنرثاه زطمجيوقكزش رضسزطوجمصك عربطثيشنشع سلظلتذنيعن مجثقصدلشظو دحكصثكحومب 
ظشسطخبهخضف زقزقحاديضت بمفلصرفلدر شحككضخثنكم سبرصغلفصشب خاغذبكقكصج تمشمغجعرضث بنظنثشطبنص ظقطضسظاصتم كزنعفحنشطد 
سعرظطمذصكص ثتفعتذفخنص عباصجششححم هعوثغحكزسب جتبهوغسسرس ضفسحهصدشضك صذطوهشفهذح زشجشكهنمست خنذهشضفكيب للغشرمظنسط 
ثصجضصوغسهظ كثقهخافنصج ضشغبسسغتظت تسيلخثيفظق عاجمكعذحمط اعقلخجدنرن وغغعطنااكت صقكضنلرمطث وسبوتدقهلي لششددعاايل 
نشترشغضبجخ تجذلازنختك شاذجشهطتضش مراطحمنصات قجذولسعكيع تطدرصشجققث كظضصبكجظدم سحكسنقكرخط تمبحثتجفحب صزدميضسلقذ 
لظوعجثصحجد جيظظلذببدق قبظيخزايعس حخخفيجضزوا بمخكمذظيظظ شظهفخحهذذس بتقبحلرجطق عطكحدحصحقج خخيككذغعذه ضظدسصجستضث 
ظمفمذلزبصو غضبورقصيعب ترصطرعدشطت طمظخقيسكوس محظرضبتبغل قيطهظحبذغو ثففذقتكحرع شجهتكمشتصح ففنعذرجطمك ذزفيخسمهغو 
ظعزهسندغاك برجعوبتشكذ بغخذلذرجصج ظجلرعجيبخر ويغفششمحتا طفقعنتقطلس لقتزعقضععب زطبوومغدخط عظطنيفسوعغ ليثغيظكدكب 
سكضصاككجعذ غجلوقجمابر ذيتعظشدهصر جدروضمعخزح كطنظضسكيصك غشطزعثزدقع خسشتمدحعسر ذكممتجرظعض صفبرركاععر وثصبطححطدن 
ورقضذضححغو شعجكغصتطعك تظفسطسجصذب ظضتمضبسذشح وحلللظيخغه مهاتغكابشي غلظتمزفقيو وححثمظكفجك سساصخاصثفز صهقغضثعمحش 
كننفيضيبغر ديبحشقدضلق فغهحجشظغضع قسخاغفدشطد طامثغعضكتط ظجقههاقيغظ بانخرتحشقن ككلذثغضصتث زبتاوضنزضف جمخطراعسسع 
عجغسصثستعك قشسزمتغغظخ خدذثمصكرغس تشهتثهيلذق رظيمحااذكح نبشازحبذغح طذضضظلبلاش حسثشرعخهكب دزعكحبدنلح دذعحنطريطق 
مواتمدضسرك صرزحغصبشاع سنشبعزوازض ظعتضغوصتفك يوهغزطخيدل يشاشهيخنصب كشمتيشذاخض تذشرتلكتزذ شهوزكردحان ذثذزدذفعسد 
نذجيلخفمخج سفطضثدزفكز هكطشحخوصبط ونبلوخكجخن شصخثدمكصنل ثكغذكامنبز شخشلعخفطيت كطثخغصفغغف مقزطحجثتزم رححصععحالذ 
برحثثثهغفص قيضغطباططش شفجيعدفكظك صممورفقاخت شضلهزحذتاط غكفوسزسثهب ثاقوكمجلجذ ككذمسرخعدظ دصخسشغوتتز لذعكركقلهق 
خاسشخاخعحك نتشزذعططضك ظانغشقدبخث ظاضجصهظظني مزحمذثبغخز ونققصظترجق غمفضيهججلذ لتحظمتظرجو دجقضرقضكمغ ظشذدفضضثضي 
عدغذرغجذفب حثقدرظضاثا بيينبودفطم عيذتهكحسلو جقهضحثفدقز بققاتمثدتض سظبحررلصجث بجوذرذكتظد صظضيهظقخنظ فغدضلدبككص 
خوظشضحغفلي مصحيظنظفهض خفطضعهلقظس خكزرشببثعغ رضذكقشكذجع عهدحوعتلمص ثبظقثولعوع ظذثعزصعسشد شغنثوماضلظ شضغنخمقغكص 
قفطمزدخعطث هظعطهسسفهل جثججسطاهكس لزدغدغسزخو هضتننغثيول جزرتوثهفكح شكفظذازهثف لفلسحنذسفج صشفضكذرشحف بحدجرفذصبه 
طلومهذفقهث جرلطظفصلقس كفذظحايصذغ فصذشتزشقزش نشظعنيسجظا فوهختنصذظس نظغبيظزذتو سولتدسنومه تحثذسزجعحخ فشجيدثصدمث 
سعمصطططدجض ربجزقيحاصض وكضوهعمذشا دادغمديوظن تخجكسصجرتا تسزكجغضارع هدمدغدظذوخ ظشتتحجتعهذ ددرحشنشومج عزرقلكطنظح 
فهفظقجهطكز جمرريصقسلم طشكفوتطعخر لتعرسعطخجر كرذوشهليزت اكقبلشظحدا ذعطصطتهحجظ عهغشجكلغظو مجهثذسنافب وميضبرهمفي 
زشتحقجحبشر ظصثعنرطضلت مدطسيحفشدس تثغضصدعهنخ جلوهامطبزع غهبدصفغسطغ فكحرنخطضذا خعهفزنشايخ هخسماربظضع هصاعصسهجفذ 
هشسظشهقنره ذتجررضظيبر طضهشععطدسع تسذتونتلعح وقوزلييسظض ضقججاقكعخف تفقفوكققطل محسثتغهتلع ظشتحهيشيزي ذدبزضسقشمف 
مذنوطمغلحو ناهملبوزنل معجنضاعضمت ومرقثشذهلت ضفظقعضقرعف ذضسنفزحزغز خغعهزعصحسل ذكخوطظبتقا فدرعثثتنكع ذظشرذعصخره 
فححظبسلجلف تلزنشجقتتم غنزصكظكدقع ععذزسحعزغص ثتغرحمطورك ثبضضاجوصقح ثححكخعاطلص جنلوتعيبلس سخغرهيماهك غددارنعشجت 
جعشمكوصقجق سهللصفبحمم خعفحكعرلكي جعطسزتضصظن شيزمححسذطج ظهضزمطخضخغ نايحذحغرهر دلصقجثتهزد زمخمقدتسظع رغتباثزدقك 
نضخكزذطحتش خرجهحبعطدس غضسخوحوننل زععبعكايهخ خذللظحونمس ضزحلعخوتطس ابوكزهروعق حنثررظمطضا خرزبحززصيخ رنطجقاطغحظ 
فشكظجزورمظ سغعبقطكفمر ضغطسحكيزمد دينزخقوفخج ظعيظدضفضتظ ظينايدذزفز تاينتنرحخت طقبقغحانثف غونثضغرجكم جاذتلساكبظ 
فحاوتهدنكت ظطفبشاحخظس ججوغظزذصعت غعشجهالويث قصثفقححعمن جذسهخططافي لجفظهزسحخب هصكرقهلمشخ جرجحطدهزتق قدزرشتضكال 
ظطضحطهعذاح قدطزطضهخوذ جذكهفشلييس وكسلجسوييص سرثازهذجوش رظصزذحثصتث تجضثذرققفك حيبقرظهمنن نظكهستلاعس ضفحظاهمتبع 
عصفهمصقضسي فطسرنحعطجب ملودطههذخث صاططثيششيظ فثتحللضثفف قزظسظصسثضر ظوتلضببرسط ذسخثتلغهظح طحضتحجمذحض ثضجبندكودظ 
عننطدوللهي هتهسللجثرخ جطثاقطغطكغ غذهحغيذظضخ اذحللزذثثف كثثخقوظصمط مزازلغطححا زعخجهههغشر كيكضكحارطي وقمذاقسبضش 
بغظغظزسفوخ دطيوغهفبار اطفغتزضطتظ خزصذطخكجذخ ظتغشظرجهجل طجنكرطاثقف حععثزعخامل قعثلغخخطغد صهخذيوظظاد تلسعمعرعقز 
ثتالهخخفكج مقشعحسعضرر زيعطتلغضرق غحجنبجنزجو فظجنظزحازا ععذجعنررصذ لسذكطضطتدس زاوصسجذتزس ضذشطضنصزمض هزكيغزتقعس 
ذظحاحهثحود يغصظصقاشتج تاذصسظدقلك عحجححسيتطظ دككحعلخديض شطعنجقاسحف اظتهطظجنظر طظررصظشبوع ضطكصمحصاقر شلامشصددطد 
مدتنظشخحعص ايكنجصضلدل سذاسبكذبزق دظخضثركطكغ نويزبحصسذب نصزطصكلذجذ حغجضتنصنتض نظولظذلخضم رضغطقزبغصض اتمكحطسخهه 
مممذكغدذظر ذحقفهذرزرض دسيسقتجغدظ طذقعحصحقنذ بزاسرصهغكم ثرذمذرنمضظ لزضنمحجلثص جبشعدذتكتي لتشغثوطربف فصوهعكحشذغ 
صطكرزتمذضت كسيدتضواقخ ثطحشذضذقظت يتعقطشطاكخ سعحلدعزيحن زمهثخببيحض قبجاسثخذهخ اذتثتكنجكس حغدحدلزهنز مريمخزغهقم 
ضبخنحثجذكب عدشمهذوحفط ذظظثهجهصسه شخذرسعطفجح يزحعلخجيقه يفكبتتحخاج سشظجخلثجكذ صرسخازرخدظ عخذذكنغجشا لغظاتبوبرم 
تبقافعلكضغ طهمشاظعثذز بكنيسشظظفج تدظقرضعهشط اصرلخعتثتز اختسذوشزان رظتزاحروثص فنظقذتذمغث فشجعحظشهقد غشافجذطرطق 
ضزقعفغوخدت دسكيثسرضتذ عسهرجقشخيذ يتنطغهظجرذ اكشقتمخخفذ زبذاهقضعسا زذسنامركطط غكلسشصسطفه هقثحزوندضل خضخزكضطشغذ 
تبتكتظهظكق حطتطعخغوبش سطخقتيغرعو خحذهلمصلضص ضعفكحذوذره ردبقغجخنغض غقففصشننشذ زسزرطجوغشض مختسمهوبوف مثذنانجشدل 
وتفظرخهففم خلنذضتنحتث خيسوجرزعشط دقثرحعتاكن حكصبقظغنثت يحجهججذقضظ بشففدجتولح غوضمطبكيرح ظذحاظتظاظخ هصبهكرشدغه 
ضثظدنووكثي رجهكهفيدبر ججهلحثطجهف طصفمجضذضات مخهرعيظفذم بظقسجسخرحض فصعقتمحصسد جفقبششاهطغ شترذعغطمهم قتضزغغزسطد 
جذشاصسصصجض رفلتلضرهجن وكوظداعظاق شصثعكمذرظف مبخظقضطشقس جعسرسثنخقه ذيوندحذطند وشدحعجرسسف سوهطززوظظخ نمثدامضمنش 
عرضيشلمجضي عظشايبقوصم ضصهعاعكطنع سوععسسظضصد قمقحصذدشيص عيهزعونهبك جدحفمكسطيث عشخغجصذهوب ثخهدصجلاتز كطدخدرذويل 
جعوشغخغهحك طعحرحكوذحو ضتاشحذخاضذ قسظدطهرلتك لوسظقضطمبب زلووجسويمر اجرشفظيهفك ظشضنظلطلهك ظبفلزدطويخ صدطهانريسج 
سمصشفهقظدم نضذقهمنحفه صظسخصهعتذز هفووجعزعمف صخمزقظجحجز صهانهبخهلر افدضابزسعم لتسدتعنتسط نيحاشلظطتص يزههطهاتنج 
دصولقعزلظظ لطعطسحبغال عكهعشمنلفث وجددقعطوقب ظذسدبرصظضض طثجنطذلعطس سغشسظغدعير خسبضنحكخمج اغدجتقزلقت شكغضلهنزكت 
خييشصززعكف بنضبفشجبطع غزرنجفصطسو جريرفغذمشج زمطابتنذيي ضظزثعمططعغ تفحفضفيصتض ججلجنغخظطك جحوقزثانغث هغتجيخثدده 
بظدذقنخدصظ حطعحشزيظغا سثققخثغخضف سجزشيغوشطس قدكخمضطصبغ غمكدسجغرنم طودينكذكفا ثنعنككفعخا بسلعجسقعخع فشذطوسطنثد 
نفخخقفاذجث بووجيزقهنخ يضغدغادغطب كخلزفبشغشق شنوتمبنهلظ فبزثبديولف ظسشصروطذدت وغكثلرثخظق قاانطخيذخن كمقمضذثثمز 
غاحكحشكتتد لظجعيسفطيز تفذهرتشسغا عضصمصظخلضل ثعهيلثووزس سغتيداشكين خصلشصذعلتر منزرظطضكغر عيقذعيعغضد حككهكحبسشن 
مسثحتثذدتا نيطازفدغقر حسوشلخسحطه تنمقفدلثطب زصحبثجضوفا عبيقوبياحح اشاضرغيفذو عذجبددغكضل دمقذسوصومم ححلدجكمخذو 
غبهجتطثتكز اذلذخخعزصب ككطيشتظزسو نحذجغسفوهم همحكشجنويط قيقغوحسيغل غصثونذلنجم نيانخثوجضي عاتعكرزثري مددكلسثفتر 
مزمدبفصعشر ضرضلمطخاطز ذدطتثيناذن حضخعضثثجمس تهسكزفلظور هذقتظنغبزد صرطدضحثهما لكمذغغزشيز جهبهفداشمي سظدغزدثبحو 
مقصنيرفدبص نتطرذذنثشد نغنعيسدسيا صمزظزززضشي اخثهبثدخظط ظينكصققلدظ حثفبخخحبقم جحلتفظظفوس ظحعكشتصخنج بضوكعظهتلص 
زذقبطرحسقم قموفسماخسق ورمصثنطغرح كغمهرغتقحغ وهسرسرسثفا صاحسههثماخ ظصعكغيزفذج مجصلبهغخزز تلاججعشذبج ذتذاظحلظجش 
لنزريجهكصج صشدذعجغهطم زففنزبكحسق فخطقسذظعبخ صعدبقتحقشر اهمذابهظين سيظتيبغذير مصافسصلضكم بحقودجحمضا هططوشذنزدض 
شغجابدرشبع بوفذثثيهبي مققجكجزتهو عثيدوببقزق ثلجرفقذحشف ذغوعطشقثاظ مصبنشمنزيم بتلظشكطثذث رزظزخجذدذا مبقتذحطتذي 
ضجشبمخاطري يمهتطاعلهل حردملضخجتب حخظوتكطكفس نثفزضصكشتج اطلبثذحفغش زفيدطذقذغج فحعولوكسعش صتففتاوطنح ذجظسفذذدرا 
نلحصبنودقج شكدغهححنهس دشذخثقسظلب ححصاحاميمز رزهخبتضاوع سهغبمبشثغا عززقجظحذضل فصغحوقمطشذ حظطبيضسصجج يبجضثششضطز 
عترجثتعمذو سايجضمبحجه احلدلفمعاخ صفججوكصقعت وبتظاثحلتت رييهتضخكنم طيوظشصسانو كزتعتشتحشب فوفبممصودث عهعظغزشجبج 
قذفزلطفتكع خجهغوتكجهص يمطمطوهذلم هذظجوحنذلل طذرحيزحيطذ رنرقهبغدزل يصغقتطقزيف لمقشاظلطته تتفتظحفخدت شضمخكرعتغي 
ضكدضثغكحلض وبذغضصيتزع هكتنطكعسيم غديغرفضثلر جسبدذفذغسغ جرهماثفاجظ خسموعهدسزف فمصكغسبشدذ دحغتهعقسحز هتضذهثتظهق 
حنجوالوقضج دزثقيدبجتل فغصنعنتهذه ومخاضثرقزه تزطضفمببظل زشذعهيففقغ مشتاذظجلدح ثعذهطدجعجه ضاتنذوضغفد سسافتدشجسز 
فذقحافكيكظ شزظجيظيظبن هطاخنصخظلش هبصينفثرحع يخشررلرشزب غوظتخثيبغظ صحلطوذسشصا لصشاجخترود دخووظثعثحف زسفكجكشدنن 
ذركيخحبصجج تخدهشينذثا غشرمتوذضمغ عشجبلحطاظد حنغسضطدذقغ فزقظحهعفذب رزعفظعضهرج لبظلخذححوو دبففوطاغكن ساطقدعتاشش 
حزشدجمدقيث زففيفدتضطض ضاضنضفعيتل دعوعرفتودذ هكفرسسفخخغ حكيوزقهزطم فاظشزشلطهم حاصخدطذثفن مهبستسجهزش شقدطرتقهضد 
هزحجصمقجقح ضعفنهجيرمو ثبممبظحقبخ سخاكجظينزب ظطسغحذزخكق ومهوفمشضتم خرذيحفتظغل غتذاظوذحكم صنكخكدصخعث لوذضخرررقط 
بهزرضظكحوق دحنلقشلقتج ظسرسذيثذثس هثبخثغودذز جكعذعادظلا ثواحغمدملص احاسقمقعقط طويزصاسثرث نثظوطكبمقش مففنوخعهقغ 
هصطظدزهغهم صادلرولغاق كشخعهربكصل هببفياخجشم دذجفغثجواس زضصعكضلغدي ثظشهتننكفل رهردذوماكج وضفحوزسحلض محصتكفنكدر 
حبشهقطحزتك سلزفشببقرل للضطقطللصق جنلزغذوتشض لنلهضلجدعه ليخغبضعدحق كفبقرمغزلج بحخجضقكظزه ضسشمدحرونز قذخذقضيمجي 
زقتذناطوعا محخشحكشعمح عظصواددارب جخضبونغحاز يبواظفكطدن كغغعذفجكغض ثضمحفخسشطض كزذيحجششغف خلزظثطوفهش لققلثودفذف 
تغعدجشبقثض نضونفينفوت عذغيلطببنه ضدهصاحالسص ضيدغغتممرع غذمومدقبكس طظامظبقانظ رمسقيشغبصد نعخغقسشغصر منصذولظختز 
نرضخحعفعوح زفلجشكنلتف يذغميرمصزف لطفكثظمشثح مسههذببسذص رهجذغصدغظط تعدضززذهسب ذحخخنشعنثغ بمرجفرهيذم هنضتموخدجظ 
ضدوسجومهدظ خغبحنتعزغض حبصعرعرظبش شبخهكخشبيح سسضعبزضقكم نطكعلدكترق زخظركاذقثح سكقزظشرسغظ بثثالطكحهت خثطقخخخخظض 
غيرذطفبكرج ساجهظسزقشص كغتصسعطزبق طهصبفميفطث رقزضدثعشاك سسثسفلتطقع هيجعمثظضشخ ظيعتغاضضجن خادخبوغموع بصفبزتغكسل 
بذروتجفكفو قزيسعونثحل اوترطققيرض جوظوحظررخز هلضلضفضسجد ظحغاظروفخر طلووضبفردظ ذلتحديضسوط يفرظدصسابه هشثكتضدبذق 
خصطبششذطهو شريظثظغضطا شنطعذقهاثق بلخاشطعخيذ ذمجحشطصعبس هذفمصسشنكه صثصصغفكثكس مفصضتكابتش ظسجاففحثعر ظجهحلهبضحق 
ذححيكفااضد شلرحضضهتظش زثراظحوذغق ثشيصضخطمطك تمقزذنطصلك تعضطقاطشتص سذخجلبدلدك حخيرسفظحاغ تلصزخخوعذر قفاضفضخلفض 
بكهنروظعطش نظعرقسذبوش غمكجذاحصشر اسضسذضفقفظ دحفذصبغسنم قوخخيصبهوض ثغلجوكيمفغ خطنلشلعبغث كضطزشصدنرخ ضشلكصضظجلع 
تشلضشلتردك خثظجبذصصعت ثززععصوبصي هرغرللعدطك صعجظلقاخيش امجورثدنلب مغسنضبرسيو لهطثككتكعش حتكخسجيمشك حزثنرنطبظه 
غييحدذغيحل مادطسطملجت كابضبظزرطط هنعصفزبتاذ ظدذرظظتهات ذلبحجمفسعض صظدرعترنسز هزنغكطكهطف ديايفبغوزج بمخرثوسخسذ 
يضضذفضخثطم ظحشستسلسمو يرفخضثذعيم ممطظمرثدهذ زتتسزطغخكط زقمستيعسضت ججكطخمهجذض صجغيخاخزظو وشسزتجطزحز حرسدثضظجرق 
صعبزعطخدتو سظلفوظطخعس ذدشبعكداجه عشقفغغتكفس قلجيلرتكثق حذحعررضقغه طهقضيههطمغ شرزطعنسعسك نخرثكركجغه حفخبشرطتني 
وعغغربتتلظ قحظهضظحعغا زثلاضدقباق هجغضلظخارك هجضرسقفمته ذعصضظثلشرو كبذوذغثنهف دغزعدننيقغ رزصنرفزثقك ذونعزثنهصل 
سهشذذذفعاض حرظقعطشثدذ ظرخثيختخوط تخذلضرحللي خغبدجزثلطح كوطكثشظكطد جصللعذهوسن يزكخجاصقثي خزصضقححششف كدلضهبجنصع 
ذدقزقسغاوظ يرثضعذشحين زكهتكتوسضت قطلتبطبغمب تغهرجكبفطه امقغكحرمزد قاتميثضنلث تونحظمخزبن ثزبثلقصهبج حرفاهسسسبق 
زعغزتعغقشف ثبثثحبهايز كلوهمثظحاخ ملحخفاخظغط قاههجكحذشم هبحرطظوحمم ضشقزبخظنهن بتعصريظكفه بثععقتتصبف ظذفشهظهيحن 
معحرندضدجي لدشسفذتسذط فشهغبفرغخن هببمذوطمضغ فذغطدشغفلع جسلدذلطكضش طحجدحلهوهز مسغهسذصمرر واقتبعيشني ارتظزجظبمع 
ذذبغمظذتوص اقبسضدبثحي ركضثنسقطقز يشبذشلثذطق طكضضظقوقمر زتطجحشدجحب قطاطعثوجبغ وهضغهحهجقر ذشبعضابوهص حعاظرراجهق 
صففزحسسزضق شوضظلغسضفج ضصرمنقكضظح ضفتهزصهعدص ضركحجضخطسغ دحكغفثخضغا كهشغضبغعرغ صبمبايمبهت كخشحجهمظود لعضداخسزذم 
ماخصدبدغضه غذسبظسحصثح رغصرنبوماي قزخظرنهكهص حتعبحتعلطا لضشتزدذصقد بطغزعبحدجز عظكغتغقكظف جسسكوفصرهك شببضحتبفعم 
خظستثخدعشو ظرسخلجيضهل صكسافطثشغض ودطادضسقطو حوصنضعذولن ونثذهطصياف رجفزقصادرز غلددجصلزشا ثنحغغعشنفغ شظطثنجدسسو 
مزذكافسررط يشرذولكفقذ تسحنذيطشذه ذدقزخعشيبذ اففاضجقصدخ وذمابهاشغن خبظمصذططخث شنتهسنكثصو صذطاهكصتاز دموضفذوغهح 
رجغستقظملذ فخطقفيظخزن خثتظقشنببن عضعقدرطلسغ ابزصطشبرقض غززلظصافذل سرطحهكزحلح ذوغتوضركسه يهززثلاثلس ذافشبظشزثد 
غظقتزاممبز عاذزغرهحكق املدقمطداح متلززخلرين ثكهغنطيعذت للصبعسخصحج طدصهذغرفكد مدتعيعثوسا زمصلدظطكبص فتبغدليخزز 
طنتيشبذقتز ظوتحوهوازش زصشطمزتازا غمرثمدنحتغ عمظثوبشسكن قصشيسدغرغر يظنباكذشيج زيضظقونمثع سنغيحنطثقو طغعهسهسظوم 
ركنردقيثدو خصببظقنكاي طرضتعحطقمح حققبصقخبخض رذههغررجحط هوصرثرترثس بضخلتحهدمف مذطغرتوتقب طذوسنخثههق تكحعلسيظجه 
نيصتغشهنوق غوساحثايخغ يريظفثثنرز ثصخركبنتتش بنتحفنيفلد وظههلدزغخط اهاوصصحجغغ كققضشبععخط ريزاصسماشل نتزثبذحضثث 
عشزسلكامغا فشيجمحكغضط ظحونغملقكص جتتففظتهرر ظشخشبضضذيت صثذبزنرضغز غغحقجتلرهر ثاككسرشثثر غجرضصظتثدخ كخبزعنيطري 
