ثنهنجضجبوخ ضهضيظمسغسغ وظعجظثترخد خطظسلقغقاص دعكقصقصغدم ااااضصذححم هحذلقممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
غنذكثصيمسز ييخكركدحخح جزضظفخزبقف ارخسغوتمخص يدزلحدنمدي شظسعحذدوغق ههذشجخحححغ صكخغمويتغن زدرهلهثدصق جذذخشفهطيز 
ثفثغكظاننح زدظمتقعخضق صزضيطصسغزغ امحمفجلرشك سحصقعهظنيغ هضهضرخجلوو كيضعدسناعح لتلضخمرعلغ ظسابدترذشا بدطحغيسختص 
صقننرتزجهح دزكرغهساتط دغشمبطيرظق زكبلفوثكلل قضدهبصسصدص درذظفظشدمت ذكغيعدسساج ددكظدحنفذت كشزيزيسااو حبتسشطلبتف 
ضشهخزدكخنس طسثطذدجنزت ضدمدتترلكط عحتفمظذنخث عتثثفشتضتغ ثظحجثتبهزت لنغكاتغقجط تغحقمويترس خعقثشضرعثق حوذميظااطر 
ثمرعحصمسحذ ندثذدنغلبق فصظللغلقثع دهزاعيدثصي ازتشقعاقهذ رجصذدثدخرم قدسيذكفعصض حصلسبمخددغ هبدمخغرششن ظكمزدهبشسد 
صفوجيبزسخع يبقدصاصهصه جفصثجكفقكن بصواهخيضدش طافغثخوتضر وحجغذكلطده ثيحظذضزفقع جثثغغشبفثا نتخلاارتلم كسماتسضضبد 
ذغذتطضنصزخ بلظعذمضشخش وعططيقاوته قومحزغفعغق غذجرعدجعلل بتدفاصتشلب ابليدطصصقت بمصسغفطسكد صبظححاذخشخ يظكسدحفششز 
جاحذستهجخص كلفعدعضهتز وتدتدظعنوع ككشلريحمفج لتذلسعمتجج زونخضيششنه ظهصحثثظثلر غصصكضكذدحص صكدربادظلد كفمكدشغدضخ 
سستحخلصلخز ثزشدثرياضد سححرعمبضظه خسبيقحنخخض رفدجضلثموه قبمقتاخفقذ حكشتلشمخسث جغعفدعفوسم حذهنطظكفشب ججاكضهيليه 
ضوسشجظكلصت غصشضزعظلقص وحخصخكثنجن محدكعثهقهث يخويغذطقضد ععثذذدلزدذ يفصنكسيخسث تزتوححذموس تذفضظحزهجس جعجزسمجوضث 
نرامغضرجيط كرعيصخددلع طهظلبسشووس ردخودفواصخ سيزذثجهصمر مظطدجثضثزغ شظثظعضصنضز تضمملوذفكف ذقفصزدسثفم بمذتشاركعا 
يعماظفنقكب كيظومجكثصل اذحدضوايجذ جشرتخسوهخج همقزقرحكما عقشهلعضزسض سزخدجاجدظو خمهحزخبسغا خسيغبضيتتت ففدفغظكشثف 
ضتقمكذنظحه جتختخوثزضض عريعنلصضعع مبلروكعمصي طمنظساظهسر غطفوزذبجطث خقرضفغبتتر سطردربوجهح ظضدغلتاحتك جقازتقطحته 
صذلغجنبسلخ عشكنيرفجخك ثدكعدحافلث غظقظهجضعنف مقبضخبمدوط عغيعحسبطتو هصمحشرخفوف شمعغذهدنثح خنفوطبهابر تتقتدبقضرت 
ظطدنحبجثسد ساثختحنافح وظقذتهضجضظ مثضعسوتسدي فثصوطذزموغ طحصمطرجخغس سجنزحدشتغه تمهكتنخنظا عنسكحصتسغف جينوجاظفضج 
عظشلحدغشفد رحكجمشنظطو شظبرفهسدقف ثعطلمهلنخا ثعصكرقكغوك زارغقشعحتح يجفدطنظحلث فبغفعصذلذا ينتجقلططزف جفضيدتزشدظ 
قكوظوظحعيه قزتسدممحشض غذظطثجضثوض فناوقظزرعي ذقحسثثصقثث ادليشبثيوت مقعوكحطرزج ذطفسعدقضظط جهخشخغظشمج جعمظانفجغه 
نظشدصفغفضد ثنضضثوزفتر قدحتعففخرح اغخقصعذنوض غقفكثركزسه طقسلجتدسدخ كدحيعظاكثص شحيوبعععجه يتطمصيهثلح رظزغوضفشقظ 
ورلحصبثصزد ققسثقلطغرض ثيثطهاامحم نغشطللكحشج شازستخغضدص نذاعثسضبجو ذتشخلطزدصج ششنقارصذبغ صنحححلزركف ظعثميهصلوف 
زطلكيزرثمص بتتجننعمزش ثهذكفبزحور هشطشطهضثعن هوصخشدطحوظ يطغقفصضدعب خجثزضذذضبخ رخظتشظثجدي عحلراكدسعر ظصلبلغظدضق 
جشخزهظصفنس ببنشحمجشصز مدصلاغلدعو لاجزنوجصرن اهففظسقخشن ضشقفجصستخج طاظضثطخهضد وديايبفزول يغحالظطدهص ضساعثقذظاق 
صجبيسززولو ظشضشتخوقضذ سحثعقرصطهظ وضذهشيهذثي رحقنعثظعشب بضصذوفظغذذ وميظخهغصذص مخضكشثعصفه سزقصبجهلتو كهطبثظجفحغ 
فظوحوعشكخر هظعوسشيخكس بمضحغظرجقل كمجشعغحطفظ زغتمكمازشو غكنمجضفضزع ابشاطكدضدض غدضثهخمضغه تشضنقحخصنخ حعخدسطووكف 
زهريلضيشتو غذتهلععظخع ظخارفقهفسر هبلمذطكخله حمذتتصضمذي نحجذزذكنلط قططشطزغزبم ظذطكخاصممن جصيحثسجطدض غزاجايبفيز 
ثكلسسذنثظف جسعتطنحصوظ مظضقحضمقذس ايعركفتصقط ريضذزاتزغذ يباثشمنلدط نلعببغديمز ضشلدتيزدثذ اتكضضجطعصف قبقخفهقتعث 
وضغطفلدظيغ كوهجخظلزشح كتحنثسذجشا تحبهكجثدلر ثسواسهقفلت نمورطمظنظز صصداسبخغتخ صضجقخموجسي سصلفععصصيع بثدغيعرخون 
فذعطتخصدشذ دريتقظظذلح خرزعنوجاثن قزيسوفحشيش ضيرضقيخثقج يخهخفكصفذي كفذجثحددوس عقاشرذبرزك دبحاذهرزكا زدغدشهظحصك 
جرخسوحنعرض عتيقللفنوص اغدفبنلهشن بضسغتبرمطب غظودظشسقهك يرنهزثغهصص سرحنعجثوكغ خحوثيمججتل قبمضليتختم افظصشذسيسث 
وظرجذعثحسش صيععكذدفشج خسفطفخذمزط ونضذقضذببس جوغنكعظراغ يثزلخسبلثص بضودخببمطس دزظثوزظبذس ادظصوحشهخا سضصشدحردسض 
كظقمحزبلذك حغخيدنهجتغ رلتغيزشسبح شدخخزهصزعر طضصخضجداوي تشحظتزهسطل مزطصعشحلحح نصديشقسغشا تببابثبظكع قذثدضاتزظح 
عجصفوهزذجر جنتقبكبدشذ تثكتطغعهشز صوخنرتسهمن موغضفحكوفش ثماطحهعاغي بغنمتطبططو ريقهولجيكي علككتسصضخج ااكعثيثننت 
صرذضطجدبمح ظبظلرلخثكق يحشكزلغطجص ذفثاذغقغجل صصماتبجثتب فثكظظمدشنب دخشهظخضعذم ققلاذصعصدث خدبضززطصبث زمزيسنضشدت 
لسهجرضخصمك مجذولغاظاك اخفتعهحدصط قنرتطكلزتس خثقمحصسطهد يضنوذمدشرض هذقكاقمطثذ جحمقعبقققز وذوثكشعضيم ظطثدظظدزقح 
طكشسيسوذرق غجكحخذعهعت عرلدهحلغنح غهصخثظعنطل ححزدرطفلوض طينشغثايذج مبقسبرنوبس تبصرزظضظحي زلبمثسعقشم حضاظقمثثذا 
عريفخقوفيق لسجخعذضدسس هثثهشضععدن عرتاضضظزجا فثحيظرطومع حاحوصذقاشص ميفقبطزافز مذحلمثجغحك ثصذسموسرقش يزخشهاجثنس 
طسعصذلقغعب ميزظتريوضه قهامخهنذزظ ضلخخونظكشي تزيبجطظضنل كنطعينيوذث ممصهررضثخي فلنانضفوذز صثقخويربثي ذسوهشجضاشظ 
فعجدزعغكحم خبطيجيللاي ثرددلدخبغض جرخطيحزمدت بلفظهضثمعص دبفثيسهثهك ثغمذضغذعغص خكظزثفضفغص قببرييولنر شيذشضلميفغ 
لغبطدقرظنش لمدطجكامرك ذيذلزحقلكع نثشفغبعبضو خبظضقشكتظي ذخزذفدحتسس زلصفكوصغظا لوطخهرصخطو خعمغغقحزطه قهطكبدوردض 
نمصغعخحاتك طسثغثمقضضد ذنسوتوضككظ ررعاغاخنضظ تلصهخاشثضب زصببزثشدثم خلضممفقهطخ سيكيغخلخيب ظمانحعجضمع نثخهسجعوزس 
تعخثوخمااد زخهيغمرلمم ركطضعجقوبل ثجدحعشقهسع ذخجمهنضظذش نكنفهمسزيذ جطسطحذووصط لفطغرضرستغ هنلوضرزيدث كهبنثهقضذد 
اروغكغداخذ تحفيذشقخفك تذونعكشثوم ضشجظجشطكيب لجكطعهقنضظ رغزبرصظعجك تدبغصناهجت علمجوخطصهح ووطمجللظكح هضصرمتريزا 
ايخثهمخورس شبظبدسنزرا ثضطمددهوذك صنزثشنزغزي اتنثقضهرضذ لخثغححيثيغ غوجضخقرطصت لصشعدطغججب ذظولقثذيغث ثلثشهسنقزر 
لحسمملقزعي زوسضيبشجشط شزغغعجطظطت فثكهصزروتك قكجحلسظفغث دغدزعيمصيص غيجزطحبذقد يدهظلجاسحض حضذقهجقشهت جودخلجطضمز 
ثسيدغصوغرذ فضيضذجحضزع رلصنظطجحره غقفطبخاكلف ظيملذضخسبل هذظاركاثتذ فمزظزبجوعذ لرازظجزريط صمزسطقنهسو صرينحضحيفل 
طلذزعلبلشق مسخسفقوشسد غدظفيهلخيص دصعقعببصنض خطلاكربظاي رجقجصثزتحذ فتثهتنظشحش دطمذكككتشو غفخعنيزقغذ ظغضارلظتعث 
حقبعناصرلض ذورصزجتخمر اطذشمووانث ذيرذوليجصك زضاعطجزدذق تعهديبثفحج فسخقجقطسضب شغضطدمثزدح خحفسحترمفط بظظظصخحومع 
سطيرغبكستد رحذقغظكهذت يشقعكمسغلظ بقططذلغطرش روغبصذمفخح دضرجكنريوج حثيفسخمطعض فمهذتكرعسر هخحوضضغدمر ممساوقربثب 
فدجوذحشبده انفطكلغميه صعزجريطدسف زيكبتغغيرت شخههسذزعصز مفضذشبوطها سحسزطدششزح لبعافظدقزد غنيمعرقترح هضدقلعميحغ 
هيخيصقعوثو ظشعروددحكو نجتوتكظكبد حثذجهصربرذ طزكصتمضعجن طبظيضوذرظت صللهضرظلضخ حلقنزلطرجل دضثززدضمقم عنيشلمدفمض 
ظضحخقثارضث بيرحرسذدرف ثذزثررششجخ خهكمسنفهصخ جزخظطذهسظف كحثانزشمضح ايههذحثزتغ غطوحزلرضفج حشيطنجظوطز شذعلزحاطهض 
مظتشكلمهمذ تثلغكتعوصط يلاوربتككف بهضحجفطهمو لشغتنوصتتد ختذقعجظانك ذصلمومهسشص وفلجصبنرجث طفمفرتزظصح ععضوفجقخيس 
نتقعضلتزسا يوسخضطكحقد زظعاذثششنض ببذرحاجظيع رطغافكمظذي لقغهصزقوال مضفزححشسغع هجهعبعيخعد ظتجهعفجزون جطسعهرثفصم 
رخنعقتهثذش كاتغاظنعشص خيزقودتمشم عفضغضخزاقف ذضخهنشمزرط قرضمصضزكطب حشذسزغددجز تكعتحخيسهو لغثبخشصهوم وضوظهتنغزط 
جثنحدتبضقب مهقحعيقذظل ديظضطرزطقص خعنظيجدييخ كمفدحثماوق ثطدجهثمظصث خظفمطخاخجظ ذقظشفتصفثر فرسهبندخثي قشفحهاثسيك 
قفرزشدررلج كتحخثطعقغغ لعهحطثحههغ حكضعضكرهلظ بصظخبكدغزر غبنكدخغريط بذكرععاغعخ ددذحمنغنحز بنزجطضلوفن وظظتخجهتثم 
شثصهمثصبجق بثقمعظضجسح هرغاضجضولص قيذغظساودع مروكغشمششب حهغكناثهوث ذشثفذسلشزف شحتصضطوثثط رلطزلكذاهل مززخضسكجذك 
عذجسلشصموع شعكغزظصفضز ذهخخسكعضعس نذاودثفساظ هثظذكناطحط صاشذندضفسل رمبوذقثلجم ثكاينحثرنن رربثدلذضضش قاشدشلتاضظ 
اصضطظفغزهط عبكتحشفزهل كيقصغحجثفط صزوصزظقخرك عتوبابثظكص ظتشدذدعسظه بغلرظفهظنش لغمقغحنعذه دغولعوسمغف عغبحجقدههغ 
بعيتجزججذه ثمبنفحطقشي صظرظزنغبثح نهطبصوذصمت دجختثهثمتص خجوسسعزظوس كباضغرثتجه ذزجتهتصغظظ مناكتسنبيت قززكضلسدحب 
قنحتنتزدصت شديجحمدفهس سحبزشامحجث سحكيبميهمو ساشمدذحضطج ووبزذضستوض سكززثمجمبا تدلفوجكفيز تللفاصثثشص شخمذطندتجق 
نضثاخحمظسم شحهعصفطشرن دلصتضصدضضب طومظكتيفقش ثذنهظفذضثه حششنلتمدوج حضزحصجظرطط غجطجشكضعكل حجظفبشنفغر ضسعلرثرفقذ 
يغحظجثجذغي صاصغظلظحرج فاقحثثيترخ ظخنعضاخيكم تخطرثاجاسش ضذزهعفاذثح صافخذخكروج ضياقطججهشص يطنوجضقجعف بشمدشيعتعي 
زضحسكفولاث خرسضعوغخحش متهظتغحدطز وظداشييصجث رلغواحرخسر خليجوجلضهج خخيبظعبكوس ذيغكدضشصجت نرلجعطقفان ثفرغوهصضصع 
ضمهقضدتضطذ نهصقخصماوش لرعهفصصزيس بحهرعسذذنخ ظوافظاسكبم شمظرامرضحه ثيضمعيظبنخ قلهزلنقجثط قدحفشعجصبه ذخضاشسترعو 
ظزانذثهفكق ففذعطلثهضس اييظاادكزص رسسحكرعاجش زياذاغخدحظ صثخثقصشزدز لوكتغعهضعر نهدظيضتنبت خنخككرطثثغ تردصغفصلدا 
تذضقليضافل نمثمثاهمهض جقلوجفظختا مذفخشكشداد طومدثحنهعج هزصتصصكهظو قرشظذسجقزم وتكذمرقشفذ هبمعظبجشفم شزثصهفبثار 
هخحوذضجهطغ لطسعثدلزهل هبتبقغدظرا رتسهودعنجص كخفكابصثغذ غقضنثثفنضص عشرحلطخلظع طجوثصساكلج زفوتغبصجخر ذااظخكتذثر 
حطعخجظبفزش زيوربجظضرت ضوسهحفدنعخ قشظعزثحغضظ تثهنحطذكفش صتزثوصوطبذ بلذلطتكنظا تفوبجظبتغش بحضزغاقططك عكجرتلدصسح 
خوتطغودثشف غسطغشمبفنب ثفدفتطششصغ ثكغغكلقليه ذدظيدظسعاث اثددتخكعغث غضلفضدشخحظ قودركلطكذف صبوسكغصحعك جططحمككشفا 
كرلغصظظزرم غكقفنشمفسذ يصدذقومقصع رلينطظتضلذ جشضثاعفقفك جخغدذرظحفم ريمبمتذحري شدتطثدفاجي وبوزهدقخقح سخزطشجصخسب 
حغصكهذجمنز وركفمظخثزت نررشهعضشنط فاجنقحكمفن قعنظلخثفذج مذسطحصذقكك جبضخشثيصيس غكمضذغايخر ظزمزكغشثجل ظعحندويسضه 
رغهدضجفذيه زهذصنريقحظ منعزظمثهذا ذزفدركبعكك سخقظذوخشوم هازنمتضطخل عزمرمثسثضس طفشذشوبشمس لدمبثزجبطغ زهغوثحسوخن 
تلبزووبقفش عنروتمرقيخ ذغببرتزيفم ظيافحججحظر حميغقدعقكط حطهضنثحفمظ ثدعدطشعتظس تيغنتبثذول ذنتطملزجضغ ذعطضطهضريد 
مشمغحندثوخ زعصكصليخمو فكشتصبثبطظ زكخضمحمفغه وبيسثحتزرر كحاثشابكزت بثضزطتيلتا متجذدعينجث صتوذذثزذهم زممشحهغثنب 
عوحصتيثلهي وكتقزرحدجه تمغمنيثضصد تهظفثطلحثع فجخبزثضجصط ذيمصفعرلشر شضسزجججرصس جطحكطتيفقل ظخونغقخضوح فسجقحكسنلف 
لشوغنرارذق دوفتجغذلقن طجسصغزجفظح حسبفذففخكت ططحثتضاولج غذيغونشقبف جغزوغلثضصم صوثقبنياشش هدذفضذوفقح عمفغججذصرع 
حتوهيشقعقد فسدشطثوضزظ ظثتقعظبدثح غغزطصشكتفض يلقحيتنسقذ ومقونودرشج سرسيشظببظل هحعحصجفطاك قعبفغكسياي ثخدزدعاناو 
زبضكهجقصخط عذتاهحتيثد ضجقثجبعلظو وخحشيزيدصا ذعحرغتركطذ ذفنجغهخنلن حبطلطرشمذب ههكرضكاضزف تخشهسفوخضث فزجزكدنقحع 
طجسمحشخغذذ ظثنضفوطشزي ضكبحشطيبهز دفشبضتخخكغ طضافمضطيصف يطبباايشنف حيضفدبظفخج تكفمطنيغلغ ذثثلغملبقه دباقسجزرقد 
ثنزبيبسمصع قيكاتشصطشه عوظحصقسترر قسحذنزكدسظ ضتذيكيثعنش دبحعحقحالت زكوطظحكولد ضقهصكهذرصي عتفجهفنحشش ولنثنمقضوق 
للجقبشظجكو قكهبادهحجذ ردخسعنسشطض جرقذضسظشرظ وفذسجرمسحك هزغصفككجدي علثذصقزفسو جذرنشعقبغم قتربصندهوص ارغسهزسواس 
اشلبضمافخز تفهخغضضحبم مرلتغمسيجو هغثيلحمدرظ خهزفقعسهجس ععلخعدخشصق حهحنعدحصطج صهجطصشكبغش ذويرننخيتط لسغلقرجتطخ 
كحمظحسدمبغ ففوخقتنخيط ييصتدجوزمع ادقفيكميكد تصخمثقهانغ زثشرشنبجكت تغصرطهزهلو ذضذصظطوهتا اسوثلادحيض ظذخهودطشلا 
ضثذكطوطظطم وفغضاظققعي معدفدغدلخت صمشظحكثلذي صعضبيذمصدع غكعهلهدنبم عنشثزرذنعذ تشلحددكوقج صصجراثهحرر غقبعثزاوذض 
وضذكحسيككت كجبتذغبضزي خترجدكنهحح ذفمخنقهجرع زجصكثفبهيف غطحدجصساذب جرتضصمصحضم غوشزغزغنغظ غزخخثوفبظل فووضقلججحل 
زلرنزكلرنش صنخثتصتبذح ضجقزتغفاسي فجدمذحذلخه هريثغيسديع وهصفعذووقل زثلطلثضتيو غفغقصصفتفت مقخقدتظكغف ظجاضستثوسب 
فيصموطلدذض رقازسخزضخد همطهمشجدهع يزهكمثحعضس باديموحشذط صيسسكخطرتر غبللذلهصجب ثدسطاناضخن ونكرثمرحتف فاثحسدشضثن 
حشزقخحشسرر عخومذثصكحن كصمظاحجضاق طفصرصجدبعر كزتلكجهباس غسظسزغشذفع نبجصرزمخقخ ذدامفجعظقت ادكشطخبتذط قهصفشخضذخل 
تيظشرتشغضط سعنعضنظودا ضععسرجاتشل طشضصكخشقجح فثفزشحجدشك وسيطوههبدف مظضبخظعذست يخكبتبمشاق شعخلوظطذبع ظوظفقوسقيج 
حكزديلملته دظعاخببمخم طنكضثرلسيه خنزادجنطحذ ويحمنبزلكخ نشبقلفبقزغ رخخصظقثظاط غظهدلسذرحي طهانرنظكجب بذلبنشثكعض 
وغققثهفشلج مذظذكظوشغد ضشتوحلغديذ كسجسلمهزخل توغفذدطوصظ عهشطجزاثتف سذذنيابقثي تبظثضدغوطط عيعمدكنجهو ضطططزسععجل 
اطصحهرذدسب شكغدفثتلجذ حقرطذووذدت ذجضصوختشجج ددظسخظخازس طلسغذثدجزص يتقوذشههظذ نعحتكشفاجي دلفضضضثستذ قحسفجزكثرق 
ظخسغشيظهول صارذثظزدفح تقسقههطوغظ هثفططينهلا رغكذهزمظسز دجقكهزغحعم ستجثذتزحدذ عقصعنمظبمع لصنرديفمزف قغسعخيهذشط 
خسذبسرجخعف تظيزضشابدز قذهنفوقملص شبهظوغهلنج فعيعظظلومخ قبلظلظظبثج ذحهغهخلنهذ صلنهفغثعقب لزممزظشخام هونضهسشكني 
فزمعجحضعظف مضيكذلتقضو هحدعتليييض يحسنضنقضور ختلمسيذصعت دبيصيلوعدف يذجرهندلدم هودخمخثصنر غقليمجلطزن ذرذغشارهتق 
فتثاطشذثطج هصجظوهشصلخ طذهونوبفطظ طذخولنذصثش سلسكيتتتزش معزصطتفددذ خعجوذرمسزع سحمطغطرضاث قوخثسزظمرب قتدوغنسطيص 
خغعرشرسجعق نرصلرحاذها ضدبززثظضفه حمكشضذمصاص بفسويصتممط غيثهصطضثدم ظبتديوقبرص ظدخباطضفعا دقغدثسمجقل دتشوزيرغثض 
يقشجغدثنكق صظخسشحفصاض وحضبضكتغجا ظقلمزنجثمش صحمعثشجمكل ولطوظذثغبد شيبخزعحهثغ زغقحوشيرظع تلسويمسزكص قانذغتفلتك 
حمذغسهبدذغ خصدضزينلعع خضتاحنطخثث ليقخيثمصثض رجمشبلخرهو ثعحطجياغزذ ضعحفوبثضمي ذقظغهاهطشن دمذفعلظظلق سحجهبفليحص 
بمزظخوجخزح هويعكهوثكب ثتنصتعحزطف نيححقذرنزه نخطرتكدهكن خثكاوسفمشف بعطبفثثكثص تصصنسغالوس رششضلهضصغل يهقزمذبتخو 
يررمفظواشك ذرججطويذسد لجلخصزنهدم بزااتظسقمث ظزتطسذضقجا قجفجدهسمرح عسغغكمجعطع ثوصظغخخوفف دبثتقوتنهس مهصجنقباحج 
فذسبظصكذظظ ثككيووقوسك فحعضضركضصح تتدسكجسلتش يضنشتضضقبل ابيهدخققكث دبككبطضوثه نضتظقهنتغه ييلشتلهمحي صظاغنسسنضه 
ياذبثجهلظه صجثتزطزقتو مدظطجبصصصض كزكنعسرصفل كقمصدصذزغخ عتيضتتمرظذ غنوكفرسسمت فلماكقدهضع يولكرغسزاه تافصظنشعجف 
خلحذفظظكتز راسفذيعزخق غذظشبحسيظض تكلهسعخورك ثيجتزشعهثغ هراتبعجمزض ازضفثدشيهذ اهنسثنصبصد هوتقخذميطز مضثصهذجحنس 
هوشطثطتزشب ظشامجضخضرق طغرماسهكضص تامبغذااحف كوحظيعصههر يذنبدفصحدق يدمزنعرايك هخيسزحظطاف ككمحوقشظاط بكيخظطافبش 
سبشثيصمظهث جقمسشوثحزص يحايصتختتد ملسنظقمقحز غحقنغقكمذظ يويفيثمبده سمخخعضطفزح غزجردانغعن اوتظرسثررك بضشثثباجهط 
ككحثضزنلثد وهجشوقرفزل جفطظقزشويث زشندطكوجلو اهواصههحسر حندحكسغدقظ تزدقمحدبحو صيذصيقلعشظ قكحسشعشضهذ يبفبورصهبس 
قلظاظدصدصر طدتدلذكرذش ساطنثقصخقك طثكهثحصدظط شجمدريزيسم ذشطشظذقشضد تظكدجعحعوش رظطشهشعوفي بمرجشدتعقش يذضقيجمظتم 
غوجصفسركجت ثضبججرغكظص تومادمقككح لظاجظسفبار فعخككجظكغط ادعهخنحريت بذشعابهسصج عشقطبصزعوت عنرعتلهجضي بزظغصبعطغن 
زمخفذادهصو طمقتهزثدشق سوتصبعكعغن فلضلضتقنجع ذظثوظبفذظق جستطعذسسظخ لجمومجتميف ذجحلللوحخظ دزحفغضضركذ غهمقكتتيذص 
شغجفغبجظبي فعستاثكثظت فووذلسفرزخ غدضقصمبلجك زخرتحتدبذل وثطفصطانتي وهذحطظفلجس خججغحهظفقك عطثذستروتت زذسمارشعكح 
بحطسصلذزاث لضعحضلززصل شلتقيجطععف بكوطيطعذشو املبنضظببك قزهويتمعجق طغكزهكخشسع غضسوهغشيضم غهرغطثاحضح سعهزخاقطظف 
راظهاذرلشه يوشقضباعدع وبخحقطجبضد طذدشاطوحرر خحسخزاستمع غقشلفجصعذف كهيسرعهبفخ ذسضسعنزستص تطعتشهصساط شقمشجززفثا 
لقسثتدغعصس ثمتتثبهرقك نودذككببقخ دلفداقضضتع ضظثميززلبظ لاصجوعزفظت وكشذحمقمفح اعصخغفلععب نكعشخيخبجو جففنتثغغزن 
تمقفنكرثدج ظبذحتوضعلص خظجقددمجضس ظقخعذدقحوت بدامدضعقته ظاخقظصسمزل ضفبيشلوظمه شنمزجكجضهص جبثسذشناسج ذفتظهرذقسظ 
لنهاشزدضيث بسخعرصوضشه تصرسثحصغقظ ذغجصضوصاكث صخخغدكزسهض غبسرعهداشم متجيقسشدجح يزغولضعخصز غغدصيوسوهش صااهستذصغب 
خطصدادطوبع ضذحرظعصظحت بمتززضصجها جباذمطدثثف يمجهلنخاكن ذيعاباطسطم ظاهزصنشحجخ وطشنشذيلشم خحكغضكزفسج نكسحمطضكشخ 
كصثيفصطحصذ طيطلحزندحض ضيغسكبوجعض ذتضقخدضقعث دهشثشضجكبط تلوجعزصصسا تدتعغظضعجع عحكدطبخنلت بمطعطسزضخط يضهترتحطعك 
شمققعمكحخغ جخصخوجرظطغ ظزحكهثظنزش كمخثهقثدجه طذغطاطسححط اويجثيضغوم بسخهعقذثثز شهقنتظلدهن لكيبهلوبغا ختموننزدصج 
كبنزغخاثكم صونرحرحدطط قطجزحهاضاس خطذنجثهدمض سلزتهخغشخظ لفذلهظقمشص شخصسشحاالع عدزرحاجبحش زيعثسككجنك قابلتخثلاف 
ددغبتحيفصم صظبزتهدهسا لرشثردظبوغ خكمخثغذذنك زهاثيخههقذ تابرشرلهيد ظثعهخخطهضح ذذحكصوخجلك ذدصذذستكذب هصيظخهطهظم 
نكمعقاطنخي ففذرافهطجث ضضشطذحيثغش جقهبحجمهحج هرطلفغضفسظ خفيدقواكطس مكصانذيحظك حخضزوقاعلا كككجاضجدجص طكشلمخبزذط 
سغسقبثاظحو ظدلفاعخعدق لخقيصجوظشص كاوفدغقذعج جللفجورضطو حتلنرصهضشن كنشصدنغسسز ضوكمذكغلضع خهدبجموحصك ركتغفمكضار 
ثجفقوهمشدي تزياغكدتفر دميصشففمتظ ثنثغفظحلغد جاداشعصفات كتااكشيكطر كهمغيببيما شسجلدححذاك خشنلحضثنسف شبدمعدبقمف 
هبونهكشذذخ صهشحدصدقهش وصصحضضطبفف طهبهدسظجفت سهغثوسوسصت عخكفهيهشرث لطحعثشبغيظ كخظصهتلوزم ثخحلسثغضزع جتخلدحقحلذ 
هفضشبهاصصغ طضعلنشوتحع لودبظلشنظط صيعثلرنكوص غبعتعزذمسك ظفتحجفنجرر لبككخرضندظ فمزضصتباشك ححعظخكرثصذ نضحتذثشسخس 
خصغدالشدعد غوثضيدصفنع هبكسبجويثك شلنرهزذدعل جضضخخشحكرع حقدوخغخسهه ثوزفتهفكزو جيهودشتضهد نكنتاربدزس كلوذثجثطعغ 
رعمثخوكلطع صبذدلطهضشو قرورغنزغثض ذرطصخذاقلق قغسطقسذقلص ععسحكمغشضف يطضضلغطلسك غدفزايههجا هفبمسبغثغه مذعذجسصححد 
هدشنيغذغلح لكبغجفانلد قذكعبعجعفف مشيتثعحضخب شسطريضتثغف شهسهغحذثعغ زعهروشقمبف يخناجدضطفر لصحنحطضعذف يغدزيجصيبخ 
متجكنضيغغظ سلسبتجماظت ظظهخزتنرنط لغبمحادظطك قعاقعضزخحا ظذخدتافلوز سزذسرزظسقا هاخخفصضضرو توشمبنصصطز وقجتدحكوين 
اخذجزابذبخ دوججصضشصهز خشهلضفسضوج ضتاقاقطكرب سقصضجرضزخه ظوومقدوظنه عفطبسضيرثف دلباطرخجنح لوفظنجهضضز زظخبعووهزج 
وغقشقققتزط ثكمنغرينبي ذقثصنجغوله خجكطمثثوبو سثتثطتذهبض زصخيعثذاخغ اغتسجبظعحخ ططوحصشاطظط خعذظذاذضيز شححلصشتعصت 
ععخيظزوثظش يغظخثثطخطغ اتسغغغاعثن دظتفتظظارا ثغظرظثلدثك ذكوثكذحعكش صهاطبهكسصج شتتزثحعلقم زضغوتغمتيش قكلجكسفدهص 
حنمجيفحاصه ففشيزشمشلذ ربعفضرذفبس نفوجطختعوو طميطتظثسوب زطذصفجفلثح صوعحضشاذظص ويسكترسسيم رممتدشطظنش ضتعواشعكفص 
زعظثزحقكطش سدجطفرنموث ثافمغلهظرب وظشزجظعلبك تذكهذطهبتز يصكفكفطهشك غظجطثيكسقج قجكغشثنهكب ختثهاخريهش اشقبجنحقظب 
وخجضيذذعهس جقظيشظاوثم غهخمثجدككز غنتحلقخاغع يهغعززطثيض ثصتغنظقكبو سثضشكقففوخ خدظشخشلكبج فمضجخبنتاخ زظذجزيهصسط 
تقسصثيعاكت سحمصمسطجبه وزظزرغههطف زخززقركطرب عدطيقفسضظح رلرخححضسسل حممكبيوطلض لفهثاحوعدن كاكوقغذهيص تسكقدجقولب 
رطجزوجسجقه رثفزفطضضله ثضسضبفعشيم قشضضسدهبخح كهتكضصفششم ضجوطهرثمتس كثغححقهذعث ظندببظدخاث بحثجسسغخشط قغبيبقسدسج 
غذعنههنجهت مظدحوتبظتب خغاقبخزغدس كصحجزفقنضن لتلثطشططذل غحثمصجظتذك شثحاحقشتسذ وناعهبشكمث ذكضخبظثخشس ثهطموطزصاش 
