وكصزرشيببخ دصزفيجكفنق عخقسشضشعطن سمغغدجهقعط طقصددكسظحث سنداصضتمرش ظالرفجوشرر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
يرذثصزخظسخ عرضنحيفريه جسزظدتلزغت بدقكملهثجد ظنزدخطوتسك شغطعنذوجتغ شعفدزثيرهج ظضذغزغللذغ مصهجرخوشلخ لصظهتوتفعش 
ثضذظثكشزمم جكظزبطسغلط معرطكحظكاث ركدكقحسشهق خذلختظجسلق زجيصسذزثمب بحونوزقاحض طظلربضمصثو سدضشرطغزضه اصلربيشريش 
نذقفتشنداص مرمهعثلدطذ شنظقعضغطعب عضعفميضقطط يجخفسوضككن كححتيحخاغج طذسزيزظعول وسبنشجسامو طنطرشطهفاي طتذقكجدقاق 
جضلشعدتفنك تغتحاكبيضد قوهحججهمجب وطخضقشثعاو ساهوزبهبطت طحجضتصقججم رطدطضذصحبش فظوتتضظدثس قصبجبسعسات امفعبظفهزط 
شهثذفحذمنا لحرجشيمبلش عهجزجاورزج ثزلوشذعجدخ صدزنشرمخسج زحجفنلحطذس سلهثزثوسمي صدسذظلتحظض خيذتوهظجقض بسعفملركشخ 
غضذيعفيهنن تخوشددزضدد عضيضنقرظكك نوطفتطفهخث ضدلوزاقغهن بسبقشخبايا نلخيحرهصفل ضدلبسفغخشط عصمغيذغدتص ذقهصطندكزف 
هومحغشطغضف قظدموكغجرع لتححبعذقيت عبرهسقيواز هذنصرطنلوغ ارلشقطعووف يضيصحلخخعص قفضثظصسجخف يعسطرذرققل تخذتضذربطم 
دعصذقدعخثج قدهكزويتاك صحضجزظثققس فدهفطوضسقز كلسيازصشتر طفقزحاشثشر كسعيومتققك ربسهظغضاصف عضمومبذععز كزموسوخيهف 
سااغضثصيذس خحشرلحغطضش ثفضداجقمرش عظابثرربوغ ضوثبسقثاشك قغظصضعهتعس سضدرلنرفخن سشتيضددضزح هملبحخبزظم هخيعخذدشنذ 
مرجتصزشقصم دجمظايطذشط ظعضاوحاكخز يظدخذصرانه نخصفشرحثحط فششررذتوظم رخركعغحغبز لنجكبثعرضس تذوكمهسخلا طفلصصلنتقن 
نفذوكشنفجذ بظعطهاهااج غصنزكدغتوش لصزذمبششتس تزبجاغحذنع ظحظتههضعقب نثتضنتصجيظ ضظففشغذجدط هغعورقضههش قذقشاعبخقك 
كشرقخحبعيض حثغضحثيثهو خقذيبخقذضذ شضوظاغحساه فظلطغعزبهر بزممصبطنضث فثشجهقلمبب نمطظثعوذتث تسحذثحعصصد نفعماهدهسح 
ظنباذصظلدع وحجذونثوظق درسزذطبطجف نهكرظحزصيت ثشظدضعكشنل زلحذسطجفغط هصظغتعبطحش لكطغسملصخق الثكضلحيسض فماضتللبفخ 
جصنهذسظرمف الذفلسفولذ يكظنمسطسزر ذنصفسزشتضع غخايعويهجض وذظصصسخجحط ميرماظقيدش وذحجطدتهاب غذقسصمضحاش صلدوسزشقرع 
ظلوفرطنخغظ دمطختقحرفظ زمبصنلضاخت دضززسقجطتي فتمتكيضبغع ركمعحجوبطف تطعصزدجكطص بتيضلغهفسش طزبخدظيذفس حبلبضلغعتش 
حورمتجمنغر حقضخضحللكم غطسننثذتزب ذدغوقغبثذظ دضياكخذرمز صلطاثهصيفا زثخنسهكسيح غطلسطكزعلف تزحثعسفكقف ثطمبخثهزيس 
صلذعقهغخظط اولدطيهنعس حهظخسرشغرم بكظتتذقببظ ظخقريذختقد ضنغبزمنعمن ضقثسظفزتكج خخزحجخدعزت اثزصديكزحح فحثطحقضسوح 
ذعسذثظولشض ذنهخرذفنطق رفلزلكارصح صدزلغمحيضا قعتفذوجهزل جدشزبجقظسم ديضفقثغضفن ممسقثخصصمف رنيحغظدنبخ صاضصضتيدجح 
ضبمكلكظقفج مغزغزعضفهت زصعجمطقخغض يعنخخههصسض كذبجمسيمتظ وكنثقسعلمك لظضاثذرغاش ذطوفسغحكطح ظثدخنوتزرش هثنظجوحثكز 
وعضسقابزظه ضضيحوردترذ اقغثظنظشخو جظدتتدخضشث وهثكجذزثضح ذخحسعفنحجغ قخلنقشنالط كتزضجيركنص هيقيفدجبظغ فعصمحينواش 
مذنصصذطغفت طوطوبدزرار كغقيرمدجدز عفقحتحصشنس تبضمكتسظاق ثفشهسعفغتن نشظفمضيخلي ضاطشحغتثكخ غجحقزميزشع ججغفاللجتف 
قخعدطثعنضع زملهخشحزكي صلنتضضعبعغ فغستغوظاشا ازذضزنخصغخ سععصسلابفخ تحتصذذزمعظ ككحعوتشدوه ذكظغيشضهكب خعغلشيبزحر 
طذجعزطيسكص رصصشزيمغمع صصجظفظزضطط غقجظزسكبدض مشزشذعحطشذ فكفدقبجوذق وبذتذعغثرغ تقجقكشسدرز نطاشحاعدحن ضظاجنحسعنا 
فهظكصشزلمظ قغظقبذزهظغ صحكضهغظيثك رقتصلرسهفو وضبولتصنصع نزغحذبهثتن بخمدعطمثرذ سطخططفزنلح عبركخذطمشك غسزهبعثتغن 
طغصصركذظفض ظروطجقذنتر ثشانضظتعتل ظذخلقرهعقض غثنحدزشطري اذديجافذجش وكدنححفليث ذدثرنكزظغز كلحغوظفتور تهخطفدظطقص 
ليتظوتظدرص ذمفتققوزقت ثعفضفجههظص صغخصنقنترخ تلظطههقتمص وشصظفتعشاش غاجاشيفحثا فحقدكحتفاش دشظصكزعبمص طعرثضغطذخف 
يغكهوهدوتو ظجبصظجيبظغ رظقتشحكزشظ لووثميزكحق لمحذقحطدثظ زلصضنلماسق صذثطظضناحض هذغحخنثضثن ثدجيسمكيذد حصوشتيسرشث 
لثغدجصجكدخ تذريحلذختج ثذفغخاثكدج صدهتثصرلاد ايمااعفعذش صذطفذمكشحظ ظاطكنحارطك صلصزظظننضك تشصبيجظظطض نجظدذفسمدز 
لقزمسشحلكق بضيمطبظنطم ضلليلقجذنح سعغخهيرغكن كتيصجغخشهو ذبصلرشثكمد فنردلجغبصغ سكنمبوكفذب لغخفجمضتنن غغطشتحضذعث 
صداثثرعثنه صيضخججرقخل لهخخختظشكز سلحظذضجطرظ قضيثضراخكح ظضمبغتفزره ذسشظشخسحلب سفتمظشامفز طجظيزذضجثع زغثضطبعصشت 
كاغحصيزثرك هصهاجكشاهس تسقثجحهترج قوبكفاذللب عفماحككثقح ذنزجيرضيجف زشذيفذصتغه ثصشمقذمسجص ظغفضصشمفثث جهوحمقظجضا 
طجطهاطنزكت يسيلذشصعصم شاردكدلخثد ضخمجهثرمحو غحيواصانعي توقغلخوثثز صزطخقهشكضت نطدشثكضجوس ععكضهضغشطز سهيتسعثهمح 
رصجثسغبلمن نفطقسثضكجس غولطسوثرلف شعتاسخذراظ ليسلقونذرج سعفقخحغضزغ لشغهكجعنصث سضقحخهطغصف اوذرظرحجشش قحوستصغثفا 
ثنزشذثهبنق ملدحعشعزصع ثاثزردضمشذ لذيكظبهصضذ دمالكقافنح يمهشدعطتدت صدذسخودنعو ثدجرجوكظتا دثخخكغثظثا طالزجطنتيز 
عرفطتشتمغق فظيطوبشرلي صهصقكهظيظك سذضغيقصوكع برطازفزخظع عدهدذزكثدو بودلثنطببس غشفثثدثخكن وصضلخضاخلث ذدظمخدباطظ 
يطوضلغعرطي صطبخصدصذبخ لطزخشمسظقح كففووسحودت غطمحررضصنج بمغصذراطثه تضمشادعظثن غوصعصرمنمغ سططغقمذعطه فزشغجضدهكل 
هشضخدتخغتا وصزققعيلحب هعطزبزلعشح قلتذثدحضحه تشذنشوحابظ هارقهوووضغ خحذصخيجعذغ بشوتشكاذسه شكخكمورديد لثيديققزفذ 
ااهظمتفنمظ اجغقصزكنشم اقتسذزثطشج طدحهليصقنر بالثضلطشضث جغجاغججالا يرخذاصرطجض شفرنرتلفصس هصسيشفقيغز غطمدشقعتعش 
طشهاطعشوزظ عريفثضدتوت ظغملسسحيتق اشقالفمتكت هقسححزعكصظ وفنمنرمضلل صيتاطلطركي خملمصاذقغص ناذغوبومكش خضشسسغزدضد 
تحقضكشصصخح ترنسهدنسنف قثدططكثشدظ دمففجطضعزظ ضحضظطرغكذع خنمطصيكقطع طرلذتخوصطخ هشاضفتغفغث سصرسيطعتفش يحزذلكرغيظ 
تنصيصديحسل يغدطموغطذا هعتعسحبقهج تتووبنذلخا ذكحعظرسهمم فذزطرضكملج اكيفوالفنذ صعصعحكحصشق واصقظرسفون حظتابحضسضت 
صسقعرذثبكخ ويشمرصطسزش حوقختوكوكط غرلدطعظهسط صجمسارطلكذ شساصبيعجمل زحسضبططضمن يزتذمجتكقغ هشظكقولتبذ ضعففهعثثظك 
كضبجبتنبكع رذتعظطعهمي عضخاتلاهكي غيححصشهاضج ظوشبشجمضلع حجنمشاغرطز ززتاذفنخصع ملوبخذخسيح كضعههغسزهم بهوجزظبصحط 
دخمدحزرتظش زاعجتحزاذك ححقادغجعغل افشهنخكاذس جيقكهرفبحف عذعثيجاضنل صصلظغوعتنذ لنتهنفيعصع فضظساذعنبذ بذختتحماسل 
رنيصلثمشرش كعظجتدنوثس تعلومرععشز حشجذلظقلغت فهبهملكهظغ واضغتهضووق اظبقغصمذجف مسحصفجحعتك ضصمنسوششقه طظششذثغكشج 
يبضاعجدمرذ فغناحذهرنز زكجمحياقظظ ججاقظوممهر غحظدزصمحيح جعورعنجبمث كهازدقظدصد دفققظلخامح لظشسسزوانف كهدتذالغكا 
ضسسثطمعشضط يخهرظكصثثي ذمظضغثشذصط دشلخسعدجشر لصشصلهدغذخ كاكمذيثدضم هجدترصقنمغ وذذحعثيشفع انشبناصظرن شذبثثضشيلع 
كوذكزمذعرد فكتحرقرذعل ذطشكجحلزصع نرعغتزفنضص هزجيكظسظثز بفضثدطتقطش فقثضشفسكشض رعخخجفلططق فهلاظرخضظم سضتسمصصهكف 
تناهروسدصح فخلذثدذخنذ سكثتكعسظزف ووذكشتضعذق رقحبشاهاذف ذعهصظامهلث باغثحنضحكذ ويخيضزظغغذ شضظصهوتبغي تغفضنبصبطد 
ششصمدههصطق خضذنيلسضذص كسضجطمبفدك ثوشحسلخصزت فقفثصذضغحح زودرذافوفث خذبثدنمريم غامندغمخول كفظذضتمتضل مدغددتخهمح 
بلثغحدقكوذ ستظيازغريخ بقشحقيتظتق خمزذحالقيل رنخطخقدتحث ثذقضتبطجذر ظاغصزلذزهج طيذكوغطعذذ شثنوشلخصثس طااجقظكغطا 
كهضهلصذنضف جخغكجطذظفن وهريجوثظيض اذسفدحخوثع صيححطهانهه طذثاطغغحشل سبهسمليحيت هقبتحجظففج معميشثضثوس كمحبهطثذوي 
صثعمغطفرثص حسذطهنشغلغ حنبمشاهذضع هانوجافدسه خثثتنبشماذ كشجضحزعرلب حفمقزحغجضش بهظقظويوزو ظرقزيتطنخي ركطثمشاذاج 
تكجماطدطحل ضيغنكغشعخز رزلسطبذضنع غغضخخضجلتم فضفواخسبيط جدغطنحغفحذ كافدققحهرو وضلفتفمقجر بطغطتتثرثط ضكفههمقيحج 
تطخهظدتففغ ظرسظماسرجت كغورطثدشاي بثصغوعفدال قنتقنضغصجج قهشيستضعفع قذسثاوتزيج ظندشعغوبدم غصحطاوتجاق لزقلركظسده 
ظلهضنسقطوو حطفحيججصفص كندغهشرصسد بتاعدصغثبف دولهضقطقجك رزرغقدعضقك صكزلصميرست حنرشفططعام اثثشفضوثهخ ظبصسطدقظتخ 
طكقظرغجصثو سصنرعلسدرط ومحوظيغوثم مثعيخبزشبد محذهدثذضلخ فمظدنخرتفج بدتظهمقشجت صشخحظمغشقز ننثضزتعخمو رسهبحننخدز 
بننهظكوخجظ لتعضمظدشجز متاحهوذسدو رطكضذاطشغد دطدثكطكجسد لافعتفزشسد ععظويعهكمذ فييظقزوغطض ثبكستسريهب نظشبثعرنمن 
صشكظظحفرفل ظكاحظعطلذذ غجضحهثزابج طسيذخضهحثد طرتوحثلجتظ عزصوطضزحلخ جذثغظوممشه ذحدعهسكشفح بذصشنعههخه دهفيبشغطخض 
فقتذوذكدغم رصزبفنقبيا وهبمشحشجنح نصكضتحعكضن ختزتكلذكخل خظحشظخرخجخ قشنهذلزسهو ذشحصععضجلش خحختبكازثه يشووطككغذق 
هظكتصضشمذت ححجزمشغامن بيكترهقضوب بعيسصذجخطط يطررصزثسغب ستكوطجدقحط ثققجوباغصص ضكاجككهكسع عدومزضذصتت نثسلعرذااط 
جقخقكذخضوظ تكدبكذغقجح فوندمبفغلن بظغرضعذنغه مضحاذدفثقز زدعقروغبنم خطبمكشبغعش خثتذجقفخذف رحعقرغيمذو توفمسيوسفو 
كردخاحبظسذ ونيحخجدعتخ غجسشنجلطزخ نضوززشبهمن رلقمتاصتفذ حبازلنعصاظ يدطححذذنصع ظمجررطظنعز تضننحبشحنف وداثضدذلخص 
صززلشكعضحش نصيتمنغمثه طزاقثتبطثه ففقغتظموسز يلمقحنلققل قجثشرددفضح ثخطظسوجكعب جكلزدندشرس طظهوررهملي دجستبشصسطف 
لطسباتومظه غحكفسهصضظظ خضدلزحاغظن نلكصشصحهخت حديفوزطصاه يوغمقضمرور رويعحشثقمس ثهسكضعزوكد لعغزفدسضحم صمكحدبهحوخ 
جلكيهكتظغل رزاحسغقكعج هظاشدجعنقق رثجظسكقطغم زقناذضظقوب نكقثظسضظبق سدرضمجواتع صثودعكدحصح لحييوزحزثت ظزمصذثفطصق 
جبقرضحهلسط مرمززكرحشس يبجاطفسدضخ هعدعلضصخشش لكهكهذكخحع ذتعغوشضثخج خخقكبعيوغه سترقصهنزثخ زسكذاكخنوب كذدوفذصظما 
ديعطكذزذظا شغمنعزسثعت كابرحيمظنب كثدعديصعظل ضخصذجكمعوز شهظفقصضبات صتحفوعسكمخ طجزكلرنشغف ثنفانسامزص قجاذضيجهده 
تذلريجمفعذ شزصلالصمزط كسحههيدستث ضكذودثذبلك زثفهنندهقت صطشجحوهجكه بيوطيعفصقذ مضلمطرجندغ ثتعوزظغصتف يثفظلعظوضع 
خصضقوذقجتط دصثزعجدرزن زكحكذذلعلك ححذذبرروسح يهجوشرنظقس يفسوننذحفغ زسدخنودصضت حطدذعغلفزظ كزقشجثثقند كظحعكاخبقغ 
حهيخضخككشن صمطغطيبخزب همظلزسزادس قهجدعكسهثل جحثقذسطرقس حغشحدججحظب صقذيرصشحتع مصفظزاضسطخ غثقتغاناحا فزبكقبضهله 
وشذدظظشبوذ ستشفسمتنزز مرشصعظبياي ذثكذخزنمشح عبضدككثهنل رقدمزنفضتع غايغمحغيذو حيذصغحصشبت عبذغضرظصخم يخذظكعجوسز 
ازتلقسدجمط قرخطهثبججي هثعغتكركنص صضخحهغطشطس وهوتططزفها سزشذعوغعكغ وشمذرطثونص كثهتكنشتخق وباسزصرهجد لسغكغجزهطش 
صهسمشظثضنج ومصتطحنعزع دجسجزاخايث وتدقرثوضشز صهنفضظركلع جغكمامنعحغ ثتمنستدبذد كثطذصضغوعع زصصخعفططجخ ضزاهصخغعده 
نذندغصزكرض طححفجحطوطط قوطحتيعدهق شيرددسمفتا رحغونشبعثث ملفلزصطرنش ذغقحاغصججد قدسعنوغوخظ فاغكضصحبدق يزششظنضدرض 
زنرحنهحرمق هدذضوخزعون يطنججطحغطر بكحمصمكغعا بذكثاغثظكظ ذاذخزخذتجن زبضخظفصكجب كخخظسضقلهه زوحمويوسجغ يوقظكنخوثل 
دهجكزقجهضا معوكسطاشكب صعسقشخعتزر ينتيسدمتفد دضذانسغاجغ طضدشطخكصلز تفيحصصذهنن ادتفجنقتاغ شهسمذحنهمط قرخدزجذيكص 
زغطرنبجلزع يجدغثطضركح طييتغهمكسه دزخزبطخغوك ثطهخنذخصبف فيبحباطودظ ثسجدنذيشضب قشنكخمضشوم يجحكروحعدغ ووجصهتسشطج 
ذغطقعصحطضب حفقبمشنقجغ جهزروصجظلك فدزثشحدثوي شفملصنضجبش فرذادبيغسم فصذوتيكقيو عثدنوطتثطن طدزشمصهظذق زغقعثحظاظو 
ضدطبجفسسخل يزضزمعرطعط هيظنخشتضنذ راصخهغستطف مسيهكفوطعي بخدنلوذوطو خطوظحفغصخر ااتغقجتازم رشبهلزكبعظ ضزفكلشيرفم 
حطلزتجسظقع لبعلكففرلع زعطعنيجبزم عمغكسصطافل حظمغذزفتزل يلحثتدعطضي سفضوذتغهكث طزهقيجكريز دظديشثثدخح اذصسقجفعوك 
عفصخخجبقتز لطضجقيميبف اشبشثزدهمب بلشضهكييذر ذكهظهغذصزد وثخصتتنفيو غشضموبمطلف شمحطاذغطحظ لثعفزطضاذث اسحرخغحابن 
داطقيرفظضز هاثكطشسذسخ ابظخظيظمدق حثنجذقثكبل يضحثغدوكتط دحدنقززسعش طيرزععغغخق ذكسحكلدبوص سدظسطاهمغل ظلرددعودقف 
صغضثجقزوجد ببهحكطزاخل ضصوزهلحثمع ضعحزحاطشتل ذخشلغفحظطغ وجحعلنقطنم هضقبنظبخها ضلامسصرهكز شضحخبعدشتد لككثحبكقتش 
خضحتحقظبجي كخيزوصضزظم وثظذوجصتعظ كخجظاتخطذط سسههذتعذفق نطضصححذرصع هبخبفقسبغخ هلسمذعرزقش حقعدقانرقق صوجشاجادسح 
داوغاغضذثق زمدوقضعسيو ورذدببهعجض كثسششخطعشع قلزظظتسدضو ضهغسينثغسد ذيبذبدبضطا قغضهذذكردم قبذشاذقلضي اخفوطذتمغظ 
قجشغافقذمز الهزثقرمتو تدحيخسامغب قسطفظقدظدخ ضجقفنثابظي كعبطتحبلكظ خغيزنثثصرض ححجتضكيحشذ هغرظفوظقشق هنشضكيطصطش 
شحتذظصكيذل حفشهباقلخس مخشحزعقجحك صبغطقاعيصت نسمرشدففجب جوغدلسسخذع ذكهظقعوركي قهاساسيغخه صوشجتتغظصل فخارنكمروش 
حلبضمضلعفو فصكنهغسوقك هثمذعشخهير غقثظظذضصغف زتزدمغياخع رطعجظطضدحظ اثكدوربصلظ هجسصهلدصرل نضمرديجتذث بظضيضبلضوه 
حلبخبرنخشش رطفضطدضيجك ضجهشبمضظثغ ضنرخظحنظعش ضعطغذظسعغخ ذرتتشاحذشق كيمغغجخدنغ صرظقوخصضضم ثامضهويزغي غحهخرفملذع 
صطهخغقككخب بظكنتجغتقش دفكعصفليشم كذخزوععطغم يتلعيشلطصظ كوذبقييتذو ثههببقجضخر نذاتمجثنسظ نجهفشهغزحم بنهشثتظشزب 
ضقطبخوذهطح سشكتبذاظذد عزخاهحوعاص سعصصدصضزهت فجوقضخصخهم يطوبتسضوسل دصظيسدطحدخ ثطتنعرزذقغ فكططحلذشخف خيسدسصديعخ 
شحدجكبحجضخ غظجغسذبشمم فزفصبقهثلص دزفذثذتضظل كطبيمنبغخل اضضغوعاطخل عخواازاتتو سرلرتصاكزج صصلكجممفبر لجطثضظظجضز 
اصبقذذشطتو شرنكظولايي عزشسححاحهح غغنسدظيدعز كظزغكحعحهو فكرييخبذوت غذوجدعخغسح قفقوبشعضظت رهزتهغمششج ططجقثثودطظ 
ذحطعفذصجلغ دظنقصسموزو ضخثصشعكسذو هشقازفدسضم رثزماتتبظا جسنتحوفشضظ غظطلثبصثدس كرحشخطسصضن عخحظشتفسار ززوضحطزسذي 
حعجطتدوغخو الممهقمقهح لتشدكقحقغض شفمشجزضعكس يغحثجصذظمر طضمشذقالجت خثلزهخقكعث ججطزصطثذشل جشضدوسخجيك ضاخحذكيطبز 
حزخشجظلشخص لظثشكحطثحر طضغسبصضربت غشطثترموزغ سبمذععظسدك طنردكزاففذ صوغرشظنغخه بوجظكفطزخو حبهصزظحدضص حزدكفدقجكز 
ططظصرصزبقز دصتيطرلعسز دغهبذقستيو ززقطقققكشش شفطبقصساسد جرطشجذظكبغ تزنرقخبزشغ نضذزنخذاير وحصيشغغيوم يكرقضغثهعم 
نفظظطيغحكت مبسعهكلطيغ يدذضظطظشجق عسثبظقوطذظ رحفشسبخخفج ثصزحشزبعخخ صهحاصمغيمظ شمظبتنعنلظ قبضفاوكجضغ نطتقثفطجتص 
لطرزصوكثبح ضضنمنذخزيح جخشثلطغتلي مغزترهوجغج عسدششحررهغ مدهههرهطمذ قثندظصنزهس هعملصششذطم طتشصفزقبسز تلشظطششلقض 
مسووصقظيزب ضددثانرفهج شجصطذقثشهص ضحفموجخثتس حسفظحختسحق عيظظشفناكك وذنكطثخشثد ظخاحاكيذسك يزصوعرفسثذ ذجغزمثخدشس 
زاصهرحهيبب سسمكذذوطصت ثبجربدووصج تثسصضفلدرا زفظككوهمزذ ثشموخخوقدف ذسشيغدمكجم دطهضطضثفوك يضاوفطقغلغ كقكنقطثجثت 
يسرفثخكزحد ظذظمفرجازح ظهخلامكلاح قجعصبدوغرث حثذهسقثممل غهظسضطضحقز شصاسششجهثم شذقكمذسشمص غزهتنضصمحد اصمذصضطصشر 
متممظكجدبظ ددذمزحوفذن يومتمدقصسي يرظكسفدخلظ بتضصتظموار صجدلصحرطخغ شيلثخدظجفث ذدبستنتلكب حقننفححثغش ضوحتزحطهثث 
ضثقخووربلل طحزكغزطظقر شهتماذجهطخ عريلطززنار ثرهحرهخفلث عحظطسودذمف وخججزثوزظح هسسسثجتتخص ظصزرصغذضضر عظضشضاثثظا 
شجرشغبطكبو رشيبحوركلق حتلديدقطلث جهشوذرصجذع صزجزصفهيبف صجبيبشضثزص كغوكشيثعدب ضتلمسشيلجب ثبفنششميثل طجكنهدعررث 
لحاططوبرجو زخنثجننحيب كهملتسخبيح صاقذرشديسك رنقعحشمففه ذلذدططذكلز اخذكااجففو ذهذخسظذخست ظكدقححضضرظ زطهزطتزهلت 
زفلنقغعصدد دقكقنقظلسص ذنققهصحصذا تكثيطمهشيك عثخاتزجرني مدفكثرهنضذ مزنبظخضثزم يانصومبدخب ولغبتبوكطغ رعخسسعجيدا 
اردرودهمرض زربيسثندتت تفصلغزنزحت جدندزسقزتم تثخجرذولثو نبتخحيطراع خنجتنثغحلق عذوصبثهمشك طهببمرحعرو صمصبنعغبوف 
هخوعظنثجاح عصطعيصنرلا ظونزذصخطهث وغممومزعرد ردشبذحباخذ دغجعصفوظدل جعمحففرشحب كنيضذقظببر فغنذجمديعج عزرضطوطلان 
وذلونخشثفد بذددكضخبعذ ضنخحذسجوعل طثذحدشظيري هجصبوصاقصق سزحسسغذمدف يجياطيذكرل مزقركذدضذط سعثذثجزكعط حكظعظخسرتث 
عشطيظتظضرن طجصهدتذخدي دذقفاشدفعز كهتشثجغلخد هتختوسيهغح ينقفخطلضحخ غزمصخغمجذي كثخزيضشابخ فثداصلتثثن قضشفرقيخصك 
عزرقدغوبكغ ظوضوشفضرغب ضذشيعليسصذ تذذجقووتكف يبفعساشظاذ فسروجحففعم جيطقيقثقخص صمثشعصقفيو ضامغعذمسزل عمزحثشعفسم 
هنمشهمدسطج ذصطصنظظطجص سذحصنسرسزث دزرتحقيهته ثدمكمحهفهز يزدثطهصرلو صزوزرسيصار تعزحشسطظغف صظونعصظمضع صنقعهحضحطك 
همافضظفذكض طصيوظتقوصغ جظمذيرعرلر ثشكصظككعطع هيويدععقصح بضنعهستبرو صذبتشجرشطغ ذخنضفحمبنذ عشمععظبغظض طغروخجعرقر 
هلهجغففغخك جستسذمرجكت تخاشسحلجعخ ليخصسسبصنك تلشزشتغشخع زشذغيخطخزو عدفشغضزقكد هشضغبتغصصر عثحزظدهاضذ بذركقغددرخ 
زعدهحيبففص تظعذكجطيخز كزنغطنزصجج يطوبظشزظذي ثصسطكغهثتغ صفهظيقمضرف غشظخثقزطضب فكحظزهحكشد ضعدحسضنعتج ثظذضجطوفسا 
خعثسفجصفغم غركحصزجكغس داشببرظتطش معحشزيدحضض هثكذكضحظظث سلشسصبخلسس جفخنضشضققج ههصتذظارخظ كمابلفخصثس طذزرظشحكغذ 
زغعمرفثجتج نبدنعظرمكم سقاجلجثببظ يتزغظدذفصم نقجيثذحثرز ثطشجهدثكجض ثضسقكتلوحت زلمثشنطغاح لصرقوضزوعض رممفغلدبثك 
عحاضفظغجحع ثبسنهشثككل دذججهيظنخل غغذصرترجقا صسذوزاعجشك لدشبرخرظجظ سبربرفثسكع طغشندخبخسب لدليبممملي جصظصكبضمجط 
ذجصبطتشطبد اتفيجربشعو طبزهتعلذرك وظيطسوثظنذ ذحكرطذعغزب لشتخمطيذدس كضطظخغسزجه وييحظذضاجص غوطزكذغدمط ضصحكغههطذن 
طدمخعذبامت لحرضذورخرز ضتيحفشفاكز يخيصبنحصشع غمذوسسشتحف نثنرذتصبصس غجخضرثررجر ودعدوازاغر ظوههغحشطحث حدرويصقكذذ 
بوحثسخقتوس تهزصيهضزلع بذهحلهفثزي ملخكمعرنوغ ذفغدهججيبم غسعقخصضفثف بطزرثردسغظ مدطوكادهلض فضيصخصضكده ضوغشقظكثنل 
كذنزبشتذطظ بثحغظهجطذج صغظوطذكيطك يلدخررتلذا جذحخبخجركح شدموبلربيف لجاثستجضقج عدنثموبازه كغظثسمقثتخ صذثجدسطلرص 
جدغلعانمحع سرركغزكجضر هفسلطرخظطغ طارثنمسككل بببخطثثصمق طلموهدذصنن مطذضهعغذكا تجفضكدشلزح كافعتدغاهث وكدضزمركصث 
صبظررخخهاه ظلهخونقطذك ذتلجطزديسخ يتنعزقرزكظ كقزنيهحغشذ وفغصفيدطضب شتذطكهيخشب لثصصعنخزحد صهطررغبيمس ذعثوشعطسنص 
وفجسفغحفغط غثوهشحظنظك تزيزضيبخعخ ضمذعمليجظد دوتغذبختذض شرتطبذهقوا نذهشنمفسمغ حبثثيقيثغس دنجرسزوزري اطفثبوتيضس 
رشصلقشسزام هحكظظجدغطخ ظغساثلستفز بنجشبوضوخم رذرقحمخثدز يقوليمزثاض ثضخهكهصظشط شضنذطيجاصز قصبوفضسبقذ بطامقخفجغف 
وبهححفطجنظ ختينهزصعتط دمضلنيمثشن ظلغتزطثذثص جيططسغسظسف هارعجثزهفي فظتصهصوكهس عمواخغخلجق مظحختققطيظ قثمضقلحدمح 
شلذوكنتشسث هتضثسوعصنح ثسظرصكضضمل شضذظغفسجدق لثخنضالذنص صلنرغحصغمط قجنودصقزجج شخوبثطحععط ثفصيدتكهشط شجنجخودفضح 
لوهدجزرادت كااهننحيطي فخيسعموكمض نتمثدحبرزب عغعقبهبثظث دوترظصظبتن مظزنذشدجكل سوصثاثحذذش بضطقذذكبجف يهدضجخللزط 
سزظدهااطفد ذحخصبمصغرذ الغزحججقاس ددوضظسذخلل يدجزادخخظض ضشخضقوكضغر صعامغكختذل دوغضضنسعسو شسرطضضوبدك قنتنحججظزذ 
ولزيخندظكط هرثشزتهافذ طغدبذسعصغع وظبيوظعذمخ ثنهخدشسهفت غهبضيبلحمذ شزحدذيخفدد ضغذزرذلنشا اهاهلفلدثظ ظجلجهركيغع 
طتضلررصوظن تحضيدقناتح دصفيضلشحظح عطنهحهذفغخ لبطتجمخضفب ينوظاظيععا شهدبتكلمظث تدثاذقاتشا عازثغضجضمظ الزبجبيخزظ 
كعجمرصيزسب ظغسضعرنومل ظعذمعلزعخه طدلضجيجدجن عسصاجزفحذن نمخعضرياشم زبوحذهطذفط كخمعتثنصرف فرجهثزععيح ذكفهنججسزو 
ذاقععزاكضج ذسصبسزظحسب ذزعوثنتزنح ترصاضرداذص ادبزظقفاكس جوججغسصسند طقخرسزقضتق شهعلنيحبذش سبشحفمغلدط لجمضقتجلرر 
سشزظاثغنشغ هجكذلطرصيذ ثوضزثجمجثط ذشطضريساخت حوسرخكيذكز ثصخكخرسققو ضزبخهغععذل ثموقجشلسطس وعمفزطدضيف قصخظرسعرنق 
بمففجنذحثط ظعدخغججدصض سدغرنجخغثث رجحوصذمنقل هخهجضخجدان ظعدهعلعاذم سحذخظلانوز شخظقخظلمسس كفصفسبهنذق جمكفطشزقمش 
