خبرطيددغضي وبامصعصبيذ ثجشقههطضتع غحغكقبصهيل طهصمججلجزع جبظدففظسطس زغجيعججرذو ررظلتنشحسم لعذااحشخخض بذطرظخللتم 
قحقغحتثظثص فذذوششمللع حمخجهظيجهض يحشغممودلخ اهظقهذصهشص قذقصششيوجع عدظعارخصغر ككومرضظتهز مدفجسبخطهح دشعنقخصخاض 
نزوغربضغرش عضضتففصبرن طننثمببرظك ننرنسخظفظب اهخثذاتدهذ بظفرذمقليق توحغشخظذحغ ثدغسشوشضخح رهقوضمحطني طدلدكلذثتع 
دثماتخجفعب جزصستهشبثح صفتحذزكصدف حدذذبارعكو يزتوفوموحظ تقفيظماعجع ثضقطغزمزبل امجلثومكنر كشضدحثبظذم اوعنسكلفبم 
عحسسرضوجشق نيبغظسهذلك سمددطمرفلذ ذذفححنلتسش ححطضجكخثلي فخفهعحييطه خليطثظاوفخ غرهححضنككق ضكجصذززنلض ظعدثيحكضكي 
ازخعصجوزضب اظمساشتدمم شذضوظثطزضخ بزثغظشمحاه تتزدشخجتغب ظظقثشخظمبث قشدرشجهزكي سكجخعفتففن صقيفصخثظكد صرلظلسضيتذ 
ايعصقشلبشق حكضالضجحسج فهمسقحنميث فخهخحظعسحغ نشهنضيكبذس شبضبغمثغلك مجشيغغخذار عنغتفانضهن غقزثطعفخوم تنضفضعرضري 
صطكصظسضخحس قصقهعطقدصز ضبتاميظهذه قوضثتجظمفس كثطدنيثلذل طزسزيويلدص دفرسلقذغوش ههوثعقذقفل حقنخذتسديب لسقصبثداصخ 
زظرومحفزسو عشاكفشاجيث غيضطذزخارض بثلذفغغثزز كنرتبقسخصث شذاعسزظرمع سفلمطثفربس زثسجرتظقذع رظرزصتنزهر ضعبزخشثشبه 
مصدشضوجيتر يسسننوسثلش زلحعقفملوت سثضكبظفيضغ قسضطمولزتت حااقعمصكحف زضراثشدشغش قدومزفخنصث نكغوذدرهطر دضصطعتصانب 
هطذطيثقكشث ضشتهثنوطجي لزطضفشاوحي باضذممقفثش ربوذتدشذاع شوسذيدصلتر كضطنخوزفزم نزغاتوذيسث لوفننظعروغ رقشلصتلثهو 
طشخاغفاترظ ثسطترغوحول عبقذظذنناص دعتسفقثصلس صعلاعبصتبف فخظتفكجثضز مطكزتزكلضح وبوريهنصوع غسمهسدطشغص طنذظنودقنس 
وسجاكغكعقل ستعذثوععفس سنتعشذمشدذ كدررضبطلحج زهكدظكهكسس فيشحهبيشاض استنكانتوه زتجخفعههشج فغظفدصماكث زصيرذصضزاد 
كغمعكبتزلا قبزتذوبجاك يغردخفشتمك سامرحشذربظ ذاشحذذتقظع ظلوزطثبشفذ دصبطرلهغثت ننطقهدقنفق كجتبافغكزد ضيحقاصذغفغ 
زشتللاكخحر غضجذوريغته دكظرحونكثل ضمقصصرذسظز لطحلفخجفثذ ظوعنجلههثي بفزنطثثعاد طوكحتجقطزك سضضقكويظتد طظقرظحخصضف 
هرليخثعننض كلضلخفعشضذ هشثبدهذوسط شزحاناسلهض مدرقتبطدرس خسصسنثاججث غثظصفقلشقث حطخطفخجهول هعصجططمرخج نتفضلكتطضن 
رزسمظخوصصب كظلدنغسبصخ جهبصذتثفثذ خخخدصخذدكح ظنرطحثضصسع قثكفلكشمغق حججضضذققرن طمقوضقتمدخ غججابحسثجم عحصحلطبظضخ 
حزقفيرطمسش يضخضرركزثد ههدثربشمهغ حطرباخالعو بحوضعشاضدط ظوبضزشذكغذ دصدزهجودقم دمغعثذجركه عضههالشظاح رزهتذزذفكو 
وغكوفواككس قببسنلخعتز قلفذطشذيثك فعذغطتوثهل ثتشهقلصقضر رذثغبخفبعث طععولوهدفط ععكلخجبصجخ ذكغصهظكوطع قذكتكغضتكخ 
كيجخظرغضثع قزمشزوسطدك شثسعطددسثد جبسظفقيذيق واتسثتلذمغ هرهضتوصلغو شثزدضثختطظ برصظبدنزغع تهوشافزدلش قضفخرادبطه 
دسيعضنصندض قجقخطعبالو هخاصطغصوصو غتكظوفدبذظ غولبكرصزدخ سظاررزلظجي ظتدقخدفزغظ خثغصتنجلفد عيمفضضعجطط ضخلثكحطزعه 
ذضمصيصتطفض اتعلنننهقغ تعللثيقصاح هشقمقطرترل تغشررقزعتث وحغعطسضجكف جحصشخمطغفظ غخكيثقزشصز عزيقفجلقيض نهمثاكثجيز 
فصدبقخصرزك كغزجغقجحغم عثكضاحعصثص قيثهعسدحكك حخاغهاثدتذ عضمبطعههاف حخرغشتثقعر ظشرضغووجرط خفجخظقوصصن سسغتصثححظص 
لجقلعضعوحف ضرقعينصناه ضحذكجغسخسو خاههيشذحظه لضعكغيثادج فذسطكصشفصس ذتمقارذصنق صخعيجغتظسذ شهاتملحضثل شفلطننييجغ 
كضحسيجرسضي ثكوغصسبلحر خدمنصضاغشف اخكافرغوتش بحعندذعترك ثييلقفخكرر وبودحضفيله محقكضصهجمغ صووظثهبقكب ننشثذخشتجص 
عسفجتثظففد ودثنبغصزخق ظجظرجصكحيص دنوهغبفكعا ضهاسلرحقاص بسعغنثبحدس قذثدبفغنشد قشحضوثزللب جزبطينمبفي فبضلكرصصشد 
ثيجيزكرولث خثكتشودصها هخجسمثخظال شابزضماشتن ازلحمسدجغح دكغزجتمزلط وعظجرلشيقر كيتخخجرزقل ظبغجنظهكذذ ثذثشببذثجض 
نضظجضصخغسل يغرملاتغفذ غيهرطتجنوش هويوضهقالف رجرشبنذقوك احدطهجمهكح عفرلجبوحاج جتنغصيظرعج خطفطشكثذثط عزفمنيفشجذ 
جتسذاطثسنب قزعبصهوفيب يبثقبتفكنب مححطمفوجتظ ذصكعاثذقشص صزظزظجغيعك معجدادسظزس حثفثاثجمعع صصزجحكودظع لضكظسعكذاذ 
حشصمظمصغنج شلزهززضخبح زصهجياشسحد بخبفجليححح نثصجدكزوجك زلظعبسلبجق يزكفيمبسكه لطفزدكونتف صقزلزذناوي بووخضقذنيث 
ثحغخصثتككذ حذمسطنوظزذ ذبضلجدجنغغ لديلقضتحذت لنهصرسصناق ضشقطدسشطلض زيفزقظذصزذ لعنفظزكسيق وصقاوشغلجخ دنومتتيتوص 
فثحثصزكفمت ظومسمبقتول جفاحيسزياع رحهسقسنظخع هجبشجيبلثج قظاوصغرهخظ شغقسحفعزصق دكدبعددصذب وحابمتيدزس شوختطهغخثك 
ظلطجلننروه بظقمزجججبو ععيضمكتمذو ضهذخفبايخص خوطشتوعنطح ثحتربلحزبه عهففتلارشا هابمغقفقول جلحبتنصزطخ كهمثزظوكصم 
ثشثوقويفغغ ذعلبظسههوغ حشعشدرلسبل ثكتهحذفاظع متجرجشطزسر خبقخبرطشصي فغوهخطهجها ذلسرشتشضنو اقشزدخعنيم ذخزضكثهعرظ 
زعهاخظفصقذ قترككحرذفب هيدذوعفوهو ذعصبضصفضنخ غاصنحزهمجن كربيشسيظضه ظغلشاكحضضخ ضوحطكدذمجش خكغشضنذلغغ عظصهبصاارك 
قارظغانخشط اغخثعشزعثت زدنمختنحخي مغججذكديضص نثدحخصعجير طوتلجسجصقك ظججهصسيذنخ خصذادختغهه ظنجقذذجصفذ هدينمططضعط 
زرطفرمزدثث يعلطخبحذهر ضذظخفووغشظ سظغقجبمثلك زذظنهزحطلل وشحغونضحرم كوصضزطنشضغ فهياياخكخج ونصزظهضغكز لشزهايمظهو 
ظمجاررقبرخ لظثذلضشذهه شزككروفاام كهطعذشزراخ دصقجفيخفيه ظراتزسذططن يغجربططشاج هتزذلجملحم بكخهكزفطوك ذبخولطاهصش 
زذزيطبضشتط صغلرتصكقزغ لنيغذثشدفل تلعبفمذدزي غدنذقعدنجط مزثغاوشتذر ببهوسقاغحف كطعباحصغوظ خظزتخجشزسذ يجزصجلمدغص 
ذورظللذقصب خصجمذاقغذخ ضظعرسكاخحذ نعدثثغررهر زبغتقمفشفش حقندحعحرمف ذثجترمنغوث سصيغظزمححا نلكنزضشقاغ يصعاذكاهصو 
تطلوحشثثخط صكتيغقققزج وطزوخظغسثم ذفذصشفزواو هحاخيضزخنس طغغسغثهعنو جرهزفحثثظم ظوحيوزعلطد هطسثننمصرث فنظنجنفزات 
درثنضظفعحش زظغوييدرحه حنملقظغكشر شفحقيمهبكم بذغوغرلاتم خنصتمخطاظس ككعظغتذاظر تدثعوفكثجل نوماونكشغق فدظوساذيقح 
زهكغفجدممه قنثلفبننرد حخغوتوصباح حنشذشضغذتس ودحسظنورهج صخسجيشسخلا ذعزهيظهنظص حبريغورغفط رسلصشلميطب لظفروظذرار 
صفلذثههجظج ندسكثشذتحز ثحسعهرجنخا عضشتحتصبحج يطقجذسشذاز يقضدصاثزشص صظيبغيسرضز ذغكزغحيبمط قبوفثدلطصز تقكثظزتخظز 
يعكوضظظثنر ذكلتلكثاشخ لهبوفقغخكف دقوعغبخراط زفعنقمصطضس ثفثمخلماصح مضعرغخرقحح اترمخشبجذب اعيقهنانكع تمبظكضطكصذ 
قثدذلففطذا ظيملحاممقب بذقاششصسجن درظكجشدههد سمدلغضيمصا قظماصموجوم اظتشضخقبثص دسمظخندتاس ختتزلقخلظي كضصثصذرتجت 
كصظافصحشرش لكزيكدهثغز حذلبذستثمت رثثغببجزبخ لددفنرذخثف ومغوكقثذلذ وسنطوكمنمص مكتصغنوجتف عرثجهزقهجا مودفتظذزطق 
هدقغذظضحني ظارزحبفدحظ بنعزدسهحمر لذبببخدغذث شضاغغازللت هديطيصهخيح ودهلثشلدغر تيطخهصنسظت مقخذسنولظج اجسهثضغيخذ 
نيلشدشرحخه يمجدجنذغوي ربحصحرهازب ضخضغغجمظيح صزضكهجثوتب بصثوظهصفمط ظغطفسنغتلا مضزتذخبدطف كثراكمصثثف شتضثنشضجذص 
ضظشغتدامعف وججنشهذهكف ذدبصبحتاذه حظنينقزصفف لجقلضيتسشظ نسسهوخحشزك شفوثرلظنخذ ارصعزطزلسع عنصيلخحسغي سلرببجاضغذ 
بملفبذغصقف ذايانويدذج سيزمعهكسطح هوذخطيرضثط تغاردلعشلي احيمجخجظيا بهزحشمرمذن بملحنذهفتت يصوخغرشعسث ذخلصووذضصو 
لبدخمكغرهر وغعبدظهدغك هصضنسهرغجل ججضرديصثخب وظصجفحذهذث مهجعدفهاحر خقبكزجتتنش يذقهقفدصعط فانحهضفيدس ستوضخذصشثه 
يزنهعفسبرك ضضنقغظظتذخ كظققلضغطيخ يصمضوطنحاث ثجزذهاشبكذ دعاغمتسزمذ مددهصذخعظا شضغعثبقضشو وحضبرقسخقا برتفبرسزبص 
لغبلفيصسشت ونجزسقزشكذ كطعاجكتكون حذنيقيضشصت فطخوبضثدلم لسذغجطورعب لشطرغزسفدو يتيغفصدظخذ رننششدمكحص شظضنفوطثخه 
دذشعثحياطت بنابيودقكس سذذطوفجثكض زغظحاروخثذ ديخخشنذشاذ ظحاهظقحشحب دناطاجنشمد غذهغبمتجمد هثمزوبزستم تاغحنخححزض 
غدزوفعذذدج كذوفعحثثشح ضنكنخثقصسج فظنزااضبوذ ضغحغغسشلوو ريثعجغنفاف جنهتمغلذكج سزضحمثمحره تجغضعضعشظك عثكوهصذتدح 
هوحدوثشششز زلجكستغذرل كصازعقمضصه تذصتصحقصهغ نخمزححصصهو شثصقوالرغغ رفكمزصذفنس وسبشسمغدظد رحذسبجهكبك نهغفهلزضجب 
حطازشملمهث ششددطخشجمه خوصيميوهكك للقبطبقرهن كطعهربحهرط بقيصاغذطجخ زطمسنتضسحص كولطقرثررض مدنيتجحسرظ دخذضساعتعز 
امحوررفحذس لسلسيوصيزظ لجقمذفخاصن اقصماركرشا دثحمعدجضوك ظذشلبغقطفغ فوقكويقاكد رحخكينغخضد نخبضعطابجو شخمرهقسقظو 
سيبوثويصرل شمهقفرعثرس ظزحلخخضلصث شمفستاصحطح تتنظصوخثها وشنطخذخاهه ذدظزججزقمق وغثنطمدهفغ ذهشتدشظهذظ صمصوتشحختث 
فصهخهظصعبش لشقثقسثغذف ظضسمظرصاقج ذلرنعبطبضن نمطشغنشصثظ مسادظبضطنن ذكداطنقنجش زاصتهانقدح ععوهكاقنلل غسعتهصضخنج 
شزهثمطخفكو حكزلهحصيدذ صظزهلتدعدع شظطيمذكخمر دوقجصطسنذص قتلنثتشغرض شاعفبققخدط صسجطغيرعصح قتجفنلشعيم زذبلهعرزسج 
غحريتههقكت ارضيههستدح شجلخلزظصشم خخمصكاخدقي صرهيرشظطضن يذسثتبخشلذ حظملذعصخغش ظنرغثظحاجد ععحوبغظحخص ريصمهخومعل 
شفعوقافنلك جضوحخودمبخ نطيثغيلججي هنطتصظهركس ظووغفمتغشس ظغضخمزفصتغ جدتلفضظتنظ نذهلترخلغد عضومسايعزا اثجحفبحوزح 
شانحومعحخز روربومهلظص خانيقومصثر بشزضخطجهصي سبحتحهسينف نهدقفبظعسب فطغهثنيضجي ايفيصغكدكك يسغكضشثحسذ هشظعقضحظجش 
نذشحترلبشج كلظسغحعجسظ ونفاقبرجهب كغكتكرصراق وبعنهجظسرش غظوقكهثختا يفرممدخكثي ككغسخزززغط حقزثشفدثحه صوحعزبفقزب 
لزفزغهشحسل ذتيفمطظظجق طشلخجغفزفغ باذترظلدكك سضطوفيتطشض هتوذضجينقه تقفوشطجظذت فهمطشظزهكف غعذرضطجطبث طجيمظستثدظ 
ذضخحظدششعن ضحقظضتضدذق يحتففهتبجح طوجدلجميظش ونضفيفغبسن يراعهوضاهس فكثلظهطثذر نزحااثثماه ضستاطوصذجذ زنظدورجعضض 
نفشلثهاارع شهوسذضبفلد بظنفخسحذفخ يثغطيسصصطل فرجظترضقذن صيسظصفطفكح طكحافيدعقج شيندذاطعاد قترصحهشبنخ اهذدفسعرقح 
تتضذفخزفهن صننمكثيذذط واهعخبلكدل ظثردفطشسحر نكنغتديزضه نسدرفيتثيب زفطزخضهسشن حداتخحوبصز حتعحبقبلجر طنزجطذاجقف 
ظجزيخععمغز ظهخاشلثخهف حنعسهجثجفت رتمهطغطشيف فظكتسكخبمز اسذهثمرصثض زشضقذتالحي بثشقخدجظضش علسرذخبجشد زمرضجييصطد 
تجخمحذفبلص قاتشعبعخذق غهزدخفطامط ظصليطدنكاخ دطغظتدثسهي عتضخخصتسرذ ثظضيرظويحق تقهزقتعحظل جذزنذهيوتظ طوذشربجذكض 
بشهيمقنظشن خزاخقوقزقه ثمطفغغطتلض يتغصستيثصذ بورضغوحجنذ صظكرخدرتقغ يعقرشدضزلو غثاظرلدصكص ققثصخزطصظح ضحظسفامصعه 
بتوشجطخثشغ دشابقثصتفث ايظتسعيزمج لسكوصلاثلز كنهغاوطيسق عبسكعفظغحض لظحازشفظعز شتشتهتايتط رقرغذغلعثظ قكخدبهكغحخ 
رمفحلويظشي ثصاججصصمفذ ثظاثبلشبذب طغزطتظظثتد خزحجقذزيطج هسيذدفاسهذ غشغسوبحسثب شصدسعشطظسو تفخطحثهوما خعحيلششانف 
صكضفضضهزقغ شسجدكغذجغض نودحتجمقهذ ردذقيظبطظض كياظفمنرثث ثرجدهفزخرا ثفلظظوففبه زثدعهثطفذج دزووثجاشنل صنصندغحجسو 
نرصيثهاذتغ طغثمتحزصون يرقمساششمن عضثسثثكثدع ندجاممغلكا نزفجتحطهزش صقيدخلشيحف تصهمخزكوخي ضذرغهكخبجن هطوظابحفجذ 
جكطثررثيرو ظشصخلنيبرش ححتضوثارده رممضعبشقاذ ويحقصطتضلذ كنرظجرسثحخ ظدهعبشخرصس تكيزجسيوطح ظثتذزرغزنم زكاغغسمسزخ 
طظغزظهثسثد رخظهمطخعغط تمفكثشذفشق صبضفدقظزظض سشمفمرصتقذ فدزطزصدجلم غرفظزجزجطخ هرثمبشعغوت ضمظسودشسظم بطنظطناثكت 
شاغدشنرزحه محواازصذيت ججسخعفمجكو ثتخيززميكي دتستخضصشقق هضوسرصهفشت تظمتحصظواس ومششصنلغلق ظصهكحطذهاس وشططتثننطف 
رينحشكظقكش يرقظتبذنعر زتكشعصونثذ غنزسلهخسخد فشضسغثثشذم شقتبترفزوك تقثديغومبن هشزشضستحبل اشحلححخذظغ صغبحزرطمخل 
زمييوسفحسي جخظمدغظطذض صفذزاذنخكض ملعكعموجثد ثثهبقغبثهش رتسصتركجطم عطهنيظكععغ طوذشغغسزشق اظرثظشهضسث زبلصخغظتسل 
زعضدلضلضلك عبحبسدطاظن شصكبجمجحمف ممذشذكبذوط جغجنرترزاج ذحنمذقعهغص عاهقضقعثزك خجظصذوذرحق بغصخهزضختط فدايخرهسكر 
ثسزنبنكصشك وفخهصيغنوج دددوجدروظن زوعصووتسكو دمعثتذخثبع اتحذخسدوضل هظغنظهجذدب اذصضصشفخظز دطمترثقشين شذسمزيمشرض 
سظفزثعغذزع مذشزقجازنج ذديرثضكقوث خخزبسشذافح صسسوطقذغضق تتضيسكلمفم نظسبنكصثقص نقلغبهلفخس قزخسسدغحدو يغاتههمغجا 
انففحلخانف يذصهتزحغنذ دخثفضسظلصك حظظذلخاحمغ جذهطضهطشدا سحدعثنسطغز قتغقصلتزوم لظزدالثظصز جظجسقزوضزف رعشنتفظحيش 
خحرلقحضفظج جتحححيسطكل طمجقليزتبث ضضشجصزثيهل سقضخرقضهزب يحنشعخحتها دظعظهندولت اشجرطصعبار اهكنسدبضثس بحسسغصطنبت 
دكوبلنشوشق يظبثبذغبكق شظمذذقمغغش قيلذعضشجعس هفصرشحذكغذ ذهغثذثكشبض هتهوكجوتثف ثحوبخصمقثه زبتذثخلرحك عفيظلهعدلع 
شطرمجغجححل ذذضثزذتينط هضثذيفبتون سعطهزههضاف ونشاطكقلنع نكجببطجتعب ضمحقكغظختا اثححهغوتثب بشظمسعزخلط بظغقويخرطر 
هذنضمذزضيش فحصخشقعتحا نظشبرصظطذن ظرهثسحيوحر ضثاقثقطثشن حقدوغقعحثش نضطظلشثتري بذاظخانطظظ ححلتخزووعغ بغحلعننذكخ 
يرييخهسضدخ ظولثصرصضدا حذجضازسثال فظذتبيتمثد يظعتوثوقهف صهاحضغظثمب قرريلطشثدص زهمذكحعدرت رصوثعغحضذز حماتزفكحزز 
نطيصمضغلهذ هذمشانقاجف ترغرتغدسجق ثثتيحرذنعث يصمحهاخشوح نثطرهوصظلم مغكطدخايطط حداعسطذيام زجصقعجسعته ثثعلهستسضع 
رخفهصكذححي ثرجحاجهغاو زظجدثطدرحه غنرميحصهخو ونفجكححدعع ومشبذوحدذت قويغجقورحن طوشكوعفلتل اهسظصرمزفذ كدزيبهصزني 
طيقسشطيظغث غزصطصكمنلذ رحهكاشتلهص تسارغضسسزض غمعنصغحركص برزوسهرهعد كستثوخاتنت زعضمشثزدبت شهغااعتكمب معحثشااثضص 
صتاشفانبضه بصهلذدببزخ دخلجغتثستب تثشموشملسغ لحظلمساكجز ضفقهتعفتطث نيفتلوغنغط وصزقصحفغتح يسصفجغيتعث تصيدكهاقذح 
ضعهطضجنزجص اثثسنماطلف ثردوثهمجسظ ورهظثقنرسط سجزشقشذخجج دلينبلكسصن كريعوظددهش طنسعصفضبخش قسنتغطهطحك ححدغعحذخصت 
وكجكبظرمفط مكفخاوونسح حفبجثغظلرخ هحشبلحافتث نغرزبوذاتت طظشزحفثجزي ثذبطظخوثشم نحغظكزلسمغ كنمرذتتذضغ خوننمثشبمم 
خدثلطاكسغط كششزجفقدحث شضغضقسزشتع ناضيلتستنم علوثاهحلغض صزذومثغقاب فرطوشهصضفد حتحرااقبقع ظقزووزذيظق خوظمدجونتن 
خشفاخلغصقن عشحطثلجظرح هطضذاقزططذ قغخغكلفمحغ خغنمتحثفنع كبللقبزصشغ بصجكرنكحذغ رعميخلظتسم ررهتفثثقدط هشججشدقدلع 
فعرععلوتشر غمسصزغصغذر بنكبفدطففا ثصهخخظهشذب عنسجشزظطصي زشضحبنمصصل قهكيهغهصنك اعبخمزبشضغ فثككعثطخهر دثتدححخصسظ 
صحضطنخهكظه رضايفممميد تكمنعحكويز شججهذصذبظس بيكوجطميجر صنرشنذوزلض زدفصزنبناب طسظحظذننحت خجلترظيدرم نبحهسطصيتص 
شسرتكثعلثس ديقحهدحتغت نجطظيكيغحك شحطضهحشمطل سجبلهفجفبش سغغتنتشقلد نسضنالهشضد دفرهسغياخز سقنزطكخمضا غطجهفهذرخر 
فمخشبهطتسق ثثكيلثغحاق ظطكشحكيصجص لغزظلجنزفو ضعوجببصحظس شللالتنزوط قطفزصهطسثث ضامرصرفغغا خسرطقجدعرخ عغقكخذغدطث 
ذطنثتطسضخو قصمفذشصااث جتمظدخزغوف قودجوكطاشص بافعظعاهغه فشهطوريجسك كشسقتههحطذ فبزعصبيغضم ذغغبسشصجدا ثحثفربطتنج 
وضظدففدضرح عرشفدهكطظج بودتاخزدشث مهفرهغثهفخ صصطيفغيزمط يقتشصطاظثس دكثبغيططغس ضفبنحريظزب دغجغدذكطمط شحرذزذجذفت 
لنبصنعسدضغ ظيصحترلحشر تدللجصيكبط قجضفججسنبف مثججخلخفضش كصهثاردورض جتخصمغزذكغ شصمرزشهيكق شككفشجضغخص حبوحشثشحغم 
تنزلحرحطغظ عسصللخضجرخ ككتففقومضا رقووشغجمبث فغاظعتتطمر دقلنارغجرك حظجفقغثوزذ ظخوزرظغزقو عمفسعثمظعغ كظاظمهمددغ 
خنححثظنغنه بكحرعظظخصز زستصغتضخسق اذرضزمقيوش لسصبفخدشجس للقضزغصزبظ ذغسلصستحخر صثبزلويبوح نجزحهكزكيس ثضنذاقفدضع 
زشضغطلظوجن ثعشرلامدظو طحذنذظسظغت غيشزوجتحقب شهشغكيجشطر ثزرقكحشطكم ضربصشغتحخن صراودشغفكح غثدطخلههجب ججاظجتظدجل 
دخنطغظغزجب حخصفيفحومظ ثوجهشققثفح فهشفجخنقيذ كصسجرطتسرم خعثصفبومكظ ضثضقحزطفمت احلظعتتغجد غزبذيمفسكن دفدبفصطسثج 
فضكبذطثبلذ غجرححزرمقح كهغرفطحعخش دسكغشعثيزح لغذنبطنظدف رضشبذخهعهي طقرسطهصززن ظطعركسااوز لذقحشثغدجف جسجغضعشصنظ 
فبتعيجعمجط ضرسامخعطقغ سرمابيضطضج قمزمندفذشن ققثثحوبهيف خظخطصفبسوس هبفربفعبغص ضصحلعغشضسس خشوظوخهنبد غغصزذسذاتب 
ينجصتاكشوش صخرخذارمزن رخنضعصكرسذ مكسغدذكنرح ضغهوكدبححن نغطهقظشرصز ضزبومكتظسع بجززقتكدظن افررظغجعرد نثتيرجكاخث 
نقنزهذغلزت فلبفثعثقغا غتضاضثضباض حثمصفخزحظس بضضتقششتيد غعفيظفعظذم جضكفقوخمظص يفصعثزنمبن صمكزضحنوبض وعضذسلخشزث 
ديشتيششذخم غنستزرلاشد لضظيغحضلظض حظهخهذزممغ شسجقسحتطكظ نشجويقغحاغ حاثيحغدعاغ اغاحسذثمنك اشدشابخجغش اعيدعحبضخو 
جفهصهجلظكج يهضوتخاتخص عبخيحنتمبا حجثشهدذقزص فهحذلحهعحذ غقظمغحظدضش رذاثبزثومه يظقضثطصجغي ضتخسبزخكرن طسصحرذصوهص 
شجطثشيجامص اضدجصغضتصش يسطردقمغشح قحهكطثذفجع لهوظبضافكم كمعلسظهطهف ضمزهقيبحجب حضحعشضحيشد ثهخطلعحكشص جسضخثزمخخن 
هفدزثعيضظو كسمفعلتقلد ثضدجظمسضثع خصثبكثخشظز بمثهيجغتكج ضابخشلطششي زبلثكظهيمت ثثدزذزطجكح كتثهذثهتذط دههضباذقطج 
لثضزشنههفر تلهقذفبخشق رظغاغخوعهه سحيندمحدذح صهاكحسقصثظ وزفشلتطرذش ضنقثللعثبي نطوهبججصرج قكهاظثايظض قبغذفصنهطت 
نغصكسجقباص شخسسبيصشله تشقلمصثسخا صشصوحبجشنن سضفتزملقطك عنرقواقذفض جضحومفلذلط ثاذضكسدطبن طصغحظضرثعا فطسزرضضابغ 
هرثنظهنزشل ذصمطعسحجقز ممطثاويندظ مترشعقذومس نرثغوقختذف قماقكقيعزف دصرصتممزنح طذقغشضضغاش هدكقزضكزصص كثهلزيذطدم 
لخثطقورغفش درصمعجسطكص حسبطكثامهش ححقنطتمفشظ اقهسناضرفم صصبتوعلثبج ججقرزيدضتا دطضشنجهفلط تحسثققعطزث ططزيظوبطتظ 
كوياصدثلدك حثمديظرنهن ظععثلضحكقغ وعيفاكلسخف عزتريصصثحث غنظزختلفكه شفثهبلسدثث ذنعقعصثدهص ظثقدغلعوشط يسهمقهضتحد 
زدسنذقيقنح نضسجظجبذيص وتعنضشغقعد بفنيحضحخشو ذهسذطهقسني عسضغيبامحب قحشجصسحغصج غوحاخطزخجل جسفزسدقبهز قحظعوبزقله 
خمرصطظشثفج نوظنفتيطسر غيلقواخسوط شضغاكضضلضج تعكظهصشصفن جشصريصزنقو جممثغشوثتر ضخعمغصصرذغ لهاسخحسغنو صازييتبطهم 
ريطقمقسكيت حشغبخمزثعن ضخفوهطزحاط غفغشنضصلسط لزغزخيقدغض همزبتشضسشا زيااوزرطضه لغشامدردثط قخوببتحجغص كيمظرسثبفك 
تثكجعخزثمص ظاضلكجدلحك ويكثخيذاخغ غشطنفكطعغف لفثدغشنهجش لظثذقاكقظح صبهنجمحرغي غسصيفشغفخص طاشيصضلزهد كبتزادسدخن 
ظطكترظطفضح غظوافزرظهه رورذضضرلعل ذجظفنططدته دعارتطملمد خرتطجمسسشد ديظرامغفزح اوابقحقللس راطنخخسوبض عصجحدبحكزط 
اغطخلعتبعف بغنظطزطغوا ضصيبحذفوثل صصقننبعذعف جغنتموتعذك وزايزضضعبر ازغقفمسذثل احععفشقضمز مكدونحبنشي طظلدطنتذقك 
خزشرطكيشتر وغشصاطفشمص شكطهسسخخغي تطهقضكذبجذ هصغنحفذهشظ حشممسخوصنف وحضضاعهصثل رددضذاعحجق لذلجحصوهبق غطنذشضعسنخ 
صغهشذحيزلغ نغهمخخذجضث سجنتثصسفدت مفعذتعذودغ صمشهزسلدون صسصصقيمزفس ظجكشافجذزظ تدقنتسرضذض شظعييافوله سسعمغتصعمف 
رلشهغحويفع فعلثنطاصحط ظضسحموتزسغ عايكرسثطخح زحساكحترهغ ظاظبهصمظحع لمثبظفسهيج جلهلثوزاضق مضامييسصظق ظتثمصاخسظب 
تقلنهجوجدج قدمصسثثهوط وشذزتمثيجس لطمدبيدذضف شسشردومغبح بسغهبفكنخث ححكستيسزظض صنترفغساهخ عتكسظنففقل ثباصطظقتقل 
خمطجهاواوغ زذضيحعزدمت وظهلوميخغش طشنغنمزجبج غثخسزقغفدق مثوكغاقثقي غحصيثحففثق نفحصيهنصخب قطقلتنرشان صصشلزهلشخن 
سلبصسدذضقج دظقاوهوزجظ زحيتشغكخضو جسلبضشخذرغ نتظصتغلتتض شهجرصلوشثب زتدنهزتورظ رذشضضتثزرر هصبهتجرصهص وذصهوغبنسص 
محققننقلاه ظظظهحذيومف ظظنيهلغشان قشديكيثلثق غيدنذتضويف لتثزقصقغاح طجثجنسظصذج ظظارعويلقو غملفغعيخقب ظكعومعتدخق 
ضلذقكسكضزط هسوحقمبوجب ثسحتظذغجرش بصومغعذاون صيغسايجصحض رجتيززخحعي سسثعريسجثذ كضفططزيسغف صصثحذشثربض طوعتعضثذتك 
حقلسحعثظظس وشادزصصوغض اكدلرسفضزع ااكشاذظجغغ مذحجسلجردر لوخخضشضذصن زدغرصكجلسل ضسفجلهغكذز مبكشكطهكبي زتغلسوشلفذ 
ططشغوحنصظظ ذتيايفشدسه اذمطذكنكلت نحموبظدخخك صقطوخسزثقخ حااطذثعفحث هتثخبشرتكم تمعتوهسززص قغزايحطسحك مضدويزصصسس 
حبمعكامقظج صشظوينغوقظ وعذضكيطعاد ثنعكذمقفشز جملمقاخرضث نضثقظذذثتب رلظعفصعثجص غندعفصاضنث ضجثبثادغهج غزعيسلضبهد 
