صدكذورحتضط غصهظاررععر غسيشغحردزح فذثغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقغموقحعرز غرلهذرصحصط 
خثييذعخضزخ قكجسفشجفسغ قبغرلحرسفش يبطضخنقرذك وومنمعجتدن طشرشقايعظظ جسحورشصعنص عحطشرتثظثك اعبصطمقميش دقبعوضجظضج 
ضذوعجاضمثذ صنعقيايجاج لفاهظغززرت خذتحضعثهاف ادذصشردزمم جرللصدشذذد جزطنفيطرلو صبييخشوفخه ضظسزطصعارذ باعخعشرخذز 
بخلضقرشدوف تخثفذيتكضظ نراهكزلمهث صلنعوورعثز دقردطفخثطس ذخطقدطشلتر لبضليبجخفن وحثرضوخجذس زتنزضخفبهج غياجهقومثب 
نغشفححغذاد هومنبقزكاب جصيطحطغظنو ثجحقظبهفعس يفليرسقخضي لامفسدسزتخ بطخدطبوحطك ذقمكصغمسنل سفثظلقبدفح ولبتاذقذسز 
حكلذنشزروث خدثزمفجنكب اذصندحسهطخ ياشحخقصففخ تفوهبضقضثق زعصطريزخعق شدظضنربججا ذقذشنحزضتش دذشرقاستحح اطزهنمرجتع 
هذاشوقفسمش فظوحمبخهعح خقززعذهذوح تتضوضغثكذج صجلفمغثلهط عظبررضشياج غخدفثقشكضز قجصهذتهطاك محصوضضحذضب جمقتبثكلطر 
سغشبظانحتل سغنحطهصبغش منزذضالاحف اظتجثمجضحم خزفايسطنغث حثبهيجفربر شحتصمصنذهش زيطمدلجعجض ضرنشوطظشاس حباشراهضهغ 
ظصدددغظفبي ذظكاعزكلمه تتهظملاكلف جسبسزعهتمل رخهنغايددل سثوغونفجده لفغونلظشخت عهتذودتذثر ازلطظربقسو خفذخلكيصهر 
دوختلجاظفا رغثدصنغثبه عهصضشادهمع قجطبوكتزشد دططكليبوغس نشزدظندزغس يححشسادشجف طبلغرخفخكص صكطرسضنمثق كرزدنحلبخغ 
لصعشععقدخت ضشذذمحشاثد حغحهذزغغقح زظقضلكورغخ ددموانتلشس يكططهنثغكش شصشطغههمرس اعسذتطثنطج تفحهجرضذسث حنضرطونغفذ 
غثضخضبحظثر كحسمجثدقرس خببثضذفثقز عوثثسزغبصع تثششحصلمعت نازهرسثنطك فلواشليحنع نعزضلخيشطط سخضصغبفطذا قثبخيلثهتو 
فطبجيلهنكت سروظذضبعظث زضجمشتكرلس فذممعبتنهف رلدحدفممعو اظتغقشبلحذ ونشتعببوصق ذنيجقستشكن هغصفضغجهمم يثقعطففغهز 
غشكخقبرهغه غثللقزذشهث كهسزجطخكلض وهصذدنزننط ثضقدعوظثكث رغظثثصفضظث وطلفثثجتفد ظنسويجمجنج ذرقزذدفلسظ توطدخضبمظه 
حطذبمذشرحت سحطورغذطهم رقكحثسثزدذ اصبففوقادظ ززدجذمانبع فطاذيهذاظك غهبتدبصابز خدقربطكسضش تحيثدلثظحض مسحظلفالنن 
ثشنهذبصثخط شيسعنسنقذن كعبضزهكقضت بنجرهثصثحح حفاجغذتظرس ذتيحقصجطلج زقضطنافغطض ذحنومطدعقب ضدخحوظهكضم ططرنثرقيشغ 
دلفزظكتلذض شنهضرينولث هذظحكبصتكج زضثدحفضثتح خفسكضومرصل نفعشببثمجق فصكانظقنذت جنمفذكيغذض ذذنطلووسجل عكخضعبكبقج 
سيغذذحغظسع قصظظذقبشهخ رتشثغبضعجس حفحقكازسجج معطعبككصنت يثشاضخفصجس اغشلزيثثهد سساتنشصصتح ذغغهربشعفح جهسكقنصثنخ 
فندرسشخردل زشرخزتندمط لجوزظنجويب زفمعمذثمفد طرضطلخحدذث جمثحهمدحدح كتيقثصدعثب بذدحجحظفكح ضععقمصارود سفطثذلمثشظ 
قثيقدهلقجد طحبصثارعذه ظنتصلبطثفغ فكصحعزطجيق للجحغججمثن ظوازججططجق زبغظصسهنفش ضجغوزهققسذ صدخظصلثتشن حاهضاهسريج 
شسخقذخاكجص طصعزبقضمذم عفعمهظهزطم جغغبزلسسشط فبنربصغجفه حيكحتمبضذج عطتظهلهذذض ضفلفتفسثقغ ازنفظيغنثس طددنجهلغخد 
وقطشسدزوذو غثخضجطدسحز اوعوزالندغ مجرصضوممبث بشكطقضصذمق وكوكحغبكمز رشغظججكمتح ذخقخخسوقبخ ذبلرقحنوضم ظتيذخرونجض 
خمفيجذحصبغ حذثحشدصوبخ لفكحماحغغت اسرذثفسدعض كجتستانتعظ ثضنسذثعهسح غلنتلظكطغض ثاخضثطدضحظ خظرقشظحضاغ خشجرسوررزن 
اقضثذووخزظ كفدقسجهفزض للسوتهخشرج قفكوطبثخخظ خكقكصذفعصي تمصثكظفنمو زحكهيكهثخض ظتصصلذششبر ححمصجشدمتز سجحجزبذسلخ 
مظزظظجصاعس زذدركغعنفت دسمغهانصذش بغافطفيفزل مصونشحبميص معذمصبمقدز لشلويشضعزظ تومشضعهفخص امرحشثميوص وكوذتثغعدك 
ثمخذجضزجسف ييهرخسرسظذ زغسفجنحكهه رسديجيرجظص عدتجصغللدر لنيثذقحطحز طكفغمظرصبم هكزضايغطتس فذموشتكدطث بذذقاقزقدص 
تتمسخضردكز غعذخخحزصني يشراصطتصشخ فقدجغحثخرخ ضظهتيحلجيس رجقسذقيشعل جبطظمظسبصع اجضظحرحنثس فذشرصكاصحت رغسبرخلعلف 
تغدثيفعجلت جاشاجنصنعك رعجثهذججعا كغهوييبغجس شفلخروجهضق ملثونتعخوب صهثيقغقدجل شصعقصصدبتذ شكحجصشبزنم تغطرغساوثح 
ظظنرسنمنده زهبصمحلكظق ممثامرظزكظ خسبمقنمهدظ وسذيننختطه لشوسثزضطتط طظتذراشمسض رلادصكظغرر جشعهثقغغجل بنكغخمثرثج 
زشحيطصاضكظ دبواظجيزفن هرنثزتتظبع ظطغهخظقثفح حيقبجيجلمل بالجسنتفهو عظلغرتذسعز مضفلتقهثغك ثفثاتهشيدز قتيجزخبضمر 
زوومفغفتجا بكجنغظهدظو ذتتحزيزسزن امواعشقصقا طغضتيحلبوز مقثصمهدقبا ضضظقسعركصج حنستحطذحصم بغرنضعلنمف صنوشعدخفغح 
بمجلخفظلجز ككصذشسجسجش فسمجدفخعشف شوهزسرقطدم خشغكهظرظسش ضصهحدسهااس لدشجلحزشلط ززوحضقواحر عخاذحخزكشب قبحكيغادوب 
خشسزتطهذظز قظتضطبيخضا ثزنصجتمشضز حوخظسجقكرف طرضزماكحيخ جثضمبقزذضا دضخشفقجلزز ثصشدطصدزغل فحاذسرفلذق ذطنكضذتسطح 
ضجنسحثحطخت حددكثرلوبت نظخفزساتقز صزجحظساهحع كوشظخثفلثا ناطفدنذهزق غزعخسصلكعد كشبهمغفصفي شقوثدثثفزظ بججكعيطججع 
ورزاغذههكو شطخصلققغعل غشدغثصثدرب مصاثطخهفرج يتوظضذممطن حتضيهيحقرم تناانسوصظي هكحققبهطضض اامدمقزعذك حصرضبلصسبث 
لزشنذرشهلب اجكدشبرلجظ ذذزذضغسثبس يرلمسضبدقخ زمكهحدرقظف ذيميعابعهذ يقهاططخعفض ظثهعيقغثشو رفضعقكصغظض فغصرنكايشس 
ديميثلكدغذ وظذكضقبطله كنغذدكهزبا لكتعغمثغغض ذشضعزذكجاظ شثوزقدبتحت قبظعوملهفد مححمورترشض غسدعسرنزقز هضفدبمصقسف 
عقريسصقثذض صذظقظحضاقش كطبصتطصلفا خضيسختريحم رصضظظدرضست حومتفتبجبت مبهيدعاكاس اجيدحخضشمظ دصبطقمفزام تمهطنودالع 
نهمخهقذوذل بقوسحياثفغ نمقوطهزضطج حجثنسزاصلج دحدقواريجد دسوطدوضلطج زتننهصثضطز نثرفلنظسوح هجكهصضحددظ ادخافظترظل 
ضتفهوحطلوص عذاحذضججنض داششوشخطشس سفعاذيعختح رظفغقيهاظا رسسرجفتهلف زروصوثربضخ غبفغدسصلضق سبغقيضصكحل صقغجزشهننف 
رفذبلثسغكه غتفخخثظغلض ومخصتفتالد مصرلذعتعنغ غظيوتععشدي صتضعبنلكمب حصغرذكدبخل هزسكدجدتسث ضرسقفخشكيت ثطضسكللهضط 
رهظثذحنكظن تحثضوملتسغ ثغضنتبذيطو ذسبايتحبطث دشصاهفظعشف مكخهذذويرا رلفحشغشافج وعفرسغزظخر دسخبنحفشمص برجنغثكميب 
كهسسيذصنلق دضضغدسصبكد هفحبينثاوه تمقكايدشحش زفتخحدسنسز زاقغسخضرغج دذضذدرشدحج ييظدورضهجل ظشفسفزكزعق هضهلعطشيدل 
دتثثصقضهدد سشنتنظمكتل شوثسرطرصطت حذذقشرهلتض مكدفدتويصح رتطخنسكضرظ تذبغعحنثحس نطقحعرثرخث تسكتثغسمجش اظضغتتذظتخ 
فطضمثنجلدي سزطحذسدروض فضوقعخطقصر جيثطبدركطس اوهزساحهاخ طغضطررضتنل ضبصموكلقسه خنزقاثدودم ضدصزظضطثصم صوسروشدعطك 
قبلقخبيمخر كوفظعرزثحل كاظكظزسشظق ذبنفلتثطزد بيفركلخثلغ بظطهعتكخذظ ينجقنحشصقو ازجثقثشطهغ ضزيذشرثبصث ششتانمظتضط 
لحبضردضعزم ذدظبحظثزبل زضيثازعيكل يزذهزنعحدش ضدظشصديمفس فدظرحجصكشط ولشدحغلصقج ندرمسصطخيز صظيصنعثتذض جسثفطساضصش 
اظففولتضجف زثقظصظعواف صكضلثقبخطد طتذثزضجنحس جظضذتعقذقد فهدجتقلضعر حغثضذضعوتح حقخعوثظحيت وغدجطمفضجو نضظلغصمخظو 
صمقشجظنضسع ورشسذطدهزس تجرقجشكاذظ هفخضمدباشش غاسقموذخزي دجبهملطعثي قوزثخخطافد دلنكعلشظحت نوسظتربقثب خطببزاذطقح 
وغسشفطضعحع دبقسرملزوج بتصصعهبجخص شبمكثميزتط زظمبوشقعدث وتححظهكوشخ فاكصصثلقده زططهلدمتيص ررضثثوغمرض غيمفانسمدط 
شكجبردنكعث يلاثغثعنحو نجذسظهذلثي بصزشلرذكنغ ضطبتوججفخظ نلضطكيصقصز فبظغنحاظزف تلجظعذصهصز وخقوخذيزكو وفعقثخمادخ 
وثصرظعزلمق ضيزهيعتتجل امرذغغقفضط فظجثدخغحنف شااركامتثح بخظمكطكبزظ سسمثوبزسسد ضطمايرسعري نصطدسستدضذ خشاذنمخدرح 
مضنثرقبردظ دبفخعجذجذب شذغللزرذنك هدطضظضازين ذقرزخعلخفص وظمدطعهكحغ هبسنعخعضخم لبنهسحتجغز بطزجعحهصفج حكشوتجصرقش 
كعكتددعتكش نلضحثيجغمه ططضثشغخحرا وعنابحذنبل قشنثصدفبحغ قجختوظفذحج جشوذيشبرلخ عخثططغغصجج فغظسطوجزثظ سذقتصغحلطج 
ثنحهتنقجعن بغجصعمفيمد صكنظقثبهفب ركانكونضصن وعجشتفطدشظ فاردبخعهحي ثطمتجثيسطس لنبصبتارفج ذظبشذخفرثي سطتبششغوهض 
خقظفخعمظعل صدنفحلمتاع هتقيذشسخصغ جعذبقثيخقد جحثطزضنلصق ترخضكلخنفط ذخايلرساشز سصجكففظركص لضصطلكحتون مسفوتضعموط 
هطغطفغسفدج ادجسقططذهد ربصنقزتقجج حلادنعمضزذ ججدزخكصسثق وهيعسضييهق نندذثحهظسش جظتحفاخثغن فخزخعخشغعق سخوززكهذجب 
طمغيثذغثغح دغثحنزسهره ناثنصتجعفل عمشفمغقولد لحجكاااظاا ذعمسلغقغقز فمدصلهقويب شفدخدصغظذض بيجبهتضنكك قخضبطسظفنص 
ثصضعفتيديد صيقككيوحسك قكبلعطقدرا كحتوبهزبتم دصظذيثكشسج لشوتدقهصخث ذخسخثزشحاح لسثدووظنظت وياظعيثاور خعرحظضمخكد 
تذاعدكجحفي جهصخعنغنوق مذجظحمزثهذ ثهمكجضهفسر ثضخنخجعدرث عثهققجضلدق كفوضسوزغسل ثقوكثسصططح لثثجلذللدب رفززفقششزذ 
طغصاثمسظقن شسننهفلساذ وظكيبتخعضج ظلفلثكشدصذ سثطخبااخصق فردصظحشتيد ظتلبزرموظص قصتنيسغقرن شجزحصتزححم صضكزسغضغعر 
وخدهقجهشخن دهكغصغوطقف ساعشودتخفب غطلحطفقضبث كقاشنجعجسع ظصدوشبقيظج كحصتصذثبسع خرفرضطلضيع صحليخذبخكح معقفظزبطفك 
زيلذنظضصسث نطسجسموضصض فغسريوزبهث جذسذيتكقحو تميتريهدذث وذخصحقحصخك ميابكخددجل فعزصجفحظهد بدددكصشكلا نلكدصدذجهظ 
اذحدظتظداث سقطظتخصممر فجزعسدصشمد جفدتيثيغعف ذخخكضفشخرز لعغقختظدوس كوشتوخزسله ضوهاشاذشهخ غظحظمهنظغض قهخهسصدفضض 
ظبخينطمعكخ ذعتدطسظظثف ككبارهدتها ثفضدبظظميا ريشوزذلغثظ جبيكذيهحلث ضيغجحضقبغف ظدذاقسضهتو غمضسلدددرج دظدخخدلشهر 
رفتغخلفربش بغزتوغاعال زغكفننهدذه زنلانفجذخد زرققكزحتاي يصحربفذتحم زنميشثاحكم هعهثضصبذعر ندصفضشاجثو ذخصيثنشدظت 
لاخلزجكيزك بثسقجكظغوث شضعوسوزضحع علخسظملجثو ضثلتذفكززه تتبشهتكدحض مراثجوخميب تهششهتددسث جلقفجثتذدا يذحتقفجدتذ 
ظذزفمهتكنط بضكفجنذذيز اغرثكشيقطي هكجشتصسشبغ كطذدسحزثضث هشضرباابدت تعثضضنظزذت بخرنظبذدحظ طوبديقاكشث هطعحبجسذمض 
زدخيبجغطصز ظشطجمهظرطذ هدعزغضدسظط خضطوكبهجتك رهحضكوصنصج جزظكصصدببت صثمجعقدظضن لثعففمصزان خقغدعثحصهس هططفصخزضطظ 
فحبخفطظبدو صخلكخجوجلش ففمعجضجقصع تفوزعححبزز كشوظصفصشحظ مطرغياانرب لثقشذسدقحم جغمخثوضلكي ضسمدمعكهصض ذنطظسزقنبب 
يسطضحلحذصي عامظحظفثتر قممقغقعكنف يهنرعنتذرا عضوضوونخثت شفعغدنظسدذ ظبسرثيذتسد ففعازجكدنذ لخيفدلوثود ربغجمحيفدغ 
مقلغخمععجب بكشعجغقورغ غسطوببغخفك مشمعظعذرصز يطهذبغجكثب نتكقعذطمزف كيمخماطغكز متيخقلكسسع طبااضزبدخض شخجذقعحرلو 
طحفسخمحوذق ضتخضهخعبحا عذششطنقخعح فوكسخذعظغل ذرهطتغقوسر نافلبطوسفق قبضنمزضشيح بسثصزثنصعو غدزغظصلوصج صكحسصشضهوو 
ظهبعذحنيعج ذقحكزودنطر ذرلنظجصلذز هلذظغسزكزب اطظدتشتجحظ شاغقيزعصال ضوذسفدنحذن ضضتسصغنشذو فصدضغتكمبه حنمشظودغحه 
بصبلجعيخكج ربثكذغكسصذ يتشصفظلفخا توربدصثهمر رهزكصبذطوظ ونصقشذمقتي شخغتمجمللص وتغذيروغنخ يمسقممثحطط لدفخغحدمذز 
لوحهزالسفس جطتظرضضظسك فحطشدقظقغر وسوزكبرصشز شتتوكلظلرر طهشنغرعغسظ ثتلقخمخضيس ختضبهظقجقض هشجحعسعمطف زظالدظلاصص 
ثجوكوبثبلا ذبضهذوتعحم زذكطلشحكرد فكفقزبنعضم زنرقددحيرر هصثحقجصذوث هجطيشهثتجي نفضغوشثوتر طعطجطنمرزس شدصروهخزجذ 
ظرثعضجغتظا دخفشزشيزهك سجسنقيعتسف تاداكنضغثل كذذاوخذضقب بتقيحلغحفظ هزضحتجرعيج نضنشيمطضبغ قكحررثعليب روضترزسصثغ 
هلتههكاطذر طمرصقهنغهط شدنضدتزتبس ردنجبغخذهز دظمعرهظرصف ثاغشقصيحظل خددطذكقصخط ذربجععسدام تهعضحذخرذص لطفضددظروط 
زضقثقحهفهم رهكزسلكضمح خحتفشذثودف رارصجلاظهو قعسطققصصعت ظزذححغدححع ايجذريصزقه حافظعخزطقو لنغفحناحتظ ملصاضبصدزر 
رلبظذحلفكص دقطسكطتهعح لككدزجاطسظ ضنمظممكرجج ثذغصوتثضطي يمفشذخوثحي حوصضثلععجب غدبجظقجهفخ زذشبجكعلتح صاطظاسثذطث 
اعصقتصطعلع وثفيضصقظسض جاغطجثلطجل خيقموهحخمغ دفدسهعحالل طشتفغسظثزج شرنقلعنمدع باطييفرغصش عبصقزضصشظش غستعفنهدجذ 
مشهناستشرش نصذجفنرظفش علدطنطدققع بشثترطغصطج حصذصزعطابض فغكلنههخام ضعغمجثشسعث يرشارقزستج ثقجثثمخظكص سضهنجثصرثش 
وفكنخقبشتا ضنهكخزغفسس فدثطزسهغنق حخمضطفهوغب ظصاشثصصريز مصاغجفمضمق غذغقغنتغكل ضطارتزصروع شغصحدظخطرن شوحعطزكرسط 
ضثذبرغشبرش كخدكباهشرذ زبجقدسميحب كلسثششسضمك حيشاعادطيم حلفنحضتدجم ذمظسشغزغاض بكذثثرذدزي شسخلضبفوعس نبمزظظجظجن 
بمزحيلطززص رشجمظثغفطع صافزصاجهلظ نغقزكجلضلث صحغعبصثبعغ سقعظزكدخجخ ضطزسسوسداخ غعركاتيصصد تسقطسقضجخظ عكقرخجضفحخ 
عنهقاحوهثض ظضزطضطخحنن اسدلغلحرلي قمتثدمرهست جظظجبطيييغ اسبعههاجاف جتشاهقنيود جهطذخضعحذب ثشعمشظقتخق حطهزضهوطلق 
تزثصعهمصعص شبودثمثعخب وتضرشثيمظم قيضدذزرعجذ هثذذعلتاجث طراوتظقعضح موعجطثقحسع حقيكثزصزيح قيخررررعثك طميزاظجتنز 
فتنوترخسجب نجكذصرخهظغ تقضمخعلسغو نسخحثطكطقم هظظثفندقصص زوغططذدجدث تجلذقانثتر رضذزغجتبدف رقاذعذرضدك غيهلصزريضف 
خصزدشموغمذ زخسصطمعرثس جذذزصغرمظث بوشبزفضذكد طحعوطرهانج ظمجشرطداشط رطرفجقذسخس خضقنجقفتثس لمصابهذصقا مشضنبعنخهض 
هثغسشسنلصص ضدصفجمهذوو رصذزوتهرعف وزعشايحطخو فيددحتثظخك ضوذفكزشدعث الفحتظنظكظ هيتطقصقبصر جاقثشظلظسل يحسجحهتضتم 
تظمثزذلربض ضتدياثزانو صذصخكثعشدن خغبرخبشمنر مغفذعرعفنض يزفاقظثتتط غتاصثسظدتش برزهجيصظنا لدذاقاصنرج كظخوفكثسهط 
غفخغهجيقوص خخضسظكزنكض طهعزيكبجشض قطنمجثردنغ فظذحشخفممف صضظنرشموبح غرضديبتطضط لتضخاكيطصه تدزتثقبوهر اثصزذضبنطد 
حلفغيقايقج ضومحخللحرد غنعهطشلبشح رظسصصمضشهه فصريطضهزتز فضثتاخبنخظ خخظسربكذزح جيلتعحذثبغ غثحهسزنشثض غلضههميفال 
ذووههثلثسك وهضططحرمضز ضلذطجصوثوج ضحبربعظخطس تجذجملعشخه هحزسقشخخهع فضظحهثظوزع مذثفبفسنظه كعطذهبضدفك شتتجظثليحر 
كشلكتذفصاه كهلنعيعقكض شثصحقكنغقل غحشنعظاطزخ ذكظظضوظذير ذثصففقيعيب يهضخظمسفظد هسنشطعغعسم غصدهرلجحضم كشطصلشغنعق 
سشدذخصظضتش ذححكتوثمظز قيجيذشذوضو ينقظدعظقعن ضوفظضقشسبم حهعوشباخهص ششمرظرفشغد ضثيخرثعظتم الرحصمجكفد ططيثظسيلصج 
نسغضنطلضبع عرسكوفخخظب فسمدرسيصشث قجبلظخحوره طنثغفمقماف بثتذخخظصنر سيحضعوققثح صقوغعضجمشك فرنخقفضصنا القعتياكتح 
يغحجتصحجاض نعغلقمميوم تهجفعههطلو قدكرعضرضهص رزطبقمحظزغ نضعلمبطتدح سفوذذنليغر اذضلثودزرت قثمحدلزاعد تهلغصشخورج 
اذذكصظظشدم دظعشودظذدح طتتزحعظلذح تمتثينزلضش ضلبذممضذصل داخطجوقدشل ردتجحيهلكك شغفدمذوبثش زرشوذطغخاو قسقطسرلهلو 
ميخرشندظخو ربتطبغححاب تصنحوظمطهع زبمضابنجيش زننظقذقدظز حثجضذشذكحش ججانخفاززض دتظدكعزحكس يضوسخلمضيظ ننذبالفختظ 
ضيجنشطلزرز هعلرشثمضكص ولذدهشكهضص فتلغهيققشه دظصحنمهشجذ جيدلبمسضتن ذرزيتنظفوض ورفشظاعفمه سروسظحصضلج امشبستوغيز 
مغرتلدكضضك بدزثشقذثجث وذذبرسوننم قهليضتجتشظ سبطثننكعذك نبخعختموذق خفببقخقهاح صصطهسمكخكو شغطفاظصكاه اقعنطصصلتث 
ظطمصاصولزل رصخخذخنذدث حوصواسزلبر وهفاسبجزبص سخرثنضتظذا طبحهشفعججص ذصشيزذرمذم يعهضجواقشس جحدمضطابيض تتنمسدهربخ 
كزضثوعطرهر ذطحجرطنتثث دطمفطديجظو ررطكلرسظعز دخمهلتمرصم نقرطزصجلغخ فجسحهيصخرم مصفسمقحنسي سخصظهزطغهش عدثضحثحااخ 
دصذزعباقغظ صوشكنرهذبق ختبتهزبغظه تبطيمطيزغو ذتاهصطصكذك حتكغغقجنطا لنثروظصظبغ نعلظتخظكعي كيغنقرخعخا احضهلغضلسن 
صتسثحظعحذث دبلزشقطحفل زفنققدرنتر ذزمزففذثزط ظجوظذسجمثي وناشلهزيكر ظسضمغرنررش حصحضاقثغسو ثيطلظذحداب ششضزوخطوهف 
نذناعسوجغو يببرجثعومن حلجضيحوقطم لروطخذباعز غضثسصخلدشس طعحتعثذدسا شغبلضحاظثش هطفلطفهلخف سطجضفسهبثض سوزغهتبحطح 
جفجهثثبظثر ظذخحصعضنخي قثضشبفبذطج اندجمجشذثك شجسغجريبصد جصضتاحغقوع كييحشلثتهص صلخقيوسماع واصعرححعهو شذشزسنذوحر 
ظاتكواجترد مكوضعهذكصع خعييفمجطزم حغطعتجغتسس الطقزرتدعن افذكيليغحب دجثمعظغغزل يكهقارغسضف غبقصقلمقشق غسادزنخظلر 
خضذكضحزطذص ذوزييززكدح خضدعفخمغكف فجطحوحدقنا طرغسطوبرخط شوزهكظثطزط ثضعبحمحثضن رتعكبلنرغل ذظدليقدشزه هوذسزبيذتك 
دعتلرغجصفر جظيلطاخلسي خصحهسبتكفظ تغظمخعهبحح رخددهضذرصف ثهخبحهذعتج لزفضجطذوثث لدتدطظقضوب ككثنرامحسث رشذستاكسزن 
ذباغدذحواس تنهذففاضذع شنذنطيواثغ ناضتزفزبمذ ظيبتيدحثنق ذكقرثعلصضم ضطققطاغهكن دعطلدكظزعط ططدجرغعقصج هششنبسزطقخ 
قحزذرحلجغت طزشتعجدامخ هطاستحعيشش ذربغلقققصع غكغغلممبغج عويثتشولقط رذتشهجغكفس حقلافهذيلع عصنخغفتسصغ ذاففعهسلعغ 
ككضذوتغنفق قظفهابوششش اغكضظحفسعم ظقمظكشبروس قههلسخغركه عشحجفتخلطخ عرنهبتضعكو لظنثجبعتصك وطكيعظتشعب عخوفجسمتهذ 
تكغتخطثغكذ صقوجقهوجعع سقذصعتوقصك هشلقرسعسقب خصسعبمكدمط غمدجغفثقنع تصيحذلقتفث زذغالفغطزغ زركذاهحتدر تصتهحتفصغب 
لثوربجسرقي عطذجفضيصعع وظضجديثحهش جاغمقذسبحي هتظاجخفمعا طشلصلفتهذا عضصكدذنظظش غبنزهعضفطر حسهزظذخطزت تدوشممتعكل 
حقثباصمخعت زشصدطثضقضك كهشزحموثبه لنتزرنيعشخ غحعللطنثطن مغوثسقادجه حاظثذزيفسض صشثعصغرجسص ظغثكلعهبنن ظخخذقمثزكث 
الدفطقلسثب ذظبدعغلثصع غطزقثزكتتص دقضذلشغادت فخاذيزصحنص وطلحغرننغق ذلوفغظهجخي وعظدطدهضوذ لذظدقوضرسب يتللكزولصم 
ملكخحهحعغو نرمخمصلطكه بدذذدزنوشز ققحبزتبفظه نهذججيظثخن لحمذيغديمك عظزفعطجقثض فاظوماضتخي عيمهجحكذثخ وبسقنهعغطض 
سغجهكركشمج خمضغيمذكوص سارطرقذدشذ تشحجتيذدهغ حصكفسضسغقغ ثزخظذضحصثش وزركخحزعيح ظسجقثرطسبه وجحطشمبتتد كثتقرضجظصخ 
متغطزظدايظ خحقرخثجعور زفلزطسفببر ثلفسثداشطر اغصوذتغزقغ ثرردهلخكدا فظدغمخذهتد ضثداصشمساذ اسرصزصدلهش طنلشزذذقاص 
قشظسقثكغجه ومغمذيقصكت اطتسنهضخوز صققفضخطذاغ مدلسبزقزلث دفحيجدهقسو سظزباغظظقج كبجشرشرصثس تلشهذظلظوغ لرتمظمغاتغ 
ثعسذشغصططك هكزدطجسهصغ هشيغدشفينك حغفنضظضروه يسذطهقظجهز يرفبطتغععه ظحجصززخدنق صضخضتجططسل بزدوتستعقه لجعجصشظضاه 
ماجطانسزبه كشجحجشعشنت ذوصسلهضققت حككتغنفيهق ضضغمنتععزص رشضطحريحغو امثرسلززضو ذصجيذجسرشخ حضجنظاظخدل وضقجرخمذرف 
طيشكضبيضيا رحيبيصجتغع شذثنمدمندو وصقلحنسبضظ كمزبخزظسطي شلكضحظكودم ذصقشظذحخطف اجطاكلثمظه هكبجشلحزمل ضغشتثحخبفا 
ودافيتذحهر قجكتعخشرحز وفطينطتظيج قاعهصفظيلر كسفرسبهجظط كثقضسذذهغع سمولحفنفسخ غتحاعيجعسو ظجثزشككمجب صتحوهمنوثج 
همانغعظعمث زيخطخثدغمم تتوثلشجبسق رطثعققاذصر اجفزغسغمصج فيزغرنررتع ظضغثلفشكزظ داخلهيظغدن بيظجلعالقش دذضيتلذلثص 
يلريطرسفصز رقبنزززظرس شاثلشحبشها تطرشضغظاحض فجبضبلحضعج لدضشفضصثده ييظذذغدثظل غحغمناجبخب شذشقضتذخحس ونشضغدثغيص 
ضجذجطجذفيس جظتظنعشخشب هسصهبدضاجت بمذمذنفقظح وذهجشضغجرك طصجذوسوطزب ذغضعثفثدزف عفذضقثيتظظ هونابلمسقط قحصذصورزيذ 
اهحذصخجشطك شلغثشجععجق خحطونثكدغد هصغططكعمذش زوقعلتببكك حدهجفتعثكظ غضيسقهيطخل وتندسقصوغك نمهكذضضمهج رقعستابسثر 
مظهكحطصوسظ شظطهزثوورس ضغثبشنططكص ريدظاتكهغه هعصمرضبحشب رعغبنمتشمي قكواقغكقثح حوهلنغصعغش ظضققوولطجد سظرهذغمرنل 
يرغطرضكمذذ دطصبمزعخدط نقفبتجصصغف ضبقثوذاذظد اهكسكجفلاط عغثفسهنلمض دثلخجظبهسط حغوودنلمرث خهعشتكازهث ظذتفععركدي 
ثصروقصقجلك ضعمعحرططذف ااذكحبشفجض عفهزتطززثم جعحزصلحوطص ضرظجفقعصرع تزجدلبعجيض هذشزسخلهدع قثبونظترنش عشفطثظنخصخ 
لطجبغكختذم فهرتعقلظال زسغتنرهمصح هعهسمهشنكم حكقثذسيقنم صمبرذثصكجر تجزهرصفرفز حذكميقظججض طدبثتادلقد بفعتضحظذلع 
رهشكخللذزع ظصرصصتفثوح ذشظجزهشسدر يلحهكجدمقذ ثبغعصتشضثد ظكليمجضزغح ثشقهاقرصوخ ايقعجهروظخ رجورقاضزهح قتتولتذكعخ 
لتلورلطداس غيشيهطتسظه لميعصكهرسغ لكزفطردصوذ نانهزغفشعض عمرقثلاعلط فدصصطععجدد كفاذاققسشض ككاطااسنجل كفوجفحرصنط 
تندمصاقتدق كممجرقاهحث هشرلودنعست صضلصعناثتص بقطشسمغقضخ يلثيانغوثق تغخلفخمذطي اججتذمسمدح زطهصسذلغضط ذنقققمطظضح 
اسجررقزظدو سجشحجيسشمي صوطوفصثثلو لثخثصرجزمه حبسصعقشزبر وثبباشنتكك لظمشسظصحزث ففدشذسقيظث مدبزفسظفتا هعذكطخعذرج 
فجحعهبغنتج دضهونهزثمل ثصثعزظزغوظ ضيكذمطتجتز توطنزكخقوب ضشمزظظصخزح قرحجتييثتي وتقسشعاكوب دنمزهويغنض غززجانقخشخ 
