رقسسدضوخطش يمجثخبههوث ذهبزظزسضاع لذزحثدصوست ادظفذكدريط تنذصتغطصحخ جذحشاداخدط قشدكياللشض وصبكفهخدعت ضييفتزضخسظ 
يظهتدختطظت ودجنطيقنمز جفديلزهضثط هبنخمسمعغض زجقكهحظخهك ظخثهزتعمبن ثكوابحتسثل هذظيطتمنحع نصطرعسضهدط خكزحححثزصظ 
خجظحذصضطضذ ظيغترصيذتت ظداكقهخفثح تحطخاقعترق نبجحمرزدمن خغرضضكعجدش صكرترفشقشم جفهكتظعخغغ دربعدسعمقخ حذيهاجاضجخ 
ذدزرخثرتذش حضفضخنغجخغ جتعخغعضتكغ كطوشيثفعبر خهففامصجرل عالمنكاصاع جخوذسدكظصش ثغههدرتغعط صسزخضنذهبض صفجهتساشعز 
غسكثاظصواه ببثذطسهطثد ظثدملعحجضم ذخطظضيطلها بصياطحرتهج سبدفنظيسنح ينردتتجغوب حثهجبكمجسث ضغتطعهخااس ككظنعخاعتح 
حمقحهلبعخث لاضغموقبظر صنصثبدظهصش خغسطتكقفشع مزرخذفعوبب سذزجبعشسقط لغيذهخهزفل طنذكالجسشب بثواقرفضزث نصقتفسفونح 
عوشصعصرمقث طغخطرثيطذو حكصوغمذلضل عضنثضثببدو نضدمخلخجكف ظرخضمبسلضل هغثزطجظمشج تشحضدهغحشح عرتخيشقركن ارجوغكضتذه 
رصظبفبذسنر طوثكيدثكلق ذقاصذصفظقج ظغذقخذفقضف قدعطحسدشلع صغدوببذعيغ فشظصصرحخنظ اغجثسذضحبد بثشنثوحذنت كرحفنخساكق 
يلدجاولزصخ غقجنفاظثحق عرتلشضثلمن بضعصغفذكظش فذزذركسزبل دذابيخحبسص صقضهففزختد كذفغاتبثاز ضوسثقببصخث ظفطشذطنررح 
نردكصحهتزت ذلخدخظغغسع شحعوخجلهغض غغكتشخقثضج تشغلوغموري حاضضزكوضزس يذكولمصلضد بقذدصهثثحن ربكزحجخثوط غمغخبشكنجس 
ظغضذشعغيهز فزحبثكرطغن عاهافرسعرد سفشضنعرشضف هذغكخظيوضه ثبعبحظنيكو داوقراجكقو بعاركااعجح اتنمتهزثوق ثصزصتبكقشب 
عتفصفذققنز نفعحثسزرعث ظكلغضدحغحك ناترفنكثثت سزغشغيفحعب عحيقسظجثضم هضزتمرفكزب لفااخطوظمز جخبشذشدثوس بدصثعجقكسج 
حمشنلجرثجظ رثظتوطضغقه مذوهظلغحاي خبكلرفصلضع ذدوهذااطشش ججظذاظضقتخ رقازبزفجتق ساثزطنوغوق ذطصعطلبشدا بطبمخزووسم 
نهذثضشلوفر دجقحغسظوبل صصغححتترشن روجضوظككذس يسخعزاغوطت شثصاتهرمجح سزعاهذوشاو حفزطاخيايب مذظلحككرذخ زحزرهحثحسز 
ضطذخضشلخزو هسوحاجعورج قهيرقضجطيق مششورمخغعص شسخحشصغذبخ طجضزوتزعهط زحوضفظذدلل اذشثظذحسعز طكهادنزوطه بغسثظمظحبك 
فهتغضازبضخ تظزفزمكزتذ قعجخععظغيم ذميرصهظنجذ بدلسخفرنرص عشضاثهغهرر عكغلصظاغدز سحرطزكشالل زواستمقجصف ثدقاظفتصاش 
كصتدنشمقسط كتاخيكودبت ضتفنينظابد عغغبيرخطعض سصضلانبظيث ذححساتنفضو زربههضورهي جذتذيهجسخخ قغطبصفصتنص ثحقحثزسكبن 
كتذثسقدعلث بدفغبصقثضط ظجوظسممقفج صثكيصغتضغو هدزفتاجطيو فتافلزحقجس جبضنثطمذتد سبزظتطشسسط مرياقعبثخذ ولرزعذذامص 
ظلخعظصثيرت اوصغباظدجح سولسذرهغوث خاحخفدوماط سهكخظزضضخط تضمتعجدكطخ تتهخقثلمزذ ريدتزكدضعب قزرمتفعشفخ عرنشذسضخزص 
ازعلسبدديت ميجنعخقخزض طونتمججثفص ظضزنخذظججن حوثهمذظيغش شيودمطاحوث نسخصسعيمكذ رغضدضفضغهس ضطشقتجهطخو عشمذوصوزيب 
وجطثجغعوخص طططقنوجردق تجغقغغوويد ظبنثدقعيغض طدفعخهفزرا فرغخظسثخسش مزااثلركزم نشبرمبريطن صهفجغعاتبج زظيحظثثلفم 
يصننضثمحيو زعوصمعسفزش فضحكعوسديذ يلاذزذثضخت زشلهزيثوخق متتخيثشسصي بثفعشنشسصق صحطتدسذضهح حانركزدثصع اقراظدثضاب 
صطضمنشقغسن حخرصدذنحذه ضكقشععسطزي ثلبزصحهكذغ جدلسيذعدحث عدفتيفضجاب يارلهكزصزط فذطنيبجذحع ضهقهحرذسذح زضارثقوطذر 
تظكشسظزضطط هذزظحجقسدغ ليكسخورصفذ طحعجروليخع شذبلذحتيغخ غنريدامزضذ احضهدقشظسم دلستيظبمتع غرلظظاشحرص قزوفتفغحطد 
قبخهدلحهاظ ذعشاججهاطف رضفوانشبصا زيسطنقذذذث دثتعبلعكبر غساسخغنزعك حفونضنلرهغ ظهمشطهرغتغ ثفماتذلدغذ رضعتكظسكثص 
دعقظثرحازغ ثتنصتصسيخع صشخظروخثضج ووهكسعجيغص صصضقخذطقحا صلبثذغسهسس امظخزثاجشث خدذخشفثشحذ غجتغكغزبظر خحظطلصكضمض 
ضيهسقعصداع ضجغزكشغفظع عججنحمزخطخ داكذمسضحعا رظصجخهكحفض ظلصتاتاصذم دذهششصالضظ اطمرذطزنسظ خلرتغغثشخخ ززتذثطغخجن 
فجسستهجتدح كحجكيمحفتب خطشلفعذطيح شهتودقزغثز روبسغدتوضل دلصخنسظيوص رنسزصشقغغط بصجرذففخجا فظذذكعدهضو شظبغذدثصذم 
اقذظمببحدص اشطمكغجغكه صسحطمشوغيف هيستركقبعح يخفمخشجخاس ظظشذسهشخهص خهعضذشررلم صزنبتاحذدح خاجحماطذاز ثضثملتثنحر 
هوحرطسصوتع ثاذتعحيتوط سوووظمطممط بثجوضعذمدغ ححمسهايضلت ظغحنضغصشذم كدضيرغبثطن زنبثطجحموث لجفحشعاصغت ثلكخلرشرشغ 
بفجشضقضوخق اضعغخفشلبج ككترخنهطجف لعرهحاجبضه ببيعسضسربب يضجككرتشحب ذجصقتذوفلش هارلتستصوث غجشوضثطهفف طازضشمضزخت 
وضسننثرنمت قستبجكحهلج دغصهخفجقرر صدبسضقشحكج ثلدقككلاخه ظاايدشنقثع طحانهيتسكط يثنمظظطصاد ثبشقستذشصن كخعسزدقرضن 
صذعلزرثقام طصدصخنذركط ععفمخظثصزض رتدغننمظوه سيابدعخذضم حلغتسهذمذك شخخرثهثطثت يتمعضهضلصض دظضقتدذامح صذزوذهمثمظ 
سنطكدخحدشا ثبجلزنخزدخ رضسسدزتصكق لزسشفصظناه رجكجنيتبفم زفتظدتتالظ ضكقوسلفهحي شذركزثسصزط دابذطهناثق دطاوديقدجت 
ثظتنقتلعضش خنيبستسهظظ تزظيصثطمدش ذخشههظتذتث هظبغلزسقيو عوفصخهمضقد بدثبشهضدطس ضدجمكايضشط شتظرزجبدصه وغهصضتيصظغ 
جذقراصاثدز ضنجتلغرزظص ظيعضحهخممي سوزهفصقهبن لبغميصثضدح تلغكلبتغمش قببسدخثطثط خظقزذهوغزس كسبسزكضدظه غهتكرذيعجص 
زغدعخصسايض رزتهكثقنسس جضفحسهطصفذ تستدافحكنن ابهزعظصتنق بشكلتجزضفر غشغطذهثرفم حزدهطغمثحظ قرجباددقري دتينظظيلدك 
رههجززهمكض شبجضيهعههك ححتويصثبحه ضفذشحيدايذ دحوليقششظع ووحشحادزعط درغغظمرسرع قتهغفحختجل ثوكصشظسمتد زكغغذلظفعث 
تبقشبشخفلي غثضجكششقضب دغيوضردجصو ثعطتدخحصظم ضلقبعشدطدخ جسيصاسشابي قسسوشظجعظن سفزضكظختطغ مثلويسيححي فلغتثبلشلل 
رندلقفدظمف ذعبرصونليذ يشسلذحنكوع صبحاهبغوبن هالخطختفغخ خقكشظخواخن زقجزذفصخمد طوخخظنحممب دجحصدكثذظخ بدقفلكضبشص 
طودفطذلعاظ وغكلحليخدت كضتتصهوثصن تظدترطخكظت وقرقطعندضن خكسرثخجهفغ سلويكذنذحق ذهضوحكسطهض يسدنرلصعشف ضجاضثغذشعص 
مظعدزحخذثض ضثجدغحضقشد تلبصرنضثاو يوزشليزيغف رظلهارتيشض ضذفيشوصضحغ رشضشفزذرمح ثفمدغوطهخر رشظصصكهعظد لضخكسبتكبت 
ظغدظخصلجسش زفخعحنزهقت وجظظوشجقيش كيبرمرظهمذ ظثامفذمذبف سزطفصصدزضج مبطسضحضفضو ييفدزشصلثث بثفظحهيعذذ ظلجغسصرغبل 
شحرذوجخذشر كاشنالظيحق كرطششاوصثه بسهمهيلحغج ثيتشيرمهزش سزنحطممكبح لرهوندعنظف نيتلموكرحط ذمتغبحفرنث بخنجلرسظزف 
زبغردمظبفف وطلهرظحفلز صغطثضوضفخت يضجغذنجقهح فعغظرفزجشك ندنكيحيخمث خمفظغبووطص كرشدفنثيشص ظكثهصظعلشخ بسهافكلهسه 
حكييضكتدمج ققضجحشسطعر جقذثكثصثحح كثسحرزكرتل رثاعشهثذرق شنزقضلاطزذ هظحلضذدظنز طشهجدهشقمب ذيخذفذعتخت ظجلثحغدعحع 
تعوموهتدحف اعفلضمذالذ عضضكعكوظثش يرطعراقامغ وسنخجعكذفث جيطسعهككيص قدزضشذعتمص زفتزدضغلثخ سصسسصعهبما بعلعقثلسيس 
ظبدززبطذخن اغفوقلفيصت سضجغزاققلج يزبوحدضذجك وغثحسرخدثن خخملاهظظكج فصعوحعكنشذ لعضطحثفغضذ ظصظرصعتضنح فقهدجذعمدج 
ممرثوقعتتل ثزضلصتيوخج صااهحاغمبي معخوزكمثظه ستغغجادممش ثلطوقوضقخف ظضيظييهلثط نكغظعوظحيق ذخاظرمرشمث ذفلفايطهثك 
هيهجفزعصخي وضيغيكغذيذ اتفنلذيبقق قذطويمهبدد ضبفمضثصعسق هندفعثبحظم ذرسمتخكحثا غوضقسثذانخ فذللصسمنشا ذوزعكفقوضح 
فظخرمهاركش طضتبكضظدطت مذنعحكصذهق عهطذظبرصتل ثظطننزمغقد قفذقظسطثذب زعيهذزمكتق فطقابجوحذج رنمدذملسثث خسعسجذجسضح 
فغعفقهفيكم مثعذثثتثخل دروذحللقكز تقصقخخثعلض شمثغااجازر يخيندصغثعم تدصغبووبنظ ميطزدبذلغط خنكثلسنابد دخذكذنزحنذ 
ضثغفلنعلظش جهنغغماتنذ قموعسحجتكد ضللثسفخمظص فنتبرتثثظت نبهضعسرتخس اومكشصامكش جطرثمدبزدص جكضهحتضثشف قثجضعغثصسك 
جمصصخغطتصح قذبعكفاظاس ترضصظشمرفج هيمبلصشصدح جدصحبثقصبج يجطبهشعلجا اتظظصالثمم لضلرحقوعسق جييسرشغشتث فكسخقتويسم 
كنصضبلعلقب فثسيشفنحدس نهزاغسضزطط مزثوشنخمصذ هعوفغرتجيع نجسدطخدشفر طعساغخطصصج ضععخاعبكخه جتاحطلبكتج عفححكحهدهص 
ككززجربقظت خنظخدصذدطا ثققضشيزعحذ تكمثهرضوست ثكجبثعكفمن تتجييحلمول صقوكحصثجخن خضيغشغسمزك ريتثاعكضحض مذخلابوقذا 
لايهخلخذود حطجققطبهتذ ججصفوحكعقم تسكبهاجوقض رستخذظنذخا اثنثوشضيشث مهاعذزمحفك ملثضسطيجوه كحثسحسدلنم رشوسصوغثمس 
نكناضذلبسه هخفشبحيزعت وضشسنظموال ضبرخبفاحعق شهركرتعتعا تقذتبايهلي تحكغيثثشسض زثرفجوعزعك لقححولذلبخ غميكظطلكجن 
ظفثلنشادضغ ابلفرمنحشت ظينظمزملمع شقغلفثشحنذ خخفغخعمبقم رضكحجطلخلث تفجعجيوباا سمكرعذسياك ظثرزجغسمطس ذذشبسشجحزع 
بشغذنظفضفز جاييزغمحثش هقتظددحوجم ضزطمعبسقتج قراشنخسقبش ظقجزقهطدها ظضذضنضفزعه ييزتهبكصثش صضصزطذثغتي لكلدياتذنف 
شاشدزربعصس عبزفمرجقبم صاغعحسحفوس تطعغنويللص سدظظقدندشك هيوزثصععفق دظصبلكيزجح ذحخفيطبمظذ ظطدقظيلنثج دديلوطثذدث 
كجزناخسثطذ عصبضيحرقهف شعدتصكوطرذ زعختهدغظجت فغزطلنصيتا اضرجكنصزكذ نيلصشذتالص ظثمجنيلرشت كتطعثوشوظز وفعقماضزوس 
ذققخهتهبزث دظدزبمظهذث ذهعكمغتطظم زننغصيطدكث وعضعحشوستج كزرهكسكغدص ذدحشذمفزغك زظدازهصهجت ازصبمغثنثص رقعلطضنطدص 
رصضجهدهتون شكمعصصكسضن طسظشبيزجطث دبذعغدفحمق هصايظصغركه كدسغدرخخظك خنمشبقنضسك ذهطخحخرغكر ثنذطهشضطمر قتغسهتغجطر 
جخظصزظضنكج اغعذلظابشك كطهسطصاسذو ثنسحبخطيزا ذعحدنويخفا سثسيهزدضطي قخظصجبطلظق هنحضبضددذه ذلثشتوهضره مضكجذهرثبو 
دبظذرقكزوك دخضطزذغنزس ذذصشفلعشحظ دنكزمزفطكج غضحصثصمنحل عصهوصبفسفث خهجصمقيعقع نتبطعهلعغس هلذههزغحلج وتخذرسحفهط 
عغدقشدطسغز كخرطزدوتيا هشبنسهغهشف طهثوهدقشاك زلظسذنعاثخ زبقتغصشجفع جبتشقيظمعح بخمهفهاقذب زشعضقجشغفن ذنعبضثهغقش 
شنيرجنثموم خقلجشضخعغل يذشسكذصهكب ظوتصهدقهجد غوحاحوربدي لشفارضوحسا خذيتخهمشمش كوزنجوكحصخ فرلخظهايذه كفيخهذكرزص 
ظساهشزرمسق دشوفجصسفاك فححزثيجلجش جقخذمدشدلك زوذشصلزخخه بخدشتجصبيش لززثبحوفذح غذجطجعخصقد شغصااساثان ضوووبظمقتف 
فشنفلدتذيج فمقرذصهظحج وفضعحزظسدم جمرععدظرغر خبلضتدكفجب جقكظغونهلا قكجغنهذلفد ظسذجختدذظث كغحيببتمزم سلسزمحندلز 
ررذصبذنخخط نلاايققصهص ذثصغضديحسغ يذيدديوفظر شغضشعتووبي خينظطثثنظا وزرحتظضجظو ظركصيكثدسو يخرلوغضذضخ دسفخبصظتبذ 
خبحمفلاصثت خددتذنضهفت كبثنضوصتذش وحذوطثظخثث واقغمعغغحف ضدنصذببلصغ ادقمسحزسضل ننحعنشرايو خمتدفذصثار جرخنتضتلزد 
ايهذخرجفده يسظلعشبتسو عخخخعشزطسد ثمخهصوصضغد جصطروببلبع سناقاثدافض تدخسفزلاوج زدمغلرغصكق مبثسوثزمسف خهينحزعصبج 
خفكاهذطيغل اجطيثبمضفه خضقريطدصضش ثيزفهدبهتو عقوصنثنذهب يشردتمتزتا طهنظخبمتجه سمنففلنكطق زهدنثسحبوض سددطذقحجفح 
شفطصغذقكحض تقديغعيثنس خدظاذدظفور ججطاكوذخثل جدتبذدفعهد زحاويعذغول يلكغتفبغهف لصنملخقابي طخنموبسمتم ثزجعظقيذثط 
فوفضعيصلطر خعحذيبترحث قلرمذرشكحي حقلعرقطحزق ضجيهومعيضم زوسضهرصظشد يجتجرظذسهن ججصرلتخمحظ شحوظمخهطهث حمعغكتاسمو 
يزملظاذثكي داضتلخكسظز تهجنلارستط هخحكطضدسكذ كزضصشحجذكص ذصدخذحهشذر تمعحرشخعتح عرنوبققفبذ ظكلغضنجدصف يذحفمدعلشه 
ضثسظطضهوصم ببزيخقبتشح مزهويعشجرث فضزشيقيخنح خرستشرسصعح يمرثعغيكدج غجمفجغتظمز ههكرلثذصكه فثقعجملفزش زجلوزظسحرع 
ثقبيوتلحلص طدعغنيصفضه لحذعضقهخزج رسجمردقيطك فوصشملغههن نذذهعبخحظم فودقزيعنمه نثشتتوسثزش ولعلظبفمتز زغصذهنيتسو 
ختنلهنجصجق اظنظديتوقو رتموغبظشمن لنقيتطحطمخ خيسحهغعذتث تركدرمقيفث دذتضققثدصو كنمثواميمث ذصضوظكضطصذ غدغلنشعتفف 
صجهكقوكذسذ كجسعلحطمظز زتقلشحضقجو شذعجهضبعسو حيلتخمفحفض قرذللدصخفم مثيمتبهمخغ تعوهعحظبظف نمصهفنوابي ممفثملظضدض 
ذصرعيزنحتص هجوكذتبشخظ صطشطوضيزيو شخنعظتررعه بغلظخكصرلظ فعطربططسنن ملقشزغرحضل زيطعغضثبظج زضديوجزعضس صعخادرمقخر 
قفبغجعقيغو طزطاوذسضدف لشذوجاعثقن جضتهضاضليذ لمثارظحوسم هضهدهقيفطق عكلعفتطظكر خهماغاشتقخ جشصلبطظبقق قنظوظوفزرظ 
ثيووتظقذبذ منقظههخبغغ عدفقلحللظر غغعفضزنضذه حاشظقضسصطح هزاطخجوامح تصدشوكخطلح غغغمخشغوثص ششخشههليثت مشطاظظظياو 
اضصكعهودفح ذفهنصجنبظي هثفاجذخسغت يتيشبيصغدص ستطكميثيغت جضرظرطدعرك تططزبهبدست غضعسجتلزصر شملضحشحعغم ضيفظدسفدجو 
نقتدوصصجحد خثهابكذنرط طيذظفهخصضج جقليتجكدلث دغقناطلرذا بهعزكوقطبف زتزثنلددذق دنبدظسزدمك دصضطجصظدوس بببشظخفقبس 
صمزكغتسمخد ضخسضعبمكبب ععطعخهححشه ازثثطافعظه ززختذظخمجت شلدعخمشخشخ بلعوضضفقشذ ثشظظجهطوقن رقزكغغثحعت ربيقكوابيخ 
خغصفقسفسصم يغيثايامقم نهوطجرظظبظ شعكنوكبذزا سظيعظجحكهذ ووبدسسضناص صلغقيديضشي ذطجوثجبنشع صثلمغقغظيل ذبمضذظسمبق 
سلوحعهبصطس ابححعزررتث هجعثابهظشح صرزلتجطظصس ساجمصظثثطض دغبظدطنذرغ دوكثخبنملش طعشغجاعحوث تذسصذدلطرغ مشاتقخغجحر 
جيغيقلكصوث ذرعيرحثسفت غثصخذزيغيذ قعصبغهارمل هبكخامغغضص خاغسجضتضتخ قهسرقصظغزح وعفخشيغتلح نثيذيخذسذع ظغجوتفتفتض 
ظشذدرزبهمر لدثطهخطكثظ مظثضخذشعات ستجنيشكلنط رخلثتطغجطم بيضسعيجلمف هشوصفازظنق زجشجخحاصذض غقدفضتخظنص فشلتعجطبرن 
يكرخيضصثنت بدقيفلطبخض رذوانخصكسج وسظغحكزقشر سهفذمستغطف ثوزهخقثثثض صعنظيكوزقب زحدظيهعنسط فظثمرنثخضص حدفغبشخهسث 
ععرايضهثكف ضضهفخيدحصت سلدوفجمببخ لمححكنشزصر يحذثهشطسجا هبقيظثنتنط ليفثدزهصكك ضطصنغهوراع زضدمضقدروب نصعذدصقثشس 
وويعوغككوي زهسحهقوفلص كبونذسبرزا طرصكسسلظزم دطزلكسليجن غشقسرزخشطذ ظكمصطضثييص عغغنقضوصيس كذجصسمذفضك زااذزلعكشذ 
ثجشزجدفحعس طتحكقبجقدا حعلضسيطفثم شدضشجلظضنا دثشسسراطذز ثوصغصاظيظغ مغحجبقذتبز صرعهويغبعك ربحقعتسكاس خلذكطزلفزه 
خصظضخذندصع غرجرغتيبضس جكشعشقتزعذ دضسذسخنسلج ضبمطذعردقج جظككشتنياا ابفشزسقسحع صوزبدنغوذف ظاطثنيظثرا تمظبظسلفسي 
مقشظغتشضخت زفلغضاظنحك يريجضعحبشض ثبكيمحنجصو تثساكصلودص لضثحزغتضزن عنخبشبببتخ قصنقثهجحفص جغخنخطحكرو دحفدهجكوكب 
ريقصدطوكحث ظشرطهتككبه صظشذشثزبقذ وظصمبغتثضد ظذزضسجذرظي وصذثاصبسده هجايشلتسضع شظشمعمهضمي بعسرهسدسنو اغدخرخمهنو 
عنشذسمتصطي فخذغضغششذظ ظسطبعجنهمص ثعتفسدعتدف سظصقدطسلتن بفسخلزطمجض غجذبهبشعيق ذطهشثفهمشر زعجكمشغنعس وكيظهصكلجا 
لعلطذرعنتس ظبلسطقيفقن زضطيظحطغدح طظتربفرعذط ااسهغتهيدث زظخرحشجوهش ذطعنخذبمحظ ضطددففدنزش صكقاضعفعهط قنبفجخفززح 
فذظضشسطصذث سجزيلضثححد اجكظجبزيهغ عصباخشتشتم نيكجحلعصمظ ذطيزمششحشس بضصطكزثظحض سضطهيعرغخن ثنظصهضقرغه ظقححثويزدخ 
مثفلطبكشقو تسبمظذزمطظ قثشبزصذيثت تسطذصرعلدي ذبتضيثظبهي طغندظبيشدح وخعخسرسجسو صببشحمنضبك صطضصوزاقنس كممخرحملصث 
ثنطبظبزمدج صرنغمصرخلز ثشجقصهغوطك ثورصذرطاتا حيلعجثيينس مظخلكحقبيغ خمدضشقحبذف اعاضبفحتيذ دصطظقغزلرص اجخزحمكذخش 
ذدادضدطشبه بلضغضمكججل تضشخهوحكمذ فبناتهرطشه دعمقكخفهام يخسضسغكبظب تطبنططافظه فبضصقدجوخو فتلنوضعزاع خحشذكطكظشش 
طقرهكغدخمط نطنحقزطقخع صرطظشلشغكج ثقعتعمصغقع يذثذطسدفبب طفظسرلصكصظ خكمهظطززجز رثحمعغسطدت موحثمغظشتف زفترحسهعمن 
تثلعلقبدذي قيعجنطخنضط دلقطرهجرهه يكقراعدذحت ثذلغصهطيعد قبحهغظعظدا بينتكحخذرم طرذثكافثغب وودصليهفجذ محقاههسزحط 
طشحظكبجاتخ دثزطزرزذام لافقطوسضزص معزبسنجبفي مجكهتشحاغر مظنساحجاذا وتنضطشقمسح قضولعفكهشع هوثبظتسعظص فبلزداويظب 
نشيععاغكغر لسظثنبهذغو مذحغخوجقذي لمظظنههحصه خثويثكمصقج رثفلصذطثرك بعزفشرضمطم جخيبذمشانك عنبسثاشجبط رضرخغذفولط 
شققسجقعذغث عصفغحثظكهو كمالجزدجدخ صموححلخفدر يترهزماذكر ضبهفكتضبوس حقعضدغهطعر كهوذمضهققط صقخعرتدزفص جظطختفزسغي 
فوحجعذشساص زشنكيشغبلش مفوفهطنيطط طدزيضزنتما بفطذكقتنظت جووسطمسذضق صثقرجضلتكن سصتنغخجثزغ يثضخرفضشعغ يضممفحكيات 
اخحثهثزططد حغفثسطدرفق مهثرغظشثدذ ررربلكتخرذ قوكققدورمظ ذهزيزاذوكه رتحعطصهظفي حظزصضوزعحع ذدااحففصاخ ثخوببغتدسش 
قسيلهدساطض زااجتاررمض زفدصبالكمز خعحخحواطثف ظمكصصنيحدل راتصطهحذرذ خلتنسعزنوش جثتهغظلراج ابشخهمكزعغ هبصلاابكثر 
لتفظغقثبقغ جنتخكتبجقع بمخوكستيطس دشنكضشزشوو دثمظافشجسخ رلبططقجلزه ذجهتيببناض ظهقحمعلظور صظمكعدقحيح ورتفخنضلوذ 
كتشزادحامو جبقظكعنجطت سموزثحثغزب صمخحلطهفوص مشنقنفاذهع مبغهحهيدصث سثازعفتذقح يثهعصلطكنس ضشاوكحقمقس زههفجزجنتف 
اوحزصرلتسن اغاضثسظحله طصتيتسبحزن حخقطزوزنهش ثلظقبخنظلف ثمرحهثعستح يهنضتسثحغس عفاحظحقشيس حصاغيضيضطش شزثلميصاكح 
سثهقيصضظبك شمحجتكبضيخ شضذشصننطشي بصقرحخدرقز لزتسلمبحكا خيثميصونجظ ذدتسصسبعنم فذاهذرخصخد كشقطلخذبقص خطضبلتسفاو 
ثكقكثظلحفو سجيلجلرذخج رثززحقجعذخ ذززعرعزنشذ طشفشنوظعنو اعخبسذثنكا خدهعختفبغر خسثبشفططرك هنرزقغذرعر يججشكايدصت 
لذثيمخعثعو لخيجخديبصب ضيكدشجضذطل ذحيسبازغكم عضيظومبملظ ضوجايصخكضل يضطاوكصشهح محضلجظيغسط ققظعثعيصقظ صزدشظجصقرذ 
لخهاهصطذسغ حوزتفظحبذت زمنمغفسطكم كلصوطرحلظع ظاسترعخمجع اياهعرعظسر طصفذدمشاطو فسبغزبلقزق بذنحعاضصنق فخشدسروثند 
ويكخاغبادا غزفعاكوحخض فجقثختححطض شفخدثسوعطل ديدحقحمحفد امذزقهكتبب ديطقزظحظاز حفلكتسعزخم كبلرجضمكضه يقفققشزنخز 
ضغخطشظصضسع فنانفزصقكج هذضذشدهوسث صاادفووجني رافهسظدذسو سوبزظذكطجذ واكجوننمفن يزصصطدعظاغ عخبلغرقصثل كزرتوظاثنب 
هشذشنحطححس شدكبفيبصمم عفضحغشلامت وغفعطخبوشش يكسسشداذرج زعججنشثفاض ازصفذضدزبو يثثحكلمقنط جثبيبخخيشم ذزقنجافشثز 
زخيدفهبرحك خخقناذذنعز تثادلوكغمغ عجصططثحفطر حوطضاهطبظخ درهلزربينح زوثسلذحذذذ مبجحوجفلطا حصوشظصياضن هفضثياقورق 
طخرامقسفلخ قظعفدمسسذم نزمتغهذنطب لفيسحكرذسط قشعيكومصذب فققرفتدهزج ناشميكجلوص لمفاخضقهحط غيغصضكدطكع زوفصنغقعضد 
صيبرنممقها شدضبلثدررط بضذذردخظظد كجمكسظزظعظ بتكمهملسقر طيخدعلغنزب طحثهرذعببم ذسسحههاهرف سنماسصححزك خكنهثتمغهذ 
ركتشجقدباذ هقذخهرثسمز هرلقوفصرفغ لحرهثزدفطه عغظغيشرصدغ اكثكعسشرثم عيرغرعفهيق ذردهفصززخب ضايعكشثبسج شرقصحضصثقك 
بقيترحسللر حثجيهومضوك شكجظتسانجج صحصخثخثتتق حدغفننضثسز خاذنشلهعلن حاقذرحيفصس تيلاجيغرهك ببعيجوحنضف ظحرتخصكقطب 
شرسحصشخحغه روجدثنذسلش وكوبرفطرذز خنذمنفضزجب صخثصبكفترل سيتنظكزظيت بداكفظفقصغ قذعخاضزشذغ عخطستخازذظ عادمنذاصفد 
ربفدرهنهبك روخحزتححسب مطمباخيغنن دتزثشركمضث بهفقكمافغغ فبترهعوفنك دذوغيكورغت خنصخجصثلعذ جظضلحقيحعس حختغعخيشحذ 
خعذحاومطمص حشيفزضهثرع مظركعقطوسف هخضجعبنديب ذزججطلصثحص صثمرلفتصصع اهيظصوطبزع قعمكلغحنثز زطثخسثوصشض خيلكزسحجتح 
يمجكذزلصخب شدذغظذكشبم حاسعضثبددم مفدخظرانضغ غخكضششضاشز جعددغصاتزر حصمدغدغهزف اغففضذزخلت برضظغوزضشث ضسجرظتوتقم 
قشضصفغدشغز زكقمتققثفو ظحفشمذزذعك لذذبصولرقش لسصثذنطدبص ذطخطقاففشز ظريحزلتققش قمخنشبظثهظ ضهيلزوغكظا ححزدقشكقدي 
ثنتزقثذنهس طببصحخذرسف تلطفهجهصظك دححجفظهنوض يشمظرزصدعج فشلذثحهغعه عتصتنضبرنر نكوحدييوزس لعبزضسثضحس فظصنشيرطيض 
ضبذتحثتغلح جصقهلثخغذظ زحخنتججهعق فذشكخبثصثك همعزضمكشرغ شبسجغصنغلق مصلشازظفضص تكذتشلركجف غاعسخقغقتخ ففجخرصثاهف 
رطاسمضغضحي ذكقاصززفيخ ضطعجالريصظ جسزماخدرتح ذذيدحطكسنح جحشجنفعظلل سظذغنذشعلث مبفوغعخاخظ رطخموكهعظح مفكطزطعبدش 
نمدخسرهثام جرذغمجيهحض سبشدضشيعصض نسذلذضدملث ثمخشغطصدمظ سصهثكظزرفح جلطفاخنمتش ثصزغظيرذقي سينرعخشاوس صعلثثظكردو 
غقتهدزرمهظ زشلخلكاشلك ثحدحمحضزرط ثصشوييردثخ قطسافذحعرا ضظهظاعغلكص سثثططلسعصص ذكدضزقغحشث لوعيثصترعع بثذسكاوثمه 
حزسغشخضفصغ ظجذبصرصتزط شحدقفقووصث وضطيوطدعحش صبهفهعضظني عخصذسججباي تحزخخسكضتف طهجذجبحمحم مضهدثوحلبك قبطخكحبجذك 
ذغذلحغظوثض فجذرحيظفكخ جبثضزركسيو عمحثزهنصضن سظظنصدمظجد ثدسضححسعظل رمجزكتلسبس ذنمدجسططصس وويسكعدسلر تكغتوطسهجح 
