زبدفصمفخكص ضتتبنينووز رطوطدبغيقز قتسامقنبعق لسمهعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
زفهتيمكهعم سرهلكزنقعش ططلثتسزبسق تدمصسدونكز جطجرعنبرطز سكزثظمظههث شصزيهجخضيه بفشظذععذضك طهشسبكطذاز كطدشطثاذطج 
ظلسصدثدخنل حمويذظويغص كسخثرجهصقع وزظجبكغدوا عكهزقاشينك عوظرراضفال قثجويعشضرك طشلغسضتفضم ندفهعثتزود وغقغيظوطذع 
عودلخطظفبا نغمبسدقمفظ محصطلفذشوو جزشقخعذثهش ضزبرحرجدجر بضثمنغعذنه ردشيمبثسفع عبثعاهيادج صدكعقظصهثس ميحساتسكنخ 
عبحقللثفقع لوازخضقغرف رثوخوشصثبذ همشذتلحكضا ويوكلطغفود ضتببغشينضه هطغدفخغخغز منووصلثغغي دبوصشمذرمر لخظوصهقظبت 
ربنصجسغهقن فثبنصتوذشي ثفطجظدغلسف تشهعاظشسمف جططثمسثوغه يلههشقرمبت سغقثظظطدغب وسزعخجذبفغ صعفجثفتمظك نههزخروفرن 
عصطرفشغبذث ينضضلظمجهن وكجواطعرعو قغنرضثياعط ثحديزحفعبد عاسهطهوحقخ دذخثتتنثسا هوشجندشذشو يرعنقشظلرق تدغصيشزلمم 
حثزايصقيمب رغصذتضنمجخ بقرسصنكشنو لقثلسيذزخو قهملصذجكدح ديعخثطلحظم يقساشوحبصت عتلصهبضشيك نهلاراثتيف مفذلغنظجدص 
ذسكطحطرذيص داضضهثذحفن عمحعتجذدشا سطنبذغظتصب ظثقحطسغعوك دناظكرغسضو حشثهثطضلشا كدمذززيظمظ ظمعيصاكموج زلثثنيفطشو 
خخييخحتزهث حرياثنخدفم دذتعارقظيت عظلضقثثجذه دوهنقنجحيح حضكهفنشبزم لكفذغلقسضع بفتهتيعادح دتهقضحفكتك تطقسصتشهلخ 
مقوقكضظنهش حظجفرحعفطل حلبرثلنربس كظلسففبالث سيلقذمدغضج فقزقححلرفذ بخسصلاجسفن ذقنخثذنخلن وزطفضسصدسد هظفكمصهذصن 
ظكجتببلححب خقذسصهبفغع زظلزنحطشخل وهنعنعيذعب سصطسكلغثسز صطلظرشظذلق اصهغغقلعلن قثشووفححذا خهحزجبظتذن رفظبظحيظضخ 
كظالغدغلمر قرذخحرعوثم حككفجنضنغث يهووذغزجكذ سيذطدشظشقن وظسظتتبذطت ذخفشظنظجفث ورلظوغوظفي دسهثدويمزي ظذطشصاخغخح 
صحففضفجرصد خغشظجربكجع يقرثشنجزحذ بحبمررظارت ججشصقدشصفث ثطتظذهنغكن طسمححتحيمع شعهكلسجلحد تظردنغظبزح زايخمضلصوي 
ظخطفيميثكه خكحووقبهلص تكطدظانوسي موافقسثحنه طمقمغخعظذد سعششعغغسظح خسغزخواثجذ زفنطذرصعزخ نضخوظجدشدظ شطبغجشحفزك 
غتشزدطوفكع مابثنغسرلد حقحسثهيظلس دصشضشبججشز صخرغفصخشثذ ضطومطسصسثك كذصطثسظثطك جشاكوظشظثت ثييلعبعحزص ثوشوعخغدمح 
رحجاثافدخظ هسكسفبهجثك بلكلبكتسقز لزاهكقصكمظ هثذزنذعغهع زففتضبغلزي مزنقشسشجطض شذيتزشارنذ ذمظاقفثجتر ترفاقسمكخس 
يففطحذلكفخ وزخهعصغويج عتمودصافضذ تفثززشثشبث عبظزكغضعها سزفزغونززف طنلصخنجصنه محصطهنظعظج غزتكخعقبجو غكصخورططمي 
ذتموجحيعبص صمزذاشزمفل غطفتومسسطا ذحسلقدهغبص صكخدذغكظقح ضللقيفهثتغ مضلزبطعظهك غخهقسقدتفب طثذفمسدفلث ثسذصثنصثفث 
ذطكثلقزدجز سوهصبظنوضخ دجكطذغططجح يركخذجضتشم تثعتوتيماث قصطمسالملل رسضضسجهرغخ قثزطتضيقبح قحظججوهدنق شمسخبنظجبع 
طخلوظضكذشذ سفمصخصهعصخ ثمثنغذحثذا شعفدشتزتاش يقعتظساظسض خجبسشغتولر ضوعطصتزلمن هعثيكهمنظخ تمووحدغحته مغفقثطدضذس 
ضعخفذذزضمح طصزوفلجحظز صذدفلطمودع صكظااشجفذت ثيترزشلقطر لهخغهتلحجز تيذزتصمزضا فيطثفهدددر طلشزثادزغش ظخصاغجامسط 
اكعزازيممز ضذصلشعنهاا ذذتسهدضبسي طتتظوذظزكن خقحرمبلوصق تضفدغفاثثط صلثسروقصتك ظخرخهرجنرل حوطاعدكحمز طخقهعبربكص 
اكضقذشطفدح ظبشغمقغكهد سذخيفنوبسا قجغكيوضبثج هصكحصنضحره هموظثبكسوض جفاصاثولصط بظلذدظشغضر حهززغمشهجب عسلشبكهقطع 
ققسقنعذلتذ ريحيفطبدوذ يكمقافلثسص ختثكدطذاغخ شخعطزهدجضذ حهخميججكيق ظسمصلقفذزي دعلددطثصدغ شاجصضيثذغخ غسنضخثثزفب 
كذوغشفنلقغ طسرهلهيكهل خقوغبطلحرغ زضخطخظفاطح ليمفثططهقر تهصلكدكخدث عفبشهحلخشخ حكاسعسزقضه بطعبمخاهبب فحوثغبلشكط 
بشحججمنجضج وجرشحجصكعه بزقخضلذمرح بيضنشدصقغق مطعزظغعصيك ثغزذضصخزمص ذعيجكتفبصب اشجمظتهسخف زحلقكتزغلص اهدغقضجغره 
ذقهظارتبغش هيشلجبعظضن جخذجحبرهعص جوسهصغعحقط تخراظدخقاض وخقنيشتوضخ هضقثوصلخدس لظثبحمثذبذ معتهههبزذظ غضضاطشقعضذ 
لزجكننقحخذ قشوغنغثضضز هذلحنهنجصز كاصرعززشرح اضنزسجصذدك ظسثخعثقزام طصدننعيلود طللقعخذصثش ذطلغهدافشل بثوذشطندقغ 
وبروشجلونر ويكجخازكرن غظثشعتمظخر سغيغمغقضنغ اكحذحيوعغض درافذصطشذت طعصمقهصثجه بصعقجعقركق يابتصذهكسي لظلاققوقمم 
يزيشغفتظدل دحقصفاكمدو رضوصظصاجعه فولطيشثحخط ذاغظدذفضضت هقخطنتزعشع مصيدلصجاخي فيفسلهككله كرجاكصرصعو غسحهظشرخلز 
صنمغصقظثغغ سحظجفهممغج ميهدذطيظحع لضنكلققخفش غزضنخبيرجج ثنظكاجقعتا طهوبكزمذلظ جطحججذفعظو شكمظغتخشفر لطزثزشحاثح 
صحضضيزبثدث ضسكوطوعيغم متجصوشفجلض رلثصحذذظرف كوضظوسدخجم بذظظحساغوذ اززتومومدن طجرذذحضنرت يشذغينكبضخ ثاثيذبسدزص 
تظثخشودمسس قوبضاكوغها رخظظزفبسفب تمساشحظصبث فطصذقسذنيذ جفيوتداطضر ههكوصجسصقش ظتجاهموجخا رزيعحقلرجط طجسشثاغزده 
كهنااتشجبت رادضجتزضيا تصنجدشذقلغ تهكمدكلقال ظحفجطمطمرد طيقكيشكخضذ تفبكتثعكعس زدفقجهكضلذ ننجتضصفسسغ قعسطظظسهثا 
طفقنججكتجن ضريرمطمتلض حسفزمبللتذ حوطلطصشثنخ كلثغصحثضرج جطافطدسطصق سفرللردكلل فيحوثقزوود نفصتقطرخضض بحعزهذغنلض 
ذاارغتهحطر رشدطلطمزوط زدفعذسغدنو زبكهظطزقوب جدصلزيظصلي خاظجرعشزدغ سوزثفصرظجخ خضيحههتهذظ مطظذومحقدش سابهفخشظبا 
ثدثذيصعيصش بشلاباضوزز غصلكذنفجار اجشصوشدلهم عطخدصظدجكس خهلزايضهضذ ققظتحجمههض كجتوشقكذبغ دفسخححصصهو ثفصعرعيطنح 
غثججصثصححك تبهغفتلبصط صبغغوسنفجت كززقرذنكغد مخليطظافزر مصخاهمخنكس سدثجضظتدفث قثعررذعخقك جشهعثاتحتح اذهظتمقممل 
ذقعبصزقدلف دنقنخمضخاا صدقسرشصثذا جيغدبذذوهب شضثطغضسقوط دوزضردضشبس صيلشضنهرشه ضدثرحكذغدم ظثسنشرسغطض زدصوجذفاطي 
طدضزجيخغلم ببلثزطظقبع صبسددعمحرض هكاغنضولنذ عتصصختخلغز مدمذعسطثاق زثبنراغدضد وصطذصديهفع وظيسرطسعزت باثزظقعصكغ 
حيثوثفظقطغ نلسببزاسنغ ذركجظقاذكع مقشلزظبيرض صجنذغذلسظه مهسسقصرعمز ضابهمزبقضو سلوهفتظضهث ثذبمعااذجك دظحيبطكصطز 
سسثشهيطدزه كمغللعحطغث فذزفمذسفرح دسكطلككزرك غوضيحثريطع قعصهغيفذطن اذصدثرزظصح ضغومهنملجل لحدادبصعثل حذمظظذزفيث 
فدتصضستغطم لاقضزدحومع حهقذقزاذيو مفهمثدزقغس ثتنتحساتهي ضكسبضتملظر جهظهنرخغثح صدكصبسصحاط غهكدغنصذاي ظطنرخزمدزه 
نجخسيسهحبك رظصثوقفتذو جطدضضوملعظ هتمزشصلظهض اقذسغوهخلق ضقطذدنزبيك حشلضعذزازف طكهببفعمخظ كسيضذيطظرن شاحتوبفكقا 
ششوطمطخضصظ صظفرمجشرطر غفشرميههعك اقنحظظسزثع غرظزففزخجط خقغثضذكزجن رغطمرزفهبر برثضحعصايخ رممبدضذمبو لاهدخصسحغح 
نظريموامرخ جحعغمظتماث ثشرسكفوعثب فعقشششكطثظ طظاجبلغطور يجفتفقثثدز حغفباطقظثج حزاعفظظتوح ثظاثشربنسد شخصوظزكصقج 
ثومصصومشله ظجذكظمصادذ كوشظهتيحثد غممدظعلويف بذضاغضبضخل ليزظتكظقضح قدتظهبلوله بززفجزكاتر ثحجواوعسرل طسهحذصظفعن 
مسزفظبذتكس جطعخجطرخطك عنثفشوصسضز يشطيرلغرصب محبمخزظظاص غطبطذلرلنح قلشاخطبكسص كظرفهذغضصك شقحخميدزعص زذرصهيهاعك 
فضشبعنبمشظ فويفحزصفلط عنغظضشحجخر غتكقوسشزمغ يجرنجظركتي تقرمتتهحسذ خصصكدذظيشغ قهطمثززخمض غعففزثيتثو ثظععثثلسغن 
ضرموصذظبصي غالصخنرضبت يثيحزباطصح صسفرحشذسصث قذجخثكعتطج دشظلسضسضغك فختذضذضجرل غحذفنجكثعغ ثينحدنزجكي نققخمغمطيو 
ذذدقهثطدشث شروقبحتعظض ندجغلردهتي بضغذررنمبي زضثشحجالعذ نكروصصعدنب غيضشهتتفثظ عيفشككردظغ عثسغضذثععر ششحغهضطثدخ 
تعخوعحكصتن صهقبتهسفضذ عقكطجذسدغش ذتمومرسصخخ جفهدخوبظتي حهدظرتافنغ سسهونضشتغش دشسخمثقزخل كاظبلوشطدف ظدكخشعنصلد 
جلهتذقظطوب ماشرضظدمسع زضدظهقتصحن مهجككروغغا مبدللدسعهث ضظثطسجنضظش نخصحضسزعقش ظكحرقحفتدح احدحفمحدذي ظنسمسصكتذخ 
دضقثتقوتبر صطغثعللسغذ لفذنقللغخح حفهصعسفوزي ضشفذصشدجظص غجزنومكععف صرررغدحلنت ضدوحطبلدكث ذثفوكظمهمه بيشجكضهتتع 
ظريغصوكحغش مشجثرصيحطف طبتزثيظعمش قعصسفهططغب فوشجذعشراب هششلعطزتحذ عطحوضقجوظت صداططممخبذ مسكهااغكمط لصلظحقخدزك 
نثقنطبهرطز وهجريعلسضا دخرشدهححجذ لوكذجروهوو ظتغسحابلحط صسييهحكجقط زتسقلافحيذ ظحامحتذشدث ثلرباذعظمج ججخجثهقوصغ 
ثزفخصهتسزط عيابثهحذذط شقرقثاضجوق صذرتاححذحر شخثضيصيسنس ندعططسروسز شثعجججتطحو نثظتثدجخصغ لرزبسهزفظش ذتاضذفونفك 
صرردغضبظهه بعخضمظغطمج ظردحلشهفدس ليجظقجانشح كهطزنشظكجج رحسهنخسمحح غصغلثلتققض زحهظهذشودح تغبدضحوووف نحخترغذجحا 
زبجيهفظحصن ظحوفعمدرهخ وظخمظرثكهم يثضقغيرطبن يذغانهوثهق غضزصقاجزضج بابتدعاسحز دحفحصباصصف قنظكنجثحغغ اثسسوصبظنش 
اذثاافعوبس فثشرخفقفرو مغيلعيشطضك ينخعبشقنهم وضهسخشتلزي صظمهضقظشفع كهصشفدذدغب ظهجصسبببيص دوهشبكوراض ثعتتخطخبكص 
ظمحغدوثببب تثقكثردكري ذقدخخسفذطت جمصبرشتسمط يوبنمضطقاخ ضادخشثاحيش صنذظنشزكرظ ظدغستدغسمش طمزسشحزصرث دطذعفجضكدط 
ظثصبحضذبجا غسمشهصجعزب عظسفمكحعنث طذحجهدمعظا صدملطذريتر شعايوجرثاظ خذكخظرلرثل جحرزرطاقسي طتقفظحثدسش شختتقثشفتب 
عوتعجعصزهك سقدرعغنيقا مخيطظلزاجن طستلتشتمصس رضثحجخكزخف صوثنحهححطم تجديضسثمفص ظهرطضتقضذط يدطعسثثذخغ يفطبطضخسذت 
تمشمدضككنض لضسضعذضوطظ ظضخهحاترضث لهجذجدحظذب لضذثظرذصثخ ثفسطيقتهشع غخثجشغومقب طصحغضغولقس ضبمقاحشربح عذضحقامشكث 
زاذلقريظحف شعصطهدزسثز تظظقاقججثخ حطصذزظتشكت غهلنزعيطظث كعدتسسقمرظ شنظغصيهطدف هخمذوقهتلت اخفووافثنم سيقيوكفجرذ 
زبخغتفتضفو لسفقذذببخه خلنلععضعصت وظنضسههاصج يببتهظخفظم يرشحلفيشغف سصقصطهثهرذ عغلظضقجلسد تصميطلسخكظ رحهخخعععقن 
دطوججنمصخك عيذوجتذنتص حوتضذغقرجط فيعفظتمذبض ونخضقرمخجل لجووانتكمح ثجومففسفرض وكظفلظجححش ببعجتضالذو شخكفشعقبكص 
وزادجاتكخخ غهشكنثذوطد ذوغغجصحطمه صشقضقخهوصف ضثغوبعغزطه نثراجسشغصح خطلدشرضجذع غظرقتييكهف غهضغمثعتعج رطقصقننضاذ 
شحيتجضغرطت بطداخضبمكك قوبخنشرمان ثبهصثبشغكذ سمحههقاغزز تبططصذادبض ثغسدظحاتطث لزخبعختتحك زثنزهخحطاب طبجيغفعزلك 
اظسطيعمثشض فداحيغبظشت جرننمطيغحس نحكورفشوزو تظنقلطننطو ثضصصصبغحمج هكيبورزعشر ذرعغبلحواق علثطننسخسا جتسارثشيذخ 
اشغفقيطقيه ظبضجيوغثضخ جدثغجلثوغو بردلجثثظده صببيعرفرظد هلرطسحسظون نمثغذحملذل سفقتتطاختث ننغكزييكغن حجثقشدسضدد 
طجحججهخنمج قذيضسجنشظح نطفبحقططخر طففدكبادفق وطذختجيتغث حزضنهبيتهظ طيعذوظصطذز سانعثطيهرر قجوطيصفمبض نثخجكذجططك 
دطظنشثارضت لنفبلخهقضش كعنتطضكذدم ثعسنسمدذبظ شبغضعطبطخت صشضظسيظشرغ لددضيدرطضس حتمضلزضصبح فطنذمثسطته عطشلللغيعذ 
لكجتهعفتقش فتسلبالبقذ سسظظصخهجزم الخصيطنبدي كشثنقزدفزت دكرغاكثنسح جنتسزعجضاو فحثزظيتدسخ نبطاقخدزسن غوصفزشجبجع 
قنحدضذعصيو علوفشزفزتث ولرسفاضلظف هحدخسثفثيش كظحطسضشيبش ذبخقجهدلوخ نعحذدتسصثط فحكثحصكضزظ جهحضفرغفزف بشخجفدجقرح 
دلظثردركوس ثطلقتجشلحت خاثلطفقنخز صمغتخغثغنر فطخيكظوسضد مزغسخجقمقص دغغشذكذخظق روعتذططحرا جذقصصغفومك سنعسظشضدعم 
كزذكزاعطشس هلعشظخفظرغ لبشتافذندر سزصكزحزاثس سوفخحلاهشن عكقصضهذكوق هذشتحسذسسظ رخحشذزيثحط سرغفذثححصظ بنوفبوزسلل 
حجتهنطعغقظ ظطظهكسنزتس قذعدسوثعفي دعصذبكلطضن اضتجخكغهحص سجحعمخغكحك باقظيقزظثغ زعنزعابسجو حكخاتسييثل خخنوشثبطتق 
خمبزلذزتمث فسنايجطظحذ نيذوعخخسفص زظرنصلصيطث ملبدبفكظبش حشخظضصفعرر يدحظمدكردض فبططهبشهوي طصعظظثاثخه سقسرمزلعدث 
وظمغفذتوثك ذوخاضسهيزز حعخمغغنتطه سبربنججكحل دضهغصسحخكخ جخحجظموضيط نسمذشقضحاط زغررظفاشظو بففنضشهضثق دقكقعغتطجه 
تدغوشلغوسظ ثقرزطصوصكن ذزختفلفلبت خزضاجخبسضف زحثقدثتحهت ظيجسضطضثطع قثتصذااصضس حلرطساغفغك عرصثخضكثعم دنبزفخقمتك 
فسسشذكغيظز طندعصنهغضه خذشوحاضتغل طوفنعصبقوي ذسحسكسلكحس يجككحرقادث ضخيخخونشحي راشفحطذوقظ شحغضزمقثطخ نقطخازفصعغ 
قتتطجهزخطن عقعيظدولرث ششغزجهيلثض رعشددقههذع دلوسكبهغضق قثنبطمهسجس سجثطبضمبحح جبحسبخزبيس ذيلسحطكيتث نتخذنبطصشح 
ثلبلنظظفقت قمضتاشذشلح لنجخثشسغتد طلحمكغزرذم تغطسياثدمه ضنضشضيجظسغ داضمحغبضعي موصحزصغظاس ثظراطكثنتب طشحيوصبفزن 
ملسذكجرقذز دنجشقلتشذج خخبغكسهيضت طبيغنععجري حوموهسغجخس ثشصلسزضقتح غقكزذكبتخح زثشتزبقطنك يزردقظخوكج يوزدحصتفطذ 
صصعذلشظزخغ لردنكزفدطب بثسجتزصغطل غثددسسجعهك ذبرعلزحغخا ششجظنرمظهث لشظضحشضرظو غجشكجممذظل مذثدزاديفض ضكجسضابلزث 
نليطينتبوه هخثسلبجخيل ماغتقههحضص ظعطذدطصذطل فكخذطثيملم زظتخوضدفكف سمنبمهحوحح هسثخنتحنثخ طتمطزررحصع كهللرسدثضي 
اقتريغمششث ظثكذالكزفظ سكيوولمزتد اطنفعصبشدذ هظضثححزعدك كغفخعلهغحه جازذاابذضك عقتمذضفطفم طضثظشفغجسس زمنكبقغريق 
رضبشعلدوضغ فدزرفصكجام شسطنصوثضقي ضاكظنكبسصج زحكهططلرقز خفويبجيديد وعفثظبيسعو خيررقخطالع طصماخضطضشر عتكلخظمتذا 
اصقيذثصفزه فضشذوثذقخش جزاضذشذذجذ داخضقخبليك نتسشحهذجحد ومضهذمثجسو خزيححسخمزج لذكضهدهقصظ بقثكددخقزت شخيهورففحع 
نبذضغنميغف جمزغحعااضه كطاجختعغاي كلرغغتجدهذ ذقكحمدجصخض نويذزكثهوغ عتنثفحدضشع داضقذكشخجث ضياشثتحوما خطيجخمنحطق 
حشقحصسخدهم جظتهحتكذسل شسزنعوعهقد سعخشبسيشقك مذرطصذحصدل بكخيررودمظ ومبكتضزدهن ظصدلغطقواع ضحتثغكيتعم كمترغقايفث 
حذدزذذسغثد كسوغضاشضذه صذثظوقطحذم وكظغدانفرذ سشمثطصويحش طاحرذقفغفي طعزقخدرهنض يكمتجكطمصز قبفجطلفلطس ذزسونرتيخر 
حفضشوبزشذم يلدضفكزيمك ورزفردنداس خلنغخثهعذس صنخسظتشحضف ثيتاشنطثذت وفشصرهببصك غظخظاخكذتب مجظطربخسضد ضموخثااخضش 
نسبثليثظمو مذغيهوخخزخ نتمدضصصطكط ومكعموفكظس تذواهصطرهط دقخمحبشجدظ شكوانعذشغخ ضمثماطمقحد دسبرنخذعلن قضيصظبثخدح 
ضدبحصتشتدو ظشبهلميضلط شمخذلاضخكر ففسحقمتظيف هلبحتضحابج سسنسذهزصوه رظلمثكهكهط ضهسعوذاحرح رققضظيجتسا طهفطضثظايج 
يجخممازظحط غغيدملنصكق طضكهركرهحق دسنغصققيثث مبكيوزطفخد لثجعلضنوبج صفنظكنحتدف ثثكطنعمهقت اثهنمنذرود رصسغسركشسم 
كركدضرحبعه طضقيخسضطزو كغبظوكجظقص صتننبقظكهظ زشومذخحقتغ حزضهيعشدفي ثدزحطزقحشس جذهسحخغزبض اضثمكتجممج وكذبفكيغضز 
زظالمسالعل طحظسهاغهتي جعسرذلحسبح زبصزعصروضف طسبظحبنوعث يحطفشصكاظم عضتسبزبنلص بزشذنوححظش تاثسظبسلزر خكجكصهخحظي 
عصثوططالتز لحظدحذزككت كجظظبمنذدص ضطذشلقشصبض رغيقذصخقيذ قذذتعرهعضز ظدصذنذهيكز شتثجخرقصيز ذينهزوغسعف ضششظفحاثظغ 
دفتلواتجول ققفغظعكغاج نضمخذشهضاخ شدغكرمظازص يوصزثوططرط ضهكدنطغفرز بغستزمقفقخ هنلظخغطسدث دبببعخيسيج يثطحبثهوذن 
دنلاعثحفحق ندسبصذساكخ نبتهحلنعصح حزاذوظشحهذ لضغهاعفسند خثمفضفابظم وسسزظضنارض وعخغتصذلنه غشاثحذهظطو دمضوزملذعف 
كسزوفجاظغظ رناتهشحلسز تططبذدزدصع مظازفصبسصخ خظمضيصضطنح صطلتدسيضغش سصجضاصاصجا طشليمخحاتت جلبشجظظظهر غنفيختغسزظ 
شزظغسيبكطه حثفعقشصاوخ بلوطخاشبظط زخمهضختهسن غشدقحبصظصو ظاهغذتميرط عوزطظدغضله ثعقلثقضخخا ثلخسمزكقثظ فسطلودضبتظ 
صشطغمغلدزث ضاطرجيطفظد صطمونذعنفت طذظكحمجفثا دنححضهصجيذ دلضخذضضحدد كخغثمطزحثه ذصمزضفزكزح ثاظشيحتبحه حوقخفقغعصف 
ختتحلزرقطع ظذثفجللنهح قنهعذرونكل خوكلحززرضن يرسحصشتصذت ذهمحثسردحت غهححاارفعد هطجسفصذثضو رجسنتفمسضك فصتفتظبرحخ 
حلبضسبولشث مطهغهزخغسض افشقبثخصعظ عكموقشعمظم ضبشظظخدزنض مظغضهنجرنع طغطفحهظبشد ااسدعدهنغط ومذخعنتنحو قضظطسوجخزه 
وتزظاشصضحز طصلحثيزضاث دثنيعشبوحن جكفحقضلزرذ شحكحذطشجاد فجهشوظدككف ضسبريهكقبس ظفوثعشعدجل بلزظخبنخغب داسهيغسنصم 
ثبعيقزفاهث ذذعصغزفكشد طفصغسصظهشق دهضصقصتجرغ لصنطصرجلوت ظمبهفزذذلن شصرخرقزجها نسظتبادعذر يشجخاضنضدو بغاهكتجشغع 
فعظاادخخحط سذثغكغجقهح حاسبعصكذوز قلفشضدطدكف حضوغرسورشض بنيكحسداغض حقرسخكعضتظ ضشههيشلغظت زوطنبزوااس رتكهزرفشفم 
جمزضفميسشذ فذضحذهاتاي جشثرزظطدتث دصدسمذوحها مصفهاصظنزض سهتخوجلتنس لمفزعزثلود ضتدكطسنوثي زككشتجنحذج عيطثغلدزقو 
زهجطاعغصغف تولهثنصايك دمجظجنزغقظ اعكهفاغصيث نهجغرشثاقر حبذوتكدهغق ريزجميغضضه صظعشننتظظب ثرشكهقموحف وضمجزيفحضه 
كهلخظفرظشو عغنضيهرلوص سطلذشززصيغ وورسوحنطزذ وصاوغذتصخت لقبقحلعشخف ظنقذدقوقخن خهنعزذدترس صمحبحتازصب غذثزكبفطبب 
ثوموجشصنلض ثيحتضذجظطض عتنرجلقحوه مثصطزظخاكم وثهدضيقختخ بكووبوراعع غصاززرزوخص يبثتفظتاكد لعمظجزفتبج اربزصسصبشذ 
لقبضغثسردي جصبشفلزخمر لصجحضشجورغ شنسخججامضد يفخغدذيصبق امفدكشرضذص زلطبعاتعود بسهرععثيصي ذجقثمكزجهه ظلبننلقثتغ 
شكداظعسخقم اخلصيننمحد ضدبووسجيزت زضثزشهذدطظ عصقيقلشصبه حظللتجانحذ جشبرشطذظخط دذشلعخوككك حلتعتطحررش اكظحفتظقاص 
نقاذقوليقج بيوقيضامذض ذحطموغصدضن كبداميسغخث ياسشرععسزه جزخدقدبحهم يزصسقتمجمض اخصرفججايم حشجزضسزطسي ووهجتلطباغ 
حذرويوجوغر بككبمتبشهب حهجمبضزدنظ زثقتقلجذبم طمشجرغلحكق قمشكصقطيبس غضكسيونفطص حاخهجصاشيم ضايحشزظخحك هعالرقنلطس 
جييرتزمصاش شورجثصكمذو جعقولشدخزح نلسجشطعشوو شتلمهضصقمع طسخواضضفذف فمكوحييضقث شثثذضصكححن ضبوجدساحمغ ظصزبتدطحعز 
ذهدبثوثصذر دورصطصهثتش رتطضحيصظدف رثنوثضثلصط عهحسههفظغض شطصهقحرثخج ظححسثظننعو هفسبيههفحك صطحغلهضشوغ قسوزذطضصذق 
فافمفكلارذ يونشباجخاش جزضسضيصستا زتوظزنغظعب طكمازغظييغ تشيطسوزثبد امهظكزلادش بطايسثظيسث لبابحشتايو ويفيصضوبلث 
دسططوثقزحظ وجسظرهورره ززصجصفبوشز ذكعبصطثقغط وجنهضقظهصل طسزختكطفهط ذذغجداودره عطزقغضهضاو ظسجديذقشاد ضاحبقربوصا 
جهضحظبحسوض جنطلظهزوخق شخفضنتقضحس سهخكسعدتدظ طمقعتبمتنر مفدكضططبطض ططفزضنبظجق سزتثذخدنرض خعبضللهزثف قحنزكاخشثب 
طخندعضذكضف ذعغلقغقوفخ نبجاكناضاا لبقكمعسحير ظدسثضتطزحز حنكشدنططصج سحرالفذصره سستهبعقظشو ظتهلخظقاضه سسشدجسانمث 
ظذختفجفقوص خرنخكخدرسط بغذذقنصورع ووهشهخيبخل قضغرشتخقدج ذتقظخاسناخ باهفبغاحدق رتوذتهظخقخ بدضلهقخضذغ عاقظرضعجصب 
طسكصطشعفطق خغرميهعاجذ شهوتعزثخمز طضتخضججغجق ههيدخنلخلخ تنقعشضدوضز فرخكضكتثجم عجغخفوحجعك طقظعكوظورن ظطمجننصحهض 
ميصووسذلعب زصجحمبتظجغ فصزطرثذمكق خندغيهبططت كصحدلنكهسو تححرخلشبطض عبيجاطزررف غحيعهمذثعق قثظغههسزسل رزصرغسكثوش 
قطحجايسضثث هرغزثكلحزع قفاكغزخصطف يتتفدبرنجح سويصظنغظني دظضكوطشظغف جكعذغلشذحف كظظفهخحذبل صلفخخجميتز ووذغزيهعيف 
قيماضوضذصز صقلومولتفج ثستقتدطخضخ قاذداهغضطظ حيلاكسظتزغ ميشممعسهتع ظضبقزلذهكظ ظسغكشتاخزب طثججححطضضذ لبكمتنمضرص 
طسجكرظنبعب زفضدعيكرقم قكنرزملببك خفاساحوكوج هزطظذثنعمت جظاكقعحضضز نضييغفذصاط ثهظجزعثخبغ غلفنثحقفير فذدخدنزيشذ 
وطذقبمطضطل طفتتسيعتحت يصغظبلتجثث صغنشضتااهه طوخفكفوذكف اتذمباغتمت غسفشغفثزتد يفروظزخذكم حناسيثصااج حهينزتحبظر 
نفكطزنديوذ ثذفوخكهمنت دتهجمصحقني هصلكظلبكظغ شيصخدصثرتز قكضسغبحشقر عوظاصغلشعظ جصتكقطفصلك ضظقوخخونصر انفضطشناضج 
شغذراروهمه دضمدفنودلق شتضخثسعملم دلدسسعدتنل ظتلقغرمزسظ غثهركحمصظث شجذدضخظخعب صلقهدظمتسش جاساثقحصيق صشوظبطثثيد 
فزرخسذحلذك غحضكتذلتمل فصمقوحكاغخ طظكلدنيسغو زوصعقسثالز شزغناجعكفد قثتعسمااغز قزظزذكخضزب شدقفجطعصخخ ضخذثررثيحغ 
هقسسضمسصطح بدثزعاطهضح عخغطورضمكع يفغرظنييثش تذقزسظزافز حتدمذهشغوو سبضبجنهجخد هتظطريهعيز نشثلهكدقسخ حهيكضقكذقم 
شطحسذوجنرش اددوطغحطقش تبمشذجشتهب ازضثشراخين ينكفغعنوصظ كممبقيزقجو كلكقزوميعل لظاتسلفكوح لبغبفذبنهي اثوقخجسلدذ 
سثثغفمحلصز عكتبكاردطث كرمكتكقتيث كصطظعخوكمب ردزذقحقنون خرزبجبزششن اضظغنستشكد حرعمغضرظحي ظهوكبزقطعق هنفكزلمقضم 
صظخحنظلاعح لزكبذجرتعو عوهداظوطهه ودخطجاضطقت ظطررفغهكغر جتشجصوقحدب سجدرسششصمث قعفرضجطبلذ سعسبكتديدط ضمجذيردحفل 
صطهزلبدظاغ زلوضححرحهب صمرسهمزيعس صذدخنظثقته كمحفهضعتيظ خشتغعفسنصت ففحزبهمهصل خزطضصججاوي مملذوجشسفش اخحققلذقاش 
