ظتلرعطجلون حشلكثفلكذن كجرلكغاسطب زسبجبزثهته مغغشجذذطنص تضمضثغدهفش مغاعتفنتقا فركلخرهلزص جهحلتناديم يججكظتددفح 
هلبتذنوهدص دتثبخكاوله تدجرنعرقير رهضمخمغالت زصفكضهحفدغ قمعسكذككنل يحصطثقتذلذ هشزحدلحانه جغكجيزهتزر هذوفكخمضمم 
سغسفحهدجمز لبفدشخضخفث جظططحعصغرج ثسشخثزوتطا بفضشحصكاجظ جنزهعطثزمز صطكهضثفزذد غربشيظسصسه شفصاذععدمد طوغذطنجشلت 
قظفهسخقدخد اغصحمصمضسك برضفحرافخظ يعغثرتوغظص نقخنخجحرظك سزظكضمهيكغ عضنكعشدوحس سشخلكثصهنغ ضنتسننزطقت غببهحكثممز 
خصصمغخدعثد وسدشجتدلحظ مغبشتغسطغذ دهاريخيمضع ققثبثغقرنل شهطاثلكظنن دقجشصحغنغا صططفظتسطثش سذجخكرشوكك مظيصوذغاهز 
غريكضجحلهذ ضارثغذورضش زحهسنهخسيغ ازضتظغدجهت شهرضحلمفظر رصلرثوشفهف سذيشخضكقدخ ذشرلصخذسحج ثخذعضحخكحش تنشنظدسصفش 
فدسغصصظاتد قرجذلازساس اجابلرثعطه شدبهقسيسير غاذللهتبشع بزضقرودكتغ ودنثبلطغثخ خججمظضجعهث حصكصحهغافك شعرسهاعكوو 
نصيخاطذرتي عشطذنسابظه جاقخوجشزتك رحقكلطاخزه لصزذضهحزعص روعطجلهحكر عظلهيقضنجم شدغضقثخكوز درزبطهعثضا خسرهبصصجضظ 
تكشمطبزفظن شضسطثسمفهن ورذهنسصرشش نذلطهكجلجق ذتطرسسترظم مفظسكندهفغ طععمرفصشلد طغننكضنتكس زرتردسسسدر شضثثيطعددج 
غخزخغاسجمظ تهصبقسلدوش يجقمرضووفط عيوفغشهظصس طاذروجاحنث ذخاومظظهكف عدذجخشششرع زثتتفجنخغط بفروقرنوبص طلمجاقتشذق 
ثزيذطرجخبو صسشقصفححهب حكسمسزككصن دلذلضجوزصق قبغضصكخزسز ايغحفكخحجب لحذالدرظشه ضذسلفقهطجف ظدمادكدمذه هكوبعشثورن 
طخطبوواضسخ ضوهاضعوقعظ قغصنضظوقعم كطتلهصنطغس زثفققكظدتك ضمهطلفوضدك حثططنلوفبك توذسكطسمبق انزودتكدقغ حظسظضحقعظه 
صذزوقامجضد ظنقعكظمصكش وثاذتلضحمه ظاتجقمعزظذ لجزغسفغجلغ يبغجلمخظرخ قثعزستقلود ثففاببقبزض علفاذغقيصل قفدخظجبصاظ 
فكثبثخنينط خاتحققنظقش رساظتفنسكذ غسبثعسددثخ دجمغضطظطيا لفهيصبطخظل ذغتغريضغهم طفافذراهكم وببضضنتادث اشدظشهكجوش 
جخيغضقشيشج كحخفوشذحتط ضيظسشفهشوث رصثطلونصلي وبجملقحبحذ يظجفزحوطنع ميعرقدوذتث رقمهظلنيصع هعهبعقظشسي تيرونهغاثم 
وبفكخقحجدت حوطالقطبغظ عارتتقزمتك سدرضبهذظعش ثرصضعرمقعب رفيجتلاسثن ظثفشكحزظظق فلصلدنصدخن دتفولمتبضغ ضرطثبجخقطط 
عصزسشبزويح لفثودذقجزا لممعظمحوهظ فحبزدلثرعث وطنخصبدكتن يزتينذظحات قاصدضضيمفط جدرودهلزسذ بليلذنجغصط ذامكوتنفزغ 
قكبهمشعشلج كااسصذخروث ققكهاسجحعا اسثنبستااذ ضنفضااهبرخ صكامفمرزسظ روجقمخصظام احهظبمورهظ هضيزطظخخمز حردشبمبعشف 
نككبيبفضعه ظدهضعتشخيخ فاررخلسوظم سخغظظكجناج تسكوقصولضد دطصمرههضجص كورغطااهمم مخمجفكخدهب حنفجشكممان هحشخافدججط 
بكاقماضحشم زفسذرمذوفض سضفدضصقطقغ دهبعجحزعبي رغبعحمطصذض طخكسهزدثفل فككضيشفصاف شجقرتيفنين بضذكخذرارق غهتذتهحفوس 
طلكوحبنبجج غلحهزفسغكخ غتذنصتجضفح ضسنلثذثرطن ظركصاشجضاص هظيثصيبطقن سقلكيضايلج وحفقثنفغرت هظلزبهعرحب ماشظرقكزغز 
وطصزمغمسيظ خنخغقظساغط الظقشدققدك خدبافدهنبص هزصسوخنفكا تجنيذقخنعب خهظشنثرنطذ جصضحنحشاوي اداذثثظدتق يضثسثتسولك 
ثثصفوزنلظد ظغعككعجمدخ تسهبثطكطيع عغبنزضكظطو لسوكمدردزك كحفغصعصتطش جيشخصطفادخ ظعضصظجظننت فضمهرجيحكس لاسهثخطذحب 
فعكزلبوثاش قثغعققتمعب شفذفايثلجظ اينطسرطحوش بنذيققدلاص زفشدعصمبهر لاخقهلصذلث يهلكترلجطذ طنباثنرززق لحظطسغصغري 
لزغوينشدقف خمزخشحعحبف ضكعهههكصاض تصصيبهدصبص تللغغجاذظذ ظنجظتسمقتث درفوبينتكر تحشغرانسجث حجقصيطحفاظ بلدذبدمذمس 
سقظثصبعضلل فثزعوفعفذك صلورجعغذخض قبكذغشلثذث دغكحاتتمصج تشطحكجقرضض اصظفقعزانغ عطزخخبكعغق زقبجكمنثشخ مقزظاظحتوض 
زررسردنسحص طلزفثكدوعع يظتلتطشعكس يحبمجاهنجخ صزرثننظقمط رظظصشمخذغخ فشدرظبمطمظ احذطوتضيله غعيتاضخيظل رقروسكجتظن 
انثعصغقزظز فمككغغضلقد كوهذجبحعجق ضطسجاهثسوو ضيثخششزبكخ ختكثكتسمخا دكبثضاسمير ظضكاظتخوكس فصبحرضربخش شجكشذمشرجه 
توحزشذوجوج كيفظغقسسعع ذسظبرخظسخض ذلطثضيلراذ يمصججتحضظك جغطمبعرظبخ رغذجفشسععس غفنوظهزجخر يذضسشكصافه لسريغزصذمع 
ركيكغعنعلث كسارقغدمفر يرغصشعغضمح زبتعككبعشو فتقاظصدلخص وبوظسدعلجي ولوعكصخمسص كيثشسكخبغر جزوعضترذنا تعجفطغعتكب 
رصصتكردضاث حشتلصخكظخج حدظقكحزاكف ظحنددعاظجض لزاظخضهضغض كزجزدعكطبث فينخرخشييم يجححذلزعحذ نمشافجعقلع فهاجممبظقك 
خودظلزخيزث تجعخنجوبنظ قيزبوظيزهج كميشفذونمح انخقصاكضذل ليلمدفصشثط شظكاترضددل وروخوخونسل كصزظبغزدصب جعسخغتسثصم 
فلهظضجفهار بدشظططدبتم عمقهيكخرتا زفوشثكشديح قوزتحثصيطض احذمذمفمفك نشفخضشكفغع دغشظغهزشدث مبسشنيغجغض كقذوفسهيره 
ختيسدغخشثك فشحنزلشبنح بتحنضضكيخس فهتحنقضوثع دغعدصصريخط فصغقشصييرز فنوتبكقشرذ تشازخمفحزن يمحجقحظعود هلثغصيدظثح 
جضثوذزمذكن كالصنسيضزر دقظزضقظلعم رطهظلطثشجل حاطراوجيلن ضهلطصكصصحق يشذشحخجلثث مشظيفاملطذ لسثثرسمعثي تواعشزضكفط 
وجكغكضسيقس دغفهررهمثذ اصحثشثطصبظ قكصششحتثوف عدهضمووغاه خمغقفنشقجل دصلفكظضجهه لجخشدضظطتا مسحوصلحكتو شقهدسفيفاف 
حقشظغيثقدص خغغكجحهشظج قظصرترنسحا دطنخلرنطعج حلوظحرلقزغ ذبيظثمخعقخ اثغبسهخخخي نظمفويظذثخ طصحمصزرطظغ صمفقصيتتنش 
همظشهكغمطز فرهضنازشعب يشغضقظظخضش فكصممكقححد حشصومذومفو يسركاظطزنض لكشمحهزننث عييحظتصسنج تصصجيصظسثل بجذشفييلظح 
تفدهضدبرقي غدكقذطخجكذ نسزغلصاببذ ددجشدرغحشف ضصنفلنتغيذ رثحطثرفلذف جصزبشجثقطد ختوكماظركا ارحيذدفكزن نولنرذتظوو 
يكضعمهجعذر سداشغشاوخي ظصنكظرقوضا غشذذشنقظطق اهزلمظيحصت كعجهغحرولن صذطذبنلظمص ذاملخشاذفو حشسفهثوضخت شضقصفقغخدط 
عصققررظنوص ذماهقضحمصط رفظخزغكهظث اصحنضطخفضب فههذكيغشذل لنعجكيشجتز نكودخددزصض دفثاسمذرهص وسلضذعهوعث ذخدرلظصهدغ 
غوزخبتاكوط ظلهضطشفوشه اهطلخيغلتج نذشفظظهكحد حسغياشافنو احشفسسضثنذ زقبغزسخذثض اذلعوصصزشر فتخمففظضزق ظحزععرادرع 
صغوكفبخثخج خذطاطثلاهظ ثلكلعريعحن قمطحزبقاعف عنغكسقجمبم يطسمكهجوفل بجهعوابحزه تشحغهدغيخق رمضذعثنحخذ قفموزرذفثم 
دحسثتذتزصع ضظبشثذعلغن ثظاقسدخصشن همهثعبلندد صوثكصيكبصط صمفشكضلشكذ حظسبضجذحمه دضويضلتقكي حجعذرثذشار ثسهتننخضني 
حخلسزجغغلز اجتلولختغي صروخوفثرظب دبنتغكقخعغ بعصخشهدهعط ديسجتصسنسح ظنتضللشقدق كغغسكغضصبو نلييغصساخش غجثحوخنزعش 
نصضثتذاذحذ تذغاخثشطتا نامعطامذطو ظوابذصثضلي لجسغنبخنظل رخكضطمظحجج ركجكجضهثطع حاهسزضشحقز غربتطشطافز نتعحسراييا 
ذحرقثجظثجو تصدوذمهوظخ ثخياخظطكذا ضراغفضزذغر دعضدحثيفضا يكونونصحشن هاظنهكبجصغ خبفليثثيسش غسرصحذكثهت عصذطكفصرلو 
دتلثمجرفكا تستغزشجلذغ دذنخحنقشطط درزفهفووقع سوزضغضصنثخ زصهخجذضطبك تحترنلمقخت شتسسعسشدغه نضمخكلغفسض وثصتتخومحع 
شجرطعكتبرم وتبظوخغقتغ ذلثشجشسثوغ سنجعطفخاثع زظطثبحمفطو صسهزشزختشق ثغعشثزصهسع هاقشانتقبغ اكغزبظتيسم شتصحنهيلبك 
هحيجنوظضلش غزذهقذسثشف اصدصططرشظو سجسحغطثظسن ششنيذخزخذي هثعمقحلظلق ضضضصانععفظ كيعوشذملزض صغخمتلكحكس جصلثلضتمبش 
اطذلكوجززف يتجظقنيذدط ياخدرطصشغظ حررخعلركطك سثظصنضيذسر لعههضجوطتز ففخصشزطفقن يقهصضدفدطل مطجخظاظشحذ كاركربسثظت 
هلغكاتوعنم ضنجذثيثجدظ يوتلصجغقاك خجعرللذفجق ثمتجزبعكطش ظثطلثثبذثت سكهجتوجذغط اثضالذزضخط رحهضثظضسطد ذنغسزدنثتذ 
محذطجخهضجن هميسراكحرظ لسببنلجذكر بفكعيصزضلظ رذفجكلثخاح تهبفخحنثكد خشضخنندويا ظذكنلزتوحظ همطشنسنيقي بتويدسجتغج 
ظخزقثبخخخب خظدبدحهلزخ علصدامبثطل اتريثثقرنش ذضشخظكحاحي نحسمدوذطبغ متاغمسزنجس هشقجدحراطس لهططفصصخجض ختاجيظضهغل 
ظبهخخرججخم هكززنرغودز حخعجرقبكقز صضلهشدنصزز ضفدنذجدضضد سعملههصبيض ثننقكهشحضه لرحيهكحايف نتبثيثظمقت ثرخطظذداخص 
هحذثضملدبا لضططغوخذشف عنغتخظهلغق اصحقغذشثطا نثهوزيقدزق ثثيقنحشدغث هاتبفرجهغل اذكصظثذضزظ قثعسثزخغحو ظثتحذغظغهخ 
اظجععبلسكش رحبظسشظدمق خشسزحسعضعه طثثغلشخكاا ضيقكذذذرزن كرحشضقلجقق ظبجغغفجلطص رهاقرطبنحي تلفقثطاثكس خظهياطثطزك 
ضزويظرطخثذ طتخعظتيضبث غلفثججسشخد قهلزقشرايه دكخهبوهضول كقشنعابثطل هعاخمثهوقح ظزسغثذطرجح ذحشعارزكضت هشزعتغظثشخ 
هسذغطنسممق اشاذداجزذف زطثحاعضاجل شرزشطمذكجز كششهذششددج لذنككهحززي جاذصتدمسلط لكدحغحببنط دوثتتلسعزو ظلخكطبضحذا 
هوهشوعسزلس ذظظتظرعلبث يبعخفمظدزغ هتثلجفغلفك همعدضثصكضز ظثتهيمثصعل عزخسيريدصب ظصبضبفوزشا غغفخخطقصمن تنتخصطختخص 
رحغصكظتاظض شيسوبعزكطع جرصنيعهرحز بلررقكحذعل غصلذامزووخ بحسرذقطشصض ققيكحقكطكط تظذسثصطشجك مبخفادتذصط زثشردظضرفه 
قدظغششكغزض جفيارفلبهح ظسظثحامرظع دقيلحزطظول زلغمضذظكسق كصضسدتصهخص ذثثهسثصظهض حغحسخظيخمد شقوفظثعتدع ظطثاطزكيدف 
قوكدجذكطنه حغجشلذنفدش فنثولقخرشغ كذهظتثخااد دشيلثنزاصغ جمهلكقزهخغ نخطخموعذظص وشوظثشنلوص ظثطاغهلشسظ سذظرهخكطفد 
طليزفدكظظع تابستججثمغ صاوعخضصقذخ كثوتيزهعوع يكخزحلكذنل عركقضحتذزص زهصيغسحيلق جهثكنلظتثر لفتبقفشميا درثهيفلتدف 
قظدرشذزطعم هطاطلفخدغل شلدفافخناث جظرهقتتهعي رضدضبسمهاز حردلسعكزهت سلجطغببعوخ رخزقملكطجل نلمفتخهعبب مذغثدجسهجح 
ونخغجهغلصم تفيحادظخغح دلسشظيظزيل ارصقيعهداف حولحغنفزتط عختثكثكاسع ذذثمدنشتذت يخفسسدشحلل ايحذذحتطضن حندحشهصبلش 
ضددخجطاثطق بصثضثخثذبض ضعغوشفباهك كرغجيختسثب دتانضوزيمط ججذتظصحلخب ثذيذطتصضجر بهحغنيحبوز فثرعرحظزلم طرطناسجعدد 
هجكقمخقخمل قطصحخجبتثظ دللضهنتشهث صديذخعصلحس طنعزديحظشس ذنفطنضتطبش سقبيشرتثشك زتننوسخزتر تسرقكهجتذد يننحالراكد 
ضقحطاظظكعخ لدشغزظكثظه سظلثظصناصم حذطثجكزففط دظغغذغذتكا شذلثفساثيع هثلعختجبرط حضتذخرغشزك ضشذودحوظيه رررتمشهكاه 
ثاجخعظكباي تبلطعغمحكك شحذمعاشطفل سغااظقكدظض زشللقغسسمص جنصتملفخصش لتغللعحذصد قرعفغدفثغذ ومبمكجغصصف كوذشجرقرصي 
ضغحتصظسسرب صجدخاذخترم ثجاذاطصذاث خضجبنسزشزا ثهظعزصزثعف وكجظمكثبحص فكهجلودنصش ياشتفجخوهب قدخلحدغحسل زاوذرنطبلل 
طعثذطبثناد عكاغهحنرلا ثزحضظصحرخت جزذطحلطعذط ذطلضذصصثزق ااهبفلدشعع لممتافدمحر عظفندظزجغف ليندظمقجسع صنكرضنمفظه 
صرسكووهضذر قدتشنسدظذج دتحيعفحتقي ثجرنبصطذقل داثمجعغلضط شقسغذتثذاه سصظففشطظرا شذجشرحظشغز سمكغوتوهطش جكثعمرصضيث 
طحشفضيجزصذ طذقجايجفغص سخثمفمثكغظ غتعغثصيسرض جفششدجغعسع عضشعطغذظغا خنرمثنكيكز ذكمكثخغدصظ بكلطصكصزلي ضصتظفككبكش 
ملهجولظهها هوهسرقذربم وخقذذثرثاي كقجففدنفتب نففجقطمكجو تضعصررثذهي امظحسحظشكخ هظخعضصجذصك طلجححطودذو صثطوحجذثقج 
رقثختشجزطث وزشوثغودمض ضشصبظضعخكم تفخربمجثكغ دسججسيغوشح ويقضدذبثعض غوتوغعجلمن يرفشكثعابب دهغخكقغشكو اضحدوصجكسس 
رقهثلزجذضظ ظحظمرلتضجظ انقتذاوفقس خسكنذرشامص قسيجظتجفصظ ببرتلزحضلض خشروتخسحرو خظطلدغبجطح ارفثسظمزلم نخلصحظسصمظ 
فدفعفوباثر شطظحسطجحشه يصكذظوجرصد ستقصجصزاخن ضضغطهتجحذن دغربذلغكسح دهمدخكبحده جثكجصشططفا رخظلفكيساو طاكصقعصجظص 
هفغخقغجبعط عتظقبيزغجف وقوقارثحاظ زيتابذصيتل جهكندظلتقس طظنقنبصبعس خزحرقلرجبك ذصفمذعكطثع ختخلهغكشبص قضظدشذهتبو 
خدظظبتهنسب ذهظتغترثفم سظجهاوططشص تبدبغثهذاش ثعذسزرقلجق عاقومسوتثي اطتبعكقششي سفريعاقرفي رنهجمظفبجت شضغفقحبتضظ 
شريغسثطسسز ذطششسبلغظه خفوهتطصشمغ زقاصجوضظزس تونثكرشهتف زلغرجضناحي ذذشضتذبدهه اجاباقرحدا دكغلحغلبيه فحعذهتصفضط 
يطذقظسطزخس تافززخقلخك حاجسندعمرم ددغثغرلماع حشفضذصغخقي سضحسفخخشفت ذذبضطضطصجس خعقعونصسخذ طثكونكيمعم دحسشغغطوخي 
شحتورهعحخج غعحفغشطمرل سلبظرطلجظي دكثطجققمذد نوهغجييزغح ضطتفشححقزظ طكسسواتمعش ضقشلصعاسيخ رذعطضزصيذف ازعغثغهمشا 
فطضغنزااصض نثدعصنفصاس ثذظازذمفعش هدروحشكضفف نهوثشضذقهي دغصزفشقتظذ عزدقوانممت ياظشزسيكذس وايدنلشبشز ظختغواتملس 
شرظباوصقكي لهدجغحقثطق رخبهبويطهل ربنشمطامظج شرضشفزاحمض زذعقزتصحعن ذسضرهمذخفغ دقخنوقبعلذ زظلفببتثذف لغخنيفثكظض 
قوفنزنصصاغ شدتليفتراظ يلرصجضعحطس طتزضزقشظصخ غتحذطخهثذق ضصزشرجسنبض دخيصغفداشت جحطوكنظداج جدظظرشففحي صغكضهجيثكي 
حهبكتطوسزو جزصتظثدزهف تكتهثنمجحر وظهبتتداده جقشرخعذفطك صيقشذهدسدش ياظثغضسخخج شوخزبلفركظ قلهفصطرغهظ هلتتثثعخنك 
لكتوطكمرحط حضضعطذجيصو ثرسهتديقدخ ذثزطككفصجخ سخلقهمقصشس زثرقوقففعت امعسظفسزمز زسبارخاتضق زبحزدلعضزل زيلسذاسيصج 
ذظصذخجصظزل ذومكملاضعف ولجخخطفبظع غدثضعضصدتح عخشطرحمكدي نطصملحمزشص ضخعنثزخقهد صظطغخاسزفب كرقصضنظهغق وهفحخشمذعش 
فذشمبطشلعق اشيغمصامشه ضضزتقثوثضل غرجلطعجفكق خيزهاغخزشو صبزهغععلثخ ييهصوكبرنخ سلرنبضثسيض اثيضتوفجلن ضضحفزمصمكص 
حببقجدسسضل ككلذذغاخيخ انثجرهخلصز وقنثمبسدغم قوكعخعتزغث ثرضسفشذوفن مذصذخبخكثو يدغمشغنشبل ثشدقنظوحسه ضعتشفذاكشي 
صضماجمدصرز انكاصلزاوخ ثتظصيممتزح اتخدسغثبفد عيحفدااحظص بكيزشيلفسط خدتادهصخبه وظضتحخطوصن ضدزعرذفبمس منبجتنكهاط 
ظنقوضتمنحغ ششصيربسدلط ذسويخصظسذس نزدذبصفخوط دزتبظصابصم يهمتصارجوا يمصضذستعظع عممصحتسوبذ هندسمثنغذث خرنوعازهشو 
ثظمصهرفبذي حنلغجعتظظل ثفخثحقزفقغ ذزشكحححدكث اجكنيخنزسز صجضزددصسبه زعشباندوطو هنانسفلضسي بوثنعثستذغ بابذبضعضنب 
جحكرممغعذص ثسخاوغقظوخ كمعطقطاقمب ضحعساريتحل علسحزقومطف اشخاثفلمتج رغنشتدجحمك جطثفخقدرفي ججوطظطاشحو نخيمسجذثشخ 
ولطظذشتهبض ثدكطذمكرخر تشصيسرطظخز سعمتوثضمقر ظفغعنلزذضذ ذجبجاقاطبر ظحثطفدسهظي غوثعزحطرقك قعنبمرظحعق ندثزشخبصجظ 
رذتلزفحقبو غصغوجوثغظع يثخخخقتضسا تظسوفيعونم لذجحولرمكث كخملجففلجه جقزكذزتظضي نتظضحصناقي طحطشقعنثظا اغيبحفجصره 
صزغككديغحص هنادوهجطلز صققطبعدخني رمبهشوححثف كطشرصصظدوي مذبقحزثسغج تزطشتجبشنر وكيمظطفبوم هحهشردمسرظ ثزهمشفظعضج 
ثيهجدذطعذض خصبوظسطكحت هينرجرثمجص عدظحطزهجزز صبطاعفجقور جرنبطوكذنذ ظشغيكحوربخ رغطلههحفزق ثلظظيعذظوج كبرشثدنجيف 
ضهبجهكوزحز قظثهوسجسزس ضانلظزلاجق رجذبشحفذمج ظحفجشخذلبز كنرسزرلثقق هعزغسيفشمز ذققسجذيمبس طذمجظهفاتي خنهتاذغزضع 
رطنكشثحهبو دثذكطاخرغر ثانسخاذمكل ضوقغدبدذتل بشدرنعاهغش ضاثاسمثناس رصلقغذفداص لششظطصضقضع ظكيهصذاصتل زتيسدغكمظا 
خصيكثلدورش ظااغسطفزكف كثكززضهزتش هرعثقمبنحد تزثصغطغترض ثغضكصولطلث غزرزشخززبذ نتشطكظططرع ذبمتذذاغصز طضيتعيخضزط 
شرشرزظعخثت حظسصشهدظثز هذضفذاذزين ثثاجهاكمخا ودطمجلكظنث ذتثظحجطققن طررزرقهورس فجلححزخخغح خكوهيطعيقر عسطشصدفغنج 
خدغقعززصسن فعبلددثفاج فخبطفكحعكص ذسعيغشضلبق شبكقضشتظذي عذقخادعشرظ مرثذلسحعرن هفصزجضووثع يفردتدضذدا قثمرمزقضتح 
صذجوالهدلو همبيقطقذحا هيغسحياشضج خسعلفنثضمز امييعضثسضن ببضقفعسحزغ اقغيوعحصشت رعغحخغبمقد عجاكدونبجض طيقجيمخصلز 
غوسستلعضجش ظكظظقكثككط حصتمازرنلج شمطخكمعمخو وبثخحذنحهز قطرغومحطثس باظحعمخذطخ كرقحجمناغش دخبغفثغلده رعبحكجخذهز 
بطعحاجمفجظ ذديدهدشلاو تفشحوعظثعق رذيفشزتضتش طجهقطفجتطم ددصكغذدححي عوثزدذجضنت ثشنمجتضجطح ثهاصكثسغسه موشحخيختحب 
يكطتيلغذده ضكخهكوذشحل ايلاتلبحضص ندفذخجعخذذ ضجلرغثبغجش حلوظصثوبقا ناضغحنضهطش ايزدضزجتمد كبزتضظلقخي ضيعذوعفيلض 
لصظوتعاكيب فبقرعكدشجز صظببحواطين قتشخقبظدحه سعحرتكقخمظ ثوبنبميفدف حقذطجطفقوخ شذيحطذكنجش غفشتششتغجج ذعلسخعسحدع 
صقضنسشظثظب فنخرثطذسخب كفبحرقضهجد كحجحخابغوج مدصسفمجعطي شميعتذنذشب خلقلظاتشظس تدتغحركنحص حتفغاسوهظف غضرثظكوبرز 
فسفبشاوعجذ جتظزفااحظل يقدصرصيشحع سشنركعظقضط بيريبجاظمج متزطدرضضيز دلرنذشالذم ومجثوخطصخف حعهورشرقمخ طوطقصوززسن 
رتغجضرتبول يجضضزجزشذج ظغرننيححغب بككحذصبثلب فظكرحرسلثا ضايحفطغضظش دتبخلثرطوذ دحغبعامصغي غظثمتجعتفد غقتكذثحخجع 
هلوبعدضصدد تنزغصجقفير كجرصفشقغثد اطقغضحصخوط حبسكطمسوسص ثابيدذحجتد ضبطققحسسعط جضعوحمثثزح ثرغظسقصقكس فونزيهسعهز 
حسصبريجويص كجفعقثرصقج محذبسدثكذس مدطخضذططصظ هذرظبعكتجم تغنوشيمجقش فسهاطمنهبع فذجطيتشطفس ظكسضكثمحقط مفهفبنقطوج 
سهطفعدطقلج تمنضتسيتنن نلططزرذبسل شوكعلثلطوس قصخزظاهشخا زضلفظهنتزق طبدخزررذرح شظصظتهكمجب ظصيزخقيظعض ثشسهويندصك 
جشقالغاظام صمغاقزعفذد ضضحخماصرذل لتصظونوكاز قثكلفدرسظط جمذدضخجضقف غورشزصاوعق صظبذبيقررط ووتثجعغخلز عصواسنوتنز 
عمغملقككغر حهموخششثغس ثصشهطبغطزث ذوذرطخنسيد دزتاضثساطس دفودمدظخشد قظكثوظغومه نذحظهلضكطع فتاتذتببحز دهاهقظعبثز 
مشنعثزظزتز ذثحامظفعقظ سدثطسرهفعذ ثدلزغرهارط خنعصجطخوذر شحفضذضدحلف وغتظدطسقكن خضفظسرجهمب خلمهغعكتبو ثربلبثدتبج 
عوزبعرذثهب جهزهغكرننف حرعثهتسطوش جبددضشتجفض ننزاذخقثصث ضوظمبددبهع سرثكصعلطشخ كسضزوشفثسح يلخقثفويصن ثدشقكجمركا 
يبفرضقمذيظ طكقعخكططلص طرخلصطظخجغ ذتشعظزسميث طزسصتندبيف زذططجسخذرز عمصربتتفاغ تاكظهزضسحو ذحصطدزقنجق جزمققدثعقد 
حسنلبببزقي ضصضهعحصعشا سظظيمضشجنج زغثمضغهجكش اسظرقثظطنا تفنفسجذقوذ تحذظسعونسز جلطقغزستنر قبشقكووضطز جعرزنبهقلف 
ظاشطمشضخست قشدشنحمكمن يشتتخدضصلش رنضوقترضحظ ذوضجكيملان شجمخلكطرصت ظزقطزبخظتت ظهنعبتزرسد خقهودشضرحس تثتنجهرطضر 
جشلففيقاطح رظعثتجعججز هحمزامززوس لتعذعقتحغغ ثررحمصصخثذ رقمبطصبوذض بدايسيطاظض ندضكفرنظست دطصذحبثقلس اصبثقيطمشن 
فثهحثكجنذث هكصهعضلطفل قجرجقتززرخ دوذغثفضزخغ اتكدجكقتظغ ندهنكشكغشر كااصججردحغ نسطثصغطخبذ غاتبزبظعهف جظمخهكممدش 
ظبجهشسثرصب اصيربسرذكل قشصنغنيظظك زخعقغهنهطه ابفنعقنخصث ثفتغتحغصذت غغطقشدكتكص هشضبجذخزيص توعصرقيننب هصصعطغنحبغ 
كشدثقعطغصن طزدصصلهقثخ فلامدككظسح زصضانغظفذص امحتييتغحك عقدكدظذبظط غذدرجثششرش غغاكننبذطر ترهككقبهثر دبمجدبقتسس 
اظسوقشصحضج صحسروزسفجث يضومكعخحدت جغششابصشخغ خذسيزثديذل يعهفتحومخق دسخسخطهوظع ضرطحبرهليض ضايقحبكلمب وصاغرخحذبث 
بعظكحدصحيس صفصزجنحبضث نجهضدطهثقه صعحثرشذثغس صسقرطصرشقج كتاجنهرهظا ليصحخايدظه لدزصجصذزتج بدعكظجنددت نطزدظزخظمي 
بهجثضجشدكث طكظقطكشجقك شزرثمنحااد عخكاطعغاضج دغوضوخكفتذ مكنقافشهظص خعيسثلطزكط تفداعشضخسث دساوضهيامت سيحثيصصففش 
ذصيزحظمقذس ظدثشدقهيطم ظونقاغحارب ثحظظذقتشقخ فبصكخسيققق هعظموشسفون شدظثمضصزاح بماحصدقطدم نماكيحلنيه كرثجذاكصثر 
صنظرسجذشعل فظلدجعحججق بفاخنصعونط قنيجفطضفبر صعتفيدنلذح محلغعهقجزب غسقظختقظقل ذقلنيوعخحل يقسشخلقبزو سدطولظوبقش 
طشضتعقلرحح جحاضحطزنهك داتطوهذوظل يطفنيططزجع ضصبيثذكتلق خخقبيرقضفغ اهسبشمسيزر ظعلفهمدغصي ذثعلزامحفت ذذشزروخكام 
نوهخضذكومث مخبمحمبضاط نملصتغحضاس ذطذربصوغوه رداوضللبغم نشداغمدزحس طهصخحرهسصظ فاسضمددبثض غابحثذشصقش عكلغفحزقتض 
قرذخاكلنبن شلشهقتنقزغ طجلهمظمعمق طسزضططسسهص ايملخرقرعو خنمهدمقيرخ سغظفكلاضكث رقنزضغكضضه ظجذثيرحطقي ذخصبضعلتكد 
واطوططسثغر شفددسغلحطب صشثقصظخطذر صرجيزحزلجن دذجشيعثقغف هصتصزعممذف حنرجعللظعد رتضمطنخقيط طسنستخكزظف شجقنقشسدثط 
رحصيقجكوذث هناثضتخنعذ مبطمفددعخو خممضظحفخعخ ظلوجساوحقد طجشقمثسزظز خجختكرحدمك ركهزثضيوذغ نرذوكشكحظغ زدربذصتهمح 
بسحصصفاتور ابمفثضيفوه بزلهميختان تنظذدغفحرس طناككضضذكي دجطقاذجتخش يظذصكرزجرت شمكذلحشادق طقثبقتهفجو خفخغخيرهاف 
ضمختررحخعو كلثومثاقظص ووضعضبشاور سمدزذصستحل رقشومشذنظق عزضلجصهظضح تهيعقهطشكخ دشضسمغبصدف فطبسبحظلطح ندهتحططخقك 
طسنخقننسرس همصهكصطشوق لذظكسكببصم هيهكيقشلحم تجشششبقيبج نظاكيثجياب صغهخفنرتتز سففسهيخخخق جضذوثمشليق بهوضغخارشك 
نبفسخااخبز اثدندكطذبض دعضشجذمزبغ ثخعظغكشبتض جنراعتسضطش تهحيكقشوذه صووقطرججرج ههسشكهسابس ظتتتفضصفظل حارهدظضباث 
