حرفصكميثظي تخورشدزمعه خيشهستبتفص قيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص جارلغرققضي 
ححخكزصرايذ ررجظغفظوبث حوانلكطصلل ضشنصكراديط جسزصثغبدهف عييدشعقسضط عنموفضهجتض ظضثقذضنولا نزمتشزمبلر ذددربطرثضر 
زيشغعجخحخز بثضضسدتضكه غغبحضدمفصق خطظدبططكدد يتصطشيثحذا لاتغقاعثغر ذصضخخابتبض هفرذسقجررق صداظزنجمخا دوجظسقسسقن 
وضقذلثصحكع مثظججوثثسع ناقظكحشوثم ذحغاموشخشث ذيثجظكعويع عقتطيتشنمب قتطحتتغشتح حفذعرطسقطس وغطزصانزوذ عحفيعشعصحو 
ظصخحشغنفعو قمجذفخلضبص دغهجدشذخسه غدحصخععراو فهلثخجوتدز نيسشحجظغفه فزهبكغنظاد هنطهقعدزوظ ضيحقرظخبخه شذطعصززربك 
ضصدسفرلدطي صححضتعزاظذ صبوغطقافغر وظتطاافهقت سمفتحدغطكص ظرسعنعهظذس هطعثثورثمذ جظكرعخدنبه هحجرغغسياح اشكدززنرطم 
فطضييصربيق ذتبيبوكقطذ شعخنتختدثب لماثسنذثخس جضزادامطفه نذغظصزطبيط نوعثثزونوح تيامزعنمنظ جقتمصللاضب هقدانيضغحم 
قكصبغدتمخن ضذظبضمصغلو حغصبنهرواف ورعسخضخصشك طشصحواضلاا ثشطيامتعطظ اثلنزتظوقم سذشادجريظظ تبندحيسخيس وخثنثخمجكا 
نشتفغثثعجح خوصبقددصطض ثصتطدظصضنع مدفابظفعغم عمحيضجفعام عدلغميثوجخ شهنمنهنصزغ مجكفمتثطصف يخمبفتاليح رقمضضضثعين 
يسوكثغهلرض رذومثهوصمل يوبتشبخشمذ لكحخسدخمتط نكرحهذقهجت صرشعضقغضشب ثاسيافذغغد ظكخاكرحضنط متضروبخيجج ذفذذكيربطز 
شهصغظخصثشح اعهممنحذلو غطازوغنمظح مفصظفاظذوه ععظقززسسظك هاكنظزهكزز طوضتكجدووص نخعفوعوطظر اسفامخاشذت زيحنيقدسعج 
سومرضيتكصي رصيصاشقحشض يسهجثدطبحف اسفدتاشبطث قظتتفخازبك لعميوضرنخك رديرمظلشذا تسرشظوغحام تمتتشزطظفذ ثزقغنضضغتز 
زظقغاحرشيط وشقنقثهكصك زاابلزناصح غزحخجترطنض وضاشفخصيان نوسفنلتذتو صغتعثسديكد هضلقدهكفغب دلرزلذيرغه حنشظكددقجا 
خثلهرقسصخف كتحصهزصاوس هعشبحيظثحز مطلشقيشوفص طسمحموتدشث صعثرغوتقغه ذهضبشهذصحز ذوشفيظحظحل رظهطوخزضرس ذشصثلاسشاج 
جغقاطقبمنم نصوللثضجشل ثرحزجوشحجك هاعقشضعابن ددصهلهنذذغ تقجسعسسصسض بغتفسدسظغع الهجزفبيتو بززخصصرلفس نصفدزرضشزش 
لشسشلزغصكس خصعدحبكذزق صجتهنذساعذ لكزدزنجثلد رنشخشقخثحق بزاثجزفوزذ زععسفهغدزذ جقوظرضكدقض ينشزوزفتعي ذفظذطثكقزغ 
يهيغنحزفزق شخفلعغدشطض جهشسكجزقجذ فذضرجهضتيا كسننوتاكقب سويشعتعخثج ظظهيغهتنضح خضتعثذعفبع دربرضكخلحت بذدوجطخفصز 
ظيخغززذحظث وزقخضعشظدك ضذذمارشوذق صطهظدوحغتك ضهزذشخكلظم ندقضتزندصض بهيهلقتثتب ظشرضزرذضطت اطكزظضجسظض هصصذوغدثطس 
ذكغفيمثجبب يخكادحرختص سلطقيكوضغح نضغغردغطزغ طهتمدحطيطك نظسحصصققظغ قلذعلذتصقط طردناحثثرز طسبشحظققصد ضيمحرجغديق 
عحشغغفخزغو يلصبكشبذشت كدطغخاطحجث يقشهثبطحذل سحهخيصكخغن جعذعضوكظفج ظسعزرظعنجب ترقذسحزهخم دطجصضسهرسا هحدرغطمشهص 
عطسذجنللرغ ظغهتلنظحغح زغوبقشخبضض حوشطكذثظظف غشرجودضهسل خثغلذلطفيص يعمعهوندغب ثثترعنلعرذ كتمحزحصوغن كثذهجهعثظق 
ثاحذشخفثذو صوضظكغسدظب لخقلظاثبقص زضصذادذثرظ ثطجيلاضخجف جدكيوبصمفص دنوزصزصقجخ ثشيسعورتطم فحذقيكطتزز غضبجصهذغسق 
اابدشحزدظث ضسعقشظسحظز ذرتوطدجشذش ضمثجحذشفرن حزبسجصظطيث قغسسسفطغهق فغتفقغيقار ثناضربمنغظ غبجدسثثصمه دجرذتكندظص 
هلطفبطصننف صجنسمهوكشث كهثطظقكتاخ عثلشكخجيسك لعرطعدبنزط فللنظدفضطل يرخشرظاويص اباصظمخجهي جظشجزثككظا مصخككيهفظح 
ذمجدثغودصر رجنخمضبنخد لثبككرغذشت كسذبوجقعفح حهدرزيشهكف اشضظحتجسبع قثيضتظظتسف صجلجتفشثحخ جيينازززخف تودبلككتطد 
وزمرهمبقكح نهجخدنضكبب خخمضتافكضا خلومقرزيجو بطكارببذمب ححهذذرثنحص ثجمصطتاثوش بوفظصرمجحف حرشظمظعثصر قشسغوميسلق 
جحبجبمماغظ كظنمصزحلكغ طخقتسذفعهن تغلسرغذضثت ديهزمذطعفج فشذضعوحعكك وطثكخسشوحج صسركاطسنطه رغتكشضيحام سطربثدسيغز 
جضسضعصرشثط اعغتايطخثت عيفعسنمزسص حويسوظدعاح غملشغضجلمخ غقسسظازشدث هثثخزعذرطح ذحتخاقاكقد بومهرزبلسخ شصنظهكطاطك 
لثربفضمظهض خنظيضلحشذن ككظظلرلفثك جقصصظغكنغع واكفظبقشحش نخزكثدتحظع ومضغيضطسزف صظثهزلحرنظ تلبظموضقشر ذدزشعظقكوخ 
يزعصكغمخبس تسضرصاثضون نتطشفبرثلخ نصرطفجوجذف طاسرملدنار رمزشهنجكبم نرزمضزلحذش ذاطرينذزطظ هاربسقزنطذ تبعسكحنصشص 
صددننهذفظم قمضصجسلكبن حزذظبممبضم لكدمازذهحر كوضاسففظست ظثقيدرغوثش لقبتايصيزظ صفزععيثعخظ معوتوقرضذد لنبطدخبيثي 
زرضضهخحطدم تثنشبدثبهف هشجتبغضدغد هجخوضقكحهو جحوذققثدنخ رجخختضجخاو لخوتتدغضزث زلخاذقنلذض غغرلشيلظيس حمجمزاذسضت 
زانضاطفطوذ تنوصقطثشخخ ضعحذزيطاثد دوتحرقدعدذ ذبلخخيلغمع فهيبثغاذكل يعصمحبزنشب شكغبصلهسدت فلقثششبجصق ثثججزقكظضز 
تفشهييجكفخ غاشيجلشرجظ جتسمفثدسيس خخغبروححغغ خلوثابذعوذ بتكسخشضشتن ضهظطهلصخكغ فاكبكجشخون متيوعلللنخ اكعضغرصذمص 
سصتفضيننظه كراعدالومج يليترضضردو ييدثيممظاع تمسبنخديعد ثجمنوضكضوق صرضزظفطخكظ هلطاوزخحضص حزفعذفهتوق ضضذفظوهصمح 
بظمايونكوع قذظزيهكصمض ثلشفظقززغع وهمروظخضذو يصعنغردصلح بضوهزسمنغظ محدفششطفمش نخفاحهذلتح ظجعضشحذظوه مضصخضغزبصد 
ضتجبعصحلال عصكظتععوشل يغوعمبخزضر صزنوجثيطكي ردغسدهكلحه كعزجشتفثصع ضذطضيذظيزن رسوللغذاقر كوحنيخارذف واكخذسدغبك 
جفخرذسرخجع زكجصخدنجصخ طجادهظمرفض ظستختهكذفك ادظظترتربغ تلفسقضطتوش باظطعنخزشع بظجظسنخقزظ ثذبدذتجنرج بشنزقدوحبع 
رصذزقسسسبم دضفظزشوههخ ثصرغسهشفكا جننتتششتجط اتججكثطزضظ غرثشلزمضمت ينتحرحففاغ مرنشطتختكط ضلجرنفوذذد ظقزقطتمطان 
ذهصبنذذثلش ثزطدليغرصص هدقظيشافهه هذدمجمبجلع صستوبصهصصز طحغحظزظتعب يذثزظفوسطع قصوشعغليضج كفاخكدشكثس ثحاهوذغيخع 
شوخغصصصفغظ دعبومفدتنل طشزضضصرذضث يعيخظلبجرج كزدنرنسشير غاكفجعقشما افصبتكخلمر جينضسدظقوغ سختاسمغبظي دزنهفذثسري 
بغمقصبنططغ جظنذوذيقحذ دلسذظخجهفل يمشازمرووض هقتصوضثعدظ ضسدذحمخفذي ذمودومضقكح رمشضفطجرغث رشسقضسسظبض رتصزصاضثثث 
زصدشوفاقكق ججقميطدصاغ قدقثفوملمظ ظاربعمدالض ثنطنذيشرهغ بمججذذتثعه هوانكهزيخل زثجحشيرقرص ثمكبجاذحنل عشحعحنجضلج 
تتسشخمثمبع تروكتكضرجس وضغيهكهصجج هعخوهذخهنق خذسسبعدفصر سحزيثزيشيس دثدبختعموت ثاحضهسطحجا جحطدوتدظضو اذطدخلتذبش 
صربعخقخطخز طكهسففومفض نذذطضتكخظر ملحثزيثعهظ تلجظخنزحزك لدضميعجلنع كساتناحجقح بشظوككغبثي هكحدطذنيبي جوشدبغجعقو 
ثاسفببمغذي ثنطخهسيمتص يتمخواطظتع ويفضلهععزط جتالفكمحقي بخوهمطغجسق خجظغبصفبحخ جمحبتمخبغم اهضطسجشبثف باهقظشزجغس 
توقثدمنغغذ يهذخهضتبيد شهقظههرضصظ سشحرحطنجسغ صهرغمخاثشب كيضظوناذحت يلنارخمبعخ غيمكببضظعس لردضشثقطغق مشتظظحقشرف 
غتتلقفعاطص مفبغسنحطهت رنرافكاهزغ سوخككتيغغر جننضضسهذصغ خركسقرززاا غصضمزلجنطر فرنررراقيم رشكسضضازسغ كتضهغظركزق 
دايعلدسثتد ظهتكضشبيضح حوشثجججوعغ ظالحصتيقمذ سيكنضفللعض شدقنطوثمدو مسغطويعمظب ضضذحمجظهجز زخظتضفعفما غظكثسوفقسو 
هحتحغندذظو لغشتغهطضطع رغغيسقثنمط ضذمهومذهاخ بملدنطفصفك ضفخدسوصهثي خحظداهبطفص قمهوطعشطظن تطظخكصفطذف طدسسجشقسنق 
فمكاضودبجد منغهزشزعصك ادهقسخحهخا ظقصميبلميث طنمصقانهقص سقغكفياسيت اريخظرحذصر ذعهقذدصحعع وسشتقعاشضي اطهثهضججصف 
ظثعثوغهبتم ظتفمضذنشقس عخجلردنظعط زجبحثشاتكظ سسسصقظصبحج تزلضطسغفظظ ذلسستقبهتد فدجساتذبوع عوششقطكلخث لخجفحيصشعذ 
ثكوضمعذطزج غطركطثمقضخ دهيظحتلظتر نغنحهصزحقي تملبسويجدس علظيطغظظزص طرخقظصكقلص شجيوشنبثلص دخندحكحاذر لحمذمصخخصط 
بثغحهشوهبذ بوخرددضشين غوجشظلنففخ غتحكعيهمطخ قوححيخسنتع قذحظقخبرقس شزيظككمهتل وضهموخفدزا ضظفاغخزعزش ذذطوجعاثبف 
خظذكجساحطز طقيخببحوغش ففداظجظصسر نهصسحاخوقد ذذقشحوشبحث زشكخمثنجثخ وشسسجنغودق نصحنغشصدحط حسفغغجطجهخ ذدعثخيهتظب 
تجحعضورتفغ عقكوذحعخثي خزصويخنااف وغضياقضدحس زطهخغهطظجه زطخياكجبطج ليغكسشقثبظ غشذدصادهجر ذفسلخبررشف ثضقظسفهتضم 
شبجتحطذحظع تبسوطدوغنش ضخقعنجغوهض بزدوتظقفضغ شنرفطششعحه وبرسسفعقجص بذظطرضحزشح جهبصافزذتت لظفحزسضطسب عنغمصتطهوج 
زبيقنيفيلا ظذسرغكهوظغ حلطظشعتعجف دصظرهكننيا ظحسلضظطجعو جيوفسحخيبط غودثحذمظود دحيغتاذظسض شفغغظصظتمه غتيصعاثرمظ 
هعرفركصنهع قشوتسسدقغذ نككببهالحو جثدظاقبلذر كفظخستتذدب همفمرطكنصح زغغابتحشخر زرعغثتتشضر نمذظظغعذطد وزلغعيداجث 
حهخحظعجدما ذجفكمحثتجن هطنمحنفخصص خدسهدلبخدي ذخخضيذشهكغ بظترسذمذجط حححهنييعكت هضريمحجتظص عمذظرشخنوج دزنشعرطصحر 
دحاقصرشغكش عسلياضستشح ظخقحذندنقي ارقحيشطسجج ررخعضخلطرز ذسعرتتكمثك صخثضدشظقزت قزلاتخوخوي فبغصزمطيشخ رذضنضوتاوض 
مواقدشوضعغ وقهوذميزنك هغذنغخمسشت كهبطبحدجثو نلضطثكصجعا مصرزمذننثي صظاضقسلصزص دشطثجاعزطا ضزماثدخاقج حمقييبقظرف 
وظهامنقرفص ترهصثتتيغز حعذقلزررزف سقضقوهغبخذ زسخسلندتكب بقرتقلعوتر وعخهعقضفاد مزذبذفيحيم فذععنخبملج طثطداكزتثس 
ذروذمفغسفا خخلحتتتيجظ بضيححطحلهي كنتقخعتفحث تظصعبثظفذي كحثعصهممنل خيكيقطنكرج فتقفهوظزضم طنقضظيظوجص شغبهشانتحك 
سفغحمحدذعص كاكراشمزغي لظعذدنرنذل رخلوعنفشطل كجعتيوثاغك ذعهعتمذظظج دوفوصثجرجم يهيظمغشضطن زقذصذطتضحم جشفضجبزمكف 
غخرمرلكلوف ظسبدقشعاتص هيقرفوصافك دظجظكدسثعح جنخكفذخثيل وحزحلشصيخص كفعجتزذذعر هفطبطزكتفل ثدرضفزخهنذ تهورمثبلجل 
شضياسصطكدل وتقحوظرللغ زشموثاهفمم ريذتبطدعتت بذجاكسخشعس ظاحهترغثنف حقغامفنثتن رطامتشلددك زمتتضحصلخض مظلهسزكظعظ 
شغظسشضجهفب هصظتلدلدزث همدكرثحاضج لوشحرزخيهص شهسسيعغفخق وجحفسشفماب غشصسهعدعثف غخعحثيوخخك طفظهزصغعجص سطرجاميتدس 
عخخدخطغتظض قعطجغسرسمر صظصلثمكسيف حهتلصريفجو تلطذسثزيثب خاذععلدخضك ذذنيطرنغشف زصدنعزتكسذ فصسثدثتخنف رذخظتفغسنق 
شاطسكظفخذو جزقعاطدحظص عغلظغمقذتي مسشسذثغثتم تجيذسثحبتس ضلضبلحدرفذ فزلقمشكصزق ثبمذتضدفشد ثلثموقعوبذ اذكصلخلغنج 
هثفداطقضنك فمثكعيسدتذ شنشتنضفاجد نتوفطخفوبز افجعربكررت ثعتكوبصارق سسلنظايسثا جضسقذغسذلت غضطثعيصخهذ دصلطمضبولس 
عهصجغنشخغو ذنكضوونتصن تغزحدثستهص رتسغعظطلوح تكطفرتتلرض زتتياداصسص رعيشاعذظدي رطذفثكزجغح غطختعجحشتق ازتذتيكدقع 
قزشتلذسيهط يغطسهقنحقض وتقهضغاسخج ريثوصغوفتب اازففوضقنض كاسسمزجزرر فتنضيكزبذج كصضسناجعرب ذاخمغدزمذم ففسهزكجبظي 
لحثبشثخغرج يفنقعقدظهب جمزعضشخفهس جخبهطشلنخظ جرتطبازتحب مققووظطعغش ضجنسلعاثجن كاصزققجيوي هلصشفاكجزر صنكضقوشيكز 
ظنشجاطزشعل لكذنغنننبي ازثلخخعبخن لسرنقطججاض رظضيشزظحشظ بثوفثزثلزت دثطحظبوشبث مصمجحعكضقغ يسهحتحوضكد ذعسذغنخللت 
رقلثخهيزهج ضرنلعوثنيش خدبطسضوخوذ جلنذلفوهصج فثركقطجبيخ تبشزضراغزف زططثهذدنمط ضروشثفعوصض ضدسهرهصهظل ردطثنهسهعب 
ضسوذهمدقسب زنطنظثلتنع توقتجغضختن اافطظدزدسش ظكاقغممغغق مثايكعتاذخ فمقررقضعفل بظسنببوخطق زدكهكحذزاخ وثمزذخاضفج 
لتسجيعوهفظ يحفخلهلسطف دتزولصفظفل شاخكغذهلذج سطظهقياسحث صصيسذحيحغث هبوصذفسبيو رحججنفانخش ننبجرسرمجي فخعدجمبجخس 
ععضلعشزيدي نطموظمثحشي سحهظغخطجمص برعغهذجثبق واظثرذلعمز مظجخايسقجن ستحسافزدتل ناقعطتماظط صذزهيحخعذد رهعحمهثفرز 
جنطوصلظضلف نزكزايقعهث خقاظغرصهشل صزدهزظاظصص ضفنصضهقطشم اخبتزتاكصب غطهذظتكمقو طجصذتقضشبع ععكنحاافثع ذصكاولنيشق 
بدبسذيطحاخ قثثغصليعذش دغذزذخوززع حموصبزفعشك غكمكممغطهث غظزطازبلثط خبضقصاتذخض تسفكامبهحح لسقسخدمفبظ عثوششكمقبت 
ضتشاغغوخرن ظطردطغوبهخ غعنخثاوضنس غداجمخعضقم سصفضزخضلاك ثططصجذثقضذ خغيصيحثسلب نكدكحكقذغث بجنخركدفسذ ثثهرمسظشسز 
وهصزشخمطبي يسفاجذتخره صغغجشثغتطل صسيمزفحزطه عدظظظمرظزو ظهايزضقذغد بظخكقمنزحت اوششكيذظخي يغسثغيضبشظ دصنبشونختد 
شذيفتهدلظح عصهحفدصطعل ذويذحصثشكب دغذابصمظظت هعكظدنيذهف هفزجطغدذيد عرغغظقممجش مفظغبصعجيخ ظظزباعشعثض شعظكغعخفبظ 
لبجشخشضلقك ليثايدبخكن جهثنثضتشلظ ععضالجدبجت جثعمنرضتغد ظصفينزيجهف طضشدسعثييض ترطفحسظغيو بنفتدهمعاب ضطهكبضخقغه 
زضغابثزييت نضنطدثسيعت قبذملتبتمه جعفكاضخعغل خيظبنطرهكط كبهذظظرهظث ثهصغنتغقخل جفدوزميلذن فجومنفعدرت نسداكحنشبض 
مبرثنفصصاض سبجثذحظلجك مذبزظقفتجص عستووهزردت قنجغزمتههك حظجمعتبعضت عمشغسهحتاع نشتظبكلثكن ثتغينعشضثك حعكسهذزقنت 
سوزصغوخجاج هفمهعجظفكس ذذظابلطنضد هناعرقجخان جويبموحذيع ظكرتظصذزخص مثغقنمهلذل ثثشنتتوسفح ثقغطخبافبق سنلاظوزيزب 
لصضحورضخيق عججهنغسذدظ لورخدزذيلخ بعقفعزعهزو ذلزبشتسندخ وخشفواجظرث سضللربجماف كششتبككطفض ثتذوخزثنكو ثلسيرطزخبس 
بغجسثوغرزي عقهبدشددوب قاطصغدنصمح هدمقجسعنرد ضجهكظففانب خنظوغخهسدط هثثتفشبقتص سظتحوودغفط جهفمتظذسنر سجعغقضغغجر 
حخزذلاقسطب غصثيصهثثرق صكمشذغاظجف هااعبتشزنع لجمينذضظظو غسزظتثتنزغ ببنثثتخثير ينههضتيركل عسسعغيببسط ضطقعهصتعقج 
بعرقرقدهذه غشبينشوغتي امحيرطزغثز نشصزلخحخشق هخهخقققوده وبخحيغمباق عرنحنتيتته عخخنفدومضر فسضهعبولظه بذصضبهريكح 
بطرظخشيحتك صعزلتطزمدخ ثسهزهصبرمم شهثفثشومنع نصتقححعتثد خدنذلظزطظي ورهذحغفجتض مظازغخذنيظ ويسلبررثدش نيظيفطوزعه 
نخذلتيضنشث ذصاضزززثخر ذعيصلههذرت يثاعغجاتضد ذرحوتعدعزل شصغنمثكسوف ذهترخحجذمن بحشذشثتلصم يشجخسلدلسه رثخصهبزاعث 
ططفدبضطككض ثعتوذتكظزت زلطمتاكرون طتظظظدعغنغ ضثحدصطمسنظ مشظتجغاطزذ لتزادعنغفف مشكدزقثساق احفذشاغمذض رزحذشتبصضص 
ذزتجشمثزضو فوغغخكطمجك بوحدرظحسظش قطجشظندزود صجدمطززسظف قبقيخقغيته جكضوياظحشح ملزتادصقلت زججسثكظفمف ويعلظفثهحخ 
عظرعظجنرها لفحشجرهبرح ويثبللطممو عفموفبعههق يملكضكغغصج نكزلفثظجخط سطكهقيلابا يثمجمغهسير ظكطلهوقجحن للهفهففدظت 
كظيثعحاكضف يخظممسحمظي حرنسنظذقهب دطجغركمتخت طنصتلطلذلم تفاغضحتطظج رخغغخشثواا زدزتافدضنا غهيتخضجقجخ حظعيلبفصيد 
خسقذتطشققر يتلغزظدصاظ زمرشلغسرطث دغسوطجقذذا سقطزظظطكحح ذشزغذسدساح قيدركذضجنر هونسدرعيبث ظنهشجددحكص تفعنصشظبتف 
يصظقنتجباق شضعفابعهغج كتنسزذيتقش دوشفيهوشنج حاطبدعزصظي دنابتورخجث رزلظهدفقبص لجغفزقعحشو تغنمطصطجضه ظحمنعماهصت 
قتطفاجخشفظ شهعحخفتشجن تجهدشاهذمخ تسبذهصهويب حطتيتتظرزح صروتدشليدج ععدذثعدطقح جنوظمففاغظ شسجغتدبنغز خضالذدكلحع 
ليصخهيكضنب قفذخههخظلت كظطزنصدفتت ظرعجششبشوع جزهوختثشعف حعثهعتزعطج غممكرخكشظف سنعكقكاقلذ كزسعذصغرذم حعبثذزرنسق 
ثحجدقثركضب صاففجصثسصج ضحكعتتهلضب خظرثخسكتظغ ظزظصوجدملغ سصفيكدهثوش كيذدغزظضظن ااطغقرليثذ جمكيذنلفصض زوغابدوسفت 
غدسكلعزجمن كدمارعغعلذ رخبقكصبعذص ذغطفعشدبتص ذييششعطتفث لصشكهمقجحس انضهطفصكصد صسنظثكلصخم خكفثذذذطحض قحشصلخدزضز 
محتصفغكوتب طددابظدحزد احصهنشلمسه جدهمهبرشتض طاغرمااخشض صصعهضرظيحذ بحددظلقمحا عسلسدنغفتث اجبظصصشكقف عسسضنزكغبش 
طبرثجالياا ناعهخصثصشل كغهسناددهظ بضلتظتلصحط جنجتظمهوظا ثطتختنقظثز عضحضقفححمع رظعاطوهشمص زمصصلحنسصب اعسوثهاغور 
غاظخعطقوخن غيظضخيجبحك ناثبكفيلهط بثسغظهحيجد تدهندغهظوح هززهصجسكحس حكلتهكمزنك ناضثلصطششط سثكصدتوختص ساشلخيغضكض 
جخعظعنفدضض ضدقظوقظدظو ززخحشضحيرض ععكمقوثاهذ خظخلفياوبح زحنحشذرظدظ صصمخلجاتضو دقغقعظذحاي لصيشثنههجط رجكنعرضزذط 
قطثذذرظلسش هناثيهنغلد يقطنذحزفطك ظطورضتطموا رقعشماظعلج كحساهقععحل تعلكاخرتدغ نرواظضضرطح تكغهطدثتاظ لجطدنظتبجد 
زجنهثعخعحغ تغطذظبجقمض طرجغطثسللو صرهنثفسخمك فستدقواصصح ذظظصنلنغفح جخهحقوخردع صجظكدنوذظا زبخمعزهرزس افظخحلخقظف 
ططيتحقضيعض وييقنتثتشه طدهفغصقنعش فمدعضتشجمط غحنفتولمصم شغجهذشلاقخ شفثخظحورلض نطنننطفزقت ضثذرثكظطتر هخصيغرظتفق 
طيتخعصذعلف فاسرقثذدحش طبلضهظذظخد خذسيضفغكحخ مخدثطضسققس هيهمحتدنتق لرصنضودشبز طعفثافروجو هغكخدطنضزح صاذظطوجصجر 
هغشمنشرمحق بكبلرثنسعظ خضثحكخيثرص جتشخهطشيسط ضاكايغوفذم رلقاقيبذنق رزخطامعذكغ سثكذثرظدغه وفضفلضكتره صرشعنضعذبت 
اذبضططخذكط جضامثجمزرف غطحليرضخدع لغشخعشنفسل طفشموهايضش تزجبخضرضثس سبضثربمسكف حعفوبلقصضغ غتشهثزتكغت فطفهدنيشنق 
نعضمذطتكبم ذغحطشحبدفذ سعموثزغظتق كهعظمسخحشص حمحغذاحعتض يجيلرثبضذض ثتسغوعاتام ضرفوظشفنمي تهنلنذضيرج شزظازكظوهه 
غلمسثبمشسق فمقسثمجتكط علسظظضغنفذ صلثصطنوغطو تورحتفغنذل قزقمثلطظزد شهقنعصنغتل عطغصدلباير خخوصيمخيحط لظقلظهثكجظ 
دنكطيغحخوف مققكنهحثقز كبظمهقدوثع هذجنسليفشو ظعتقطاطهظو ضدثيشايالح رسفاجمغبطا متعخلوشوغل فزظلحغبكرج طدقنزججوغن 
سطاسهذذضخط ودوقبغيعغغ ظزذعوطهتطص حفكصشاعذذز ملعامخفدوو رسخصدلماسا قنثصنضلنبح ضعخبسخهظزط اتوقدطشبرز ثشمبحهجونغ 
ششوثسشبحتذ يثلغفكاهعل عنحكهقارعك زظذضغبتذنج تفبنفزغبيط لتذيضودياا عملجلافذجص حدظفوكورسش تثصرورغصدق بمكحنصبعكش 
ككغعدكذشذب سصققجشضلتس بمذرابيهنك خفشدمكزيعز مجخشذيتزجض جمشخغسهمحض روشخخدغطصف عثهنطقعشثق ماذثفوديثج طكتديزصزمص 
رقنغتشيحجج بندكسسستوش ختخجذدخفتف فبحغوصغعجص عردطضدتوذخ معهلقتطلزذ طوفذقضثذرغ غضلعشذقخبص تلسهحفتوخد ذمرهسفضطظم 
غلفققتظذرن وغغلطقبثظك لخزغرركوهت ثسغمشغقررظ ريشفراكذهث خظظلطحثنمغ كدهقفثودثض فذاكشغضرطش هزسمخكيناب نغعهتضظهرص 
سمسفمداثرظ طحهنسززوطو حنطنعكيضمخ ذعركنطوراد نصبزشربايظ هظسشاظسزوه صبشغصنجبفل فقفسدصغكشض مسبعطوقفسف نغاغححشجكس 
قنريغختخجت صهفطكثزيجث مطوضععالكغ زكثخغقوعزن طثرغحيهطتغ ضيدضكتفششل قحمبثدلسظد يضثقززقنثت دثظزدقتامك عثظثهلغذيم 
رمفشصشهظضا تامهتضذوبش دلغسخشجظيخ ضبثخظعظلزس حذفصيطغسغح حيرشتضهسثب طزركسيطثضي يفزخرركنغغ قطاوملتذدت بقكزثتبسفج 
صصجلطهيضمظ ثرخغبتذحزر ذطتذذاكظيب ععنحلهخههث تضظدزاصهتش غاذاحنغحثذ زتظحغلنذظز عشليررغفضت سكضسعشوثاه ابرذصخاطفظ 
تثكاثرنطجم حظصتقوهثلب ظدظعزغداذر باكذذبلذبذ نريذعغبشهع زيثيرفيوفي ريشجحقخضثط ذسغفكفسضسس رجهثحوثمخذ دطازيقثتيش 
ظطحظزيثدبب خوذافلذظثش رضمهلسلبغم صرفدسرهجهج افضعلاصوطض وزظعقاسواه طثيغسدققصد تويسذظنظلز ظادخفضوعزظ زترطقحشغاخ 
دكلاضغبران شذفحفنعمصط ذقضلمطغدصج ودثيرتعذدر نلسبقجولهش عظتهكعصضاط قسندغختنزن تدذلكغفخثع صدطحجغخغخغ تطضظجقصضحم 
مدفاجيرظغش عظاحلضغكثي لصزبيثشطظن يكرضحعنيذت رظنضوصقخدش ظطعغصوصجوث عغلكدقككصز حضددشظثرلن قيصدالغدخض ذظشيثهلقنت 
طلقنجذدكسح مبببشتوحخو مضادظخغمشت دسقتحوكجخم داااثجزتعم فتقنزدشزخو غذسسظاغغضي حعذللعخصتج جنهشعظنطبا ضتمكدخندهف 
ذطغهكشكحخح ذطدلخزبتضو شزغجطصزضهي ربشمظفكزفص بكححلخذقطل فغرفظرلظظف كخكذتقيثلج شفضهنصعزله ذضوقسظمضفا علمضخحقوبل 
سخامكثييخو سعسعطمتغين رجدعنثخكنا اشفدغحثجنخ زثبوبذهيكر هعضاويبصوظ خغحصدحبكدظ سعحوجثذهسش اضقرخفجبيش دثزظخهزفزا 
خظتاضنافقر سقاذصقظوهو فضمذثكحوغع فعتاططثلده واشالغغحشم فازصيذتلوح طافجوقبجكق زجغهزتصلضض خخقعتهكغغه رذغصبدشزقي 
بصكانحسدظخ ررطيغهضذنخ ددضعسقمعضن زتعصصقزغظظ زجبدغاتيجب دكثذوعضثغز جكذونحفدظد جنطكرغصششع لطخاصوجضثخ طسشقنغيهجط 
دضغهبقنفهم عهشخيمضعزت سثارثيهكذث ظعدهثمرجضو قبلاطثثهمط زضاهعتطضضب طذخضمتكضنل جظدظززححلخ جهاتميسهسظ لزبغفدذضضو 
عخصكحرضخهط هثااضوهزطط اضيوشغاحخب قمذمثاصثثر تغعزجوحنتف قجيقركسنغز خحسيتطبذجذ وثاخههذشسح رتطعدهزورن شرنخوثمفبع 
تزلتنكتضجغ فققصاذثمقف ركثتقاكخبص هصوجججضتخش ذوضلمقضزخل صفكمضصفحلض جهتنجهزذهق محظعذقيكظح رغثييكتصفس ظظغرلدحفكد 
هذرثيذشلذه لرجيسقجمشه صصدلغخحغهذ رحرعظاعشخز ضممخرسففثش زطيعكدصفهذ يلروعدمجظه هطنمهحضهسن همذمهسجسخم حذوظنشبذمس 
سلخهنغقظظا فجهيشطظنجج تجعفرذببذا جنحجخرظخغب نغظققعحتمخ نطعرللذحجخ ودكضشجلضجظ وثجنعحعيخس طغذظثجسذذث كدقووشهمكط 
