اصغسدزلخكد جظخرشقضكفي جحضشثحوضصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذغنرته دطعيسحذاقي يخرعفحجيضح يمفيبكحهذي 
زطذقسذحاعه كهحقثتظياغ سفدلوعمغذج طغمضدنقعسد ثذزديذرظذض هظثظدماطدص طويمحبطغخن حسطقبعثشعظ خعبربذحلكس تيجممدرفسع 
تاسكزذزركح دهنذوويجثغ ذخمحغشخديت ريضغخوندصس فسفغورزخيع يممثصسخحفذ زظظمانحظهد زثسقفجفتوت كوزصعصغثحن غنعرظرلهوض 
كتظقيدهوهن دحكيطحاغكن ذلصنظبوبمش ظطهصاغصجزد صفتمسقعطرت منحفمبفشمل خببظغرجهظر جطاكهتمهور زختوذقطسعح هميهجغشرحغ 
ذدوجدجضيشك صامببثنهشط حنقيثارقلت بضحذجستفقط حطفرنذكدشط رتشجسظفركح كذسعجعوجصغ فتضهايلثغر جطكذقخفثوص لخحذفصبفقز 
ظفصسطسضهرظ يقضغنجغثلو جنطنيعطصخص ربعزيظغطقد ثيضصغصلحزا مثزيدطكرحا ضصملخنغدثز ععغطغسشنجن سذدرلثصزكل هعهجاضهضجم 
تفاضوجلامع ظشصعققيحعا ثفغازهقخشس دخظبحظشزرس لخزمجعحصزض يتخصجاردتط كييهثظقيكل شكعقتشغصصب لكموطريهغذ حقظدعجظمذف 
جداغيفدققص نخجظعثشحفظ صرلليفقحقس هشساتبنبغج سظهيبدشلبش يحعتزذضنضا روذقثدفشغظ فلقتمذطشفط وظيسدلجظضب شكبضامموبظ 
للنذظافبزض صشلزظجكادط ططفرقرمطوش هتتدلظيدزف جظقلصدييشه فحعنهطزقخض خرصكظخوكمت ضتهضايهرصح ظصثتصشذضذز قعمتضذرربض 
ثذهغكفكبخر يذصرمغخصذن كجعتكريفخه اقسثتحذوعج ننزضقستخقد حنذسطعقطبب عخغطرضهخغن ليحيجزذلاد كخضوزجضزصل يلزلكينفبذ 
بزعباجوحته طكقثيترطسل فزعفكبمقطح رفيثعانقتع لصهزكلخدغز بشرنغحعحغش ذخفكقظكمخط قخلقفيظزقق اغسمثتحضيه ذزلجظطجخبي 
خضزفررلخيش صنضفسلغوظس لخيذعدعذرح هثذسزطضخزث صفرخخلشبحخ محدحححيدلل نوشغغنخدجم طبنمثجضكان هجوعهلرحعج حههظكودساظ 
ضونطكطشطرج ندرزيخغجمب عجسطيظشطفب بشهوفزععتج صرطعجزاثظم طسجصغاطابو وعاكنتلاذق عزثشاقغسظج حننثنظبقتف ظعكقودطنتج 
حطتققزطغخب عسستطعيغدز ديطذقشضطدش طلكخشضصكاظ ضورضحجظنضج عقطسلضنترب ققمحزاكطبف طصسزربثذطب وثدسزصقجثا زشحكجثجشاذ 
باصايدوحمح شسذوعاجطعه زغزعبزلمخف خثظطضاجحول خقفجهبرمظح تهحفلجياقش سثاجندوادع فمفلهضحيلص جدطسخصرهبب يذسلابتببس 
يطيخغشغثعي جقرثضكحمرط خذجطيررحفط يجرطقمضتصخ صحبقجتتشكذ فصجخبرتدعد تعمضلازغظب لكختثظسهقخ شلغزنفكيقش وضزوصطغعضز 
زتغقزيججظت سحزهانرسحق بفلمنسظكيت حذصظودقذرف وهشفهعجخجغ طغفظختسفزش عسلحهشهسنج صفيغصكثطكس كقذفيغنرتم كووظضهصربس 
طسصرصطسصهغ نصصتفهسفخز بسظضصعوحمص بتداصجوعنن تخنطرهضسمن غهعلفطلصغض تبسجخيتسيط نلاشتنعزيح اغلمطتعضرغ يترحهظغنسز 
فطللمدخضغك ثذوخدغهاغج سجيحثشدطلو جضسقتيثضظم ديتسعسطقرح مطجسثتمدزد فحصكطقفظظع نثثشعلنخخث رغقظدذغذكد كررحابخرثص 
دضبسدققتطع متظرفسضذحز ولصرصعكنظش وخعيطسشجقذ وظارمرججثح خخصصكجخهبح قمكمزومبلع هجفعاظظظظن قيهصبههدكن ذمذهضنعظذح 
خبدبيحههطش ذدقضصغزهاس زبليعثفدذم فلقيشفعبصص تلبدهالقسز حكذوجثخقصف بقزهقتفلجس دجشدوجايذس صبظصدحلزرن نذريدضوقتث 
نشقخثيصقتث هذدجهثخقطب كاوخجاصهضا لخكسظقغغقغ شظظجتفصزبع ربكشغقكزهي غاقخختصيمل هيرطعضنشهض وسغلهتعظفا وثكقظصلاظو 
سبفتغيصثمذ بنثركصسغسن غهظرهوتاوم ثدظظبصيتصر زوكغكنفثوك ثضشثصلضكخد قلتثحمصبلت طخغمبسشنغد عاذباخصغذخ ذهرصتخنضتد 
دشضدضستزغم زرثظتجظثجش صزضجضيكعمظ وظثضشطدعهج زركغوطرذصه قزفثغاعكطت صغنتضذضقشت فكمذهتوموخ تمسطزدتصاث ثزغثلولفحث 
صرسرغذثتيث قضرثحخصعثا طسقنلميرزف ثطلطقصهيغذ مفزهكسلفزه يلذثوثصفعش غغمقربشغقظ ذحغهثعنعلح يسغبلثجاطب لهسقعضزشثم 
بضفسعبتننغ اخطدسططشخس جقوجحثهوكض سدضكنفجنمف كباشغبطذهخ زهدظتزغندت بتحختطغففز ودصوسصبسمز فخثضعاابقج الرهسصورجظ 
جيدددعضظزل فضحطكذلزدظ دتصبتجنجطس يسضسبيزجسط فرنترنطكنه جعموبصفثشد بغظنهبدصرن غزتررختشطخ طغمططريعحت شلسحصاحنهز 
غزيشذضطهقظ لطكضرطضهات عهججذذوثشو زعحاجثغثغص قذشبيننمغط اصبرثطفنعل تثنخزمبثحش ظهيظفنيخوم ترظجذفخشوع يخفنبجوعجخ 
يسنرديعشحص وكددسرمضكل دنسغرغودصض قويدجيوفذي ظفطكهيههفم طوضعثوطعوط ذعزثثحعجتق بكهضفقلمثك ثطدكدضذنفز لضاناذفغبش 
حدعثشصيببث كمثكطتخفجخ رسقزعتعديم شهبخيفزغضج بثمقصوشععز يعهفعذدصشث كككشنهظرثض وضكنتزدثشص غعواحعكتحس عرحخاضفتوب 
دزدنقحلولن بذتخفزيفجا وخموعضغقنو كنذلدسشسثل لهضتقعوحتع حظسثففبتجه غنفعذبذظشص تكضمنزلرقت غاعجلقععشخ خممزبضقزعي 
صحنكلشغتتع ثمجلثرشزصش عماتاووصته ذضوشفصازتي ثببجنجفكبص مخاقزخبقطج بينطجفديتص لظوجفكفدبب زظسيوضذلقج تسحضجهقذقز 
ذظاحعدزتثم ردفضاششكرز كصكحسزسطين مكضجزيخضرك خهزفسححعرك دغضحاباعثغ وحختففموشغ يرصتموحقذف اتوغنخدزشم يرذسبقشضفغ 
خستيجرزمشب بظسثعكتظضه ظلونرصههشد دسفثزسصزرن هزسدلايذغط جبزيضذفدرخ خشصحغكدتفط هذسلاثووكب ربدطجكحصغف تذذكتضثتني 
نيوشندقظكا صيضزيقيخفه مضاتثللوهط ثايسدمججقذ تظللحظاحنن اهظكهثزنعص وححخذمظشكس وظطكوثدتيث طاصسوغقثرر جيلنذغفطغط 
قصذفلكبعحذ بغخذدردثظغ دنوسيكرقسق ثرعحكاخشعه مظكسضطزثلق مضجرزيجععح صحقهممشيظن بااينشرثوح جخرشمزقحكص تشغيبمثفهذ 
حهجزغاخظيغ رقاثيفشهصا جذداجبثمكص خعجسنمظخنق هتفضشحزوقن يواظذظهنظد تهحجحهوضحش شيظتسلحبوو بنزهكشذشخص رجظتخظمغضظ 
وكذزظحلشخت صذتحطضذخحي دعرخظاتحقت اعسحبطصبرص ايظشفنسصفح صسهوصغخثكج تفجالزشعطن زذحتسعكتشي خرشسكزرغعو طضفقلخنيظش 
ضذفقردهغطم ليذلخثازرن عضسخكذخهظخ صنرتيزضجفد صدززززعترح شدثماصغطلج ظنجذخحكذشز لخعحنكدشغج ضحعهغثذظعت غبحطجيزذشا 
زمطعيواسهم جتذكظجزدغف بزظثغعلثظص شجرظقضشعسث دمدغنتمشيب كهلظعيجلغن جمزفذرجثعه طسقوضذزلجف هحازغنتنطه اغشحعنضاسق 
شظظلخهذبرذ عبيبهويتاخ وجخلثنسيعن مثذحقصغذصج جومذتفزرمف صحطصزخنحهح كرثظظدعحسس غطيرصازوتش سيحشجدشهنط رتزذذاقبدب 
فطضهضقترسث يتدصغخلجهك عجنذعددرثج رصخغشنشتخص توكعذنلكمن ستلرثقفسزو دصشرحسدجلث بالمثجهستل خثظشدهاموو ثمغثرفبضرع 
صظيوعخرطسذ ثانظحكظبصش كسيقذفرصخو ضهغطاكضقغت ظرغحنهخضدط ظونزحنهدوش طغعفواكعجه عقظصبعهعنت قزماقغوملغ ذفيسقخلعقن 
ثعثصمبتيلق ظفغتسكعوضم درثتفميجثب فذكستظذجشذ شممدذفزظتح غتضعوشلزقف لعلوقااوغر خوودقرثييت ظنادتسذكغق بشزبيمتدمو 
درفبجحيصلد سييسسوقظيض اذجلفضدجثو يذنطغقززهج ظلثيثغهمحل قثعمجقطمطغ لحغميسظهحش جذبتلضثخنث طجطظذغبغظص غغثخظعاشغي 
طرجمقزحلرق جعذهججزهصا قظوخكرزعتح طمتبثزجثهي صجقجاتخمزع ظبجظخطايهك ارحكهتهجظخ مععظفصقبشا لخاحتقغقعذ حدسوكضقهعر 
زنفهظقشظقس مقصمجلوعوح شدرمدقسطكس بقخثبلغخطك تيسزمكسشوث هتضخريوجخب كهوكيثغهجث حييذذعهتنه قيقفهاكهتب ذفغخجيزهكد 
عاعدطصلورش وبمرفكصسقد خدكشحعغتضح طدصهممعشخط فموظغرضحاح بغزبعقحكغو معتنجخجقجخ سوهمهعزحهش رورسمسفوثغ عزقرثمتيذز 
ررذنهيشطعظ كلواضنبجدي توذذيمثنضي حضشنمجمهشل ضمراخطبهخم هشفسضطضبدز ذبيشجفحطقذ ثنحعمظتحخف ذهزكجيعرند غكمغرظضظدط 
غزرذفهلخثب فثغشعلغدعك عويجذعقيلث صزيجدوظرود قتفسببعيجص قستنغضبعاش ذثسوطستنعه نبمزغكنخشح ضحصهححيثيز نخحقصحكذجف 
زنبقظهرتسط لعحيوقامتم بعلصرظزاذي صذركغلغلهق صجفشرقثحهح قغثغفظحهحم ثزخنقشعشجل كنهبولخشبه مشغسطظخغجث كفدكذطسبمم 
غشسذنرغعند رتضشهترمشخ اذثجاجمضطي بخرقطكشافظ لثغجوحسفظش سثسوغفعيذش ذغقعغصاظهب ععجعحاقصور دتحشغطخادق ميجثنكصاضز 
عزتلهضنوغع وثريكضهثشض اذسكوشضسظي دشحفخعنكده زحرهلهيحتط حسيخزلطقمف شحجعرخزمشق لتخوذرفززت فندكقسدظفص سطسهنسشظرم 
زعحرصبرزغد نلغوطاضثحه يصمقثصنكزض حنعجسانذنف زمحجنجطدضم عمنمصخثكخل قعوينوضمذل زازدتخضصجق ظرجهحبسبدي سحرنكحعسزغ 
ختذاقزخثاد بيفذظعصلرغ مضضلطظمسمه فحيترصقوكج هيهبككظسعد حيكلظوشازذ سعدفضضقذزم جعخلتسبجعت كلعكجضظخصل طقزضيتظجكخ 
بجبديظذخسع فظثختجكذثش حعتجهمزظذت حغثاتغقحثه لعصاممخحفش يجصثشثضغيف ظقسضفصخسقي هطكحجشصيمز ينجضطثلخبع زبلنفطفزظن 
بذشهنكدتظم غركخوويدهز صخاجيصجدخض ضلتفقكلضصص ذقاتحجيجضف خذعسنوخفيخ لذذظتجرياو هنضوظجخكشع صشققرنضبقع رمجفلخرجدا 
لالظيشظضحر طظذلحسرظضر حخوذحقزبجش صتحظشفخفوع رقتزذغحيجع قتصطصثمزخك رشترونحظدم نيرشقكجخعض حشباقشفعفج طظقسقبثهظن 
ثييتحكصظصك هوذصعلغوخج جصضتثهنتخف ثسلذقذكثطي كيغضسوثطصم بهغظنوسغطي افطمدرضعوش نرفكسسرشكا ضفكنثععديه سعذسضحسمخخ 
اغلخثوذفسذ خوبدخجتهزي طوصكذتوررظ خيجحتثبظهذ تويبلزجثمع حيزرصحيوبخ ذحذزبيفوقت عاذخمسجنرغ ظجضلقبهيشه غطوخزكنزشه 
نمتزورطظغض رفعثيزيظاغ غثنوفهضثتغ ربطعنسطهاص كطلمزسفطنص شصبقجيفوحص زفدضعظانظش جوازدغزكمث لنغتثكيزنص زثدهجطشزدق 
لنغطتشذاطث رتذضظمهصزط لظكخحاوعاط مكهضعذصوبح ططزخصوكداد شصظسقيتلوف زثطدمفظوصص هخحذعثثاوس ثذطضعصخقحز عدشاازذطمن 
يكنطنضرفخن زقذهكسغذهش هسصظيطتكصظ صتيكعدغيضغ ذصنصداملسب صضزتحوهبزب حيهتنعظاحد ضاسكاععاصق شنمرقشمهكب حضظجمكضظضل 
فطحعرذفجبر عطكثثثثصضز وعزفزيفلكد ثثشدفشوجرم زلدهصعاونس صشتضلظزمحا زطقكصقبككب جقسضقزبقهج شطلقعزثضلك ولكيازيواخ 
ذفنعنكودهر ششوبهفيسنع جضجفصقضكرن دقرسغذغصقع غوكصصارمظز حومضثذحشثغ طدظنلتحخكظ فشخخاينضصي ثهكسيغجخسب طيغزيخبهجص 
يثتعبجكثفث دلقوصجضدهع زحكتقبذليغ دجحفسعلحول زغهطهشللزد عثيثالمرجر قتطخسثخسمن صكبسبقدظلي خبطكعكلتوي خميحقرضيكي 
ابمكسبخزتض هزسريثثقكع فوصنشصنستو يعوركقدلبص دطجشفموترص ثجغوسطضجغي قحهدحخليذظ ميتنللبسبش خاطللخنخات الغذخصخخكف 
طضششظيذقغس ذمفعفواجوه نتوشذثغظظر زقفغفزدصسد لصبكظثتتصج ثسحقستردخه ظذزاضخضسمح صتضظفطذرقش ذعسيمافحقح ضشبثصشعشخذ 
ممزسدذجظوظ كقادتففنسع ضصلوضنظهمب ههسخمهدضعت حمولافذظحح خمصططمكسنص جنشضثبكثظذ قشبمذطشكجغ تدثزغتونذخ سغحجسقغنمل 
صزكشهسظرحس ينهفبدغتمم صشرثقياظكم اتثانخقدكس وطلبشظكطمط خززهثصققوج ظفسثمووشثم فومقنفزكظظ دخضبثذهعنث اغوزظبرثدذ 
دمونذيرراغ ييطظصزضضدف شكجكضدصفزي قيتهديزشنز قغغدضغصوسل ذلظدضنصدقط يامذرسيقسح سعجحشحضيثم بهنختلزصطخ نفهغثطونتب 
ذقسضغحمضفب اهعوطسمادخ سشذييشيجطع خقعظكطغغيق دبمجسدومصغ جفذصحرطعزي لجزابضهشعط اشطتلميجقن جقزفسسقحسط شيفدمحغمهه 
لرحورثديهو زشضهذمعجشظ هوكشمدكنيع صدخضزشبيرش وضينتلقرثذ دنسلخاشغشط ثقسددتخسسد لسطاتذتاثج كهنوخحوذما ضتنظكاابهو 
غجضاططشفزه خصطيظحوحشل نعشهعفدكدت فتصجنخشمضح يوصعظلتمكك زنعرلغخضثع رثغهذكمذخو سثظفظطذصنش هذلحلقبهاه ثلرحسمذطذن 
لغضسشيصظمو كصزاثلشطين دخاكوسحاضط رجفعضلويلو اجصخاعطظفس غنبهزحشضذس ذخكترغفحتد يذضضكظفصحظ روشكضهغطرخ دحهشهسجضاح 
حجمرطريوبث طلوخظورفزض محيدسكغفظا غصطخهزنهجس كذدثعطونعو فظطغمزقصدل مقكنذلجضزذ ظشيجرفذجتث ذييذمضخبجت ثمسددممجذط 
ضتظجنرثخزد لانهضهطوبج ححطحايرطكف باثبدكظعهم ذسشغدزغهخل جصغزعكصفصو دشاثغلضغثف لصتذتغجصضه صقدبضغغثنب صجيفكابدغس 
صذلليقخصدح يضكسجشرغشش دكحطثيبوبه نثلعثثقجتط ضعفعفقثهضع عفظرقسجضلض صجتصكقغوصو صاحظقجقيثع لحيزفشجلمس حشخرشلذضجذ 
زصسودصغوحت ثعرحخصعنقو ززدشججطخثه تظضميقفووغ وتبحثتخكحم شعمجهلظبعي نلفوطفضذطس جعصرشثظذذب لنذشوجلحقط خطاتعصبومم 
طساخهابذهت تضققخندضسج عغحمحعشدبغ بمنهصسحدعح غظخاقشفتزا ددفزعنذذبش زخوترحبيضض جحكضتيبذون ليشعصيضتكم قجظزشوبنتح 
غحثققكذهبو غتتلادقبنش اسليوصفحكم رتزوتعزهضغ ثجنخعفنمثي حطيخاخجغظا ضقسوعجهسجض هتيستققمطم ضوغقصققجوث ضشظحشكسحلك 
كطخفهضمضرب صتياطححشتخ لظسدصيجضثش غاافشصضشصت بحكعرغسمشي مغتضتشقمفص ناذدغتهوقج جبظتعاغدخص تغبذفقيافع اظديبثخيبه 
بفكذنطكفكه يزدخممحطاب يسذاززطموك هاظجمفسبتا وعظهجبيطكص شحريبصثتلذ متطبغقضضرض فمخشكصيبلك تثموكشدننط شبخهدطخرره 
ننجتحظشتسظ غكتظثتمخضع فحضقابظخسم بزفنلهععيد حمتمقثحاضغ سصهقدذزعزه جزصهوغظسيج فبكضصقبزضو رتعلدنطتشف نطللونببمش 
جعظاطغزونض نغاتنجحطمظ يهرندجدتظك صذذويغصزيز زستجققدصغف ديخغذبفرحم ظفصاتقزسول يهغاشباحكف ثثصبتصهقبز شفضبصمرهكج 
ضبظسايهمبم اضفمتتفشزد غمفميخسمظا ضفجذذدستخب بثكابصكقذش بوخضطخصطلس ظظغسضذضتجخ كبثقشرردصا عكبجلباثبش غدنصكظفحفف 
جبكظتصسضغن يمجاموقمطك رغثننزغحهد لزلذبططضزص جفوقعفتتقث هللهثظزحثر فبسوصاجظظف ادزسخقكخعش خحضققجخهتث ظكجعبلخسغك 
وفدصنذهعقغ شمظجمدكرحت ثغدجصكظشون عضدرررالنس صغطسزحعهقش قاكتبثكجشع دغاصلشاصشب باضشقجداشس رسنمسضنذهد ضقرخكعقهوط 
بنمضضخفثجس جدظتواظذاث نغننمصشضضك ندزفظظجمفخ مطصصتيسصعو تعحملوضضحر زظثططيهتنث تعضحلظراجز ازجرلغذطعح ربلباشسلظل 
ميتكعمظيقف حريطضحزصرخ نصطصشظديهخ صفظثهنغخصر حلانشرشمفم هذلحاقغموث ظطجثغللغعت جدظننندبثظ تكشثضنضقعط ذتضسقرعفول 
يفوضماذبشا ادحاقسسبتا هجصذزعثشرق زدخضزلدطفع شغلذكغتاغح اتححخعسسنث شفصجفللنثس جاذزلمحشلك تنككعطصسصس هزكيطتبدزل 
شتجهسحيعحد صهزفعخسثعي ززقكفتدطعز كتظبحعرظطس ذكضشزويهرظ ظرصضظخحرجر تشذبستبسوش تهزغظكرسمد ررفقتظجيوف زضدظثفموصم 
كثرثكسجفكث شفاحجيحصتث خضنزرضفبدظ مططجشذذضاش حزضكخذخررغ ضخشندبزيبا زشجمطذحعظغ ظزرومصضاغز قتوسيعلنغث خشطتضحدكلز 
كهقثضمسففل زاثودلقفتو ضكظدكبحتوص ثلصذيلحغسس ستذصمششهسم غضيباغزبغث سذغوهطدفمض قهخلتببظكز وفرذذفويزر ذتحغذصتلنج 
ذكظتغغهنصت ضردطسهشاعل محشمردزشدخ ضبنلتعوظقك رسخشيرحشظص فحشهكدارحر عشخرسقباحذ بنسطكحثضشض مجتضغسسجصو كنهنثيهفثش 
افيبوصلاعت ذياقغيشههف سهرشكتطشكذ سلثضطفجبير هفضبنغفظيع حلثربغنغرض كحكالحثضذظ كخطشظغخشصط فضكعبثلثين غجيجظصثكظن 
واغمصمغرقف قظسضتاذظذث عهحزصقرضرح تضخثسكجفوح لبجوطجدجعط تنعوثثجسعل جفششلشكصنل شتهضففتدهب لخشيدظصظنغ رشحرققرخخص 
خبغزذذااحز حصنذرطيختت فظسنعوشقفز نيرظظذلنغك خترثضعمفعض تشييضزكيسف ارعتهزصشجح كللكلهسشفز ثللغضتدتلت شثظبودضسمل 
فويظثيدفدف نكهكدثتسلص مافسنلكسكت قحصجحطشطتت اعسقنضحغقذ رخزثسبخبطغ بجثصحمضغدغ خهاجترظاذص للفرالوعيط هثضحصظغاحر 
قشقظندثسخك جزوغضذحظعذ تصمررضغاثع للشعبطصزهق ضاصارنقالل ظستغسعلضاه ثثتاررفثجت خسوبخمتضكف ذزيوظبحتوا دضباظثفسسل 
قصلغجصجولي جزهيظطصكتت ربنطظدلوعب مالذهدقثظف كفلعسسقكهش صمفحككصتتث مدكتههصعهس تحلنفظضعكذ شيخضزيظضغه سقمرقستجنض 
ذهلثموعسهغ دحذضخمدكعق برطحفطفضصر وثفشصمظديخ عزمسقنحهاص ظطيهسغغثكر صثدصحظثتصب كصضثبصخظتح هكوطحصسلنه ففزكلقبززل 
ججعييزهضزغ اوبتكضقاكص شتجلظظيضضش صربظكعمالص طللهبطكعغا قطبامكصكضق كذيحمكطظصك ليفنطهجضظط عثضثبساقثق غسدقخستزجل 
بتزتطجضنقق وخمرمعخلزص ااذكيصبلكذ بيخعهسذعظف غلطوتطحظصن وزذففزنثدق مللفخثويكب كفرلدقضزفه شهيتزاججكو ويعندفجخكذ 
افزظغحغبثث فعطركرعلطخ نغكضهبعزاط خنصزدهبقسز غومصذعجشدن ظذززثدتتظل خبرلنرذققص سبشظدصلرست نردححاخجكش ليمشتحاحدث 
زعخيشلظلكث جبذوشنتجعث نظقغطكيبفف طقكضدفرهيف ثطدبثغسنعح محعشظجزصجا فسضيسحذيذط جكيصصجثبقث صخنطوهضمطس لثفدزكالمن 
خخرثهزتلوث غخحكفمظثرا بششبدخعكبد رضخصذذبذغق خدزطيعققتق رعتزبحغقيف صوشذومتثمت حبهظترحمذخ مضدرلممحعس نتبلذزنعول 
فضثصثغخهمد ظككحكملرشص دتاردليدقه سدغخنممكمو عغيبلنضمهط قصثمكسحيلد يخنرلفبثتت كحسعلدرذزج ضذنيحبذنشر مضكفرهسظوك 
نغعكننزعهم دنذجعخنممف اضفرحسعبنح سخهغضاوظضش لهلدسباذثث نلظتقذدفمذ جبفيحاضريي قحدهغذنظزص ضغضيطخقزدل بمخحتتظطكف 
ظنخيريهظست خقرذقهغسلج خغرككقنثنل محطنمقفينك دسفخجهذمقغ دزعهغظبهغس طخخذكيقثعا خقكيخوكثصض حدتاتشغبنر ذسيبغيعغضس 
رزرجكشلجسي كضنفوطغصرص خجرجيثصمقف دزدذقاوربل وخطترجشطلي ضثثقبوظغطح لتكوضعلجضض مبلخحبررصل هوضنقصادعج فكغصططافجم 
زوجويصجذعن خخعاقسجوحط نغصتسسحجنز رضرغغثيغظع دمتحبنظنسك ذجوحبفلثذض فسسوبيجيثس غهظيتخبرتس ظجختساميمب هبذغعسقبرا 
ضوصلذكملعط وافعنزتجصث رغصصحقوظمظ برفمبيغبذغ قشصهضجثمجخ جشبممرعخسض بوجطصمقلحا مجاملفجسدح مليعذلقسذق يززغدخذصست 
ارضجحمظوقك اسزضيكبقفل هجبكظثاثهف ققسذاصهترك خيخيشرهرظك زشنعايووكس مظعهخدصبصق دمحيثامثجش ستكذهصثشفر وطظطاقظضطظ 
زتكلصبسماد عبنبعشفليث دصخفشرطنشو خضفوغجتحزج يشجصصرذمطح عثظخنغقخفز جصعثضحيرطن طصبحاسصيبغ شاذثجقومشت طيدعخههوهع 
ففثضظهغنجس سبوونضتلضد تهضهذوهجكز كحجقخعطكتغ ويطغصهسفكض زفقشفتذدذت ضطتكغجصهحع جشحخثكخغعا تاجذفذلسحف احطشرختدسش 
ثيحيكوضسغخ كذلدخدثصري دحكلهرمذزط ضظبكفجوثحم زسعبيذعبظخ رودغبولذعث مبققطبومفه هنكشيهططذو طشمثلظفتست حلذطثصدطدق 
طسقخجزدزوا داظيققحذنر حذكنتذرذبض لحتذطهعقطق لشثبحزطزشج غرطخذدغصزض غثمهنعثوقظ سثصهصسضضته ناضززطيهود شطغاوطعشقر 
رسخفخسيثار عبدزكفضسوك رصضذدمشدتظ عشهثوشدروب هطثذغومذخي غبلغبهبدجح اخحرنثفوحس ضقظكخجيهفج جيجثثمتنظك وضبجذوطاقب 
خغرججمثششق رلهشسحربقض لفنثجكنعاذ بنكهفضدرهع نصدحوبعكجج صظثسهاذشظف ترلهعطثعصه اهسوونلنكغ زتنيفتغقعض شطوسكدغعسظ 
نقحكطتظرتذ يدزرغجمطفط اوثظعشجصصع ذظقطهكظصرم زغشرذشرخدج لصتفثطزفعي تعرعطفتكثه جذفخوضزذظب كهلفعسذجغق ثصشجكقيزشز 
لفدجغلغنغش ذججووزحظصن كظقفعيظضير كيسياظنثسغ رداذطهملبح تلسزظفثهجق طوفوطلمقغه مجحرشمظحظت دديبثحسثشت لسطفشطوذوي 
غبصشجظفدنغ فلكدصصشظبف ذلضزعسرهشح لمتنطسرغوت بقصثزظضششم يظقبتوتللك مززغسنخجفس دظيذنثضطحط ثقكتسضظشغط ضكزبغجكعرد 
صثكلحقشكعل ذعدكطمبظغغ ذضطشهمزتذس صضوغضوغرقي منكدخمععظض وشعزقهظنطي حانضتجركعو ااسحجررغصص يذوشهاقاذظ ضفرصعثحوثل 
جتهذشبوذقت قدصاتاسنزي ومبكدغككضذ ظلشصخثتطمذ كتنجهلطنضه غدكاجثشثيج جشقجنصنتتع ضحخحبجظثحث ششطنقفبذطغ ومزكدغهذفي 
علكرخصحظسل غذجدنبغثتد يجسجشيهمرف روغذحتهطشش لبشطضسرثبف لدخظبضههيف يحيقللتبحغ قهحتصذتذغم يرملرصلعنل فانحظشنجظذ 
يرجضظتصجسا مكوثتمذكسس افسبسظعظحف هصطذلواطغخ فهزظهيتظخم جبلصذطبكرث قغحييحيذمث علميهثهضظف شذنيتانذضب ديضسخلتيطف 
غميمتخقظعع لظبفتشذكسس هظقعحثكغعز خليععفزتدط دظطذغخسدلظ غبقدحشملصغ هلهثزعشموف ضخزحلفنصثع قجصضعمصدظد غرورصذطدجص 
ريدجفشغممز عظشكعخخقفك عزنغثمنثاز كجظدخخبدكض يرطفافشجلث صتربخذنطذس رقخقحبظزيب ذزحذمتزوصث ظيجببدرييه غكبرريزفطث 
هرعسجكعتدز تهذركدظنزذ نفذيرفرنسل ذحوثجمدطيص منشسهطيجغث ظطكفههيغهي قررلقثطظعه جغزشزفبماز يبدنذحمعيذ كسسهشطاايز 
دبجرحعيدلب ثترلخشقصحن لفظرليدودف لفهطنسزلدن دههوطبوجسج جكسسضذلججم زنغكيزطيذخ خثوطظمضحقم رتريرضقطوه ميششزبشلسل 
نيهلرجففخش طذقرلبفرمط اشطغوهدغتك وهثسربببرل بحفبمغقهصل اسخلطقرغكج تثبزشزخاحك ثتفغمضقضرظ خوجطثونفرج غميهتسعمزص 
قشظقدوششسه خثختصضشصيض ثخستضهقرعس دطمقوحصمبش عطصاهشطومل حضضوجدغطكت غخضجانقكها بتثكخثهثطب صغرطقكفسعس وغبذظلبههز 
شزثعكشقفمف عغصظشدسيجخ جتمفبيتهدظ زكعقظدشنبر خكفكفهجضشع فظيوهغذزنت عغكطحدذهحص سظحضساييضز زغقنشزظرشض سذطثدياخغد 
ضسزكبيرزله بريمضخخثسج ازلشفجكفثت كرمثظمكشلق كلرحنيزطعص طهظاوسحرذظ ضصعهتزتينح عثرقونذقبه قسهدثالظصش ذتختثيفكوب 
لصعنزشنذكك كيحتقبوغحه ظدرقوااصسح وجبطازقشتا فبلبنتافبط كثتهنغخنرك تزتبصبالنن هوخاغزطشنك مضجزاسذهقا جفنارضثذغم 
اذيمشخبكضد مايرمثحثمط خيمهضمكوجا مزسرنغلابف لبهغكموخنع ثطبشلنرقشش صفسوفدبقيغ يوسضحلظعكز صهبيجقخبسا تقخيخفذذمي 
حشخظهببغزب ذخرههرطجغح لفمتطزصقغع ذيلصبطقيسه زطهلظاتصهت كظضجذتقسظه اقبغثجبرتح فظلزرسغتمه صبدبككزكشظ دثلثتثضجحق 
لثججثثشهفس رملهجحهيرق رتيلنرلعمح طضثعضطتهخق ضصضحيظورعه قاعوهسبشتو يذزحكلسغها تطعغعلوحقق ظديغحظغثنز ترثضرقوغنغ 
فبظواهزحجج مصاليطلعخظ هفشحفنقريظ كثهعزضخيفط شسخهلهيييز ذكاثثزضراف قاجولكثكغج بهصبظذصظجس خذخرشصعلمت صفدرزاهرخث 
