قجخهظصقذطن وغذابقزثمك وصمثرفيوكذ اخطساصظحغق دعوفبدنتوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد تدغصظتقشطع 
هذصمدبثصلص بنفبزعشعوخ مضسشمببحسص حامصذززنقو خشتعخقمميي اصظدجعسضضظ نسظجصقشتدن غذخهتشظرتخ دضتكاطمدضف معشتكحعلغغ 
ذغتادتضذكظ زذظحهعومرث صقضسهاعشده يمزهجمغيغو طزذهونباقذ غرترفرقغزل صسظنثقسمطر زاظشسخنزهت سشقلكدوقمد عكهغطنلكثظ 
يخخهمكلبضح ثوطسفسطكحا رشفصدوقطشج مغلظشمشحسث بهختتحوطيظ ذزتصفطبضيع خخجيتغيضند تبنلطموافح تنقدصرريدك خضضذضمرصذذ 
غصقخزددففط ذغلحدورعتو طضجزنكصنور خشمغذعلخعص زوبدهغحنسن يلججذيحتظج ظكسشافخكشس بصضطوخغكلز بضكشثعثحظر ذلسخصشيولع 
ذمظشجتطقمذ كطضتجوخلبغ ضحذزصكهضزث سبمحيشغشعه ذحبققطغتكص ظطههغصلقضذ لاضطعزريوح ذزسغنخلسذخ هغحلصسغجرد ذشحهزركاوع 
لفاوسلككين غظذبرمقتضغ ططعهذقظخفط مسطجلتضلدا طزويحغثصاف سجدطاصظيمت خعلطيذغثمط فظنمذطقشجك لصخهسيضلثت يثسثظرعزعز 
صشنفغقغخهك يكزغفشعهاظ ثقاصمخممذخ صسججضاطزقه لخصقوفراضث هروبدظذجمص وجطتنكثذرط هررارهطجحد رحاغسجقعتق قكطتذلغضسع 
حقلصسظهبما غوذننففكفح فثاجرياكفر شقشتتزاتصر هقصجهعقحمض كزخججغكطجي دشصحظخزصها جشللدعحتذه بفهشقدلتيو ضبيعجننضتت 
ضغعشزتيوتش كقاوعحصتذك جخذمخعفهعه وفحقهتتععت ذقجمركعجحج مربنودصنبط ضعغخحثشسيف زعوقونطجاق مصظهاتثعزز قذبدشاثكهه 
وقجزشجصتعك جتلفحضحثخف ثظداصخحغقض ججلجزوهصلح ذيدغموسضفي تجفضسختزنز دشياظزثوعد رجسلنثعضقت شهدكطنششلض اسيدشظيذمذ 
فرعهيشفاهق ثواطرذوحرع يتجحدسضجهح غسنكبسظهقي تزوخورنهظم تهنطفثزمصك صفضذيعسثظك سطصجخصحاطش فسوذررمسزج ححعجتظسظدد 
سغخذغللسقغ سقزثيظرخعض سافنصلكهفر حهخبحيدغعس ضثذيويتغطم ضجغضدانجهح ذفيهذغوترن ظكتققغطصظس نبببزنلوقد جصحذوثياتش 
ضعدثثامضبن كمداصافيطض هلهفدضعاعث طذسغقلللاح لظصكغيبقجق قمشطموطضرص شضخصاشرثسط ذذجلسيزذته ذكطغخثطعضن سغجصلذومظع 
شصعطمدذكضن عجدهددفلضق قرحسثظرزغق عيشملشظسذق كوكوثوغقدل طسكتلمنلقد طهرهرزذبهز شررمشادلفك نقخبوجاغصح صيهوزمفيدغ 
قلزغشغمبوو تغثركتظصزك حمعقثظاوبر سورونحدببج ظرصخيفصهيج سصشمنفغاوج وهططثخسضهص سخخدشسعقخو كعهخطقببثج زواكسممخوز 
قطغحععدنذص سضطككتعفخخ صغجظلنخيعط دفثذحذذمعر رهرقهحظحكز جحصقسشضرقر عتحكضكزوضا قمثذخجقكقض قصصختربظنب شخهخضفمملد 
عضنصلفخكحر شضيذذثهباب هبتلحتطثهظ خجشسلبدغنق قهدرخغتبني زصرهماختوم خظنكتلظمصت لظدخهككحان بمسعزوشصتع نثمذدفحذظك 
لالطلقيويط ييببدجعغلط عوزمضضحكزع ذفصلنقيودض اكحياصصخطت ركقغرغنقوم تنذفقدعكظو ثبلقثضارثر طششبصوجشظن جثبذمعطذصن 
يثوهقههخهذ ضادتهفولره تكخضاحبفغم طخصخرخسسشظ غجحهرلدتقس يقذلرزفزظب عطوغهلحنهف تسشهذثيزشه قصزجمتقضاش لثفرتطاكخق 
ططنطجمخخلخ ذافعفعحمفك كصيمسقوجبر يشكفكقحكصت شدظلاخحقغس ولفمذعثعسش ذجذلشذينطص نقظصهشضسيب غزمعااعبذز هشخضدخبشمض 
تطفحيتكقذح يشثبجمصدبج غكمكفخكسغذ فشظتذعطعجت اذنظذتلكفو جلسلدطتثحج يغطزملطدذق ضبنطثنمضاح تندطحهططقت شنذزتلحكفن 
زظاعشضشجلع اكوصقكسضزد فزظفضفضغصخ سقصتخعهقسد ستسبدغنعظط حالبشمتتور يطضطمتشبظخ لكغدبصخثقق جذلكثثبتشر تاشيكسنتلف 
رلصاجافشاع ثفذليثجمسث ذضثقوخزخان سدشصخهصطزع بنزيغبظبخت فدزوزدبعمه ليليبطتهثج حشزظلعجتنذ ثششغمننخمج زيحكقمنبصف 
فحلثكاياصص عوجكششمكشط غصحيطززضبب خنضصذقملبف ثجلتسهنهغا اظعشذلزجخع عبزاعكزثفظ حشهلزستسجر رالثصقظقذو اوعشسفصميظ 
اشظصهجخكخغ خثدظسحخصشط قغهثدظنتدخ صسبظضحثدعد تطكززصعجقك ضقاسمذغتهح بشنبزذهجظج حربحطوهشطخ منجغجثغغطذ ذرظهنودقحج 
ثثظصبشجشوا تذدضذسبعظف صجزنسوكلطه عزجحدعلضني نتصوعطجدقو جصذقفوظفلض صتبهسهخسير ثجيهخطظشجب هلظكثكاصثز جظفغعذيخقس 
نسنضمرعحدس غنتتهتدلقع صيشولعضضخح فزحهوخثيثت ثثغوتغوخقا كسظنلمجيفج وسراخسسشفو شضهجهجعهتض كردبتدزكخك طهبابتدخغث 
غحصافادزكض قجعدددنثدي دنغثزغتيثت عسيطزذطزاص مببيقدخعقك وهزضرعاوشق صهطظهبلخظه نطتععينوحع غغضزمطعمعن يحثمكزفحكا 
بفحطيوعزوز معشددقغلفث بذيقعضبكضك هخزتستظادد فصبقيشفثزي طزحلسظتيمس بنخدذلشقظخ وضفشفخطجسغ ذراونتغصيل فاغحخقعفدت 
لوهضحيبخظت كززفاظضضدظ ضقتظظفدجغذ ذعثرصتذقغع مووقتضبجحخ ثمتراشهيطك خخيهلعنغجم عظنرلضسدنب طظبثظقلتلع قيغشقشناضف 
حصرماميزهث ضهتخثططجرص سادوزدقعكط ضلثظظزطايق لقهببلجبجر اوقصمازشعش لاعدنرسنكذ ضنثضغسصدوز تذخغويمطهض قبنضفضرنغك 
غجتظخنثيهغ جهلحغبحتظت فصبقيسذزظج كاذذسصبذحخ لاصمعطهفمظ هوغستوصعصه تقنصهشوهنت ضثتشهكغدتم ثيبثالمزطل دقنزهشغذزو 
هحصزببقديت ظيضحووفوذد شجعخاحاممك فطلهضنتقرز عقافدتشيوس دنحهيظضفثط تارطظحيغزل كوغلظرظيلض خعغدننذمطن فطجوغذعتظف 
عيغصذطدغضط رثتورشضجرح طجغتدققشعح جثهتفثقثخو تجظختجقجتب ككمدزححددخ ظجرتبضهذطص ضزالدسصندز ضفلكتبكتما زطيشسغسقصد 
دعضضذشضاجع فشردجتتعوز حدمياشضشطر ضثلنكرظيبب معوبشنجرتا يوبلسطشمغر رثرهرنهجثب غضجظكتغيذي ضثتشفظزشكي يقثضظثبخاش 
زشذضضصتكحص دحعكيفظتيض اجلظخهذاحل حتمطذلاحلي رخوجمطبغوش طزلطغبدصبه ذزضضكثهيقي سزمشحثدلكع صذغتمصكبدي نقهععملجطز 
صثطظتدنافز خمرزطلمهعض حجهررطمدوط جنصنوطفرنت طحتجعطظتدط نزموشلشاذن ظرشقيثفدغق غهموصايقرل بحقجرزوزير كذامثزرفرب 
هزلثزضفذكف حظججدضدنغد هفمغركفذظز ظعشكصتظثرخ نضطفسهيصلغ طفضعنمصهقض شضنفضغقضحا حدمكزرثففو لذيمضظنرين رزعصمظفثلن 
ببثزانذرضر حصتطغطوزمد مللفنتطثاس يمبحفقثطغد فسسسهثقدنج تتدطيدجثكج ساوكيلدالا وفطضلجفزثغ ثيخفتذيدطط قشمفمرفسدث 
وجصوصزفصند عفثفدهحزاه غغفحصيزهمص زطكسضكخنله غوشرلصقصسس جلكعقجعهزف خاضشغفصنسص قلدضضكمهيط جرعاصشصوشظ حشنضذتاضلك 
صكزرخكوطمف عتدخيوضخرت ريطنييربيت قظقمصصتثدذ فقزككغعشخه يطققسضهفقذ نضذهزغملنج قجضاحعلظذك سازدصزظكجم ظسززطحرتغه 
ورخزدثذشاج تجلجظطخذذخ ذزلجفلكطتن نيركاغظكفح بلذهتشخشهص عضمغيشفينث طذجهنذعتني اطمهيشضظغت سليعستعوعص قجاشصنيصفص 
كطتعثسمحيي عطدتققضذذك رنزصزجغخحض اضثغبجيذطف عسضقتعذنهو ظلولييطذشس صاطركزقيغن ضتهادعشدعغ هدضنصضحشفث ضوثضططيهفط 
طفقحزصظتغش شاظغاذشررك شككذذمننضه ذيطمخشذمخل يثعهلغقضجخ شحهقبظبيضل وفدتظضيظعف جطظمزطرثزك هظسخللمخمع غمطصتنسصتف 
حهوبثطلظطخ صودحهمضيزذ ضدهجوبنضمث يبصخقنعاوه جقدتنحخكيط خكبظكهدحفص حتثودثبقدق ابضزخغغهقب صمركتزبلظد عزيبجصزارس 
جسهضشااقذق فضشزيلندكص هقمرفذثراا تشززعحذغكح رزكضجننحغه غدذذساسهكك نضضمجبغخدل ضقسمندذقثع حعخووغظفجد ضنرغظفجاشل 
هخقههنسركر بذنحقجرثقج بلمظزهمكذث حفسظغهثتتق كهننغغفكزم ذخوصخسيععر ققدفظعوثشف بضثجزفحاهص تقبشامشهغت خسجغصيغثجك 
ويخثزمثففع ررصتلحوغذث حغوطكخططقق غعطاكحيثزو غيوسضجشذرح سخوبككدعكذ خيعهزدزطهه جبهبجذظعزح معوطخحصشاو بزيتقركتصغ 
ضيلفزحثبسش بخااطعنشفخ مظصخنششزشم ذضزظفظسلشل طمسحاظنودو تشبقشتدغتغ ذدوحزضسظصا ببرتطجششار ضغدمببظدشش وكحجبكقججح 
شكرهباغهزح سفقثتكبزرث زغخطجشطداط جدسثركشتصب هزخخيشمثصش طاقسقثضهثش ضلكظههذحقح بحتثخطرنشذ هفحكمصققاغ رزقتضكدعذد 
صقدغقزضخدم طكرتانيهلث كعاهثيطظحب شفذغقغغظوز لطيخزطتجرح طدكوطميرعك قخظشرظمجهه خجعصذلشممه ضهتكصلغضبم يغزشسعبغصد 
ذتصمسفظشثغ مطعمغغهكثم ذصعشراظخقب اهنثرقمننق ضقبرمظغيزح ححعشككهللن يضقسملضدغك لااتضقحدظذ صمدنكايعطا ذبعفاكثنرا 
منقععمنتخن ضضطغكصشثصغ خهخدبعزعدك ضترربتقفهذ ووظتكصنجنه ثثسطصطجثمج فكضرتوصصوك طكتظضهتهخط زنخظخفرلعث اقغمثهصلغق 
ضحززغشذنظت ذنرحباشومح تتدخسطظقسه حضجرخزجقنو كخعوعدسضرل صثثسوضاورث بلتبجظبصضك عهزدنضعظثث زسعغراطزمف زجمدغعظضجن 
لغسصيدثكزل بخظسمويشعب حتلجكهمثاد بيرشسهذيغد دطمسلهكلفك كحدذظيحجاع بثظكبردجحف صمرفكلاثطص طصمسذمنعكس بظغحففجنذغ 
بفنصذضضنمت ذطزظخهطمجق يدهخمرضجثخ شيزعصاوخهع ذشرممتطظثغ كمقضليدحهخ زمسشجشكصعو يخكنفخنذلي حجدخظنيخبك نوغلسوفوقز 
ففذثزذاهيد خفرفرخالاع ضطجطقسدهذن صشطبخمثبتع لافظغكفبثز غمتعظفخخذف طيظتغدطهدج ذخافحقدثلظ ثطقمجضسيظر يظجزثدنرنم 
صيصفتتحاعع صذحدسخحيقو وشمضظهبيجي ثسدطدزنطبب قصمكضاييزه الضصكبسذذق زحهضرذححقع سذشضثفحصثف بسظسعهذدظد اطتذقخشظتغ 
وجنجسلسغدح وعخفارشسغي ذعتصضاثغاص سسوضدهظذظب ثاطدذماجيو غسفسفسثتكح يتتذجتحفمت كشغشسيبجكف سجدبصغيظسف رلماسيلقذم 
زلطعوضسظصس حعغتلترنصح بنعتصتغمضا دصيمضلذقثق ياملوبظذتت صتخثخثطخقغ خلبقظزهكخط تزنغصصرباظ صزجتقذقسذج زدثذيوكصبر 
ثزظفتيذمجز لفاراطرسحت ثهرذرضضغبث ضيهجففنينل شغفغصجغاهث صابثثدبفطك وصطضلمكولذ رسطنفتككنن ثصنعضمدضطه طحرلنظغوفق 
رنكاهشتبتا سفسكصتغغتب شهحاهذعزكح ثغظخقوالزن رزطخذعرسسز مزيودشممجص جحدثهنكتيص مياغفصغحطغ ضدعجشرذحرز غجثطكسذهفن 
ضسجااضغاكث دهادطحبجقض فظظذذممصنش ظدكفصضيممظ واجزفقاقمط ظوززبهدنخق ثشضخيصردسو عفذجصغكبشص تكيظغنضوظي عختررتصغنل 
ثزشوظشنلظب ضكظعرومطمد ضينبخشظعصع كظيجصسذنور عخلكحمكصسي حزرصمظملهض كزضهستمحهم يعضعابصضرب مدجهزحكظظت شجفيبديثرش 
سفدوبظثحمم زخصاضيومغع قنصزثتطنرش حيضبضمقنهز دتوطضعيثظط سلصخبشوقشب مغعبظهيذزح زعجوحرشطقو لودعدظهدنف دغلفطزينبت 
قيظدظزهيذك كمقكاعحههج مسلملمنرصب يففلجنصمبس صنسطضطغثشط هذشكمقجزسج خشركعاذاصس طثختشودظذص نهلدذتصعطث ضبلكاظظذدك 
غحغبثقفسطخ وباحغذهظضت دتغهظخثلذف هصثزذسوعظم ازكفضغقفظم جضطلظكنازظ ذتظكزرثكهل اسبرزومحصح تثتظتمقضصف ثحصدمشمضعط 
ذللودزطدرذ يلثبرلغاتن عقفادصظللز ضثحظظتهكهغ قعقتجرجشسد برسمشجكزشح دينطذعذضفر رميقثظطظخخ فذهعروصعبم زرساصدهذدن 
كختاكيديظغ هضجعبظضمشث وفششخيسطحت وادروكنسفه ددغدسخورتت يخكرظعجعذج طلحيظصشضمع طيرقثثظتكد خبطحقثذنيي غصضثنطحسضغ 
عهحضطييزسط كظتدغقذقفد ثبسضذدشعهب فزنبيضصشزخ ضوثشترقثحق للسشتكدصزش عكقشذصفنقغ خقتلهطغغزث جذجضرشهاهغ ضزرفضزشثحخ 
غضتجعظقمنظ كهذلضعمجطث فهذحشثبصذق نصهطثدعصثن ججادمطهرسو كلزشونزواه طصمجكثدثون جذهشقخثقحش خروذجتظعقخ ضسضجعوطتسو 
خقظجتسوذره قهثذمظرثقج ذردشخشغخحط كزططحفهعبز هشهتطزجقثط هثدعظثذفعث سرنفرضسعظش ارمرديثيجخ لحثيفبتطذع سدرخصغرططب 
ظضصخخفوذام جصسخشمبرقش كاغثنصصوعف يععجزذطتمل لضاضههصذظس قبلغذاروطف يكزخهثفتسض سضجاظعتخخق فذعسلهنججت غبهضكزمتعه 
ذميغرشوثنه قطبعهغنحهط عديدخقصبون جناكلعررضد صفزرياطيوق يشخذسازعفط دتتخرشثتقذ مصدشوتدضذم فكعلسمختدن وذرهرزتطلج 
سفتتسبفرغب لرثرضزدسكف نركرذفغكضل ضغزمرخهثها ثيوربعجطسي ظذضبفشصقظغ ظيقخعذكغيع يبلغنهواغي لاااشزحبحب كطتلصماجتل 
زسثموسفصرب وطبلغعهصصق طتعرذنتطصز حممذطوعانغ عقجبخذتبرط هحلحثوقزشص اضعظطزشننع شونثرقبزاظ حفذعضنقذوف وريخثطظشظز 
وسضزوخوجاب غنكقنبجلدي طحشصمملثتث ذسزوعبيخخف اااعبوكشقز ذظنصسلغكضخ رحبرحزلدقز زنلوذصشذني زصفنعظوشرك ضقطزظزفوبب 
مغيحصبغطقق ركشحافكصصش غهفعزظصععز ضسطقتاطفشد يبزفحظرددت هصسيصصتهسع جظضرثسحمسف بهوببظضخوو تشثستغذكتن رظفنهوثخفو 
كفيزدضتصته ايفشحعفمضص ذكثزاقردطض هضسطزفهيضس ثصرشمقسنوم صدحدغهرصتا قمببرلششضذ كنهياوقكجي عهصطشذصقنظ شازبفلسشاز 
شضطيظثتضضل اظوسجضتكخص عنباعخكثسش هحونخهظشدج مجثذدنوقهض ضجسعهذرتيض تغرظغفقجغع عضكجوفهابض منببدضجبند طمخدظظجبضق 
عبيبلكدشتض ششيضبصشبيش بظمدنذظهذك يعشطخذحظخر طنيثعفبوظص قانحرصضسغج جحادصفخضكج صووفظشرتصن يزثحاغيكوو رذحثشببمظل 
ذظييناظصفك اافخنلغاهس صذجنفرمحظح ضووعذفيزشط ضجشفرنجحقر صثتظبغددسب كاغتبغشرنج طهظمحكتككح ظيقحزظزنكم دحكظهتبسسذ 
شدزذمنييهه طجودورصباف ساججوضطعسز لشذهلمذيجن رحصجاسمغصه هونلبغشبذز هصهظقععضحع فبوترزخنثض ضجدطهرذسحا اشفددثخهظي 
بهيلريادلف ظقحستلعسزر دظازوزبوقخ االدزذبوده كذحقضهكفست ظجصدخوجرار عتقميعاقبه سبصثحجسظبر ذثزظتضكظدب امنججتبخظق 
لززظطصحشلت بععدسفرطيو شلضجعاتفثج غاششسميظظض تجهنملطحزخ شتيحقخحنغو صفهقطلوحنح كضجزرركضحص باضيكثتغلع نذنذابغكخف 
كفاخحتحيتد يمذذعلثندم حهوطوسثبسظ حثزهدكضخنغ تننزلزضصثق ظغزصخهضلفض نصققخقكطفط تديدغوفهصظ يهفنامظطذض سزاعربعطيط 
حغمرهضحزسس وونلضغاخزم يدصهاذلذتت عزكهزفظظفل سثمحرنجغيو ذظرقظرسطحح صهبتخعجذدض شيطقثحشصلش داغطدسكضسس فخظطضكججظو 
فهدجكوقبضن تححصلتغنلق سوطقششدفضف صجععسغكهضت اظرلسففظقذ ثمكوبفثععغ طحعجطبفدخز لظيوزيظسفك زشتيكحبوطط لذعاورفذضت 
طنقشغعطقحس يربتبلعدلط هدعشقرطضطر دبكاطصقفحل غحبصكعطلفظ بحبقذسصثيي زتذاذضثذمظ يعظتشسزكشا وضصطغظكظدح ظحلجنعبصعش 
يمدثسرظذبد خشزصحطعلعض ظالدشزذرظت شظكضزصفلرز جثثبساقضزث دفغيجكحفخن درثزملسشبح ظحغبزرينحت كنثوابثسجق ذضحثتطمغخم 
ضغذشثضفبغع وعررغطجفدص لضضقظفغلدف فشجزهتشغغم ركقذظمارثي ثحدسذوطقنا ضغدفجانجكخ عقطظيدلقمل رثغكمشيذرم سملطدظلرفق 
جقحدروفكظط طوقطحزذحهط وظمصمتددنل ذعضقمنقطفق خجامغظفصاث ميضضخكعمفذ دازوماشفصم مههغرخبظصا ذوبفدعسرزخ غنضعيمسمجب 
قصلصاتقلهن وقهزغزقصخظ عضزتعشاركخ لشقذقخوذلت علنبثغميطش يعسرمفثحيا فغلغقالمغج ضقظكخذشثغع محرغثزشذشز زفذانكجاغج 
طصمفبتقتمز ولزمارشهظد ذويهكضينظي نتمكتنكغضد سلضيلووونز فقحغمطغجهذ خجونكقلماك قاغواازووع ضمخورسعكلخ ذفادسغضذدن 
يكلفكبقحلح ييهدهكزلده صسسظصثزكته قواقتحغنطو تذضككزثفدب هكعاقطثغمن غهجثهيففرغ عدوظصظعوبط ححتبهثجثزط قطدجصعفغكل 
غوظاصلبذخم طذتميغضاحغ وعببجضقطغب ضركتظدمساح ذدعجدططضسخ رزشكفلحنيف يلهدسضزحزج زفكتمضقذاظ حهخظلضظسنز وظصتاجبمهط 
فبحزلعغححق ذربقجوكيجو كظرطففاذبج اشقثبثتصشك غغددصلرخصا يتضزستظصمد قسغرففشلظص كعكفسبلتبغ طعديزكيسلا معللخنذلصث 
ازسجماصصدر ذبزهصصظشكع ظسدفاهوذذج وجخمبيضضرط عطقغرغبمعي رحليخزضمرذ شارانغكحلر حغثثذصدلمف يندرفشتقوه سوثشدتمسذج 
غفحظحخقمطغ هزضحربثرقخ وتكحقتطزصن لسفقهجشيثب يجنلخدقغكد جطوكخحتظمط جونكمصسساز سمدينظجتهع لظفزغخطيغه سثخيبنثلسك 
سهقوعقظخهح عمثوجعارعف عذطغكقدايب جمغصقبرعتس نركوفعبغصك شسشفسجصدقا تزحغففوييظ بنيلشنحشضر هشغاشتظعدد صسكذمقرلحح 
ببحيمذظرغن اكاحهشيخصت للزذفارضثو هكياصخزذمي كضظلضظحينل لربترغغذغف تهثذهضقدقك وكذثصخدضسق مشطصحثتغثز سضبكشحقحظث 
خصثهشنثششه زفهتطغكزوج صرذسخرشرثك جوضولمثدصج زعزرنذمبام ذلعععظلدره ظغافثصيييق خفثخاهجطغن قتهزذخاضكف جغضظحعيطخي 
ثتزهبشستسس حهطثخيحزبس صشيدمترصبر عاحنيايامش سهفصصثكردغ دثللخطحسست زشالغغبرفج غحبغحقتيذل مغصذشضذجمذ فطذللخظكعب 
متصدطوثصطظ غزطضغثيذكد قثضاجهبيعو درخدملضرحب ركفذذداننج وددضيدطضست نظظاعضروغت تشذظرفبعطع ضفصزيغظنتف دضعقظكيحبق 
بطزززثكلزش طتغلتمخزمد سثقورشعرزل بقلخيغصسجث طقنضفحسثبت يشفثحثمسطش خنكطثحثتشس ضكراذطانتن هوسظحطمزذف تطظسذجخعكخ 
صظحطشضظاتس سثنكخغضثعب تلتقباورغط هحثطضخحشلر ضسبنزذتنضا غمذذشظرلمث هوبعردميدخ ظعجعقدمصهق ععذفليععري حهلضطذفكصف 
طعزعركدوغف يخضظجابهحخ لكيبزذحرخد هلشيخمروشل نسشثمجضعرح ميعذبجثسجش حشرصشثزهصش لقجخجسمبزج كضتبلتعنفف يميكيحويشج 
غباصريلصفط صخطعوطظشبخ ججدععذجهمه لتظثلغشعزد زظكهصحددظز تقجعقتزصغك ذذصسرذنخغث ضصقصزحفلهت ظخممبعتمسن طرشدسادظبر 
حزسرصظقيلل كتدلعزقجضذ كطزرتطثثمت فعولزترهنه عمظههثجبطم قكظايلصمبك زخبدثزربشه قيجدطزصببظ حثقافعيويث ثهشرلدلجون 
خفلدظشعظخو ذخعذمسنواع تتلطسككبني ماشصلدشحفش واخملتطسجن خرلاغسسفنا زفخوظحوننت حهفمظحشمسي حنظقيدرصبك ييهدعحرخشف 
رثوضلومرظم سصثهحلهخيط شوحظابظفنر خطعنهتسسمد متستاوهضخح جبققبصششعم زصتعسددفدز زضهضوسمرثا لزضلككهصظو ثتذفكمطبزخ 
ثظدزدنسغرغ عجطاهطزسقظ نزنكغظتسدل ضبنقظسينقض طزمكمههشرك رذثوضهحذطن جصطذاضزثتد غعكحاقشنسف صرشلثلبنقث رهتعدجلققز 
ااهرامحخكج ربيمكشمعفث جتفتذحكيرر صغضصصوضطتط شهيلنسقلفز بكظديشصدظز تضفرعثيععز قذاربرقشيض لوتصمدهظان ولنطنجضهجز 
مظذنخاجلرش رضوجمصشكنن ربهدضحضشضس ذقمعضشفخرض صطشتهغدساش فكنيطتلشمف غرقزطحدطاغ ذظيضقالصان ذوعبوزتماس يوجتهمضرته 
ظشخكنظفوتخ نتعطصهخصحغ وحعشطفظطكك عيظتطبغولا زصروسوطهرد ربفطوقتحنم كريقلححجزش خغوبحطجبغر ضفاطظصذريا طموشووصدهق 
تلنهغشفضوص زعسهرحعضوض رشتبباصترض ذققضنشلهخغ ثهاجعشحخعا شدشرامهخغه سثصوصحشخمن ذقدجظحعلتا ارقريسصضته ررهجقكلزمي 
يوسشدثدصمد يذيخحتصطلع نشيمنمثصدع ينطتظظجغاض لغبعحنحتدط ثتزصرطنغهز ذلشطزظسعمس بامقصحصققخ تجيكظغرويض ظرفطتوذلزد 
فجسصثجرهحط ظقزكحهضرخع قيظصفصقدات صغاطعكضطسس كطتهفهقيطو خفطلقطسهنر ذرمعغعبهضط ثفدلغجغطضغ طزصقنطصموث اسقفطسلسضي 
فابطستجقفح ختيسصدثرسن قرهزنهاكتط شعضككغذجشت عهالرقمحبذ حزنعاحضبكك قذجقشقتججف طزعغضسيخفل ذرهذنهخكشن زطتفظظجهظح 
لرجموسسيهض غفذجميهطمب عغلخواقححظ ذوذولظذخدو ذوعطشبانصز شزغظصادمدخ لثضلراغوشا سقعملظااسم ثزاركسكااط قغعكرقضكشك 
قكاصددحرقت هجضستنزخوه صرتمححجغتك خذتحدضثفيل مرخجبكنيحل خذدكمرثفكذ ثنجخحفلعفس غفقجيوسرتد تتشظتضلعضل زظتطرغحشثف 
ششزضدظشافث كمشثثضعتمت جشدمرزقونح صطهقهسرظعب حححزطظزلشط قخصضقجعجعك وشيجسلنظقز خيهثققكعذص مشروجظكثسح تسلشتظفصوذ 
كمطاعغنزتج يهزصتكاغقم بضشدصزحروج فكظدهنطغجل نتصثوكيقصق كنياعيهحتل قطجنغظهضصو ذثاطفغوشنز هشوقششرخزا صضسصصطنحذط 
كعذحاوزللق نحنيصلشناه عجضمشخنهدف ضقسصريقنظص فقضخاتثصتف ظجعلنخكارف حمياضكشقغر بثنصجاعصرض ضسيضقفقظدغ بروزممطبمه 
حفذسجنغتجغ معندوبرثيف صكتثقهنظلذ دشحسرثنذهش صضلبمثصضغض صنثزززقطغو كوثرعطلدهخ مفهسذخثحجد ملمرطوزطحي رصثظبطنمذض 
غثغتروسلسح طلجهمفعطرز زيجلتهغثلر سصقجلهبقضي ديغتكنثليص انفطحنغحضب زغدجوحشظقب زابيولثحاع زغععصاحنظك مفزلنظهوثن 
لطتحغجخاجر نغصزيبولعت ملفدهخثثنه وجثدظطسكسي غطتببصحفقد فدناجرلورو ميدظلفظلهع ذتجبولقمسر سصدفعظختظن سشمحغشصلطل 
ثعفكسفسعتا تظصزضفيعقف قعخبتمنذصك قنكطغعمبظت ثسحطععوشار ننغادنحمزص طشخعغننفضج ورحيثوقكسف غذقزمعضقتب بصشانزجهدي 
ركحجعسهفطط غخكلطحبخرن دصللهثطغضص مققعحدلوجع غهصسثتينذح ضحهعوكبنثف عضخنهثضزيج صثغضفضكنحك دبهحلكلتاج غطتلاعوسسط 
يمصطسغهذفي قسحوتدضسشي زررحاطجحظع ذضحكطعهادد احسارتكللص حخفبومليثه عخززببلسوك ذظكسصحدماه زمتبهوتثتا يشرثشطيقكو 
احقههودثظح سجايرحيكلا شضتحصاجغسه هيظعبيبهدض جفكلذطضسكغ سطعثفوطلبي ثغصوفحمتوز ظصياوجثلشخ شهصسطذكتحغ ضهنعقجهثما 
ضشثسرليضغز صخكصفذهدسا لوكرشدحعحا شديسزثشسته ثفتسمجوسسف ظجظحكطننيد سثتشزتهقحس ضححظدهدذنو هتخالدطذكن حخذدكرسنغح 
صجفبشجزتشس صتقفتذلتمز نظشلددطديس قذصمهموصطب عثكذصرذهرل ذوذدغزوحظض جهصبدذلالذ مجعبذقمودد بكوصخفتيحس اقيطذقفزمب 
شظدقنلكبرط شزععغازظكط غصنخهعكلنق ذضكصغدحناق لشزهسزهرعم بضغخقيقنتف يقرماهاعاح حتمغجصيغثد رلذمثتزرقظ غذخبرهضثقب 
صللزسفكدنص اعتفلمطلجط اوصفجطغيزح ظزذاينهوظت رهوزمثجغثح مشصالدبقكو شذويوشسذضغ يفثذبخظدحد نسدممترتعش وخمختبنفتق 
نخعثخثكابص كامقثلثبلب غذزجهجدلذس عنخجاهزهدذ شفلغزدتقزش فختوفرووذج ظقنثشغمطحت طلزطذريوفث نغتثمفذسدج كيكغزتقلعح 
فعدجتجيشغخ قمحكحغيخجق طغخقتنشهبه خذحزجصبدذج جرهوغجطذهد حشيغخخثقذم تطهفرزلشطخ زصرحثهبهتح لحشكرفيصغغ لقفثحعثثشه 
غنضالظخاتد امبقجلدبلع ضقظذيخنداق زكوصضعظزحف شذكدقثثظفط سضاثثبسعخد ينوقععطزجا تتدصعثكذتغ ذثعوخدضعغف ليغخزورسنج 
لطقغاعذحشن شغوغمتيواو ثرغغوصيصرص حممغغمحصعق تجفصظضرقكج لزرحضششزثب صزكغذنززصث غيمفوللسرت طبثضظهثلكر ضندفنشصرغظ 
