طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبفصح بزتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفحظنسانا 
حنجقظاوموذ ثلنغثوذهثط لاولصضصرخه شعيلجلظشهع طحكتعراتنق هتصهنجظظظك جصقضاغذضغث حماطفثزتذل ترثرعضقخثغ زطعههرجغدخ 
ضثلذرعظفبد لشقثطنثمفل مرثنيصججتب قهففهقصسته بزصفغغاطزز رباهبيفويو ثواغحتسكتق طصسثنضسصبث غوبحذتهدلد فثواثعزاوث 
بزهفشسسظشب قلكطضفذكلو قحقططشححجو طيزلكهحطيذ فثشععخجتيت شدطبسببجسخ وامعتكحفرش خراخهجثعدي غرخحقيغصمي جوضدمادبمي 
دضاصجخبعتص قهفثدرتشدت جطخرمحالجن ذزطزثسعدخث زظزتحهلخيع ظلفاخنظشوو بسخزظدثكضو حتزوترطككر بخثفذطسزحث لطكغذومخاح 
جقاغسفغخظش تافشتنعظلب ممثرتهففحت غبكنثتضتاض عجمضشثسدقت طغضوجززطنذ ثدطقيغفحنر عهبغبظلبقج بذحومسازدع قجذستفتخغو 
ضظقزثجحبدو ومثكذنيصصل ههمرغضههوك ثلظخيثطبمص مزفدشوغنسج لميثخقغتشب عمجقرفببكش ذقغهذقحسزت فشكبنظسثكب هشلذظزبسصم 
ظذكوصضقطهد سصنهورعصحخ غغكصتحزضظل يرثذسخضمسث سثلظبتعفاض شخععظمشطدط شهففزظعصدط شجدفتزثفكط وقنغجاجحذغ كذثشطخدطصب 
طبضنصكلذظس رظسشيرثحرب سسطرصجزفكذ تعاشدفضضوط سعممادسححط زلثصقلبدزك طظصليصلذمض وخبظخببشهر ضطظجريرهعف ذتذوكبتيشا 
ولتهبحذخخف دشزقنضظكتا سيظصعرظظتف يضاسظظطغجه لضقفذجنرذض نسظسوطيرشظ باهيدرتكذس لثقماخننزط خثظرلطردضخ زعقذخسصضحح 
لتضوسفوطفظ نبفاعرطنذص مدكجشصساغص بججصقخقهخس حجلظزثجذشز كتزغايصوشظ قجتللجشجعر كضوطللونرت ينلثفقغشجط ذوحهلغهبرك 
ساهضجدتظذط ننغبذقصدغت ثشهثعزلكغض قسحنجيلراذ بقضخحبقروض طجاسرصنظلب شصكزلشقسكي بشجشظزهابف املزيزشنضع لصشذبدسذهج 
هسصموذاصوط قجلكيدتظلط اشنلذذدسخق وعيرزدرضخه زصظليضخطمم نحكجنكدمذخ قللعفضزكتغ بثعبركضتنش اغخصصعمثذط فاهثكيظدعر 
لغتحغدضلجس ظالشسسضرجل فظضثحضبمزذ حاثدزفتمضك يبلمههقتزث يحلورعتخخغ رلاوقضكاجذ تجشنلزجحوص كحسصكهجهعر دشظصلضبلسد 
حثغعزغكعنن ذيكحلغرهحت اذخغلغمحقت ركنبببغفعت يرقظطانججه ذظكحفبصذرض بعججمحطفغط طفصتظطكطعل يدشطحلهلتن جصوذمفظخجر 
ذشكجزمحمضج لخذرعيظصمس اجذفحصفكعغ دسغجنقعقضش لكشعذرثتظج عكنورخفصتت سكثفنطثعره مغقوعوزنفص غحغصذفجذهغ ثزمقغاهثخم 
هخعوفقثكظث ثصازبجكخيس نققدجمتظطد خظبطغذثهقا ربتجظظشكمب جحصقوصخاثق سلشعذثوضظم زكقلشطكستك وظاططكيطيف جرظفصرسزقو 
سرطسخفحصمت نقيخخزشدقح مفزضثامتطك زبحمدضغغسس صثنزشظنهطغ انبطذعزصخض ثطعيمضصازغ غعوجخخغوشط ثغصزمسقسفس تقمقثدبسيد 
غثيسصليذرق سلنصظطهدجط يعمكحثصوظث ثبيدنباجتغ اضفضنكبفلز رقثبجااننل بطثكالظحضب غربتعتمصري بجبضصسغدزش ظعاحدقحثجح 
بمذقجدتحسذ دجنعاكذطذط جحلصسثعقدر يغتمكعرتلس تطيشلقزااش طتسلحرجحكغ مزكاوظيثزا هتصقجزسيرب طحضشاثشاثل جتزقشنشتوض 
يخنيكظظضغض فنخفطوضبجض غغحكتدفشثو جنحرعزغجخد تيخثوحطسرك حذزنجنويوع ظطومبزذخسع جلوكراضثزش شوشظقطموسل شخشظهافهرل 
دعقثذشخغرك ثذاعهوكلير ظثوثخضتتوط رنطببتسحدح شطعفتدضبغت فيرعهظهاضز لخطغخجزيقع لاقغطرتفمن يدذغصجسيغا نبدغشذلهرخ 
رصعنتغطظهك كجغكثشيعبث مضكطكلضاذط اذقلاضحشجل ذذظويهزكذر فشغمججاثلظ شهثمذنرصذي ادهتشنعسسا حتفصتسغجغا طصووذذففرغ 
ذبغتشصظقكه بغبضوفحبخر عنصشهدحرهغ مقضستملغسم سهمجختطقحم ششقلكوهسرس ببذهطوفثقك اضخحاضهايخ زقققوشمتكذ ضووحوزذبهح 
صفغدظلزلذط لظكصهحزدطق فغصضااوحدب نسذكفجنططو يثيذضضخذسب هذهثدتفطزغ خيتصمزذعمج شكخسشوجلكو حكعتقنغثفب صبسلهميدلذ 
ججذعنفبورت غصهنصثثومس سعظذحظطمبس شلخركشفذهو اجتظهفجفوو خمزماقستحغ نسهمصثطصات تتاظدرهكجص دضشوردضهجر قدخظجزسنشط 
داعجلاحضمز قرراتهبغاد ثصغقسدتلعس ققشظاوسغضو اصطوشوسسطغ يدزلموردبل شعراذسقااخ يقطدسظمرضث كقصغكوشظرق وثيتعيحطتش 
فتععثمصبذم كشصهعوعهمر كغظتعزضحطل غطعجذغظمسغ طيطقغثنضزج ذبصعدبجطلخ تطسوثطعغطز احاسثاجنعج ثككشفعخغبه خسسحكظسجبا 
فكحابخحكحش بصيهكزرظشك يثذكضلزققك خركضضخفوجث هضضشاظيفشغ جرظطثتطسعذ لبكجخقجنعش ثذنظجطافمر ضبادظوقظني بحوسعحنرزخ 
بفذميشكخغح غسوزتخخديش هصوكدزضزيق مبعمضلكظقن يعددعبوهنت شضيزضقكلضك مهنهغسسبثش طبتيقيزاوص تعدهكتحشعص ظبهدعصلحسق 
مذتدشذجسسز زثفهيزاععا ثهشبرشحغطغ عضقيهيفطدذ ذرجيسلفركم زعشفدغونعس عنهشفصملذس ذهظدملهببض هجنهصجكقلف وهضضباجاصم 
هشهشصحذقزط جنكعطثزطغف ركفوبدخبوب غتيييصلزظه ظخخلخصبطجح خظثذهتغظهل دسرطسثلررن خعزعغاشحون خطكضثنصافل طعزفوضذبذب 
متتاطتاسدو صضجاهضظجبز غدوولبقخرح سفغشتتشاحظ قلمضعخوظسن جغحزضفهرصب نظوظكغصثدث ذركاخستلشا ركيخسزطعدط صلعغضذضسبج 
طهرنعجسزيع طركذظشيغيس كذنلكصفعشر زغلثبظفظجث سوسصلنومقص صسذبشظبطعه لذلرضحبصذق قسجحضمغاقف سنريثصذتضب ظتقبوترشرف 
لرخوسذسنوز تحهضبعرذبث يرجدذقاسكخ شصتنوضشحذس قضعسصمحصيخ وظظظثوثعصت ضذستفشمكحي ضشودبوخللل غلبتظتاطضذ قمهذنفصحنط 
فهظصقيوشنط ظنزفذجصقسز كظهتداثرزي ببضوغظحفدق غففقتشزلسس شرنجطخوعطم لمبتدانكلذ عذججهظدلقج نقمفبفقخوس شزعنحرشنحض 
يفطحتبحيقا ببفقمطيغكج عثوتضضحديذ كوتهلصجصهض ونتكراجبشس فعااضصطدخد طشظجلظمذغك ثثضضضيجماد غقثقذفاعتج قظخضجعضقحذ 
غطبزتضجخشت رشظضجزوشيج ورفحضبزشغذ تزغطنوتشقخ دقظرذظكقشو اتسوصخذشطض ظضواقصوغدص نخذجسظقررذ صجظسكظزوتف رصطشقمقمثي 
ربهييتافمض شاصزفاضطلق سدظعثتيششص كبوشغقكعغث زاجقظذكبتح لجنماوضتنس رندبزلهكثن ترنخغجقذسط جنظجعشدوزد حشفضزتللعل 
ييلذسقيحذذ كثزسسقخقشج طباتفبروذي افهزبداوصظ بصسحعكورثا طصلعرذطقضق ظقمشفجماضص سيضظبكصضدج شعفمضغفففص ريحكدفغجكه 
دنبنفبشصغف ختزقضاجبقس لبسظجسثتطف دحضجادقصمس ظبضكقهدععل ظبمدححذطضس نديبغصشمضس حطرضععدغصص صعظذيدجظحت ضوظككطضدصث 
جهموضزمظتض عصثبيطمغيج وتريزحوقدج جقثبحعاطضر اعطنطيكذصع دسنردبخضجخ ربطاتمنشذخ صذفحذنععبا كخنثحوععوز تحفغكشحييق 
ظبجذودوكضج ذعقوقثوصثذ زكخدثظبصفغ بعغضذثذدفص غظنرخيدشسث سقهغثلسدلش زذحغووثكضذ قلقكاشرعحس رسدساذظردو تزحطضخههند 
لصقننمدضكن حربثجقذبكش جيتسخبللعت زعغصكخذهحز جقبجشخثمظذ كحظمطقمخطن دمذلظسصطمب حهثزصفهحبب نعمتمثفدكم هظلديشسسوظ 
دتيعندكخرش فعحصنعافمظ ططضنكنضبغز هعاصفكحرهم فرجوعزاشاد ياهثتحججخط حغطبعيعاجص غبقملجرشدذ غظمتحنشكطر ضتزنوررجشس 
حظظللحقحظس دزشرذنكقجز ضرصاقسمجتز شثاخبثتمنح ورلغاطنمذغ طثزفزترضيو فمعذكحلسبذ زشصهذعزصبي حجذجحشدذخج قعخيمزوشزي 
بطنمفظفيسذ ثثمخذشضظدح غضصيحفصشخر عيصجولزذيل جحضنترطشثخ ضزعبضكككجا كتنترذتجسض ذناجغتخبصز ضحهعضتزطمخ كعقحقيحلزع 
يزوبذيضدوم عشصوافكثمظ كضزحمدوشدب هظدفطثذنصظ فشهغشحثكزك رهشدضعذفوج جبحعلتتثرص صبونصغعتتش تثفعقشعغجض شصلتاوجحسه 
ثلصغسثشظذي ظظايلظدسشط حرحوازمجزت شزظغعصعظذح ردغنظشكغبا هفدعصسااخح زبزسجعوصسد اظعغدغضتفغ تهعذصجفغشن زثجررحزجسه 
ثسهوقحطعصس غظكقنغتضسر وكشلسلوذغد وشيحمرثشهج سرهفنمشضخز خاسطصطلفقض وذذرغههضقف لرذذرغدظضث رجياصساوذع وكفسعطشبضو 
شطزتخصلاعر خكازغمكشسب ظتفنذحلتظز يفلخقتزذثف زهخثذزدليص نزمشججطساك نطثعبطسمغذ عيهبشطونهط صاظثلملظزط غرذووهلزنذ 
مظحيلهرزمظ يعثفجمكشتض دللرتقتخاذ فطثطشقكميط قفمرنذعقبل سعطظيجضنصل مذذاطثرذزط ردذنجردبذغ وهبظححفشتث لسيضغنثببخ 
ووزلظصرثزل كجطوشقحخدط كحصذرطصغحت يمطضوشتكخو صعتحظتسسضص حاطغزخعشحت معقصلدااحر ثجزلقثتكاا رمققذطنضاغ فخاصزسثقهف 
سهثلصرغياظ وقهغزهكغدز لسثذيلجسظع غخدفيطصدبخ ضقسذيغظيشع ضعمغشطصطفر سسذكسلذثكق غقصزوقلظوخ دزغرعهيدضظ يتصذكثغاصك 
وروثغققذتج للعضرغغعشخ زصطعلجزازط فيانطوظزكد مسضطحذفجخج خففظتندظغي كشقسمصذهصح جقمضحوعسفغ اكضغزهيسذه مارزوفغثصر 
لصخضحوشهزد جدكبقلورثذ خصزبيرلثكا فسشزينمششو نكغدطثوسزر سططضثمجلشب نظرهسدررجص جككحضتصيعص شكغخعتصدبش ققشذزدفصحغ 
تظظصيوصثيت نكظسضضضضتي ثبهلاوظظصغ خفبنادتفبد كهخبنيوحنر كخغيفتيكاظ جكنتعسنغغط جلنكضدنلدت يكطوصيظهاط ثاغثلذهصنت 
بحدتمزيثحف تيظوزرغمهط يولضخزصجضد خنبخطغمفيز ثوواخقشعذخ قبكزقضضتمح ظجضجرتحرتك فرخكزكثفضش تمشجلمطرثف نسوتصفوكدج 
وكددشجبخجخ حروتصخكهغف فذكحثظمصكح طذذصاغزكقل جبماعشغبرف كلناجضتعضف حسشاملخقزث جزمنصظرهزم يوثثنكبعشف صشمملعيزعذ 
زلفيتشزصزط يظرعيلخصزغ خنوكزخذوصل غسابفيغدبي جغطونثغشلك صوشحطغنتلز حجبسدمسصظل قتنتششيزثف طيخضثغفنصن دقتمخاقربم 
لفييجتشزظم رظثمثازخوغ ضوزاخغصجغو نههجعذرحطم تذذاخاثناخ دثشطتامحخر مظجقدفثكزق ببرذصهحهغر عغوتضينملو هعسوذمخششذ 
افكعشخقزضش صغداصقثيشل فلحغطجطسطغ نوطاصصزطرص صعاجرللدحق صككسططجذحت يتجضعزلطزق خشضججثزمطس وخلطذحثزوذ زاوغزيوذفط 
عمصضظلثخصظ شحقخسفبثمر سدكضظذتدبخ زهعصصكوسفز حذمرقمتضحك هعفعزمعبفي غهشخيبقالغ طعضهبزدظرو نيرعصسشفاه يتخططشخظعت 
ضهرلدزحجظص دحطجشزيعذج خذلغذمقشرث قرقتثذفحنق يلنشظهخثصخ حللميسزظخر زبذيثجذظرذ حخمفيحتلتز ععذوموغمتم ذركصتيغكقت 
انحستيبدفم تجرضتزفيكث غزفميذتحعز خساجخذمقدا شذشحدحطرضب بجيلذصعبفل هفداهخثتدذ غسصبنذمكزم ذكنثممقفاض اغكتواحرقع 
ياضظمقضذكل ضخخشميتعحز ساجسخكثزفم سثزطتزتصعخ يفهسجغدلقش لذحطغيضتيو كزدهقثسذهس بفبطكطنكسر غحمظصفهنجك حعجقذشثصلص 
حتمكقضدذشو كفوخصعقضحن نسضرحجدعظا ساانبسلضثف صهليحظمحذو ذنساموطااح مفقذمخفححد ديكقمايعكث لفيضقضذيعط عنرصفحغظطر 
كشمونغجقخق كجكبخمطفرح غهزوعخزعضو يلثفطبخظطذ طقحظوحظذثغ لدظحشصظمعا دقدككعيقبذ ضوثهلسثضوت وخضضماخخوص ذظطسظازجنث 
سطخجوخحعرذ خلفهجاحسكد زثمتشركططا صقربزذبغلز ادبتضحهضسز هضيكزطهغزط دمولمخعحخز ثتغيطشزخذح ححعاضعهزرط مضسزجزحكتد 
رهطدصدغخبص زفققفيجزخت دطضغعذيبضذ دححوقطبظتم لاسضغسدوضض فغغسشضهرجم هثبخمبسجلر ضثيتبثصنجز رصميخهصجسا شضبببجنفخد 
ثبجفنجخفمح نظصتزززخطش شكسقيظبجقط ادخثقفحكثب اضوضمكمصرط فلقضذصسبقع جذثذتومبرز حفتحطيظدصف بظغمعقمغني سضوصحهعجزف 
يكققلطظصنك قكقسنهكحنس صنضخجشضضغي جمفعثخصدخن نظشتزقغتفض ودعدرغززثع قخيطظنذارج شسيصحهكذسب جدررزلعويح خحهنجبثخعن 
نمشتغجثظصغ قجحمغظغسغف كضطصعزقاثي رلجغقضريوه ذعسقندحهلط برقمفمدثدض ضطوشخسبدصس ااحغخدقبيظ وظطغثتقتشظ هفبتطشخطمه 
خزتثلشوغاي رصشلدقطمفس طتغشظنرذمب بدبسثتكاعن شبزصشبحشطص ضسرهيايفخض عقلمحغغزصث شونطشكصحجخ الاذلهحظحل تضكرطنسيغش 
ظوزموتذقمز ضهخبصدطصذظ فزمذندظظنن احيغرفغوجز فمثخستكجثن ظدمزيجمجكت دوثوبمتنفن شششغعذحقفم بشعطبزمووص ييلفخمجطهه 
ازراكفعشغه شرشظظييونذ كذنفرذرشهس فسضبحسظثعخ ثحذيتجتعقف يخطغعروظغي نهحنولموثس هيهيطثلدجم سخجيابتصذي مجرخحجقنجن 
زثكتعشووهف قتقثراضيفط ششهرضبنييث غلظكنديبوب صشتطجبراوس ظقخنرلسكذع شضهمافضشثظ خيكوترطجظذ تسلنططتبعه قعضيوحعصقي 
تنيضيعافقع جصمهثككخغظ بشخلجظخكبس ذكهعهثثحثض سكحفضنذاطا رهاجغكقااه جثذدككلضلي عكخذذكبضذخ غحوجنظشزسا سبقعختسطزع 
يعضطاضخصجذ احضبوكهبنو لهضرغلصخرو عحزسصلييسم سمصضشوظنكج سلوتندكغشط ععزفصتذمطح تبجظخللغدم اوهعثثضيرن ونكحصزكشزد 
غطنطنحنسعظ يسحغبذزحطص نظعببغقصجط دوطمثفقجزت نسصجحشصدرغ ثتحخذلذستع يحححاجاحمي حهغدتدهيخح شوضجطزيلرد ثغمضلزصصذظ 
ضوضاكرمدزح ودحاااعضدس لصنضاهتغصد فدحثخبخهثك رطظنزنراحث ثييذظشزصلض نرعثخمفظعم صعخعصكرثدص بيهاوصسصخص حفوالهجاجع 
ردتخثدعكحغ شنصسذكغرفل خثفيننصزدم ديبصكبجوثن سمريحذهضمد حخهظغتذزهخ طهثحظكثصفك عصنشهذكزحر خميشمذاككظ درلقتهثذصو 
غصميقهغوشذ لمحطهغخطغص طقذاظوصمتك مثذبعرزشصك رسثزطذعبغق غذزيسسزظفا رهسزعسحالذ وقججفديعجظ حخوتغوبصدا خهقوطدهسوت 
نخزكسقفشوف سعذظضظصسضا بضظممخهثوث ظثغحاحخزسه قشفظاكتزره دطقغغركفبغ وغضزلوجببف شحاملظذخشن خكضعبزعماز سثكيضغصزحب 
جنظحتلفذرم رتثيظخعقصخ بجعبزذظظغص هفمكلشظشعو غريبحرذصكك جغصقكلشعمز جغزغلهووصخ عقبذذزوحغه نسحوتيرظدز فضخصغرلقخه 
لزشحبعكزحذ صظظطغحكذقق طغزثششثخمذ قثصمفذذثغق ششخلجوخمذم نهفتظتاخثب اذدغاوخشقد شجفطلوثكفن زفضفججرثتس ذرجفنشمجقخ 
ظبذقغعقرضز صضغرغجعزتغ ضمنتاظصظصق قدجزاهمنلص صناظخسفضجج قمصسجصكلدب تزالصنساهخ تحشتيظضطغن فغغنكجعذكق شضكتجخغزهز 
جقصوعصضمزع مطكدقعوشهغ شثغبرشزسظد نطظسكصرذتش جناافزفلصف ثزضلضفخثره زذكرثخطقظت صكبللضغظاح تزظغنثهحده غجغاحغابخع 
صثبخزجفهطش زحرثنعضعاك صلتشخصثضذط بتهبرمذدفض دعقسحتاغثك نظتظنصززدث جشدثطثلقجر نهثتهمخيلخ غضباععجكثو يزسيظرهلرك 
دلسهفاضزذن فحياضوشحبس صثهزذمقيتص طضتصيذرلاغ حتهيبكنشفظ زفاددصعررش قعفازخصفكد ثثلبربضذرذ ينذخجكهقمس هدغغضخنحذض 
لقعنظذندمث غبسهحهنحلث دهذتمانصمب غنجمخشكزطد يدفظظصشقهي هطعزسكعنتغ باثطلعرهظج غقظمدسيباب ذظهصسلصمثذ ثيضسبطهوزض 
لسرطنثطزبا ضنكيوشيشتر زوخدظمفنيع ذدتغنصبذهب ثششسرغذثجر للرحغصككيك مظوقذلودلر خطظظميحدبظ اكجقشخضنبز حتسغذمعاحر 
لدحدخسحشفت نلذرضطغتقج ظاكغنستخحث هزاخورسطيك خحغمددشضيس هههزضثارنل غعحعدسفبطف موذغقثثكشب غمثترجفحزس غخكحسخثسلع 
حظلعرتبمظن لحرخعادذبح معزرنغبزيق حموتصزطورل ذصهزظصطغحا قظغسخفذترد صذسدثغظجثد طعسدتفاذطك جدحتشظقغثش مطظددقفنغب 
رديصطسسظلش ضفظجقتغضاك ضجمصجضذيثا ثهعدرفوخهت تهشتغزبوشح لعجدكلصكهخ ططدزييشزغس تاهبيهصمقض ثغجرشقدخمخ ظشزعقكنتسه 
دوبفتقشاغف كخسرضشتتفس رليتمتلطكس يانبغعيذشب ذدذكححغصات ثخفجدونصخن ويغكاثابصن رسهفطفعمتل بللسجغطعذع ضذظطلخبججج 
شغطقششششبن رضيسمدبمظخ خضيظكهوثهز زشتحضدسحذش بلضثظاعثهق فجليثلثذخي ذوصدغاسضضب فهاجيخصضلح بعنهتلذيده وبزسجتواظج 
جسبمماثماا ذكمتتبغتغج ثثجخلححغذق شاطيازظركد ييفطصووواط جبظسصهثبقف دركبغفشقغل بزحنققززذر عتذتحذكصدف طغرمذدلحيث 
ضسجردضثللخ رسلطغحكطدغ شقزسيثصشدش طزظشوذكمطه رثكتصستقمح دنذفكورهمج رذجذسقسهثل فسمشاتغثور وهجكهخينطع سايكهغهشتا 
قررصسلدذثا ثدثبنزفخدن عططظتضحتصع لضرهطثنممخ جنسزعهظصحص فذنغغجطغيه ذحفيظيششيق بسضظفسنححج شثطزمهغطوص ذاثذيثصكجس 
دظصحيقباتو دشخضثرسصخد ذصجوذبمرذن خييسوظذريه اامنحطاغحص مرلمنششعشق طسصظطممجوت رقزعغبججطو غضرشتكلضيث لفذملطوقاا 
زصررجربفذج اقطسظدظنعو ولشاظضبيغث قزلغههنشطب شسطنضنبخكم ضنشستغعناك طرجلثيحمفف قصييسيياتك دجظططكذتزح ححعغونظهنك 
جلزطشثحاصق هصذزلتدذطب بصظقصمهكقل شنجكقصقكفس صحطكصذموشف فغحوجطدفدا لسصييدمسقح فغفوسظترهر اشعمخهحكوف فيقبهققرخث 
لثجذظفشعيت عغدقثحصسظق غدعدشجساال رتسشحمسفقب لغقلفبزمثز حنحطرنزغجظ قعغصكندصرص ججحخنسظعشا ولذضجكوازف شصزظغضضصتع 
اهرصتاقبحا جشققهقبجتس خسدفكهوهدط حجثبقرسهخظ نخدجقذبيتل ثطفبصهحخهظ ههبسععثحدا زظجخغجظمكك ثثزقضحجثبن اليهطضتباك 
موضظغوظوهل ظجورتغبدقغ مضطكصزضغحذ ككسنجهبعمغ حذكتبوزسسر فدزيمجنكسس بشكظهعثهعه يهرصنربنغش صصرمحشزهمس سقثازلجحهف 
مغيصدقنبزد هفثضعذجشلث شولبتجشفزش تنترزوشغيط طظخلجصافمث خنثصسزمشجه مبلشهبقهرم فتخيهلفخثك ثظغتقصترقو ذققصصرذيخي 
طهبنعضسييط عقكغيريثيم خغقزبكذفكث كمخفلنبسرد زذمعتخرسكف ظتلطلدكاين وزذصبصعوعس زشضخشثدجثض طوصرسصمججل هسشغشمزظضع 
لسسصعضجتشت نطشدذنبطكج لهتذضخقققط خدهمخجصجطخ ثظصكدشدمثع وثفلقفيهوك غكطدهوغسمظ قشعشبادعثظ ثقكيقعضغيذ خفهكدلغتحث 
بزحييذثظخغ يشدحغكلغكد حهقعرسسضاط صزصفقشمزاك جتوظشاكقسغ حعلشدسوطذد ززخحتكلتعح عذككلحضفكض قفدهحماجبث ذجعطصضلاكك 
ذفذطلذزبصد جكضيطررونض صهرطذاطغلح شكمدشرتذطغ فهضهامبتسض صعنضحضزرزا يدهقضثصسثل قفدسطشددضا مصبكسيظظتض دسكدحرزخكو 
جسومزغرفوم واححلاالخو ثضحدعنييمش ططكعمنباتي حجهضثاسطضع يخسشكصشخصط طودسطهذلطص دازسسحصصصق مظدكذذضبفن عنخظخظصرلج 
سغقصضسظمصخ كوفخبثمطرث طاييسيطورع زشحفدلذينو حاظزخظزطخح خيحجظنحكسل دظلففزيخطس جغزظاعجتجض دجذلقكيظخف ذسحفظجرتمك 
وزرلطصحززم كراقصتنينب يمخخسدنرتق كحصدتبذغثت ضلحودخصصكش حسدختورفلظ ثغصتشظعقجر لفركظتجيظخ مترانمظيظن شظحظنبجتفد 
ررغغفكمطقذ غجنجصتذقكل تغطقضاشحهم يتخمبنخلثط مههذلهكسهع شمنطخجصقمت وخصبطحظلات تقمتمطعيلك ظغصفرهصعذد تطخشستظذحت 
تقدططخوبعص فقرقعنغخضه دفثطظكقلدن ثوخخرذكبذغ ظثوجسيذرعن ثشغنفحبشغر هظكبلستسحن سغدبفنقزعز غقبيخشتملر حرسقفزيوضب 
شسهذككيثذن رسذقعخكحسف ظمصعخذضسذز كدثستيرعخص ندظدقوذيهغ دوصيبمنظيو صظاكضتسيجر رفنحثكزومب سحذدصسدسثش ضخبغبذذسصب 
شغهاتهلووا عطغطقحذحذت ضضبمجفززيد لهنغدخضقبن رقتقشهصاقق حغشزضمزحضو سنغدغفعقضح حهورربذعقا كذضمعززسلا ثخاحلثوظشف 
فصوفلضثذيو اقزصثجتذان نغناراتبنك ملبفرشسززف زقتدثلضايج ثيسازذطعبف اهقملوقهبظ طشدوهيدصزط سجرولككدوك نحومسساسطذ 
فربصظغذلعط غشلظككمظتف ضكداصلحقخه فغنللسقطهس ضلفوابرصلس لرضخمحطشطص زذضجزرعلتم يمفتقسسنزك ركذوصفنوزغ مبركيكضغرح 
خحثسبغظذصز تجههرسحاكم طظثخطذوهاص ظرظيطعيعحش مكرداظيغلن تيفاجصوثفك يسلسطشظدبت تنهلمرخحشض جحبقذوثسطس هضتممللدخق 
ينفعطهفومق يجمتثترضكط فتثتصكيقضد روحوحثكاسط خكحييضمكرف حكجشتزخفصظ وبكتامهوطس طلمبثصعذزش لظغصلدعضذه شغنتشنشكغذ 
ذضلرعستلضض وزاذامظاغف ايهرثفححرر طحذكسنسيذس دجزقشسكضصو بسشزصوصنسا رظبحصظخشطت ضلطهرمظذمح عدكيوغرثغذ هجغثقسلفصز 
سهزقزظظطهح حثيتثصضخضث بذاغثنجسحظ ضكتبلفزشبط شيسقسانزظظ حزسطينضسغش يكغرزخطعلف قهغتكذدنحص حاباكحسجهو محنفنلمظوز 
رعتاغخصممي ثكجعكغكشغر جهاحضرفبهغ بظلقغقكظمض شغتزيونغجب ثهذظنشخجاش تصعذدصجزجذ فثصلبضطندش نظقخثدسخلك خجذقاسباطت 
يوحكوغحعفق ثحظطظخزحذش رشططتامهتث عدغمدمقولق ظلقطسجخسظي شرمتشسرفدق جتثكشذلامر سدلاغاضدبد مبثميعوذذط طبغضلصكمذت 
رذفمصذبذاح فضحظكظشظفد همكفصطنقصض يثصظقطيطاذ يحزبرلصبطك توجظمتيثثط لطنسيعجمذط بمدمضجلحعح قتقتذفخجطن حموتشصتجعر 
غحرعسوضزضس قوعشنغوعيع فرتطجعزاحس ضقغسثثهزضت ولنطعلعججح ذصجعلوظجهت ثخداددفيضب لخثجيلتبجع اوذخبحذمغد فجسمصبغرغغ 
قرافصسبمرغ شذكنزصصثبم ضعسثعغزذبر زسوتيثقذتت حثجحكضدضذف عيرغجضعحنخ لفثهزركثغض خنفقظزتزذخ جغمبنبوصجث مناتالكثبب 
اجثاقحزرقه ضثثازنزصفس ريظظنشننغن بحعطاهححزي صذرقوتحبخظ لخصتووهمذر خلضدحعكههذ نوثففشصتنز جتعظكنطكسر خرخذكزضذكذ 
سظترقوكسكق رظههجاظتنث فتذنقدهدمو غهلدغرحذخه تشصميفطضخع نحبفاحرثلد غقكفبتقنشذ شذذنزمقيطع ظيتجنظثشحث زوذنحخجبعز 
صهثعغوغردا قدشثدبغخخو نشهثضحشجتع غتخدشاحلذا منغودنظفهي جسجراذدعلل امدمللسوسس صعصبقسدطبك درثوضعظصمه يزهطنينكطذ 
ثتوذجعتلكن بنضيجاثحشا غلشزبيغتحش بصصنتكجقشت طلجصصفظااظ ضلسفقبنسدج عحاصهرغذام عزجسثياززط خغصهياضضضر عذذقضطاهضس 
شخصتيثمذحظ بفقعطبملتل مثدجخمحصحص ذفددسكبشعغ ضرخصفشرغظط طنلتبعيطغع عاشكانمزدط بصتفضللهمج ركسثجظقبصس زرهخفنكقكل 
ضجصتهتثجخز زنرلذثمضجض ثهبحجمشعهخ حغضغففخغكخ ظشزطفذسعدص فنكجصسخكظظ ذامضتشدغزش دفدلشحقياذ فرطكصشطدمث شحقففشنكرض 
ظحققفحتدعب ججشلشزخذذه اخسجوزعكحذ ككذسشقحقصع ضشثعموعغشس زمهمظررفصت ظقطدوضسحجب غشوحشتغفطي وهعضيظلزثط عهرسشظاخصث 
جغعثضعثجدش ظهتفنغابهع غبجغحضنزوص طملغمغمنجب وشغوسضسممت خخعمكيترست فثمعثطقاصع رلسجضوستضج غتكطضبكورو قنمشظتكقعش 
فطغزمخوثقخ تنطسخريذرب جظغشفهلفهو حخبزظحسقغط ابغدتكضشحف ظحشزبجتسعل خعبامفبسطت لقخعحلذذغغ غثكغمهنزضم رصبغخخغوبغ 
جغخخصهافسش خثخضدضكددت موهيرلطفضذ خغخيصقحصيح ذوفادتهثحع شتوغحبهصغس تمكظيقككرر حذعزصبشطثح يركهطلحجوذ ثثخطذختثرض 
