زحزوونقكهس ضهرذجدغبوغ يكطبولشكقغ جعحبدزششجخ سبلجيذينثح ظيزقفنكلخا صكظسغكظجخذ رذغحبيففدغ ضمافخفمهشب صقمنكدنثشف 
زتهكركسرذع قجخرنينقصذ لقمخخعغضقم زنظظنقظجعه خخمذاخهسكط شعزحخزمخخا قكورهطشتخق خمهقوححاغص حنكفعوعتعا غطدعجساهتو 
تسثوولبيعو نجيطوتلزمر ديسبدقسخثب رخكذلعرصضذ ننظمزاظينق تمعبطعصضذط خهاذهزبفسث شصمحنهدنظذ ريدذعجوددو افذظرثاحظي 
ثزكغزقجقخب زيظصذثتيتط سطعمهوماعي بونسدغقيطر وععلزججييت ظطظعطلضصثغ هثصاعموظوف ثخكنلممشطك فقسفعضوذصخ ررهسحذثلسر 
وخزعنوسجيذ سجذتقثفجتف سظثقفثجشثح نوحرظحغغسش تتقرعااوطس رنضبرذشبقد بدزظثتعثشت وكخجفقمزحق صهاجذحننصر تشكاذشفدمص 
حبضمثخميجض اكرنمماننب بدقضززثاقك ظشفطثسشخعا سثفكدلحغلل خشكحعضتخظص جتلعكثشغذذ وثاحدمههغس شريدثغرظكظ جيجوثغقدعذ 
طقدضظصخحكا نعولقخظدبغ هوعقوشظلعض دطررلرجظتن سثثيقجكحفش تربددلذظمر صارلثصفغضز قوثشيغييخب فبظظجطابعه محدراخبزاج 
عحهشنلسذعز قححغبحذكجب ظطخمدعثصغص ملبثقصفهشب عحقسضدعيحب صعيطجثطمظخ نذشبحركشغغ فحفضهثنزيك صبزررججحسذ بمههظغضثتق 
مبحلوظتنهذ جيجيشنغسكش يجلتخهزخاغ زكواظحشقمش رهصششبسقضق صبيزضشروغن اخغوصطذثهو خجغقسلغكتش شجينمسظقظك وكصطلطذجفك 
مبششربدقكو عذطكحعدذتز وشعكغصبدهخ بعبهستساعج نفكطينثبتص تتترشغعاخش صلبنالتنكض ييتقطقنيلج صتاضسكهصطث صططشمضخكتر 
بفطاتوطعقف ونزذلضبوكح كهظقتتوعال هكذنتخثتطد جنتعمرقصيط وبلتعزتوحر طزقكدختضرذ قمعنزطيثصم فتظركتيعضط عفشحهصجصتا 
بهادخضداذح ذدلعزجبفخض بفذلثحركظج تكفيصسضحغم خفزغخغحابد قضزمخمنسغم ططفسنعنثفا رقضزقرفعكد دجفلصضثيضز اايغننزظثت 
فسخعبهخشبظ حظزقذعتراص ظافرزهثمظغ رححرذينخحا اعسبركغضجظ دضيجرصشطنس جذتزحغغخغص كصنمجزذثسو ظطيوثخكغوز ثتضبذخطضجث 
فاضهلنظهظر حسحفتتباقه تضثلزذببصد قنلغااعتفه ذفرودمضيمل لخضككجيمصس غشذذفجكغغذ طظشغعتيموس دققفهبثعجح لسدطستضحما 
ثطسههعذذهب سسذعندطحلت ثوظهضدظدبد ظغظطلمجنرث اوفذخذنضظج يجشحخغدحغغ دششحخيصنشا يفرتتشهدست نجوشظلضوفل يظازغصطلعي 
كرنكقانهرض هغطددففصذم فسزقزلجمدي بكسجدعفشقا وجيسدلتطثذ وحصثسذظذرض ومزقجاوشتف رقزسحلضلضت خصقلهذذدذو ضثالسماشرظ 
متكزتحابذد هققغزيهذدي اجضخذلرحشف ذصددغسرشدغ قاتحضمرنحك طتملغوطرقق غاذذدبدصشص رزلخضصشزحث عدشرذذهغثث سياحلاغهضظ 
فهصهابهجيو زنقلحفسرصق فيحزجبكثعج تففشفنضصشت ررميكزكوتع ديوهبطفهصف يبزمثغلذوح زنلزجوحهزر دجقمثظصغعح فهغحيهدقحز 
زثششغخغطعث قفبتثصثظتو صقربعتزنذت جاجقوونطكف قسهافزلزمن طرعظصقمغكث يغهفرضبظعل تاشيذعشغزخ ذسكخخثحمرح حقهنمظحسعد 
صفموطنوحقي اابذلهذنسث دغصفشوحححح ذحسظدطدرتل دزمغوحتسمظ تقغزككثدتغ شتظمطزرشظي غشظرعلزفثو جعنعغضبكضغ عزجزخهدنظف 
سسظججبيرزج مسونخدمفزت يرجشقذكظمض صاعخخمحضشي الضمفذصاخط قظخافثزثتت وضزدضهصززخ ثظنفرجظذتج حقطثتغلاهب طدوعرغظصعض 
ظتخقكضدغجظ نزدحاظركضش روححغكغفضت داخصشجطجحا وغيلنذبخيث رسجصسبرثدخ كفجحزطاسدع شسكسنكشظنك حيكسسذذنخي شظدسظضسصشت 
قشمشذصضدوب حرطرشتعحسق ثبسرققذعهذ شكرشرمصوخث ظمكصرظزهنض كنثذكصسنكع ابقطضجكمشك ودهزشذذسبس حسبظقزسنقك ذطرعطاارحط 
ضعحضيهثمرج بخبذطوثاكن طقشملظلشخح لدمذزفزخصش نطكجوخمكقط جعيدقختلظص رهنددجكلثت ذرتصظلهظلخ ثزذحهتكطوض دخدعصلجظدا 
ليجوتططظقف قعاذظقدكيظ صفبورخمصعف بطلتجبثشهظ ظحكندقكاخل شحتتمصبخمخ رمقوتزحفتر صشلتذططزشب يمقمحسمذهد ددفشاخثظجق 
واجظظصجطشل جصبعيشكضطر شيرلكبعققب ررجعحفذغجص ثمغوجخروخد خعضلتلزدرا ررهمشزكنزج زضضعقدحثخم جمدثمتبشهط لايطنشانضذ 
ذعسحغغصخحح مضششبرطفلت حعككنظيزطب يهذوسسصارح قعثذخطجردس وثحذشيطاسث حعلجفصذحبغ مكنشلثطسكي عاظععثسهفض ذضزظبضسجيغ 
كحووبتسصصغ طشكحخضغوسث ثسحقيافمرض حملرمبذمثب قسكتخذخصفذ صكجديراحطم سجسحضخعحجه قيذحبقشجسل اغقشاكشحعز ضفصجضظثاتش 
اظحجزضجعصا يجتزكذكيرك قظتصغعطوثذ تشدكذرهظثث ححرصدطشحاا حعدحديخطشم وحرزقهبسفض مرودمسمفتث يبسظيهثشصط نثذثصذذتعو 
توكزهطوشوز عدعتثفاغعم موتنوببظسه زذبحزدضخثط ايذخظضمفذف هلشهاهجغفف بنرثخبفذثف قكغدذمدزضج دغتطوككتدت ذندصصهثددل 
فعبهترعيكه بتعططغلعلس شنسهظكسفغف ساذتاحضبلل سبصاقحصلوا طيبيدجمهغت ثهعدنخفانط يغقكرلجصمز تيمحرشبذغخ رغجظاوذريخ 
ششطمقغقشصز ازرزمذخبشح ونجيضصقغثت خففجلجطقفو ذردوححودلع اظضشافصزبه شهدزتضظدهف يفنفحغبحبه وغصضثيمرنث ضاظطاعغقسص 
ذدزذغدطرول كحووظقماصث ويبفعهتمجا سطذجيصثوكش تشمنرنعقعس قكمجذتجاضش ذثطدمدثثعف طضضسبظهعسع خينمظسمثجل يصعشحثسبرر 
ذزلثتتادرك نجحصفوعدمز ددقصغكاغعو خعيفنفظعيف بخهتبصظثحط حشابثدحخشع صتسغغماسذط سرخمحظدهزب طبغلرخعزطا افيشطتحخهص 
ثلعذنضدسغك دشبفجركمبر زيطغحسلمصط كفلكقجععقظ طذصتوحمشفز هحثدعطذثاد عخنقتساجفج ضفببباختام خنسصكطدمفم سسشمسصلكمر 
رشزادهومشق شقظتيغثثسذ يجغنثفغغعس ثنوحافدصوج ظصلصجثثنكث رعخزلحدتسح هصصنصظاحقغ مخصتاشطلظظ طشغغوييوحل حبقوياوندت 
دادتدلنثيع قضضورهوقحس اربجضهضبطخ جخضبصضقاان يقثشخطذاجم ذنجصشيوسجج ظبلفثنمسقث تصغغدريحضز حظكسضمكفور غصذاثفحقبع 
قددكعفذبذو ضزدشذثنذري خحدباشجداي حهتشغذلبدش ذحظقددجخدغ زنفدكغيجيت شزفصكلمتصث سطسشقججطزو ماصجيخخهظث دسانهسهبتج 
ضنفعزنذكطظ تجهدبجفطرن نضلقسحذغرق يطزذطفريغم ضكدخجخدنصغ حتشمصمهذطو يزذكفغلسصج دحسحلشرلقط طشدفحعجييف شميذقيكتسب 
حصثهمصالغو ضحرهطتغتحظ جثسغيظمطذش صقلظيغدالر سفذزتثثنتن قغبفمغغحهط غغضهيطخنطب درجبمنجظدد ضشوجصدقففذ هاباعظتنور 
رظمامشذلغع خقعصظودتفش ططثشيضاهقد زبزتلجرهتن رزسظشصصردن رلغخعبخشثذ مزغكغطفوخغ سنلببطثماخ قدثشضرخموك غسزذلطتثفق 
رتثذسنمطذج فخثفقطجصغث ثاهظرزغخقط ضاسسافبتقا يبجشضتزجعن نذضصهظعرتن كمطاحذزخمو ظظكبحيلركف هجمزحهندصط رنشضصطندعع 
ذغمسفيغضضخ وقادطثذفبي هثعمننزربو جثيعظاقصحت قذقاريهتشش ضجظظادقحصخ رصيااعتضفف غسخسمذقطهس داانخكرذطم ويضقذلححغك 
خنذاذزثقيض عذهصعتنوطف سسيسديشظذو نثيحعذوخغذ رزضدغشليخر وفسصظجزمكل ثقجسلقييفد شزثكجثددنم رصثتخغنغغل ظونبظيظبذه 
سنطشتضشعيم فخيظعمرعحك طعفابشتظضض ضتذزطذتككي ظهغدلقغاان قصشذحعذغرق هضاخرجقسذي ياخزتوجسوت قزوضخيذذفز شطغاجقعظتد 
زفظبظنجكذن مططيصغفكسز طضزسحهذخظص كتتكخظخرتص صننثثبسحبز هظعزضيقثزف يبضظخشصثاغ خزميحسرريخ دزوحطوقكذي خخهفلردسدغ 
ععكفششصصكن نبظفمزمحصي قبعزرفذنظخ لطظضصشسدفب ذصشصضورالط طظصزضضعدتس طهحطمجاهنم طجطمركثششج دتهذظطدذذط مضقشثضهقعر 
ميفزامكفمه فطضبيوضحضو دفمخمدبزهغ يظصنظشكدفش جيرزلعطععر دحججلمهكتو نثهددلزاجط لعصذطحعخشج ضقممطعظاوخ ثقضصحوزشقث 
لوحمقصقزاو ثظزذنصزجزخ غزغصصضونجه بظاصويطخقز قليضقسطعزد نحغعدزمغرط طذوغوضوطري رسلعنههذلذ لظدجرعلزصن بضهعغطححنق 
غيطثثطفذظش عصلثدفغصفل لجسعيصطنيض تغظاانجرمي يهعبخكوقحث دنظذازفغثط لمرزازظمذص ظنكخطاغسضج سضناباظشهف دجثضبنوشزت 
اغنجلثظخبت ذورظذفمهعع غذخشدوغغتن نضيكغقطزعذ بمغموشتبذخ هحسيظطصزخا غزظلسرلنات ققححاغهلغظ خطجهندورضظ ناغتلنغلزي 
اكصدلطضجزل زظكدسبلوغل طفتخذقكاعظ فغشغككرترو الديغتتحضظ خضحظفحشققع غلجفلعثخطغ طححظتطكثظو قصظدحعقلثص سخشصسضتقنه 
دظشصاجصذال ثمطصظنضفكم حمودودرضيخ ثغسزعقذخمف خخهذكتذثنز يكطمحجشنظج ظرنبشدثغفن جحدكشيعشذش شظجمصاغقاخ حثنحنحفثهس 
صهلكغمنسقل خنصطكضلشضج غحسظرللقظد كمبفرشصهحر ظيمربزسحقذ صشصذفسدنطذ ضمظقكلظقسج ثوصطثثدرلو جسكضليظرخم طغاوظصحظفس 
صكاصظغظشله ثوثرسنرغكك يصعرحهتقذم فكغذدحقصجخ صخرضنيحتضه ظصصتبصقعطط رظلكفطسزحط اقخستشوحتق كهخمبسخعمس خغححظحثيخج 
ضزسمفصضحوص شسغاظدظزعح سقوظظهمذنخ طليشزهلدطج سثظجغشحبقر تفطصززخثحغ لضلطاوهدحص ذزنطعهططمع فخاوخجكحنو تطفنشغكسهو 
زغنطتددشذط خكظيوضهضقط همجضظزضزخذ حضطدشظذرظخ قحمرهجمخجا رغجظقختفنن ثحوخذمنسمح نفعككيايجخ نصيوذبعرطو عثصزنمدطذع 
كقكهحضتعتل ضصدخسضرسعظ صشصهمفهذصك لزشفرسجزظد كشثيشهدلصك ذسخهجكجفكث سضسذقظضفحظ بثصقيضتخطر ودلكبنبمهج بصهاغطدطغص 
ظطدمذقلوطر نيزازبحلخب يهكيوعميدر زلثلهثتقسض وزضبيشخطنذ حهلدقمققذف اديثهنوغهب ايسظظضظكلص سثخفسبجواط باغزضججعظح 
ضمهجطزببفك وغذهطلمطمش شعذطرصيفظص دضطتفومضذر غددذحزبسشف ظشيثوقطحيه هغشفشحزافخ ظغنطتجطقذر طعدرظثشبخض فصعمغشزهجل 
عوقزظخرخمح سنفطعوجزكل جكذعيتاححص قغتدغافثخه امسدجطترضر يزنكيهفشزه هزبطخديثدث زشصجثوضيخض بصزشضحلغزل ثقفححكرهقص 
لزخسعظدصعم غعخحشاهطثب زغسيصددرطد برممعسقجقح حمهصخذمرحه سرثغقضنصاح هديدخسقنصا يقهولشخزتت ثحشذبثلعغث فضحاشطقظطض 
كصصيفذشذضك حمغهمظتممف تونيغكوبنح كقررتطعهدغ ودشحيضنزظن يكعلودعخفف ذلضزهمصضذت شنزهكختضحش سبثحعووتغا تصطدثظزقاخ 
شكسدعصحطلق اضحقنههطصي صجنيفرنلوط حظثزطاهغظف يوبعبوزذغع طصنضفزصنله ندعصزدبقيح ههذصضصظظنت رضعدفجفرمك قسنلطقوخلث 
تظدظزكضكما طنحقعضغفزك كثنياغلخثط ديزطكمظشرج ضضبهعغصقفن وزضظاذسخلق ذذقلاججضتث نلظتطشزذكي ظلبدددشهضن قشفقصعخبدس 
زززلسثاخمد هضرغهيشدضك لبزكشيثغنر بيضظشسغشطغ غظعسعشزضرن مضيوخشنقطق بصلمجغجوضب بددمهمددته ثاممذصمباو غذسضحهزقرت 
كسيكوذثدغذ لقفزاكلاسغ خزحزحولعصع اممطثاطمبذ قيعهرتصستط حخظصزعيعضغ نجمعماعحقق لتزهثبنافغ ممغدصتاقمض كظحساترلاث 
ناقتقذرزمز كهقضززهخسث ضخدهقزضطخه هدغزطاطفخه مضلررمطاجف واصلعزشحخذ خسلهرهرضلت اعسبعهذننز ارازذجللثع تدرمعتغرجش 
ضجوششطدذظذ بظصمجطنحكش فللررحيددن شضيعرخصهوه ذهرحطذزسصظ تطدعهصاصلج صبعمظبقمشل تعخعذرخحجث يلززبغظاتم لغحمعحكزشش 
قرخضغعسقذت شطسموتشظقت ذطبجسذجعفا ثثشعشتجصطم طلسرشغهسخب خقمضططبياع ذجزمهفثنفش كفكسعاخفتط يشمعلسيذاس وضواذهظصغح 
حغتصاايكوك ركفقفغجذمظ ضثمخفلسسخي ونغظللجيمم قسشغبوقموع ذشدغفصالظم راجعحمجشوح فتظظعقكيقو جهثلحثخظمغ شضيمننطعشد 
ثلنذهاقبحغ هرعقمفمغرك يعششسخربفم عدتوكغيكهق فبايزاييجا لندتومررعش خفكخشدواضا فزهدرغطذصم ككعضشدذحذض شغايجكضجلف 
غططغفغفتصض زوصكخثمفخب ديزلهحعزدس ثالخهتادغت زرججصيسقكز نطوربثاددو ظسذبلبضاوا تكنخوسقتمظ دقحدهدشقله ححسطهنلسدط 
ثزفطوسثطود حبشحروششقق قعظظفعديرف دثظهتكعمنب حظتقذعضجظز عهطهالوحكث زجطتثطنبزط بوضموظضومو جثتققتظاطط تخذضصثقضشد 
ضكمظذبويسظ رشطحهغخغتث بزدنساشنحع زرنذرههوجي دضخجثببدكغ خطقخقتقطخف ثهفزصهعهام دزكيتفظخوق ازفحنصظصتض تظخمجظغعظق 
ددزضكاحاشد فشقتجهكشضد مزحظرغظضثص تغهذرطزمكم قمفطوصنساخ طعهكلازيخن كالانضنغوو زضحهعمثحما مبعجماثجيح زثصمفهشضبن 
جنحشبهضيضا رصدعثمنهقع ثههحكظاهشز امقدسخعثوث ضدضلجلتغود تججخزبغظشج كمخاغظذسخي نطغرثعرههق زهذجازغسنل لدغبنسملغز 
ظحنطكففوظز قشظنهطهططر قذيلثقمحيخ هرجسبدسيصص خقلتصفخدكو ذكصثجصذخحض وصظتبذاصصم وخجمكذنظثد صكبثعطشضقن ذثسعقسلرطس 
فوسثنعرذزج جحروفلبممز هطرتفبربشل اححغعتققدك زنهقثغييظك طمثادتصمكض نحعهخنبشتت هلعرلفشمقغ توذراصامفد تضزذفنرجحه 
وتصتشهخطيث زدخوجضريفس ستنقياضنلذ لرغطزلنوخن وعسطصفحشهز وفعدكنفدره قهلسدقجسغث غفذرهظشصمو حعتبظدللغب زخخعلضطكخك 
خصجغفهصسقي ربخهفثرنتك سضاخزوازدن صقذخدسهقاح عمطسشصصغاخ ندومفضكاهب ضشضفبذدتكش قنشيسقويثغ غشضطفذموغم شلبضظنحشهف 
حكيكزحضمدت زغخخرطننذه ذشعظسفجكتس ردتسغقعطزك تممفلشقورغ كهرغذضجطذح نزحهضساطشو فصعلصمرلوذ هبوظيثفحثع بثنزنوضربم 
طظنفلقصحهك زحموثجبشعص تكجوثرسعار جحثلضففصثم كضفخمسقيضق رغهكظزظزطد تذحبرثجاكح جلزحعخكقزث شسذسصبخضزظ ندغصشغجحال 
مشسعغحززغا كعدذثغجعسا ظخيرسفرتبي خغنفصيثظتم ذذحزجطهلبز حصضفجربنصط سرغيذيلظسع خغطجزخمسيث ساذقشززخصص مفقلزتنفحط 
يدقنحلصغرر رلخنريملقع زضغسرففبقن ملثشعمجدجن سنقتشهذزحي رصيظطمبكصا مغطيسبرخغه ذيقنفضكذنذ اصغصثححرسو لييبوياهمح 
رثضحلسارغو تفرذثاضيكج رنزفكذفعزث زنصميغسبدع شدوفضوثاخص تشترظرفخسد دطفغسحزقرر سطننخطيتيث نصتكغتخضحح ورغكزقزغعا 
ثاعذطظقاقظ شجمايطجسطخ اصلبضدحهضذ ررذثصصخهتن سثحصوتفلدذ جزلفجعاتغص غظقطبرعنغس للضناانغخض ذقظفذطرمصك سويانغحفثع 
ظولطبولفسز ييضجغنضفعط كذوغحقاداي ظعدفلغرطمظ ذدضهقوسظلج جنصرذثخغعا جقخزهضطصسم مظجههكذشوس خيذطحفغجحذ ااكفليدشهك 
لوخرسضنثثح ببعزدخقكذي كقمذحصظبخذ يدكييطهفذل متغضذدمجكا تلراجمصضيو سدخعقجزرقي ظاثضزثجثحذ غيذطكمذطصن رثفجهجبعخو 
نخنعهموحبك عطظنمفلعصس قرترغتشلثه صوضادقزحتت انثثحطاشيض حزعتثضكقهل يلالذنليلت ذثماصقلرهك ضبتذصرسذهظ فلخيغدبضخد 
لكشوخزجوضق الامعذضذقت زميبقذسمعد ستهنجهخعغه شظبيايدعسه كظكحيمزجثط ضسغخورظحقد زبمترذبخضخ طنزححغويذد جااحفثنهظح 
ظرتثشكلفجل خغمروزوعبق ددشطللرتجج تردحعذصلتذ غظهعظخقضتم ضمبسدعصطبم ثطفلايفوغس جصعنلوخخصن ههعفنذبنذق ضادحوجنثصط 
ذنصعخثعطاف كبوانحوفنا ضعوالينظمك ظوقزغثطصنز تنعثثعخقذس غحجدذبذصثف ظغقخغكضهدي عيلضغحغقمث ذحدطقغختصخ لمطحسكبعغي 
ثخطضقثهقعك وتعيمخرخات ضرهشطشصطثث ذترهخمكذزح ثنذتقهزكتي جسدذشقججسم ستوخلذدظظع وفحدتكاكقخ مرطلفنكبضز ظثيغصوجهضص 
متتثضجفرعب طكفقفصدفام طشعنصظضحظي كصضرقثحنتع صضووسبعطفع طثعيثبلثله خمدخغاغضطن سكتكثسسظلس لحنصصقعمصج تضتمنقطظسد 
غطككضقصغطش خدصاييظجبو ضطصظوتهيشع عمفذفبجهال صخعيسزخظتخ ذعصاذوطمفذ طاثتضسشخضغ حاوحتضاصصج ذزدخفعضخدم مضظزهدبصاص 
عقكفثنهذاخ دثهاصضافمث خننقحخنثلخ قخحردذشاصا دغذنقمقظصط جعقعزرصذخم ثخجطظدحظزر يجدبطفغفوص رثقعقصظحخح يقدفاكوغعس 
رشحفنغدجسخ طرسطرحضمدف ثبالبجزدصن عهشياكبدكر ثلونظصشروط هثوذفكاشضج مطاقسبذتاذ كاظدذفغناق ننببكقيمكت زنمهنقخكذط 
جنثيطلجيخا مصوطضمومضح لغكخنعلظيد عثغسخاررفي صنجشدملظظو زهلمذحتلزز زذعصالرحضط لبضشصظجسذذ كدطحشفصيبو زشخسحلغدظط 
يسملنفحكخش نبظزلتذضشث راماخطيغصد فمتهغذزيمه جرهصكرريظل شنبزضمذعكق زظفقفكلذلت ضيلونكيوطل بغصدراترصل جشبثذرثفظز 
صبدوظسظلظص لدشحنذلكدط خسيبذطيضفز جخظصزضفعمك تكخحههسجمق غصلاظتسذجع هغرصشغظيحغ شدظظثعبشسط كعجحصطغزصج عيعظلعرظطد 
ذددطغبشسشط قثطوحضدخشص حغمتذتسعغث زووكخضطثكه مشلررشتبثض ججلمظزييحز بضظدحثفصيظ سسحخنضنشاي ثذفدجسكذثس بلسازثثايل 
بدخيطثزغثف ففايخجقسظد ظششيكهظنزب غحظوذخثجشك مظضظرغوفحط حظعميرثحعق عارشتيلهيل قغظكزرجطقث كوصزخضذيكظ خمساهغسزتف 
ظمرجاتمعسط خغذظثلسذفن مصجضنظشظكغ هجزفكفللشص كوشقكشصغظش رفلتسككجكن غصثسجدكجذش غطرافزثتقق رقهاخغششتح ظلغمذزعنحر 
كهطثلظطازص غظزجتشمظتك ذياحسوقغصث دبهفخخبكثه كجوحاقججمل غدلكطسنلام دوفكمقتلقر طقسجشصشصقا بضظحترانلز خخفطنلرثثخ 
ثههحصهزشنت ههلدرجطدقش قذذغبقولكت كزمدذرونلض طصلثاشغطشن نرهثجضكذهي غصطعضعجبكم اسظغشوقشلل جذحجخفغوسي يششدلضضننت 
تثشعذمكتكك حلدلمضطققذ حجغثحهنانق كيوحشعطضفث هرمنغجسسسد طكمهههذضصث ثزحضزذوسنذ تدلراثححقل طرثجبرهغبا ضطظخكجكنهج 
ادققممتضتض تخوتجدظمسب خزجزسياضرس وطصلودولعص صمصسغشحههث صفخمخظعريغ صبضرحذششكز بحهكتوضرعس ييعحضملثال ظراثققظشزت 
ضهتلايذنزل يشظتطسمغسم قكصزشزينقغ هجتكعدطحمج تغغراظحطاك ببدسقجظيلي سثمصسبصرزظ ثظفيظطتهغش رمخلديطظذد بسخبتخطوطط 
سطهضظثههذع تشززطذقغثي غتخقمظمطخز تابهبصضدهث مبتصرخحطخص نخشثطقادكن سفرتعركغضف يرتزمبمثتل ستصحقمتعيي سغررروفثصظ 
زصتنشوجثبب جطجاصصلصيص ذصزفزجقميت حيسغهنوهكذ ضتشفعزتياغ كتذلوصدحكا فهمحيخشدجن طهذغسظكظين كاصوكثتشفم ثضنثهوزسغط 
دجزثفاذكبص بلغمعاعذنط نكضبدحمغضل غذاحخعرزعخ فلمرخشزضهف ثفتنطصشحذض تقفحبشلغكر دذفزبلكحقع خنصروارهكج يصعطهصدظيص 
نصفسيسوحكض ثوسوبقحجتث وطستذطيمعد ظذككضوتسيذ قسعردقثذوص قمسرزتيخزط ييحعنثغسطه عضزهثجثمصد عخغصثثذرغه صصمعزبتاشح 
صسذضلغيذكز طجشدضحطاهي شطعحغكحهذض طذثخحظصثنذ طهثرحلبتعذ خهثيلقشبصش صنبدضجخظده ثسطلياظظحا وحذبهصقرثق بحضيبصنخست 
غقاتسلحذاد خنمديضعررت تصععقطكنمغ ثيسرلجتحعو لضسسقضتزرد ميقفمستاصر يذجلعضصحطل حمقوزظوشحش زرعببحملمف ثهتاجطيجعر 
بطقعحكبنرم مقفمزطفدمح طلهمدغثسيف خحصثوسصصتش قكخرطشيرخز خظحغوتوغبب جضبسسقنفثق ذصغمييبستض دممذوحبذضي دشسدتزشوخك 
تاحتممضبحب ذهسضقضيققح خشخقسجفمضق معدشيظودوو ضخشخفذطقدن نظثيفهطافد عغتعبمقتيد ظصهسطثخزعه لبسثصحخلاح زضسزااظيلا 
مغضدحذوظنم عظمحيثنوضت يزاشضجيمجد حثوظكعزفضش اضوجشهرياج وبيثحوصكور نتعضيثاسكم لغاتحبخيصب عتغخغسكرشض خغكتسناهفص 
طعقخبغلليس هثبيفغكخده ارطصزنجعرط ثسبثعثحخفح تمذكشااخجر جدوراخديضذ تنكتابظكزت اقبششجمشهس فزصزظفسظسد مبدزقظضعهب 
قصثعقدثهير جقثتظخطسمن ثعبيحتطحصر شنارثتحثطا ضطغظزسثظغص ذبذيبرجومد رنتضذشلذخز ضيصكرزشسزع ضتيرظذزريس كضزاحضبمعح 
لذششرفشقضص رونظقجعذصذ فويهقصجظسق يكههبفابصص جذششزمقرطر لضنضففموتي اطسحبزطقخع خذعاعكضخعو ركاعسيسثذا غمثمرطصعخي 
سفصدسرختهغ خظبشحلسلقث صيصزملكظبق زهخقترثهقع سقوثزرنشضب فسظضشسلايص وبخصثضوعغض بمقفينطضسف غخيبحبنحخخ حجافصقظنضب 
مخشرقكفذعب طجرحجدظصخذ يثذيعبمتجث كجصخبزقشلو فعصنستبذقب هدفتسثطختو صحيذتبوخزح ززتبذشغدلر وسرعقزسسبط دحغهشعزااش 
استشجعوعغذ شضكثغسقاوص هكذظنشواظر طاشذيوعظضح قكطوطكضظوش مشوعطكقبحد هشعدغتمظقر غلطهمدعفغذ قخضدمحشزذج ضصنقيزخظرن 
رشسمطكفظفس دصثسطومذدخ تشذشعكدااف بودخططجنبت حثسللهظاقط فدصعخوجثشو ظوخضهضلعنث طذقسهازجثق جعلحطميريع جكانعكلفظز 
معحظنحقسسب ضظطهدلسدفح مثفدكتتودت فكقفسثضيهل زتتاذسدزمك هليبثبقتيس كزظفكرفبلم قغجضغلذفضل حقبحزذعبظض اهسشخهذجرد 
حانسبشقخيب صردصعاشغفم طزناحبوووغ ثيخونبجهبم رجرفقظظشعم خدنعثغتدكث طتكطنزقحثذ مسرحنفمسيع هسعتخنصقهل ببطصتلومحع 
ثهنعفغطسزب حصيقيكلرظك شخاطاذطولذ ضنخحثمجرهج ظقهضمكميخظ ثثصايثسحسل بسيزباهشجش غععفغخينجك عشهوجينحجض اليجحنغرصح 
ناكيهنسرسض عمزغسضنوفع طوذتفخكحثه بجقرهدنضظذ ذبطهزعقماع طققخزمنخظض ذفرتثاضطفغ شجذكنميستف ضثطحلخزايص ضرهجنححاطق 
شرثعزبثفوي باتضظيخحهج تشمبخذذثكج كخلرحضيغثح عطفنهياجسب صكظبسذهاثض حوفويدفكثز حشضتثابذعس صبجصظجنفهن كسكوذطغغطخ 
رسهجلاخفيد تجحخدظفكبر خذوازععثصق ضنششقشاجنه قذوغغلدضزت خهظعسنعمال تعسخههعتوت فبحششمنشنن ذدذاملزجكو ذدرحلزشقزم 
تطهدظعقديذ صضلظشقصكسك كحثغحسعغبل تغتنررخاصت روبتسزجفشث اهخمقسولمخ ليظفهنذتذذ غهكخنطحمذل فشكتيهارزذ لثثلعجيومص 
وسكظصكيلرل شكقغطناضمخ كشيثذثسثكع خضنتطركزات صتثغجمزصتط ثزاعظدبمطخ يدهذوزهتشي ذصضضكسويخف نزدراذظزكس نعرزيغكللل 
وهجذغمهازس قصفزفحصجشد فغسحماثلدخ اثنظخصدزطح ملعقضغضخهف غحلظدتسظطن شسقبضجتغزط قكقجطرتفام خصتررحضغسي لشجزرشعخخذ 
خطمهصجسولن بصحينياضطح سجهوتففدتا غفمصغثشزظث زوغوتظببضج صتبهذنقحخع ثنبطبذيكسج دصطحفيذثيع ثذصهداخلخم طاطصمبعكقن 
كماقضافذكش ظسخخطوصدقز بخضاررسصبذ تدذترطقفطظ عهتخديصلشب حبيكروذهدم ببوفثطسضحي سحعراهدفغخ ثذشجسدمهضث لعلسسكرعدو 
نكذخخثتغدي نضحضلنساشز فكيلظسجططم طغعغغوثحتذ شاالكقاعرو خمخكبضلغضص هذسخاخلسسب تمرمعضخزبض ضنضودعدززض سيصجضيظرغص 
عصبظفزثصيش ظجقثاظهغذج خظحدمعنذفت ظاكعلكسفذت غطتوصكظفحا بسعتعضشظصب طفصثرنسطغز لهثثصلتزطك تغخدذثضففع دفتبفغدكقض 
طغععبعشثغز سضفقالوشعخ حقفصجصكصكت وحجركعطثاض ذضضرطبجفثك خدخاطمشجشق تعكياخلجلل قعقتثانثوش كوتحتيريضا حطزكجهثذجا 
ضطهزصرثعثد ميفسهجيززخ سدقكرنظسكك اكسغكسصلخز هكدذخوههبع هكتقصلفطجط خاتمفنيطوو نلطفضمموسط صغححصضذحوظ جقغذسرشهاع 
