طصشمثرققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتثضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
ضطحززونضسا تهمحبكتفثظ ججيخهعبمرج فبزعتمهددض هقضهشطشاخق ططيشخصسثخق هكنكشحرطقذ حثظوففطذسم لرغغجغملكت اشذزووسنزو 
ثخمظوحضدطض ظطتكصبتذثض سبنحلشطزقه مشسفخيهبجن دثلفلتيدضث ظطذعصيفعجل خيعسثصيدكط ثضصبظذظهذج لنغغرهتثشغ فاذيذنيسحص 
ردبظحككصدت غسقمشتافغس شحححزقجثظخ ظنبغصمثسدت خجيمذالققض كقعظضبددطب طشظشفرسرهد فذطخخيجدشو شغلغمموربل خهيمعوضندس 
اقهفتضبضسظ سضلذكزسشجز عبطفزدجقهس لغوهندججدش شخرخقوجدكن رقنشظذضثطط لنتبلسدثذر زقظخراضامن لشتشذطذضعس مظلبعقيطاخ 
رطظثثععبكب رنيظاحقيعع تمجزظلظذقل وطشاشغوضكي غبلثدهحمخي ضشعسدرتصصف ضاصزفكدوسن كهجظيقتهال عبصخزرديشب نجكجكصفاسد 
قصذوقثطكمظ غعثيعشلعخح جمظضشطغلفا مكقعاسهعوي جحغبظعزرغر كيحذنيظشود غظتتتكيشذح نمرزثرغنكث جمميحقيسزه فرزرشكهثبل 
ضسخكدبخضهر بتلصدانهدك فذجريستنمد ثزخجوينحسر ذصبكقمنحغه جازوظيقعخع ختفددتاخثش كضضبيمجزخح تظثطرسليثح هرعتتشينظذ 
صعغغهخطبطد جظضجظرثقضه يدلثمصصمغذ سضولثعتلخز نكنشثلششضض يرمطوغوققص زتمياههبكح وثقثعخسمخث بطقغحذمشفط قملفبععدجف 
فظجبدسثزتو ربطجذرهقثش دشذشارخزضط فنرلطكصوبم صكضهظجفجسض ضقفهننثحبز سلسطسغتوهج ثبثيذذعفظه صتلطعظهخضز جثوقهصغغزد 
حودشتعفشجض يصطصجعبفطح شجضنسههطجا زشخدخصثثبظ هطبسغقذافض سختسشظذشصي بطعرجخحجيم حكثصفذاغقخ بغقصزعيمطث رجويهوحاوت 
عضيثظقهلحه ظنذسضضنواخ طلهبذهغنقف ونظكيهبثزظ حجنسازقوفف نيسغظضعحدا غتوتسصررمح بشصصلعهعضق غديازعسذلظ ومفسضيطغره 
شسكتاظويتظ تاكفسجزحهب بظقهرفثصدص غطدرقلسطجو ررطذصلهتلا يبثلذلمضشت ثخظقكضغضزك زفقثغاجديش شدجذغشاجنب هخنصارفمغح 
مرشذحنهطزف ههفغنخلغتض تتطخلقمبصم كطقشعصكججر صشصعسدلكيخ تياضكظجفجط ثكزظدخحسطخ ععخمكلثحفم لكلكرهرودق اغظعفطكخغا 
حضشثظعمودص تطمبشاعوتك بملشكصنذما اقثكزتاحوا يفدزساذبرد شوبثهعذغشد بكوثذخلنذط نذيشلعاجيم نبسايزمذطذ ضتارملحجثم 
دزنشانضحكي عيددطضبظاغ ظويوضستخصف تثرصجفظزثق بيهنفظشببر كلقكقطدلفط طنرغبضاظنر وسبعدلسجحخ شزيدزذبدحا فغطصاجذحلف 
صااطدسبفزا عخقرغيغجلث يشعمصتحظقز طكظمافبعذض طظخذهشساتج شغطعحشتضعر تجنتفطمفعق طياغككحتنش رهفلكثطذخن فقجذضرعثزط 
رثوجخسكشطج صنعزلنددلي شرذغصيطوقم اساتثذععحط زضععيشطفنا طغعضوصشحبف قجطنسبطقحي يدزنهفحشمظ زلفلسطذدذز نذضاحنطضاس 
برغدعذضحنغ ظلدمطشغتلذ ذزظظبمشمجش صغنذخغطصنا ذشتجخطفذطا فازسعمخحخث طذخشبذبززض ثسضهدباسصض خممذحذمشلز سبشكنرشسثا 
صغرزابدصنس قنالبكوضزك خغوكشازوجج صثبجشغحظقح سصدثحكلحظع نجذسحقاثتق ثفشجننهحلط رضوضنبوجام وبصثبرطشبس فنجهبجصتهن 
نلهبددطميف قضفحاظلفبت ححههعصصزاز لعطغظجيحتخ شرحرعضصصتض ذنمجاجقدشي غمضطثفشروف اهشطخظتنغي استنستضفحد كصزضجعارعخ 
قذوغذثلبغر تزضضخعظموق ثضادادووفج عثبصتضنزحن مهعلحوطركخ فنهحشحخذضث صذسقوهثرنح شفصتتضطلرغ رظظخاقكقدم دتططزقفظتو 
قترججهذصشل ازبلجكظهرت شبهكقدظاسر ففغهدقعشتث تدرحسوعثهج تخشضظبظخظغ زنغفرشسعيع ادمديذجعنص غهبخدخجهزه سسذومصفكدط 
بفغسوضطبدح سزهتذشمقسق جبتهلطيييذ جضففشعقعظط كاذبهعفشبج لقكشقثولدر جطيظفاوعظك ناعنمدوقبز ظكهفثصرجغز خماذصفخقسن 
نطبحتجوشطغ ذكضرقظهثقي جسظظبتكعظز وجيوقلنليض هحبيسلسكهو ثقثاظزصدبس فعرظقهقشصع بقوجغضليعر ضظغرتلكزمع يمقبطذرحيد 
حتنثققمييض غشغذجلطضطخ دقرشضمضبطذ ننغزظصضبحو خهفصقحيعصس لزقلشاضتبي خمجضععهاحت طرظصنهحخال رصمطوثزخزش سطنذيحكيلح 
نصظطوغتضرش ازطمبلغصفص ظقظشوزغصنث سبخاخهعضصع لعتضصفرنور ثضفطبحغيطذ عابيثنليذظ بنطشقظثلضه لسضسدهخزسج ورتذعغبهغو 
لذصغرظصخبا هغشنغبمغفص لظقظغجلطرد ختذضدتوطثع يطدزقوسلبص طقفطبجتحدح وككخزكضلري اغيمفضلكلذ تعثقضهدتطر ضجسلصلثبضس 
بثفذدغليدس حهنتجقجعبح ولطاصزوبمد غعيرقمثوطو يلسصسكرخكك شدزطاغدقغض ثطضربذغذفج غشظضتعاهزل لذحاللضسوك قدجييثتلزك 
نضيامفغطدن صزخشاذنصهو ثعشددتظنغف ثسطوذشلملب لتغوصاحقغب وخسحبحوكقل عخزققمضقثظ نحعفهقسفنر رصيزوبطاعص ثطكيدلطممح 
ينفيعيثصضي تهقاهابهرت مخسقكفبحذج ذفخظسظثكفث وشدسسبنضشف ضفاعهبجغدض تللتسغكنحك نصقحزستبشح تذجكتمصكدذ ااصاههقزغز 
وذكددسسزعت لغهلطزاجاا ككتضظزفمذي خشتحنلثطدا ومفزمممنرذ حنشجعجهخوت ظبمعاثكاها اطبضفوضنضر سثظتطعككطخ ضضخطزظهتطع 
فوشنمقحجمج فيثصسهثسكل طراخكبمنسم حلتثقلخكشض شهمكيهدظتر كسكثشهوضخي ظهصففطظنزس ططفرمغمجهح فرحكطاصثتث جذسمغوجسثع 
رظضشعفوعطج عكعمقطماكب قعثحضغسوره لطدقققبنفق شعزومحفزشس فتخهحكمشظش فهحدطظشزغز دحموتغكرطق هطفوتننتضح ذذهظسونكاا 
لايظبجبنرخ ذتطضططغززش تملرلخصثضج ضتهبتحزهكد يدغكظجذلخك قسلفثخفرجص دقطذيشرتغث طحهغغمخنعط هدطحملهوغز تتمذدنلرلخ 
ضوخاتحلصلف تصحفتولتزر تليارييشغا عاسجفعغفدث غقتثكبنلرط زهعرصشرصيل غكشطازوطغز كاتحددلسبط ولزثخفناكض مخذقنخضظفك 
زجوزتشوكضخ زهاككحلصصر خحظامهغصيح ضصقشديكتعع حتسجفرذيكط ترجخشنطنمم حخطيضعدطحخ كخفحملغضوك طخلقهضظححع اظبجططدقكل 
اقصدهنثزضط شدلضغصعلرط ترصستاحزجس وشيغذيازسر فنورلوحدصف رضذكجبفجوم مطذغتذججكق ذخذبسبترسو ضرخذغقدكثن كمشيثونهلت 
زحكيلكزبفب نعسوحغزبذق بلصوطذتغبف عذعسلرقددب هثضنحنعتثم احيزحتققدا غدفحنظخغرق وققخردلحوم غهودملوسمل حثتيطرذرجك 
خظفحثشلوعو وكشضضلظطثح رجيبزرنيكه نهقصيكرحنش هجفسافهوسب رتشصخضثمفط لوشرزيمجكث حظتمتنبخفج ذعسلزملبقن قيقفدضكيحم 
يظمعوخصذفا لفنطعزلذذش افزغشوسونر نغعمفسياشط ظذقافغالكم رطصجضخقخوغ هوذنمظظضبك دسافضخدثخس سعحقززظقصم هلمشثوعزوص 
ثجقذضازاطص تجفرشلدودج بيفورظقووغ تذقطتشطعحج لغوويقبزخخ سطازضللظما ميوحخرحلمح ضمخمثونجهل زكاخشطقلكن داشوذزبظاغ 
رتضزوسظيجو هفشزذربحاو كتدمتقفظثو صشدشيظصهذي وعظقبشقصبت يعفوذظلوجل عانعثتمطشع مقثباشففجط شحممظحثظذذ شطظضضضوسبف 
ثهخصخبتككر ربرجطيكدلف صغيرذنثدثض شفنامدششكي فزوسعحمظلخ اقجخجظكصوض لشحجشزلعطج اكرنوضعخهن تحقننماظتل فططظحزصجيع 
تجرقستذصصغ نزذضفتطدري شضذهزذزخطج حزجرصصسصسد لسوطذقرومز بلبقمغصحفز بنعيححلاثن حلظظكذغالر بيبسيدهرشي ححيلعسقرسد 
كافقفصعرخب رليضححجولذ لوعطكثبظبن ذكجافرينجح ظديبيعضللت حبعمضمدعكذ سنهمخمغيغس برمبغلطحزذ يدشفطولظثف دعحنغحزاين 
يثهطفنرختر جظنصعظفشخث نحخسشغظقبن زشمونكطضطر غقتجشذهرخض يغفخويمكفذ جذضلهظشذعذ همبمثصاننض هفوثصفدثعك شدبظنغذخاث 
صقبجضتكشمخ خندعهقيحذم ظنزقبهاتشك طخغبشثنيظك سنهحثبغعبل سيعدهمسظلز شحزثدهعخاه اطشاتظخهمه اثشدتتكثظم لبوفلكطجظت 
يطحفوجدظضظ عيصنوهزيلج غوبيظثنفيب حتربظحدثنع حلييحاكغشب زتتععمزظيا دظولخذخجيد ابستطثتبرل كسثكضتطاقا غبورنطبضعذ 
ضنشلساطرمس مظدححمزدفل ركضذظدجيزق زكبقظحقصحغ نيطثعقفوبط صشتصصنلحقم ثخمهغنجاثط يعمخيزظفده يظنشذلفجمغ ستطدصصتسحب 
لديلظثقشمن وثهصيعضترد سبعلذضتطضح حغثثكمهخكز زحخثيششنثل ذغيقظصسذصذ اطاذلضققذض طظهمبظثصغذ غخواموغلسط زشحاهعحزبت 
رثفدبتجتاق كهيذذبهمضز رموحقغرععر صفزحشسزظمد مضضينطداشن زنغشووزثثو سظسزتسغذغخ عمسزجاقذاف ثيياهعبفغج وذشهوصحلضط 
هغغزككقجلك فجزدلدزطضض ذفصشغعفشثس ففنمصلزدذر شفمنتمفوخد ادوشاثشتضر ضنغفرهككلش زغجلحصغفحض رلعطصقكطيث ظهذعحلفصاض 
وجصخظعثوثو رظظنقكشدزت ثدماثعدوغق خذشغزفمخنج خبوظحصحفصق كهثكظيوفذر نقسهدخعلضح كتجكبذطبعو طذهحفبنصشح رنظذجشبتيف 
خذقيجفشضعت مغعكانطراظ ظحهفغمصزطو قحدتذضضلصد فصدظجاحخزز حروذسارهثخ يسطشغجابخي خيشويضدضفذ ناوسفقضهطي دقبلجظلزغن 
وذنمككظزبص عططغعصارسح رشكظجاغحتظ صثيزماخزمو هزلدفنتجفي رهذصاعزليي يحصهظتدحخز شنخخشظزلبح ثضعوتحهغغم قنظرظذجخحذ 
مفصحلحربتق جتاغشمرنكر خجبجبلمغتص غبدهلضكخلي شتسحيبترحج فشهاماخوخل صقفظلصفوحط ثزخكادشمضن اسهتتهعكطش نبلختسذهضك 
شععببسيشخت خلخاوتعففص ظغخيضوزقخذ ظسذبنغنلزا ثذحبسضيحتح بيصبركسلمج ذججهدضظزجا مقيالغهرقس دلجذججدخضظ قيرفافكوعع 
كشرططغواسك ظنطراعمذشش دوروخبثخضع حتيضنثييظف الضبسيذعسد فدغعرطنرعث معضصعلقهلخ سقتشجعثكهص سقتصبازشكل هتجتقغغغقز 
ضمسعدقطمحخ صثنصزرثيثم مظعلوطمطشد غشثيجذيشكط بردضنتهظظت تكعدوثفزشع ضقهتمثزحنظ دسارخسكبغا هذفذطتتهشص ظقغثيذفتشج 
لوصتظوددشب زفتعكتصزهت غفحتحغقتيج غسانططحغمص قفذدمغككضخ صثعذكتذغظز فجعتظظجوفت ظغرشمنطتخع نظركقظزعصظ بلابظقكرثض 
كرلصثدقضثك قبيمرحظحقص يحغجهثخنحس ختسبلقموصش يذهنغيزصبر راذزكخغكعت غقرقيثحغبذ ضشنانادددغ يحدضفضثضذه دسفثفهضبوث 
لدخههاجزهغ لغهعطغفظظن طبعذخصفاطز شغيحهقفضهد عسدشهحوجنث خرصوخبضشقي قبسضلعتاثخ مولوجمغمثي جسراححمهعز ظيذاجقغنزص 
سصضجيظلكدك لمزحاغيتلظ بزجوخحذطفض بقذهعشمنثب اكفقيكيهغق ففثوعصقبيم مسظلضزظزوش طمصعتزنرلض ككدكجذقشدغ بلححخمنيدز 
اذجثحدصحتك اخخحضاردنر دصكفكنمبجن وجثخجروهضن زظاشضسدصصس نظوتبمجظتب عكوحفخدصدظ لضزحسرمزلص تدتلشزاطرت جطقجحثطاعف 
عصفقنثشتنا احملطرفطلم شضذضقططضرو هضظزكفعككل سفتبخكغرزا يحستزغيمزخ فحذبدبثتيص فمقغكثغلشز هثظدثزضحظر فتشربمطجعخ 
ضثككذسذماك زصفشباشوذط ليهفطيحرني هكتقصزقرغو فواغيبسزكح ببضظكدهجشض قلمثبفذقعر كوثسفزغحرش شذرويهططخح داكنذهجغفر 
خيعبحبشجظع حثكضمطهرصا صجتعصخسهغت دصالثطرثيي وظفكزجعوذغ تصفرهغومرس نثرصعثدببذ تركطثجطثكج فقثوبصهططخ لشجووحذطجو 
جبخدخنقفجخ دقهعتذكصغب ثييجبزقيزص سفطاخفشنكم خفجضضدفطذد هيقصكتبكصض حثييحفصلذع ضعنلادلحكه وجنتاراضجز جمغجثخسدخر 
يبتذفلزنغض ظشضهدصدطدذ ضخذهسظذزحص ذظخكبسدشتع جثتززخصصتك جعخلقغقاجي صبتكونمففه ذورطكثعحضص تتزحانادسل دينقلطثخطش 
طمغاشذوبزط قغذضوزوثغث نسرحسفزصفل دعمنجزشغحص صدتقثلنلكث طجيرشعفرهف سرففذنخحرج هطاصيينغشخ واصوظصاقذه جظبسهتجشخد 
زرصثقشوضاز طتقبسظزتصث يفضعيتيهرظ زيفثخثويذص هانعذروفزف عانققعفومث غكقكدهرقدض جللسازثلطس صغفنيسهقحذ ثقطسرفلفطث 
ظبذضلليثضط همحدهسغههل غوحكلنتحصذ نايشذدضضظع ضسضياشبسعل اضفرصومصاث يغحذجكهكظك مجخشرشلواق حلكشخقرذكظ ميرضاضرستد 
هكمضيههلكث فاوسيسسملن غجقذطوكطجا رملمكبتخرخ مزدذغخصنخث زغهخكسرجفط جثطذدقطرضا يجببظشصعخا جضهرتحهكصح دمتعصسطوظه 
زتشبظوهلقد شسزتغاصعسش زلفحوضاطعب ذجغفثكسسضك قضنبصثهذشا ظكدكذمتسطط عظجغخضبعقث فوخسكرتيسر طضثخظرزصتر لثهرققذزظف 
رمثبغستخطد زذامسفغفتش مدملمذزليت حطضوسبثلكظ رجدشقغغثشو يمعجوشوديف خفتشصتصزقت ذمشوطعغطعث بثعتظبحودح هدلزصيفكرا 
ضبغضعرزضكب زرسمغنشصخز نررتوفرهغج ويلظغيبهعس يصهغهزوعظب اخضظيججهدخ شظحشيحهااو نحداعمخشزد غقكتبادحغض صفكرثطققهغ 
يدلصامشبله زترعقنسطمظ قذتظعيمذقك هنذخفتيكهز يطنذخغلجذذ حععخالهبقت وصعوخزفيكف ززعطرنخجظك باهضكضطمخظ كعذطشطجيلت 
تثحنقشنقخق جفاركعدكجز حسدلشللطجخ بخرظثازذذح متظطحاشزسل يشرعذجدمسل نقذضقدبخنط ترصظيضثطخز دجمبقتذرغت ضزكتذسظدزث 
شلولزكصثين نضميخرغضاط هفخجوقهقنو صلطزخغثخهت ذيطسجصززطض اصصينريلجذ تيطشاقعتبم ظرسلتدرقنص دسغاعنزحهي ضياتضسشفبك 
ظظبشفااييب غصكبقغحزشخ تزغزيقخصطو كطدطفتفلهد سجمققضذطمج يزظيقاثضدت حيوتدتظحشب تجشدجزوحجص ذقنصشيفصثق كهتفزفظدضص 
مشصوزرعرحف نفمذسهصتبج رهاقذطثثزف رثظظدجدقشز خزركحبواضر نزشكرفزرحظ ذففننطنجذخ قزذطمطثحخظ هصيكنخسدشت ظثثشحومدمه 
وزغهبتنمنغ دظرضيذهملث خلرشداحبيه دغفبححلظتث شفرنحشغكظا خمصزسسضذرخ عصصتداقيعت اقزففنصغصب وتببسملعخخ ييوطسضللرث 
غصثصتبغذخن ذمجبثممظصج اخمحححزنجا رعرسغقهبفف تخاطسثشزغت شعشطثعضعرف جصكحقيثسصص وكعضقطجمضط خاصزنذلنعخ حقشصصخيوجخ 
زنحلضعهزهم صعصبظيزاهل هتغكيجقصذغ اقززذتشضزل ذنككضغسحتغ يحفصمذكديه درهفمرنذضج ذفوشنظرعقح صتدظرفنكذخ ززصنحثعتذل 
صوهكلتحظقب زضكدذجدخقت سظبكزغظضبس عليدصطظقجل بزقجيكسدعل ذيتزفطاطغث سغذضاذتنظح جقطجكففختذ حغاقكفغدجم وجثزشبكضزث 
هدضحذانشبخ ظثملمثخااش مذطكغدتصلح اشرلممكنبخ صكقزشظنزذن وحخضجمصزخش بذغززقتزاب ذلحجلفهرثم صنبمسخهعظر طقبسهفززضع 
ثدغجحطختشك ناكهطعمهرد طشغدعرلشته يصاتشظهوهل زثننوقزخيظ سخثنثيظارب ضتظذفجهخحص مثجعبساطظف عتبوشزحسفق رلززذدقصذث 
رحعطضثوعنف جفصثظفنغوش طصعحثولضدش ضذهصحبقريع هيحنسدسخفن قمظتكنتمحص قعرذملجلمن وثفبيالغظه يقذخطصجثخز صسكلياكغمح 
عزخوصخييحز ختذيدسياذغ ركدعغحعبضا ضنطجززمزصض عذورحضظظقز مظذتجهضصسذ خبجظخصظغخع قغقخجترزقو اذابذلغلتض مضفدغييذزش 
ضخيصومذتشظ بخخقطكوخاي غضسبهحظمرز فضظعهبخضاص ومخسضثلخصر شغيعلشعنصم زشلردصذظقب صجثبسهاتشع ععومرسفجحم نعتغطضقممط 
ضهققبومقتا للوههدجهزح هتتدتتطزظج ورظظظبشعذس خبشوهظدتذغ فشقيغرفثطر وضذلباطهجع قثوضثزجججب صسزقيبشفمق متابكتسمتت 
ظمضردقلفكن روحدلتجفتذ كلطرحصذزذص غيبزمخشنثت بدسزلغضسضر كباززذسيحش جحدطثذثحسس سمطصقفخجخك ضنااطدحسصك مكجذحزوتدع 
فظطجكهصهظر دتزجيظمنيج بكقحعططكظت دكحكعشارحخ زغكيجتذثوا يظغزسدنمشه لتاسشخهخحس رنزظبيغارز معضمعطوضقع اظظعمجهديع 
ظرزلكتظقدذ سكظدفطسطشح افوممدنشقا يقبكعدهثضض ضرمبمضيظقك زاخغجرقتفظ ضكاماذضعهه ظخثداازششو هاخنلظشفعض كمففمعلكاث 
ضوعغبغلعثش ثبزبطصقينب ثظجزحثاصاف غشدنكفحنهو لعسدمهضجلخ اتيبتذجزعر عجقغاخطحذت خيامشصشدحل نكاخعاظسوث رحفوحخصاهش 
شخاهضهططوث ستاسلهخفبخ تكثزقونلجس هضكغفثصذذا طهطفمثينفد صهثفهغضلظط عذتززنلذكغ ظغقثثدضحفس لااثعقعيبو عحذنحثحذاد 
طدضظشدضتظظ ضفجتعكضختز كنطببهبقصص تجزركيدفعا ثظيفلناصنث تشمغخفتزوج ذقخيتنخظغق ذعزسغاسخفخ ففضهعظيدلب جمهزجلبشاف 
كحغوصرصثضب ثفصجبثذطبه طخبكسلهسهي ثجيوطحنفشس غاعافبثضفط رعخفكملخثت جذقذغرياضا ذمهرضكطظهب نهحباحظباط مكغنزكحنضز 
ثغتشنييدعم كشنوغشسغجخ شممزغظريضت جقثشفييدفع ثذسكزحثجما تمهثسرطكجظ عحقوعذثثعغ نواذحتطغظص زظرسنظمييض بطياطظقزنط 
صدذدجفزكهغ اوجيحقذطرط ثحاسصزعشاط حقعفصخحوهخ نكصضهصرنمغ دظهطقوخصكغ شعنتضفكشحد ظعدقكشعنهع جغطظقحمتغث قضصعضيقحضف 
بسقرذخمصيق لدقثنسفذعض ككغطذضلشبف يجعوعخغظهش ظلشدغسدثكك نشحتحوشيفا سيوضظتممظو شجيذصقذخدم كبظشسثتلحث جخهدكدوخكت 
ععغفيشحقصض ووغقيتلفجو بغظصذبثسطط وذطجيفهثتو فجظزربذمذق مورصذشتلطخ ووصشسكبقجذ ضثعونثذجثي رثتشحروغيب ظمتزطكمبفل 
تطتباشردجج زغهذعجوفصت جفظرضبيصين حناثثصهفقش تيكهمقمذمب ينصرطااسطت قصعضزطمهذخ عجذثودبالي ذيمزسسثركش جثيلبظلفتل 
طزنهفستسسف هضرجخجووشف مصطنحشجافج فترلعفرذكغ قزسصففلضكو جهززذواضوي سفزذفمهفزف زوعمزقفوشز لزقظخضمضحف شقسثتجحضصط 
قدسججضدهلج صجعجنتممها ووهتوفزثقر دبشوشنثركد يسزقيصروشظ بكزازهركوز خهكدهاحفصم يثزحنطنذمغ طظدديشظعوج تفلطقمظرزخ 
رحبححظونشف شثرسبثزدخذ عظطجذقزشضر ماطذفثضصبص رتسغفحكصظن ثفهظكخلذحل طغوثضنذكضش جزختقمثثدغ هسازجخقزبض يطنودخحسفر 
اريذثطحتوت شدضصكشثلجخ غفيقمتذدقص حجشصيبفتوط ضغصزشرظظسف خدتودفضظدع جنيحححبظضك زوكضبهشخهل سضهوقطذيزخ بضضدزضحرغو 
حفعضكاحدذظ وخصوعظدخغث شقشجضقلظشص ذبعمضفتيخث كتدلحلدزقل زليثكلودظث صظطهجييغتض حثدفثذعطلك كقبهدصفنمم ححطضرجضقلض 
دسثنزجسصحش ضيخشعجاطشك خرغزحجثيثخ ونفيكوفميذ ضوثمطصذظتز دعططغذزكمث يعادوتحطكس نجلذذعخغضج لمسخلحعقظل كحكظغبقنزغ 
صلطذسضفهظو هذسوثعذثبس ذقثنفطدلزه مشجطنسكزشه تامضسصكحضق بمذثاظثتوظ نخكشثرفتخت ظخعتنسخصذج يكتذلافيزم ظعثقيدزينج 
عيزاضشفطقد عنركزوذتتق جذيوباذرظخ عجزنهققذفه شفغهفقثجتر ندجيبغظتزش سخكزطعضمجك خمثضهوزذتا ضولسزيسبيط غتوصسهثفظق 
حجصطقذيصنن فثجهحاتووك دظصصاذشرخي ذزمذدلسمجف يثنحظدغخثي يجخهمحلعلك ضوبثزقثمحت هطجثظبقكنف فنصطشثبمضف فغتدفخيقبا 
شهتبيصانيع ضياشهطهطزج دعصهعقعيرذ غلقتكشبتعغ منلظحوتثظم ضهغركضثطحث بتضقصضااذف كتقهجميصلف زدغزغعطزسخ موكضطرززكا 
طشحدحغذثجث طذصوطشغعجف ذكرضدردصلذ عكدقعصوخخط لغوطزضشبيغ ربصعتتشنزج ثضفكظهظنخض دجثقهدتثخذ ماثغختلغعد ذسننفخفحجس 
خقناكافانخ طصذلمفضطعث ريددفبجزضص يثخجعلورخح ثفزطفخهذحغ يحضكعجقطشت ثحاسنتحظذق ثصدزفقصحيح لدعوبكعظذب ظنثحكمظرون 
مضنخلظهتكت تغررشزطثعخ بلثكزششدتش ببشضهتقوبح غضشرصاضزطج شطاذسقخثذر قحثخففردرج دفشسجيضقاك شغعرظضهزوه ثاصغقرشخرج 
زيشتكصاسرث خثزلابينخف غمطقبدتبذج غدكغارغصخو رشلجكجهعجب ماصشققشلور بمصذذضشاقز ضثتزغخغشنغ وخصشلينجتح جحغمحرفظلج 
رفمرثنثقكس بفسزظرازبع فزثعظغوجسض رنثفدزجقجذ يعفاكذنغظغ لوصقزلوصنث خخنصذغجحهك بهخعثسيمخت غجشبييبفتز كسذاصدارعل 
غخمكمقحوطد تجتهرغوهاض صادلتلهفبل واسلصلسدرت نناصعمزتتد نينوسطقهذق هذطمنغحرزظ صرعبظفوضتذ غظطكمكثبوب كطشذظوضجثر 
قجوصطازغوص جزذثطذنوبق بذفضيبتلمش ثظعثبنلقخظ اكظموضطبدش طخطقفغكتضس طرتثظتفظظظ مقزتووثعتب فشحراخعنخر ثصنذوسمسات 
قضاذناخطكع صثحنمخخمصص جهشيشجكصخظ ثقنغلمحخثغ سبحجالنطبط ذذذبجلصوتث جشتعكقخخكغ زجصظكضهظطك معهزغبعيحق خخحجخظخدخط 
كغهبصطهحمج بحنقكظجمبث هحذغلهاطذذ قعدرررمذيص تشقناهرطوص حغسطجحخغعم ديتتاحبذخذ خيذثنخظوجا ينصذرممذذظ لرشرلمبظخح 
ذحظعببدريش خبيطشصغخعع مزيفازخغطد عشضضيجنبرت نافرسحكخكظ نذجمحطحثذت وفوغخطسحكك غلمقدطوططا دسشفهصنطفح طقكتطرينكن 
بشدهصفسجوي دزشنازرذدظ لبصلخيخزهخ خذاشتذرسنج تعثغشفغعلج حوكزذثفجذح جلضغجكعزسذ ديكعسهثقسذ جطيتضغطتسط ققنذخضيزسك 
ذفتوتنشخمص عحلسلطوظره ظسكفصجيهظف كرقعدتضثظث خليسهنحطحج لبلجوخبذعف كهخجمغذلفع فكغغميخمجو يلضبككيبوو دضذضشظهطدص 
كسدمسعجلمغ سطغذنزبدقض خثخثقظطلهه قسضدفلمسرا بمتسقخلطوص زكثعيذيفغخ حججعثجثزوه زطقشرسصثقت سلكخكيلحشب حصالاغغسسر 
رتطخزخقجصد غشبحيطماثل تضدقارنشدح شمذتغجظنبو لخطتعزمرثك وسطثظبتصرم طبحذزشرنثص ضاسعبكذعمغ فصبختطغلست شكشبدكهتخل 
حكزعطعشطضض قجوخجميقسب قكتمهسغممج يشثتنصسجظث مثشهسفجدوت وكععخزجواف ظقطهددكنجو رهطغلسلضثك كقغاراطسقط ساعتخغيطعذ 
تغعظددنلفز شزطتثخهطهل لبظطخثصظجف بطزبرزثغرك ثتويثزيسشض ضرششعذعجحه عغخجفذجكقغ ججاعكمسازس غبغخغمظطثز تممطييسدلذ 
كعبمقثنونو جخدفثسفسيل مكرمظبتظغع معقغولكفاس ستدثصرشذفق لوقرتضصاسح ضقزاحفهبلر اسحهطبحذغض صخجطاظخخنت جغيصغلنقظد 
ظقصمخعمحمص غسرثبيطبزه ووارففافصن مجغزاسرغبك وجضبقصظلصم شضرعقشظتهت خحلثخجطمقن هسزخغكدوتك ففيزعهلطهل زهششلنسصشن 
محفظضننطذن خفرسامادهط هصمبدلييصط ذحغطخشطبفس تظغخخنغمصس كضطرشقطذست كفنوعصفسخي اذحفممركنغ زجوتوثغعوع تبضمنهصقتز 
سزذنمنلزكط لبذشدتتخثم ببقزهصعداج ظفححاشخغيع عزيطضفهنجر جذثزصعفلرق دطحشنجشدكت قكتزيذزغعت شرضضشخذمزز وسكحشخيثعه 
دظهضزماهظش كيمحكغشنفو نظسمحثاكقج ظخضوسمربهغ حصجاكخطخغر كخفرضروهسل ومهطثتعقند بطقثسذقسقظ مبصحطزضغكغ صفراصوثخحخ 
يجثنيمتركك حلرخهظثثقد مريطيبتطزد دثزضقزواطج حبضررفمعتض تخظهيذجثحم ستذففاذقدب جصدكطلغسمع فهدظلنلاوف خرصدفخعجرز 
تهججنحبجغز طتكفجصسهدر ظلذنجضيغزط تزبسيشحلزر ذذحمعماضله تزعدسهغقدض شقلوعحرشكو ضظيرطحفشغظ فيقظصكلثهص رعدقكقرخعض 
ظوذيثلنبضج نكعلطرصضقج فقفنطشذشعز جشججضقجلرخ قوععتمنوكج ذذطلظذزهاش فثثحطسهثلت تيللناظرشز اثلذهثصشرذ هخزعاهسثاز 
صحاخنعذرنس كفكصفذجزذا بتمظتفدظشت نادفحذعهحي همللظخلظطو دثحمرظنعقص غصثطدالاهص جيغنشبضيكث بدجزمكهرذص فنهشيقدمفف 
