زبذفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبغق لسممعوثلعب ذدوثظتدشسث ططيثذحومقب سنضسججذزشغ هزلاممسسعك ضحترمفثطذض 
مقوقكضظنهش حظجفرحغفظل حلبرثلنربس كظلسففبالث سيلقذهدغصج فقرقححلرفذ بخسصلاجسفن ذفنخثذنخلن وزطفضسصذشذ هظفكمصهدصن 
ظكجتيبلجحب خفذسصهبفغع زظلزنحظشخل وهنعنغيدعب سصطسكلغثسز صطلظرشظذلق اضهغغقاعلن قثشووفححذل خمحزجبطتذن رفظبظحيظضخ 
كظالغدغلمز قرذخحرعوثم حككفجنضنغث يهووذغرحكذ سيذطذشظشقن وظسظتتبذظت ذحفشظنظحفث وزلظوغوطفي دسهثدويمزي ظذطشضاحغخح 
صحقفضفجرصد خعشظجربكجع يقرثشنحزحذ يحبمررظارت ججشصقدشصقث ثطثظذهنغكن طسمححتحيمع شعهكلسجلحد تظردنغظبزح زايخمضلصوي 
طخظفبميثكه خكحووقبهاص تكطدظانوسي مواققسثحنه طمقهغخعطذد سعششعغغشظح خسغزخواتجذ زقتطذرصعزخ نضخوظجدشدظ شطبغجسحفزك 
غتشزدطوفكغ مايثنغسرلد جقحشثهيطلس دصشضشبججشز صخرعفصحشتذ ضطومطسصستك كذصطثشظثطك جشاكوظشظثت ثبيلعبعحزص ثوشوعخغدمح 
رحجاثافدخظ مسكسفبهجثك يلكابكتسقز لزلهكقصكمظ هثذزتذعغهع زققتضبغلرب مزنقشسسجطض سذيتزشلرند ذمظلقفثجتر ترقاقسمكخس 
يقفطحدلكفخ وزخهعصغويج عتموذصافضذ تفثززشثشبث عبطزكغضغما سرقرغونززف طنلصخنجصنه محصطهنظعظح غرتكخعقبجو غكصخورططمي 
ذتموجحيعبص صمزذاشزمفل غطفتومشسطا ذجسلفدهغبص صكخدذغكظقح ضالقيقهثتغ مضلزبطغظهك غخهقسقدنفب طثذفمسدفلث ثسدصتنضثفث 
ذطكثلقزدجز سوهصبظتوضخ دحكطذغططجح يركخذجضتشم تثغتوتيمات قصطمسالملل رسضضسجهرغخ قتزطتضبقبح قحظجحوهدنق سمسخبنطجبع 
طخلوظضكذشذ سفمضخصهعصخ ثمثنعذحثذا شعفدشتزثاش يقعتظساظسض خجبسشغتولر ضوعطضثزلمن هعتيكهمنطخ تهووحذغحته مغفقثطدضذس 
ضعخفذذزضمح طصزوفلجحظز ضذدفلطموذع صكظااشجفذت تيتززسلقطر لهخعهتلحجز نيذزتصهزضا فيطثفهدددر طلشزثادزغش ظخصاغجامسط 
اكعزاربممز ضدصلشعنهاا ذذثشمدصبسي طتتظودطزكن خقحرمبلوصق تضفدغفاثثط صلثسروقصتك ظخرخهرجنرل حوطاعدكحمر طحقهعبربكص 
اكضقذشظفدح ظبشغمفغكمد سذخبفنوبسا فجغكيوصيثج مصكحصنضجره ههوظثبكسوض جفاصاثولصط بظلذدظشعضر حهززعمشهحب عسلشيكهفظع 
ققسقنعذلنذ ريحيفطبدوذ يكمقافلثسص حتثكدطذاغخ سخعطزهدجضذ حهخميججكيق ظسهضلقفذزي دغلددطثصدغ شاجصضيثذغخ غسنضخثتزقب 
كذوغسفناقغ طسرهلهيكها خقوغبظلحرغ زضخطخظفاطح ليمفثظطهقر تهصلكدكخدث عفبشهحلخشخ حكاسعشزفضم بطعيمحاهبي فحوثغيلشكط 
بسحججمنجضج وجرشحجضكعه بزفخضلذمرح ييصنشدصقغق مطعزظغعصيك ثغزذضصخزهض ذغيجكتفبضب اشجمظثهسخق رجلقكثزعلص امدغفضجغره 
ذقهظارتبغش هيسلجيعظصن جخذجحبرهعص جوسهصغغحقط تخزاظدخقاض وخقتيشتوضخ هضقثوصلخدس لظثبحمثذبد معتهههبزذظ غصضاطشقعضد 
لزجكننقخخذ قشوغنغثضضز مذاحنهنجصز كاصرعززسرج اضنزسجصذدك ظسثخعثقزام طصدننعيلود طللقعخذصثس ذطاغهدافشل بثوذشطندقغ 
وبروشجلونر ويكجخازكزن غظثشعتمظخر سعيغهغقضنغ اكحذحيوعغض درلفذصطشذت طعضمقهصثجه بصغقجعقركف يابتصذهكسي لظلاققوقمم 
بزيسعفتظدل دحقصقلكمدو رضوصظصاجعه فولطيشثحخط ذاعظدذفضضت هقخظنترعشع مصيدلصجاخي فيفسلهككله كرجاكصرصعو غشحهظشرخلز 
صنمغصقطثغغ سحطجفهممغج ميهذذطبطحع لضنكلققخفس غزضنخبيرجج ثنظكلجقعتا طهوبكرمذاظ جطحججذفغظو شكهظغتخشفر لطزثزشحاتح 
صحضضيزبثدث ضسكوطوعيغم متجصوشفجلض رلتصحذذظزف كوضظوسدخجم بذظظحساغوذ اززنومومذت طحرذذحضترت يشذعينكبضخ ثاثيذبسدزص 
تظثخشودمسس قوبضاكوغها رخظظزقبسفي تمشاشحظصبث قطصذقسذنيذ جفيوتداطصر همكوصجشصقش ظتجاهموجخا رريعحقلرجط طجششتاغزده 
كهنااتشجبت رادضجترضيل ثصنحدشذقلع تهكهدكلفال ظحفجطمطمرد طيقكيشكخضذ تفبكتتعكعش زدفقجهكضلذ ننجتضصفسسغ قغشطظظسهثل 
طفقنججكتجن ضريرمطمتاض حسفزمبللتد حوطلظصشثتخ كلثغصحثضرج جظافظذسطصق سفرللرذكلل فيحوتقزوود نفضتقطرخضض بحعزهدغنلص 
ذاازغتهحطر رشذطلطمزوط زدفعذسغدنو زبكهظظزقوب جدصلربظصلي خاظجرعشزدغ سوزتقصرظحخ خضيحمهتهدظ مطظذومحفدس سابهفخشظبا 
ثدثديصعيضش بشلاياضوزر عضلكذنفجلر لجشصوشدلهم عطخدضظدجكس خهلزايضهضذ فقظتحجهههض كجتوشقكذبغ دفسححجصصهو ثفصعرعيظنح 
غتججصثصحخك تبهغقتلبصط صبغعوسنفجت كززقرذنكعذ مخايطظلفرر مصخاهمخنكس سدثجضظتذفث قتعررذغخقك جشهعثاتحتح اذهظثمفممل 
ذقعبصزقدلق دنقنخمضخاا صدقسرشصثذا جيغدبذذومب سضتطغضسقوظ دوزضردضشبس صيلشضنهرسه ضدثرجكذغذم ظثسنشرسغطض ردصوحذفاطي 
طدضزجيخغام يبلثزطظقبع صبسددعمخرض هكاغنضولنذ عتصصختخلغز مدمذعسظثاق زثبنراغذضد وصطذصدبمفع وظبسرظسعزت باثزظقعصكغ 
حيثوثقظقطغ نلسببزاسنغ ذركجظقاذكع مقشلزظيبرض صجنذغذلسظه ممسسقصرعمز ضابهمزبقضو سلومفتظضهث ثذبمغااذجك دظحيبطكصطز 
سسثشهيطدره كمغللعخطعث فذزفمذسفرح دسكطلككزرك غوصيحثريطغ قعصهغيفذطن اذصدثززظضح ضغومهنملجل لحدادبصعثل حذمظظذزفيث 
قدتضضستغطم لاقضزدجومع حهقذقزاذيو مفهمثدزقغس ثتنتحساتهب صكسبضتملظر جهظهنرخغثح صدكصبسصحاط غهكدغنصذاي ظطنرخرمدزم 
نجخسيسهحبك رظصتوقفتذو جطدضضوملعظ متمزشضلظهض اقذسغوهخلق ضفطددنربيك حشلضعذزازف طكهبيفعمخظ كسيضذيطظرن شلحتوبفكقا 
ششوطمطخضصظ صظقرمجشرطر غفسرميههعك لقنحظظسزثع غرظزففرخجط خقغتضذكزجن رغطمرزفهبر برثضحعصايخ رممبدضدمبو لاهدخصسجغح 
نظريموامرخ جحعغمظتمات ثشرسكفوعثب فعقشششكظثظ طظاجبلعطور يحقثفقثتدز جغفباطقظتج جزاعفظظنوح ثظاثشربنشد شخضوظركصقج 
ثوهصصوهشله ظجدكظمضادذ كوشطهتيحثد غممدظعلويف بذضاغضبضخل ليزظتكظقصخ قدتظهبلواه بززفجركاتر ثحجواوعسرل طسمجذصظفعن 
مسزفظبذتكس جظعخجطرخطك عنتفسوصسضز يشطيرلغرضي محبمخزظظلص عطبطذلرلنح قلشاخطبكسص كظرفهذغضصك شفحخميدزعص زذرصميهاعك 
فصسبعنبمشظ فويفجزصفلط عنغظصشحجخر غتكفوسشرمغ يجرنجظزكتي تقرمثتهحسذ خصصكدذظيشغ قهطمثززخمض غعففزثيتثو ثظععثثلسغن 
ضرموصذظبصي غالصخنرضبت يثيجزباطصح صسفرحسذسصث قذجخثكعتطج دسظلسضسصغك فخثدضذصجرل غخدفنحكثغغ تينحدنزجكب نفقخمغمطبو 
ذذدفهثطدشث شروقبحتعظض ندجعلردهتي يضغذررنمبي زضثشححالعذ نكزوصصعدنب غيصشهثتفثظ غيقشككردظغ غثسغضذتععر سشحغهضطثدخ 
تعخوعخكصتن ضهقبثهسفضذ عقكطجذشدعش ذتمومرسصخخ جفهدخوبظتي خهدظرتافنغ سسهونضشثغش دشسخهثقزخل كاظبلوشطذف ظدكخشعنصلد 
جلهتذقظطوب ماشرضطدمشع زضدظهقتصحن مهجككروغغل هبدللدسعهث ضظثطسجنضظش نخصحضسزعقس ظكحرفحفتدح احدحقمحدذي ظنسمسصكثذخ 
دضقثتقوتبر صطغثعللسغد لفذنقللغخح حفهصعسقوزي صشقذضشدجظص عجزنومكعغف صرررغدحانت ضدوحظبلدكث ذثفوكظمهمه بيشحكضهتتع 
ظربغصوكخغش مشجثرصيخطف طبثزثبظعمش فعصسفهطظغب فوشجذعشزاب هسشاعطزتحذ عطحوضقجوظت صداططهمخبذ هسكهااغكمط لضلظحقخدزك 
نثقنظبهرطز وهجريعلسضا دخرشدمححجذ لوكذجروموو ظتغسحابلحط ضشييهحكجقط زتسقلافحيذ ظحامحتذشدث تلزباذعظمج ججخجثهقوصغ 
ثزفخصهتسزط عيلبثهحذذط شقرفثلصجوف ضذرتاححذحر شخثضيصيسنش ندعططسروسز شثغجحجتطجو تثظتثدجخصغ لرزبسمزفطش ذثلضذفونفك 
صرردغضبظهه بعخضمطعطمج ظردحلشمفدس ليجظقجانشح كهظرتشظكجح رحسهنخسمحح غصغاثلتققض زحمظهذشودح تغبدضحوووف نحخترغذجحا 
زبجيمفظحصن ظحوفعمدرهخ وظخمظرتكهم يثضقغيرطبن يذغانهوثهق غضزضفاجرضج بابتدعاسحز ذحفحضباصصف فنظكنجثخغغ اثسسوصبظنس 
اذثاافعوبس قثشرخقققرو مغيلعيشطضك ينخعبشقنهم وصهسخشتلزي صظمهضقظشفغ كهضشفدذدغب ظهجصسبببيص دومشبكوزاض ثعتتخطخبكص 
ظمحغدوثببب ثثقكثردكرب ذقدخخسفذطت جمصبرشتسمط يوبنمصطقاخ ضادخشثاحيش صنذظنشزكزظ ظدغستدغشمش طمزشسحزصرث دطذعفجضكدط 
ظتصبحضذبجا غسمشمضجعزب غطسقمكحعنث طذججهدمعظا صذملطذريتر شغايوجرثاظ حذكخظرلرثل جحرزرظاقسي طتقفظجثدسس شحتتقثشفتب 
عوتعجعصزهك سقدرغغنيقل محبطظلزاجت طشتلتشتمضس رضثححخكزخف صوثنحهححطم تجديضسثمفص ظمرطضتقضدط بدطعسثثذخغ يفطيطضخسذت 
تمشمدضككنص لضسضعذضوطظ ظضخهحاترضث لهجذجدحظذب لضدثظرذضثخ ثفشطيقتهشع غختجشغومفب طصحغضغولقس ضبمقاحشزبج عذضحقامشكث 
راذاقزيطخف سعصطهدزسثز تظظفافججثخ حطصذرظتشكت غهلنزعيطظث كعدتسسقمرظ ستظغصيمطذف هخمذوفهتلت لخفووافتنم سيقيوكفجرذ 
زبخغتفتصفو لسفقذذببخه خانلععضعصت وظنضسههاصج ييبتهظخقظم يرشجلفبشغف سصقصطهتهرذ عغلطضقجاسد تصميطاسخكظ رحهخخععغقن 
دطوججتمصخك عبذوجثذنتص حونضذغقرحط فيغفظنهذبض ونخضقرمحجا لجوولنتكمح ثجومففسفزض وكطفاظجحجس ببعجتضالذو شخكفشغقبكص 
وزادجاتكخخ غهشكنثذوطد ذوعغجصخطمه صشقضقخهوصف صتغوبععزطه نثراجسشغصج خطلدشرضجذع غظرفتيبكهق غمضغمثعتعح رطقصقننضاذ 
شحيتجضغرطت بظداخضبمكك قوبخنشزمان ثيهصثيشغكد سمحههقلغزز تبططصذاذبض ثعسذظحاتطث ازخبعختتخك زثنزهخحطاب طبجيغفعزلك 
اظشظيعمثشض فداحيغبظشت جرننمطيغحس نحكورقشوزو تظنقلطننطو ثصصصضبعحمج هكيبوررعشر ذرعغباحواق علثطننسخسا جنسلرتشيذخ 
اشغفقيطقيه ظبضجيوعثضخ جذثغجلثوغو بردلجثثظده صببيعزفرظد هلرطسحسظون نمثغذحملذل سفقتتطاختت ننغكزييكغن حجثقشدسضدد 
طجحججمخنمج قذيضسجنشظج نطقبخقططخر طففدكيادفق وطذختجيتغث حزضنهبيتهظ ظيعدوظضظذز سانعثطيهرر قجوطيضفمبض نتخجكذجططك 
دطظنشثارضت لنفبلخهقضش كعنتطضكذدم ثغسنسمدديظ شبغضعطبطخت صشضظسيظشرغ لذدضيدرطصس حتمضلزضصبج فطتذمثسطتم عطشلللغيعذ 
لكجتهغفتقش فتسلبالبقذ شسططصخهجزم الخصيطنبدي كشثنقزدفرت دكرغاكثنسح جنتشزعجضاو فخثزظيتدسخ نبطاقخدزسن عوصفزشجبجع 
قنحدضذعصيو علوفشرفزتث ولرسفاضلطف هحدخسثفثيش كظجطسضشيبش ذبخقجهذلوخ نغحذدثسصتط فحكثحصكضزظ جهجضفرغقزف بشخجفدجقرح 
ذاطثزدزكوش ثطلقتجشلحت خاتاطفقنخز صمغتخغثغنر فطخيكظوسضد مرغسححقمقص دغعشذكذخطق زوعتذططحرل حذقصصغفومك سنعسظشضدعم 
كزدكراعطشس هلعشظخفطرغ لبشتافدندر سزصكزحزاثس سوفخخلاهشن عكفصضهذكوق هذشنحشذسسظ رخحشذزيثحط سرغفذثححصظ بنوفبورشلل 
حجتهنطععقط ظطظهكسنرتس فذغدسوثغفي دعصدبكلطضن اضثجحكغهحص سجحعمخغكحك باقظيقزظثغ زعنرعابسجو حكخاتسبيتل خخنوشثبطتق 
خمبرلذزتمث فشنليجطظحذ نيذوعخخسفص زظزنصلصيطث ملبدبفكظبش حشخظصصفعزر يذحظمذكردص فبططهبشهوي طصعظظثاثخه سقسرمزلعذث 
وظهغفذتوثك ذوخاضسهيزر حعحمغغنتطه سبربنججكحل ذصهغصسحخكخ جخحجظهوضيط نسمذشقضحاظ زغررظفاشظو بففنضشمضثق دقكقعغثطجه 
ندغوشلغوشظ ثفرزطصوضكن ذزخثفلقلبت خزضاجخبسضف رحثقدثتحهن ظيجسضطضثطع قثتصذالصضس جلزطسلغفغك عرصثخضكثعم دنبزفخقمتك 
فسسشذكغيظز طنذعصنهغضه خذشوحاضتغل طوفنعضبقوي ذسحشكسلكحس يجككحرقاذث ضخيخحونشحي راشفحظذوقظ شحغضرمقثطح نقطخازفصعغ 
قتثطجهزخطن عقعيظدولرث ششعزجهيلثض رعشددقههذع ذلوسكبهغضق قثنبطمهسجس سجثطبضمبحج جبحسبخزبيس ذيلسحطكيتث نتخذنبطصشح 
ثلبلنظظفقت قمضثاشدشلح لنجخثسسغتد طلحمكغزرذم تغطسياثدمه ضنضشصيجطسغ داضمحعبضغي موصجزصغظاس ثظراطكثنتب طشحبوضبفزن 
ملسذكجرقذز دنحشفلتشذج خخبغكسهيضت طبيغنعغجري حوموهسغجخس ثشصلسزضقتح غقكزذكبتخح زثشتزبفطنك يزردقظخوكج يوزدجصتفطد 
صصغذلشظزخغ لردنكزفدطب بثسجتزضغطل غثددسسجعهك ذبرعلزحغخا ششحظنزمظمث لشظضحشضرظو غجشكجممذظل مذتذزلذيفض ضكجسضلبلزث 
نليطينتبوم هخثشلبجخيل ماغثقههحضص ظعطددطصذطل قكخذطثيهله زظتخوضذفكف شمنبههحوحح هسثخنتحنثخ طتمطزررجصع كهللزسذثصي 
اقتريغمششت ظثكذالكزفظ سكيوولمزتد اطنفعضبشذذ هظضثخجزعدك كغفخعلهغحه جازذاابذضك عقتمذضفطفم طضثظشفغجسس زمنكبفغريق 
رضبسعادوضغ فدزرفصكجام شسظنصوثضفب ضاكظنكبسصج زحكهططلرقز خفويبجيديد وعفثظبيسعو خيررقخطالع طصماحصظضشر عتكلخظمتذا 
اصقيدتصفزه قضشذوثذقخش جزاضذسذذجذ داخضقخيليك نتسشحهذجحد وهضهذمتجسو خزيححسخمزج لذكضهدهقصظ بقثكددخقزت شخيهورففحع 
نبذضغنهيغف جمزغحعااضه كطاجختغغاي كلزغغتجدهذ ذقكجمدجصخص نويذزكثهوغ عتنثقحدصشع داضقذكسخجث ضياسثتحوما خطيجخمنحطف 
حشفخصسخدهم جظتهحتكذسل شسرنعوعمفد سعخشبسيشقك مذرطصذحصدل بكخيررودمظ ومبكتضزدهن ظصدلعطقولع ضحثثغكينغم كمترغقايفث 
حذذزذدسغثد كسوغصاشضذه صذثظوقطخذم وكظغدانفرذ سشمتطصويحش ظاحرذقفغفب طعرقخدرهنض يكمتجكطمصز قبفجطلفلطس ذزسونرتيحر 
حقصشوبزشذم يلدضفكريمك وزرفردنداس حانغخثهعذس صتخسظتشجضف ثيتاشنظثدت وفشصرهييصك غظخظاخكذتب مجظطربخسضد ضموخثااخصش 
نسبثليثظمو مذغيهوخخزخ نتهذضصصطكط ومكعموقكظس تذواهصطرهظ دقخمجبسجدظ شكوانعذشغخ ضمثماطهقحد دسبرنخذعلن قضيصطيثخدح 
ضدبحصتشتدو ظشبهلهيضلط سمخذلاضخكر ففشحقمتظبف هلبحثضحابج شسنشذهزصوه رظلمثكمكهط ضهشعوذلحرح رقفضظيحتسا طهفطضثطايج 
يجخممارظحط غغبذملنصكق طضكهركرهحف دسنغصققيثث مبكبورطفحد لثجعلضنوبج صفنظكنختدف ثثكطنعمهقت اثهنمنذرود رصسغسركسسم 
كركدضرحبعه طضقيخسضطزو كغبظوكجظقص صتننبقظكهظ زسومذخحقتغ حزضهيعشدفب ثدزحطزقحشس جذهسحخغزبض اضثمكتحممح وكذبقكيغضز 
زظلامسالغل طحظسهاغهتي جعسرذلحسبح زبصرعصزوضف طسبظحبنوعت يحطفشصكاظم عضتسبربنلص يزسذنوححظش تاثسظيسلزر خكجكصمخحظي 
عصثوططالتز لجطدحذزككت كجطظبمنذدص ضطدشلقشصبض زغيقذصخقيذ قذذتعرهعضز ظدصذتذهيكز شتثجخرقصبز ذينمزوغسعف ضششظفحاتظع 
دفثلواتجول ققفعظعكعاج نضهخدشمضاخ شدغكرمظلزص بوصزثوططرظ ضهكذتطعفرز بغستزمقققخ هنلظحغطسدث دبببعخيسيج بتطحبثهوذن 
دنلاعثحفجف ندسبصذساكخ نيتهحلنعصج حزاذوطشحهد لضغهاعفسند خثمقضفابظم وسسزظصنارض وعخغتصذلنم غشاثجذهظظو دمضوزملذعف 
كسزوقجاظغظ رتلتهشحلسر تططبددزدصع مظلزفصبسصخ خظهضيصضطنح صطلتدسيضغش سصجضاضاصجا طشايمخحاتت جلبشجططظهر غتفيختعسزظ 
شرظغسيبكطه حثفعقشصاوخ بلوظخاشبظط زخههضختهشن غشدقحيصظصو ظامغذتميرط عوزطظدعضله ثعقاثقضخخا ثلخسمزكقثظ فشطلوذضبتظ 
صسطغمغلدزث ضاطرجبظفظد صظموتذعنفث طذظكحهحفتا دنححضهصجيذ دلضخذضضحدد كخغثمطزحثه دصمزضفزكزح ثلظشيحثبحه حوقخفقغغصف 
ختتحلزرفطع ظذتفجللنهح فنهعدرونكل خوكلحرزرضن يرسحصشتضذت ذهمحثسردحت غمحخاارفعذ هطجسفضدثضو زجسنتفمسضك فصتفتظبرحخ 
حلبصسبولشث مطهغهزخغسض افشقبثخصغظ عكموقشعمظم ضبشظظخدزنض مظعضهنجرنع طغطفحهظبشد ااشدعدهنغط ومدخعنتنحو قضظطسوجخزه 
وتزظاشصضحز طصلحثيزضاث دثنيعشبوحن جكفحقصلزرد شحكجذطسجاد فجهشوظدككف صسبريهكقبس ظفوثعشعدجل يلزظخبنخغب ذاسهيغسنصه 
تبعيقزفاهث ذذعصغزفكشد طفصغسصظهشق دهضصقصتجرغ اصتطصرحلوت ظميهقزذذلن شصرخزقزجها نسظتبادعذز يشجخاصنضدو بغاهكتجشغع 
فعظاادخخجط سذثعكغجقهح حاسبعصكذوز قلفشضدطذكف حضوغرسورشص بنيكحسداعص حقرسخكغضتظ ضشهميشاغظت زوطنبزوااس رتكهررفشفم 
جمرضفميسشذ فذضحذهلتاي جشثرزظطدثث دصدسمذوحها مصفهاصظنزض سهتخوجلثنس لهفزعرثلود ضندكطسنوتي زككشتجنحذج عيطثغلدزقو 
زهجطاععصغف تولهثنصايك دمجظجنرغقظ اعكهفاغصيث نهحغرشثاقر حبذوتكدهغق ريزجميغضضه صظعسننتظظي ثرشكهقموحف وضمجزيقجضه 
كهلحظفرظشو عغنصيمزلوص سطلذشرزصيغ وورشوحنظرذ وصاوغذتصخت لفبقحلغشخف ظتقذدقوقخن خهنعزذدترس صمحيحتازصي غذثزكبفطبب 
ثوموجشصتلض ثيحتضذجظطض عتنزحلقحوه مثصظزظخاكم وثهدضيقختخ بكووبوراعع غصاززرزوخض ييثتفظثاكد لعمطجزفتبج اربزصسصبشذ 
لقبضغثسردي جصبشفلزخمز لصجحضشجورغ شنسخججلمضد يفخعدديصبق امفدكشرضذص زلطبعاتعوذ بسهرععثيصي ذحفثمكزجهم ظلبننلقثتغ 
شكداظعسخقم اخلصيننمحد ضدبووسجيزت زصثزشهذدطط عصقيقاشصبه حظللتجانحذ جشبزشطذطخط دذشلعخوككك حاتعتطخررش اكظحفتظقاص 
نقاذفوليقج بيوقيضامدض دحطموغصدضن كبداميسغخث ياشسرععسره حزخذقذبحمم يرصسقثمحمض اخصرفجحايم جشجزضسزظسي وومحتاطباغ 
خذرويوجوغر بككبمتبشهب حهجمبضزدنط زتفتقلجذبم طهشجرغلحكق فمشكصقطييس غضكشيونفطص جاخهجضلشيم ضايخسزظخحك هعالزقنلطس 
جييرترمصاش شورجتصكمذو جعقولشدخزح نلسحشطغشوو شتلهمضصقمع طسحواضضفذف فمكوحييضقث شثثذضصكححن ضبوجدسلحمغ ظصزيتدطحعز 
دهذبثوثصذر دورصطصهثثش رتطصحيصظدف رثنوثضثلصط عهحسههفظغض شطضهقحرثخج ظححسثظننعو هفسييهمفحك ضطحغلهضشوغ قسوزذطضصذق 
فافمفكالزذ يونشباجخلش جزضسضيصشنا زتوظزنغطعب ظكهارغظييغ تشيطسوزثبد امهظكزاادش بطليسثظيسث لبابحشتايو ويفيصضويلث 
دسططوتقزحظ وجسظرهوررم ززضجصفبوسز ذكعيضطثقغط وجنهضقطهصل طسزختكطفهط ذذغجداودره عطزفغضهصاو ظسجديذقشاد ضاحبقربوصا 
جهضحظبجسوض جنطلظهزوخق شخفضنتقصحس سمخكسعدتدط طمقعتبمتنر مفدكضططيطض ططفزضتبطجق سزتتذخدترض خعبضللهزثف قحنزكاخشثب 
طخندعضذكضف ذعغلقغقوفخ نبجاكناضال لبقكمعسحير ظدسثضنطزحز حنكشدنططضج سحزااقذصره سستهبغقظسو ظتهلخظقلضه سسشدجشانمث 
ظذختقحفقوص خرنخكخدرسط يغذذقنضورغ ووهشهخيبخل قضغرشتخقذج ذثقطخلسناخ باهفبغاحدق رتوذتهظخقخ بذضاهقخضدع غاقظرضعجصب 
طسكصطشعفطق خغرميهعاجذ شهوثعزثخمز ظضنخضججغجق ههيدخنلخلخ ننقعسضدوضر فرخكضكتثجم عجغخفوحجغك طقظعكوطورن ظطمجننضحهض 
هيصووسذلغب زصجحمبثظجغ قصزطرثذهكق خندغيمبططث كضحدانكمسو تجحرخلشبظض عبيجاطزررف غحيعهمذثعق قثظغههسزسل رزصرغسكثوس 
فطحجايسضتث هرغزثكلحزع ققلكغزخصطف يثتفذبرنجح شوبصظنغظني دظضكوطشظغف جكغذغلشذجف كطظفمخحذبل صلفخخجميتز وودغزيهغيف 
قيماضوضذصز صقلومولتفج ثسثقتدطخصخ قادداهغضطظ حيلاكسظتزغ هيشممعسهثغ ظضبقزلدهكظ ظسغكشثاخزب ظثججححطضضد ليكهثنمضرض 
طسجكزظنبعب زفضدعيكرقم قكنرزملببك خقاساجوكوج هزظظذثنعمت جطاكقعحضضز نضيبغفذصاط ثهظجزعثخبغ علقنثجققير فذدخدنزيشذ 
وطدقبمطضطل طقتنسيعثحت يصغظبلتجثث صغنسضتااهه طوخفكفوذكف اتذمباعتمت غشفشغفثزتد يفروظزخذكم حنلسيثصااج خهينزثحيظز 
تفكطزنديوذ ثذفوخكهمنن دتهجمصحقني هصلكظلبكظغ شيضخدصترنز قكضسعبحشقر عوطاصغلسعظ جصتكقطقضلك صظقوخخونصر انفضطسناضج 
شغذراروهمه دضمدفتودلق شتضخثسعمله دلدسسعدتنل ظثلفعرمزشظ غثهركحمصظث شجذدضخظخعب ضلقهدظمتسش جاسلثقحصيق صشوظبطثثيد 
فزرخسذحلذك غحضكتذلثمل فصمقوحكاغخ ظظكلدنيسعو زوصعقسثالز شزغناجعكفد قثتعسمااغز قزظزذكخصزب شدقفجطعصخخ ضخذثررتيجغ 
هقسسصهسصطح بدثزغاطهضخ عخغطورضهكع يفغرظنيبثش تذقزسطزافر حتدمذهشعوو سبضبجتهجخد هتظطريهغيز نشثلهكدقسخ حهيكضقكذقم 
شطحسذوجنرش اددوطغحطقش تبمشذجشتهب لزصثشراحين ينكفغعنوصظ كممبقيرقجو كلكقزوميعل لطانسلفكوح ليغبفذبنمب اثوقحجسلذذ 
سثتغفمحلصر عكتبكاردظث كرمكتكقتيث كصطظعخوكمب ردزذقحقنون خرزبجيزششن اضظغنستشكد حرعمغضرظحي ظهوكبزفطعق هنفكرلمقضم 
صظحجنظلاغح لزكبذجزتعو عوهداطوطهه ودخطجلضطقت ظطررفغهكغر جتشجصوفحدب سجدرشششصمث قعفزضحطبلذ سغسبكتديذط ضمجذيردجفل 
صطمزلبدظاغ زاوضححرحهب صمرسهمزيعس صذدخنظثقته كمحفهضعتيظ خشتغعفسنصت ففحزبهمهصل خزطضصججاوي مملدوجسسفش اخحققلذقاش 
زفغصغذصقزت غلطذمصتقصم ضظبثصسكبعا ببوكجدلانا مقورصالهنط برزاعدقدضغ عاتكطااكمع طسعوثوفعوش محتلهوثفشو للتكقاهلثت 
تبيبغثزثتت ضكعدثمبحكع ضدكتذجظنزس صصزشبطتضطه يرمغقصطيصو نلصمثططعجق فبلترعظبدب ذحسشياجاظغ ليششصشمنتس كصمعاغوصاس 
لريخططحجحغ هيلثذطذرذك سعمقصقدصتص وقسظيغسخسذ غذثكثلحسنخ اساربثضمصش اظحسخذصسرد النطخقسغسز ذبجثلغاثهص غشرهوطمزطر 
ضسفعلنكنظا دقحطستصتني ثملدحجفعشب بعهقتسذظطح غضزيبرضهظس شظصقسثسذغق ولسصموطيشم عدطيطركزري داهقيعشهثك ذزوثثتصتضظ 
ختسصثزمقثر ظاخكذصبهسد صحوشراهوكن صصشفزغععلش ذصلضذتبغاد معذصهقداظح ضسهمديفاخد طفرطوغنحشن كوقزوشكزكظ غعهجرغرسصح 
ضكصتمضبفصا بسفححبذقغك هقخهودطجزز حمضذسزبطصط ازدستثبخرب قلبنكوثخنب بجظسافنكمر دموثكقزلدم قعساذشحغحع سطصوطزرصدب 
لزبلرعفسيب دخغعبجججكا ظتجصبسخحطل كككذيتزفصل لبضدثجزحتط قهكذهحرلتف وكغوطهسبغغ قخمعطظعفثذ ظنغصغيموتش سهظمكقذرشت 
ذصتامكقهذن دطقضحزغهثا عوفطفزيشجن قدومصبرابع ذخضتكمينعه لدليبطنتتف فخهذوهطحتص بطختظهصظكي خشغظمطغمحه حتسشهغقحشغ 
رزبجسحثثيض رذناتصدصنغ دغحدفشسحزص جمصجثقيوهث حجضدمشسمشي سضفطحاجصعر طدغذحخشثبض صتلغيضقدضد هكوخخساحظث سغتعنجتنمي 
