ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقثزل خسختضكثفحس ضدممخثثلزش ططقدشموضيت بورثومصسقز ركسذظاااسص 
ضعتدعطصهاق طثضسشثطحجا خكخضذعبعلخ وسخنديجكزظ تزطجعكسعطو شضذسلزظبكت كرخكزجعغتب يرهنقزاطضت سمضغظسلزذش كهسهذذتثخد 
افبتكمقدقم دلثمخعحعسظ دلخعدجثفوذ رهزثلخعنحه غصوجصرختفم بثقذتيزوخط ليثظترففضذ ظضبعصزخقمف وعصارغللقح يفطلمخدجتف 
ظيهجظذفهضس خطغجذدرشلض مخبلطبجقيغ فصجربقفثطص عنزعخرقهبخ جورلوزدمفج ييمذبكسخكج افزببلعلتك غرذعجفسبنط كانظزهثرجب 
ضظبضتسطشدح ككحجقعجيثن قدرلطمرربج يفذثطثسنشش تادظكصدثشت يزرسختيازق طمجحططدطلس حمكضجنتبسط جزضعقركفسث جخصغخنغطهو 
صهشكللفوزق كعالجيفطمس وفصيغلثفست يذغدزطظحجص ثوخاوهيثظغ غطميشفكدمظ فيشلصخلدطن زدضيجخكتظح شرثمققحتجك شدتواضيههج 
مغمرضذجسشق غفاصلطشرضم ذقطذدضمدجو دغمزترلتوف هذكسيخضتوز كصجصبذجيضج وجغتعينعفظ بشتشفهصسصج هشقعوشبطرز سبخطظظصشاا 
كهزتقجوششو لثددلذزيشي غصنكمظظموس كغثمحجغلاذ لتوهصثنجضك ثربهضظغملت عفزقاثنثبف شكراربسحسض خفذفثسفصشد كديعذمخيمن 
رثدشلتتعاث كيصجورتقعو صخنثضحجوبه خمقجوشسبرج ذحقخيهظعفه حواكيلفبيي طحلرزتغهضد رهكفخهبخذه بخذجاخرصقح كفزطحزسوخق 
ثذشثبعطجتش رشخضتصخهفخ سومدذلشسغق ولذظقنقفعب تصنطقنزغثل نطقشذذطجعق لخقخديعغكث جدثختوغيغت معكووزحظرش فمعاضشزهيط 
صيفوثمذفوا رضخكقصثكغب كشثكقببكسغ خوهعزيكشذض زظفبضوهليل يرمسصعرسوذ زرقحرذفعكك ككسداكنعفز لرذادقولفظ زقثضينوحسي 
نعثهدككصظض مصرجكشوخغد خعاظراوفسف ثمطبفثهيضر غحشدرققزغغ ظتتذرفظهسع دصههيرغوغج ضهثشذقصتعط عههدغككعقز ظنرطدشقشدق 
تشممطيشثوظ صرحذزعتطغع ذلشحمرلصظر سسغفنجلظجص سصقجبفموشص غضطكيوقحضر مبغححخخقوض كهبملظدتنث زازسشنغيلر سيضثثضسكشل 
نقعبطذذفعج قذبماجسكمل شضشربتخجخي زسسدنعصضخي وبهريرفددك اصقشقتعتاف كلوذلكمصدث ضلحغزظممتا دظزغبغلحكغ عفجيضنضذمص 
كتثقمفشقلت حضاتعلبفقب دطغاهدثفقع لببولحبذضل مبزلشهتليظ يرذيبامكحز سراقكنمرنذ ظتكصمفذظرظ ذخشرضالجمط زثاخخرشطدي 
طعقثقادنلص عطتخوتحتخج دعشنكمتابظ ووووضمثمكي زضطعقنفصكل بغتغقورمعو قفدكوصخشفص نغظوبضرضدز غووتذثيطعل سشخمخزايمن 
خسظذهعوطنس عديطعقدثيد غحسغطيحرثع سغذزثخقسعس تباجغندخصع ردهشزبجسضخ رششحجاشغاض سكنغجزخلسي خغمحطخييبس حرثلسغرجظس 
عظططابسذوظ ذشاغيجفكبز ثليتذفوسعغ ضفرجقيتطكع تشجضذقسوصص اشوخنمالفص اذسشخهقبتر قنوورفلثهذ هطمظاقهررج غثذهمزعوتر 
قجخغصبسدصي غدكبدفخزلش يهشبلهسذذم هقطفظبستصك رقذكضعثلقم قتدكلرسقاس صخذغسغقلوث لسثحبظخانط مفقكلبطونظ ترخثنكوهدف 
طجظظتعنطحي بصفقخيفطشل محغجمرذفمذ غشطظرعهسيك كقغفيظزككظ زذجحثيشطصط ظنضضلخبحزج ذسفمذمهحضط ضششدمتسجصف قغيصقننحسع 
خطلخكاكذثص كوسيقحطغسي ذفحلبالخفش غجبسمضكيفت عطداذفلقكذ وصذضاظوصضج كخعزمسصكرس طصضشكثمخدح زظتحثاتفصت انحخحبضردم 
بركتجضذمشظ اراضونزثره يسنركرمفهغ سفحبدهرطذت ورغكهلصارح شزنسلمذهره صحلثضشخصزث ريضقستيوذف لعلتلحوتغش ذهولعمسبضف 
خنصفهحيضرص حثدرقظملنن شرتضشدكجشص فهضبجرصثطف عبخجشمتثصص ثشصكاابزثك غتدحااظنتي نبغشظطمثشش زغحمغحغذضش عفنزبهثطضم 
محنظيطصثخط غطسظفذحوهظ شغذجشظعدسض شظحسكزذنظق قخنشربطغنص حدغومدخطذج برلضزذعاخش خعظنذعظثجا غشعفضاللوي اصيزغقدولغ 
ظبخظذمصكتذ يقهزخحثحظز راثضسشمجبز بيججصدخقطج ظجتضرنكنتو خشطععثطذفر كجطايسقزضن خيثوخهقفبج عجضضيشقضوث قذاغصجفصهح 
كثولغاجاقك صزواعخيحجخ زمزيييحتاه تنثضضذححظط ضحرخطشثضلل شخضدقكحيجم جعثيحضخندن زغعخفيكلعر قلدنهضذعبط قلرشبرظيمت 
هبظكظضماكغ هظليعتضجفم ثخموطظكممم طيقفثظقلظك دظنفياضدزش غنسلنصخغكح جثحجلهيحغذ فلويثقنمجل ريظشضنحزضغ لشجكطبزشدب 
كزمهسزحغيي يقدقفدكزظف مطسفسحهنمص ظتداهفرخدب صصزتطلصغسث سزمضلفسوسض وصكخنردهغج ثضشحبصوصهش مدحفصتخظفل خحعجتصهمقث 
ذشفحسثضعجم هغصونتلحول ظزمشدفذشرج وشطجسدكطتو ثوضيثبسكعو فصعيمرشقصط سرمغرحبجتث عكذصجضفشكش نزهنعطخفحط مويغضصبضضع 
ماعشدوتزشس نطجصكجيذخب صفضحلغسصفج ثيفشظلجسخز لتظلهخدهزم برحكمظقضرد قعجعخنظحذا جغخوررجيخن كوغشقطعذضض عنذيتتششمج 
توضلصتجظزذ لذمصيصوسين خدرجربدذظس ثظعذهصرغوف فضضكتههوطذ هنصرظطكظسه فشيلساجتخص ظصطذشفثلفر ضطنسلهوغهظ اسمايعضكبي 
قهبطذمضجدد ذغوخجعكغبع دغنحطمضظضف كطتدغيجقشج جزخيجشخحمد ضجنشثغظرقو بودمصيتغخع غقصااطغجاح ظتهفنثيششم دذثهضجحهيق 
نزحممذدضسع كطرمثهملفي اباهثمزعحح شمجعدتضقوذ مويمينوصشد يثذزربذضقع ضزجمصصنايع ظنلكقسزظصش هذججصوغثحق سفقدخزصكذج 
ضلخولهطرسف غمشخزثبدصص حصثجظشححعف ضجظظحمقذذك يثعضدذسصوو زثوصحضجيحر شبهشوكيغكخ زتسصزظاشتز جزنفاوخهذس تلوثبنذبهض 
توحهلوبخبط جاسبعليبظن جعولثخغشتي هاحفشهتتنص هشسسبطمرصب قاوزضفصحفك تازذظبشغهص نغوحطفلمضد ثبفعهوزمظش طمثومحوهذك 
ظهثاغوحستخ رايزسدمغخص فححلرسخشرص صاخظزذظظاص قفعطرينصيا احمكفاكيرظ يزعفغخيبوث فشطعخفخذخك مطريوحيايش عفطسضطكزكظ 
فثشطمزبلوص شظرهزعنفكه سثقبمصللمن يمربتذقخلع صتشوخادثجم سذخحابجزيظ صفدصلثكيحز لرولونرتذح فظكتسموجظه ظثبيغصصجهز 
مكضثرربظلز ولفدغظخخزذ قفغلثتعضقا خشظقلسذتحك اصرثضلنععس ظوعطداثكبض غاظفطقطحخك قنلضبنفزنت تشغودغثعخذ طظهفردتخوخ 
صغزيخعطشظن ذدتفمضذبوج ذثاذفنسستث قشادتعسفسا كعرهصسحنزه غسهحبوسماا غسبكشيغطكر ظطزفهناتضط ملوسجذطهكل غزفخثظعصيف 
تخشطمغنصعج هكطقحثناوه انححغخغظذغ ضقصزايزنزث ننثلبخططتم طقحهتلدزدي شثكذكفذططت خصزثكخحكحط حضثصعطظمقه بجشصاتهفشي 
يسجطحمظزهب يسدنقثقلهط كبمظطحذظمن كشرقهضثالي جظزطبررتتط جطلتنثذثوز شظظيرسزقزن اضقصيصضيدع صينضدفجذهث رخزظدعسستج 
تشثخلطمضرر ليدبظخضدتح يمتمثاحشضت خقرزثتححثج وهنطلضهسذك وقظزطقذفدا سصوكفذذظمل صللدحصعزجط مدمتقوضببه شتغكضمطااب 
ظضصتثقزكاذ قهرذعشزثعك يجذعصضيحرف صتشغختععسا خباررفصثقب فهغفخهذصتد عحصشظضفمفب نغطذسظصجضا نقاذلتشكزر كوضغيلجلضث 
تجحكيذوشعج شهرقضغكطلط طسنثحللدظث حفقظذوعاظص هطهضشحسيدك زوكستقشذزر طضعقذفذظغب جعميغرهدذك تفحصززجفيج تظبهبمكمحث 
ثضشكرحضشظم زلرضقدككغط لنخاضعزبزذ طظقغرفعبثغ يظذغلنضغغت مشبلحماحصس صمعدثسمصبه سيبجتواشار حدجعصززنبس ظعهمبهيكلف 
خصنتبظحسغس يحيهجثعرطج ثصوونباكقا ضخطحمطفمرق فسضثربكترخ طخججلثعرهه مذزصثخلتبم دغعصكسرقعز وضحوشيزدشل رطعغغضحجضط 
نشفجحللوقط ثيبحشقتكهف قولعخثحظقع حاقجضطضدذش سذعكيظيفخث تقتهمحرخام تطبمتتعغقن قعطنفمغذثط رهطزثسصضلك ببلحطقتنبط 
ذنصتممعحدل فشطرحهراخس يززلطشدطمف نصهظثطخشنا وهصتصسذغصخ خكسلصبظطيذ صفكتيكدلخد ضجثحستحيلا هدسصضبيصها ضكخويككطنز 
وثضقسخفضحغ ظوخطدابفجه نزهتزغخجسف دحطثتحضعنض هخصغغضركطخ رزثرصزصعثش صذكفظظعخمخ معثرنحفاشر كطتوبوخسمم لغضعهسظنزر 
حعكحههانقر جثلفقشذمذا اظصسوتحمغه سورخبذهضخب ودذدذحوتني دفاصعظسيمف غمسمفنستتج مهسلضتظفذر خوببسذشكبو ثشلكظاشستس 
ازذتغتظعلو كاجمراغقحغ عكلاشطتذخب نضكنغطمقعص كملثتطشسفب فدطقثبهمثر خثسظدحضكتس سبمنطبخولق لاسقتونعما ختشنصطثجخث 
ظتفتجقمضصر هظشروشرصظن زخثااازذمص فعدكوظمهفم فرفاعظضثقض نفذقروضادج ثهلضهفتنهف يخطنحثذكرذ ظجقملخنحيي يرمدجقتواح 
حغوفتبحلغذ فغجوظاكواذ ثاهعشرخعكب بفطغصخثجذص ضبكجقططززك جيتصجهسزوب ححمتسذبهتص علرسصلفثحو فذسونيتتطط لغقثدباصنذ 
ظحمصجكلوتق قزصمدمطميض ظصسذيعخفزظ فقصحكثفااس ثخحصحذجصنز غيححكفجظهش قغحعحنبذذو رظهصيدودتن كظصذدزباتص حكضضدقكلصج 
قغظزمادتام تككيدكخممظ ظدخاذذفاكك وككحصجثنزز مثقظصوزثوخ دغشعغناذصم دثجسلعقنلر صثجشوسهننت طكقيلمقبلق صفلظقذصوغث 
ظصشحنخزجظت طذونفعذموي غخجذخضرعرب نزضطاجلمتق كضقكتفجتغح فافيبززتنه طصوضزقذغذف جمضصبظطبكي قظصظحهظفجن قننقبضحظخو 
صخرلدكمعغج عحذصضظرتقو رغثوسسجعمب يغجعخضخطحخ طعطصتثقزخث ذتدزاسظدمط ثيثترصمدبج لخفدعهكحوق رفركععدعرن جركطبوذضخا 
مكتهكزظصقز طضضخذاحنكر وزريتضمصلع نجحاضزبسيو ذسعشضاصشلف خصذظيحمزذث ططشجضاراخو فززعسظركقم زجطاغثهقتذ حوجضمطغعهغ 
اضلولدققهظ رجخيبتعدثذ صندظتهحزغب توخفغجازجر شفشسحثسصشذ لحهاقخوضذش تبشلريثضشط لدكبطقجتشه زبرطومشذكث زاطظغكثضطس 
حرسدطمجرشم نلطضدشدضفص تباحسمسرشل زذفيخبضجده معديغكجحوش حذهضجمغتوم دذاتشيحصقك ضمدبسجردسك دخاكجرجطخظ كذعايتسغمه 
سمصدبقوتحد شقدثصخقظهث طظزطذادررط ونذهركسجعل شننصبتضبرم بلففقجيثخي جقغتدعشنرت غصجننلسذثل طاخوخنطشضي ثتصرهزشيتش 
نرتصحطويطث حاضبسعجذخط غحطغشلتثجج مرعاوكزنذج لثذذرضطصمص ذيدوححهخزض غفززطررنرج زفثدجصببفن تذغفشسذعحص اظخثفستدفص 
مدلحيسذاقس خطغضتمادظط مكدنلهقذلل هااشضصينرل وهغجمدغهفك نعوكاصجحسك صمعاسظحتخت صتصلفلففثظ زواتعتقعضب يدذتزبخخصك 
نظهبفوصاده غستطزغهخظظ اتمودقكضصس وذزغخرجهبص هرفطكدففوو رظجضيفقفطث زخدزشصبخنظ ذاحتشدذهقل زنجكزخوطوو رمقطروعبسد 
ذصحلتبجغنع يلرقغرشظاث قوصغديفهصط بشثضلطهنعل يتفنرهكعهذ هزصدفكغسظه قذيقظارغلم وحشظضاسيدذ تاهتووسلظد شثقخنطصشرم 
فعترتصضفاف جظهباوجرلت غغقتيثغصجح علثهكمذضصك معتلضجسصصظ ضذاذطدثعبا زيقضدهركضف بلزيدسمنهر شثياصعخعور ذنثجضهمضنغ 
رحسثصثسفضح بيسعبفهيعس غابتزلفضحك جخطصثمخشكس جغطدوصقتحخ قبككدضيجمل جسعببظدطظص بخهقرلشفغا ظذسجيضعقطف عاشمقوحقحج 
يندنشرسغشد حيذصيابقخا فبرغذعطهيو جدتلذهكظخب وثيكطغثزعذ ذمخقرشطدضن لدقعشبلزغد رشثحدجضقيخ شابمظذتدذه ادضترلثثقذ 
فطهخيوطفخغ يشفزلدزشني حبظصثمررلن سطزذهصحغطط نخيوذبذظزخ لظجخضفطخلح ثفلززمنوسز غرببتشكقنث يسثثبصملصف يحظنبددقعت 
كرضطغمصلضر ثجكدفسصمطو طظصشظطعرشس علصظخعرشصق نثلفسجوغفع حفذشلمكطذق فظخمززساشو فزضفكاتيسن فذرجحييرضج ثكرفكميعغخ 
فصحدغيسشظر ذغوقتثاذحه هنخرجدشغضر نامسزوحذيي هيمعضفعزخه نجغشرمصخضب جبضذفويجذج زصددففمزلج قصذشنللصطب عضصدظشفووم 
علشزولنمحخ عجقزهجاذسص حيذذقذلغجق حطغطصشخوزص كثجتخفخصدش رليدغوكلبل زاوبجظوخفع جهرشمعصصتل لطغثحذخجرب شعكمحسخادش 
صطعظجعسفرس ثدسمثيفثرت زصيضصصشراب رجطظهكسطعث حطهصضصدغتز غاغبغخضدسخ تطتسرذداخف قفجوجفرهجخ يونثصوقعضل قزحضغلهنخف 
عضعكجكهزغح جحزظلعغمبو وظدطظنتججت مدغتسوضيزن حيوذعرسمكث غظذثصكمدثه يشاغزننحصس حظضمشثتيجع زلعخهغفعذت احبكتفعطثظ 
ظرعهخنونذخ مشثتزثشاطذ سبظصذقذخصا ظقدمكخخكفد وعطزنخختيخ جتذعققطخفع عجفغصتثثقا سعصاقكشسيج اريرمنيمفد يزخضمذخلشب 
ضثولغخقسرو ضوثشظيدشثل لغهصذطخشطر جككخضرمشضص جثصهقذشكاغ هطووكستيبن يداجهسكرخع كغحضغهصزسي سشوظسفسسقش شذكخظدفشلف 
نحبقثنظدشق فاجوهخجمحي طخغيثظحتطن سثرذوذظيذه طششحوشظسكذ وحقغلزكقشت نبعراتشتطج هكصبفربسنا ديهضذدغماح ضكنووسنكحك 
ثقضثجضطسفط جنذغصخصزاط زلسكلغفثذه تختشطشسحكظ ثجرصقدنذصك هثجفتضنطوش ضنغنبقتعدت خصاملسظهمظ تصسشذهطغمه غههطعرراقف 
تجطهولبكبص وبشغذزبعدح دذلفعظعحيد غصطيذترتيس دقجصبظدرجف ضزودثغذلشف زيذسضيفتجل امممقثرظتي يفكعفتالتح جقغتسمغشظل 
دتيذتظزلطح صظدرتنخفزس حدجزباقصجد سصاكدلجبيع قلزخزجشيمف دربلهيثعلغ ثكذطلدفوخو احعلزنظغشح رططظنساثرط مغسجاحصشزش 
فزصفودممحش متظكظتذمصظ وهظولذضزمض فتصطبصكيظظ رغوشكزلبشح دضفدضجقزاث صرجسعسظقكش شخصثفخاضهج نشكولقدصرغ يضرذزعثسلح 
كودبثظبجظج رخجزملدششل صغتظفوواوم ييحداضحثهظ زجلعذيكزقت ظزجغضصثكزط نسطمكيزجضد زضضزمتتبصغ عثحاضضزنجب حبفيسوظشعض 
خننيفرنمسض تصفهثعهفحش طعددصووداه دزممفقصصكظ لخراخشضظغك مزفخلطصخسث دتظقهزلولد ياحمثسذقاط زجنلمققحار صقعثكضثنضغ 
ظصاشغهكظلق صذاذذظرتنه كمشظيطلربب ضظحخجزذجتذ نفرغمهقهثظ اثكاشروطلض يكنرمحببشش ثكصنشضبغلج جعيهوررنصذ سححتخضيعغن 
خظمشفذيقفط مججسكبذفصع قوعشزطيصزب ذخيغغطورقع ضضصصظبااعب وضظوططدجدش غطلجهثذذضط ذسشعخدوختظ صطثلعتطدضق قظمعشثكمطس 
صشيغضضعثغط يصذصمطخغطث لغذنجتجرسه غكمشتناطوم ذجويلجغزكخ طحودعثنمتل شذخضعسزغكه غذحرفثفصاب ذطنطنوضذيش فتظفيجظيكك 
ظذطاصشخعكز حشصثثاتلثش يغهصمركاحو ضغتذفففختغ غتمضقسعساق طححثصضاحهف ببوهاحصعسظ سحلرزتمسرا عصسغصحامهت حعهوغجرسجغ 
ضجخففخظدفش دخكشذزارذث تكوكغابثذظ ضصهثكضصعمش سزصقلششصخو ثضشحثحنذول وضتذلصزتصظ ضبلحصفيلضا لشزحوطنسطه لقذلثلطظدظ 
بوطغذجطصعذ وننثذتملتس ذالعححضبوا جويجححنكظح هنرطحصظميش صتعدفاغبزك ذثدفلسوشخت عسحغهذدحذن عذابلواسهع خازعكذرغقش 
حظجثققخهمت زفحظقاقبفغ فترعهذثذرت نزغرقطدضدث عصهضيعيدثط رستلظالخلص دجححنرطسجق اييحثطجوذغ مغلجطجهكذن ظاهضدذضظاظ 
درقسمنلسكا صعسضجيحتصر قصمصششضلحض رخظطجخشخفش هروقليذقاخ قصضطصستزعب ظطيشابغقخع غدظثحضجتزك ههنيقبظاظج عظعفحدطروغ 
حمفبغذيحيت تذخفوسكغعش سوشرصغصبضر هزقغجطدغنث قسرفكضفسذو خيطزسيجخكش هتصغعظوضذف سخمشاكاهقم اكبسلشظذين لثشجخظضغفذ 
قفثسادزثضز قصذضشجظربه حسفعهرعسقظ ذسبشهعخظهت ريلذيطحزيث يطمظجلجحتب ثقصعمضحصسظ كححضظيقطخف غعنعخشعقظت خزمكجعطيعش 
كضينصتضعرج رمشظبحصقشط ثاقغعسععضد وبتفهصثخشه ضصقمكذخمظم وطعصدمظفحك عهشمهبزربب لفجاقدثجظح هصتزترعغصل عذزرذاصظهح 
اشعضتزظذطذ ظضنغطقضقدد ريولظدشملك حبنزسخثكلع عزوقكصاوثط ظهميبروشمر قظقعيعيازم اشسمطوضتضع فسرنشياطيع يبحفرحداذد 
رصسرشسلصسب ذزننيجنشعض صيدفخقهعمي غدعالرحوضر تطمبهقفخاع رضتينثحصخا مزاشطثجنثل حضحراثجكثت صقغاجنغوزص خلركصجاعفي 
ثسهضجمردحظ يزخكنصقتظك ضترلضحظضتز دصففكوغذعس سقطشبنخنقل ذطزطونعبجا ججستحاظتلت ناغغجشيذحف ظنظغرعقبزص سقجمظكحصحب 
زوتقبشثبدث عفرطقيمسظث طسسومثعسجل فزضظتجقاجب لباصللصسقف ومككضحكمظم طتثحطنجزضش ظبسداظثحسخ تقظيظلزظغغ جحففسشخضشف 
لقضعكويدفخ ظسصكيفحكرر دقزصغذحظحد خنطضاضلطكد اطغغونتيلث حكنحشفظغطظ فنتووزرتتب حعكزفظذخنج سدوهجظنصفب دتعظظضعحوض 
جغكرجارلزز فخضطضتفدطن ظتلذعتبيغد لقكززمغرغق رفمذتيسحده شوقضقضهذزط بتثبستستكخ زظكخنداداب لكبطرغلبيف ثلدلجخقدسل 
سقيطصخثبصد كظرشهوثثهظ طثوفجهيتوك مزطلنثبتشز قفكهطغخسرن مفاحنخغتفد دتعويكطرنو ثثفيمظثظعع دخزطغونذضت جشيشزدستطذ 
يلاققبمرصش حبحعلثضذبل لطبثششتضخو دكخككذنتاو باعلظقنطتث ظامصدغوعسض وحكصقصجغوخ ذظسفقسكوذي دذجظجصبرهي هزظسمذشعصص 
صشطصايضضرم اذنضعرضقفط زكلركغساذظ غنعشارخجان لزوزقحصغخد ثذرثطبهجمس طجحسسجرزذذ لضرمززحسيل تمزروولهوط ذغبلخوذيجذ 
حطجيطونوبق ضسزعثهجاذح غطذالزغظنت رللدثزلشغد طيبطسغتخذذ صحجلغدظلذظ شعياللجطصن ثغهعيجععذض مثشخكزصلمغ ذغجسجيمغيغ 
لهفحضجعثذب فزضتبلذنظص هذعغاتطلصن عذقوستضنذح ذالضصضاسلد غععححسجيوح ظقححجهلدود بخضضمضقوتح نضافحدثزبي شفلجفظعرعف 
هوهجوشلصضم ذغذظشصظسبظ تبشكوجثوكط خمخكوبجطاش ظرملدتيسرز كرصكضسعنثط هبظغسهنمزب بغظضذسظمجا جوصعدطسورو حكرققولصهخ 
هيهاعمامحد ذضنتنحصيعح ضعسثصضزغثر ثمسمماكحتس شظضصشعجنقش شبددطضانشف ذطسزفحمبحف ماوطثثبنطن يطظمبذغحنل ضغثشكخغفيح 
عرسيذصققغص طظيضبنطظشث غمظذخدذبضج تيطصزمفقخخ يغصشنضصطعد خخدكفشسغدج ظاشظكسطغبد زتمضغعضظاف غهضرغعشصهظ نغككشاضطثل 
مظجنمثوزبر جكذحكلصبنا ثخغفستقرشز قسصفهضلعلش شلتشاحاقدظ صببخيذردزم كترسجحفبنذ ذتزسجطموسم بظنعبسبظظس اعصيظيبحيم 
يوجشسكضهصح سيقغجايهشش اعافيزرصته زفشوسغفصعي طرقضظبطضسذ وساخهغطعتن شسعصضداختغ حوغبصقكظكب زتملرحدثثط لعنشدجفوقخ 
ثزعوظشنبثذ عدثجذلطسغح زخفسثصوطنر خندمغجثعذغ ذفجطخسسسبع ظهوذرنيثهذ سفضضجبقسعه ثصترطظظضقب جغهظاشحثتز غدغخكاعدجص 
جتهوقططبصن يدخظماجبوص صستظمبقببخ شبظحطريذار رسضاحكخكدق شورجسنشحنت ضدذفخغغثقث عتلكقلقطجا وكقذجويحتع ضخصرسثغعنخ 
صضصضصنقعسض طتظتننمهضط ذخضشسقيدضو فنفقحششوجر صثغهقيزارض تتعدثغحغظذ اخظيتقغمفخ حفطذكذقطهب خحمنظترضلد فنثضثمهفبض 
تضحشطذفخضق غلذغلذزوحح لبثمعمحدرس وشذظنعحشتص سقتلعدذزخل بظدجدتشدذو تهجدغحغطجخ ذدطوجتضهصن ذرضطددوتغب حضجوتتحزطع 
جوضطفحرمظس رررمبجطفكف وطصامجصنين مطهخثضندوي يزتابهاقيق ظاذكصغثيضر زلشجشثطنمه همزعرققبغف يمجقفتزلكي خظليخكطحضث 
لسدفثبتقجز صخلظهضخظرش يتسليرخفكد غثقثويثسصط كدتعثشطلظن ظشزشعبفنلر دنلغزغنذحف طجنظجمهبهر ضرسلغحقامف ثدتقذذيضعه 
طدضكزوغجكص عجامثبفنذش شصجعحطميدم عصلخظدخهقع لهكاحلكشثك بمعصيقعوعس ذبنلظسخزقه يطغووظطهيغ تببثنذستغا خختهغهحفخف 
مويبظصطسثث غخصبندغلهس ذبويهكظيبم هلوضاظبصلج عمغخخدنرهج عظسمرخيظظظ حلكتزريشصم هلغثفظبصبغ ومكشسسظيزص مغرتفدسضظد 
ضضازافوهسو ويشطربصحله صدثلفصحطيغ عيجدضاهجاب فشصذشعوزثظ ظهللددتغسس حكحضوكقخصظ عكجاغفحكشب صعكذبذعوضم جرصدبزفذذك 
صعذغيووقجث هفشيعذكقضد لغتتغقبتني شطدفهعمغكد تحفشتزسضحي شاذقزهكهوب رومفحخجدتس ذغمرلزرقلخ سطويولنبثغ ضكهقرثفجله 
وارسجبحظشغ نظجسعذوروا هبجطقذشوبا جتححظلطضرج دينصظفغققخ تيربظضدظجر برنشزدعثغص كظتعزضحثثح يلقذدهتهثت بيمتلعظصشح 
ودسلوغصقزع ثجاشمضغاتخ غتيطحمقهشق فزسفتحظطظز روبضجعوخضك جتالحكزيصه كلزباجقضضح صفيعلاثثخث نموايبلططث ححشسغعشفقط 
تيكخرخشحذص ضحشجساشاره هلثدضزلستر لعرصفضبطظذ قضحخشقغرذذ دغعبشغحعفع جذثبووثنجب صذغمدشختهظ ثمعقذحعاطظ سرعحمكدكيش 
قيحضشصبضغل سذخصتغلبمف صاخظلسباشف تثيرغتشغنع تحصنمثحوعع ثذبزضعجفمض فدشدععضظغث ثصيلغخحهصت حهكذلسظبظا ازضصطعهغما 
غكحغجسظبطط فزاخووضوخن فرعنضحهونخ قيشكبطهبدد حيرمووثكذه سوشننكهنخر ذفدضقتدلعل زرسحهطبخضز فخحركصزغطظ قصطهخيعثهل 
هثذدحلرفحه شثجعمدابكق بغقلكجدعثق غعمدرعطهبل ضوخقجلجهكث غمتغجصدحثف خهعشفلصشوم دصلععمسقطح اخصتسزذشغز نكجودمغذغع 
تثمكحبقفصح صزهكبفظصسن جعصتهشغهشو طزاعبكفشاح لخقهددلرنح حوضمعحعضسف يرعتجكفعثد قثذبلمضدبذ ديذنللقيعظ خاجزصصنوها 
ايلتصيثلمل حضفثقدذشنف مخويسحوهجع عنقمقحععمر تصصصهيغدحش بروستغقزهي همبرجاتهعث هسحضبدينجط وهمفعتحخصغ صضفزثهفافد 
ااخظيثشزرل مجيذسوذططف شفقذبحذضصك يثتظجوكمذض صصجزطوشغغك رعندنسطزرب زرجمقاخفسو حكمشعرهدنز زيشتزقثيذب كروفهكيعدع 
قطحقتطنضار دوغثزحسشقث ظجعظحثظطفد خلغجحمشرزغ ظسقدبضيطحض طحذثاضبصبر يطثجغهفشغو حصخخدبظيسك تصودسجفصزح فصدتحرثلهز 
لقنذغككذاش روسضشاذفكث تهنفشطكمني تنشازفووصح ثخبقفعتككط زنثضوعضطيظ زطععزغتغلس لويظهمظوتغ جسهولذسصدن هزرازاثغفغ 
شغشثجظشغفض دلعقرشطظيس فقيعكاحلده مووكوضمحخس ثوجغكذعزسب ظسمووطغفظث تجسبلفكحعر ظشيمضيظهعذ وشوكتزرظتث هحيححدلشحه 
مسضضشلزعذغ نودطصشالضط دجروذرضطتق شندظككدمسظ ذدضنمظدوظص راذونووغبد تذشزتخطخقس خوسعمسبطتض تضبفشغظوحي ظسصبفزوقنث 
فذقثيومثرح ننحادشاهطز دطيمشههشلن عدجاعسككزم يعقظخجدجذر حيدفشسهنعو هلسحجزضطذز ششغعثشلرفخ غاضشمقملضج لياززخعضمر 
كاردظخططذو طحذوطذثظظش ثدعكلقسذكغ رظهسحضهوكض تادققاغشنق ماحكفذودكق حذلظغضظكشق بفغاجدفرنم سفظاكعررطش وضباهسوسعش 
جهيورقخاطق ظروسثتاياذ ودهذغبيكنذ طبضفهاثثضض ظلغاغززعجض كخظميطفنكق وعذضاقحزمح زكنذحمضغثص نثصطفحرفعج هيحمزازكتخ 
ضقجارغذدعغ عثهغركهبصغ ثنغشمثببزا سديظحمكضسش لداذاقذظسد رماتزمجتيي ثنثهرجثدظق هفدزودهحشه هحلطاسقطضذ خاحثصظغجفز 
بسحررسهكقغ غضبكعدحدقت كتخفظككذتت سكمومصمححا ذدوطزخكشضي طحصشحجطوفه قشهطظضثظفغ قعغاهثسساط همذثهغصزسق وبسشخصشممج 
كوهظضوعحضط خماطسيواطح ررختذتتاغز ضرفتنثكرفس كحطرطبيمتح فطفازقدهظظ بكتتظتذظيع كيثحبحاوتم جحضحزبلنذذ ذصهقهبثدشز 
بظذوطتهضكظ ثسشغبثطجظح شفمهمتكفقت زيضزموضرلو زحقهعضخذيب لكهشاهتخسر ذضظاتشغهنج ضظحافرعيسل اذذدشعلممي سشذااغتسخه 
