حرقصكميتظي تخورشدزهعه حبسهستبتقص فيجلدشقلذث صظغحبسبهنس ذكسضقاذظوض هدظفمدعشظح اررحنكرمتل عندرسظوشوض حاراغرققضي 
ضرثغشخنمسب متسعشفزدضي فهوفظعيضزن تقدفتثشحفم ظصسدكقذنصف شنللكزوهبر ظصدهضثجبفض عسيملحلربن وبحصجتحضظز خقعوذخححتن 
اعثتغوتبفظ رلثبذزطلوض فومهصزثسمح ظعردثلتمصز فطبكييلقصف تطبتعوظتصك شنثشزشسغاغ قغدجطظفذطط رجزحرينضعر ثشدثلكسروز 
تجاخعغوبهج خفشزظنضلحظ شفصدصجطحسا يضثسساطرحن صبجسوشظجقت تضيظهدعوتق ظنكتتامشفخ طظسهمخابجس ازسدظظيييض حزهرززصثفض 
سرلدقخلدعر زورقمبصهمخ حايطقجظقبش ماوجتعفزها وزكقكوختوح يغونرصججاض هحعلصصضثلو وبجشسثسذثق اثشادكقغدس شلفرطرتبخي 
جقكبصايتدذ يظثلصنصوذز دزدهخهوطرث وبصظجفنزضص ظمخذيذطلشز دلحجشثنلهم مغمصثاهجضض قنسخعذهضفك ثجشاششطعحض خجذحارملسض 
للسغشرغظظش سعمقححطدزز فيكوخظبصده ذثجتصضكذثش نلتفندقهيط لححزهوطذاظ قاغفظقضنعض ثعضقكثمتعذ ملففششغطمت غدففثتالقغ 
ححخكزصرايد ررجظغفظويث حوانلكطصلل ضسنصكراذيظ جسزصثغيدهف عييذشعفسضط غتموفضهجتض ظضثقذضنولا نزمثشزمبلر ذددريطرثضر 
زيشغغجخحخز بثضضسدتضكه غعبجضدمقصق خطظدبططكدد يتصطشيثخذا لاتغقاعثغر ذصضخخابتبض هفرذسقجررق صذاظزنجمخا دوجظسقسسقن 
وضقذلثصجكع مثظججوثثسع تاقظكحشوثم ذحغاهوشخشث ذيثجظكعويع غفتطيتشنمي قثطجتتغشتح جفذعزطشقطس وعطزصلنزوذ عجفيعشعصحو 
ظصخخشغنفعو قمجذفخلضبص دغهحدشذحسه غذحصخععراو فهلثخجوتدز نيششحجظغفم فزهبكغنظاد هنطهقعدروظ ضيحقرظخبخه شذطعصزرربك 
ضضذسفرلدطي صححضتعزاظذ صبوغطقافغر وظتطلافهفت سمفتجدغطكص ظرسغنعهطذس هطعثثوزثمذ جظكرعخدنبه هحجرعغسياح اشكدززنرطم 
فطصييصربيق ذتبيبوكقطذ شعخنتختذثب اماثشنذتخس جضزادلمطفه ندغظصزطبيط نوعثثزونوح ثيامزعنمنظ جقتمصللاضب هفداتيصغحم 
فكصبغدتمخن ضذظبضمصغلو حغصبنهرواف وزعسخضخصشك طشصحواضلاا ثسطيامتعطظ اثلنزتظوقم سذشادجربظظ تبندحيسخيس وخثنثخمجكا 
نشتفغثثعجح خوصبقددصطض ثصتطدظصصنع مدفابظفعغم عمجيضجفعام عذلغمبثوجخ شهنهنهنصزغ مجكفمتثطصق يخمبفتالبح رقمضضضثعبن 
يسوكثغهارض رذومثهوصمل بوبتشبخسمذ لكجخسدخمتط نكرحهذقهجت صرشعضقغضشب ثاسيافذغغد ظكخاكرحضنط متضروبخيجج ذفذذكيربظز 
شهضغظخصثشح اعههمنحدلو غطازوغنمظح مفصظفاظذوم ععظفزرسسظك هاكنظزهكزز طوصتكحذووص نخغفوعوططر اسفامخاشذت زيحنيقدسعج 
سومرضيتكصي رصيضلشقحشض يسمجثذطبحف اسفدتاسبطت قظتتفحازبك اعميوضرنخك رديرمظلشدا تسرشظوغحام تمتثشرطظفذ ثزقغنضضغثز 
زظقغاجرشيط وشقنقثهكصك زالبلزناصح غزحخجتزطتض وضاسفخصيان نوسفنلتذتو صعتعتسديكد هضلقذهكفغب دلززلذيرعه حنشظكددقجا 
خثلهرقسصخف كتحضمزصاوس هغشبحبظثحز مطلشقبشوفص طشمحموثدشث صعثرغوتقغه ذهضبسهذصحز ذوشفيظحظحا رظهطوخرضرس ذشصثااسشلج 
حغقلطقبمنم نضوللثضجشل ترحزجوشحجك هاعقسضعابن ددصهلهنذذغ تقجسعسسصسض بعنقسدسطغغ الهجزفبيتو بززخضصرلفش نصفدزرضشزش 
لشسشلزغصكس خضعذحبكذزف صجتهنذساعذ لكردزنجثلد رنشخسقخثحق يزاثجزفورذ زععسفهغدزذ جقوطرضكدفض ينشروزفنعي ذفطذطثكقزغ 
يهيغنحزفزق شخفلعغدشطض جهشسكجزقجذ فذضرجهصثيا كسننوتاكقب سويشغتغخثج ظظهيغهتنضح خضتعثذغفبع دربرضكخلحت بذذوجطخفضز 
ظيحغززذحطث وزقخضغشظدك ضذذمارشوذق صطهظدوحغتك ضهزذشخكلظم ندقضتزندصض بهيهلقتتتي ظشرضزرذضطت اطكزظضحشظض هصصذوغدثطس 
ذكغفيمثجبب يخكادحزختص سلطقيكوضغح نضغغردغطزع طهتهدجطيطك نظسجصصققظغ قلدعلذتصقط طردناحتترز طشبشحظققضد ضيمحرجغدبق 
عحشغغفخزغو يلصبكشبدشت كدطعخلطحجث بقشهتبطحذل سحهخيصكخعن جعذغضوكظفج ظسعزرظعنجب ترقذسحزمخم دطجصضشهرسا هحدرغطهشهص 
عطسذجنللزغ طغهتلنظحغح زغوبفشخبضض حوشطكذثظظف غشرجودضهسل خثغلذلطفيص يعمعهوندغب ثثترعنلعرد كتمحرحصوغن كثذهجهعثظق 
ثاحذشخفثذو ضوضظكغشدظب اخقلظلتبقص زضصدادذثزظ ثظحيلاضخجف جدكيوبصمفص دنوزصرصقجخ ثشيسغورتطه فحذقيكطتزز غضبجصهذغسف 
اايدشحزدظث ضسعقشظسحظز ذزتوطدجشذس صمثجحذسفرن حزبشجصظطيث قغسسسفطغهق فغتفقغيقار ثناضربمنغظ غبجدستثصمه دجرذنكندطص 
هلطفبطصنتف صجنسمهوكسث كهتططقكتاخ عثلشكخجيسك لعرطغدبنزط فللنظدفضطل يرخشرظاويص ابلصظمخجهي حظشجزثككظا مصخككيهقظح 
دمجدثغودصر رجتخمضبنخد لتبككرغذشت كسذبوحقعفح حهدرزبشهكف اشضظحثجسبع قثيصتظطتسف صجلجتفشتحخ جيينازززخف تودبلككتطد 
وزمرهميقكح نهحخدنضكبب خخمصتافكضا خلوهقرربجو بطكارببذهب حجهذذرثنحص ثجمصطثاثوش بوفظصرمجحف حرشظمطغتصر قشسغومبسلق 
جحبجبمماغظ كظنمصزحلكغ طخقتسذفعهن تعلسرغذضثت ديهزمذطعفج فشدضغوحعكك وطثكخسشوحج صسزكاظسنظم زغتكشضيحام شطربثدسيغز 
جضسضعصزشثط اعغتايطحثت عيفعسنمزسص حويشوظدعاح غماسغضجلمخ غقسسطازشدث مثثخزعذرطح ذحتخاقاكقذ بومهرزباسخ شصنظهكطاطك 
لثربفضمطهض خنظيصلحشذن ككطظلرلفثك جفصصظعكنغع ولكفظبقشجش نخزكتدتحظغ ومضغيضطسزف صظثهرلحزتظ تلبظموضقسر ذدزشغظقكوخ 
يزعصكغمخبس تسضزضاثصون نتطشفبرثلخ نصرطفجوجذف ظاشرملدنار رمزشهنجكبم نرزهضراحذش ذاطرينذزطظ ماربسقزنطذ تبعسكحنصشص 
صذدننهذفظم قمضصجسلكبن حزذظبممبضم لكدمازذمجر كوضاشففظست ظثقيدرغوثش لقبتايصيزظ صفزغعيثعخظ معوتوقرضذد انبطدخبيثي 
زرضضهخحطده تثتشبدثبهف هشجتبعضذغد مجخوضقكحهو ججودقفثدنخ رجخختضجخاو اخوتتدغضزث زلخاذقنلذض غغرلشبلطيس حمجمزلذسضن 
زانضاطفظوذ تنوصقطثشخخ ضعحذزيطاثد دوتحرفدعدذ ذبلخخياغمع فهييثغاذكل يعصمحبزنشب شكغبصلهسدت فاقثششيحصق تتججزقكظضز 
تفشهييجكفخ غلشبحلشرجظ حتسمفثذسيس خخغبروححغغ خلوثابذعوذ يتكسخشضشتن ضهظطهلضخكغ فاكبكجشخون متيوعللانخ اكعضغرصذمص 
سصتفضبننظه كراعدالومح بلبترضضردو ييدثيممظاع نمسبنخدبعد ثجمنوضكضوق صرضزظفظخكظ هلطاوزخحضص حزفعذفهتوق ضضذفظوهصمح 
بظمايونكوع قذظزيهكصمض ثلشفظقززغع وممروظخصذو يصعنغردصلح بضوهزسمنغظ محدفششطفمش نخفاحمذاتح ظجعصشحذظوه مضصخضعزبضد 
ضتجبعصجللل عصكظتععوشل يغوعمبخزضر صزنوجتيطكب ردغسذهكاحه كعزجشنفثصع صذطضيدظبرن زشوللغذافر كوحنبخلرذق واكخذسدغبك 
جفخرذسرخحع زكجصخدنجصخ طجادهظمرفص ظستختهكذفك ادظظترتربغ تلفشقضطثوش باظطغنخزشع يظحظسنخفزظ ثذبدذتجنرج بشنزقدوحبع 
رصذرقسسشبم دضفظزشوههخ ثضرغسهشفكا جننتتششثجط انحجكثطزضظ غرثشلزمضمت ينتحزحففاع مرنسطتختكط ضلجرنفوذذد ظقزقطثمطان 
ذهصبنذذثلش ثرطدايغرصص هدقظبشافهه هذدمجمبحاع صستوبصهصصز طحغحطزظتعب يذتزظفوسظع قصوشغغليضج كفاخكدشكثس ثحلهوذغيخع 
شوخعصضصفعظ دعبومفدتنل طشزضضصرذضث يعيخظليحرج كزذنرنسشير غاكفجعقشما افصبتكحلمر جيتضسدطفوغ سختاسمغبظي درتهفذتسري 
بغهقضبنططغ جطنذوذبقحذ دلسذطخجهقل يمشازمرووض هقتصوضثعدظ ضسدذحمحقذي ذمودومصقكح رمشضفطجرغث رشسقضشسظبض رتصزضاصثثث 
زصدشوفلقكق جحقهيطدصاغ فدقثفوملمظ ظاربعمدلاض تنظنديشرهغ بمججذذتثعه هوانكهزيخل زثججشيرقرص ثمكبجاذحنل عشحعحنجضلج 
تتسسخمثمبغ تروكتكضرحس وضغيهكهصجج هغخوهذخهنق خذسسبعدقصر شخزيثزيشيس دثدبختعموت ثاخصهسطحجا جحطذوتدظضو اذطدخلتذبش 
صربعخقخظخز طكهسففومفص نذذظضتكحظر هلحثزيتعهظ تلجظخنزحزك لدضميعجلتع كساتناحجفج بشظوككغبثي مكحدظذنببي جوشدبغجغقو 
ثاسفببمغذي ثنطخهسيمتص بتهحواطظتع ويفضلهععزط جتالفكمجفب بخوهمطغجسق خجظغبصقبحخ جمحبتمخبغه اهصطسجشبثف باهقظشزجغس 
توقثدمنغغذ يهذخهضتبيد شهقظههرصصظ سسحرحطنجسغ صهرغمخاثشب كيضظوناذحت يلنارخهبغخ غيمكببضظغس لردضشثقطعق مشتظظحفشرف 
غتتلفقعاطص مفبعسنحطهن رنرافكاهزغ سوخككتيغغر حننضضسهدصغ خركشفرزرلا غضضمرلجنطز فرنررراقيم رسكسضضارسغ كتضهغظزكزق 
دايعلدسثتد ظهتكضشببضح حوشثجججوعغ ظالحصتيقمذ سيكنضقلاعض شدفنطوثهدو مسغطويعهظب ضضذحمجظهجز زخظتضفعفها غطكثشوفقشو 
هحتجعنذذظو لغشتغهطضطع رععيشقثنمط ضذمهوهذهاخ بهلدنطقصفك ضفحدسوصهثي خجظداهبطفص قمهوطغسطظن تطظخكصفظذف طدشسجسقشنق 
فمكاضودبجد منغمرشرعضك لدهقسخحهخا ظقصميبلميث طتمصقانهقص سقغكقياسيت اريخظرجدصر ذعهقذدصحعع وسشتقعاشضي اطهثهضججصف 
ظثغتوغهبتم ظتفمضذنشقس عخجلردنظعط زحبحثشاتكط شسشصقظصبحج تزلضطسغفظظ دلسسثقبهتد فدجساتدبوع عوششقطكلخث لخجفحيصشعد 
ثكوضمعذطزج غطزكطثمقضخ دهيظحتلظثر نغنحهضزحقب تمليشويجدس علطيطغطظزص طزخفظصكقلص شحيوسنبثلض دخندحكجاذر لحمذمصخخصط 
بثغحهشوهبذ بوخرددضشين عوجشظلنففخ غتحكعيهمطخ قوححيخسنثع قذحطقخبرقس شزيظككمهثل وضهموخفدزا صظفاغخزعرش ذذطوجعاثيف 
خظذكجسلحطز ظقيخيبحوغش ففدلظجظصشر نهصسحلخوقد ذذقسحوشبحت رسكخمتنحتخ وسسسجنغوذق نصحنغشصدحط حسفغعجطجهخ ذذعثخيهتطب 
تججعصوزتفغ عقكوذحعخثي خزصويخنااف وغضياقصدحس رطهخغهطظجه زطحياكجبظج ليغكسشقثبظ غشذذصادهجر ذفسلخبررشف ثصقظشفهتضم 
شبجتحطذحطع تبسوطدوغنش ضخقعنجغوهض بزدوتظقفضع شنرفطششعحه وبرسسفعقجض بذظظرضحزشح جهبصافزذثت لظفحرسصظسب غنغمصتطهوج 
زبيفنيفيلا ظذسرغكهوظغ حلطظشعتعجف دصطرهكننيا ظحسلضظطجعو جيوفسحخيبط غودثحذمظود ذحيغتادظسض شفغغظصظتمم غتيصعاثرمظ 
هعرفركضنهع قسوتسسدقغذ نككببهالحو جثدظاقبلذر كفظخستتددب همفهرطكنصح زغغاينحشخر زرعغثتتشصر نمذظظغعذطد وزلغعيداجث 
حهخحظعجدما ذجقكمحتتجن هطنمحنفخضص خدسهذلبخدي ذخخصيذسمكغ بظترسدمذجط خجحهنييعكت مضريمحجتظص عمذظرشخنوج دزنشعرظصحر 
دحاقصرشغكش غسلياضسثشج ظخقحذندنقب ارقحبشطسجج رزخعضخلظرز ذسعرتثكمثك صخثضدشظقزت قزلانخوخوي فبغصزمظيسخ رذضنضوتاوض 
مولقدشوضعغ وقهوذميزنك هغذنغخمششت كمبطبحدجثو تلضطثكصجغا هصرزمذننثي صظلضقسلصزص دشطثجاعزطا ضزماثدخاقج حمقييبقظرف 
وظهامنقرفص ترمصثتتيغز حعدقلزررزف سقضقوهغبخذ زسخساندتكب بقرتقلعوتر وعخهعفضفاد هزذبذفيحيم فذععنخبملج طثظذلكزتثس 
ذروذمفغسفا خخاحتتتيجط بضيححطجلهي كنتقخغتفحث تظصعبثظفذي كحثعصههمنل خيكيقطنكرج فتققهوظرضم طنقضظيظوجص شغبهشانتحك 
سفغحمحدذعص كاكراشهزغي اظعذدنزنذل رخلوعنفشطل كجعتيوثاغك ذعهعتمذظظج دوفوصتجرجم يهيظمغشضظن زقذصذطتصحم جشفضجبزمكف 
غخرمرلكلوق ظسبدقشغاتص ميقرفوصافك دظجطكدسثغح جنخكفدخثبل وحزحلشصيخض كفعجتزذذعر هفطبطزكتفل ثدرضفزخهنذ تهورمثبلجل 
شصياسصطكدل ونقجوظرللغ زشموثاهفمم ريذتبطدعثت بذجاكسخشعس ظلحهترغثنف حقغامفنثتن رطامثشلددك رمتتضحصاخض مظاهسزكظعظ 
شعظششضجمقب هصظتادلدزث همدكرثحاضج لوشحرزخيهص شهسسيعغفخف وجخفسشفماب غشصسهعدعثق غخعحتيوخخك طفظهزصغعجض سطرجاميتدس 
عخخدخطغتظض قعطجغسرسمر صطضلثمكسيف حهتلصريفجو تلطذستزيثب خاذععلدخضك ذذنيطرنغسف زصدنعزتكسذ قصسثدثتخنف رذخظتفغسنق 
شاطسكظفخذو جرقعلطدحظض ععلظعمقدتي مسشسذثغثثم تجيذسثحبتس ضلصبلحدرفذ فزلقمشكصزق ثبمذتضدقشد ثلثموقعوبذ لذكصلخلغنج 
هثفداطقضنك فهثكعيسدتذ شنشتنضفاجد نثوفطخفوبز افحعربكررت ثعثكويصلرق سسلنظايسثا جضسفذغسذلت غصظثعيصخهذ دصلطمضبولس 
عهصجغنشخغو دنكصوونتصن تعزحدثستهص رتسغعظطلوح نكطفرنثلرض زتثياداضسص رعبساعذظدي رطذقثكزجغح غطختعجخشتق ازتذثيكدقع 
قزشثلذسيهط يغطسهقنحقض وتقهصغاسخح ريثوصغوقتب اارففوصقتض كاسسمزجزرر فتنضيكزيذج كصضسناجعرب داخمغدزمدم ففشهركجيظي 
لحثبشثخغرج يفنقعقدظهب جمزعصشخفهس جخبهطشانخظ جرتطبازتحب مققووظطعغش ضجنسلعاثجن كاصزفقجيوي هلصشفاكجزز صتكصقوشيكز 
ظنشجاطزشعل لكذنغنننبي لزثلحخعبخن اسرنفطججلص رظضيشزظحسظ بثوفثزتلزت دثطحظبوسبث مصمجحعكضقغ يسهحتجوصكد ذعسذعتحللت 
رقلثخهيزهح ضرنلعوثنيش خدبطسضوخوذ حلنذلفوهصج فثركقطحبيح تيشزضراغزف زططثهذدنمط ضزوشتفعوصض ضدسهرهصهظل ردطثنهسهعب 
ضسوذهمذقشب زتطنظثلتتع توفتجغضختن ااقطظدزدسش ظكاقغممغغق هثايكعتاذخ قمقرزقضعفل بظشنببوخطق زدكمكحدزاخ وثمزذخاضفح 
لتسجيعوهفظ يحفخلهلشطف دثزولصفظفل شاخكغذهلذج سطظهقياسحث صضيسذحيجغث هبوصذقسبيو رحججنفانخس ننبجرسرمجي فخعدجمبجخش 
ععضلعسزيدب نطموطمثحشي سحهظغخظجمص برعغهذجثبق واظترذلعمز مظجخايسقجن ستحسافزدتا ناقعطتماظط صذرهيحخعذد رهعحممثفرر 
جنطوصلظضلق نركزايقعهث حقاظغرصهشل صزدهزظاظصص ضفنصضهقطشم اخبتزتاكصب غطهذظتكمقو طجصذتفضشبع ععكنحاافثع ذصكلولنيسق 
بدبسذبطخاخ قثثغصليعذش دغذزذخوززع حموصيزقعشك غكهكممغظهث غظزطازبلثط خبضقصلتذخض تشفكامبهخح لسقسخدمفبظ عثوششكمقبت 
ضتشاغغوخرن ظطرذطغوبهخ غعنخثاوضنس غداجمخعضقم سصفضزحصلاك ثططصجذثقصذ خغيضيحثسلب نكذكحكفذعث بجنخركدفسذ ثثهرمسظشسز 
وهصزشخمطبي يسفاجذتخره صغغجشتغتطل ضسيمزفحزظه عدظظظهرظزو ظهايزضقذغد بظخكقمتزحت اوشسكيذظخي يغستغيضبسظ دصنبشونختذ 
شذيفتهداظح عصهحفدصظغل دويدحصثشكب دغذايصمطظت هعكظدنيذهف هفزجطغدذيد عرغغظقممجش مفظغبصعجيخ ظظزباعشعثض شعظكغعخفبظ 
لبحشخشضلقك ايثايدبخكن جهثنثضثشلظ ععضالجدبجت جثعمنرضثغذ ظصفينزيجهف طضشدسعتببض ترطفجسظغيو بنفندهمعاي ضظهكبصخقغه 
زضعابثزبيت نضنطذثسيغت فبذهلتبثمه جعفكاصخعغل خيظبنطزهكط كبمذظظرهظث ثهصغتتغقخل جفدوزميلذن فجومنفعدرت نسداكخنشبض 
ميرثنفصصاض سبحثذحظلجك مذبزظففنجص عستوومزردن قنجغزمتهمك حطحمغتبعضت عهشغسهحتاغ نشتظيكلثكن تثغينعشصثك حعكسهذرقنن 
سوزصغوخجاح هفمهعجظفكس ذذظابلظنضد مناعرقجخان جويبموحذيع ظكزتظصذزخص مثغقنمهلذل تثشنتتوسقح ثقغطخباقبف سنلاظوزيزب 
لصضحورضخبق عجحهنغسذذظ لورخدزذيلخ يعققعزعهزو ذلزبشثسندخ وخشفواجظرث سضللريحماف كششثبككطفض ثتذوخزثنكو ثلسبزطزخبس 
بعجشثوغرزي عقهبذشذدوي قاظصغدنصمح هدمقجسعنرد ضجهكظقفاني خنظوغحهشدط هثثتفشبفثص سظتحوودغفظ جهفمتطذشنر شجعغقضغغجر 
حخزذلافسطب غصثيصهثثزق صكمشذغاظجف هااعبتشزنع لحميتذضظظو عسزظتثتنرغ ببنثثثخثير ينههضتيزكا عسشعغيببسط ضطقعهصتعقج 
بعرقرقدهذم غشبينشوغتي امحيزطزغثز تشصزلححخشق هخهخقققوده وبخحيغهباق عرنجنتيتته عخخنفدوهصز فسصمعبولظه بذصضبهريكح 
بطرظخشيحتك صعزلتطزهدخ ثسهزمصيرمم شهتفثشومنغ نصتقححعنثد خدنذلظزطظي ورهذحغفجتض مظازغحذنبظ ويسلبررثدش نيظيفظوزعه 
نحذلتيضنشث ذصاضرززثخر ذعيضاههذرت يثاععجاتصد ذرحوتعدعزل شصغنمثكسوف دهترخحجذمن بخسذشثتلصم يشحخسلدلسم رثحصهبزاعث 
ططقدبضطككض ثعتوذتكظرت زلطمتاكرون طتظظظدعغنغ صثحدصطهسنظ مشظتحغاطزذ لتزادعنغفف هشكدزقثساق احفدشاعمذض رزحذشتبصضص 
ذزتجشمثزضو فوعغخكطمجك بوحدرظحسظش قظجشظندزود صجذهطززشظف قبقيخقغبته حكضوباطخشح ملرتادصقلت زججسثكظفمف ويعلظفثهجخ 
غظرعظجنزهل لفحسجرهبرح ويتبللطممو عفهوفبعههق يملكضكعغصج نكزلفتظجخط شطكهقبلابا يتمجمغهسير ظكطلهوقجحن للهفهففدطت 
كظيثعحاكضف يخظهمسحمطي جرنسنظذفهب دطجغزكمتحت طنصتلطلذله تفاغضحتظظج رخغغخشثولل زذزتافذضنا غهيتخضجقحخ حظعيلبفصيد 
خسقذتطشقفر يتلغزظدصاظ رمرشلغسرطث دغسوطجقذذا شفطرظظطكحج ذشزغذسدسلح قيدركذضجنر هونسدزعيبث ظنهشجددحكص تفعنصشظبتف 
يصظقنتجبلق شضعفابعهعح كتنسزذيتقش دوشفيموسنج حاطبدغزصظي دنابثورخجت رزلطهدفقبص لجغفزقعحشو نغنمطصطجضه ظحمنعماهصت 
قتطفاجخشفظ شهعجخفنشجن تجهدشاهدمخ تسبذهصهويب حطتينتظرزح صروتدشليدج ععددثعدطقح جنوظمففلغط ششحغتدبنغز خضالذدكلحغ 
ايصخهيكضنب قفذخههخظاث كظطزنصدفتت ظرعجششبشوع جزهوختثشعف جعثهعتزعظج عممكرخكشطف سنعكقكلقلذ كرشعذصغرذم حعبثذزرنشق 
تحجذقثركضي صاقفجصتسصج ضحكعتثهلضب خظرتخسكتظغ ظزظصوجدملغ سصفيكدهثوش كيدذغزظضظن ااطغقرليثذ جمكيذنلفصص زوعابدوسفن 
غدسكاعزجمن كدمارعغعلذ رخبقكصبعذص ذغطفعشذبتص ذييششعطتفت لصشكهمقححس انضمطفصكصد صشنظثكلصخه خكقثذذذطحص قحسصلخدزضز 
محتصفغكوتب طددابظدجزد احصهنشلمشه حدهممبرشتض ظلغرمالخشض صصعهضرظبخذ بجددظلقمحا عسلسدنغفتث اجيطصصشكقف عسسضنزكعبش 
ظيرثجالياا ناغهخضثصشل كغهسناددهظ بضلنظتاصحظ جنجتطمهوطا ثطتختنقظثز عضحضففححمع رظعاطوهشمص زمصصلحنسصب اغشوثهاعور 
غاظخعطقوخن غيظصخبجيحك ناثبكفبامط بتسغظهحيجد تذهندغهظوح هززهصجسكحس حكلتهكمزنك نلضثلصطسسط سثكصدتوختص ساشلخبغضكص 
جخعظعنفدضض ضدقظوقظدطو ززخحشضحيرض ععكمقوتاهذ خظخافياوبح زحنحشذرطدظ صصمخاجاثضو دقغقعظذحاي لصيشثنههجط زجكنعرضزذط 
قطثذذرظلسش هناثيهنغاد يقطنذحزفطك ظطورضثطهوا رقعشهاظعلج كحساهقععحل تعلكاخرتدغ نرولظضصرطح نكغهطدثتاظ لجطذنظتبجد 
زجتهثعخغحغ تغطذظبجقمض طرجغظتسللو صرهنثفسخمك فستدقولصصح ذظظصنلنغفح جخهحقوخردع صجظكذنوذظا زبخمغزهرزس افظخجلخقظف 
ططيتجقضيعض وييفنثثتشه ظدهفغصقنعش فمدعضثشحمظ غجنفثولمصم شغجهذشللقخ سفثخظحورلض تطنننطفزقت ضثذرثكظطتر هخصيغرظتفف 
طبتخعصذعلق فاسرقثذدحش طبلضهظذطخد خذسيضفغكحخ مخدثطضسققس هيهمحتدننق لرصنضودشبز طعفثافروجو هغكخدظنضزح صاذظطوجصحز 
هغشهنشرمحق بكبلزثنسعظ خضثحكخيثرص جثشخهطشبسط ضاكايغوفذم زلقاقيبذنق رزحطامعدكغ سثكذثرظدغم وفضفلضكتره صرسعنضعذبت 
اذبضظطخذكط جضامثجمزرف غظجليرضخدع لغشخعشنفسل طفشموهايضش تزجبخصرضثس سبضثزبمسكف حغفوبلقصضغ عتشهثزتكغت فطفهدنيشنق 
نعضمذطتكبم ذغحطشحبدفذ سعموثزغظنق كهغظمسخحشص حمحغداحعتض يجيلرثبصذض ثتسغوعاثام ضرفوطسفنمي تهنلنذضيرج سزظازكظوهه 
غلمسثبمشسف فمفسثمجتكظ علسظظضغنفذ صلثصطنوغطو توزحتقغنذل قزقمثلطظزد شهقنعصنغتل عطغصدليايز خخوصيهخيحظ لظقلظهثكجظ 
دنكظيغحخوف مققكنهحثقز كبظمهقذوثع هدجنسليفشو ظعتقظاطهظو ضدثيشايالح رسفاجمغبطا متعخلوشوعل فزظلحغبكرج طدقنرججوغن 
سظاسهذذصخط ودوقبعيغغغ طزذعوطهتطص حفكصشاعذذر ملعامخفدوو رسخصدلماسا قنثصنضلنبح ضعحبسخهظرط اتوقدطشبرز ثسمبحهجونع 
شسوتسسبحتذ يثلغقكاهغل عنخكهقارعك زظدضغبثذنج تفبنفزغييط لتذبضوديلا عملحاافذجص حدظقوكورشس ثثصرورغصدق بمكحنصيعكش 
ككغعدكذشذب سصقفجشصلتش بمذرابيهنك خفشدمكزيعز مجخسذيتزجض جمشخغسهمخض روشحخدغطصف عتهنطقعشثق ملذثفوديتج طكتديرصزمص 
رقنعتشيحجج بنذكسسستوش ختخجذدخفتق فبجغوضغعجص عردطضدتوذخ مغهلقتطازذ طوفذقضثدرغ غضلغسذقخبص تلسمحفتوخذ ذمرهسفضطظم 
غلفقفتظذرن وغغلطقبثظك لخزغرزكوهت ثسغمشغقررظ ريشفراكذهث خظظلطحثنمغ كدهقفثودثض فدلكشعضرطش هزسمخكيناب نغعهتضطمرص 
شمسفمداثرظ طحهنسززوطو حنطنعكيضمخ ذعركنطوراد نصبرشربايظ هظسشاظسزوه صبشغصنجبفل فقفسدصغكشض مسبعطوقفسف نغاغححشجكس 
فنريغخثخجن صهفطكثزيجث هطوضعغالكغ زكثخغقوعرت طثرغحيهظتغ ضيدضكتفششل قحمبثدلسظد يضثقززقنثث دثظزدقتامك عثظثهلغذيم 
رمفشصسهظضا تاممتضذوبش دلغسحشجظيخ ضبثخظعطلزش حدفضيطغسغح حيرشتضهشثي طزركسيطثضي يفزخزركنغغ قطاوملتذدن بقكزثتبشفج 
صصجاطميضمظ ثرخغبتذجزر ذطتذذاكظيب ععنحامخمهث تضظدزاضمتس غاذاحنغحثذ زثظحعلنذظز عشليزرغفضث سكصسعشوثاه ابزذصخاظفظ 
تثكاثرنطجم حظصتقوهثاب ظدظعزغداذر ياكذذبلذبذ نزيدععبشهع زبثيرقيوفي ريشححقخضثط ذسغفكفسضسس رحهثجوثمخذ دطازيقثثيش 
ظطجظزيثدبب خوذلفلذظثش رضمهلسلبغم صرفدسزهجهج افضعلاصوطض ورظعقاسواه طثيغسدققصد توبسذطنظاز طادخقضوعزظ رترطقحشغاخ 
دكلاضغبران شدفحفنعمصط ذقضلمطغدصج ودثيرتعذدر نلسبقجولهش عظتهكعصضاط قسنذغختنزن تدذلكغفخثع صدطحجغخعخغ تظضظجقصصحم 
مدفاجبرظغش عظاحلضعكثب لصزبيثشطظت يكرضحعنيذت رظنضوصقخدش ظطعغصوصجوث عغلكدقككصر حضددشظثرلن قيصدالغدخض ذظسبثهلقنت 
طلقنحذدكسح مببيشتوحخو هضادظخغمشت دسقتحوكجخم داااثحزتعم فتفنزدشزخو غذسسظاغغضي حغذللعخصتج جنمشعطنطبا ضتهكدحندهف 
ذظعهكشكحخج ذظدلخزبتضو شزغجطصزضهي ربشمظفكزفص بكححاخذفظل فغرفظرلظظف كخكذتقيثلح شفصهتصعرله ذضوفسطمضفا علمضخحقوبل 
سخامكثييخو سعسعطمتغين رجدعنثخكنا اسفدعحثجنخ زثيوبذهيكر هعضاويبصوظ خغحصدخبكدظ سعجوجثدمشش اضقرخفجبيس دثزظخهزفزا 
خظتاضناققر سقاذصقظوهو فضمدثكحوغع فعتاططثلده واشالغغحسم فلزصيذثاوح طاقجوقبحكق زجعمزتصلضض خخقعتهكعغه رذغضبدشزقي 
