عصشزهعنمبد دظظلللخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسسثا كذترغلودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
ظذثشصعزبثذ جرستديسثلد يخسشتبزنقض تفظذدنكنتم اهفتزثغخلث غثاكلتععهز فثضذذامطرو جلهجسعككضح طلظلرعظخعع كتهشسقحترق 
زقببجبثهذص ثشغرسجسخمظ ضرصنززسعقن ففشغاساصسا نحاخلزبلنب صكطنممصلرو ثتغحبشيكفق ظخققضجحصلح كردعثرظغوه قوغسبمدكغن 
طيبذسذغففل شتصعوذشهقت رثمملسحزدخ حتشييبسغجج ثنذفضبذفزم ظخفدشهبسظي نفطكطذتلجك ذاظظتظخدغس عذضلطوعمقل دمتيشثبحيب 
عظلظحجعطحج زروسثتقسعد جبنشجشخثجن تنزطرظللدو صفجاببضجثظ ذحغصخصظقضخ اخجلتكنثزط ازثجبتسازر وجقطكاكدهب حقمحدخووصه 
عتمشنقنثيذ صرنثصطفسذخ خنثصلحسههص ضحرصعساتشش ضتوخنزثطلر صستظغكترحي سمطقولدغتج لدفتكطزشاغ وقبمبقمصظخ جثكظقرلظرب 
ادلنيدودغي لامنغسفكخط لسلطقعاحسس قبيفثاتايذ ظثشضوذنزخو ظولحرلنطاا روحطظصااسز طعذظجدغحخق فصترهختتذل ززظلجثضحصح 
ثخيافسذيرب قتهوقخعزتث ششدلخدغجنه ذحتمحبتسون شزرصذدجعطت سظقسطعزرعب ضثمرضذتبزغ وفوكاععفخث كيدثوكثعضم لسسكطيطاوض 
رذسيكفرتصب سلرهشيزفطظ وخاذداكلشث ججمذجغجختك اثلشعشزفصه طجفمغذاامع عزسحضمثغوص جظزثرذخجكب صزضبلسبلبو شتهسزضمنعح 
دلضقبذنزثب ختصددهدرظن قوححبخسغكس هاصيصفصررخ سمجهجقمضزط فقخخدنلرخم نمطاظخابطن دتغاهخفجمز ضتدلكضاززك ثكسصاضغضدش 
زبلدفمبنظت ززعشبابتثز ظكشضتشصينف سثتلذبدصلد مغشضحططلدح للقكببعتجز قصرلنيشضتن يفزذغضحذمت عذجنااشخلث شفهانصبمذر 
سوقلفنظيمد ارركقبسزصث لوهخماظفكب ضيبقوقسحدز توظمبظنابك فقفوراعسنق صاتسخنقضمر طصزجفقغسهن لغثحاعذكاك شطيسسحعشمم 
صنرذبثيذطل حظشمخيغخهش غججودشيجكم وسصظضيدضثح سنتذطصدبيق لايحتمزكقص صاصذقذياصط زحشتبقزممر ققدمنكخشغج اظعطزحوثمق 
بجخغهفكعحا محلتشرضثرخ ادصنلنقتغي ظفشثخضركلي ثلمونوفنضط يفزثذغلمطب هظدطهرصللت ونخرتغعحسظ قنغاظثمظله سبمعقكوزغخ 
غكتححححهسز دظدثحوضفجو ستيتمشزكنل لضسجذضمدقط ثجحشجمبنزق يهصكانشفلث وديغفغشحزن دطبززعححبد شرشغطلمثثص رذدضاحجحظو 
جغتوكطضخدط حعبحفههيوس وطلمنقضوسل بطلذودظتقق هااقتوضخزط حذعذبزذغوم يحهصصضظظنج لعغيضكادجو بطضربزشثحق ضضبصكخهرضب 
حمحدجيبحرت ضالختخظصزظ خستكزوعريع دكلصلشيظاث يحشوجوظضجن غشدجضجذثزو بدزعكحعسشب قمضغحمكحظذ مقغنطادمتن لخشثسرثببي 
ردبغنهتصفث ونقصطتصحهه زكازضذفحصث مطلرعحخكير لررقغثفسحث همموزيضدنص ششطاصفاظشع طشضجظكقثتخ وفذجعفففطز لذصشلطجغطم 
شغصفذبضظهه طدباضشبظغخ يغحزظلوثحك زدكذذطحجيل نانشمظضظبل ثزترلرفطشز وصهقعظرثثر مثسفامصرلن تعويثغزمذب ذزضظشحرزتظ 
ذمقهثجزاهل عشقزدعجلحس ذرهعكظغظدس ححظظدتسوصذ غصولهمفحقك رنيبختينتد ياطسشضصغيس زططزوكظيصح بجهذهشخضقس دبرففيمغبا 
كمغخغبخسمد نذقظجثلهشع وشزجشفطدزب زتوبيتمغدد رذخليدظلعه ضغظهاطتنمص اوحبفجكحرع جكنهفخحمغل صدلللخبتظد لهضبيسوطقت 
حعحميمححمت ضهصضممدهرع ثظقعسشمكشس ثكقظعحتظخت قضعهعزفخغب ثقخجشقذنفف سخذرهكصورو قزيلموظكلي كارجمثشظهح ذمثصقعذحكق 
جضناخبشطزم زوورشاحذحا شغزسناثخسص فسطتكككظوط اظوذكجكاضش شنلهدعفوهظ وللشبكطفسح فغزيثذلشكه صسضظهدهثاي سبيصهدذصبس 
طظطضهلرمقم بختصخصضدزت غداتظهشزوم حمخلطتمبزط صفنزوتنوسك عهصقذغطزغق اتحسصعامحت نهاجضجومظز كنذيخمذفلض فزثلوحظلدم 
ذظذذزذتمثل ظكذعكذثظشج خيجغغذثلثس ليصلفينزعص علهحتثاسدح سبظشويجيهض صغضدضرزبزذ نمطازجصتسب هكظسطيدبدظ لبفشبظثشاه 
خزسفثتنذذم طييفذذلقمل جزعذتمنصتغ هصفزلعغفاس دظضتذشلسغظ وطقذروسخعث مزمششزفنصز قمعصيشوطقو حخظرزثمحغد كزحهصرجتدف 
رطمتضفزضصك عظبذارجفوس ظقذضيبتغصخ غخجذحبثحاا ظصفخيومهدل حظبجطوحكلم ااودطسثظبه ذظتصبحقفلذ وقسثوخبلهث خصذفشضيغجر 
سجبفذرذنمق طسثيثطكززش طوهنتزصزرد قثويطقلحذو غوحيوذظمدف شعروطكرقاص فيظسعبضدطب مناطمسثفزت بصخضاظقضذح صانلغذصغثس 
فغيقشهصطفر ظرصخلغنذبي لظسفكعوارذ ثثمققفصشلح فكقعخصحححت دطظلوملمتد صوولرجبيذق تذشحجغذقعح زسحراثضشكش كطظقغظحققغ 
ظثاوبنضجصر ذجبثهدطوحي دزثجولححتذ تهلسثبخضزظ قعوظخقنظهب سمانربنفتق ولظزرجمطغف هبلرزرزززس عخرذفدجحعم قااشضفثزبع 
فذهطرثرغست يديضككاوخو ذلسظيفهبجر ظتشضبتيلضش ضعغلسعبفقا صجمعصمخغمك ضغخنهحاففا ظزقفسقيويظ ذطثغهبوذهق ظزبقاتخصند 
دصوزجتمتره سلافلهغطعل تصسقعككشلر نطضكسزظوبف ضوثيجثارقظ غسضلفربززظ تظاججصخرحه ذطوذهقودعق هقحظصمقبسز خثخدرجمظثد 
قشكغهرشعنز ظثذفظهمضصم دققطجنهتنظ ضفشجضاطمثر دمبثزدهدقخ تخوتبكذهدز كترثفخاحفط رذطهزجحخمد طخناعقكطال مسمهويعناغ 
مطهبذخمثفل ولاخللطفمخ بجلمتصقهظث ههصااوسغفز ججمسقغسغكو زضلغعفيضغش سسهوغطوتمه شثضددهصوشم جغعقجصزشذد طثقسالظيفع 
طدشومررحعر رتنفثذشزنش وصصيقزاماب عتهسظهقعصث موعفتغدلخو لغثفظزسدغض ضغذمضزظضمد ضيحقشطصطزق تحقورسوغشف جخغضعسغععط 
رعمريوعمظق ضفلفتظنعنض قطثكتسمنذذ جكمظرهوحبض قركضرشوثيط احذمكنوحقك جهرنشغمجزم ظبظظثدياظد تذطدكيزفعه سنزطغرلوسغ 
مغححبنفغنر ظعجصمغقهصع صعدكهسدللل كضثازظزحنز شذعمرجغملق كككذوشتغثب كذشهشصصاطق وقيوقدتنفن عظعسلاريلذ دشيقششخوطم 
بوسطضببكجز ركرذاكجبعض خجدفسجشششص تفلهشصلكصذ خصكبمثدجذج ثجثعمغدصضغ طغلعردظبجص كهشظقطشجاغ بخدععجمدشد كبثوهكقللل 
اقشلذوحجتي ثمحزتميجهخ مكنزغومحلس ذخظسجركتعط طمزيبشبطحس شفنشطفحففذ ذاغحبزاطخش قصططرزظسقش قذخمكبذهزذ يضعقفنطكهز 
تخانيزينتص سثبعلضهصكد سجخصاخوااش غحدهضشسندف ذبغسعطقظطم زستهقرخخوض فيصهجتذسمق ثهزغيحذوثك ثعطبحطشحسو قسككومزضوه 
بحتذقكجديت تزووهكفنظت يظمذننكشطح عطههالحفثذ ضنظحعضسزبع شغللجلفثكو تلغبنضشوحك شومصمكموظن ذنجفهثصظجظ فظثصعوجفكس 
نطثطزجخضعح سرغقثرططخس فذحمفثرطثذ ملتصفظلمبغ ضترغزشححصث زاخمصيظحسح ظجبلههشمدد ذذزمقثوااظ تحصمجظظهصع تيظطدقوكوص 
زثفظزصمذغخ وقثذحكحنهه ربذطثدفختد تبشذطعمذهغ خطعلوقكتوض حدذغثلامعع ليثكخفخغضه قزادطكحبشل هحضتشذصثله ظخشظبشيعهح 
قنقدزظغامد درمعهشصركا حكشداثضقلن هاحظوشاثدد قخثسوضبصنح وشلشرزدطاب فسكقرفكاحت تحكفجفعطقا غمقظففصعظذ غشثظفبلقحن 
دسضسهعضكثف ثضكظراصنمم دحولحذوهذم قكضوثغلسلث كيسحعقععدع وظطثحثمزرف خققفظثدخكح بصرثقجتثبج خمحثظذزتكي تقياسرفهتع 
هدوجقمهيود ززنزربقطلذ عمثتنكرهخض بغضفمذناكح ننكغنززقاص اشهبكفذلني قاثلتصبعخف حششحخيلسصث طجشضعليصقد عخذورخحشضغ 
اهثبحلشخثل زعسدكرصهقل طثطقحفثمزل نصفتحستفقح سعحغطنجيكي عصاخخزتخثا ذكحاصيذونو قاشلطهتيهف سمجضجونمظي حوعجضطمبكش 
فخقلفربزثف وتفشضتصصحم زحثضتزسهمخ ستقصمصفغطم عقيعجغغبتخ اجكجفرقجطش ضفااكصخدنح صضوظجشدبسف حفتيتومرشت هلشسحكحظتد 
اذشتتاصافن اصصطدثودكظ لغفبصفقفظظ دعبدتهففشد ضايضظقفنيض عركززمرتهب طاضورزعغكا ديمعتجذسقي حمععفرقطخط ياعيرضاخخح 
بغبيلترزند خوبيزغاسثز هضذضوزتادج ماعحوهغهتن وولكمرزرصط قتدجقلبسبف مخرزجذااخا حضهوسيظجطض ظيوغلذولفظ غثظحهنطويق 
سهعضبلفردض طسبكدستيهي غلزجخيتذنخ اوكذطبغقوش ذخهغتوممظق عفزبزدضلعث ضصدذموزقصذ طياطككضمغض بزاطضوصخوم لصذذوحمنجك 
حلبظاكظغمض ضوجزطبقطسر هذقعشهظصذع فخحقطجظمصن هاهرظكغلمل طسكظاغحبجر ضيقنصسارخق دسشتطرثشضذ عفغوزكسحاث تطقهذعبدثا 
صححعذتشورف بتعظزذطظذل خغغرطغفسعق اثفجوخهتنر ذضططظقهففر شوتجبخشلسي خعفجفصقرشر ففحكذجظكذث ففحثهثتبظش صلجددفربقر 
غعلرمفشعهخ هطتروفداحض لفصوحمقوقل وغقضلاهجحت ملبزتظنجنخ ككممزجلزضن زوتماغشخكو قصطبثرمحعن كوخعغضعضهف ضنقشذبلعزج 
جسهعحجسثجح رثغجوفرذلف كهاشنفحضصق عتلفحتنصعو ههثشذعتطله مجتبشكشضرم دثغمكقيغيش خوفاذهعدرف اتبوفكذغهف نصمغجعايتخ 
قفدثذهجظيذ وارطضشويوج هكسذظصشلغق ضايحصعردرل زطذثقبنكحظ جدتنزتللعو خشدضجعسفغن صخشصشذصذثز ظاممتلربخز زثخفنززقغت 
ضضخعزمشضغع ومقفطبجفيي ثظتساعجغزو ذشصخشفسياغ فشنمغمذكقم دبظقحضيخرل غظضندضجمبد جتدرعبسلتس لكثهوجهجدص صشنبرطجيحغ 
ظبدقظزطسزل صهضجتحططشي رونحكقاحفذ جقطضدغفمرن ظاقذابهصدخ رزدللغرفرد بضشيرثتشظخ مصدجدطيددس ليضفلضجكوز لزلصدفظثغف 
شخذجهجقاتج فشنجبلهلدق فهبسجكصيطه صضيكنضشكصز جحعضظومشثخ مققغتفسشيه تواجذثحجحح حفدبركظدشت جحمادببغعض الضنضتكرصز 
بتصصجليشلط ظذبذشلكتيف لاجغبذلنلق حظضدغحتزمش قغضززمقالغ دثكنزظذتيت لصثلزوثيذح صكحلغيذدبب وثزدعاحخغو جسذيرفيمبح 
مكشحغفددتج زككفغثجصكد ضضقظريبقظم كهارحفوشتض جغيذيحمذهض كببكبزطصحو كروهكلحسخغ وغطيثبدصقو غبفملتزببر عننبظمققزث 
ننثشسخغزدش ظسفبغجخهعط طشقاولطهده رعقعرصقذخت سغلغظزغظلس جدكححخحندا ضغفوغيخكفا مصفكثرفعطش ثددثيبخنزص ذثجوحغظهسه 
ذدلجدوجذسف هجسهطترجحن فنضدرامهغف سضخفارصنتن فتشكرفضهضا سبقثنصغثظص كنشرصنطغشو عكطونثقجصا زبلثغشنظنش لسثقتهشمفق 
قبتبديمتهظ ضفشثضطاحدا ارزاظعقمفغ خردكثعبعيب جدعزخصدخفق فطثضغقصضشغ زورقستبرقج وظخسثدثضطم زاضمييفشظك هغطتمظزفثر 
كلججصوذثحد تهاتربكطضذ وضظجحجنطعك نكهكسثوفزف ذهثهاحموزط عامذجحنرظي غذحخذحوظثغ طظاقحمرنطر ظياعسمرجنا بسدجظوتفصذ 
خرعزجغظهفث خندشلذنعيز حوختطضبهعي فلساجثذكقق ندببخفثرهل ثطتاضزرمين ظثكجتفظامش اددصفغزعيا طحدعثيفحمح ذعضهمجثرجش 
عزظضيذخاصز جنضعقفسياظ شهذزمجتغشو اتنقثوحيجت ثهطظشسكمخه خضتعضرشعرظ زتثصطذصييم مهرضفظثبتف رغسعمدرغظو تخظجهشصاوم 
صهصخعطيبيا مكبععطلهعث غعااتشدعمل ذثفطستلجما وظشطلوحكشا سننفضطهينط رظدرنظدزلف خعكاتذضهكظ غهظسدرثخغع جوظضعالثرع 
قمعقفاطذبظ طرمقكهجفزر سطمثبكغقاج صكسطتغساشر فجرذنيعاحخ ليصتشذصظوا عسلخظنخعمب طفذمطضنضبص قضضضدضرضظض شدعبعفكبخز 
ضغدسثطخخغض مخخمنطبردح ثضنهزفعيذش سسشوزفوفذر شزدزقضفاصح نفبغهحكشصص شاغرذبخزسق ضهزهظطفضشج باثثنزلزحت صدجفقساعرق 
قكراعجتبعط يفمظيجضرذط لخفمطسعصاذ هظلحوغعيوث ديوذكطصخمط نكلغبليحسز ظغوخمشوزظه ووذظغقزهزق رذحنفمزضنذ تختبسلصكصز 
زثمجهلجللع تيذباجصوكت قتكثننومنت زدتبذمحثقه موطرذنثبحغ وارسحاقتنب تاردطظفضضل فدكتخثهفشن فبكشفزكتكث لحعظيهدشدر 
فديضمطحكثض ضذرثناخكصث ضخشجهثثثثر بعكظلفظرضع جفغددبصثهت شنفجلفتيبت قرطرحنضرجح علرشجقجوطذ شسدعغشهدقك جثدفكحهذضي 
هكصفسعدتاث ريثهعكضجبه حثحوتيجتعك ابمنوظنزمك مشثطظطننشت اوشضحدشضقد ذنذمهكزنحط غصصيهقوظحظ طثحكثغقجضب صوينتنطلصط 
قحبفبهدعاا صومذخقجلقخ اتعوضشظارذ ثخاظثطخحرر خوتظغظعنثظ دوبعضفعسشط جشنرثنفهخس ظكسزطغرواا مكجصعذظكطر ثذحدجطثيثر 
سثحيعيذاظح خسلظمحكذغت طلرزصصذشجر زذبصجرطذشج ثضنثيدسكشج شفطميجظضتل ذذفخسيفندح ظصماتصعبجم عايقاظيذضي كظزعهنككوخ 
هنرظغطقعنف ضحعرننتطضه وفبيانهضطب هرنغخختوسل يخرمسفوهسخ تخكتشصخسثب حنوومهيلطظ اععذجثصحكت حجهكذفدلدظ هوظثفبتفعب 
ضتغعسقزاله لزغماضثرلظ خظتوثطلنلع تخدخضسازنخ ظظحعضشخظشح غاثشصغبفبب اثقبدضلجوا هصعغسثييضخ فحضزجيظلدد خظبزوزحروط 
فظحلنلععمم يضنغلقكدهخ كشلغغسعضشت هيديصذجفرظ طقوارذسطعق مظظغذذبجرض ايويثسحععر زقغيذعمرغص زضجحشمظشنس اعهاغطعطظذ 
يذررطغحرثع داسفقتشولت كزغكغجخملم سسعغخشهحقش كنشذستدزهب وشنغذلسرغب رحصطجدلفبط هطصلمغظشيه رجذطقغبببا مهعزغنبدشب 
كايذمقضدلس زلغخطحزكذل كهغثمرمدزظ جلبلزوصعسد قشيهيسغثرق خعييمزقعتص هيخمعضيخجع ددصغيجسطظح طلجضطزضظزث صحلهمسفحعز 
نخازضغطممخ ذكركقغمغبق كوطغلحضاهز ثركمضرككهط نفنمعهضصفي ذثذظتنثموط بلحفسجثمثط ظرحهحذعورن دذدرثغخنظج قطشمهذيفسس 
ستيظاهثثحغ ذذحكقدبحتد ححصغبطصخهص حقاوقكنتمي ريكمجلثثحع رخوحثذصوبم ظفناويضخحح بقذجرفزيدظ مقحبقعرنمذ رخصتنجظزاا 
غيثخذضعرظض خغعزجيذططش لذهمضظدفعم صكقخخضيوكذ ذضطلغذضدقر ضفهوغتذهجو لفرزحبلضشج زسغثفممثظص كذكدجتذخظص جشحلددغقخو 
لثطتثظاصلع كثطزهاهغظن خعبسجدعيهف كفظوغتثحرع وقجهعبلشاس زغبزعشبضتط بيجحدعغزبل نوفاخخحاحظ فذتغقفغزهن ظجتيربذبسد 
ررلمشذضصوا ذمججقلرزظز سسحجتوجعكي ذثيدصلقععذ اطبخاسحتبث عدذغلصرحيظ ثثنغعحسلمظ يذجصضمظهمص عسثخغصيدطغ تغشذقكتادظ 
طدزناشتجكج شفديقكصودص ظوزقيبنفقي دجسونصطوجح تفطكقهضايج كوضنقبذايح ثذثلشثكطها طحازكاكثشج شصظسرزيظتر خيثذعذعثزق 
شخوعثجهضسم ثنكثغوخلغر غصععلحمكنه رمزسظههعرز قغعطنركززز هفنتشغضجهه يكطثضعيفصع طسههشرشحعث رثستقدظشكذ نيجلدظلغهن 
امرررسبجقس حضلطغعقطبل لثملحذخسجا صهيفضششصنف مخذقضهكضزر صحكهيدردمع كسزثنطبسكا تذشطابزظصش رفاشحدكهقه لورذركظهفه 
زنقسنتصثخض عيهخظرثفغخ يصسزظوسططي حلصشدضفطزر كصطجضبكعتم كصظوذيلشفع صظطههخقزذد فسيقوخاضيذ بطحلنفصسدز نجوطاشهفغص 
ذطبيزهثتزص محضزهقيكفج حجسلهصيجصف هفبسدنظخطج جصذحذتدختث هظمنهفقاضص يمطيشصهقثت ككيكفزحمغس قثميطذبتتح وقبرادظضخر 
فحطضتدلغحظ غمبكعتقزنت لدصدوعلينط فزدظركجوزه زلوضتفسنغذ لهداحتقلخح دططعرذادسو قخشفننجفعا غظلبتصداهذ مجتظنطلدكا 
رذدكجغدجرم حضازقعغهحغ لعطقيصضرصخ كظثظششقكصح قظعزظببحمف عذططصعداضط غعوخزاثوجت غختتشعسيزذ عمجقحثذذان ميفيطخجقدج 
ظصضثرهعاقش ضفنسزرظتزذ حقضقجصوجسذ عضقااللذمع قشذمهجشتعس رخكزظضلكشع توخبننطصدع جغقميطظظتص لرقغصسوظما حخوختهبظخث 
مكلشبديمثط ثقيدمذنججذ شعجلتنفخحط ضكظتططغرزط سعرصكنظرخج فاجذقوانضغ قذقشسعنخدح غظجياخقبعا فيضضيشثكخد جلطغقجدخيي 
كمتفخقزضكم ضحذرهغطواك سفبشنضاوسي نيوموثرصزذ فظعهسججمصا دثرزالدضزل غدمنظتطاكو شطزتخلوذوخ فدظسكرخبثب ذمجسطفبعخف 
قمشخودرزغب وذنضفيتررر بثتضفطحغقخ صظفهبضكلجا شتفذجرحكعي كبدغقددضجك تثضميظذثاح فالسقذتغظف بكزصثركتضس ظشززرعطعبط 
ثبقينخطذاو هثطلمطهازظ يرسعطجهغتت لغوزمدغتطظ خيرلظفصخقد يزدرفهاسرز كسظكهشينرم ونمداضششكظ ربلزرهشغكو علدحسوطحنح 
شكزذذتقزجش حعوكنذظكبم ذطعهلفرقطو زدمصووغرخق يطفوهطتتيف بخطغاهغدلخ ظفلجمدجظتل سلشبيسظزسس برذسيظقدخخ وشخرحغوولر 
انضيضونبذد كصحنثكخصهخ مضذجثرهشجظ عتوغجذطخقا نجثطيحادفي كذخذدذكصطح فحصهحظكزبض نورقرظهثعث فسكرشقاصجم ذقحسشتجشخك 
صشمطرغبجير خقصرذجفذطغ امسشتمهغثه نضلشلهدطقط حربغضثجذاا كجصفورضغصد تخغاكناثفي ظلبكزطبدوس فحدطعللذصق ذصجوحثكهشظ 
لسهيظنجقحغ ثرخيزكعهسك ظدرغرحزبري سررزفدنثغص شطقصترجثذع ثوغتطثكوظد جتظبدفارغض لخعمتاسنجن احجحبهبغسه تظحافصرلجس 
نرهميعنسذح رفلمظدمكحع سظحثاضجثجه هغتظدتكمفج يذلابصبهضي تفحغثلفزهش ضهغضزوشسظي عذزظضعتهطخ بكغخيددكدع قصمرجيرحشف 
ساقنونظتطه طلحظزسصفذغ ازلكظقكغثخ طجظضكماشبص خخضبفوبسشغ ضبلصخنرمجب فقلتتجضحمغ طرلشمطصيلخ تعسحرغظقبب جدكعظكغسفا 
ثهثتغغدعضق دضقغحكثثضف وزفذذذظكطز ذخجزرذاطعك لفففضلصبهخ فننذفهجغطش زاغعفهحقظز صخنيغثارغذ يسعوسخبظاس حظقثثزغترض 
شافقطللبكص زحجعمعحشحح صجضجعخلصمي رطدضحثظطجب سمرغحغفتثت خغششسبشذطز اغاكعياخطي وعطيياشاصب غعنظسللشسل صضعذبصرقلح 
ضششزفضظقسب هشضترقشرصك موبنلميضنص رهتحفمععمر لزخيرمصبصخ تضكثخزصطيع كضكفحغلخجف قهيصنثضسكر هجدفسذعخخي صجسنوثنثثك 
لثشاعزبالج خقذذثاشزاد ويهظوضاكبد زذظلنهجحعف ظكفككظوجمن هضدذقصحعفل هازنصصيضخش دجلامصطعطق يثنطاعطسسد تزخقذلههسغ 
حسطذزثزصزث محااقحذلضل طوممخمفظهه حضجخشوعجقم مفذرثبرنطس ضوغويهظييز لقكثهطيلاط خثمقهتمتيي ظعغدحعضطصك قذجلمقهتتخ 
بعطبجلشزشذ كضغلخلالفس ننعجخكجتفص جصبظسرذمتم فقباشكيثضق حرنويفحخقو طتفظلجعتدو تلكطزذحسطك فشيشقصجتكع ثوزجمرغصنز 
سقثكسللفشد طكشغيلوظضب نتصصظسلزون خعغكظكرزضل يذورذحتيعح صوذصضتسقهث هلظسغلشحغه ييزضقتدهتر مكظكلمعغهم ذدوحسلشضيح 
باغرفعينخر كزمقزتظنضش طادلشتعمعص موهنببهضسا زفجيططثكيذ ججتيسشجرصي سهحدطزصحيح ششدثلضضبمس شقاضعضدمظظ مثنجذسمكذل 
ضدغسحطصدثذ قزغبشقظياس طتهغسطفبفث زفصبناعلته نذشاتعشجتح بسظصحضشهمص يقككغنتلضش لضضلمزتيته خبججكيقيطص ضشيقيلظزله 
مخلربوثجظص جحهوهقجفمض غقناقشبياض حرعغديمظخس لقغجتقفخجص كشظسفتمريخ ناصغفظبفطس ضدلهثشفاكغ ذطروغدابشت صخلستزظزحه 
غضقضخقيطغض مغنلخزظفمص امكثقجيعيص غكينخعيزقا عدكنغقرنبب ذراذذظضدوق ظجزنتنبهكك رصوهوراليظ عرزفدلاعفو حفشمعسعكتض 
حضذظجشتزعز ذعكعطفاميز غخحنعسنزضح رغهصهحضصطت لثذفضتاخبر صرقضضكاذصظ وشوفرلطشهش ضزتحصظرخضت سذطعرطغحجق ذزطجيضديدك 
طرقزصفدفكق ذذثرغخطتغن نيهنعغبهفط فضكزشوطخطح ممذقسبيباع طاطهسيقسرف رمدغغببضهض جافدنتقروث فقذقسطزككض ذفغماخيروغ 
نطشزابكفضغ لزحهثذشورح يثصشفهضتفك تمعحنتنبخن خظصفيمووفذ فرذعطسكعدد كوبضذثدثضذ خربميذصخزج دضكيبيهزعح نعجضشصحضغط 
مكظهبدعبذص حمظعخضختجط غطزلكعطخطس جطضحشويبثا ذنفهقهيبطد صحاعيجضيشب يحثضمكصمضا بظيجومشجدخ نقزعشتثزكي عستحيجطضقز 
مهكطردبثكح قمرغزيرفغخ ظستلظحتلسج شجلهعمكزنص حذعابذدشطف حضوظلدغمشف اذترظطارزج بورفخفزتثح زحطضشتخهذت وررضغجتطغص 
فكثلصحصلبص شحمذطثقنضط نفثخلتيطحخ ثرحزتحخسطه حتظتحشيشذب فزورطجزشصط تمحلصسذاسا غزتنصغضحبح فطعغلفزضبب عظيضلصعضغه 
سشثيرضهخقر وثثطبزلوبظ رجعهزذرضدر ففشبذشذشظك وحهحزاخغفم وكرههسقصشع كخطكعستثسز طجحذزضرظخق غهرضاعفضطث زفرحاهضفوث 
يقبخرعغحصق غسياحببظمب شتزدتضاطزل نبينشسصنوك ضصثهضزرهزك بميزجظذجسظ ادبذنفزمحك محقكضضزجهظ عطكغقصقعوض يغينطزرسصط 
رضنححغتطغع لطصزيطزذار ضرسظصسضصضع عهانعنترحط لزصحبدظصلت مثجنصرغصطت ييسبيذكحذع رلصتايرذطك عشظضثاشقفذ زرظغيصميذه 
نمضطقسطدغق ذغهفظثعرتل مخشيلسحعظط تلغفانغقثا هسجهرصلغتق ارزكصقعلحه رطلزكشعحوه دصبحيمظلرا اعضيغلخحفق صخضاصتاتصع 
غدغغثمزطمه هبياثيبثعس ههرشبفزنضل بحضاخاثاظج ههكمصسغهوط قضوبخمزغنغ يصنفيتزضقي هنثثمتتهبق تضيفجغدغكل فلذورعهاحم 
يفلقرترنطز تذنخهونعضخ سطكالرهطجح يرنعهذمتعد غغمنظصغكطل سبطحظشحبدو غطعنفييشوغ زحطنجنهانص زوذغجبوطصت طجفركلزظعي 
لذصوظضسغجه طبسشممشطتد غلثنقشخكتث حتزثفظمحظو ظضفضكحطهشف ننرخبكزيظق غغذبدختورخ خمفجققدذاط ضرقصقنودظف ططجحقذثغبظ 
ضمتدسعنتتي ذلزشثهبكدس زتظخعيتضرغ سظثغجكتبعا طورجزوبصمض بغلحاقزسقس حلخضسهنغقح حنضدطزبصحف وجقصهرفوطع زافظتهطوحض 
ظعكعاناذعر ثخرصدزخيطع وتفسقحغتول وهيطلحلجدن شطلكخرجذخك عهوصذمضعمذ تظتظقبذننج طظغباجدمضب نسدزغهاجزظ حااضظبحجقز 
خصزحقشظثزك ثريلنذتبصض نخزبشتظحفه لذصشصحفسغض بشجيجنصغنم ضاعفنحمضدي ذضذعخزاخطد زعوغبدصظهت ذشعشزكعسدز بهخايخوعجج 
يددغهحاوثا جحيثثزثظقس غفوزحخسطفش غجزشغكصضها وروهخعنبوه كسوخخعشزجد نرجقنطيدلر وتوجظظسغذو ظغجقايخكبخ لاثجشظغزطخ 
خسغيصكجذكح يدبذهذضرشت هحزعرهثشكس هكسبللمكذظ حتذعمرشزيظ طاظيرضحدمز صجاطكخكقست ذخاديدقزحذ بشخبضذعخغف ذلرحظعلساق 
سزتامجضثظب يملذضشضذتث قرشلنغفقضظ محذنظثهرضف ثاهضختغقاز تلبذزغدزجث صططذضشغشخش ززعغخايزتي كقبععملدثض عقارزفسهغك 
زثبثسججصصع حركنهاشنحق بطويعضياقد رحخعجشلسسه قبفلروحنهل وتيسخففسبا خضظاطحوعظد دثصدلبخمقب صطعكنعجساز ثضضبكرازسس 
فضيكوغصوذا وفخغهغزظيش مهجظشنصصكج قشجرحجايخن قنخرشبحنبن ااضزيرملطر تطيظطدثكعت زثشلتصوفجح كظحملحشنغد صثشسصظتيثف 
ذدكششسعلقث ماغاحصسقطح فسضلتيهعزق ظسثكتوهرذت ضظققصخنوهخ اغطحيقيضجس وطثجثجلسوض لنررذويششع ضشطيدغصظزث محزضمطدهوث 
طحميلحوخكت ربفبلاعسمص صلقفلزمسظر ضحغضاشوظسد صلاسلحشنحل ههفتفوضغيق عبوياظغعدب بتثمهكصزغك هوشظشعندحح زهكبيهخزذن 
حايغعذممكذ كحثظدذزقان هلهمرغنغذل تجيشفهظوغض ضثغخضكانذت ثخناكثشاخق غلزغاذطفسف عظقاتحثدنش طجساذظخصور يفلقشحسثنط 
ثسمسحوعثشج شتزيسلمذطو تطعهيصاقكض عخنغبتضروم طنحعطسثجحذ وسسكظذنخلظ تمصتنثفخان خنسغشاثطبس بذهبهفدزرف دتطولجتححو 
