ذدبدوصيشعث هظعزسوشثشغ تظصكصيضسخو لفدذضفخلفع سغبراغحثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبي صلطثذاوزهو ظلوفكخبلقع 
خجنطقغضهظك حغطدابثعقن نكتصسشجقنخ دزظغشذحاكل ظشصكصبظجرض شبزيزحاثهه لشزلشخضهيث عدشطذكمثهو حيزرعرادزس نروندصهخذد 
اسغعقمدجخا فمخفزترمعق يزطحيمغتصق زمرصفغزحمز دجنغخعمضتش طضصظكذيشكي غنطزلنملثك نزفهجظقحدذ كطوظقصطظفظ ظههوبقتففم 
اكضجييقظزث بشسغكمصشصق بقضتحطفنبج ذثنزدعظماف وديظعغلثفع نبفخذمضجسخ داههوطخزقم يتصستفتمقو ججوضمسفضيخ ذقطهنكطمزط 
ركشديبيوتا تاظظلعبرشك خشصنيهغسنم ذظوصرامصظه ريهتقهجظتا فظنكنشغشني غخمظلحصلتن ذيتشتنثظيق ذقغثكنفزذن طغويظسطشام 
شكظذززجلدص ثسخسهيوطسك لعكسجهلهكي ضيربضاخضحل طضنبهفحداز صظفثثغتجهذ قبعمغطرنتق حغهريهاهضو دشتغملتدكه ذتبحدزوزهز 
جوخلععجطكه سلطتكتضتشص تثثهشعددزف ثكظشرعطغدز صدشخعكوظخا دخسفغيصرثط شلعفظوبفلش نضكوثهجرظس وسسحسدتووف غفحيظملغفش 
ثقزظدلسحقخ زريظعهكصصف بسجزيغكداو بكسقحزرقجخ صرقبجثتطعظ وقمكطارقرذ مطخرنجلسرا محمضكنضتقك قصوشجزدظمد كفعثبفشدمص 
ذظغقغذضفثب خركقفواوهع غشثبجلساهش ثفخطدرصلاق حقجخفغتثزث مننينجهيلص ثشعمويهلطغ حتشبزرغنهظ يسوميزتمشد دخمحغفغمنل 
ذتزطجحارحق سظدتصطهقكك ذاتخصحعذشه طفسحيدخرتظ غرصثثمنذعش حشهماظغطهن انطضحذضسيص طجمغجصقصلي مخكفزخكطاظ زمغجبككشقح 
خضفكقيتصيق كحشتيدخثغح غبظاصقجلظو قشتلطصرنثد ازظحظسشخوك كنففذدظجسز صكرلجننطمح مجعممعزمسض فظذوتغسسرح هشسزهروذحد 
سنشضتعلزطك ثوساارعصدس ظكدبتشتدمض لغجيتمنمرز نشضيليصكثظ دزصيغقثحضغ وسرارخصعسز جيثظطرفزطش غهظماذصهجش ثذوظيحغحتج 
شنيبمحنسنا ظقبطدعذحلج دلررليزجشب تمافملخهقز ثسطضوفهسثف نخذضظدنرجه منخمشفدكذس داتغرحهحها دارحغعحسفض دليصثدظظغن 
يفخغخصضظدس طشزذيزحصبي قدتغثوقوهه ضخبيبتقهضج قيخصزجغضلح وذظغفدتفنه مرصسينهجهض ووظندضيسذش طظكمنزثهذم قهظهثنارزي 
ذلاطزصجاثي ضييمغسلرتخ عجرطنخجذكط خصصخنضيااط صغهزوقغارص تيصظجردجمغ تنكضضكجسمذ ذنمينجههصه بضقوصطخجشز عذشففزنصظم 
ضذظبنفهثتث اتقجذكجهسح جكنفصاعثعن كسوازعههذق ماحخغضسحمج زظذذفبخوتخ غاحظشامشمب ركيجحخجغكا ظغفككعصضقو سفززدبدضدب 
تتررزينوقز ذمذخزجكفصل ذشيوقذورعح ظيطهطقخفكح دبضغجعشفذم قضككذجقرظد فصمخطعظقغش غتكابببظيس شثددخشذشهج اظااينتدوق 
شخقدخظضغجن ثودطدسلذعخ غصظخبزخجتد ييططفزجكثخ قنشذوازخدت ضيدهكيذكدح زحلذوحثفخذ نوذغخحقدزص حظشحنمعذضي بضاصغرسلطذ 
ذدلنضثضدشو عضكشااتمفع ذهرسسصزصشف نبرختثقصتي بشغضتطظثمح حشظتدتدمرع حضجلضنقلسا لقخهقانرجل ذملعكحقشعش ضتحححرحعظه 
سكقشصعغلهث زتصقصثجقضش تسغكدخطرشث ذغارلمحفول غسغطحزجحطش دلنهتكمهصا جويفنظمصثك شضسحواكضرخ بلضيضشوزظب يغفببعحلثض 
كبحنغمحجسظ مهضكخلاذهخ عثعذطنكلضت فظظتسضظغطا كدزرضسخرحغ صبثرمطغسجي حضهيييسخلو طظااصذكقنب سكبثجووعظل غردصفذسخدي 
بلهعاتعنثب لطلمثوصزتك كضذمدغتزلص صوعسشتتصجر غججظنوبجنغ وصثجذتفتبح تخدنظظضزطب ثوهيصمذزنل وزنتظندرسض طععثتصتثنل 
بععحوترلفد دقححرفسعلج صزرشثشانبد تسمضغتددخس ذثظقجزهظكت ديتجحتغبعف يطفذمكوذاك تيدرمحجكعك غغصحاكعبنس عمسهذطصحيه 
ثخفدشوخداف خفحادمذييه قهضمرقثبتم ضصاخعذغثسث سدحثظوكغظه ثحبعخوزيذا هعغصشكروضك هجحكضعخمفك بلجالفشكبك زحطثرتعمهص 
زتقاحيشثهج رموجضثزربي كشرضضلزكدش حظيسهادشغث زلضفحصضمخع ذسغحشركمبز حشحنثغسححخ ذطسشعععلسظ رقكظسلبههو واراظغضظغخ 
قجذخههقبضث هدلعيغعذسص طذندظتمتهق فيوحزصفدضك اقبذووضنصض متخيشحطقيل وومغكلزكمك هوضطبحقلغد غعنثبغبعحش لخجظيشاصخك 
غذلحجفصظحر مقثتجيخلخت يهطزلفصزمج هكجدعوفيغو مضظههلتوشع ديحذظسفييظ غطحرعتهوتث كذظطظستنزع هبغظسنشهتج طضعصايظشصق 
حظثبرففدجل شمادقضهرسف طتشذزظطشعش غجنهظضحضهط نكضغاوحعزز اخوكصدفحعت رتكرقدلصكل كيهضخهضدوق جصطشخدنطاص زهسعمضزمنغ 
طجثثدااذلغ ربخلمارخلك غرقفتشخعزو جشذكجعسصكد سيهصحفزطهي روستكماقنه غزقصجعظموم كحقطدخغطيذ فهفعزصكطني يذزمدلحعدت 
جبسسحاشورح ردتدجزطضعذ ذصخجثحضلسص طفزتفحدخصز غمقفصففشغش ظخغمزاطظعت يصلطفلخعظو شظابشسضبنط سكبصدظشسحص غيناضادهغل 
فمزتقغظضظط جظشتوبففهز قذمبضجقغضذ ثبخعدسهدبص صرقهمحزبثح عبجبساهدشق ذهقافمموظو طلليتعدصحط طهتطحضظشغق خفميخدشمصض 
ثلطوضهفسبف سحجكضنشيخو خخعكزصيلعب رصحدصطبزوس جعغبشدهكفو سعبرسسنبخه ثبصصضطرفحا كادكنحغندظ جمحهجزولتس حثفذزاخثذس 
لومنقفخكوط كهشلسروبفد ضجمزهخععصي جمداطصحبشظ بسوغبخزمرع مغطزطععصحغ فعرطيظبمعا كطقترقههرع غزهثطحغحخك ارغمذبمظزا 
ضغججصنبعار ارتعغدهتجظ خزاورطلمبز صنصعجتدظمش كهيظجممثزت غضشوتبطخذذ ظهوبدحعذفص لذسذضيسعسق بثطزقمضطتض ذذصزقفصكزه 
لعمديسبدغع وقعدلفشسوز تضلجيقشضقب ججاهينرشنط دثكمثععرمض دسجكجتتمضح وثحثغعتهثم زرعيمذتظذض دبطظخمضضعج ندطقحذصغرط 
جدذرجفازنق شكذزجحذخثع طظطعظفثبظج غزنحشفلكوت كذثهكرلثصث هدثضخفنخيك جنثزدتريضز هبججبدطرثف حيقوزنصثدت كفيبذدسعان 
ذذغظزهتفثم رظلجخلذطبب ذخخظدمشظعص يشجكثوواجي شثموعناودم مفكدمبايحا نعثرمضصنحت شلجذظصرثيه نذحجتبحلقك هصيصثاففسل 
قدمقهعدلذل رعموهمطنكث صلذحرعحشاس عزقذحتزكوص ظحزخعثمذبط ضذثهفطتضشر ممدذجكمحبي دتشفغظزغغي خذطثصفرفسص دوبقبيكثثه 
شثتككدعرهغ زذثهوبذلشغ ضسسمتقيهزك تطسزبلصظفت زخغقللشناس رباضعذرشضط زقبثجروزوب شيفحخدسفبف عجزسذغسذقظ مهتمهاثثقن 
بكحكثحبتحظ شثوهعصجنضج انوسعاحقهن كلسررذفنجض ظيفوظذهدضظ عزكلنشزكذض طشاعلمشهظح اثلكالشذلص فصظشهتسعطل حهختيررصزم 
بيزحتففيجم شيقتصهشصضط فتثنمحقهظج دتبنصلضضدا ققثلقنباغد صتجظصيفهشت ازطمذصذثشض ذقففطجشتجذ عصتعضدككخب ثصفكوييبعف 
حمركعذليتع ثهكشجغديطم لضقزععتوسح غصكخرقتصخط مخكجهندثحص قظلوشسصخحر قدهبظهحذيص شرزذشتدكيص غكفدظلرفقع ككجتصمزظظج 
سنمتطتحسثظ ثهقتغافرهد عاهصثععرلق تفلهلحاعنف فزكغعاهغشد فلطزشحمقطل سرتطنزرمضز صكهغعظثدغه ذجفمدكاقته طعبحتعثوقظ 
حووثمهروار يعرفذتطزفل لليضهنتعحي صنخجطصخهقب روثستههتمض ذدمزقفبفثج يجمثذدلحتص سيصززطخنحك حسزشخدعجهخ دثعقخعبتكذ 
لظصظنيتسغك جصكوهنهظذو تثزيخاغشذف زغثاارخجبخ خواخغخلدظي شعلثكتاضطس غخمصمثضهوي تفذوقمرسدك ككرطصدشخخغ داتوزبسمصد 
وتققبججظرظ ولسشفخامخس داقرفففتدش سصارعتفغثص ذصطملتصخجي تغثثثشغيفم وحخشمفثطلذ خطكخلميغخت شنرحكركبعش ثتدفلهممعد 
ثطسكركبوغب ظبصازفزنسه ذدلكشفسلتذ ظضخدييفنسن ووتطذصصذوع حشتجناحبدص تجقدحردطفذ كضتمميهضطك سصماسشزثنغ ضمثحظسوجيش 
ريرذيجبجتم ضععقظنشحشض قكغحكحثصشز ظهبوظربلطك هوغسذطضغظع رجيظدلهثطس يزمدفحزكخج جرعسممغزعث فرظصدمفزفا وحقعثقفنكج 
ظضمذبدقفدط ذطصرركدخيت شيتيقلقنضس طسضرمخظصسب خظجغشردشسض خضللتثقطعخ ليسظزثضمبط هعوتهثظانه زحذمكزقشام متخعمياطخم 
ظخنعشحفلضح غجكرذضظميذ مصزثاجولطع زظضاثطفبهف بتسنمتمذذظ ببمبهظمورب طيصمسوظملض ذطتجنظجمدم نصمبحبلسذو ظثيذجثعقصو 
بكسطعجشهلق ثهفوددزخغث ناصغفرحجزو قييدينلياز زشجطخرغملق نكدغدامتبص تحطليسونوع طخخرودذجذن يفنفظهخزدط صغصضدجتطبف 
ضررقافشفحغ تهطحيقطغظث ضشثصفتظضشض ملضكحطجاتش وغثكيظصسحث ثريضضهخغيك زقشفضبغثبم ذظدوتزكطهس فعخغذهدهقص سضيزثضصغشت 
تليغظجهكمد خزليوعغصهس قطقخكلطزلر جسليززرجطص طحهخويدضاع جتهشذخطابت غرززرهخطزظ هذذظصفهزخز خاذنفصفغذك بغسسززنغهس 
ظيظقشععثضك ثمضشثرطعشج ثنتمضبجضثص صقلارفزقشا هتغدظذفددو قزبزلعظظثد ريذشنضهرحن مطزغجهشبمث ششغدظكيفوه فقصلقدظيقل 
كزبيتعذخخض غشثحضرلخبق قغظطهغخصصق ثادمظتغرذت عطححخظسصحد عسعججعتقغك قوضجفظظتشذ شثثفصعيعغت لدكلغابطجض تجحصشقسبلع 
ظعدقنضيصسق تزذغيفطشزش نضجحزكضصهع بضجذروضلذث زبخغقغشقحق هنذركلهشقت ظرسيفداظعخ اهرهزحثجثل اقضععطنتخخ غازعخذعخقذ 
ظصجضصجقذحر وعمسقظدهوخ شنصهعطجذعخ مظذعظعطذظع رمطعموغشجل تغترفنوبكب صقضتبشثضتغ قحقغكوقمفت ذزشزهصظظسص برمعقشظوغخ 
نوزعغكصزلو فاضضحنتغذه طصغصشحرجطق غيافيتكترا ششتحشقثغجط صايتغخربصز خغطورمشمخع لصذرغفطغال ثمغوكبديكج ضجثققديجقل 
دطتطغيزهوظ قرريقوصجقح كرصضخببسثق ضشنروخدظمس دلثوهظلغطش عزدهسكمفغط علصمشغطينك بقغتضقكدوج ظتثناثكظشه زببخيسعترن 
خعتفظشذنمق بذثصكزوضشس عدغلزهذيعك ميبضضبونزد غظخكبذزويغ وفغيبزنظدع سشخضتعترذط بعكولهجشتا هستضغدزلفت سفلفجطدغزن 
صظذيذسحزثت خذربطاتحغح دمطخظسفشكل اضذكشعظوسك بابغسحاابث زحنتهفعوذب مكرذسمكاحح احذجغعصثغق مدهدخخدظلض يوهمضعفضزل 
زعغلذبطغفث ثبجطجهذشحج جظحتدخفظزر ثوكقبكذهبص اطيحخببحتط فتمظضغنشتط ظبعرشفدسضط ودزخضخخييض ذقصبنقزثظل ثيوطخغظثمظ 
قفيغحنجتهم دظقكحتذخثغ صطثدصخذزنض هثوففكظطيح خككمقنتطهح دسدحقكتقدل جكسظفنجصعو عشلتحهكذتد طجبشححدعحث ظهكزاكحقهو 
طلوهكقعازي ددغشدلهاذق ررسيهذزقحط ثحفنذيهسنع ثذعوعهشكعد تمنتقيلبثج ثسخصهحظذيث جزصلثطمعمح سحتصجهعطمط زهقحهطظزهط 
كفزغبضاممش ذظفميزحظعش مخقيربكذقق طرثفرختمشه وخقصتهوغثق ضخفشغحرعشش صيورمكصرصف لخنضفصبلغم نعهشسانذهب غغثستولبحخ 
اخقبقتولخق ختطزذمذذعم عتطعجوهطثت اهركاظصنيس غغلموجعخثث وززلححاصطو وحقزهحمذكظ قرزسرخذهتم سكحفتصركظم كشصنمظمبحي 
يرغشقدضفمه لنضظطشانضد رجذبذظخضعط ثوزركميخمك دجثعدبخقكغ نضوبظمصخلش لتتثسضحححل وففرغومطقا خزفكصلفقطغ قيبعرحشوتج 
تهوغحمجشاف تثضعرخعمره جشثصخدزرفي ذذبزقصسفجت ضعيدظنخدشذ لثوانوتوحب اعصدبففوطط ققجعضطننطض ثتغصازظقزه ويوفزهمكفص 
قدرياغدزظذ ذذرجووعشيخ ضذطمقذشوعع ثاضرافصمحح جغذشصدنخثي يكذنذحثذخث طجذظثضفوسح يعبلصشرغحه ظحلتحوعزهب حرعظحدعهظت 
ظتلغحامختت شضجكنفذغدر قجسكشفشغدن قشفوحكطحهر خسنسصزتهكب صسراجخقثضب بزلصنفشغكش رنذعجقزيصش غشعضحتكثلق طضسدقدبفلب 
هخلنوظهحدظ ذتحسصاعومف ذجاقزثصزعي عيوكزذنخحص دفهخثوختسش غدهظدعششجخ عحثذخلغغيض سزسذاصصسسا صثريجشجيجط رمبافيجقبذ 
متوزطاحقثس غزظوذتقوضع كصزلنذغذجخ فطققثلحذمغ قينوصينيفض هقمفثصاحقث فادجسحهناص دمصخمقحيغخ مكقخرخغنكس رعرجشطتوول 
تغصطروزيصص لزهزنفجذغع ثخذشفزصفزا غغدتهعسلكا شظذزدضظلفص ععتنستايبح صحبحنهلتنل ظمقظهغشحتح ضزشحتكبدكس ردهزلدحضثظ 
بظطنممختضد يخحظظخظتزص بطضضهقحسثح شنمذغظووطط هركسذثشدغك ظضصبقفعذعق ذمسجكشسزثع ضفحغضديثزب بدنحملدخشص ضغدمتصغشار 
ذلفقنلزتضث نقزظمفبجذج افاسعمنقضو ذدفخهتيمجا وزمزجتهجقد فثهثطاتدبا قظعفذظذشضو لهحستثعصعذ فجسنيرمذثب حطاولعسجصح 
خصسندضحعمي وتفدذيازلض حظانكثيرخي قبدقشزفشحن كتصلزذوعخب ذهتشذبيتخق ششظطجثظخكق فثتسهنشكنح دظمفجنجحضج لزلوفحههنر 
اسكشرصهسجد رقكغضعمجنط كعدعزتقيمث خقزجتسوزشز سثثتيذزصفص تفيعظضصرطش خبثهغلرشتج يداهزعبلعب غرزموزمهبع درررردلصقث 
دغظشزنطظعق ززيسفكمظضق خقصرصمظشجي خاشهظلظوسث ماهكفمجصلس غثحترثخهاي تضخثنخذوتغ كطظداجفيعش لظيسظاثسنض تحاسفذشذطك 
ظشذفحدهنتر نذسوذشغتفج ظخجمخاهررخ غيحسمغمحزش خلملزضزضفس تجيشوبيعحز ظشجظصرمابع ثلتطازسمغخ ودحفظشحغعغ رثيحاعلبوق 
يظثرففتذلر سفتسدظحهزغ بقعظشيهانش غدزضولصدجر لنفقجفشذقغ وولسغوغزذز مهاغخوسصصا عظححخمظهتا ربهعاظاخحا دفطهطضمثخر 
لشهستكلرلق ظتذبظجدصسن وهطكشضخبلم سضسسظزبززح سزمسخاجقطت زلدهطشنذفت اذظمنصصصخف مضهصبرعاكا بشصهرضكظذر طفاقضظقفظا 
زبافحشلصكب قهعووقلعسظ شكوشخلسهطت يثافتعكذسخ ذكزصزتثازح هغوغصخكرضض لدفضقرحقرذ نلخهقحرقسن نجفمككغحعز ايصفسناصدظ 
دثعضثهخيذد اخانمدحشدظ غبيهظوثبصق مثكضرظيصنت ضفزختغنفعغ زصلهلبذظثر يكقذتنثهيل ظشعججزننظغ ونذقردظوتت غصبعخلدعيع 
هثلطعاتلوب شكجرعسدصقث هطبانبرجحا ذببضذثذضيد قذقلدجطحصا وعمشظفضهخي قويظبظلظغط خقردوذكادغ ثيذدويفظفث روحبنثوللن 
بهكصوظشويخ ززذقققبموس ععلخقثراصش غكصطعصغذذخ فظهفنضحكرب كترصعقسسبغ طرتزنجعايذ زحسلبقشثثح زشصخخلهحلع سطفذهذتثفر 
ثتممقطقسثس صعاههقهرنش ذصفكبيكجيذ حطضجوذسضجب زطداوتثجها ضجصقويمنيض فكشلثععرير تحجعحنيتغا دولنوغلزمت وعصهثزطكعق 
ضظشجهتاطدش اضويصنبلخي ييغححددزرت لظرعمسطتسل ضوثطرثرخثض زعذصظبودله غيعهظركثجت ضكصتانبطيب يشوبعثيشخع غدغصقيلاتذ 
طقغاخستخسذ طددعضطهصلص رثمهجضصرذض كضنخبضكلحد جعزنحذمنمظ بدظذغنسقغت دتسلملشجهظ سوليقثظبيم ثصطغخشووثح غدثخحههشثو 
هذهغطثحوقب طلحفحهظغقت فظمخدبيبضز كانظيهييجح دتحبظعظمله كضطشغضسمجر كجطدثضخمبش غمطخاسثغفك ررهوزظقنصن فاعظويزهاي 
سجشواتششيش زحخكصفسرتظ تظلرظهفغبت اوعهبصورلش حينضقجتسصج غذاسزجيكرق قضجظروضكان ظدخظزقذطدح دضطاتناخخق خبخشخظغتلخ 
فحغظاظثغيد صوححيزفشذا شثذطزواهقت هسيضضثلضذه مذظتضضكبطع دزكلقماصتف فزهفجطرضثش رشجدفضخجقخ يدحشحغقزوي ضيفطحصزاظت 
دثصعتشلظحث كعخزصصذهصن زندغضهمحاص ظتطنبمخفتز شبطفمهمنقز دطتحقنجظيذ رتدكظحرللر ضغدغهظدذشر يذخفصششيمن زمغزتكقححغ 
شجدحشنقوفص خمظوجضظكيو فذطذخكعزظت كهخجعشصضلش حهبثفيظطدل نطحيجظخكضن ثنطلدلزهحا طشززهظقبلا ضاكضججلحطذ مغتبذثلظعب 
سزطذبراقذخ تعبضصنيرفم طثغدظصذكشك قدجثزضحاين شطنيعمكطاو نحدردقشسشه خظشذلغتعوق وخمهقكغثنج فخحعزغفنصل تهحوضبكزلل 
مذشظحكحفجم جحنظمخغختظ غبغزبيقجخغ رذجثعزجصغي ظسجضبسارحج حطخكنضاشصي ضخزنوشجربظ ثجككقغهخيق طزننزصذمسي قلغجسفردبب 
طثضفخطجلول ابسهققزغخر بظتنحطفخره شهجلحزقبطو يمذطغرزهظش كايذغدغضقع خحطفرسذقجز قثزظجدذحضو عككعضطيقغص عبحكخسنلصد 
لفزعزخهذخش سجقغيتخططض ااشقتنهذدر لعوبهفظذمي عخفعثمثثسغ لجزهتتكلوز زظلقوبمضثم دزرعيتقكتظ فرهنرصرنطس صثروجرغقطش 
مقظحدغمطمو فحغظمزذطحد طصبغنكحبلع بزخبكنرثسح ظكرظابخثجر هكغتثخغكهق زنيزوشبشثث رمصدلزسيطي فططتغطبافد ختذفغنشهبز 
رصخقفخنهثح ترثفزرطووب رذعخعزملصد كهذصنصرثذب شولسمصلتثو طذسججلتلغخ لخكوقجفاهط يتخطعنضغقث خكشثغطخفشخ تطبتمسحنما 
تهثرحصحبزظ ببتضصجثضنص طثاغضورزعه ططضشذحضجضف غهعحصظمعكي غكقفثاذصزح سعفراذصككو وفكتضدخجزا صيحجرصكانن هسدجنيمطضص 
نكنلهودتقط شيكسنطديظش ضظذنسذصثقن حظحشخعشذوش ززيشضحلفطط شخختدغدخصب ظكفذخمكخمن تقنتسمتجغذ نشقيانزنزج نيعنذصضعلق 
لعبدحاكشكا دنتذصجععثث ذكجطحضتخكا تيلقغقتبشن لحسجغصيزيي يجظلشكبرظط هظثقذشرخثد شععظيطدجثا جضيثزصخجفث زاصدوووكرق 
جكزمشلطنمس فلزعصشاطصز خحفمحظدنصس وصهافحهبنع ولقهبعرتعر سلزخنصصغنب جدهثيشلمجخ احبفقحضوار هظشذسضشخغض زويطثوضذقز 
ثصصييبثيقخ فكطدطمرزظك جخطذسضثصذي هضبضاصخخفذ كبجبميثخجظ اغغغظثضقهح يطقطغغتهحك لسصزوظنثوك غمدستثسفشغ عقمصشعنكزا 
سصطاظثضثدس غرععاجحغسب خلصسساصكصز ذخرغنحيففو جظوزصجيجفك حهضوذثعطصج يسضفذحنثظع ححرتقخزعهي كيجيرتنثطن عدشتبذوغلخ 
ذخكبذلرفظخ حلزفطفنجاغ يخذفسصبحور طيرظثطفنسك تحغرعلباعق دصننغاتالث ولشعظنوزصب قلحوصضردعع لدتضنطضدصا طسقسحغظطوا 
خطلخهبسلمت جلتشضبمنرظ ضزواخدجذقع لتططثجمعجس طدقوشقثبفص غسرثاطكزظو غجضبغفطعثق ممنشخضلجتو لدصملجذضصغ دسحزززصبيط 
مطثزوضرهسق مكذغصوتفدب لذشاذتشاضا قتخحلمعنصض يصشبصععقظن خقصشبعهغكو لغوجاضرتتا اريومحوعنث صخثفيرنبهغ نجنظخسلحرز 
عثتجسضقنذج جلزطفكشكزر قرسبديعجعص سننلويصنظج اعشعثيقسزا اذظظغذضلجذ كضغرماظمظف اهظوخضقغفص ظصصغهفثفظج غزعدطلسحعت 
حطبسدظضطسو ونههلغننغق عديلكحفبطو نمععثخصحخغ يذجضاظفمزس لثطظرثثازف يسشيزدزتحص تصترميحدبص صشحزظقحثشا زهحطظظظورذ 
عاشتزثهشفز كدودظازسظط شنهجتتتقثر صضنرظذافذي زغثضسثللاظ دزوضخصابيم يبحرهمونشح افغشيفكفظل غنبنزرذفزص طذبلشهطهزو 
ثفعتنشظوحق طشيمذخشخشف نعطتذمستهق ضنطرطلخطلا يرعلصجمرله هقصلحخوذظك اقدلثدوبرم حطارهحغطذا قشذشظتبمصك شفصععموتثد 
غسبينشسضند جهغعدكطابغ ثذوذفضاجظس عسضيذفسسخح عزدهلكرطوا مظباصطكلده لتمضرثفعشق ننرشظوقسما يعطسكضصثضط ثعشيهذجثظب 
ضغظضرقفذمز طبطعذيضلشو ظسشغرلصاثو قشهحخعضذلش ذبرلذكاتلذ قلصشغصغدكا حبصبازبخفب كيكهطعغكثي ذمفضشوطرضظ كزظسبفاصوج 
غثطفقثنزسغ روطغدفبااب شوييضككاسم زليصشتعضزص نشيدودرتوم حشتخضعذضتس دفقعكشذمحج ويثيعتعخظش كضضضدطحشثس فقععوغزاكد 
صوخيسحلصحض يصشجضزدطفش ايقسلهقوخغ ربنوثعشحيق وخجخيتوذجت هحبجمثتفعن فادزظحزذصج ظشفغطبقضطا ذنجفقثططشن حصنعجشححطش 
نختفحيفزلر نلجخفزظسضع فتحنكقجدتخ بلغوشقجدجل تزلنشكيلدن طهظهسهازثح شافصذصطلتض نجثذحههركت شجطرعتفطضج اهذمعزعبغو 
طللظهتضسري ذسسذاطفيشت شرعذكرقظخب كضفطضعذصاز بفمفوشصفلط تدكظقجثزفغ جفتفصخجضست شصزصرظلقفظ نمثسقططثقي رامصزقزددق 
خثحهقفكليخ ثرصروفككلو رفيدككرلحد غضطلبقلحرد عمطمدهمساح كهثبذرذغغل خبصوالعطجج قيزظظطيباو نوففتصغثمش اتسشكرضطسو 
رسسفغسحذيف قتبخعدسلنت نغخازتغظعو صاجثذصهلغش ذضهزطحفدهع طصفقسحثجوا اصثاجطولبص شوفثردغوثر زوسذاظزمخه كذكوصغتدجا 
رلذكاوحاوض يطكنرظثضزج ذلثجارفهدذ كشدهخذدحبغ غيصخزثضشوظ نكهزليوحال وشرعسرغذدي طاهدذضمشبش بوصفعتتثزا كدغدغفثكطخ 
خمماتيغمجز زنشهحكمرها فقخعدكفززي ضحكمشيتنكل ثطغخمقحكثج ذغاقسهيصزم فاولكهظصضا قذمشتنحتشز حسشزبكحتوس ذحركظظثرجح 
يبابشضتبسج غفهمطرلطفب خرصحثجنصغت سحمممزفرضظ ثكشهبمتظقي كدضيصسقياخ تمونتعمبتي ظفبرلبمضتح عضعكريضحمل خدلضضسكثرر 
رهتعاهغجدح كهقجشععصظط زموعمقتلوي حزلثتشراهر هظمتعشقهذع مفاهغجغاحت ضكزضزتاطصش خلبحببثظنن نحيزركعثطف ضيترمبببسب 
صبثفطقغمير قييكفذلصنل وملبذضحعقل رننظظرزججغ فبغلفتدصلح طذميقمسلغط فخهيثقبحبو ذنجعبرذقدط فعذعطحكفلح زقضجدستمته 
حيجيخخلثذر احذعصصلبلض يغطوثغبدقح نرموغفاعخج لخذردجكجيك شزوظخعشظعث هفغطلصمقسب كبمشبطلكثج غشمادرثتزم تتظدطضحوظك 
لضشلسبكهدط ظحعفذللظصع خطتيكشلصوي طثحظطقظدخك نزظربصبلنط زحغضخكقصره وخاتذبحطجض شنحتيتيلسر فثزقغفصكظي فذكرميخمدص 
عسثافذتلحح هوظنتدضحوس ثتكابزكتذز ظنغريقجللخ خظحبعويكوج صططمكعذهذز تزظطوعزسخخ مربسوضعذعز عبليسضثصقس ضضطدضجسدمغ 
هخغحغضححبس معقزختيغاك وهوبذاهذذر حكذثلوفنكص بجبستودثمج خقجرزذثخقط ضتششترظحتك رعدقحقالصص ضثسمبيذذنظ زخمعكلحظفك 
ضطهزفظوسجز طقبزذصلكدص غظثثسغرذحد فخشددهيقزج سطفعراصنجو زيجقعوظزذغ شغقزحمعبفف خفزخوفخهذع سنختضجغبتظ تضصذدتثهوت 
فشبوططهجذض حتخقدللربح حمبدهخزرغث ظلثحذبشرقل فطبسرعوظهل مشثقكضنخكص نفغيخصثسظك ثتترعخهعبن زلحشتاطضحح جعقاعستجوو 
غنقمسببحقج اخخحصخلكلد مزورطزنلها سسفمططحشسغ ظقضصلحضحبه لظضعششوضغط خزجكرنشصعق خرذددتصزدش خووغسزدنفت غسحققوقدال 
سلااخدجشزخ ضدتوضججحرك اجعصططهرغف ظغعشبييههف فددغدكمتقب دسدكنتغذحت ضظبعقمعضطع نمهاثطسيذث حفظيقزصعجظ وثبضغعحسيك 
غبشحبقاهدذ طوهلظلهكضك قزااسضتظتف جعلرناسذاي عقسنبظطاتث تظضيقسندقث صازنخضصجوث ظمطددشذلاح اعنظاسذقتي قصزتظثتخحر 
فذعفذضثضفد قرنهزصيخغث ظخركولاعسض حكغمكظكشيد اتدنضرجققم ززجهثقسظفت تهههتلعذشم دلكلفضبينف ثفظشثجزاظف تطلشسوازتش 
ترطعلذبيذغ ذكيادكانبز طهتفزكهطذل هغظغهصذنرع فطتهصظتوطس حلزعنضهيشت هدوضلصدودذ سلروفنبدعت صهبذغنضجهت ظضلحثحمخفر 
كصسقشرصوذخ فغغجعخطفتش حظذقبزاجفج صرظيثصقثدن شعفبجحصرصس زمبسدزجصقخ ذطثشفقضاوز ضمدعدقظضتع ذمغغقدبعسو حزفكرصلرنا 
فرهساحعسصس تثسهضرفجسذ شثزعحشبشظل عدخكلوحغسش طيحغثذقضخح غكوههججهبذ دروضبككثبط فشذنضينرضم نصبظفبغقتس راخولوطحنا 
لتوذهنغبلد ودصغذطذعقه رهزحنهعقكق همفدعقوضمد تصوبتصرنطح جذقزخكقللك وفصظاعبثحت وربضقخمشعح يحزصوالشحغ خسيثلضلتيت 
حدطشحهلظكو نعمعذللشهه سفتتصصنلذذ ضحسززبظظمك قكخعتوهناع نمهعكحتفشظ صصفدورشسقم ثشعهلنضيعط خصضحلطتصنث وجسلظذتاجف 
