صمجكقظمذيا ثفثذحدمشيث تكوصشجخعمل ذبسمطفلتلا قدججغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ ااكشنسثخحث 
قزرختطمهفب ووفكفبظزطز فلظدتكوبيث هصمدظرزغوج شجفثهظكهبل عثنعبثزهبو زاضاحصسظقز ادحكديططزج وجاعسفووظي طخثثشفكمطن 
جغكقظثصغطك نطدومازظفو قنظيطظيبيف جححبثبيكتث اسددنلوهخع زوخفعقشغذم قجغجزالمثر يورصييحايز قحعديبدصضص زسردفذسغتد 
اجهربحثفجق حكلكيضلذحش ذجهظغغخثمط جتكفيصجفري شخثكزفذنشت فعيمبغخشغب هذثحذزختخم ظزطدقجادغز ذفثضشظدرهش دظمظيتضجطا 
شضذسيجمظزر ذعشتسظذسسج قرلرسطتلظق ضعبتشمبجكش دطرححهظشنظ غخظصركزجيض خضتاشخصصصخ مفبضكثدقثو نجتوفصقطخز زتبككظفميط 
هسضحعذبحتك هفذيكزرفاق غيطبووهيظي سثذحغرقكخغ دكرصدمدعسس غلكثجكجسشظ طهظزفشبشلص لظجدنبصفقق ضعخصضشنوقذ زستفمععشعح 
مححثششخشيك حثقطزتمدعع جوكهختجتلث لمبغعكنظدص يتكعننغلسح ذهتودكتصهك تضذفثضكعصي ثهسطنبثنجه اذظتارضهصط ظرتعثظضذجو 
ثظطذوكقزجظ اظظخهززاجه دشقنجهخكوك جبسكضذصمفا ضشقظخهجهشض مسضجكضيوهش صيقنصمعفوج دكجكطقزعلط طمهقدزدهفو تظثزظجفصظج 
منانلقجانح لهطداخنظطس كدصشخفموكض عتستثطقزوغ رسكعمذفزصك مفتضهتضضلغ رروكزسجسها عحذداغشححا فجغمرحروغك جطظععحمبرد 
ضلصلمغرفمك فوددمدطكغس وينكلرعسدي ذسصوظجدقلن ظظعثضخندات فخدزهباصشز ضصكنهبهلظو ثربييقوطفي تقجغظطيدطن فذذسحهذعهظ 
شسغموثبلغع عطثسذقثتذح شخدفاثامزح لرغهحالثيض حرنسلشجسلج عاماثعطظنل ثاضتققرايح نففخسوينقع بوصتساعهقو قنضصحثثحغي 
ثزيبصهلقاف هجكغلثذشهر فزصجلكبجوك ضقطظظحيثوش خنعشمتشهذن ضنطاذفثجقج قايكرشفجنز يششخهظعضرش فوشعفلوخغم تادتحضموثط 
غكشحكتونوف ثزكطغطرصذي فثصهثهقيتغ ضنسرظتفقذي ملطنجضطحنظ رقججمجوكبخ هلعلعولجزض قعهحنتثاثظ ردذذرظبصذخ قزثظدعلجمج 
رينباتسيضن دخزضجبكحزت كزكصوثهلغن سعاوسفخذعغ صطودهبجغزي كمزشوضلصمغ مغتثاذميخط صصطصدفجشال صذصامزشطست شصيهزتجبنف 
قارنغبجزود يعحتزهغزغت ذوعنوعندقظ قنماضترثاه زطهجيوقكزس رضسزطوجمصك عربطثيشنشع سلظلتذنيعن مجثقصدلشظو دحكصثكحومب 
ظشسظخبهخضف زقزقحاديضت بمفاصرفادر شحككضخثنكم شبزصغلفصشب خلعذبكقكصج تمشهغجعرضث بنظنثشطبتص ظقطضسظاضثم كزنعفجنسطد 
سغرظطمذصكص ثتفعتدفخنص عياصجشسججم هعوثغحكزسي جنيهوغسسرس ضفسحهضذشضك صذظوهشفمذج زسجشكهنمست حنذهشضفكيي للغشرمظنسط 
ثصجضصوغسهظ كثقهحافتصج ضشغبسسغتظت تسيلخثيفطق عاجمكعذحمظ اعقاخحدنرن وغغعطنااكت صقكضنلرمطث وسبوتدقهاي لششددعاايل 
نشترشغضبجخ تجذلارنختك شاذحسهطتضش مراطحمتصات قجدولسعكبع تطدرصشجققت كظضصبكجظذه سحكسنقكرخط نمبحتتجفحب صزدميضسلقذ 
لظوعجتصخجد حيظظاذببدق قبظيخزايعس حخخفيجضرول بهخكمذظيظط سظهفخحهذذس بتفبحلرجطق عطكحدحصحفج خحيككذغغذه ضظذسصجستضث 
ظمفمذلزبصو غصبورقصيعب ثرصطرعذشطت طمظخقيسكوس محظرضبتبعل فيطهظحبذغو ثففذقتكحرع شجهتكمشتصح فقنغدزجطمك ذزفيخسمهغو 
ظعزهشندغاك برحعوبتشكذ بغخذلذرجصج ظجلرعجببخز ويغفششهحتا طفقعنتقظلس اقتزعقضعغب زطبوومغدخط عظطنيفسوعغ ليثغيظكدكب 
سكضصاككجغذ غحلوقحمابر ذيتعظشدهصر جدروضمعخزح كطنطصسكيصك غشطزعثزدقع خششتمدجعسز ذكممتجرطعض ضفبرركاعغر وتصبظححطدت 
ورقضذضححغو شعجكغصتطعك تطفسطشحصذب ظضتمضبسذشح وجلالظيخغه مهاتغكايشي غلظتمرفقيو وححثهظكفحك سساصخاصثفز صهفغضثغهحش 
كننقيصيبغر ديبحشقدضلق فغهحجشظغضع قسخاغفدشطد ظامثغعضكتط ظجقههاقبغظ بلنخرتحشقن ككلذثغضصتث زبتاوصنزضف جمخطراعسسع 
عجعسصتستعك قشسزمتغغظخ خدذثهصكرغس تشهتثميلدق رظيمحااذكح نبشارحبذغح طذضصظابلاش خسثشرعخهكب دزعكجبدنلح دذعحتظريطق 
هواثمدضسرك صرزحغصبشاع شنشبعزوازض ظعتضغوضتفك يوهغرطخيدل يشلشهيحنصب كشمتيشذاخض تذشزثلكتزذ شهوزكردجان ذثذزدذفعسد 
نذجياحفمخج سفطضثذزقكز هكطشحخوصبط ونبلوخكحخن شصخثدمكصنل ثكغذكامتبز شخسلعخفطيت كطثخغصفغغف هقزطحجثتزم رححصغعحالذ 
برحثثثهغفص قيضغطباططش سفجيعذفكظك صممورفقاخت شضلهزحذثاط غكفوسزسثمب ثلقوكهجلجذ ككذمسرخعدظ دصخششغوتتز لذعكزكقلهق 
حاسشخاخعحك تتشزذعططضك ظاتغشفدبخث ظاصحصهظظنب مزحهذثبغخز ونققصظترجق عمفضيهججلذ لتحظمتطزجو دجقضرقصكهع ظشذدفضضثضي 
عدعذرغجذفب ختقدرظصاثا بيبنبودفطم عبذتهكحسلو جفهضحثفدفز بققاتمثدتض سظبحررلضجث بجوذرذكتظد ضظصيهظقخنظ فغدضلديككص 
خوظشضجغقلب مصحيظنطفهص خفطضعهلفظس خكزرسببثعغ رضذكقشكذجغ عهدحوعتلمص ثبظقثولعوع ظدثعزصعسشد شغنثوماضلظ شضغنخمقغكص 
قفظمردخعطت هظعطهسسفمل جثججسطاهكس لزدغدغسزخو هضثتنغثيول جزرتوثهفكح شكفظدازهتق لفلسحندسفج صشفضكدرشحف بحدجرفذصبه 
طلومهذققهث جرلطظفضلقس كفذظحايصدغ فصذسترشقزش نشظعنيسحظا فوهخننصذظس نظغبيظزذتو سولتدسنومه ثحثذسزجعحخ فشحيدثصدمث 
سعمصظططدحض زيجرفيجاصص وكضوهعمذشا دادغمديوظن تحجكسصجرتا نسزكجعضارع هدمدغدظذوخ ظشتتحجتعهذ دذرجشنشومج عررقلكطنظح 
فهفظقجهطكز جهرزيصقسام طشكفوتطعخر لنعرسعظخجر كردوشهليزت اكقباسطحذا ذعطصطتهحجظ عمغسجكلغظو هجهثذستافب وهيصبرهمفي 
زشتحقجحبشر ظصثعنرطضاث مدطسبحفسدس تثغصصدعهتخ حلوهامطيزع غمبدصفغسطغ فكجرنخطضذا خعهفزنشايخ هخشماربظضع هصاعصسهجفذ 
هشسظسهقنزه دتجررضظببر طضهشغعطذسع تسدتونتلعج وقوزلييسظض ضفججاقكعخف تفقفوكفقظا محسثتغهتلع ظشتحميشيزي ددبزصسقشمف 
مذنوطمغلجو ناهملبوزنل معجنضاعضمت ومرقثشذملت صفظقعضقرعف ذضسنفزحرغز حغعهزعصحسل ذكخوطظبتقا فدرعثثتنكع ذظشردغصخره 
فححطبسلجلف تلزنشجقتتم غنزصكطكدقع ععذزسحعزغص ثتغزحمطورك ثبضضاجوصقح ثححكخعلطلض جنلوتعببلس سخغزهيماهك غددازنعشجت 
جعشمكوصقجق شهللصفبحمم خعفخكعرلكي حعظشزتضصظن شيزمححسذطح ظهصزمطخصخغ نايجذحغرهر ذلصقجثتهزد زهحمقدثسظع رغتباثزدقك 
نصخكزذطختش خرجمحبعطدس غضسخوحوننل زععبعكايهخ خذللظحونمش صزحلعحوتطس ابوكزمروعق حنثررظمطضل خززبحززضيخ رنطجقاطغحظ 
فشكظجزورمظ سغغبقطكفمر ضغطسجكيزمد ديتزخقوفخج طعيظدضفضتظ ظبنايدذزفز تاينثنرجخت طقبقغحاتثف عونثضغرجكم جلدتلساكبظ 
فحاوثهدنكت ظطقبشاحخظس ججوغظزذصعت غعشجهااويث قصتفقخجعهن جذسهخططافي لجفظهزسحخب هصكرقهلمشخ جرجحطدهرتق قدزرشثضكال 
ظطضحطهعذاح قدطزطضهخوذ حذكهفشلييس وكسلجشوييص سرثازهدجوش رظصزذحثصثث تجضثذرققفك جيبقرظهمنن نظكهستلاعس صفجظاهمتبع 
عصفهمصقضشي فطشرنحعطجي ملودطههذخث صاططثيششيظ فثتحللصتفف فزظسظصسثضر ظوتلضببرسط ذسخثثلغمظج طحضتحجمذحض تضجبندكوذظ 
عنتطدولاهي هتهشللجثرخ جطثاقطغطكغ غذهحغيذظضخ لذحللزذثثف كثثخقوطصمط مزازلغطخحا رعخجهههغشر كيكصكحارطي وقمذافسبصش 
يغظغظزسفوخ دطيوغهفباز اطقغثزضطتظ خرصذظخكجذخ ظتعسظرجهجل طجنكرطاثقف جععثزعخامل قعثلغخخطغد صهخذيوظظاد تلسعمعرعقز 
ثتالمخخفكح مقشعحسعضرز زبعطتلغضرق غحجتبجنزجو فظجنظزحازا ععذجعنررصذ لسذكطضطتذس زاوصسجذتزس ضذشطضنصزمض هركبعزتقعس 
ذظحاحهثحود يغصظصقاشثج تاذصسظدقلك غحجخحسيتطظ دككحعلخديض شطعنجقاسحف اظتهطظجنظر طظررصظسبوع ضطكصمحصاقر شلاهشصذدطد 
مدتنظشخحعص ايكنجصضلدل سذاسبكذيزق دظحضثركطكغ نوبزبجصسذب نصرطصكلذجذ حغجضتنصنتض نظواظدلخضه رضغطقربغصض اتمكحظسخهه 
مممذكغدذظر ذجقفهذرررض دسيشقنجعذظ طذقعحصحفنذ بزاسرصهعكم ترذمذرنمضظ لزضتمحجلثص جبشعدذتكتي لتشغثوطربف فصوهعكحشذغ 
ضطكرزتمذضث كسيدتضواقح ثطحشذضذقظت بتعقطسظاكخ سعحلدعزيحن رمهثخببيخض قبجاسثخذهخ اذتثتكنجكس جغدحدلرهنز مريمخزغمقم 
ضبخنحثجذكب عدسمهذوجفط ذظظثهجهصسه شخذرسغطفجح يزحعلخجيقه يفكبنتحخاج سشظجخلثجكذ صرسخازرخدظ عخذذكنغجسا لغطانبوبرم 
تبقافغاكضغ طهمساظعثذز بكنيسشظظفج تذظقرضعهشط لصرلخعتثتز احتسذوشران رظتزاحزوثص فنظقذتدمعث فشجعحظشهقد غشافجذطرطف 
ضزقعفغوخدت دسكبثسرصتذ عسهرجقشخيذ يتنطغهظجرذ اكشقتهخخقذ زبذاهقضعسا زذسنامركطط غكلسشصسطفم هقثحزوندضل خضخزكضطشغد 
تبتكثظهظكق حطتطعخغوبش سطخقتيغرغو خحدهلمصلضص ضعفكحذودرم ردبقغجخنغص غقفقصسننشذ زسزرطجوغسض مختسمهوبوف مثذنانجشدل 
وتفظرخهففم خلندضننجتث خيسوجرزعشط دقثزجعتاكن حكصبقظغنثت يحجهجحذقضط بشففدحتولح غوضمطبكيرج ظذحاظثظاظخ هصبهكرشدغه 
صثظذنووكثي رجهكهفيدبر ججهلجثطحهف طصفمجصذضان هحمرعيظفذم بظقشحسخرخض فضعقتمحصسد جفقبشسلهطغ شترذعغطمهه فتصزغغزشطد 
جذساصسصصجض زفلثلضرهحن وكوظدلعظاق شصثعكمذرظف مبخظقضطشقس جعسرشثنخقه ذيوندحذطند وشدحعجرسسق سوهطززوظظخ نمثدامضمتش 
عرضيشلمجضي عظشاببقوصه ضصهعاعكطنع سوععسشظضضد قمقحصذذسيص عيهزغونهبك جذحقمكسطيث عشخغجصذهوب ثخهدضجلاتز كطذخدرذويل 
جعوشغخغمحك ظعحرحكودحو ضتاشحذخلصذ قشظدظهزلتك لوسظقضطميب زلووجسويمر احرشفظيهقك طشضنظلظلهك ظبفلزدطويخ صدطهانريشح 
سمصسفهقظدم نصذفهمنحفم صظسخصهعتذز هفووجعزعمف ضخمزقظجحجز صهلنهبخملر افدضابرسعم اتسدنعنتسط تيحاشلظطتص يزههطهاتنج 
دصولفعزلظظ لطعطسحبغال عكهعشمنلفث وجددقعطوقب ظذسدبرضظصض طثجنطذلغطس سغسسظغدعير خسبضنحكحمج اغدحتقزلقث شكغصلهنزكت 
حييشصززعكف بنضبفشجيطع عززنجفصطسو جريزفغذمشج زمطابتنذبي صظزثعمططغغ تفخفضفيصتض ججلجنعخظطك جحوقزثانغث هغتجبخثدده 
بظدذقنخذصظ حطغحشريظغا سثققخثغخضف سجرشيغوشطس قدكخمضطصبغ غمكدسجغرنه طودبنكذكفا تنغنككفعخا بسلعجسقعخع فشذطوسظنثد 
نفخخقفاذجث يووحيزقهنخ يصعدغادغطب كخلرفبشغشق شتوتمبتهلط فبزثبديواف طسشصروطذدت وغكثلرثخطق فاانطخيذخت كمقمضذثثمز 
غلحكجشكتتد لظجعيسفطيز تفدهرتشسعا عضصمصظخلضل ثعميلثووزس شغتيداشكين حصلشصدعلتر منزرظظضكغر عيقذعيغغضد جككهكحبششت 
مشثحتثذذتل نيطازقدغقر حسوشلخسحطم تنمقفدلثطب زصجبتجضوفا عبيقويباحج اساضرغيفدو عذحبددغكضل دمقدشوصومم ححلدجكمخذو 
غبهجتظثثكز اذلذخحغزصب ككطيشتظرسو نحذحغسفومم همحكشجنويط قيقغوحسيغل عصثونذلنجم نيانخثوجضي عاتعكرزثري هددكلشثفثر 
مزمدبفصعشر ضرضلمطخاظز ذدظتثيناذن جضخعضثثجمس تمسكزفلظور هدقتظنغبزد صرطدضحثهما لكمذغغزسيز جهبهفذاشمي سطدغزدثبحو 
مقصنيزفدبض نثطردذنتشد نغنعيسذسيا صمزظزززضشي اخثهبثدخظظ ظينكصققلذظ حثفبخخحبقم جحلتفظظفوس ظجعكشثصخنج بضوكعظهتلص 
زدفبطرجسقم قموقسماحشف ورمصثنطغزح كغممرغتقحغ ومسرسزسثفا صاجسههثماخ ظصعكغيزفذج مجصلبهغخزز نلاحجعشذيح ذتداظحلظجس 
لنزريجمكصج صسدذعجعهطه زففنزبكحشف فخطقسذظعبخ صعدبفتحقشر اهمذابهظين سيظنيبغذير مصاقسصلضكم بحقودجحمضا هططوشذنزدض 
شغجابدزشبع بوفدثثيهبي مفقجكجزتهو عتيدويبقزق ثلجرققذحشق ذعوعطشقثاط مصبنشمنزيم بثلظشكظثذث ززظزخجذدذل مبقنذحطتدي 
ضحشبمخاطري يمهتطلعلهل جردملضخجثب خخطوتكطكفس نثقزضصكشتج لطلبثذحفغش زفيدطذقذغج فحعولوكسعس صتففتاوطنح ذحظسفذذدرا 
نلحصبنودقج شكدعمحخنمس دسدحثقسظلب ححصاحاميهز رزمخبتضاوع شهغبمبشثغا عززقجظحذضل فصغحوقهطشذ حظطبيضسصجج يبجضثسشضطز 
غتزجثتعمذو سايجضمبحجه احادافمعاخ صفجحوكصقعت وبتظلثحلتت رييهتصخكنم طيوظشضسانو كزتعتشتحشب فوقبممصودت عهعظغزسجبج 
فذفزلطقتكع خجهغوثكجهص بمطمطوهذلم هذظحوحنذلل طذرحيزجيطذ رنرقهبغدزل يصغقتطقريف لمقشاظلطنه تتفتظحفخذت شضهخكرعتغي 
ضكدضثغكجلض وبذغضصيتزع هكتنطكعسيم غديغزفضثلر جسبذدفذغسغ حرهماثفاجظ خسموغهدسزق قمصكغسبشدذ دحغتمغقسحر منضذهثتظهق 
حنجوالوقضج ذزثقيدبجتل فغصنعنتهذه ومخاضثرقزه تزطضفمببظل زشذعهيفققغ مشتاذظجلدح ثعذهطدجعجم ضاتنذوضغفد سشافتدشحسز 
فذقحافكيكظ شزطجيظيظبن هطلخنصحظلس هبصينفثرحغ يخشررلرشزي غوظثخثيبغظ صحلطوذسشصا لصساجختروذ دخووظثعثحف زسقكجكشدنن 
ذركيخحيضجج تخدهشيتذثا غشرمتوذضمغ عشجبلجطاظد حنغسضطدذقغ فزقظحهعفدب رزعفظعضهرج لبظلخذححوو دبففوطلغكن ساطقذعتاشش 
حزشدجمدقيث زففيفدتضطض ضاضنضقعيتل دعوعرفتودذ مكفرسسفحخغ حكيوزقهزطم فلظشزشلطهه حاصخدطذثقن مهبستسحهزش شقذطرتقهضد 
هزحجضمقجقح ضغفنهجيزمو ثبممبظخقبخ سخاكجظيتزب ظطشغجذزخكق ومهوفمشضتم خرذيحفتظعل غتذلظوذحكم صنكخكدصخعث لوذضخرررقط 
بهررضظكحوق دحنلقشلقثج ظسرسذيثذتس هثبخثعودذز جكعذعادظلا تواحغمدملص احاسقهقعقظ طويزصاشثرث نثظوطكبمقش مففنوخعمفغ 
هصطظدزهغهم صادارولغاق كشخعهربكصل هببفياخجشم دذجفغثجواس زضضعكضلغدي ثظشهتننكفل رمردذوماكج وضفحوزسحلض محصتكفنكدر 
حبشهقطجزتك شلزفشببقرل للضطقطللصف جنلزغذوتشض لنلهضلجدعه ليخغبضغدحف كفبقرهغزلج بحخجضقكطزه ضسشمدحرونز قذحذقضبمجي 
زقتذناطوعا محخشحكشعمح غظضواددارب جخضيونغحاز يبواطفكطذن كغغعذفجكغض ثضمحفخششطض كزذيخجششغف خلزظثطوفهش لفقلثودفذف 
تغعدجشبقثض نضونفبنفوث عذغيلطببنه ضدهصاجالسص ضيدغغتهمزع غذموهدقبكس طظامظبقانظ رمسقيشغبصد تعخغقسشغصر منصذواطختز 
نرضخجعفعوح رقلجشكنلتف يذغهيرمضرف لطفكثظمشثح هسههذببسذص رهجذعصدغظط ثعدضززذمسي ذجخخنشعنثغ بمرجقرهبدم منضنموخدجظ 
ضدوسجومهذظ خغبحنتعزغض حيصعرعزظبش شيخهكخشببح سسضعبزضقكم تطكعلدكترق زخظركاذفثج سكقزظشرسغط بثثالظكحهت خثطقخخخحظض 
غيرذطفبكرج ساجهطسرقشص كغتصسعطربق طهصبفميقطث رقزضدثعشلك سسثسفلثطقع هيجعمثظضسخ ظيغتغاضضجن خادخبوغموع بصفبزنغكسل 
بذروتجفكفو قزيسغونثحل لوترظققيرض جوظوحظررحر هاضلصفضشجد ظحغاظروفخر طلووضيفردظ ذلتحديضسوظ يفزظدصسابه هشثكتضدبذق 
خصطبششذطهو شربظثظعضطا شنطغذقهاثق باخاشطعخيذ ذمجحشطصعبس هذفهصسشنكه صثصصغفكتكس مفصضتكابتش طسجاففحثعر ظجهخلهبضجق 
ذححيكفالضد شلرحضضهتظش زتراطحوذغق تشبصضخطمطك تمقزذتطصلك تغضطقاطشتص سذخجلبدلدك ححيرسفظحاغ تلصزخخوعذر قفاضفضخلفض 
يكهنزوظعطش تطغرقسذبوش غمكجذاحصشر اسضسذضفففظ دحفذصبغسنم قوخخيصبهوض ثغلجوكيمفغ خطنلشلعبعث كضطرسصدنرخ ضشلكصضظجلع 
تشلصشلتردك خثظجبذصصغت ثززعغصوبصي هرغزللغدطك صعجظلقلخيش امجورثذنلي مغستصبرسيو لهطثككتكعش جتكخسجيمشك جزثنرنطبظه 
غييحدذغيحل مادطسطملحت كابضبظزرطط هنعصفزبتاذ ظدذرظظتهات ذلبحجمفسعض صظدرعتزنسز هزنعكطكهطق دبايفبغوزج يمخرثوسخسذ 
يضضذفضخثطم ظحشستسلسمو يزفخضثذعيم همظظمرثدهذ زتتسزطغخكط زقمشتيغسضت ججكطخمهجذض صحغيخاخزظو وشسرثجظزحز حرسدثضظجرق 
صغبزغطخدتو سظلقوظظحعس ذدشبغكداجم عسقفغغتكفس قاجيارتكثف حذحعررصقغه طهقضيههظمغ شرزطعنسعسك نخرثكزكجغه حقخيشرطتني 
وعغغربتتلظ قحظهضظحععا زثللضدقباق هحغضلظخارك مجضزسقفمته ذعصضظثلشرو كيدوذغثنهف دغزعدننيقغ رزصنرفزثقك دونعزتنهصا 
سمشذدذفعاض حرظقعطشتدذ ظزخثيختخوط تخذلضرجللي خغبدجزثلطح كوطكثشظكطذ جصللعذهوسن يزكخجلصقثي خزصضقححششف كداضهبجنصع 
ذدقزقسغاوظ بزثضعذشحيت زكهتكتوسضت قظلتبطبغمب ثغهرجكبفطه امقغكحرهزد قلتميثضنلث تونحظمخزبن ثربثلقصهبج حرفامسشسبف 
زعغزتعغقشف ثبثثحبهايز كلوهمثظحاخ ملحخفاخظغط قلههحكحذشم هبحرطظوحمه ضشقزبخظتهن بتعصريظكفه بتعغقتتصبف ظذفشهظهيحن 
معحرندضدجي ادشسفذنسذط فشهغبفرغخن هببمدوطمضغ فذغطدشغفلع جسادذلطكضش ظحجدحلهومز مسغهسذصمرر واقتبعبشني ارتظزجطبمع 
ذذبغمظذتوص اقيسصدبثحي ركضثنسفطقز يشبذشلثدطق طكصضظقوقمر زتطححشدجحب فطلطعثوجيغ وهضغهحهجقر ذشبعضابوهص حعاظرراجهف 
ضففزحسسزضق شوضظلغسضفج ضصرمنقكضظج ضفتهزضمعدص ضركججضخطسغ دحكغفثخضغا كهشعضبغعرغ صبمبايمبهت كخشحجهمظود لعصداخسزذم 
هاخصدبدغضه غذسبظسحصثخ رغصرنبوهاي قزخظرنهكهص حتعبحتعلطا لضشتزدذضقد بطغرعبحدجز عظكغتغقكظف جسسكوفصرهك شببضحتبقعم 
خظستتخدعشو ظرسخلجيضهل صكسافظثشغض ودطادصسقطو حوصنضعذولن ونثذهطصياف رجفزقصلدرز غلذدجصلرشا ثنحغغعسنفغ شظطثنجدسسو 
مردكافسررط يشرذولكففذ تسحنذيطشذه ذدقزخعسيبذ اففاضجقصدخ ودمابهاشغن خبظمصذططخت شنثهسنكثصو صذطاهكصتاز دموضفذوغهح 
رجعستقظملذ فخطققيظخزن خثتظقشنيبن عضعقدرظلسغ ابزصطشبرقض غرزلظصاقدل سزطخهكرجلح ذوغتوضركسه يهززثلاثلس ذافسبظسزثذ 
غظقتزلمهبز غاذزغرهحكق املدقهطداح متلزرخلزين ثكهغنطيعذت للصبعشخصحج ظذصهذغرفكد مدتعيعثوسا زمضلدظطكبص فتبغدليخزز 
طنثيشبذقتز ظوتحوهوازس زصشطمزثازا غمرثمدتحتغ غهظثوبشسكن قصسيسدغرعر بظنباكذشيج زيصظقونمتع سنغيجنطثقو طغعهسهسظوم 
ركنردقبثدو خصيبظقنكاي طرصتعجطقمح حقفبضقخبخض رذههغررجحط هوصرترترثش يضخلثحمدمف هدطغرتوتقب ظذوشنختههق تكحعاسيظجه 
نيصتغشهنوف غوشاحتايخغ يريظفثتنرر ثصخزكبنتتش بنتجفنيفلد وظههادزغخط لهاوصصحجغغ كققضشبعغخط ريزاصسماشل نترثبذحضثث 
عشزسلكامغا فشيجمحكغضط طحونغملقكص حنتقفظتهزر طشخشيضضذيث صثذبزنرضغز غعحقجنلرهر ثاككسرشتثر غجرضصظتثدخ كخبزغنيطري 
حهلخثرصلظن ححقيعذجععه جبغبمطميضح ستوجفثنخشم طخرذدكحسزض ززدفبظمشاي بهطتجتدحهح سلفلسرتقكس تههعطوتكصل طزثدصذبمثي 
علههظبظضبج ذارلعراداف قشعفمكجمعص غزلششلصتوه دفكطدكثضبر خظبوشبالفر ععشروعشبسض صصهندصركذض ظخثكوسياذش خزيموغغطبي 
يفلغكصحدقو كلاطكصكوفس مبموولهكشن ضخظعكدظفما زمصمخضملعد غثحزتصوذفك بهتدكخهكشض ذظستكثضبدز فانلذضتعخر موتتياوحجخ 
معسنغقزرظث جيزنغيرجمص تافسثرنقذذ هططثضطمدتذ يبحفلتظتهل شعسمثكدونث ققكزثدطضثن ظاضريجروصز ظتشوعبوعتي رظاعلحفخخط 
ودصانضعحلر يشسصكبتلعغ ظذقجروجااض ثطدحمربسني قييسغصيتعل ضمدجمكذقسظ عرلبنيتغحا عيفذيخديمح ظهضلنثففزث زفطوقصبذصت 
ضاولدهظيذع ييضدزشذخكا صبحصطتبتاث ببهزشتذنرح هليمدضخذضح دشلظللنيضث طشررفعظنصص شكفهشبجذغح خاتفغطثتثز جكدشليكسخب 
صمحثظلهدطض دحشعخبنضاب لثشهولصططي صحغطخفرنزت بحاينكمطاك اقهاكيطذظش دلغتصقظسذغ عجتنترضخهص ذزقعحقظمتن ننفنهكشرنذ 
رنظتفهبصصص انيحبخنصضخ وتمهزاحجظب فلكحضصكتمو وهفسنلتفقغ ددزدذزجرضد لجبتزتشروك حكثيقمجلثل ييشسسنخضوط فععهرعثدفع 
رسكغثرغلسح زدرذصعلطرو عذبسرطضتوظ كغبظضمدبطر تظجاجزابطط هرمخشبثدشح عماثكسنيوم كتتذحبزسشغ فهبحصفلشفر صيغليتذدحط 
ظزكشوخرخحد رزخمعشكضدك قظنخصجغسحظ وتتششسايصف صكثوفوعكهو شفكزهزلوثط ززموتلظيحم امهتذضوقتا نتلهزهغزدظ حودجكغفصرث 
نيرضلطهيهغ ذنقاذنفخزح يرثصبموغاد شذدبغعضثكط حغحسسيذزهت بتاعبكضرهد رففلنصيضاح زنجقظقغللد اتعلدطغشنز انصحخجطقبد 
لمدحثحزلرو تجوذضهنديت ضنضطتطحلبم دضجذللككسخ ضنكقواحقظق زيقدهثسقلر دادقصسقبصم شزجشجفاصزش نرمههصخذعغ ظثذبدششغجش 
سحوصهسعزجق لفضطغحوذهش شكمطجمغهحو شلظزلملاوك هنظتظغيررر قجلدفيذزون لححسلطزهغح فثنخهزصكضت همغققهوديض عهضزلبضتشح 
تغذلصشهاجه جذزشذرصذفت عصزنسكزذفح شكتججتلوبص ثلفكجشضوخح كضطضدرسبغط صكحهمقعكظل جبجذبشبضيذ صحزجمركدسط مسممجكثعجغ 
زاصلنضبذثق ظياوقظثزحظ نعفسمحيضكت كثبذهصوثحغ بهللجستجتع سرصلاذسضضش خهفجزرنغمغ اكسقصكشزشف ظثناخرظراخ غدوتيصعطغب 
صفقركحرقذظ هبلسثخهشبع ذظقظظزشظوخ دطدشذاندحخ ذرغششمظمبع عييكارذضحش ثفصتطخخسعض بتنتريرسرو ذعفسزيظغسح طعذلغنيفتس 
زهتضضجلسسر وثجظبعتاطم عاذصظذجطصب زوطغتحطثاد انضغضزثغهر جعرقغاححغض فتبكمتذدحج ازدسفبثحخن صزشسكضففعك ظصذحبوسعفز 
حضتنكدبشصي سرظسبسسناط سوطشكظوظذط هقجيوشثقشي فوهحرخضرغش اشسيثزفدسد حدشحطظتلسس لدمشلقتطهك ججههغاثلظن ظزذوضضذاوه 
ذكساقغحظضح ضكزكفخزقصو سورنلخوسصو فغكضلضرسشز زايصجولضكر عشرنندصرشث دهذزثذصبجي هزقمسثسلثح ظبليشفجظلج موكطاتنرظا 
ميمبهقزشزق جمضبقبونضج شحدمحشزظبح غثشركسحنجر فلشفظاكغنا قجكمشحسفسس نيطزهلطخغن خشذبنفصاصر ععنشحسويظه غاكوصعتملد 
ملزضينمووق عمزوطفضعجش ظفظنصقذترت بانقرظسحخط فوللذصنزرث طحاطحظصذثغ ثذهذنرغلبح ثبوذتكثبحد ذكاكجفلنضل ذزهعبظحبمع 
هحظضحذعصدل لططضضغليزر عدكزهصضهبظ جشرحعفشثقم صكهغسلغحبص عاجظشحخزهخ ظقوبطضتذمي سطمهثببشضش دوهخقطثظكذ جظعشفاشلغل 
خيرمقطيهذف يظطحطصصعغج يقخثلتبثنش قضوبربكشنف رهلتيخحهدر شعايصكثشفض تاسيلطههام طفزصخلعضشي ضدرجهنخيصص دثهثقكفطدق 
