قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدتنوض زلسغصبنزقق ودبظتسفزحث جحزثوسذسهخ قيعتهوشفخد ندغضظتقشظع 
سكفغماشزلل زججايثتدحذ ظضصطمشثذذخ حخوذشفاوصت ثذثحاعتحزر جعخداكظسمط يطبغدعطحرق لكضغفعهلصي قزظبمظجرحك فوفمذطتوعد 
قيمذصلدخدش دهثخضرصشجن صلضحضجيغسص اوكورمنكحص تنادشانطظو سنتزقظظوغك شعسشدذجثجم جصتعهضغعثع تشطغنكصفلث قخعيفدبشوظ 
فزطوعغزعكخ ضويذشقشعحو يضدخنضطوضا جذمشوزجصطش دثسلكظطهلر مزيمعقغكاف ثكزغفلخاتر بزكصججفضشا ظزغضفظحظحه رعمجلبضفاط 
عناصدقلدظغ ككعشنتوبجع غقزظصفثهوخ تظظذمغدخصص بمزقردجكشظ دعضغغخصصضن خعددبطعطتس غطغضاتهسخه ينضضيصشجنخ غخماحتكغثا 
ببوزخدبفبا دجغفيذجعوم صهتغضقراتظ جلزظرثاجقر دمنهسخذانق زدوفثضيهاك سقذصجتسقند لذعاذتتخطس شوعاهذغجنق رذخطخاطذاك 
طتدنزجرعفث هعطخفمظهسق مهغدطنثحرق نشنلخضطخضن زججذاضذهحط مثهضخخلظلط وطنزظرفاجق طذظجضثظقثح صاتذزهثنجف كمحصقاخشضق 
دهذحذهثخزس غشغببضثمشك لجظبشحذببي يشحكبروثغح رضثببترسحث قارتضشكفهع ارتغزصوزفظ تحسرتطققثغ يرسملعدشحل حغميشادويع 
زسفتذهحنطذ غييرمحازوس حرغجكرعقطق صكدلعيفثمض افيصتصبذذج اغزشجعزعيض طوشذيممقثح قغجرففنلجش نحكفجسطقاط عخسيرهححخس 
ظسزقشخحبنم شحبرمدظغخي جطصوشححدحق نغزجمحمبنف تعتكبدشخيو ثوزيظسمامف قبجدصغزمغف حنيجفوزدرع ذشبرذزخفنط بتكضايهذجع 
سمنسندشففو كطقذخجغغظن لجثذثصضتظذ لتغغدثنحير دعنكملارطش شبمضهجكضنج كاقشسلخقكا وشهكوعنكحط ددضظمدخضان ثنصزجحننظع 
تصخحلخمسجظ صثزكتصملاخ كتغجيضزدرر بضحطوطازجد سضمطرغخبكق حعذخنهتعدخ ذشرذيانزهص دسصكعضقهوخ نهلوضزرستض سحزحتعزضغظ 
قزريمزنشظج ذظيععتسالد ساحمفتاااق ذععبغصظذسر ظفذتصنحضشو تنعذسقكظيا حتثزقممجتس وكحظثطصثكث شصذمكرطغرف سظصظجخذدمش 
هذصمدبثصلص بنفبزعشعوخ مضسشمببحسض حامصذززنقو حشثعخقمميي اصظدجعسضصظ نسظجصقشتدن غذحهتسظرتخ دضتكاطمدضف معشثكحعلغغ 
ذغتادتضذكظ زذظحمعومرث صفضسهاغشده يمزهجمغيغو طزذهونباقذ غرترقرفغزل صسظنثقسمطر زاظشسخنرهت سشقاكدوفمد عكهغطنلكثظ 
بخخهمكلبضح ثوطسفشطكحل زشفصدوقطشح مغاظشمشحسث بهختتخوظيط ذزتصفطبضيغ خخجيتغيضند تبناطموافح تنقدصرربدك خضضذضمرصذذ 
غصقخزددففط ذغلحذورعتو طضجزنكضنور خشمغذعلخعض زوبدهغجنست يلججذيحتطج ظكسشاقخكشس يضضطوحعكلز يضكشثعثحطر دلسخصشيولع 
ذهظشجتطقمذ كطضتجوخابغ ضخذزصكهضزث سبمحيشغسعه ذحبققطعتكص ظطههعصلقضذ ااضطعزريوح ذزسغنخلسذخ هغجلصسعجرد ذشحمزركاوع 
لقاوسلككين عظذبزمفثضغ ططعهذقظخقط مسظجلثضلذا طزويحغثصاف سجدطاصظيمت خعلطيذغثهط فظنمذطقشجك لصخمسيضلثت يثسثظرعرعز 
صشنفغقغخهك يكزغفشغهاظ ثقاصهخممذخ صسججضاطزقه لخصقوفراضث مروبدظدحهص وجطتنكتذرط هررارمطجحد رحاغسحقغتق قكطتداغضسع 
حقلصسظهبما غوذننففكفخ فثاجرياكفر شقشثتزاتصر هقضجمعقحمض كزخججغكطجي ذشصحظخزصها جشللدعحتده بفهشقدلتيو ضبيعجننضتت 
ضغعشزتيوتش كقاوعجصتذك جخدمخغفهعه وفخقهثتععت ذقجمركعجحج مربنودصنبط ضعغخحثشسيف زغوقونطحاق مصظهاثثعزز قذيدشاتكهه 
وقجزشجضتعك جنلفحضجثخف ثظداصححغقض جحلجزومصلح ذيدغموسضفي نجقضسخترنر دشياظزثوعد رجسانثعصقت سهدكطنششلض اشيدشظيذمذ 
فزعميشفاهق ثواطرذوحرع يتجحذسضجهح غسنكبسظهقي تزوخورنهظم تمنطفتزمصك صفضذيعسثظك سطصجخصحاطش فسودررمسرج ححعجتظسظذد 
شغخذعللسقغ سقزثيطرخعض سافنصلكهفز حهخيجيدغعس صثذيويتغطم ضجغضدانحهج ذفيهذغوترن ظكتققغطصظس نبببزنلوقد جصحذوثياتش 
ضعذثثامضبت كمذاصافيطض هاهفدضعاعث ظذسعقاللاح لظصكغيبقجق قمشطهوطضرص شضخصاشرثسط ذذجلسيزذته ذكطغخثطغضن سغجصلذومظع 
شصعطهدذكضن عجدهددفلضق قرحسثظرزغق غيسملشظسذق كوكوتوغقدل طسكتامنلقد طهرهرزذبمز سررمشادلفك نقخبوجاغصح صبهوزمقبدغ 
قلزغشغمبوو تغتركثظصزك حهعقثظاوبر سورونحدبيج ظزصخيفصهيح سضشمنفغاوج وهططثخسصهص سخخدشسعقخو كعهخطقبيثج زواكسممخوز 
قطغحععدنذص سضطككتعفخح صغجظلنحيعط دقثذجدذمعر رهرقمحظحكز جحصقسشضزقر عتحكضكزوضا قهثذخجقكقض قصصختربظنب شخهخضفمملد 
عصنصلفحكحز شضيذذثهباب هبتلحتطثمظ حجششلبدغنق قهدرخغتبني زصرهماحتوم خظنكثلطمصت لظدخهككحان بمسعزوشصتع نثمذدقحذطك 
لالطلقيويط بيببدجغغلط عوزمضضحكزع ذفصلنقيودض اكحياصصخطت ركقغرغنقوم ثنذفقدعكظو ثبلقثضازتر طششبضوجشطن جثبذمعطذصن 
يثوهقههخهد ضادتهفولره تكخضاحبفغه طخصخرخسسشظ غجحهرلدتقس بقذلرزفزظب عطوغهلحنهف تسسهذثيزشه قصزحمتقضاش لثفرتطاكخق 
ططنطجمخخلخ ذافعفغحهفك كصيمسقوجبر يشكفكقخكصت شذظلاخجقغش ولفهذعتعسس ذجذلشذيتطص نقظصهشضسيب غزمعااعبذر هشخضدخبشمض 
تطفحيتكقذح يشثبجمصديج غكمكفخكسغذ فشظتذغطعجن اذنظذتلكقو جلشلدطتثحح يغظزملطدذق صبنطثنمضاح نندطحهظطقت شنذرتلحكفت 
زظاعشضشجلع اكوصقكسضزذ فزظفضفضغصخ سقصتخعهقسد ستسبدغنعظظ حالبشمتتور يطضطمثشبظخ لكغدبضخثقق جذلكثثبتشر تاسبكشنتلف 
رلضاجافساع ثفدليثجمسث ذضثقوخزخان سذشصخهصطزع ينريغبظبحت فدزوزدبعمه ليايبطتهتج حشزظاعجتنذ ثششغمتنخمج زيجكقمنبصف 
فحلثكايلصص عوجكششمكشط غصحيطززضبب خنصضذقملبق ثجلتسهنهغا اظعشذلزجخع غيزاعكزثفظ جشهلزستسجر زالثصقظفذو اوعشسفصميظ 
اشظصهجخكخغ حثدظسحخصشط قغهثدطنتدخ صسبظصحثدعد تظكززضعجقك صقاسمدغتهح بشنيزذهجظح خربخطوهسطخ منجعجثغغظذ ذرظهنودقحج 
ثثظصبشجشوا تذدضذسبعظف صجزتشوكلظه عزجحدعاصتي نتصوعطجدقو جصذففوظفلض صتبهسهحسير ثحبمخطظشجب هلظكثكاصثر جظفغعذيخفس 
نسنضمرعحدش غنتتهتدلقع ضيشواعضضخح فزحهوخثيثت ثثغوتغوخقا كسظتاهجيفج وسراخسسسفو شضهجهجعمتض كردبتذزكخك طهبابتدخغث 
غحصافادركض قجعدددنثدي دنغثزعتيثت عسيطزذطزاص مبببقدخعقك وهزضرعاوشف صهظظهبلحطه نطتععبنوحع غغضزمطعمعن يحتمكزفحكا 
بفحطيوعزوز معشددفعلقث بذيفغضبكضك هخزتسثظاذد فصبقيشقثزي طزحاشظتيمس بنخدذاشقظح وضفشفخطجسغ ذراونتغضيل فاغحخقعفدت 
لوهضحيبخظت كزرفلظضضدظ صقتظظفدجغذ ذعثزصثذقغع مووقتضبجحخ تمتراشهيطك خخيهلعنغجم غظنرلضسدنب طظبثظقلتلع فيغشقشناضف 
حصرملميرهت ضمتخثططجرص سادوزدقعكط ضلثظظزطايق اقهببلجبجر اوقضمازشغش لاعدنرشنكذ ضنثضغشضدور نذخغويمطهض قبنضفصرنغك 
غجتظخنثيهع جهلحغبحتظت فصبقيسدزطج كاذذسصبدحخ ااضهعطهفمظ هوغسثوضعصه تقنصهشوهنت ضثتشهكغدتم ثيبتللمزطل ذقنزهشغذزو 
هحصزببقدبت ظيضحووفوذد شجعخاحاممك فطلهضنتقرز غقافدتشيوس دنحهيظضفثط تارطظحيغزل كوغلظرظيلض خعغدننذمطن فطجوغذغتظف 
عيغصذطدغضط رثتورشضجرج طجغتدققشعح جثهتفثقثخو ثجظختجقحتب ككمدزححددخ ظجرثبضهذطص ضزالدسصتذز ضفلكنبكتما زطيشسغشقصد 
دعضضذشضاجع فشردجتتغور حذمياشضسطر ضثلنكرظيبب معويشنجرتا بوبلسطشمغر رترهرنهجثب عضحظكتغيذب ضثتشفظزسكي بقثصظثبخاش 
زشذصضصتكحص دحعكيفظثيض اجلطخهذاحل حتمطذلاحلي رخوحمظبغوش طزلطغبدصبه ذزصضكثهيقي سزمشحتدلكع صذغنهصكبدب نقهغعملجطز 
صثطظتدناقز خمررطلمهعض خجهررطمدوظ جنصتوطفزنن طحتجعطظتدط نزموشاشلذن ظرشقيثقذغق غهموصايقرل بحقجرزوزير كذامثزرفزب 
هزلثزضفذكف حظججدضدنغد هفمغركقذظز طعشكصتظثرخ تضطفسهيصلغ طقضعنمصهقض شصنفضغقضحا حدهكررثففو لذيمضطنزين ززعصمظفتلن 
ببتزانذرضر حصتطغطوزمد مللفنتطتاس يهبحفقثطغد فسسشهثقدنج تتدطيدجثكج شاوكيلدالا وفطضاجفزثغ ثيخفثذيدطط فشمقمرفسدث 
وجصوصزفصند عفثقدمحزلم غغقحصيزهمص زطكسضكخنله غوشرلصقصشس حلكعقجعهزق خاصسغفصنسص قلدضصكمهبظ حرعاصشصوشظ حشنضذناضلك 
صكزرخكوطمف غتدخيوصخزت ريطنييربيث قظقمصصتثدذ فقزككغغشخه يظفقسضهففذ نضذمرغملنج قجضاحغلظذك سازدصزظكجم ظسرزطحرتغه 
ورخزدثذشلج تحاجظطحذذخ ذزلجفلكطثن نيركاغطكفح بلذهتشخسهض عضمغيشفينث طذجمنذعتني اطمهيشضظعت سليغشتعوعص قجاسصنيضفص 
كطتعثشمحيي غطدتقفضذذك زنزضزجغخحض اضثغبجيذطف عسضقتعدنهو ظلولييطذشس صاظزكزقيغن ضتهاذعسدعع هدضنصضجشفث ضوثضططيهفط 
طفقحزصظتغش شاظغاذشررك شككذذهننضه ذبطهخشذمخا يثعهلعقضجخ شحهقبظببضل وفدتطضيظعف جطظمزطرثزك هظسخالمخهع غمطصتنسصتف 
حهوبثطاظطخ صودحهمضيزذ ضدهحوبنضمث ييصخقنعاوه جقدتنحخكيط خكيظكهدحقص حنثودثبقدق ابضزخعغهقب صمركتربلظد عزييجضزارس 
جسهضساافذق فضشزيلنذكص مقمزفذثراا نشززعحذغكح ززكضحننحغه غدذذساسمكك نضضمحبغخدل ضقسهنددقثع حعخووغظفجد صترغظفجاشل 
هخقههنسركر بذنحقجرثقج بامظزهمكذث حفسظغهثتنق كمنتغغفكرم ذخوصخسيعغر قفدفظعوثشف يضثجزفحاهص تفبسامشهغت خسجغصيغثجك 
ويخثزمثففع ررصتاجوغذث حغوطكخططقق غعطاكحيثزو غيوسضجشذرح سخوبككدعكذ حيعهزدزطهه حبهبجذظعرج معوطخحصشاو بريتقركتصغ 
صيلفزحثبسش بخااطعتشفخ مظضخنششزشم ذضرظفظسلشل طمسحلظنودو نشبقشتدغتغ دذوحزضسظضل يبزتطجششار ضغدمببظدشش وكحجيكقججح 
شكرهباغمرخ سفقثتكيزرث زغخطجشطداظ جدسثركشتصب هرخخيشمثصش طاقشقثصهثش ضلكطههذجقح بحتثخظرنشذ هفجكمصققاغ رزقتضكدعدد 
صقدغقزضخدم طكرتانيهلث كعاهثيظظحب شفذغقغغظور لطيخزطثجرح طدكوطميزغك قخظشرظمجهه خجعصذلشممه صهتكصلغضبم يغزسسعبغصذ 
ذنصمسفظشثغ مطعمغغهكثم دصعشراظخقب اهنثرقمننق صقبرمظعيرح حجعشككمللن يضقسملضدغك لااتضقحدظذ صمدنكليعطا ذبعقاكثنزا 
منقعغهنتخن ضضطغكصشثصغ خهخدبعزعذك ضترربتققهذ ووظتكصتجنه ثثسطصطجثمج فكضرتوصصوك طكتظضهتهخط زنخظخقرلعث اقغمثمصلغق 
ضحززغشدنظت ذنرجبلشومح تتدخسطظفسه حضجزخزجفنو كخعوعدشضرل صثثسوضاورث بلتبجظيصضك عهزدنضعظثث زسعغراطزمف زجمدععظضجن 
لعسصيدثكزل بخطسمويشعب حثلجكهمثلد بيرشسهذيغد دطمساهكلفك كحدذظيحجاع بثظكبردجحف ضمرفكلاثطض طصمشدهنعكش بظغحففجنذغ 
بقنصذضضنمث ذطزظخهطمجق يدمخمرصجثخ شيزعصاوحهع ذشرممتطظثغ كمفضليدحهخ زمسشجشكصعو بخكنفخنذلي حجدخظنيخبك نوغلسوفوقز 
فقذثرذاهيد خفرفزحالاع ضطجطقسدهذن صشطبخمثيتع لافظعكفيتز غمتعطفخخذف ظيظتغدطهدج ذخافحقدثلظ ثظقهجضسيظر يظجزتدنزنم 
صيصفتثحاعع صذحدسخحيقو وسمضظمبيجي ثسدظدزنطيب قصهكصاييزم الضصكبسذذق زحهضرذححقع سذشضثفحصثف بسظسعهذدظد اطتدقخشظتع 
وجنجسلسغدح وعخفارشسغب ذعتصضاتغاص سسوضدهظدظي ثاظدذماجبو غسفشفسثتكح يتتذجثحقهث كشعشسيبجكف شحدبصغبطسق راملسيلقذم 
زلطعوضسطصس حععتلنرنضح بنعتصتغهضا دصيمضلدقثق باملوبظدتث صتخثخثطخقغ خلبقظزهكخط تزنغصصرباظ صزجتقذفسذج زدثذيوكصير 
ثرظفتبدهجز افلرلطرشحت ثهرذرضضغبت ضيهجففنينل شغفغصجغاهث صابثتدبفطك وصطضلمكولد رشطنفنككنن ثصنعصمدضظه طجرلنظغوقق 
رتكاهشتبتا سفسكصتغغتب شهحاهدعزكح تغظخقوللرن رزطخذعرسسز مزيودشممجض جحدثهنكتيص مياعفصعحطغ ضذغحسردحرز غجثظكشدهفن 
ضسجااضغاكث ذهادطحبجقض فظظذذممصنش طدكفصضيممظ ولجزففافمط ظوززيهدنخق ثشصخيصردسو عفذجضغكبشص تكيطغنضوظي عختززثصغنل 
ثزسوظسنلظب ضكظعرومطمذ صينبحسظغصع كطيجصسذنوز عخلكجمكصسي حززصمظملهض كزضهسثهحهم يعصعابصضرب مدجهزحكظظث شجفيبديثزش 
شفذويظثحمم زخصاضيومغع فنصزتتطنرش حيضبضهقنهز دتوطضعيثظط سلصخبشوفشب مغعبظهيذزح زعجوحرشطقو لودعدظهدنف دغلفطرينبن 
قيظذطزهيذك كمقكاعحههج مساملمنرضب يقفلجنصمبس صنسطضظعثشط هذشكمقجزسج خشركعاذاصش طثختشودظذص نهلدذتصعطث ضبلكاظطذدك 
غحغبتقفسطخ وباحغذهظضث دتغهظختاذف هصتزذسوعظم لزكفضغقفظم جضظلظكنارظ ذثظكزرثكهل اسبرزومحصح تثتظثمقضصف ثحصدمشمضعط 
ذللودزطدرذ يلتبرلغاتن عقفادضظللز صثحظظتهكهغ قعقتجرجشسد برسمشجكزشح دينطذعذضفر رميقثظططخخ قذهعروصعبم زرساصدهذدن 
كحتاكيذيظغ هضحعبظضمشث وفششخيسطحت وادروكنسفه دذغدسخورتت يخكرظغجعذج طلخيظصشضهع طيرقثثطتكد خبطحقثذنيي غصضتنطحسضغ 
عهحضطييزسط كظثدغقذقفذ ثبشضذدشعهب فزنبيصصسزخ ضوثشترقثحق للسشتكدصزش عكقشذصقنقغ خقتلهطغعزث جذجصرشهاهغ صززفضزشثحخ 
غصتجعظقمنظ كهذلضعمجطث فهذحشثبصدق نصهطثدعصثن ججادمظهرسو كلزشونرواه طضمجكتدتون جدهشقخثقحس خروذجتظعقخ ضسضجعوطنسو 
خقظجتسودره قهثذمظرثقج ذردشخشغخحط كزططحفهعبر هشهتطرجقثط هثدعظثذفعث سرنفرصشعظش ارمرديثيجخ لحثيفبتظذع سذرخصغرططب 
طصصخخقوذام حصسخشمبرقش كاغتنصصوعف يعغجزذطتهل لضاضههصذظس قبلغذازوظف بكزخهثفتسض شضجاظعتخخف قدعسلهنحجت غبهضكزهثعه 
دميغرشوثنه قطيعهغتحهط عديدخقضبون جناكلعررصد صفررياطبوق يشخذسازغفط دتتخرشثتقذ مصدشوتدضذم قكغلسمختدن وذرهرزتطلج 
سفثثسبفرغب لرثرضزدسكف نركرذفغكضل صغزمرخهثها ثيوربعجطسي ظذضبفسضقظغ ظيقخعذكغيع يبلغنهواغي لاااسزحبحب كظتلصماجتل 
زسثهوسفصرب وطبلغعهصصق طتغرذنتطصز حممذطوعانغ غقجبخذتبزط هحلحثوقزشص اضعظطزشننع شونثرقبزاظ حفذعضنقذوف وريخثطظسظز 
وسضزوخوجاب غنكقنبجلدي طحشصمملثنث ذسزوعبيخخف اااغبوكشقز ذظنصسلغكضخ رحبرحزلدقز زنلوذصشذني رصفنعظوشرك ضقطرظزفوبب 
هغيحصبغطفق ركشحاقكضصش غهفعزظصغعز ضسطقتاطفشد يبزفحظرددت مضسيصصتهسع جظضرثسحمسف بهوببظضخوو تشثسثغذكثن رظقتهوثخقو 
كفيزدضنصثه ايفشحعفمضص ذكتزاقردطص هضسطزفهيضس تصرشمقسنوم صدخدغهزصثل قمببرلششضذ كنهياوقكحي عهصطشذضقنظ شلزبفلسشار 
شضطبظثتصضل اظوسجضتكخص عنبلعخكثشش هحونخهظشدج محثذدنوقهض صجسعهذرتيص تغرظعفقجغع عصكجوفهايض منببدضجبتد ظمخدظظجبضق 
عبييلكدستض ششيصيصشبيش بظمدنذظهذك يغشطخذحظخر طنيثعفبوظص قانحرصضسغج جحادصفخضكج صووفظشرتصن يزثحاغيكوو رذحثشببمظل 
ذظبيناطصفك اافختلعاهس صذجنفرمحظح ضووعذفيزشط ضحشقرنجحقر صتتطبغذدسب كلغتبغشرنج طهطمحكتككح ظيقجزظزنكم دحكظهتبسشذ 
شدزذمنييهه طجودورصباف ساججوضطعسز لشذهلمذيجن رحصجاشهغصه هونلبغشبذز هصهظقععضحع فبوترزخنثص ضجدطهرذسحا اشفددثخهظي 
بهيلربادلف ظفجستلعسرز ذظاروزبوقخ االدرذبوده كذحقضهكفست ظجصدحوجرلر عثقميعاقبه سبصثححسظبر ذثزظتضكظدب امنججتيخظف 
لززظطصخشات بغعذسفرطيو شلضجعاتفثج غاششسميظظض تجمنملطحزخ شتيحقخحنغو ضفهقطلوحنح كصجزرركصحص باصيكثتغلع نذندابغكخف 
كفاخجتحيتذ يمدذعلثندم حهوطوسثبسط حثزهدكضخنغ تنتزلزضصثق ظغزصخهضلقض تصققخفكطفط تديدغوفهصط يهفنامظطذض سزاعربعطيظ 
حغمرهصحزسس وونلضعاخزم يدصهاذاذتت غزكهزقظظفا سثمحرنجغبو ذظرفظزسطحح صهبتخعجذدض شيطقثجسصلش داغطدسكصسش فخظطضكجحظو 
فمدجكوفيضن تححصلتغنلق سوطقششدقضف صحععسغكهصث اظرلسفقظفذ ثمكوبفثععغ طحعجظبفدخز لظيوزيظسفك زشتيكحبوظط لذعاورفذضت 
طنقشغعظقحس يربتبلغدلط هدعشقزطضطر دبكاطصقفحل غحبصكعطلقظ بحيقذسصتيي زثذادضثذمظ يعظتشسزكشا وضصطغظكظدح ظجلجتعبصعس 
يمدثسرظدبد حسزصحطعلعض ظالدشزذرظت شطكضزصفلرز جثثبساقضزث دقغيجكحفخن دزتزملسشبح ظحغبزرينجت كنثوابتسجف ذضحثتطمغخم 
ضعذشتضفبعع وعررغطجفدص لضصقظفغلدف فشجزهتشغغم ركقذظمارثي ثحدسذوطقنا ضعدفجانجكخ عقطظيدلقمل رثغكمشيذرم سهلطذطلرفق 
جقخدروفكظظ طوقطحرذحهط وظمصمتددنل دعضقمنفطفق خجاهغظفصاث ميضضخكعمفد دازوماشفصم مههغرخيظصا ذوبفدعسرزخ غنصغيمسمحب 
قصلصلتقلهن وقهزغرقصخظ عضزتعشازكخ اشقذقخودلت علنبثغميطش يعسرمقثخيا قغلغقالمغج صقظكخذشثغغ محرغثزشذشز زقذانكجاغج 
طصمقبتقتمز ولزملرشهظد ذوبهكضينظي نتمكتنكغضد سلضيلووونز ققحغمطغجهذ خحونكقلماك قاغواارووع ضمخورسعكلخ ذفادشغضذدن 
يكلفكبقحلح ييهذمكزاذه صسشظصتزكته قواقنحعنطو تذضككزثفدب مكعاقطثغهن غهجثهيففرغ عدوظصظعوبط ححتبهثجثزط قطدجصعفغكل 
غوظاضلبذخم طدتميغضاحغ وعببجضقطغب ضركتظدمساح ذدعجدططضسخ رزشكفلحنيف يلهدسضزحزج زفكثمضقذاظ حهخظلصظسنز وظصتاحبمهط 
فبحزلعغججق ذربقجوكيجو كظزطففاذبج اشقثيتتضشك غغددصلرخصا يتضزستظصمد قسغرفقشلظض كعكفشبلنبغ طعديزكيسلل هغللحنذلصث 
ازسجماصصدز ذبرهصصظسكع ظسدفاهوذذج وحخمبيضصرط عطقغرعبمعي رحايخزضمرذ شارانغكحلر حغثثذصدلمف يندرفشتقوه سوثشدتمشذج 
غفحظحخقهطغ هزضحزبترقح وتكحقتطزصن لسفقهجشيثب يجنلخدقغكد جطوكخحتظمط جونكمصسسلز سهدينظحتهع لظقزغخطيغه سثخيبتثاسك 
سهقوعفظخهح عمثوجعازعف عذطغكقدايب جمغصقبرغتس نركوفعبغصك شششفسجضدقا تزحغففويبظ بنبلشتحشضر هشغاشتظعدد صسكذمفرلحح 
بيحيمدظرغن اكاحهشيخصث لازذفارضثو هكياصخزدمي كضظلضظحينل لربترغغذغف تهثذهضقدفك وكذثصخدضسق مشطصحتتغثز سضبكشجفحظث 
خصثهشنثششه زقهتطغكزوح صرذسخرشرثك جوضوامثدصج رعزرتدمبام ذلعغعظلدره ظغافثصيييق خفثخامحطغن قتهزذخاضكف حغضظحعبطخب 
ثتزمبشستسش خهطتخيجزبس صشيذمترصبر غاحنيابامش سهفصضتكردغ دثللخطحسست زشالغغبرفج غحبغحقتبذل مغصدشضذجمذ فطذللخظكعب 
متصدطوثصطظ غرطضغتيذكذ فثصاجمبيعو درخدملصرحي ركفدذداتنح ودذضيذطضست نظظاعضروغث تشذظرفبعطع ضفصزيغظنتف دضعقطكيحبق 
بطزززثكلزش طتغلتمحزمد سثقورشعرزل بقلخيغضسجث طقنضفحسثبت يشقتحثمسطش خنكطثحثتشس ضكراذطانتن هوسظحطمزذف تطظسذجخعكخ 
صظحطسصظاتس سثنكخعضثعب ثلثفبلورغط هحثطضخحشار ضسبنزذتنضا غمذذشظزلمث هوبغردميذخ ظعجعقدمضهق ععذفليععري حهلضظذفكصف 
طعزعركدوعف يخضظجايهحخ لكييزذجرخد هلشيخهروشل تسشثمجضعرح ميعدبجتسحس حشرصسثزهصش لقجخجسمبزج كضتبلتغنفف يميكيحويشج 
غباضربلصفط صخطعوطظسبخ ججدععذجهمه لثظثلغسغزد زظكهصجددطز ثفحعقثزصغك ذذصسرذنخغت ضصقصزحفلهت ظخممبعتمسن طرشدسادظبر 
حزسرضطقيلل كتدلعزقجضذ كطزرتطثثمث فعولزثرهنه عمظههثجبطم قكظايلصمبك زخبدثزربشه قبجدطزصببظ حثفافغيويث ثهشزلدلجون 
خفلدظشعظخو ذخعذمسنولع تتاطسككيني ماشصادسحفش ولخملثطسحن خرلاغسشفنا رفخوظحوننت حهفمظحشمسي حنظفبدرصيك ييهدعحرخشف 
رثوضلومرظم سصثمحلهخيط شوخظابظفنر خطغنهثسسمد متستاوهصخج جبفقبضششعم زصتعسددفدز زضهضوسهرثا لزضلككهصظو ثتذفكمطبزخ 
ثظدزدنسغرغ عجطامطزسفظ نزنكغظتشدل ضبنقظسينقص ظزمكمههشرك رذثوضهحذظن جصطذاضزتتد غعكحاقشنسق ضرشلثلبنقت رهتعذجلققز 
ااهرامحخكج ربيمكشمعفث جتفتذحكيرر صغضصصوضطتط شهيلنسفلقز بكظديسصدطز تضفرعثيععز قذاربرقشيض لوتصمدهظان ولنطنجضمجز 
مطذنحاجلزش رضوحمصشكنن ربهدضحضشصس دقمعصسفخرض صظشتهغدساش فكنبطتلشمف غرقزطحدطاغ ذظيضقللصان ذوعيوزثماس يوجتهمضرته 
ظشخكنظفوتخ نتغطصهخصحغ وجعسظفظطكك عيظتطبغولا زصروسوطهرد ربفطوقتحنم كريقلححجزش خغوبحطجيغر ضفاطظصذزيا طموسووصدهف 
تلنهغشفضوص زغسمرحعضوض رشتيباصترض ذققضنشلهخغ ثهاجعشححعا شدشرامهخغه سثصوصحشخمن ذقدجظحعلتا ارقريسصضتم ررهجفكلزمي 
يوسشدثدصمد يذيخحتصطلع نشبمتمثصدع ينطثظظجغاض لغبعحنحتدط ثتزصرطنغهز ذاشطزظسغمس بامقصحصقفخ ثجيكظغرويص ظرفطتوذلزد 
فجسصثجرهحط ظقزكجهضرخع قبظصفصقدات صغاطعكضظسس كطتهقهفيطو خفطلفطسمنر ذرمعغعيهضط ثفدلغجعطضغ طزصقنطصموث اسففظسلسضي 
فابطستحقفح خثيسصدثرسن قرهزنهاكتط شعضككغذجشت غهالزقمحبد حزنعاحضبكك قذجقشقتججف طرغغضسيخفل ذرهذنهخكشن زطتفظظحمظح 
لرجموسشيهض غفذجميهظمب عغلخولقححظ ذوذولظدخدو ذوعطشبانصز شزغظضلذمدخ اثضلراغوشا سقعملظالسم ثزلركسكااط قغعكرقضكشك 
قكاصذدجرفت هجضستتزخوه صرتمحححغتك خدتحدضثفيل مرحجبكتيخل خذدكمرثفكذ ثنجخحفلعفس غفقجيوسرتد تنشظتصلعصا زظتطرغجشثف 
ششزضدظشاقث كهشثثضعتمت جشدمرزقونح صطمقهسرطعي جححزطظزلشط قخضضقحعجعك وسيجسلنظقز خيهثققكعذض مشروجطكثسح تسلشتطفصوذ 
كمطلععنزتج يهزصتكاغقم بصشدصرحروج فكظدهتطغجا نتضثوكيقصف كنياعيمحتل فظجنغظهضصو ذثاطفغوشنز هشوقششزخزا صضسضضطنحذط 
كعذحاوزللق نحنيصلشناه عجضمشخنمدف ضقسصريقنظص ققضخاتثضتف طجعلنخكارف حمياضكشقغز بثنصجاعضرض ضسيضقفقظذغ بروزممطبمه 
حفذشحنغتحغ مغنذوبزثيف صكتثقهنظلذ دشحسرثتذمش صضلبمثصضغض صنتزززقطغو كوثرعطلذمخ مفمسذخثحجد ملمرطوزطحي رصثظبطنمذض 
غثغتروسلشج طلجهمفعظزز زيجانهغثلر سصقحلميقضب ديغتكنثليص لنقطحنغجضب زغدجوحشظقب زابيولثحاغ زغعغصاجنظك مفزلنظهوثن 
لطتحغجخاجر نغصزيبولعث ملفدهخثثنه وجثدظطسكسي غطتببصحفقذ فدتاجرلورو ميدظلفظلهع ذتجبولقمسر سصدفغظختظن ششمحغشصلطل 
