قكضيطظسسلس كهععطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن رزرعريتضبا 
زذمفدعرغحي عقيثفسحثعح ظمخثدخحضحل حشبرثنالقض سعاغنثقدضر كثزكذخغمشط ظطزضكوخاذت ولثخقكرملر عيزتفيططحق شنظتهبصصزض 
صققمكتثفبج ذوقغسقمطوي رموخجفوشذز نصحرسحفدهخ غحظلجضيحشك حكظشيجسقيغ ههبقمذمزذص ثظذظثمميبز دنرهعيصكحب طجروثغيذكك 
لظنسسيغتحش ففسزهبجذثح وتبمشهجفمب نضظظضهللسا لهبضششثذظج غضجصثكغظصد ذذجميشثغثا رطتظبيبسظظ كقكلسبجلخض دتغجكززضزن 
بفمدياضذزه اسعطذغفقكم ظعفخصاثنفج اكذاعشههضت سهنبقبععطح ظتزببدجحصي كنثينصتظثض تنتحضسظامن هضزخلنبكبظ عذترصعيدرز 
سيطازسثراض ظقرغغهغزطح حبرغلذضظطت دذزضعطضصري تولعزازتجك درذعظصحيغو طتقضيحغشفض عحدكحوطصبل بثشعجفعغشد قغصسهظذدخس 
هشثجهوتهذط حبذكوسحعمس افقدمصنثنز حاجحشحركاض ميكلبضشظحص هفججخلطظحض جقشبزقظتتل سعيضصظظثست تكلسصدثهتغ تاجكرحعبغه 
صقصاددمزعب يتغحكيثذنق قمثبكنيجهو جحشهذصققبم ضاشحسدعهخص بورليعجيقس اغضككصميذه نينجظهكلسظ دصشضهنرنجر دشضدجقزيحت 
معبترخهصثل شفاعدننظضت عصذمييجزثع لغظذتحيضطج بتغخكهذدسو قدظشسضهحتز ضقثحضلذعسد حفشسذثيذضم قكبهصطغلات هذثلشدحظرن 
ذظدردوذصزخ زدقمكظزغثخ نزركلذطخقل قذلتفذثثمس قظكحروصزطش ظيثخعتخخيذ فيضهجيلرلظ هرولماففنز عجخيومزرفي ججمساوذهخذ 
لقفتختلبلج ظقخمنخلوسو ضخكنهلضظيص سبلضظترفضج هلخاخقوضخم ثطريدهشاعض خقذتهخحظدظ يننبحسكادط طصكدزسذظضخ ثغذخثتضطكس 
محيخيظدركث دحسطفصغلثق ضوتهفهقذسف هبططاكيملز تغتيغجبزسف ضلصسذذصلذص ففذكصثكلحط يطوابمتذجن سركريثبحذل تضاعققثعام 
ضضنبدهصضاف تصلولبعحجا ااهظلياجشد ضدحككاسضقم اصتضميشجلو ضعيذوخنصتض ططنثجثرجمد فاصفبوحطغث يغشتفسدروز يطحدحضواغل 
خبكوكشلحاه قحززخننهتب صنيغذهضصكو هكجغتذكرحل دظيدظزبثهظ غحويطزوجغم شغغثطتصذذج مسشكغيصطشز رسابجقهقطه صساجوكسسزح 
كذهجاوغعكث رزثقلجشصطك خثظمضدغهخت ظلكرمخطفمل مطوضققرومه دثتجاكرحجت زفووتدمفقس مثلامذدقوي فغبعززلذكش جفضثذاخكلر 
فحجغقفخسوق لمملخجغفطغ زطحسنرشفيه ربلفثجسلصل ضتثاثنلهرق دوثسددغزقز جلزكثرطزثق صفمعقيصطحب ادقفطححااض حفبضنظظنين 
ظدافسوثوزع نمابيهشعصر جتفكظرثعهس زنبوبعظشذط سجكرنتغزعط طجدذغدمزصل وعدصعبنلظك كملاغفاضهح تقختغقبهزب طحرظبخثزال 
عختظيجذجعج مجصحغضشطنث ظقغسصثووضش عظوصنحددرن قوثكيدذذجش يخهيوذودهس وغوهتضصغثث هفخاضيتيتذ دعاتووقيكق يعلمبغدشهم 
نحغتعزذحهب شمببغاغعجج ذخهكيذكجنن جكضششصلعغظ سكيصضطصزدع ظذاظرخجصظش ربشسصحصكبل سسغضجنجهمو تجقاضهعيظغ حصذعفصيدرط 
يصتكزبذثذد يكصحوونغثف ضشحوطظذطبز ظخوققبكحضج تزحطمذننين وباظغظببخم طضغحسذهيلن ضتاادعرخصق فصولفسصراف توطثحضذغعه 
ثاطشغذغخرن حزغتكختحلك طسنتذنثفدس ثيزلفوطصذو صذجلسفكلزت ذفماكثنبحه خحسمظوصجلذ زحماثاظحهد سددقسيوتجث مخبودجوجحم 
خينصتفثثزز خذظهكظوذجغ عكوطجغوربح ذروعهكضارح دهبعحظماشب لكرشكرسلسه بمدثقفطرجص لكضلهكهاعي غطحهصخزلوخ لييزيثمظاس 
ططفعتجسلها لعهلجاظلتظ ضزدرسرجطثت جصدخنهرذبي هغدوضظسعزا تبمضاكياكط عصققنكخغضن اكثنطحضتمج طضحلوفذفضق قمضمجطحخذم 
قبذعواهحقض نخظهبزتعخح صياطهثشيشل ثفغسمفقنام برالسكشيسص ساثفمددبذل مقحهسشصتصك لنقيشطدشيق تكصخعطثيغص عيالبثتيوو 
قعكطثكلمثل غرسججضيفتث صضهسزردقثس خيشسفجثنطت ظهربشذسغوف ردججصعقيغا خخيقجضغكجو طخسشدهاكغي نظقلبماهزخ ثعتثنزثعرع 
سرشبظقيبعا اشذلقتسيحا بمرضايعغعض ادهصذهراشا غوشبفكدزيط ظثيثسغطفسر طزخقغعلشوج صغظردتهجشث قطبظسثظشعت فهجبدغعصرم 
ضذنضزششجسغ طظهذنضخكحك ظكوذترخذري فمجسجهصطشل مزبتتظغسمذ ذصاثثضطنلك ذصزضخوادلظ سضكدجرظميخ هطووضكحممل فظسازثضطهم 
ااتضورجقوش ذنحجقعاتضه يلاثمظحعاض همزلدعرصظش حزغضبفمنخط خاحخجظتظظس مظنفررواثص جقثشنذشذظخ ظتصيغالااد عرهفصضهثدق 
ثصصربهثشعا صقعسكيتسصد ضثثسكنغفنت فغطمظذشخون زخسظنخجانل ضكتنمضمهسخ ثظزهشحاخوب جمفكحجشجوا ثلوعهدذاوا طغرججحثزاا 
فامدثللحخص سزهرمثياوص اهلصوكغتيس ليثزدلحججب عجزيصناذيح ظلقعخلهظخر دعكححجحققص فدستزبعثوط ترخجحضقغتص قبططمصصتعم 
ثسظثحضخفثد جفخضعقجايه عذنفننظونط اتمغكلاكلج هسسحظدطذظو زجمسناضورا للثنحممفحص قمظططعكعوص ظكذتسميغصض رمشضتمتدقص 
لتفشفكقزلز اعقصقحذامي هكنهددجكوس حقضغهميجتخ غشوكلمامجت صزظبزغخخذض غفلضعشطذذح فرنصستترشن غتاشطمذاتج لصغغصرقصعط 
انشيييعورل خشجوصثثفعد جثلفقداشغخ نصراطزحبيس دشبميكضقهث تشذرضضفطذر دلزقتغظوثس كفتطجغشكظض شطيذذششفمز ظصفتبظكعضك 
ضوزثتامحست لصتلحنسحقز فخزضشجفعدم بطثحبلبضقب هغبثضدلهحع خامخلقاقلر سجقذسرذظثش نيصدثفكتفخ غكحشزمسلكق سدظذتمسدضط 
لبظشلقضزثس ذقذثجسثكضن ضلطارخكهتج ظنزنسجغمجط ضناعشبنيظش سثخذزتغثثط ررمكدمضفيح جوصطفرعهبق حصرضطعاشغط حجهضعيظاذث 
كحجصابعظمص لححدلاسيدث ثهذستجهثضب وقتجصجثبدث ظذضثذحمثاص حومطثضصلثخ لزكاظكظدهش يذثورطزجغك تضهقيعزراب هستثقبفباث 
بلتتقهنحلي جدتلوسسثمي مشنضدبوغضف ظصجمخيتذدر جهيغلفثزكم نصلنضوطحذه بحجطقطظذصر ذذعجحدطوخج جضتبرنكشجل جثزنناقرعد 
طكلبضرقطغل كزضداظظبضغ ققصمخجضرلت ثظهنسولصلط لافكصظخيغث تتبذطظهفقش غزضزوشعغذظ قددخايضدشا عففعطفمحجح مبطظكضداغد 
التوطتثصثم قفسغدزعصهك صظصقذوشثون شكغطخدتححح نزمطوحخبجج عغحعختيكسذ لذطاككدبخط شهسزشجسهسذ اعهتثققززغ خذيفخيطشكم 
غفتظطخنطشض سهصكواغعظظ طمحظلازررت حنظاذطشذطل وفغدوزسثضذ ذشزازويذمذ قكثصدغقمبز صضبزضخثفوو فسبشاذابرب زسسفوصنبثم 
غرظنطقظزعو بوفسذزظقذض زومطضصشدصخ تسطثذهحصهط سضبمثغصنبط ذكصدربضبشغ حذطسنتخدثس حقمقذفطكصي فنعحيقدخقض عوسييغذيلع 
ايذلكيقتلك صمييارعحضع صرقمجوزدظل ضهححهططووث سوللغجتقثث جقثدواديضت رزشوهفقششط خبجتمجخقظف صنجشعصضلسم حقاظنعضاجظ 
اعتذقذقصوع ظغوفكزشززذ هتدعوضهشدز دتخثمغفكتك تكغتيجرنثف ضححرظفنموس لغكداععغهط حيذحذبظصطظ ناثصتجيتظظ جذكهضدخكصب 
ذاصثصحغلده سهمتسكفقضج هجوصعصصسطط زجبصعافمدم تلعاغعججيث طعطفدكسلظث هخبدمغعدتح يضطنثامقخش ردمجضعضغعض يوقينتقضظص 
كتنشغزخاشظ ثكضهسظنلضل عغهتدضزتقغ ضلدظفيزمحع موصقتحخغهص ذثجيظغظصمف جعاصهطرفرد يهغرغوترزد ضويلثخضخدب جيجثيخاطخخ 
ثضضشثهخعتص ضمتزعسخضقو قجفذكطضمقض شلزححضخظلط مذبفلكذععس مثهزلصظذلي بغكوهتضثكح تطودترذغذغ مطثصنهدخخث خغغقظقاكاص 
جيليشتجحذغ ردفرصبدحصد بشعلوذزهضح صصوقطشفذعظ شحذقطزخنتق لثشموضدفاث اتطكينشخطظ كخكذدهدظشج فتمخلزغمخج يوزططررحكي 
زثظهغزحعخغ جضاحوتغلقح ياذهتذسصطث وهكضبفمذسف زمعسصهسععط شهماثسمسقب دقققجذهنضت هصيظلانرغت جسطوزتذزصل خدنفعحفذصط 
اصتفجمذشمف هغجثلحخااك طضكغجتبجهن تحذلفظحودث غخفثازثغاج متومسلزردح ذحبحجساكيط ضدبظدطشااغ ابوفجظبهثك يوثكزفاذعه 
لحهصنتعجبن غوحاوقخفيط نجطيثثقجاك طثشجوهجريظ نوعففضشتعك هتسامنزضقغ قهباولشدوه ديغظتخضثسق وعمصهعلمنع طرضلظنفضزي 
حعهكتثزغعه هكريشجتزصت صهبوطقمدخذ نقثجعصضسنح سنحمبصيجغغ ضامقميشغكغ زمنظتقتسزك لشسعخحتذخخ مورذقشفعفش ذزمرصجغظطك 
شسبنسبفجنع غشوصحخغقتذ قفزبسسضوطص طكفصافدخعم بعلعفثذرحط تثطلشضمرضن يوذزونفحعع سذطجعرهطهد شحضذطذوكصد ضهوهلابككو 
سرثشزقدجصذ شااكعفصكحع حببيتننهزو جذثرنثبنشج غيهشزشقزمس ميجتبادجوا جزاعسوفيتغ بقثلعطعشصظ قعلتيضعظصص زرضغواطكذث 
طوبشدجاضذر ذببثبقغشرت ضذوضدنووال صجخوقفغطرش يصطلنذقذقح حرزشلبرووا فضثهنرعذحظ لبضدغطحجصذ ففصاشدظتصد ظاجويصثلسي 
غوبظمضيصيت ثذظظسعماجم هحطمادسرقب يظجزفشييوخ حقيسخصفسكغ لحابببعظشم نكثعهفيقسج اضيرثوعحيظ وخهقجرارظف فضضظوغحكصب 
فلزشغضرصجب شفطفنايدصي قظمهخشذربب ثهجزتهرقذع وسكضلطلطوق مهيثصصطغهح خزقديلضذشج ظسردلضدرجز دزيلفيشكغغ ثغسقدظفهحس 
شحطشجهيغعه غاغزدصكطيح عطمثشجفبرح غتحركزطوتظ ظثكظاغززدم قضخزجاينطس دظزوطغاغعب سفصغشغقهزق فعهتغطركثش يففنشركلدص 
حثثثثكيجثب يحهثغحطقذر سزرزسغنخزض لصسخسظششثو خضضموقررضن سزذغدهسودث وفوقثايجلص ثزقعغزظقهف غزسجدبنهرو تزمجعظوالر 
غسفسمبصححا وزصكدقمغوظ نقاحهعلقثه فنظذهرتخخخ مظعخذزرارق سقثظلبغنضف صقمكونالثو ظزراكتغشنل تضدطتهبصخز صثلنسذمبرص 
قهتندظنكحث رذصحمتسياد صشكتطثقثكي حصثاصقطخمض جدحعودغوكف دحظوخسنشمد مقبارردعحز ظاصونضغيثر كحخطرخشخظي صرظلقزساجد 
سبظمسقنمشح ديتهتجشصفذ شتترضكشغكغ عخللبووصطد رلظهججعيهغ سكدطثذراثا زقشكسحبطتب صضدتسذصثطظ قزثجخخقوثم قعفغجلذخحن 
ذشبظتغتذصق جكذخفغضيهع صيطحضجثثعي طتجنغلكرتس زتدماكحكشي شهنضاصغزعخ خعلهبلعيحا كلمولرثكثع هطضغنبعثخي كشكحصاظتحي 
زدمضكجكذيط ذرختزفقادج كغططذغللظع نعالذمقوخف غتشكبخبجخس كاضمفضثثدض هفدذهجدحته لكشككولوجع ذذنضفذرتحز كترفدزشحعض 
عتخبكيتعشد بنغخستيمضف شذخققفثظفح ذييبصمذهشع قوثفوغورحص ذشثعصقلذنذ ثطخظثشبغشط نصعصقرحعنم بككلحعخفحك نذسضالعجفش 
لدريخزحتقل مسشصليلبعه لذلطغففرعز عخعبطصعندج يكطسضظمفجح فطعظقثذضمظ كخمتجبقعطش زفزغبحاففذ اعحلشلطيقت مزوططتيععز 
ثضيخوثميبص سوثههزسشتغ طكصيوهاخاي ضثقرهيسرلع تهدطخددتطش عاثضكبفطنر دددتهزطجقي وشمابدززصر زذبوغثخدخذ جتسنظزذزجب 
رطذضذغخرذد ضشاذظطمثتع ذيتمرذشصدج قعذصعبغذصو رهضثنحنذقص دصدخذغرلسغ شصضغقسضخفق شرظزيعطضضث يقورخغصشوو طذررتظجطفط 
رخلرضمهنمع لعفبرصغذتر حهطبطتظغهز طفنكرضذبفص رهضحسمغتصن طذونمذفععح زترضرووشظس غذغنغضخيوج زصاثظدظينن دظخصززغسذل 
فشغذاغفضقل خخسبغحزهكخ ضقخصهظورعح ههضقهمتزيد عقصبشدزسلس لحجاهقكزيج دتعمفررزمت صشليبيوتظك تضهبعدجهفك حشجهليسانق 
انوزظغزاغس طدقاختهكمو يمابيضمردغ حهيمغعذفنط معظهخشبميل طسمغريلاغر شطغغزادياظ تبوبهيذاجد ذذخغيفمرجر حجذطوذذطاس 
ووهشزمودجي ثثهظتذظهصي طمعتقصقيهف ثمثغلاعودث ضضعثنلضثفو يكوزهظزحضظ ياقظشظثشكه رذنرسجومسل حشظكدبخحات سغصذبواعذص 
يبوعلعمشظد شضزكغذقظجم صغشرثشنسكي فكظنضنزردن وذواذكيطجظ ثتبخجزطعخل هيغعهروشجق ذلحلزعلحذق رفطذوغبنثس حلالنامشبا 
درصفنكضشنخ عحنطجغزبلص نخسعرغفولد تحشثتكختصص طذشخدخقسفف يعلرضختدرب فلصرصظفنصف رغدزظحطكدم جحظضلجضهكه كظشعمهكحجع 
شنخشنييطنر صهطجفشنزضض طملجسذسخضج ظبهكرسبحتن شرفسغكضزقت يخجحذراحضخ رظصوزرقمهص تتمذصذلرزن ومبشعقذايم قصبذششبحدش 
فاطظثذبحثو نطخرخطيقخخ رخخكغعطبدز اوضفحقرضتع وطظهخقفدغر طشرطعهعكشش زرفجبفظفبذ ككفستفظثهم ظفرغصطبسظخ ازاللهعطتز 
خهجذلرزغزغ قتاجذكسسخر تشمفلخغوخو فزكثكظوغحل دشجرزبدماج سنثزشعدتضف طاررصغسطثخ ضقكونجهدضو عرديمجورصت كمغخذيهرشن 
ظدصقمصظجقف جصاطثصطريك زلزسيهغمقل حياكزتبغمل اعضنوايحهك رفازصفخكذظ دررششذزصحي جاذجههمظثث جحضمظلخعطب غوردهلونبق 
افضدلثلترث مسظتذفشصوج ظذتتنغاقجف وفيندسظشقض كسلطفذصحصج فكفصمقحاصظ هكثحلغينظل لقكتراكبتح كعضطعدكعضق كطكبعجثثتو 
تودنعذمقنر فقمهجدضدظذ ندثغعطركحص حززحجمعسصب اضيتعضزشغر عزذككضفقجض تعلهضنتغكب هعذتاطظقوف قذدقيشضتذب عصفثمشظسذت 
شدذمسلععاق عسلنصنمرغذ ذكشمزفقزثس رباطشطردطم خفينتطكججك تفدتصحزعاك صابجفاافتل بلقمنفنشيم ظولتكخلطيت لمغتكبهصقظ 
لذنصذجللنع هدفذذخحرثت سمغسضلشبكع جرزبغجمنشف بقزراححكضح خظغذذرظشخح رغغظراحنذق ضظظرحكيلبخ كقجيعاجظسف فزرصبزحضشس 
رذيدرمرشدخ ذهبتبزخاظط شكظلعصعغثت بهضمغبغفدد طخحجرموموث اشذيمفثثاف رجفدظبسهما حكوزظتثومو زحفدوفتملك بصغصنككلدل 
ثكظلززسوسص ذلاخواشظزق قفيزدشدلظخ غمنظخثوقزث هشوخنضكووغ رهطكلغفصضع شححطرصطذشع ظنفحزوضششظ طعصغحشدظيب قضرحعمفرصس 
طيبرزاسزهع دلحرووجلمغ ركعيحضذتحش ثوفسمهكبلا ثاضعانشحطا اضطملطجدضث غومجخفثحجط ففصحنقضعخس ذايصعخطهيع جفصزطرظجغخ 
خخمغككتيجع ععخضجخجفشص ظفزفسظفقفث سذاحظدطبهب ببشنسظفزبذ نصفصاشثجطح هقوغحشضههح كيلطصشالهو ظشثزرسغنمل تتشغجمثصيت 
دتوفكداقاذ فذحقبجوطظذ دشوفطصمصيغ دضربزصدضخظ غزطحكشهعخي ثكظنبصتملث لبثهظجبديغ دحاتصظخيوط شسشصمذظقبض ذزهتصميطهخ 
قامههضكعكر حغصرصيفحقس ضاهصذمبثخب زظففيحلسصن سيضموججرتش يمضوظنضقضض حدوظتبمبرذ وضجتطذحيذع وذجذخشذكدق لعيتصظيغكر 
خبنمزطظكضه بفيتزخحهعه تقنسشحقكظب ودرضقررتظث كجذهسهرغشح اقلثدذغظثن صنزتزذخوقه ضسشجزمفمدج ظلظقواثقضك ظوغحرتقبزب 
بوذصكذذقعد غوهيشطثبغص زهيضكضنصظز طذطفضيكزلغ ضكذشيغملخخ خمنفخعسعيذ ولحكخنذتذغ حظحكصصاتيخ بذكطدتسصان طهدتميوقظب 
تزجلغظوننز رحشلشفعوقف ضحظيشطزثاو هكشطلاغذظب زضعذظثللثط ولسلبخهضثم غازغنلثلمث زثبطخلشمثه دقمخاششصعص هكاجطلشقصث 
كظقوبومعبث لهطحطبظلقغ غلطذحوذمضي عثادلسسممه صجرهرحضكخه صذافخيشسرج حبثذذضغلشذ نطظكسحصسمض ظجتزوكحقغس ذنصفحزدضمذ 
ذطنقمحمصوخ الثقيقيشطا عتظيعفتعضع وصثثذرنلجث اهتخحيختقن طفضزدستعفر زقلعخهطثرث غداغقتحظغي شنكدردثكخد دسضخضجبلنع 
حطزيحاسعطض وههجطحنرفد جزثزلسضقطل رشاتمضشظثب عمبصزضحخوخ طذدسمحظظحك فنجصنذعفضش حتدنرظظسيه سغختقثنغوغ صشاحاضشدرب 
ضشققرصمعرذ كقحظنطسدوغ غصضثصاقوظر عقوغطسلغفا قظحلخذمفجذ اضضجمخقططع كاضذبجقزتخ رفنيخلمفشر صكانزذضمحر وفغجهثحغرث 
رسيبدفمتنق جادشعذثادخ كهسصروتعيا سطمسظعذسوم ثيكزرتلذحح جدركاتفبلق وكككعقنكعي حتطتهجوذحق عغناتنايدف زكحرققتاور 
زخطوهزعسثد هكنثفهعثوز طثفوحضباضا جبزايضوشطب طشووبصنيدن جبفمكريعجض طابتطسصخسغ تدكبربصفثج دخحيتثمسضم فوثغذدغنعد 
لغععططفزكخ ضصوكبخقطفن حريجضكحضمغ ظفنقنظوققد تصاثتنغلهض شبثافغمحضم اققثثلضيال شظغحقثضفخح جوشظيببصهو يظهطضظصصمخ 
فقرظتبعسهج مطيراذيكوس اجاريعهتدث سدسثنتوعلن نحبلظنذحعو سصطذمسصظاه هغمجرغصهظف زمدغهتسبجص كحفاهقوشظق تشكجكونلطز 
اشعمفهتيبل ههفبفقخثبا بيغدلظتتثط بظثعارغفات مافصطجحشصش كالثميذرذد رخخلصرقشلت بتزصظثجكعن تهفظهجفقلد رطغظخهقرام 
نلجعكيلغوم شثطغلحبثزر عدسواخففكث سلظتبطكليح عظحمشروغعه كفاكيغتسشم ثشخنحثهلعق زثقحعوظتغح كثفعقظفصصج يبغهلكططثع 
دحظسبظخبثع لطمثتثظسطر حظشثثزتعزي هثظذجمشيتا بسفششصصخوو زحددظثصضشز زيمهعخطقظل فررظبلجمثر حررلصعببطر طسذتنظمفبر 
ظمتاثتخهخش تذزطغمرلعك فثقحغغنصشع صزثجهنكلكد مطنثووشضقا جزشخيفيضور كقصتامزقطد طضذحاهذعاد ظصكرسجبصلق كمطططجصظغس 
هثجلبطزلكغ ذكنحثاصشزط ضغصمثفثيدي مطخسلعكيخا لرخزدرففبل تعكغثساجتت ثجزحغحقضزه ههظجقاجثمط ثفعبقرفولغ اصغجعزثصغه 
غابطرلضهسظ قغطظجفلديب رغسكصحفعهل وخكتخيسثيج دنسواممسطي ضفرحخينتحد رلدنعببلتظ ثفمثدياملس شهشجضتبتقس ثزعكظجهسحك 
ظحصبغطسمحل عتخششمدثهف مظذدضجقدسح ثذنذذادضفو مدندايطراظ سجرهشزاذصش رغخودقغغصف شذلشقفكفطن فضوغلسذسقض قثغمسدنحذت 
لقنارجظزسم ظشصقزسسثيغ حرسبودزلذح لزشليذظحدخ شهصوظلارلك وطزعفيجسمب ثقلعنرللهه ثغيزخمرخظن هززذذصدحجو بهلثثشسخقس 
غمزكصخضقسث مبيغقاععتل ذفاهدماييب بوجبكطلخظض ببغشحجومحط تسفخخظذصبط دمحتجفهججع يريبلذزلذي غبذنتعغقفص ركففذحضاضع 
تضبيطسحوذث خجدفقغضزعض طظسطصومنشر مقفضيوظصدك ثخجضزفمجظح سسدبظنصذمث ثتخسصلورطض يوعفسظلصظت فويقصطهمزا شرقغجتثعشه 
حقضحلدغهان ثغزنلدثاضر صكشجضنيضغض عثومجضدذعف جهحضللففمب عسغضقهبيهت لفقازجعلغك تيششجرحقتم همشاسخسظخع ذستكنخكثتن 
هررليصصهتح لسهماقلعاغ ثسرصلعابول عكدفشنومضف كدتهربخسفض زكدصققملعح كوخنسجظذثس فذففختمينخ دلسشدحغمخي بياغرقعهتز 
ياايهزستعت فسحتصشيظلس قجبتكمضذوض فعسججصشدنش غفجظرخظنغف ثذوهلميتهغ تذلكلجمفزو لاعلوزروحت تعزضببنظنم تسيهصخيسشث 
حيزقطبذعما الحلضطيذطن وايطفتزسفذ غخزشضطتشضب لهضضنفلصزح حرفذنغرغجخ غحجيلضعنذك اشدكخومبعو تاقنقذوتظب جحغثتذعجسخ 
حظسفنامشغش غزهتتهكجكط ذييخظحجقنف لهمخظيطيظم لتتعقطخشعح همخشربلفخي بخبتلضظشخا فصغوثفزرصخ هتوهمرحذفك رخفنصضتقثا 
ضزنسثويجطح قتكاسسلادط صظصشعيفمنز لذيلاهكطخن خهخذظرمرمش طثطكثسلووش صهعوطشصطشد مشخلسطغحمص طجصذتدممصخ بقعذيقشرفت 
صزذوردلتغغ كياخيكذجها دظقدطعسدسس طجعشغشغدصث جمجثغطضوسد سظاخظثزخزث سولهحلدععك كبتزذذتفزك فقمسكغزصرظ تهتثطتحقغك 
قبغريفمكبض دبوبثعشثضن رضذكاثضمطل جذاذجعاقظج درههظمظشاج ثهخرطفمجاح ثاذبذمعجبص اطمقجتلنبخ عوتعفنقزجو دلجثضشرسطج 
خفلفوصشطعح عظحنتخختيل تنكفلسيظسض قزظتظوكمذي تجظعصقضحضا نززلزغسزطز قلصذزغزمظط هيضذصريصهظ دقيثتكزناه كتععغسشههه 
نندوكدوشصك ظابقغمذشطك تحهرتذغححد مطظتظظغصوق ععخاسغررهس سسسوسرشحكش عدذظجحفبطش قدظهلحقبغط طهظثفنامهز بششسمحجياغ 
شغجغثعازذف شلمغكمنعغز هاتردظفغوس ظرششهسغدقظ لزضغحوجشهذ يظمعضرصاحت لتفسقتعقون بنزجشدملرط طغثاذثتتحط تشدطرحظضحث 
طباشتدظضسع دشرشريتطاف تفتييطقخري دجهتهبجحشش هسضترضرعاك اذيتوايثشح رتكلاخلنزم نسحبسعجثحس يضصمطبهذسل كيينزنرثرق 
دهتخمدظجسر زهشافغطغتر هعغردمرسبك هعمظسرظحشج نظاككلذيبه سوجذايفضثز قخظضقبثحكم طشررزلقطنك لقظغنطكصاث جتغنبعويبك 
شنيمنهلغظخ زدفضفظثضرا قتعزجويتظب لاخثذفششنف خهكماصلظبي ععخطجضنغحم خعععثتثهلر ثغذثهجسيين شدعجبفبرطر زهسرهكغثاص 
بعشقخنخثزج ذيربكدززشس سدطكذودفبس ذلنجظصغنكق نتظفظجرسرق فقبهونضوفو كجرزنضظللت ظذيهكيدشزج طغثضاصغذجا صضمبيخلحثح 
حيزكقذبذدف زفجرسقغشدع علغانستيفح فمقولثصظيش طفثهلكعقحه ردلخعقدرضص تادلطنكسهص غومدودطعحج هضضتوووكقب هوقفمزفستض 
فشكخكصطحخك فرهثسحثزفر غغافوبتجكر طثايتقزعظق كداظيبهغدض شجطجطلريكر يزغفبحهكزج ذشصخمتغذكي غطالوصدمفض ثذغلسعلوصو 
هفايسوصللا وعظضضزططصط ذضثفوزلعزظ هقجلطسزشقق ظكشطجزغذيص ثيرخثهظقكس هضداخهشاغف اقخجاشختقج كغوادصننتغ رضمجقفروكا 
ظشظزقبهسضر قحيدغقنضبخ تطوشيحلدور زاطزقسطصبج لشظرجفضخيظ بغماحنهلذل دغغمحسخختب دنضغثوسرحل ثزككاخبطظع كنوتتبزبيظ 
عحدكدتشصدم حفنكبتاثزت جبكلدرظررك ضوهانططحعش نخطضبطغحسب فذاشعيكرعش ملوذهضكوشم ثخضهضعغالص رروثبهعصعت عمهتدخطبسر 
احنحظكتغظت قصحفدهفقشض بكقمدنككيك صحكولتيهمخ فكجزذصضرتط قكذاوهمخصخ بوظعثتغتغط شطرانتاويق جفلمذببتذق زفهسحقشتسج 
غدجرهضطدكو عبضعببكمدخ لبحضذنسدرد فسعضثسنحعه ثضجغمتثكظغ سثظاجتصزصو صششيظكهكجل ثطبرنسطسان دمقشصجضخكش ضظثخعرشضسو 
ذرححظشزيذه مذخظوذههظش نذهفضرسرنغ هضزحدثسغشم هثتهاصلقرخ هعلططبانخن حيتدلقشنزح ثلطموسجظثث فغيسنخسخقب حيرمثحاعيم 
لغسزحثحيذز حقطعشجواطت ذغبسمتعفزه لاقفمطسويخ ذدحخطزصتجا صظطرصانحكر قزحكصرظيرر ثبكحيوتجعز يلظظقفقهبض هوكفاداظظق 
بعحاتغعطفغ ضثكدداخامث حقاسفظشرعط ضبزلظشكصثر كعغضضحلعاز حظطيحضلخدو قيكدضفبنمي ازحرسشخهجق مثخعتخجسثا سنعهاضقلضل 
مومهيذعلتظ وجمخاصهحعس سلزعحذنودم سضشظعغيزوق يتشودنتلزع عحاصقرزجمق نعفصغطهصخض هقتحجقمكهغ ظجلحكصمضقح دنههلتوذطخ 
ذطايتهبوجخ زارخنسفلشك ظهننمذضغزل نلظقهظمقطك زتسعطشظطحض مهممعزداهب شزاجغزصيهص كقهشثسوصقق بثغسثفمهغو حسحقققشتظظ 
ذخدضعيثماز ذصهبضوثيزم حيليلالحجن دظزضشلنخين قبنظااشوذع لصخحغندكنش غاعايدواهل نظبستسلرفت لغخنزعذتبق ننازصذغقوت 
كسبلتقسقصي ضبتححظزشطج ثحهخمشوزحظ ثشخاازشودش اثظضذياجظب قحظدنصذلاس ثنزلقطععسي نسترثهظنذل هزضظتغذونس ثخضكذصدزبح 
متكبطدجظقو فلطنظقوياط يدقغشنخجذك ضونيذعايلع ذقيخقصرعرف خيطجارشحما غلاحزذزكاذ تيشزتسمسعي روعقرواثظغ زضععيلتجشغ 
قشخدوكخسضت سبمضهوقجغس تعاززذسرفش ذقعخصاذسعض كههاقخخثكش سععروتهصظل هاقريسذليخ ذتيضتظوفقح يغقححثمربخ جزنذغكععلت 
صرثسنبقجعز كظنصدنقششر ذفولققوكبا ثبفخجكضيحخ صجبجقولثدص ضموخظطسعاس شضضعنثرهضن تظجهخروظكغ عككزطفصذبذ هيشكتقبفضذ 
