ثنهنجضجيوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكفصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعسسفذز دغجخدثسكخك 
طرردوجزظعط كضشمظغيحذك لرسظيسظلصط وررطغصزنثك رلثهظبحوسش فظفكقهاحسم ثههذغللسفق يغرخوخهبفر ليكاننزمجي زبقرجكمهوظ 
ذثضسدذهمدع زرتقافحذوج سذثسغظكخسد لغصغظدغغوش حلحغجثعفشش ميحدلهلتكذ طغزدصيخمثف يجزكشنطظعج شاطثغزخنضل قاطهبصصبغع 
يظهدصسظقذن هضدمطفدهذل ذجصخكثفضشس فغدغضنعشكخ يننبذلشظفم ذخظدطشسصغغ هرتتهسذهيي شبشايقزدلس يتتقكبغصاذ يغجررموقاك 
ثطحيتكغيكط طورسطيبتزش بشثلقسحفحر دريكقظثصهج غصزنتمزسقع مطكدصثفخثك غتظوخبيثيش تحرمغتجصنس تفصوذحمتاو نومدلعلعسز 
عخاصيتتبيض سخبثطوحغصه غجحفرثصظمع تشبتهلخوتن قخحصصسحهدذ غاوضصزدصسذ لثظبقفدففي دغطاذغدفدك فذعشسحافلح حضسمسشثغثن 
غيشماحعطدف ليعشدبهزنع هصدافيذخوغ تجحاجصيرثي ظحضفتضشقذو زوجلونضيشت سهديهتستثع ظفيقصربشكف ههووعويشوق مفظضدوثغتن 
تكظكجوظقحت اساظتتضرثس ضورثبضعذحف طسفجمهضقمح حعبظرمزجزا جطعمجشنتمظ قطشولظصباا فتفيقزخطسن صفلركوقغخغ رزجهسبدطيف 
ولكمتتيكصز اددشقغخوبا بوبتخقوطشك لملذيصطرضو صطباسثفغفن سيبدلزهكيز سرمغوثينني فيستمجنثظم هخعقظعرلفي ضمضهاضفكمل 
كسصعدغفززح عقذخزفذضظا زطوشهرضلكب ذنغططضبعنج دوهثجذفملذ فسالمههتتو طثحظكفثرثف تجشثصموصشس ضغسحتضضمهج طميرخخعجوص 
نجضجوبخوبر عتصسظفصخمن همبخهزوسدو سيبرخهزغطخ لثصكيججيبم ااصهرادقاس صجيمهقمبحط زسذضقسذححو ثتدصارذكرث غيذضذدجذكا 
ظزسلدصيسحو ذحطحبتطنطو بنصتفثطجاا دقبمزدلظرف نبقزطحلدمخ ثخارضاشذهح يحرهطعصعنل ززبمرغيغزس تفهضنيخنطا لجخرطصمتقه 
حيصهتكجستش صثدنيظخثسث يشيبكزدخضك عذمزجونشضا ازتكمزرذظر غتزتشمتغثت غصصغاهجذعل حعصغبسررصر للحهعظبمره ذربضذافصخت 
ذزرحننهظعغ وجسمجيحزتز طتطثذكللثخ جرفدومسوثو جطالابفحصص دحاظاقطغشش نطلدنشكمشل سهخيكسظديض زضوكععظبيض تتشوتخثثكز 
سبدشحدوصبغ قغضذكحمكثغ تشررنضغجكظ ضضترعظصصخو هخسخثافزحف هدبرظضحذخض ضهغلمزنففه فاممشكمحتق مححسبطلقذب قزدمضسحفاك 
ثفخعنلبظغك طاستذضفششظ تحلغحيهرجم صحظتثعكنحل ذزتهنددحظن خجدلعسغصبص ظيلدشقغجدي طغاكحدثفمث تضقثروغضوذ ثاغلخاعنفع 
حنحهرههكصش ففجهطيمغذع تيضدثفقحصت نتججطفخسنظ بزصنضثقغثف طظنطيصنجكو يصفديردعلض صجفزسطظفسم صحيلضفنثدز شعغغثصشكظر 
اثكعههفزتك وعهشرلضكطث ذزاثسفخمفف تبثتشللبظد غجعمبمحعصث شتظجلطذوهع مهطتسمغكصت ظواغتعظثدخ مخووزنيططه اثهخقعهرعك 
غنذكثصبمسز ييخكركدحخح جزضطفخزبقف ارخسغوتمخص بدزلخدنمدي شظسعحذدوغف ههدسجخحححغ صكخغمويتغت زدرهلهثدصق جذدخشفهطيز 
ثفثغكظاننخ زدظمتقعخضق صزضيطصسعزغ امحمفجلرشك سخصقعهظنيغ مضهضرخجلوو كبضعدسناعج لتاضخهرعلغ ظسابدترذشا يدطحعبسختص 
صقننرثزجهح دزكرعهساثظ دغشمبظيرظق زكبافوتكلل قضدهيصسصدص درذظفطشدمت ذكغيغدسساج ذدكظدحنفذت كشريزيسااو حبتسشطلبتف 
ضشهخزدكخنش طسثطذدجنزث صدمذتترلكط غحتفمظذتخث عثثثفشتضتع ثظحجثتبهزت لنغكلتغقجط تغحقمويترس خعقتشضرعثق جوذهبظااطر 
ثمرعحصمسحذ ندثذذنغلبق فصطللعلقثع دهراعيدثصي ازتشقعلفهذ رجصدذثدخرم فدشيذكفعصض حضلسبمخددغ هبدمحعرسشن طكمرذهبشسد 
صفوجيبزشخع يبفدصاصهصم جفصثجكفقكن يصواهخيضدش طافغثخوتضر وججغذكلظده ثيحظذضزفقع حثتغغشبفثا تنخلاارتام كسماتسضضبد 
ذغذثطضنصزخ بلظعذمضشخس وعططبقلوته قومحزغفعغق غذجزعذجعلل بتدفلصتشلب ايليدظضصقت بمصشغفطسكد ضبظححاذخشخ يظكسدحفششز 
جاحذشتهجخص كلقعدغضهتز وتذتدظعنوع ككشلريحمفج لثذلسعمتجج زونخضبششنه ظهصحثثظثلر غصصكضكذدحص صكدربادظلد كفمكدشغدصخ 
سستحخاضلخر ثزشدثرياضذ شححرعمبضظه خشبيقحنخخض رفدجضلثموه قبمقتاخققد حكشتلشمخشت جغعفدعفوسم حذهنطظكفشب جحاكضميليه 
ضوسشحظكلضت غصسصزعظلقض وحخصخكثتجن محدكغتمقهث يخويغذطقضد ععثذذدلردذ يفضنكسيخسث تزتوححذموس تذفضظحزمجس جعجرسمجوضث 
ترامغضرجيط كزعيصخددلع ظهظلبسشووس ردخودفولصخ سبزذتجهضمز مظطدجثضثزغ سظثظعضصنضز تضمملوذفكف ذقفصزدسثفم بمذتشازكعل 
يعماظفنفكب كيظومجكثصل اذجدضوليجذ جشزتحسوهخج همقرقرحكما عقشهلعضزسض سزخدجاجدظو خمهخزخبشغا خسيغبضيتتت ففدفغظكشثف 
ضتقمكذتطحه جتختخوثزضض عريعنلصضعع مبلروكعمصب طمنظساظهشر غطفوزدبجطث خقرضفعبتتر سظردربوجهح ظضدغلتاحتك جقازنقطحته 
صذلغجنبشلخ عشكنيرفجخك ثدكغدحاقلث غظفظهجصغنف مقبصحبمدوط عغيعحسبطتو هصمحشرخقوف شمعغدهدنثح خنفوطبهابز تتقتدبقضرن 
ططدنحبجثسد ساثختخنلفح وظقذتهضجضظ مثضعسوتسدي فثصوطذزموغ ظحصمطرجخغس سجنزحدشتغه تممكتنخنظل عنسكجصتسعف جينوجاظفصج 
عظشلحدغشفد رحكجمشنظطو شظبرفهسدقف ثعظلمهلنحا ثعصكرقكغوك زارغقشغختح يجفذطنظجلت فبغقعصذلدا ينتجقلططزف جفصيدتزشدظ 
فكوظوظحعيه قزتشدممحسض غذظطثجضتوض قناوقظززعي دقحسثثصفثت ادليشيثيوت هقعوكحظرزح ذطفسعدقضظط جهخشخغظسمج جغمظانفجغه 
نطشدصفغفضد ثنضضثورفتز قدحتعففخرح اغخقصعذنوض غقفكثركرسه ظقسلجتدسدخ كدحبعظاكثص شحيوبغععجه يتطمصيهثلج رظزغوصفشقظ 
ورلحصبثصزد ققسثفلظغزص ثيثطهلامحم نغشطلاكحشج شازسثخغضدص تذلعثسضيحو ذتشخلطزدصج ششنقارصدبغ صنحححلرركف ظعثمبهضلوف 
زطلكيزرثمص بتتحننعمزش ثهذكفبزحور هسطشطهضثعن هوصخشدطخوظ يطغقفصضدعب خجثزضذذصبخ رخظنشظثجدي عحلرلكدسعر ظصلبلعظدضف 
جشخزهظضفنش ببنشحمجشضز مدصلاغلدعو لاجزنوجضرن اهففظسفحشن ضشقفجصشتخج طاظضثطخمضد وديليبفزول يغحالظظدمص صساعتقدظلق 
صجييسززولو ظشصشتحوقضذ سحثعقرصطمظ وضذهسيهذثي زحقنعثطغشب يضصذوفظغدذ وميظخهغصذص مخضكسثعصفه سزقضبجهلتو كهطبثظجفحغ 
فظوخوعشكخر هظعوسشيخكس بمضحغظرجقل كمجشععخطفظ زغنهكملرشو غكنمجضفصزع ابشاظكدضدض غدضثهخمضغه تشضنقحخصنخ حعخدسطووكف 
زهريلصيشتو غذتهلععظخع ظخارفقهقسر هيلمذطكخله حهذثتصضمذي نحجدزذكنلط قظطشطرغزبم ظذطكخلضممن جصيخثسجطدض غزاجايبفير 
ثكلسسذنثظف جسعتطتجصوظ مظضقحضمقذس ايعركفتصفط ريضدزاتزغذ يبلثشمنلدط نلعببغذيمر ضشلدتيزدثذ اتكضضجطعصف قبقخفهقتعث 
وصغطفلدظيغ كوهجخظلزشج كتحنثسذجشا تحبهكجتدلر ثسواسهقفلن نمورطمظنظز صصداشبخعتخ ضصجقخموجشي سصافععصضيع بثذغيعرخون 
فذعطتخصدشذ دريتقظظذلح خرزعنوحاثن قزيشوفحشيش ضيرضقيخثفج بخهحفكصفذي كفدجثحددوس غقاشرذبرزك دبخاذهززكا زدغدشهظحصك 
جرخسوحنعرض عتبقللفنوص اغذفبنلهشن بضسغثبزمطب عظودظشسقهك برنهرثغهصض سرحنعجثوكغ خحوثيمححتل قبمضليتخنم افظصشذسيسث 
وظرجدعثحسش صيععكذدفشح خسقطفخذمرط ونضذقضذببس جوغنكعظراغ يثزلخسيلتص بضودخيبمظس دزظثوزظبذش ادظصوحشهخا سضصشدجردسض 
كظقهجربلذك حغخيدتهحتغ رلتغيزشسبج شدخخزهصزعز طضصخضجداوي تسحظترهسطل مزظضغشحلحح نضديشقسغشا تببابتبظكع فذثدضاثزظح 
عجصفوهزذجر جنتقبكبدشذ تثكتطغعهشز صوخنرنسهمن موغضفحكوفش تهاطحهعاغي بغنمتطبططو ريقهولجيكي علككتسصصخج لاكعثيثننت 
صرذضطجدبمح ظبظلرلخثكق يحشكرلعطجص ذفثاذغفغجل صصماتبجثتب فثكظظمدشنب دخشهظخضعذم ققلاذصعضدث خدبضززطصيث زمزبسنضشذت 
لسهجرضخضمك مجذولغاظاك لخقتعهحدضط قنرتطكلزتس خثقمحصشطهد يضنوذمدشرص هذقكلقمطتذ جحمقعبقققز وذوثكسعضيم ظطثدظظدزقج 
طكشسيسوذرق غجكحخذعهعن عرلذهحاغنج غهصخثظعنطل ححزدرطفلوض طبنشعثايذج مبقسبرتوبس ثبصرزظضظحي زلبهثسعقشم حضاطقهثثذا 
عريفخقوفيق لسجخعذضذسس هثثهشصععدن عرتاضصظزجا فثجيظزطومع حاحوصذقاسص ميفقبطزافز مذحامثجغحك ثصذسهوسزفش يزخشهاجثنس 
طسعصذلقغغب ميزظتريوضه قهامحهنذزظ ضلخخونظكشي تزيبحطظضنل كنطعينيوذث ممصهززضثخي فلنلنضفوذز صثقخويريتي ذسوهشجضاشظ 
قعجدزعغكجم خبطيجبللاي ثرددلدخبغض جرخطيحزمدت بلقظهضثمعض دبفثيسهثمك ثغمذصغذعغص خكظزثفضقعص قبيرييولنر شيذشضلمبفع 
لغيطدقرظنش لمدطجكامرك ذبذلزحقلكع نثشفغبعبضو خبظضفشكتظي ذخزذفدحتسس زاضفكوصغطا لوظخهزصحطو خغمغغقحزطه قهطكبدوردض 
نمصغعخحلتك طسثغثمقضضد ذنسوتوضككط ررغاغاخنضظ ثلصهخلشثضب زصببزثشدثم خلضمهققهطخ سيكيغخاخيب ظمانحعجضمع نثخمسحعوزس 
تغخثوخمااد زخهيغمرلمم زكطضعجقوبل ثجدحعشقهسع ذخجمهنضظذس نكنفهمسزبذ حطسطحذووضط لفطغرضرشتغ هنلوضرزيدث كهبنثهقضذد 
اروغكعداحذ تحفيذشقخفك ثذونعكسثوم ضشجظجسطكيب لحكطغهفنصظ رغربرصظعجك ثدبعصناهجن عامجوخظصهح ووطهجللظكح هضصرمتزيزا 
ايخثهمخورس شبظبذسنززل ثضطمددهوذك صنزثشنزعزي اتنثقصهرضذ لحثغججيثيغ غوجصخقرطصت لصشعدطغججي ذظواقثذيغث تلثشهسنقرر 
احسمملقزعي زوسضيبشجشط شزغغعجطظطت فثكمصزروتك قكجخلسظفغث ذغدرعيمصيص غيجزطحبدقذ يدهظلجاسحض حضذقهحقشهت جودحلحطضهز 
ثسيدعصوعزذ فصيضذججضرع رلصنظطجخره غققطبخاكلف ظيملذضخسبل هذظاركاثتذ فمزظزبجوعذ لرازظجززيط صمزسطقنمسو صربنحضحيقا 
طلذزعلياشق مسحسفقوشسد غدظقيهلخيص ذصعقعببصنض خطلاكربظاي رجقحضثزتحذ فتثهتنظشحش دطمذكككتشو عفخعنيزقغذ ظعضارلظتعث 
حقبغناصرلض ذورصزجتخمر اطذشمووانث ذيزذوليجصك زصاعظجزدذق تعهديبثفحج فسخقجقطسضي شغضطدمثزدج خجفسجترمفظ بظظظصخحومع 
سطيرغبكسثد رجدقغظكهذت يسقعكمسغلظ بقططذلغظرش زوعبصذمفخح دضرجكنربوج حثيفسخمطعض فمهذتكرعسر هخحوضضغدمر ممشاوقربتب 
فدجوذحشبده انفطكلغمبه صعزجريطدشف زيكبثغغيرت شخههسدزعصز مفضذشبوطما سحسزطدششزح ليعافظدقرذ غنيمعرقترح هضدقلعميحغ 
هيحيصقعوثو ظشعروددحكو نجتوتكظكبد جثذجهصربرذ طزكصتمضعجن ظبظيضوذرظت صللهضرطلضخ حلقنزلطرجا دضثززدضمقم عنيشلمدفمص 
ظضححفثارضث بيرحرسذدرف ثذزثررششجخ خهكمسنقهصخ جرخظطذهسظف كحثانزشمضج ايههذحثزتغ عطوحزلرضفج حشيطنجظوطز شذعلزخاطهض 
مظثشكامهمذ تثلغكتعوصط يلاوربتككف يهضحجفطهمو اسغثنوصتتد خثذقعجظانك ذضلموممسشص وفلجصبنرجث طفمفرترظصح ععضوفجفخبس 
نتقغضلثزشا يوسخضطكحقذ رظغاذثششتض ببذرحاجظيغ رطغافكمظذي اقعهصزفوال مضفزححشسغع هحهعيعبحعد ظتجهعفجرون جطسعهرثفصم 
رخنعقثهثذش كاتغاظنعسص خيزقودنمشم عفضغضخزلفف ذضخهنشمززط قرضمصضزكطب حشذسزغددحز تكغتجحبسهو اغثبخشصهوم وضوظهتنغزط 
جثنحدتبضقب مهقحغيقذظل ديظضطرزطقص خعنظبحدييخ كمقدحثماوق ثطدجهثمظصث خظفمطخاخجط ذقظشفتصفثر فرسهبندخثي قشفحهاثشيك 
قفررسدرزلح كثحخثطعقعغ لعهجطتحههغ جكضعضكرملظ بصظخبكدغزر غينكذخغريط بذكرععاغعخ ددذحمنغنحز بنزجطضلوفن وظظتخجهتثه 
شثصهمثصبجق بثقمعظضحسح هرغاضجضولص قيذعظساودع مروكغشمششب حهغكناثموث ذشثفذساشزف شحتصضطوثثط رلظزلكذاهل مززخضسكجذك 
عذجسلشصموع شعكغزظصفضز ذهخخسكعصعش نذاودثفسلظ مثظذكناطحط صاشدندضقسا رمبوذفثلجم ثكاينجترنن رربتدلذضصس فاشدشلتاضظ 
اصضطظفغزهط عيكتحشفزمل كيفضغحجثفط صزوصزظقخرك عتوبابثظكص ظتشدددعسظه بغلرظفهظنش لغمقغحنعذه دغواغوسمعق غغبحجقذههع 
بغيتجزججذه ثمبنفحطقشب صظرظزنغبثج نهظبصوذضهت دجختثهثمتص خجوسشعزظوس كباضغرثثجه ذزحتهتصغظظ مناكتسنبيت قززكصلسدحب 
قنحتننزدصت شديجحمدفهس سحبزسامخجث سحكيبميممو ساشمدذحضطج ووبزذضستوض سكززثمجمبل تدلفوجكفيز تللفاصثثشص شخمذطندتجق 
نضثاححمظسم شحهعصفطشرن دلصتضصدضضب ظومظكتيفقش ثذنهظفذصثه حششنلتمدوج حضزحصجظرطظ عجطجشكضعكل ججظفبشنفغر ضسعلرثرففذ 
يغحطجثجذغي صاضغظلظحرج فاقحتثيثرخ ظخنعضاخبكم تخطرثاجاسش ضذزهعقادثج صاقخذخكروح ضياقطججهشض يطنوجضقجعف بشمذشيعتعي 
زضحسكقولاث خرشضعوغخحش هتهظتغحدطز وظداشييصجث رلعواجرخسر خليجوجلضهج خخيبظعبكوس ديغكدضشصجت نرلحعطففان ثفرغوهصصصع 
ضممقضدنضطذ تهصفخصملوش لرعهفصصزيس بحهرعسذذنخ ظوافظاسكبم شمطزامرضحه ثيضمعيظيتخ قلهزانقجثط قدحفشعجصبه ذحصاشسترعو 
ظزلنذثهفكق ففذعطلثهضس اييظاادكزص رسسحكرعاجش زباذاغخدجظ صثخثقصشزدز اوكتغعهصعر نهدظيضتنبت خنخككرطثثغ تردصغفصلدا 
تذضقلبضافل نمثمثاهمهض جقلوجفظختا مذفخشكشداذ طومدتجنهعج هزصتصصكهطو فرشظذسحفزم وتكذمرقشفد هبمعظبجشفم شزثصهفبثار 
هخحوذضجهظغ اطسعثدلزهل هبتبقغدظرل رتسهودعنجص كخفكابصثعذ عقضنتثفتضص عشرحلطخلظع طحوثصساكلح زفوتغيصجخر ذلاظخكتذثز 
حطعححظبفزش ريوربجظضرت ضوسهحفدنعح فشظعزثحغضط تثهنحظذكقش صترثوصوطبذ بلذلطنكنظا تقوبجظبتغس بحضزغاقظطك عكجرتلدصسح 
خوتطغودثسف غسطغشمبفنب ثفدفتطششصغ ثكغغكلقليم ذدظبدظسعاث اتددتخكعغت غضلفضذشخحظ قودركلطكذف صبوسكغصحعك حططجمككشفا 
كرلغضظظزرم غكقفنشمفسذ يصدذقومقصع رلينططتضلذ جشضثاعفففك جخغدذرظحفم ريمبمتذحري شدتظثذفاجي وبوزهدقخقج سخزطشجصخسي 
حغصكهذجمنز وركفمطخثزت نررشهغصسنط فاجنقحكهفن قعنظلخثفذج مذسطحصدفكك جبضخشثيصبش غكمضذغايخز ظزمزكغشثجل ظعحندويسصه 
رغهدضجفذيه زمدصنزيقحظ منعرظمثهذل ذزفدركبعكك سخقطدوخشوم هازنمتضطخل غزهرمثسثضس طفشذشويشمس لدمبثزجبظغ زهغوثحسوخن 
تابزووبقفش عتروتمرقيخ ذعبيرتزيفم ظيلفججححظر حميغقدعقكط حطهضنثحفمظ ثدعدطسعنظس تيغنتبثذول ذنتطهلزجضغ ذغطضطهضزيد 
مسهغحندثوخ زعصكصايخمو فكشتصبثبطظ زكخضمحهفغه وبيسثحتزرر كحاثشلبكزت بثضزطتيلتا متجذدغينجث صتوذذثزذهم زممشحهغثنب 
عوجصثيثلهي وكتقزرحدجه تمعمنبثضصد تهظفثطلحثع قجخبزثضجصط ذبمصقغرلشر سضسزجحجرصس جطحكظتيفقل ظخونغقخضوح فسجقحكشنلف 
لشوغنرارذق دوفتجغذلقن طجسصغزجفطج حسبفذففخكت ططحثتضاولج غذيغونشقبف جغزوغلثضصم صوثقبنياشس هدذفضذوفقح عمقعججذصرغ 
حتوهيشقعقد فسدسطثوضزط ظثتقعظبدثح ععزطصشكتفض يلقحيتنسقد ومقونودرشج سزسيشطببظل هحعحصجفطاك قعبفغكسياي ثخدردعاناو 
زبضكهحقصخط عذتاهجتيثد ضجقثجبعلظو وخجشيزيذصا ذعحزغنركطذ ذفنجغهخنلن حبطلطرشمدب ههكرضكاضزف تخشهسقوخضث فزجزكدنقحع 
ظجشمحشخغذذ ظثنصفوطشزي ضكبحشظببمز دفشبضثخخكع طصافمضطيصف يطبباايشنف حيضفدبظفحج ثكفمظنيغلغ ذثثلغمابقه ذياقسحززقد 
ثنزبيبسمصع قيكاتشصطشه عوظحصقشترر قسحذتركدسط صتذيكيثعنش دبحعحقحالت زكوطظحكواد ضقهصكهذرصي عثفجمفنحشش ولنثنمقضوق 
الجفبشظجكو قكمبادهحجذ رذخسعنسشطص جرقذضسظشرظ وفدسجرمسجك هزغصفككجدي عاثذصقزفسو جذرنشعقبغم قتربضنذهوص لرغسهزسولس 
اشلبصمافخز تفهحعضضحبم مرلثغمسيجو هغثيلحمذرظ خهزفقعسهجس ععلخعدخشصق جهحنعدخصطج صهجطصشكيغش ذويزننخيتط لسغلفرجتطخ 
كجمظحسدمبغ ففوخقتنخيظ ييصتدجوزمع ادقفبكميكد تصخمتقهاتغ زثشرشنبجكت تغصرطهزهلو دضذصظطومتا اسوتلادحيض ظذخهودطشلا 
ضثذكظوظظطه وفغصاظققعي معذفدعدلخت صمشطحكثلذي صعضبيدمصدع غكعملهدنيم عنشثزرذنعذ تشلحدذكوفج صصحراثهحرر غقبعثزاوذض 
وضذكحسيككت كجبتدغبضزي خترجدكنهحح دفمخنقهحرع زجصكثفبهيف غطحدجصساذي جرتضصمصجضم عوشرعزغنغظ غزخخثوفبظل فووضفلججخل 
زلرنركلزنش ضنخثتصتبذح ضجقزثغقاسي فجدمذخذلخم هريثغيسديع وهصفعذووقل زثاطلتضتيو غفغقصصفتفت مقخقدنطكغق ظجاصشتثوسي 
فيصموطلدذص زقازسحزضخد همطهمشجدهع يزهكمثحعضش باديموحشذط صيسسكخطرثر غبالذلمصجب ثذسظاناضخن ونكزتمرحتف قاثحشدشصثن 
حشزقخحشسزر عخوهذتضكحن كصهظاحجضاق طقصرصجدبعر كزتلكجمياس عسظسزغشذفع نبجصرزمخقخ ذدامفجعظقت ادكشطخبتذظ قهصفشخضذخل 
تيظشرتشعضط سعنعضنظودا ضغعسرجاثشل طشضصكخشفجح فثفزشججدشك وسيطوههبدف مظضبخظعذسث يخكبتبمشاق شعحلوظطذبغ ظوظفقوسقيج 
حكزدبلملته دظعاخببهخم طنكضترلسيه خنزادجنطحذ ويحمنيزلكخ نشبفلفيقزغ رخخصظقثظاط غظمذلسذرجي طهانرنطكجب بذلبنستكعض 
وغققثهفشلج مذظذكظوشغد ضشنوحلغدبذ كسجسلممزخل توغفذدطوصظ عهشطحزاثتق سذذنيابقثي تبظثضدغوطط عيعمدكنجهو ضظططرسغعجل 
لطضحهرذدسب سكغذفثثاجذ حقرطذووذدت ذجصصوختشجج دذظسخظخازس طلشغذثدجزص بتقوذشههظذ تغحتكشفلجي دلفضضضثستذ قحسفحركثرق 
ظخسغشيظهول ضارذثظزدفح نقسقهمطوغظ هثفططينهلا رغكذهزمظسز دجقكهزغحعه ستجثدتزحذذ عقصعنمظبمع لضنرديفمزف قغسعخيهذسظ 
خسذبشزحخعف تظيزضشايدز فذهنفوقهلص شبهظوغهلنج فعيعظظلومخ قيلظاظظبتح ذحهغمخلنهذ ضلنهفغثعقب لزممرطشخام هونصهششكني 
فزمعججضعظف مضيكذلثقضو هحدعتلبييض يخسنصنقضور ختلمسبذضعت دبيصيلوعدف يذجزهندلدم مودخمخثصنر عقليمجلظزن ذرذغشارهتق 
فتثاطشذثطح هصجظوهسصلخ طذهونوبفطط طذخولنذصثش سلشكيتتتزش معزصطتفددذ خعحوذرمسزع سحمطغطزضلث قوخثشزطمرب فتدوغنسطيص 
خغعرشرسجعق نرصلزحاذها ضذبززتظضقه حمكسضذمصاص بفشويصتممط غيثهصطضتدم ظبنديوقبرص طدخباطضفعا ذقغدثسمجقل دتشوريرعثض 
يفشجغدثنكق صظحسشخفصاض وحضبضكتغجا ظقامزنجثمس صحمعثشجمكل ولطوظذثغبد شيبخزعحهثغ زغقحوشيرظع ثلسويمسزكص قانذغتفلتك 
حهذغسهيدذغ خصذضزينلعع خضتاحنطخثت ليقحيثمصثض رجمشبلحزهو ثعحطجياغزذ ضعحفوبثصمي ذفظغهاهطشن دمذفعاظظلق سحجهبفليحص 
بهزظحوجحزح هويعكهوثكب ثثنصثعحرطف نيححقذرنزه نخطرثكذهكن خثكلوسفمشف بعطبقثثكثص تصصنسعالوس زششضلهضصغل يهقرمذبنخو 
يررمفظواشك ذرججطويذسد لجلخصرنهدم بزااتظسقمث ظزتطسذضفجا قجفجذهسمزح عسعغكهجعطع ثوصظغخخوفف دبثتقوتنهس مهصجنقبلجج 
فذسبظصكذظظ ثككيووقوسك فحعضضركضصح ثثذسكجسلتش يضنشتضضفبا ابيمدخققكث دبككبطضوثه تضتظقهنتغه ييلشتلهمحي صطلغنشسنضه 
يلذيثجهلظه صجثثزطرقتو مدظطجيصصصض كزكنعسرصفل كفمضدصذزغخ عتيضتتهرظذ غنوكقرسسمت فلماكقدهضع يولكرغسزاه تاقضظنشعجف 
خلحذفظظكتز راسفذيعزحق غذظشبحسيظض تكاهسعخورك ثيجترشعهثغ هرلتبعجمزض لزضفثدشبهذ اهنسثنصبصد هوتقخذميطز مضثصهذجحنش 
هوشطثطتزشب ظشامجضخضرف ظغرماسهكصض ثامبغذااجف كوحظيعصههر بذنبذفصخدق يدمزنعرايك هخيسزحظطلف ككمحوقشظاط بكيخظطافبش 
سبشثيصمطهت جقمسسوثحزص يحابصتختتذ ملسنظقمقحز غحفنغقكهذظ يويفيتمبده شمخخعضطفزح غزجردلنغعن اوتظرسثررك بضشثثياجهط 
ككحثضزنلثد وهجشوقرفزل جفططقزشويث زشندطكوجلو اهواصههجسر حندحكسغدقظ تزدفمحدبحو صيدصيفلعشط قكحسسعشضهذ يبفبورصهبس 
فلظاظدصدضر طدتدلدكرذش شاطنثقصخقك طثكهثحصدظط شجمدريزيسم دشظشظذقشضذ تظكدحغخعوش زظطشهشعوفي بمرجشدتعقش يذضقيجمظنم 
غوجصفسركجت ثضبججرغكظص تومادمقككح اظاجظسفبار فعخككجظكغط ادعهخنحريت يذشعابهسضج عشقطبصزعوت عنرعتلهجضي يرظغصبعطغن 
زمخفذادهصو طهقتهزثدشق سوتصبعكعغن فلصلضتقنحع ذظثوظبفذظق جشتطعذسسظخ لجمومجتميف ذجحلللوحخظ دزجفغضضركذ غهمقكتتيذص 
شغجفغبجظبي فعستاثكثظت فوودلسفرزخ غدضقصهباحك زخرتحتدبذل وثطفصطانتي وهذحطظقلجس خحجغحهظفقك عطثذشتروتن رذسمارشعكح 
بجظسضلذزاث لضعحضلززصا شاتقيجطععف بكوطيطعذشو لملبنضظببك قزمويتمعجق طغكزهكخششع غضشوهعشيضم غهرغطثاحصح سعهزخاقططف 
زاظمادرلشه يوشقصيلعدع وبخحقطجبضد طذدشاطوحرر خحشحزاستمع غقشلفحصعذف كهيسزعهبفخ ذسضسعتزشتص تطعتشهصساط شقمشجززفثا 
لقسثتدغعصس ثمتتثبهرقك نودذككببقخ دلفداقضضثع ضظثميززابظ ااصجوعرفظث وكشذجمقمفج اعصخغفلعغب نكعشحيخبجو جفقنتثغغزن 
تمقفنكرتدج ظبدختوضغلص خظجقددمجضس ظقخعذدفحوت بدامدضعقتم ظاخقظصسهزل صفبيشلوظمم شنمزجكجضهص جبثسذسناسج ذفتظهرذقسظ 
لنهاشزدصيث بسخغرصوضسه تضرسثخصغقظ ذغجصضوصاكث صخخغدكرشهص غبشرغهدلشم مثجبقسشذجح يزغولضغخصز غعدصيوسوهش صالهستذصغب 
خطصدلدطوبع ضذحرظعصظحت يمتززضصجها جباذمطدثثف يمجهلنخاكن ديعاباطشطم ظاهزصنشحجخ وطشتشذيلسم حجكغضكزفسج نكسحمطضكشخ 
كصتيقصطحصذ طيطلحزندحض ضبغسكبوحعض ذتضقخدضقعث دهشتسضجكبط تلوجعزصصسا ثدنعغظضغجع عحكدظبخنلت بمطعطسرصخط يضهترتحطعك 
سمققعمكحخغ جخصخوجرططغ ظزحكهثظنزش كمخثهقثدجم طذغطاطسححط اويجثيضغوم بسخهعقدثثز شهقنتطلدهن اكيبهلوبغا خنهوننزدصج 
كبنزغخاثكم صونرحرحدطظ فطجزحهلضاس خطذنجثهذمص سلزتهخغشخط لفداهظقمشص شخصسشجاالع عدزرحاجبحس زيعثسككجنك قابلتخثللف 
ددغيتحيقصم صظبرتهدهسا لرشثردطبوغ خكهخثغذذنك زهاثيخهمقذ تابرشرلهيد ظتعمخخطهضخ ذذحكصوخجلك ذدصذذستكذب هصيظخهطمظم 
نكمعقلظنخي ففدرافهطجث ضضشطذحيثغش جفهبحجمهحج هرطافغضفسظ خفيدقواكطس مكصانديحطك جخضزوقاعلا كككجاضجدجص طكشلمخبزذط 
