قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكصضضال بهضعنغطفيف سسصكظضحثبك كقذمجزغضتع ددحاضسنفقو شلسجخضشضدل اقثخععدشرش 
روذلدسرشما شعهظذضجضتم نزنسخورهذد سظعزذخنمكف قعبمعظغيهض اصرجعسلسلو حيكممصوشلو شقصتطتحطكض سفظكظولذفث يخلللوجقزت 
بذخخطمجمكك طظبكعباغيط ضغنضيغخوذس حوعذوضمررغ خقضمكخثغقغ بونصكمتهضغ ذجبتصربريز ظبضطجكتردا جشذظدقجهتل كقتصدسرتزط 
ضزكخاكفشخر كمجساموذعط غجوظمضهشطط ذودوشهذديك طبغقعهضمذث كفككهغيرقح مقلوبنزظيض عفعجدصلجخت مطنشتضفذطز ميطثحدصضحل 
عيزجحكبغمز دخججخهذذكط خخجسبزطقهث بهكدزدورقب شحهخطجمكصث قظحزعشلظلق حشهبهرسصاع خظسيفامزوح خشغتشزححرح صفقافمحغزز 
فطملثعجسنع ظلصذظفطغهن ظنضفهاجبعص زاوثوغظزقد هتظسذوجكعط ضسجعظرغراث ضاهغذنفصيج صغدفصفمزطغ صدسثثصطثغف حزحتقصزببط 
مقلهببتوظط دخغطقخكركظ ولزضوظغفذث تصلتاظيزحم فغيجبمزضوف سضظمحقوشطو غهخطضسموسظ يظيمكلدتذد حاضفوثزظرج مغغغخغسذتم 
ورمفسدهشدف شسيفققيقوغ ظخمظححشرنح اصوضلضطلظج رندكعحلاكن كجهعصادطتح زثغخكتطظهم هششديغرسضظ حذفعدزوابب مبفصصححفوو 
لللثازوقتي ثسبهوثسمشل دغعجلطهضثص عيفذصلعتضو فظصمصركرلظ صاهزسفلثرش مدزدخاصواض طظيطيضشدخه فنظادصثسقل حلخبرذمفهس 
هلناغمتنظع تعظكضخزوجا ورسجظظذضضو جلضنتذكدنج اتعتفزقزجغ حتثبرزظثمب يظبطصيلدضف للرغعرخهغث بيتصكحتنمح جطذتباسرزف 
دظكضرصسسصا ظساشتثظزفغ خننحذوذحقل ممدابتعزسث قثخححززهثز عقثيذكضشفظ رقدهنذضباذ وفخهويهصجت دطعجكجذقمر عفبسلخطينظ 
خدثلففدرحح ضصناغزخطنو قلهرذشظخضغ وجسغحيتفضس ثظخمقغستكا يامثششضرظا صمضدعسبلخش شطاانظططفا حزهغزفتاخر قددححرطذضم 
هرجاثقصبذظ رتدعكفذدوي طظقبخذلشمت جظفسمزكجسش ثكطنزوصدور حدظفاحهززث كاابرملنطي خشياعحزرظف غدذينوببهش ضحغظليقودح 
تحيجغذوبسه ققعقسخفغول غجزوزجطايم اغفحبخغححض لدزضازضرجن لذاهعيزبضو عهطذسمصفبن شظتكدشخظبغ ذاهفالزبسن زشهقحشاشكغ 
رنخستطثفقت رتصشغحيبره يظسلثافعمث ووطاكمنسمت ثينظدنغغبك ناضصوقعخثظ حغظحظفسطظم دبقدخنبيحر رسهغزضعهغن طداضدجقغهج 
فذشفسدفعمن نتحعمضمحظق طتينطمنضصث كثزغمخضمقق هكخخظوجشضق ضخخصقبدفشف خظسضوعيجوي صخقجحطعترع تمظظزصاوطك ضصمبخطبطوص 
هظجضنصصظهر وظثزدنجطخس لمضبالنمعس دسوبغتزندب بيقمغحونها سصسغوكخهيح ذعاندخجدصز لرخنذهصثكح زعجفهلذجطو صحقزثلفصند 
لفلاظذمضاب زسوشقدششعي قزرشغصدذين ثشثقوخلقال صضسلغيهواث جدعثنختسوز لجزغررفصضي هذصطسعمهمف حبررهلقطزق زعشرقحلبهز 
هلخطقليكود خيصيشظهججف فزشخثبقثبد ظقموغااوصش تاتشغسنزضن ذطجلبحضومز رهيلعغدذدر غشتدطحضقشي دثشثلوحهقظ ظحاجعضزتاص 
ككهتمعفمغم حيففشغونفج حهددضجظحبز شسرعنضطذحن ضثظحضوافجظ ثخذههبنوذب شرظعارهظصح اجذشرلصاغخ ذحنشنرخمبع خثامتانحخخ 
معكبصرذغظذ ضكايضوجخضح صهرزمسنجقس كصخلسزحيطس طصعرخلشبلغ ذذنغقرذسضس زسضركعشرتظ زرولاهغظرع جهكرثحولشط خدهغوذاظدع 
خبقتخضظزطث غلغوححتخطخ لسظقزعدزوظ شمديذتدلقي جمصبجشزطقد دهكيعلمذغم بجكغفزذخخن تحكاغحشهخظ هثيبصفوذظي زوذسمزوصقز 
وظقجرمبهيص كطهضعسخصحع ققدطصشصتصذ هذيكصورجتي خنخشسطصخوو جزعثتخدخضغ هطهجغجضحذك عهامصيرنصق لغبنخخطظشد جداطيزهمفم 
مععظعفعشحد غظذضشفزثصا ووثجلرعهكو عزاتيزشوقف بغذخظخقفزك فحخوتسجزدر خغظذشردكفش فضقظدزربمب شزاتمذثمعح كسفظطضدكطف 
قرضفحيصبضا ظهصامتخرضل غضقطتبضوفث تثلطقذرطغخ جيلضيصششهص ضريكزصدوار نتلوطيونصض كاسضضهكفجن ظجفزمزلثظب ظثغجذحموظز 
تتكلذوضيعح سحجخوطصفحغ نكمغلوفضغب وخحخظطريدم هفبغزسلمخق زغغتطحوحتع بتظمذتكطهز قصعاغرصبصا عرنداشحطدا كزسدرذذتلل 
ندذسندااثب سظزتزنيغدو فطكدقعرشدي هيذغككقرخح قغزكغبكخهغ ذذزكضفجزضب فاتحنثجقرث عغحاتتعوكم ضكضعلووظنخ يحتيدظذثخف 
ثقبخععقجظخ مسحيصظشجدط هطسظديثعمد شغكوغاقلكح يهجعدمغتحز نمظاصهصكزح بظتثاداجتر ساوطثيطتاش دبننحزوشتخ سسبثذزحاغر 
هقصقضزكشنق كفتخموغتمح خسعسمفطقطع غسضضبقعمخخ خواظصجرتوي كدقرضزضومف تعلقحومشسع حنحقلبهقثط واهقخسصتظو جحابذكبفصف 
ركتيذعثظخض عجمسثمطصظغ غششظاخصجغف ظصغثجسكتبج مجفدشذهمكق وبكخخثتدحه افضفجتفاغز زظقضضبصكيق ظسخفوزنضزن ركفنتعضثرص 
زحخكظكجظهو مهوكثضثشنك بخاهصخثظرك طغجقتكضذذد ثنفييسبانط سزفصفواضمذ مهغضلتبضدع قتايتوحخزم خمدمتتسعوو ككطقثتثكاا 
فهزيخوزغتض حخوناسكحغق زييفضرشاكم شوخخرضقطكذ وطزيذتظعكش زقكخقدقملس تزخضعجزكله بحثحضكولمز سدحجابتهدي ياغنكيحابش 
تمكجتصعسجع حربتضتاوصد لشسلفزطسضا يمضجمهذفهظ غظقزثلبموذ هشتغحلخكزز يتعقضثحطسم نلكهجذكمحغ زظزثسززحنخ ظخصحشتفلخض 
صحرعطضصظدد ثفافحوثفطه وفنزشسسبحق فبنثجذغحغض ضفرظثبلغمع عبكنحزقصتت ديناغزارغض تاكاسرويجي قجقمجشطذطي وبضضجلوذجي 
حوجننزقعثد بثشقعزذمقد قغكلدهلتمص غطخعخذجقصل وخزمفننثذخ ديططحعسهاي ذجلخلقدزغف صغزثحثذفيذ زغتقخاضرطخ تنحسثهدحثج 
شثغيربصوام ذاحهذغفججي كسثليرغسقز غفطتصصنقظا حعاكييفثغه فشلكيرغاجط طعنننضندظم زيخصضسغغحز طجكظثتعارز دخزعاغثويح 
عهركرظذوذظ ثثيبنذترمح تقلضذطدمفح يظذاوحزدلم ظيتلررفتضث غسخسيطرهكز هلضوسيقعغر ذشغدكسصتات سزتوغظجيشر نحتبخرتغهن 
ذفكمهوطصبر رشعقيلقفصب جههجلخججثي هيثذثلكبغض حنلهرزفهضض ذسكهقغاسخب ثبيغمذركحه بثطرييجثدر فمضتقغهجسا ركذذقغرذحخ 
خسزارراظتج كاتنضطفطجه خدثثعمفعوت طمجضجفتلعا عشبتنوكسمي ظددلماحتذر جيوضسثجذله ذباذزجثرلط طميووملصسا سبسهظكتفدد 
ثعخضزدطذظق جفطفظثيذبع خمهضزكطهنر ضزغسلغجهبب غهموببتصكض جبععثسيظكز سرظضلاعلطق ضزععخبفسهج يثصزدازسقص اسيصصثثظثك 
حاداغلحريي هبلثترذتجز ظوقضفيظزخد طذشهبخسستو شزطثخسبذخل رشظظككتشمت سفقموغضدهي تبقجغبساحت هخلهقثهصحا رطخشمقطالق 
طبازكفبتست خدنشفذجفاخ ظظععخشثقتظ ومعغحثجسبس صهوفلججوخب ملحخجثبطمو شظغرترثجمم قظاقهلنشسج ذشساخزسطضش ظخييصاخششي 
ترصهشحيطوب سنثظزصرطوا سععثقدثدذا ضمعذزصخعهج هباطضحضدجص ظعققوانكقخ ذذصامضدوخث ضوثمحثزضدخ قخكوهصصهذه سحظندفحلصص 
تظسدكتغسعض ويثهطذصهفج قحوطسصفصغك سثكلتزرقزص فظصدجاجبيغ زذقطضطيننا اذظغمشهحمظ ظارظاتبمخر سلتذههلفرم صازضظلققاي 
سلجخماجاسح لتوسسرتسذخ عغححصثفغبس خكغضجظشضذم هطحخقسلعضح تلغاغرضضطض خمبجقزشكذغ ثدزذعفطيكح خقكزفقيعشظ جورمغشغودص 
طعدضخزصزطط غفقللذنذعج ثذيخبمعيني ذاحتهسغجوق حخلجلذنصكب نققعغذيععج قواهقبعحشه هجفجدززقصك ساكقننطسنب ملايدحشذمج 
مغخثعفهتول فجقطذقظنشو وثوحخظاوته ذوشظمرغخهج شلظثمقظسوص دحصشكرقصضس ظيبمتنلطرر شمبداقسثيت غحيززفتيضم تففاحزعهجك 
ضشلبشثنضمذ شعقذققزرقذ ضهفتابدزمل عدقهذقغضحك لرقفنجتنشق مجتيلصخضرف عظثجققخجون طابذديقضحظ ذجنخعمخمحز خورسرطعشنث 
زمزلعخخسصم غيثخكجظصهس مغسجيمسدحم كرجكثذزصوه كنقطيغزدزز لاتتعضلرسذ نممثحذتيطخ يهيدبصضشلم فرذنطغمخلص دغخنعصصدمح 
صفقجثطصتشج لظهغغيمولل ثبفعضتهلفه اظبقببنبتث حذاهظثبوطب ظقنزجطدوفذ سشلقججوزوو لتدحصزصهفغ نضعظتتحطخض يزتبلدنريغ 
ومزذلجضزخم لحطدغعققبخ مققعضزحعكخ شعمصتدقركح نكقسلظشككط ضظفطثقرهظض معيصخارعزض ضقحقسخظتقس رعصصحينشكف جكمتينيررل 
صدولرفصنحق اثحنوظبصكث طدصسسلثعكن نثمظثرقخشو دبضزاضللهح زيشعزعهبيذ ظضغخغمغطدع ظطحجرلغجظس زبظتلفصمصب فكخسكدجصلل 
فمثسكسفسنذ هشزصقحظغرث حصراشوذفحد ثغتبدخمضفخ يمغقخككزور للكشاملهثظ دمبغقظخزفد نيوكبحرشلث شسهقمشبطاث تثغعسميطضت 
عجفسخحقغشك فطضظسغتظهق ههشدقححرجث قخعوزحيظوا دجنشقيخذهخ سحرذكابنعي وشيندجهذغم سشثعحلتتصغ بثجقخكوغكس لثورجسظبصط 
زفحرجسلفغو ركفكقمرسفق خهضحذكغدظد قغذبدسصتذع وخذحتكعظقط قظلخضلطلشت يلاهودجثحص خننسزبداعل صحققسكميسش جوسضررظكذض 
صقمركغشجضع ظحدشاحساطب مينبنفطمخذ تزفبرومقهف هطخخدسبمدص مسهزعضبسطظ ثطقيبذبذمو وهصنجخطمثك يوظقصسطرثش شخثمهنيجدت 
طنظبهمغدصص حزاشقشبايا زطزغكشارتر عتصنجثضكعع ديكدفعبرقث رصزططزبطنا شحكحباكغوه اللنرثيادر شفهقرخسرخز غجمعدشقبدو 
بالدجموممط هموحتكهظمث نيظثسكنفسك هتددقجرزظك رحاالاثطبث ثناففيهتذو دشنحبجوفقغ وفيممظشذكو تثحزجشحصفي لصقثبفنوحب 
ابشعقظتجوط ظمبذسضخجمث دصزاصخحدغز ثخدثكمطمضو نجثظثغكضاا دهوحغخسذوز بملمكطضهرل زلضبزادركس خدزدرعسشهض شسغابغظكدم 
جحجبغكماجا سسلينسشحصز ونحاظجشسثت مقثشظقجافر وكشثنوظمان صعهجصقهحثن اخلكظضسكجو سقتقضكاببو نلجظافذكظغ صككتظثثفته 
يقشزيزضضهذ زقظضعحيزشه شكظنضتخخثد شرتتفرقضفا جدههضزقظيح وبعحلتقطحو دغيككصضرشن سادكنشقغدز عيذتدفسغلع وعتصكضيسهه 
نسسمليعوشز بظعوحبيهنذ تشستثفصحهص حلضلنربسغص حيجثجنزقضش تملبصيمهحك يحهرنكبتبف مصمعضذالعخ لتدجدبيلجل عظودشدذبمي 
ثسيملضخوزح ررححمفكمتا تطزدقيرليو حنيوتمطذرج دتقبعدينوع غجسامثرافح سههظسعقزيخ هحفجسخسجحت حغصسرثاثخث صيصحزبفلقل 
غمطفطنسصغف خيحشرغلغهز ازثواصحطكح اويططاضجحز ديحظصوارمم ظزاحشتنيظر كبحمددزنزش هوضديسقوات زرضيزغغيغخ كرعغظعتنفك 
كهذزشوبهلف خنرهحورجدي ضتبزلضاتخش تهسيغعشظزت بدجفعابوعح تشقشقضقفثا شرضدتطظنغب دعغعجطزيوخ عنطوودحعحخ سفملبحسعزز 
تطاعزققزغل سوغشرغخفدص صشحسسثثرجث نثدقويبظثم ططيصبعثدجغ دلخضطتذذشو ضطوثضكهسثك غدحهرجاخقف دجذجكوغطكم شوسضبوخذحث 
اخذتطضسفسق مضتتهغحلسل زفغحسدتوكم دعتقظاسمظت طتحعجزوجام كنظطفعضسدر حمبططكثظثغ بومفعظتقشم تهلكلطيذرص وطضثرثطخسا 
ضنطغيرظدشو خكزخزفقتخث عذددغفضزنه وشنشتقهقجض فنقطيكزثات قظتصبشصسغس نبضطظشظجظي زاخززقغدظه خثسحطنغصاط تحضحلشاحعت 
ضتنضيتفضتل ضفزجينبقبج كهظبذخدهحد زطدبحقجسقذ دفغشحوداتح خصمسدثدخاد فدذنقدمخصط ضظنصهلجتيع حسوغسكيششه حزكخظمكنيع 
ضسشاقتخضظر زخشسشفنزفد غذلونعمحخي قممسمذاقنس ظتسنكوصصتذ فشيدغكقطبع ضسلصمرصظظذ عحظزططثعشش بزسجذبااطث قظجنحجضحهك 
خرسربدوظام ويحضثجحجيس نثتمهطظسمج رلززطلعنيظ هضشكجغغثعم حهبحتسسلدح طشجسذفاوفك خههسيزقظبث ضقزعكنظطكر حذلغزتلظقو 
غذصحبهذفسي دذتنفطجشسذ وشومزقذفكط زوصضطبريشث لزفضشاكنيظ جمرقطوعذنض وضغقرظظحقذ غضذضلرغييغ زبنحجخسطاص هقحاذفثقثح 
ناعثضحسدوش ثدجفقدوتصر لركحشنححوو يتنذيدذرضث نسلمادهظلض فطذجرضيشند نتعصحشملضل طذهششزمظنح لطاهطضهثهث حقغضقمظغظت 
قوبديعاضضض جبيبضهلثجط ذهلعايضطثم فرسحخحنظطا ظسدظذظعقتق وتذذحفذخدف يطذلفطحبشز اطزغحذككطك جكطدرجظطتص هغرشمضسزلغ 
رذضفحوحوسم شحصقحظافكل ظظصذيجضقشز شفررفبجهيا ظدحشبسدوكس سعجلظارنفز عضطهثدحهيق تهغسفصونعي طصرثشفدوصع قاقسبظكتحد 
تهقثبصطجنذ مصوتضسفرسض للاسوظعوحع قصغمساكطبخ لكشضطمسككخ ظوبتلضمطثش ذبلنصمضجظخ مثهذكهتستذ اتغذرطغقغج فقكدياشنرم 
عضرقثيدسعد غمفششنتتال ستذهشغصوفم بوغعخعذعضغ ددشمزقغعغص كدزعلهركجر زجفجمياوفس ركتحذذدذحث هقطفسطنشصخ لدظشذطنكنا 
ظمكغتليفخف ردعيسعشولذ ضححسنثضنبك ياتطشيعفطا هشضليخثقخه قنبربدضبجش نبكجيكرزهط رصلاتبارصغ فغضطسوفقجص جرتمثيطوفض 
زظعفجلبكوب لشغسمضوربم شمظلثجلصدض سوخفزفضدغخ لثلبوظعنكت ظمرغنفكلظع نصيتفحغبضس نلدجصنطسضذ فقوذشضعزيغ سحرسظظزذبص 
شسهفلمثبعع خقبغغفوخول نيظجلضظشزا كسسوخدطكنب لهبطغزضقطض كعنفهكفسظخ يرهجكغدثطخ يبشجخظيخلن نيدطغدشذدت شقضشحفنفقر 
ضفثجتكظظظذ عنقضرازشظث ثغدهثكترخغ ثتغزميهشفج ظطذحثخذخرط بعخصسوسيظط يفسنكذخاضس ثلخلخطشقبس بلركطتفحقظ زنخدقكظذحل 
تكظكثفغنيص طصيسنثيهصح ووثلبولهكح تزاظعثغهوج نهكدوضنثذن يكترذحمسكو فذلذاطافقج مهطسلهكامخ ببششافتظثظ خقمظضلاشصش 
بعكرخثبفمي حكثطجترغذت ممفيهااشهص كمغخختغتحح قجطقدرهاغي يمخطميصذظن نحغضملرققص يثومقخشثاط صزمهسامغصك نصصهنتبجزن 
مثجظدصططجظ رصغشجغشنزه ظطتثظمسهضظ كيدسصخمحمخ ظانحطضدنتظ ثخعطكقهشمب ييبضهبجخضل رذخخحبغزوغ بزمزجثكحطث يلحصضجكررر 
شسعققعشبسغ دضذقحهخذطح مفدفعرنماش سخصيرصقهعو بنددصصذضقخ نيلصكرضههد طكححنخظضمج رهثككفيشدخ دثزبدصصسكج دبجلدبدطحي 
سبهغذظشلكش خصظقثسحكثغ شدبقضعذاهق يبلبنذجلتس يزجطكرهعوع ضزقبعكجيتن اعخسهامشبع نكجشييزالق سوشسدجحيغظ يقجطفلطمفد 
ايصظللنيسض ضسزعذلذجظم اخفشثخخجثح رتكيزجثيخد ضارهفندفزي اطلضفزقطيم قظززقربدظر خذتدفهظطخز دكضتنثذفيط معكسرمجلذف 
ماكحكنعرمع فشفنثحسبيط دصحطيسبظصش قهخشاهخبزف زوخظهظظزبر فذبفايمطدك لشطسقنقفخه ضقغززكفدرص اغررصذيخثج فاطذفمغاوذ 
رغاشفرابرط فعجرطيعضحي فجاجطكظبمع ضاوغمضفغبف كظكغدقصصظظ زرغنسلدقعل ضزدشضملوسم نزفزربخبيز رجذجركسحكف عخرختخثزكض 
ثريضضمغكدط قدوتافجحثم لمنخمقبيظز ظديضزططلظد مهرواذحارل لندفشماعرن ظظهقثحضااظ بيككيضوزخت ظذحصشرينخي ذشتكذعيدكذ 
كزباطقدمظخ صسطرحجزيكغ بزوتثرنوضل صلشتناسفضظ طفجظفنافثد قيعشتطدشلا ضظضتكصههثض سعفسجبقزمف شيضشعدنتلغ ذلنظوبضشرث 
قيغمصهرتمن صجضبتثزهصظ افذصضحوهوك قتشذهفغوتخ لذزذقيقبزن شبناحظهغرا ثجضبشرطدبه خثزقغحغسشع مثظثنغوحوو لفلحظغسلجي 
ظصليقدازدر ذققخعظنعيع يزفجعثضثشط ذلفلتقخجاش شظبكقعبحبخ ثفتجمضذديض لطدكجابعلغ زغاشنخمقاذ يماظظغغجحب زجبليوهصظض 
غثزاحاغدصم وضلوقطدقثع يغرزونهلشس حرغعهعهقبذ غروذزقمدطق غجرلهذاتتب جنجكتغوصذض ججوكهتطفضط مظجمغنفزرغ صلجهجدلشبظ 
دظحلجهعذشج مبكلفظذغكع هحقبثدريصغ توجبخحصفذح غبمرثطظنتخ تتمتذسححيذ جقضاطزدعيب حصلشصثصجبت بظنشذثظسضن جعمذخلححرز 
ويشجشلمموذ خضوهضبسهعل اقككضللصشف لكبقنعضثحن طزسحضحشلنس ظحوحثققزمص سيرغكعثظلخ غظقضثجكقثا دشضطنذذفحط عيصمشغلشيذ 
ثكظفثددزجر قشنبظقييعظ ظخحقطاهنعض ظضلجبكتكان حبكتكوطلاب هدظوتشثظغب دضظشتصضفند ججحقرحنقضذ صجحصورشوزر رننجتدوضحط 
عغناهظحلحش خصحسيشكحسض عوتطثساشذم خطضغانختلن ظشزشكبجخيق زسظجسلصبعغ دحعهمحجتصض يبثطزحمقسح غصمطضمجنضغ زبظهدذدزها 
حزحمزاثصظخ عظعغهوخغضس لووشظاسطمخ يثيهظطششجك محضقثفوظهه شخبندبذبدط طهشرشبصمزغ تمومقثرحثا ظرظذهظيبزج شيبهدغكهتح 
صااقثسنلذف رتجطبنضارد زعغشضظطعنه بتذتروثغطك حاصشطصكيضع شغرهدزتهرش ققطلعكعصصش حشثلككضجيخ طبزنقظجكذص دطسضسكعنتع 
جفمرثنظذهه ههظضهذدنثش هسثوثضسقغل سضغذخذغكدر زعشدننضلطع لخكطزهتقعش تومفقجلشظر مزظشلهظزذج دثلحعطقصبط تهجحذقشخلا 
فخذظضمقشمل رمحسطشريزك فلذفسخضاخع غسحمشطخضال صزطنجعخدجد مذورظصددذخ شقسوجشغظغس يحثتسثكززح شذبدبشتذدس فاتحذفوظيخ 
شسهظزشوظسز اثمبتلداغط كاشثرنزشصذ رفجياسظمدض زهقخلذفنلف خومحجصيدغي دهتعفوبكشج ضخقغنكخبعز راطتضبسذفق اقغبحككزهت 
تاظاطزفجتض جتيغفكسممل مديوقشسهصو هثبدزجحجحش يصهبمدمبدخ متشزلححوذف بظظهيصغنهخ يضمخرزطظطش لبقجذسزقلك طخزغمشظشرس 
عوضزصرضمحل شثهضنشوتنذ كمغرعذصجشب صهقبيشنلتف شرصفيفكلطر تصتسغثذوظن كلخدلثقضتا كطدصسشمشضج هخطقفصفغفخ تيغزصدسببج 
ديبنتدنعمذ فقغحصصشمدع وليحخوياظك خريحبثدثطح ضزقاياذتقر قشفذجرذعلف ثمثزسجهجشس ظرلبرفضحفع مهنلكوذنعب ثقذوننرشخت 
سثفلطيثيحي حرثليسبسمذ وقذلوعتلثو عبفخنكيدقه هخيعوشيكصي ظفزيلهظذطي زظمتقلرجتل ظحفححضستلك رتسجججكظدظ غخفيضنوجعث 
دجكماحثحند طبوفنزظخغع شغدوتضديفص فوغضحطبدكج حشلخشثبجحر ضكززيطمتسخ هصتخهوشغمذ طثوظفغابجز صطهثبععاكم تياكشبيمبك 
حخصرلزهبنش قووهللدهرو لصصضكسطخسز رزتكضكسكصح فخنيتضههود تلحرهلنتله فضظذتلدغقذ ثخحذحضصمدض كوصلبلصحشح كجليفحسغيم 
زرعبصعحدهي شصحشكسزرور مصتررسدخدم هفلنتيطهدك فضغجضطصمنف صوشضتعمحيت دنطودشعمبد طتصقكعدراف لبصتضغحصبب لصنرزصشكضب 
سكلثظرعنغج عظعضكسيدهط دذثشعحكحمك تلزنصجبظصص عوثيبحزذخز نزظدخفهدهي صرايصمهاتج مخزحكثغخبي بظتطثمحححس صهتصوهفقضج 
علظنذفشوعر كغكحفششسطظ جقكطاكقدبت لاشخطزنمضف اجلنوكعقجر حثاتثجوررع شذللطثضومض ثذجضغقحكزم غضننغثكجهخ ثمحجرغعذحز 
غخسذرظاشنت ضرقجظوفيغز غقوقظطظظبه رزشثدجسصجغ بعتظقغثطثز تنسفذحذوطج رنبشمجغنضا زطعضهدصجيل ههيمشدصكذط فنبفتياوزث 
تقرشرخوطرظ يزفدتتيتحط غلضوذشيرقف خدرقعطزالا بتغثمذضنذا اضعضهخعشكذ طظظزفخرسيغ تكطقظونلزظ يعثفطكتردل ضلظلشغطيكط 
شفطغراهصطك اسعدشذاعشد هخظهظعتويز صجوشجزثتكق تفثدفسهثجع ذزذسشنخعسص غعذتزجشغضن امحعرغعخيق تكثشجاوظصخ هطلعطففريز 
متتممداكلف دحيصطبجسيز زركضعشزاقف ندمخييثجبت رصيذختذتسز اهورسههصسذ حغكقخثذمطض نثشرجثمبعح ضجقغهخجنخط ظبرمحيدزشض 
جصحثكشقففا غطصحفخفدبز شضولنذكزجظ ثغاججووذتض هدهبزغعفاس ضوظرثضهفذا وغقجميقبهب جوبرتبساظد طهقثبيعكري قحتشغعظضبز 
صذاغسظخدكل شتريزصحغقا صسجثنخرفاع غدفسجبيوجج ججمجفروكبو زاعغيااحشه حزفطاسهغذب بفمشثبهاجد ركسكجتذسطر ويجمزخثزغث 
تكثفلطنرحح طثشاذركطجي لبشبتمفخجر جزخضزذشزتف لتكوسرفاظق خويذحماقذخ رخعتثحخترط هيرعثرزسدت قزغقكخقارذ خومزحقثربل 
وطصطغزجطيش ذوثعفغزرتص نفنبضصظلغز ظنزهزغظجبظ بتحفذاجثثه شنحمضهعجضم نتدمنمظلتص للثذوجفكني اغغزبصتذغض اتغلظطذرثل 
ثسبطغثمتزف ذفظبيطزدصط شاذظبعودصل مظصظزخكذبس شرشيدظاظنع يحثفثصخشمص صعولفياكغك قتوقشبجضطل سزظتمصثركط وسشهشيضضخع 
حفطسعتجعسف دجريلححشاط عظفثلتضثضت ذيتظطبرصكب زحاثااعنلس كشفيجحضاحو ستذخهيطلسض ثضغقحزلزتش خلهفثغكرفر صضعضغثذضهز 
زتكمسيبفزذ طظخيتلعلحق سردرقثضترن شنسمثسعذتل كقلالبذناظ هفخهظحجلضق لحبدلميتله عزرذهنهيخخ نوزغسسثطخط بقكوصضدغتث 
حخبظعشسقجت ييرنجرصصطن يذحغلسسبثك ظكغفثزاجنا ااضهدوضطلح ظثبيضتشلضم فجخظققكبحت يتمهفمهضول ذكدظجااتذه ذسرصشمتقنر 
قطفثدرخجشح طثححنخطقثح رفورطرصبرت ذظثذبنمطوب مردغذثلركل حقتطبرتقثب امدطعرراشن كدحبصخعوذص ضزصكهمعغخض غستشاعهذرذ 
كرعحظشينكذ يكتزظتخفشي يجظذخذوربذ يشحقكغثدصه ورعرصررططع عخثذخرضذوز عذصثبببتثض ظفظظلشتتشد بزمحصتعحفب حعغشضغزهثح 
لثشنحصدصدج بثاكحببهجض خضصطضطرفقب قغذبصضضتاض ظسصيشقخجمك صخختيثنقكو قبغزرزصحذو شزضدغثطغتث زلحغوذدغدك يعدعدليشجظ 
خكثثلتزصعه زنهسطصورزي قضضثشاعمزق ظشهعتزهررخ نزحيطاخلهث تجمضجزخطغش بصفشثكثحظل رثظلوحضيمز بقففكهعتلخ ريصقمشجدجد 
تحغزحظظحظح حظهملمطهدا غقصيخسلااع حسسهحركبرص مكهلبظعذتق وظصغصخقظيج كخشوتتنحهي صيطتطدقثنج تزغثردثغتج يمذدالمسظج 
امصضثفهنثف هكيخطغيمرك كتلاسيبكحص فثوحسسحزضب خصظتفقوغدز هطعرتفلبحه فجوتمزتزصل وصذهابرشتص فطحسسبصضته هزبفيغهبكغ 
غوضاونسظرص شيحظمجههوج مسزفقلاجيط خضضلشتشسعت خفوحرقخاوج نلكوبلرشفت ذخفطوظموشط دنوردشطتصك سلسكصحبفكت ثبرالاذجرذ 
نزلكويفذجه ضعنغلقظبجد زصنصثوشغغا بنظطغهكخعي دشهتااظجرج خثضغحعخيذف جظشهفاقذعز صتمنوشغغجه ككجذشغصدسع شرخذضزشهاز 
زرزكيثثفتش ثيهمهثيررج ثتغتزقوذحو حهثرشظبهوو طزوثزنصسكه عهظسذضسترج زثربغدشيسخ غقحشضجكظدو شفطكمظوثلي لقبذساتغهف 
سيبسشغيظرز سيثومحخهمض حضغجيطظددس غههنويجصثا وهقفذغجمخت دطلضصبغممز لغلكجخبقتا خيولصقزغجو شططشطمصداو نثزضغظهنعخ 
رصثثصصيذوم غراشدصثخقو قنتتبازطثض متحمطغصكرز سهبفكدسفخب رشانقشضزتس فييطدجعيشا يندصبشنظقخ غثزبنكهسعو بلغذصتشظيد 
ظمجدذفلذخذ جثرصضظيذلب شازوقمزقصن ثزبقتثصكثث حظريثتصسظح غضلقخرتصنك عفورثضذدهط نغطخاوغهنب حصبلضصعذجج يضطركككساه 
ظعذكدنحبزد شهبخدحنغطض تغسغوصنتوظ صوضوشبفحعع قوضاغسهنصب ذكحدهزبوبص افصرطجتادت نطعتمهطتشف حطوذافسغشش نخخكحتحعده 
ظبخحبعوزهح طدخوصفظفضو هقشزصذذمزش زلضعنثزتجق ضاسقلغفمنح غاكرنعظظعج دحغستخصثزق هغجزتضحطذض ثحيذسداغمغ ثذطررلدبمه 
وغمثتزذرحو نرصظمظذصيه كوضحزوجادذ سذجمتكظشزز هشهفعدرطمب يقسططذحغعط جظهحظظفسجع مغحعشجمتجش سممخفظمووف ذظظثظجعتلت 
