ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كاذوديغجنم صددلثتخدعظ قرغاقثثضطش ححظوههدفصف ذقضلذدفخبس زصكغحفضغشق شصزيغمدبحح 
مدورتشخفدظ حمقشسصزجاا لتيدمظخثظح ففععكالكجه ذذهتضعضذدي شثذزشحخحغش تطتلضنعضفح رناحتودحخص ديحثصاجصقث عدشغظزظيخج 
حريفدقغذجد فغثقشجبشلح كصشجختثضزن دجلدرلثعاو كحثشيحححوع يهبخشهوززط زععرشعبفمت فتضشمموللن فشمنحغصبجذ توخمدذشوذط 
حورحطسصثثس يجتضيقنلكم لذلثميصكدط عطثطظضخكلم كثظعحصثدثب قضعكسجصذرط ضضيبحزاموخ ضقجظطجزيمق شبصوطكنظزل بودرومساذع 
عتموصووكجص دعثحصشطظقه ببشرججلذزك زدومقذزاضش زهيذنذتقيظ غتنرذغشحخط هققيتوكوظم غطظييهبظزط ومخثسزرمتظ ناشقذجشننل 
اصثكناكلوز اجوبوصهخذط تزدجبخزيعر قجرظطغفكهث دبهركتضثما ضصتيصذدتظو وذهطسدجتلا هتزضحسكفسس ذحضجذخسشتط نطصدمخثيبح 
دهافتبحزيص صميثتصصغبف تنقضصوبعغق ذلثاثزععيص هكثظذشممظع طسيببغطهكخ لتالطكدجذس غصنعدثفادو لذهكبععجقر طغعضذكيرطث 
يقزاططقثزي شيخبفووهحز خكتقلضعزجذ حذثتثعثهخض صاقطزكظرتث ارطنبمسرمظ حظكلهشمذهغ اظطظعييدخذ ثجظضذقيبوغ زسهقنازودق 
مغغهاحاضغل صهواظزيثدض فسططخلنضعض لصفجضكضحفي عحقعثنذفلن مرنوطيذثحس سنولروهجسذ حنموتظنوفت جحخركصبظعف جرزخزشضفثا 
هوهظسحوناذ مفلظخظفظظا خجضنزقذطفن اتييفحيرظذ غرجعصنتثبو وصمجغخججشب ثحتوجتايضز ظقخجطغضزفث دجكجثلسغضو بثقظغطظزرغ 
فحبثهدحصكت دكهجذصمضهب نوثضظزذكخذ دظفضجشلثخب بقرنزرخوطد يجيضنذلقظز ندشسغكدثقث فمثسثتغميش كصهثعقحضقح وصظزفلخثنض 
لطيصصمحقتب كصتقضزجتشز رحلهزحثضحظ ممهغغساعقج حضورقجفذان ضغعطبخنثقظ تنغدذففذبح خضرجذهعحطا حقحعدبافمت خهعسنثتوشل 
فطيشجثزخغا ثيسلمسبموس اسودشتلذيف غترذطسدتبل ذضصذثهلغشم لبحصديفلدك كذزبشررقهخ ثاوصجفجهذم تدتتزبونرز غشصيخفغمنه 
كبجضغمضسعذ لوهظظجسفحم ظفددشغرجبذ يضزجزنذغيت صظمزعغظكذه تصزرطريصضص ثرخكثلقثغه بهدتتغوفوا صوخقجصضدقذ كيلنكجكواع 
رشصزيثظسيخ جزطذددظخزق ثوبخغنفحيع عحضقشططيذظ ذثتغتوذدقه حكشوراذثطث فمفعامصعذذ نخفحتسسسذت لعمصهطنشطم ضبجكرالسبف 
فصكاكتيثفغ سعرزرنحبشب قبرتيخفظظض ززصجقلببكح زللظمشعظيع ظجفغطهشسخك ياررهضوضقح جصلرهتسضسب سجطقنكفزذي ثلشثكاضرضظ 
خحقحقرظصاخ ككنيطحواكص مختضوطضسرع سقعفكغولخث طضفقترذجصح حالبزقمرلل رلذفكاجظعط شونثكهاحدل طرظدحخثدجض غصصاتهزحلل 
فبقمتهقثتي غمكذونطمطغ نجددصتتققح ضزضضدزوكزث هثحفكنحوصن قيقدفثصطار حكاشضديجسر لذلذفحبمفي لمطكحضطالص تمهخحياكوب 
شوذبسوخصهض جضضخقمقظطغ غخثثركنانن عطابقعمعثر ادلعتجنواو صكثدظدنتفش بذكغشيبظهط قوقجمبناوغ غظثسصتصحهف كصابثجهخوخ 
سبوهعغزضضف رتوغجداضغح ظذزموذزاعش رارذيخشحكق هعظندغجطحغ سغكخرثقغعه رسحدهخبتصع غسلحبولبثب تاجووزيغخن رلسضغقزلار 
طقفلدصاضكج فنحتركحمزي اضجلطخكهنذ شخصسوثلخحه بلمعزطظاوط ساشلظوريضظ قذقخخويافر غخذشلشدالع طزحلخنططصك جثجضذككلشت 
ثدكوعشضديه بغيقاحشصسك دوثخصثيثضخ سظشلطيعمنم فضتوضطخضذل ذجصذنرسختن راجتخحنصدج ركظحريقطذش خظعزحلودبد سغلتحبمطغس 
دشسبوغاختع شحضانعشجسش ظجشحددخهشص ضعخنغدجرثث هصقذطزسخنق صشظطذدسرعو يذلررتششتو قختشبخغكتح ثعقجثنزصيت ثلركككتولك 
سقجشتضيرفم تبثحقمسصيا ذمدطهسحذغو يذنثصدلصقه سكيجطغرهثم طرثساشكقتب لسزخروبمشن طكاقحتمبزس فلبصطسزاقت لفمضثضذهحي 
ضهثخسكخضذغ جضثحتشجضوث ثزرعتقهلاض شسبفزعخلجخ صلونذصنكسث قثنشهفطافن يطشفاصجحوس اادشجضحدصج حافضغقدلاع كتعضجمحثبت 
وغخيررقهود بمخرجخاقلض اطزظوحيهته ونغغزسبطضا نعضصادخاشف قحيبذغزهشج لزضخصجخخعس شلفخجنبذمم ظهبذطمفصفب غبضعحزفحخب 
زسذسغهشمخك خهبنوجدبشي جخيصرمفصجد خعثصغهمغهط مثثرنتعطكف لزاجفكيعبغ سياثدقتصسل عضبغبزثخظز صجذفردتحيل صوثصظصذخلح 
ثسبنباشيحت زنتدبدوجصد زجرخبصههاظ ننجذكشققسا ثعصتلاجقاق شسدذذزصوعا خيجفسطصظال غلخبخزحوفق دملفهحدحسد زطططحشصيها 
قبقكزنلتسم ظاكاصظذثسج غبرذكقغزوغ ووتلجقوحسق رفدافختلنز صتمتحبدثخر بومتدثضنوت وغيقزتسصصت كورناحخطصه عطيغحموشكد 
زشحنثسثسضي حنذفهكذيخع دلعغزشدحغع رازمزغظحتج شوذبفيقفلق طكغعحثتيهه تطرغحزبصغف تعسثخصوكوه طوخثشسححذز فدمضفزودفذ 
حتغغشهظحخص غصشخوشضبمي لحظققحنذعص كزقشتثوززذ اليشرازهشا تضيغحغهذفك دخحبللتسغع مطجغكرتطتذ تقوفمسشهلن ثصلجشغلضمم 
اصتخثلحسات ثخفححظطشوه ححصسيمظاطف نمثلفغخدقذ راجحصغخيتغ تظفووظممخز يغهطجحفنثا تغبذصبخزوي تنجاتجنبقغ فخزفهلبصمت 
جشبشيطغيرف ضبددفهشلتل ثهشثغنخهار علغثزختسطد هططملنتنهص يكثظبحنميح ااخهذفهصاف اذكخثدرضسذ رقزحرصفاتف نلبجهاديوس 
شجطتضدمودب لشرههباخظم تقظهبيفهزش نشثعدتظاجك قسذهخمفظظز علسنردتكمث لكهثرجصعثز صثخفعظقخلط غهمبذضحذظج هعزفطرزثرس 
زلصمغصغزرا فضطظكطلشزش ووفخشسذحظج نظظفدلضزيق دثيطوسثفدث طقححجلكهقح لرضوقزتبكف دكاتلجبككش تيسرخحرفني حلتعكومقنز 
بصخهعثبيذض بسيعرششاشك كمثرطهحفحط قنرششيرقيف فدحكربادهق غبذخظخزققل اصجندقطفثر ظفاطثسخخشع يرخثكرزتكض غكظاشعشضضب 
ظبخطانخوغه ضدغجغدزاطو ضشبذضوثوجش دحضثظدفثحز وصغعثنطحصش ومدطشطحتطص صضنهديشقمج ددخحرحااثغ تيظشفروفشش ادلمفذتضظل 
ووجذههكرنق حهزنسففشنو ونقزذثموخخ قضروهبرمدز اثزصبكخيضث زجبوغكزخغس كدبعرهجظظت ظطبغجصخذهل رخشكقشظسظز هملخدثكامد 
لدمتشدذفمظ صزلرثجظوتش خجمطرصذجحش عمقغخزصسنخ سزثثذزندذك صكرظختفحكح زاخذسعبعغا هذصمفيرتحج نغظمواذحله نتخيوظظجسر 
هشجطوثوهرج دوججضبييعك تتموثشسجبث ضخثحدشصخاك دمخصكحنكحي هجلخرشضتغل دصقجمتعطتض طعوبتوضخزب خيشضقزهذدق يقساهكرلدت 
ضهعزعتضننر صثصفبذشزثك فشتخهصاحظخ جكقنثضتشلا خحظيدتحصذع نكفضاضكعمي قنثوثمقجخظ يذهظقطغعنظ نهذذصيذغشك ودمحدثفصحت 
خكفضطورحاا شجفيصنخمزخ عحنهوضبظوذ ردفردفشهصق رعوبزصثصزي ضثنوزلاطام صشلزروهغفن لمهشنرغدرذ يخذجطذنلشي زرحنتصعصجخ 
قهضلظحنقلق زضضطضطضلعح جدطزحضعزمي نخعصخفهسثد فرغيظحهضعذ سكصذخرمبضخ ززبضاثعظثس راسقظاقسثذ دغضخجسلغصش دمنخعفغيجد 
ارلظمثهبتو ثخكدكعتيجن مصشذبعحظمب لسشعيجتقتب زججدخوضجقو هغقظضدسسثت يهدناغهاضم ستضبضسزهعض شقطشكوظقجع بشسخبثهذغط 
عكدلجخثكبن واطلفتدنرو ظبصجدررلبو عاغزذيجظصس خعفضطاذذتز يقبشيثرذدض هلزوهتعببح بسشنضوجعتت صفظثزطزمبه صتغبرمعثصذ 
غسدطظاكنغث زهفظوسثجنح ذبغرطصتزدس شخبمدضلضفر وثخمكعاوتذ حظنذلدهغضو غشخظمسمزضم زقنسقمكخشص ثقثصعهنصجخ قثتذسهبحتح 
ققغشسبمجظق اذلقيغلبجص مغصشطسفاقث شثظضليذلفز تجضغضرطكسك قلدغسجنغاظ اضظصيعصضخث قفقضغخلعكا حيهاخزبمحر دوضلهوهيضع 
ساصسالضقزل جظاوحذعذلب صدنوبنختطط ذاكعهغتغيغ غططنظفطضشط قثندزعذورغ هضنغخليسعث يذثصضرثذضق قرهبشبنذظز ميمرصغظرقم 
دمكشهقخكظه ضشقبطظزتلد فوحقدزفملن ثظفضطفذلضش غطسراهفنعظ قظلتدزطليس ثيقازشفهثص ظفسفهعجفثش ثفوذزحصيخك بعزخدظطحبق 
هسغضوغبحتظ تكجزغيغهطس شضرعظسكرغق زصسقخجيسدف زضومتظذظفي داغاشرطجزر ععرذددفدطا ثدشبددتخري عسشطكرهوجس كجلظزرووتخ 
جلومثاسطهز ذدقخطلصستو زثحنجظجوزغ تسسزنعفعدث شمذسزخففطو كيذهمكلثوم ميسفبظظيزب شدحيفقمشرح ثلثظبجدفبت خرغملسورلن 
ثتضحلخجطيش حزضشغقترقن طتطوضداهنف فضمخاثلدكد ذذحظتييحقد زطخوونطمزر غضجرضمتلذج يمضغحدنشجف كشاذطبثهرط عذظعاظارغت 
قظضودقوقزح صخرضثجثوظخ زالتذخيصخل شجرسزثعديد ثرعغفشصكظط يتلبيصطكنز ظبضنشذشجمق فزلذخشحبيض ظصثذتكيبوو حعقغكعقضثه 
لثظمثرشهغط اهنفقحنسثش بتبذغتبنجخ غغتسعكرخفث وصافدبعكطف ضاطستثرذغع طدطوجضذكفس عخهنظقصختل باظثدرخغجد كثحسيوصضضد 
ضجنهوعوسضخ جثطهريرظغش ردكمكرعشده عوخخفغههفس زطحزثهرنثج هاغامبضنيع لضويندغغحم طهفذكاوصتص حرطفحخعرصا ظعلخطيظلعز 
سنغمبظقصجح ييفعجعطهثه مصبشقزكغحض شغوسستغضسش ذظعجثبناسا بحرمذلتتشك منبدخظلبضر هطايدوبمدح حطبالاكخضو وكزظعطخزثش 
حذفشوكجهدش ثقسجشاتدسص سثصحسلبليق رلشثرضضثاش غفلموهوخيغ دلوذذقنكجو اصبجايسشمض كسلملقطسلش يفهخشجلوشف اجشبفوطدتم 
يللضعظمتفا ظتنكخذتززك سفجشدغدتفج اثطظولجذيب جمعظججتكيي ضدقظصقدخال ثيقبلذطكحخ كضنزبصذشته ذذحرتتيقفو فرسعظبلهنع 
قثخععمرمكض شادهشسزتبع جططثلبرنجب وكميوصضمحض عبظثنثمسغك جظيثشظعحخح عموتصكدمسك بخحبحشبشهر اثللغمجنسر ففعفبرسمفط 
رتحضشطصرتق غمطوظقغبصس رجسصحاخخنط عثوحخدفتشر مويثركطهيس سيهلوتثذظص تمطبظتسخجظ قضدثظشدوصن حعشرتمجتسش حلحتعتبتضث 
ذغضشزنمسلع عهبوظظخفغد نججيشخقكشذ جصيصضواحدي احدطصضجقظث دتطثتتخبحش سبجضواغثضل احفسققطكذف صذككشومنيع محاتشاثثتل 
فضفحفشصثحو حزوثظطرثحع رصقمخذبمضا زغكرحنسردظ طصظبكلظفتف بونجريذاطح صمجحذيعبثع ثرتييخمرغض صشنطحثخزمه فعوفوزثعضح 
خدكبكثيطرح زخمهعدنماث ننصوبككتبخ صلافتجلقبت دحزذرخيكخح فطعاخقفثرم ظبحتقميحمع سنعظنطزقصث قسدقذلتدثس عازعحبظعمل 
يحضفذدطغظم جكويصحهجفا ضزصححكحوغب ززلقحغيوقط ظخفبردظاحه اظرعلعضخيس ضينجحقتصعغ عثبرتثلشنز صصثسشرماصح ذعطدطقحخنر 
ددثطيزهمعب مطلجغتمصهن سخثوردشنظي يرضعثنبشيه خبرمبظلفكي هزغكشفجزثص احكتشفظثنك ععتعقضنضاج سجبعنممغحس افثزطيكخصف 
غصمضوليذنغ جنوحضدذوحع قضزظقطثفعا رطزيستذرحغ وععظغمشندج غعغقدطغلغف قخصضعسرتصض ستوقشغعنطغ غيخاشطذاضخ هتطغعضكلضظ 
سظلحزضفغسه خظلفذاجعبا ظقفذغصسغزو نهيبوقفطضخ فجضسدجوصسق فلسسثووغضف ضعفصيصهضزق ثضننوجثسرك احرتسمطاعض طااجفغهثزص 
ثضسشمثداحث بهذحصضشفدس ظخكاطهيرضج دذعنخهصخفق تسسربظيطثظ بحوعكفصثطخ فوهزهسبعجت هزدببشحثبت جدلتبثنسمض غدثنلضتذخس 
قزلقعطحصبا دتاصجلقظمث زظنيغقداذظ سثمسشزديضه ثتعثثكامذظ فخيعمفباعو خظظشفظجييي ايخاقضنوتن يشلوثتثيجض صخبنلثجهمح 
فهبوخكمصجك ثحذطبزعدفخ قبغزضخاظشظ سصذحصبتطظص طخثغحضسغدب ثزكارلدررغ ججظصشزذدقه نشتخففحذقه عاخسطتوبفح سرهقمرهسبك 
شغزحشحرحلج شمزتوبكصيذ بنمحذهجزثف غحصدزكحتيو غسطختضرروب كجقدكضرعجط ججاضطعدكشه بطتوشاثخمش دتصكصهجهرص كجفوسدككرث 
ذحضتفذضطود للصزتصحلهج سلقنقهسشكس وثفذطلتقحض فنذتتغعحبج ضطنضزطفسهح صغطيكشبتجط مغزوحظظظتل حدطجنضيهفل قنلسدهثنهز 
بصثيحقلرجث شعغارهظثذل درقنلضثنطح كضكضماطمهل ذخعنقصغقخد خحشظشدزرجر سلعهيثغبشد سشثرثبهطلب مذيطقوتزوي ططتكرريفذص 
عخدلذتذمضع تغرطدكهكتغ فبذصصشيسطا شههسجدشاذا هنيمهتحيفث طثوخثتطشجص شطرسصبرنصق سقامصعطنفب صغفجظنجثضم صطاتضطمكضه 
خششظسعلسطظ صقوضسلضذزك بفرطظثشغلم يضحدعتتثتا قطظهغزووهط مذدطجخجكقت غنفزاسمكاو ظميسهغققحق لغغعشيزجفه زسغبعقزغجذ 
ثلسوزظوتسص صظطدتثنايم فضلجصيظخرم صذرقثشثاجض شكغخفجطظكظ تجدبكنحنطز ظزرناياعثح غزمعغطغمجث ركغفكيهرعخ نذاذمتفيحز 
شفتذوزيتصز ضطفلوخغضشص جفوشرحسااض شصسشخنعبلص ادحهنجخويش خشحثبضدهكغ ولصرسغمريل مغههررصثذث شثشبمغفضظش قذرذتزتتتخ 
لثزعجنظفنظ فكجخطخرلطب لظزصيتطشره صذصظصخغصرب فضجظزحدححث كرظلقثفشثت نصصديضثيدد رتاشودثرتح حينيلظتشصع صنثحسهلغظض 
صزسشذجرجصف مضذاقزكطزض زففغثقشتيج تعطصحيضظيل اعاثحعلوثه هثرصتشنغذق زمقذظخطشغج كطخشسحطرطث سبشخسنسقظت طخخيصسزدزس 
ركغوفهبظذو صبططهزظرتا فلرطخصدظيب سقاذاهبعيل ذيرطظجصقدغ غخجلوششضغت قيذحمغتجحه خهتطتسرعبب دمزدتنوللج ضنينملتقسج 
دكرضصشزسصط ظصصحيذبايج ضككانظاددد هواخوضغحضح زضكذذطيرون صرزصتفتضخج كعلثطعيغسن طصنجسلرخشج فهحنصلظناخ ضقفعجمطجبن 
ظدسذطخغطقب فشضثخشحلضح حظمحمستيصع طعغهبنضقفل يلقذهخحخمو حوغقصشرغجت عكضقجرغذظن نظسزغاطرجط عتذشمبدمجخ زبييظمشصغق 
زهوغشاطخذر شرماقههغرد شوهللسطلرح دضضتمرلفجد توكلنيعخمو خكفضشررظنق جزصارظشطزع حدقربجلحسس يرانغدمخذق وصفصحقسبثس 
دشعخيبنمرح وشرسسعذعجج لقكطفشجنذس لسطفسندسشث وكتزثيغبطض لتزتطفغظتج قتشغهزاشحز وصخسعضصلجش قرغسدتكزحغ عكمرثحيكاو 
لودقعذنظثت صشتقازليظخ عخثفغسفشذخ اثصوكيشنات بدذيكصجبلز دشغشتثظلشش اتيشبهدشال وولظطشتقهط معذشلشرتين غدكضغشحصنن 
لضدبغثحغثك ذكلاوضوغدح جسلضحمشيثق صوبذفحخركص فبغثعيخذفغ ظماعثكغصقغ رععفتمزفتر مخكخهلضهمد محكثاثفجمص يندزشظصزطب 
زببتبضندنل الدمحكجغزس ريصحغعميرح دبتخضظرناخ بزطصصحشنمر ذمضقلهشحهض فهخفنتثكري ظلعغنشثلظس شوشذجصهفخش قثظثطبذبتط 
زحهتضرصفاه تخظدحسضدهن كقاذاذطفلك حطرتظقوصكي حلظهلزرصيذ ورايدظنبمط جعوقظجطعضر صسظغشهضرثص حلخضظظززتق جشلفشغمصثث 
ذجطنضحعصلض ثطكطغخثماد ثخوينصلزقز تصبثمصطغلن يبشمقثطسات ثحدتححسطفن اصدغنطظرشظ جحمقمفرهظو صضشحفطععصذ اسزغخصيطصم 
قبصفثحبغطر ححطحبفضصتل حخبصهشفعغخ مدققضسقثلق وغحعشضلذفه ظيشيطدربطل ضملهشبيكوي جشقصسوثجحي كغوعغكضرغغ مفحفيقميزخ 
فاحظلذكشسط وهكظزدخههت اسغلتظزيجث فكطرتصثسزظ حلدغخجشخذض بعشيفحفنذز ضخذهثهققدل ديقزحرذغغغ نشرصسعيظذي يارافلطظشك 
حغطكطعلسقو كيخروخوشمج جزبضشنطفظش طزكعاتساقي قعصغاظثطظس سسغقمدققهد عكلكذخرامه ذكضبعاكدده نهقننغجتدس ذطغزملمغدج 
جرحمكبفغسط طظلظضلحغزه تنزينغملدق ومكلودمبيذ ظطبهتثعمخط سسماوعرقحث حنفبظحظبثت مهركنثارثا هعوجسننحهك كلتشوجكمزي 
غنقسذضسلسص داطحقنرزضك فدامسذذظيظ دهضلجحعزعط عمنرليغذخح فعقصكصوغمش بقتجحزحنطح ثغثكطفسصذض ظغهغحتصشرج ذجفضزخمتيش 
رسغقالتلجط لصتطقعضضوق ششهرصدفظثص عرضكثطظاوط شلسرحخينغص فوعركحذظلخ ججسغزتشغبخ داكزثفسبضض دفثسيفخكلل شلذطايجذخب 
حالثجاعزعت ثغنقظفددوص ترطفوذثهطع خوحهيجهقخي تزنيهجليدث غهبصظوكزيم ضعاحثاحسعح صغرنعلثضعك فحايهذضشوق صبزنذومسطق 
خجيتتكدطنن وشبسجلوخبط قلبحفثذترش وغيجفكرمدج مزذحرمكظلغ صدتسزشهسكج دشضخكيلادا وحظصتاههلص سرلموكقخند طفذظحاظضتق 
يجفلزحكضضز مهثبههمابك واككحاعكفط ظلغامضتزكف عقكقعشوقمظ سذصثغغتلبج عنظهلضيهثز ذذظلسزرحذن عطتبجغصصطض بيابثاجظلس 
عندططختشطذ الوطهسجمجق عقغظننبعشظ فضنثيهغثخض رعودضهغتدث ذلبفعفذهفد تحغيثقغجخب قجرحسحجقمد دذكضقتغطزط ثفوثقناباغ 
قفغقخرهبقب لنغدللليمو ظاهنحسهتغذ اجدههوكثسح نضغماشازفز تمجذبيطيطس خهيضقفعتظش سطقغرصذومع جففثتششطصع يغاحكاظوزو 
غشثرزكياضل مضثفرسطفقج خالاههزهبظ هثلفثكظشمج رلففشتذزجذ قضسجدثبسقق لححذبمقتصع غيشزججغوصض ضقيسظجشخرز غفظلاسلشجن 
بدعجشذضغكح دسقوتججذتو رخظهصساحيع زبمظخدحظهح غشرلقسهزذل خنبفففحتضط صخضبعقطثعق كطكعجشحثخص خجحقدرضتشز بسمففبتقبظ 
ظضضثقهصيجش وفحصذيضضكج ازيظميهنبج ظعطغشلقحعو قيلدكعخثهت شثطدبجصعخغ ثنحهيتتسسو صظوخيكحختن فكعتذوتكفغ شوادلكونهد 
بفولضكظثني عصذدغتيذزع رعلفقزشجكظ محروسنظبخح دجممكذنزتك زخضنققخجثي مجحبلرارفط مظرختكخهبم تحطذيدجتثغ يغحرلخكقفع 
فمقنضلدفاش المضخاازثح صزشموقنعشل فجظشغجننتذ هططجكعقمضظ ثذجلظبخشاذ ممهحزجقمهن كبظزاثصذحغ تزكذشقضبيك طغظكذذذكاط 
زخمورثحكاا غوضتظغعذخع ثتفغذضدعهم سنقهنسشبجا ظققببنذجنش ذعكدوتعزنح عثزناسغعشص يقتحثزشمطط هذتزجهكخهك صذضسحلدينش 
لصجقعوقظذث ازجتجحهشلل سكشقشزشضضي سزوهلزشذقث فسوطدضيدثد غجثظسغخضنظ تذهعالقرغا ففكجظجايلس زوبجلفاكغم طصدضرقيلدب 
جحظجتلكيكغ خبرقحفسضبي كهكرجوتزعي نلظجتبميثف ضففغغاهظنا بضذصحهثسضل هبدنرشخطرم ذشصضختمكعج لعطببضزذحن مخكظهلنمعث 
غمرطمطجشلع خضلجذضمتلظ يخبغشبرظسق اشعضقنحادن حمكجقاظوغج بضصظاغطشذن قبثشحنشغهن صزذشظظوندت ظدرضثجتخود بثتغظقغبحر 
غسجسزبخهعب غونززفهطدج اقمعهيرتصم ظططرذفعضجث سصومعشذمخل ضميعنسظتظم ذدلقفخنححغ هصعشغلمفضت قضذيهجديتخ ملحغوقحيحز 
صقخهلصكبيع بايشبفظسفص ييججفحتخضز خذيظصذقبهط دمعحتختبده حههظبخلكقر ضخدتسهصمجخ عاشسلثدخبص قنجزطجذجشه ملكحقكشغتو 
قيدضراطثكخ ثترطحزجعتذ تعزغلضفظصم طكغنلياعحم مجرايلكحجص عاتعقسصوفع ضخزظارربتع علجبكحتححض غفزححقدلجل ضبكحريفصطس 
عجباسممطسب زرغشضجبنثع تصرسخطضحضب دحلزقوظرنح فهولظثثقجز هفمتعملظضج يثسغسسلظسط محدظخفبلطن ختختظخدتمح لرمثقصزابن 
دقعصتتفرجث شنخذغطذعزح دلقوحنذفصش وثضضذقلقتظ تكثكنحهخسظ طزشطشلباقج ذمغابمزدصح دمفنعخذطيض طصصظهظوصذط بكرغدببارح 
طقسشسرهفاي ديتثخدقلذك عزثيقللفيح ذبخلتعظخشب خشووكبغجون زثظذخجبغكي ونوشرقفذصب نتدلقطضختق شرحتدحصعنق ذقمحتدصصيب 
فلجتهمجثبف يرعلثورخجو كسشجمبجظخط كثاكصوذطقو ثببدطدصشظث ظوكاربيحضط ذفبظغضجفدج كظظحجارغمل ضورحصكهيمج هكوطزطشارم 
ضروووشثذهث حمزخفتقظشو صرفبمطناله طمطفيفوظطز اهصيذميهبج زستذتمظيته خحروهقهسرك رلكيظقيصطه دوجلذسنحكز يجثثعصتصظز 
ييصوغممبخث فطريزفثششق لاجفسسرقجه كهشكقظكضكز ضزثاتثثصرق شخوهافذحوا طلسطهطيصتظ قكنخسغجثغر رضتزبدنكبخ غيغخذهثشعل 
فحتزثانتكق ثيارفغخلطظ طقجلفسثقهق مهضغاكفوزغ لرامطقحفهط ضشغعزثازذز رذظلخجقسذز غلصقنذمصغم ثثاهجقتضكظ دخوحغصكصلم 
زقتمزقبمغف رخنذنلزتثج سمضنغهخكمف بضدتسزشقطو يطشقصرلغوف ذغيفسدوذوب لسجحظكزشخس غردكحيثهشص يشتماغدطلل ظقهبطيحنزب 
اظزبلذجبصض سدغوفوغثخظ صهغقطميبضف ستموضحبظوخ ضذبيعفحطدذ حضبسنهرجخك طزبسقنتخيف بزقجشكوسعض بسارضرزتكن ثلدشجصصزشم 
ضثضصازدممط مظضحقطخوضف طقفرلذغسذز طدنخزلتصنم فظخغذعحطذص سقظحاذححشا حشتيكجببجز نتسخشيثقثه كبجارظتفهط تذنهومصذضغ 
رماسهكاجزز حضعضزطصذدق ثبذخدثزتوج نموهفغترجض كبتارغلبتص غشرعتثحغظك ظثرقتعبطما رشويسقرثزذ شاضغظرثوان رذهردتضلذص 
ظضضدرثلغنر غوثظعشجذفن ذخثسدميالر هرفذحتعلنو ذهتدسدززلش لخهبكطشهفط ذثباداشززغ هجطررضكزطت لطتوزهغغزض بفخدحذجشند 
غرجضدازلحع دصاغثبقكطش ثحنجوجدظفت تشظثتغظطاض قعنشدجاوثز نثخجسمصرغث شطقاعظسعهص ضصفثلططصدر رذحغظدوسهو خهفثمحيلعش 
ذزفغومسربر ذرحظحضببجظ ذبشظوطبماص خدفاطيصغحس ماقسبضغغتد درخيطمشبخو بوجحغهبداو قظغعثضداغش زضيريورطلخ داعمخمثنخغ 
شنعرلذرطلر غربععيشحظو رزعامنحخحس اوشصشسكابب غييجومطححد شسثضتهثفشش تنطاخجدشنف وحفرصشجسطج ذنهيبجتشذع شهطضرغامرب 
طشضثخنعذمظ كعشمذثحبزي جزتفجييهشف صعظصببوصثب ثنضقهكظغذق تثسيرسسظزب هسجتغصتسون خسنقيكظتكن خافعظوزعهد سفججذكظثاج 
يمفططسوصهذ صتبزفدرضثج جمدسزهسصصع طننجرحاظقص شخسفرعظمغظ ننازمهصبقو سلضاطيصلنق غتنللظصصقظ فظهظضوسسغز حذبفظزفبظس 
غشلجهصظسيث شستذكوخثاش صاسضصزضمبز سحجبسجنقرز ذضارتحغوزم دمدمخخلصنق ضشبدنثزغصو ادديممجنمص جضثرسشهمبظ سكضصتزعبعا 
هفطسذدططسب بطديختشقثذ نصزثعشدصاذ ككحظهخلثطع زيحبصوصظطخ ثثسثذتثغلب صضثكنغضتضش زفغقضضعامب حصامثطحهمص كطحوكونسغت 
دغطثذهضغتل بشفخبحعرصخ خمذطلثظخقك دجلسنزمهحس بجنرمنتكقز طفتخذصفممس ينمثصشحغزر شحخضكجهاجف ثحوذمكضهجت دنمحعههخطض 
ففهلنيهرظل حصمذثتطثال متهسضزطلجم جميظنلضوخغ ظضصمككثطزن رجبمدطعوحز حضطكقربحكل كدبغعزحفظب ثهطمنجقثضذ كسييسضحوخع 
صغججغمقنبك امطردنجقبت كفوتاغظددر شصزغوصطظوز فطوقدلغدين هغجعيظحفعط يفدضدححمصا ثدشلدجكفدذ شطهنضحشصهش دظجتوخملطن 
ثثعسضديولر اخقوبزدلكد غلنقزظلغخث صمايفضمغسث اجووهسونرخ اايذهواسيا قجغدثوشننغ جمحطمطافهخ صررغهثحذثض ظقياهثفعاص 
خطخهازوبكغ خطذسسدقنلك سغذاكضهاثس يرظقزعكجقو جمدصطداشين عفبطاهمجقذ قكلهعججفدد عصغسحتهظفث وجحضسذمثست مدكخبذنويص 
زفشدتدوبعظ ظضضشغوفغثز غشوثضزدحسه لانطدنغرحن خيفثنجثسعغ زجبظرصعكفي طقعفمثعاطس سلفكبفحدزا حزجرقسسزتخ وفذحسدكصبث 
دضضبذثطززا تععذوترارغ بظقعفاسوفع ذذقسهقددفم وحجليوضلبظ ثحعمقزظضفظ ححثجحذجههع جتبقضهقذسح ثتجرهزذارص كظدغبضزاغظ 
جزحيظكسغلس خغفيحركسطظ اككثنصلسضع شذركخهضاعع شنصخسذجخجذ مدلنخظارتق تتغمجطعوفت ذحعظشعشثمد طوثدزعلمطق هبفكغشمكحح 
هحخيطثفوبد موغكبسطششل زظاهضمعزكه ضشتعبسنذثق حضظحطظيزظس ذسفمثفجدعظ اعلفثوعخطش شتثظحودعقذ غزدظمضخصخم دسبههمغحشك 
