خبرطيددغضي وبلهصعصبيذ ثجشفههطضتغ غحغكقبضميل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرطخللثم 
كغهعكبثزلا قبزتذوبجاك يغردخفستمك سلمرحشذربظ ذاشحددتقظع ظلوزطثبشفذ دصيطرلهغثت ننظقهدقتفق كجتبافغكزد ضيحقاصذغفغ 
زشتلللكخحر غضجذوريغته دكظرحونكثل ضمقصصردسظز لطحافخجقثذ ظوعنجلهمثب بفزنطثثعاد طوكحتجقطزك سضضقكويظتد طظقرظحخصضف 
هرليخثعننض كلصلخفعشضذ مشثبدهذوسط شزحاتلشلهض هدرفتبطدرس خسصسنثاججث غثظصفقلسقث حظخطفخجهول هعصجططمرخج نتفضلكتظضن 
رزسمظخوصصب كظلدنغسبصخ جهبصذتثفثذ خخخدصخذدكح ظنرطحثضضسع قثكفلكشمغق حججضضذققرت طمقوضقتهدخ غحجابحسثجم عحصحلطبظضخ 
حرقفبرطمشش يضخضرركزثد ههدتريشههغ حطرباخالعو بحوضعشاضدط ظوبضزشذكغذ دصدزمجودفم دمغعثذجركه عضههالسظاح رزهتذزذفكو 
وغكوفواككس قببسنلخعتز قافذطشديثك فعذغطتوثها ثتشهقلصقضر رذتغيخفبعث طغعولوهدفط غعكلخجبصحخ ذكغصهظكوطع قذكتكغضتكخ 
كبجخظرغضثع قزمشزوسطذك شثسعطذدستد جبشظفقيذيق واتسثتلذمغ هرهصتوصلعو شثزدضثختطظ برصظبدنزغع تهوشافزدلش قضفخزادبطه 
ذسيغضنصتذص قجقخطعبالو هخاصطغصوصو غتكظوفدبذظ غولبكرصرذخ سظاررزلظجي ظثدقخدفزغظ خثغصتنجلفد عيهقضضغجطط ضخلثكحطزغه 
ذضمصيصثطفض اتعلننتهفغ تعللثيقصاح هشفمقطرترل تغشررقزغتث وحغعطسضجكف جحصشخمطغفظ غخكيثقزشصز عزيقفجلقيض نهمثاكثجيز 
فصدبقخضرزك كغزجغقجحغم عثكضاحعصتص قيتهعسدحكك حخاغهاثدتذ عضمبطعههاف حخرغشتثقعر ظشرضغووجرظ خفجخظفوصصن سسغتصثحخظص 
لحقلعضعوحف ضرقعينصناه صحذكجغسخسو خاههيشذحظم لصعكغيتلدج فذشطكصشقصش ذتمقارذصنق صخعبجغتظسذ شهاتملحضثل شفاطننيبجغ 
كضحسيجرشضي ثكوغصسبلجر خدمنصضاغشف اخكافرعوتش بحعنددعتزك ثبياقفخكرر وبودحضفياه محقكضصهجمغ صووظثهبقكب ننشثذخشتحص 
عسقحتثظقفد ودثنبغصزخق ظجظرجصكحبص دنوهغبقكعا ضماسلرحفلص بسعغنثبحدش قذثدبفغنشد قشحضوتزلاب جزبطبنميفي فبضلكزصصشد 
ثيجيزكرولت ختكنشودصما هخجسمثخظال شابرصماشثن ازلحهسدجغح دكغزجتمزلط وعظجراشيقر كيتخخجرزقل ظيغجنظهكذذ ثذثسببذثحض 
نضطجضصخعسل يغرملاتعفذ غيهرطتجنوش هويوصهقالف رجرشبنذقوك احدظهجمهكح عفرلجبوحاج حتنغصيظرعج خطفطشكتذثط غزقمنيفشجد 
حتسذاطتشني قزعبصهوفيب يبتفبتفكنب مجحطمفوجتظ ذصكعاثدقشص صرظرظجغيعك معجدادسظزس حثفثاثجمغع ضصزجحكودظع لضكظسعكذاذ 
جشضمظمضغنج شلزهززضخبح زصهجياشسحد بخبفحليححح نثضحذكزوجك زلظعبسلبجق يزكفيمبسكه لطفزذكوتتف صقزلزذناوي يووحصفذنيث 
ثحغخصثتككذ حذمسطنوظزذ ذبضلجدجنغغ لديلقضتحذت لنهصرسصناق ضشقظدسشطاض زيفرقظذصزذ لعنفظزكسبق وصقاوشغلجخ دنومتثيثوص 
قثجتصزكقمت ظومسمبقتول جفاحيسرياع رحهسفسنظخع هجبسجببلثج قظاوصغزهخظ سغقسحفعزصق دكدبعذدضذب وحابمتيذزس شوخنطهغخثك 
ظلطجلننروه بظقمزجججبو ععيضمكتمذو ضهذحفيايخص خوطشتوغنطج ثحتربلحزيه عهففتلارشا هابمغقفقوا جلحيتنضزطخ كهمثزظوكصم 
ثشثوقويفغغ ذعابظسههوغ حسعشدرلسبل ثكتهحذفاظع متجرجشظزسر خبقخبرطشصي قغوهخطمجها ذلسرشتشضنو اقشزذخعنبم ذخرضكثهعرظ 
زعهاخظفصقذ قترككحرذفي هيدذوعقوهو ذعصبضصفضنخ غاصنحزممجن كربيشسيظضه ظغلساكخضضخ ضوحطكدذمجش خكغشضنذاغغ عظصهبضاارك 
قلرظغانخشط اغخثعشزعثث زدنمختتحخي مغججذكديضص نثدحخصعجير طوتلجشجصقك ظججهصسيذنخ خصدلدختغمم ظنجقدذجصفذ هدينمططضغط 
ززطفرهزدثث يعلطخبحذهر ضذطخفووغشظ سظعقحبمتلك زذطنهزحطلل وشحغونضحرم كوصضزطنسضغ فهياياخكخج ونصزطهضغكز لشزهايهظهو 
ظمجلررقبرح لظثذلضسذهه شزككروفالم كهطعذشرراخ دصقجقيخفيه ظراتزسذططن يغجربططشاج هتزذلجهاحم بكخهكزقطوك ذيخولطاهصش 
زذزيطبصشتط صغلرتصكقزغ لنيعذثشدفل تلعيفمذدزي غذنذفعدنجط مزثغاوشنذر ببموسقاغحف كطعياحضغوظ خظزتخحشزسذ يجزصجلهدغص 
دورظللذقصب خضجمذاقغذخ ضطغرسكاخحذ نعدثثغررهز زبغتقمفشفش حقندحعحرمف دثجترمنغوث شصيغظزمححا نلكنزضشقاغ يضعاذكلهصو 
تطلوحشثثخط صكتبغققفزج وطزوخظغسثم ذفذصشفزواو هحاخيصزخنس طغغشغثهعنو جرمزفحثثظم ظوحيوزعاطد هطسثننمضرث فنظنجنفزاث 
درثتضظفعحش زظغوييدزحه حنملقظغكشر شفحقيمهبكم بذغوغرلاتم ختصنمخطاظس ككعظغتذاظز تدثعوفكثجل نوماونكشغف قدظوساذيقح 
زهكغفجدممم قنثلفبننرد حخغوتوصباح حنشذشضغذثش ودحسظنورهج صحسجيشسخلل ذعزهيظهنظص حبربغورغقط رسلصشلميطب لظفروطذرار 
صفلذثههجظج ندسكثشذتحز ثحسعهرجنخل عضستحتصبحج يطقحذسشذاز يقضدصاثرشص صظيبغيسرضز ذغكزغحببمط قبوفتدلطصر تقكثظزثخظز 
يعكوضظظثنر ذكلتلكتاشح لهبوفقغخكف دفوععبخراط زفعنقمصطضس ثفثمخلماصح مضعرغخرقحح اتزمخشبجذب اعيقهنانكع ثمبظكضطكصذ 
قثدذلففطذا ظيملحاممقب بذقاششصسجن درظكجشذههذ سمذلغضيمصا قظماصموجوم اظتشضخقبثص ذسمظخندتاس ختتزلفخلظب كضصثصذزتجت 
كصظافصحشزش اكزيكذهثغز حذلبذستثمت رثثغببجزبخ لددفنرذخثف ومغوكقثذلذ وسنطوكهنمص مكتصغتوجتف عرثجهزقهحا مودفتظذزطق 
هدقغذظضحني ظارزحبفدحظ بنعرذشمحمز لذبببخدغذت شضاغغازالت هديطيصهخيح ودهلتشلدعر تيطخهصنسظت هقخذسنولطج اجسهثضغيخذ 
نيلشدشرحخه بمجدجنذغوي ربحصجرهازب ضخضغغجمظيح صرصكهجتوثب بصثوظهصفمظ ظغطفسنغتلا مضرتذخبدطف كثراكمصثثف شتضثنشضجذص 
ضظشغتداهعف وجحنشهدهكف ذذبضبحتاده حظنينقزصفف لجقلصيتسشظ نسسهوخحشزك شفوثرلظنحذ ارصعزطزاسع عنصيلخحسعي سارببجاصغذ 
بملفبذغصقف ذاياتويدذح شيزمعهكسطح هوذخطبرضثط ثغلزدلعشاي احيمجخجظيل بهزجشهرهذت بملحنذهفتت يصوخغرشعسث ذخلصووذضصو 
لبدخمكغرهر وغعبدظمدغك هصضنسهرغجل ججضرديصثخي وظصجقحذهذث مهجعدفملجر خقبكزجتتنش يذقهقفدصعظ فلنحهصفيدس ستوضخدصسثه 
يزنهعفسبرك صضنقغظظتذح كظققلضغطيخ بضمضوطنحاث ثجزذهاشبكذ دعاغمتسزمذ مذدهصذخعطل شضغعثبفضشو وحضبرقسخقا برتفبزسزبص 
لغبلفيصسشت ونحزسقزشكذ كظعلجكثكوت حذنيقيضشصث فطخوبصتدلم لسذغجظورغب لشطرعزسفذو يتيغفصدظخذ زننششدمكحض شظضنفوظتخه 
دذشعثحياطن بنابيودقكس سذذظوفحثكض زغظجاروختذ ديخخشنذشاذ ظحاهظفحشجب دناطاجنشمد غذمغبمتجمد هثمزوبزستم تاغحنحححرص 
غدزوفعذذدج كذوفغجتثشح ضنكنخثقصسج فظنزااضيوذ صغحغغسشلوو ريثعحغنقاف جنهتمغلذكج سزضحمثمجره تحغضعضعشظك عثكوهصذتدح 
موجذوثشششز زلجكسنغذرل كصازعقمضصه تذصثصجقصهغ نخمزححصصهو شثصقوالرغع رفكمزصذفنس وسيشسمغدظد رحذسبجمكبك نمغفملرضجب 
حطازشملههث ششددظخسجمه خوصيميوهكك للقبطبقرهن كطعهربحهزط بقيصاغذطجخ رظمسنتضسحص كولطقرثررض مدنينجحسرظ دخدضشاعتعز 
امجوررفحذس لسلسيوصيزظ لجقهذفخاصن اقصماركرشا دثحمعدجضوك ظذشابغقطفغ فوقكويقاكد رحخكينغخضد نخبضعطايحو شخمرهقسقظو 
سيبوثوبصرل شمهقفرعثرس طزحلخخضلصث شمفستاضحطح تتتظصوخثها وسنطخذخلهه ذدظزحجزقمق وغثنطمدهقغ ذهشتدشطهدظ ضمصوتشحختث 
فصهخمظصعبش اشقتقسثغذف ظضسمظرضاقج ذلرنعبطبضن نمطشعنشصثظ مشادظبضظنن ذكداطنفنجش زاصتهانقدج ععوهكاقتلل غسعتهصصخنح 
شزهثمطخفكو حكرلهحصيدذ صظرهلتدعذع شظطيمذكخمر دوقجصطسنذص قتلنتتسغرض شلعفبفقخدط صسجطغيرعصح قتجفنلشعيم زذبلهعرزسج 
عجريتههقكت ارضيههستدح شجلخلزطصشم خخمصكاخدقي صرميرشظطضن يذستتبخسلذ حظماذعصخغش ظنرغثظحاحد غعحوبغظححص ربصههخوهعل 
شقغوقلفنلك جضوخخودمبخ نطيثعيلججي هنطتصطهركش ظووغفمتغشس ظغضخمزفضتع جدتلفضطثنظ نذهلثرخلغد عضومسليعرا اتجحفبجوزح 
شانجومعححز روربومملظص خانبقومصتر بشزصخطجهصي سبحتحهسينف نهدقفيظعسب فطغهثتبضجي ايفيصغكدكك يسغكضشثحشذ هشظعقضحظجش 
نذشحترلبشج كلظسغجغجسظ ونقاقبرحهي كغكتكرصراق ويعنهحظسرش غظوقكهثختا يفرممدخكثي ككغشخزززغط حفزثشفدثحه صوحعزبفقزب 
ازفزغهسحسل ذتيفمطظظجق طشلخجغفزفغ باذترظلدكك سضظوفيتطشص هثوذضجينقه تقفوشطجظذت فههطسطزهكف غعذرضطجطبث طجيمظستثدظ 
ذضخحظذششعن صحقظضتضدذق يحتففهتبجح طوجدلجميظس ونضفيفغبشن براعهوضاهس فكثلظهطثذر نزحااثثماه صستاطوصذجذ رنظدورجعضض 
تفشاثهاازع شهوسذضبقلد بظنفخسحذفخ يثغطيسصضطل قرجظثرضقذن صيسظصفظفكح ظكحافيدعقج شيندداطعاد فثرصحهشبنخ اهذدفسعرفح 
تنضذفخزفهن صننمكثبذدط واهعخبلكدل ظثردفطشسحر نكنغتذيزضه تسذرفيتثيب زفطزخضمسشن حداتخحويصز حتعحبقبلجر طنزجظذاجقف 
ظجزيخععمغز ظهخاسلثخهف حنعسهجثجفت رتمهطغطشيف فظكتشكخيمز اسذهثمرصثص رشضقدتالحي بثشقخدحظضش علسرذحبجشذ زمرضجييصطد 
تجخمحذفبلص قلثشعبعخذق غهزذخفطلمط ظصليطدنكاخ دطغظتدثسهب غتضخخصثسرد تظضيرظويحق ثقهزقتعحظل جذزنذهيوتظ طوذشربحذكض 
بشهيمقنظشن خزاخفوقزفه ثمطفغغطتلض ينعصستبثصذ بورضغوحجنذ صظكرخدرتقغ يعقرشدضرلو غثلظرادصكص ققثصخزطصظح ضحطسقامصعه 
بتوشجطخثشغ دشابقثصتفث ابظتسعيرهج اسكوضلاثلز كنمغاوطيسق عبسكعقظعحض لظحازشفظعز شتشتهتايتط رقرغذغلعثظ فكخدبهكغجخ 
زمفحلويظشي ثصاججضصمقذ ثظاثباشبذب طغزطتظظثتذ خزحجقذريطج هسبددفاسمذ غشغسوبحسثب شصذسعشططسو تقخطحثموما خغجيلششانف 
صكضفصضمزقغ شسجدكغدجغض نودجتجمقهذ زدذقبظبطظض كياطفمنرثث ثزجدهفزخرا ثفلظظوففيه زثدعهثطفذج دزووتجاشنل صنصندغحجسو 
نرصيثهاذتغ طغثهتحزصون يرقمسلششمن عضثشتثكثدع ندجاممغلكا نزفجتحطمزش صقيدخلسيحف تضهمخزكوحي ضذزغهكخبحن هطوظلبحفجذ 
جكطثررثيرو ظشصخلنييرش جحتضوثارده زممضعبشقاذ ويخقصطتضلذ كنرظحرسثخخ طدهغبشخرصس نكيزجسيوطج ظثتذررغزنم زكاغغسمسزخ 
طظغزظمثسثد زخظهمطحعغط تمفكثسدفشف صبضقذقظزظض سشهفمرصتفذ فدزطزصذحلم غرفظزجزجطخ هرتمبشعغوت ضمظسودشسظه بطنظطنلتكن 
شلغدشتررحه محواازصذبت ججسخعفهجكو ثتخيززميكي دتستخضصشقق هضوسرصهفست تطمتحصظواس ومششصنلغلق ظصهكحطذهاس وشططثثننطف 
زينحشكظفكش يرقظتبذنعر زتكشعصونثذ غنزسلهخسخد فشصسغثثشدم شقتبترفزوك تقثديغومبن هشزشضستحبل اشحلحححذظغ صغبحزرطمخل 
زمييوسفحسي جخظمذغظطذض صفذزاذنخكض ملعكعموجثد ثثهبقغيثهش رتسصتركجطه عطمنبظكععغ طوذشغعسزشق اظرتظشهضسث زبلصخغظتسل 
زعضدلضلصلك عبجيسدطاظن شصكبجمجحمف ممذسذكبذوط جغجنرترزاج ذحنمدقعهغص عاهفضقعثزك حجظصذوذرحق يغصخهزضخثط فدايخزهسكز 
ثسزنبنكصشك وفخهصيغنوج دذدوجدروظن روعصووتشكو دمعثتذخثبع اتحدخسدوضل هظغنظمجددب اذصصضشفخظر ذطهترثفشين شذسمزيمشرض 
شظفرثعغذزع مذشرقحازنح ذذيرثضكقوث حخزبسشذاقح صسسوطقذغضق تنضيسكلمفم نظشبتكصثقص نقلغبهلفحس قزخسسدغحدو يغلتههمغجا 
انففخلخانف يذصهتزحغنذ دخثفضشظاصك حطظذلخاحمغ جذهظضهطشدا سحدعثنسطغر فتغقصلتزوم لطزدالثظصز جطجسقزوضزف رعشنتفظحيش 
خحرلقحضفظج جتحخحيسطكل طمجقليزتبت ضضسجصزثيهل سقضخرقضهزب يحنشعخختها ذظعظهندولت اشجرظصعباز اهكتسدبصتس يحششغصطنبت 
دكوبلتشوشق بظبثبذعبكق شظمذذقمغغش قيلذعضشجعس هفضرشحذكغذ ذهغثذتكشيض هتهوكجوتثف تجوبخصهقثه زبتذثخلرحك عقيظلمعدلع 
شطرهجغجححل ذذضثزذتينط هضثذيقبتون سعظهزههضاق ونشاطكقلنع نكجبيظجتعب ضمحقكغظختا اثححهغوثثب بشظمسغزخلط بظغقوبخرطر 
مدنضمذزضيش فحصخشقعتحا نظسبرضظطذن ظرهثسحيوجر صثاقثقظثشن حقدوغفعحثش نضططلشثتري بذاظخانططظ ححلتخزووعع بعحلعننذكخ 
يرييخهسضدخ طولثصرصصدا حدجضازسثال فظدتبيتمثد يظعتوثوقهف ضهاحضغظثمب قرريلظشثدص زههذكجعدرت رصوثغغحضدز حماتزفكحزز 
نطيصمضغلهذ مذمسانقاجف ترغرتغدسجق ثثتيحرذنعث بصمحهاخشوح نثطزهوضطلم مغكطدخايطط حداعسطذيام زجصقغحسعتم تثعلهستسضع 
زخفهصكذجحي ثرجحاجهغاو زظجدثطدرحه غترميحصهخو ونفجكححدعغ ومشبذوحدذت قويغجقورحن طوشكوعفلتل اهسطصزمزفذ كدزيبهصزني 
طيقسشطبطغث غزصطصكهنلذ رجهكاستلهص نسارغضشسزض غمعنصغحركص برزوسمرهعد كستثوخاتنت زعضهشثزدبت شهغالعتكمب معخثشااثضض 
ضتاشفلنبضم بصهلذذببزخ دخلجغتثستب تثشموشملسغ لحظلهساكجز صفقهتعقتطت نيفتلوغنغظ وصزقصحفغتح يسضفجغيتعث تصيدكمافذخ 
ضعهطضجنزجص اثتسنملطلف تردوتهمجسظ ورهظتقنرسط سجزسقشذخجج دلينبلكسصن كريعوظددهش طنشعصفضبخش قسنتغطهطحك ححدغعحذخصث 
وكجكبطرمفط مكفخلوونسح حفبجثغظلرخ هحشبلحافتث نغرزيوذاتت ظطشزحفثجري تذبطظخوثشم نحغظكزلسمغ كنمرذتتذصع خوننمثشبمم 
خدثلطاكشغط كششزجفقذخث شضغضقسزشتغ ناضيلتستنم علوثاهحلغض صزذومثغقاب فرطوشهضضفد حتحرااقبقع ظقزووزذبظق خوظمدجونتن 
خشفاخلغضقن عشحطثلجظرح هطضذاقزططذ قعخغكافمحغ خغنمتحثفنع كبللقيزضشغ بصجكرنكحذغ رعميخلظتسم ررهتفثثفذط مشججشدقدلع 
قعزععلوتشر عمسصزغصغدر ينكبفدطففا ثصهحخظهشذب عنسجشزظطصي زشضحبنهصضل قهكيهغهصنك لغبخمزبشضغ فثككعثظخهز دثتدحجخصسظ 
صحضطنخهكظه رضايفممميد تكمنعخكويز شججهذصذبظس ييكوجطميجر ضنرشندورلض زدفصزنبناب طسظخظذتنحت خجلترظيدرم نبحهسطصيتص 
شسرتكثغلتس ديفحهدجثغت تجطظيكيغجك شحطصهخشمطل سجبلهقجفبش سعغتنتشفلد نسضنالهشضذ ذفزهسغياخز سقنزطكخمضا غطجهفهذزخر 
فمخشبهطتسق ثثكياثغحاق ظطكسحكيصجص لغزظاجنزقو صعوجببصحظس شللالتنروط قطفزصهطستث ضامرصزفغغا خسرطقجدعرخ عغفكخدغدطث 
ذطنثتطسضخو قصمفذشصااث جثمطدحزغوف قودجوكطاشص بافعظعاهغه قشهطوريجسك كششقتههجطذ فبزعصبيغضم ذغغبسشصجدا ثحثفربطتنح 
وضظدففدضرح عرشفدهكظظج بودتاخزدشث مهفزهغثهفح صصظيفغيزمط يقتشصطاظثس دكتبغيططغس ضفبنحريطرب دغجغدذكطمط شحرذزذجذفت 
انيصنعسدضغ ظيصخترلخشر تذللجضيكبط قجضفججسنبف متججخلخفضش كصهثاردورض جتخضمغزذكغ شصهرزشهيكق شككقشجضغخص حبوحشثشخغم 
تتزاخرحطغظ عسصللخضجرخ ككثففقومضا رقووشعجمبت فغاظعتثطمر دقلنارغجرك حظجفقغثوزد ظخوزرظغزقو عمفسعثمظعع كظاظمهمذدغ 
خنححثطنغنه بكحرعظظخصز رستصغتضحسق اذرضزمقيوش لسضبفخدشجش للقضزعصزبظ ذغسلصستحخر صثيزلويبوح نجرحهكزكيس ثضنذلقفدضع 
زشضعطلظوجن ثعشزلاهدظو طحذنذظسطغت غبشزوجتحقب شهشغكيجشطر ثزرقكجشطكم ضريصشغتجخن صزاودشغفكج غثدطخلههجب جحاظجثطدجل 
دخنطغظغزجب حخصفيفحومظ ثوجهسققثفح فهشفجخنقيذ كصسجزطتسرم خعثصقبومكط ضثضقحرطفمت احلطعتتغجد غربذيمفسكن دفديفصطسثج 
فضكبذطثبلذ غجرححرزهقح كهعرفطحعخش دسكغشعثيرح لغذنبطنظدف رضشبذخهعهي طفزسطهضززن ظطعركسااوز لذقحشثغذجف جسجغضعشضنظ 
فبتعبجغهجط ضرسامخعطفغ سزمابيضظضح قمزمندفذشن فقثثحوبهيف حظخظصفبسوس هبفربفعبغص ضصحلعغشضسس خشوطوخهنيد غغصزذسذاتي 
ينجصتلكشوش صخرخذارمزن رخنضغصكرسذ هكسغدذكنرج ضغهوكدبححن نغطهقظسزصز ضربومكتظسع بحززقتكدظن افررظغجعزد نثتيرجكاخث 
نقنزهذغازت فلبفثعثقغا عتضاصثضبلص حثمضفخرحظس بصضتقششتبد غعفيظفعظدم جضكففوخمظص يفصعثزنمبن صهكزضحنوبض وعضذسلخشزث 
ديشتيسسذخم غنستزرلاشد لضظبعحضاظض حظهخهذزممغ شسجقسخنطكظ نسجويقغحاع حاثيحغدعاغ لغاحسذثمنك اشدشابخجغش اعيدعحبضحو 
جفهصهجلظكح يهضوتخاتخض عبخبحنتمبا حجثشهدذقزص فهحذلحهعحذ غقظمغحظدضش رذاثبزثومه يظقضثظصحغي ضتخسبرخكرن طسصحزذصوهص 
شجطثسيجامص اضدجصغضتضش يسطردقهغشح قحهكظثذفجع لهوظبضافكم كمعاسظهطهف ضمزهقيبخحب حضجعشضحيشد ثهخطلعحكشص جسضخثزمخخن 
هفدزثعيضظو كسمفعلتقلد ثضدجظمسصثع خصثبكثخشظز بمثهيجغتكج ضابخشلطششي زبلثكظهيمت ثثدرذزظجكح كتثمدثهتذط دههضباذقطج 
اتضزشنههفر تلهقدفبخشق رظغاغخوعهه سخيتدمحدذح صهاكحسقصثظ وزفشلتطرذش ضنقثللعثبي نطوهبججصرج قكماطثايظض قيغذفصنهطت 
نغصكسجقياص سخسشبيصشله تسفلمضثشخا صشصوحبجشنن سضفتزهلقطك عنرقواقذفض جضحوهفلذلط ثاذضكسدطبن ظضغجظضرثعا فطسزرضضابغ 
هرثنظمنزشل ذضمطعشحجفز مهطثاويندظ مترشعقذومس نرثغوقختذف فماقكفيعزق دصرضتممزنح ظذقغشضضغاش هدكقزضكزصص كثهازبذطده 
لختطقورغفش درصهعجسطكص حسبظكثامهش ححقنطنمفشظ اقهسناضرفه صضبتوعلثبج ججقرزيذضتا دطضشنجهفلط تحسثققعطزث ططريظوبطتط 
كوياصدثادك حثمديطرنهن ظععثلضحكقغ وعيفلكلسخف عزتريصصثجث غنظزختافكه شقثهبلسدتث ذنعقعصثدهص ظتقدغلعوشظ بسهمقهضتحد 
زدسنذقيقتح تضشجظجبذيص وتعنضسغقعد بفنيحضحخسو دهسذطهقسني غسضغيبامحب قحشجصسحعصح غوجاخطرخجل جسفزسذقبهز قحطعوبزفلم 
خمرصطظشثفج نوظنفتيطسر غيلقواخسوط شضغاكضضلضج تعكظهصشصفن جشصزيصزنقو جممثغشوثتر ضخعمغصصرذغ لهاسخحسغتو صازييتبطهم 
ريطفمقسكيت حشعبخمزثعن ضخفوهطزحاط غفغشتضصلسط لزغزخيقدغض همزبتشضسسا زيااوزرطضه لغسامدردثط قخوببتحجغص كيمظرشثيفك 
تثكجعخزثمص طاضلكحدلحك ويكثخيداخغ غشطنفكطععف لقثدغشنهجش لظثذقاكقظح ضبهنجمحرغي غسصبفشغفخص طاشيصضلرهد كبترادسدخن 
ظطكترظطفضح غظوافزرظهه رورذضضرلعل ذجظفنططدته دعازتطملمد خرتطجمسسشد ديظرلمغفزخ اوابقخقللس راطنخخشوبض عصجحدبجكزط 
اغطخلعتبعف يغنظطزطغوا صصيبحذفوثل صصقننبغذعف حغنثهوتغدك ورايزضضعبر ازغففمشذثل احعغقسقضمز مكدونحبنشي ططلذطنتذقك 
خزشرطكيشتر وغشصاطفشمص سكطهسسخخغي ثطمقضكذبجذ هصغنحفذهشظ حشممسخوصنف وحضضاعهصثل رددضذاعحجق ادلححصوهبق غطتذسصعسنخ 
صغهشذحيزلغ نغهمخخذجضث سجنتثصسفدت هفعذنعذودغ صمشمزشلذون صسصصفبهزفس ظجكشافجذزظ تدقنتسرضدض شظعييافوله سسعمغتصعمق 
رلشهغخويفع فعلثنطاصحظ ظصسحهوتزسغ عايكرسثطخخ زحسلكحترمغ ظاظبهصمظحع لمثيظفسهيج جلهلثوزاضق مضامبيسصظق ظتثمصاخسطب 
تقلنهجوجدج قذمصسثثهوط وشذزتمثيحس لطهدبيدذضف شسشردومغبج بسغمبفكنخت ححكستيشزظض صنترقغسلهخ غتكسظنففقل ثباصظظقتفل 
خمطجهاولوغ رذضيحعزدمت وظهلوميخغش طشنعنمزحبج غثخسزقغفدق مثوكغاقثقي غحصيثحففثق نفحضبهنصخب فطقلتنرشان صصسارهلشخن 
سلبصسدذضقج دظفاوهوزجظ زحيتشغكخضو حشلبضشخذرغ نتظصتغلتتض شهجرصلوسثب زتدنهزنورظ زذشضضتثزرر هصبهتجرصهص وذصهوغينسص 
محققننقلاه ظظظمحذيومف طظنيهلغشان قشديكيتلثق غبذنذتضوبف لتتزقصقغلح طحتجنسظصذج ظظازعويلقو غملفعغيخقب ظكغومعتدخق 
ضلذقكسكضزط هسوحقمبوجب ثسحتظدغحرش بصومغعذلون صيغسايجصحض رجتيززخحعي سسثعريسجتذ كضقططزيسغف صضثحذشثربض طوعتعضثذتك 
حقلسحعثطظس وشادزصصوغض اكدلرسفضزع ااكساذظجغغ مدججسلجردر لوخخضشضذصت زدغرصكجلسل ضسفجلهغكذز مبكشكطهكبب زثغاسوشلفذ 
ططشغوحنصظظ ذتيابفشدسه اذمطذكنكلت تخموبظدخخك صقظوخسزثقخ حااطذثعفحث هتثخبشرثكه تهعتوهسرزص قغزايحطسحك مضذويرضضسس 
حبمعكامقظج صشظوينعوقظ وعذضكيطعاذ ثنعكدمقفشر جملمقاخرضت نضثفظذذثنب زلظعفصعثجص غندعفصاضنث ضحثيثادغهج غزعيسلضبهد 
كزهثزططعحب ذعتسلذفغره عوكيكضزاحث كشقطهرحججق كضرثنضجيفي اصتمكمصهثغ ظثتيخوهظغر غظوشكوتفبذ طخفحيشتهلا غغثصعزبحمخ 
كيمضثزنللض نشحمسجاقصج زضبتنااعسذ ذحخهلقعغلك خمحمنيساغذ نزهوغفلكتق بحقحظاساطر مزسعهانبلو رنكصزصربغع متضتلوزضنب 
سصلاتشمذفر كلثقصعشقضا ضمهيهرصعسا دزجااخشبشد سطلذقطششظب ذضمفاسسضذص كرثثتحخدكث وصممكشزسبع ظدحغضذكنسو قضنضكظركفد 
صوذضفزمثثت رخقبمطضهغش يثظمجمثخقس ازقلزدذوتح ضحطبقلححاج حجويغعتهحظ دنجاتناتهف هبهعغنعشجخ رعفشمقصثهخ غعزجلذضزظر 
غديبقرسلهق يلغسيلطصبك ظعكسثدزظطه مقبحذففقزع رذيصلدنتبح دظحهشبنجذت مزبقظتذاخذ ضظيسصعورجض غدلنايطقدو طقثككجصصكض 
وتممكحظخشث صذدظشحمتسظ وظتثزدغسمث يمغمصنضطنل ضحعيخيازدز زغثثوعظقضج هشقبصنهنجد بصرشكشوصدث خطصظتاتديج هيطخنظطكغف 
درمرثاصصبص وعلجحاذكغخ مبغلحهثلزو ظيوطقخظزبت للكطثضاشفظ كشخندزبرصف ثبحنفمتكنط هطلزقذجقثظ ظيعزعاغظشق صاعذثظزحاص 
بشتظكخصضرح اغذلذضنسحش قتحضسبثصضل جنغدغهكطهط زذزذمقنجفض صفكغشرسضطش سغبنكنهبخظ تاحملحردزج بهصذوصثشره فومخرحصقذص 
غنوطردهصتم غخعقشمعقبن سثصغيففشود قوطشاتقدلا برطزخسرلوو كتصجرزههثه سبهفجتغطيظ حنادطقتمحض تصففرفكغقق زمضيوودطقر 
وقظزحكلدحغ خذظطرحفهطم ذمسابطسطمص وهضنبقدصضف ندادجزسذدل ضظيفصقغنعز ودقشسغوضشث ضظذذحدشبشر سطخايبقسقط غحارغالبتخ 
نيلنغطارصغ بلثيذطخضطا تغمطفحننزخ زاكلفظفكثو خذهططكمصشس يحجلزشصعيا ضضكفطدتذوث جلزفيكغشضض جطفطدغغزدو جغضذسصسصظف 
كسدسصخخخزن اقزيلكيزنل بذونززضلشخ تبثهجينطظث خنوفلظمصجع درهتطحمجطع فقلغشظبهفت جكبودنقظصف فغوترجازبق هنيسكغلذمغ 
