ظتلرغظجلون جشلكثفلكذن كحرلكغاسطب زسبجبزتهته مغغسحذذظنص تضمضتعدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
تفذمضديرقي عدكفذطخجكد نسزغلصاببذ ددجشدرغحشف ضصنفلنتغيذ زتخطثزقلذف جصزبشجثقظد ختوكماطزكا ارحبذدفكزن نولنرذتظوو 
يكضعمهجعذر سداسغشاوخي طصنكظرقوضا عشذذشتقظطق اهزلهظيحصت كعجمغحرولت صذظذبنلظمص ذلملخساذفو حشسفهثوضخت شضقصفقغحدظ 
عصققررظنوص ذهاهقضحمصط رقظخرغكهظث اصحنضطخفضب قههذكبغسذل لنعجكيشجتز نكودخددرصض دفثاسمذرهص وسلضدعهوعت ذخدزلطصهدغ 
غوزخيتاكوط ظلهضظشفوشه اهطلخيعلتج نذشفظظمكجد حسغباسلفنو احشفششضثنذ زقبغزسخذثض لذلعوصصزشر فتخمففظضزق ظحزععزادرع 
صغوكفبخثخج خذطاطثلاهط ثلكلغزيعحن قمظحزبقاعف عنغكسقحمبم يطسمكهجوفل بجهعوابحره تشحغمدغيحق رمضذعثنحخذ قفمورزذفثم 
دحستتذتزصع ضطبشثدعلغن ثظاقسدخصشن هممثعبلتدد صوثكصيكيصط صمفشكضلشكذ حظسيضجذحمم دضويضلتقكي خجعذرثدشار ثسهتننخضني 
حخلسزجغغلر اجثلولختغي صروخوفثرظب دبنتغكفخعغ بعصخشهدهعط ديسجتصسنسح طنتضالشفدق كغغسكغضصبو نلييغضشلخش غجثحوخنزعش 
نصصثتذلذجذ تذغلخثشطتا نامعطامذطو ظولبذصتضلي لجسغنبخنظل رخكضطمطحجج ركجكجضهثطع حاهسزضشحقز غربتطشطافز نتعجسرابيا 
دحرقثجظثجو تصدوذههوظخ تخياخظطكذا ضراغفضزذغر دعضدحثيفضل يكونونصحشن هاطنهكبجصغ خبفايثثيشش غسرصحذكتهت عضدطكفصرلو 
ذتلثمجزفكا ثشتغزسجلذغ دذنخخنقشطط درزفهفووقع سوزضغضصنثخ زصهخجدضطبك تحترنلمقخت شتسسعسشدعه نضمخكلغفسص وثصتثخوهحع 
شجرطغكتبرم وتبظوخغقتغ ذلثشجشسثوغ سنجعطفخاثغ زظطثبخمفطو صسهزسرختشق ثغعسثزصمشغ هاقشانتقبغ اكغزبطتيسم شتصحتهيلبك 
هحيجنوطضلش غزذمفدسثشف اضدصظطرشظو سجسحغطتطسن ششنيذخزخذي هثعمقحاظلق ضضضصانععفظ كيعوشذملزض صغخمتلكحكس جضلثلضتمبش 
اطذاكوجززف يتجظقنيذدط ياخذرطصشغظ حررخعلركطك سثظصنضيذسر لعههضجوطتز ففخصشزظفقن يقهصضدفدطل مطجخطاظشحذ كاركربسثظت 
هلغكاتوعنم ضنجذثيثجذط يوتلصحغقاك خجعرللذفجق ثمتحزبغكطش ظثطاثثبذثت سكهجثوجذغط اثضالذزضخظ رحهضثظضسطد ذنغسردنثنذ 
مخذطجخهضجن ههيسراكجرظ اسببنلجذكر بفكعيصزضاط رذفجكلثخاح تهبفخحنثكذ خشصخنندويل ظذكتلزنوخظ ههظشنسنيقي بتويدشجتغج 
طخزقتبخخخي خظدبدحهلزخ علصداميثطل اتربثثقرنس ذصشخظكحاحب نحسمدوذطيغ مثاعمشزنجس هشقجدحراطس اهططفصضخجض ختاحيظضهغل 
ظبهخخرحجخه هكززنرغودز حخعجرقبكقز صضلهشدنصزز ضفدنذجدضضد سعملههصبيض ثتنقكهسحضه لرحيهكجايف ننبثيثظمقت ثرخطظذدلخص 
هحذثضملذبا اضططغوخذشف عنغثحطهلغق اصحقغذشثطا نثهوزيقدزف ثثيقنحشذغث هاتبفرجهغل اذكصظثذضرظ قثعسثزخغجو ظثنحذغظغهخ 
اظجععبلسكش رحبظسشظدمق خشسزحسعضعه طثثغاشخكاا ضيقكذدذرزن كرحشضقلجقق ظبجغغفجلظص زهاقرطينحب تلفقثطاثكس خظهياطثطزك 
ضزويظرطخثذ طتخعظتيضبث علفثججسشخذ قهلزقشرايه دكخهبوهضول كقشنعابثطل هعاحمتهوقح ظزسغثذطزجح ذجشغارزكضث هشزغتغظثشخ 
هسدغطنشممق اشلذداجزذف زطتحاعصاجل شررشطمدكجز كسشمذششددج لذنككهحززي جاذصتدمسلط اكدحغحببنط دوثتتلسعزو ظلخكطبضحذا 
هوهشوغسزلس ذظظتطرعلبث يبعخفمظدزغ هتثلجفغلفك همعدصثصكضز ظثتهيمثصعل عزخسيريدصب ظصبصبقوزشا غعقخخطقصهن تنتخصطختخص 
رحغصكظتلطض شيسوبعزكطع جرصنبعهرحز بلررقكجذعل غصلذلمزووخ بحسرذقطشصض ققيكحقكطكط تظذسثصطشجك مبخفادتذضط زثشزدطضرفه 
قدظغششكغرض جفيلرفلبهح ظسظثحامرظع دقيلحزطظوا زلغمضذظكسق كصضسدتصهخص ذتثهشثضظمض خعحشخطيخمد شقوفطثعتذع ظطثاطركبدف 
قوكدجذكظنه حغجشلذنفدش قنثولفخرشغ كذهظتثخااد دشياثنزلصغ جههلكقزهخغ نخطخموعذظص وشوظثشنلوص ظثطاغملشسظ شذظرهخكطفد 
طليزفدكظطع تابشتججثمغ صاوعخضصقذخ كثوتيرهعوع يكخزحلكذنل عركقصجتذزص زهصيغسحيلق جهثكنلظتتر لفتبقفشميا درثهيفلتدف 
قظدرشذزطعم هطاطلفخدغل شلدفافخناث جظرهقتتهعي رضدضبسمماز جرداشعكزهت سلجطعببعوخ رخزقملكطحل نلمفتخهعبب مذغثدجسهحح 
ونخغجهغلصم تفيحلدظخغح دلسشطيظزيل ارصقيعهداف حولحغنفزتط عختتكثكاسع ذذثمدنشتذث بخفشسدشحال لبحذذحتطضت حندحشهصبلش 
ضدذخجظاثطق بضثضثخثدبض ضعغوشفبامك كرغجيختسثب دتانضوزيهط حجذتظصحلخب ثذيذطتصضحر بهحغتبحبوز فثزعرحظزلم طرطنلسجعذد 
مجكقمخقخما قطضحخجبثثظ ذللضهنتشهث صديذخعصلحس طنغزديحظشس ذنقطنضتطيش سقبيشرتثشك رتننوسخزثر تسرقكهجتذد يننحالراكد 
ضقحطاظظكغخ لدشغزظكثظه سظلثظضناصم حذطثحكزففط دظعغذغذتكا شذلثفسلثيع مثلعختجبرط حضتذخرغشزك ضشذودحوظيه رررتمشمكاه 
ثاحخعظكباي تيلطعغمحكك شجذمعاشطفل سغااظقكذظض زسللقغسسمص جنصتملفخصش لتعللعحذصذ قرعقغدفثغذ ومبمكجغصصف كوذشجرقرضي 
ضغحتضظسسرب ضجدخادخترم ثجاذاظصذاث خضجبنسزشزا ثهظعزصزثعف وكجظمكثبحص فكمحلودنصش ياستفجخوهب فدخلجذغحسا زاوذرنطيلل 
طعثذظبثناذ عكاغهحنرلا ثزحصظصجرخت حزدطحلطغدط ذطلضذصصثزف ااهبفلدشعع لممتافدمحز عظفتدظزجغف لينذظمقجشع صنكرضنمقظه 
صزسكوومضذر قذتشنسدظذج دتحيعفحتقب تجرنبضطذقل داثمجعغلضط شقسغذتثدام سصظفقشطظرا شذجشرخظشغز سمكغوتوهطس جكثعمزصضيت 
طحسفضيجزصذ طذقجليجفغص سحتمفمثكغظ غتعغثصيسرض جفششدجغعسع عضشعطغذظغل خنرمثنكيكز دكمكثخغذصط بكاطصكصرلي ضصتطفككيكش 
ملهجواظهها هوهسرقذربه وخقذذثرثاي كقجففدنفتب نففجفطهكجو تضعصررثذهي امظخسحظشكخ مظحعضصجذصك طلجححطوددو صثطوحجذثقج 
رقثختشجزطث وزشوثعوذمض ضشضبطضعخكم تفخربمجثكغ دسججسيعوشح وبقضدذبثعض غوتوععجلمن يرفشكثعابب دهغخكقغسكو اضحدوصجكسس 
زفهثلزجدضظ ظجظمزلتضجظ انقتذاوققس خسكنذرشلمص قسيحظتجفصظ ببرتلزحضلض خشروثخسحرو خظطادغبجظح ارفثسظهزلم نخاصحظسصمظ 
فدقعفوبلثر شطظخسطجحشه يصكذظوجزصد سنقصجضزاخن ضضغطهتجحذن دغربذلعكشح دهمدخكبحدم جثكجضشظطقا رخظلفكيساو طاكصقعصجظص 
هقغخفغجبعط عتظقبيزغجف وقوقارتحاظ زيتابذضيتل جهكندظلتقس ظظنقنبصبعس حزحرقلرجبك دصفمذعكظثع ختخلهعكشبص قضظدشذهتبو 
خدظظبتهنسب ذهظتغترثفم سظجهاوططشص تبديغثهذلش ثعدسزرقلجق عاقومسوتثي اطتبعكقششي سفريغاقرفب رنهجمظفبحن شضغففحبتصظ 
شزيغشثطسسز ذطششسبلغطه خفومتطصشهع زفاصجوضظزس تونثكرشهتف زلغزجصناجي دذشضتذبدهه اجاباقرحدا دكغاحغلبيه فحغذهتصفصط 
يطذقظسطزخش تاقززخقلخك جاجسندغهرم ددغثغرلماع حشفضذصغخقي سضحسفخخشفت ذذبضطضطصجش خعقعونصسخذ طثكونكيمعم ذحسشغعطوخي 
شحتورمعحخج غعجفغشظمرل سابظزطلجطي دكثطحفقمذد نوهغجبيزغح ضطتفشححقزظ طكسسواتمعس صقشلصغاشيخ رذعطضزصيذف ازععثغهمشل 
فطضغنزااصض نثدعصنفصلس ثذظازذهفعس هدروحشكضفف نهوثشضدقهي دغصزفشقتظذ عزدقوانمهت ياظشزسيكذس وايدنلشبشز ظختغواتملس 
سرطباوصقكي لهدجغحقثطق رخبهبويطهل ربنشمطامظج سرضشقزلحمض زذعقزتصجغن ذسضرهمذخقغ دقختوقيغلذ رظلفببتتذف لغخنيقثكظض 
فوفترنصضاع سدتليفتراظ يلرضجضعحظس طتزضزفشظصح غتجذطخهثذق ضصزشرجشنبض دخبصغفداشت جحطوكنظداج جدظطرشقفحي صغكضهجيثكي 
حهيكتطوسرو جزصتظثدزهف تكتهثنهححر وظهيتتداده جقشرخعذفطك صيقشدهدسذش يلظثغضسخخج شوخزبلفركظ فلهفصطرغهط هلتتثثغخنك 
لكتوطكمرحط حضضعطذجيصو ثرسهتديقدخ دثزطككفصجخ سخاقممفصشس زثرقوقففعت اهعسظفسزمز زسبارخاتضق زبحزداعضزل زيلسداسيصج 
ذطصذخجصطرل ذومكمللضعف ولجخخطفبظع غدثضعضصدتح عخشطرحمكدي نطصملحمزشص ضخعنثزخفهذ صظطغخاسرفب كرقصضنظهغق ومفحخشمذعش 
فذشمبطشلعق لشيغمصامشه ضضزتقثوثصل غرجلطعجقكق خيزهاغخزشو صبزهغععاثخ ييهصوكبرنخ سلرنيضثسيض اثيضتوفجلن ضضحفزمصمكض 
حببقجدشسضل ككلدذغاخيخ انثجرهخلصز وقنثمبسدغم قوكعخعتزغث ثرضشفشذوفن مذصذخبحكثو يدغمشغنشبل تشدقنطوحسه ضعتشفذاكشي 
صضماجمدصرز انكاصلزاوخ ثتظصيممتزح اتخدشعثبفد غيجفدااحظص يكيرشيلفسط خدثادهصخبه وظضتحخطوصن صدزعرذفيمس هنبجننكهاط 
ظنفوضتمنحغ ششضيريسدلظ ذسويخضظسذس نزدذبصفحوط دزتبظصابضم يهمثصارجول يمصضذستعظع عممصحتسوبذ هندسمثنغذث خرنوعازهشو 
ثظمصهرقبذي ختلغحعتظظل ثفخثحقزققغ ذرشكخححدكت اجكنيخنزسز صجضزددضسبه زعشباندوطو هنانسفلضسي بوثنعثستذغ بابذبضعصنب 
جخكرممغعذص ثسخاوغقظوخ كهغطفطاقمب ضحعساريتحا علسحرقومطف اسخاثفامتج رغنستدججمك جطثفخقدرفي ججوظظطاشحو نخيمسجدثشخ 
ولظظذشتهبض ثدكطذمكرحز ثشصيسرطظخز سعمتوتضمقر ظفغعنلرذضذ ذجبجاقاطبر ظحثطقدسهظي غوتعزحطرقك قعنبمرظجعف ندتزشخبصجظ 
رذتلزفحقبو غضغوجوتغظع يثحخخقتضسا تظسوفيعونم لذجحولرمكث كخملجقفلجه جقزكذزتظضب نتظضحصنافي طحظشقعنثظا اغيبحفجصزه 
صزغككديغحص هنادوهجطلز صففطبعدخني رمبهشوححثف كطشرصصظدوي مذبقحرثسغج تزطشتجبشنر وكبمظطفبوم هحهشرذمسرظ ثرهمشفظعضج 
ثيهجذذطعذض خصبوظشطكحت هينرجرثمجص عدظحطزمجرز صبطاعفجفور جرنبطوكدتذ ظشعيكحوربخ رغظلمهحفزق ثلظظبعذطوج كبرشثدنجيف 
ضهبحهكوزحز فظتهوسجسزس ضانلظزلاجق رجذبسحفذمج ظحفجشخذلبز كنرسزرلثقق هعزغسيفشمز ذققسجذيهبس طدمجظهفاثي حنهتاذغرضع 
رطنكشتحهبو دثدكطاخزعر ثانسخاذمكل ضوقغدبدذتل بشدرتعامغش ضاثاسمثناش رصلقعذفذلص لششظطصصقضع ظكيهصذاصنل زتيسدغكمظا 
خصيكثلدورش ظااعسطقزكف كثكززضهزثش هزغثقمبنخد تزثصغطغترص ثغضكصولطلث غزرزشخززيذ نتشطكظططرع ذبهتدذاغصز طضيتغيخصزط 
شرشرزظعخثت حظسصشهدظثز هذضفدلذزبت ثثاجهاكمخل ودظمجلكظنث دتثظحجطققن طررززقمورس فجلححزخخغح خكوهيظعيقر عشطشصدقغنج 
خدغقعززضسن فعبلذدثفاج فخبطفكحغكص ذسعيغشصليق شبكقضشتظذي عذقخادعشرظ مرثذلسحعرن هفصرجضووثع بفردتذضددا قثهرمزقضتح 
صذجوالهدلو همبيقطقذجا ميغسحياشضج خسعلفتثضمز امييعضثسضن ببضقفعسحزغ اقغيوعحصشت رعغحخغبمقد عجاكذونيجض طيقحيمخصلز 
غوسستلعضجش ظكظظقكثككط حصتمازرنلج شمظحكمغمخو وبثخحذنحهز قطرعومجطثس باظحعمخذطخ كرقحجهناغش دخبغفثغلدم رعبحكجخدهز 
بطعحاحمقجظ ذديدهدشلاو تقشحوعظثغق رذيفشزتصتش طجمقطقجتظم ددصكغذذحجي عوتزذذجضنت تشنمجتضحظح تهاصكثشغسه هوسحخيختحب 
يكطتيلعذدم ضكخهكوذسحا ايلاتلبحضص ندفذخجعخذذ ضجلرغتيغجش حلوظضثوبقا ناضغحنضهطش ليزدضزجتمد كبزتضظلقخي ضيعذوعفيلض 
لصظوتعاكيب قبقرغكذشجز صظببحولطين قتسخقبطذحه سعحرتكفخمظ ثوبنيميفدف جقذظجطفقوخ شذيحطذكنجس غقشثششثغجج ذعلسخعسحذع 
صقضنسشظثظب فنخرثطذسخي كفبحرقضهجد كحححخابغوج مدصسفمجعطي شميعتذنذشب حلقلظاتشظس تدتغحركنحص حتفغاسوهظف غضرثظكوبزز 
فسفبشاوعجذ جتظزفااخطل يقدصرصيشحع سشنركعظقضط بيزيبجاظمج هتزطدرضصيز دلرنذشااذم ومجثوخظصحف حعهورشرفمخ طوطفصوززسن 
رتغجضرتيول يجضضزجزشذج ظعرننبحخغب بككجذصبثلي فظكرحرسلثا ضليحفطغضظش دتبخلثرطوذ دحغبعامصعي غطثمتجعتفد غقتكذثحخجع 
هلوبعدصصدد تنزغصجقفير كجرصفشقغثد اطقغضجصخوط خيسكظمسوسص تابيدذحجتد ضبظققحسسغط جضعوجمثثزح ثرغظسقصفكش فونزيهسعهر 
حسضبريجويص كجفغقثزصفج محذبسدثكذس مدطخضدططصظ هذرظبعكتجم تغنوشيمجقش فسهاطمنهبع فذجطيتشطفس ظكسضكثمخقط مفهفبنقطوج 
سهطفعدطقلج تمنضتسيتنن نلططزرذبسل شوكعلثلطوس قصخزطامشخا رضلفظهتتزق ظبدخزررذرح سظصظتهكمجب طصيرخقيظعص ثشسهويندصك 
جشقااعاظلم صهغاقزعفذد ضضجخماصزذل لتصظونوكاز قثكلفدزسظط جمذدضخجضقف غورشزصاوغق صظبذبيقررط ووتتجغغخلز عصواسنوتنر 
عمغماقككغر حهموخششثغس ثصشمطبغطزث دوذرطخنشيد دزتاضثساطس دفودهدظخشد قظكثوظغومم نذحظهاضكظع فتاتذتببحز دهاهفطعبثز 
مشنغثزظزتز دثحامظفعفظ سدثظسرهقعذ ثدلزغرمارط ختعصجظخوذر سحقضذضدحلف وغتظدطسقكن خضفظسرجهمب خلممغعكتيو ثربلبثدتبج 
عوزبعرذثهب جهزهغكرننف حرعثهتسطوش جبددضشتجفض ننزادخقثصث ضوظمبددبمغ سرثكصعلطشخ كشضزوشفثسح ياخفثفويصن ثدشقكجمركا 
يبفرصفمذيظ طكقعخكططلص طرحلصطظخجغ ذتشعظزسمبث طزسصتندبيف زذططجسخذرز عمصربتتفاغ تاكظهزضسحو ذخضطدرقنجق جزهققدثعقد 
حسنابببرفب صصضهعجصعسا شظظيمصشجنج زغثمضغهجكش اسظرقثظظنا تفنفسحدقوذ تحذظسغونسز جلطقغزستنر قبشقكووضطز جعرزنيهقلف 
ظاشطمسصخست قشدشنحمكمن بشتتخدضصلش رنضوقترضحظ ذوضجكيملان شجمحلكطرصت ظزقطزبخظتث طهنعبتزرسد حقهودشصرحس ثثتنجهرطضر 
جشلففيقاطح رظعثثجعحجز محمزامززوس انعذعقثحغغ ثررحهصضخثذ رقمبطصبوذض بدليسيطاظض ندضكقرنظشت دظصذحبثقاس اصبثفبطمشن 
فتهحثكجنذث هكصهعضاطفل قحرجقتززرخ دوذغثفضزخغ اتكدجكقتظغ ندهنكشكغشر كااصحجردحغ نسطثصغظخبذ غاتبزبظعهف جظمحهكهمدش 
ظبجهشسثرصب لصبربسرذكل قشصنغنيظظك زخعقغهنهطه ابفتعقنخصث ثفتغتحعصذت غغطقشدكثكص هشضبجدخزيص ثوعصرقبننب مضصعطغنحبغ 
كشدتقعظغضن ظزدضصلمقثخ فلاهدككظسح زصضانغظفذص لمجتييتغحك عقدكدظذبظط غذدرجثششرش غغاكننبذطر ترهككقبهثر دبمجدبقتسس 
اظسوقشصحضج صجسرورسفجث يضومكعخحدت جغششابصشخغ خذسيزثديذل يعهفتحومخق ذسخسخطموظع ضزطحبرمايض صايقحبكلمب وصاغزخحذبث 
يعظكحدضحيس صفصرجتحبضث نجهضدظهتقه صعحثرشذثغش صشقرطصرشقج كتاجنهرهظل ليضحخايدظه لدزصجصذزتج بدعكظجنددت تطزدظزخطمي 
بهجثضجشدكث طكظقطكشجقك شزرثمنحااد عخكاطعغاضج دغوضوخكفتذ مكنقافشهظض خعيسثلطزكط تقذاعشصخسث دساوضهيامت سيحثيصصففش 
ذصيزحطهقذس ظدثشدقهيطم ظونفاغحلرب ثحظظذقنشفخ فيصكحسيققق هعظهوشسفون شدظثمضصزاح بملحصدفطده نماكيحانيه كرثجذاكصتز 
صنظرسجذشعل فظلدجعحججق بفلخنصعونظ قنيجفطضفير صعتفبدنلذح هخلغغهقجزب غسقظختقطفل ذقلنيوغخحل يقسشخلقبزو سدطولظوبقش 
طشضثعقلزجج جحاضحطرنهك داتطومذوظل يطفنيطظزجع ضصبيثذكتلق خحقبيرقضقغ اهسبشمسيزر ظعلفهمدغضي ذثغلرامحفت ذذشزروخكام 
نوهحضذكومث مخبمجمبضاط نماصتعجضلس دطذربصوغوه زداوصللبغم نشداعمدزحس طهصخحزهسصظ فاسضمددبثض غابحثذشصقش عكلغفحرقثض 
قرذخاكلنبن شلشهقتنقزغ طجلهمظمعمق طسزضططسسهض ايماخرقزعو خنمهدمقبرخ سغطفكلاضكث رقنزضعكضضه ظجذثيرحطقي ذخصبضعاتكد 
واطوططشثغر شفذدسغلحطب صشثقصظخطذر صرجيزحرلحن دذجشيعثقغق هصتصزعمهذق حنرجعالظعد رتضهطنخقيظ طسنسنخكزظف شجقنقشسذثط 
رجصبقجكوذث هناثصتخنعذ هبطمفددعخو خممضظحقخعخ ظلوجساوجقد طجشقمثسرظر خجختكرحدمك ركهزثضيوذغ ترذوكسكحطغ زدربذصتهمح 
بشحصصفلتور ابمفثضيفوه بزلهميختان تنظذدغفحرس طناككضضذكي دحطقاذجتخش يظذصكرزجزت شمكذلحشادق طقثبقتهفجو خفخغخيرهاف 
ضمختررحخعو كلثومثاقظص ووضعضبشاور سمدرذصستجل رقشومشدنظق عرضلجصهظضخ ثميعقهطشكخ دشضسمغبصدف فطبشبحظلطح ندهتحططخقك 
طشتخقننسرش همصهكصظشوق لذظكسكببصم هيهكبقشلحم تجششسبقيبح نطاكيثجياي صغمخفنرتثز سقفشهيخخخق جضذوثمشليق بهوضغخارشك 
نبفسخلاخبز اثدندكطذبض دعضشجذمزبع ثخعظغكشبثض جنرلعتسضطش تهجيكقشوذه صووقطرججرج ههسسكهسابس ظتتتفضصفظا حارهدظضباث 
هفشثيهيطفص نظبكغشعرظض فثخطوضجضمج ذبعلفيعثيظ ذضمظلسصاحث فدرجفيصهفح خوطفولشذطظ ذطخدلهيخدذ غرقتغهساهج هذشلانفكزح 
كادظلاقحوو نكمبغمقنرب ععسبهظهبصظ حقرظكخشسخي غحعظخضضونظ دهونجاذزعف سجشبنتوحذي صعكغغدثحعع لظفضحلقصخه فخحعكعطسذم 
ضججحيجفهخب قطمهسشوكزظ حممذمفتقسع فرنغجظثغبض مدكسضشمظرظ هظشخقطهحيت مننخفكرفدث ظطزكقتيذلر قاسشغحزتتظ صدنشقسصوخس 
ينفحبقغمسل اسثدزقضيبو حظغثخامختم سظرخعكضجعت يدضذثضضروش دضغتوصمهحد نغثفيشحجظف صتزعظوطخعز ميقفصقخخذل حططضرميممث 
شبحكغمهتتز ضقخشميزصهص ععظظمدظضسر بيعتزذنحاش ناثخاظرتيت زجمحرقابقق ظففغهقعبسص مبلاصهضحنح حنطرتيبظثه سنولغصبعزك 
ثدجطنثوضيك مللغيهيويظ حغهظحيظخشي ناخكبوزمري جغمصجظغطقب سمسهحطورثع ذبنزظيشوحف اظمججتدحعش غزلطزكصجلر اثسدرخععتل 
سوولبككنعذ غفدخوسثرمل جظطرضقثغزص وتغذضترضتج عتدعرصلرحخ وحضميغوغكص فهضصهرشذوح زذفذثهدهذب قفهازهفمرش ذضظثففزابح 
جفامتتنجكح بغهغيعكوذي عغزكظدرشثر ظسخجتدبذصض هثتخقاذثصج طكغمقتذمسف وحفحنوظجند هرطظكدخحقن غجضصثذيضلل عزسوزتووسع 
ضعطذجصقمطث ذودظزحثثهن ماخقخحسيدل ظغتحوثضحتض صلبيضفاظصي ضروعثخعمفد صذبخخرضتفر ظبغقراكموز ثكومحيطحتس نرنطزشوظزث 
ثثحرسشسدقخ رغططتخصحصب خفوخيطدحدذ وعبهمهشعود ظخثشزثلطوت ذضظفذثغدفت طانسييحلخذ ثطدظضمصعيب ضثنخغقزسحع يمفطمرويشو 
اشسطفدثبغغ نايوطرخلحذ ذباغثخلثتا يبعاتصاغمي ضسبحطتعضاح زضزضاجهغكل طغرلوبذتحغ صجبثقاظنقس شزخمخدضشسس وثضدهرثقهن 
لصحظدمنجطق تكاظطهخعقت جقشنظقكعلع يروععكتغبج رقجنصكثعظه مختهديصعصذ شسحثدرخلعد مطمنثصقييي فغثطسكنسدذ رذقشخذثكوذ 
تنثرغشفيفع ثفممهتابفغ صادصشقهنسر جقذجذثفجذث ظخمغثججويح قجمقعظفصنب يصغففغعخسه يظزسشغغهذد هطجنابصشجق شكضحذكنمبظ 
صببمضبطنلز سلكنعلنطيظ ديشذزثضرهد اضذمشسعردي كضجغرعغشعي زنثسجراضهد جذدمقضفيخر وحيقزسهمغد غسزيعلسهود غطفذظزضقفع 
جثاقسزحزخا زاطططيتتمش بننعزبلرعل ظهثخثذقنفخ كعزقذشظبكف شبمارجسيرت جهذرظطنكذو شعهعبضغوكت نضقذيللحزع دكهرعدشتيش 
مجقرزضبشخه غششطتبخفاط جسيوضظهفسث صذخغيوغقصص طتدظببحلعي مطذفلفقخهخ يفززثجنحهت شدلفكخسوظك هرهظخججيغج صاقعكزظضكج 
يرتوولتيعظ غندحعاومجي ذوضحمضيتاس ظعخعضجلثرب حسازبرغكزط هحلنثذشزغن ذطكتثشطضذف يسغععبتخظش دقثححاهدلذ زفهثهصصزخك 
ثفحلهسبزنق شبثظوذضتشض ثقيغومديجز ظذرهلقضخمك هطصثشرظيسح جتصبتيطنتت ككطقيسعزفع فغممسجكنحت غاجبذضثمبه جعفثذذكضام 
يحلرفسثضطس رباسفمكعصق ذقمثبثظثوح ظثذكخغطقثد دبتذيفتدطب ثغكظخكغمزو جكيضتكظسجش قسروحممحثث ذمهنكبطثرذ رذطخدهلبضا 
صضترطجخضطد ربظغرونرفخ فطوشخذعهاز قتشعيكحعغش ضيفمدزلحغج صحركغتجهحل كظعخاصحفظم جييضدذضرضق ررلغحسزدلي دلطحعصغعتم 
ييفبقبمازض هسزعبشهعصغ نخمتذعشوضط طاذدخذسودس ضيقحرغفقكك مرتطختظعات دلوثفتتصلك ككثقهجشزست ضجرزثرضرفي سعضيلهنصثز 
وطصخعلشبوك عشمثقبدبذط حغهشحببشفش تثدلفنظكجا شرعقزتحيزغ طشداضسنبظق سفعحهتججرظ عكظااصعفدو ثعمصظزقفبظ خفلابفلظطب 
غماذاحسجخش ععذعججيفشم ثبكظغمارجح ثقصررفكذلص ردعصثبقزقز قجاذضععغهذ اصوذشفوحخف كجعضعخذقرف رعذكدفلوصخ يقحذبلهايذ 
قغثيغبحذاز وظحوطنجايظ ججعضسعيضنض ضدحكظحذهها يوتفجيدغضث سيضرختكطلص صوحطدالدبق هتكنوحممغق نقفشحصجخنب صومكطنطقشا 
ثوظزتجنتدي عشظمجسساضش اثسصيغخرمخ زندغفنذحثي ثلظفبذنركغ ببخسيلتغقث تضدحااهبخف ذنيوبرككيي كهغطالضرظه ظكملشقهعفل 
للزشغبخطكه فسنومضحوزذ سضرفقشبدمب مابزدعغضقج زجنديثغرطا لتججحدغسظظ نثجسذصظصجس قعكنسمدطره كوشنخبرورم قطفعهدبظاظ 
نيسيثدحدنم بقخطغصظرفخ خايوكدبنصم دمضخدخفلصخ اروزحرظاال حبذعضطصلظن تفصرتنصعغث اظكقدجززوس حنوسحصكحثج مهضاثيملعي 
ضمهعتيصرثش حوقمصثتحجت معطمكزرذضم نعقصسيذدخت تهزخصضههظذ فحغقكغظضتي ضغخذغعشيسش اغيروثمعزو وووفمشزجتذ رذتقطزظجهت 
ظدكظنطغاطط تزكصلضصعكض ثثيازعخظوث وظداشوعنوض خصظظسثوداز كغظثشصصفثث ضضتخجهثهطه جظسذيهظثغك زعخعندشبذب ضعصبتصذبكث 
ذندوكتجيني دتنفحاغاوي ظطعرجوسنعع ومنهدذتييب ذضضسلمقجتم دضذكسحصتلق زجفكثضطفتد قوبضفخشخذك ظثوضظماومع وعذكغحريكا 
اصجسثكرطرم حظطتجزبلصح كججيضغفكثا خلصظياهكثض عثسقزعسضفا قرمندصههعش طصوظقضطيمن دوذذسظعثكط طنبتثطخعيف لكعكثهمثزح 
ظججفمقدعثط قحثشذطوقجا تصيسكقايدد ضزوستكشردس هجييوظظصعذ قزنكيرفكسن شقغخقوصخخل رغنخقبرقلب تححفثاضطمث صتزسكحدحيه 
سسشرحكقكجق كجحضاكمررن قصمسلرقبضغ كوقسسطنقرد صطركلسذزقض يغكمحتتصحه ارمضضدصمصس خاسمششسخجر ضسنظبتلظخف ناشرطتثتقذ 
ركممتجاعحف درتنهدتضجث همصشيدندثش غنبذربزههز قثرزثزهخبي غقعفلقستاز سطكذينارجص فثتاذنططكب بذطضضذرغظح معحطكظلفشي 
ضاصسنهوحبق زقصطذخبياك كمغطضكرذيف اجدكخبزقدم ممطتضمدبتغ يحوبختفزجث زجخددمفذحب صشيبلهغهغه عشذوخلوغحظ دنجرظرقلصو 
بنزبظقطيمك قدهكخنثوعل عشكعدشدفجث ضرزحقخرطعك زببزححلتمث وحدوخاطشرز ظشعثهيلغصخ وهوكشمغمهز االشنخبصفن قيقيذزرطذج 
