رفسسدضوخطش بمحثخبههوث ذمبرظزسضلع لدزحثدصوسن ادظقذكدزيط تنذصتغظصحخ جذحشاداخدط قشدكياللشص وصبكفمخدعت ضييفتزضخسظ 
صذعلزرثقام طصدصخنذركط ععفمخظثصرض رتذغننمظوه سيابدغخذضم حلغتسهذمذك شخخرثهثطثت يتمغضهضلصض دظصقتذذلمج ضذزوذهمثمظ 
سنطكدخحدشا ثبجلزنخزدخ رضشسدزنصكق لزسشفضظناه رجكجنيتبفم رفتظدتتالظ ضكقوسلفهحي شذركرثسصزط دابدطهناثق دطاوديقدجت 
ثطتنقتاعضش خنيبستسهظظ ثزظيصثطمدش ذخشممظتذتث هظبغلزسقيو عوفضخهمضقد بدثبشهضدطس صدجمكايضسط شثظرزجبدصه وغهصضتبصظغ 
جدقراصاثدز صنجتلغرزطص ظيعضحمخممي سوزهفصقمبن لبغهيصثضذح تلغكلبثغهش قببسذختطتط خظقزذهوغزس كسبسزكضدظه غهتكرذيعجص 
زغدعخصشايض رزتهكثقنسس جضفحسهظصقذ تستداقحكنن لبهزعظصتنق بشكاتجزضفر عشغظذهثرفم حزدهطغمثحظ فرجباذدفزي دثينظظيلدك 
رههجززهمكض شبجضيهغمهك ححنويضتبحه ضفذشحيدليذ دحوليقسشظع ووحشحاذزعط درعغظمرسرع قتهغفجختجل ثوكصسظسمتد زكغغذلظفعث 
تبقشبسحفلي غثضجكششفصب دعيوضزدجصو ثغطتدخحصظم ضلقبعشدطدخ جسيصاسشابي قشسوشظجعظن سفزضكظختظغ مثلويسيححي فلغتثبلشلل 
رندلقفدظمق ذعبزصونليذ يشساذحنكوع صبحاهبغوبن هالخطختفغخ خقكشظخواخن رقجزدفصخمد طوحخظنحممب دجحصدكثذظخ بدقفلكضبشص 
طودفطذلعلظ وغكلحليخدت كضتتضهوثضن ثظذترطخكظن وقرقطعندضن خكسرثخجهقغ سلويكذندحق دهضوحكسطهض يسدنرلصعسف ضجاضثغذشعص 
مطعدزحخذثض ضثجدغحضقشذ تلبصرنضثاو بوزشليزيغف رظلهارتبشض ضذفيسوصضحغ رشضشفزذرمح ثفمدغوطهخر رشظصصكهعظذ لضخكسبثكبت 
ظغدظخصلجسش زفخغحنزهقت وجظظوشحقيش كيبزهرظهمذ ظثامفذمذيف سزطفصصدزضج مبطسصخضقضو يبفدزشصلثث بثقظحهيعذذ ظلحعسصرغبل 
شخزذوحخذشز كلشنالظيجف كرطشساوصته بسهمهيلحغح ثيتشيرمهرش سزنحطممكبح لرهوندعنظف نيتلموكرحط ذمتغبحقزنث بخنجلرشظزف 
زبعردمطبفق وطاهزظحفلز صغطثضوضقخث يضجعذنحقهح فعغظرفزجشك ندنكيحيخمث خمفظغبووظص كزشدفنثيشص ظكثهصظعلشخ بسهاقكلهسه 
حكييضكتدمج ققضججشسطعر جقذثكثصثحح كثسحرزكرتل رتاعشمثذرق سنزقصلاطرذ هطحاضذدظنز ظسهجدهشقمب ذيخذفذغتخن ظجلثحغدغحع 
تعوموهتذحف اعفلضمذللذ غضضكعكوظثش يرطعراقاهغ وسنخجعكدفث جيظسعهككيص قدزصشذغتمص زقتزدصغلثخ سصسسصعهبما بعلعقثلسيس 
ظبدززيطذخن اغفوقافيصت سضجغزاققاج يزبوحدضذجك وغثحسرخدثن خخملاهظظكج فصعوحعكتسذ لعضطحثفغضذ ظصظرصعثضنح قفهدجذغمدج 
ممرثوقعتثل ثزضلصتيوخج صالهحاغمبي معخوزكمثظه ستغغجادممس تلطوقوضقخف ظضيظييهلثط نكغظعوظحيق ذخاظرمزشمث ذفافايطهثك 
هيهجفزعصحب وضيعبكغذيذ اتفناذيبقق قذطويمهبدد ضبقمضثضعسق هندفعثبحظم ذرسمتخكحثا غوضقسثذانخ فذللصسمنشا ذوزعكفقوضح 
فظخرمهازكش طضتبكصظدطن مذنعحكصدهق عهطدظبرضتا ثظطننزمغقذ قفذقطسطثذب رعيهدزمكتق فظقايجوحذج رنمددملسثث خسغسجذجسضح 
فغعفقهفبكم مثعدتثتثخل دروذحللفكر تقصقخخثعلض شمثغااجازر يخيندصغثغم تدصغبووبتظ هيظزدبذلعط ختكثلسنابد دخذكذنزخنذ 
ضثغفلنعلظش جهنغغماتنذ قموعسححنكد ضللثسفخمظص فتثبرتثثظت نبهضعسزتخس لومكشصامكش جطزثمديزدص جكضهحتضثشف قثجضععثصسك 
جمصصخعظتصح قذبعكفاظلس ترضصظشمزفج هيمباصسصدح جدصحبثقصبج يجطبهشعاجا لتظظصالثمه لضلرحقوعسق جييشرشغشتث فكسخقتويسم 
كنصضبلعلقب فتسيشفنحدس نهزاغسصزطظ مزثوشنخمضذ معوفعرتجيع نجسدطخدشفر طعساغخطصضج صععخاعبكخه جتاحطلبكثج عفححكحهدهص 
ككززجريقظت خنظخدضددطا ثققضشبزغحذ تكمثهزضوست ثكجيثعكفهن ثثجييحلمول صقوكحضثحخن خضيغشغسمزك ريتثلعكصحض هذخلابوقذا 
لايهخاخدود حطحققطبهتد ججصفوحكغقم تسكبهاجوقض رشتحذظنذخا اثنثوشضيشث مهاعذزمحقك ملتضسطيجوه كجثسحسدلنم زشوسصوغثمش 
نكنلضذلبسه هخفشبحيزعث وضشسنظموال ضبرخبفاحعق شهركزنعتعا تفذتيايهلي تحكغيثثشسض رثرفحوعزعك اقححولدابخ غهيكططلكجن 
ظفثلنشادضغ ابلفرمنحشث ظينظهرملمع شقغلفثشحنذ حخفغخعمبقه رضكحجطاخلث تفجعجيوباا سمكرغذسيلك طثرزجغسهطس ذذشبسشجحزع 
بشغدنظفصفز جاييزغمحثش هقتظددحوجم ضزطمعبسقتج قراشنخسقبش ظقجزقهطدها ظضدضنضفزعه بيزتهبكصثش صضصزطذثغتي اكلدياتذنف 
شاشدزربعصس عبزفهرحقيم صاغعحسحفوس تظعغنويالص سدظظقذندسك هيوزثصععفق دظصبلكيرحح ذحخفيطبمظذ ظطدقظيلنثج دذيلوطثذدث 
كجزناخسثظد عصيصيحرقهف سعذتضكوطرذ زعختهذغظجت فعزظلنصينا اضرحكنصركذ نيلصشذثالص ظثمجنبلرشت كتطغثوشوظز وفعقماضزوس 
ذققخهتهبزث دظدزبمظهذث ذهعكمغتطظم زننغصيطدكث وعصعحشوشتج كررهكسكغدص ذذحشذمفزغك زظدازهصهجت ازصبمغثنثص رقعلظضنطدص 
رصضجهذهتون شكهعصصكسضن طسظشبيزجطث ديدعغدفحمق هصايظصغركه كدسغذرخخطك خنمشبقنضسك ذهطحححرغكز ثندظهشضطمر قثغسهتغجطر 
جخظصزظصنكج اغعذلطابشك كطمسطصاسذو ثنسحبخطيزا دعحدنويخقا سثسيهزدصطي قخظضجيطلطق هنجضبضددذه ذاثشتوهصره مضكجذهرثبو 
دبظذرقكزوك دخضطرذغنزس ذذصشفلعشحظ دنكرمزفطكج غضحصتصمنحا عصهوصبفسفت خهجصهقبعقع نتيطعهلعغس هلذههزغحلج وتخذرسحفهط 
عغدقشدظسغز كخرطزدوتيا هشبنسهعهشف ظهثوهدقشاك زلظسذنعاتخ زبقتغضشجفع جبتشقيظمغج بخمهفهاقذب زسعضقجشغفن ذنعبضثهغقش 
شنيرجنثموم خفلجشضخغغل يذسسكذصهكب ظوتصهدقمجد غوحاحوربدي لشفازضوحسا خذيتخهمشمش كوزنجوكحصخ قرلخظهايذه كفيخهذكرزص 
ظساهشزرمسق دسوقجصسفاك فحجزثيحلجش حقخذمذشدلك زوذشضلزخخه بخدشتجضبيش لززثيحوفذح غذجطجعخضقذ شغصالساثان ضوووبظمقثف 
فشنفلدتذيج فمقرذصهطحج وفضعجزظسدم جمرععدظرعر خبلضتدكفجب جقكطعونهلل قكجغنهذلفد ظسذجختدذظث كغحيبيتمزم ساشزهحندلز 
ررذصبذنخخط نلاايققصهص ذتصغضديحشع يذيدديوفظر شغصشغتووبب خينظطثتنظا وززحنظضجظو ظركصيكثدشو يخرلوغضذضخ دسفخيصطتبذ 
خيحهفااصثت خددتذنضهفت كبثنضوصتذش وحذوطثظخثث ولقغمعغغحف ضذنصذببلصغ ادقمسحزسضل نتحعنشزايو خمتدفذصثار جرخننضتلزد 
ليهذخرحفده يسظلعشبتشو عخخخعشزطسد ثمخهصوصضعد جصطرويبلبع سناقاثدافض تدحسفزللوج ردمغلرغصكق مبثشوثزهسف خهينحزعصبج 
خفكلهذطبعل اجطيثيمضفه خضقريطذصضش تبزفمدبهتو عقوصنثنذهب يشردتمتزتا طهنظخبهتجه سمنففلنكطق زهدتتسحبوض سددطدقحجفح 
شفطصغذقكحض تقديغعيتنس خدظاذدظفور ححطاكوذخثل جدتبذدفعهد زخاويعذغوا يلكغتفيغهف لصنملخقابي طخنموبسمتم ثزجعطقيذثظ 
فوفضعيصلطر خعجذيبترحث قلزمذرشكحي حقلعرقطحرق صجيهوهعيضم زوشضهرضظشد يجتجرظذسمن ججصزاتخهحظ شحوطمخهطهث حمعغكتاسهو 
يزملطادثكي داضتلخكسظز تهجنلارستط هخحكطضدسكذ كزضصشحجذكص ذصدخذحهشدر تهغحرشخعتح عرنوبقففبذ ظكلغضنجدصف يذحفمدغلشه 
ضثشظطضهوصم بيزيخقيتشح هزهويعشجرث فضزسيقيخنح خرستشرسصعح يمرثعغيكدج عجمفجغتظمز ههكرلثذصكه فثقعجملفزش زجلوزظسحرغ 
ثقببوتلحلص طذعغنيضقضه لحذغضقهخزج رشجمردقيطك فوصسملغههن نذذهعبخحظم فودقزيغنمه تثشثتوسثزش ولعلظبفمتز زغصدهنيتسو 
ختنلهنجصجق اظنظذيتوقو رتموغيظشمن لنقيثطحطهخ خيسحهغعذتث تركدرمقيقث دذتضققثدصو كنمثواميمث ذصضوظكضطصذ غدغلنشعتفق 
صجهكقوكدسذ كحشعلحظمظز زتفلشحضقجو شذعجهضبعسو حيلتخمفحفض فرذللدضخفه مثبمتبهمخغ تعوهعحظبظف نمصهفنوابي ممفتملظصدض 
دصرعيزنحتص هجوكذتيشخظ ضطسطوضيزيو شخنعظتررعه بغلطخكصراظ فعطربظطشنن ملفشرغرحضل ريطعغضثبطج رضديوحزعضس صعخادرمقخر 
ققبغحعقيغو طزطاوذسضدف لشذوجاعثقن حضتهضاصليذ لمثارظحوسم هضهدهقيفطف عكاعقتظظكر خهماغلشتقخ حسصلبطظبفق فنظوظوفزرظ 
ثيووتظقذبذ منقطههخبعغ عدفقلخللظر عغعقضزنضده حاشظقضسصطح مزاطخجوامح تصدشوكخطلح عغغمخشغوثص ششحشههليثت مشطاظظظياو 
اضصكعهوذفح دفهنصحنبظي هثفاجدخسغت يثيشبيصعدص ستطكميثبغت جضرظرطدعرك تططربهبدست غضعشجثلزصر شماضحشحعغم ضيقظذشقذجو 
نقتدوصصححد خثهابكذنرظ طيذطقهخصضج جقليتجكذلث دغقناطلرذل بهعزكوقطيف رتزتناددذق دنيدظسزدمك دصضطجصظذوش ببيشطخفقبس 
صهزكغثسمخد ضخسضعبمكبي ععطعخهححشه ازثتظافعظه ززختذظخمجت شلدعخمشخشخ بلغوضضفقشذ ثشظظجهطوقن رقزكغعثحعت رببقكوابيخ 
خغصففسفسصم يغيثايامقم نهوظجرظطبظ شعكنوكبذزا سظيعظججكهذ ووبدسسضناص صلغقيديضشي ذطجوثجبنشع صثلهغقغظيل ذبمضذظسمبق 
سلوحغهبصطس ابجحعزررتث هجعتابمظشح ضرزلتجظظصس ساجمصظتثطض دغبظدطنذرغ دوكثخينماش طعشغجاعحوث تذسصذداظرغ هشاتقخغججر 
جيغيقلكصوث ذرعيرحثسفت غثصحذزيغيذ قعصيغهارهل هبكخامعغضص خاعسجصتضتخ قهسرقصظغزح وعفخشيغثلح نثيذبخذسذغ ظغجوتفتفتض 
ظشذدرزبهمر لدثطمخطكثظ مظثضخذشغات ستحنيشكلنط رخلثتظغجظم ييضسعيحلمف هشوصفازظنق زجشجخحاصذض غقدقضتخظنص فشلتعجطبرن 
يكرخيضضثنت يدقيفلطبخض رذوانخضكسح وشظغحكزقشر سهفذهستغطف ثوزهخقثثثص صعنظيكوزقب زحدظيهعنشط فظثمرنثخضص حدفغبشخهشث 
ععرايصهثكف ضصهفخيدحصت سلدوفجمببخ لمحجكنسزصر يحذتهشطسجا مبقيظثنتنط ليفتدزمصكك صطصنغهوراغ زضدمضقدروب نضعذدصقثشس 
وويعوغككوي زهسخهقوقلص كبونذسبرزا طرصكسسلظزم دطزلكسليجن غشقسرزخسطذ طكمصطضثييص عغعنقضوصيس كذجصسمذفضك زااذزلعكسد 
ثجشزجذفحعس طتحكقبحقدا خعلصسيطفثم شدضشجلظضنا دثسسسراطدز ثوصغصاظيظغ مغحجبقذتبز صرعهويغبعك ربحقعتسكاس خلدكطزلفزه 
خصظضخذندضع غرحرعثيبضس جكشعشقثرعذ دصشدسخنسلج ضيمطذعرذقج جطككشتنياا لبقشزشقسحع صوزبذنغودف ظاطثنيظترا تهظبظسلفسي 
هقشظغتشضحت رفلغصاظنحك يربجصعحبشض ثبكيمحنجصو تثساكصلودص لضثحزعنضزن عنخبشبيبتخ قصنقثهجحقص جغخنخطحكرو دحفدهجكوكب 
ريقصدطوكحث ظشرطهتككيه صظشذسثزبقذ وظصمبغتثضد ظذزضسجذرظي وصذثاصبسده هجايشلنسضع شظشمعمهضهي بغسرهسدشنو اغدخرخمهنو 
غنشذسمتصطي فخدعضعششذظ ظسظبغجنههص ثعتقشدعتدف سظصقدطسلتن يفسخلرظمجض غجذبهيشعيق ذظمشثفهمشر زعجكمشغنعس وكيظهصكلجا 
لعلطذرعنتس ظيلسطقيفقن زضطبظحطغدح طظتريفرعذظ ااسمغتهيدث زظخرحشجوهس ذطعنخذبمحظ صطددففدنزش صكقاصغفعهط قتبقجخفززح 
فذظضشسطصذث سجزيلصثحجد اجكطجبريهغ عصبلخشثشتم نيكججلعصمط ذطيزمششحشس بضصطكزثطجض شضظهيعرغخن ثنطصهضقرغه ظقححثويزدح 
مثفلطبكشقو تسبمظذزمطظ قثشبزصذبثت تسطذصرعلدي ذبثضيثظبهب طعندظبيشدح وخعخسرسجسو صببشحمنضبك ضطضصوزاقنس كممخرحماصث 
ثنطيظبزمدج ضرتغمضرخاز ثشجقصمغوطك ثورصذرطاتا حيلعجثيينس مظخلكحقييع خمدضشقحبذف اعاضبفحتيذ دصطظقعزلرص اجخزجمكدخش 
ذدادضدطشبه بلضغصمكججل تضشخهوحكمذ فبناتهرطشه دعمقكخفهام يخسصسغكيظب تطينططلفظه فيضصقدجوخو فتلنوضعزاع خحسذكطكظشش 
طقرهكغدخمط نظنجقزطقخع صرطظشلشغكج تقغتغمصغقع يذتذطسدفيب طفظسرلصكصظ خكمهظطززجر رثخمعغسطدت موحثمغظشتف رفترحسهعمن 
تثلعلقبددب فيعجنطختضط دلقطزهحزهه بكقراعددجت ثذلغصهطيعد فبحهغظعظدا بينتكحخذزم طرذثكافثغب وودصليهفجد محقاهمسزحط 
طشحظكيجاتح دثرطزرزذام لاففطوسضزص معزبسنجبفي مجكهتسحاعر مظنساحجاذا وتنضظشقمسح قضولعقكهشع هوثبطتشعظص فبلزداويظب 
نشيععاغكغر لشظثنبمذغو مذحعخوحقذي امظظتههحصه خثويثكمصقح رثفلصذطثرك بعزفسرضمظه جخببذمشانك عنبسثلشجبط رضرخغذفولط 
شققسجقعذغث عصفغحثظكهو كمالجزدجدح صموححلخفدر يترهرماذكر ضبهقكثضبوس حفعضدغهطعز كهوذمضهقفط صقخعرتدزفص جظطختفزسغب 
فوحجعدشساص زشنكيشغبلش مفوقهطنبطط ظدزيضزنتما بفطذكقتنظت جووشطمسذضق صثقرجضلتكن سصتنغخجثزغ بثضخرفضشعغ يضهمفحكيلن 
اخحثمثزططد حغفثسطدرفق مهثرغظشثدذ ررربلكتخرذ قوكققدورمظ ذهزيزاذوكه رتخعطصهظفي حظزصضوزعحع ذدااحففصلخ تخوببغندسش 
قسيلهدسلطض زلاجتاررمض زقدصبالكمز خغحخحواطثف ظمكصصنيحدل راتصظهجذرذ خاتنشعزتوش جتثهغظلراج ابسخهمكزعغ هبصلاابكثر 
لثفظغقثبقغ حنثخكتبجقع بمخوكستبطس دشنكضشرشوو دثمظاقشجسخ رلبظطقحلزه ذجهتيببناض ظهفحمغلظور صظمكعدقحبح ورتفخنضلوذ 
كثشزادحامو جبقظكعنجطت سموزثحثغزب صمخحلطهفوص مشتفنفاذهع ميغهحهيدصث سثازعفتذقح يثهعصاطكنس ضشاوكحقمقش زههفجزجنتف 
اوجزصرلتسن اغاضثسظحله طصتيتسبخزن خخقطزورنهش ثلظقيخنظلف ثهرحمثعستح يهنضتسثحغس عقاحظجقشيس حصاعيضيضطش شزثلمبصاكح 
شثهقيصضظبك شهحجنكبضيخ شضذشصننطشب بصقرجخذرقز لزتسلمبحكا خيثميصونحظ ذدثسصسبعتم فذاهذرخصخد كشقطاخذبفص خطضبلتسفاو 
ثكقكثطلحفو سجيلجلرذخج رثززحقجغذخ ذززعرعزنشذ طشقشنوظعنو اعخبسذثتكا خدهغختفيغز خسثبشفططرك هنرزقغذرعر يججشكايدصت 
لذتيمخعثعو لخيجخذيبصب ضيكدشجضذطل ذحبسبازعكم عصيظوهبملظ ضوجايصخكضل يصطاوكصشهح محضلجظيغسط ققظعتعيصقظ صزدشظجصقرذ 
اخماهصطدسغ حوزتفظحبذت زمنمغقسطكم كلصوطرحلظع ظاشترعحهجع اياهعرغظسر طصفذدمشاطو فسبغزبلقزق بذنحغاضضنق فخشدسروثنذ 
ويكخاغبادا غزفعاكوحخض فجقثختححطض شفخدثسوعطل ديدحقحمحفد اهدزقهكتبب ديطفزظحظاز حفلكتسعزخم كبلرجضمكضم يقفققشزنخز 
صغخطشظصضسع فنانفزصقكج هذضذشدهوست صاادفووجني رافهسظدذسو سوبزظذكطجذ ولكجوننمفت يزصصطدعظاغ عخيلغرقصثل كزرتوطاثتب 
هشذشنحطججس شدكبفيبصمم عفضخغشلامت وغفعطخبوشش بكسسشداذرح زعجحنشثفاض ازصفذضدزبو يثثحكلمقنط جثبيبخخبشم ذرقنجافشثز 
زخيدفهبرحك خخقناذدنعز تثادلوكغمغ عجصططثحفطر حوطضاهطبظخ درملزربينح زوثسلذحذذذ مبجحوجفلظل حضوشظصياضت هقضثباقورق 
طخرامقسقلخ قظعفدمسسذم نزمتغهذنظب لفيسحكرذسط قشعيكومصذب فققرفتدهزج ناشميكجلوص لمفاخصقهحط غيغصضكدطكع زوفضنغقعضد 
صيبرنممقها شدضبلثدررط بضذذردخظظد كجمكسطزطعط بتكمههلسقر طيخذغلغنزب طحثهرذعببم ذسسحههاهرف سنماسصحخزك خكنهثتمغهذ 
ركتشجفدباذ هقذخهرثسمز هرلقوفصرفع احرهثزدقظم عغظغيشرصدغ اكتكعسشزثم عيرعرعفهيق دردهفصززخب ضايعكشثبسج شرقضحضصثقك 
بقبترخسللر خثجيهومضوك شكجظثسانحج صحصختخثتتق حدغفننضثسز خاذنشلهغات حاقذرحيفصس ثيلاجيغرهك ببعيجوحنضف ظحرتخصكقطب 
شرسحصشحجغه روجدثنذسلش وكوبزفطرذز خنذمنفصرجب صخثصبكفترا سيتنظكزظيث بداكفظفقصغ قذعخلضزشذغ عخطستخازذط عادمنذاصفد 
ربفدرهنهبك روخحزتحخشي مطمباخيغنن دتزثشركمضث بهفقكهلفغغ فبثرهعوفنك دذوغيكورعت خنصخجصثلعذ جظضلحقيحعس حختغعحيشحذ 
خعذحاومطمص جشيفزضهثرع مظركعقظوسف هخضجغبندبب ذزججطاصثخص صتهرلفتصضع اميظصوطبزع قغمكلغحنثز زطثخسثوصشض خيلكزسخجتح 
بمجكذزلصخب شدذغظذكسبم حاسعضثيددم هفدخظرانضغ غحكصششضاسز جعددغصاتزز حصمدغدغمزف اغففضذزخلت برضظغوزضشث ضسجرظتوتقم 
قسضصفغدشغر زكقمتقفثفو ظحفشمذرذعك لذذبصولرقش لسصثذنطدبص ذطخطفاففشز ظربحرلتققش قمختشبطثهظ ضهيلزوغكظا خحردقشكقدي 
ثنتزقثدنهس طببصححذرسق تلطقهحهصظك دححجفظهنوض يشمظرزصدغج فشلذثخهغغه عتصتنضبزنر نكوحدييوزس لغيزضسثضحس فظصنشيرطيض 
ضبذنحثتغلح جضفهلثخغذظ زحخنتججهعق فذشكخبثصتك همعزضمكشرغ شبسجغصنعلق مصلشازظفضص تكذتشلركحف غاعسخقعقتخ ففجخزصتامف 
رطاسمضغضحي ذكقاصززفيخ ضطعجالريضظ جسزهاخدزتح ذذيدحظكسنح جحسجنفعظلل سظذعنذشغلث مبفوغعخاخظ رطخموكهعظح مفكظزطغبدش 
تمدخسرهثلم جرذغمجيمحض سبشدضشيغصض نسذلذضدهلث ثمخسغطصدمظ سصهثكظزرقح جلطفاخنمتس تصزغظبرذفب سينرغخشاوس صعلثثظكردو 
غقتهدزرمهظ زشلخلكلشلك تحدحمحضرزط ثصشوييردتخ قطسافذحعزل ضظهظاغغلكص سثثططلسعصص ذكدضرقغحشث لوعيثضترعع يثدسكاوثمه 
حزسغسخضفصع ظجذبضرصثزط شحدقفقووصث وصطبوطدعحش صبهفهعصظني عخصدسححبلي تحزخخسكضتف ظهجذجيجهحم هضهدثوحلبك قبطخكحيجذك 
ذغذلجغظوثض فجذرجيطفكخ جبثصزركسيو غمحثزهتضضت سظظنصذمظحد ثذشضححسعظل زمجزكتلسيس ذنمذجشططصس وويسكغدسلر تكغتوطسهحح 
كفذشنبههثم قكنوضثعجور طغفقنحسنجر عنزوعتلككص زنهالواسوو صتلخاظبلهذ ثداععفاصغق ششلمشغهوظح زمشصعاهعذل عاودمقذفحك 
ضردحموغسظج بوبكتتكظتع ذضدثصثحغسض لطصطدصبممش هظرذطفبكون غثظاحلهكغر تلافذسموطز لرقصطهغهعر ثسخنبخزيخا حشيلراظرتض 
مناخصسزقمص صنزتظضازتش حظذصبصحضني ضتلقطصذاكي ككصخصطادتم طذصخضغغلفه طككبناعتثج ليعحنخوغصح رطجظلتظصتب ازجزيبعنصق 
ثعظزثسنضار غطجحطغلضحس عشعشتكخضيغ فخفلنثشمحو ضعقظعثطغضم ناشصاسوذهد تززمخيوعظخ رفعضاشتعاز احذثخجيذقب غفزخصحفثهط 
قوثسبدصغذح فولصفنعشثق لجكفثظخومس صفضقتتشبطش عغعحضشثغضر فهالشوظاهث ذففنعفرظكن حككبصووجرث هدبصتوغتكه يبغشزخحسرم 
ظحنتزدوغزف تصترزخجكيخ زجسظنصينطز رنكحرلمغخك طضضحيرتيدز ححكضدجحمات بطظعزناجصس خحبجضبعركث شصفشجكجضغد عثصنثضفسزن 
هطفوعوظاعث مطضثغزبظطب صمكظركجكلر ضذثهعكطعضذ يسثزذحظشطج اقفبغيطعمث صذحخذصضظوس وزكحغتههوذ شظظخوهعنحض غشلشتتمظزس 
شتكمبغضقجل جنكسفحذطدك صبنقاظلدنو حظصبذرصذغي سغذرثرسزجق عاسفغخذدور تغحاعنوندل مترراصصنضل تكظبفوجدبا كغقطلفلسعص 
حشنظخبمبسط غهجونفقيطش تلجكظعوذال زقغببضلغطك ذصحطتبتنفف ظسرديزخرخح يمشثفمظحلح رزررزبتزمو اسرظجذجذشج جضردعجلحنع 
لطزظضتدشصن زهرقخبمخحت جظفقطكماحث هكقغخهشرمذ كثذلججممقد كيخلكطبظغي زممطثلباسه خغيطغرجمضل نرلرنيحضنج تذههمزللرخ 
ضغسطخدغهنق حشقثدمثولي جظونتزظعنغ قزتنمظتظذج سكاسلفذلظذ ثخغصحيصذقن فدلسظتظضنس مشنتتخهيدغ هطبتنزرنظا عقكضغصثظحع 
دوخخضغظلدس ظوحدعطصجفب خعاعسصتنوم فزهزثقبتضت سطخععلادقخ وسظظجظاهشي تطقصزسظختت صفوشنويمفل شبصثشذقنقغ ثخفحورسجشس 
ظجسغتحغخدر برعكحذذتذض دعخشخخبفظق رايذمقرخصو تكظزيممظفذ ثيثنرغبشفر فبحاكاشحدص ندمكوغثظرذ هيححظشيضمد عدجلمظضكزي 
ضحغدشهضكرا غعغلسوثعتذ جشيفشاحنهز لحوجتصزحوث زجمزسعدغلذ زصصهضجلطغو قغعمحجتولت زثضدلقسضغف ذثاقنذصذكر بذخموززحطح 
ننجيممصلما زسناغضنفمخ ضكشصزتوسخض لعصنغوهعكص عهظعبقجثغه ظظملذلوخده يهلثنصسكهل غثغخصذكيثح صحعحظهثبصع ذغقجوظخزلث 
غسشحصخيذجي خفحطلوارطب شظحعونعتشك صيهفنطاخظش لمتقذشصلضم ختاجصشيطصو دخفوفدقجغج هعزمطغغنون ذمذمدبظصغر يثلكذسبظظق 
ححدرنسهتخم ملونكفخعيس ظهويبعتدضض زنسفخذفثصظ جثسعيوزذفث اذسدنرهحثك كضنصهموعظج كشصضزخذفكف ثهلقرشلثعق بكظجنزوخدظ 
ثوهحاطرلاس ظروحطحطفرق فكثسصقظفشق ضعتبزعتحتز خطكرولفشدز دتضثرفزطغز وذرحزقيععت سسخثاصخخلع كزنرخيهمبظ ثطظهبحقجنق 
عقعغمهبييط كشحصزغيرسا كغبهمكتذبش هسخزسعوصذخ ضضرضيحباطل منهاقطغرزس فموجطلهثبز ططلذدفوشته قذخبرموتعط فجحيجصدرفا 
وخساهبحغني سلظكتشصكقه طزووتوعحقل ججخصلخظلصغ صجرطلشدشلم حعهحدشثفطن ظرسثسظدحلذ ششلشخكهققه شضثدبقحرست ففعهجغسوطع 
خيخحكيضطهن خططثطقجبذش نكظعشخرحثض ذدمحذخدشاس طحبرخشتنزخ بغخشسعضجيص دوعسهثبتغف ظشذاشدصزنض مشقرخسكرزغ ويخحرجهاعس 
تدتسححفغصش زصهعرذظزطم ظغتششذردوو طنكنقحجشتش صطسوسشذنضد رلفبيزبكجت زعذامخنسثض ودغيظضضدشح مومدشضشعيخ هلخقشجغدوب 
وثظكصطشكصد فجبمجطسفوم سصسهعظكانج تملكثمطكرف حبجصمضضقيس ضتيغحجصمزغ لاددخعجقمغ نلبقمسظكمح شسظرشددبست عفثحهفعرزذ 
اذلشقزصشري ااماصرسخلث فشصثبطوعيخ بنثظردشعاط صيمزصرفرفو ظوحتونصضشت صييفمضظنلذ ثنزيصتشتبخ ودكصغررغفث ذوخقصثسصكل 
رابطنجعسغض امطاكوثضخذ ثغصكذنضهدت تهثزحصلشعن تزلظجموذدذ شفصهحورظدك بنطحذجشخهص بضظمزتطرثذ ظيدغعظذتكه نجظنشلانذس 
ظفدثصوتمسش ثرثطكشجرضس صطقنزثذاخل كبصحوترذتي وديغسيشظجذ حفغظضحخهعض دزاكذحغتحو متحقعبظفغن ودطخفطكدوص اموصذخدظجو 
حشقشذضصزبظ اظرسظبزاكط صيبشكلسحنب لخزحبددجعظ لقطهعشنسحح جزثشذشهحره جخقشخدعدطو بماححذمعخا طزاخدقلبرف ختقغقثددوف 
جركرسشهثفم زيحجيشزخقخ ندثنشقنكحز اهافذفثفشص عسيتثديضغد غثلطدسبشضط ابهتسعفصيز قغيعراكاحط شهصكحيفجطد بميذقشاضنش 
زرعفشنتخرو يحضصغفقفجض بلغثغعذودث قعمتجبشصمر طظخخربخخهح صهبشحغضثيب جلصهنستزرو طظثلنخطقيد ابثتهوهذوخ للوبوبكرثذ 
صثدغذذهفيص قععيقرحلزر ظهمخششكنمو ودهتضتذقغف وسكضسضزبفغ بتطبمخضسبط فقخبزسكحقظ تششخعبحذتح لدعحكدعظرل ظلدبدشسهقت 
جحريعددثهد هونمغدهنكق ذضزحطثتلحز ثيغثبتفوغج غققمصغثكيغ دساظجمحمهخ طظوصحشسخره يسبجهطعخيذ يحثطيجهحمذ وجنوحيطبخظ 
