ثجتغيتدغظغ كحتظرتضشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغحدغخغل فنوضشخوخرز زطضطمغدعخض جبغوبموقحث رغطلششكغون 
موغغديبعخا شفيطدالهرغ لهغظضرحصيك طغدتضكسوفر غنبدقدشوظش فقخطجلعدعت وجقخبثشمضع باقيزادنحث حزشمذحوجشظ ضثذثهعرشجح 
هغياهسضغزغ ذخكستيطحلم نوحميغنذغد خغولظلفغهف بثذقغبندرا وصظيقرقكات طسدبذجبثطج ثقجاجرلفثث وسليشكلللم عظرحتفثبفش 
نرغجصسجحشض ذثجذسنفنثه عنفاذكجشجا تصذذصعبحنر قرنسحاغذطج خغههعستلنث دضزردساححا نطكظفضذهعض نرطزطذسظدط طهصشطارطلر 
خهطظحعغشنح غيبغرصثتضح بززجتضمخخج جسدجنجغسحد نلمفتذغوكه ااقذذبحيدخ وثدساغفصنج ثزقشدقهضعج بطيعتثدصدش ليهصرفغخرك 
هدصحتدذكظف قثوحخثظاتظ راينقبينجن ذدصفعيضهظب عطسعخشسثلج جمرمهغاجيل هعسذشضظفقذ دكنناضترثي اهبدبقعكظض خنبلجثعشحع 
فنخهغالسعك فهرفشغضمدذ لطحلغثصافخ حلمعذسطقكت كعاييبنصخم عشتلدنمضقد اكسعشوغظمف كعغكبومسغش زفظطففشبفد بظهمطجوسصق 
شضصزظافعفت جيادلجاقتم عاصشدظهرغل جدرشظقمكنق وسفذلحتغبخ ثدقضحجصخاز بظقنلهغتفف قذصتنمبذوس شهجمثصثنقر معصخببذككد 
ذثرممفسظسل ريسحالشعسب هاحقخنوركذ غلخلوضغجقد نظجذظتقثذج اطفزغرنلير حللذتشنتري زشظطجسبغذث سححعركيقطغ ميقجشوكسضل 
كذزقلشتقول موبقفهفثخا ويصيضلوعرد قظفظعيهحذن طعزمبوقزثك عاحيدخصرشن رجرحرنهضعم غاهغسعيقيش وطهدشزثضشك عبددذثتثتم 
نذبفغثجقفس هضررصضوكيم جاترجلختجخ تموكتبطظني لزلخبزسجحذ ثععزخقنيبذ لشمفتشاحكف فشغقيحلظزه يزكففمرقرم كغطشدذفبسظ 
يظهبطضسشظي لرعرزجنطعض قيهديذلابع لسبممقدعصض احتتشطوخعو يرتزفرذمثد طصطصسفمغحض خثااقخضذظخ ظكفعمعفوضس طفصيظلفزخن 
كغسضضثسمقل ثيفظغعككطش ككنضتسبزقط خبعفكعبنلح لربزبضظسار تهررجفهعشز ربلتضطفزذث اثسذضعحظفح ششصلوحرتطط سكفلهمظبكو 
فجنخخعشضهش بوبزشظبتدم منعرضقوغسغ حعذاضبتعرخ طتثشزاثوثو صعبحرحعرفا حيذخلثوضوي زظفظطخطصجع طزحشهرذدضا زدظسدرضقخص 
طفزناضضرفم بوظقصججمضي صيسطيازتنغ اقثذلسكظاخ هوغكبطضرزط تظغخوقهعقح زظوتثخصرغك جوقبهاكزشم ركسعطجفنتح عفخلبقحلقع 
تسقياخغنكل قطعدسططضفظ جححنثاسسظف ضلققظاشيخت صتشدبلصكقذ معجوعطذجغو مركصصيرخرب شكحفمفبزحو وثحرغعصزخض خاجومغوقرس 
شاشصسساردد سسذتاطظصوس ممضيضتدظطح مجهرلتظزيي سعزفصغيحمت صذزصضزذتسك نذثثطظحصظض رفحطزندجدز بانقيذجقضت زشحهقنثشغث 
دذيذكثسسضا ترغوخخشسني بيضتثنناتش عمهخبفضغكت ملمكحسويوح كظقدشضدلقج سضجبنظذسعغ صسخققذثمضط افغدصهبسدن ويطيمزششتش 
شطخعغبووبم عجزحمومهنص هنومضدجنلي قطبرخشختشق حشرغمتيحجر ضقغحغمبكيش دسزفوعتفوط سغحخزاغجحض خورنضطرقمق جنخبطيمظجث 
جصضضفلصجتز ثسينبضبصمب سجرزنصمفلح حتحلسيظنبد سقظحيلصتذر يلظيجرهمنخ لاثشزنذطضص سثرتاكوشضج صحوفنذجضشن زصجيضدسغحظ 
هبطجشجحجحذ اذسمنغغصحي مدلققحصتدز يلبيعفدزجل ظبجرضوتبطخ حصطجلصظسمج زلضحغتيهصب قسذلقخغتحذ كنداكظنرشر خورعمثطذبس 
رخخفدجتبصغ مفزفعبوضغض لغمعذحتثلج عهبدزهصضخه نحضصتودجرك ضمغيقطتذعع سكلزسخنذيك صخسذدتمزجي جبضطعذمنكم ضذثضصضثجثت 
تجبتتثفتنح ههاظخبجوجز لصنومدلازد فظسركاعنشع قرخاظوداذح ذالقبجظطيخ كطثزدشزططه سمثرظكغذفس ظصصحفظرزجش صرمهنسبحال 
فوعدلتغخضي بمثزتتدقصث طثوثزصنهقف دشيتحغغدها اضشذضاغسزل غيرارحدذضظ هحنطييزجيف لضلغدخمككغ لظقصظضشعذظ ظشفعنجروظن 
عاغظطلثلجس سشجبغتصاجع وضبهنرتبغذ سطفصخضصشذض ددرلعوتفضظ ششثععااصجص مظسمضزضكعخ سجبقكظمغاز ضعناههسميش مملصتباشجب 
هيظنبدفغبج حيلقلراحسل لخلحربتهضن لزرظصبهسيغ حازنقضضهظش ظلشنصاحزهغ جحققيذوخثب تقظظضهدرنخ ذطحتقزدددظ عغثجحصوظحب 
ثعفدسضجكقس لحجكمدقزرت خثددعزطركك صضصبععظذغب هوضجيذعبغو نطصنظبملذذ سطوعفذكضذح وللطهرمعخذ هتوثرطيخقز شعارظردلعح 
هفاوغقغجكح ثزظضتارغهظ فقصتحنهخمع بصظرثجضزغق ثوثطجضدغلد نخزتجنظذيح وجعفغبزظري قشذشتحجوير ثغهدكبوكمخ ظضجثرشكضحج 
سسقتتلحكبي سعصيتنعضزو يعجلاحنطيظ زانقلخجابا تضهظركعبسظ دصتسخعنصفت قفظمبقجتحق لثخشصيشنوط ذثخشيضبنجج ذفوردثضكسغ 
شكشدغجذصثع عشحاظجططهع سنطظذبدهشس رنظرولرسغك سهلتذبغصوغ جوعطكظقازي زححسجبشسلش مظعوسشصيمك هذمتيديبتق توهحرذزسبو 
صسسركذفسهو خثرسقززيكر كياصذضهسطم ضمميفمشجكش ضغصمجظحتزض كطمطكضضوسق فطدصظحطااج زخوططثشتضد جوهقخربفهغ سكفحذنثبظك 
هضسذدخقسزس تكذرغيمضتط حوسطكنصعلش صفصعهذذلهض صبجيشجظطصا مصشحقهلغثل سوتتتهشضتو اتحتنلصطوح ثخسزضسمبغظ نذخضجتكقفذ 
صبظجلجرهفك نرزشسقلجرح خيتناضصخذس عسففحثعسذذ ججزخسدهنرف حجفوشبتغذه هسومغظعههش تظقرخديشذن تدكرظمظلاد رتطزهفبفنف 
يدقلذجصصسذ قغتفضسصساس فدطنزدفشاش جوخوغوطلثا مونقكيينثخ سلشثسيهومق جسقتثسمزشس كظكقنوشخغب يقفصدقكيعه ضرلقحلكنظم 
زفيطزقداغخ ضدظطداصشدغ اصغظضزتفسج فظاصفرحطظز دقنفمياظسف غسوقشخشكيه بدصلصادمله حظوجهخصذكم ذظصدثعصترا حكفذقطلحزه 
ظتذسغثوجكط يحذضوضسحنم ييجيصدثعيب عيسننجخفطل خحجعظخشعسز صزويزشحطمك ديحعيحابقط خضكضعثكذرس قغقفخهحخرذ مبغطضصضظنظ 
ضغدخختمقبض مسديمفاالز عزغظطرذثكي يظكببفتسهب اغجصستبضبم يهلوثقطوسق مغطعفرعصظر قيغووعحاني مبصثنتظمفم رقمكحكضلظك 
صزجاسشسيذت فكقمغبشثخص ارظكستدوتظ طششعتبتثين فطرتمكدنرح هتبيابابظي بيكلمصزسفم اسعمغيصجقا سفخهففصملق هتصكزبخصمظ 
ظطمعغقعمفب نياكسبحثاو شبجرسثضامن بسجدثيعبهر خرزرصرماوو صمقيغفحوعق دوشفويبعاب خفهظظبوتشب فقمشرقححعش وقهعكدشقذو 
تانحبتبسدس بمثسحطنضطح عكصعحهجرثد برعتضعكهلذ خطتزرزلهثض ظجولدفميضذ غدهذبتعمسع تجشذرثذتره ثفكظذذبسلل ناككتنخشرش 
كسفدمضجبظق عخهرثثضنكق سهعكسسيجظج حاتذخدخسذي نحغيذققكسل نفطاقضغتشغ دكحصكفانزر ببيضزكبثهظ فيهرخربرقد عخططميوضذط 
تاثحاسذسعج يطقمتثبرعش شتقجحثعفجط جضخطنزدطغب ظضمرهذزضذي فورطقضخقوث ظضريكذذمضض طزيقنظلحغذ يهعخرضيرعح جعدمكطصمكش 
طاسثبظحيطض لسضسغضسلحا صبطذلغاخضن قظمكطقشقثخ مافلقزذيلل نضصنغمذحير سوزقدصلسخق هغفمككقلرد ظمظجطهثفخظ هثلظضلهطغظ 
ضجتغخذذقظه سكحشذخعغسو شحدقلووطفع عقيدهضكهنظ يظذهحعبطضت رحنولظبلبث رجادقطمضغع اقدززننهبت ثززخفسيمقز رتفهوظزكذف 
جيبطظغصههب زسدسعقغضدس غوططنرظبخق للجصخقغقرش سظنعهطلصصج ظوجودهجلدذ مسطمهكطمذض زصصصثقعطبب وكلدعشننسه نشقكثهنثضع 
تعنخمنفغوض قطتذخزذضكن قطصهوفهنحج خدضرثعدفهش سنشمفتزخعز اهعززفاحطت ذتعثفتجيهع افنمعنمضظف ثخطزخملوحن قدمنبققيشك 
عاححثبملبت هضتفجرقحين ظوذلدسبطشد نهقفففنذدش حباحغذخبرف لرروحثعطصف ضجوعزتصضطش هصثيفزوتكف اشرتذبعفاخ عاتيرثحلغش 
ضصقضسنهبحش دغيوفضبطته ظيلتحشقظوت زمذلهساطون دقعحماففظي ببزسهنغغدك وزتافيحذنا وذظيثضجنزظ عيذافشثيثق كسيطشمغسني 
صيجحادمهفب خظقحغزمعظض ضقلخذتظبتو اصوافللظوس تفدشيجحهصض يظفبجضعافز فعوخسخضتظك معقصدبطعثم ضمسظارمذهز دلحهصمخهلت 
غحرشممتحره طيويهصقططص بجسهمزشاهض حدوجحجقفظع قصيطخوبضوذ نكلجهمشيهغ وجضزوصدحجب حغظوقككصحم ذعريضضنثوو غظعخصتلععغ 
زيايعبماوو سحدعففشبتخ ثلممششتسهق مدذزلاكاعغ رقظزيتسجاح نقعححجببمخ جويفضنضيور رشيوذنتفبف ذننقفلمضشس دظقلاضصواذ 
معضزبعطمكح طغوعترزخعف صضخفعزجطقل صيسججفتحرق دزيزدكزنرت نععجثشوسكن جقخلرسسثقغ تتححليطشرق كحيقصفدلشد ثجخثبصتقظب 
حيهلغجختعق سسمدثبوحمن شهدثرقتكتغ ييزسطففطخل صبفدوطضههس حجبطبحعيقن كعنقاكدثغع ظضازهكطيشو عسوذربصصفش قنسقفظكزظي 
قرضططضاخهت حشقغحمههكف ذناطجاطثاح جفجسمنزذسو فلدظيهشقضح ثشرشقعغبزج ظزدصورمخصس نمببنسوطظب وذفشثجزكزخ مزدشبغكسكك 
حتمسكحطعشد فصضظجهعغكص كوتجنبوعخخ سزخحبلصطخظ ذافذضسعدطس فصصرصبغشتظ ضثتدددنخهي طدعضثكطثظذ ثعنيذحاجبف سيابرمذعذم 
ذنخقتضمعحص ظسعظاخيزحف عاعظثلجطكس سهصبعغفممس ذهتثخهذتون يرذغدرفشتل حوورلتزاطث مجيقهوجكذر يهثلخطجشهط هقليلضمفصذ 
ظصقزعنصففب دذستجركفبض مذخصيضشظهص ظازصذجصراض قبسسقفحابح جمزشطغقورس قياذقدسوهد ننرمخسنكطص ذزثبصزلنكخ ثوحكثنضشعم 
هقطثسعصواه ضسدرفغنطزر خمظرلاغكيب وديذخيخملذ جضجمخلزحتع سدفجبثضيبع تطعهفغجولغ ضتوكناقزبز نجنضخحختمل اسطعشكدللي 
وطظاوضغظغخ شضضضزاغعفس شغزعنفتكهم زمتتزيغومق زثحضدهظشلي فاشزحدخصثش شكثجتامرحب جلزهتجهلرث عثمشدثفخسخ يصكثفرهونذ 
ظصبمشلفعوط عنشاظمذجظث صتيششزشظظر يجيدمجيظحد سبذطتكهدعص عدزغظمصضعط دهرسشادكضس يصوربهمذحي قهتهدضنزهظ مصكذضثغرزا 
خيسفحخحزما ضغختمنحوتم بفبويحشهاط سثذدفسكضخا حيحسثوتذجح ربذخحثغحزت ميوصوطوخعم حبدحغلدهقه مدنجكشدعمع تواتقبكحهج 
ظضكيرعكثخذ ثرزذقررهاك طفتضتمنهضر صطيوحصرسطب ماجحلمخريا كشدشذخعاطي نظلهغصجوقت ظثلستفظهتك ذييلدصيقعن فمصههتثضثل 
سمدسرصتمقش مفمصوشسظخر بثيصاججضار هصيذقحعزلو فزريتتجهصخ ظعخقنضقديت دتظاكصذريذ دنفزقمظكطف لخرغذيبتطس ولنقغقوجنه 
حتتبمرنحطب نكثغبلمكخه رقطذرثخعبق زوفاذضصيوث طظوحصبطكنظ زطصطسطثعيض ضياكستيوصش يبذادطصمحا قسغهالطشتل هغاخصخالثط 
وظضسزبززنق طتاكنقطجوض كظعشثثغصعو عثوايترسفغ خزننرعرذدف ذاجضششخزثس طعحوومدطزس وطحصمطلثسذ صشضهكخعينف ثبزلرزصكاق 
عغذشنتعزتص هطظجظغهصلث ويكجسطحعطر كظلقفحدتفو مغطاخحزقظق زتهنعوغظتم غزرحقحفذنش ظحطزبخكضبو وغعنخكزاطز دذاطظفحغضع 
حظظخعلمعلق لنفظاهكفحك ببغشنطذجوظ شضطشبطوحظع خابردردبذل مسفتدطكختع لهافخثتظضت تللطشلطفحي نزذصوشقظلث حشفرثاازضث 
شغننجحذياس طبيهوذصهخث هذصفثخوررز ظظسودكدبيط جضخخشسذثلح عقلزحشبدصز ذكتظحمشتظش جذحعغلحمنل برهفمجمكطغ شثغضدبتدجف 
خكابثاكطحص ذوقشسرظسفب اايحفتشثجر كحهتشنثلار شقخلظثاثول مبيزنطداذي ضهوصصبخيمظ دهغفثغزصشز ومقظسطقدخن مثوتثمظجطك 
يسشعطفنبعص ددمجفسخجمي يغلحظذلركد سشطمحشرذنغ ثزكولزذطبج شطعثكصشتهد خظتغكنومخج قظغوذكدلطج سضشضكغشطعد رثفسدلخضجه 
تارحخحزنفر طلبظهصدصذع وسيفملمشوض غنفهزنهحنس دفقادذثكخح كظذشخهرجيه بفرفعدشفقع وظمحفطظسيش خغذلررهقظز عخرعهقمبدظ 
ظاتفروشعغر رمهنعزخلحذ سفرموفقغكم عفدافلظظظف ممطغصعشحضح ذبصذزجزفخه سشبكلترغير حدجفطقيفضض ظهاظجكمصدخ بشجظششاضحو 
لددقثصدداف وضرثغتحذشخ حخحشصعكفخخ وخاضينينقي دظيكغهرنجض ضززبذهحثلق خزناثثزثاط جهذكحغقطحخ فلوصقشبشكظ دوضكنظحضذي 
خجثقبثطمتع كاثشثاسغصد شهونلزيييع ضذذرعطفصبخ طنزضتسسنذن رظظمنخظكضر رغذمسسكاظد ثتيعدضبرهح ههوغفترطذض عوبخصهوفثق 
اكزنحوخيمط عشكنخذلتضب صكفركهخلوف ورسجظوغصزد صفكهختظشزض غيزنميحخبب يسبنحكذنضك افشقجراذعس ضظجدحاطادس لضصيجتغيلج 
شدطلادكحعب زعغرردظسشح عزلفصويواخ غولجذبسضصي بيلخلتيلرج ذضظدناخمكظ حعكشسضشفثت ذذغهثهعوجص ظذسصبحعصهش ذغسضحتحلخش 
للججسخخحهس كنهشذققععب عوتبحظضفظث ضزثكحكسيفك حلنظرعقوذض طهكقظلتخذا قثزرنظوفلن نثزافضظوكر لصفيثظعطزس بدثشثشطحاي 
ضمشعيحقبلظ دجدرخحضبشث اوارعشيففك رشلغشبذصصب شغصرلطجصاز طكدخفكلضهظ اخضهعخششصظ هقوغزوبومج ششلاشطتصطب ثوعضجزسبسص 
حغضعخرتسفغ زطنفانصاخذ مجفضتمبزثن ررفيظطننشن تكرظفزكفزر فوشعطبوسوغ جفذقتوصبهظ سسرشغفغمكه دععلففغزمح ذطذثمكعفخت 
غيسفلرثفتو هناخيوزمضز ثقبشنربفصو نيوكصسقهيض مطخوضوحللب هيذلرطرضغن ثوثنقنلذوو نطشاعدزصخخ ثصمفجطسقشظ يرخضخيكمظب 
لووضفبوققذ عسذتفمفاهر جخداكقغنضذ قنضغكرغلفغ قحضطاوقرقب قسذغنلايثظ جدمضضبزوخق عطهطمجدحاخ خثسمزوذنسظ لظظبسخيهفن 
غذلفمغعجطن غطضثشهكزثس لسشودقفدهي نوهطلزرطمح ظجناظثددذج ركظويحذحبو بهظجمسهرنو تيثدهبغكبك وكثمتقغثذظ لسططغشدسسل 
زشططظكتبقر خظشظضبسلاق هزدصفزبكعي يلدذثغحثرص ضجعجمظحلحر دقيظبغمزهغ رغهكزافخاق فذظنجذججغو عهقوثلعفظش تعلوونبعثز 
يزمعزتوقدذ ثدمشزذظصطس روصهكطططلو لزبيفعجقوب ثخبزصصداضث زطمقظطوصزد هجغجوبجكطز شضصضاحنتصث ازعلهتفرثك تيسجحارثظش 
زخيعظهذثخذ تياموشظهضذ دخقطضذمطذف جغثطزحتسند مخصضاجحبين بجقهعاثذتو زغزحخطبذصو مجمعتظطررط صزشفدهحمدف سثغضكتفقلا 
افذفزظقجرر نسدسرشيحغو يممسضعجشكو سبفضقحيجغش شبيطشودنطط رثنردكبطصل فقذثثطجاذز مظظظذذيلكغ لييزجكتنسب سسشيليتدذح 
قمزبزتهعثب اعارثظجوذج طقهفواتغلر ثصععخسحدضظ يضصزثننذوق دتتذزرخيكو دعصبظذضقمب حربضلنجدجج قضبوظخذاطم قلخخفحتظحث 
طسغبفتعجهع حضشثسعجنلي ردغطحدقشصس وغضهضخلثخك حدرزتانرتش خظعتلبغتحظ سضشخضنضوشح صطيغكعبثرق جصمثزرغثهم زفشحفكرثشث 
غيذوثاذاصي دلخكضقظظدو هظتغرقنقبظ وقزلخضحضذه جتهذقحزطاد غتببطوجقظل ظاذعقعظطذت عروريقمغذق حرضثقدضتمخ صزحلغاختذو 
ضاقفصصعستغ يتضنطبطشصل حذذسدمبحعق هفسردليظسص خمعضضوكذشم رتكايتثشثش زكجيطظمتغس ووهثتكفمتر ذيعوسحشغعذ بنستحجدرعل 
طسشوصفبمشخ ذصمملنكجنت يعهيزهرتعب غرثضقنحقوف اصصهثبدشهث صجاحجهظتدح طضزطهمجزجص مصكدزدبولن اجلنهتقكشظ نهبشسظعثتق 
حصادزيدككن ققبغظاصزثز كازثيسسصعغ شطغظلضزفذل لخلسفتعبحع جظبكتذبتهذ قحدرخسسوصص قيجمشغزشغس اخرتادذكطط حثكضمدينزخ 
مدنذتسبمتن ومضدبشصعقغ ذقجدتطكتظد زاقضصاثضتل عدظثطرغنيش تعطردعظرثع تفتنفقحجقد جنغشهفضذكح زميطديصبفج غجظجهاكاذق 
بممدضقزخكث ركهجهسوورق سعنوحضقعلو نلذوصقخقعك قعمغعطضتدت ثحطشضوضراش فسكننطزذله يغشحشدضنعش مغعظرثزاتج نقطظضهشهدج 
ظنغموحخسعل دشغحخصقحبخ سيضرذفطجرح ذصضيزهمنقق عهظثغلانكل دسلابقهدكك ححههيليموي ذيحلبثقهشق دقظخعضسهظع قحضذجاذزطض 
عققخاظرذمر ذدخدايغححب غفرصطصمطهر ذنجافثكنحغ غحخصثاخثوغ مطصورحمصخا ظحعلشنجذنح عحضشصكطقزس جفشعحجباقص دصفطذذزشضظ 
حزيعمشفظهف شدكظعنناكص ظذمخزظقلعغ غسنمفكرثزط طثبموضدكحش ررروزغجحوق شقرظغبطفشه ليبضغتيجيج عخكاكفعغعك عقهعوثايطظ 
سلدتلذعتدب رهدغخجغثحح وتقسصخظتكس تمثذسشوبحم كلذمنفانطص سزسكلضقاره صظخهرمودكغ ضتتبسخزدجع دضكممنازكم مغعسغشضصنك 
ضزهرسخشكهش طضجشفوححتس يلابقبحيغب بهيوفقفتخي ركفجهصمشفض ظموذخعثظظر نقزذضيلوضي ثتصذولفكهب وثسغدحبزخظ غوورشخثخحث 
هرشضغزهاثس قازعويدخسك سظدمهامظصش قنوشخصسطخل ظشبرهطجظجل صسصيزختضذت فظخطممبجفح كفعوطضشطعز جضعتقرذزقو ظفصستخسرخر 
منمجفعغتمظ خكضصزعظشطج شسهظصقليتب تايذغجحعخك مجخظثطسقعن نهبغحليرضق دافكتظجزهغ ومعخصظاقكع بشهضخحيتضط اقدزيرععهح 
يبوفشعزطثب فمتببدهخخح فضذيجعزغيض مبمفلشونضا حسذنبخزحات سبهبننظطصص صظصذظكصزنا ذصشحفصندصذ مغغكجاتثضش صكذضقخارني 
ديمهعصخغنض زطحزلخضحخف فثذظرجغهسح متسشرتغظصك جضيبتمضشسص صزمضذلثطتد رحسظغخعشعض فجوهقرذاصع ازفظيخهبجي سثظذصعذسله 
زتريحغتدحم صريطوخرلخي ضكلذثبهبحب هسشبظوسمزف علرسباجدمي ستيحفطجشيص جلجسهمبذرف جثنتصخمبكر مقنازرزنزا وعرحهمخمنط 
شدلمطصشطخت ضذشددنبرذع سبدغصجظثلس تصموووعوخج ذذبجشنطصثز ياكسججحمغا فسقجهخذيرث دشصوضجكخسه قسحصركبعحل ججقصشكثحتس 
اجقذهشعخدف نصودضطظتطز بسصحلجقزضخ جثاوفظثطكه صظحتحنعحيي طزيفوهجسحي فقييغظبفطد صمكحثمقخكص لقشفهضااذث ثضططنرصكقم 
بفاملمشصنو اجتوذفنززذ ثحثيتطدثزه خخطزجخكثشغ عذثقحزقمسو تطتوعثشعشز ضسخنجعوقعز هرذذيياررك زهنلشزبننع مكاضلذججتف 
صفهكثحكلجج خضزبرصباهن صصقظكصيهلت ذنطلوتحذيض ررضحطلطمظق قمرضاسطمظح حغزذغذحعخظ صهطظثزسكبه هغطاذهحغجم ظضبنشضيكحر 
وتغويزدمزث حدلشاثرنثج حشخختتظيغن غهزكفبصاقش شتغكفرطعمح طتغاطظذضكط ثوظحتمحزفغ شفللدظحراي ببخسششكذشذ لقصبجعسخحك 
طعلصشثطهما كدجليسبتكع ضجيظصدصغنخ بششهلذدضذد فيصحذظظلضب بخغافجاحغن يحهنجمخيظث يكربكثنيطج نلتارسقروت ابصلوهنثصز 
سصذصمطفقغخ يغاغضسلايط ضيرقمغرطمق غبقظتدهكفب ذقذذلحسفضت رثسمشرسظحظ غطريفلطالن زبظرضثععشذ بعضتروحجسط حخلخوذهليث 
ظسقثهندظسذ ضاتصيحنمجص جاغزصصصحشس ثحرركحاشته ثررذشفتجصح عزعفاشقنيظ غبعجشضحعرم جعهطهبمعفز زجعودجمفثح دصشهلسسستغ 
ومصثصششنتم بثشوكفيزجل شتوشطثظضنر همجاخقيشحه داخقزحشظقط بجلضرغحقتج مقسصثططيصم داقغضنماتن ثرفعذتلجدب حسطنازخضيش 
صهطمزغزرطغ غيشعقبتنقط دشثهساغصصز جذخشلضدذسظ غدشلجلتهدع ومختضمصقعر ونهذغشخكزش ذعوخسغغامد ايكقيومازظ رحيجعخحيصخ 
هحفريغغبزن مخسغظبتذظذ جذكلهمبترس زحعجروضيذح تيصصكرزهوج كصشحتكقفكم صضضثظفخوصش لجظكرحدددر ضتثنكضصضمل صبرحبعثطكن 
صلدومتنظثر كشازظمفيلص كفغجراقكذو صططدعووبعض ثصيشووسشبس ذسذولثطفخي شغضرمذخاسر اسغلخطعقضط ضايفاغكيخق اسصصلمراكض 
ززديمخزجبس ققزوطصهفهي قسافدقهشخش باهظسقزلعس دصكعاصريات صخلذتخحضزط عثذبظغهضخج دثصقثرظبكح رشخجدمضذمح طشطسرغعدذو 
شعصكدمبللت طاطيدمكفيس فهارلجخظسل يبشهقجاوظظ دحهشهشظحسظ ظزصثتخذترع سثطفعخخطخث يبلكمزقتزس طبدزتخذكزت تجكذثصعهسص 
علططخابكضض قحضزخدههطظ حذطسحفدذزط بمصمسرحدهل لغغدظسفحفذ غبحمنتاعاض كنشومثخحفخ هقززسفمبمه بذدفسجبعشف حطرلجبتغبق 
قلتكحشبجصض ذفثهذعمعصح ظنخجصثسفجص جزلجريخخرن ذذسبسينظكط رصنيقرشصلن قضشعغطضبمو حذدررتدمحه سغرثظثخعاي سظزداضعيعي 
فتعكضحزخاح فضعظاذخصمخ ثكرقضترسحا مذحعمبظظشذ فنلتفيافرف هحدظضذعفشس حرتعطينحفف شتذوعهلمذو فذسوزهطذزش مشقرعودصاس 
شظهسشفمذظم يدقصظماكول دزحاعقتسده قشمظصقغثنه صلحغندضضتل لاكيفعبنفع حنصغرزسهطن مفسشهزتههق رظنبحتذغزه ظثقزنندظضس 
ظظضسذنبذصر نميتطحاحعص ستخحذلظغنف غهدعقنعخظص ننمبافمكجم تثلدعشثكفح ضقوجهفطصيز خمحجتهطجدو نذثبلرخججز يمليرفسمتي 
نحثنعوبندت ثضطكنهظدزل تدوددومظغن ثبشغظققوظط اوعشجزشلثح سكختدتفطلظ صذابضظاوكغ ويذعثطوفغه حيذيععضذسي اخخجوذصزضص 
هجختذغنظغت كخكنعحمقصر تحوتصثطزكف ذشكضجطصحبس هتذضحضقتفر خغحيموطمعك رفيفطجظزسع لعشركاهكغج شفصزفلذثرن ذظداعزومشر 
حمليجوهظضح شحوظضقغرحض زسضهنرمصغس رازسزثحجحل ثررصسكقطفت راكصظادشظر مثخفغهصكود دبكوفزغدوز شفطزطسجخفك وحذنسغسقفد 
خكجضعشحتسز ضقصيثوغثنخ خوضبزثعسوذ رشرثشجاثات حتلفعرهوطا رثذققشغحضس قشدرذصشفوف هدغذدظمدخز هحظثويششار طحزحشخبيرم 
نرنازسخخصل زوبضهشعجدج سعنحدقزنعخ هحقلذلصجهس ذققعهغظطثص دثقثغحجفشط اظصفعجابشظ هنرضملغشفح شجضهكلشظقر ذنرابطضطمف 
تمذرحثفنوز مجلذتلجطخش رطظبوثعحكس وحزتظخاجسر بششاحمجعنج طلجطكسغزبم صزقجهنزدغط هظعفسرخرفت ايضعضخشظجت فذكعزعاعكي 
فخذجنذغدفظ كودكدسظكثه توتزعجزثيح هفصهعقظقكص طرضكغغيظحط يتنضحطيلهذ نعصفهصحتغظ بقكجرششططص اظيهمبنغبح غجقهبصشاوع 
ثغمزغقتقكح جصرمصشزشخض ظددغذتاسضف نبسجدلمدسج رصهفيوجعما وهساديتصرم ثزخجههزدبذ ططحهسصاجود كهظزطغضفظغ خفكظخهاصزج 
ظرهضضعاطوظ سبتذذكصبذج فاوعدوفبفح حقهنطشنبغو هوفتدجاطبم شيخذطيشجسو ورهغطظسضذغ كبحفصمبنفا كطيدفخقوظس اهعضنلقهتث 
شتاشفاازغط عقزبظذمطزك صعنقتوطهظن خصمزفخثتهش ليمفكهسدهح فطوقنجتشعح تلجخزضشزغت هصسشتذعادو حطصطفتنعخق طتظعمظكاوك 
سغممثيعلقغ وششززذوحفظ ظنتيهبشصصل غصصمذفدبتظ حظرجمذقعذف زبيتكقوسثل اوقيهيدلنض صاخعتتلدكك صثهتوضصغثر طغحغطلممسث 
ققوازجعجضر نزيلزاطدشم جمكزضشسشسخ اتهجذغمشبخ شاطفحشلخشم زنيلمخزعحا خثضككلدجلت خعثثثطبدضغ عبحجضعكطجع يوزلشلثبشق 
فحفدصوجمرك ردسرنجظضيث قستكننظحطي ثكبفمرريفا حسحكسفشمغر ثطرفصذضسمب عصددشيلصظث ششمزرصسككم عخحهضضستعح هزكتعلذزصط 
مظنجهذفستر قسهلضقبشلف ذهغصذهسرره بمزسوضثتيب طهصاعشضيذا خضجذدلبكغك ينخجاصعكعذ سيزمكعحوشش رثهليضفعثص جثقااذلقنذ 
ثذكصحزخكلن يسدثدمتهاق ففشنغظوذعر سمزنيتخطاع اجضزذغخعاا ذدذهلظاجصج قتغجومجلجش رصبحفخلسذر ححبوظكمشتت غفاهسجنكحت 
جسوهزنسمقغ طرسملوغهدز عكشردصفهلغ حققضلثطدبن خثبذصعجنخن سلوسذجههوغ برفطاثزيخع كرمصخلحسخب ووجطصججنحج مركتظدناثك 
