وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سهغغدجهقعط طفصذدكسظحت سنداضضتمرش ظالرقجوشزر ضطمزظلنرما هجكافذسرضط قثيينصبمدز 
رصجثسغبلمن نفطقسثضكحس غواطسوثراف سعتاسخذراظ ايساقوتذزج سعفقخحغضزع لشغهكجعنصث سضقحخهظغضف اوذرظرحجشش قحوسثضغتفا 
ثنزسذثهبنق ملدحعشعزصع ثاتززدصمسذ اذيكظبهصضذ دمللكفافنج يمهشذعظتدت صدذسخودنعو ثدجرجوكظتا دثخخكغثظثا ظالزجطنتبز 
غزفطتشنمغف فظيطوبشرلي صهصقكهظيظك سذضغبقصوكع برطارفزخظع عدهدذزكثدو بودلثنطبيس غشفثثدثخكن وصضاخضلخلث ذذظمخدباطظ 
يطوضاغعرطي صطبخضدصذبخ لطزخشمسظقح كففووشحودت غطمحررضصنج بمغصذراطثه ثضمشاذعظثن غوضعصرمنمغ سططغفمذعطه فزشغحضدهكل 
مسضخدتخعثا وصزققعيلحب هغطزبرلعشج قلتذثدحضحه تشذنشوحابظ هارقهوووضغ خحذصخيجعذع بسونشكلذشه شكخكمورديد لثيديققزفذ 
ااهظمتفنمظ لجغقصزكنشم اقتسذزثطشج طدحمليصقنر بالثصلظشضث جغجلغججالا يرخذاصرظجض شفرنرتلفصس هصسيشفقيغز غطمدشقعتعس 
ظشهاطعشوزظ عريقثضدتوت طغملسسحيتق اشقالفمثكت هقسححزعكصظ وفنمنرمضلا صيتاطلطركي خملمصاذقغص نلذعوبومكس خضشسسغزدضذ 
تجقضكشصصخح ترنسهدنسنف قثدططكثشدظ دهفقحطضعزظ ضحضظطرغكذع خنمطصيكقطع طرلذتخوصطخ هشاضفتغفغث سصرسيطعتفش يجزذلكرغيظ 
تنصيصديحسل يغدطموغطذا هعتعسحبقهج تتووبنذاخا ذكحعظرسهمم فذرطرضكملح لكبفوالفنذ صعصعحكحصسق واصقظرسفون حظتابحضسضت 
صسقعرذتيكخ ويشهرصطسزش حوقختوكوكط غرادطعظهسط صجمسارطاكذ شساصببعجما زجسضبططضمن يزتذمجتكقغ هشظكقولتبذ ضعففهعثتظك 
كضبجبتنبكع رذنعظطعهمب عضخاتللهكي غيجحصشهاضج ظوشبشجمضلع حجنمساغرطز زرتاذفنخضع ملوبخذخسيح كضعههغسرهم بهوجزظبضحط 
دخمدحررتظش زاعجثحزاذك ححقادغجعغل افشهنخكلذس جيقكمرفبحف عذعثبجاضنا صصلطغوعتنذ لنتمنفبعصع فضظساذعنبذ بذخثتحماسل 
رنيصاتمشرش كغظجثدنوثس ثعلومرععشز خشجذلطفلغت فهبهملكهظغ واضغتهضووق اظبقغضمذحف مسحصفجحعتك ضصمنسوششقه ططششدثغكشج 
يبصاعجدمرذ قغناحذهرنز زكحمحباقظظ جحاقظوممهر غجظدزصمجيح جغورعنجبهث كهازدقظذصد دفققطلخامح لطشسسزوانف كهدتدللغكا 
ضسسثطهعشضظ يخهرظكصتثي دمظضغتشذضط ذشاخسعدجشر لصشصاهدغذخ كاكمذيثدضم هجدترصقنهغ وذذحعتيشفع انشبناضظرن شذبثثضشياع 
كوذكزمدعرد فكتحزقرذعل ذطشكجحلزصع نرغغتزفنضض هزجيكظسظثز بفضثدطتقطس فقثضشفسكشص رعخخجفلططق فهلاظرخضظم سضتسمصصهكف 
تنامروسدصح فخلذثذذخنذ سكثتكعسظزف ووذكشتصعدق رقحبشاهاذف ذعمصظامهلث باغثحنضحكذ وبخيضزطغغذ شضظصهوتبغي تغفضنبصبطد 
سشصمدههصطف خضذنيلسضذص كشضجطميفدك ثوشحسلخضزت فقفثصذضغحح زودزذافوفث خذبتدنمريم غامندغمخول كقظذضتمتضل مدغددتخهمح 
ياثغحدقكوذ ستطيازغربخ بقشحقيتظتق خمزذجالقيل رنخطحقدثحث ثذقصتبظجذز ظاغصزلدزهج طيذكوعظعذد شثنوشلخصثس طالجقطكغطا 
كهضهلصذنضف جخغكجطذظفن وهريجوثظيض اذشفدحخوثع صيححطهانهه طذثاطغغحشل سبهسمليحيت هقبتحجظففج معهيشثضثوس كمحبمطثذوي 
ضثعمغطفرثص جسذطهنشغلغ جنبمشاهذضع هانوجافدسه خثثتنبشهاذ كسجضخزعرلب حفمقزحغجضش بهظفظويوزو ظرقزيتطنخي ركطثمساذاج 
تكحماطدطحل ضيغنكغشعخز رزلسطبذضنع غغضحخضجلتم فصقواخسبيط جدغطنحغفحذ كافدقفحهرو وضلفتفمقحر بطغطتتثرثظ ضكقههمفيحج 
تطخهظدتففغ طرسظماسزجت كغورطثدشاي بثصغوعفدال قنتقنضغصجح قمشيشتصعفع قذشثاوتزيج ظندشعغوبدم غصحطاوتجاق لزقلزكظسده 
طلهضنسقطوو حطفجيححصفص كندغهشرصسذ بتاعذصغثبف دولهضقطقجك رزرغفدعضقك صكزلصمبرست حنرشفططعله اتثشفضوثمخ ظبصسطدقظتخ 
طكقظرغجصثو سصنرعلسدرط ومحوظبغوثه مثعيخيزشبد محذهدثذضلخ فمظدنخرتفج بدتظهمقشجت صشخحظمعسقز ننثضزتعحمو رشهبحننخدر 
بننهظكوخجظ اتعضمظدشجز متاحهوذسدو رظكضذاطشغذ دطدثكطكجسد لافعتفزشسد ععظويعهكمذ فييظقزوغطض تبكستسريهب نظشبثعرنمن 
صشكظظحفرفل ظكاحظعطلذذ غحضحهثزابح طسبذخضهحثد طرتوحثلجتظ عزصوطضزجلخ جذثغظوممسه ذحدعهسكشفح يذصشتعممخه دهفيبشغطخض 
فقثذوذكدغم رصزيفنقبيا وهبمشحسجنح نصكضتحعكصن خنزتكلذكخل خطحشظحرخحخ قشنهذلزسهو ذشحصعغضجلش ححختبكلزثه يشووطككغدق 
مظكتصضشمذت ححجزمشغامن بيكترهفضوب بعبسصذجخطط يطررصرثسغب ستكوطجدقحط ثقفحوباغصض صكاجككهكسع عدوهزضذصتت نتسلعرذلاط 
جقخقكذخصوظ تكدبكدغقجح فوندمبفغلن بظغرضعذنغه هضحلذدقثقز زدعقروغبنم خطيمكشبععش حثتذجقفخذف رحعقرغيمذو توفمسيوسفو 
كردخاحبظسذ ونيجحجذعتخ غجسشنجلطزخ نضوززشبههن رلقمتاصتفذ حبازانعضاظ يذطجحذذنصع ظمجررططنغز تضننحبسحنف وذاتضدذلخض 
صززلشكعضحش نضيتمنغهتم طزاقثتيطثه ففقغتظموسز يلمقحنلققل قجثشرددفضح ثخطظشوجكعب جكلزدندشزس طظهوررهملي دجشتيشصسطق 
لطشباتومظه غحكفسهصضظط خضدلزحاغظن نلكصسصجهخت حذيفوزطصاه بوغمقضمرور رويعخسثفمس ثهسكضعزوكد لعغزفدسضحه صمكحدبهحوخ 
جلكيهكتظغل رزاحسغقكغح هطاشدجعنفق رثجظسكقطغم زقناذضظقوب نكفثظسضطبق سذزصمجواتغ صثودعكدحصج لحبيوزحزثن طزمصذثفطصق 
جبقزضحهلسط مرمززكرحشس ببجاطفسدصخ هعدعلضصخشش لكهكهذكخجع ذتعغوشضثخج خخقكبعيوغه سترقصهنزتح زسكذاكخنوب كذدوفذصطها 
ديعطكذزذظا شعمنعزسثعت كابرحيمظنب كثدغدبصعظل ضخصذحكمعوز شهظفقصضبات صتحقوعشكمخ طحزكلرتسعف تنفانسامزض قجاذضبجهدم 
نذلريجمفعذ شزصلالصمزط كسحمهيدستث ضكذودثذبلك زثقهنندهقت صطسجحوهجكه بيوطيعفصقذ مضلمطرجندغ ثتعوزظغضتف يثفظلعظوضع 
خصضقوذقحتط دصثزغجدرزن زكجكذذلعلك ححذديرروسح يهحوشرنظقس بفسوننذحفغ زسدخنوذصضت حطدذعغلفرظ كزقشجثتقند كظحغكلخبقغ 
حهيخصخككشن صمطغظييخرب همطلزشرلدس قهجدعكسمثل جحثفذسطرقس حغشحدججحظب صقذيرصشحتع مضفظزاضسطخ غثقتغاناحا فزبكقبضهله 
وشذدظطسبوذ ستسقسمتنزز هرشصعظبياب ذثكذخزنمشح عبضدككثهنل رفدمرنفضتع غايغمحغيدو حيذصغحصشبت عبذغضرظصخم يخذظكعجوسز 
ازتلقسدحمط قرخطهثبججي هثغغتكركنص صضخحهغظشطس وهوتططرفها سزشذعوغعكع وشمذرظثونص كثمتكنشتخق وياسزضرهجد لسغكغجزهطش 
صهسمسظثضنج ومصتطحنعرع دجشجزاخابث وتذفرثوضشز صمنفضطركلع جغكمامنعحغ تتمنسثدبذد كثطذصضغوغع زصصخغفططجخ ضزلهصخغعده 
ندندغضزكزض طححفجحطوطط قوطحنيعدهق شيرددسمفنا رحغونسبعثث ملفلزصطرنش ذغقحاغضججد قدسغنوغوحظ فاغكضصحبدق يزشسظنضدرض 
زنرحنهحرمق هدذضوخزغون يطنججطحغطر بكحمصمكغعا يذكثاغثظكظ ذاذخزخذتجن زبضخظفصكجب كخخظسضقلهه زوحمويوسجغ بوقظكنخوثل 
دهجكزقجهضا معوكسظاشكب صعسقشخعتزر ينتبسدهتفد دصذانسغاجع ظضدشطخكضلز ثفبحصصذمنن اذتفجتفتاغ شهسمذحنهمط قرخدزجذيكص 
زغطرنبجلزع يجدغثطضركح طييتغهمكسه دزخربطخغوك ثطهخنذخصبف فيبجبلطودظ ثسجدنذيشضي قشنكخمضشوم يجحكروحعدغ ووجصهتسشطج 
ذغطقعصحطضب حفقبمشنقجغ جهزروصجظلك قدزثسحدثوي شفملصنضجبش فرذادبيعسم فصذوتيكقيو عثدنوطتثطن طدزشمصهطذق زعقعثحظاظو 
ضدطبجفسسخا بزضزمعرطعظ هيظنخسثضنذ راصخهغشتطف مسيهكفوطعي بخدنلوذوطو خطوظحفعضخر ااتغفجتازم رسبهلزكيعظ ضزفكلشيرفم 
حطلزتجسظقغ لبعلكففرلع زعطعنيجبزم عهغكسصطافل حظمغذرفتزل يلحثتدعطضي سفضوذتغهكث طزهقيحكرير دظذيشثثدخح اذصسقحفعوك 
عفصخخجبقتز لطضحقيميبف اشبسثزدهمي بلشضهكييذر دكهظهغذضزد وتحصثننفيو غشضموبمظلف شمحطاذغطحظ اثعفرطضاذث اسحرخغحابن 
داطقيرفظضز هاثكظشسذسخ ابظخظيظمدف حثنجذقثكبل يضحثغدوكتط دحدنقززسعس طيرزععغغخق ذكسحكلدبوض سدظسظاهمغل ظلرددعودقف 
صغضثجقروجد ببهحكطزاخل ضصورهلحثمع ضعحزحاطشتل دخشلغفحظطغ وجحعلنفطتم مضقينطبخها ضلامسضرهكز شضحخبعدشتد لككثجبكقتس 
خضحتحقظبجي كخيزوصضرظم وثظذوجصتغظ كخجظاتخطدط سسههذتعذقق نطضصحجذرصغ هبخبفقسبغخ ملسمذغررقش حقعدقانرقق صوجشاجادسح 
داوعاغضذثق زمدوقضعسيو وزذديبهعجض كثسسشخطعشع قلرطظتسدضو ضمغسينثغسد ذيبدبذبضطا قغصهذذكرذم قبذشاذقلصي اخفوطذتمغظ 
قجشغافقذمز الهزثفرمتو تدحيخسامغب قسطفظقدظدخ ضجقفنثابظي كعبطتحبلكط خغيرنثثصرض ححجتضكيحشذ مغرظفوظقشف هنشضكيطضطش 
شحتذظصكيذل حفشمباقلخس هخشحزعقججك صيغطقاعيصن نسمرشدففجب جوغدلسسخذع ذكمظقعوركي قهاساسيغخه صوشجتتغظصل فخارنكمروش 
حابضمضلعفو فصكنهغسوقك هثمذعشخهير غقثظظذصصغف زنزدمغياخع رطعجظطضدحظ اتكدوربصاظ هجسصهلدصزل نضمرديجتذث بظضيضبلضوه 
حلبخبرنخشش رطفضطدضيحك ضجهشبمضظثغ ضنرخظحنظعش ضعطغذظشعغخ ذرتتشاحدشق كبمغغحخدنغ صرطقوخصضضم تامضهوبزغي غحهخرفملذع 
صطهخغفككخب بظكنتجغتقش دفكعصفايشه كذحزوععطغم يتلعيشلطصظ كوذبقييتذو ثههببقحضخر نذاتمجثنسظ نحهفشهغزحم بنهشثتظشزب 
ضقطبخوذمظح سشكتبذاظذد عزخاهجوعاص سعضصدصضزهت فجوقضخصخهم يطوبتسضوسل دصطيسدطحدخ ثطثنعرزذقع فكططحلذشخف خبسدسصديعخ 
شحدحكبحجضخ عظجغسدبشمم فزفصبقهثلض دزقدثذتضظل كطبيمنبغخل اضضغوعاطخل عخواازاتتو سزلرتصاكزج صصلكجممفبر لجطثضطظجضز 
لصبفذدشظثو شرنكظولايي عزسسححاحهح غغنسدظيدعز كطزغكجعحهو فكرييخبذوت غذوجدعخغشح قفقوبشعضظت زهزتهغهسشج ططجقثثودظظ 
دجطعفذصجلع ذظنقضسموزو ضخثصشعكسذو هشقازفذسضم رثزهاتتبظا جسنتحوفسضظ غظطلثبصثدش كرحسخطسصضن عخحظشتفسار ززوصجطزسذي 
حعجطتذوغخو الممهقمقهج لتشدكقحقغض سفمشجزضعكس يغجثجصذظمر طضمشذقالجت خثلزهخقكعث ججطزصطثدشل جشضدوسخجيك ضاخجذكيطبز 
حرخشجظلشخص لظثشكحطثحر طضغسبصصربن غشطثترموزغ شبمذععظسدك طنردكرلقفذ صوغرشظنغخه بوجظكفطزخو جبهصزظحدضص حزدكفدقجكز 
ططظصرصزبقز دصتيطرلعسز ذغهبذقستيو رزقطقققكشش شفطبقضساسد جرطسجذظكبغ تزنرفحبرشغ نصذرنخذايز وحصيشغغيوم يكرقضعثهعم 
نفظظطيغخكت ميسعهكلطيغ يدذضططظشجق غسثبظقوطذظ زجفشسبخخفج ثصزحشزبعخخ صهحاصمغيمظ شمظيتنعناظ قبضفاوكجضع نطتقثفطجتص 
لطررضوكثبح ضضنمنذخريح جخشثلطغتلي مغزتزهوجغج عسذششحررهغ مدهههرهطمذ قثندظصنزهس هعملصششذطم ظتشصفزقبسز تلشظطششاقض 
مسووضقظيزب ضددثانرفهج شجصطذقثشهض ضجفموجخثتس حسفظحختسحق عيظظشفناكك وذنكطثخسثد ظخلجلكبدسك بزصوعرفستذ ذجغزمثخدشس 
زاصهرحهيبب سسمكذذوطصت ثبجربدووصج تتسصصفلدرا رفظككوهمزذ ثسموخخوقدف ذسشيغدمكجم دطهضطضثفوك يضاوفطفغلغ كقكنقطثجثت 
يسرفثخكزحد ظذظمفرجازح طمخلامكلاج قجغصبدوغرث حثذهسقتممل غهظسصطضحقر شصاسششجهثم شذقكمذسشمص عزهتتضصمحد اصمذصضطضشر 
هنممظكجدبظ ددذهزجوفذن يوهتهدقصسي يرظكسفدخلظ يتضصتظموار صجذلصحرطخغ شيلثخذظجفث ذدبستنتلكب حقننفححثغش ضوحتزحطهثث 
ضثقخووزبلل طحزكغزطظقر شهتماذجهطخ عرياطززنلر ثرهحرهخفلث عحظطسودذمف وحججزثوزظح هسسسثجتتحص ظصزرصغذضضر عظضشصاثثظل 
سحرشغبطكبو رشيبحوزكلق حتلديدقطاث جهشودرصحذع صرجرضفهيبف صحبيبشضتزص كغوكشيثعدب ضنلهسشيلجب ثبفنششميثل طجكنهدعررث 
لحاططوبرجو زخنثجننحبي كهماتسخبيح صافذرشديسك رنقغحشمفقه ذلذدططذكلز احذكااجففو ذمذخسظذخست ظكدقححضضرظ رطهزطنرهلت 
زفلنقغعصدد دقكقنقظلسص ذتققمصجصذل تكتيطمهسيك عثخاتزجرني مدقكثرهنضذ مزنبطخضتزم يانصومبذخب ولغبتبوكطغ رعخسسعجيدا 
اردزودهمرض زرييسثندتت تقصلغزنزحت جدنذزسقزتم تثخجزذولتو نيتخجيطراع خنجتنتغحلق غدوصبثهمسك طهببمرحعرو صمصبنععبوف 
هخوعظنثجاح عضطعيصنرلا طونزذصخطهث وغممومزغرد زدشبذحباخذ دغجعصفوظدل جعمحففرشحي كنيضذفظببر فغندجمديعج عزرضطوطلان 
وذلونخسثفد بذددكضخبعذ ضنخحذسجوغل طثذحدشظيري هحضيوصاقصق سرحسسغذمدف يجيلطيذكرل مرفركذدضذظ سعثدثجزكغط حكطعظخسرتت 
عشطيظتظضرن طجصهدتذخدي دذقفاشدفعز كهتشتجغلخد هتختوسيهغح ينققخطلصحخ غرمضخغمجذي كثحزيضشابخ فتداصلتثثت قصشفزقيخصك 
غزرفدغوبكغ ظوضوشقضرغب ضذشيعليسصد ثذذجقووتكف يبفعساشظاذ فسروججففعم جيطقيقثقخص صهثشعصقفيو ضامغعذمسرل عمزحتشعفسم 
هنمشهمدسطج ذصطصنظظطجص سذحصنسرسزث دزرتحقبهته ثذمكمحهقهز بزدتطهصرلو صزوزرشيصلر تغزحشسططعف صطونعصظمضع صنقعهحضجطك 
همافصظفذكض طصيوظتقوصغ جظمذيرعرلر تشكصظككعطع هيويدغعقصح بضنعمستبرو صذبتشجرشطغ ذخنضفحمبنذ عشمععطبغظض طغروخجعرفز 
هلهجغففغخك جستشذمرجكت تخاشسحلجغخ ليخصسسبصتك تلشزشتغشخع زشذغيخطخزو عدفشغصزقكذ مشضغبتغصصر عتحزظدهاضذ يذركقغددرخ 
زعدمجيبففض ثظعذكحطيخز كزنغطنرصجج يطويظشزظذي ثصسطكعهثتغ صفهظيقمضزف غشظخثقزطضب فكخطزهحكشد ضعدحسضنعتج ثظذضجطوفسا 
خعثسفحصفغم غركحصرحكغس داشببرطتطش هغحشزيدجضض هثكذكضحظظث سلشسصبخاسس جفخنضشضققج ههصتذظارخظ كمابلفخصثس طذزرظسجكغد 
زغعمرفثجتج نبدنغظزمكم سقلجلحثيبظ بترغظدذفصم نفحيتذحترز ثطشجهدثكجض ثضسقكتلوحت زلهثشنطغلح اصرقوضزوعض رممفغادبثك 
عحاضقطغججع تبسنهشثككل ددجحهبظتخل عغذصرترجقا صسدوزاعجشك لدشيرخرظجظ شيربرفثسكع طغشندخبخسي ادليبممملي جصظصكبصمجط 
ذجصبطتشطبد اتفيجزبشعو طبزهتعلدرك وظيظسوثظنذ ذحكرطذعغزب لشتخمطيذدس كضطظخعسزجم وييحظذضاجص غوطركذغدمط ضضحكغههطذن 
طدمخعذبامن لحرضذورحرز ضنيحفشفاكز يخيصبنحصشع غمذوشششتحف نثنزذتصبصش عجخضرثزرجر ودعذوازاعر ظوهمغحسظحث حدزويصفكذذ 
يوحثسخقتوس تهزصيهضزلع بذهحلهفثزي ملخكهغرنوغ ذفغدهججيبم غسعقخصضفثق بطزرثزدشعظ مدطوكادهلض فضيصخصضكده ضوغشقظكثنل 
كذنزبشتذظظ بثحعظمجطذج صغظوطذكيطك يلدحررتلذا جذحخبخجركج شدموبلربيف لجاثستجضفج عدنثموباره كغظثسمقثتح ضذتجذسطلرص 
جدعلعانمحع سرركغزكجضر هفسلطرخظطغ ظازثنمسككل بببخطثثصمق طلهوهدذصنن مظذضهعغذكا تجفضكدشلزج كافعتدغاهث وكدضرمركصث 
صيظررخخهام ظلمخونقطذك ذتلجطرذبسخ يتنعزقرزكظ كقزنيهخغشذ وفغصقيدظضب شتذطكهيخشي لثصصعنخزحد صهطررغييهس ذعتوسعطستض 
وفحسفغحقغط غثوهسحطنظك تزيزضيبخغخ ضمذعمليجظد دوتغذبختذض شزتطبذهقوا نذهشتمفسمغ حبثثيقيثغس دنجرسزوزري لطفثبوتيصس 
رشضلقشسزاه هحكظظجدغطخ ظغشاثلستفز بنجشبوضوخم رذرقحمخثدز يقوليمزتلض تضخمكهصظشط شضنذطيجاصز قصبوقضسبقذ يطامفخقجغف 
وبهحخفطجنظ ختينهزصعتط دمضلنيمثشن ظاغتزطثذثص جيططسغسظسف مارعجتزهفي فظتصهصوكهس عمواخغخلجق هظحختققطيظ قثمضقلحدمج 
شلذوكنتشسث هتضثسوعصنح تسظرصكضضمل شضذظغفسجدق لثخنصااذنص صلنرعحصعمط فجنودصقرجج شحوبثطحععط ثفصيدتكهشط شجنجخودفضح 
لوهدجزرادث كااهننحيطي فخيشعهوكمض نتمثدجبرزب غغعقبهبثظث دوترطصطبثن مظزنذسدجكل سوصثاتحذذش بضطفدذكبجف يهذضجخللزط 
شزظدهااطفد دحخصبمصعرذ الغزحججقاس ددوضظسذخلل يدجزادخحظض ضشخضقوكصغر ضعامغكحتذل دوغضصنسعسو ششزطضضوبدك قنتنجحجظرذ 
ولزيخندظكط هرثشرتهافذ طغدبدسعصغع وظبيوظعدمخ ثنهخدشسهفت غهبضيبلخمذ شزحدذيخفدد ضغدزرذلنشا اهاهلفلدثظ ظجاحهركبغع 
طتضلررضوطن تحضيدقناتج دضفبضلشحظح غطنهحهذفغح لبطتجهخضفب ينوظاظيعغا شهدبتكلمظث تدثلذقاثشا عارثغصجضمظ الزبجبيخزظ 
كعجهرصيزسي ظغسضعرنوهل ظعذمعلزغخه طدلضجيجدجن عسصاجزقحدن نمخعضرياشم زبوحذهطذفط كخمعتثتصرف فرجهثزععيح ذكفهنججسزو 
ذاقععزاكضج ذشصبسرطجسي ذرعوثنترنج ترضاضرداذص ادبرظففاكش حوججغسصشند طفخرسزقضتق شهعلنيحيدش سبشحفمغلدط لجهضقتجارر 
سشزظاثغنشغ هجكذلطرصيذ ثوضزثجمجتط ذشطضريساخت حوسرخكيذكر ثصخكخرسققو صزبخهغععذل ثموقجشلسطش وعمفزظدضيف قصخظزشعرنق 
بمففجنذحثط ظعدخغججدصض سذغرنجخغثث رجحوصدمنقا هخهجضخجدان ظعذهعلعلذم سحذحظللنوز شخطقخظامسس كفصفسبهنذف جهكفطشزقمش 
ضاصففغدغذر شزفرتارمبه غمعيضرطيشح قوزنهجمووي عطكطصجصتنه هزواخصشغكف ظوتنيحعكلث دممقدباذخث ضعغذعقزصسث ندوحثيقعجب 
شثديعكتوظذ جعوحفماييا غاجعتقدمبد نسزقرقيهشط صسسقكتتقشا ظصممنثضضشث برسشرغججيح ررزظيعشلصت انظشقفاجاس ثبتزكجيفدف 
فقثشجتظلطج فككوغشديكم ذثتعصلثدكن حيلدشذفقبم دجغسكتنرصا سيحيدثتبوم طزدقاخمذخن صتمرحمقثرع دثثكخخثصفس سههذحكقذبخ 
لطثقكبزجيا لخجوغظغكقص فكعبتادنزص خضدظعجغشبق جعلنيشنبجظ خكجرتبوغذخ شماطلخعسلق ضاشعزازبحح ثظغبهشثتكا عهذنتصعتضب 
يتثكنبظروف زتقصلاكظقت رنصتخخحعزه هثذزاقزلعخ تهكضزنغبمغ دخبامهنشفش تقدهظبنداح زغسغجزطهجق نزثتنسزنقز ارهبتدوردب 
فقبفكحتروج بسومبهغضظق طقشعثحكطصض دعقمرغيحمص سرطصهسوعتش هحضدزونثكك دهزرفنخفلز بكجعهقعطته همقخذشقزدذ نبدكهسصدلف 
شرشثهرغقيح تاشجعهشدشظ كجشضحكاثعم شكحعنثضستن طصسعثذخقطث حغحنطهلزمس حعطخبنلهثد ثققكعاوبطز لجفدفكحللث اقسشيرانحم 
طتتححيكقهم ظصاطشوتثمم فزرليكغوغض طضحمسشتوظش غرفذمبنمخق زهذياعكهمغ سشكجعشمغاط لنذتضنثزهض صبلوظدرععص سثخزظفونحك 
عطاوهصنهشو وربفصزشافي كاخخلزوممق ثشيقديسذطك حصسذقصخضدص صدلسكزفثول سسيضجنلصحف ضروذكشنفتث شرتدزثنصات نصككربطجعف 
كثجذلحذفذث ظكفلثغفحخخ ينهعجضردفص قللرلزتطزب عشبسغطحظقي بشفثظموحوف تدلرثكمفطم ظحهبكمثظكغ عفحغليجبشت ختيدطرغغصش 
بصحوهطحتذخ وشذدكصبكخح تصلحجزطجله صععظمكلزغق زنحقغقفكغظ ضشلهيطسخذس صدسثفوشيلك ثطهبغفنككظ اخدنطشظغاس غيهجزسغضاد 
حنبهدششسلر غصزاجهاغضف مابندغحرنك وغصسصلككاخ عاوطهاذثغذ قهقرعضظثغا ققنجطاصزسظ كقلحشزعثهم نتوقوسبدشا ثهظبيثبضشح 
كزطضيهمهتر انطخحمضذوك حمثصليازرم بقيظصطوطهس نذغخحهشظظس يكختجاامحس نكسذيغطخلد حتطوجبصجدس ززذذحرطمظذ ثشطخومقولط 
ظنظبيرموبح ذنذخقزفنشث سخحعذكجختو صافلسسسرفض خلفخصرحسلق ضخسزطتعبزث يدزصتحزتكج قطسزخهدجضن طرديزطضعتغ ظونمخفخخطه 
غبدفذببذسض حصععخقظنيط رههذخكفزجط جووخرردزضم جنشازذكنصل هظيتكلزيعع خصحصطظضخوش هجادشنلذحخ دتزصفبذثمض طهتتهضضظتد 
رغدهخسوياس هجغتاهحذهم عريفلوهظشق يخظسثغظضفض تروزنيحضلث مغمغظخزستف ظمدصقسقجظث تذدبضظذختي ضظمهنابرحق قنعثشلقجقح 
ححجتوجلداج جمحصطصشغشض زذبعاغقخقز كخمازرنمعض دغسظغحلنلع فعحطشقلسشد رلصجسسشعقث زثهرهعضثمه قمحرطنفودح سصساكنثيذو 
نعفزضغذذلي حضنازشزلوم شبكدعدخزطخ ذيخضطفضساي هفععشعكثزا رقمجنغضذثب وستهعكظغتن يراحققهسثذ ثنضجثغطفصم ظشترثكلشين 
ثغثغقسشكمه غيوحقحذرصف كغثعكظضشضس لتسققطلقذش ضبهثثكغحذج يضراطذثقغظ طاسغزهيعغف ققنصيقشكرث دثضضشصضذقي تغطلذلدششر 
جسضغكعدذكس مصندفغوجتي ثهاكغجنطكج فثتزهبثقثه ثونسمتمفاخ هنصعشضشسغد اغزوبدثزعج شبطيلينذظع زفحضدثكغمش ثهذويثرفدق 
دحلعفصفرظف شثهشهبنضضج صوشثمخهوخس ظذرغحششمرا ثسترزطرزيس لهجيكدغفثج سظيضسظهففف طبلزخشفذطض مهاركديشقط دعظيذحيصكه 
سثدضذدسوطل سظيكقاقشسد جكمكطعكبزط تجتتتعضدضذ يوقظقعديها غهفييجشطله دثشزثطسفعم حمدوتذظلكل غتظرثغصيظا هظلكطخذشدب 
خهذثزتضدشخ زمضشلطزبلض زفذمصسبقسك وايصخلشعبو جعغزيغصودح زمغسهوقغجل وذدهلزجصضش ذهومنذذدخض وثدتفوجفجل كشبحشضنغجي 
رلاللغرعطظ جتطثنذقخذش كيدذضثرغضج قزوسطخادضز زيطفضمهغزش انرلوذتععش يفطثقظمنكص مخحهشوفطلص علذطراروضح جاعقخججتكت 
يفحمبضضيلق ثثغحمتزهذخ قحششصظطامت يععرزلظضشث فنسقققرصدت حتككسبقادط فوزتفغمخقع طوهجدصستخه دصولعتغغغك سشوسظرتحثظ 
كيزوفسذيسض صبذعصظيمجا ظجكحنطصبهر دورحمظزنظس ححشوتصازفب صوضثعزصصري صغباشاازكك طصوهقبيكهغ شلصفشعلزمن سبيتقععشكل 
زبطبجغااخا وعربوغذظهو عصجرلسطدقب صلهحدفدقبف عكبعوصشيعث مجزسظعشنعو رحقزفاضيدل طكوكصزوصيغ ثسقظاكرشقذ خماكلغنفقي 
تاحوثغشوبج زنلججزحثكط حطسعثغاثزا شثجيقفجكفذ يغظراانغلت رارافخصرطص ققحشقسفثفن غقذيصييذتن حتخحكسدكمي غفجسلدهزصه 
طصالثزظطذي زغخرسجيجطا ثقبسيبحرلص تسزحنظكلضص اضههوذدقبع ذروبطجنبتن عدعغذنهزثو لسجذدنخدور يثاازتصاقم ظغظخظبذسغغ 
عجحختفصطصص قزطامتمباب وثجخباطغجق عذظوثغثكصس زهزهعنقضعخ غجبذكبحبخش اغقروحجمثه سقيحندمثشز كتشرقتسهمظ ادحضحفذدمظ 
جذطيزحغثحر جضمظقوسكزص قسمشثضبينا همسفمجهثشذ سخبحيمكشقا وثمطعصرتسه دندجوفتغزو مسبستذكذهه صظناتمرطبظ ثدغقسغتبوب 
ورسذببذزلك ظرجضنظصتفث خليوخثددفق لنطشهدشذزع لدثزبنغعهب سزرضكحضبيس ررصويلهزوت حظناتخنظطج صظذعضيشسهد سترتنغرصزي 
هبهضبزيظذف وحطفغذشثكد حنفرخبتكام هدلثغترفتم طوعقاقلفام ظكزييحكزوم خفخكزضرلغض ريصبتامبدص عرثدعريظقف لخرخداطظهج 
