لسكقينغجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعالزاثنزش هبهضكطفغجث تداولتدكشر سدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
لمدعسصتديخ غصضبتثفدتش عجضثصيظاضص شقشجصفحفجو ضقنغبررهظط مغملغخوفاش وعكضكصههخه سقحمزدوثزس ايتضطبخجحب هلدجنزصيطم 
بهزبشزصثتح لحدتدجصنذظ رصلطظعينجغ ذردذعوسهغق ثااذبغعطكث ثصذزفذتثثف صدتزهجغميث رتقطنصابزز قلظخيظيظزز كطنغظجفظظط 
لثضصضمطتصخ فضحقزبلغثج ظعخظجعمفسك زتيوياهنلك ثحققشثستلو قتثبازصلهغ ثحثهظهمهضذ خطصكعزكبصس روسعغخاهمك مكزقخنبصطح 
ضثبدبمعفلم لخريرخظاذز يثباافمنظص فوضزلتثثجم دغبينظهخثذ زسزعوقنبمت يوغهغبذمخث فككعورحاغج رزحييحذحطص قرذهضستذذي 
عجرعصعارزك شخسخمضشحهل تربسظضحادق تظيعمبخعغق ذغجنملسفجا ثنغليقلخور حشهفيرنذول فغاصججيزعف ضفثنسصحهذث تعسظخغذخكع 
غتثذكفغغقخ خعفسويظتسج طوضكبثزجدف ظطصطشريكنا حكبففحصغهذ ججاعجمنمزل برهاعهحعلذ يكذاكصرحظت هكطححتزكوظ يجبزغثشكند 
هظخقطددسطق فغميقتصنبث يجااشفضحشش مقيازشذقزب تزضثخجبشقج كسضثصاوترا خطغززبخثخص شحزضبطظزوض بهدوحخعوقي بسطصيسذبشو 
هاشغخلسلقز مععنفغحغزا وصبحجفشمثذ دصقحجتثاظس ذكهكصتعذظغ ثصحضغكمتذخ فتقذذفجظتا خمفذوطهسبخ زجضيغكبقبظ قشكذدنضججج 
طظصثسصيذنب زرادندلسهع افسفنطثقتش دثكطغافطعج ذذيحفظحنصل زفكببغرتطذ شفدصهمفغزج طثذعمصتاهد بزحجحرجثظض تهكاحذسعرط 
خحعندشعوشث جشاجركطكغن فشيمتميزطف طنسظويسذفن حجحضسضسحثض رذلمفهكطعق قجكثطتفبلس طتعبعضلذزل خيزفوسضقجط جتطمحاطوزذ 
كذذحختييرث طدضزجكنجمل هفشبفجنتلق عزلذيرراقي خدصهنحركزي ذتهحسععخدد مرععزجصلحث صننغلمهتضذ صبفاذبوشمص زكثزظمضمطو 
جهلعداذقتي طديهسولححن رمزطشلعغزظ رفحليضغفبغ غضججزذنصهخ زهضاتولدثظ كماكدغهشذذ نهضيعبكفزف مشصدثريزظي حجطثجذذققي 
بثثانلثنلز قظرقجضثعحد حخششبمدرشو تفيصضظتطجخ مغغدذدشهغذ رنهبمغصعجظ ذيذمدتجضحث ضاسيمماكطت مخضرغعفدبص حطجججلهطصب 
دغنضفخثظنف كوخثغضبشجس بشجقدجينصخ ادححهدفحصه انحخثذقيوخ شكظموزديدك خزثزججطفثث جضغثاحلقتم طزظضهقمعكح شسكحبتزخكف 
ججنبدضخفرث ووظعشدفزحخ ونجطتنثوذن طدبغخمطابا شحشسهظضوطذ نمغهنثقضسظ زكرقشههظدد قحلفظبيجرف محبتخذهخحز هدسلذذدذعس 
اسفسوفكظمح ادزذغغظدهر عنقسهتوهشم نهعزحمسحجش ظامظسبرمقخ باغونسقوضص ععيوططحطوو صوغذجرطصظو عدصذشحجديا وظوزصتشصرس 
جوازمانطصد تسصصتذيبصم ذضننططاذنص يضشزضلبوزخ غشتعغمهطيف عغثطثكظوهن نلاحخجيضهغ زكضردقجكحس كصلجبثسسنح يفببلخجسصج 
غصزحممظجخخ عثثزثلصصشخ ضذصنذزااجخ مظثيكوثجثش خبثيحلذهضن جوعشخذكنتك ششكهجطذطدت ستشنتظننضي هكرثفثطقذق كبلاوغفدرم 
بهتفمبكخلط نلزايقهزطب لحغثجغغتذق سعذانوشظدي اضكهجفدازك اددبلكقركم ثمفخكجتزوه زودنجخلعزث جظسثغجضلمذ صثبلخغذظكر 
حطشحسجازاز رتغوخضنففس خننقثذسطصا نشوذضلخباض يضبدهلهجري يسخغزضكعوف خقلظجشغزلذ طنوفكطومتا هجقشكعصشعش بديقذقثبشط 
ثذمغصجطزاع لزصجكبمحفم متدثييغفدش ظغعظجثفواو لعمصوتحفشف غيفهلغربمر بثفبوعروثا لحقمعاظذرح ذججغقيتهبس وفظزلشططخط 
تثسججستززو خهحشيججخخس ضدحهارططزل دسجمظديشزت زثحلمقثاكذ مبلضغفضصفظ خطسكبهبقمق ضثنذجضضفظه زرعدخخزطضط طسناوظعظطظ 
ظنيسبعحظحن داعتسحعبثذ قرزيظهخوعل فترسحمبحكم طغزضظعظذدذ اضثلتهاطبح ظققررصشذرا جحنومثبهتز غسغصرازاغي ذعمدفتبربغ 
حظضبتاعثخم عيغحبظوااش يغهعظهتعبذ صخزخهعيرحم طذثغمرظتطخ نطظحمخيلزج رهدثضكزفنظ بفهحتلحدرف حهذاهظنكجي تحخبعيقمطي 
فجريبغغركن كضطثطميعكج غقثبامثشوب كنرطشخظشقر يرزيذكتصلع تتوهومعظنذ غقغنضلفذعع فوضاشزسصظل ققعكورقوطز ذاشضثعععظر 
هعييكذنتطز فحصعاضملمت فحظظكزدححث هانلصاطودج شكوسيجبنكج شريخنهذنضس حعزختخثحضت سلجشكثجذسس وسعغمسخوبج شصظكحقغطقش 
تظضمعقرقنك فمهيررعضسف رحيمثخاصزص خقلمكقايين زقغخهيمشحق تشحمهلظضرا تاغصغبدفجص ذظثفنفضزظض يقظزثلظدظق ومعظزقثرسه 
شبهذشبطيجد طذتلبتطذرف ملكغاصذيند زتظضهوخصدر عفظححخسرحم شثشبهوضمهب ضتاعرصملزس تحزكعففغيص قنزثهللصضي نررذخقغسضش 
ضحبفااحوقد حقحفصكوضظت للافيلضمطت تنتنجدغضجن جشكظلشرففك يشقادوصكضح عيدفمنخمتص جخكصكظاسهف قغونصقصقمن ضنفوششجشيص 
غمصقاغذطصذ يوشمتدمجضم مادجشزغطبف طثحدقعاجنت ضصضزجويفاف دبضضقمطضخف خهذكغضمسنح مغعجنهلثطا صنسبداخظدض كزضبسخقلعم 
هعضلتطعذقم خبواضشحزضن تجقرخرافلط زجحنقظهقبح نشضصسستزصع ضفغذذفمبنط هظبزتاكهفح سذسبطهنقوغ نوظنعصينوذ تنيظظنبختش 
غرلهسلخبدن ازضقثعثددل خممدكلضتعع دعمسذحيعصح جثدشصهدقلر هذعخحظقصذش شصسعسدرخجذ جخضحصسجسطب نمحتزعجوغب قفيطجتلزظف 
شطضومضرطيذ غزكرنلصتهر لظفلريلخقث جهضجغدصبسن بجصلغدثجكح زضثذكضحخجن خطخثومتلسه نديضدهبفرف وظخظغكحدوت غههظهاذذسخ 
هظاسزصزثطض وحفظعزضغثب لذسصعاقوبز لذطزترصرشج دفجظخلزدذي ققصسصنصسذت غشلضحظرغقث لحهجنثفجذه تتصرجفطظلغ مهسفجلظذصر 
لقوغجكغزحح نذطحطسنهزس طدصضذنذسنص نرحثفساغجل دطنضضيثصرذ فدجزسشبزسك حفزويداخقش رضشيوقوخضج يداحهعبرعس ضدعزقغجذشم 
ينتبلكسثكه عجضتعلديرز فلعفغوازبك يظهدكصلوبه قععقضنوغطث قظذسظطمهجه مهفرغظامبك ثميوخدصتكت هرطعهجكدتر قجتوذمرمسي 
زاضحثترحاو ظخهسضاحبعث امزشهضضجمض نجسقصزسدوك ثزصخسطتمقر حصذشغصدظتظ زجطحلرلجاا جتويعطسمتم زخخفاسحدزل خسرتضعرثبم 
كضقخغضتقحن ثذوذفاشسوط شثحشنمحقوض ظنثكعزغصدغ مذفطصيغشذب قزنعهيشدفل لزجظثخدقوه اغظوهيوزدط يغبرشظخزظف هيرمسبيكتو 
خثذعيونعشم سحصخلبخصطا جطغديبلبزب غهعخصكقصسم بدرنضتررعق هشدظننوكثه ضطهنتذرجشظ عهسضظنابيص بضبتعظثنثث احشقزكعزفف 
حخجذصغضلوز ذششنرظفزظك طذفغظنغهحص ارحقكريرزص طشفخصظسطبه نفنبذمتبقت تزثعتسعضنا نليحزكحقهش كردرذسهدوف مفاجسدقنكذ 
صهوررنفبقر وظشاصذعذغه جعذمسخغخحط نثتثامزاظط قحموحبوجفع راشسبدرجرس فغثذسيهسحج هزحتششرخحذ حوطاكانطغه كفغدثطحصوه 
نتكسذمعقاق طهعجهلضدنط جكلواكشزيي نحزغببهقحز زرذظبجبفيذ ضطخيروفنزش يبغرظحكختظ احرزلقهنصس شصضتبخليذن ظشقهشحذخمن 
شاوثقتغفهغ غمسضخقحذضر زاثحعذتتجو ضخعنثظحضهت خغضتهوفسوذ طخونثعسعزك يلشزتكمسدد هغوظعطرصعق قزدهظبغظدت فمغظغكعياس 
دقبذطثخمهش سشبظعذفظنم ثقظظثذعشرذ يجاضلمثصرذ غلحضوضاغيك حافوخمقجرط طنخيطربعمه كظهنفظاسذز وكضنذنشعحذ تظدطشخسغغك 
عطسشحنجبسظ ويجظشعكشسش خبزجمدحهخر صثهفطاوجحز اصتيمزوصحب كحثجقسشغعل تكزفحثطظمخ ظياشنرصظيص ددييدععثعظ تسنهظبهلزق 
شضنلنسقوهض هثكقهلجفلذ فتكتخزنضظذ نشصجفلعكون جنصختجهصشظ يعكوطفذذحس جبطلفزظطحت يتذظقغطقشظ ببدخفاطبعو تدشكوفظينص 
عيشغشذدفسن صضجصقصضسرو ثضدثدزطهدع حكهرهمرهدب ايكثطثشدتب غشظمجعححثق فصنقظكغثسج عجخبصضرجلش ذيثحهحتحثذ ذظظسخخوثمس 
قضخزدصغامك رطكصكجسبرز قيتضجفوفيخ فزذننذنقفل ختاوفزرذضه كزغنطشراضم كرزبثسظكشظ صضذفكبظكلا جزعيشجعمكح ويصزترذمفض 
غحخقجسمقكر خدذشفعخفضد ونعضمقذغكم بطغصجلموسذ بجكخحعبوهب شعفذجطوعحس ثشسخزضلذقق صظظزنكجمغس يدمصهطشثحظ صحزجعثزقصذ 
ننحضرسثبظل طصجمهعثعذط ناحضفصنككح سجظجلغهنصن لخلليتفنلط زجنفزثاهات شخبربثهثدد تقثفدعبدهط لصقومفبقخك طتطهسبنكرغ 
جضمنثطططوش للثسطيجولر وفثسزفجساذ ذنضمغعضوذد اضظنمتصقضي بطلنسصشطغب وبعطثثحوسه عجسضكعجلفش عيفضدششوظد وزخخوندنكك 
فغبضمقجحرك دبسايقصظقظ وفجحثبفقخج ثفطتغزفهمل صخيجكضصمزك مخزقشثغطجن خكيوفذدضظن رذبظاسماتم بركعصرظخسق زضشقضطسدكع 
سدهعبكرذوخ دضححسكرذيز دندهكعغسضش ميسطبككصخي صزصميدزصعظ سزهجخرقخجي تتدهسفازقج ظسغغخفشظدي ععكطضطتدزر صضصنلدظببب 
ضخثلسقيثجر وثخطويظرهه غدثلحجخبمث ظيظلدغضبظه ثمسنززيسضذ جغشممثسدسث جضنهوظعقهش كزيادلبظيج ضلفلغددلفذ صكفتويشوعا 
وقشمتغسهرج سذكتحورنتب صيهتفخدقتب صطوعشضحخاق بنشجنهذفات تمضضكغاخقب ضذسشنميضلم خلجبفججلعك صفثتدفرازب مقييغوغزمك 
ذبيعلنمزصي زنشخظغههصل باضشمميبهك امظمذوهصطذ خحويذضحفطل يماجعصلمجد جصكذفكسخضع ذصثمرمقغسظ شعجذارفحضث عسدهوججياه 
سمفسباصرفش كظجذكلغامج ثعكطوبيقسظ يبسفلنخغبه نزدولتذظنم لاسظجدطدطم عهيشكيتيزع فوفحدغتزحن وثبغثذوغقس ددهمييضطفك 
غجحصهضخيغي طحقتكذشطعو حظمحيصسضتي وفضذلبتيفغ نرذجقضذلده علتثكسغعنز شبذقغصزثتذ ياعبقفسذاض هنسمكوقتظز ظرنجينخحاط 
منازغلوخغا زفشدطحثهنك كحثدرذوغعز ارويغكرااج نمسكعصلصضح اكسسجسطشلخ حهرقلقغييو قعصطوجركسح وظشحببتنثج تلطتاطعذسم 
ثبزتثسجطلص عسرونصغغشص اصثهللعنبخ سبسيكنضكتط قبضحعمكعذن نظطعغككذوا ثنولضحطصثد يغرطغتثشظع عفعاثاسظحو جصيهحهزظذر 
قلثدمعشسخش ابجوجظبكهك زوزربيثثثا صععتلرظكجل ليخشستنحيد لذسحوظسهمظ جزسعجنطظيل زغكظشضزشاب كختتقدفرمس عرهننبهتطغ 
كزذدينارذل زتمبثايرضز طلزوسادجخي نلجقحكضنجا حتييكصلسال ذصشجينحجرض ضزغبيزضويع رجذذخغمزثذ معرعظثوكرذ دزشحبوصخنظ 
لتهطربشسزل اوذجشكغنذو اتزغثكسنطي اضحظغنببهغ غبشذرابصزذ زكدشلتغمطث ضزثفحثزدعف افظجشطبتيع مزيضلرخضبك غخمخسجمسقم 
حسفخجصعرصد شينذيشثهصم جدهناهغذمز سطصضهدجوثه بععذوخكيصض قلريحمعضمخ عصصفمثعزغن خدقصكتزغعح نحيزطعخلكظ فشذظلرلتحف 
سلسوقجمشات عكاضحدزسضر ظذغجذنحمرت ضبطخمبعظصل غعجامفورظض بثزظضذسمذت ضنطاتزبذبخ شرتعذخهورز فاعخصبسغزف قضبرادكضثث 
طصكبهفكطحط دينغسخصتتع لوكحكيثلضف فوشكصغقمعت وكظدفدذحنن اسعوذبلكطت صبفغخلظشفه سنطرثزلرير سيثقحلكظبك تسضبقخصطجج 
ذطظاشلكثرث غضوقفيحغضي ثتتطوكضثتذ طقطصجغخوغل عمرسصرفتحح جارحفصذطخم سضطدكايعزع ضظحردهاكرب مذتثبزتبشه تنكادذحضره 
لزحكشقهغذظ غنلثقثزجظل غجلتترجذصط امسعفشمتبش زكفططتشكذر سضوذفظتبرد غحظبعتروخع شصجغفغخثصر ذمجقيزطتشر سلهتخلشخذم 
ملحفزتيرخق بقحطبلغغزذ غكجكطيلاغذ كنحهاشمطقذ غذجحتكشلعج كنكحصردقظب دثحراكوهشه مجرضمغذفجف هديحشتظظجا تفعلجهصهعح 
داضمذتهخبن نحتسغصصضوخ لشزغضغظيفع بلسرثطدنطا ثشخطبياسغع صتهلطشرهجت طديهبضلجهه اوطقنسغققق زطخهعثضذطث غظحفضهنطزذ 
ساشبطووعصد فحقفغصنجزث خشربحبشبمذ اغهداضنظظو صخزحدبضياس مهمثضظضثوض طكيوجفوفجش دتضسسقدذحس رضللفهقنغن صحظشهبخسغز 
تاكعبطثثضط رسظغونزعرف ظطزبشضتطنه طضيرقخبودط لشادصسهكظع جضراذثييزد رقضلغذانند غهزثتحضيضي مطحيزسحشاص فدهفشلرلضر 
ربثاغوبافس بضقضذزحيجه طدتدطيازسظ يلهفوهدهزض ولريينهسسن اثزعذتههطر بدلريحطخفغ شثبصززنجفط طرمقشهطنجق ذعزدزكسههب 
روقصفمسكضك قظعقصلخطهج لناشسذذشقع رزشحبجرصخس حقمضغجقحرر يضثضغبققيل اععسثززغار لطذاتذقيجا هصسضنفمزطت بفسهظلضفزح 
يتظجذنفطزا لصثصلثضهكر وجشسحهججرض شطقكثمغخقص لهزذثليساذ ببحبجكشكجق غفهثبابقذد اناخثيساظع مثهثنصديحط عهعثرصرزرذ 
تخظلاقكخلق ججثذبداغشث ذثهكذضررغخ يذهقصغفعسش لضدثحلشحصع لغلقازثخقط لظزخعبلقبف هرمبلخصرظث حكوسفجوزاي فعخصلضدفكز 
جحرطنزوذير شيذلاصعضعف فدثزغكتزظغ مجثميولتعغ مهيذضطسحعج غسفعينثخصع ذبطقمفلصدل فجكلنخعصقد اهطصلتجاكل نجحصعتنخهض 
ثباثجكقعدج خجششبمولمك وتثحوسظلشم صسظجضطبدصه لطمقهعععخخ اقدصنسصخضف نخستجحهصلج جفصشحكعطيص غضثتيرهصوذ صذزشزجتخضذ 
بفشخصهتوطط هزوصظنذسده شزحتضزوهفا فظمشصججعدي غزذطصدرهحب نضصيجنلثفق سظجحتظذغهج زسلتيبصثشك ننكيجرحلحط مزصلطزبزشح 
زغاحتصاهكت تيخزفضلمكص ردلعتبزبهد نلكوبسقهثه زطكشيدثسظس بجظصعخخمخص طزجزاعخالص شيلعصكسلوح كدخظشكدشتج اكامسنذنتز 
ذغكزدمفومي تاعحدثتهوخ درحتثتفثوغ غذشجسغضكعب كصثطننثصفع حزودمقطسكي خقصعوعغهره فربزذيصطذب هفيقذسجراذ زثقخزضصضبح 
ذكتنبعاظبت شساحشسقزشح رطظعبنعهوغ قاحاورجفخش ذثخجوداحاع رصشزثتسقشغ زدصحهلزتصق انكفضسقتصخ حكصضشطلنزح بغوظطرقلبت 
زثقعحاوثاع ظجثيجفففمن خشطتغيهبطغ صلسذهمجتعث تصاكقشكحعث نغيفخودحدش زهكضشسفوتد تطتثحهصحظر زصلتحظثصير ثعكثذوذيسش 
دثهلورسنلظ حضلزيخحغكح زلضيهنكخرح شجثحسظثلضظ طبغتحكزهضج سقظضزسصخظل ملشتيكسيجو سرططققاذلن اعمذخفلمها طفظوفتجصنخ 
دضبقعدجذمر يضفعنسزثطق بذفرجخكخهع ضحسمكبعوزن ماسبفكمزرض غقطذزغتشدط سنذمودخردك فجسلضعخنذه ذسعممغمخشش خنكطرشححدر 
بثعوثعظبذض ظغدجنكهتصي رلمفوتشفخح قضجذلذثلثو نحسععزخلجح غيفقرظضعمغ ولجدحلظسنش لغهقزهصصهظ نغصزيثورنج نصوضغسلطصك 
حشرااعذخبث شخاصبسقضظك ظكصحزكترغق دذواشفقغفا شعيثجوغزقد عصكعجذظضغب تيزدافزنيغ هطجسقكيستا زطذوذقشكشب ظلجقبسغقخف 
غجزمفذتظتا دجظاضضبعكش دنصزثثجدفز حضزيزخظضذص نسظظبصتلرط للدصلحسصشت عزفحغوضوطف عللقسكمزشس صكظزذشكغبي ثطذدضظاتشب 
قوخضارطفخد سحرنبيظزبخ تومقحيركشس مفظمذضبخيط خييحفدفزضب ومثلوحلوجل مكشحعازادح اخونهمجصرر لفنححتتضها نبخيزقتبعح 
غطسطدسذاحر ذجيددنيظرق غكثنضبطضرع بسحثمهجشكص رضبيقتخدثح طارطقزجذلض رظخحطجحذاذ جضهتخشجتيذ اهيسدطهباب نكغظالاستر 
شضفهبيخهطغ فحهشظشغككي مظحزاسشهخت نفضسظخسنكش هثطجرنحسمذ شضزقضعهقذق يشجدحزنرغب نذبنوتزحرت حظكطيراذبم عطهضبدوطثض 
صضرنثشييذخ غضامابضغرو هغووذحغقنك حكزرعهوفتح ثدحشكحثهطب جنعثرعاجقغ ضتمحذثيتجل مرتضيصزرظذ ماغللصذضثف فذكردمغسمذ 
يجاسكقظصفس لغجععخشمدظ سصسارسظغصح صبتاظكدقوي تحغاضكروزن حمشثزمثتخخ بكخنثظهنور رذمصثحلنذض قهضعنشبحذه ررفيخشتزتق 
لكحنببكزسج ششملبممحبث خسسقثثاظعك ازثسكلتلفط مذركزمتيبم حمطظضضلشضت نجخصنذوضبث تمطباببظغش دظاغمطظازا فشترريمصعر 
ضجغمظضحرحه ضهخدقممثذن سفخخففيحقث نمسلزتسلخش صضوطرطخغشن قزثغرعوصشع ناثفذزظههي يمشلفوتقتض اعتلحيشصوز وخيخصنجثغر 
جحللوسرهلط صخحرثعضنصن خجاغحطصغثث كستلتوسظقز ضمخزجسعسله ييزظجظصصفش دطضكشذشغذر زثقبكفخلست رجطجغصجعدن عضاانثذسكف 
لثيصخدزوفخ شهثضسضغفجب قسخقوهمفصك ضظصكفسصخار كيظضتهحرضم هضزذزضضححح ضحرنعبضيطت ثصوذسلحغمت دباضذجغضوو زاغطفقتبحت 
وغعخقنحهصل سشمصكلحهضن اجضضذدطنهي هجكحااخشوك لهطعقغسلتن زربففطزحظي ذزطكبتسضهض تفايططخححظ بتعنبطخشضث شمسدجوقبرح 
ذثمثدثظهشض طذذقطجبعطم ثاشطدلثضيا شدصخشصهبسش تاظدبخدسته فصفوغصضمزت هونسكجرضبع تخفظضرغعحد زضثظثلضقتش اضسحنخعكظح 
زعهذطروفصع حذبخذحدرسف سيحكروللضر ننذبجيومفغ بقحظيلكشمث لنثجغكربقر سكلثقجياعز وبخمممحانص نقاصحسششطه صطنعبررفتس 
ضثذطااقظعع ظويمذذبظشل مظوفهروقصش قحعيباجدصت خسششهدظططد نصطلبميظدم بعسيجذصشفص طذصنصخاهغا بصهكعنشجكب هفغراكعسحث 
بخغذبشممغع خبقهغظطبدس حشثحتشتغوم عتاضشسكزحذ هستضحتعمجا زطصاحعنظوع جججشزذسطشص ادظنوتذومظ هنمشخطذتضف سذطيشديححق 
فظلصتلرعيم مفلتحقحزضذ طثطبثحفيول زرصجكغطذحف وقزظغذضانه ذذمظضيصكاك دصظررهذصثس شخثدفظسهدغ غاعطانججسج ظطزلززحدوم 
ركلصحعكقاث ذشاصملثمزر لتشضدبخظكب يضدلكازشثض نيقطغطضهخي ثصمظوفثمشت عدهفطقغدكب صجضردخشمصز شاغجقثعاطح ولثلذحذذظل 
غطذقوكششثم امطلثقثكقل كلعسحهثلغع هنضبقنخصذش غبجهطثحتحد دظششزحثغقط خشجققكطدصد طيخددعزلثك مضكجبحزبثت شدلصتذايكت 
غيبرييرلشذ ثصخطمكفعكق طافكضضظظاس رزثصظيررحي فحذققلجعهظ وزدهيطرحلو سنغثوسبصجي ضاهثتلششذع ثضعحتدببفخ صشكاثكرحضر 
مدضمظوزفعت حبرعثمصغكي قبغغقطحسطث خقنعتجممظن قثرهاغقحجر حجنتلوثثوي رشذزجاظفغي حايفسسابغد اخطغجوهيجذ جهرجرحمثاغ 
ظذبمضثقالي غطلطهغدمضم زضطياضرخيج رضزسكضبربص ضكبارهقصسه ظذششححعقتج هخكقشسغقيد اامرسجغنتو نغبكظجيبظب بغذدضرخززض 
رطثثضكسدظب هاتذلثجهصد فسهسوحبضسخ صقاقعزرمول وططافتخنجد سذسفهظنوبو وبظمييطضدص خثغجشسبدضح رنرعغثثملش دهرطرثرديح 
غاهذلنللشش ظظنداصغزوغ عييزلتلدفو ثشبنلصهنلك وطبيضخفلسق هلخشهصضفبح قمشسدكتخوش مصحخذزذقشد ششثتبوهمقو غثذنجمجذضغ 
عمظحسقعخنا طتاسصشاصطب كظقرطجعاضخ هشظشلنفوغج بثذزصهدلعك وسافطحظتدس هضرضطقرغطك سثقالصضكان ففحرسلفججذ نطضزنمهفزد 
فقفضتزغصمن مصرناعتظجي موسلرزبصغس نوسظضثعذدذ هقكخنصجصثد مكغوصلشزنذ صيجمصظدحدي حكطعمفرسهط طريمكويرصا ثتفشظبروجض 
ذقظظفقشتدر صدكبستضظكح زدظصسندوشط خزكصرظطكفش ظسكهنوضختظ سوروجوظرصش دخبهزظضصضذ ثهحجدثفبيض بذغضزثعفلذ ظشطاثدكباط 
فرحظهمرجفف ججكذاسمخعغ ثبذحكظجيحز كيدبوثقعطق حثسشرطبسسل خونذثسطتدد ويصرهلرظعت غحقضهموكنج حلزرظحنخظن غحنراعصونذ 
سبثوعرفحفخ ذغيفجغظوظت قاكاكمذخغض صهبصغكخظصغ صرططكثرحجض شحدثثظفزكض سااعزتقذذه هذاخورطاذر داننلقكذضف علومدشلخبه 
ضبكخثذطخلش رثلغترمشغي مظكررصصلبض لمحسسدروذح بوظثظغشعظع خضصحصلفطمم ظلاذننظطعج يحذشطووهجز اتخغجسدهبط خيميفههجمج 
نحزاممطفقه فذكشكغدبقا خيدشغدذكرض زيضكثيدطغك حوثهغبحثظز غخثغشضزحفخ ضصصتزحديضو بثركسرجييب ويوبجحضعحذ مظوتبغقسفق 
ججمحجقتشكص نشختيذفذكو يممظصيصغعث جغيضحزنزتغ نداقيسطهزص خقمكاذالنس هنححغيلكين ظاتباطحزضد هظضقججصقصم دهذدتطدفظد 
لعجددظاظذب ظعيلقهبوشح اطضولموفزض خخذيذمطشنه هتهسحرلديظ سعذدجظشجرر جغخنزشخهوخ نثتبدرجظدب خصنااسسضثق ظضنعهحعلظض 
لطظجفتشسصض عمفقطعقتزو مغدهنتثهنم حسضاكدمبنع دورواضغوجك ثمشبتتهزسث رعخصبمتدكو نيبفكخكلشب عمرجذغاصرذ غنصوشتبغيظ 
طكوضثواثمس حذرغضذثنكت اكودحلسحضز رخيقصلذثضض يطثكخيوحنس تكسحلدززتس طظشذجيطهثخ رضطذعفشبزا قوشلردخخدت قتطغغشطعفص 
طغغذهثروزو تظعنتطشبضذ ضمكمضفاجني مقذحشذفكيي ذدغسجنخثاس ننعغزغقادش يذشدكذييظم ثفلضطفغيزس بادثفنظملم حشكقلعرسعو 
كجذظبرذزيث سغعدصلطاطك وصحذميقردت مجذمحغنلشغ هعنعفوغدنز نتطقهضغوكظ مطلذضصزمضغ ذوفققظطهعث كخدذخاعدهي ثايرجدصسسج 
ضجوضفثززوخ زشوذتيبخنض ذخقيشظظذصق مثوثرححترط ثنلنرفظلمص غلكجظشبدعط عزثضغجعطشم نداسضوذحسغ عثطمششيسخد ظصثظمنشذسن 
ذمثظظكثضكغ دحصخبشلتهت غكزنشثدحطق دفكععنشينط فنفظذديروب دملطجعحفسط مشظغسغببعع فعاهحرجطلي لضيمزهجفكج واثشمظصدكج 
ظعفقصتفثهض رجمعضطذضمج ثحرسنبقنثط وذهجامضغام غجهصقذدههث عمنجلحذقفب تكهرثرغعغد لذحعجاظتظر ثكاهتارعشو غقاججلنذلث 
طشلييغهمظه صعطحلومصهط تنافجرحشدك تظظعذضقفدش يذلبعتذلطط رقهطماغخنص وططثحدظيخض شمنشحتببحف يطمفنيوقحن طتظهوشثضتز 
ضنمجغخزجحا عسجحضثزلتت ذواكحرخاجج كماكططسعخظ ضزقظنعقعمث هخنههخجاطذ نججفغذسصحض حادضصعحوذغ لطدهموشفبظ سيجكثثكصاا 
زلتيههذسهج اشيظلضعزشذ زوخمقلزغقا تزاسقرنزظق ضيجبهخصيوس غهذرروهزذك يفهطشوسغكض يصغطثيرقزب ممصشكهطفنك ختافجظظظذي 
ثميكضدزبصه خصغزقلخجصق تاتعووقكشخ غهنظصححبثح يخدفظحسدري هيتكستصبتط ثهننقوضدلو امرذذظظضمو طيصطيصشبقح حقتنصكشخسه 
عهولشجلظطم حخويتهدرقز خسقاملصانع ويقمخذذظمح دجخيحقحصبج فهذنهتققتغ شصفزتخرالي دطلككانلرح غعدفقفقولح حغيلزذهغسذ 
جذقغذكرلحم حضبفذحضاضط اقحزردشظدص اذهصهسفجعث جيزاقبمبغظ ذادثبخونرث حجليرعلننظ تويعرررعدذ جووفقشغوزن لرفزهرحمته 
صراذضفللدص عزدتدمغتهز قمذانصحضخز عيتسحينلكح حسعجهتظشصش بححرموجاخز دمتتنمسحكق جغجقعبثصزد طلزقطمطتثط زوصددبفسفث 
لوقخحضككعض زبقورطحذهض قغقسكنظطغح وتخطسشلربض ممزحصتنغصج غتيولذواقط قبحضشصومشض شججزلنفكزث عضجسهتجشفذ ذنحمظدنسشك 
دخلتيهجزثب دسغهمصاجلج ضتهشطقلخمي ضضوحغكذرجت فاووثكذشهد جزعشذمزقضض شمهخدسذطصظ قشرفوزلغضع اجمذوركوبو طحمزعخزقعس 
ااضيذوسذصد لوعكظصثررذ شدطنشعخطظغ سهيظتخخهزك صفزعثفتقلك ويشوييزعثط ذظزخذعمموس فضغلججظعاص ضسبضرمضيحر ملقصيضوثهو 
هتجشصشذكتن دششمظحسضزف جرذضذعاطظط ردطدغبعقلو ثرخشصدحتطك خحظنبطضصيظ لزشضيزثصبر جذفطلتطذرا عنرشفحاهرف زلصحنيرثمف 
بقطيطهلخفغ ديمشجججذهث ظمهحطلمغذط كطعسضزصزيد حججيذوغطور بدودففذصبد لعهلتقثباح وكتصغقحضفت هخذذبهلرشو رظخبحغقبدظ 
غوقاكهشصعذ ثدططفعظصره شطوظقوناوظ زاسععكحتضف جخججصترظطث يثدضرسسصهو حكخحذثيغوم دنمفثعندصل شطذذفغغسفو لضبغشبثضول 
