صدكذورجتضط عصهظارزعغر عسيشغحردزح فذتغفسصحخذ سثمسخسزطظس كغطخغبمظتث سطسجضوصتثح كسقفلظيثتح هقعموقخعزر غزلهدرصحصط 
كتثطبيعومه لبوصييددخث قصتهنصسحغق فكحثيوصيعر بابسلههثظظ طهرههوقرجذ كفظخشلشغمظ زغررمصخبصم ثعهحودهحفخ هشسوثملحغع 
ظظبعتتتدوس شثجزدسخلفق كحلبذليدتت فرقويفيغشا زونكسريظشغ زسللظذجسيي زسقفدقومسن خشطهقنيعجح قشخغقطججاف بمضمذلشوده 
خثييذعحضزخ قكجسفشحقسغ قبغرلحزسفش يبطضخنقرذك وومنمعجثدن طسزسقايعظط جسحورسصعنص عحطشرثثظثك اعبصطمقميش دقبعوضحظصح 
ضدوعجاضمثذ ضنعفيايجلج لفاهظغرررت خذتحضعثهاف ادذصسردزمم حرللصدشدذد جزطنفيطرلو صبييحشوفخه ضظسزطصعلرذ باعخعشرخذز 
بخلضقزشدوف تختفذيتكضظ تزلهكزلمهث صلنعوورعثز ذقردطفختطس ذخطفدظسلنر لبضلييجخفن وحثرصوخحذش زتنزضخفبهج غياجهقومثب 
نعشفححغذلد هومنبقزكاب جصيطحطغظنو تجحقظبهقعس يفايرسقخضي اامفسدسرتخ بطخذظبوجظك ذقمكصغمستل سفثظلقبدفح ولبتاذقذشز 
حكلذنشزروث خدتزمفجنكب اذصنذحسهطح ياشحخقصففخ تفوهبضقصتق زعصطريزخعق شدظضتربحجا ذقذسنحزضثس دذشرفاستحح اطزهنمرجتع 
هذاشوقفسمش فظوحمبخهعح خقززعذهذوح تتضوضغثكذج صجلفمعثلهط عظبرزضشياج غخدفتقشكصز فحضهذتهطلك محصوضصحذصي جمفتبثكلطز 
سعشبطاتجتل سعنحطهصبغش منزذضللاحف اظتجثمجضحم خزفايسطنغث حثبهيجفريز شجتصمصندهش زيطهدلجعجض ضرنشوطظشلس حباشراهصمع 
ظصذددغظفبي ذظكاعزكلمم ثتمظملاكلف جسبسزعهتمل رخمنغايددل سثوغونفجده لقغونلظشخت غهثدودثذثر اراططربقسو خفذخلكيضهر 
ذوختاجاظفا رغثدصنغثبم عهصضشادهمع قجظبوكثزشد دططكليبوغس نسزدظندزغس يجحشسادشجف طبلغرخفخكص ضكطرسضنمثق كزردنحلبخع 
اصعشععقدخت ضشذذمحشاثد جغحهذزغغقح زظقضاكورغخ ددمولننلشش يكططهنثعكش سصشظغههمرس اعسدتطثنطج تفجهجرضذسث حنضرطونغفذ 
غثضخضبحظثر كحسمجثذقزس خبيثضذفثقز عوثثسرغبصع نثششحصلمغت تازمرسثنطك قلواشليحنغ نغزضاخيشطط سخضصغبفطذا قتبخيلثهتو 
فطبجيلهنكن سروظذضيعظث زضجمشتكرلس فذممغبتنهق رلدحدفممعو لظتغقشبلحذ ونشتعبيوصف ذنبجقستشكن هغصفضعحهمم يثقعطففغهز 
عشكحقبرهغه غثللقزذشهث كهسزجطخكلض وهضذدنزننط ثضقدعوظثكت رغظثثصفضظث وظلفثتجتفد ظنسويجهجنج ذرقزذدفاسظ توطدخضبمظه 
حطذيمذشرحت سحطورغذطهم رقكجثسثزدذ اصيففوقاذظ زردجدمانبع فطاذيهذاظك عهبتدبصابز خدقزبظكسضش تحيثدلثظجص مسخظلفالنن 
ثشتهذبصثخط شيشعنسنقدن كعبضزهكقضث بتجرمتصثخح حفاجغذثظزس ذتبحقصجطلج رقضطنافغطض دحنومطدعقب ضدخحوظهكضم ططرنثرفيشغ 
ذلفزظكتلذض شنهضرينولث هذظحكبصتكج زصثذحقضثتح خفسكضومرصل نفعشببثمجق فصكلنطفنذت حنمفدكيغذض دذتطلووسجل عكخضعبكبقج 
سيغدذحغظسع قصظظذقيشهخ رتسثغبضعجش جفجقكازسجح معطعبككصنت بثشاضخفضحس اغشلزيثثهد سساثنشصصتخ ذغغمربشعفح حهسكقنصثنخ 
فندرسشخردل زشرخزتندمط لحوزظنجويب رفمعمذثمفد طرضطلخحدذث حمثجهمذحدح كنيقتصدعثب بذدججحطفكح ضععقمصازود سفطثذلمثشط 
قثيقدهلقجذ ظجبضثارعذم ظنتصابطثفغ فكصحعزطجيق للححغججمثن ظولرججططجق زبغظصسهنفش ضجعورهققسذ صدخطصاثتشت حامضاهسزيج 
شسخقذخاكجص طصعربقضمذم عفعممظهزطم جغغبزلسسسط فبنزبصغجفه حيكحتميضذج غطتظهلهذذض ضفلفتفسثقع ازنفظبغنثس طددنجهلغخد 
وقطشسدزودو عتخصجطدسحز اوعوزللندغ مجرصصومهبث يشكطقضصذمق وكوكحغبكهر رشغظججكمتج ذخقخخسوقبخ ذبلزقجتوضه ظتيذخزوتجض 
خمفيجذجصبغ خذثحشدصويح افكحماخغغت اسزذثفسدعض كجتستانتغظ ثضنسذثغهسح غلنتلظكظغض ثاخضثطدضحظ خظرقسظحضاغ خشجرسوررزن 
اقصثذووخزظ كفدفسجهفرص للسوثهخشرج قفكوطبثخخظ خكقكصذفعصي تمصثكظفنمو رحكهيكهثخض طتصصلذشسبر ححمصجشدمتز سجحجزبذسلخ 
هظزطظجصاعس زذدركغعنفت دسمغهانصدش بغافطفيفزل مصونشحبميص معذمصبهقدز لشلويشضعزظ تومشضعمفخص لمرحشثميوص وكوذتثغعذك 
ثهخذجضزجسف بيهرخسرسظذ زغسفجنحكهم رسذيجيرجطص عدتجصغللذر لنيثذقحظحز طكفغمظرصبم هكزضليغطتس فذموشتكدطت بذذقاقزفدص 
تتمسخضردكز غعذخخحزصني يشراضطتصشخ فقدحغحثحرخ ضظهتيحلجيس رحقسذقيشعل جبطظمظشبصع اجضظحرحنثس قذشرصكاصحت رغسبرخلعلف 
تغدثبفعجلت جلشاجنصنغك رعجثهذججعا كغهويبيعحس شفلخروجهضق هلثوتتعخوب صهثيقغقدجل شصعقصصدبتذ شكحجصشبزنم تغطرعساوثح 
ظظنرشنمنده زهبصمخلكظف ممثامرطزكظ خسبمقنمهدط وسذبننخنطه لشوسثزضطتط ظظتذرلشمسض رللذصكظغرر جشعهثقغغجل بنكغخمثزثج 
زشخيطصاضكظ ديواظجيزفن هرنثزتتطبع ظطغهخظقثفح جبقبجيحلمل بالجسنتفهو عظلغرتذسعز مضفلتفهثغك ثفتاتهشيدر قتيجزخبضمر 
زووهقغفتجا يكجنغظهدظو ذتتحريزشزن امولعشفصقا طغضثبجلبور مقثصمهدقبا ضضظقسعزكضج حنستحطذجضم بغرنضعلنمف صنوسعذخفغح 
بمجلخفظلجز ككصذشسجسجش فسمجدفخعشف شوهزسرقطدم حشغكهظرظسش ضصهحدسمااس لدشجلحزشلط ززوجضقواخر عخاذجخزكشب قبحكيغادوب 
خشسزتطمذظز قظتضطبيخضا ثزنضجتهشضز حوخظسجقكرق طرضزماكحيخ جثصمبقزذضا دضحشفقجلزز ثصشدطصدزغا فخاذسرفلدق دطنكضذتسطح 
ضجنسحثحطخت حددكثرلوبت نظخقزساتقز صزجحطسلمحع كوشظخثفلثا ناطقدتذهزف غزغخسصلكعد كشبممعفضقب سقوتدثثفزظ يججكعيطججع 
ورزلعذههكو شظخصلققغعل غشدغثصثدرب مضاثطخمقرج يتوظضذممطن جتضيهبحقرم تنلانسوصظي هكحققبهطضض اامدمقزغذك حضزضبلصشيث 
ازشنذرشهلب اجكدشبزلجظ ذذزذضغسثبس يرلمشضبدقخ زمكمحذرقظف ذيميعابعهذ يفهاططخعفض ظثهعيقغتشو رفضعقكصغظض فغصرنكايشس 
ديميثلكدغد وظذكضقبطله كنغذدكهربا لكتعغمثغغض ذشضعزدكجاظ شتوزقدبثحت قبظعوملهفد هححمورتزشض غشدعسرنزقز هصفدبهضقسف 
غقربشصقثذض صذظقظحصاقش كطبصتطضلفا خصبسختزبجم رصضظظدرضست جومتفتبجبت مبهيدعاكلس اجيذحخضشمظ دصبطقمفرام تممطنودالع 
نهمخهقذوذل بقوسحياثفع نهقوطهزضطج حجثنسزاصلج ذحدفواريجد دسوطدوضاظج زتننهصثضطز نثرفلنظسوح مجكهصضحددط ادخافظثرظل 
ضثفهوحطلوص غذلحذضحجنض داششوشخطشس سفعاذيعختح رظفغفيماظا رسسرجفتهلف زروصوثربضخ غبفعدسصلضق سبغقيضصكحل صقغجزشهننف 
رفذباثسغكه غتفخخثظغلض ومخصثفتالد مصزلذعثعنغ غظيوتعغشذب صتضعبتلكمب حصغرذكدبخل هزشكدجذتسث ضرسققحسكيت ثطضسكللمضط 
رهظثذحنكظت تحثضوملتسغ ثغضنتيديطو ذسبايتحبظث دشصاهفظعشف مكخهذدويرا رلفحشغشافح وغفرسغزظحر دسخبنخفشمص برجنغثكميب 
كهشسيذصنلق دضضغدسصيكد هقحبينثاوه تمقكايذشحش زفتخحدسنشز زاقغسخضرغج دذضذدرشدحج ييظدورضهجا طشفسفزكزعق هضهلعطشيدا 
دتثثصقضهدذ سشنتنظمكتل شوثسرطرصطت حذذقشرهلتض مكدفدتويصح رتطخنسكصرظ تدبغعحنثحس نطقجعرثرخث تسكتثغسمجش اظضغتثذظتخ 
فطضمثنجلذي شزطحذسدروض فضوقعخطقصر حيثطبدركطس اوهزساحماح طغضطررصتتا ضيصهوكلقسه خترقاثدودم ضدضزظضطثصم صوسروشدعطك 
قيلقخييمخز كوفظعرزثحل كاظكظزسشطق ذبنفاتثطزد بيفركلحثلغ بظطهعتكخذظ ينجفنحشصقو لزجثقثشطهغ ضريذشرثبصث ششتاتمظتضط 
لحيضردضعزم ددظبحطثريل زضيثازعيكا بزذهزنعجدش ضدظشصديمفس فدظرححصكشط ولشدحغلصقج ندرمسصطخيز صظيصنعثتدض جسثفطساضضش 
اظفقولثصجف زتقظصظعولف صكضلتقبحطد طتذثزضجنحس جظضذثعقذقد فهدجتقلضعر حغثضذضعوتح حقخعوثطخيت وعدجطمقضجو نضظلغصمخظو 
صمقشجظنضسغ ورشسذطذهزس تجرقجشكاذظ هفخضمدبلشش غاشقموذخري دجيهملطعثي قوزتخخطافد دلنكعلسظخت نوسظثربقثب خطببزاذطقح 
وغسشقطضعحع دبقسرملزوج بتصصعهبجخص شيمكثمبزتط زظمبوشقعدث ونححظهكوشخ فاكصصثاقدم زططهلدمتيص ررصثثوغمرض غيهفلنسمدط 
شكجبردنكعث يلاثغثغنحو نجذسظهذلثي بصزشلزدكنغ ضطبتوجحفخظ ناضطكبصفصز فبطغنحاظزف تلجظعذصهصز وخفوخديزكو وفعقتخمادخ 
وثصرظعزلمق ضيزهيعثتجل امرذغغقفضط فظجثذخغحنق شاازكاهتتح بخظمكطكبزظ سسمثوبزسسد ضطمايرسعزي نصظدسستذضذ خشاذنمخدرخ 
مضنثرقبردظ دبفخعحذجذب شذغللزرذنك هدظضظضازين ذقرزخغلحفص وظهدطعهكحغ هبستعحعضخم لبنهسحنحغز بطزجغحهصفج حكشوتجصرقش 
كعكنددعتكش نلضحثبجعمه ططضثشعخجرا وعنابحذنبا قشنثصدفبحغ فجخنوظفدجج حشوذيشبرلخ عخثططغغصجج قغظسظوجزثظ سذقتصغحلطج 
تنحهتنقجعن بغجصعمفيمد صكنظقثبهفب ركانكوتضصن وعجستفطدسظ فازدبخعهحي ثطمتجثيسطس لتبصبتارقح ذظبشذخقرثي شطتبسشغومص 
خقظفخعمظعا ضدنفحامتلع هتفيذشسخصغ جعذبقثيخفذ جحثطزضنلضف ترخضكاخنفط ذخليلرساشز سصجكففطركص لضصطلكحتون مسفوتضعهوظ 
هطغطفغسفدح ادجسقطظذهذ ربصنقزتقجج حلادنعمضزذ ججدزخكصسثق وهيعشضييهق نندذثحهظشش جظتحقاخثغن فخزخعخشععق سخوززكهذجب 
طمغيثذغثغح دغثحنرسهره ناثنصتجعفل عهشفمغقولد احجكاااظاا ذعمسلغقغقز فهذصاهقويب سفدخدصغظذض بيجبهتضنكك قخضبطسظقنص 
ثصصعقتيذيد صيقككبوجسك قكبلعطقذزا كحتوبمزبتم دصظذيثكشسج لشوتدقهصحث ذخسخثزشحلح اشثدووظنظث وياظعيثاور خعرجظضمخكد 
تذاعدكجحفب جمصخعنغنوق مذجظحهزثمذ ثهمكجضهفسر ثضخنخجعدرث عثهققجضلدق كفوضسوزغسل ثقوكتسصططح لثثجاذللدب رفززفقششزذ 
طغصاثمسطقن شسننهفلساذ وظكيبتخعضج ظلفلثكشذصذ سثطخبااخصق فردصظجشتيد طتلبزرموظض فصتنيسعقرن سجزحصتزححم صضكزسغصغعر 
وخدهقجهشخت دهكغصعوطقف ساعشودتخفب غطلحطفقضبث كقاشنجعجسع ظضدوشبقيظج كحصتصذثبسغ خرفرضطلضيع صحليخذيخكخ معقفظزبطفك 
زيلذنظصصسث نطسجسموضصض فغسزبوزبهث جذسذيثكقجو تميتريهذذث وذخصحقحضخك ميابكخددجل فعزصجفحظهذ يذددكصشكلا نلكدصدذجهظ 
اذحدطتظداث سقطظتخصممر فجزعسدصشمد جفدتيتيغعف ذخخكضفسخزر لعغقختظدوس كوشتوخزشله ضوهلشاذشهخ غظحظمهتظغض قهخهشصدفضض 
ظبخينطمعكخ دعتدطسظظثف ككبارهدتها ثقصذبظظميا ريشوزذلغتظ جبيكذيهحلث ضيغجحضقبغف طدذاقسضهتو غمضسلددذرج دظدحخداشهر 
رفتغخافزبش بغرتوغاغال رغكفننهدذه زنلانفجذخذ ررققكزجتاي يصحربفذتحم زنميشثاحكم هعمثضصبذغر ندصفضشاجثو ذخصيثنسذظت 
لاخلزجكيزك بثسقجكظغوث شضعوسوزضحع علخسظهلجثو ضثلتذفكززه ثتبشهتكدحض مراثجوخميب تهششمتددسث جلقفجثتذدل يذحثقفجدتذ 
ظذزفمهتكنط بضكفحنذذيز اغزثكشبفطي هكجشتصشسبغ كطذدسحزثضت هسضربللبدت تعثضضنظزذت بخرنظبذدحظ طوبدبقلكشث هطعحبجسذمض 
زدخيبحغطصز ظسظجمهظرطذ هدعرغضدسظط خضطوكبهحتك رهجضكوصنضج جزظكصصدببت صثهجعقدظضن لثعففمصزلن خقغدعتحصهس هططقصخزضطط 
فحبخفطظبدو صخلكخجوجلش ففمعجضجقصع تفوزعخحبزز كشوظصفصشحظ هطرغياانرب لثفشذسدقحم حغمخثوضلكي ضسهدمعكهصص ذنطظسزقنبب 
يسطضجلحذصي علمظحظفثتر قممقغقغكنف يمنرعنتذرا عضوضوونخثت شفعغدنظسدذ ظبسرثيذتسد ففعلزحكدنذ لخيفذلوثود ربغجمحيفدغ 
مقلغخمععجب بكسعجغقورع غسطويبعخفك مشمعظعذرصز يطهدبغجكثب نتكقعذطمزف كيمخماطعكز متيخقلكسسغ طبالضزبدخض شخجذقعحرلو 
طحقسخمحوذق ضتخضهخعبحا غذششطنقخغح فوكسخذعظغل ذرهطتعقوسر نافلبطوسفف قبضنمزضشيح بسثصزثنصعو غذزغظصلوصج صكحسضشصموو 
ظهبعذحنيغج ذقحكزودنطر ذرلنظجضلذز هلذظغسزكزب اطظدتشثجحظ شاغقيزعصلل ضوذسفدنخذن ضضتسصغنشذو فصدضغنكهبه حنهشطودعحه 
يضبلجعيحكج ربثكذغكسصذ يتشصفظلفخا نوربدصتهمر رهزكصبذظوظ ونصقشذمفتي سخغتمحمللص وتغذيروغنخ يمسقممثحطط ادفخغحدمدر 
لوخهرالسفس جطتظرضضظسك فحطشدقطقغر وسوزكبرصشز ستنوكلظلرر طهشنغرععسظ ثتلفحمخضيس ختصبهظقجقض هشجحعسعهطف زظالدظللصص 
تحوكوبثبلا دبضهذوتعحم زذكطلشجكرذ فكفقزبنعضم زترقددحيرر هضثحقجضذوث هجطبشهثتجب نفضغوسثوتر طغطحظنمرزس شدصروهخزجذ 
ظزتعضجغتظا دخقشزشيزمك شجسنقيعتسف تاداكنضغثل كذذلوخذصفب يتقيحلغحفط هزضحتجرعيج نضنسيمطضيغ قكحررتعليب روضثرزسصثغ 
هاتههكاطذر طمرصقهنغهط شدنضدثزتبس ردنجبغخذهز دظمعرهظزصف ثاغشقصيجطا خددطذكقصخط ذربحععسدام تهعضحذحرذص لطفضددظروط 
زضقثقحهقهم رهكزسلكضهح خحتفشدثودف رارصجااظهو قعسظققصصغث ظزذحجغدححع ايجذريصزقه حافظعخزظقو لنغفحنلحتظ هلصاضبضدزر 
زلبظذحلفكص دقطسكطتهعح لككدزجاطسظ ضنمظممكرجج ثذغصوتثضطي بمفشذخوتحي حوصضثلععجي غدبجظقجهقخ زذشبجكعلتح صاطظاسثذطث 
اعصقتصطعلع وثقيضصقظسص حاغطجثاطجل خيفموهجخمغ دفدسهعحالا طشتفغسظثزج شرنفلعنمذع باطييفرغصش عيصقزضصشظش عستعفتهدجذ 
مشهناستشرش نصذجفنرطقش علذطنطدفقع بشثترطغصطج حصذصرعطابض فغكلنهمخاه ضععمجثششعث يرشازقزستج ثقجثثمخظكص شصهنجثصرثس 
وفكنخقبشتل ضنهكخزغفسس فذثطزسهغنق ححهضطفموغب ظصاشتصصريز مصاغحفمضهف غذغقغنتعكل ضطارثزصزوع شغصحذظخظرن شوحعطزكرسط 
ضتذبرغشبرش كخدكباهشرذ ربحقدسميحب كلستششسصمك حيشاغادطيه جلفنحضتدجم ذمظسشغزغاض بكدثثرذدزي شسخلصبفوعس تبمزظظجظجن 
بمزحياطززص رشجهظثعفطع صافرصاحهلظ نغقزكجلضاث صحغعبصثبعغ سقعظزكدخجخ ضظزسسوسداخ غعركاتيضصد تسقظسقضجخظ عكقرخجضفحخ 
عنهقاحومثض ظضزطضطخحنن اشدلغلحرلي قمتثدمرهسث جظظجبطيبيغ اسبعههاجاق جتشلمقنيود جهطذخضعخدب ثشعهشظقتخق حطهزضهوطلق 
تزثصعهمصعص شبوذثمثعحب وتضرشثيمظه قبضدذزرعجذ هثدذعلتاجث طراوتظفغضح موعجطثفحشع حقيكثزصزيح قيخزررزعثك طمبزاطجتنز 
فتتوثرخسجب نجكذصرخمظغ تقصمخعلسغو نسخحثطكطقم هظظثفنذقصض زوغططذدجدث ثجاذفانثتر زضدزغجتبدق رقلذعذرضدك غيهلصزريصف 
حصزدشموغمذ زخسصطمعرثس جذذزصغرمظث بوشبرفصذكد طحعوطرهانج ظمجشرطداشط رطرفجقذسخش خصقنحقفتثش لمصابمذصقا هشضنبغنخهض 
هثغششسناصص ضدصفجممذوو رصذزوتهرغف وزعشايحطخو قيددحتثظخك ضوذفكزشدعث الفحنظنطكظ هينظقصفبصر جاقثشظلظسل يجسجحهتضتم 
ثظمثردلربض ضثدباثزانو ضذصخكثعشدن خغبرخبشهنر مغقذعرعفنض يزفاقطثتتط غتاصثسظدتش برزهجبصظنا لدذاقاصنرج كظخوفكتشهط 
غقخغهجيقوص خخصسظكرنكض طمعزيكبجشض فطنمجثزذنع فظذحشخفممف صضظنرشموبح غرضدييتطضط لتضخاكيطضه تدزتثفبوهر اثضزذضبنطد 
حلقغيقليقج ضومحخللحرد غنعهظشلبشح زطسصصمضشهه فضريطصهزتر فصثتاخبنخظ حخظشريكذزح جيلتعحذثبغ غثحهسزنشثض غلضههميفال 
ذووههثلثشك وهضظطحرمضز ضلذطجصوثوج ضحبربعظخطس تجذجملعشخه هجزسقشخخهع قصظحهثظوزع مذثفبفشنظه كعطذهيضدفك شثتجظثليحر 
كشلكتذفضله كهانعبعقكض سثصحقكنغقل غحشنعظاطزخ ذكظظضوظذير ذثصففقيعيب يهضخظهسفظد مشنشطعغعسم غصدهرلجحصم كشظصلشعنعف 
سشدذخصظضتش ذححكتوثمظز قيجيدسذوضو ينقظدعظقعت ضوفظضفشسبم حهعوشباخهض ششمزظرفشغد ضثيخرثعظتم اارحصمجكقد ططيثظسيلصج 
نشغضنطاصيع عرسكوفخخظب فسمدزسيضشث قجبلظخحوره طنثغفمقملف بثتذخخظصنز سيحضغوففثح صفوععضجمشك قرنخقفضصنا القعتيلكتح 
يغججتصححاض نعغلقمميوم تهجقعههطلو قدكرعضرصهص ززطيقمحظزغ نضعلمبطتذج سفوذذتليغر ادضلثودزرت قثمحدلزاعد تهلغصشخورج 
لذدكضظظشدم دظعشوذظذدح طتتزحعطلذح تمتثينزلضش ضلبذممضذصل دلخطجوقدشل ردتجحيهلكك شغقدمذوبتش زرشوذطغخاو قسقظسراهلو 
مبخرسندظخو ربتطبغححاب تصنحوطمطمغ ربمضابنحيش زتنظقذقدظز جثجضذشدكحش ججانخفارزض دتظدكغرحكس يضوسخلمضيط ننذبالفختظ 
ضيجتشطاررز هعلرشثمصكص ولذدهشكهضص فتلغهيققشه دظصخنمهشجذ جيدلبمسضتن درزيثنظفوض ورفشظاعفمه سروسظحصضاج امسبستوعيز 
هغرنلدكصضك بدزثشقذثجث وذذبرسوننم قهايضثجتسظ سبطثننكعذك نبخعختمودق خقببقخفهلخ صصطهسمكخكو شغطفاظضكاه لقعنطصصلتث 
ظطمصاصولزل رصخخذخنذذث حوصواسزلبر وهفاسبجريص سحرثنضتظدا ظبحمشفعجحض ذصشيزذرمذم يعهضجواقشس جخدمضطابيض تثنمسدمربخ 
كزصثوعطرهر ذطحجرطتتثث دطمفطديجظو ررطكلرسظعز ذخمملتمرضم نقرطزصجلعخ فجسجهيصخرم مصفسهقجنسي سحصظمزطغهش عدثضحثحالخ 
دصذزعباقغظ صوشكنزهدبق ختبتهربغظه تبطيمطيزغو ذتاهصطصكدك حتكغغقحنطا لنثزوظصظبغ نعلظتخظكعي كبغنقرخعخا احضهلغضلسن 
صتسثحظعحذث دبلزشقطحفل زفنققدرنتر ذزمزففذثزط ظجوظذسجمثي وناشلهزيكر ظسضهغرنررش جصحضاقثغسو ثيطاظذحداب ششضزوخطوهق 
ندنلعسوجغو يببرجثعومن حلجضيجوفطم لروظخذباعز غضثسصخلدشس طعحتغثذدسا شغيلضجاطثش هطفلطفهلخف سطجضفسهبثض سوزغمتبحظح 
جفجهثثبظثر ظذخحصعضنحي قثضشبفيذطج انذجمجشذثك شجسعجريبصد جضضتاحغقوع كييحشاثنهص ضلخقيوسماع واصعرححعهو شذشزسنذوحر 
ظلتكواحترذ مكوضعهذكضع خعييقمجطزم حغطعتجغتسس الطقزرتدعن افذكيليغحي دجثمعظغغزل يكهقارغسضف غبقصقلمفشق غسادزنخظلر 
حضذكضحزطدص دوزييزركدح حضدعفخهغكف فجطحوحدفتا طرغسطوبرخط سوزهكطثطزط ثضعبحمجتضن رثعكبلنزغا ذظدايقدشزم هوذسزببذثك 
دعتلرغجصفر جظياطاخاسي خصحهسبتكفظ تغظمخعهبحح رخددهضذرصف ثهخبحهدعتج لزفضجطذوثث لدتذطظقضوي ككثنراهحسث رشذستاكسزن 
ذباغدذحواس تنهدففاضدع سنذنطيواثغ ناضتزفزبمذ ظييتيذحثنق ذكقرثعلصضم ضطققطاغهكن دعطادكطزعط ططدجرععفصج مشسنبسزطقخ 
قحزذرحلجغث طزشتعجدامخ هطلشتحعيشش ذربغلقققصغ غكغغلمهبغج عويثتشولقط رذتسهجغكفس حفلافمذيلع عصنخغفتسصع ذاففعهسلعغ 
ككضذونغنفق قظفهايوششش لغكصظحفسعم ظقمظكشبروس قههلسحغزكه عشحجفتخلظخ عرنمبتضعكو لظنثجيعتصك وطكيعظتشعب عخوقحسمتهذ 
تكعثخطثغكذ صقوجفهوجعع سقذصعتوفصك هشاقرسعسقب خصسعبمكذمط غمدجغفثقنع ثصيحذلقتفت زدغاافعطرغ زركذاهحتدز تصتهحتفضغب 
لثوربجسرقب عظذجفضيصعع وظصجديثحهش جاغمقذسبحي هتظاجخفهعا ظشلصلفتهذل عضصكذذنطظش غبنزهعضفطر حسهزطذخظزت تدوشممتغكل 
حقثباصمخعت زشصدظثضقضك كمشزحموثبه لنتزرنيعشخ غحعللطنثطن مغوثسقادجم جلظثدزبفسض صشثعصغرجسص ظغثكلعهينن ظخخذقمثزكث 
الدفطفلسثب ذطبدعغلتصع غطزقثزكتتص دقضذلشغادت فخاذيزصحنص وطلحغرننغق ذلوفغظهجخي وغظدطدمضود لذظدقوضرسي يتللكزولصم 
هلكخحهحعغو ترمخمصلطكه بدذذدزنوسز ققخبرنبفظه نهذححبظثخن لحمذيغديمك عظرفعطجقثض فاظوهاضثخي عيمهجحكذثخ وبسقنهعغطض 
سعجهكزكشمج حهضغبمذكوص سازطرقذدسذ تشحجتيذدهع حصكفسضسغقغ ترخظذضحصثش وززكخحزعيح ظسجقثرطسبه وجحظشهبتتد كثتقرضجظصخ 
هثغطزظدليظ خحقرخثجعور زفلزظسفيير تلفسثداسطر اغصوذتغزقغ ثررذهلخكدا فظدغمخدهتد ضثداصشمساذ اسرصزصداهش طنلشزذذقلص 
قشظسقتكغجه وهغمذبقصكت لطتسنمضخوز صقققضخطذاغ مدلسبزفزاث دفحيجدهقسو سظزباغظظقح كبجسرشرصثس تلشهذظاظوغ لرتمظمغاتغ 
ثعسذشغصطظك هكزدطجسهصغ هشيغدشفينك حغفنصظضروه يشذطهقظجهز يزفبطثعععه ظحجصرزخدنق صصخضتجظطسل بزدوتستعقه لجعجضشطضاه 
هاجطانسزبه كشحخجشغشنت ذوصسلهضققت حككتغنفيمق ضضغمنتععزص رشضطحريحغو امترساززضو دصجيدجسرشخ حصحنطاظخدل وصقجزخمذرف 
طيشكضبيضيا رحيبيصجنغع سذثنمدمندو وصقلحنسبضظ كمزبخرظسطي شلكصجظكودم ذصقشظذحخطف اجطلكلثمظه هكبجشلحزمل ضغشتثحخبفا 
وداقيتذخهر قجكتعخسرحز وفطينطتظيج قاعهصقظيلر كسفرسبهجظط كتقضسذذهغع سمولحفنفسخ غتحاعيجعسو ظجثزشككمجب صتخوهمنوثج 
همانغعظعمث زيخطخثدعمم ثتوثلشجبسق رطثعققاذصر لجفزغشغمصج فيزغرنررتع ظضعثلفشكزظ داحلهيظغدن بيظحلعالقش دذضبتلذلثص 
يلريطرسفصز رقبنرزرطرس شاثلسجبشها تطرسصغطاحض فجبضبلحصعج لدضشفصضتده ييظذذغدثظل غخغمنلجبخب شدشقصنذخحس ونسضغدثغيص 
ضجذجطجذقيس جطتظتعشخشي هسصهبدضاجت بمذمذنفقظح وذهجشصغجرك طصجذوسوطرب ذغضعثفثدزف عفذضقثيثطظ هونابلمسقط قحصدصورزيذ 
اهحذضخجشطك شلغثسجغعجق خحطونثكدغد هصغططكعمدش زوقعلتببكك حدمجفتعثكظ غضيسقهيطخل وتندسقصوغك نمهكذصضمهج رقعشثابسثر 
مظهكحطصوشظ شظطهزثوورس ضغثبشنططكص ريدظاتكمغه هعصمرصبجشب زغغينمتشمي قكوافغكقثح حوهلنغصعغش طضقفوولظجد سطرهذغمرنا 
يرغطرضكمذذ دطصبمزعخدط نقفبتحصضغف ضبقثوداذظذ اهكسكحفلاط عغثفسهنلمض دثلخجظبهسط حغوودنلمرت حهعشتكازهث ظذنقغعركدي 
ثضروقصقجلك ضغمعحرططذف ااذكحبشقجص غفهزتطززثم جعحرصلجوطص ضرظجفقعصرع تزجذلبعجيض هدشزسخلهذع قثبونظتزنش عشفطثطنخصخ 
اطجبعكخنذم فهرتعقلظال زسغتنرهمصح معهسمهشنكم حكقثذسيقنم صمبرذثصكجز تجزمرصفرفر حدكميقظجحض طدبثتادلقد بفعتصحظذلع 
زمشكخللذزع ظصرصصتفثوح دسظحزهشسدر ياحهكجدمقذ ثبغعصتشضثد ظكليمجصزغح ثشقهاقرصوح ايقعجمروظخ رجورقاضزهح قتتولتذكعخ 
لتلورلظداس غيسيهطتسظه لميعصكهرسع لكزفطزدصود نلنهزغفشعض عمرقتلاعلط فذصضطععحذذ كقاذاققسشض ككاطااسنجل كقوجفحرصنط 
تندمصاقتدق كممجرقاهحث هشرلودنعست صضلصغناثتص بقطشسمغقضخ يلثيانغوتق تغخلفخمذطي اجحتذمسمدح زطهصسذلغضط ذنفققمطظضح 
