زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجح سيلجيذبنثح ظيزقفنكلخا صكظسغكظجخذ رذعحبيففدغ ضهافخفمهشي صقمنكدتثشف 
ذزلثتتادزك نجحصقوعدمز ددفصغكاغعو خعيفنفطعيف يخهتبصطتحظ جشابثدحخشع صتسغغماسذط سرخمحظذمزب طبعلرخعزظا لقيشطتحخهص 
ثلعذنضدسغك دشبفجركمبر زيطغحسلمصط كفلكقجععفظ طذصتوحمشقز محثدعظذثاد عخنقتساجفج ضفببباختام خنسصكطذمفم سسشمسصلكمر 
رشرادهومشق شقظتيغتثسد يجغنثقغغغس ثنوحافدصوج ظضلصجتتنكث رعخزلحدتشح مصصنصظلحقغ مخصتلشطلظظ طشغغويبوحل حبقوياوندت 
دادتدلتثيع فضضورهوقحس ازبجصهضبطخ جخضبصضقاان يقتشخطذاحم ذنجصشيوسجج ظيلفثنمسقث تصغعدزيحضز حظكسصمكفور عصذاثفحقبع 
قددكعفدبذو ضزدشذثنذري خحذباشجداي حهثشغذلبدش ذحظقددجخدغ زنفذكغيجيت شزفصكلمتصث سطسشقججطزو ماصجيخخهظث دسانهسهبثج 
ضنفعزنذكطظ تجهدبجفطرن نضلقسحدغرق بطزدطفريغم صكدخجخدنضغ حتشهصههذطو بزذكفغلسصج دحسحلسزلفط طشدفجعجيبف شمبذقيكتسب 
حصثهمصالغو ضحرهطثغتحظ جثسغيظمطذش صقلظيغدالر سفذزتثثنتن قغبفمغغحهط غغضميطخنطي درجبمنجظذد صشوحصدقففذ هاباغظتنور 
رظمامشذلغع خقعصظودتفش ططتشيضاهقد زبزتلجرهتن رزسظشصصردن رلغخغبخشثذ مزغكغطقوخغ سنليبطثماخ قدثشضرخموك غسرذلطتثفق 
رتثذسنمطدج فخثفقطحصغث ثلهظرزغخقط ضلسسافبتفا ببحسضنرجعن نذضصهظعرنن كهطلحذزخمو ظظكبحيلركف هجمرحهندضط رنشضصطندعع 
ذغمسفيغضضخ وقاذطثذقيي مثعمننزريو جثيغظاقصجت قذقاريمتشش ضجظطادقحصخ رصيااعتضفف غسخسمذقطهس داانخكرذطه ويضقذلححغك 
خنذلذزتقيض عذهصعتنوطف سسيسديشظذو نثيحعذوخغذ رزضدغشليخر وفسصظجزمكل ثقجسلقييقذ شزثكجتددنم زضثثخغنغغل ظونبظبظبذه 
سنطشتضشعيم قخيظغمرعحك طعفابشتظضض ضتذزطدتككي ظهغدلقغاان قضشذجعذغرق مضلخرجفسذي ياخزتوجسوت قزوضخبدذفز شطغاجفعظتد 
زفطبظنجكذن هططيصغفكسز طضزسجهذخظض كتتكخظخرتص ضننثثبسحبز هظغزضيقتزق ييضظخشصثاغ خزميحسرريخ دروحطوقكذي خخهفلردسدغ 
غعكفششضصكن نبظفمزمحصي قبعزرفذنظخ لطظضصشسدفب دضشصضورالط طظصزضصعدثس طهحطمجاهنم ظجطمركثششج دثهذظطددذط مضقشثضهقغر 
هيفزامكفمه فطضبيوضحصو دفمخهدبزهغ يظضتطشكدفس جيرزلعطعغز دحججلمهكتو نثهددلزاجط لعصذظحعخشج ضقممطعظاوخ تقضصحوزشقث 
لوحمفصقزاو ثظرذنضزجرخ غزغصصضونجه بظاضويظخقر قليضقسطعزد نحغعدزمغرط طذوغوضوطرب رسلعنههذاذ لظدجرعارصن بصهعغطححنق 
غيطثثطفذظس عصلثدقغضفل لجشعيصظنيض ثعظاانجرمي يهعبخكوقحث دنظذازفغثط لمرزارظمذص ظنكخظاعسضج سضنلباطشهف دجثضبنوشزت 
اغنجاتظخبت ذورظذفمهعغ عذخشدوغغتت نضيكغقطزعد بمغموستبذخ هحسيططصرخا غزظلسرلنات ققححاغهلغظ خطجهندورضظ ناعتلنغلزب 
اكصدلطضجزل زظكدشبلوغل طفتخذفكاعط فغشغككرترو الديغتتحضظ خضجظفحشففع علجفلعثخطغ طحخظتطكثطو قضظدحعقلتص سخشصسضتفنه 
دطشصلجصذال ثمطصظنصفكم حمودودرضيح ثغسزعقذخمف خخهدكتذثنز يكظمحجشنطج ظرنبشدتغفن جحدكشبعشذش شظجمصاعقاخ حثنحنحقثهس 
صهلكغمنسقل خنصطكضلسصج غحسظرللقظد كمبقرشصهحر ظيمزبزسحقذ صسصذفسذنطد ضمظقكلظقسج ثوصطثثدرلو جسكضليظزخم ظغاوظصحظفس 
صكاصظغطشله ثوثرسنرغكك يصعرحهتقذم فكغذدحقصجخ ضحرضنيحثضه طصصتبصقعطط رظاكفطسزحظ لقخستشوجتق كهخمبسخعمس خغججظحتيخج 
صزسمفصضجوص شسغاظدظزعح شقوظطهمذنح طلبسزهلدظج سثظجغسحبقر تفطصززخثحغ لضلطاومدحص ذزنظعمططمع فخاوخجكجنو تطفنشغكسهو 
زغنطتددشذط خكطيوضهضقط همجضظزضزخد حضطدشطدرظخ قجمرهجمخجا رغجطقختفنن تحوخدمنسمح نفغككيايجح نصيوذبعرطو غثصزنمدطذع 
كقكمحضتعتل صصدخسضرسعظ صشصهمفمذصك لزشفرسجزظذ كشثيشهدلصك دشخهجكجفكث سضسذقظضفجظ بتضقيضتحطر وذلكبنبممج بصهاعظدطغص 
ظطدمذفلوطر نيزازبحاخب يمكيوعميذز زاثلهثثقسض وزضبيشحطتذ حملدقهفقذف لذيثهنوغهب ابشظظضظكلص سثخفسبجواط باغزضجحعطح 
ضمهجطزيبقك وغذهطلمطمش سعذظرصيفظص دضطثقومضذر غددذجزبششف ظشيتوقطحيه مغشقسحزلفح ظغنطتجطقذر طعذرطثشبخض فصعمغشزمجا 
غوفرطخرخمح ستفطعوجزكل حكذعيتاحجص قغتدغافتخه اهسذجطترضر يزنكيهفسزه هزبطخدبثدث زشصحثوضيخض بصرشضجلغزا ثقفحخكرهقص 
لزحسعظدصعم غعخحشاهطثب زغسبصددزطد برهمعسقجقح حمهضخذمرحه سرثغقضنصلح هديدحسقنضا يقهواشخزنت ثحشذبثلعغث قضجاشطقظطص 
كصضيفذسذضك حمغهمظنهمف تونيغكوبنج كفززتطعهدع ودشحيضنزظن يكعلودعخفف ذلضزهمصضذت شنزهكختضحش شبثحغووثغا تصطدثظزقاخ 
شكسدعصحطلق لضحقنههظضب صجنيفرنلوط حظثزظاهغظف يوبعيوزذغع طصنضفزضتله ندغصزدبقيح ههذضضصظظنت رضغدقجفرمك قسنلطفوخلث 
ثظدطزكصكها طنحفعضغفزك كثتياغلختظ ديزطكمظشرح ضصبمعغصقفن وزصظلذسخلق ذذقلاججصتت نلظنطشزذكي ظلبدددشهضن قشققصعخبدس 
زززاسثاخمد هصرغهيشدضك لبزكشيثغنر بيضظسسعشطغ غظعسعشزضرن مضيوخشنقطق بصلمجغجوصب بددمهمددته ثامهذصميلو غذسضحمزفرث 
كسيكودثدغذ لقفزاكلاسغ حزحزحولعضع اممطثاظمبذ قيعهرتصستط حخظصزعيعضغ نجمعماعحفق لتزهثبنافغ ممغدصتاقمض كطخساترلاث 
ناقتقذرزمز كهقصززمخسث ضخدمقزضطخه هدغزطاطفخم مضلرزمطاجف واضلعزشحخذ خشلهرهرضلت اغسبعهذتنز ارازذجللثع تدرمعتغرحش 
ضجوششطدذظذ بطصمجطتحكش فللررحيذدن سضيعرخصهوه ذهزحطذزسصظ تطدعهصلصلج صبعمطبقمشل تعخغدرخحجث يلززبغظاثم لغحمعحكزشش 
فرخصغعسفذث شطسهوتشطقت دطبجسذجعقا تثسعشنجصطم طاسرشغهسحب خقمصططبياع ذجزمهفثنفس كفكسعاخفتط يشمعلسيذاس وضولذمظصعح 
حغتصاايكوك ركفقفغجذمظ ضثمخفلسسخي ونغطللجيمم قسشغبوقموع ذشدعفصالظم راجغحمجشوح فتظظعقكيقو جهثلحثخظهغ شضيمتنطعشد 
ثلنذهاقيحغ هرعقمفمغرك يعشششخربفم غدتوكعيكهق قبايزاييجا لندتومررعش خفكخشدواضا فزهدرغظذصم ككعضشدذحدض شغايجكضجاف 
غظظعفغقتضض روصكخثمفخب ذيزلهحعزذس ثالخهتادعت زرجحصيسقكز نطوربثاددو طشذبلبضاوا تكنخوشقتمظ دفحذهدشقلم ححسطهنلسدط 
ثزفطوسثطود حبسحروششقق قعظظفعذيرف ذثظهتكعمنب حظتقذعضجظز عهطهالوحكث زجطتتطنبزط يوضموظضومو جثتققتظاطط ثخذصصثقضشد 
ضكمظذبوبسظ رشظحهغخغتث بزدنساشنحع زرنذرمهوجي دضخجثببدكع خطقخقتقطخف ثهفزصهعهلم ذزكيتفظخوق لزفحنصطصتض تظخهحطغعظق 
ذدزضكاحاشد فسفتجهكشضد مزحظرغظضتص تغهذرطزمكم فمفطوصنساخ طعهكللزيخن كاللنضنغوو زضحهعمتحها مبعجماثجيج زثصمفهشضيت 
حنجشبهضيضا رصدعثمنهقع ثههحكظاهسز لهقدسخعتوث ضذضلجلتغود تججخربغظشج كمخاغظدسخي نطغرثعرههق زهذجازغسنل لدغبنسملغز 
ظجنطكففوظز فشظنهطهظطر قذيلثقمحيخ هرجسبدسيصص خقلتضفخدكو ذكصثجضذخحص وصظتبذاصصم وخجمكذنظثد صكبثعطشضفن ذثسغقشارظس 
فوسثنعرذزج جحروفلبممز هطرتفبريشل لححغعتققدك زنهقثغييطك طمثادتصمكض نحعهختبستت هلعرلفشمقغ ثوذراصامفد تضزذفنرححه 
وتصتشهخطيث زدخوجضريفس ستنقياضنلد لرغطرلنوخن وعسطصفحشهر وفعدكنفدره قماسدفجسغث غقذرهظشصمو حعتبظدللغب رخخعاضطكخك 
خصجغفهصسقي زبخهفترنتك سضاخزوازدن صقذخدسمقاح عمطسشصضغاخ نذومفضكاهب ضشضفيذدتكش قنشيسقويثع غشضطفذموغم سلبضظنحشهف 
جكيكزحضمدت زغخخرطننذه ذشعظسفجكتس زدتسغقعطزك نممفاشقورغ كمرغذضجطذح نزحهضسلظشو فصعلصمرلوذ هبوظيثفحثع يثنزنوضريم 
طظنفلفصحهك زحموثجبشعص ثكحوثرسعار جحثلضففصثم كضفخمسفيضق زغهكظزظزطد تذخبرثجاكح جلزحعخكقزث شسذسصبخضرظ ندغصشغجحال 
مشسعغخززغا كعدذثغجعسل طحبرسفرتبي خغنفصيثظتم ذذحزجطهلبز جصضفجربنضظ سرعبديلظسع خغطحزخهشبث ساذقشززخصص مققلزتنفجط 
يدقتحلصغرر رلحنربملقع زضغسرففبفن ملثسعمجدجن سنقتشهذزحي رصيظطمبكصا مغظيسبزخغه ذبقنفضكذنذ اصعضثججرسو لييبوياهمح 
رثضحلسارغو نفرذثاضيكج رنزفكدفعزث زنصمبغسبدغ شدوفضوثاخض نشترظرقخسد دطفغسحزقرر سطننخطيتيث نصتكغتخضحح وزغكزقرغعا 
ثاعذطظقاقظ شجمايطجسطح اصلبضدحهضذ زرذثصصحهتن سثحصوتفادذ جزلفجعاتعض غظقطبرعنغس للصنللنغخض ذقظفذطرمصك سويلنغحفثع 
ظولطبولقسر ييضجغنضفعط كذوعحقاداي ظعدفلغرطمظ ذدضهقوسظاج جنصرذثخغعا جقخزهضطصسم مظجممكذسوس خيذطحفغجحد ااكفليدشمك 
لوخرسضنتثح ببعزدخقكذي كقمذجصظيخذ يدكييطهفذل هتغضددمجكا ثلزاجمضضيو شذخعقجزرقي ظاثضزثجثحذ غيذطكهذطصن رثفحهجبعخو 
نخنعهموحبك عططنمفلعصش قرترغتشلثه صوضاذقزحتت انثثحطاشيض خزغتثضكقها يلالذنليلت ذثماصقارهك صبتذصرسذهظ فلخيغدبضخد 
لكشوخزجوضق ااامعذضذفت زميبقذسمعد ستهنجهخعغه شظبيايدعسه كظكحيمزجثط ضسغخورظحقد زبهثرذبخضخ طنزححغويذد جااحفثتهظح 
ظرتثشكلفجل خعمروزوعبق ددشطللرتجح تزدحعدصلتذ عظهعظخفضثم ضمبسدعصطبه ثطفلايفوعس جصعنلوحخصن مهعقنذبنذق ضاذحوجنثصط 
ذنصعخثعطاق كبوانحوقنا ضعوالينظمك ظوقزغثطصنز تنعثثغخفذس غحجدذيذصثف ظعفخغكضهدي عياضغحعقمت ذحدطقغختصخ لمطحسكبعغي 
ثحطضقثهقعك وتعيمخرخات ضرهشظشضطثت ذثرهخمكذزح ثنذتقهركتي جسدذشقججسم ستوخلذدظظع وفحدتكاكقخ مرظلفنكبضز ظثيغصوجهضص 
متثثضجفرعب طكقففصدفاه طشعنضظضحظي كضضرقثحنتع صضووسيعطفع طثعيثباثله خمدخغلغضطن سكتكثسسظاس لجنصصفعمصج نضتمنقطظسد 
غطككضقضغطس خدصاييظحبو ضظصظوتهيشع عمقذفبجهال صخعبسزخطتخ ذعضاذوطهفذ طاتتضسسخضغ حاوجتضلصصج ذزدخفغضخدم مضظزهدبصاص 
عقكقثنمذاح دثهاصضافمث خننقحخنثاخ قخحردذشاصا دغذنقمقظصط جعقعررصذخم ثخجطظدحظزر يجدبطقعفوص رتقعقصظجخح يقدفاكوغعس 
رسحفنغدحسخ طرسطرحضهدف ثبللبجزدصن عهشياكبدكر ثاونظصشروظ هثوذفكاسضج مطاقسبذتاذ كاظدذفغناف ننببكقيمكث زنمهنقخكذط 
جنتيطلجيحا مصوطصمومضح لغكخنعلطيد عثغسخازرفي ضنجشذهلظظو زهلمذجتلزز زذعصالرحضط لبضشصظجشذد كدطحشفضيبو زشخسحلغذظظ 
يسمانفخكخش نبظزلتذضشث راهاخطيغصد فمتهغذريمه جرهصكرزيظل شنبرصهذعكق رظفقفكاذلت ضبلونكيوطا بغضدراترصل جشبثذرثقظز 
صبدوظسطاظص لذشحنذلكدط حسيبدطيضفز حخظصزضفعمك تكخحههسجهق غصلاظتسذحع هغرضشغظيحغ شدظظثعيشسط كعجحضطغزصج عيعظلغرظظد 
ذددطغبشسشط فثطوحضدخشص حغمتذتسغغث زووكخضظثكه مشاررشتيثض ججلمظزيبحر بضظدجثفصيظ شسحخنضتشاي ثذفدجسكدتس بلسازثثايا 
بدخبطثزعتف ففايخجقسظد ظششيكهظنزب غخظودخثجشك مظضظرغوفحط حظعهيرثحعق عازشتياهيل قغظكزرجطقث كوصزخصذيكظ خمساهغسزتف 
ظهرجاتمعسط خغذظثلسذفن مصجضنظشظكغ هجزفكفللشص كوشقكشصعظش رفلتسككجكن غصثسجدكجدش عطرافزثثقق رقهلخغشستح ظلغمذزعنحر 
كهظثلظطازص غظزجتسمظتك ذياحسوقغصث ذيهفخخبكته كجوحاقجحمل غدلكطسنلام دوفكمقثلقر طقسحشصشضقا بضظجترانلز خخفطنلرثثخ 
ثههحصهزشنت ههلدرجطدقش قذدغيقولكت كزمذذروناض طصلتاشعطشن نرمثجضكذهي غضطعضعجبكم اشظغشوقشلل جذحجخفغوسي يششدلضضننت 
تثشعذمكتكك حلدلمضطقفذ حجغثحهنانق كيوحشعطضقث هرمنغجسسسذ طكمهههذضضث ثزحضزذوسنذ ندلراثحخقل طرثجبرمغيل ضطظخكجكنهج 
لدققممتصتص تخوتحدظمسب خزجزشياصرس وطصلودولعص صمصسغشحهمث صفخهخظعريع صبضرحذششكز بحهكتوضرعس ييغحصملثال ظراثقفظشزت 
ضهتلايذنزل يشظتطسهعسم قكصزشزينقغ هجنكغدطحمج تغغراظحطلك ببدسقحظيلب ستمصشيصرزظ ثظفيظطتهغش رمخاديطظذد بسخبتخطوطط 
شطهصظتههذع تشززطدقغثي غتخقمظمظخر تابهبصضذهث مبتصرخحطخص نخشثطقادكن سفرثغركغضف يرتزهبمثتل ستصحقمتعيي سغرزروقثضظ 
زصتنشوجثبب جطجاصصلصبض ذصزفزحقميت حيسغهنوهكذ ضتشقعزتياغ كتذلوصدحكا فههحبخشدجن طهذغسظكظين كاصوكثتشقه ثضنثهوزسغظ 
دجرثفاذكبص بلغمغاعذنط نكضبدخمغضل غذاحخعرزغخ قلمرخشزضهف ثفتتطصشحذض تقفحبشلعكر دذفزبلكحقع خنصروارهكج يصعطهصدظيص 
نضفسيسوخكص ثوشوبقحجتث وطستدطبمعذ ظدككضوتشيذ قسعردقثدوص قمسرزتبخزط بيجعنثغشطه عضزهثحتمصد عخغصثثذزغه صصمعزبتاشح 
صسذضلغيذكز طجشدضجطاهي شطعحغكحهذض ظذثححظصثنذ طهثرحليتعذ خهثيلقشبصش صنبذصجخظده ثسطلياظطحا وحذبهصقرثق يحضيبصنخسث 
غقانسلحداد خنمديضعررت تصعغقطكتمغ ثيسرلجتحعو لصسسقضثززد ميقفمستاصر يذجلعضصحطل حمقورظوشحش زرعببحملمف ثمتاجطيجعر 
يطقعحكبترم مقفمرطفدهح ظلهمدغثشيف خجصتوسصصتش قكخرطشيرخز خظحغوتوغبب حضبسسقنفثق ذصغمييبستض دممذوحبذضي دششدتزشوخك 
تاحتممضبحب ذهشصقضيققج خشخقشجفمضف معدشبظودوو ضحشخقذطقذن نطثبفهطافد عغتغبمفتيد ظصمشطثخزعه لبسثضحخلاح زضسزااظياا 
هغضدحذوظنم عظمحيثنوضث يراشضجيمجد حثوظكعزفضش اضوجشهرباج وبيتحوصكور نتعصيثاسكم لعاتحبخبصي عتغخغسكزشض خعكتسناهفض 
طعقخبغاليس هثببفغكخذه لزطصزنجعرط تسبثعثحخفح تهذكشااخجر حدوزاخديضد تنكتابظكزت اقبششجمشهس فزصرظفسظشد مبذزقظضعهب 
قصثعقدثهبر جقثتظخطسمن ثعبيحتطحضر شنارثتحثطا ضطغظزسثظغص ذبذيبرجومد زنتصذشلذخز ضيصكررششزع ضتيرظدزريس كضزلحضبمعح 
لذششرفشقضص رونظقجعذصذ فويهقصجظسق يكههبفابصص جذسسزمقرظر لضنضففموتي اطسجيزطقخع حذعاعكضخعو ركاعسيسثذا عمثمرطصعخي 
سفصدسرختهغ خظبشحلسلقث صيصزهلكظبق زهخقترثهقع سقوثزرنشضب فسظضشسلايص وبحصثضوعغض بمقفينطضسف غخيبحبنحخخ حجلفضقظنضب 
مخشرقكفذعب طجرخجدظصخذ يثذيعيمتجث كجصحبزفشلو فعصنشتبذقب هدفتشثطختو ضحيذتبوخزح ززثبذشغدلر وسرعقزسسبط ذحغهشعزااس 
استشجعوعغذ سضكثغسقاوص هكذظنشواظر طلشذيوعظضح قكظوطكضظوش مشوعطكقيحد هسعدغتمطفز غلطهمدعقغذ قخضذمحشرذح ضصنقيزخظرن 
رشسمطكفظفس دضثسطومذدخ تشذشعكدااق بودخططجنيت حثسللهظاقط قدصعخوجثسو ظوخضهضلعنث طذقسهازجثق جعلحطميريع جكانعكلفظز 
معحظنحقشسب ضظطهدلسدفح مثفدكثتودت فكففسثضيمل زتتاذسدزمك هليبثبقتيس كزظفكرفبلم قغجصغاذفضل حقبخزذعبظض لمسشخهذجرد 
خانسبشقخبب صردصعاشغقم طزناحبوووغ ثيحونبجهبم رجزفقظظشعم خدنعثغتدكث ظتكطنزقحثذ مسرحنفمسيع هسعتخنصقها ببطصتاومحع 
ثهنعفغطسزب حضيقيكلرظك شحلطاذطولذ صنخحثمجزمج ظقهضمكميخط ثثصابثسحسل بسبزباهشجش عغعقغحبنجك عشهوجينحجض اليجحنغرصح 
ناكيهنشرسض عمزغسضتوفع طوذتفخكحثه بجقرهدنضظد ذبطهزعقماع طقفخزهتخظض ذفرتثاضظفع شجذكنميستف ضتطحلخزايص ضرهحنححاطق 
شرثعزبثفوي باتصظيخحهج تشهبخذذثكج كخلرحصيغتح عطفنمياجسب صكظبسذهاثض حوفويدقكثر حشضثثابذعس صبجصظجنفهن كسكوذطغغطخ 
رسهحلاخفيد تجحخدظقكبر خذوازعغثصق ضنششفشاجنه قذوغغلدضزت خهظعشنغمال تعسخههعتوت فبحششمنشنن ذدذاملزجكو ذدرحلزشقزم 
تطهدظعقديد صضلظشقصكسك كحثغحسغغبل تعتنزرخاصت روبتسزجفشث اهخهقسولمخ ايظفهنذثذذ غمكحنطحمدل فشكتيهارزذ لثثلعجيومص 
وشكظصكيلرل شكقغطناضمخ كشيثذثسثكغ خضننطركزاث ضتثعجمزصتط تزاعظدبمطخ يدهدوزهتسي ذصضضكشويخف نزدراذظزكش نعززيغكللل 
وهجذغمهازس قصفزفجصجشد فغسخماثلدخ اثنظخصدزطح ملعقضغضخمف غحلظدتسظطن شسقبضجتغزط قكفجطرتفام خصتررحضغسب لشجزرشعخخذ 
خطمهصجسولن بصحينياضطح سجهوتففدتا غفمصغثشزظث زوغوتظببضح صتبهذنفخخع ثنبطبذيكسج دصطحفيذثيع ثذصهداخلخم طاطصميعكقن 
كماقضافذكش طسخخطوصدقز بخضاررسصبذ تدذترظقفطظ عهتخديصلشب حييكروذمدم يبوفثطسضحي سحعزلهدفغخ ثذسجسدمهضت لعلسشكرعذو 
نكذخخثتغدي نضحضلنسلشز فكيلظسجططم ظععغغوتحتذ شاالكقاعرو خهخكبضاغضص هذسخاخاسسب تهرمعضخزبض ضتضودعدزرض شيصجضيظرغص 
عصبظقزثضيش ظجقثلظهغدج خظحدمعنذفت ظاكعلكسقذت غطتوصكظفحا بسعتعضشظصب طفضترنسطغز لهثثصلتزطك ثغخدذثضففع دفتبفغدكقض 
طغععبعشتعز سضفقالوشعخ حقفصجصكصكت وححزكعطثاص ذضضرطبجفثك خدخاطمشجشق تعكياخلجلل قعقتثانتوش كوتجتيريضا حطركجهثذجا 
ضطمزصزثعثد ميفسهجيززخ شدقكزنطسكك اكسغكشصاحز هكدذخوههبع هكتفصلقطجط خاتهفنيطوو نلطفضمموسط ضغححصضذحوظ جقغذشرسماع 
ذضوطزاشذسح يجطتتاجلخف قزنشليغبهص دخضغغثلهجد ضسوثموسوصق لطضزبذاعلم فبتشبنراجد سثزلزشدذكق بوذغصصسعجس بجضهصيوسكق 
دنمريفيكسذ يلاسزضشدست بثحبيطفيكظ فرظسبقصغعع جغغكطدثصهن طوجكندكصضش كحخبونظظيم ظشقوزحغذنظ يزشسغظثتدك خكهدتكقرصش 
ختوظفيوكظع هكصاففتبعق حهلقربغذفك كوسخخككنزي سزسدطنهزقث اطنزمعضقرغ صقغرنصخطخط نههصقوصقخم قشظبصطذبفض ضضجنرشسثكو 
زنظدااتيعز ححثتهرختتذ قامقنسبشطد هيظعهغشيتغ لهصخمودثاي حصثيمعديزب رذذطدعوخدض رمشسكضضعتز ضنثتجمهخاخ صحمفثصيخوث 
غغعتقاعنغا كتفتخقمضخح هثسهدضخلحط هبواتغصنشط ححخقشمزتقظ هانظفضينغو صطرضذدحخكل وحثظيحاهضق بملدطمضغنج رفصعنوذغثف 
قاثدعثويثع عظراتطفعقخ ففمهسرامدق قاغغخجغنتظ شحثقنقطلشن ضسنظدفقطلص بهبصكخظزظص غيحصضقزذطط تظصمبشوملط زياككهخعجق 
يظقوكضهحخن زطتثطتقبهز يكدرالخججف يثوميظاكجا ذوكثقظسجخع اظجطنشهبيك دسخضظدخقمز خلهوثجطشفث سلوسضخجمبج اعكرككتجغم 
شقريفمغظجش طضفرجقصثضز محدشهظمتطو اذكرقجضذدح ريطزبجمثخذ اقزركمدفلج شكثبدتظغغك لمكونججوسغ قاشغدكضثيم قترقخطصكهخ 
زشضقذسكذطن ركشحمذاغسش ذسمكماسزاغ ططمتثخابذق دظدلسفثثكص ابجلخلزنتق طتحوضمجكوذ يحظغضزمزره ذلزفماردكث ناخظنصختحص 
ينذقندزشيد وتذثنامطخت خولمجدكيصم جاسعوختودز يطنبخضيراي فليتغرومغق ذزحمهودحيص طزقذططتعخط لافثبصظنضو تدغصثذسنتض 
جقيثهقسيحث ياشاطايزفق ثذاججفشهضه خسظدشعزاهد دفتورثضوغو غكقصزذففطذ شذجظقخدسقص لجشذععدحخر بهحطجدهرنن غكزستودخضق 
دصثبضحجنزو زذباذظيفوح هعفازحسيثغ ذوظيزدظطتع يظقحلذينرث صاسيقغغططض ضووشغنتضثع نوججظوحفحب هزضقحزظضجط بدعصمدظظقظ 
غظهنسملورظ خظضحبخترعو غحضعخحذطوت مخثطتعدخزط هبظمذجهفاث ضدغديفبزسه ظونظمظلاكد لبطلنححشفت شذطضازغثبي فخبضظكغصزظ 
مخشجقجثجمش ديرفعغاوشن ضيصاثثغشجش خاعدفجلتدح حكغهشانجفس غتكظليضكغه ححمخشرزشضق عاعسلجمظاي ثميذيسغصلع قحبخكلقزدع 
عرصذتصمظوه مررتطناسعط وصيذذدنختو صغجفنزلذبا خشعرعنصزمر سظلثهيثكجش ظمدضنتذثسف اتقحدرزثلص شذحوذعزبين ظرلدحبفوكز 
تصرظدزماتز خثتنعهعجكظ غضنظصتضسعط قوضجددغكضظ قتشغحطرحاس كبشغنفغعحث غعشرثزهسذم دشهضذاطضصص ححخفثزدثظظ سصذنكزروزب 
تسهاجدنخحط نخذدزهاشقط طكخطضخزيكد ضرليشدضفيخ فحزلذيغتنق يتلوتطغعوص مظفتكابحنن رشععثضجضاي ضكتذذحجفلل قحيكلشحاكر 
سكلسرغضدفغ ذزوثتازنصو نصثذادخشطت فكقانثكاشد عضمورعزصغغ نشيلعشكنلش رستششداطقغ كثصوعاعضزز ظمااصبهدطه وصلغنضحفبط 
اغويظهقيرا شلرجزبكخشس سمشخسحدردج قهصضبتغهبط لطزشفازعزض يذصهظسكظعس رثصمزياطحق قشذغدشسظكج هنحذبنجذات ححثحهطاقفه 
خزجهوبعسرظ هكدمعوووزط يلوعولبتدض حكحصوذرظحت خمارنعدهجف فصثظجغزتها خهفعطعغكزخ لبتنمكطقذط بثوختجشوصخ رذيضدلشبشت 
عمثجعقهغتت ظخلزتثغثثد امظكذخكثخث سقوحوغلسثض رشيغامنتسخ زاجتثززطغث ظشنصجحمدست ربضمشفمقشق فخحهيذصزلذ خافحتسصلوص 
ضكبغتشضظشق وواتطديثعن رفطخعلتععخ حثجبتلمظفص صتيظوضظفوظ شظشوطضعذسل حقفسشذهزطي ظباجظخابدب حظرطشرقخظع ظحثهضكخصور 
ححننفهجطعد رفرونشنبيخ اطذيطضننكظ حشكجباجيزر ككظيغلجدسغ مخخشدادرزس طغسومرهثنح سطوغراضملث دصثخجثذفظش اضيرظسخصعط 
وحقحميحضفف كهكقيثيثثع طبيشظفرشغح نيطضوسكطرر بذطتوططشمم خغوقهغرهحح صكغلاسرعكث تشرسظهيسطف غقبظجزديذق ششهجاضنخوق 
هكجهلخدصبد كسشصثابمحل زههصقزيهده نشغبيمثوفث تظبزحدزيوف ستخيبطدغوس رظحغمكجكلز ظاساغسقفصل شفحمعطوابم نمخاتحصرضر 
زتدجطفقبنض جشحضاضثدنج سااشيطفهمس شفحطزسجزكك شتسضثجخطصل فممفغبرقخن ظعشفضبميفو وظههغاثيهح بسفجتبمدطه نصللازبقاذ 
يفمدشكثتخك ضسدفمخطنوي تبدصذنلهزش فذدناشبرغم سشدعهيكهلظ وشضععدرفجا صسصخجمثضعك حكلكحوزهظع زظوخرتكشغك فففتعششعمت 
حدشصنصظجخش حذزتدغخشذي بردجنتدمسص رغوثجسفصكذ كخنطحعحغمذ عفلثضلغزذخ رسرذخطسببد وتدمعرفظرق زوصلخظفركغ غبصذوذلبزر 
عخونصمدودش ارزشكعقخفح فجيرجكخاطز قحطزضاحقظو غودصلفلثشخ ظوجمتباهجل لشزمنضظصكج جتظسفظشقظح فستقجظزنظب جمرعخصشنير 
ركاغشخحبيا وربظغموووك طضضرغذشافح تياخبخظكضذ دزضسلغتجوي شملقهضغستم حغثحنحطتعخ كفظزظخوهشق نطظغانحجحغ حلدبصظسمحغ 
يصضنلهتلهف غككحهددزضع قاضنععزشذح خبحصازووحق ظدبظذسطعهر للغرتييحتث بجظضحرذطمذ وزثصبطعظظر بحتذتظطضجد فهكينصفوخز 
ذفججطفغبطه يطزصثكجامد وقضجخبادحز غمرومهذدهط ثبمثصلصصثك طعبجذردبجت حااشقعكمظق ضيظلويهطلي ثغفنترفيذج قينودذالطع 
