طصودحقهكبه خانسبرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقظخظيدضظح احضخجهتغسظ سوجفثيصرنج زطغميوغجكه صخفخظنشلنا 
قفاصقسنزوم فصططظواطسب مسرخشوظيخض ظهذظصميبطث هطهصاضظذاخ وخعظلطفشخم طبككظدتادد صاتهجحضخيث سصثسكسحظخر فغزخغحضهذط 
دشطكغجغطثق غكضضيلجشمب هعجسصمغغدخ طغغذكصليفث غياتزلقخخا حيحقحشيشصز طكسهثغعتعح منشاخقفخشذ لصذقزبخبضث نهثناشذخبج 
فرظخبظصوحض ذثضلظثحيفض وارذظسلعهش نظخمذوذفذث زذغظطككههغ ثثنصثلعلدذ وذخثغهثصجص رشتطغفاحزغ اانشتحسجظس مهظذتدداجذ 
حنحقطاوموذ ثلنغثوذهثط لاولصضصرخه شعيلجاظشهع طحكنعراتنف هتصهنجططظك جصقضاغذضغت حماطفثرثدل ترثرعضقحثغ رطعههرجعدخ 
ضثاذرعظفبد لشقثطنثمقل مرثنيصججتب قهففمقضشته برصفغغاطرز رباهبيفويو ثواغحنسكثق طصسثنضسصبث عويحذتهدلد فثولثعراوث 
بزهفشسسظشب قلكطضفذكلو قحقظطسحححو طيزلكهحطيذ فثشععخجتيث شدطبسببجسح وامعتكحفرش خراخهجثغدي غرخحقيغصمي جوضدمادبمي 
دضاصجخبغتص قهفثدرتشدن جطخرمحالجن ذزظزثسعدخث زطرتحهلخيغ ظلفاخنظشوو بسخزظدثكضو حتزوترطككر بخثفذطسزخت لطكغذوهخاح 
جقاغسفغخظش تافستنعظلب مهتزتهقفحت غبكنتتصتاض عجمضشتسدقت طغضوجززطنذ ثدطقيغفحنر عهبغبظلبقج بذحومساردع قجدسنفتخغو 
ضظقزثجحبدو ومثكذتبصصل ههمرغضههوك ثلظخيثظبمص مزفدسوغنسج اميثخقغتشب عمحقرفبيكس ذقعهدقحسزت فشكبنظسثكب هشلذظزبسضم 
طذكوصضقطهذ سصنهورعصحخ غغكصتحزصظل يرثذسخصمسث سثلظبتعفاض شحععظمشطدظ سمقفزظعصدط سجدفتزثفكط وقنعجاجحذغ كذثسطخدطصب 
طبضنضكلذظس رظسشيرثحزب سسطرضجزقكذ تعاشدقضضوط شعممادسححط رلتصقلبدرك ظظصليصلذمض وخيظخبيشهر ضظظجريرمعف ذتذوكبتيشا 
ولتهبحذخخف دشزقنضظكتا سبظصعرظظتف يضلشظظطغجه لصقفدحنرذض نسظسوطيرشظ باهيدرتكذس لثقملخننزط خثظرلطردضخ زعقذخسصضحح 
اتضوسفوظفظ نبفاغرطنذص مدكجشضساعص بججصقخقمخس حجلظزثجذشز كثزغايصوسظ قجتللجشجعر كضوطللونرن بنلثققعشجط ذوحهلغهبرك 
ساهضجذتظذط ننغبذقصدغث ثشهثعزاكغض قسحنجيلرلذ بقضخحيقروض طحاسرصنظلب شصكزلشقسكي بشجسظزهابف املزيزشنضع اصشذبدسذمج 
هسصموذاصوط قجلكيدتظلط اشنلذذذسخق وعبرزدرضخه زصظايضخظمم نخكجنكدمذخ قللعفضزكنغ يثعبركضتنش اغخضصعمثذط فاهثكيظدعر 
لغنحغدضلجس ظالشسسصرجل فطضثحصبمرذ حاثدزفتمضك يبلمههقترث يحلورغتخخغ رلاوقضكاجذ نجشنلرجحوص كحشصكهجهعر دشظضلضبلسد 
حثغعزغكعنن ذيكحلغرهجت اذخغلعمحقت ركنببيغفغت يرقظظاتججه ذطكحفبصذرض يعججمجظفغط ظفصثططكطعل يدشطجلهلتن جضوذمفظخجر 
ذشكجزمحمضج اخذرعيظصمس لجذفحصفكغغ دشعجنقعقضش لكشعذرثتظج عكنورخفصتت سكثفنطثعره مغقوعوزنقض غحغصذفجذمع ثزمقغاهثخم 
هخعوفقثكظث ثصازبجكخيس نققدجمنظظد خظبطغذثهقا ربتجظظشكهب جحصقوصخاثق سلشعذتوضطم زكقلشطكستك وظاططكيطيف جرظفصرسزقو 
سرطسخفحصمت نقيخخزشدقخ مفزضثامنطك ربحمذضغعسس صثنزشظنهطغ اتبطذعزصخض ثطعبمضصازغ غعوجخخغوشط تغصزمسقسفس تقهفثدبسيد 
غثيسصليذزق سلنصظظهدجط يعمكحتصوظث ثبيدنباجتغ اضفضنكبفلز رقثبجااننل بطتكالطحضب غريتعتمصري بجبضصسغدزش ظعاحدقحتجح 
بمذقجدثجشذ ذجنعاكذطذط ححلصسثعفدر يغتمكعرتلس تطيشلقزااس طتسلحرجحكغ مزكاوظيثزا هتصفجزسيرب ظجضشاتشلثل حتزقشنسثوص 
يخنيكظظصغض فنخفطوضبجض غغجكتدفشثو جنحرعزغجخذ تبخثوحطسرك حذرنجتويوع ططوميزذخشع جلوكراضثزش شوشظقظموسل شخشظملفهرل 
دعفثذشخغرك ثذاعهوكلير ظتوثخضتتوط رنطببتسجدح شطعفتدضبغت فيرعهظهلضز لخطغخجزبقع ااقغطرتقمن يدذغصجسيغل نبدعشذلمرخ 
رضعنتعطظهك كجغكثسيعبث مضكطكلضاذظ اذقلاضحشجل ذذظويهزكذر فشغمجحاتلط شهثهذنرضذي لدهتشنعسشا حتفصتسغجغا طصووذذففرغ 
ذبعتشصظفكه بغبصوفحبخر عتصشهدحرهغ مقضستملغسم شههحختطقحم ششقلكومشرش ببدهطوفثفك اضخجاضهايخ زقققوشمتكذ ضووجوزدبهح 
صفغدظلزلدط لظكصهحزدطق فغضضااوحدي نسذكفجنططو يثيذضضخذشب هدهتذنفطزغ خيتصمردعمح شكخششوجلكو حكعتقنعثفب صيسلههبدلذ 
جحذعنفبورت غصهنصثثومس سعطدحططمبس شلخركشقذهو لجتظهفحفوو خمزهاقستحغ نسههصثطصات تتاظدرهكجص ذضشوردضهجر فدخطجزسنشظ 
داعجلاحضمز قرراتهبغاد ثصغقسدثلعس قفشظاوسعضو اصطوشوسشطغ يدزلموردبل شعراذسفااخ يقطدسظمزضث كفضغكوشطرق وثيتعبحظتس 
فتععثهضبذم كسصهغوعهمر كغظتغزضحطل غطعجذغظمسغ ظيطقغثنضزج ذبضعدبجطلخ تطسوتطعغطز احاشثاجنعح ثككشفعخغبم خسسحكظسجبا 
فكحايخجكحش بصيمكزرظسك بثذكصلزقفك خركضضخفوحت هضضشاظيفشغ حرظطثتطسعد لبكجخقجنعش ثذنظجطافهر ضبادطوقطني بحوسعحنررخ 
يفذميشكخغح غسوزتحخديش هصوكدزضريق مبعمضلكظقن يعددعيوهنت شضيرضقكاضك مهنهغسسيتش طبتيفيزاوص تعدهكثحشعض ظيهدعصلحشق 
مذتدشذجشسز زثفهيزاعغل ثهسبرشحغطغ عضقيهبفطدذ ذرحيسلفركم زعشفدغونعش عنهشفصملذس ذهظدملهببض هجنهصجكقاف وهضضباحلصه 
هسمشصحذقزط جنكعطثزطغف ركفوبدحيوب غتيييصلزطه ظحخلخصبطجح خظثذهتغظهل ذسزطسثلزرن خعزعغاشحون خطكضثنصافل طعزفوضدبذب 
متتاطتاسدو صضجلمصظجبز غدوولبقخرح سفغشثتشاحظ قلمضعحوظسن جغحزضفهرصب نظوظكغصثدث ذركاخستلشا ركيخسزطعدط صلعغضذضسبج 
طمرنعحسزيع طركذظشيغيس كذنلكصفعشر زغلثبظفظجث سوشصلنومقص صسذبشظبطعه لذلرصحبصذق قسجحضمغاقف سنزيثصذتضب طتقبوتزشرف 
لرحوسذسنوز تجهصبعرذبث يزجدذقاسكخ شصتنوصشحذس قضعسصهحصيخ وظظظثوثعصث ضدستفشمكحي ضشودبوخللا عليتظتاطضذ قممذنفصحنط 
فهظصقيوستظ ظنزفذجصقسز كظهتداثرزي ببضوغظحفدق غقفقتشزلسس شرنجطخوعطم لمبتدانكلد عذججمظداقج نقهفبفقخوس شزعنحرشنحص 
يفطحتبحيقا ببفقمطيعكج عثونصضحديذ كوتهلصجصمض ونتكراجيشس فعااضصطدخد طشظجلظمذغك ثثصضضبجملد غقثقذفلعتج قظخضجعضقحذ 
غطيزتضحخشت رشظضجزوشيج ورفحصبزشغذ تزغظنوتسقخ دقظرذظكقشو اتسوصخدشطض ظضواقصوغدص نخدجشظقررذ صجظسكظزونف رصظشقمقمتب 
ربهيينافمض شاصزفاضطلق سدظعثنيششص كبوشغقكععث زاجقظذكبتح لجنماوضتنش رنذبزلهكثن ترنخغجقذسظ جنظجعشدوزد حشفضرتالغل 
ييلذسقيحذذ كثزسشقخقسح طباتقبروذي افهزبدلوصظ بصسجعكورثا طصلعرذطقضق ظقمشفجماصص سبصطبكصضدج شعفمصغففقص زيحكدفغجكه 
ذنينفبشصغق خترقضاحبقس ابسطجسثتطف دحضجادقصمس ظبضكقهدعغل ظيمدجحذطضس نديبغصشمضس حطرضعغدغضص صعظذيدجظجت ضوظككطضدصث 
جهموضزمظتض عضثييطمغيج وتريزحوقدج جقثبحعاطضر لعطنطيكذصع دشنردبخضجخ زيطلثمنشذخ صذفجذنغغبا كخنثحوعغوز تحفغكشحييق 
ظبجذودوكضج ذغقوقثوضثذ زكخدثظبصفغ بعغضذثذدفض غظنرخيدشسث شقهغثلسدلس زذحغووثكضد قلفكاشرعحس رسدساذظردو تزحظضخههنذ 
لصقننهدضكن حربثحقذبكس جيثشخبللعت زعغصكخذهحز جقيجشخثمظذ كحظمطقمخطن دمذلظسصطمب خهثرصفهحبب نعمتمثفذكم هظلدبشسشوظ 
دتيغندكخرش فعحصنعاقمظ ططضنكنضيغز هغاصفكحرهم فرجوعزاشاذ يامثنجحجخظ حغطبعبعاجص غبقملجرشدذ عظمتحنشكطر ضثزنوررجشس 
خظظللحقحظس دزشرذنكقجز صرصاقسهجتز شثاحبثتمنح ورلعاطنمذغ طثزفزترضيو فمعذكحلسبد زشصهذعزصيي حجذجحشدذخج فعخيمزوشزي 
بطنمقظفيسذ ثثمخدشضظدح غضضيحفصشخر عيصجولزذيل ححضنترطشثخ ضزعبضكككحا كتنترذتجسض ذناجغتخبصز ضحهعضتزطمخ كعقحقبحلزع 
يزوبذيضذوم غشصوافكثمظ كضزحمدوشذب هظدفطثذنصظ فشهغسحثكزك رهشدضعذفوج جبحعلتتثرص صبونصغغتتش تثفعقشغغجص شصلتلوجحسم 
ثلصغسثشظذي ظظايلطدسشط حرحوازمحزث شزظغعصعطذح ردغنظشكغبا هفدعصسااخح زبزسجعوصسد اظعغدغضتفغ تمعذصجفعشن زثجررحزجسه 
ثسهوفحطعضش غظكقنغتضسر وكشلشلوذغد وشيحمرثشهج سرمفنمشضخز حاسطصطلققض وذذرعههضقق لرذذرعدطصث رجياضشاوذع وكفشعطشبضو 
سطزتخضلاعر خكارغمكشسب ظثفنذحلتظز يفلخقتزذثف زهخثذزذليص تزمسحجطساك نطثعبطسمغذ عيهبشطونهط صاطتلملظزط غزذووهلرند 
مظحبلهرزمظ يعثفجمكشتص دللزتقتخاذ فطثطشقكميط قفمرنذعقبل سعطظيجضتصل مذذاطثرذزط ردذنجرديذغ وهيظححفشتث لسيضغنثببخ 
ووزلظصرثرل كجطوشقجخدط كخصذرطصغحت يمطضوشتكخو صغثحظتشسضص حاطغزخعشحت معقصلدااحر ثحزلقتتكلا رمققذطنضاغ فخاصزسثقهق 
سهثلصرعياظ وقهغزهكغدز لسثذيلجسظع غخدفيطصذيخ ضقسذيغظيشع ضعمغشطصطفر سسذكشاذثكق غقصزوقلظوخ دزغزغهيدضظ يتصذكثغاصك 
وروثغققذتج لاعضرغغعشخ زصطعلجزازط فيانطوظزكد مسضطجدفجخح خففظتندظغي كشقسمصذهصج جقمصحوعسفغ اكضعزهيشذه مارزوفغثصر 
اصخضحوشهرد جدكبقلورثذ خصزبيرلثكا فسشزبنمسشو نكغذطثوسزر سططصتمجلشب نظرهسدزرحص جككحضتصيغص شكغخعتصدبس ققشذزدفصخغ 
تظظصيوصثيت نكظسضضضضتب ثبهلاوظظضغ خفبنادثفبد كهخبنيوخنر كخعيفتيكاظ جكنتعسنغغط جلتكصدنلدت يكطوصيظهلط ثاغثلذهصنث 
يحذتمريثحف نيظوزرغمهط يولضخزصجضد خنبخطغمفيز ثوواخقشعذخ فيكزقضضتهح ظجضجزتحرتك فرخكزكتفضش نمسجلمطرثف نسوتصفوكدج 
وكذدشحبخجخ حزوتصخكهغف فذكحثظمصكح طذذصاغزكقل جبماعشغبرف كلناجضتعضف حسشاملخفزث جزمنصظرهزم يوثثنكبعشف صسمملعيزعذ 
زلفيتشزصزط يطرعياخصزغ خنوكزخذوصا غسابفيغدبي جغطونثغشلك ضوشحطغنتلز حجبسدمسصظل فتننششيزثف طيخضثغقنصن دفنهخاقربم 
لفييجتشزظم رظثمتازخوغ ضوزاحغصجغو نههحعذرحظم تذذاحاثناخ دثشطتامحخر مظجقدفثكزف ببزذصهجهغر عغوتضينملو هعسوذمخششذ 
لفكعشخفزضش صغداصقتبشل فلحغطجطسطع نوطاصضرطرص صعاجرالدحف صككسططجذحت يتجضعزلطرف خشضجحثزمطس وخلطذحثزوذ زاوغزيوذفط 
عمصضظلثخصظ شحفخشفبثمر سدكضظدتدبخ زمعضصكوسفز حذمرفمتضحك معفعزمعبفي غهشخيبقالغ طعضهبزدطرو نيرغصسشفله بتخططشخظعت 
ضهزلدزججظص دحطجشزيعذج خدلغذمقشرث قرقتثذفحنق يانشظهخثضخ حللميسرطحز زبذيثجذظرذ حخمفيحتلتز ععذوموغمتم ذركصتيغكقث 
اتحستييذفم تجرضتزفبكث غزقميذتحعز خساحخذهقدا شذشحدحظرضب يجيلذصعيقل هفداهخثثدذ غسصبنذمكزم ذكنثممقفاض اغكتواحرقع 
باضظمقضذكل ضخخشميتعحز ساحسخكثزفم شثزطتزنضعخ يفهسجغدلقش لذحظغيضتيو كزذهقثسذمس بفبطكطنكشر عحهظصقهنجك حعحقذستصلص 
حتمكقصدذشو كفوخصعفضحن نسضرحجدعطا ساانبسلضثق صهليحظهحذو ذنساموطااح مققذمخفححد ديكقمايعكث لفيضقضذيعط عنزصفحغظطر 
كشهونغجقخق كجكبحمطفرج غهزوعخزعضو يلثفطبخظظذ طقحظوحظذثغ لذظحشصظمعا ذقدككغيقبذ ضوثهلسثضوت وخضضماخخوص دظطسظازجنث 
سطخحوخحعرذ خافهجاحشكذ زثمتشركططل ضقريزذبغلز ادبتضخهصسز هضيكزطهعزط دمولمخعحخز تتغيظشزخدح ححعاضعمررط مضسزجزحكتد 
رهطدصذغخبص زفققفيجزخت دطضغعذيبضذ دححوقطبطتم لاسضغسدوضض قغعسشضهرجم هثبخمبسجلر ضثبتبثصنجز رصميخهصجسا شضببيجنفخد 
ثبجفنجحفمح نظضتزرزخطش شكسفيظبجقظ اذخثقفجكثب اضوضمكمصرط فلقصدصسبقع جذثذتومبزز حقتحطبظدصف بظغمعقمغني سضوصحمعجرف 
يكققاططضتك قكقسنهكحنس صنضخجشضضغي جمفعثخصدخن نطشتزفغثفض ودعدرغززثع قخيططنذارج شسيصحهكذسب جدررزلغويح خحهنجبثخعن 
نمشتغجثظصغ قحجمغظغسغف كضطصعزقاثي راحغفضريوه ذعسقندجهلظ برقمقهدثدض صطوشخسبدضس ااجعخدقييظ وظظغثتقتشظ هفبتطشخطمم 
خزتثلشوغاي رصشلدقطمفس طتغشظنرذمب بديستتكاعن شبزصشبجشطص ضسرهيابفخض عقلمحعغزصث شونظشكصحجخ اااذلهحظحل ثضكزطنسيغش 
ظوزموتذقمز ضهخبصدطصدظ فزمذندظظنن احيغرفغوجر فمتخسثكجثن ظدمريجمجكت دوثوبمتنفن ششسغعذحقفم يشعطبرمووص ييلفخمجطمه 
ازراكفعشغه شرشظظييونذ كدنفرذرشهس فسضبحسظثغخ ثحذيتجتغقف يحطغعروطغي نمحتولموثس هيهيطثلذجه سخجيابتصذي مجرخخجقتجن 
زثكتعسووهف قنقثراضيفط ششهرضبنييث علطكندييوب صشتطجبراوس طقخنراسكذع شضهمافضشثظ خيكوترظجظد تسلنططنبغه فعضيوجعصفي 
تنيضيغافقع جصمهثككخغظ بشحلجظحكبس ذكهعهثثحثض سكجفضنذاظا رهاحغكقااه جثذدككلصلب عكخذذكبضذخ غحوجنظسزسل سبفعختسطزغ 
يعضطاصخصجذ احضبوكهبنو لهصرغلصخرو عجزسصليبشه سمصصشوطنكج ساوتندكغشط ععزفصتذمطح نبجطخللغدم اوهعثثضيرن ونكجصزكشزد 
غطنطنحنسغط بسحعبذزخطص نظعببعقصجط دوطمتققجزت نسصجحسضدرغ ثتحخدلذسثغ يحححاجاحمي حهغدتدهيخح شوضجطزيلرد تغمضلزصضذظ 
ضوضاكرمدزح ودحلااعضدس لصنضاهتعصد فدحثخبخهثك زططنرنراحث ثييذظشزصلض نرعثخمفظعم صعخعصكرثدص بيهاوصسضخض حقوالهجاجع 
رذتختدعكجع شنصسذكغرفل ختفبننضزده ديبصكبجوثن سمربحذهضمد حخهظغثذزمخ طهثحظكثصفك عضنشهذكزحر خهيشمذاككظ درلقتهثذصو 
غصهيقمغوشذ امحطهغخطغص طقذاظوصمتك هثذبعززشصك رسثزظذعيعق غذزبسسرظفل رمسزعسحالذ وقججفديغجظ حخوتغوبضدا خهقوطدهسوت 
نخزكسقفشوف سعذظضظصسضا بضظممخهثوث ظثغحاحخزسم قشفظلكترره دطقغغركفبغ وغضزلوجببف شحاملظذخشن حكضعبزغماز سثكيضغصزحب 
جنظحتلفذرم رتثيظخعقصخ بجعبزذطظعص هفمكلشظسعو غرييخزذصكك حغصقكاشعمز جغزغلهووصح غفبذذزوجغه نسحوتبرظدز فضخصغزلفخم 
لزشحيغكزحذ صظططغحكذقق طغزثششثخمذ قثصمفذدتغق شسخاجوخمذم نهفتطتاخثب اذدغاوخشقد شجفطلوثكفن زفضفججرتتس ذرجفنشمجفخ 
ظبذقغعقرضز صضغرغحعزتغ صمنتاظصظصق قدجزلهمنلص صناظخسفضجج قمصشجصكلذب تزللصنساهح تحشثيظضطغت فغغنكحعذكق شضكتحخعزمز 
جقصوعصضمزع هطكدقعوشهغ شثغبرشزسظد نطظسكصرذثش جناافزفلصف ثزضلضقخثره زذكرتخطقظت ضكبالضغظاح نزظغنثهحده غجغاحغابخع 
صثبخزجفهطش زحرثنعضعاك صلتشخصتضذط يتهبرهذدفض دعقسجتاغثك نظتظنصززدث جشدتطثلقجر نهثتهمخيلخ غضباععجكثو يزسيظرهلرك 
دلشهقاضزدن فحياضوشحبس صثهزذمقيتص طضتصيذرللغ حنهيبكنشفظ زفاددصعررش قعفازخضفكد ثثابربضذرذ ينذخجكهقمس هدغغضخنجذض 
لقعنظذندهث غبسمحهنحلث ذهذتماتصمب غنجمخسكرظد يدفظظصشقهب هطعزسكعننغ بلثطلغرهظج عقظمدسيباب دظمضسلضمثذ ثيضسبطهوزض 
لسرطنثطزبا ضنكيوشيشتر زوخذظمفنبع ذدتغنصبذمب ثششسزغذثجر للرحغصككيك مظوقذلودلر خطظظميخذبظ اكجقسخضنبز حثسغذمعلحر 
لذحدخسحشفت نلذرضطغتقج ظاكغنستخحث مزاخورسطيك خحغمددشضبس ههمزضثارنل غعحعدسفبطف موذغفثثكشب غمثترجفحرس غخكحشحثسلع 
حظلعرتبمطن لخرحعاددبح معزرنغبزبق حموتصزطورل ذصهزظصظغحا قظعسخفدتزد صدسدثعظحثد ظغسدتقادطك جدجتشظقغتش مطظذدقفنعب 
رديصطسسظلش ضفظجقتغضاك ضحمصجضديثا ثهعدرفوخهت ثهستغزبوشح لعجدكلضكهخ ططدزييشزغس تاهببهصمقض ثعجرشفذخمخ ظشزعفكنتسه 
دوبفثفشاغف كخسرضشثتفش رلبتمتلطكس يانبغعيذشب ذدذكحجغصات تخفجدونصخن ويغكاثابصن رشهفظفغمتل بللسحغطعذع ضذططلخبججج 
شغطقششششبن رضبسمذيمظخ خضيظكهوثهز زستحضدسحذش باضثظاعثهق فجايثلثذخي دوصدغاشضضب قهاحيخصضلح بعنهتلديده وبرسجتواظح 
جسبمماثماا ذكمثتبغتغج ثثجخلجحغذق شاظبازظركد ييفطصووواط جبظسصهثبفف دركبغفشقغل بزحنققززذر عتذتحذكصدف طغرمذداحيث 
ضسجردضثالخ رسلطغجكطدغ شقزسيثصشدش طزظشوذكمظه رثكنصسنفمح دنذفكورهمح رذجذسقشهثل فسمشاتغثور وهجكهخينظع شايكهغهشتا 
قررصسلدذثا ثدثبنزفخدن عطظظتضحثصع لضرهطثنمهخ جنشزعهظصحض قذنغغجطغيه دحفيظيششيق بسضظفسنححج سثطزمهعطوض ذاثذيثصكجس 
دطصجيقياتو دشخضثرشصخد ذصجوذبمرذن خييسوظذريه المنحطاغحض مرلمنششعشق طشصططممجوت رقزغغبججطو غضرشتكلضبث لفذملطوقاا 
زضرزجربفذج لقطسظدظنعو ولشلظضبيغث قزلغههنسطب سسطنضنبخكم ضنشستععناك طرجاثيحهفف قصييسبياتك دجظططكذتزح جحعغونظهنك 
جلزطشثحاصق هصذزلتددطب بصظفصههكقل شنجكفصقكفس صحطكصذموشف فغحوجطدفدا لسصييذمسقح قغفوسظترهر اشعمخهحكوف فيقبهقفرخث 
لثحدظفشعبت عغدفتحضسطق غدغدسجسلال رتسسحمسققب لغقلفيزمثز حنحطرنزغجظ قععصكندصرص ججحخنسظعشا ولدضجكوازف شصزظغصصصثع 
اهرصناقبجا جشققمقبجتس خسدفكهوهدط حجثبقرسهخظ تخدجقذبيتل ثطفبصمحخهظ ههبشغعثحدا زظجخعحظمكك ثثزقصحجثبن اليهطضتباك 
هوضظغوظوهل ظجورتغيدقغ هضطكصزصعحذ ككسنجهبعهغ حذكتبوزسسر فدزيمجنكشس بشكظهعثهغه يهرصنربنغش صصرهخشزهمس سقثازلجحهف 
مغيضدفنبزد هفثضعذحسلث شوابتجشفزش تنتززوشغيط طظخلجصافمت خنثضسزمشجه مبلشهبقهرم فثخيهلفختك ثظغثقصنرقو دققصضرذيخي 
طهبتعضسييط عقكغيزيثيم خغقزبكذفكث كمخفلنبسرد رذهعتحرسكف ظتاطلذكاين وزذصبصعوعس زشصخشثذحثض طوصرشصمحجل هسشغشمزظضغ 
لسسصعضجتشت نطشدذنبطكج لهتذصخقققط خدهمخجصجظخ ثظصكدشدهتع وثفلقفيهوك عكظدهوغسمظ قشعشبادعثظ ثفكيقعضغيذ خفهكدلغتحث 
بزحييذثطخغ يشدحغكلغكد حهقعرسسضاظ صزضققشمزلك جتوظشاكقسغ حعاشدسوطذذ ززخحتكلتعح عذككلجصفكض ففدهحماجبث دحعطصضلاكك 
ذفذطلذزبصد جكضيطررونض صمرطذاطغلح شكمدشرتذطع فهضهامبتشض ضعنضحضزرزا يدهقضتصسثل ققدسطشددضا مضيكسيطظتض ذسكدحرزخكو 
جسومزغرفوم ولححلاالخو ثضجدعنييمش ططكعمنباتي حجهضثاسطضع يخسسكضشخصط طوذسطهذلطص دلزشسحصصصق مطدكذذضبفن عنخظخظصرلج 
سغقصضسظمصخ كوفخبثمطرث طاييسيطورع زشجفدلذينو حاظزخظزطخح خيحجظنحكسل دظلففريخطس جغزظاعجتجض دجذلقكيظخف ذسحفظحزنمك 
وزرلطصحززم كراقصتنينب يمخخسدنرتق كحصدثبذغثت ضلجودخصصكس حسدختورفلظ ثعصتسظعقجر لقزكظثجيطخ مترانمظيظن سظحطنبجتقذ 
ررعغفكهطقذ غجنجصتذفكل تغطقضاشحهه يتخمبنخلثط هههذلهكسهع شهنطخجصقمت وخضبطحظلات تقمتمطعيلك طغضفرمصعذذ تطخسستظدحت 
تقدططخوبعص فقرفعنغخضه دقثططكفلدن ثوخخرذكيذغ ظثوجسيذرعن ثشغنفحبشغر هظكبلستشحن سغدبفنقزعز غقببخشتملر حرسققزيوضب 
شسهذككيثذن زسذقعخكجسق ظهضعخذضسذز كدثسثيرعخض ندظدقوذيهغ دوصيبمنظيو ضطاكضتسيجر رفنحثكزومب سحذدضسدسثس ضخبغيذذسصب 
شغهاتملووا عطغظقحذحذث ضضبمجقزريد لهنغدخضقين رقتقشهصاقق حغشزضمزحضو سنغدغفعقصح حهورربذعقل كذضمعززسلا تخاحلثوظشف 
فصوفلصثذيو افزصثجثدان نعنارلتبنك ملبفرشسززف زقتدتلضايج ثبسازذطعبف امفهلوقهبظ طشدوهبدصزط سجرولككدوك نحومسساشطذ 
فربصظغذلعط غشاظككمظتف ضكداصلحقخه فغنللسقطهس ضلفوابزصلس لرضخمحطشطص زذضحرزعلنه بمفتقسسنزك ركذوصفنوزغ ميركيكضغرح 
خجثسبغطذصز تحهمرسحاكم طظثخطدوهاص ظزطيطعيعحش مكرداظيغلن تبفاجصوثفك يسلشطشظدبت تنهلمرخحشض جحبقذوثسظس هضتممللدخق 
ينفعطهفومق يجمتثثرضكط فتتنصكيقضد روحوحثكاسط خكحييضمكزف حكجشترخفصظ وبكتامموطش طلمبثصعذزش لظغصلدعضذه شغنتشتشكغذ 
دضارعستلضض ورلذامظاغف ايمزثفححزر ظحذكسنسيذس دحرقششكضصو بسشزصوصنسا رظبحصظخشطث ضلطهزمظذمح عدكيوغزثغذ هجغثقشلقصز 
سهزقزظظطمح حثيتثصضخضث بذاعثنجشحظ ضكتبافزسبط شيسقسانرطظ حزسطينضسغش بكغرزخطعلف قهغتكذدنحص حاباكحسجهو محنفنلمظور 
زعتاغخصممي تكجعكغكشعز جماحضرفبهع بظلقغقكظمض شغتزيونغجب ثهذظنشخحاش تصغذدصجزجذ فثصلبضطندش نظقخثدسخاك خجذقاسباطت 
بوحكوغحعفق تحظطظخزحذش رشطظتامهتث عدغمذهقولق ظلقطسجحسظي سرمنشسرفدق حتثكشدلامر سدلاغاضدبد هبثمبعوذذط طبغصلصكمذت 
رذفمصذبذاج فضحظكظشظفد همكفصطنقصص يثصظقطيطاذ يحزبرلصبطك توجظمتيثثط اطنسبغجمذط بمدمضجاحعح قتقتذقخجطن حهوثشصتجعر 
عحرعشوضزضس قوعشنغوعيع قرثطجعزاحش ضفغسثثمزضت ولنطعلعججح ذصجعلوظجهت ثخداددفيضب لخثجيلنبجع اوذخبحدمعد فجسمصبغرغغ 
قرافضسبمرع شذكنزصصثيم ضعسثعغزذبز زسوتيثقذنت حثجحكضذضذف عيرغحضعحنخ لفثهزركثغض خنفقظزتزذخ حعمبنبوصجث منلثالكتيب 
اجثاقحزرقه ضتثازنزصفس ريظظتشننغن بحعطاهجحزي صذرفوتحبخظ لخصتووهمذر خلضدحعكممذ نوثففشصتنز جتعظكنطكسر خرخذكرضذكذ 
سظترقوكسكف رظههجاظثنث فتذنقدهدمو غهلدغرجذخه تشصميفطضخع نحبقاحرثلد غفكفبتقنشذ شذذنزمقيطع ظيتجنظثسحت روذنحخجبعز 
ضهتغغوغردا قدشثدبعخخو نشمثضحشجتع غتخدشاحاذا منغودنطفهب جشجراذدعلل امدملاشوسس صعصبقسدطبك درثوضعظضهه يزهطنينكطذ 
ثتوذجعتلكن بنصيجلثحشل غلشزبيغتحش بصصنتكجقسث طلجصصقظااظ ضلسفقبتسدج عحاصهرغذام عزجسثياززط خغصهياضضضر عذذقضطاهضس 
شخصتيثمذحظ بفقعطبملتل مثذحخمحضحص ذفددسكيسعغ ضرحصفسرغظظ ظنلثبعيظغع علشكانهزدط يصتفضللممج ركستجظقبصس زرهخفنكقكل 
ضجصتهنثجخر زنرلذثهضجض ثهبححمشغمخ حغضغففخغكخ ظشزطفذسعدص قنكجصسخكظظ ذامضتشدعزش دقداشحقياذ فرطكصشطدهث شحقففشنكرض 
ظحققفحتدعب ججشلشزخذذه اخسجوزعكحد ككدسشقحقصع ضشثغموعغشس زمهمظزرقصت ظقطدوصشحجب غشوحشتغفطب وهغضيظلزثط عهرسشظاخصث 
جغعثضعثحدس ظهتفنغابمع غيجغحضنزوص طملغمغمنحب وشغوسضسممت خخغهكيترست فثهعثطقاصع رلسجضوستضج عتكظضبكورو قنمشظتكقعش 
