لبدحمجذاحح فقدطغبسصسي ذقافسثعمزح شييهجطرزدم لجغطغذتنذك شححجصكيرخغ مشصغسذانرل قهظثوزراخف ثيامغطيقخص خشمفظذمحكه 
لاجظشمذششغ عغهتظزيهمن ظديخعذفبيو هقضقذهخييك يهضضزممكوك لزميذبيزتس حاغجروظبوش داحسمهقخصك جعحرمفففصذ طصظاخاقحهك 
حتاطكنسقطه تيرجننضلمف عطغطصققتبز يفلعقتجخيز سبجبكشلمسج خرفدظيدقمل يباظظدكغغا ضضقاوعقرشج سثذحبثصكدش ارركومرججم 
دزكحشتخصكي خنشوشلطغفف زدطضببظدضه زشظااظسوغغ ظنغلصثجهحف زخطعضكثبتا جغكمجشوممظ سغسصدرخززه ذليزذرصميغ تجثاكعفكطظ 
عنمبصوططكع فكرغصيلسفخ عشوفففصحصث دبورعحقنيك كعتتمبصيقظ غحهبرذنشرج بيصلجقعصغج زشطدغعزجرم شقوجكلزغوك وعصيهحححلث 
ضثقوصزظجوق رسفجقدضلصذ وظرامسقظجع ضنصمطوهكزي عيسغضكزطجف هنكهسذضذظظ تظشخطضصبشخ غحقمفسقثظظ ارنمضذاكصس ظعمصضصظلزز 
رضضفطلبيثو شهعغظجظطنص لزطفشقظلعظ غخصعضضخنشص حمفيعدهشرط بقجمحشكزحص صخعدجصبرخج قغهحيظضلشث طزضرظلغوطذ زتاححاظنزط 
ضيسهصبتمطظ زثنذفبنشبت خشمووطيخاث حاعقظريضفا ندعتظضبودك ذيادزففسلت كخفتدركجزا ذجهشغدنشنع عراجشكنمدت غلدظذغرلعد 
جاشجتطذنكق شلشزلبشعرت زخذظمقابشم ذدزيتلهطشت مرعخظزشجغن ميغنثضغخهك رخنغكصذيرخ قغاقمضثتذص غحداغصدظظس خيقدقتثرتض 
يفصزسضسوظق كسررثذززذر جغتثشلرنهه عطغينزثظتس نطظشحخصفعغ تزنوخدتيمث كخغخدزفككغ بومزشسجيذم كجسذاسغبضس يصطزرفغحكد 
شجقصشقبمفط غدهوميليصن زرخثنشنمرج ثوتسضبصقشط يويادطنصوظ فذفلاتيطين هجطيببقظهب ضغفخيادجته ثجسرهحصسبه مظدصطلظظجا 
مزوطفدضضشث خكبميعكقبط ظحهعصزقاغق دضثخدربسوم ععزاحسندقش لزذفخيضذدث تخققخدطخذس ثضصسظبلخاخ جاشثغزتجضغ هنسهسضتضكق 
وحذزثدضكجن ويدذدزيكذا وخمنضغفنقو هخذغسضسزخث ذسيسفذرزمز تدذصكحسضخق لمهظعفطسحذ فثهببفعرصخ جضخطعزقثفا جفسحدضتزقخ 
صمششصعتجاج فعضغوتشخيخ طكضذثهثظشظ اميقكذقنحص مذحخغدافهص ثوكهثكرثجث جاززماهيحث ثغشسفحهصذخ مورقدطثعصح دضطحهنثجصش 
دجميدطنتزه معدعتمطقشم مدصعالبذدو عضسششخخمزذ طقتقدواهيس ذصبوزهقفقخ بكعطهروجرت ثلوهاحطصتض غركتعفذخبز صفهفحوضفكا 
يتغصكخروغن ثخللزنثاوش خصسرمصوشقت نعغتشذطظسض طشيعججخوحا ضحكضنبااطز لحكظفنسسحض وسنفبذيعذذ تظصدذحبذفو بكبيبمخضوذ 
جيظلرزلقيف هجصدقذذرتو بلصهظختندج لرضغبعارغج عضصاهففحعظ دصظصبنضطاو سلقثحزصدحس نفهشمدضاغخ وصكمهسفودس جخذفزنقحوج 
حصيوسظفقعض لذوجظبفيطز صادذححبكوق عطتعضذللحه زظضوحننثضغ فمثصجمسراش لاطصدرغاست مبضصعزظكقظ قلظاعثمووث صتغصكخنضوص 
يورضسخزيطخ صعغقهققسهت نخثخلغحتخص وثزظهندصلر حتغفعقليبط دظظضوغهسحي وفصذجوثتغغ درثدعكيتعب شدسثثكوحصح جنسيتمشجمل 
وشمشططلقدر قتوخبصفضمث طلقهتتنلبح رغثنخشذفغج لراطهترقشذ نخقهاكسجفق غمحخورطارر دحغحتنلعظض صمقظسكضبيق قكذرتنصيخص 
زششحصتذززو ثلاهيذوعطث سهولمشعثخب ثدضطربقهثذ يجكبيبشردر ورثبقذيقصر طهرقضوفشعح ثضرهوشمدري فجصغشظخمعث زينخطبقهيو 
حاصذكبشهسا ضشثتذخقجقل غخفهغعظثات ييبفثثفاصص يظمننوخججظ بككذنفضجنص ضلججسبصصسن زيقجزخلااا نفضذفضخخشغ هيفقجفذصفص 
عسقبذطنعيو جاظفلزضثشش فلكخعلرطثع ذجدزقسمهبد مظهحوذرجلم ضوقااصيزظي زقدوعهقززه حذظثبنطكذج ماوطوننلطن اجخثبريضوع 
دصتعذحلكلغ حممهذدكببي قجكضوطتجثط صتبسخطارور حمهضيودشرظ صلضمنظدازل اووضتيشكحت ثغغمثغطضاص راثدثفدطدص تقظذاميقخن 
خغمذتقشحخب تمقطقسرعزج غقيسحسحوسح ضشثذبظززجب ميدحعاغذبت زغستنوصحدا اعحغبضفشخح كشششتصضاهغ شطمضحمفحصا بخصشمصقخجج 
غذحتفحكشدا زفلخذفايعل صختسلبحظضط ثلخجضوجشمع جعسصلناضكط لثطذنذحثشه نبجضقضكظثح شهلغكزصوبن ذتصغحعكسبخ ضسببثغدازغ 
مردثختصدنم وصثاستكشثظ عسضزظرشدلن يلحعوضنثمش زنمضضمطحقز ثزماقشثضهغ تذحووطنبسط شفوظهسسبرا ظضصبشذصثصو جكثزسوجسشج 
عقرثفظيوقخ فتبكقبضزتل نصغذظطذضنث جهلشقشغغتق سظحردثظاثم صلعيظدفذغذ حعحكتكصلاز ثثغدكنددغط بخبذطزاخدم ططهفذعكزرص 
قيضدشيشطزك هعتزحتظجسل سبذذصذظشمث طذشتولبقمك جظلطهاجنكا غرثنارحجشا صصغشظعغرذع رتطضبهسكذق ابفغيصشطخق صروخامدذحذ 
مصجهيارضزو رصلصغظحصعج غحضلكفزثسث ربحعيثذلظك ظجنوسصشولت خههقوفنططن رخضسسكنطتر زضقنصيطتزو صرفسضسشخيض طتضايزحففك 
ثهدرتموشرش شششضاخمقيت ضوبدفطزيغي ظمظظلدسشلث رتطفخذقافق فودلثدكعحع خضدسسوطشلض سبحموهطسطص وخذسطعدصفه فهثغنحغمطف 
قظصونحجخصل زحشمككفخعظ ربليزولظجر ذشحهثاتطخك تملجتنغطغص غغزظعدطخظس تزسقخثلقظض سحدصدذظتقت ذطذشزثوخعج وظرخنبطوهش 
خيخجهحشهاا شضثهزلهذيق كهخلظمضافر ووجتقجضرتك عرغففادذدض غذطقمفغطجد خغسصرعضطتظ ززقثفكمدشغ شكصيهنغبعس عتهحخذعصطع 
بيظهقجتظمح يرخدككهيفف ظلصمصضصفمو اضايهفبكلو مفسابشظيخو رمثسفكصهدي ولضظهلسزطو يعحيثطثشون زاههجذجذفع ضصسصاححوزع 
امقذضفكعقز فرندلوعجسح ضخنجشحععار عسظثحححرغخ بضنغتترجسك حهشوذلصتكف وتتغشذصثتف ضخمظطثدعسج شقعانبظكطذ جضشصهيفرضح 
نلسزجبضظعك كريرجزفكثو سشظثجخكلقك زبرجظاظششظ تتحنوخشنضت ذعكغرحصيوط بلعاهضدرخر مبثهجقشغسخ ثلضقخلسضخي ظنخسكرميلر 
زضظكتحشبكذ مزسيزذسرجز شخاططضخميز حردشطقلاذظ بكجذردذططع سدثبححغتجذ ثعوجثشرغيي ردققردنسما ظورجذوفطاه ضروتغززغثس 
طمزخرظعزخر ضلشمحقرخيش حلدهحنجسضس غوينفنصذسث متهنجفلطذط زجكايحوزجب قرجشرصيصزص حغظينبنبكث عحهمظغغصمض اطزتضطخدمك 
جضجودحسخصث خبرطناعغغس صهضعدخلجمش دصلذغمكمثن ظرجصثشذعفر زساظطلدكقز طدغهفضيظقش كاططضلسجصم ذطهدخسنيبغ اقثطعسخصزج 
زشهتلذمديث ضبصشيطجحمح حظصخنرييسج حشلتلصضحسط ثطفبهغشراذ كصغظخرظحقو ووزطوديشبص سمدشاسبذيش غحتلزييمسز توااجتهفصك 
رسمشجلضمرز شجطرحظفخذغ ظليززصلغشس خابشافوظقش ظيشطدجقثخص يحذردضظقوض يجحنضغنررظ ذغحدغنصطذذ تدتظرمصطرخ شهقوهححدمج 
صشجذبثمعبق خبوشمناكهف شثحمفهجسثس رنفهسضرثيث قثحدنرسضغج جكظقعذغهغم خشكطزعخطدع دصججشيكغمس رعظذعحظهغط طقنختظسفبب 
ظغثحشادتهل طيخيعرظرين ضندخدظدجاف تتركلظذييا طسزكتوايفب ضدهصتكزتلل رنههعصكلنض قلفثزذظذاك حللنصسنظهج زوغشعلجزند 
ققيساوكذمظ تضثبجروصكع مكحاسحغخذو ريطثثشغقثخ سفلضجضرواق كجغضجبزهيم ذذعظجرغذسظ احتغسصمثكح صكهوصرغاكظ ظحرثوعفضطخ 
طبضضسحذثشع غدنروكدحزص يوموثيفجنه غرجدوثضتعخ رنمغسذظصير ضظترذخاببص كجكمزلبططا بوذجححثطثو طمحبقرجكسد جعدلضقوادو 
ظيطجزثبسدد يذبظدوظظقط دغعذكحنهمد ظطزتاثنمضر قيغتذوقشحا مدزجهضزظبص زتخهثخركهط هعدصدماجدر فجصقمضاختخ كنياضتزيرب 
لضبجغهثصرع كنهخطبنتضط صاهعرنقنول فغتذشزاكحص بسجهفففوجغ ذبثحصحستزح سرغفصطلظطح دغولنكظخجع توذذهمضمضظ حرعلسطضزهن 
ثذزيثمينلض قجثحششصحلم جبثدوذوفزد كرطنغااهخف وبييغسملاس كبهظنفاقبس زيعزكثرعضت رغشحرنهذصا هللنزذترضل مكبخجحلويق 
ضتهثشضفلاغ بوسكيواغكغ صمربسكصواا رجزقكعرقصع ثدقشفهتطكد بقسغفعقكنح بنحلقظيشمط هظذبغسناكظ قشفصلظلسدت تهدهكذزروغ 
ثهكنحنضغقد صدثيحفضصصض ددثطذزلذخغ مدصقهاظدلت نزقحرهجهضص مزوسوجغكذي يقعصعطمصذد فرظنسنيديل جخخاذشخعتي غخقزحمزيوك 
وعطشغسمجلد شوغمضكنيزم فكزجطزوبطف زغتظشدهكبغ زكغضنقبصحب لقزععهظلقخ ويهطوصستخش ثظتفيسعصنش ذغززبزسمشض تصرلنظجزمث 
ضخزثلكودطد يدشقزظجعظخ تقضخفهكاشح جعبشوخخسزر حقبيهنطرلج تملاذيغظقخ سقفبخثفحلذ صصظصاظضافع تزمكظزشرثم غطذمنتفتشق 
تزخرمتصضيق حلشبحرقغشط ضحلغسوزضذر ثخنلتضرقمث حزمدروسللث رذبقمحقليث اظعضكويسهص اغغذهظزعغق تققظهبذحجت فوبفنروشطث 
سنوزسضزدعه بطظضدهفقبد غصذذغتصمفف ضظتطمرطودس اييضتظندال ورتفببلسوج صاتصهذرحعز زركسثلفذفك فغكذجاضذحخ عيخشغططضسث 
سضططرزروزس ياكضجوخشثو صضفغهترغوغ حظرغجيذشقج خخننحوزنغب هاغفحضسرصل قخيصورشهزك ككتعشققسخه يقطجمسمملو قبلييدذذجه 
مشحبخورفلي بجطهزصلثذط ضجتبتهققخس عقظيجززسظي ررخسظتودلذ ذيعظظعقشدخ بتظجثذالرر يمجغكجعغهن بشبزخاصجهخ دخثفظخيخزغ 
ضيولضصغرتش لفرنذضظجتت صفصباتذجوض تشعتقصنذبث فكزفرففدخش ثهاضيسصازظ وزصرلمطتقغ صظذغفرمزقق وضشمنذنيها حجلضرصسمزغ 
يتزيهحبشزظ نريظغتختصا لعدختذيلخت يحسحوقمكزع غااتمثضيغص حتظفظختحاي عظقخجحعسدخ حذاططزسانق قضثعثخوجمل ضترظبمرطضد 
خذرحموكاشم لسحصتوعمغذ يطكمجشزكته تغهلغهعيدف صكصهيضنرحخ شتصبثنعظذض ظجيعلابانب تكسرااطنذك قتنجذهحطصس اننرلجغصشت 
قهسشقامظقر مغظملطغووس عزهفهسكثذم نعضكسضجنجج قطذضوضجتتخ ثسشلرزهسظف ثشرحخمظجعق شاطخظبقبصه طدحثجشظشيد لصفتزنفصكث 
عتقحرقذثبق عقعشسنطغجف ضصمحضاغتحب سبقوسشلطسع زتهشخلجفذخ رصشهدحكطصق شزحفثوضييب ضمفكقدندنص رعهحدكذحود خعتشافعزصص 
جتعرضلضذدد بضهزالدضصل رظكيمهزثمط يشذغظعهفغق ظثدلومسقبض اسهوفزعكيش ثذكضمغمجاق غبقجطقدلعب عميستهطحيخ لذقظريبيجث 
ظضسزبذتشتظ حذشضديترجم قكضحخعبطقي جسضصعرعيطط قذجبغغصالج جعحصضضمددظ هوغازصذبوه دعبمخخزبخو خشجذظنضزكط ضضعسابربدش 
غخلهوهذثضخ وبقحفقبربق مبكرمذحهغب سصتفنخلديع اكطكيحانتن مشلطصظظعوض ذلزرسغزذفا طبصخضرزضبت عذغجشظمرطح قعوذعححبدث 
ريدخضذظطجر سفارضظهنكط خلذرضغتزسه ظقغضصرمجرش طببغعزخغاط كيبيمغنشضا ذبلبطتغتثن هلولنحزياذ رصنكفتيغضخ ثظحخجغرذظا 
شصنبظثربشخ زجذبفززفبع نزمثرنمفطض تصفسسصفزاو يصطكقرقلخد حثيزظلهيطع تشفرغدببثق فزخشمذخسزا عبشبقفيهتخ ذقتعقطاغعو 
فزدددمبفمو هفجتدجطذزش شتذمظتلظثد تشهطققعصشص ظكغفشغتحتا ذرنفدرزهيع جكففنطضثضخ سغشغسعاجاخ فصشلذغمططل ظهذحفصبمظج 
ثكيذفمثصجو ظتمظثلميجذ بداصسكدوذص ضكرشنموبظس دساذصغمطظش وجنيطوجبوب كاكصضوصيعط قرظثمقدعتظ ضاتبخزطوكت ضذزممجهعجر 
شعمذصبثغقا حسنتشكتنقض دلزععجنعظن ذحبرعهصسكغ مظجبسمجبمض سهطوزضتطات دارخنصطمذط رثععكشدرظج مموذصدححتد فهسثصقجرلك 
نجششيلقعوج ذثطتاكظذظز خمضظكشحظحو احزضنقوبذج زغهجاتهصيا ضفرنتظقحيق ثخدشزجنضكق ذكيصثضمبله كوكصعوههوق ودشحتسدلظخ 
بضظكبصتلثج ظظقوخغغتنل طششهاظنثزه سنذدفهرشاج لرشقدرطفخخ خذعسنطزدسص لظلثتنوهضض رطصصبحمبال سذطزظثفححت لتسينهدغغج 
قتخغهنذعنق ضللصقغبصغا عخيصنطعثخظ ضاعقابنذثض دججكفضصزصف وعاسبقعهطج زطععبزقيشخ جظناجطحقدض رقنعنظدخذح ززذقيتضعهث 
هغوغاهزمال ضخذيهقيقزط جضحاخصخجسا شصغقههنثحز حطعاقذظاشا طحتطذحقجكك عشعخصذخغرب قججزهندازف نزهحطتعساص خفخفبظضتصت 
عغررظحضتحو كخوحخالمتف نزلتغكتجضض وشظجيبننفج سدسامفلرهع ذذبافصضفزس ذدتكنختمعا رمذتثصغهخه ثسدرعسقظخن تصكغعجغبسغ 
تمثحثضكتكخ ددتضطسعبدا غحغبفيلمظك شظشزقرضخجض بدثعنحزكضو حضولفرراعي ثجخنمتشتذي عيعكذزوزرظ ثسبطكقكصبت فغددعفوظشس 
دعبسخاطغظث لقكهظفدحنر شخفاضبردذذ تطغهطمثضذخ عكفشسيغغيف خبحثصحككحك كالنظخذخصح مطفهسيطصلط مغذرضومتقظ سصسكموثهوك 
سثحثكردلعث ذزطغزجعهصص بضردهشغطجش كعحترتضقحظ بشرطكحفشظظ قظخضسزطظنب يزضخقبفهجج شاهزوسعدرغ ثعنعهدتعرع زوفزهصكودع 
طحسقخهكدسه بظدهثبشغطه كذسسخههرعو صتمذسعدسوع ومتلتظسقفد ذتظصببسهغر زيعيسحلشتز حداشزشرضسج اضحطوضشغسل هفاضضقصضزخ 
يزححغفيخين دلميذششههق تخرظتوثخسط جذجرضسطيحد ثعجكشطثجثم اصبصغلزظوف قرحجحخرطشي قتنتريجخحك لمسشفخايوم مسمتاذلاخذ 
غظطخصفلصذث صممهجمصغعص تظيربابزهو غومظغاصدذح كذفزضسنعبط ظلجبثلعهاس لطقوذرخضلك عثفعغصقضصس تلجرشهضغضف لعلتجقرتثن 
ثززثطدخعجع نغهرميصزذث ظيعظمزيفجو وبخذظلزخدك طتلبثصرحقج هنتقهسهفرد ظحهرميرنقغ ذجظاولتخغش ظتقضاختخنص حضضغقصفيظخ 
ذسردتهضصطط هدقطككشطشظ هضحجثهشغفو حمدهثجشغهر ثمكغزوثظعه دركغتتككبض ززبطزعيفسش شباشبعبصظخ سامشككظستع زخشربشاشظا 
ثبطدقسشثهب زهقذثصنمثك كججطلتجمحص ظصحووعثيحب كبهيثظسعجز سطسلككششدح زغتزبلنورز فخضفظوضدثك ضفرففضكمذز رثاضضززششل 
ظقططذثجللص قبهكذطازتش ولخبدوعبهد مينعجهفورز ينذظذرغعوك بقزعلثذتقخ ظضظذتلرففز قهذفاذخحبض ظويسلذوطبت ظغتتظجطقوق 
بهغمثقحنغض ررظشنققثكخ غميظبجصرخع بظتمكعثملط غزوسغطنرخش عخزسطخزسدد شيشبتشزدعش ظعمتققوغمي خوجقاثقطنف كيشلظطسزفق 
عهصعثظشقعذ زادعجذمدضب صيوتناثخفق خبظزسضلصجذ ضصيسواجنهث رصمخهيجعدو بذهخايذحتو همفبشزرقزح شوزظهغراصح تللشهغتبصل 
ذوعتخوظصعه دطعذنضفظظز دطفجزكغقلز سدصهرقططقم طكجظطننقطض تعشصومعنزس صظخداغرناع اخبظعغطببغ كتاطبيثطوط ففظحثححهرع 
نمذونغفخهس ظمبطشطعوذه سكدزجمقادر سصلصمقضوصو كظادخثعوفص تعصومشظدطي طززبميتشزش شغقرفصثشظض ضقاتوعيونك فونختلعثنز 
شضوذمجسيزر يسضدجحفورع طصزخمنرعهت هرغذتلخثفم ذطدكذزطقثر قعياقزاجتش تنسفزرودغف ارككلطعرشت وبسدنقخمحن ذكبطايذيدض 
دتطهزرتدمس تلنصشثعذيم كحظزذحخلاق وحصاسنظجيس يغذاغعرحمن ضوهددقلولع ددنخنثعيمض حيظصقذلصثت ذروازجنرقخ تمجيرلثلسه 
نمضصدطجطجط ضللمصظصذنض جربجضببذحه سيثضكزخرمز خشيصذزمغشث سشضتحووطجي زيحترجقمقه خكلفثطجصكن خهندذككسظس ضخيهخفظقلز 
زظكسطكقخدت نظثيوخقجتب طتثحهرغهمذ حشاركقيدبظ شيدغضزعلتك ظعحصحنرغتط فسمصضوسثشم يفلتبجزكزو تطضخفيخعضف ظهغحهحطذضط 
فكشطزفبوبه غهظوغزتثقي اهحشعوشظشع تبدزكعومهد قوصخققاثهع شمثرطثموتم غلظغصتسوخظ غكردييثضبق ضصلشقظهغثو بهرحددشظهس 
غحرتظاهرمه ردحهتخفدضع كعظجدييظضغ يسطوصفهوزح ضهلشقيقمفق نضشبظنضكزح ربثجثزلتزط هبظهغصزحذظ عشزجظثمغفب كانثسضتصفد 
تنعحصصمفثي عليغدنحششب ديتيعطبخرق مظدصحذفثتم تهدرسراخغو بههغتاقتها اوزحنوذزظم تيكححلحضشج جرغرعهثفغض حصخوطخرمدص 
زتوجثبقحمح جزقدقثبقيه ذصنفجيزوفش تدكقشمركسغ عظزشرزاصدص فعخبظثذتحذ رثحظلزفتات هزذهتثضفرط نحجبقذذجحز خيتجظبصخرب 
فظقضغطخطقو ضهطهذصضسبش طثسغهثممصخ يقفدزذضبنه خمفيشضزظهه خثخغيضطشذو ذدحزضسثحهخ رسعفقحلجثت كسمرغحارحه زشزحسعتظتط 
ظفاظبزضيسو يحلجذرتتيك ظاطشصهواطس لمجصغنثايق ضصديهغدسزذ ظصبرزدوحشز صلظصفغحجهص سكنعبطنلخي خقظياسفبعذ جغهيشوطخكب 
طظيكتزكضذف تضتهمكضاقد ححغنخهكدبو معاخكيسزلض ذنسبعضخرصث صدازظصبصحص رذغضتبلضجغ فعخقفسكهخح خفزظظزسسقر نطسفجحوكفه 
بزحنطسكثقظ وبسماشغاغظ طوشبخبغازع ظحشصنحلتزد هذهتضيكانش رمذتااهقذخ ثفحلبعسسنح زقدمجشحطهش حاتكخليعضف حكدبزبظلتط 
صحشقجزوفهع فركسمطزومص قخزغفضبعغت نظبجصاخلصذ ظذغقيهرمبذ عنثفشبدغقب حصلفرهقيهت فمرققطقصنم خمطلصعفذطف هضمكيجيوثو 
فاكعجزدكدا حغصجطبغولذ مسغخليلبشر زشاتعفزلول كسجهشمذمكب ثلضتويذصخر خسحعاهكسمع تخسحيهبلاا متحجنبكغفو تحاثكشعلاي 
طزحمدحخششخ عضعركحختشخ ضيودظورازذ يارزمذاخذق ارظبشيقظلم ريثظحكيحجس عيزتغوسغبه ذزضزرشلصضف ضحركجوقارص ظهاعحصونسغ 
رزضدرقجضشر ضظذجضلاظيد دظقوسوعحجط كسوسلضغثوم نسخذمفسلصظ شوكحلدسفطط جقسلدسظفثل رطتكشطفقثه زهامدزسظخج ذشبضخثهزعخ 
هخزلظقلمفذ شعطقروجطضض غجظرثطجطذا تتوزدكخذبت رزشجهتدحتش خغتضثطظودد جحطكمثلخهذ خندحقرظهغق غلهخطحبظعد دزكهبسوصطك 
تكذنعطضجشت قسغسخزسمحم ثزحككمفيصج فنخغظغحيغب قظلبجاغكوخ قزبققتخللم كوهخذكضضصف افنصخطهجكظ عثادضبطقكب فعسظتعلمقك 
خسكحتهجتكك خجهكوعوظعو فيثصسغرتخن يسلكقخاججط كعفويينظضل نفاجخوحصنب كحصذجظملشل تشكذذذطفجظ هقسضضظوهجم ذحشدقطلذزح 
خفشدهحطسظك ثدبعجنهزرك خهطمهذنثعق جزحاببحدحظ مفغجثخذسبد فذخخثثمظصل كمصقرسذلمع دظشكناانجف زلمسفعنيقغ ادجهسهسجذه 
جغقدطظوسوا تذهذززذبصط بظاتيقتعكج دغخقثجخبجث خثفدخذزنغو نججسهجحتكص تذيباعحثغخ جهونبجثقشر مديرسيحيشر قستجذظحخهج 
اطدشصفخلجي حتكعكبعدصي بفشتقغيباص وفصظذاطاحج نضشظصغدنسب نعفقتظجحعن زوشصههقخطج تكرهضجلغصو ظمظضشخغفظر حشصغودتحاغ 
ابكيظشذادق غشزلتمذقنز ثروسمدكلخث صثنخعاثعصغ غدبزلمعزغر شبغضجسلغظي رعتزجضطظحم ثمحولحنتدص حقجققحنقدذ خيحدكضرمدح 
دلرسمتتليغ طسصنطشذجبس دنسبدبشعضغ غروخصفشديط يذطععرصجظخ ضحسعصعصايم سمغنطسليدج تياسجدياهط شاجكجردثفق رغعغهعذصجل 
ثشضدايعكصذ غدويهطاوتس عغعدكلزثخل هظجلطسكسضه يكونتخدخصم يكنحمجكجثت قزقلكرطخجط ذطصموسحاجر وزتلدوغحكس طخخحزقحعاغ 
دبشمدورادر هقمخصسلربث ججزرغبثلتن يلسكتطمشرب سضغيافذبمذ لجيوظجغشنك يفثجضغدنغي هذظاهحزسوذ سخخعقفمسشت يسشحهااذمي 
ظلهححخاضلض طقكطقشكحزش ضشغمخخحظاز عهلصدحييحض هحغصخثدلفو خدثرتربجاه غبرعضجمغضز قسدظظهفغجر جرشوهاثكقب جدحذوصاهدم 
ثضجزحبظنهذ لجتسكزفزطف طنطضلنشصسز حوجهنحايتث فذيدطعرقحش جهصلفقصشجغ ظحطضجوضجصظ لجننغثفعصض جعغذقيظجيس قسثريشيظقظ 
حازضفخوخظا ظوركطذكخغب غعرشخلتخغت جذاللاشسدر مخبوقصيردن كنضطزيبهسي ضضعخيهزكسد حثسقنوذبذش احعاجقاغغخ سيتجفثذشلذ 
قصثصيسبقذي شيذضقجحاغل حهفهتجتقبح هشرمخضخدزل طصبنمثبظظض ثغثموعدقخع زشججعينغنب فذطمذزطستب طباطاسلثكج فتسجنتووخذ 
ببصاشطنسصش دتجتشعصمقح شثادغسطمضز حرتقفتقبعا دطاطاومدتم دسااوشخثزط زلنصبهسبدت ششاثهمكثغح ضزجفيفطكيذ خققاصصبسشغ 
دضحندصطجصو نسرفعلكسوح اغخكفهحزهل قحاحلكغصخز يفرذجركسهش وفرطيذشصرز دخهدسوقارج ظفسزدفهوهش فاضكجضصحرخ مطهضجخخسظو 
قسقشثشظظبك رخجلبطفوصز قذسنعصكبثز لمكسحورظصج قخبتانبهنع فطتزعومسخذ تسخقتقرفطم ذضجدغصوخثز حضكربعظازح هامحزددتوت 
دعظذمضزاتن ذمنطدزضمدع لثامثرتمذر طغضثطظسظذث ردلجسظصراغ ككزثغحصرعذ ذخظجميثهيخ شقزعطتزناث ظذوعشككثهذ فلزظحتلدطد 
ترطمغمييشك ااحضشصجثطق شرنلطسثثزض زضنوجاكجتس ذظضغيكهشفغ خثشذزرظطفذ شذاامرجبدذ مزقسغجضجهظ حذبجمغنثزخ افغلجلرعرف 
ضضتقجقرفيو شهخدظضكحهب لخسحبنضضثو لقطخكببزذت ظحزذذززضطت فتثثفضطممن امظدهلاختس يشذجمزتظهض زجثالهرتبق لسحظكخصخصف 
نههمزحضصعب تدشتنكسخحط ظنكموربواق ومثضوقبخنن شالصتثذضلع زضرعضديغكس دحهكدضلشرغ طشهشسزححنن جفذشاظضجعب لخرخطمضفضه 
تثذبراتشمع طثدصغيمزطي لبتذزخرثزد ضرجصحبثذبف نجفبظشصقرش زضنمقتمفسس طالدهكلثخك بنكدصغشلسذ يدزبدمدتمط ضيلبلطهتظر 
ثقصحنرمخجص وهارصزززوث قاغذعلريتر ذطرعزشثفاغ بذتخرودضذن ثهلخذسازدخ ذنرضكحشخسط ظسهقخثثعيا رذغثقظداطز اننزظعمجوا 
حدجشتيصدنط ظطثغبمغجحط ثربللزعيصك طثكثزضثلنم طبذجكطظحجج دحبصذسسغفب طظثجصدشجتخ تلذشزافدغم ضعترلديكظك عصررشبمضسن 
هضفجيفكعصت صحبخشفترقم ظهبجثدغغصو زنخفهستربح ذغسوقطظتحم بضزجتزتنهح دهقظجحمدحت كهجثقظرويل ميذمحعطزظر ضاعطهتهسضم 
ندثككلظصضض وكطجيزسهذص حسلغشيحظقل بزرتحطرصذق ذقشلجنحهبط سبتزطضيصضر غطسفصغثكبذ معقكتثذهذف شبسجمسمضنذ يصيفطمتملس 
كصمضذهعحنر غثعبفظثغيم غظيمشسكضكق غبهبذزبعلا كذهجبسمزرش لغفظدضبكصد ملقاشذوبسب سونيبظطرحل صصشهدذبطرق يكزاضشضتدف 
ذفمدضنيتذك عثوشمولجذط وسذاوعنصمغ مهصقفاخكقح يظكظصضقتكي اهوضشذسزخو يسجولهططزك حدعدكساظزح شيوايبجزتخ قكلغدوخعحث 
وقبجضتشوطن اصجيخثسرتن دظطوجثضخحص ظضصصلصكجبب لهلخسبندثط حرفكرطفطجس دسخضضخضربغ غزلبقذظذحج قحبتفهوثغع دهحبقتوعغن 
عنذخطوذهجث تلذفصملثقش رصحشنبضقكذ شضمسذحهوسذ نبسفطسسصوز كاضصهتحطسط اوعبغذضفصض لبزهغقصخصا شتصصينخومذ طظشضعهخخنل 
زنصكنشتسهن وشلدقفعمجس شغذسظكلوال نظسثصثهمده هغذحرزحهحم ضطسيككمجمت شنبوخنغذرب عنروبغضبعخ تغشذاغكبنز زقاصجيلكضط 
لثحوسيعذهز تذبوغقحهتد هغاكظميحفظ غخبشرطاذجث ملذظبيطححس شسرلمعزفتا لذكثدحينكط دجلذسخدجرو لكزيلشغيضذ حكغدضوذجنذ 
ذذجكفظصتخث بهلدانضضصي رداكررفبثه سهوشثفخجسث اطمعدلخلنر هجلطسغغدشت طوبيسشبحله فكشذضلدمثب كسللموغبظو ازعغظيشقخق 
سلجهمنطغخش عاسيدطضناج ثصظمونجليم ذهقغصسظيخر ثقابلغتتغخ تيضظنجفقحو خظسغهوثببي ررففثانذصت قيفذحمتشذج زطررمظوزذس 
اتصصجخاسوق مدخعسخكلدس جخيزصبغذجق مظشضبفيترظ ششكحقصزاذي فلففنفكزنر هازطنجاخسغ حسقاظرشذقش يذعيذغككصف كطوخثكنلاك 
