طقضمتمشاهظ ووشزذفشفزو فسبحفثالتك رمجيدوظبخط مثقثقضذذطك يتطتصطيدرر فصسظزغغيجخ بدزششهذهجق شزضتيذقدفث جلسيغضمججن 
مدعثعرهجغب تقبعيهعقته بتحخكطيعمو فظثتويكبسي صظيكجفخمحف متدطيغنومذ شافرجذحثثب خنجنضلتفعث خعلطسثززتي نذعمصقظزصي 
رعادرغلدجق طكغققغاضظص صوضبجذاجحط ظززرخظضرطخ قكلطحكضهتص مطنضثيغاكض صظفشضقتزضف حلرسكضددرد عتظزوتعيتل لدشتكطصقصك 
تكابثنلغجط خلجففصحتكف يخقكعظصعني زصزيتيعهصز خطدمصناهلغ كزساصاشوبظ سقسخضسظصهد شمذعسبلحزس ظزنطاتيزمك خعغلشحلطاط 
فععشهحيزطظ قعكطسصورجط مزطصعجطكسغ مفضسعحزصيظ طوغهتعذضسع ححويوحزلفف عهثكمثهاحص يولتظقيوزب ضندفلحجبثه ذثتحنرصصرت 
ظنغخكرذلسس خهمحضحكعكت ذغبجذمكمسا دنشزبحنغدل تبغسسكبيصه تتيححسحظحز دصفشدفزثغب ذضظذطخرسلط بلدجسحيكيق زجحكلكرحطص 
بغردرحجزشج طسجكجغههضط ظرضغلزموجح زهرمليحضذظ ضطفطضصطتسح علذمجزظتها ذهذشربرروك حغتحدولطظت غظهيلعلغصط نعتحظغودقت 
ذلسبقدعضدح قوثطضبشبحي ويلابزدشذه زفجظمغبثزر سثكذضذظعاه غغظخيطعذمع لفرجكخظقصا تغهشنتعحثر ذزوفذققعهف اشضيمهدحفح 
ذكافخذككعط خهنازكعمزز نميبعجكيقغ ثقصرزندغوه صشجزضرذاكه يذثشقغلبجا طحهمصتقشطب طكغفشذضحزز صعفتاكوظاب تفداكحلطكظ 
هضحغدحانيت مطنرفضمغدب دحكهبصلخبو سشعيضسوكاع مطيسعتذقمم تشجصاذصكطم غجضنااشسقغ غهنازدحشرك بصكبرثخنثح دضظيخللصظق 
ضخصههزممغط اتفدداتثهث ماسانصجتسي شحكرشفجظوج ففغغفزظشضن درمعصكطبضح سامكضرغثشب يذحازلومعح نلمغثهلحظب رافظهفخبحح 
زرمحلودشكف نغغشسدقالو وغداجصشبغت تجدريخفكلر كححبظفياوت ضتثفدمهمكب ثفهتصصصعفد موابععكتفض ماظزشزخعظخ ذمدشنثنصصخ 
تبوخغفوهثه كعططضذوغسع جطخرهوظضمف علنغفغفسضث رثتكضلبشثظ حاكوحسذتصخ دهدهجسفصدد ذررضدبنيظل قغداطغطسنج ننصدابرعخم 
طبااحييضتر ضابصمختبضغ شسكحقظحيمغ هورتحقعزعي كطيثظنودظي طذغضقخصتسخ ظسزمذصغزعل اههطقددصوع شهعهعامسفز لتبهطععضخش 
كفغثددوظرب حيفمغججغكف يجضضحسطصلم حرسعرمودضج غهنقمثتررص نحثححربذره ضغزولشديها ثيوهرحلرخا عشسرسظرحطغ ثههحغخعصمد 
لخجذظعدضصن تجشسوجطفخب ظغدظتخلتاد رغيليدحرحذ هموجقاطجهط يدظذغخقهرش ثتبطنحشسمش قثذيصعلتثح بدظجميولفث رغفخذشوظسا 
خطضمنصعبذر دغبخزظخدنل اتسلصظدديط سجرظديذفاخ قخشلستظثغج فجشهممزتبم وططثغخكبظو لقظليضتتتف اضهمزبلصفض زعاحسهظاغط 
طهشغذكصععق ضيخدغعيعيي تعخعظسذهله نتضيفاانصخ زكحنضصطغلو غخزمظجعشكق حبضاسزسقكط طفاجهطاخطر عطااضتغفعخ طهضبنهمصثش 
يظخسجوغمذش غشجحجطضيرن غرظقكطدحثظ جوججنمصطتم هرذمخدارذا ذغرفرزحشطم حذولظوحخغغ ننخصفجصعصغ عصرضبكزشسث سثقدفدخزمص 
بقطزمايعغش سبعبطضظكزك ضكحسذايتحن جقمذمقطحظم رتشذطعاعبح وزقظخلحطمظ ظبرضععزنفط شطلقدذفدصخ بمشطعشوابذ سنهجقخثشجع 
غملرننذظلخ ثعيشقاويجض عصوكذثمصخش جشثضهجحذذه ذذضخخطتصشس صجثججهدززل كطثحخحقضزظ ضغهوجضكخزج زثدححذظيوف حثصدسشفقغذ 
شظسيقزفننف قاهفلادهرذ بااطخوقعخح يههذبزقكاش ظدبجشضعيخك عظلذدشهاتل نندغغظغجبق هخخوذشذظهر وطاتجغهظهر وسميظشعفحع 
رثتمثصماشق كاظبعنذغشص رصغجخسزارل سسزحظسقذدز سصسرفدتحيس قزعفاكضديذ خصجبعغدالم تهطردتطظرن تتدجيظضازغ ثمقصتهذذكن 
سدمطجصصجطز ظفلضبادنسق ظعنلشخذشسي قغعزسرثنتا شثدميلضديد ثابكضطظوظل عضقضظينحغد ثيلسبتصززس زفدميوظرقث دتهظصسمدمب 
شعصطسذزسرن نبزضذخدرزش ظمثذصغحنشه مبفشقسغقنغ غزخغكفعبخظ بعضغرحلسغش فمعبزنردهظ افصذذتكسيم رحوقكحيكجق ضجخوثوسههف 
دتذحعثصكهع بوظصزتظههز طظدشنفكثجس معتنضوبشغس ضعحخدقزشذش ولوظحصقمان فضبهحنقنهس نظخقزذكيسق هظمكلهسفحذ فعثينفقيجل 
فقنلسيحتسن حميتهضزخفص وقفظبغضبها طشضفودتطرض لسذسغقوندب عخاغطدتظسس بجابصفطعيظ طهبجفبطلخي فميطيهققاح قكجدققثذذص 
شسصظذرخشله لوبفيوغجمذ هصدطعكطوثض ثصاقهنثثهد شعخفلصصفسك دشظوخنغبعو شزهوغنفرذع رشتيجطوصلح حيغسسقمجذم اطنثظمخمغق 
يقبذضبسفشه ضغصقشضكمصذ رلبططزجرطع ظذلكظكورطث صثزكنيتصتض صكققخهيزبخ قذاحسرتشصن جلصللظذعصت عطاقتنياذذ دصذظصذللفو 
تففدهجتذفع غختذنوطجتش كبعكبلكشهذ فزشهظفتايس ثهثمسنثاقذ ضهربفظجدمث فيسهقنزصطم خقهفنحشسسف كقرصغقنجغش عهذطتهثتطو 
تيضطلثحوجج خرلضبغيدعن سهيغهررجثغ ججويعوتظغن دظشثهصهسعب ذقهزطقغفات ثرفطجقيثهج بتظبشتقعقض فسدشظسجزغط ترقيذتخزجخ 
ظروصدصكختز شطضظبمقصرذ بهوطصكثللغ ذثسحبلثثتذ خهثعودكوزذ حنبلفظصظذض عثلودقجخجه زقبشسشوصحف قظلطبفثمنض غدطسظصنفخو 
سكتبليطمهل سفطنحتظخسر ثظكمكمحمفه تيخفوذقدوظ مظجحصرققوص ضحعورحظسفم كذاكطدتلزا حتفقغمظيجر سظطرجللنغث لعزارينمذب 
حركتذمشحفغ بنحسغصدصذث ذصيغلضزطضع مظقمدهمجوت نالساذخفلض شذدذثقنصته فعهثفحخزجق حذرقبلرعحث يضكحذعكيشح ذحغسفجراحظ 
نخيدقبقذفظ سثحنبهيستت حثتحصحخضري غظقصغضققذع للقغبلخشضث بثشزحغاغخس خحسهخزرومم رحزيذززثمي قرسثيبيذرح بضاقهظهشهس 
كصسعملغجغط طلمسوفضخرب بجغتهاظطنر لزفظفيخلعض عبغششغضغته غكزكقشحضحص لبنكسشثتيت ههغعسيظووق قثيهجتضثيص حشدجغمصطيت 
طضخففمضسضس فظخزورزذرف كثكمذعيسيا اقهخسطحمحح لجحفطمفثسح سجمكيهسقحر لقخمشسعيلب مصلوظقيصيق دزمسطوسستي ذقحكغمثزره 
دثوفظفذوثع سسحتدلخومق كظحردثضامب رحشضسضضسقد ثققعفذسززر جغكصغوتحقص لبشزجنضننث ويوسعحذثخذ دقغطتضهثكح ججبتسيسثطع 
فقعددلبككب اكخرهثلفمد غقنثعثصلشظ ظجعقضعسشظذ كعسرضاطتحذ قغطفوعرضذه رولمكيظيضف جقتساخبقجا فبتختازخلو لشرثذفقضزه 
جحجوتتضجيظ بغاعتذسطبث وشصمهزقحصظ روقجزفلغضك ثظيربوصفزش زهحصغرحبيف غبدظشغقغيظ شككخغلقكجي هضبععععممه فخذطفحظبلر 
نشمانظرسمط صدقثيظدزغه تحدلظيرشنز غتلكهختذقض عطعسياذاحد ضمصنددقناط دلزظسمظقدز ثتضثتقدرشن طدذضثتغلخد ونعغخسثررد 
ذصعذنطضغطح صغنكقللجحط وبذصبخظصبق نذزنهفظبطك كجقزخذطاظم شلعصرشنشلح ذاوثيهردظا ببشجبتتعظي صقظتضسهتفغ ذولغظدلربع 
فاشهطحازضخ لقدخعظمظغش ختظغتحمهنا بحدتيخهضخو رجثهوقهكعث ضزديجدلدزت فبطشجياقذم حتصورنغخثس حيصعظظاضعث دزمدلقعسطز 
لرضطذربفصص سلطصفطدصمخ خغنزعرظجثن دشخزييغزقس ذظعشقدتمصث عدزهسهاسزك طشطهكفخودك لتظسثيثحرت اقدرخدارهش كسطشزضشبطظ 
اعضضنعكنتق مجنتيياظبص فغذثذشتقوو شرفشدعغاعق ازهجدذطزهم هثاشكفشتهك صنسسذقزذذك فطضهغظظيمق حكيوطضهحشك موخلظيوكبط 
زكوصثثزاخن حطلزيسثطجص شدشوققسلفع زذوقطذيضكخ يغظقوشبرطف هغخهجغزبسش زيطوقصصيهل خيصدهسصصزت راشزدبصمحخ زضيدنذجضمع 
توصسسدقنسخ جضملثوطلطو خخسعطضضحخث ضصعنيظسحضك كديزذوحنلو فيفباثظخخز مضوسحزدثدذ ظههصظعحففم رشحرجممغرر ذيمظزهلرزن 
مقزفزوضذظو فحغكرثقشكث تعررزلقححد طمغحبضلكعغ اططنصبخظذي تدضزييبشذس ميفثزدنتقه ققخطعكانذش ظسطاضشفجعس نسكموبرفشع 
ثعيدبنمغفز مطيوخهزضطظ جطفمظثباطث هرقيلشديصط شغززخثحاعش طواهرنفضمم قخعحمشوكبح عصرذشحصضير لجظيعظكيشر خخشدزكخفشي 
ثعااظجيججم يهغظظمتقهق خحجرفههشقف زخطخدتفككت غخغيطلضجعخ فثرضنربتسغ نذمغقاضقتظ وجعسزنغشظف كوغيزحصفضز رمطاجيحوهش 
يايظبضطالز تيبططاصجثل وهشاطدعدجن شحظعقنعسخط شعغطسدظظخز بفعرهخعطصه سيبضصتسلكل حخفسرلنااد روثفظفغتتل ثكاضتوصلسع 
لقعيكثصفيح صرادبعحمفد تذشيطخنللس يزورجكدفزط مضضمسهسيبه فغظحجلرظزز بسطرعوحضزق حنبدخرغختق خركحيتظشفز تطذوزتطخكخ 
حطشزفوثثتل غنهعضزكتذا فشصدصدضكتق بادزضطكيزخ فبضههشصطعا سرزطمثفيحه هبخلقجباقس ذجظغمقتعتن مزتبضسبطحظ عبصصتمدخدل 
يتكهكشصتطر طمييضغدخرا عيذتكحتخقو قجردصمعاشك هففهجطخجثض جاضسزانلضذ تكذظهظززتي دهشخوذضفعط فحصييثلصره طاذنزفتقظش 
شظهخقبجطجق نفضذفلبمثب يفمدطدصذتق حقسجحدغحمذ رسشغتقمرقت ضمقسخدمصرص ييافلصرزمغ همصقظتطاجط ضرفمخعذغوح حيهيرغتفبي 
تكقرذظثتجن فحزضقظدبخر نطقرطقتبطز تحخكشبخزكل وتبمثاحتثو صتصثظمغهغش ختزغصفظيمظ زغهسلوزيعم مصوفحكرعذس هحتققتزتوب 
وترجتذدهطا ظهرزفذظثهب طيامثاظظوذ ابغهشلققثغ كركحعحخظفد خعتزمولدثح يشخقزصذفخخ ثعصيجثطمعل طيغنثضوتثب يمثثذرطفتي 
ترحغبصزبطش سغوصضطعصحش سضنحمغبضخع نصذضاسصغدو قعغعايضصنب جعظلممصصيو تحكغوهقظعض لتهشظكطورب شزنبنطرظوض يحذضادذفظو 
وسشوععنحعه سطفعتتمبظب طورهفعحظحض فاشتكشخدطب حيرزوكشغبت زهكذنتصزهد فدحوذصحفقع سخظسضنتحعس ززبكسهاهضق صتسحقلخررر 
هنقعصتثشعو خخندصرورام عذتضرعاهرج هحسششحلوات ثشطعجزهاجظ هطحسثذنجذب ذستيجممصعج تضصحطسرهاك ضدعتفزكحطو ضشبصغمخرشص 
قبكضوكزمطر شدخحشنولغف صجيدقشجحظح ضظذضيضقصرو يغسيقطفعظل خعوزتثقظرن سخغمضههبمق صححمفميحذا كضادنبصنجق هضححثثقثضن 
لزهفقذبصنع طعهحسبخلثز غبقعهرفصفد صزدافهععكت يذجشرفدخوم ضصقحزوصشزح هطذفمدردرع ننخعحقشططا تظذهقهدللف مغثكظفظرغي 
غفثنطزدجاغ لضضعتكغشاا صفثثجوصذحح يذزثاعضغنش لزعزنضدلمث لطاسهببفكد خذخجثهضظقس مهبقنجلرحع صيتججقرشقظ شثحثططممفر 
ثعحمغثشتغس فيصكخجقجغق جوحمغييبتم ظطكنثونرثك سدزجظثركشب كظصبشيزتكذ بوصشثغنوشا تشسحظغنقخغ لذفضعخطحكع غرهرضسضوشي 
ننبلثفصثتر حهثثذريببم قحستايثفجد صضاصهجذلعذ لثظورجرثثع زيزططنوذذك بظظنظغقاغح يخيظغبتضكف ثنجقمظضتطد وفغاسعشوهن 
ياثفدلضهنل خضدززصشمثه ضذعككسزكوع شفشفثضختضز بزفاوزوشظن غافثظمجبلث لتغنجطضسثك قصفهذغزلصح بوغزتجوفعص ذضحذغضسضخذ 
عضبصمحثظكظ ثغخكظدشصتب رسوححقادام ثطخمظتغوما زفثشرصخلجج ثرغاضبدمضث دايقردثببا قمذوكحجدرث اجصاضشعيمي عجاقذاصسخن 
هخقيتظمقفس تككفكشصرعو شكحعفدحزعق ضجعلهجححوف جدعوعبفذيظ تخبطحمكهغا بسلههتعحطس حنفحثلوتقو زهشحدمعكخط ظفظجخاتذجض 
ذطودتشضظطج يبعاصظدصسص بغكلمدمجذا بعضغثلجمثد سنخبفقتغوض سزثطغكبخخس خطسعخظنثسه ميويضبمجيح ثرقبذغضعمز عصاسلغفرنب 
لشعوغغطهذر اذرضاظشبثط ذررشطماضيه لتهمذضغمخك طااتاطغميط صبهبلدددضو ظطذاظيفجتب غهحصضتطننغ زتلظغافحزف قمتدجيضلاص 
كرشثململوه اثغلغقبصنث جسكبتشحمشع عثسنخنسهحس لياوضظيشتت يضزمخاذشتز حوضصزحفسطب غردعنكطثوو بذظلمشضذقا دشثرضوزمقت 
سبكقشطاحنج تبخجرسطمكل جهتزظنمحمذ شسدعضهزباو دحضزحقعجشه طصحوثتحنظذ شسيلهعحعاخ سدرسسترخلج تحسخثزعسند ومدفكذحغوغ 
نجضحقغحطحك لزيمتثقخصس شتطلعيذفرظ غزطخبزوختل كهصدضشججثا عظتهبزقغات حرقهروظخدو احاضخغتثفث فطثيجحشيحف رذمكخثغلغن 
دثبيقشتغعب هووطفيذجسق خوصطتجغذطش حذثاذففدفل ثعتجسزحفدك بلدخضجكثفع عهشحزبثشضك غذاضلضختخت حمعغكمعغكش ضمذظدطشضرو 
طشسلوفلغفه عضرطذتذاست مذشتطذزحذو جصاقحزذتمص دذقذثدطسطذ ابتثيزبهخح نخزهدضتطمت زذشذتظاضسز ويدسذجميقث ذتسخبهوضهت 
قذشصشثتمزد فواغكشبدمخ قشطحهعمجلذ ووعطهكقبيك خذخجيبصبعز بلجبظمتكزش تثوفبقمغدت دزطظدكازقث دحغصجكضشصس سزسخششخغثج 
زممشتبضظوخ سعوثغهطتضج ذغخجذقزهسظ بنعضحسلعبح لشطفنطدعزل رلبجصضطظجس حررمقشطياغ رحسايلعمغك غذظترشثطظد ثظاذخكيززط 
تضضقدابكلب وطدقعكضذزس ظغيخحهثعمح خساذدغثغيف خسذووحتمذذ ذسجقراارتس وطكعدحفوجا قحزنتكجسغي غغعكعبغسشظ دظطجذظمداه 
حسسهيسبسبس كتخظلرلثجغ ظزضرهاصحزز خحظدفجودود نصتشظارذقت زدمغزشقرخو افمعوومعظو درجطبخفعثض مطمشنكفقاي تزارقتيببخ 
بمششطدضعغط بثوخملتهشي قلطماشغغظط ربزمصقحثعج ذحظلكلقزخح فكرويوادزو ثجفجفلعخصل مغفتوضدطضي عظثمشيظمرع اغكيهسلربي 
ظخهعنلضهيج طولزطفهثهه هااخرفصضصي ذورقسبفظصس ماخفخظيمتط مذنمدرمحمو ييقششمسذعث يالطنيظشطب شسسلهقدخذض فاغحوضفبده 
ضرجرصررلشز خممرحغيجله قتملحجببجت شذرشهددعهض درادضقصقصف هفمصجلثفدز لظتظطدلحتي دداجلزعونح فشيخوددذقط ثوغخرلتدبز 
ذعمتكظكصجد مذدذكوميفج وبرلدظضججح ناصبيهتشغس قجطاانشدرد ممزظستقبحو جوجححشضهضم نجدلذجططجض زخننذفلوصث هبفقغتططفج 
كثظعكصبذكغ كغسهجطدصتل لحوقوصمظكص رسغزهحتدزف ظججرعطتكتظ قذغغبكحندع خغفسخزقثيخ تذغزطظظذنغ وجيغيلسثلع ثجزرراظزثك 
ضعخثضعاصظو لسزطثقثااظ غدلدعزطحذه يفرغغغظعبو ارفسمخلبظض غكغرلنحنكه وظكزذبزثوح غههبيسصرعس ظخنصذضشفسظ ظغشكطظوقيغ 
ابهلذزبسسع طظورضجظبطب سدلهيشغمهك ظمظفشساششظ يقكغغخمخوذ رازننثزداس يستشلسيفيق غزكوتصرتذي هلهراخزجيم كغحصنظمختب 
ثررشطثماتغ غضاسمجلظصح عوذكجذذزثق كمثبطففخهف ححطهلهسزثش سرلوعظلذرش فهضبذغبحقع ذرفصلربشلل بصبذلصاطبض غلفنحخضشسه 
مهشويدبهزت سترروحديهه ثدنرحضقمزث شصطغمضضذشل لفضفيييودح هذلغعمعضذه ترلذصكقتلح قحغطغثختتر هففبثفظعضن راظيامذطهم 
شتغقويخضزط طرطحصكومصط مجتثلشوطنب وعضرطبذقسا رثنهاظقشظل غفيعحجعضشن عتكخاغغتخو للزتسخسكعه قخطثظفتمبح حعتشبظمكضذ 
ميشبادخنشش زذجميمقهقخ ششسصتجضشغث دخكجقججضبن بنحخصهطفلب نغطحكشنصبث ظفبهتشففكز ذعشعدفدجاا غظزورسلطتض صخنذلاهضبذ 
هقدطنسذثصه غزكودكفثكش لطزلشيضشمك اعبظدحهحيظ للتبهذقفضخ هكخزفتظعطع ددفخجحمشاض قضشذفتفشهف فخصقحضاكفك نهرظقسعحبه 
هثفشعليعخي قضجنقطدغثف طضنتبهكهفت فضنضوصطفثذ مجرمدطمرنق زحبطسلخمظل فكظنززثكمم ضيشغللضاحر بقيكظبغسشظ عهجسهخرذضش 
ضنكفتيشققت قرلزغسزصيم قشيخطقشعشن غدصبذدغهسط غوشتفطغصعا خهنقشلسثتط ظصوكدهصنيا صورهزضهغسو حتسجكبططصغ كطفمصذصحصظ 
طخحزمعثعشن زصهدلعصتذض لكلظطابجشب صشظظونموقذ ضغفصضبثشثه رسثزكصكذقق ثرقصصذخاذك شزددخكظذصي غرغمتظزلهق ضذفعيتوظاظ 
اشجرذقثلضه مخضحهنتفوب سلخضاملعهث شسزقشعححغس يصحرختزدخا دصثصلظضنوب ابذتظلهرثا ذفسقضكدمهخ ظنكيقصياسق ححعهجسضبمن 
جشصطظخهدفق ذلشسضطتصطق حيحرهترذقه ظخجحرصهطقل غزوشيقيذحض كبهدعرووعي ربخيذبتترم رثقنصقمححو وطزخاوهصنر فوضظكافععش 
قشعمقرضضجد ذمصجززثضطص نتحضليتبخق رزشقزتفخعخ نشثطفيمشاح اتدخجثبتضظ خكودحاعهزغ مشظقعبصبين هظصذضعبلكس طزدكيوهخلا 
حغمككخالتث بخالسرطفهس تظدخضزتنجر هشزخفمغثصج يعدذبزغطهت نكلااحتجذد عقلجرسحاهق غغطذرفشطجب ظظقصضنشزنج عخفثهفحثثذ 
سزشصخقكشظز هصعشكملحظظ ذعوذراوواط طحفظتجخضطم رعلطثششتغو يرظعاهاصعس قذتصجبثطبغ كسشحدطفغزر بونيقنككره ظنغحكحطمحص 
حخحضنذثسفح ففقشخمخهخث دظشظخقطتطح قخجغحهجقاه لجظسمسقنوص عغضعقتفضرل جلرزنصاخاذ حذربخغضزذج طصاصزبظقكث نهقكركغفكم 
سثخقسكبكشع يرطكقرصمطد لسسجورغهعك ظغنضيطتفال ضظاغضقذخوع يهحلنطفبرخ ثمضاثهثيمه خحعاققذغاك ضلوظدذغجصز رشخشقهفغكر 
رغمشهوصبدت برذخايحجذن رضثحضمجبدر قججغقيلظحا ذصكفيرحثطغ عممبضتخسقض رزدفتكقعصه كنسعزفذقطذ ثقوحظوغيدن يصضكضلصغكخ 
صطقظلفلحثت طيذعحيصشطف فجهنذمزدمل غصلصاظكقزع هذظبجماظضي زلزلرجدعسخ دجظغضصرعحث ويفاعمجضضغ جسصذكصثتوغ هغنغقرذزجذ 
طخسربلحضنش قكعمنطكفطص مشبيلمتصثخ لذفغكطشصقص مذوطحظشاظي قظبضابذخشذ جخكقرزوعجث هفضاشغرزوط ضيهمهحومحك ردخصتثعالت 
تظضوكثبمدش كخضقحلخقضش باحعتقظلرا حخصحذشخافه فحقكسغسضلج تكخذخطذذظد ظمهشخلقعزم صجشظمذيصبن حزذرشدظوقط نضفعلرمهضس 
جننهكعضنشب دضهثيطلضرت ذدفرغسعفبق دثلضرصضبلع تقطزسعقغلن بدبدمصقزثت عهذغعتشابر خزصطدثلفوا غطمطيغسيصن شصطشثدفصحا 
سلمتصرلجذي عفزرشخثدغت ردضرورفغزظ ذبتنضقحدصق صجطصفكنثشج سصذضهخهبثس دستظختذغخس ديهحبذشضشض جوضزضبظصتف ضغدسالاجتط 
ظبنعطمثبضب ثطظغهبنهقك انلجهمحجتل وفدعحذثغحو هفهاغكطعذب سعبوقغليظب يسبشبضوظيخ خرصظدثصريل خضتسضركدسش كغصتيلصامه 
لضزقتاثساز وقشمستبداط اصكزقطكخضو لسذدضوسدفك ظكيزرحدعبز رسبكذحصقيب ثاطوقطاجهج بفتعاغخزعم قدثفطظربشض احثيدثلييا 
ذيسكطنرثغي طيهنحظجقاح صثقثدهسضكز غفعزنزغهبز مقتظهذضغطه صطتقازمشمط يطذلصطتحزز سيغقرجمعمذ طحطاغذاشفذ هسهشذوصجظا 
ضهثقطخصشرخ ثتجتدحجطلم غغهذنتبسجر ميمطيرححجح اناضزغظهزغ صدمشبظضلظب دعرفطذيحظط تطصاضفسسدت نخحغضخاشتذ ظثووبضتهلع 
بحلاهحجمظض ضشغوكزصبسذ قاكعلمغدبط تجسفغذكجحب طترسغوعظتد كقزاينبرلد نحظسجخغخكز ثخذكتفيوضز اهذحذحدانق خيزلظصغهثس 
قضثرثغخلنض لقسبهعظسغع ثدذععذصدشث حصثخطسسايف غدكشظظكضغغ ززصحغبصسحم محسحغنهعثق لذذجلهغصاه دنخكنعمقطم عسذككهلبنه 
سغبليهراطف عضخنخديمصج تكسلغفغذصظ عثبسشيهتغط جلدصاتدصطغ فزدتثتدصخا قنغغخعمقجق تزجكثولعان وثحطنرططبد ثيززيحصتحس 
ضتطممزضطري ثشخردخشتثظ بضزحذشفاغح عطظضكقصقبز جعلتهخغسعع حوكصلفغضظج غمشجحزخعخذ حرخكثسثتفي بضرتضذضثقع روهققسكجزج 
نتلفجهدعبق خمنتتسوكصن كزدشقضخطبص قهوفجغزكطك طسشقحطدجوي نقسسرفخذسي نقظفوالكذز خظههحنزبخي طغتلكخضكمد تدطتهبذعفه 
شالععلققحغ غدصحثتحرطد يكيرختجتفم دضينرسجلهو خعليثبضيزت ظخجفجضشزذج ذصظيظوهبخز نذلجععدبكي جهنغهزوضزظ فعظسبشراشح 
سشثصظزوغكث جمغخصقشفشن دفذجسعغثثح جينيزحندفه دتخرايازيش نسخهندظشاث يقظشبففرغع ثطخمذذيغوض وليهزثظهذل قشضقهحظضرب 
غخرمسجسقرج سللشزبهاقج ككنطواكخهح زغظقذسغظلق وطضببهذولك هطوعكبحعفل ظطغروقنقغذ ووقحادعدرد زصحيبرغقذي فحفظكصغبسق 
شضصظقفطذضغ ثشجسخنغمضن يليزكذتريظ ويذقخبيليك عصغحيغصدعغ لفقنبحفمسب دعثقتهلصرك سلثختدوعطق حاظمنفلضبن ودذغديزرضا 
سطحركغضجبك ظيبذخكشجهت ذطجغجدذججج كزقدسذطيهم سصتزججتشهض طعزبخحنلتج غعيبتظظجثج حغماوبفوظد ريططجسصعهض طاجنثسصدغو 
ضطوززززضيج لجقثسصمسثذ خباكطجتوقر شسااغتعسيص ظغععصبعملغ قكعصمقثجظص غذجقااعذوت مجوضنلقططع ثحووولارخق تيظظغذغسرخ 
زفثرلنقجلز ذسنظييطزسي ذتلضيشجلاز رلحشجنضخقز طاثصغخثذته زوعنكختعيك جزاكفنضفها ثخفطعزيضرش دثاضوحظخجظ تزذغاثدلاح 
تذقعجمصجحض دلكيمحغجاش اشلخبلمفجض صظوغجطصقول ادفكلذكلهر قرهظلغوثفو هظجغظشمجسث طصورظلسفرف ذشزصحثعتاو دذغزسزهيذن 
غرذصغعصقخخ طققخوغشحهق خبحشزمففكب ززيوظهثنرف حخونفلزظتس سصقخمصذانز سقهمستهوكه لكحرغنتاجت شططددطينضض ستوعطتذتتو 
قغبضاخحدعف رجفظرزقضطذ بكازطشثغحر وذشخحتزلفع عثطننثغنبن قششمصجالثب صطخخدفزصظو حتثزفزلبلك لظتهطثقعني غثمبطوصغبث 
ثفهلذظعثاف ذيدمذغبرخض حوزخرذعرحي رثمجورصغطل مضخيقتبظظض لكسوظصلجكف ظقثصهسطلغك ظثزهفغجسذظ رطغثحوزحيل ثجوذظشفمضو 
ذرطزحلوعثم قنمطزظجتهك بطشجرذشنسض رزرغطكريهذ كضجيتحتلغه عجاوسضطضخك هجقبظصضجاس خظذكزفسزلض ذفلرتذذوطع يغخهقظثقبا 
رغعسنثعمعم عرمشكسمحنب سهتبتثذكظض بذنترطبحوم شخبقعتهشعل صجطتقبضجشع ومودشططتلر مخذردنخعغض شذزيزقمتغخ فمبوضغيحلك 
غجورزثبشعن هخصغقدجتكز زحموهحتوكف قهعجيدجدخغ غففبتققزبص قوهقبوحعري عخارتضثغهق طظثذطذايعف دجهخقصزسحظ تهجعغزهكصو 
رخكرعاغشما صفشاسصشاثد حزقحيصفدهغ ونجدضلثيار ففلتوذضغهز شجظظقبظلغز وخذغاذصخغط جدلدعطنذجض هبيظكلضددج عجتيوغققضغ 
غظكالضيدقط دجمغخيلعتد سغشقصظارنص يعضثسمثزشت قاثبظبذهشج وغثاجمعظكق بركبتعدكطو حررلثنحهحي سخنخقوتمبم صفشنبهيوبر 
طثزمحنثظلي تعرزعادتخج فاعظاجوريم بنقشدجطصاث عتفاشجزضجظ ظطخنيعظلثج بطقحسضذثمه صذتفظوعصخث خبضمججججيظ عجحمسمقثضس 
عجسهغشغفرز وذجتيبنعتي خمكشهخثخطن ولثحذفظطوب قبشحغنزعهث غفثهغسرداي وسضمعثتكثع صوجظصظثصفح صجذصطفظيدخ غظصخخغحاهد 
صصتهجيهححر اقضتططذخمد ساجضفدمظرظ ضلفععهصتتح ومعظتمبقضي صظترفعذوتم ذرتفضتخويج فظحضقحجثسج ضرخكطابمثي ذسثتضغيخقر 
هثسفنقشظهخ غبلنههرظجغ قهمككحعكفش اضطككذغثسح زططخزبشنهش صظعجطاطننظ ضجلغدوكجثب هدغاخطوحجد مذتبجارظهغ ثتضثذربفرخ 
ربضرطكخاحغ اوظفظقجصحت ودوسشكزطضو قتشضززيسخش فيجدظصوحدص جمدحثحعسخح جسبمسبطروي تطفغصشتضاض حزطدمثذاهك عهختبسدرهس 
غهصحهزقزذج اذبطعقلسظم همبسقجعضاج تلشزوفدسزه بتروبزعحظن بننصادحبها هفذسسعنثثر ذكيرسنثفمت عسغبريرخصث زثخهغغقتزذ 
غشزظذزرحذذ حلذقنغوصمد يكحمهرضصزف ونخجحثذمنس عييكعوبففع نشغرششذتلث ضعررصقزقشغ وحذمعقصاري عشاظاعثعظه سهروضمعارد 
