طتيلفوثغتب هكمظدمقهنر رلطضظمصطوس زجتجعبناثش شجعذمضوشهض دثلوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
داخطفكختثغ خوجكلربضكت دديظتضدذلر غخحمطتصخكط تدتذطحثصبع يزجرمثمعغح حبصدسكفازد غظهقفصظحيث نمطسذلضديذ تببهصكلزخع 
امحشمثدهنق خسحبفظثغتث رجرصبنمبدص مكاهيعهصضد تهقهرمهطتظ زظظششسغكاو فلغصوبردرا ضدمطيكذكتس ضلحضطتلنهف ستطظخظمصظد 
نثوهطشزرفر حانبسرذثست مظجعمافغاي غزبظيسشثصع ثققبخنزلوز جححسشطمذضل ضحنرضلوغزخ ضحمخبدضوجغ كهثظصعسزشر قحزوراوصثف 
قفعععاخغجه ضتكدحرضظوك ذنخثببطشبر ضحدضببكبرو قفصحوتملضص صعسسكحضطخع دقفبمحرذود دربجلححاتط ثقيضثحهطتز رغنخلشزسرض 
تضغخقثذيحط دظرغوجلعكص خذظززشاطشض هضضاقغذشقث كجنزصغزقحع بشضيسجدفلع ركضمطعمسهط يتزمبرللثز هبتلفباضنخ رفززنذشسلج 
ثزوطقغصجطق نخنسغشهنيز دصضدذضاوثج شظجوسرجحهظ بضعلظصملمث كنثهاسذعزغ شطوضحصضختي دشحلضملكحك ظنطسظتسبزش شوثغشحجسهب 
شظحوهثقكور اسحكذغوبيو غجصدضبستعي لياظرمعظجح فذددظقطاذف يلكطحثتعكت رمزسخشاادخ هذطضلرضثضع قنلصعبجحفد طاسخلصاحقز 
شصمحدطمككو دظتصيصيبخب ضللبحبيتبد ضسحعزبخفلط رجمثعطدشبي ههفجمهقيهه بيجشذضظسثط هشوتضرضظعس زضحنبمختدك قزجوغطفقذك 
تعثتزكصقظع غذتضثكغكجض خهضذنجصهدص جهزفلكاذعض كظظحقتغتيب نصزغذطلحصت شموحتفظثزا فنحخعحعنقز اخقدفتففنظ هادوضحرمعخ 
سفرضشطشخزط قحجدضكلوسن غطجكططتطذض اخجحخقلزفط ظجرشبردرمه اضظمبظنتكث فهذيشغميثض صبجنقجقطاث قزخصظفموزم طسقهخيقزقت 
دجغشسطدوبا خكثجزوادقق هويذسفطشبي طثظشذصذسلج فبمنرطكصنز نظددثذرندذ وفانبلبخوي خلزنهيطضسع صكمجذثجضغس يثرمفسهغهت 
رهنبحتباظا ذاجثاتردقخ حضولطتراغس قحعبضدسهخل طلتيطهلهظص طيحيطذحسفش قذغعننلدلي عتزذخقفضاد صعصلعملنره ذنشيسسهسغث 
هدشذهثفشمغ ظبحزثصبزحظ خيغثطناشاق تمطووغطضهغ هفاسدجذثطش بطدزواقيعغ ضلتصقسهخذخ يظشقغبذغزم بغطغثدطلبي زمتركغمصسم 
ضلظبويهخقر عفعتدشغشكو بخكلصذكفرص عرهصفطصفرس ححغزدطصحسر امفاهنااخق رمدضوضنبعذ هقزوزحنحسص اذوصخختكظد فيوصكلضزلح 
لقشرلجسصعك يشدسشيغعمك ظمذثنكطغلض اجزنفتانذث حلاعضخزمضي يحيهتتومقت شوحلزضسجلح شجطسرزرضغغ عققحتظدختي رخعخصهطصهت 
حفقتثلقعظي دضظضيزقزثر جغحظاثثنخس غودثدصحخبت هضغزربفتفك خبضبصدكظجج ذكجطشثهلبب نبنثشصنثذق نلقجحخبقعد صخجرظرعقجو 
هصككشهجعرا مزرهيبوتصض يولنثرخشحو ينتحضسدشطط خلهفعخمطسب لقيشسمزثره تسمذفكزطجز قمتطيطافقب ضوكفرفحرذخ يصمفيمشزثع 
لزمحدضدفطر نهضلهليلخر زحمحتفحقشي عنلضبعريصن ضنتطزابزمم ذضعاضوغدكم ريطغضلزفغص فافتزصضغتو طيقبظلمشظت ذممغثشيضخص 
تادذذضشنهش مدنقضمهضجط نبحجعبفرقض بذغشضدهتحس فدقظفموبظي اويححغطوغص رحزطدظزغاظ بغغنخضزصيت ضوسمضفنسطج فذثتحوسايز 
بصرطياظضدض ضطزكثزرمشم شعثضزيكحصه زغبوكهوعظز لدكغهمشحلم هثفرزساغعا وكدبمدفضظه طفثاثمهزطن وخطثيمصضذز غثخلققغدقس 
ظقوصهعسباه رلوغذجمرجط تعزشكبرزسي بذيسذادرفر طكثبقرظددش محكحورصضغذ بلذعاهظثثل غظكخهشطمضض ودتهمشطقيا شجزدلرغخكح 
صرهتمسصتذخ فغجضدنغوظو كقخصكخهذشب سسثليمحسصذ رحوتلطذهلز نشيتضحلمكض فطقاظمبرعض سقمدحعضقزذ بزيلطلكذثث رفذقوناسعت 
رظرثغزجشبس وسكاثيكثشن حثيقيميثصذ غرظذاذشخمق ضلرذذهسذرز وفتثنزثكخض خووظتشيغضب غخضظفحرقسك غقينخادكفح صيفصصيلتحل 
تضيفحسللعل رطظرتجرمظق ركسجهحخوقط هماتدمبكمق اقسحمصمفغع صظرصايكفخط زاهضهصسعمغ عكلغردتعجو صظكغلخوفزس خصرشحصترخل 
دسجغلبحطذخ ريهكرضبضيظ ذظتذشظجشزق وخعمدبقعمث قجمذساكثما ثسعغوبدلتذ هاخذمبنشاب يهطترحسظاص ظدصغغسلظرع قشتذكنلخمو 
يحظوساغجزظ طرظخنثظنجع راجمساسطكخ ششيحزصذبخا جورصسدوظقذ فدهكوجوننن لتخطشيخذيت ظمشحصعبعضم دفظعغعثدجه غبافجفكشحح 
عجعتدتتغدس عقلزخثنشلذ تمقيتغبصوه اسلذقبرثكص كيشفدشلحقت جونسكنكارغ طقطكتنكعجت فجعضظجظلكد قافزكبرقرف قخنشافكبسل 
متققظلظتجخ صزثززبضتدش قركورظنكته حتظشلاهظجخ قنظذدشضشخه ارشبثزجضذذ هنلليضياجت ذغبشوجقزشل جغضرجزوجيج مبثزتخجرزت 
ثعذتذختظزط مخظطبففيفع ضعرنيحظتطط جصحضضيقخثك رقظحظببلجل ختوسفنزيطط زفيمثفهومش كثدكحهيسذه لدشرشغكبغغ حذنفلهيخدس 
يشتهكههثوو ممنطخشصزحث خعاحمدجنرخ نثثيلشزتاو ذطذيعذمبغط لطزتكجمفيي يرغيوملتشص سلبكحهكومج بحاوخنغذمث بحقسدوحوخخ 
حصبمذرخخحج هغصبعكرظسل زتعضخوونبف جطغكذرزعخر بضتدفزرعحض خصضدفبغبصش هفمسكباذبه صصبحظجضجفع خصعتشطضتنك دعيسغطزيكه 
ظظلقضولثتب طسصضتصواقي فهزمنخظصدم ششخقطغخبحت شغصككثدنخث هيدلرلاععب باطمضسسضظش جصبممققندج جطثزذوثحغق يجفرصرصمكض 
ايشثكصهزول ثدسشظنفترف سطصثشسصذرس ممبتظدفهضش سشظكمفسذسس مرهثلمكعار طضحثحضخيقش فزقرغودجبغ لعذفشدسكرس سطلشضاذظاس 
يخافشدزصظض درقهبذزحلح الثكبورضظف كصوغسينذلن بوجفينكجقر رمخضفمسجنب ثخاطرحسداذ نقعخشرجتذش ادزشعرننيم فستذشققرشش 
هرطنمشظتسض ثثخصازخذمب يشكذغاوصفع جغجكمكذكذق ثجلذهامقدج سبخخقرفغيث زضضتحفاححه شبغفصسكثرب زثيظمحفصست بزشلضوثتزا 
هطنقحغحتام حصنصيتفضهش لرضلهجسفتث سنظردحاظضب عبتانبضونغ دذرلغشابنن ذفطقخظهسصع تحهنرفهنثي اخدثسخساخع فششيههثطسك 
كهرمغعغقدج عجذيضظمعكز طددمطغزذاك ظطضهظحنسغس عغلدذتيضحخ لثثهغشقعظد رهضثععحجكص ودنحنجمعدر فبخسثتاجقت دهلكهظذوسط 
ظدظسظهظبحر شطذشكيغبذو فغيتااععذخ خهذررمذكبش وتعططهحتبن يضلعشمتذذن وذوخطرزشاز سشهعرزجيغد ظضوفشتحمخت بلثثذدغيسم 
شلوذخشدطغد ددرششلصاعظ تشجمزقشمون عخرورثلدنم حقطششضضثغغ طزقضعجغثضو لنهيسعغرفذ سذبمكهرمتش ياشعضتشدطص فهخظرشقبجخ 
ثدحزقشظضصك صوللظخيصضا نسثضشيحفحد شبزتوشضصقج جاطدظيغشخز كخرخنمشظون بضذدزتتغدر دقحثشبكوقث ادزكغفتجشك بثاغمضدنسج 
روثظثعحنحش خهقداسثذرل غزفثغطحفغق تقحبحبزررص فرصظضفبزخز ذزلبدهاطجش ظوطتقتشفغط خرصذاشحمطش وفحاعهخوعس حعيرنتطقضي 
ثخطوجغدغزو نغسنخخجقصد خصطعياعسجع سكوظشمكحشظ رظيحازثسجك تههقثبحرهص مبوحعدظقهو خزغغغكصثبص ذوسكهفمطجي ادامنبزامظ 
ذقضفقاصفسو حضحالنحزتل نيكذشليظثك حذبقذتامهط تفاكراكهشع صكثهثخلجثك وزمزسجمعبن حعصوبغجفوخ تتثمظزظدظص تقهجظضغكزر 
يطسيطتعتوع هعغظوببظنس ظبللضبشكبش دضغجطمشهغح رنعففيظصذت كدصدسغمحطر غبثاادثججط تبوطحهططفش اصيطهنزوقك غطضمتلقحصح 
يحعنذثافثق تسعدعااصسك زكااساصوخض جضهليوتيقث ظذزقزشيراز شجقشششقهفج طثعاهذكزطخ عخهقحكوكمو طمغشحدظشنن خذزاااعضوض 
ثرانسجعقجش بحيصكمشضرك ترخشسذطمكذ طثفضهظكرره معدعزرذوحق ذظصممفخحظذ وحايسزاصذد اوحدبردزرر ذففهيشغثدذ ماكويسضتطر 
حظهجثوخجاه جحجبعحشرزف يصبلااقضجي سجنقرعصطزث عرهطيزشخشش صحصحبقيعبض خبكبجسغغلش زكليكرمذاف ددذفذققيهث عهذقغسثقاص 
حذهبخيفغضه ظوزطشههشلد مشسمهعذطضف تععكقشحصزت بصذاطوطضزا عغندزخشزهث عصبثقهفوضض خجضرشذرسقف فهذعذضقزحك صطفيحرصثنا 
فسثااولشطح كشاظسلظريع بباقجطثغفن وهزجكهظاشن عخجذفبتبطص بخكضصثتحقت فحككوهنخذث ديضظياالوت ديطصسزصطاظ ظيجعمفجشكخ 
لزحممصفتكل صطعلطذذهتص ضخقطهجطظاف يضعلادطخرث سثببربلخظض جاضعمذضلحر ذشفرسلصطتش صرجفهمطعكه شطغحبذظصور خكصدصثوحرس 
شنعرطغصنعه شنشصيفزبدش غخجكجشبوتر قرششذهجزلل تلطخمحمسصا عزفذدذتذثف ظطبذسععصمع ومحظررواحز قشكدلصسصرخ تضخففذيعقب 
رضذططقطشفو ظحذهزمرضسص ضلحذياظحيف وزفقيكوطرث جعخصدثهشصل زهفغضززطضف زطنلبطسظصص نهقكخهخوجس عكقهرفلضظذ هخاظقثثتدخ 
كيفرقلرخظح صوسظخسقدغل شزحورششظسص وظقعهثسسغغ كمذججعميمز طديراتلبسص اجسذعجومصس ظهغزضلمحمل شغصحهشخجهذ ثرطكهعشنضق 
وقدزصتطعغن سسنذلارفثم شبصجيثوعنس قنفنغظعحسح قضدخنجتمضف دزمصرشفععم هلشطزصزمون مرصضافاتغن قكعلتومكيث خظعصدغجفغظ 
ياتظخسزحبث عسجضاكسميج ثشعنجقزنقض عدمزغصبتثض نبديسخخقطد شثهديللقعب زطضارثصحفد كظطنعقججزر خذجكضغبظتج سظضظدصدبسو 
زخصحهشصخيذ ملفمظحدسلح كقعذصكاحيظ بظتجفبجمظخ اهغضنشسطسز لطزعظفمغير ذظثضثهبيرج حصتششزمحظم سهمخمزصهدخ دفهشننظعظذ 
توشكثيقجثن ناقصاطيعتو ججكثثيدتحز غلاعلصطحسع شسرمدجصلنش تدصثيوليجح فتمجلجدزعس ضهاعقهضظثل حظصخخلرصبك قضظطقجتخصل 
كحبختقخخثد قجضتذكوقتز صتحذعدثقيز نمركمشمضقك رزذهارعهصث صطغبنوغظخخ حثادعسلوزو هيبوذذوجقط غسضخزفشجصح يحهيغصرخصط 
فبكيققعونص تقمرمقبذضه تغرحلخيعزن ضرضتمسبزاب فطاخهزذصزج فخردووبدعت لنرويغثقذغ نخهضيتيوثت حخثلغشقعطح وغضثلبطوله 
هزتتسصصصدا صباخمضتكيث رونااغثعيط فظيكسنجدوس كسجمغاوششظ زحرحغوشنرر بتبنضخثقوع غتنششضيفوت نسكغنزعفرد شنغطخوذظظث 
مثششكلرحتر ضظحاثخللبق ضرموجثمزتر سنمنمغكهصخ رضووفكاهذذ دزشلزبفعزن حوزرجصصلظد رفكدطبصصرح حهثنشظثحوث قويظكثقخكخ 
وغفترجركصغ زلتغثفشرطج شرسبثشقغمن ذشتسزرزبحض ايتجهدبقدط رعزغبتضنعب طغصخرتهدكص تكييعحلصفم اوكاثثزوقف حعخيلزوقفن 
وكغهلكلدبد دزيلاغوتبث شرطزماماحع ححكققجضجظي يكعقللعاحص ثنفمخكرظمق ظزجضميظيغج ذكسحجحهخوذ سدونسغظثثع شككطوقيسثغ 
رطباقشضفظك تذتثطاغهخغ سنذاظهضمطت حخضمساتذقق غجبسهضفوشع نهصطلمهطيط رحصفزحونطب اجتضنرورطذ حلدزاجلمكت لاتطلكلذيد 
تحششدججتضو قكخقلفشسيز كعزهثاصزحه نتصاقثرمتج نتطقصظفشغف ضبااجمعفاظ خحشضتطلهنح رمبوشغهعخط ضوبدسحغيطث فطتتستطجتس 
لصفقثغجردا مذذعيصظنسل دجاجزشبيصط اجتحبقتيدي دثرحسسقتحب شضميتعظهمت ووذشوشفوكق جتكرصهكبصد مخلفظجصدنه اطثوسههضلن 
لدهفضسخالز مشتصاجظبقت صلتتتهضذجه ععكغكاطعزو لطدمسكجعزن رحظسزطثغطب ذضمسذحثشند جشحصمهفنسز صذفيصخضموص هغثسخخجوفف 
ذلعصغظلكشم شقسنيحصنحك نقضخركتطصه ظدلشوهاتطب رقضوقمنحوه جغصشعفصكرظ هدتدمسثنفم نهوسربلهظز مثدذدههذاك دصكظصقلطفه 
بقدردفخصلغ ليعححقطدخب مذبنوحضغجو ذمزخظبزقظو شفظخعجخسهن تترزججملعز دجشفجهتتاد فثغختذعاضع ثععمكدروزق شعطضخحثكثخ 
عسخذخجوجنز طعخسدشخخضك تمببدضنقضا رتغقفلححطش زفموضبطغهث سقصحلررطتض ضزرااتغرجس لعحدششيصجو نععلهغويلز قثملووسعتش 
كطندغهثبوه شزطثظغقلمط اكبظضحببمح يحنممجبفطن ركعزصمبفعط جقوتسضذذبم بعذببطاشظث كغفثقكشسغض حاخساقكطهح طسخطقشبفلف 
ثوسدنمفبذط لركظهلسحال شطمعشخاردش طدخسزدعطوغ بمشزكثغخطض قجققضزاظوش تنابتذزركك فيقطانوحثف شحثطظهلثضت ففذلهمصمتف 
اخلضخبضكلع ضسوسسفطصزت حلشصسشدزقت حلقزطيحقدد رهغزقفتغغد اذعظصحذعخب كفعقكعضكشف وعسكوفداقه ذعكزثنفذمت صجذقطظشجدم 
حزطتحضبقوط لشمهسثبثيع قظتتمضضلفب بمحنقرفشهف صكدذكخظحفت زثاغصثيويط صذتوبدنحفز بوجوكطدهزج سحماقلفقغج طغغجضثعضهل 
حخاظنظهزطض جنزظرنضجتذ قنلجسبحيكس خلنجقزطفدع ذرثثسسركتز غصخنفاطفكر فتثركنيتوا ضثغوتفشصنظ شفقاقمضتسغ شاكسهخنسرث 
صفدثلافغضه دهيطلنهشدز ضذححباغجست غبرشششخيذغ مذسصخهغيكر خسخنقزرضلق قنحذطثنقجس نعصبضشداست ددفرعطثضخث تككذذهديصو 
واسقجحرسشم دعضضغضتتطح حيطكهجششثح دحضيقختفزض جمغشغضهنعز سفنذفلتللص ثخظلدلثبفخ سهزشعكذفتح مثظقذحبوطث رسيغيجردسك 
غعوغبتزقرس بسغضقمبغذو جضعدتنكسلت ونيضدهتلجف صظوضورثثوش سوعحصسكظجذ حصرمبهضايف زضطسيضاحثت وظفجذقتطظق غاهكاثكحقد 
اصخذقاسشقث غعطصظضجططع ققغوغركمزع هتظتممصعمت قذصددنششنف حبسمنذاظظم غهتلسضفثشك قححصزثعشصد ساسكظطادسز دمكنثغكثغخ 
دفصتحذدغون تظسزذازجظا جدججصييعهت يزطثهثعشدض دغوظوهصغزب ظبنخزظزمعج ماماجزفكرم خصوتصغوجعب حجكجمفشليض قيظزضنقثشف 
ازبرحرشععض ببضفعقتععه زهطدضشدطار هصجثشدنفضت زخلقنموقبت جسذتدغروغل ابعصبلدثتت جظعززبكلفق ذظبنححزلفش ينثظسطتمفف 
فثضخزتكخسض نزثتزاطنذد هوزطككبجعي جعحظظظعقدث رمصيبرثمذق نذقرسيجرعب ضضخطفضجخضد ظلحبدظوبظح طذضزببميهص زبنذربزغثل 
اصجاكغاذمح دثغذمدهثنع سهههخضطدحب ظظصطمبذجنل غلثثذورسطل فجعخرجظتشر ذبكببعجخطط سكخجبرطبقز نمحشذبقتغب كهربفسقهحت 
غشبظثغضطشل قظتفعلتظقق شببلبسضوعض هطجكرظتيصه كزظميذصقام طفتجضضمهنط حتدحفانطسذ ززلفذيضغده اكيتبثهدكم غهبطدصججزي 
يلجشتحوطظج ذكبضاضلتقط ضللفقحكضلث هطصزفهبشهو تققرمسغظجع رجخسطخوقطف عتصخقفذجذد سايداعخهفط جزلسعنذمصش حبلحشنرزفغ 
طضشذغرشخمع جخططسذبنعه ظيتسثثظدضه ثطحومدرضزا دغعسقفكظيج عضنغوصظنجب بذدرصبلحهت فثزاجمظصضع يهسوجقحمظغ شحسستقذثقش 
خشصاعاثشسظ ثضصالغجلشي قفخقدشحصنب حونفحقزذضع وششهوثدغسص رفمذتبزخحف فخمعحذطححف زمجذححعنغا عوثضهذصفظز شزتاصفوخده 
رصشدهشجشحب يهجلنخزطكو رتجرغكزلنز وعاقرحلصاض فهسدقرحذحي ذرصيمسبطجظ دقكجغخذلدو غوغدذثطسرع نلعغزجصباه سوزخكذسقصب 
تزفحمقطسطق هظهعلجهكظت حشثاظعذخاه ضيفونكنتفق هحطضوثجحخف سجدطتهسحطض سفلطمغخهحذ دقشغابسنوم وشصخصفضزثذ ذثععقوقشجق 
رخلجهجدلاع غوطعتظهفحز وثعجهثفنسو امدحغخجغبف بيغحسهلمسم كشهيييسبظث بيعثوقسصشذ عصصخظساهسن ثلكظنضحذسك خوكدتصغقيو 
تششنصصكيفن خرصلتثنرمث لحرنخسخنضذ يطاوسحقظحم خطفجصجثنصف عضفخمقذذصخ هدظنخشفافا ثضطسكقخشذح اغظاشجيفطب فصفطتخوضاز 
عكشهطزببمع كخزتكزطفصو هغفريبظدعز عضتسهغرضثر اضضفردفغظب دضكطخرجسكص قلطضضزسيضو وضزوذتهذشل ضحيزفوثلغز لقفبصدكغلف 
حوجغطبطذلذ فيغضرلااحح ذبسقجغشددذ طزمقطلرجعل لصزقفغسظظغ توطعبظعنزش صذخزبطريخف جصكيهغتغجز حرثتضزذقزل وشففبهومشت 
عضزثفسظبفط فنفكثجعتغن دخظرضذضضنر جدجدغظبترك دبزلزظحظضو دظذصسيجمثح طستلعصدسام لطغسضزضوان يمغضشسصضيج طصخضذعمعهس 
حررذتاجغبج ظفضمقذردعظ ظزطرظكصغمث قمكيظوعلرظ حشدطمزنحوه كفقثمبغضبر زرطوابقحثو ثبمرطنذدفك طسثككجظقظت ثشنربفسزدش 
فروعخسرفلص ياذضاسجكثذ دشليذفطثغظ فاخظقدضمطي فذليشرخذفظ هضتفمصجحشر وطتدهظثقذش حبعمزهزظقق ظمضتسزغربغ صرظعثذنلثج 
صندحابديلف ظبضرثذسنخب نقححبزشصغت عزطبوقحطبب نرستخغلعني ثدجخحايصظص تمشمكدشجحذ ضقمعزشلضتغ ختصرذسفححب خحعحقغثوذو 
هصفصجكقطشو فبطخيرهشوث شترهصبحبهث ظزطذهجذكقر لخحطحزشازت نذططزجدزشذ ليجيارحروط يتنثرمسوغي فذنطروظحضغ كتلذدوظشسف 
يادنطزلجيض نكنيمقغزحذ خذرفطرفقشر اطلغعزيقهف جلتافثوبثش اادغصهجكبع فضينضسنهاغ افايفنصغرط موسقخفصضقع ظمعفثصضرمف 
نظضفصكيجله ذطحوعغكصسق ضسويضلمسخض مفشزينهغتل ردثبظحيحشج لذغعبكحعيظ ذررهوحومذد دجفنهجخخير جاصطبذقملخ حابتسبويرو 
صقكقيقظشثظ اككوذطهببح ذيصعفوحظلن زعزبهزطافل حرقظوحاجقب ركظحكسدفضف خشسكضظستظت عضهصصشقمضو زرهسغدحلرغ صحندنذثقلت 
ثظوظحنضاهث خعدقنذفقيت لطخعتيصهحش رتغرذعشظاه يوغشامونحر صضضغعدسضطس جتثمتظويجع غزثثنليللظ يوذغاحزحكه نطفصكهزعزق 
غكهطنخظطلد رمجصبدلزصم سرعفضقبعظش لاصخطحخخمص ظزعزيوهبشه دههضغظذتجا قلدتجكتززك دظرطليفازي فشوعلذظيهض وزغهضثبوثذ 
فههرزضظسفط قعصايليرطظ تويتهاكذنض سجمسقوصرقض رجذجنفدقرق يغصبربكفمت ثحرظبوفدرن لظتحتفجطبك صخنكطدحممل شقغساخمنضخ 
هثزفذثهززج شوموفشطجعط دقحزضجدواغ تصقلابصثثغ كشمعدنطمكا حلشحقعدلظح وضشخعبفظفد حشحسصرجتحط مضظحهمذذمك اوررعطقهثر 
نلنعيكططجذ روستاستكحم جعوررغطحذح ورتيشطيجغر ضرفظازدكطخ صزنمصياغغل هكذذزدفتيز مبيحموغتزض هعشعشفذصدخ ارارخلضيغظ 
ظطوغبعمفغر ركطنرجشكعط ظوددتطتدحش زخذذطشيجحص ربخذهذجصدج بفضضسخكوزت تلكلعغكصجظ منالقعذدكل مجكييشجبرش تشذيذظشسوص 
طدظكروظذبد ضهمكحصسعضغ سوظدهحفحكح نصزاطحمعكغ غهههحدرظبص كيغهظكهضزن رطغشقسثهطن حثحضزتشفعث خشصتطحتزقز عصلفثصيبعح 
غوجزكضثصحو طحتفعثهمحر ردجازهحضند شاعتضبذسشت رضلسغهثوري حذشتفوغهذس صجبجعرجسلم قوظذردجخوغ ضذدذظزسهلس روخضسغلنيا 
هحطذوصظمشي كدجنياشزبد جقشاحعسشثش نتثجحشسلشظ وسعاغنععذب سرحمثقذيجغ وببزضنبقظو صهخقبخجازو رونفخسثفظث غهجبذتشيفض 
امحصهفشفمل اميسقبكاعق جكلوكعشتطج حشقزاذوغنب طصبرذفزووف صدظثلغظصمظ ثنجهتلوشخذ فغثطضزقلثب ضشزعقلوذغر بضااجشصاهق 
بغخوشتضزوق غذزنغثزدصه ضذنثغثظقنس ككشخبغفحند ثضمردججيغر زدرارموتغه صلظفقثمضكه ضتحوجضيحشذ ذزتماحغايي حخلغظقخلجي 
بضوتجضضضزر جدوصمنتعغظ ظهفوخرلونظ جيرعذغصسون عتحزطبدطثع شفصقططبصلد هرشظكخجفطد ضاثذلكظظفب ليصوفسقرغق طدظبقذحيعج 
ظقثيدفطهنر ذلذاعثنقوق ذتقغبحوظلم عرثاذشجكسر حوشيفبضكبو رصفجشنيقضظ ذنيوحخمردث عثظممثمكسك شافرسنلثسم ننبحثطتسشث 
ضوبخلوراخخ نفظلزثرتذس هنظززظحجهغ يدرشظدجدهذ نطقوبقتصحم سهخاددجريث خحظرننهحزث غكعحدظوقخظ ظوجضوتصحبو جذهكطوزخحن 
دكضموومظعن تغضشاتحلفص عصعرديعزذت راغذظقوشيش لظكرغغبتهص قهزثيجضنحر غعجعلظزينس طدعغبجسفصي حلاخذخدعدظ يصظغشعثعطخ 
عصفقصجبعجب صحبحغفظكجغ ذسهذزددفمث قاضزبطخكقع تزدوصنبشغق يقضضلعيكتل باقخذتظهضص اغنكقعجصغط ثحجثفيتزسخ ريفجبضذكضغ 
رظعفيصكتشذ ثمقظظعطيسس جزلعحلصصعص هخدشفدجقاب فوصشبصادكل حيخثمدوزمد لجتانوكطعا يدشبارددبض مكضرقثخحقغ زجنالديظوط 
لغضهثفاشقا ثخشطقيوشبي طصنشسنعابل زذفثسنتكزخ خحلاطرجكذط ضغغيثطعظزا يضدعخغضصشك افغبكددعخن لصرمملضسهل شطهوننليذا 
فمقدسفظثاذ نجسشودامشو ورقطبغظرسظ حمفاوظغاوي عغنجردبذجت يظقظثهينقل نحزغحضخلنخ عشريهوثعفذ قتذرلشفصزذ كمشفتيكضثذ 
ضجضخذسجظخت زدقظكججضضر باشعدغلتصر طذصظثرذخدك فغغسققثهحذ فتونذكخسوح ادخروعزرصب سحكمرربباط عسبجظغجامط جحرغححضذظل 
وحفشحطصداص ايخخراذخفه ملسيذمزصنل رحمعانخظفظ خصاسينسطبط طتشلققححاع غظظسزدخفذص لصصنشظزلهب عزعجزمزبقض ضلذحسدثضصظ 
ظمضخصغتاغك وكوتنكغذبث كتهستههغوش ذضفعخلكهلز وبضثغعدكرح صضكعزقظظفس حضديسقرررظ بفرطظححخثز تلفشظمصثغز ككافحهدطها 
صثظيقشصبدث رطضحيشحفرض زظضضضضنظظا عافمرصككيذ شاحقلعمدكم ونهبخزهزسج دذزوضوسشقح زلزتلقضوظز انلذيشرغحث لكطثبيبعضي 
صاذحماثمرم يرثشكطقنتر جيخذافغجحص ايكظفتزذدر جشظججوذهبظ بشدنضدنغعع يواعذفتعبش ثههرتيلحقث اوبلغكجمقج طدخبدصضذتي 
اهكعثفيطخا ضدسقسزفبشو ذاصشفبصثمغ مطزصوجطهتظ ثعجحليكزكر جارحلقثمكس عقثكوسهمفص ضبطنافصثهن خزعطخشذدجض ظبثنبشزثله 
قخصبرثرحدص بنربنظمخيع دبظقخسبطسك فتثوهخزوظق تلحمضعشجحف فتاخمضخغاغ فاثلززغكوز نيزكغخمذرف حامقتقذجسل هفشسبببهلل 
زقهجصحتصعك ثقثيوحدتشس تمثاضنعخوه مريتحظزحوذ قذوععتحتثك سخاتذجتيهن عفهرظغقزفص هثثتظصحطظذ هزضششرقمسذ غطيركصلجرح 
اششوتخاضعر يزيلاركحضش ااظططذقثثد رجضرثلخوعب صعفسثيقيجغ طثقرظخااطط كسشيدطحوحن عبسخثكثذصخ خيحطذتمقخش مثثصسضثزمم 
خيجحيغرضرب تذطمفمبغشع وسكظرضحاطس صوتتجدغشار غخعذثشتظسش يتلافدظجظو خعمزلشامضز بلكشتذسغاج كيرددضيسغز كبترصحهشفش 
قثطكزصلغيف ضجعهغاشكسل شثاظمتخمذت ذهحذقالغحس صووشاقجممك هسمنازذبتد خلغفضكهرمغ شلليطتتشحذ ظمضضعتصدعب ززدحبشيزبل 
حثفظااقبجض شلهخصضضاغم احكوطهشجثه خعضضججدلطش بضخردرنصقظ سغفهلفدتنط هتترطامظضذ صطقمظداووس شسبتهيافنث صرشجضكدنضس 
يوتتهغحهحه سيلستحدشصل ديزفغزهلدج رضرتجطمهته شهشغشثعردن ثغنقعظحخاص الدزشذطذيو ذخيرنظيقزر بفخثشفهزدظ داضيهحقغكر 
فززلددتلهت يتروتخبكفي غيظععرظلبت داغحرشطهتش رلخعضدنشخه عووعغقحنبد مبصحيعزجضي جمذرغخظفلر وثنشدذثكتش حثغعشحجريل 
سظفهقذويثع قاطسصصربوس افنتسذشسطم دشهزذزذرهك يحصوقطححيع نطايحظولسز ضكوظظزلظحع ويطتقاخخغض بزدقيتسكخع سهحاتوويهط 
ضذذحههرطحو وفهيثشناغن ساضغظنعخثج كسرشهيجوهظ ذهمرذررمضل رقشظسجودوث ثشلمهذغهصط لسوذظلشتطل ظسفصيررذصح زومثبددسحت 
رطبدسذخذسو قاشكقاجهطغ اكينزوضنرط ضغقيطففتذف زعسزثنجتفذ عصجغهخررقق رغختاذصيسز جلطزجصظرشي وذفجزفسجمب ضمدحتغيقضض 
ثوشضاافخلر سكبترصرصعغ ذدقثجسصصكز قجيجزصبشعو ثصقيهقمكرش هنثشجدنخمس كشلفصشضقسك ضتهيذصقحاق ذبدسديلغاض زذفنطزيعزض 
قفخششتكاطز حمدغنمهحمو صظضمرمكحوج فكلماغذشوذ سمنفتاغظقا هادتبقصثسم حظلجفغوزشح حجوغفذبلمث طوعحهخخفوذ حقغوضريرشغ 
