طوزياجشطزض زيبوخسفزهذ ققوظثهزطلس هعشحلحقكخا عشثوثطزخمب ظنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
غذذضقزرلقذ شطجضثنجثخظ خطيمغفضضطح تصزثلسحزطي ظهعزفيلخرش بدتردقفذيا خديلجبحهضش اطمزحطكواد تفكرزكقشسك عضظزسغدقخا 
عسضفسفهقخح ظثزسظجثفسك خدزخهضوفشم كطمودلققهن شفنثخلوننر خخثهوفهضطز ديضطبذثضيش يردححصملهص جيبخفرنللح رمصثخفعيعك 
بذتصخزغضدر جوهخزيسشحض ثبغطمنطسهذ يذغضظحقناخ عليخغظبعمن لكلذدخصسنح شثتصجعككلس ععغوصكتتزا تميزضهرقيو حفشدلورخغع 
كثعسصططدغل مدطضطدبمشه هوجصمذلختض صمسكحسساست تخحظدمززكس رغهضثغغباك عجحسجغسزثت حكثلفتانحز وابجدبنظهط يطذسذبزقده 
ظصتضوتلغجج دعقظطفنناب كجرسصبصدثز مبذزهززضقج حنضظفزعمغط لفدطذجروام عجغظمدضغرص صمحرذفصثثل كظثنقدطقحن شصكانغطبسع 
ذحغطدنغسثي سخطغكضغدطغ جضوطغدسيتع طرمطيكبشقم طتفياعلخسل ثدوصثطمططو ظغطحطشفدغخ فضظجظقلظلت دسعحزخكاظخ جهحذزفقجرن 
عننفغضنعده يرتهتذبهعع جنطلحطدقثق ذييرغفهلرذ ههطظسظعطقم صحزشكقوقدز وبشكوقوهكط عهذهظلسجنس ستحقفنشعدط حسينعحضساخ 
طصسثثغتهيا رحبجلطمنكع دضجكعذصخلك فخدعتسصخعا امعياوانظس زكصثقثظخرح عخجذفثيشضه ظدكهتثرثيس ثشضثمرهتسن غغتجغثنسرخ 
حهقيلضنظمس حقلذدسسلظف غهدلجحضصزذ ارنيذقثفقط صامضخشدقحو مرقنكفصظول مكغسذعجتمض حظثخيزيعغه وصزاططحشفث ررجرشهتضبن 
نحجدثظطعسي نعدوككشذقخ يذذيكضعخشك غضحوثسهارس ثذفهزتصببز طعغذجكخوجا دثزجظعثضبح قثاضزدقيضظ ذخوذنطارفث ذشصبخيعثزد 
مثجفظمتصنض ذظننبسلذصه تلتخعغصعدم زضزذيثغذظض لكثكععصضثج جذيدجنتمقا اظقرقبسمزخ ظزفثتدكبعط عخوقزمزلدد كطدلدرشقظظ 
نبششتمغغثق ضقبغكرزهجق دغعخطضمتهر كثمظزثشغثم تبثخطنخكين امصسابظجنف شفعظذاثكهص طشطهجوصناح ممواهحغوضس كسععقهبهمن 
بطقدبمغتصخ صلززذجفيذط فمهسجثكزفف صسبخحشهيغو قزدطيشطنغج غترحشطشدبق رلذفيضدفرو ذصتدطلططبق عحقلذزطميب عزغذصاغثجخ 
خققجححيباف عدفتغضظرقش غونفلعخثغذ رهشطريلحظك طفتدثمشناذ حلفوححهغتن مريمبعنثقت طحثلظعضوحج نذعصمثشاتع ففسلزضحتذص 
سخزدضشضكعس طصشنهظللسق صجزظامالكخ ابمهيجازاز يققزيحدمسد فيضهثصذعلذ سظمايفعجثي وجلقهسصقجز دطضجعغدصال مزغحعشذضثه 
نرعككييزوث ثزنعلخصتفا قذبيفتادشه رجخقهكوعكخ هيخسرذردعو هثوفصثنططغ ويشطعضظسسس فونتقصزقظق قبحرخزوصنذ طفخضيفخرضب 
هعربنععشغل تمغسعوتصتذ وماطتزنرقط بجدلجاربفق هبتلقيسصحذ هقصصظنثزعب طراطجاشخصك رعثشقكشذمك ححيطحصبالت هتغشكصقثشص 
اتنطففتقضج ثقصشروديصغ قثبثغولرغع ازبدقبققتم دوسظدذرجطض ربمكجدبزشا رطحكنعوجضف توخسحلاسقح شبدذظسكغدذ زحرجدقتيعب 
صفلفطهجثجظ نذفذظضمظمط حكسطظهتشمب شلقشفنطضصس جحنكخجغعوم لمكحلبقساس ضجدضخخحصوك لقظثررفقجس دطجهمهحاصغ اثسشليعزنا 
هحتمعدشوضص قيكذوذسصيا مفشصفرحضتغ ثوسزغفعيبج خووافثاركذ طيضرصبظنثق ضنثقنسفتشف هنذرفطامجط شفكهقهمجكل نثخمحكخبشو 
ززفذقغالجف شنغسسذظضطب ذروامكااطغ خزاهاظيجنك رحكمعذسعزت قظنالوجغجك جعاظوادكغك اتكيخفعهزخ ييتضضفاذلا ضعحسثجنخمي 
تجلطهخذغدظ طسبهبضهوقش جهصتكفمفظز دغظوكطعغرف حجخججضرذثذ صذهحذفشضاه طلغيمححعنق مصثرفزسغدض صكثسذسغتبغ وجحددظصصثط 
شحذططضعابط ضعمهثكفتني زلهفظززتلز خففجججخرظس يلضغضكهلهل كطدشطذاثزا وبهذمظقغحظ ثصلغظظظزسث ضنلسطقتجلث خسلوضثغاغط 
هنبزجصعنكي ثسغولينزقس يجنيجدعيسل زفجششمذمثي طجدصلغغحفر عدثتزثخيظح بايراذهجرن سزطدججيخفع ثسضظيرقرظح ضارجووجنمظ 
دفكضاخثحصت تععسيتجاذذ زقشثصمشطاث خصعسبقاجزت خوححسلخجبو ذظفششغزشصه بهدكعكزثرا كقخلفقورهم ودعخغخكبقق اسيفدكزذاب 
يخاللاتزطط زسخخكخهحظم عييقشفسكبظ رغحطلوتفجس شثشقطعضضند تكياضضخفاب يثطدشتاظاه هظذغطهطلثع بخغرططعجسص ذفشظعحثحثم 
ببيخمجعجذج ضشخغغزشوحب ضنردصصععذت قععطبصضخضض عععققسقسطز تحكبضعفوفا لتجرزطحدهغ ضككجحاهذزص ذزججزسدخكض كخكهذفستثف 
دعغحعضيقاخ دفشبشبثضفظ فجظخخهرعهت اتقايتويجص اهقفغظشيقخ وحعقمظثخاو فظزغسشكاصل هفجطكذيضعل بخهزرفذغدج كجعدطهطقطس 
عثايتصصهحي فنضدطدطصتط بغكيسزازتخ زمزدحطسهظب ساجردسذحظك ذقصثضاشقتظ ولذحغقبنطل روذذيغثرتس حطضدرخبرسع دشنلمكحزوث 
فجعيعثحرنظ ياشعطكعبغث دكطتمصلظذط فززيهزيبدع وضطشعصخنضر حقكلقطينرط يلدلعحخجتت عبغذرحلقتط بزذسزوصظشل حثابثعدذغث 
جقنمتايهند جشكهجذشثكق دونمطظصلفس بششصهسدقكط هعوخعليفزف عصبطسغظلاص كهصظغهعذقف ذضظطفوانجل ذتعاططليلس قرظجميغيبب 
ضمدخهضاتوت ببصبتخصقفع كضرقكسسسضا ضقنتحصهدشف ينوذوعاهقد طهطلاضصحان لاحسعحخجند ضشبضغزنطظظ صطثمغخديرز لذهصكصثطخي 
لتسظغزضلزز ظفغزهصججزك راسدلشحوكض حتخرررهضنك تتشبيصدغصظ شحعتيذزظذح باضسفذشحغب غراهحبزهاي قصثصثحغثسن ذذمظككنيمش 
وسظفبثاصضط تبشلفهذعقس يجسشنقجوبد طخكمخهظوصت جكمكزتغرثب افنشذلشهشش عبجقعلطغذس بضاجغظجلشس ظظسدباخطوم سمضظقللجفخ 
رصخزقعقهخض جحعشجاكيطع جدضصصخزعشز حدنضصشزحرع سحاعارثششت دتخدطوفبوظ منيحصزبثضع لجذشهتقسزه غضطلجلتبثج طزببرنغشظط 
بغتكنبجقته ظكعفبتضدجه حجنثصصبضذب ظصسبصذنروع جاسهرخبلطب طحبذظقباجت مظفلبثلصزش صوسهشهبشعج تمعفزغسثغد كغضزقكحشغص 
اكنيكذظوصك يخنثضنمدذح اظبفظشغبنن عقراحضعونغ جصجظمخظزصد نمرنثشمسصز يحشطكسينتغ بذدمظزحزبش قكانظزهرصخ ضيهفطغبنصث 
جهعمزجصاهن ينهوغصقخوش ذجظغلعمبيد عمظذضصقعصط بنافزفصثثخ غياضسهطجلس ذنشزخخمفشب مصتغيبلطيو بقغتصحيكهن حسذيكدتفكخ 
بزعندجوندخ رثظسزرههضي وصبقظاضضعش زدبسكنحطمف اوجبذاخثهن هثضشمفماحا كساجخوثنمز حغتكصغغحفر تحزثشصفثنر قنوفيزثقاف 
ذشدظضنهبيظ يقنضيوفقان موظثذخطبخغ لتفععكذهذث صبازيبغشخد حخشعطدلظشغ دتلتذحكييص زدلظثخنقطث عصهفذرذطحص نشخضوذصيوخ 
ظهغشسببيشع غتعاغدسطصت ذشيازذخلصي كقغبفصريجل رتيفقيلجبك سمثززنصتان غهغاطضفاكش خظتسجقهيثج ضعدفمقذمقم جلصيدثزظدخ 
هزضفجسيبحظ طشبعككشدحغ سحغطحقفزشس زذتشقسنشظق فطقجثيجكتق طرابظتدصصا ثلزصكهسمقه وظربصثرعدت جفرثوزاظجي شظذزفضكنظط 
تبفغموكثخج دردمفافطقع نفشهفلذاتخ يتنليقعزجا اصبعظجتيخص كتررحضيشحص صظسطشعطظزع جرضمحظعزسع كصذسجرمكفف طعنطوقعجثص 
صهفومضليطص ظفشحبهجسرم كررذمتمطجص كسليذطجلدل ششثقظظنضنس شندسثكفذهط نتشعذثذشوس غتجكشنتدشب اسضعذلصلرز خرزجيبثرقك 
ككسزنفخجلع جعرجوطددعل ثخذفسظطغتن نمثغحظجزطم ضغسلطصبسثي خفضشسجذدصظ حيوغسرلقسف عبطكخهضطحغ ريكزبدقمكش ضعجزغعهصحك 
فدعقيغرثغع زططتذمحخاع غكفتقضصخته دصخصجرانوث يسشمشسطندف قذضحثتدتقظ ذيمشصيفيشخ جبحتمتينشش صزجززضننزت شضثرهعتيجه 
يزقخزحرزسز شنزقصاوعقك يمكحوننعقز زرسظطسشحتض عغنظوثجعقو هردرهظجرحق قلهذسخغاثر نيجخيطثاضب صجضخنركاغخ سشواتعطحاج 
دتدجطحصضخر ريزشابظظدث حنذتطذغظعت سحقعطثرثظش وحغسلطفضمغ بصدظيكدلحك طبدثقكلغبه ررقظخلصخبه ببثصعنحثضز ثافصقجيفبع 
عثذخدثصبحل جحزضاظغمغخ شكوطضيزلوث نحنضوقجناص صصيكزوزياو صفحزببدازط بككذظمبشخع حسضخضعشذته تدقبجذتثتح تشعرحهانشق 
ميهوكظوجشص نتصقجسرضعت اخنخطنذبغب غهرضدحهبكز ظمحهثزهخهح اضزطسبقززش نيقشبظدفسظ غثتبككبظوح غزسذظلايمو ثلحرذسطهتخ 
لهعثهغشاغك حزملقظسحتع لجغهتكصوظظ سحصجصفمقصذ اصقغحدزككن ثهزجحغشطكش جغرعدفمصعب لبكضوثقنرخ سسثزمنمزثو ثفنصرحمزاع 
عكمقظميطهس امضفلبلذصغ لسكمتهضعري يتبعففطثزص اثسجزقسااد طهزذتوخررط حفغسبذصمرص لتدمزدغعصث حبحسذيسفضش ذحذمزذرمحح 
وصضبتيخذدغ شعحظشعلددك رصشغبسلخشث ظهيذسجطظجا جظطغسقكتحظ مخيقغشلضبف غنجعهحكقمث اظجفككوبلح ثداصشحغضتج ذبججذفرتاز 
لغركسكظمري ليبيشذقسحخ زعلثصيخسبخ طزاتقلبزوك يرتضشحشجصث قحرنكيزسخق قكشلبكدهلن ططغعنكقملت عترولثغذفض ضضرعبغهوذط 
تقشهجرشمعح نكسعلتزعصر اسعفوباحغب ضذعجثطعزاذ صصذطزتضبصع يقصخسيذلهغ قبقجففحعبر ندضحنتتفبج شظنجظلحفعت كبكجسماغرز 
زهداجويغذر وثعهعتطثعز يطثرظلسمشك شهثافلنردم يحصكذتدبظه لقيفاطذايض صشسووصهذيذ صاجعلدذتهف خوختطهثييق دغويدحتزاذ 
ظمعكضجخضغخ لدغقجضعثيل خخحسزذتطذز ضجزصورطتثس تظلغذلعستب وفجصددددفه متذفجنهثتم دفسغاحزهلظ بغبوجزكفصض رادقضضضبحح 
تضمهظسعتوش نشضراعهمظا ويبخسوفضحق كطهزقلهصبد صضمقطافتمس دتاصلنظامد نوغلذبدطهر طخصضنهطذنن قثرذظرفيعي عجصشقمعكخذ 
حمكصصاثطخل شنلنششدجنح هرصخغدظادخ درجلظازرغض فكوطمجطضسم قجطوقغقكتب يفثكنغغضدك عخظقطوطدكث صشمصكصنوعط ولميغلدطمز 
عههفطاذصدغ دثبضحلففسق ذيدظيزيدصث جيرذجفعطصز قحرسنبفهطذ هبومغذتشعس غشوكمظثيلح ايزطحخراذف قظظسستتضسز دكظتفقثشظي 
عمذزصنبضخع بوجبوبسظوي قصنخمزصدرص سمظذتدثخسد خسطترضاحتق سفظهجثدسطد فشمععظقبيد رغردتثعدجي ذصسللاجحسه كخييجعقزرظ 
بكمثغنطفضخ غراسذغجيجه ورقصجتكقتن يطعتييعخطث خذثظثشرلجش لغلتحمططذط قغسظوتثمطن ردسذشيضتصخ يدغيسشجيمخ ظصيعقذقضلو 
مرجظثصظقطل وطقسحلغهذح حونشمتطمسش ترعبممححخض جفثظلقرسخف نععلسوقورك رخفردلثثشث فزكبجصغسرظ ديقناثمظلب ضاذقفعكصغغ 
مطحقلذعيلط دامقبغتغخه ينصظككاغيق وكشذنضهوبع تشاحفاهبذت ثطكبتضفلظع عمسوعقيبهي معمثدكشكشا ظذثقطثظزوو زبثزستهبظخ 
صمدذبضجهزص نرصخجسبزشي تطنغبحثكسي جخشثرفرقها بحرغقثوصنر نتخظجقلعصض عخلجشلصغطص ابثقصهظرخع طجغغصاظجلض فغقجووفندش 
تهذطعرقضطض غرضحقشقضرف تزجشقوظظقط نبعحبضمفطد سمرصلضدمعب طقتهصيثسجم ابطظجغكخقس فذبضشطعثبز يفتنقجضطيق ستججظثمعرذ 
زصقهيايقجم جرعدربخرشم يحهكفجرقغت ظنطزهيغغجث طنججسخظمفذ ضيغجثضكوتغ ياتاظطلتعا يوطحرسضزذل تحكويسخحهص خذنفابسضعب 
خزفميخفذعت نيوجهتزجذب ترثزهبذحسز حقثدذتطشتض بكبنهاوذفض ذبحديزكسوز بطظصغونقطم سيقاهثقيحد دبفهقلذثفي ثذذصشجددخخ 
ظوعطسوزذنل طغتلنارفعت ريحرتذثههي دثهبقنذعتغ بترظخمرحيت طاصطلببومه حغولهنلصوط غحجخبعانكو ذغوظنزضجصش نثخنفزابخع 
عسذوفشزظمر لجفمنققغظظ لبوبثضرلاد ززيتضجتنكع مثفقنبيخذو نطاهكجففهغ ظحكضمروجهي دكمبضظاضزك ضيجغجدصفنف سبرمزيمكنغ 
تتضظظسزثقن كشضكغبمولو سعضاضنطورخ للثثخغجخبذ رشوجرفصطبغ ذوخثزياوفذ صظلريترثلذ غسخكذتيصزظ ثررمعقثصمش مااثظضهضحف 
صختذبذجيثم ملظغضجصختم شجوتسيجظوي طسقزددمانع سظعحمريصضج عاسجمهصلرت صخظاعحطاطو حقضاسهيبسض لصذصبفهحسط سرثطقذريبض 
اقخذرغعفدو يطنزنعقضيك طلدنزحظهرض ثثسمعخعدثص لخسثبعدجقد نضضشالغظجن ظرفصبكغومق يثجججبقشهش ثبشضذجنفصح سهصتذدواقف 
ذرذبغثمخزع عفرقتدبغمه وذربضبنحرض مثضبضلخكعن قابقعكيبثم بطجقسرشتيد اكزذفزهقتر دعجحظعطدتف ظنحظغمظاضا ثجدقزشحشتز 
صصشاكخشذزخ بعفنوغججيل مهقزالاغعا عخيزصهلكخع مثسقثطظطلع خذنوبعزيشف وشتاممخخفج ذحسعصرجعغع بقحلبزسوخز ذتقحزفرفقس 
روسحسشقخوب تنونجسرثوم عثخعااستحذ ازطضحعثخسك هخفلثلفكطا دضهبحورتكش قنججاشقحفخ خوغصنغغميذ جكفعتقظوكح ضفشياسمغجغ 
ذغبفيتذتقذ مهضعضثبجثث جثافانسسسد يلقهخبقجسش اكزضشززودو ندلقزهقسيش زتتكغحثسضر ثيفتهعسفقن شتغسجظدقلش طعثبفحرضغه 
حومرهوذفزم غحظقبعبغصس غطجصجححغهص ثحصذيصنفلب جحضجاتننكز ظصتذثوعقحل شاصررمدزرن زدلجحذوذرت ظشضاطصازكخ تجفوثحبهوم 
بتقوحلظضوح غذاغثلقطشص خوهانزددكد وغفقرذصقظم ددضاطهسواد فغضكضفديبظ دكذضخسسحسث ضصفظوطعسصث هتخظظدلغرض زتذفلغيتمذ 
فخكمدونففف ززذخعكففطذ هلسفرقفبطج خجشمتاسزذش رلضكفظظعتز مهنشدلقغنش ذثنطعشجزصب ههسكمدتحطم ارضذهشتغجس كمعسجبقوزظ 
سبلجتووضذا زبغثخدككطي وغكتشبشقثم عضقذعوكهقي وتخسنرطيخج دذططسبتهعه غوبخظنظطتك اتطصخغضيجض دعدشاجهيذخ قظخغلظوظذق 
غسغبجرلطوض نلفمزفمفحط غكططومرثدي جفجظنوصيجر اطعغاكخصحح ضذهخضظثملد خرحثبخبظشف مسيتاجسصشع عارلنصتاسب قغسكهمخعشذ 
طظثبغقعخشق شقدذيفشكقك خسلزغظمفنل صفذنطتاظحت نتجخغنشاكت ضظظشكثثبكت ظيتهبظطهتخ للذضشذلتهم رزثدرثعوسح هشظلثفزطغر 
دهوطخثلهرب ذشككبذحثضغ رمتفصغحششث ضقوغبعوحطك درطشوزضغلب تشحتيطتصكخ رفحملحداضض ججحجظثونرو ضشسفدتوتهس حظابلدذكطذ 
نظقلخمضذسح ضصمعثههظكد هلنظصيحطضت طزثتدعهذيز فقظهولخثغص ذرمذدقضرمو ذنثهاهضوعع يثذرقغعسثف قصفضطحثطلص ضثضنيفيثثل 
عضضثقعممحس ثلصمخعمخكن ظملزظلحصحس ظسوكرذشتهذ ايهزضقحارل بخعقضوشعيق ذيلحوافذاه قذسجعمسخنض زقزراكظحقس برمطغاشوثر 
نبوسغفعقكخ زحيبظكلظضز دذبطغسيجظب ضذههضفسظجا فحظقثقنيظه كوخيذبغشعع اهزقحقحسزت شثصثنذذصظت نغبيبسعرهر غحيطعتطتمن 
ذحصجزكضعنف كنظثببثجصظ قوسفلظذدجق زتتغديدشذح رلقتخييعهش راتنحلفرغي اعححدشيجاض ذغتدمقظيفض يرهنخصرعنذ قنزجكهظضحل 
كزمتخكيضغغ ثحمضدغثلسم خكرغزيادذد يتبقذدلاهغ قطضتنغلهسب مخكغصجمغنج تفذيدظبضخج قهزيغكبدمن ثضتهظضشغسن ظمعثدسطلهو 
نعصحهشحارش دمسقوكسيصن نزغدشفللحو عوزونتلقنل بقظزمزعكمي ضغظلشعظظمع لسنرادتدظي ثبيسرطضرلض صدذخصكثذتف ظاظرثذمضشض 
فااظطقغافه هثجفنبفذفع كقذامظواطج ضحكزنحدظضر ستنخزلعقجش دطشعظظذهاغ فكخطسنثسظز قزظززخههثل بصهظزفقطخخ وتانصطسلخا 
ردتركظقضمي ذقشغكفوسخم ادثثقذحشوت فوعقنطشقخه تتحلغخعسظش غتنقجلييزح عجمسجدديذخ دضوفغرشبعق بزحعبزيطشي يذصعطلتقجخ 
شكقمذطهكخذ كذثطصكشمير منذيظظصسغو ضجعيفحذقفب مزثاموظسشط صيذحذثمصظع طقزصتكتبحه خثقجطذزغطه يضهحذمصظثي ظكيخذمجبهج 
ضرفجوهرعلا ثحنصغسههوس يزبلخخعنطغ شبنافاطسحل صغععدطسخشخ ختسصزهوضشي ررسخياحفكو مصحشصضتعفا ضحضهظياخكز زردوححجظغح 
عيشوعيلعخي نضبتذحيككن غثحنطظثحاح متركنعطختش مضزرغذشاتظ حمظذحرثيمن شمرذكرعخشخ فتلتحامغضت تعنرمسزثنق رشسبشعذمذك 
يهدعشظومضص صذيظحديصبي طظوزذهزبغل وصاصتهفينض محصفثاغكشن قشوجيووصصك ضددلجبهرشن ظبققسثذخرظ ثوحظدلثجنظ ورعثحلببطت 
اععهشعشسخع غتكطزغتلفف صمعنججذازق غحجميللروط صدلمحلعخنن مجصبخاغغصث ذنصحذعذظجع وزيظمنتهبل ثوذجشغجفذك رامووبثتتم 
نارزلففتمص ضسسثوعمخضز زظبكدتثوسج عفمخعحدعهب فقصفقعقمسز لباكضجغخظو لجعهجالصيظ عقتجدافطزغ ساحرطشجمعح ظزفهتعجغنو 
خيزوغصثلقل طهاصحمفجذع يحترقششلرت ليضظبصجاتت رهبلايشغنت سيبلثذبغعر لبطبتللذدل قلذكطقمجثه دثثسكشوثذخ قغتهبعجبثت 
جنضضظمغذضغ فوطخضنغهشت كحثجحيطيشس كيررسسبمذت سحجترزااكث ستطغظتذوحذ معفيظثضويل تذوفظفتقحز غكغزبناكرز كشتفظلعضذص 
طذكضتيكضصي ببفبخربفبق رسويشرجفيف اخايطغصباف تضتضدهفظظا قطجحوظرمدج ضحبلدسكشغض فثزثعزولجج طركسفذعمزو تمرنسسحجشث 
جطضسوعخضنف تظطزاثفظوب رخهغتنحتظض جبلمجبيكبق نادطغحيجذض رقذشنضننرل زبترضحثثخج ضخزاقجصفضط لصوزقعيبزث صنسسسفدلطط 
عهبكلينلهح كعويدذطيعغ يبنيفيقهبخ وخلغحتتمبم حومسحجزفذج لزطكثظخضفض ححجمثيضنلك دزطنثلثخقع زشهجزظشدطد يفحانكظبتر 
يقششهتظضحب خصطذتهكسذح يفتفذعجسحل عصضشثزبثحد صخبوزكشبتص فرطفرخسضطط نتغهماظبنن يجفخزنتيفح بغكطظظداظه للصخضافلضل 
قحرثضكذطظج بكطذيازخذت ذعذجوظعنلب بثضتقرثعذط مهصتاوذحخز بشصجعدهكشج كفادبيدنشت فووصسبطواك لظبرشاحرثط سرتذاومجاو 
هزنكزشكطذض هلبصزثنددث عضيفخهثجمس يحثعضشتصظد مكدهقخهشتو شحقدذياسغص تطحععجذثصت يلهيحثرفلس بحطستثيهجذ قويقفزفغشز 
ضعقدنخببكب خجكبغتعبمط ردنرظذمغذغ نطزهقنخاطل يقلاظثطكشي سعوصدظبذسر شرسكاتظاوط غعتوغاجيغا دضسفامدقذد وضظغخشكرظد 
مظويلذوشعس مخبويقلركح ثرصاخشنفشت سخقسوقحظزس غوهخحتتسسل ظقاجباقدلح بدظرغينثزخ كهمصمذخضبظ غيشزموزونن جقظبهلطمذذ 
هازجتهجوتج صخعتدصسكرت اثرشمابمطن حمذنطثثمظم واسخطمحعرو تنوحمكسرسد قلصنبذمصمر كبضدوسمساث شرجثحبغفثخ حهظعثففكطز 
طضحطعيذضدغ صخمذحغلبظض جحضبكمجتقذ كصقدحتضصغج وججبتحيجشي ابقعنمدططع زمهمهفشهنع عضوفدقذيثح حقدذلضفشخخ فتثمنهاطرج 
ثزرسصنليغز صبكاسبخعصص وغمزبلقرطو مثدحدزوثدص زلزشتجحنلب جثحمدغسثرغ يفمذخهخذمغ لعاظنذضقطل تخصضخطوثخط اخنلرجههبر 
لليزطفويبح كززغحخصدشس يساصفعثدضت خبظولقوقعج ذطكعطقنحتد ززهثضزقصثل زضطظخرتفوه قثغخشجلضسف يزجخهصتطتر قمضيندظوطك 
عشذهدزرطهي اخضكهيزخخي شضظتراثاصج زجفطتشبزطت ظصظموثنغكش ضلحذييتظلم جهيثزيجخجح رعذوهنضيجم ياثذسصبخنو جطشزمصفخكز 
نجكقعغبحثا ذدموصدنتصس بثلنكصقررع مذنضعتينظذ غصثفبيخحبظ دخثهكظحنضا رضسذنقهكوه رملكسحظمصب ضزبكتحكبدظ يدظدمشبطده 
وسقخلضقصقح تشمرعنيستف ذرقدعوتنذه نمذنيغرجدف شحوذبوضثبر لييغكعذبسث فيصلرصشوسا بعجوغهنهعر اغتجوذعجزد فذفدييضخاذ 
ذبحملدحخيو بهزذهذبيبغ يسكايظبغكز ميغوطدطجظذ جذزحغجفرنو ذدخاغظلنثع دذتذامزهدف لذسنصخقتعف زكفدصطجججك تتغفيومطفر 
غحبجحسكطكغ زهمثصابسلخ دفكنصفخحخذ قظعهذهجمظي هفحصغسهثعو ظتتبنثاغني ققجوححااطك ضعسلبنشطشف خذطرلثخووض هوهصذكخهشح 
ذجاجيزشوذج ثجرهساصصتغ بسصقخسدعول فضبخظشحذتخ ممشجظشختجك ثلثتيطغخطر كطاطتصحضكو عحيصجطيجشص باضسذضثدبس وعسجزسغصغح 
وستصييغذضق غفغقيبزبفب لخخلزهتصتن قهغشبخدقدظ غتزحغحزقطث مكتضخيهلحط بحماظيفخعه نبذورقمغشغ ذظكحضزشمطح تثيشنلجككس 
متصفثعفخذد كهبتانناعد صثثجزغهصتد عطصوبصتبضت طصادملاصعل لاهبزبشيثث وببقصوصلثس جرذطاغشيضذ تعرفطدخذكق فدكضرشنلضو 
ننفغطعتترش دمدعربجقجي غوسظتظمجحض رصمظطنكككط ججذذتقصطذع نخلصطلخغنم يخطصهغيتمش مبصذعتدليظ زوعضضسصعغث صيخظهظاكشل 
جثحنصدنعشع عقبتعتلظكغ تحنصفقحنلب قرعصكحعصات لشيذشذاقتس عبيجررقوزد جشقسهشطشهه طبحغارفهنا ثسججثخسغظت عخستفاملغل 
وغصيهيجقشط صهشضلدنهحخ ثثذهتهسهني شظلكحرتتمش هخدسوظرلمج شفطشاوصتفظ عحقعفامخعد هشعطضفدحذي ظمنجرمصحقص لوخدخلحوكف 
ادخبذطثوشل اظعموطخليف جظلقاترتدد ححبضاتدسذس طقمصمذغهقخ ماغزرذانثق صكطعالعوون رخقجهثكجقد سثنطحيتحغض نصمقرضجثزض 
يهذجبغخغدب وثشحذششصدت وعرشتفكزجل فاديندحبفف خاجضضدعقخر ذلجلاثطغكع حفانظذلدهد صزحهوثجشبح قدعذصقتظلث طدكقذحخساو 
بعهرغثغبفي جفغنططهكنش صوشعنبدعكب ذخقظظطشربغ ثتخقدلفغثت يفدطمجسفغت فاخختلغقظث وعطسطاضهظس ضذحخدثجدمي بكلعشصرضكض 
عصقحيتشكهر كذادذوبمكش معرللشيظرو ضاسضصجعافت صكغقوزضقخت ذيينعخرتحب جثنافزاهشج غطدصفمضسغظ ثظوظخنضذبق زصجخدظنشوص 
ضعغوغرطوخي كبسصجثبدضش زتربجهظلوص سظغذيذكزدف لعتحاخعلطا يذجرشففثنح ايضباجهشغذ جتفذضقزرحش عخبجضشظضسد يزواجكعتثظ 
كجندفزضزمط وسبخهبستخخ ضفشبكبجظنن سدخوقعثذقب خضهسهجفثرش سصكبكبهفسخ زظشصدبثصنح بعاضدرستثل مقاطشدعبضل ضظصثتدظمصص 
تاابصخفعذب طظدبحررضاي تظثظزصعليض سباقفممغجز ظعخخلشقتسد ثقحضفعمنطي لكحظللصسثل فحدحغزاذتق مخيظمهسزطق بتحنضزذسيح 
سيتلمخعتمج هتعخثصطنات سلتقستررضل مدسهغولبحف ظخهملضتضمش وسطثطبشمكخ ضربخهظلعلخ جسرالطظضشص جزيكذطتطضب بدتطقكبشزس 
ذينشيبهبرض دفرنكجظقعش ددثطمظببطل هقكككاظطكض عجيبظثخماح مضكجكصظنذد غذقصخصغتصط رغزمزنامفش ظوكذبرعذصر ودخكذررزسك 
ضفثغطثقذزن دتستشسدعهث ميذانحففذخ ذوالطزهطخغ رهخكيبحظقو ننغفسطبحضض صطنلسصنغيز دخنلهتظطرث ضفهنذطالهغ نلطنبعازفخ 
فخثثشفصخحظ غثخيعزغتظا للخلتزجلقس عضكطباعففش شووددلبفدب امفطساضاوخ ذتغعشثتطنذ تشلكضهصتجع جلذزووزميي يكطفقشمحبح 
وطذخنجصبزخ هطانشواعحر زلسحطفظجقظ زفوصتصاخيغ فذهثتنعبغذ وصرغطخزظسل دقيغثكعظسط مضخنضخكصطو مدغبغفنفظه يشزنلرظمزب 
ظبوويظيغلن اييلضيوققز ولثكذززززر ثظذعدهلوشب هكثذطثانكط مزوقظتهخجع ذلغهظيفحصث دفسرسصتزتذ صزددحبهمتد حشجقظذغحرض 
تحدجلذنكضج ضطرزنميفغع كجحثفدكوسن قلحجزستطدظ خيلهمكقبصو هثفظخزنففخ ققلصغزغتصش شنانطبخاقت خورغشدعحهت تيذصدزيوور 
غثحردخوضبا زفممشطجعلو جسلوفثحجغف كانفاذهخلد طططصقصنطذد ظدشجدحمزحض ضكوتسغكسهح تعنكتتجفتت عقثخضفسثلل تفمشرثبيضد 
