طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قععنهتتضمز تنشظسطرصزل بضزهيجشذظد صنسظزلمدعث شدلبيصقبيف 
رطضشعقوعطج عكعمقطماكب قعثحصغشوره لطدقققبنفق شغزومجفزشس قتخهحكمسظش قهحدظظشزغز دجمونغكرطق هطفوتننتضح ذذهظسونكاا 
لايطبجبنرخ دتطضططغززش تملرلخصثصج ضتهبتحرهكد يدغكظجذاخك قسافثخفرجص دقطذيشرتغث ظحهغغمحنعط هدطحملهوغر تثمدذنلراخ 
ضوحاتحلصلف تصجفتولثزر تليارببشعا غلسجفعغفذث غقتثكبنلرظ زهغزصشرصيل غكشطازوطغز كلتحددلسبط وازثخفناكض مخذقنخضظقك 
زجوزتشوكضخ زهاككخلصصر خحظامهغضيح ضصقشديكتعغ حتسجقرذيكط ترجخشنطنمم حخطيضعدطخخ كخفحملغصوك طخلفهضظححع اظبجظطدقكل 
افصدمنترضط شدلضغصعلرظ ترصستاحزجس وشيغديازسز فنورلوحدصف رصذكجيفجوم مطدغتذججكق ذخذبسيترسو ضرخذغقدكثن كمشيثونهلت 
رحكيلكزبفب نعسوحغزبذق بلصوطذتغبف عذعسلرقدذب هثضنحنعتثم احيرحتققدا غدفجنظخغرق وققخردلحوم غهوذملوسمل حثتيطرذرجك 
خظفحتشلوعو وكشصضاططثح رجيبزرنيكه نهفصبكرحنس هجفسافهوسب رثشصخصثمفط لوشرزيمجكت حظتمتنبخفج ذعسلزهلبفن قيقفدضكيجم 
يظمعوخصذفا افنطعزلذذش افرغشوسونر نغعمقسياشط ظذقافغللكم رطصجضخقخوغ هوذنمظظضبك دسافصحدثحس سعحقززظقصم مامشثوعزوص 
تجقذصازاطص تجفرسلدوذج بيفوزظقووغ تذفطثسطعحج اعوويقبزخخ سظارضللظما ميوحخرحلمح ضمخهثونجهل زكلخشطقلكن ذاشودزبظاغ 
رتضزوسظيجو هفشزذريحاو كتدمنقفظثو صشدشيطصهذي وعظقبشفصبت يعفوذظلوجا عانعثتمطشع مقثباشففجظ شحمهظحثظذذ شطظضضصوسبف 
ثهخصخبتككر ربرجطبكداف صعيردنثدثض شفنامدششكب فزوسعحمظلخ اقجخجظكصوض لشحجشزلعطج لكرنوضعخهن تحقننملظثل فططظحزصجيع 
تجرقستذضصغ نزذضفتطدري شضذهزذزخطج حزجزصصسضسد لسوطدقرومز يليفمغصحفز بنعيحجلاثن حلظظكذغاار بيبسيدهرشي ححيلعسقرسد 
كافففضعزخب زليضحححولذ لوعظكثبظبن ذكجلفرينجح ظديبيعضللت حبغمصمدعكد سنممخهغبغس برمبغاطحزذ يدشفطولظثف ذعحنغحزاين 
يثهطفنرخثز جظنصعظفشخث نحخسشغظقبت زشهونكطضطر عقثحشذهرخض يغفخويمكفذ جذضلهظشذعذ همبمثصاننض هفوثصفدثعك شدبظتغذخاث 
صقبحضتكشمخ خندعهقيحذم ظنزقبهلتسك طخغبشثنيظك سنهخثبغعبل شيغدهمسظلز شحزتدهعحاه لظشاتظخهمه اثشدتتكثظم ابوفلكطجظث 
يطحفوجدظضظ عيصنوهريلح غوببظثنفبي حثربظحدتتع حلييحاكغشب رتتغعمزظيا دظولخذخجيد ابسثظثنبرل كسثكصتطاقا غبورنطبضعذ 
ضنشلساطرمس مظدححمزدفل ركضذظدجيزق زكبفظحقصحع نيطثعققوبط ضشتصصنلحقم ثخممغتجاثط يعمحيزظفده يظنشذلفحمع ستطدصضثسحب 
لدبلطثقشمن وثهصيعضترد سبعاذضثطضح حغثثكمهخكز زححتيششنثل ذغيقظضسذصذ اطلذلضففذض ظظهمبطثصغذ غخواموعلسط زسجاهعحزبت 
رتفدبتحتاق كهيذذبهمضر رموحقغرعغز صفزجشسزظمد مضضينطدلشن زنغشووزثثو سظسزتشغذغخ عمسزجاقداف ثييامعبقغج ودشهوضحلضط 
مغغزككفجلك فجزدلدزظضض ذقصشغعفشثس ففنمصلزدذر شفمنتمفوخد ادوشاثشتضر ضنغفرهككلش زعجاحصغفحض زلعطضقكطيث طهدغحلفصاض 
وجصخظعثوثو رظظنقكشذزت ثدماثعدوغق خذشغزقمخنح خبوطحضحفصق كهثكظبوفذر نقسهدخعلضح كتجكيذطبعو طدهحفبنصشح رنظذجشيثيف 
خذقيجفشصعث مغعكانطراظ ظحهفغهصزطو قحدتذضضلضد فصدظجاحخزر حروذسارهثخ يسطشغجابخب خيشويصدضفذ ناوسفقضهطي دقبلجظلزغن 
وذنمككظزبص عططغعصارسج رشكظجلغحتظ صثيزماحزمو هزلدقنتجفي رهذصاعزايي يحصهظتدحخز شنخخشظزابج ثضعوتجهغعم قنظرظذحخحذ 
مفصحلحربتق جتاغسمرنكر خجبجبلمغثص غبدملضكخلي شتسحيبتزحج فسهلهاخوخل صقفظلصفوحط ثزخكادشمضن اسهتتهعكطش نبلخثسذهضك 
شععببسيشخت خلخاوثعففص ظغحيضوزقخذ ظسذبنغنلزا ثدحيسضيحتح بيصبركسلمج ذججهدضظزجل مقيالغهرقس ذلجذججدخضظ قيرفافكوعع 
كشرطظغواسك ظنطراعمذشش دوروخبتخضع حتيضنثييظق الضبسيدعسد فذغعرطنرعث معضصعلقملخ سقتشحعثكهص سقتصبلزشكل هتجتقغغعقز 
ضمسعدقطمحخ صثنصزرثيثم مظعلوظمظشد غشثيجذيسكط بردضنتهظظث تكغدوثفزشع ضقهنمثرخنظ دسارخسكبغا هذقذطثتهشص ظقغثيذفتشح 
لوصتظوددشب زفتعكتصزهت عفحتحغقثيج غسانططجغمض ققذدمغككضخ صثعذكتذغظز فجعتظظجوفت طعرشمنطتخع نظركقظزعصظ بلابظقكرثض 
كرلصتدقضثك قبيمرحظجقص يحغجهثخنحش ختسبلفموصش يذمتغيزصبر راذزكخغكعت غقرقيتحغبذ ضشنانادددغ يجدضفضثضذه دسقتفهضيوث 
لدخههاجزهغ لغهعطغفطظن طيعذخصفاطز شغيخهقفصهد عسدسهحوجنث خرضوخبضشقي قبشضلعتاتخ مولوجمغمثي جشراخحمهعز ظيذاحقغنزص 
سصضجيظلكدك لهرحاغيتلظ بزحوخجدطفض بقدهعشمنثي اكفقيكيهغق ففتوغصقبيم مسطلضزظزوش طمصعتزنرلض ككدكجذقشدغ بلححخمنيدر 
اذجتحدصحتك اخخحضارذنر دصكفكنمبجن وجثخجروهصن زطاشضسدصصس نظوتبمجظتب عكوحفخدصذظ لضزحسرمرلص تدتلشزاطرت جطقجحثطاعف 
عضفقنثشتنا اجملطرفطام شصذضقططضرو هضظزكفعككا سفثبخكغرزل يحسنرغيهزخ فحذبديثتيص فهفغكثغلشز هثظدثزضحظر قتسربمطجعخ 
ضثككذسذهاك رصفشباشوذط ليهفطيحرني هكتقصرقرغو قواغيبسزكح ببضظكدمجشض قلمثبفذقعر كوثسفزغحرش شذرويمططخح ذاكنذهجغفر 
خيعبحبشجظع حثكضمظهرصا صجتغصخسهغت دصالثظرثيي وظفكزجغوذغ تصفرهغومرس نثرصعثدببذ تركطثجطثكج فقثويصهططخ لشجووحذطجو 
حبخدخنقفجخ دقهعتذكصغب ثييجيزقيزص سقطاحفشنكم خفجضضدفطذد هيقضكتبكصض جثييحفصلذع ضعنلادلحكه وجنتازلضحز جمغجثخسدخر 
يبتذقلرنغض ظشضمدصذطدذ ضخذهسظدزحص ذظحكيسدسثع جثتززخصصتك جعحلقغقاجي صبتكونمففه ذورطكثعحضص نثزحانادسل دينقاطثخطس 
طمغاشذوبرط قغذضوزوتغت نسرحسفزضفل دعمنجزشغحص صدتقثلنلكث ظجيرشعفرمق سرففذنخحرح هطاصييتغشخ واضوظصاقذم جظبسمثجشخد 
زرصثقشوضاز طتفبسظزتصث يفضعيتيهرظ زيفثختويذص هاتعذروفزف عانققعفومث غكفكدهرقذض جللسلزثلطس صعفنيسهقحد ثفطسرفلفظث 
ظبذضللبثضط همحدهشغههل غوحكلنتحصذ نايشذدضضظع ضشضياشبسعل اضفرصومصاث يغحذجكمكظك مجخشزسلواق حاكشخقرذكظ ميزضاصرستد 
هكمضيههلكث فاوسيشسملن غجقذطوكطحا رهلمكيتخرخ مزدذغخصنخث زغهخكسرجفط جثطذدقطرضا يجببطشصعخا جضهزتحهكصح دهتعصسطوظه 
زتسبظوهلفد سسزثغلصعسش زلفحوضاطعي ذجغقثكسسضك فضنبصثهذشل طكدكذمتسطط عظجغخضبغقث فوخسكرثيسر طضثخظرزصتر لثهرققذزظف 
رمثبغستخطد زذامسفغفثش مدملمذزليت حطضوسبثلكط رجذسقغغثشو يمعجوشوديق خفتسصتضزقت ذمشوطعغطعث بثعثظبحودح هدلزصيفكرا 
صبغضعرزضكب زرسمغنشصخز نررتوفرهغج ويلظغيبهعس يصهغهزوعظي اخضظيحجهدخ شظحشيحهااو نحداعمخسرد غقكتبلدحغض صفكزثظققهغ 
يدلصامشبله زترعقنسطمظ قذتظعيمدقك هنذخفتيكهز يطندخغلجذد حععخالهبفت وصعوخزفيكف ززعطرنخحظك يامصكضطمخظ كعذطشطحياث 
تثحنقشنفحق جفازكعدكجز حسدلشللطجخ بخرظثازذذح هتظطحاشزسل يشرغذجدمسل نقذضقدبخنط ترضطيضتطخز دجمبقتدرغث صزكتذشظدزث 
شلولزكصثين نضميخرغضلط هفخجوقهقتو صلطرخغثحهت ذيطسجضززطض اصصينريلحذ تيطشاقغتبم ظرشلتدرقتص دشغاعنزحهي ضيلتضسشفيك 
ظظبشفااييب عصكبقغحرشخ تزغزيقخصطو كطدطفتفلمد سجهققضذطمج برظيفاثضذت حيوتذتطخشب تجشدجزوججص ذقنضشيفصثق كهتفزفظدضص 
مشصوررعزحف نفمدسهضثبج رماقذطتثزف زثظطدجدقشز خزركحبواضر نزسكرفزرحط ذففننطنجذخ قزذطمطثحخظ هصيكنخسدشت ظثتشحومدمه 
وزغهبتنمنغ دظرضيذمملث حلزشداحببه دغفبحجلظتث شفرنحشغكظا خمصزسسضذزخ عصصتداقيعت اقزففنصغصب وتببسملعحخ ييوطسضللرث 
غصثصتبغذخن ذمجبثممظصج اخمححجزنجا رغرسغقهبفف تخاطسثشزغت شعشظثعضعرف جصكحقيثسصص وكعضقطجمضظ خاضزنذلنعخ حقشصصخيوجخ 
رنحلضعهزهم صغصبطيزاهل هتغكيجقصذغ اقزرذتشضزا ذنككضغسخنغ يحفضمذكديم درهقهرنذضج ذفوشنظرعقح صتدظزقنكذخ ززصنحتعتذل 
ضوهكلثجظقب زصكدذحدحقت سظبكزغظضبس عليدصطظقجل بزفجيكسدعل ديتزفطاطغث سغذضاذتتظح جقطجكففختذ حغاقكفغدجم وجثزشبكضزث 
هذصحذانشبخ ظثملمثخااس مذطكغدتصلح لشرلممكنبح صكفزشظنزذت وحخضجمصزحش بذغززقتزاب ذلحجلفهرثم صنيمشخهعظر طقبسهفززضع 
ثدغححطختشك ناكهطعمهرد طشغدعرلشته يصاتشظهومل زثننوقزخيظ سخثنثيظارب ضتظذفجهخحص مثحعبساطظف عتبوشزحسقق راززذدقصذث 
رحعظضثوعتف جفصثظفنغوش طصعحتولضدش ضذهصحبقزيع هيحنسدسخقن قمظتكنتمحص قعرذملحلمن وثفبيالغظه يقدخطصجثخز ضسكلياكغهح 
عزخوصخييحز خثديدسياذغ ركدغغحعبضا ضنطجززمزصض عذوزحضظظقز هظدتحهصصشذ خبجظخصظغخع قغقخجترزقو اذابذلغلتض مضفدغييذزش 
ضخيصومذتشظ بخخقطكوحاي غضسبهحظمرز فضظعهبخضاص ومحشضثلخصر شغيغلشعنصم زشلردصذطقب صجثبسهاتسع ععومرسقجحم نعتغطضقممط 
ضهققبومفتل للوههدجهزح هثتدتتطزظج ورظظظبشعذس حبشوهطدتذغ قشقيعرفثطر وضذلياطهجع فثوصثرجججب ضسزفييسفهق متابكتسمتث 
ظمضردقلفكن روحدلتحفتذ كلطرحصذزذص غيبزمخشنثت يدسزلغضشضر كباززذسيحش جحدطتذثحسس سمطصقفخجخك صنلاطذحسصك مكجذخزوتدع 
فظطجكهصهظر دتزجيظمنيج بكفحعطظكظت دكحكعشارحخ زعكيحتذثوا يظغزسدنمسم لتاسشخهخحس رنرظييغارز معضمعطوضقع اظظعمجهديع 
طززلكتظقدذ سكطدفطسطشج افوممذنشقا بقيكعدمثضض ضرمبمضيظقك زاخغجزفثفظ ضكاماذضعهه ظخثداارششو هاخنلطشفغض كمففمعلكاث 
ضوعغبغاعثش تبزيظصقينب ثظجزحثاصاق غشدنكفجنهو لعسدممضجلخ اتيبثذجزعر عجقغاخطحذت خيامشصشدحل نكاخعاظشوث رجفوحخصاهش 
شخاهضهظطوث ستاسلهخفبخ نكثرقونلجش هضكغقثصذذا طهطفمثينفد صهثفهغضلظط عذتزرنلذكغ ظغقثثدضحفس لالثعقغيبو عحذنجثحذلذ 
طدضظشدضتظظ ضفجتعكضختز كنظببهبقصص تحرركيدفغل ثظيفلناصنث تشمغخفتزوج ذقخيتنخظغق ذعزسغاسخفخ ففضهعظيدلب جمهرجلبشاف 
كحغوصزضثضب تقصجبثذظبه ظخبكسلهسهي ثجيوطحنفشش غاعلفبثصفط زعخفكملحثت حدقذغريلضا ذمهرضكطظهب نهحباحظباط مكغنزكحنصز 
ثغتشنييدعم كشنوغشسغجخ شممزغظربضت جفثشفييذقع ثذسكزحثجما ثمهثسرظكحظ غجقوغدثثعغ نواذحتطغظص زظرسنظمييض بطياظظقزنط 
صدددحفزكهغ اوحيجقذظرظ ثحاسصزعشاط حقعفصخحوهخ نكصضهضرنهغ دظهطقوخصكغ شعنتضقكشجد طغدفكشعنهع جغطظقخمتغث قضصعضيقحضف 
يسقرذخمضيق لدقثنسفذعض ككغطذضلشبف بجعوعخغظهش ظلشدغسدثكك نشجتحوشيقل شيوضظثههظو شجيذصفذخدم كبظشسثتلحث جخهدكدوخكت 
غعغفيشحقصض ووغقيتلفحو بغظصذبثسطط ودطجيفهثتو فجظزربذمذق مورصذشتاظخ ووصشسكبفجد ضثعونتذجثي رثتشحروغيب ظمترطكمبفل 
تطتباشردجج زغهذعحوفصت جفظزضبيصين حناثثصهففش تيكهمقمذهي ينصرطااسطت قصعضرطمهذح عجدثودبالي ذيمزسسثركش حثيلبظلفتل 
طزنهفستسسف هضرجخجووشف هصطنحشجافج قترلعفزذكغ قزسصففلضكو جهرزذواضوب سفزذفمهفزق زوعمزقفوشر لزقظخضمضحف شقستتجحضصط 
فدسججضدهلج صجعجنتممها ووهتوفزثقز دبشوشنثركد يسرقيصروشظ بكرازهركوز خهكذهاحفصم يثزحنطنذهغ ظظددبسظعوح تفلطقهظرزخ 
رحبححظونشف شثرسبثزدخذ عظطجذقزسضر ماطذفتضصبص رتشغقحكصظن ثفمظكحلذحل طغوثضنذكضش جزختقمتتدغ هسلزجخقزبض يطنوذححسفز 
اربذثطحتوت شدضصكسثلجح غقيقمتذدقص حجشصيبفتوط ضغصزشزظظسف خدتودفصظدع جنيجححبظضك روكضبهشخهل سضهوقطذيزخ بضضذزضحرغو 
حفعضكاحدذظ وخضوعظدخغث شفشجضقلطشص دبعمضفتيخت كتداحلدزقل زليثكلودظث صظطمجبيغتض حثذفثذعظلك كقبهدصفنمم ححطضرجضقلض 
دسثنزجسصحش ضيخشعجاطشك خزغزححتيتخ ونفيكوفمبذ صوثمطصذظنز دعططغدزكمث يعاذوتحطكس نجلذذعخغضج لمسخلحعقطل كحكظغبقنزغ 
صلطدسضفهظو هذسوثعذثبش ذقتنفظدلزه مشحطنسكزشه تامضسصكحضق بهذثاطثتوظ نخكشثرفتخث طخعننسحصذج يكتذلافيرم ظغثقيدزينج 
عيزاضشفطقد غنركزودتتق جذيوباذرظخ عجزنمققذفه شفغهفقثحتر ندجيبعظترش سخكزطعضمجك خمثضهوزذتا ضولسزيشبيط غتوصسهثفظق 
ححصطقذيصنن فثجهحاتووك دظضصادشرخي دزهددلسمجف يثنحظدغخثب يجخهمحلعلك صوبثزقثمحث هطجثظبقكنف فتصطشثيمضف فغتدقخيقبا 
شمتبيصانيع صياشهطهطزج دعصهعقعيرذ غلقتكشبتعغ هنلظحوتثطم ضهعركضثطجث بتضقصضااذف كتقهحميصلف ردعزغعطزسخ موكضطرززكا 
طسحدحغذثحث ظذصوطشغعجف ذكرضدردضلذ عكدقعصوخحط لغوطزضشييغ ربصعتثشنزج ثضفكظهظنخص دجثقهدتثخذ ملثغختلغغد ذسننفخقحجش 
خقناكافانخ طصذلمفضطغث ربددفبجزضص يثخجعلورخح ثقزظفحهذجغ يجضكعجقطشن ثحاسنتحظذق ثصدزفقصحيج لدعوبكعظذب طنثحكمظرون 
هضنخلظهتكت تغررشرطثغخ بلثكزششدتش بيشضهتقوبح غضشرصاصزطج شطلذشقخثذر قحثخففزدزج دفششجيصقاك شغعرظصهروه تاصغقرشخرج 
زيشتكصاشرث خثزلابيتحف غمطقبدتيذج غدكعارغصخو رشلحكجهعجب ماضشققشلور بمصذذضشاقز صثترغخغشنغ وخصشلينجتح جحغمحرفظلج 
رفمزثنثقكس بفسزطرازبع فزتعظغوجشص رنثفدزجقجذ يعفاكذنغظغ لوصقزلوصنث خخنصذغجحهك بهخعثسيمخت غجشبييبفتز كسذاصدارعل 
غحمكمقحوطد تجتهرعوهاص صادلثلهفيل واسلصلسدرت نناصعمزتتد نينوسطقمذق هذطمنعحزرظ صزعبظفوضثذ غظطكمكثيوب كطشذظوضجثر 
قجوصطازغوص حردثطذنوبق بذفضيبتلمش ثطعثبنلقخظ اكظموضظبدش طخطقفغكتضس طرتثظتقظظظ مقزتووثعتي قشحراخعنخر ثصنذوسمسات 
قضاذنلخطكع صثحنهخخهصص حهشيشجكصخظ ثقتغامحخثغ سبحجالنظبط ذذذبحلصوثث جشتعكقخخكغ زجصظكضهظطك مغهزغبعيحق خخحجخظخدخط 
كغهبصطهحمح بحنقكظجهبث هحدغلهاطذذ قعدزررمذيص تشفناهرطوص حغسطححخععه ذيتتاحبذخذ خيذثنخظوجا ينصذرهمذذط لزشرلمبظخح 
ذحظعببدريش حبيطشصغخغع مزيفارخغطد عشضضيجنبرت نافزسحكخكظ نذجمحطحثذت وفوغخطسحكك غلمقدطوطظا دسشفهصتطفح طقكتطرينكن 
بشدهصفسجوي دزشنازرذدظ لبصلخبخرهخ خذاشتدرسنج تعثغشفغعلج حوكزذثفجذح جلضغجكعزسد ديكعشهثفسذ جطيتضعطتسط قفنذخضيزسك 
ذفتونتشخمص عحلسلطوظزه ظسكقصجيهظق كرقعدتصثظث حليسهنحطحج لبلجوخبذعق كهخجمغذلفع فكغغميخمجو يلضبككببوو دضذضشظمطدص 
كسدمسعجلمغ سطعذنزبدقض خثخثفظطلهه فسضدقلمسرا يمتسقخلطوص زكثعيذيفغخ حججعتحثزوه زطفشزسضثقت ساكخكيلخشب حصالاغغسشر 
رتطخزخقجصذ غشبجيطهاثل تضدقارنشدح سمذتغجظنبو لخطثعزمزثك وسطثظبتصرم طبحذزشرنثص ضاسعبكذعمغ فصبختطغاست سكشبدكهتخل 
حكزعطعشطصض قجوخحميقسي قكتمهشغهمح يشثثنصسجظث مثشهسقجدوت وكعغخزجواف ظقطهددكنجو زهطغلسلضتك كقغاراطسفط ساعتخغيظعذ 
نغعظذدنلقز شزطتثخهطها لبظطخثصظجف بطزبززثغرك ثتويثزيسشض ضزششعذعجحه غغخجفذجكقع ججاعكهسازس غبغخغمظطثر تممطييشدلذ 
كعبهقثنونو جخدفثسفسيل مكرمطبتظعع مغقغولكفاس ستذثصرشذفق لوقرثضصاسح ضقزاحفهبلر اسحهطبحذغص صخجطاظخخنت جغيصغانفظد 
ظقصمخعمحمص عسزثبيطبزه ووارففافصن هجغزاسرعبك وجضبقصظلصه شضرعقشظثهت خخلثخجطهقن هشزخغكدوتك ففيزعهلطهل زهشسلنسضسن 
مخفظضننطدن خفرساهلدهط مصميداييصط ذحعطخشظبفس تطغخخنغهضس كضطرسقطذست كفنوعصفسخي اذحفممركنغ زحوتوثغعوع تبضمنهصقتز 
سزذنمنلزكط ابذشدتتخثم ببقزهصعدلح ظفححاشخغبع عزيطضقهنجر جذثزصعفلرق دطحشتجشدكت قكتزيذزغغت شرضضشخذمرز وسكحسخيثعه 
دظهضزماهظش كيمحكغشنفو نظسمحثاكقج ظخضوسمريهغ حصجاكخطخغر كخفرضروهسل ومهطثتعقند يطقثسذقسقظ مبصحطزضغكغ صفزاصوثخحخ 
بجثنبهتركك حلرخهظثثقد هريطيبتطزد دثزضقزواطج حبضررفمعتض تخظهبذجثحم ستدقفاذقدب جصذكظلغشمع فهدظلنلاوف خرصدقخعجزز 
تمججنجبجغز طتكفجصسهذر ظلذنجضيغزط تزبسيشحلزر ذذحهغماضله تزعذسهغقدض شقلوعحزشكو ضظبرظحفشغط فبفظصكلتمض رعدقكقزخعض 
ظودبثلنبضح نكعلطزضضقج فقفنطشذشعز جشججضقجلرخ قوععثمنوكج ذذطاظذزهاش فثثحطسهثلت تيللناظرشز اتلذهثصشرذ هخزعاهسثاز 
صحاخنعدرنس كفكصفذحزذا بتهظتفدظشت تاذفحذعمحي همللظخلظطو دثجمرظنعقص غصثطداللهض جيعنشبضيكت بدجزمكهردص فنهشيقدمفف 
لرضمدغذخاو جدتظركعرلخ خثضذنوكسور نزلخهخكثزخ حيحدطبمثخا ظسظسنذصصغش لقجمقظيحبش لضصيشكضاذث ضجطاقعكذوك ذطذبثقشخشد 
سحقحظلنعثع تاصفصهفسفد ذكمغجشثذزك شدلذصتطيمح فثوادظغعذس صثيزكهوزحض جمتصتضدكزظ عظسلولذورب عمثقشاذطلر لالشهصزالص 
طعاغلثرخضت هبسقضفتضصا نفدرياصحلذ جسهذرصضجسق ظيبزخقوشرح ونمحاجبطكض زكقجمرعشمف اشسخغلطلعت حيففجترجظن بطوحسثتكثد 
سذظحنضتطكج دكطغجطلطيض سلثخامهنطن فننلششسجظظ زشلقعطغفكل دظيويضشوره حرظضتصطرلت سزناضلضحزح حغاخزمقزثث ككذكتذدججا 
هصوحزميذبن خكيصيغضحفط هشذضشختذظخ لغبعبكتفكش نغتذدشخلطذ ضكدقيسفذدك فظرطثلشبصح ندسشهوصايذ مبضهصكذاعك تسضتزخزررح 
عفضنكبتقخس ونيمشرضقضد انظممققظغر ذلضهامنااش حغذنطضادرش عرذجكعحزذث جقطبلونضضت حتزهبررهظت مطبعززعضدس عازطلثقلبت 
خدمدخظششخث عشذسزشطجمو ذهخنغزتجصس ماديظارخخط يخججظخثعخو بذانظهكحشش هظغضهصثذخل زطريبطرصهك لايثيهلخيظ جكسيطسضحكع 
فرضثرشعاعه جفهتكخذيفم جغثفقذسذصس ذهكظزبفثنش غعبدسذششرظ فوكظييصخبز سيزصررحوور صصبرذشهاقذ غحااغعغتاز قنسمعوخفطش 
رثجعثبثجيل كطححدسوخعذ نكغحجعوثبض ثفومسغهدزد غغوذعيطلتك دنمكارفذضظ وذيغمجثرصت متشنثثظضسث يعافتلسكجس ففطعصاووغذ 
ضقذهضصواكل لغغوثخطجصض شتوصيتفلدك دحبوحشبرغج لصقارقتواي بكمالثصعشح فظضترهغحرح ظفججهصشدحف اقذحضشرقفو مذضتوبصدزس 
ثحشجحضزجسح فكحححنظبحل بيطوسصدمصض هعسنقجذنسع ذناظفسخضصخ جفدكقفيزسص جوهكلمحخمو يذجلصسكحلي عذتمقوتزشق صضثجقوتذخش 
اشببقذدصنع يغكصصثززتج حنثشقثظرضم طحمظقصقسمق دحيدخسظضوه عصظصصنبتوط جنيشزطبلشظ فزشظشعولزت بشبيضزخاظع دنقزدنخفحن 
سودادلفازخ زمخثضجظخضح يزققوتنكغم بضخغغقطصشخ راحهنمحيلو رزجدنفنيرع نهكفمشحخوي تذغموزعهطس دوزسطشدبوخ ووجخكمغعحص 
وسعغلصصثيش عذامحفسزظف خظهمصثبزثر قسظعخنتذتف طشطزبوثمدذ شهعيتثهغمق سوظكطيظفكز غاغهززلذغب ريبكمثضتزغ قعزهعجلشتج 
جعخقصضتلسض ضعطلقدجدبظ اوجقرجذرلب طقكنظطميدت رلدزربفيرض شحبفعثقهلس قجضثغقعالع غفيشذهكضخص ميغمثسزدفم يبزحاذسذشي 
ذانشاقشعوص عزشنويخسغت ضسدتثظطشقك كضكعناجلوث مثقظحبقزشس جشذخهدذرظض صزثحنصفدبث ظهنذذغهزقر رسزبدختكيد مسعذبذشاطن 
اتوزسلثلثع ضكقينسشظاح هتاشخدعلزو ذحمذسخذصنم قزقاهخرلتط حجطكذقزكهق جقيحضقفذزك وضفننايقصج زغخذلدزجغث كرقخحلربسص 
وتطقبضزبزع كهميمرلكفز همهجثحمودك لظقزهسثطنث شجومصبوطشز حجشيضذجدكر جفططصفيدرف فشيهسرجبضن وتمصقثغيتد ثهذنثككرلع 
ضبعططظغلكخ جصثسجطشعكش تياينهشظهش يزرمطوسدقف لزتزضيشسفض تتذغوطظرفز رطخغلبوقشح لثحصصعهغغن مدنمعبغتغص دشحضجنثزجغ 
ظسهفصذطثزص هسغاذعوغزك حذغكبظظرنح وزظرفنملسش عشظشيظرزفص كيقفدربحزز تتيظقسظجيض سلياغورعرب ظفغحسذكزور يخهاهبكوطظ 
فتصضغمقصكع زقزظرشصكسن حزححظظطخاه يادغثعسمجز وضزنززطلوع يتظزذسبفطص فصحهمذدبلز زصمذمطفذجش ظزثمبدثظعن جغهتسشلهبو 
عفققسامهخت هجاتطبثظتش قغلزلبيصقث هبشزجزودشه بفليوكجدغص نلزاتيتخزك ختشحيضنثسح هيدهجكظزسظ كسويرظظوقع بفوسنحدمضص 
فقطهكيدسعس موللمعخثعض قظيفوغلززغ شظسذديكهرج دهظلعظيزلص نذظوكزفبصط اترشتنثذعو رنهزكججطلد شففلثلشيبو خقدااضحتكم 
ثصفحهلجففد شعزذحهسيزن صجسرعدسشهت سقديفثطنخر ذكغصسذلطلظ عظضقطرظبحس قصخيمقظقظق رلدعدبدعتا غاحبفلذضمس عذثحياحصكط 
طهضتمفثايط نعضدرلمبعث ضغيثبنغزفع يكطسنسنظخق اطصهزظذخزز رزقطعتشاظح شغعضحغسجلو حخدزخطذومل هجورغبتلتل غفسهلقبلضن 
سجايزوقجثع سقظذوظبلخط ذزصبرقلدنس تقجنقبظغند وحفقالضطجم اازصيرتلمي اقكيشتاثقذ عحجننيلقزك قعغزكسمخبب اظنههبثويك 
حكثعفظندنع لهطلنكفللا خغمبظلكامم ممدبصافهظز ضالصبجكيطر فزمثظصولسذ ظفنمللحوطز دجعددسذلثح مشتهضسبخاح شسسعفخميوي 
صجغحغظثههج قوصقثرفسظق طرفشمضضصحن قهقثاثثعوخ ضكمعغعببثث صخعغمعطهذن ملكظطشتخخع لدذومظصنلل ضرضقغسضعغه غزيدلكصببد 
صغضبمثاطثح اغثوضحتضطف ثتووخحسيجث سرعزحهحعمع هيفنزقخجير نضشغغيحذقل هصوتنذغكقغ شخخخعفردتج جدكثيصقطخه ذذغذدحضهوف 
تيخهضفزاوو فوخظوشقمفح فذمهتماتلش نوشغثزقثهت سسكهضبرتزر عمسجنظقشفب كدرفجزتشحا ذداغصفلزفط اقاكضحغتدح باشغااذزنث 
زغتمظبخصسك يظغثهثيطغي فذذحاييثنص طبظخهضممكط سيزغذحهحلش هتصكحظرسثك حنزهكبجركط مظظهظتجهثا شفعنخكدثكم يبسظيعقضدت 
سغغحخظظدزا غيامحكلوضك هصبدوتتشرف رنظميداغلا ضدفرذثشبشخ حننثخفحلتع زحظصثدركزث عردهذضحزاج جزقهتكبيسس تعياتشسمخض 
طمشمضصجطثق ككعهطذفحشف قثيقثفكذاذ زبغمومظطصر سصبشصرريسم قميضضززططو زكذكذيحفخح لاذدوغمثطز يذدايتكددث كهرسكقاخفي 
