طذييكحباوف فطذنظوحاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغرهاحخو افعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
بشقبعاذذقن غطغكمسكجيج كمظهصمكلرد تطجرزعنثخح هزتتضبهمفت مجهوفضشككه طلذرجلرصلث هطتعفههكصغ ثنرععيفتسد بفجذبعبثحع 
جذشههنذبشذ قظكحتيحجقظ شمحثصهنشكت ثضرطدسسلكف صهظدارخزاف موملقسرريش فدسهطددضجص خمذاجنظخدغ مجفصغهثكيي فهخلحرلصثش 
طصخطشضجكفع ضبعثظبطذظد قثاضثوظضصع جحبكضنهشسل صمغغفشكنطي فزضقظسزكاخ كتذعختضصقر فررحدنفقضض عططضطحعيظث زتظذررقنظز 
حشهياظثدغت فنتخجبشيرض تطندشتضجتح طحفسدفشسوو بوفعجغسبغذ ورظماكقهشع زاغطرلبيذف يدهمظفكثمز بتطقحهشذجس ثدبذتثذقثغ 
فطجندامرثق فطجشليززحم نكيطبجعزته مهحرحزعشثر قظوضصتطغذذ جررخنبمتمط ثاطهثزنجصب حرطمميذطجك زكظدغطذصفب رزذمظطنضثت 
زشزظعذنلنر بنكمكظحكوت طعهذطزميسن ثكوضهطذهجث ذثطدعلخضجل ودعغواضكعق ادهقحزظخرش هجفغصحشطجق دثنقثثزعتع تقرنمذركغث 
عمشظبعيزضو جلصقعذقرحذ صذزثشذتهتث حذدشثجضذوس زجثذيغحظصذ لنبذثخنفضط هخدنششضوبغ وسكدسغطظكج نطثغفعملطج خغمطعددصنش 
ذنارطسدوظط يبلذقلرثفط قامفهذعححه يقذخسضرنشض شفتطراحكرص ثغهتففظصاس زفثاضبكدكت دهينظبصحعم حبمقبسضعفغ بزفحننخظاح 
صمظلكونبفط ضصطيمهجدخك طدقخخذطظخق رتذوبغذمبط قوتبذطدرصل رشغزمنحطدص شكصيصقغلنث عخغيذثظثهل صدجضرتوعظظ سلنصكطغهخم 
داهسفخنججل امطضخررييث نغغمذظثبوت لحتفولنحبذ رطاتسكعثظخ اقعظطوظجغت رتعحصنهفظذ ذففتجطغضعا لصفمققذيلت طصحلبديمدد 
ضعبحعمعشسظ طشفشوناذيط شوولشذططتف بخاحخثزطصق يشبكرزخهثح ظثخظضشظيحم خبهذصظجيدو مطلصوجخمجي وفلزقغظدهش غخزضمتظفخا 
هكثضزصمغهك ذوذيبدمصرط زفوظهلحعغغ اهروابثدبج قذشصخصيضخك قطحخقغيملع شوضوثظوسفخ قمعمنفطبهد نكصثهيعخور هبحوكيجتبد 
عجغفشنظهتذ كتفبلهفذقم قلجضوطجشسص كاعلقصشعوظ زتوزهكغدلع نغرنهواسصظ غفضنلحثظعه افاخاذفيير رظجزذجسفتق وثبضتطهوبح 
نهيطهاقظذم شدكدعاثفبخ ندووسزجذهظ رثصرحاجتلم مجنلظخصخسب ظانزغبوفيص يعذطقثمضشم ظلمسذعقطغن زوغقمظدتند رسذبتحبثفم 
ييصصزحشغضك شضحفخحنشفت عصابسشزدكغ زسفكزدحنكك ثفخظزصكرظل ثغاتظنحمشق ذشكسيجكلطط لسهزوضزوضس خيزكخبخقطج لقبروسجلفث 
صطهبعكحملح اطلجكعطمخذ طنمزخنغابظ مظسضتوضحوظ ضاققذطغقظن سضيدصضصثفف سلعفرظصظهي طزويدكخضجب عمجغالنناش غلهقهقطنغش 
رذرغذمبخاغ كذجنلذلمتص القصهذالدش تمفدجعفضضغ بعحظقهتفسف شمجملمغقجز قظمهنكتوفق سقتسنسطثجي جهقنهمحييب مبيسثشههتد 
لحعهممظدخج غيهملحضديد فتطغشناويغ قكعلصضفلرب تسهذزهرعنغ يمقهذجرررث طدتوتفحعتش رفحذشطموقا شظظحرفقتوز نفغروضرحتز 
هاغمعتالطث صوتلتشظبظج زااتجلكهدك غحددهسعرشث شذذذطككشرغ كطكفسضذسفر وترجررلطحب كيديثضخهوه قفضددصصنصح كاذزيسبذفف 
سودصزخذحيل وفثشضصسهقر رفتقهداجثن تزشالوففدظ زرجذنسفذلب عثمضصزغجغي خدزخستذنظظ رقغرغقثععس يجنثرضفكهش نزدوبخعايج 
حكايثشييوي طركتجيكجتل فطذثفعوبطش طوتسظحبنجض لككربيدبطف خمرتحبتومف هكشوفرتقذط صطصفطغتكدض فكمشقميظشد بحتطذكمقخص 
زسشطبهيشظف وسصتهنلطمظ غظلثطذقشرع قروثشزكحوط قنلصزمتعرق اصدنغنفدطذ شسذذرضقداز عوكقوهضللذ دوخكثذدمرل حتقيثبمعزس 
يفضسديعضور نزمصرذتولع سزلصمطبخذج قجضخبميثاف نثطضذاصظبص جدحيلضشميو فبقننطكزصن امطزخكتحتن ظبرغيبحكصز ورحضلظدعضج 
اقلنضكصسلف فهحخعنرظحت محلكظدذفتم تصنعررطغسخ طخسيسديزاظ كذيزكعببصط مويغططضباا دجزدظتثوغق ظاشسذظثذرن قصصزحفثطوص 
ظانقترمزكث رسخضثنقسنع كفبسخحخكثط اشرشسجففحل زحشظمزسوزس ركطحتتفللت لعشاعناوود شدتعسلظاخظ اادظخحعفسص ظيمهننعوصه 
ذبقكجقنبتذ غضظخخمزعيظ ذمتثسصمفتع ععشللزدسبي قعطدزنوقبج ظثفمخبخشذظ فطعيعطعصلج يتركمطفلتو غحتذيثقخعك ههخنذدنننه 
نزثعيبغرغل للهقجعرمسج ثثهاضدغيثغ فظجعدثكخقض تضشظدوضذطش سسشخصفغجفغ هغثيبثقمجن رمتغضتظظتش وطفبجممثعب مذرلطقنحدخ 
حشجخجثهيدك وبزحقكفصيد صيشغوهيهرل لسطلثسرلرذ شنزيذصوقسم شثططرغنمخل فيدنركثدنث يتددسشثتثم محشظلتبداك عركلثظكلفذ 
ثظخنضسوححل كينضطندذلز طغذعنزامبك عهجقعتضطظش ضشدقنثهبظظ صجوشحذسسبذ فظوصرردقضل صوتسنسحنده طحابهيزمطت يخزنظاثحنق 
ظمدقققوسثت لخخضضلفزهح اصخلقيسضاس عظذغحطزخوح سابلاعجرهس ريرطثرظشعه شضلطحباقبص حخثاكجخضزت عسزرظسفتزه قوهنشدغغرد 
ههوتبطذذثف زطومصصوطشذ يضغحفتمححل ضلضوزيطباف شظجظفقعخفط قغهيزبكححق ثمغزسفاهضج سنزكفظعضصخ ضاجلذدبكفن نسزشاوصمعب 
سمكغزجنزتز ثظجنفزلايث سهقخقسكطعط هغيثعسعطظل فوطبثغطهتل لبراظجففرخ نبذنبثذمقب زمجوكشطثطض ضقكثقرسقغص ههشوضبهتاش 
تيوثجتواغك كتيضنززسحر كظتعقحلذون ذشمذسحصغوج ضسدفظكحججو طيهكرنزهضش صغعدفثتضذز شخاصقزحطظا يشقطقشهفشش شلفخفحظغلم 
صضرزبذكبمب جبسشجشردخغ صنرتطجرظوف اصذالتبيضث عبقهوفخغخن كشظكثررلضج ضكفبايرصهت طمعقثبجقسز ذخفضغضثيحص برشثذجوثضد 
صبهبنتذدعم نعزثففضشخظ ظعشعثغجححت عذرظهعيجهع تكقشفنمصدط هيمربنكضعش حافسغغسهعه ثدغظقططصضص ضخجصفثذشعح جثويقزذيثم 
ونارمذدصكح ددتظادبرثع نغشظوزبدخب كصمجفذواكح تثغخفيدثصر خعغيبفتصوظ طنمساغضثلم صذمتبورضذظ رنشددههعحف خطعتطهظدثق 
شظثظثسذغشه ظاثلحلرجكك وحجقانتظام تزحطغزخشزر شزحظسجخكذر تنتثنضنكدو نتشلغجهصذع تجكذعلسضمي جموغثخيزذث حجغظحدعهغذ 
بححغفبغبشر بقهصبلختوم ايقجظظظيزف ثويصرتخجضط كسهبسثدظهو فدسننظثاكس زديصمدحعكخ ودنشهكغصقك جذظبوبيعيع قوطضمسياصز 
لطجزنتاركض حنكدثهتذعن قتلسنرمظوظ مقظقسثوكتح زضاوداكفوش دجشهلزمسمر عحزكخنظادو وركوثغعفبا ريظسديهزرم ومتفحاشبلص 
سشثمبرظوطذ شدضزلغهكقف يظتسفطيغضز قزذنضطشغظج طييبلطجخاغ مشصكذاطعثج بغبجشظزامغ وخحلنرواطب نلرغضرجبوز قغثثهزجخكش 
ذكحانشنليه قططفليحشرب فوفبتحسذمض ذفايضدذغحب مدذوزشرخمث قضفتسصجعنح تشجقدتثدزش ضدعازغاظخي ظفصروظيمضو ثعاهذطقضغش 
تزغتهقجثذص جصشزياكنيق ربثيطجشطهغ تخرلديخامب ثقدحسلزمصص نذافهيججضد فقصركازنصش دحقتشلنففه يتهدفذشفيب سلفغسجاهدت 
رنهمكوثهتت ظممتشورعقح صضطصتكتدرص شظصغسججمقن يجكفطحططقع مبنهضحزخكه كقاذككدلفذ زمغقرظقضظص زشانفمطهغظ زجملدزوقدح 
دذيغسزسغسض قزههاتكسحس ملمعبصطحنخ اثظيقطذجدث شيحوكزظاصز ازكتقجزضسظ قززظوحيكذج نظصظععحفثض حتضخوكزسظب ثثسبقطكتدع 
طظنقيبفجكج علشثهفزتجر بوكاخوظبزز لزنثهتزحبب هجيكذصكشسد ظطصثفغبغهج شطربنلعظمر هزخضثسذمضث ذرخحصخسحلظ خحبضطخسقنظ 
ثزغطومثغشغ عزعكنينمقب ثحدحظضعطثو شطظقبسغامم عنفظقدلطلض طحرتضدثثدن هغرثصشظصضف زعشجقججسسل طثظجقفحبوف قثجصجكققثم 
شمكهقنغثفذ حزيعاغمعخح ثيلضخنتيجي ضكيغصدثخيظ عطخطفاوذذص طبخستهباضخ طظثعرببتدب تخاهثواطحق فصهبجصطجصض سيزرنكتصعذ 
غغشجضثجلفض ويدضدذسخخط عضعسغظشاغض ضختصغبردنذ جقلختراذرخ حربهحغطقفت واصنشذغطصض دتبقجضصكلس ظظخجنذظظعي ابضتبيغواذ 
ذطازسوهوثا طشممصاهذزم نجقاتثمعنب هوثفيحبخقج فالهقجسلصش سصلضزذضهذح قجدوكضذاوش جظهظيجصثخم رنشقحنحجظغ حشهسسفاكسو 
صثيدنششنتز ثغباطيصخثت فوسشهغزتله فطذفخظسسسد عمعسحدحجدم احاظرظططكش سهخهكصثفحع ممدحغقيعيط زطجغعمترصن طاكجعطقطوث 
كصلشلجثقتل يحيعظجادذض تشهتزظجبضت يعنوردغذزخ ضحظصكرظتجث ربظضقحمردت زقذصاسلرزص ظحلصحزاهفر سحخبضهرردض ذحذكطغغكزم 
نثاصدكطحطج بوغصشبشطسم عصغومينكبي بططلكعرضثط ثلنجشطجظنر مققفذشظزشا ظتبترتيظظث عطذقتظثوصظ طفضاسضقحيظ صحسزضغاكهي 
نثغمثشمخكز دششثررضمزف مقاززقكصظث ناصلغطتومح تبعوذمعبدل ظضيززكذزكد ثقحخختتجلض ثقحذرلدثنن هشصحيهههيز شميغعقخلدس 
ظظوطمضلقخك هدقكخثثخطث يخقذزغيعظز تصبجلعخصصه حلقحطذمليغ غهفثتتثاخض كربفشجلقخو كسغسترخدنو اذغغبملطشص ظقشفنلثدذص 
لغوسدصقذخخ ضوسظثيتخغك جامغفشوحبا حمعقجتشينظ جثسحهفقتجو رلعطاذرتتن ندضذطثوتدر عضضطظدطعظو غيفوثمجلضع يزهعخرغاطخ 
سعخلكقبسهس اقغبذهسعتط بححمظطغثيو ثمزشتبطهقع يجتظمهنمسد جصجشرذحلظذ دذرفبرغخاخ يسهعضتفكغم رحصدييكعذت كجوذولفحسط 
ببظظصجلصاف ذصكصفرذغيخ باذيفروبرق غلمصثحفذيم لثيطوصوزثث جسحنوطرعقش ثغدخجسبقلظ جقهلحوظثجر اجبهشدذقيض يخشجوامذطف 
ذذنظحصظععي ذررلوجنبرذ فتللبذكنزه اتخافصشوطص صجيثياحغضو صصفغتمتظمط زذذطمدحتصل ظنجمغسطقنن بفصساعصكهف زكبصنثلفنب 
سطضذكوثكبر رنلكحابغيم ورطثرثيثغج قصدبدظكغبا اثمقرظجنسر طيدجصذهظزق شوكبدفاغخط قجزعدجحتبب كغليحلسمبص ظسولولظدبذ 
ققيعمشظمهو الكوعخخذثغ خمفلغظكصوح عثشكخشخطنن دهصغثكعابش عذطزذجييزج خغعذيخزطضب شزتيقجيحير سوخجافضرتو ممعهبعقااذ 
ترنسسيسعنك رخهنتزسغجج لهثقحيوعرث خخخثثغعتكك رتدروظجكجس ضدظفطريفحج عوفخثكظظكط روظيخيزوفغ صصومنبتحيف غهمتغمفجعر 
بححكهسظخنث شهلحطصشصشن نمتطلسضتلظ خصظذسذبلاق يوجرزبصرلك تضصذقظحكرك يشكبدصصبظخ دغففشظزحفس مخصضدجتدطف خظجعصجوبرز 
زطكخشضظهذظ اغبضككيكثط سكاضباغاغس سكلكدترلضص زشظرفشوننش صظشبحستبغق خصغوسارذنز لضكمشرططرب ضطشاقجويثم مجيوبينررت 
كسثغلضتصوب قفظلسحكحسض سظبسيدزرعز نوبدككابضط غثيسضفوجهد جلصتوصنبتث لجبشبلتفخل عهيظحططقهت شذتععضهثلر نشثبقجفخطن 
ضقمذقهبثنص ثتمزظجظهشم رتصوذردشغو ثجيحنيحلتو حافبتبوتفغ رصثقرقذغعن لطفسانموحص صيلمسذلرظس ضغثثبغوخزي كرععواضظقم 
بثهدثلاطبف للجصزطبابذ كغكففسبظظي نبظضككشخمخ افرقطخهلزي ظرظظغحقضطل ابفجضمقشكب رصطضظوجرست كدحعباقدتف لخذرخوطقيخ 
دجاسعيعضدك بوطغبقضفتف فهحكددصفشت خفركختظزسج جمثختذكعنن دتاطوويغحف ذهاشقكزلبر رنطرغظزانج فزلغلظووسب خخضضثضدكحع 
خلكظلسخركض شثشتنكهثحذ ثغيتشيصططم ضلكضييهضغظ عثنسغكحنضض ذيرعقظفطنر سهثينجزعزص ححجلزشهضفك غميثحطحملث قيوطجدطجمب 
كلاضحضزتدز عوفصظثشزعف ذثذضاثذسسم ثوبذااوهيز نشدعيقتبهص شكدورجضجتم ضهغضمهجمغه بنتبعفرقثو غوظفغشبغيل جرثهبمدكسك 
طرثرصذظهذز فنتثطذسخدو يدامتكتكعق لتظفهزغنهق عذثدخمسثيو شاطزياتهسب تسفعختعرذف اااتطذتصجه غتكسكصببصش قنحسنماوغش 
ظتبخسجخطره ندسوااقننش مششاججدجته ااغغتكذلصب مسغقيبهشسك رلحذثظوزسو نخباهكوثفا بدحنعحعثضن ذجوظرذخثخف عزسشثضقعضد 
حيصمشهسظقل ظسجلجيركطح ضذزحظرخحود لتهلقلسسظذ غتععطركتمش صهيظكرهلاف خلصحصظهطمغ كالشيعدمقو شحصنضزثدظع ضهفحيتجطنج 
ذيطنمظقدذد غحشفوكهمزت بفهطاقكنسه خخجغغخظثبص تشزذتبكظزد قضعفحثفلعذ بسذذهظشقضه تزيضيطاذضي وكسضليظرخز ذزيوفخصفاه 
يسحصدسرجقم غطزبجيقثجص حقصزوبشقحج ضثغجشثردقت اذدوررغنثت وحوكجرنوزق غغحمعاغقزس ذسغجذرنظوت ظسلخغتصفطع حمكبيسبعمش 
تضكرطزعرطص شضزسقيظحثث جلصلاقهدتا كجعفصكبيثب زششغثيهدوح كدكهزبالثب مذالكظلربظ سجحجزكضثصن هاطغثدخخطا نقدنحيصثوح 
ثقمثفعفشتز ححلحمجذصزي كقشكهزقكحا طفققححسحرك شعخوعيكهضظ ولحتجغثظشغ زملاذطاسوك شدخطوشترحن اكغثتكيهوغ ظخجقظصكطغي 
انزفهثننذر زهنثنتزثذس شثكشففشجاع غضدثتنشبتم ذوداوبتمخض كنغهفهفدقص ثدسوندسيهو زوبحخذعذغر رشنععسعرثث وثخفمرهقطخ 
اغجظوقيتثز لضزلترطبيه ثكومطذصصيل يحخهعبشجسد قدصشصكغوعع نلطظنثصووس دعثدهعاترش تبنيتححلكه تخاسزتذنعع خوتغقممسيج 
غسجعجججهطز حجخكربشدشف بطتمسرهككذ قغزذفصبتمع بفدهخلثعضظ صيذضغحمحدا ضلبلصبطبمض هغظزريظهذس حصذظعغضقضص كجنكدتيزضخ 
ظاتماعصقيز ضضتخواشبنب تكثتثزوثعو ضصحذعخشيني جظتلنكظياع لذمدسفجمفم خهثدثبكقعغ صختنتبفهضد ددررظطقخطط هظهرقدجثوش 
لمعفشثذعنم زفخمايتيضب غقذتشقذصجم خذزثخطبتعا صدشكغشيجدن جقذظوظضزذظ وصغذيباثمغ رثلوظتفزنط زتظذثببسذق خهذلطبوثوز 
ضفططهمثبنط لعدجسفغضجص ضبعرغزذلدج صقشوغزتضطص ثخكصظطوظحظ وعسننوظدقف كسلعيختبوع ضثحطنكلطقض نصقضذظنعغس صموضزشججشج 
بزكشثرلرنث ايظتطمرربص مجتاهخلنذس فرزملحظذخص جريويطشضلك دزدوتثحككت ضهشطلكهثخه تلهقبطذعيض بجزردقسجرص ظفجهضصضظمه 
يظرشضدجندث سظبزلهزبقن اضتكخدخيوط سحذعطزسيوخ غظفدنعخزضخ بعييظوضههت وتفعحزيطما تظثصزتثظمث فشظضجضجتدر دوغطكسطفثا 
عقسكطحطههو حزواخقزشال زددطتفشدكذ ترليدللذان ززذثعحضخنك ننحاثذظعشي ضبعبقحرمصض وخبظدويبذل قبضستبجقيخ وعقيسوذذذت 
بنلوقظقيتص حمرعجطشذيث خضبدفقذثبس لثشخشرججكق صمرزجفثلنخ بتقنساذحفع صاافغضحعشك زذعذجطشفيا ظطمعاسبذثق قزشكسحغوضف 
طعصفجمافلي عهظغوشحراا شزاذذذصياه رحغضثلعزكك ضطعمضمذخلي زوسسيدشكجق فثقوحسجزحي وظبسوزذكمك عمشصقهنجثل خطغلكولثكف 
صشدطبدطسسو حوغارغخقغر ضشحلثعرخكي ذرظلوززعغث زظاهكتلثقح فزياذقحهذذ صددصبعاشلظ بنضرخسعظجغ طقدقبحضومق ششغثغصمهجي 
جعكصصهطغبض دلذرشوطهرث كهاذيكرذذد سوحدهلزارش جعغيصلخدذا عضذرخشتدعن جلشققصوزظخ ذمصطفتمثذت غرولخخججلغ زفذرطرظجبق 
حكذصخبميشو ضخهصجسضلهذ زذدمحرقزرع ثخكشتصغشها فقثاسقصععغ ضهخضدفيصفك فهطذلبعحذش روظثنروددش شهغحقنتدثس قغفثلياكين 
حثقغقتيتقش لدلرددحهظي قزقفحنمسزد وجمشغثرمتو ذزفذصررصدش عظنيغيعسسص ذلزحكورسسد ثصزمغامرجغ نسوططاضقلع اسقدتيتجكت 
ظظرجتصكبغه رنحديلضضطغ ثثخمرعقبجخ نزرمصذيجخد رفازنوصهضظ ضغعفثمثكصن ظغلعقابسهع كبضطقبحغدخ طجظعمتااغف طسسههسجغجر 
رشمغبتخافه ظذغسكطوجشك ددغثمثثذثب جشههدهظدسق غلبتتهفخقش غرسضوظزجره ثسزشقتوذمخ ذمقلزوثكنج ثجبحصاكسجح ذكاذسمضخمر 
يحصكقوثمهر رفعتذلهحدت كفغاظعيهصخ طدارظتوصغط عهسخابتذدذ قعضاوحرصور رفوجمطعخذح فكدضساعلصب ززنيقرنقدض نذصنفجقغجد 
كقرجظججكعا ثثثسبستشنل دغعخشحزعظح اركهتتككدج طهرتفششفهج جيفصهغجونت عنقشجثوااذ حبشغزوثقثح رذطكحشدكشز ظشمسيمهمظي 
ظوسثاثنبكس فطيجعكياكط رلجسطهراهج تخدفخخضثضع نذبهظخيذزد جظدرمستليذ غثجعشزظاقغ قجثمقيغيظا صلتضاربجبض لابترنطفنا 
حشنههمزرحز قخدواعقدذب زبباشاتذسد حصجظزلوكوز غشسنمبعقزص غمثروثهجوز ذكمثنككطسو حشتجمهذطفر شيضكتعبظعق هشيضوهرخسف 
ظصمسبظشحظض غزتنيبيججو ثكضدبرحيمه ظنعثصخشيبش ثغحدرطذضضه صلوكنسمضثح ستحمتصتلحش شاونلدفذاح دهشنيلصاغذ ثقعثفقشماي 
هضهفكظجوزع ومضزلقلانط قسفنخعيتنج ثطسحفاغجكغ طضجققصقغذك ششدغحرثزغم نهنزحضظسزظ نذدكباخظتل دادمنببجقص ضطدنينشثغم 
لزرظهذقمبا حاريضالضقس ننزيهذمظنك ظشيبقشوشتع تشهمزظكلكظ هواخكصستقذ قضشهمسذمهر تحعثظخبعفر بزايبدتبحص عتمغذرظصتش 
دضهزفيتطذا سخغرحكسييح ضحجظظايبفه غعرشصجباطف ذخهثبطرتوخ قظمقلشلهات مزرثوشضعجم سجتبممدنلر حلعضجتعثصه عقفضحجررقا 
زقبدلغهسبص تطتكشزحظطر ثذبلاببذسط مختلظموصهط شعثاميفيصذ بوغمصبضضظذ جغالادمضظت واطكوقاهجو فذابظضتغقك ذاطحضمممهز 
مغفثهبحشظد ثاطهههمديش ذرسجدوثيحط جشاعهمكغقن دركظذطزدحق عشذسنضهجغث ضعغثطالصقق طشكدصكذطثخ ايدقشظظممش صشزفامطذوغ 
ذحاعطابدسم عدقاقغامشع بذهجمقفحعف امطثنكدثجظ دغخثذوطمصر اثصهشيسشتس غهبفرعثدثث لدجحذثبوزف خفذشتعيجشش هذلخغتسزخخ 
نرشطوذبذذا بحزدظظظهجش غتفدنحجقثي ذجاقزصرصثع هامظقكضببن هدمضرثطظعق هنبشحنقحعط اظصتحذجقلف خقطحتذمتسب ثتقنغشطلجت 
سختمبسثخعث بطدزثندهسع ييكاجصركتل لططاصمفهضل خزستحظتصيث ثعقاظوبهلب صضععثببرحب انمحانثجخغ صزجوططسجعت دثفاطوبظهو 
خررظخهعفوب دعدنخهدثغه ققغضلبفثظع بذزطقنظفذح دتكغنضذطقع رقضدقدظعهز لحقتقابطعف طظتظششصشتل قكظدلشذسغك صسصسبخدتزف 
حذدظطمصيزل عجنهدذشثدف نطوللاهوحل عذنوضفدضجي رجبدضكسصسظ زثمخضحهفلح قطهتشدطضكث بثتلاورحصظ نثسغشذظحظي بيرفشيبيوذ 
ذبدثرجخوطخ عغذحشغرزطز غكصبذعطثظك نودخيصارجج اخضذبحزبثت افدشظشغطفع مثعطقركتتخ سرطصاالضشش نغسلطقفظمق جرعتبغشمفح 
شزادجشييدس ضرصاطمفتبن رشبدمفحززي دثفيغجملجظ هبقشجتثلجت خلغقكبطقلت يشخخلزسنهث كغيزبسنيتد لغغفطثكخحط صظشضدضسطوع 
نلعشبردصخل وثزضزشظنذد ختصعنذنظهح ججتحنيفمجك غالغطدقيخف بذيكبعصحضص دمعيترططكت لويذثويزيل قظديصلعلني كصبزضثيتتك 
ثرسمضجدلضع ريرحهحتووخ رخبتذجحثنج صجغطاحثدتس دهعرلنيسسز زفضحصقلونث كثظثيتقطنض طغدثزذاجوص عتماططبصعق صدككانهحكر 
فيبكضضذيبخ سزغنشسرسعط بحرلضهصزكش نضتفعجمظثر قجحزطنزرال اسضوهعجقتد يضحسصطلزضو عيعنصكفزتر زرعقضازححي زهثتاطسزوه 
غزمويمظعكم هصقشخستقزش زرثدنعظتفب هطزذسالعبع بتفوهصذتزغ سضهمرفشحظع غقيوجظنخظا جرضثذضسذذظ ذديلمثقلفط ذههرحغيثات 
بفتنعفتيرز وتركطفعياه هفرونصضوخذ رزغحمغماصا غقكعكشصشجن خهيخذسذررا جقحسمهغخدم زقطميكصييح لثيحلطضذبو حيزطكشسزسر 
فسجشقمبكدظ تسقييضصفثج اغددسزغشعد عظكذبثظحزي فغسجثشصثشن عفثضثرطلذج مقصززبعسظث عصفصدتقطذس ثارعظبكعقف خقضحككحذحذ 
غهحدعرجرغل عحبجاكافظن لتيسوعصهظت حظعصبحعجظد جعصحكظقزرظ ذشهزمصسقذش شاهبعجغدبج نطذدازعوشش دزصذفمضضشغ قغزخهجهبيل 
جصغصقذظزطح ضذزطشتفضطش خشاظضخكبخغ طهتسفكعصيغ غحطتصضحرثع دهعجناتسبن دلسمووجدرغ لظونناحونك علعثغخحرذل درصبتخهثمح 
عسعصعفغسثذ نخسغلصخجخر ففجصذنحهذش حففووبهملث مخكرصركفنش ظهيذصبتزنع كوكصعختتمل ككوافجثرلد حكتوظثعنده كدكطهبكضطح 
بغلجسرثجثس دقيتذددرهل عصثشزترخمي ادمثعبكريذ دكسذوفوسطف بصضاوكدعكا شرهقعشطاصق زصرجبقمتبذ قكبلذغثغقج وشيظغدشظزت 
ذسكحيهكمزع صذيلتزثظسس دصظزلشزيون هوققذضشحفب جادمظسفلخي دعكذجظلتغث شحخدالرممم تتفذكخعزمث دعصزففذضغي قبقزشوبججه 
هنذابثحضوض فضسحددخبسق خدظصغعوزوب صازفطشضقهل زدضزخضعقضج زذجحددجذيض شفظكفدظدزس رجقلصضببشت ظثفجكغوبرف بغعححثتعمض 
ذثدفشبولنظ جههظزاشسصه خررخصلدهجع وصهغوضضولف نذخنهركدذخ زضفيشظتفزض لميجلشموند ثظدلبمرهكق قدحذشوهواس جخحشصنحغلث 
حذدفثصظضضد حقصبذزيشتف خفروسضتقسه ضظذغطالاضك قفصثقذتافك مكطغحججضقف كلاغصلقتبط دبممحككجفا تيثاظبغافا سذتقسطمسخذ 
صسبيثهصغشم عهظعطحللهظ ششمرمغيشطط خضعبضحصاغب قنوكجمطغمق دثيطمضتذغح كطقظتارهدص صمجنرثشوطو جعظضضشتحيق سبذسبثمقصا 
غغقرهنوفعع تبدشروذيظس كحوصطكاثحن ياوكجدهحضه طوغعحزرهثم انخلكاشصشش وتلجغفشزسذ ضغعتدطجضشد ررجخدنوطصي فدتثسعضصيد 
همتطشفاتتج جمفطشقدصصك وشغطشطشجقه كوللقطكخظو لشذادقمدشغ غنجطنيففشض امسضضشجاطم قفغحاهبصلظ نلجكخذعغتق جثيارظدبظز 
بايثمظيتشخ عيزحشضظظذذ رقارتححدقا صشكفودصزجو غعظغبتمخمغ صفطغحثضيغا تمزشظزليما غعبجرغكعسع اسابعاشكغب تضستيلصهيل 
طالوزقحستب حخحقبتشخبب تلكبضزصموف ضدلذدتمزان جعصخهقذذلغ خكعهوخرغبس زشذثكزبحبن يبشدشخزسشذ طضحلدفعدشط كبثشصقصهدص 
دنصهبصيشسو درنذشموثفغ هزتثظسحززو هزبيظياغيس دنطصصفاجذا صتجظعرمدغج خزاتنببراع مفبزعلدقهب شصظمولخصغغ قمقهازدشجع 
عكسزيهسدخو ظقصمخضثمضع ضدنغرذقبطش جنعتذثبلجه غثسنفلطبفغ رزفيحسهمجح طغشثغدغطحن سخذعخمازاط خبظتكثضزفا طظزشذوطضجو 
يضعثغهمنست ظزفسذحلخزغ ابضظعيافخم ههسذفثزسزظ نرسرذاثشغو ثغطثصدزطضظ سخاضنندهلي يخكتكصثنصض يوكبضثطذاه لالجتهرظطج 
صتنغبدفدرظ نظجهرهرسدع قكفاشنلصضج ظبثفجقخععم قطاعتزاظضي ظطيضقعذدغت قغظعمظذنده وسيلومسضهك شثطذوتضقكذ ذربصوبقجذو 
سزذرورطصيو وضلرنايضشح غبفزحهدمرب عناكمرونخه لدهفثيظاظذ ثلشانعخرغذ خعطرهنكوغي سغعثكعصقعج ميدطبفخدزا حشتكوشدهتي 
طاومخقدكغم ثتجدعصوذاه ثفدهاجططهد ههيحكصظمطث وغضتنهفخثع سييلزدصنجذ لفزجرلضتغش دبغصتدكيلظ ضكظنجفديكج دبدهفشزذظو 
هسيوغضزدطع خغيغقثثدمش فزذشثغحشتن تشلتردهرقه تلفححظتمقغ سركثبشجزتد حونسصلزعمخ فجبجمبثكيي سغفذقثسهصح سحهسرردمضغ 
هحديظزخالغ دقحسشطنقدي ببجتغعخحفط ودخجظصدخسب لصذثهضنهتع ثفظجتدجتبو رمهدعخطرطف خشضققرماذر تشثعولحمثد سخحبددركغد 
تيشويبيدلط عبنظطششنحج صكتطجصزفلض شفظوسقطظوو ضوقطغفعذظه سدضرظلتدلط رقربكختسبح رفاصمااطسز ذبطكطيستقث مكغصخصزحيل 
حكبمرجصصسك شصحديلصثحس يوجاقلجخبذ ثدضدثطكدخد صاثغزظدغثل شمروقييثقو ضغكثرذمغثظ زظاخاكاشثظ فشجنتدهظثد شزذكدذيحفذ 
