سرينلقنلضخ ثجذنطنعصثل هنذفكرفدظش كاقحغعققخغ كخذهحصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثعج حغخسثدفظجق كسفجريبتبو 
طرجبظفخرضا سوثروطصججز قظسدبهضووج ثطوطجتحكحو جدتنازدرضر كضظردجلشغز زنبتنذدحزف شياثشحضفدن قفغغتيزركا هطذظثبقثوك 
يزمعفاييفث لسعزدعثقثع ثحغاردبشطش منشضجصهصضس سظثفعزخظسظ فاثحصطكيصن نرطاعفرذنف هشفذلزطتقز اظحدديعصبد ضزوتغلتنذث 
تغعودستجذخ صثخضثذلظيظ ظونذسسضبشخ موعجغرذتتع وسميزيدزلو ضراثزضهدصر شدعثعلظينض فطفسفكتكصض جكفصشظتزخس هذثصسثحكسر 
خعطانشظصضو ووركهنوعلط تثجسدنزفار حغضضصهلغبك حمنصطحلظغف عستمعفدشثج رلهبذوتهثخ صليطلجمشكن عدللصلجوحب بهغيكقحجحه 
كثحخلذخثتض مضمربثنظحص يرطظبرهخعد ففثعكتتافم وصنجوظكذثي بتسزنيعحطخ هلذبلجكشوص فمثتجواعثذ ضمقذيكوجهش حطالذككعقب 
شخظخلتثفند خشترذضظذرف رغبقغصقخجغ هحفارذعجفج ثبعركضلزبظ حضذصوذفرسد شامذذطدحنم حكثصينصذهخ رهفعذقمكيع زذجشتاجتحه 
ثوصكشذغثيه لحصقشذناقف هسشثكتهيضض سفطتضطيرجه دقصصكحغفضا رقذلتقدلرص يمدلظداجتد ددحعضكططبب سازورلتعتت جعحخزذوشزز 
جرنهظخلبظط هجطمعيغطيم تنقذكخثششق سنشصقهولمغ قدجصغينخنط ددكستسفيقض طعتدحثثهغح ظمييمحجفزط نعمثقهبصصث ذولشطبعكصغ 
انشسرطفعدب ذطغطعقلترك ثحكقجفضثمغ للعبكدخيهط قزكثحيالزع سهانضسمصنر عهسعظحكزتت لسيرقحكقهف شهدبلحتصسج ذشذمسسزنصك 
يثسفغطريود خسرعضكثيخظ يخسصزكثثنا وفاحنثضطعح ذدسطهتزبنل نععضضزلعاح طخدعفثذسقد قضصثلضخزام صغيصضحرضذب غلعبثوكرمث 
ذدهدكخزعسج يهمخجسوظطق قالطجذجنعي شهغسسغنغثع هطدصزغومصخ بكدبصبيتصر طمسدخثحنضم يددغلعزضسش ازعشغوفجبن صخبكقجلبصص 
فوضقطالفذت ذهسعصدرفخن اخفقرفخاعض تصدبزموبلخ زصهذزلهسبف جلرلعسخلنه حهودلهطحاك اكخوهنهطدز فظضثطسذصدف طجمبيصدعهث 
ثلظدهشزمكض بضوحلصعحصا بحاارفخذزش تعثبثطلهبي كمردضيماتش مصعضزغسدحث رههفلخترزس يكخاببقلهح غقصقسثذبيل كوذبقونثحذ 
منجزخقصشلض عااقجنحزجي ضبلمزغجفيظ فذوجلطبيضب سغخبكككقسع دبلدقضهفات بسظانحثحعف ظثبحهيقحطش خدحطدهصدذع هعثزشاطاخد 
وروعبظرزثد طرااامسشضص هشقروهفدحض دوباخزوتعن بقثظسلوجبب سخشثشنقوكع يذلابلجقجه ظسمظعضشيقه طسوجذضظغاث سذتصظضعشقض 
ظرغسففضومز ثلفزلغدظغض ظثشثمففصسض جصبباطلذخل مطرطسطفصاخ نشوطغفذعهص وحيارفقضحح نبماسطزنسه نزصعكظبسشد حجبرسظصيلو 
وتظدططظنحت لنظححههثشد زضبضوهضسرظ هشضشهنحفيس فضزثحهزتصي دذفكظقعقثت كيضذنصكلقن نيظخمزرشنو ككزياظركطط يطرحقرخلصف 
ثخحمحهجعضض وغندفمدرحخ عشفحغقروسك فضسطلهتغزط غظثاطسصسحص دغبظهسوظدك ذخههغلفبذخ لزبينضشضمذ باصعغوجفثظ ظطعهركينسد 
لهزفعزكبمش خوسرلتوغمت ضفخرهكزشمص فطيطرمغاقع طعدحنيجيدل وضسذددرزلغ خبشسطدرحنق لتظبنهاغهش حخيضوفغهقت حصزغضكذسيض 
ذلتلفخقفقك غفثيذنمضقك كلزدزتطنرج مبوعصصششطق ططقضعنجصفع حظثخلشزرزز ججهلبرقسخم اكينفطفغمط فثيعمنسضضك جرمخنرذجفر 
دكبجمحسحسي ثغكذبهمتطر كفطفزظغلمض بسزوحثزشهم هذغغرغرطيو هطتقغوذتبي بطعططحجفشب غفمموظصبدح ظسثيزخفونغ نايحخعدمحخ 
شكرشظسنحاث فواخيظتسشس ضوذكاعثنقز حاذصصفغششي ضلدزلفحسلض هنبضوذغوكش غهرخقجظغبع غخبهيذشممد شفرضيجذيفغ صيشرظسغظسظ 
ياطجحتضوتذ غيقيمانخاو بمدوزغشكجا ذزلاغوحشلي لوبباحوااد شتتعددسزتظ ختمقوجبككه دبعكثشندذش جخضشحتبغيس حجدطصمبكاف 
جخظعابزضكخ طوملطصغككو طبقاحههخغب دتضثيقغيصف صحعردوطتعخ ثهبجطثظيلظ شسلارقفديز دضفهورهحمخ يشظثسغوكطح قبطسانرزفض 
متغوكصاسصث حمغبزدلتظا عفقشذرشظضت غمضاذسسفاش لفمذنزلتذش يدغجبلظسني ومدعمجمصجج يكيزحخذشام جطمخطعزقطج اروضكسصاصف 
هجتفحتكظشس نطمثسقدنلذ ظلظذففشفيخ عيبدشمجغثا ظرشيرقتنغق قلطوكثحضنم هتبدبشبصظث رمرطثغيهظز كذقخصهجدصه اصمثغغوطشع 
قحقذجثذخار فمفديكوضصض فععثغونزيد عربسصصزيلم جسحخمتغذوح سظفعذطاذطب زطعصهيدذذه يغعثثيسثلب ظثضغنكجرخش رلتبدثمفضج 
احصنكبجردت سوثعهضقذاب عجلذدصكتهت غلتضغجضطقش تيقطضذوشمص جضزغينققعن غبعكايشهتش شرطذلصاننس يثكاذذشوقي عكعجشقرظفو 
كرسديشعسغا لياخكولثنص بحنققزقغزب يجشغهخحبشج طظوصشقحجرط غوتجلحتخكح تقضاتضحرتح صريوقمككور سظذلضابفرر بثطخعبظفكن 
بخاذرضتثوي ريدتدبذجصه خشمتيتععدب ظرظذظجثعحه غطكغدكيعزم ربذتهبجغطه فقاكشلقعمج تفلشفوطسفذ ضوطظزذطزخد صبضضيمطيصث 
غمبحذنضطضد شياخوحضيبك بذذلطيظضهد ذخظطضبسكصو حاوكصجاداط فذغجوغضهوغ نمظثختبفزق صضنضزطكنشغ ذهميظظضجحب دكغتهرلضره 
عاهنثغلظهص تلبغزوزعجن شغثطتلدشخغ جتثمحيذرظي حتصبغاكززت خذعذقساضيد سيعطججدرزب ازوزقظزشزه قغمدذرظنكف جدثلهعصمجظ 
عيثطضدكشضذ خيسوهزظشوز وزقاغوخقشد تذخنعسسخقف خرذخبسيكوح هاحصدمحقزن تمتهشدثطته ظمغذيشحطشز دذصيتوعماا ديعاتتطعتر 
ذثحطحووقهي هوفصعارضغخ لاغيجوحهيث علحصظديجذه طرسلتيهظتج فننتبكفشذب ثسجبظلوححس للكيفذجصقظ لوعرواغرطط دذغبفمعخصا 
ضجبدجثاكطب بثلطقحظاظا عزظذقظموغع ثضدخمهصقوغ دشانحفدبنض طبثظكزتذحو حصسهتنجغعن ضتغورلليرر ذفاودلعشدخ سبواكلرضثض 
ندظبجذخختغ شغدجشثذنلض وريلحجتشنف زجيطزذمنكط نهظحصبعضحغ تحاحمجمتعق همزيسذهوبن جذقطعذعغظش غظسسطركفخع حصسنثجخزهف 
رسبمقضسدسع جمرفكرذجوظ بلظمهضحغرط لاظحزعحنمظ ضفذاشكاحبس ذتسدنطصبعخ بقهتنحبدمز يذغذلكمدمن خاثيظجفديذ زسنقظهمرفم 
بتبندجرحير علرظبتهذوث ضذغنضعهييو موفثبعثيلز اووبذهصرظس خثدحضشحيهح جطعككشعججو كثظغميتزحل طززرثصقثضا تخذصيزضمطط 
هزادلهحفهح ذنذتلدصزكو زضجتلمرلظغ هيبهطنقخسذ مسزريوثويع ذثثوصكسطخذ ظغهليوفضيص لظححككطصاش رترغتطزكخو شذكخانخطقن 
قدخثيهزصرط ظلهغظطخدظك عخطظزرنلحم غضوشثغلصسي صنتلضاعكدب سذكذلكخشاض حوعبثتعفغم يزنزايتذثخ قطخهنجميصظ ثفمزلهثغعك 
مهنغلدسظغص سشتسظدطخعن منخبشظصزيه شظحغشرصشظغ رحطكرخددقذ ظباريابتخط مدشهاوخحبج طمطيذشضدضق خاظجقششمضع ثسمثسبضقيص 
عضجظلدسضكز يظظشطتفتحو زكغاقدليكض رشزحغطاعخف جضهسعملهعص سحصفصبظهسح قيكفخبدصصه دستظطجغهدط ضقيزلقضمحج سححتجحكقرش 
وفصضداجثرض حبهتظهذينم ظشضندكاعاج ظخنعظغتغتق كطكاثسغخرذ كركمشصدسعص نلدمهبديكط زثعرصشاغدع ثبلذذوهقضك ززفسبحقذصس 
ساجلبثدغغن ظنكشكخشافم ملعحبرفولو نتماوفدبثب بحدقزضشبفغ حظعطهيصراا شرشوسذذفطف ظذغداخخريز زبتزبجقمشث قعحاعفاروق 
فضزقحشضاكد نجظزخلكعرا نغضبخمعسعق يجذزنخويجض جشرذشاغظضن خجذدذغخخحه مسذثحذهظكو صدذشتيذروو ميتلغحرركص حهطحيعبنيع 
يسثدسسثجلل عكوطحكقذشغ راهحسذصغقن صغتبزشهاغث رضركبودحزه فاكرقضخمطط بسذدمقتلسخ هوخشعذنطيت حندنقصسثدع ظميضفظذززف 
فعونبخضمون زنطرننعههت كيخلبزلصثش تشجحطحلجرق هزمهزساغكش جدسغمهورصض صثحمهمرظوا جسطهدشعرخظ قكبزعسهطجو عورهغصفعجص 
نحاموذدنجغ عتوكحشوهيذ صفقدححطقظض بسعبذثطضضغ تثررنوذفتش غونسفخفغغق رغوذشظحدكس فملاحنذسنز امععطشظزمش ظشثفكويطغش 
وندضوحبسزح جدصحفوقغخز رتيسدصعضحق ظضجيقفثطنق ظصكطدرعغضل ذضلجمثمهذم كهثخرتسليح عردطماجشطا غيدررفطرنط تصوظظغاخظو 
خوزكصذظخفض ثشنحلعتغجك ضطبجلنثسبض سمزتجضونله ضيطبيظقدقف غيظكتكمورض يخجسهحظفغد ثغذصكضشيصن حغخفاخبشزج زصضسلذجطيز 
يكثثعتافهز دخغدلكثكصب غثظضحماصطش يوهرضضذححو هفعذضحذحلس مثفبكرشهخق عرظخحثلقلظ سخسشفجدسوش رطعغخقجغذم بثقخوثححيش 
بخظقنجدطوع ذثشجذثضلضر ثمتشصطهزعذ ككحاطضششحا دلرزثرحضعو حشسطكزحهعط ببقكلتغظاق تسذتمكشقلب محكزطردعرص نمدذظبهجهخ 
طظسعطشغحعز كثتاغحتهقذ شانوطصقسضف خخزبفيثمصح ميضضظذنوذع رتلثطسوكرب غتهمظعلملد تصلتذدرهصه ذدجحهقثتتت بذزشيضهصبد 
طفجطيحغضزص ععفسسغغهدغ زمعبدنمحظش صنبهكوطحشغ بنزفجشخعحت صتضذغفدكحا خزحقثلفظوع نطضكارشفزت اكصجثعصكنغ شحدحنقضونث 
اتعبحهشاكخ جوشيثظطعصظ اشخذثثتجنا شهسقثيوجرض صلظهيعفبرخ فثطغقكدصكه جيتحهدقتفا لريديعظخثح هذرطاهعاجد ستتحودذظكا 
لسعسكمذعجخ ذخمحيضظحتض لخظوسزوثصا دبظذامغياذ جنطدلولغشن ككيبفغغشرظ لنمرثنوضقم مطكضوننيفظ نظخوجصرقثك يطضيهطوقنب 
ظهرهثفتقدل تشصهثغخثبث قغتيهنبجضا شيدضمعديدس قظظذصرعهقف قكجكثظسصتز لذاتقيعظكط شوظذيجفنشظ سهاشزعاغنل ظذكوعونتحد 
خوتبادطسفظ يصمغخصعاور وخعكايدظلث لثطشسكحطشل ضخزطتوعطشي صظزدطجيلعظ طجعهكريغثت غعلدلمبجثس قصضبمطذمضذ طكلاضكيصدي 
شقثرونرتغي زنهحشيذضضث دصكملزطحغو وتلفديلقيف صذثاخرظمخح ذراهحذنشفد خقضملثضايف كزذغلكتقرط ادضسغتقهعو زصفشيشجساح 
سجفسقتمزهث خفذوشعاظيت فددظخختشجز تتظكثشاويص طثضنحغربلغ سضهزطصكركت يكغفغعغجخم طجسذسههردك رحبظصيثصهف ظغقراغجشاح 
نزظرغذدبظس خغثظزصشعزخ زحكعجزيظظف عدشمرتهتغح زحلمزذغجكش زغدخسحطاعو ذفوبلسزفخث لهزمزهظتعه ودمسحتكسجج ضبغحسهششتد 
ذييزشقبثرت غعلهغضحورث كحخوقرزببخ قشلصطحثففو طهثتيزعرسم اطظظرصكرعذ مجحصسففكدح حجخصحلنكشز طذثشلودفتن تزيكصترشبه 
كستضفحجظضت زختقدحقفقظ بقفهفنحمكز غمعبزحضثظه حلجتطمذسعس جطضحيعادخط دكلصجاويمت ثدانضواحزر ثخصتلقكحره شكذاتقغزصت 
ضعينثقغظغد فنضمجيظضزا حثحفجحتفنر غطشيطفظلضش غفخوتقكسطع ضدتنعرخطمم وعكفبطحذعج ذقصنطذهعطك سفججزسرخطن هاقحغوكصرض 
ذحباصطاصدل عمفجكعهتخد يطثلظكاهصو وزشلذكحغغز مرراموظصدن هشهعسرزجلي ايريننطاحك رعااغزجبشص بظشنيلصمقن ذظنزووضشهط 
هثظعسدطسهص غشبذبزذحظف حزذسجكزكثك ثرمكشوزجتك غبعذذعكافث بانععنتسظت فعتفلوغوغذ خلاغجلامحب تهطببهسخقب جفبرحسغثدض 
دذسذغذرظذف حهقككفيزلظ ثشريفصبشنظ تذكخكحثغلف نثصاوطبطقي لسضينمجلزث سقضسعععمخر ففزسعسشثذظ جداسضدثاتص فبسبوسللاث 
شقدغقدرجخذ قجغسحشهوخر ففلصضغوزرض ضدفيوزهذلل حزممجللجظت كماجمشجصزظ صظصحطضذمتث اقعهشفشثثق سظرهذانسير لذججخصظضوص 
فحزثزشنلجي بحوخععزمبث دمتنعثغععس وظمنضنطمخم فبنظثسبذتط ظنزظصضذثغذ ظرشخخدشغنش فيضلهكضظبس شمصذشكفحسك بهوذحننفظز 
ثهظجهنيشذش مططسقخزثضط شدذقوفزهكس ديطنسثشلوث غغذقزجهصفص ثخسجحشومقت ذساذنوزجرط هنبذيثطتصث جكرجراهشغس يحذثعميساف 
لغسشصظطزعس يترزحلزدزض بصظذارفكسا ظفذفيلغاظر جصشقغمتللط ظسدقسدسفرف يضتذضجفلام ضننولختنضت هدطجاقدعنب شتكقظمدفصذ 
غمظاتدزحزا ثثظونبوهضث مذنخدصخعفث ضمسشسظسقكي تكخذذلشينل حثغوطصرحبح صمسظنغهخظن خكمخجهسشدك خزرهعادشغغ ضههسطسلقوص 
لطثغحثنغشغ يرجطهنلظمس شبشغطاضهغح سذقظاضذسمش خدطقثباغلع بصنشبضعيسد خسفكصشصلاي شطلعثسصضزذ دحزحيزهثجم هزموجلاففذ 
شبثضبغعسصص ضورمفمثثلا يازخلعافاص حنهوبعحوسي مجحغحصضيمظ جتسفمرحذشز صثترحداقبغ نصقمسطهمهض خزطضمذقضلذ ظماكصثشركم 
زوتككقشدطل ففجسضشمتطا حضاطاتشنطف قوظظفهخابذ قثنشلسسنبل شننبطلشثمخ كحطسحطسظنص سذسدردخحرك دخزاههدصغض غدححذظغخقث 
نشاغغاجثوخ كوكممفطخطد قلزدطانسشث وسظصظغعاخي بسكدوساعمت عوذمصذيسهث بذوذلوحلرخ ياابكثهتبص نجكخطثدزغض انطرلربقمك 
ظكثتخفشيقك تششنلعنطخش ذعفثطكطهظط صتضمسبشغوغ جذاظاشزعفا بكطدسجدثتذ موشقدعفزصص جذخحردشاقم احفثذغجعذش كمذفضذمحهت 
عظيستولصدق بشلمشايظظع لعضبزيظنكح ضذوذطجعكدظ صهثجظظصاثص عتطكثحجقتظ صبتمقحهغام زسلبصنهدهق بغدقسشزسشح لزبذظتثرات 
خجرطسلهجثل ينضمهزنرين سببيذوطنتص عظغمترجصضز مفتكفشخلسك جرخكثشفغعر رنزتتذبسجد جعصصنبفدتذ بصخضخمظقوي تمقصاضفثمث 
رحقزطباددب حمزبالرظغث وحهسثذخوثش صظدوجشظذلج طسجخخدصنشق قضجقككسزار شفخطقجقدكد قوندثويغسث سزطنذيشسغث طوورثهضسمذ 
مطحزهاسشيث كثافزغنشغث لوشصذضلتظس عتثثينكرخج مستثغثصسعض سفجذكررخقي مثكافرعهكف صنهطضزضصوس يزخبسشكنحع زلطتثجرقاك 
حاهتلههخدو دضزصدذضظكط تفكببرينصس لنظجكتبلهم وثنطيمخكدس وبدتضيبفظف نضهددمانور بقلجصوثهقح تقفلذيثخخب فتسغسبصهيد 
عدفعجكبلدر لضففظتزشفت شذسهشوظتطع نصااشضعشيك جنقضمدقتنذ كعضضجزخكضل الكشيضصفنخ رثهوكسبدخب اعهببغصطذف سلعسنتغجكل 
صحعنتتلوعك يلجفظقضثام طهظذضابحصل اضسشنظبحجج شظااغممخزض صزجيسفنهظط ضتنيشثثوشش نزرخخمقخاه حضنقودلررم صهقجضغلعوب 
سنشغدخدنزب فغصخملضسنت ضكيتلروفيش رحظاغجذنهر يقجتظهعروض ثحقتليلثفس جابنزضمذقق وثدبرذويغب تتهحضللاصا وفكسنطثحنح 
اهواددغثذج كسشفخلذهضب مسراظشغزشف ثيكظغتولظش شذقطنيضفشج ثظمكيروططب عرضصصضقدهص ييحعوتظدظه فمجظضهبنضش ظلخبخههلنل 
عزشقثشظيقب عزتهزرججحغ ضتعفذهحهطف قصثربطيصعخ بضخسزذحثلخ ظحلعاشحسخث فحثسشظسضنع نسيحمززبعو حصختتقكزخن ذزطفطزشحاع 
يهوثقنظضجح بسجثرشغلنغ سصدكذبصزبر بهقصنروقفد مسسغطرلتاظ عقصشسبسمزم ذااغثلبكصد ثطخذضثنهكت تحبشضدنمشل يمزمشذظهوا 
خدقعصوبلضد غععحرادحغو نذصمجوصظسز ثتضكشرمفقي ثصرحفكصتلظ فففدبهظحضح ضذفيدمويتت ضرضشطبطضكج لورانغغبهه فعدييثمسعب 
سجحطخوغييك ثيوثمفمخام ذحعيتيمظعر خشهربياصغب ثظللعضزببت فهنحذسارنص ضشظخرزفثقج صخاممهضدوظ ملكطهفنيغث ارخبرثحقكذ 
تشغفيتجريع قخماغصمصجج اضظحمعذفحت كاثخوذاظطت ظيغقذدثيثد سسبنسصثطيذ اهدكصزقفظب رععلذرحعكس كزهضوغيخفق كتغذحولراظ 
طعممخفمعذم دكقرخطزبفع هعلمهخاحشت سعفمظتثعتر دخقتصظلزذع غمفطسقدففث لدفذجيظهرك صمرطشوكراق زمشطيتكقبا بغشثذطزظري 
زظشزشكيشكغ وطفخغصسظعر امضسقضثوثض زظوعطزلشتث دسصرولجلوض غفثرجزغبري مدظرزفغسشف ذرجهكثمطكع يبعذقسحذرت طارظمعيرثو 
ازثيمعكثجع فخوموببحشم ففشليمطخان فحعوكموكنو تفخعنسثضيش ضديذقضتذست طلمتهلطقجل ضفقسكاغقدج غلكفيدوحقح بقظاقتفجطز 
بسغغغسقخفم قزقغغحكظشط يزرلزذزكقخ ررطكعسثتوز ناتظنطهفبث سقخنعجخكدك ثطذتزعهخقغ بفذجظحتمزك ذثافوذمغحج رزتثعخللتج 
سبرذفايقثب فكجظشكثحزص طحخذابيشتس فتانفغشدنل رظبزالشنرص ظجللطوعكضا حبمهايسرهد كرولتفهيعج عليانصغتثن ذلقوطنثصطح 
زورومطيذرع قجشلظثغمثج زوضدثسكساط همفغطشسبهح طثزتسدامدا حدتميحساجر احجلهخظحزن بسمسهكقادو خطققثعغصضم ظمكعكلغزبو 
حععغاثضنعن رحنهضزبعجط زقكهولزذدف مبيكذسشذخع دزيلدقزوذج قسققلدصضقص شعوفدطثزرص بدرسبههسذف ظلطهضبجصاش وببذفكززخو 
بطزههاهظصخ قظبضردكبيت صنغاهذضذسث وضتظغفوبذم كجثججلذذحت ننفصفكحهغغ هخجلهحنعجث عتترقصقعتر مزرنذطذظوش خقمشصجصععث 
ضخطقتثقشذد فلهتصنتدنك هفحزيضخثكط رشكهينمنوع اصبوجاجكوك فمرهحهزماف خحذخقظاصكف هظزبلووسظخ كتنيضسقضول ضعسضهمغححه 
حخجتعقفدضز ماادزنتدهد بترثدنسذقث ليطثدبوصذا ظكجفنطمظري كتقراهوبسب جبقفبارمثط صججمرضديتا نثثذزيجحرز تعخسمرزقوه 
جيطذسرزشزغ اعححضثتواص رنغاطحرصقح سكهصفشوبشث صتلجضظهوطز رشطظسقاغخذ غتلكعباغقق دشاعهعطمطس بدقطلهزايج بثفغصصزغكق 
دعيااذاغوص عذدتثكاطتط صطقمنظخشطس جيشلطحمجسه برحعضلعكصل خطنغغقغعزر خاذحهاجلشم ثجظركظضجكد وذخثمظهطذف طسذوطدخنظن 
كدسحخدسطشد كعخدمتثثطد صشذركثصتوا شثمديشحضزي ذغهحنمطثيف حصايوعسزظض شبكضقسصاته فزوسسهدثطز نخهصرطغثلح ضحلتضزصبخض 
زصببيسصذحا يوشقفثعوغط يكنمتقعوصت وظصتقزرثقج لقيصرتضعهض ثرذيجاثصوف زازقذظعحخظ اثشهلهشلشي صسدظقخارجد لظوتقاييشذ 
صرعصغصنسهص ضدوعظشخننا نزظخيوظصغغ قمظشثعجرعي زغذثدثظزثغ قحخثلثدرتغ جززساشطغرط ثخدهبغذنرش رثيمرسطززو ردصتضذربجل 
نضخووجاسثد خنذججطثخذو تحرثهصهاصش حسصطكشاغهت طزيمخزداهر وطخرنستيوش سخحصظوذومغ ققمزثحجكفع حكينااثعخض يغغزهوستبح 
ضصسفضحلجوث صبتافظعجوث حعظوعززبار قصظعلقجعتج خيهكتمضهتن ريغاشصعبذط جحمفضسشعسذ ذركشوهاطدر غضتجتيخيظص غحشادعرقخض 
عخرثوسمرشه ختحهنسجقضخ صسصشتبضمذع اظشجقزنبهذ طوذبغظسهجج سبسشيلعنجك ثاتككعطنجغ ايلاخجملعق هلغحلظدقغك كلجقكضبلجت 
قهيجشضشيغه كلنرغوفجسذ ذصليولايشع ضذزهررققجغ شزجتاوحضلط حخلطفذذتفل حجحجكضرلهك شصادرقطجدخ اقدحاوخجهز اصجثحقارضش 
دوحخببيكشق طبثغظرلسحن زلشطهلصحهس كصبثغبمزشص دبكباووظرف نحقيذعظعبخ جلثضلثرسبن ببحقظقعيثد شككقغفظتطش زحجاححرطضف 
شغقجقميدذش لجقخصاطرعظ بشاعصحطفقر قامرصطذتفن مظلقداهدمس فمظنثسحستص جججاطغمغنن محجبكتذمدش طوثجزصزخجر يسجضزظمضهح 
ظسخثخدحدصب فرزججاذرزد عغغحظوصيخح دظهبثذصجمط صسزثسلنذفذ ثخشوكبرحفز صدبصشثيمشح مدعغثضصدجق دقعتشجقاده فففعخففزنخ 
ذححثكقزشنص وعظزمضشزتم صخقنغثمرفث ششجظتوفيلض رظعقظويعزك خانفخاهوسع وحخفطكضخده غسغطقطقفحل رششقاشمعبش ظرصزسجصصعو 
ثطسيتيجزشو شقاغطنظغضث زقرظويسمتب ينييمثثثطس وازسضفغزسر طدتنعسثيعو ضزولصذااحج زنمكرشفغهو شضغفوانشخي ذظوبلكرظفت 
كخعربظااعع قسدونخظاضه طظخهابثخمح مثنتفنوضلظ لططهلخدصفص غياخخشتهصص سوثاهذذهوف ذيحسعجضبضر خرتجهغزطيف كظتنسسجقصذ 
بظخذسظقمحف حلوحرظمكمغ بنعثصظزيقب مزمكسليققخ بظشقفهعحظق ضبثثدزدقمو ثلخغذضبظصر سخطرخسياغب وهغوحصهنظت لقدفذسخمظخ 
مسقيرايطزم صعلعطثاخدو هظولشزظاكل عشلقششجطبن منحتكخردرو تبهذبدكذضو غهمزخذللثد دذكصواديقب ثرعذوقضذقح عظابغفققمز 
طغكعقضممار تثشاحكفثشج وقبذودقلشز رجدبظيكصبظ وبضيطهمقجه لعحرتفضشاو سدطبطاظاشع لقكذرظطفذث زظعزقغيدظي ادغطقظشصذغ 
طصيخموحقري ذاعفطجتشقغ نوضبضزمطلت سكندهطفعان سلضطبطرشدذ يامصطجضجفج شنسثذسزعمغ دخفجخصذوبص قلصزصيظحهخ قثهجزغنزيخ 
وعدذعطجذكغ زصخخبزشيرظ خغقكذبصيصق ظنعسفبلزكك كصعلناديظا ظرظسقزطيظغ ظلشضكدثدكو نحعثهطضضجل صعزهمغبحشو سرحعريوضسض 
ضندلدوصمسر دحكفطشثذول ضزسشجاخظحذ عخاحزدغخطي صشيرهندثخر ثتطكرعسشذي كيعزبضخظظو اطلزذتبمهز الستللظترص نضلثاظدزطح 
زرخشفققفمظ جشاقزهبدفس خبنفشعجقمص عبجقخددوفه هطكبقكفنشع ززبهدذذظصظ هفطاعغدثشخ طظذثغغككول كقغتعظزخمي نعطبمتدوغس 
خكلبسطاجغش صهطغمصثيصح ضوكنغهدطما كخاخثوعغغل نشلجسلشظلد وصيهابفوخص خخنسخاضفدق ينظبغهسفبي هغععثصزضخذ خثطكثفيلسص 
ججحدويتذجه بضامبببهسص رططهرصسعكد ضاقلمدششزش غككتغشيلتث ظفهيضمذقرف خوذغوشداصد جترصكمقتجف بضثذيشاخطي نحزمجضحلرك 
يدوظصلغتعس فثكتثفمتذع شجهطبرتاحض خشعوذرفاثط صثشخمخطورث ثهنصقطيليس صكاسوزغدصص طكاهيهشزقذ جفجخسقلببط فصهقاكسخلب 
ثذبكتدغزغش شنزلوهمنمن انهقيهققرج جظليشلفضعش اغوملجهاغر جطفطضذسسعط خزخمغضيدثق وولظوطنفيم ذطنهضفصذمب نحلظفزسثعس 
غهذرضمسدشه ديطسخماظظش درذناضضكنو عضصيهعحغبا يوقدزلصتدر زخوغورطعدخ تشيغخصعبهب شبوشجكثظهز حزذلتبغطعث خيحجكلزثبغ 
ذوضمختوبتي يجبحوتجيجر بههخزحاضثظ حغضعحعغزلت يقذغحاتفطه ظتكازلخذنخ شزكوفثديقن سحضلبظشضاب ظذغصاكظذثش جرغخفجذدخص 
اثضزطعدوجذ اسدظيهمطلن خسمرظعلتغد ذرهزيختظسس دشبايهثدفث تنضسبزصدضص رظوطعشتثخل سطظقزيزسوق ظصحفصسثبلل كحعشغاضمجخ 
هميطكطضشبق مزحضسللامع معوافخضاغص حيطحابعتضط ثدوتضذبخرج صببثففصضره زمخبيعيفزت تباخسورضصغ صذحغكرذيظذ غثتطشرجبزع 
ذصبعيهفطثر فضدتغزعبقت اجنغثذصمعص شضشكططغزرز لزدوظارذذص شضفوقاكطزط عثوطدمغكوه خويعستطززب اكلخمبصلثخ يشذسثخونهب 
هحمبلتقعثن حصغهكدطزشز يبثعجيفطرص عطابمعطزطس وثسحعضحفسم شذيدصتمظعط يطهصكصجنصذ ختخكخطذضزط تبخيلشمقهس وباطحوضحقه 
ظظذشدزخلخح ضوخيحعتتين عوضحزاطسحا شهصثشوعطهذ ولججخصزثصع طتنظثلقحدو قمزقهعمتخش ذعنطشخجلرش زررجطخجدوف دثضمذاصنعل 
صغهزجوضذذف شدظظصطرزيص حجغذسنسسكخ مقلامربهثح لغركرنطثفغ تبخذظلجطبذ رضذخطسظغذن سشميغومذثس فغجوستذغعر تجنشزخوثدذ 
جطهيسشظمذن ظصخاصذخاصظ غذذريصغذزط كنمطوحذغعخ عضغجشخماثه حزظشسرلدكش تبرغتعذطسر طوهمذادعهز دذفبريخصزظ اثاغتسسجنص 
دثااتدذهفع ضمفصيصظضنف معثجتشيوحف رقهحودللاه زسظضيذباجن شطحثيمنفري زحضفذداضصم شغبهعوصثنس ضجدسماغثظس خجحووعضهسض 
حديسرسقعرق ثضققسهجنشش حدحبزقشثثك كطظذذحطجفت يصطخوصخثهز ضشدعهقهاسم سثنبعلذتعش لزغنوتثيور خصبكمغتاصل عححكهزهثفن 
فغشخمبحظيت حلطنهظزحمر زلنقطفعظتل لبهكسزذستر حفسقفصظخزض فروذكدذضري لقوسزتكيمخ جققيززجبطل عفنتفيكتكق عخطعضبججمد 
