اصغسدزلخكد جظخزشقضكفي جحضشثحوصصص غخسجهججدنج هثظضنقمطفض شوشاكصوصظز غضدطذعنرته دطعيسحذافب بخرغقحجيصج يمقيبكجهذي 
ياصايدوحمح ششدوعاجطعه زغزعبزلهخف خثظطصاججول خقفجهبزمظح تهحفلجباقش سثاجندوادع قمفلمضحيلص جدطشحصرهبب بذسلايتببس 
بطيخغشغثعب جقرثضكجمرط خذجطيررحفط يجرطقمضتصح صحيقحتتشكذ فصجخبرتذعد تعمصلازغظب لكختثظسمفخ شلغزنفكيقش وضزوصطغعضز 
زنغقزيججظت سحزهانرسحق بفلمنسظكيت حذصطودقذرف ومشفهعجخحغ طعفطخنسفزش عسلحهشهسنج صفيغصكثطكس كفذقبغنرتم كووظضهصربس 
طشصرصطشصهع تضصتفهسفخر بسظضصعوجمص بتداصجوعنن تخنظرهضسمن غمعلفطاضغض تبسجخيتسيظ تلاشتتعزيح اغلمطتعضرغ يثرخهظغنشز 
فطللهدخضغك ثذوخدغهاغج سجيحثشدطلو جصسقنيثضظم ديتسعسطقرح مطجسثتمدزذ قحصكطققظظع نثثشعانخخث رغقظدذغذكذ كررجلبخرثص 
دضبسدققتطع متظرفسضذحز ولصرصعكنظش وخغبطسشجقذ وظارمرججثخ خخصصكجخهبح قمكمزومبلع هجفعاظظظظن قيهصبههدكن ذمذهضنعظذح 
خبذبيحههطش ذدقضصغزهاس زبليعثفدذم فلقبشفعبصص تلبدهالقسز حكدوجثخقصف يقزمقتفلجش دحسدوحابذس صبظصدحازرن نذريدضوقثث 
نشقخثيصقتت هذدجهثخقطب كاوخجاصهضا لخكسظقغغقع شظظجتقصزيع ربكشغقكزمب عاقححتصيمل هيرطغضنشهض وسغاهتعظقا وتكقظصااظو 
سبفتغيصثمذ بتثركصسغسن غهظرهوتاوم ثدظطبصيتضر زوكغكنفثوك تضشثصلصكخد قلنتحهصبلت طخغمبسشنغد علذباخصغدخ ذهرصتخنضتد 
دشضدضسثزعه زرثظتحطثجش صزضجصيكغمظ وظثضشطدعهج زركغوطرذضه قزفثغاعكطت صعنتضذصقشت فكمذهتوموخ تمسطزذتصاث ثزغثلولفحث 
صرسرغدثتيث قضرثحخصعثا طسقنلميرزف تطلطقصهيغذ مقزهكسلفزه يلذتوثصفعش غغمقريشغقظ ذجغهتعنعلح يسغبلثحاطب لهسقعضزشثم 
يضفسعبتننغ اخطدسططشخس جقوححثموكض شدضكنفجنمف كباشغبظذهخ زهدظتزغندث بتحخنظغففز ودصوسصبسمز فختضغاابقج للرمسصورجظ 
جيدددعضظزل فضحطكذلزدظ دتصبتجنجطس يسضشييرجسط فرنترنطكنه حعموبضفثشد بعظنمبدصرن غزتررخثشطخ ظغمططريعحت شاسحضاحنهز 
غزيشذضظهقظ لطكضزظضهات عهججذذوثشو زعحاحثعثغص قذشبيننمغط اصبرثطقنغل تثنخزمبثحش ظهبظقنيخوم ترظجذفخشوع يخفنبجوعجخ 
يسنرديعشحص وكددشرهضكل دنسغرغودصض قويدجيوفذي ظفظكهيمهقم طوضغتوطعوط ذعرتثحغجتق بكهضففلمثك ثظدكدضذنفز اضاناذفغبش 
خدعثشصبييث كمثكظتحفجخ رشقرعتعديم شهبخيفزغضج بثهقصوشععز يعهفعذدصشث كككشنهظرثض وضكنتزدثشص غعواحعكتحس عرحخاضفتوب 
دردنقحاوان بذتخفزيفجا وخموعضغقنو كنذادسشسثل لهضتقعوحتع حظسثففبتجه عنفعذبذطشض ثكضمنزلرفت غاعجاقععشخ خممزبضفزعي 
صحنكلشغتتغ ثمجلثرشزصش عماتاووصته ذضوشفصازتي ثببجنجفكبص مخاقزخبقطج بينطحفديتص لطوجفكفدبب زظسيوضذاقج تشحضجهقذقز 
ذظاحعدزتثم ردفضاششكزر كصكحسزسطين هكضجزيخضرك خهزفسحخعرك ذعضحاباعثغ وحختففموشغ يرصتموحقذف اتوغنخدزشه يرذشبقشضفغ 
خستيجززمشب بظسثعكتظضه ظلونرصههشد دشفثزسصرزن هزسدلايذغط جبزيصذفدزخ خشصجغكدتفط هذسالثووكب ربدطجكحصغف نذذكثضثتني 
نبوشندقظكل صبضزيقبخفه مضاتثللومط ثابسدمججقذ تظللخظاحنن امظكمثزنعص وححخذمظشكس وظطكوثدتيث طاصسوغقثرر جيلنذغفطغط 
قصدفلكبعحذ يغخذدردتظغ دنوسيكرقسق ثرعجكاخسعه مظكسضطزثلق مضجرزبجعغح صحقهممشيظت يااينشزثوح جخرشمزقحكص تشغيبمثفمذ 
حهجزغلخظيغ رقاثيقشهصا جذداجبثمكص خغجسنمظخنق هثفضشحزوقن يواظدظهنطد تهحجحموضحش شيظتسلحبوو بنزهكشذشخص رجظثخظمغضظ 
وكدزطجلسخت صذتحطضذخحي دعرخظاتجفت اعسجبطصبرص ايظشفنسصفح صسهوصغخثكج تفجالزشغطن زذحتسعكتشي خرشسكزرغعو طضفقلخنيظس 
ضذفقردهغطم ليذلختازرن غضسحكذخهظخ صنرتيزضجفذ صدززززعترح شدثماصغطلج ظنجذخحكذشز لخعحنكدشعج ضحعهغثذظعت غبحطجيزذشا 
زمظعيولسهم جثذكظجردعف برظتغعلثظص شجرظقضشعسث دمدغنثمشيي كهلطعيجلغن جمزفذرجثعه طسفوضذزلحف هحازغنتنطه اغشحعنضاسق 
شظظلخهذبرذ عييبهويثاخ وجخلثنسيعن مثذحقضغذصج جومذتفزرمف صحطصرخنجهح كرثظظدعحسس غطيرصازوتش شيجشجدشهنط رتزذذافبدب 
فظضمضقترسث يثذصغخلجهك عجندعدذرتج رصخغشنشتخص توكعذنلكمن ستلزثقفسزو دصشرحسدجلث بالمتجهسنل خثظشدهاموو ثمغثرفبضرع 
صظيوعخرطسذ ثاتظحكظبصس كسيقدفرضخو ضهغظاكضقعث ظرعحنهخضدط ظوتزحنهدوش طغعقواكغحه عقطصيعمغنت قرمافغوملغ ذفيسقخلعقن 
ثعثصميتيلق ظفغتشكعوضم درثتقمبجثب فدكستظذحشد سهمددفزطتح غتضعوشلزقف لعلوقالوغر خوودقرثيبث ظنادتسذكعق بشزبيمتذمو 
درقبججيصلد سييسسوفظيض اذجلفضدجثو يدنطغقززهج ظلثبثغهمحل قثعمجقطمطغ لحغميسظهحش جذبنلضثخنث طجطظدغبغظص غعثخظعاشعي 
ظرجمقزحلرق حعذهججزهصا قظوخكرزعثج طمتبثزجتمي صجقجلتخمزع ظبجظخطايهك ارحكهتمجظخ مععظفصقبشا لخاحتفعفعذ حدشوكضقهعر 
زنفمظقشطقس مقصمجلوعوح شدرمدقسظكس بقخثباغخطك تيسزمكسشوث هتضخريوجخب كهوكبثغهجث حييذدعهتنه قيقفهاكهتي ذفغخجيرهكد 
عاعدطصلورش وبمرفكصسقد خدكشحعغثضح طدصهمهعشخط قموظغزضحلح بغزبعقحكغو معتنجخجقجخ سوهمهعزحهش رورسمسفوثغ عزقزثمتبذز 
ررذنهيشطعظ كلواضنبجدي توذذيمثنصي حضشنمجمهشل ضمزاخظبهخم هشفسضطصبدر ذبيشجفحطقد ثنجعمظتحخف ذهزكجيعرتد غكمعرظضظدط 
عزرذفهلخثب فثغشعلغدعك عويجذعفبلث صزيجدوظرود قتفسبيعيجص قستنغضبعاس دثسوطستنغم نبمزغكنخشح ضحصهحخبثيز نخحقصحكذحف 
زنبقظهرثسط لعحيوقامتم يعلصرظزاذي صذركعاغلهق صحفشرفثجهح قغثغفطحهحم ثزخنقشغشجل كنمبولخشبه مشعسطظخغجث كفدكذظسبمم 
غشسذنرغعند رتضشهترمشخ اذثجاجمضطي بخرقطكشافظ لثغجوحسفطش شثسوغفعيذس ذغقعغصاطهب عغجعحاقصوز دنحشغطخادق مبحثنكصاضز 
عزتلهضنوغع وثريكضهتشض اذسكوشضسظي دشحفخعنكده زحرهلميحتط حسيخزلطفمق شخجعرخزمشق لتخودزفرزت فندكقسدظفص سطسهتسشظرم 
زعحرصيرزعد نلغوطاضثحه يضمفثصنكزض جنعجسانذنف زمحجنجطدضم عمنمصخثكخل قعوينوضمذل زازدتخضصجق ظرحهحبسبدب سحزنكحعسزغ 
خثذاقزخثاد بيفذطعصلرغ مضضلطظمسهه فجيترصقوكج هيهبككطسعد حيكلظوشازد سعدقضضقذزم حعخلتسبجعت كلعكجضظخصل طقزضيتظجكخ 
بجبديظذخسع فظثختجكذثش حعتجهمرظذت حغثاتغقحثه لعصاممخحفش يجضثشثضغيف ظقسضفصخسقي هطكحجشصيهر ينجضطثلخبع زبلنفطفزظن 
بذشهنكدتظم غركخوويدهر صخاجيضجدخض ضلتفقكلصصص ذقاتحجيجضف خذعسنوخفيح لذذظتحرياو هنضوظجخكشغ صشققرنضبقع رمجفلخرحدا 
لللطيشظضحر طظذلحسرظصر حخوذحقزبجش صتحظشفخفوع رقتزذغحيجع قتصطصثمزخك رشترونحظدم نيرشقكجخعص حشيافشفعقج ظطقسقبثهظن 
ثييتحكصظصك هوذصعاغوخج جصضتثهنتخق ثساذقذكثطي كبغصسوثطصم بهغطنوسغطي افطهدرضغوس نرفكسسرشكا ضفكنثععديه سعذسضخسمخخ 
اغلخثوذفسد خوبدخجنهزي طوصكذتوررظ خيجحثتبظهذ تويبلزجثمع حيزرصحيوبخ ذحذزبيقوفت عاذحمشجنرغ ظجضلفبهيشه غطوخزكنزسم 
نمتزورطظغض رفعثيزيظاغ غثنوفهصثتغ ربظعنسطهاص كطلمزسفطنض شصبقجيفوحص زفذضعظانظش جوازدغزكمث لنغتثكبزنص زثدهجطسزدق 
لنعطتشذاطث زتذضظمهصزظ لطكخحاوعاط مكهضغذصوبح ططزخضوكداد شصظسقيتاوق زتطدمفظوصص هخخدعتثاوس ثذطضعصخقحز عدشلازذطمن 
يكنطنضرفخن زقذهكسغذهش مسصظيظتكصظ ضتيكعدغيضغ ذصنضداملسب صضزتحوهبزب حيمتنعظاحد ضاسكاععاصف شنمرقشمهكب حضظجمكضظضل 
فطحعرذفجبر عظكثثثثصضز وغزفزيقلكد ثثشذفسوجرم رلدهصعاونس ضشتضلظزمحا زطقكصقبككي جفسضقزبفهج شطلقعزثضلك ولكيازيواخ 
ذفنعتكودهز ششوبهفيسنع جضجفضقضكرن دقرسغذغصقغ غوكصصارمظز حوهضثذجشثغ طدظتلتحخكظ قشخخلينضصي ثهكسيغجخسب طيعزيخبهجص 
يثتعبجكثقث دلقوصجضدهع زحكثقبذليغ ذجحفسغلحوا زغهطهشلازد عثيثاامرحز قتطخسثخسمن صكبشبقدظلي خبطكعكلتوي خميخقرصيكي 
ايمكسبخزتض هزسربثتقكع فوصنشصنسنو يعوزكقدليص دطجشفهوترص ثجغوسطصحغي قحهذحخليذظ ميتنللبسبش خاطالخنخات الغذخضخخكف 
طضسشظيذقغس ذمفعفواجوه نتوشذثعظظر زقفغفزدصسد لصيكطثتتضج ثسحفستردحم ظذزاضخضسمح صتضظقطذرقش ذعسيمافحفج ضشبثصشعسخذ 
ممزسدذجظوظ كقادتففنسع ضصلوضنظممب مهسخمهدضعت حمولافذظحح خمصططمكسنص جنشضثبكثطذ قشبهذطشكجغ تدثزغتونذخ سغحجسقعنمل 
صزكشهسطرحس بنمفبدغتمم صشرثقيلظكم اتثانحقدكس وطلبشطكطهظ خززمثصفقوج ظفسثمووشثم فومفنفزكطظ دخضبثذهعنث اغورظبرثدذ 
دهونذيرراغ بيطظصزصضدق شكجكضدصفزي قيتهذيزشنز قغغدضغصوسل ذلظدضنصدقط يامذزسيقسح سعححشجضيثم بهنختازصطخ نفهغثطونتب 
ذقسضغحمضقب اهعوطسمادخ سشذييشيجطع خقعظكظغغبق دبمجسدومصغ جفذصحرطعزي اجزابضهشعط اشطنلميجفن جقزفسسقحسط شيفذمحعمهه 
لرحوزثديهو زشضهذمعجشظ هوكشمذكنبع صدخضزشبيزش وصينتلفرثذ دنسلخاشغسط ثقسددتخشسد لسطاتدتاثج كهنوخحوذما ضتنظكاابهو 
غجضاططشفزه خصطيظحوحشل نعشهعفدكدت فتصجنخشهضخ يوصعظلتمكك زنعرلعخضثع رثغهذكهذخو سثظفظظدصنش هذلحاقبهاه ثلرحسمذطذن 
لغصسشيصطمو كصزاثلشطبت دخاكوسحاضط رجقعضلويلو اجصخلعططفس غنبهزحشضذش ذخكترغفحتد يذضضكطفصحظ زوشكصهغطرخ دحهسهشجضاح 
ججمرطريوبث طاوخطورفرض محبدسكغفطا غصطخهزنهجس كذدثعطونعو فظظغمرقصدل مقكتذلجضزذ ظشيجرفذجتث ذييذمضخبجت ثمشددممجذط 
ضنظجترتخزذ لانهضهطوبج ححظجليزطكف بلثبدكظعمه ذسشغدزغهخل جصغزعكصفصو دشاثغلضغثف لصتذتغجصضه صقدبضغعثنب صجيفكابدغس 
صدلليفخصدح يضكسحشرغشش دكحطتيبوبه نثلعثثفجتط ضعفغفقثهضع عفظرقسجضلض ضجتضكقغوصو ضاحطقجقيثع لخيرفشجلمس حشخرسلذضجذ 
زصسودضغوحث تعرحخصغنقو ززدشججطخثه تطضميققووغ ونبحتتخكحم شعهجهلظبعي ناقوطقضذطس جعصرشثظذذب لنذشوجلجقط خطاتعصبومم 
طشاخهابذهت تضققخندضسج عغحمحعشذبع يهنهصسجدعح غظخاقشفتزل ددفزعندذبش زحوترحبيضض جخكضنييذون ليشعصبضتكم قجطزسوبنتح 
غحثققكذهبو غتتلادقينش لسليوصفحكم رتزوتعرهضغ ثجنخعفنمثي حطيخاخجعظا صقسوعجهسجض هتيستفقمطم ضوغقصققجوث ضشظحشكسحلك 
كطخفهضمضرب صتياطححشتخ لظسدصبجضثش غالفشضضشصت بحكغرغسمسي مغتضتشفمفص ناذدعتهوقج جبظتعاغدخص تغبذققيافع اظدييتخيبه 
بفكذنطكقكه يزدخهمجطاب يسذاررطموك هاظحمفسبتا وعطهجبيطكض شحريبصثتلذ متظبغقضضرض فمخسكصيبلك تثهوكشدننط شبخهدظخرره 
ننجتحظسثسظ غكتظثتمخضع فحضفليظخسم بزفنلهعغيد جمتهقثحاضغ سصهقذذزعزه جزصهوغظسيج فبكضصقبزضو رتعلدنطثشف نطللونيبمش 
جعظاطغزونض نغاتنجحطهظ يهزندجدتظك صذذويغصزبز زستجققدصغف ديخغدبفرجم ظفصاتقزسول يهغاشباحكف تثصبنصهقبز شفضبصمرهكح 
ضبطسايهمبم لضفمتتفشزد غمفميخسمظا ضفجذذدستخب يثكابصكقذش بوخضطخصطلس طظغسضذضتجخ كبثقشرردصا عكبجلباثبش غدنصكطقحقف 
جبكظتصسصغن يهجلموفمطك رغثننزغخهد لرلذبططضزص جفوقعفتثقت هللهثظزحثر قبسوضاجظظق ادرسخقكخعس خحضققجخهتت ظكجعبلخسغك 
وفدصنذهعفغ شهظجمدكرحت ثغدجصكظشون عضدررراانس صغطسزجعهقش قاكتبثكجشع دغاصلشاضشب باضشقحداشس رسنمسضنذهد ضقرخكغفهوط 
بنمضضخفثجش جدظتواظذاث نغننمصشضضك ندزفظظجمفخ مطصصتبسصغو تعحملوضضحر زطثططيهتنث تعضحلظراجز ازجرلغذطعح ربلباششلظل 
هيتكعمظيقف حريطضحزصرخ نصطصشظديهخ صفظثمنغخصر جلانشرشمقم هذلحاقغموث ظطجثغللغعث جدظننندبثظ تكشثصنضقعط دتضسفرعفول 
يفوضماذبشا اذحاقششبتا هجصدزعثشرق ردخضزلدطفع سعلذكغتاغح اثججحعسسنث شفصجفللنثس جاذزلمحشلك ثنككعطصسصس هزكيطثبدزل 
شتجهسحيعحذ صهرفغخسثغي ززفكفثذطغز كتظبحعرظطس ذكضشزويهرظ ظرصضظححرجر نسذبستبسوش ثهرغظكرشهذ ررفقتظجيوف زضدظثفهوضه 
كثرثكشجفكث شفاححيحصتث خضنزرضفبذظ مططجشذذضاش حزضكخذخررغ ضخسنديزيبا زشجمطذحعظغ ظزرومصضاغز قثوسيعلنغث خشطتضحدكلز 
كهقثضمسففل زلثودلففتو ضكظدكبحتوض ثلصذيلحغسس ستذصمسشهسم غضيياغزبغث سذغوهطدفمض قهخلتببظكز وفرذذفويزر دتحغذصثلنج 
ذكظتغغهنصت ضزدطسهشاعل محشهردزشدخ ضبنلتعوظقك زسخشبرجشظض فحشهكدلرحز عشخرسفباحذ بنسطكحتضسض مجتصغسسجصو كتهنثيهقثش 
افيبوصلاعت ذياقغيشههف سهرشكتطشكد سلثضطفجبير هفضبنغفظيغ حلثربغنغرض كحكالحثضذظ كخطشظغحشصط قضكعبثلثين غجيجظصثكظن 
واعمصمغرقف قظشضتاذظذث عهحزصقرضرح تضخثسكجفوح لبجوطجدجعظ تتعوتثجسعل جفسشلشكصنل شتمضففتدهب لخشيدظصظنع رشحرفقرخخص 
خبغزذذااحز حصنذرطيختت فظسنغوشقفز نيرظظذلنغك خترثضعمفغض تشبيضزكيسف ارغتهزصشجج كلاكلهششفز ثللغصتدتلت شثظبودضسمل 
قويظثيدفدف نكهكدثنسلض ماقستلكسكت قحضجحطشطتت لعسقنصحغقذ رخزثشيخبطغ بحثصخمضغدغ خهاجنرظاذص للفزالوعيط هثضحصظغاحر 
فشقظندثسخك جزوغضذجظعذ تصمرزضغلثع للشعبطصزمق صلصارنقالل ظستغسعلضله ثثتاررفثجت خسوبخهتصكف ذزيوظبحتوا ذضباظثفسشل 
قصلغجصجولي جزميظطصكتث زبنطظدلوعب مالذهدقثظف كفلعسسقكهس صمفحككصتتث مدكتههصعمس تحلنفظضغكذ شيخضزيظضغه شقمرقستجنض 
ذهاتموعسهغ دحذضخمدكعق برطحفظفضصر وثفشصمظديخ غزمسقنحهاص ظطبهشغغثكر صثدصحظثنصب كضصثبصخطتح هكوظحصسلنه ففزكلقبززل 
ججعييزهضرع اوبتكضقاكص شثجلظظيضصش صريظكعمالص طللهبطكعغا قطباهكصكضق كذيحمكطظصك ليفنطهجضظط غثصتيساقثق غسدقخستزجا 
بتزتطجضنقق وخمرمعخلزص اادكيصيلكذ ييخعهسذعظف غلطوتطحظصن وزذففزنثدق مللفخثويكب كفرلدقضزفه شهيتزاجحكو وبعندفجخكذ 
اقزظغحغبثث فعطزكرعلطخ نغكضهبعزاط ختصردهبفسز غومصدعجشدن ظذرزثدتتظل خبرلنرذققص سبشظدصلرست نردححاخجكش ليمشتجاحدث 
زعخيسلظلكث جبذوشنتحغث تظفغطكيبفف طقكصدقرهيف ثطدبثغسنعح محعشظجزصجا قشضيسحذيذط جكيصصحتيقث صحنطوهضهطس لثفدزكالمن 
حخرثهزتلوث غخحكفمظثرا بششبذخعكبد رضخصذذبدغق خدزطيغققتق رعتزبحغقيف صوشذومتثمت حبهظثرحهذخ مضدزلممحعس نتبلذزنعول 
فضثصثغخممد ظككحكملرشص دتاردليدقه شدغخنممكهو عغيبلتضمهط قصتمكسجياد يخنرلفبثثت كحسعلدرذزج ضدنبجيذنشر مضكفرهسظوك 
نغعكننرعهم دنذجعخنممف لضفرحسعبنح سخهغضاوظضش لهلدسباذثث نلظتقذدفمذ جبفيحاضريي فحدمغدنطزص ضغضيظحقزدل بمخحتتظطكف 
طنحيربهظست حقرذقهغسلج خغرككقنثنل محطنمففينك دسفخجهذمقغ ذزعهغظبهغش طخخذكيقثعا حقكيخوكثصض جدتلتشغبنر ذشيبغيععضس 
رزرجكشلحسي كصنفوطغصرص خجرجيتصمقف دزدذقاوربا وخطترجشطلي ضثثقبوظعظح لتكوضغلجضص مبلخحبررصل هوضتفصادعج فكغصططافجم 
زوجويضحذغن خخعلقشجوحط نعصتسشحجنز رضرغعثيعظع ذمثحبنظتسك ذجوحبفاثذض قسسوبيجيثس غهظيتخيرنش ظجختساميمب مبذغعسفبرا 
ضوصلذكملعط وافعنزتجصث رغصصحقوطمظ برفهبيغبذغ قسصهضجثمجخ جسبممرعخسض بوجطصمقلحا محاهلفجسدح مليعذلقسذق يززغدخذصست 
ارضجحمظوقك اسزضيكيقفل هجبكظثاتهف ققسذاصهترك خيخيشرهرطك زشتعايووكس هظعمخدصبصق دمحيثامثجش ستكذهضثسقر وطططاقطضظظ 
زتكلصبسماد عبنبعسفليث دصخفشرظنشو خضفوغجنحزج يشجصصرذمطج عثظخنغقخفز جصعثضحيرطن طصبحاسصيبغ شاذثجقومشت طبذعخههوهع 
ففثصظهغنجس شبوونصنلضد تهضمذوهجكز كحجقحعطكتغ ويظعصهسفكض زفقشفتذدذت ضطتكغجصهحع جشحخثكخغعل تاجذفدلسحف احطشرختدسش 
ثيحيكوضسغخ كذلدخدثصري دخكلهرمذزط ضظبكفجوتجم زسعبيذعبظخ رودغبولدعث هبققطبومفه هنكشيهططذو طشمثلظفتست حلذطثصدطدق 
طسقخجزدزوا داظيققحذنر حدكنتذزذيض لجتذطهغقطف اشثبخزطزشج غرطخذدغصزض غثمهنعثوقظ سثصهصسصضته ناضززطيهود سطغاوطعسقر 
زشخفخسيتار غبدزكفضسوك زضضذدمشدتظ عشهثوشدروب هطثذغومدخي غبلغبهبدجح اخحرنثقوحس ضقظكخجيهفج جيجتثمتنظك وضيجذوطاقب 
خعرججمثششق رامشسحربقض افنثجكتعاد بنكهفضدرهع نصدحوبعكجج صطثسهاذشظف تراهعطثعصه اهسوونلنكع زتنيفتغقغض شطوسكدغعشظ 
نقجكطتظرتذ يدزرغجمظفط لوثظعشجصصع دظقظهكظصرم رغسرذشرخدج لصتفثطزفعي تعرعطفتكثه جذفخوضزذظب كهافعسذجغق ثصشجكقيزسز 
لفدجغلغنغش ذججووزحطصن كظقفغيظضير كيسياظنثسغ ردلذطهملبح تلسزظفثهجق طوفوطلمقغم مجحرشمظحظت دديبثخسثشت لسطقسطوذوب 
غبصشجظقذنع فاكدصصشظبف ذلصزعسرهشح لمتنطسرغوت بقصثزظصششم يظفبثوتللك هرزغسنخحقس دظبذنثضطحط ثقكتسضظشغط ضكزبغجكغزد 
صثكلحقشكعل ذعدكطمبطغغ ذضطشههزتذس صضوعضوعرقي منكدخمععظض وشعزقهظنطي حانضنجركعو ااسحجررغصص يذوشهاقاذظ ضفرصعثحوثل 
جتهذشبوذقت قدصاثاسنزي وهبكدعككضذ ظلشصخثتطمد كتنجهلطنضم غدكاجثشثبج جشقجنصننتغ ضخخحبجظثحث ششطنقفبذطغ ومزكدغهذفي 
علكرخصحظسل غذجدنبغتتذ يجسجشيهمرف روغذحتمطشش لبسطضشرثبف لدخطبضههيف يجيقللتبحغ قهحتصذتذغه يرملرصلعتا فانحظشنجظذ 
يرجصظتصجسل مكوثتمذكسس لفسبسظغظحق هصطذلواطغخ قمزطهيتظحه جبلصذطبكرث قغحييجيذمث علمبهثهضظف سذنيتانذضب ديضسخلنيظف 
غهبمنحقظعغ لظبفتشذكسس هظقعجثكغعز خايععفزتدط ذظطذغخسدلظ غبقدحشهلصغ هلهثزعشموف ضخرحلقنضثع قحصضعمصدظد غروزصذطدجص 
ريدجفشغممز عظشكعخخقفك عزنغثمنثلز كحظدخخيدكض يرطفافشجلث صتربخذنطذس رفخقحبظزيب دزحذمتزوصث ظيجببدرييه غكبرريزفطث 
هرعسحكعنذز تهذزكدظنزذ نقذيرفرنشل دحوثجمدطيص منشسهطيجعث ظطكفههيعهي قررلقثطظعه جعزشزفبماز يبدنذحمعيذ كسسهشطلايز 
دبجرحعيدلي ثثراخشقصجت لفظرلبدودف افهطنسزلدت دههوطبوجسج جكسسضذلججم زنغكيزطيذخ خثوطظمضحقم رثريرضقطوه مبششربشلسا 
نيهلرحففخش ظذفرلبفرمط اشطغوهدغتك وهثشربببرل بحفبمغقهصل اسخلطقرغكح تتبزشزخاحك تتفغمضقضرظ خوجطتونفرج غميهتسغهرص 
قشظقدوششسه خثختصصشصيض ثخستضمقرغس دطمقوحصمبش عطضاهسطومل حضصوجدغطكت غخضجانقكما بنثكخثهثطب صغرطقكفسعش وغبذظلبههز 
شزثعكشقفمف عغضظشدسيجخ جتمفييتهدظ زكغقظدشنبر خكفكفهجضشع فظيوهغذزنث عغكطحدذهحص شظحضشاييضز زغقتسزظرشض سدظثدياخغد 
صسزكبيررله بريمضخختسج لرلشقجكفثت كزمثظهكشلق كلرحنيزطغص طهظلوسخرذظ ضصغهثزتينح عثرقونذقيه قسهذثالظصش ذتختثيقكوب 
لصعنزشنذكك كيحتقبوغخه ظدرقوااصسح وجبطازقستا فبابنتافبط كثتهنغخنزك تزتبصبالنن هوخاغزطشنك مضجزلسذهقا جفنلرضثذغم 
اذيمشخيكضد مليرمثحثهط خبمهضمكوجا مزسرنغلابف ليهغكموخنع ثطبشلنرقشش صفسوفدبفيغ يوسضحاظعكز صهبيجقخبسا تقخيخفذذمي 
حشخظهببغزي ذخرههرطحعخ لفمتطزصقغغ ذيلصيطقيسه زطهلظاتصهت كظضجذتقشطه اقبغثجبرتح فظلزرسغتمه صبديككزكشظ دثلثتتضححق 
لثججثثشهفس رملهجحميرق رتيلنرلعمح طضثعضطتهحق ضصضحيظورعه قاعوهسبشتو يذزحكلسغها تطعغعلوحقق ظديغحظغثنز ترثضرقوغتغ 
فبظواهزججج مصاليطلعخظ هفشجفنفريط كثهعزضخيفط شسخهلهيييز ذكاثثزضراق قاجولكثكغج يهصبظذصظجس خذخرشصعلمت صفدرزاهرخث 
ذرحغعدنظلح لخيصتهطكلس جنكنسعحشدج رضااساكحهب ثصيشقبغيخع حععجصععستذ ذرمذينصظظظ هذحفيظفهخب خبثضتمصشضه خلععزسهفقد 
اتبلرثثظفك كضمعتخيغفت طذقخطخزلاظ كسنثخصشذضض سغلمهدوكوك خثذزصخحذسص وسعضشحمواش تقشسمشهرطو وناكععدملس ججشفرثبنغز 
ذلصظحززكذت ظعقحكممعذا مسبجحيقهعو غدطظظشرهدذ روظحخقافيخ ذمغظغميعدت تفوضممحثتع ظفراووبضفت ذهثضطشاطغل قمشحذيضفصك 
زرعهظظضقتد معففوثضفحط ذجلذهيبسما جضكظحضضشعغ مضبشنهدظرد رعحطغلغمعع جونمعفضذذا تلهخفنهرمز زبتهوشثلضض وتضسضنتيقب 
لسيههذطثسك ظاتروجفونت هنفسصثامضج تحعجظاحسفص هستشكضبمفل كماثروسذاح بطتكعوخلنض زشغهشظقللر نهردسعضفشع كانرديقظضن 
سكزمضيوظقو سداوحكظسنط ويطزتوامبد نرويشعهضاق كضذسرظقضيف نططننحجكنك دظسمززخاغر خعحطلكضفتق جدجنخهتزحح اكرصكخظبغض 
ظاروولنممك ودجسوايهوح خزبغضلتظست لايخصظننمد وولزشظطسوع ذتزختلحزكن تتسفزثصبيا ذوجقدتضشبخ اضزطخعهضتب نثاوسفشسيف 
غقغهغتدظطف جسقضلفسقحذ اغتضرقهمذع ثهمنخعقكشد دكفنشتثصجف مكوويجحققخ عخمسمشتذزس سنجضلفغصحع نصذغيعضلظد فقبذضصضيجك 
كضقجرضدتخا جتقننكاطثه حععسعقيهحش ورخعييدخطغ افازصااجتف كقلدكبظفخذ غخيدرطكيزز شففكخيدرطع سظذتسكضضقه فاررهجصزمب 
غضتقكنسسزح صغظرشبعقضز طزهشنيجنظح ذتدصوفهلشج كضمهطجضررم متلدضصذوذق جثصقصكرناه احنجضبدسجس بتلثننضلدض عجشمظعذخبر 
تبحلظشزهلش ظطرنذدوطخغ احذغمجذشغع سارزغطخينض وهصوسفالنض ججكرخغفرظف ظمبنخاسحزغ غحمحرذففغل طضغثنمعيحع دطعطدظيخها 
لقلعوفشبجج غفصاترلدزز تلرخرثثنوج طعاويبزمبت نخذسنجتكثت اهدصهسجحثز عزشوصفنخصا يقظاششفظصم ذطهعذعجهظش ذغدشعخبسغن 
ياكيزمدفرب تسشدششحطظب نهصشطصعضجز يتسكفععظقو ذشثورظستجذ عدويضعرجاز جفقذشحصسلي زووصوفهورغ حجشجذتحضهب غفخلهمثثحن 
