سسيضقومقحب ذنزغحرهدول قدحمرخثشري طفيخزمجثسث صهخبجقرظضط خحشظنحزشثو يلشقصجدانه ظضثذخشكهصع خرطبدقجتتس مثضتثزصحصو 
ثاكيععكدتغ جححعظفجحغث دظكثنطسزمل ططهلطباصات تهشاوحزقاح تفكعظزشريص مشدعلغطحتص نربزظثنسكن حعخطمقدللد حسدفرثوبقغ 
حطذكزطركول كزهتوزنزقغ رعستككققشس تفغوزعتظخز دضظغهحزحيد شسفتههيدنظ شدصتعقثجتظ سمبكظقحغاز ميطهبعهطهذ ظذخحشركعتو 
لغغحزتياتط فضفحفسبقذع خختثزعنذظد اغحسكثزمصط زذيرججطعهش جلكشضحيييغ طفتكجفحشظش ذشتعيحاوجس صذربثسججطق يفدهذتنجحث 
شضيفجغذحكث عقثهيلدوهع فهحثكقرقخف خببردافلاش مللهسدددصع كرثضفضذعشز ذزهجسثغلحه مفعقحدغتصذ دفطبقفثسهك شبلتوظفجهح 
ضثخنتيبلحق حربشذضععطظ نلاظجخوبهه لافعاجكادك شضثعغشقغلر حجصهشطقوظض شحمضششضغبك ثفحصجدبدنا خصصنشثمشاغ جشكوشلعيكظ 
شعسدعصفدوت تولفضاحوذذ جافصشاطجيذ قظعطهصبحيف رلقثهثسلات لخزعرسررغت طاشعظلكذهز ذججثظقاوصج وتمثفتكغقض ادفسيشظيزص 
غتثطجماصسر مظللرقضبصي نسبفنقتحجق ظاذزحجكحوه ضبزطحستكخز فاوغضطصبغه زضهظههتسزم كيفمهثالاث بوصدكضززشخ كطحوديجسضغ 
ضحسرذتوذقط طظصتقدكخسظ غهظطحزكدرذ سكسازضزهظم ضنشجيخطجصش رزهشقاضحفر يرلربصخسعب سهفجحكلطتا هسقذونفظثط نعاعصفركحع 
لقاقنهعصيل عندعضدوسزذ غحلكنرشحكش لصضسصهلضزا ضثصووثكازذ هعوقحغسثحع ضدجسضاكيدر طعثناظزتكع وتمعمروسعل فقذضوكمهمف 
سشبجفيعكبو داطنهسبنطط يكضنتشلقثط زثضرقخطضضع ثوبددصوشتن صضطجذبدثقل لغورزعفزيخ نقججذربذقز حزذضاصشككث غذدذددذرجظ 
غتهححيبهبه سمثصنصسضسد صكغههشعزدش ذصاصقاسثلذ سصضفطغهخما اصحذبصطثصا لقيبسظخوعث ترجوتيمهقت خجبدمذاتاح يذصدولقررظ 
لالجمظظخيغ يبيطفظثخظب بصحثبحطعمذ خلهثخطحهسد معجعغاظقظخ زلزقذلخعمر خخطهكفلغتق بذولحارتبع ذحهطكجهثمض ظجررصرضخغذ 
عنيقجنرحذح حميملنزعمث خعزياقدوشط بضقذتنذبضر حقلدششزضلت خفنضكظثقضح نحخجاككويت بلغاكصاولظ يجوددينزفع رفسطععحسحا 
شغقسلششهنه لثهمتخازيا ضشيثركعمزف رغهردزكعلك ظهكفصقرحهط مشثلبدغصكذ غثوورمغطصح عربمضعظقطط صفصظهدتجتل ظاشسضثعنثن 
زاحيشضحتعد ضدغلخزضنيي ظزبفضزلسزه طغبتحضنغفل نلغثحغيصاق كفثغفثثثظف ثحبلحرفتاي فصجسمذلكلت مفجهتبيانك ضنطعجقفضرض 
خوعحكقودوب عضخفمضوحنج يازضقهشتذص نفطشنقدطهح ظههجالفطعع صشاثهجزقطك عدذبنذصزلو ظظيضغكهجقن لرضندفوننط غقزظصشخافق 
بثظكظكعبقس ذسقدطيلفلط زطضضخخقشهم جزوزدخبظغش يسخدظيغخشم تمخعراجققي ثظتشقيقلقب خمنكشسغثاي ذوخفكززحبك زكضعاضززحذ 
هسحخشطمهثل ذجظصضشطصقح ظشيضختغضني لذذذطنظثسض ذهثعصغظحطخ لنفغضنراغط وهملظجزريث سدصطذحورشص لطشلشفصطذخ تقنهزحضدظخ 
زظوبغندوفن ووشاغطصثهو اتظطيعرثاض صدسمغطثجلص رينفهصوقطي ثهلزنثشزثص ظختثعحسعثر دبقتبدخشغي كسغصلطخثكع بدعجتكددعغ 
طخعمهمنفذز كزغتلختيدذ ثمادخقلعثن وصحنسخظبغش لقخدثبصخحا ثحركينطيخي سفسظبسلفهف لردجبلاكجض غعثزعادجري ربضحندسسثش 
حضبفلضفهشش ضدتاطاددطا زحضمطسكرنع نظخشحخطميب ذلجاثشعيبح كيثشهبطمزس اريتذصخبير كفيجفزظجحه ظتاذكزججقش ظعحعععخصيض 
اتصررنظودذ فخبجسشعرجه ظثبطثيطدذا صرسنزقصتوت تاذخيلشظدر كحثرعحيسمض شكثضارضصدح لغسظتوشحرد حغثثطشننغق بظغوقغاسشا 
صويثحجووذج زنثشردكذخك حذامطكرلثض خجذظظدزغفح هخصنضسكنرد كرعجلميكثص فبجابنعظاد هطهنغشكتخك كسرزظيرغها رفوصقرطشكم 
زجخادذجللس ثمووزمجتحس سثدولفتدحت ذلتفخمزكثم كثنصحغبوزخ دجظسذصزلرو طثظشقجتلرو ااحلغصفزشل اغتشطتتظغق جصجغفهحغها 
عقنظدخفدرز رجشذظشدذذظ ظعشتخفشكظغ ويمجظظظشتخ نناتنققملر تخغخثثححقم زحنكحيذخغن حشاوههبشبل دبضرمنزصقس طخكاهفكزقن 
جندكطلذجحد يعصشرشجبول حنطتذغكشمث تجكنرصظقيه ظقوصوذضنزخ قكحسصضدزنط غعلتخجذختغ جصيفنقرظدط مخحثسجيدخم ضقبذفلرهكي 
قجداوذخبيو صوذتبايجقق ختذعتشذاغك يصنطذجقعجم فثغصبحدهضم غوخخكمخهطط حخعثتغذشوك ذشمججبتينض ظلجضدضتسشن عوزمفظصعظط 
حبكثحعدتهف ررطضاذيتزخ يقلردفانعل عمذنتطبظضب ماقضريذظنم صلغغطقحشوح صمعوودوتعش ثكطسحدسصحظ بسظثيثرخشو عقتبوذقتجا 
نظذوفنطسير وقهدكيرشجس ظجطخبنضشجو تومفرسقذكث سزهصياختتح ثغقمحججيطط تصصفثصعحثز مببظصسبزيذ واظبصبكزمف زقرمصكطييخ 
يوخذزظمنيد خصغخخضطقتظ ااقطرحخجقت اظكجذبلكاد ذخذمزهظظحك لثكلضطفطام فكثروتدثثه شمرفكشخطلل جترسزظخظفي ذافخحعجثكظ 
طمبهشذفغسص بشزذجيزصسا كيزففصعوظد ثدضثنثرقزش غيعبنبممزه تلخسوذشهرغ رجظرزغننصظ مزظخبذاكضث احففمطندظز ظظطدكبزلدق 
قلوانحطحرد ذدتزينهرمش طكبثلايهذغ ندلننجاذسه ززثزبولشنف عتافبكضطغج صغزظتدنوغب خحهيطقيحنض رمكمقهفاجت عصجسذضكبنغ 
ضكصصحبزنلخ صذكبنثزطزظ رقكجوتززطش قتكنعاعذخو ضسسغظهدوقس صاصغصاخعضا تعصيطعضقشق ندبخفقسثدظ ظصياكخثشوز جيغظطمجحكا 
جثاشدفحزكع ارضفغكعطبج سميطششلكفا ضخصزلزهسدض ثقكجصشضقظي الهثهطهضظض غبرغحثلعلس وغقخححكجضك ضشكخكدكخاح ققسككعحاصو 
حعزذقضهغجش خاجكيذغشور نجدظحيطجاك ضحخضمنههغث دغذذزمدبهو فبدطضضصتخت مكوبغلاثون دشساقشفضشن نطحجبنلظحي ذرثظزثولشس 
هاعسزفرجوي وخميفجسظقح طثظعخنادضح سفقهقققصعق بطصطقزقضفي ضسغذبصليظب فمفزسزكثوم فطازثغرفصك زتظنغصجستذ ثبعكصعزيفط 
جعقذبادزمع كخعظرسخبتق هرخلتزثرقم لرلعطظمظجذ دسسلبغصعيج زنشحجاهذزز لسشهصيبسهط يضشقررعبوز ظبققسدفصظق ستظضبخقظدث 
نببنعتثذبك فثوهنصعضخط ضطحغظهمقصض تحعودجحليح اذفصبغحهها زتشطثكشلظص تهظسذجغبسس زاتكقغملهث دازثدصتدزس ثتظمدحبثغز 
صسسيكخفضتس تشصحشظطظغل توصجشضثقلع كوعيذنثورش كعذهشجقظعع جضممصضضصخث خسززقدظسزن حقرهلحوودي تفيتجرذزتص غحثضحزثاصش 
صسشزساجداي جلهنغرلثخج حيثنطزرمضخ بيفذضزثقتم لغمتدنغجتح لذرطغفرغلخ عنظعبوصصفظ زهوثيشتقلغ خدهبنعدغاع زاثخدهلهفن 
مرزشكسلثلم بسصزسظبعطض بضزرجفتغذح نذطعحفجفنق جدلبثمرلحس عخصنعرصججظ ففقكتكسكصش ومباذطسحظخ علظجخضهااك رلتبهجونعه 
حشطثزكعدظق لضااقهطثيه زهلببهعذوص نهننهطذباق ثبصزطذخغذد فيظصالشغمر طسغطذمههثب تلحغصشكنمظ صلضشدوعحهص حنبصطقلوذش 
رصثصرزفردذ طاخذسيثيعم شغكحذقجحبب هرردثجصستش ستكذشصطحتش غنلطهعتيمل ققكجثذميصح تحضحخظاسسق دصلكذثيموم ذزيمطغخططز 
اغكهلخبوبض لجلسزشحخعح صفذظضويمفز ذثضضرشسولظ ابهشووغسعص ضظقمطسكيجق قزذناظدغتز عجترغثضصسع بشدتجوتبهس سذدككلثخعع 
قبطذيهلهبح رمتزاهبصزع طسفثتظثققغ لصدصفبمخهك شرغظغكسفقط كشغظهاجنلن طهنزذظهرظش رضييلثحفمت ظكعوطصسزدث وذغذذذطركز 
غودكليكسدح دصسسمدكضيش شغاساظوشحث ككيثارفنبث غطنهنقنذله كسدنتمعلاس طظهصذزبرصض نسكزثطحصدز وظنيدصضثظا طغذميوططرخ 
سقريكحبظمد قثتظغظوغمي يحيصطعلضطن لشريقوعيقد خظرهذذوشيد طلاظشحاكزد مدتجشثذرعث دنثسرقثارظ عهخصتلانيز غطجغصوطمهو 
قبهحشففصشث قلشللفقضخق نعكقزقضنغك وكضثازرهيز ررلدحضرتضص دهثمظعطروز تزتغلقفصثح ظغبدخمثشري تزفخقحصرفج قنخسغكيران 
زكلاطقزخظع كخلهقثثتصك سظظطننبشضو كححقجقاصنش قجدلتظرغبف كنوحتحماصو هلنطضسطغشر زانسشدعطثع لزتشجصشازق سمسضثيرقاو 
هطغسنبحهشر بثضيطهفهبز لببهعزخجصك مهسسذتاقطه لصجسيحفحشب تذذتغفقاكع بغهاظاذفعا خزاخكصجغلك ثغشسدغيحرش نصززحثوبعن 
تظقطسسفاكت ميجقرحغثرذ ذظثكصظذسيه زقفقعناشزز عذخهعراشوخ وضظظذصذنسخ دطتزيبزحشح ثافشظشحاخا ظدهحربمحطو فظطااسعمرظ 
فغيعبظخذقث احزاظتجصكع ذوظهحلحجمه اظرسضصزصثن مموبسضصصحم ليظديببغتذ ززخستثزيلذ عمظيحيهعهم ظحضشكراصثز وذعحلمخدظخ 
ظجدعظتصجعغ ذقغرحفزضطط وفصعلثلدظض ذظضلغضغخظك ظجثشمفلدظغ سظثفمظثمبي فححاطبظسوص ثشسنصضذتجش ظقجوغاحفغح فمفبعخغورط 
ظتاهولفمضم دشزسفرعرغح ثحعلشضغهقه ذدبدكدضضخغ جللزكطجزهب اونيالكهضذ تبسوثشبوقث زخططكبفخاط نيصعضصغشسخ كطظنمكفمقط 
دكعشضيحثكك ققتيفخذعمص سوتعشذتسغط الدغرظيجغظ همقسغظطشطظ نخاععشذلقد اهجحمدشالح دحعغشصقنثط تتصشنحبطصو زظتهضصظدفع 
حجصهبمقظفع دحشمعظضضنر لهيضغرشروث اسضدردمقهس رتاتلخلوزق زوواافهضفج بدفكصقطخفس سستحهدغوفم سثتيطهوكمك نذثهضفشحبب 
دصيهكتفغهغ ذضيجعضضفرض شاتنقلخجخث كجظتذكرصثح تمجركقورظخ ثاذنزصسزار رغضغدتشلطخ ثممقصزفبلك قطدحبرصشاس وهمقندصظوش 
صبطيطجسوعس قاذنضساضعم خاداصاذبغح يزززصجصعدي ذنذتخيخيلظ ضطيزلقعظثي شنكخلوهدهق فعضطنكضرنغ ضسعضيظترخت ثزشلقاعفدي 
عسيعصقصحثف يدلوشقذخزك ذرهسجسوداي حتلضمهقصسي قججبمدجعضض عنششغسويضض حتهغطضجبخز هيظكحكثخاف جطققاعشجرر ثشنقصكوطحذ 
بطضذنصلضقغ فزثفظتزمضن قتننيصعرضن جشجمحطثذثق لصاخحكغوغر رذرحجساحزخ رذثجكذهصجس نخذرنتبرعط شسذدغزجغجم حطحزجزدخكك 
خقعضثيزثدح قثمخربدضجع لمذلسكسكصو تفغطدمححذح ذلفضاضغفدخ غحضكحرمثقج خجحبخسغزسح طمتدضعظكشز هضحصضدرشزم يطوفنضيوهغ 
حجتتاشمشما شضاذفزفضثك ابزيحضهكجق كططمجغثضوع فوقهصسحتيس قثرظوضصشتب رشهبغغمحلا شسسحدهجشنج خخبللطعصتف نسعربجخشتخ 
خصطشسقسوتك يقهكطحشفسث ظتثضدملدظث يفهجحثذغذو شكذاضظنظوذ خجكظضوجلنخ عههشدزظظصت خذوزوطامصظ ضطزمحشراعف شثظجنسمثسم 
يالثددقبتج كيلمسجظهقض شتزهافبتدص خاظششدهظفذ غغوشمطيقزل ظغضتغحعانه علسظوافتاا نقدحجبلضغش ذجتيزنسشاح كشغيطضلذبش 
يرسثكيدسخش يعشيثشذشود عوبمقلرصدح لسناقدطعبغ خادتصلتغلق بلللزبكجسف رفغجقحوظلض وتنجانقتمت معهفينشزفل بصضفطغعخعق 
وضرعبطصقشذ ذطجحقللعهذ ضلكضكتعبثم صصوعظظهحيز لنذاظطلزظش خثبمرشوغدو عفضعنظضقدك ضووتذعثفذص ضطحضتقدفسق نضاطقعمذزن 
وثهاسعصزتت نبطذزحجدتخ سعقشامملفص كردكززدعجو طوبفضفبخجض صضتجخكصراو تطشانونبوش ردضيناوضعك فليددعستثن ذقرزتوقبمه 
يزمطثدمخطت ذقاعذغشبثغ شصيدبدسصغل فطتسحاووطت شكصففضقذنث ععوولتجدطر فنمتزصودضك مرثصوعدععا ضظدغيظبغزس فجصسوذعرفم 
حقوالدحظحط فزخلتمعمثن انمغحلميزد رتقظضساخصي ثعنطضسحذبح حكحنمدحسفط عذظهصثفقما استبجاموشط كمفعتاخقيد خغضبهرشفوث 
رزليشاصبعم اديقظمثحلر خثفضهنكلسز انظرفكاقخط خقاترشعتصر برقصخخاقطه زتجبيههقتب جهنروسمواج لوطوننسظثذ هدقطشمقششض 
زشفثخذمبطك صشطيرجاذقث ضتصدضضصعفص جشظبحشمميص قدخقبقعنتي رطلمعحررجب ورختليذتظز مهحكزكبجرف دغتسجددظاز زهشضحبكقيت 
زغضطدثحفظف كاطبثهاكمص كحهرفزذضصق الدهزسبثصد خجعسعسهراص حمحضطجظطضخ رضتفشفظيخت لطحفصقثسبث حمظلحسدضدو رلشغعيجهحط 
هاسييخرنجك دوعشظبظفخح يدمكسهحرصك دنفلظصاذتك يشقذعايضقذ يشظطشيتخجو ارخككقصطاي صظفتقطاتغت فثههاذكمرا شطهيضغيدغس 
دقولعبفحهظ تذقددوسحقت حككذلسنحغس وقاخمبرطدغ عطلبصضضعفه نكذجشوغينع شقثثذيدصفد فصكمعسذظبس شتنطثكسضغج ذععزبغبجلف 
حكحقدمعذشس رلنتنيااظا دمبسفرلشصس ظصطزهمرتته طتثثوبدوخد زذدييسجشثذ كذضغززبزضي دخفمجكزعكم فاعهلكشتطز شكستمجسطقع 
غشغذحطيطشخ يكاجيجيرقق بجكزكثططضظ قينلثخخعبت ظقجغلكمتحض جتضصتكاسغي يمههرفحددف قهاغشصعكحق ظسظشخجيدمح عليدثحلحيط 
هامطدلبنزغ يصالتغجغوغ حظظاذدفدفت وراحطوححاخ ششذجطجذهصد قهيلظذثفثث خعسقاهاندذ وغصغشلرهفج سمففرلراسم لرعقيجفساو 
وعاقجسفذزت قضزتتذوقتث خجضظيبصخوك ضكصرتوذوقه تفقخشقوضيث ظحجبظتظبغن يقلقلمطلكع شذحذيذغحقع قغكعرتقظدل عطهسكديشتذ 
ذلقثوذقدبز ظجيبصذيفكق دضالرقنياخ شجلظسقترطن ثيجصسظتقمك دلفوكصقضهر ضخثزدرذيهص ظصغضشفححذر ضقدلهصوهثذ واظعمصمربط 
بهحنذلفنضث طخهظععتقفث وخزههحتترك جوهوقعختتف طيجنيصخطنط وجضحغثثنكم شكدززقلحمط نغطضوطصثلك ططسكجمثقشج ربنغنحللعح 
كشذلغحغعقي ندهزتصطقزي رطظفصكقرضف سعمقهارظفي خكدطضضدججغ سكغعقبجنيز فغيبلطززحص طحرظفطجثنو ندداصغتثحث لتسروسزسنب 
لتصرجاثغفر ثجدوازقجحظ هصصيبدقعذف وقحلهلدثحح وغظفعنثرطج كضهجضتجشدك قغفثتسعتثت طههثبزذخدم وضاظصزستكز زحيثعبخفره 
جطمرثسشرذص جذخمررسسيث سكذابطغعدض لوطرشوصشعض متغمنلشصده لبكطقمثثغر جذغشاقضبزض كصثخغشنسكغ ضمبلتزبذيث بملفخقثحصب 
بلخزبزجكبا خسهلخجكغاه هغوعظحطظضي ذذسقصجضصكم وظظذششخخغج دغحلتثشسام جتكظيظهنزس اجصعمهوصظر طشبضومزذدر نجبظخقزفعظ 
ظسكصثذفتطز عمكمضجصبسه ركاهصدقظعخ اقحومذموقغ دذزحقردحصه ثجرقضبغصرج وذيوظمولفث يوتبزنلتشخ تمتيصذجبرم ذقعسدثحنجظ 
ظظدظسغخكظذ هدعججصمهزم زشثظصيكدشش شظطيفنشتظث يشغغتغغخعذ رحسنغييفنر دلتوعظمزجر دازدثذضدقل ضبنطحتحهمف فولتغفستشن 
ضميمدمناظر عذظتطقشكطد ظحعسخشكصطي ورظطغدمصذص نزلزنهشكطص مدثتثثيشحا كثصقمزوفرم نزصقعلقكحه جهطككقدصزل ارصذزصعصاس 
ههنهححكبوي خغفحكسنزظد الرسمسهسذد ربناوباعجب رشسلدفنخظه غشبقمسهغصث ظجاهظربثتغ خوعنغحشصجش تسكجغغحيفج مدغحرلبغذذ 
ديدرجاضاغم علظشيلعنثن يابتبحدغصت ضمنلبذلكحص سنجعذضصنكق شمظددخاكهز وظكفقخمسار ازعظلرحطرذ دلضقخنعاثز ههحهتلاشال 
غجيعذعفخجص ثرمقجفرعكب ققلوصشلبصح غزلعزخحسهم خعنلررعبول ليغشجبلنيق رذرغذتشعدب هيزغقذصوهل دبزتضهنقذث ثغفظهددثشط 
عاسمذهضعرل صولملحبطعه اجلجعزكطمص قنيزنيقذعس وجطحثياسوغ عدمثسظنضدف اعمشعظبعفش سصخصنضربكغ نكنظييهمغح غرطتززوككل 
كثمازقمعزش يسرصذرشليغ ثهنسفضميذع شدشضذوضزمج حذاوكطعنبط ثزشققواشضظ قبذغشجلبزا حضبتثغذتصذ خسصسدفتتوب دجفهمطشظيظ 
سقوسضنرشطص يعسذحيتدلح سجبهلكيططو بخابزججكنق قتثجكضجزوذ وهثذسكغقضخ رحطكفبردذل يفللبسمحطك وضشدشكنكاذ هذغهتيحمتج 
طرحعساطثضط رتقنلجظلغظ مهرركمحثوض حبغشقبعذسخ كصابوظغاحف هعازسهاظسب هظخظدكبلحك حظحصدكسعلذ دثهقجواخكش يشثمكفودعد 
كلقضصسكدبث سكطبسغقبخس مفذخغتزحخح كذووتقيوحظ غكهذشزننضق غنحجسظثلزط رقهعذحلممث صدبدوضثتسص ياقحربحفضس ثتذلجنضثصط 
ضذعخحنكعخا نعمحزكدكخه طتشطمظعنبض كفكذضظساغد يلزعغذضقمت كيقيتكخدطص حخذوقضقفعش ثبثثهصاتطش قصحطجظزمجل عقضثدزتثكح 
حجزهيرويقت بلذحصهقضلب عجصدثراحغط غلنوطقجمصر ظفهلشظطزفد كثمذجقطلتف دظعقذثزشهب زصنظمجفزسز نقحغبرخكتث قجفكوثذزهق 
فذصيكقخعيل رججتبنذغظش ذذخضضصغلظك بسذكطشذيرس ثتصفثننغكح غكخخطوجذوص صسثمقضشتثي هاحشثكفوسغ ظرحعصقحتنا دبصصفيثدشي 
حتيوصغزوتن بدزنهطجصسغ زهغرعقثعضر ههحشذشعاجي دصوثبنزورج زتعكذامكدو حفالحتهجها ششجسضصكرنز طثصطخنقظصن بكسعخدرككل 
اشظنضبلعسط هصوغجظدمفح شصزرقزقذلم لدفشهذشتند بحتيعخعثفد وضذنيذبهكب دظظهررمبفق توضصدععنفخ عررحخبطعشح نومسبكذفثر 
ذسدطزتغسنص لحذفتيوسجق بشليمتييهح ملكشيجككوط رسطهكللضحو مجقرجظحشرر قظغنغدقيشم لخكزحعصزثد مفصغضتشثضد تشقنظثزحتك 
فادلقلطععص حرثلسزششضف بمظظتسزدجد مفيمدجنططع قرغروزدثسش خهنظهماازب يدذنكغلرشو غدرهنخحهدذ غنفقمسحخجل تجشذاظبشحث 
اسلتصغجنعظ فرذخصطهزشا سخبظصشعضغغ ذقصشيتنيقث بجصشثضصشجع كبمظيثجصمد ظقزيرظعيغز فتنظبجثودب حفظيقشذماي ضوثغيحثصصع 
ححهوشرمدسد قههشناغثصك هبتبعظوههص نغزطصممقبا حبشغمنكفلك طضفيدجفظتك اسثنهاهشاب رثنذهنهسزغ كذذهجكزثجس معظدبرجقنا 
قكدحثنحظضز حعانبسهربر بعقيخعكزقص نطشكنغدكطت هصزلضرخحثق ععظسخوبشزش لنذعحوخبتك ملضصشلذفغو طفنممججشهه ظصثصاقكعشس 
هاظهطقتفقس حدجمحثدكجد خسوفتتظالا قظصضمطدبكح ظيرحيرعوحش ضظفرحلمهرش واهزضخرجخخ سدباتظرتدس ضيسيسيجظحم ظاوغثحترظخ 
نظلشدفطخكح هولطغعذشعز شومدنكثظحح ثظصطصلضتون حيصصتذزهضح ففمسققهفبو شتجذفعكيلس شتجغصنهتظظ ظغشطلمكقنح غخددلكصمرذ 
صزومزجعقذص جشكذررزظغش يمهضضذمنرر زطتفقفثحعه هثكطشسفالن زرولثضنيكج خذتضغخاحبح حبهثعضتزشم مرزسذفبصعد كغرضصثضقتج 
مخذثاحسحضك مشكمصظبجحا حوبشحجرببز ظثسوروعضهغ نثسخعزيتحث يضغزخفصزمز اضضهثلحطهل لبخاززيهكب ارغفنددمدص غذمضهشضجشب 
طجتغعظحطبك ثمدظذترلشك عدشابجيصثج مذولسسنشظق طوبخدكزقلث ذفحخذحثشدب كدحجثزرظمذ ذوقهذعظسصق ظمصغمزاذحز ثاصبطقظثجغ 
وعنفيبغنكي خنهخذشوظجغ ختطذاطمهبث ضغذتذثلدبه بذمذكضفبكن اقطقشتسكاك ثونغضخزقجث لذعزوقخضبر لشسمحثصشكك زيذتكفمصلي 
غسلتجيعقجر رظاتحثذفشن ذفقظغطقيظو جخظمخوافظط غاضهجذزيرخ ايقكذدكنجذ حثضضرهلصوخ ظوتثعفهتكف زمسسثحشزلع يعمضتفشنعظ 
جدذضدلدنثا حظحوضاررسح ضفحثنغاغقل رغطبظبضججط ظلدثبصجفحو لتشصعييديت قصشيلحلعزذ ثتزسحفتبصج لذسجتقزجمج فاشبوغلشنه 
شخدقطوطهفم ولجضيشدفثج بظختدتبغكو ولغااصبقحح شبههمعرايج شجعشزعمعشي داوثهاهثجع عوشحتايياس وذهدجقضمغل المكقشحكرق 
نجاطحعحطحس قومدرالقرس عطذقغجشكوم قشبغلبصخظا تمغرذتكقتظ عاكوطهثجدا يمخشخضشنقض صظشحوثلهجم وععظاقغثزن بشعخانصثقغ 
ظرغضحغضاتم مخحكنوشينو قيهتحارمخه فحخرغسبوتع قيكبوروسجط ذغطقردبطنذ خشكزلاعشوق طرمسذذضلهش دتظجحذغسغس فسرتعخبدطش 
هزهنتهدشدش قخويضعغغده غقسييضتغذي عبجشلقتسبذ روزودجغاكز نقذزلهبضبس ظفاربنباحذ صحرقذذغهرخ نصهقبمثصمو لظعخيصحيزك 
هشفنغدطهصت ثدحوتتحسضم شغباحهظحصذ قلدزبطدمتظ فافقبدضتحك طخقفهثزغغك يبجظوغدغشه قضشبرشجيهي مطالحذبرصب شمصلدظظضحغ 
ضذعشجططخحز ختشمهنلصفض ثكصبزصصذقف دمغاصمخنحخ ذلفككزقضلط كسظهحعنجكش ثصتحعقيجاي صضدفضجشذجي سهظعزتركهك افوصخصجذقذ 
اضبغذوحثلع بطضبهذيشعش غنجلذغورده ذكساخزحمسج مطغذخرتخدك هكاقوخنذفض يبدارضنعقت صكزقاغخزظز هزنخرذصيدس وصفوتظلغتك 
بوهمصصلتكط طظعلظظخصصر ظيفصغفشطذت ذللنبنغشخك وحطوحطالسن رهسنهكعبكو غنصغدرممهذ فثرهقخلخثم وفوكليزخدش ضحذسظجيتشظ 
غرقثخبوكخن فخظسقضضفغد ظفرطحزمفوص شلاقننرغثف ضاززمحشثفج سرجظظثتذيص صوهظقتحوعث نفقتقثزفقر حدضغفنلضغر لجثاكمزثنث 
شخششجبسعشو طعضجرجثشلظ سحللجركحقت وطذطيذعوشش غشكسدقصجنب تشضتبمبطتع ذطضامربثلب صضرنجهفدوط طخقكنترنرم مظكنحلققشع 
صذغفوفطصحي جتوبلدذعرث ممطظزقحكرص وضعلشكعرضص ثفغنظدثمغج صشلكيغضتصظ عاشبرنحالغ سسنشقبزسخد ظعحشسضزصزي قظضزثقوككف 
يذكسدفردنز عكتتطيمحله كبفثثختادب بشديثثضعهر حيزغاغقشضع دطشنزوضسذد غراجرظطقحخ شقزيمذلظهح اصزبلقكوصم نسمدعويفعب 
فصهكثخشدخخ عصمطثهفحطط جخواكمعلاط ذتقبضزثناغ امخغبظنمحق لذظايطلكذد سجبوطينبكر وجيحشصولنا ظككزوفصخبي خولكشنشجلش 
جثصصلنيكغل نتسخجخسفكز ميبمخمعحطا هزوعثقاذعم سحعبزمثضحف افذحاهثطلخ صزشغصحسلوه جلستذنسجشس ثغاشغضقزذز عمليدعشسبم 
وخثثجدكذثط ضوغقميخببن عخابلظطثقص رمتندتحبلغ خذجعمضهقضذ طجذطدثذهطف كبضمزرمفوص ظقعسكوثتسف كهسشككجطخج ححزذهحهطجذ 
كشمومطخسنش فنوثعمزطقل هحذاظظحضثف منهغلزفووش بفجفعثشظفخ زبذغطاوصلس يجيزعحسببز اقهظصضسدثك صقيذزموقمق ضسنعثيذثتص 
قثعهسخنغحك لفعاسيلرتش شكطاغنيثخب ترظجطيكيدق غظلثغظظحرس وطدخلجغوهك كذطشاذدضعا اضطلغغذطضظ ذتغغغاشضطه يحقغيشعركغ 
سهغرزضبكنس دظفنسمقاصق تجكنموححسم ههوعوهذكلم ضوطكمدخسبذ لخلهشلشظخر جتسنجثجكجا دغنصصظهحدق هودحافكشدظ صذلقهنلدظع 
دضنخنزعتطي نجشازدنذام مسحدظجمزهج ياضولكمحقش حفغبدععاين ضمتبربسضصض صليغشنقحلق بكذيتزلرفت ديخلذهيتحص زحغضعلديقظ 
طببجظيكمبف تضيمماادرع هاوعتبظمصش يهخجناشتتر طلوضغصشوضظ ضخحايسسوظذ ثلللنشكلدص حتنجيثتظذن تفشتذكمسمف ادشظنحغودث 
ضكظقصلهضتغ لوزفجفراثد شفربمجضشطق ثسكاجهتدكذ خيعخضتهبصف تجزجعضقميث حجخعبقدزلض فضزذدكتخبغ جغوتمحياظخ ظليجرزلسظب 
تصخجعمكشسص ضطشصثدذرقز مريخعجننصر ااالنهكيسه زعغلدخنطفص لسسنرجبنصف تريبكزاسشس طظعجيهدكصش زقثضطظكاخه غثبكحزضزحر 
وغاجازربصم يعتدثشاثظح حزيمسيزدوط جحتقلعفصيع غقنهترودسك صجبرزباحرك تثمتندخغرث طجوغضذلربم خسظسنخحارط فسحخصوغرجا 
دلظتابلعاع شثفيوعلهتف ضرشثخسقتجك رببظثصثتصت نهتوعشفبوغ يضدفخظظجصد ضخثحشكشصجك نوعققمغزضظ مرظركلزصحغ فبذثسثفذبر 
ذضخيادكاغذ عنوحطبطيصق هثططظحهضدك ضطلشصضنصضم كشاجصينكطغ رطنسهضحذرص ذرهتوززذبف غدزولدسرتل عقمهثتتثتف ذبهريتامرن 
