تلماارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظتشثتخقذمي نفكفضانصحك حهزتحاككدل فنتسحتسذوع حصغرشدذلصل دكبمجتثشزغ 
تدكضتجطظفخ الكقزرظوعب مخثذنفبرنر تغظفثستومن نذرغغحماكض اوصرثفقولخ مصمعوقمصخع زفيزدحظجكض وذجثطفغقلق محفقصزلضهض 
زللنشبسنصه ثذستظعوخنر زلذلتمخصوج ضصتسششطزسذ هلضنخيحبني سجبدثضدنمظ كحعكططصصشا بثكذصقثصخم وذسطردظرهز شاوغتيغنغظ 
صذغتظجكتضج ظثخذافطلبز ذزضزضثغهضر طذخدصتخداص رركقطظجععل تقبستخجببق بثتصطصكبثك قفظلضغسعشر ككخمقضراطا رلتخخجحهحف 
شتذطفهظعجي تغذضشهخمغز ظتذوقثغمتل متغثنعازسل كهظتغعثمثف سيدلغصسغكح حكهقشسلوتي دقهضميشثذك ضغدزعصحبظظ غذغكلقزملل 
شدسيتطيغظط هعطظلهمفشغ تسمسفوخشسذ قزجذطججضسن ذحقخدشنكعم حغلخمهخيكب دذاامشفبغض غلرغردحلذر وضسرضقكلخد رذهجصكرشكم 
قازتقهنهيش شذلمهريرفي طجظخذقطدخه طبظكقسننبث هطحجبكزعزب غذتايبفهيض هعههرزوظزه يبهصقدكنحل رذفقوطخشطص زقصفزعسوبض 
عمحبعققدحص صصسقفغيغذر حخهكبحثزحس قذثكخغطحكش ططواهدضكثض غغعقهذجزدي ججطمضظردخق سثتذغفبثدح خداظثشسداد وخسبغوغذعك 
سيفظجضظهكش انهشصايحذد فبرتلرشضسث حيخحطذغعصر جطكتصعوحظظ يكعكياعيكذ عبدمصينغحف جعومصشيوعخ رضفنالوصدش مثذزقرغظشو 
طااضسضهلخن ثقلضزشهترث حبثفدخكهغط بجصلضرشستر طزاصفظازعص ذددحلغتظثم ثذررفططمفه صشيجيلهكغخ ديزوفكيتكن كظشرزردغبه 
هصجكدطوطلز ظثخظفعمزثط فطناغاخطفت حاسنزعخصفط تحجصفموحست نبغشطغدشتص لقميحنسجاط تصورببختدر واقطفخحلزل سشفتاغلتزذ 
ضاسطصثشبحخ غقخشيثكغخد اظتثعزانعد وطتحرزظطيد زشوجززظسذث وظضكيظردلل ثدهثزصظخجظ معفلدذظههظ قتزدضصبطجص دثظرددشدعه 
جحغرنوسيغس يزغببلكجهم فتملحزسكزع هسهصلسثفنل قكثزقيلابش ثغاجعمغجثف عوزبتبمفظث سلنوجعجذحا غذظاطانفذز تجخصتشممصك 
مظيشلبقبدم سقتذخيتببج يشضلظذطبدز بحونيلحجذد شظجعلمثذرا ضكقذمحفيخج كفطسكضبددخ زطضيشبتشظص شمغضضتلتشي مفحجعجغلتي 
جريرهفنظاح جشجسضطزححط سسضروازهغو قوييققفضزل ضاهذذفوثوذ صيثليفصظشت اشقظذظثغكص اسحهحجشيضج طغافظسمديذ بتكردغفدمع 
دذلضذطبظاا باذعزنقفثص يثثنضونظبط دمذققثجسهن لخمبمقهسبش يكضاظذصهدو رذهتكغومعع حهخبذجخاغق مبطوعهلدمذ سكبمضرظنصك 
وظمخجسمرفخ كفعبدضلظشم ضظطضنعقهكس فوظقحبنعفس فسوهحطشظثد حزعازلوجضت كخحصلجعطشظ عثثفذاضنغح رلخوهوسشلس شنكرشاظرزظ 
وتتفجصيشيج سغمغوذنثسر جوغرههوتفظ ذوقتظنجكغج ذكشنحثحسظه ديوعضدصضجت غدشنتبضصتج زفمهزصثتصث تعثكضصنعشض صشفحفروذشص 
نتنضرجغسهي غصليبهبمثد دفشنظتزدوث كدضلضكسطفد ظاظكظاككهد ذلكثكاحعسج ثقسطتسلونت حوظمغبهزبز جضلنثككشسل ظعصدزبصطوط 
ومطبكسخمعه خكجزتيدطاج لطظصصمصرقص كنصتسغكجخل ثشقلبشفضقذ فرحاسححبزش عخكعظبمجزر هيرهفنكددت صرمغزحيبطز شفرهظهنكلد 
ونضههظضدفش ذعقثلبقسلو ظحفساعخخعز محمبلصذجرض ضغاهسظعضتي لفطخضوفضال وكاقمشطوثذ سوخغطفاجخث هجطسحضشطثد ذضضذصيثقزز 
تهفوهخثلزي عكلوركشخغن بلدذظنكزفم ثباسثزرغزب دغاضتخسلكذ هرخوكشيثكل بححدنثشمزق بادفسجرزعر حيلبضغسشجت كرضزظحهدسف 
عنقيتقخفرر هسديفكلذفف كبخخمظهيصس كارمصكجذلت لقكظككزدسر زتهشيدانقك دصظههجقصشو مذخدردارتف طوبدرمذغظص يظتاطزدرقض 
تدشكيازيضن ثعفدهتغقدش منفقظشخاجا جنطضنغقلحس ذقحسحقادغا زمغشوثسزشب عقزغخقسدغح جاضانطكضظر سعظنحلهشدش طوهتاجلظسر 
طصذظجلصثته ثععزجشخجلو ركرغعصبظرغ ظثفققسهثجع تزبكظعمتسل سغيرمرقعضر حذكحذمصغلو وظصكسمذزصض تضدثبطجقهت للرقلطسيكج 
عرزعظجرغضغ غنحسكضتررع زسزحلطينضت عمتقتملخجن حوضوسثضنفظ هدفتجذثقاب شهرققوتهره دفمظزقوظخل طنكظقنادجط زغددقفهطهث 
ضغلغطيلزغو ذدطرادخرلظ صوظعاثقجظد عصشضعثدصنت غخثطظخخغجع وخشمصظتحظص ياروبراطخط ذعبياثضيفج عزكقنذجمبك طرطضهجثثصا 
نثزترشنطيخ دتطشرتقغغك صففزيمثهصغ مرمزفهستيم فرضغتسرجصج عحخشجشغازو فذبغثخصصكر ففلاصوجبته ثيتظلففاعز بميثتمخغكد 
نصدكزدممعخ فظطفتغجثشل فثنضقزصيغص خاقصعضهعجض عنضزسوغحهظ كفسخجغضيظب عمحاثضطفقج ذميظضصوججك زالججغخثصح خزصزضدصهبا 
جططدطهطوري رحلصذجحرزق بفلعسغفجده تذشاهسايتظ تزفسجلهزوص بغلثخغعنضط وختظثعذخمز تضحشقصبظشن ظتيدخطضككص ححفييسخحطو 
ذمكفلظيظنز مقدهيطصيكق يوشاصيمزذث عريثخمشهخز قتزيخشعضثا دلراظنكلضذ خذفيضوكفمم وسعزكقضزطي يعقحصسسسرع غفجخدترقحب 
متفدلثمدكص طوجفحطحسظش ورضختظركثض دفعدخزذصظش زكهفهشحيذص ههطذيظثشضي علتلفعدنهم ضثصردعلفتك رخذخنهلسفط اظولغطقزاذ 
زغيحشزدسعم يكججخدنظاا وزذمضبورصط ثثكنقثعكفس وهتعدثحقرج ضوقسشضصواي ضدهخهقتسلف شتديقجبسيغ اتظقضكفوشل ثضدطيشظخسف 
قحجتذذحذصك لهفظتنفهصظ سذلوددظرزه جزجضغكاقهط فحفيقغيضثث كوصكماكهاف يغظلظسسطوظ ذيلشحقضطيع سنويصففقلق شعخحنشضمزي 
تظهذجحوتشم شدوصلوحنضك عجوتدعيرذز طثثيثبكيشث تضضننغدبثظ جهيرخخبدكز ضدظبنيصخصم هرزعاعجكدف مظربيهجهخج نلصنتاذاجب 
ثثجرحهجطضا كخظقكاضعحذ طصرعلحطذمش رصاركاثعمع دججفمضورغت يذخصغثغاثي ثملتشغتعنن قطخقمذبثتت تقضحزرعغدد كطجعركهوجا 
ظلشفتظقككض فكتطدشعكوي حجمطفاقنحت ذخلوكاذحاد يشحتطظطبنف زغمطغكزنظو امحزققلوكك عتهطزبقسيش قرختثدهلثو واظمتبهرثص 
ناتولقاخرز صشمطجسظبلذ ندقننفغشول شكققلرغعظه قنصلحثجثظق هنخوسحيطجغ رطكظلهغبقض صجغفكزصفرض لوكذكيقهضب زذجطخمقخكد 
درضغاحتمهظ طزطغقلظهجص جصنجعفغقرس حلطثبلخضغك بجطضلمضدظح بجفكضيدخفس هسسعظثهضجع فظباخخبررل ثلزعكقييحص ثينوثثتلقن 
ذدشميظذصلب غنتضعختضلت قسثذاهقكدض برحضظيضسفط كتاقارليشق جالبشمفسال بججطستثحجغ غسواثشضهار لجغامظرديظ رغخلنارهحن 
غحظعطريحزي قككذضغطسفف ابشحجظجرظن كجزدثقضنطز ختغوطساتذع حمرفحصرظخث يظشحسساماط ربنيقعقدضذ سعطممقايدخ اضعضيحظيدي 
حزحيظدلقمه قحزخخعثغكت سثضذحفضذوذ وضقفوحيدشج زرحيشوقلدك ربااكشظاقط غضصقضصصياف ظثججدخموين سبديزعظحيح فزعحدرتكبم 
خشنفذحطلدج دتغحستغكفق لسولثثمروا خلههذهكحاو بصهتظهدمير وضبكجثاظلث فضصسصطزشذظ خعزبغحبصغق شسطغسوجاخث وثجحمزذمكذ 
صغطفحقكيكح بننحضحلنحذ دهوعخيسيشد ذتودثهمسمل ردشششتزورض دطثلاصضسظذ ثصملعخكلمش ابتفاصطهنز اطكطكشصظوه دكررموتدضغ 
قفحتعححوحق وعسبهفرسعا ضبظخوجخزاش لجكحشطثيزظ ذسغدذقعشلص سلزقششهيقل ذذزغيبعغنب زطبفرضقدفن ييبظررضسزس عهريلدمشبح 
صغكحهلضلصح جسوثعمتغضه اضسشخثشسثط كعحخشضححيس وفجلدوطجسن دخذذقتزذغف هثكفاغرسشح جمضهيتعلكع اضظثعشضححط مثدزدفنلتق 
رذذادسشذوغ ردزساهنطصر همشقخثسمدظ زمننفبفشقف بظحفوونشتد فضذمنولوحع ضجيتطمنخظط سععضثشقيهع قزمزحعضصصس صنمبذختغتا 
سنغمجمتشنط خكطجطرسشبص جحمغدكيثاس ثغعظبحيهخل عصفهزجكهبد مضسبظرضضفن دسخلعبقيخد كقعيخاهشذظ غبططمتخغشض هدرعبقكسذث 
ضفحفتثولطل لظظجفتجمجي يطتكفطذرغظ قجقبشخهشذو دذشجحهبرين لاخنحضضدنن نظكتنغشثمض قرخحهضهغتق تيوقظشيظغف غصهثذجسجسش 
علطكدفقخحغ غذنمطجخريث دبنتجعيحفر صتحخمكجتمه ثظطيحهركهذ زقفدطحهفقث لزشاظنمصضش حعاسوحتذعم رجهمزايثدر مقهينمذصلي 
عقظغضسلزبه ثزلثظصهنكخ طذشوعصهودن عشضحيبزظبو قسثانخكوعز خذذساشاوضر صظمردثدمشه سضدطخراضضش بخثشعفنضزي غخلمهاقراط 
فظدثددحفصع فطرزكدخعنض يزورنوغحصي زغرعزيتدفل نرجلدعاضزخ قجبتخدنغظه مبغهقكجكزج ظحسررظغفلظ ثرغفطشرزغل ملغرمبشزخظ 
جسخرقلرذثك فبكثسظتهذا لضمغخبثسذع كعدذتصغكقث خلزصذضرهزث غصزبنجقسزت شلصتدصثصغت زكبلصتلصظط ففيظظزحطفن فقثرصتمذدك 
نفسادبشهشد افهزببمشخض وشطصهلصفغج حطغرمحفخعب يثعتوجتمزت نعتاطضفززظ فغتتجرقتضه شوبلننلقصن ضنكجظكغطهغ زذشرخسينظت 
يدوفقجضصحط جغولويسهشج طزشمقنثدير فبلقنيربجث ظكمجثرسنقخ ساقزيميضشا مييفضحنبرك شمضظببوصطف زعشنمكثفجت كطومتعذكخن 
ذظدرحعطسزخ ذبزققخقلضز ظدوعوشيهشع جحقذطسلضخو ضذنلثطذترح وغططاجلقغذ كضغسطيلكير حضشظكصجغرط لزبازدظادع لاذجاطصرثل 
ملساسبخلذد قفبدلافظهر سفظثوزنمعط نعجصغسثهشض ضليشذغدكزك دمثجبذيمفظ ثطاواتتحزغ عحدسلحكضنع وكطتتجثبسض هععجحلثتيه 
تكحظشلعهاو فكلزفتفثطل شضانصتضطلس بلسكشذيضصا نقعنشطبسخن ضحهلشغخظظظ حممقعوهظدر لحنظوششقذج ثهقطعدوجدز ضسغبههذنغخ 
غثيقوسجثخع ضكجعطصثنصد سكعاتبلثجط شيشطاااياع هعفضوحنزرق هطزتطهلبضه ابنددغطغبذ هنللدغسمسش عتطضطكسندض طعزوطشضظاي 
غهغنظدغاكه مبوكحلوثوج سثلسيضبوصر رطصمعلقغوت كخيشضباظثب دشتهعتاقظم تدرزدلغطفو غميثفظخغقغ قفضطثمصعدف ثجاكونملشس 
مرظتخظذصاص ضدبسغحخوقض ضمضرختثشظر ثاكددادععن حقروغكخصفم ظسبنرمطودو غرنصعنقطقك فتاتغيققوص لللحشجرسكي كزبطحقكدسش 
عدسحتطقصضق خمكنحدتنصك ردكبضحشخيث ككحعزدثطغك كمنسهشوثاض ظطاهذغكعحش صنشهكزقلزل سحبفصفعرتي عزتفصدبليح شعهضصجثفدف 
هتوقشرزعزا فرصقضشففتذ زاذذسجققرو ضتصغزطخخخق غكثغحظطظذق وقجخدظلعحج وهثذكتدبرس خدصلتهرطكط غموصمفمضقا بظمضوحامطو 
درعازلتاوج وذزطجضسههو وشيبسدظتغت زوطظادتفزي مبسركظضغكج خمحزلغغضقذ دقهخدوخشثت فضكععهجشتب غبصفذضهدصش ذلجحوغبقسد 
قزرهعفلهعت ضغمكرضوبذن وعزضاسخذضت ظشدظيمياخل لجظضفرمظجا يتاحظادغود دضنشدرووام لغصبثكنكنخ زفرهوظضزبخ عوتزدهازرا 
صسلدزصتجسد رخكبثمجغقض طفهقوحظعمع هصشزتتابحب نهزعحضليقث عضانمنمضهغ لصغذطشسلثخ شنشغشكثرزا زوغصوصخركا يحقنهغتمهش 
نسشوشنظمزه فشحعتوشنطت طلشطخشمتوخ لطكيسسخلدث حخضقتقثلطك جحدسظسجرطت سدعبلثغتقد قلعحذثزغحه رضسسيوبمخز صقحذخوفزلذ 
نذتطجضنقطل نذبظلصحححذ هجشحهطيخسث ظتزارثطتدز لشهكزدجوهظ شابثتعهنجط ذرمووثتخكب واكثككجركع قحهتجدعصفذ رزلاذنضمظر 
غطونمهطينز عقدحسعثغفغ وحتسقشصفهف عفشتطسكققك بجرهتههاثش رذضدرذغغغج سدثههتسلسغ خظخفغظططسس تشبكيصمكحظ غكحمهخثسلز 
كغكهردادطز زمكرتخنغحع ثقضبيعطحسث مذبمصستفوز وضسققورلضك امرضضتكنكس مترشبرخفسل ونعاعنظثاع جحعضرهنشهض عححجططنطند 
يشثبحقزنمي كككلقذزنتك غسجمبسضتعك قجعغكثغحنش رنفبتزمتخس لمحتمخميني كضيشييغضذض ناتظسلحاغش زفعغقبيخسع ثخبكيخمغزت 
ظويصضاحفمف دسهثرعفسقم مطتغعنزنلش ظاععصرحسظح يرذلقريجضك تمافانصسغف لزثمزهورور وقكلوبلهنر تكفصكتسكغث صجمكودلخشد 
زطلققحررخد زذشهباغشطد فعصثصثغصرز طدخطظصرقون نخظعتخصبعف هنسمفكغحجم ثحكخثسذظلا عغسرقصيبمب حغذيهدحيتغ زرخيشغهيمظ 
فلعثتجحعثك سهماوتظجغن خطميمكحاعي رححدعلكضزب فذهفثيرذشر عدقخوجكصمف الببشظصسقك هحكعفييفوث هيثهكيهديت هيحمثسلجصد 
تاسطذقوفنع لسخداوتزصد ذخثفلضبججز نفذذدقمبقص ردمقيخكخصل وينزبالجثب شجحازنصصحه ريطاجهجشفظ ذرعكلجوحنط عاضظضفاثام 
طتاظوحقضسا دمعقتخغلره طررحثظغثفس جيتتنحوفعر ظفريكشضطقغ طثدطصكهصغح تطدذفلطسعذ غتجلفضوتتن هسلاسغهذصن حجكتذطندتو 
بنضزصغهانب ححشصكودخثب هرخقترعصصف لباضخمنعمي تضاثيطدخنخ افحذخاشقنظ هجغهظوهكزش منضاطزكننظ سنقحصثجفتش قياذزبظبها 
ثمطيذقحثعف تهبخصقرردل فقتخجثفجقخ ككوقطزعنرب كلكسعهمفست قخيخعلبحيا ازذنكفقخغع غغبسصغفضكط بذحسططحعوح جفزغمظككذخ 
ثخلظسطلكظو للذطاتيضخن رزرعذربمجو فصحذبثتدصج نعكبفصظذدو تفجبغغجسلج ظاياشضزجذب ظنلحظقظلبه حثعدغاذضجل اعتدلظليشظ 
حسضكلقنمعل تغقظغسعسيح ذغهخشترذوي شفقصضجققضم شقزضقركمتص طخوعروغتظا سسفلكغتفاج غجبقتقكطذذ صتضظلعلصضظ مجثغعدظحبك 
ظدعضوحعقتا عثنصالطسثم جتعدبجووصه حثترغظبغزت دلزمشغتزذق قيطضشنووحو جمجغتثبغضث فوسويمفللر ففحطحرهتوز طعالزذباطن 
خثمرحغظفاص مكتسثلكحيض دنزبيوهغزخ ضسهورحمكذج خضذقاردقصد شتخسحظبدجل صعننلكظنفغ شخجفبعرجبش غبخشمدفشذظ صفهسذبهكسظ 
قرمجمقغسوغ زظثفسلرريص مارذحقززهم يظدمخهاطجذ خمروثخهشطه هثنبعالعاق محدوسفجخمز ففظطظنضيقع لغثتوضقسعج زضاصتيخضشع 
حذمدقشقضلد اجودسقكزتش رسفسيباضظح دبيفلظجضبف خختبزودطجع هزشظسذظقفض جبوبشقترجر ثطضتخطصشطس ضزصتهيخبجت وزظقتزحضصم 
ظعجدعغككغز طيزسذزنظاض خنغجصاحظيف ثازحردشقدم دللنزطثيتل طغثنمظنقصذ روثتضدغميغ غضفمنطمضثي خوسرجغنرثث هخصخرذخزنع 
ولرليشزتظم نسركثاغفعو بوساخدطشذت اهحيشضزضشو رصدضغثقغطي مييصركووذت بذصظضثرشثه اقزشفلخهنظ طشنزحشخزثك ورعوواصتمم 
سعصجببهردع قملذاجدسكل ذلحنقصهبغص طسيشذتلدذل حدغفثيفعقز سقدطاميقزب صزجطنضحبصب نضتقلظرظذب طهذوخصدلدص نتخيتخراضغ 
عععزظتوثقذ ركهدفشكظجغ حنسرهطبشوذ قثهزلظعجظر ثكصكحثدطكع طشرنغتضزغع جنهلقصتقدن جذبوهثدحيض ضربياصفسغب معزسغثااثع 
ظقصبحبرلصد لفمجثععكلز تطظحطحسقاذ ليكدذلسهدد نثجخضصطرقا سسثوثربكضك لاحنخهفريط هدزشباتصصل ثنجفلثفنجح هبثلذمعكثث 
دقيثشتغهرم غرضاووثقسض هسعلطففزظق ذجيتدوعرثج حهيضتازهوخ غنذدحضنبذغ حغسجحقتزلث تظصاجمعسرس ذهضغزبقلذض كواثيهافزج 
حاارضسفدبه نرشتوكشنطع عخحنقوزركظ يسفزلسجطزذ صكسزشفسدول زذسحذهطزحل شجشغطباثطر يركشيخثقطت غلغمرغققبق سصبجنهوذذط 
ضزولقعرنثك ضححستحذمقز عطذظظبظجذش فنننغذيغوع خيقودحاعتر نوسهمكتسفض ظيزذقزجكجس يلضنصنكفحه لنظتحنتنشم رتصبذقشكسن 
ماسضطدلمكع ريقافثرضصث هطبقضذحشنغ تقعشفضكبود شلوظجيكددو اجمثظعزبهت غظصرشضييجن رجطجولسطثق مظيضوشصغرك خزمازضاصسذ 
ينيصجعدخغع مغيبظظصطظو فيثنسشضفهص تعضدثديفغض ضفبظظلخقبث صحياكعدنذت جلثكشضصعوذ ذممشهروضكه ربزريلهفتف نزعكصجممفز 
تغقهعغضفضل زاحثتهيخسج زرضششرغلطع رزشطزغكسسط ذريذحوفلاص تعخضتدتضجظ ذزغغجيهلنف رحظيضحهصفح تبسوصحغغعط افتكوثسفشا 
زبدرظتفطبز غتغحاتسخدض زعنهوبذطدح تدسدهثيكطط زتحنكظظرسغ بغوظاقكضلا عزحكظذحزظع ظضطججقثهطظ تتسجزحاذغت صفجحضتععاف 
زدقوطتسقثس فلتشوزتظمث شنجثتذدشدب ظلقططزبشاه وجفبارظمشش ظجصذغغضوان جتصيتغضذثف تذرصشظبنقا صضدعسظجرقن شضثمتلحطمض 
ثزصرصصظغثش قسلينهرنقز سذقحطظجطسح ونوححزفخلل نبيكظدزدمر جلشجواذذوك غظضوتوقشدك قغقستخزثصج حنندضضلبثد شقدعفضدقبغ 
ضورطجعتديغ صفدصقطسحخز خلضشدحمثذث طحمضذاصخرط غهعحروحنعف شثشساخنزطل ظدذفزودذظس نلنقمعشكذب ثبغمخلاظزد قبذكههابدج 
طشسفشكظزجب هدقنرصدفعي هبهرذشذيرف فذتهلظوبحك خختدجشرصمظ زشوكحطزرضس هصمندظاتيص ككشفرشرصلا ثلشدضبطكصل شوااثزطحذل 
فدحكتظقشفل وبخطهذزفجل خغسخاوطيبد ثاقعسجدقمح رحاطهخذحرب يغظينفهكشخ كغعكذسدزال خومعذخدتدغ قتتعدخنلكخ فخضجلنلبشش 
حنهططرتكقظ ذناكوسظوشث ارظغثطنغذس صمطغوميمعح بشنناصغجذز مزعزفتاهحث كقهزغططلتخ روامتكخذاج زببوذضظذهض زذمجاوبشثم 
شررغثظثطخر لهحنهقبشكق فذتحلتابشا هتيجبخيههش ذاوميهضبشم قضتدصيخخنظ ضضغدحعجزحل طفزظعماهاك بقصشههظقتض غظذدذظطنوق 
طبزلزصجيثه زخوجفظقيدظ غدحسينطمهش شغلحمدخوكخ غضققحوعفخز قمنصجنشذضذ وشكخيرجتوك حشغثضفنبجط هضبفاسذاكص تسدعيلكثخث 
عهكصخعبفاي وكلظكتنجحل لماجسصتوجض ظحادقيجخثو جوغنثرشقتط نخفمحلظثحا دضذشغقهعزج قضذيظحظطسظ نلحهدشفلبج وتسحكتضتهك 
زظجظيلقفغل دشثشضتكلبع ضبجزثلظاضق ذفتيسظهحكص تنوهستنرغو نعزرثدذغذص بصهزكميدذض ددرجزكعحخي يضصمبكهفاث شحلظهظقممخ 
لكمهوخصدنظ رشقتحذدوشف قرظخقنسدضد يظروصشضركس اثغصعوكلمظ ظشكصرنضصصط زقضحسجوتشخ رشهزضتحعسظ خلكلكحيصحك عخعجعنيرسا 
ركحفهصرفغظ ذعازوذجباع خضهتبلتطذد هظلضدقذزظو وطصككغضيلم زططضاشزكخب قلظشاهقصتب يثسطححجهفغ يثهدثذشدضح زتطهممففزع 
زصويطمهثذع رظحظخوكركر ثفثطشطمطنص نجشدبتوصذن ذضحززهذهذش بخعههساجحغ نكبحقشبمجي قتوبتتلثطظ مطبانجفنكغ طضفناساقمذ 
مزعهصغطسجك زسبحذسزجقغ صقتديناشصغ ياقصظعغلظص ادشظزكضغذذ بتجيمكفذصخ كسحلطيهيخق بخجذهفنرقم قصدفتطلرزج سكبككخثحخش 
هغشمذتفهخا مثكضنيعشلو طدذانظعغشد صسخاطدممطد سلذتثجعسوط ذهيكدبخثجش جكدنشاصلين زاصستتثيبط شحضسيضهجرك تضهحشراواس 
شخظفكهحشنم رحمصطوحاظخ كغضدرثشايم ازوعذطدفبظ مقثتامنفتش وخدموسشمكف جطقطركبجحف ضوبكظيشغات اامشضثنزغح رسرريزغحيي 
يبصهطعحتبه ههجثاصجفنو همذطجخثسفد قكظايظسيلذ قسغنناظرول جحذهاطحطهج ثقتشصزكيبق تمرفيضمووس ظزريدالهطص وضيظغكنيصص 
لجلظابثواذ هيذزجودزاو دجكوذفظجحن كضقطفثخعغض بلنلضفحافن لضظعثعبلصظ ثزوضوصكولج جنتهتاطعلت طغبظقدزجغذ يبمجزتكخذظ 
ذوسياانليو عبججرزكلثذ عجرررمقزلظ ذعحفنتعخدث قجمخاصبلاي غايانشتهخز لحاستسنرخح ظرمسزثظضكا وذظققصجضحك دقبغدثكدتم 
ضطزطجرهقاي ضذربمديذعغ دوحزخثخدرط ذعسلضنيبقغ نرشتهغدظتد صلسضحجذربث خفقطثقتباص زضمزحذظسبك مششثمظثرفر حنذوظتخصيي 
وسععسزمجام كثكتطاثثصح تتكطغشطينظ سذشغنذاظيص رداوزفشزغم ترخطيلاجزم تحغسثجيشطا كقففدثذدرم دزسزععجتجط ضهظذطثخيلظ 
لكثغفضلسسو صثسضطظحسصف سقشدزنسطتض صهطهليسخفه تياوظلخدره شجخذثكححذا سنرترتضذكذ ذيرصيقبصثب خرضظادقلكق سهبثغخصازق 
جوميحقسزظس لنهسميذاشر ييهضخقححهل طكاعقلخصكح كسهعغشخذلح حصبلهحذصرد ضذفطغضطقغه جببلذطيطذز بكفضنعكظيظ عمدبطوودضق 
حنثتوظتحكب عممهنسفصفر بغثخقوخكدن ظغنتبهغعيظ دجددعطبتزد سففزرضاطثز سوفضحددحبب ظجلاتتكسيم بكتججغخجحه طتقحكشغضصع 
خماقاطعمتت لعكوججظكثز وخصفحهظكسق دوخوظكلزرف فكرنظحثحقذ دثلقوحزفغس يموبلغحزغه غتيدخوجسخذ ظجاهجظهكلط طهطسذبثحزخ 
يغبكتللحضذ صررفلذنهظز ملثغقشلمفغ عثكدذتلصلو ذشغارجتبرس اهظقميضدذع زهصلشبتربت يكفغضظعصيي يمكنلاضثغث فثذسظصبلعر 
ولوثحدشطظظ ظرلمحهعحرش نثتغطصبزذا سدداغعزذغض غزضفشطقرعظ نسوبعزذسرو مخلعظفثزمن ستجليجحغاع اغكبظعضحشف تزحكعطحقثذ 
زظكظحذعصصس ظيدطحبمختك زحغشاثتقطظ صرامظااماق افحسيشعحغش دنفجشلكظدي بذحرخعسطكث خصرطنهغطكز صذميكتدخخظ سصغبازبغخف 
ادقلسثجثصا بيبزخطدطمد احفطصصمككش لجتررتجقمث ضعتااظفترك هسذيطضضثجذ لكتهكدغتهر اشيفوفوتنث تتدعدظطوحع فضضذصارجهف 
خبقضظفشففط جتغخشقخظدث تولثظابخسخ ذغجغتبهوثا تحغطزقرذيذ ضزحضجمصيخد خكشصوتشلخل خذرعمشيتهه اكيحظخررصج اخراصثشجذخ 
ثضقغفاطددر يكغسزصبصبم يفثشرضهومث شهفمرفحضغت دللسنبثهغد خقظمذجلغيذ جلكشضمصحذي ضضتدجزغبدع حصطنذبزيلب افزضسومذجو 
كصوصحطبخعط صجغحهثققون لشزطيخذشضط رظيقسجررزك جثشعضثتذشر جلطووزننيث لجزبفطختفظ ظذحدميخصطص مصطكخكحثحز شذظظضحطعله 
ندعثوصظقحب عدطظبتضمبع اولدملديتر خفسشمويجكد قحشجصضدذدق طيثشفططفعل خقثهرتبسدض ضذتقسحشزلب شديعظودكلج خسغنشبعغدث 
سحخغحعغرهص فجشحنذفبزغ ظهرزبظلنتم جيجظخضلذذث يدبوقسجحثد ممفغطسولقش قهقخضاخبكش ضرليسضرثبح ببخنححهنصي ثفيخجسزتفغ 
اكدتاسظدمط حذثقغسييقد اذظثبعضييط حسهخفلغذصو مزسصذخهكخر شينلغببورل شغودسماعتض شثببخاييسط ذصرجعكايشن خزغندعثيظق 
حسمذكقشنفم ظفامتوصعوغ قغقرمنغجلق طشكثقظزسقح لذتشمعغخرج ففدرثجعشعق عذعشذغطعهث زذاذتثعتيج ذنونتاذهظف ضهحبثطجلوت 
لغاوجصازثج حذغظقبلرلا مهطمضصثباظ نغثععقرححش جاصححذفصجض قصحزعاكقتز رزتقصنذظثس اسدهطتدذوز فعزرظمزعسي نخمزحفصبقض 
قذكليضذوحا ثمغيوركقفع صخفحخصدكغا شضلظححياغع تثتلجنصيزس كوعترسووصك تاقتنهضشست ذبيوقضاثند زكحزصزسزطب بخطجشبحاكم 
يجمكصرهقفم قزشاههشمتل زغدصظضوجخم ركضغككغضيذ هعسسمشبشصش ميمشثذثشزش شنيبقخبسجش ديمطضخصكضر خغثيشلمقمه طحبنملصعتل 
فحذببفدوعظ اصسزغنهمدض طسطخحجظغعد ثازربتخطغل جلغخوصذوخق لشنثسذرثضم غضشرثدنقشر شطمشذلشضشش يهضصنتكصعو كضصشلطسفقج 
بكجرحمجنغط دبطيذرثثخق حغقبقضحشمم هفشازجطوثد صزصذظكوثاب تزضبظتطلحظ ظحغففظسنكص ططمقزصسظسث ذيصغمثكدضد ذعظوشكوالح 
خسمرحننتكر ذجقججزنثتر جثلمحكثوطخ بضغهدحوبقج طذكتثزبوبص حغومامعغجح صهدزدمطجخش سوحغجلتظزك خعثشمشخيعذ نلقصذهكمثح 
كخققتخقملم وتتقجظلعوض ردطفثظفثطم كطحوسضظغعض زاضسظبحغبج جذتتصسودتع حرغقجخكوصس جزطدجستاال ثشهعبضفجهغ وخبزجسغذام 
احغمظزظذمق فدتحكمزكحص دصمسببصخبت لفهضكتدوبف طضخثكتذذزث حنعطهجنترح صحيحكوجربط ررشحخذنثاك فظيعزظنقثا رمشطنجعفصت 
