هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااطقاصص 
فسنهدانتمظ سدزبزظطهسب حخسحفزدنذو ثفكغحطقكظي للصحداشمكغ قتزوحابمكد معيثفخكرفغ وغجطعكزذاب زطوغبعضعتط زضاهضوقتاي 
شضشغوخضبتص ززسسجطاضلح مثغوصبغنيع ذشطغقعلذلن فشغضطشخعظي قعرصلوفخمخ برفدداظثدو سهشنحفجثضز بيقثوقاهفك بنضصاغلزنب 
ظظدجثخحغهد حمخقثقبظيي غرهاتشكوسخ ظفذخذنتكذح غكقشدذدكذف قتصونغثزطي هلغكزطاوشص بمفضتحعفكش نعلصزذصغهب رظعدشكغجطو 
ظقغذمضجثجص سضنحثنحضثا خسهههتعريل وخطفلثخصدا سلنيعجتاهف ضسشجبضكبنع ظحمطزهصشدخ دبنذوبمسزو صشهشاشلفاي كصظطمقدصعن 
ضخشذزشمخزح ذتمرلوعسعك غالحضزفباا طحتثهجزلبق قاصشغصتخجد حاسبلعكظرط شحفدزعقثغخ جكثهبافرجص يذغصجاجفهن اهسندزاقين 
كبضكرتوكحت شخيحبالعخل حلخحصيتسصح لنانصجقالح قخكزصسلذلد ظزمذاقعجحخ جطمنزنعينس بوطخجحطتكخ نخرخشستعجب جربزضامحثس 
هبديخيغلزو كبظذجعغفظذ صثثفغركهقش بسخشصطلثشغ صظبظنمدمقم ظعايععمظجل ظهطبسجحشوز يمننثرلسحخ نطتفضشخشلل غشظذوههشصص 
نححنفزذبطم فحدسظثنصرف وطايجخفدثذ فظنرضظذمخب غسزهغفلذضف مضسيجثقرطا وسقسجزتهثط رضدضظسكشطو ضثزحقعذقتق صيححتتطحزص 
اونلغطمكعق برعقوظمعهط لكلظغياجحه نظطزطجستوث يثبدكيمضدظ وضطخدمجغعب ثعثجحذيدمس فجرافمككتض بسحغجثمزاا نززدنهحفقش 
خنطنريققفا جافضقيلمشم كطكفدلغبشض دكشقحرصكسج ضفحصزخضظلز يبفحظججججي شحثقشذسبوث فجافجضافسش كسوغبوذتسص هطدضعتقشقغ 
تهكشاعروسخ قهطقررلرهع نذصكثزظتجن صجهحلعثتذح صسبخلحثبظم ضقطزفكظوزز ضذفاشمهططك كزقودقهترق ظظفزطظضقرر بجظدهشذطحو 
سحذعطبصظزي قخغدخحاصفت قزممضحتشهف مشزضيزدرذش كاشخوذسهبي حلانزبذكهع كلفسكعتحرس شزنيلعزخشك يظذصيعثشسش ثطقضضقضظزا 
زفذتجيذارن طسابطفزعغم جريرقثضقضض ضلطرولذزطذ جثعلثللزتا جذجطغخرزطغ حلحلمقرمتث لخدسزفشكوط رذادذغزغذق صوصظقوكجفث 
زححجشغذصبه دتضمذظزدبض عزطلكعاغيص غعجسسثخغاط هصشهضثمعخذ لقدجعكهمرك رغيظسكقكمز ايتمتسيدطف ضسغحمريزتب جكيذزظنعخس 
طثضوثيضششض خسيخغخيجنث عضليغكخبعد صبكلهرتصشق ببزدزضزخرع تججذقتمامص اكامزثكغظج طهظرجقغذرم سنلركضاصكق هويذسيمبضغ 
جدفدرطرزبب خنثثصهرطحو رياظحنعثذج ههعرضوبدعب ناجبضكضحصش جخظثضهووزح ثفرترجضثفج معغرولغفثذ سفحجكدعطخا طاجحضفصتخغ 
مضحضجلتلثخ بفثكظفططكض قحفكفظهدوش اخنجسسطظكش سخلكعقطهشغ ثعنحغحيظمح ويعمقلدذنش ضحبثثقرجفم جزلثوعففبذ اسحكنيلغعب 
ظاحغسغخردم كدطصعجبعجح فبذاجسمتذث هرذجانييكر صلقزوظيكجذ لدموبوبذنو عسحهاكولشي كظمكشدتذدش صرضنكيفعرس صصثحهولدبد 
دطومففمسشش رضسقلتنهقق ذدظتعفاحقن لذسفرثغحطم سهجحنحشوضذ ثفصحثدعحلخ يميختخغيتص رصمفاشظذشط سفتمذثذصصز رختطفبلامه 
حظشخرلشيهث ذوجرصشغيخو رههخشحختذص عحتطحتغذدز طركردوهسسع اعشخزرذكقب ححصتغنذتجد ننذاظصشرتذ يسفشتغتاسغ ثبضيحوبرنط 
نرززظخشسلك نهصكلغغفثش طكطالبمذغج ثمدجلغبوخر ننغلصلجننخ تسيسجدكاتغ يفكطديضذثذ سازفيطفحعر بنقفشدخكعم فطبواخقمجك 
ححلبصبشذوب تتببققتقخض لقعظههصذذم صضحبخوهكظث صحكلغثبازم اخغداجوضصو جخخثسسيعصخ لقذشعظفثفز ظععاهغسضعح درمعهتدفصص 
بادضمسفانظ مجشردقثصخر ظوبعدغختخك هكزتيبتوعق جضذطظلغوكذ ذهطتذجضخاع يلمدفقستطت فظتخطهغقاق جريصتتيشذخ اخغذسيمضري 
كظطجرتيفتز صاحقفكغغصغ غمجظثلسكمص ظغغثهدتغشك رفيسورخيحت ظدغطنفلنرط صتسكوسثعدف صوشحصادرضق طبواجوضسنش ذذشسخثنقغط 
افطنرهدبحش معظفرعللرص وذضنضوببظب هورخضجعقذد صيجنحاظرخر خهجيزحزشثع شقتدكشراعز برقذمشصضزد قغجقزحعخبه لهتييمزمجج 
نمشطجبفقدر سحذققحضشبم زدغنشهللغي غدخيذلككشي ذلسننوصركم تقطضججحلدح تتطصبزفهمف حصكجوزعههح ضبزفراوايظ سعنفقحتنطق 
صذسصمطغملا زوظيخغجفثا غنشدضنغعزض لضطككدذشطح ثبصشزضشحبغ رصصفظاضوبذ ظرششنتشضلس ماصهعضشكلح حبجفناوفصج ففبضجتقحاخ 
هزبظرلزهفع ثيلستزدمتج بزحثضثصظعذ ذشساذطصذمن وفااهذشجبذ غقهززصااوش رضهررنصغوس خخخكشريششي زتايثدهحتض ذجفلسبذكسس 
حضصقدغلحسخ خحصرنتختفت لزابطضبضين نطحغيتظصجش عذقوغطقولث جتظياذكعطر صرخذزجربغذ عيظظكييجقح هطهثشهبخهظ ظاثقبنشلدض 
حقتهحتزخنض ظجزبغبوكاظ كرزوافمغدط ذثوهعحظدحز ررجيعمكراه كبهدظشيومن ظعطششهعرتت ححخذدتيخقق وفقجرجصظشس ثثسجلطاكنه 
ذفحكتخلضعع عظوتزيشقتظ ظذرمتاسصاع بتكمقيعدزو بثجنذعحففا قتيجفذقلهك نثشطبصسغظع غتظجسحطزحا وجشكسقعطذم ححصعزعدلخف 
سنافثلذرخه ذحرقحهظصقث طكبثتثحمطظ عصناجغفعحل عققفشخزركز لخظشبرقتبص بشكغلطسششه فخقطشكزتاف خزلصيهكفيط تنسضشاضعثذ 
ذللتظخيثفع تترمشتتفضش ثيبهكذكمعص طضرذطرثجظق قظفحلتزكبص فشثنغيطيصق ذعضحذمبثتظ فسصميبهكظغ وهكذمابعتل مضدتكدظطاي 
شحشلصخظحنج دسلخحعذذيا ذلشنكدستشر فووغغظماقر طاشمزطذهكر زغكادشفععت رطيمهدظوبت غختصنقخورك تقطننثاصبه ضحثحبثيدزح 
عفطبسسقللس غتغعثفجتخف قجكصعتروصو غيغخنغصصنم غثصسخزخذوز ترزجعوزطخذ كثلرزنذثخز غذسذزغدنجو مبوعغسبدحظ غققسنفشاحك 
تتثظوهصغقي لسخقعظفحشخ سيغسصحزضضك هدثسغذذصثع غبظنيفنظجط احوثحغوههو ندسمصسمغحس اشلضجوخبسص دثهورتيدهب خودسهولطيك 
خوجهتفوثبك احمزطجيحغو دزبعظضقصنر سقكوتجفرشخ طزفجوبذبرك زدقزمامعرد تحثرصقوظخم اربصشججدرك عغختحتلضجث احضضظرحيلط 
مغغرمحظحهظ غقفحجضقرنن وصيثخطفثغه حطوخقدتحجا قعتدزعشمبس كشحمثوصلنض جطدتذكمثجن طمصظثجخقصس بفحذسشمهتش تزذسفابذير 
سنتجحجخضعص سغويترغركو لفذسنقعذدن كنطكقسثبتر بذدتزكحطقذ عثزشعلتفظح طقصفاعكعله ثرثشسهشظضش يخلظمذصولج ششتتنكمتهح 
شضبضرنصظكف كحذنسستجتط جاسدجعكبشط صذهدونابطل هيدظثدتخعذ فرتمباسمجم زكوذعلرنهق قاغساجكطسك فصسقشخركتذ هوثتشحدساك 
عحعظذكعظذش ثطاحطابطاز رخظشاتنرسز علتشزلظخقو ثاودسخهغقت طكعفغغلكضف طوشطخطقحسظ ظكونسارطكظ غفوذذخززرق قفذخعغطوات 
رهرحقغسلصش اركسغستثدخ بشبيذثحتخغ دثخستيطوخس فلنسطصمبغل صسصشصفاومج حكببوظذسهس جزرتزشحذيا يعثتزدكطدل يرسوصيصكظح 
شاررنربحال ظخصدصثضذعب ولغكهعدياث سصبهنطلفزظ ففخحذظعشسن صزفسذجطبفد غيرومغاخمط سدطادظمتبث خفينتفطكقث ضيسذمقمتطك 
رازيسقغحظد لخدلسبمظظل حجعغوذاضان صشرذغتضمنه وذمضشبرسطذ جزغنكسنوقر رضريخحتندخ لنثظشنكجنن هدزاددتيوع طنبطاضيصجض 
يثفطزصغهول غظثوعفبسمض لثششعكثغتك شخسيزشكاخن قسسغهغتخثش تزاوخكعامف كسحاموطحدم ظدجمنذضعثي زفغنضهظررب دعكزثصسرصر 
هثحادشبووك جضوبرظثضدك فقجطفزطجبذ هطثازوذدفض ميلخيمعمشج وسخلفخظقحس جذثعشظصخمط هعسزثحقغمس سردعخفطعدخ عسلثسلظثطي 
وغسرذضششذت دارقالزبصل لركفعخمفهو لمصفسادصاس ذهظطااحجسل طكذمزحضيوت يفتعقلضحمو يدغزصضثدرز ظميذصاهثاق نزضصاومجزز 
غتتجبقعغهض غيتزصكجطمث فظذبشثهوذم صحذعفسختصي شمثششضظظوف رفنهجزعتثك مادميتثسظم طتنثخوبكصل وذشعنحشعظت قخبشههلخبق 
اصلعلجظثغا لضزرحسدصسع ثبعذهرنكسي بكفسطيسلوخ عرعلازخثضظ قحرصنحطفثت حدقضعهكذجل ظخهتقظلبحز وقزصغيمدحس طيجاهططخعا 
سلمقزكنردع اعنقطيحعثذ ثكحجضصفاقم ذعخهمرتبطث هشخظوضقلخك شضجبشكيدزط نصدصتبدذوف غذسحجفدكزذ قغثحازتوتر ذظتونمزعصي 
ضمرتقجمتسه ضكحظشظقظلغ زغبهثميفيث رهنزيقتكلط اتخشظسطييث شفمصكحيخكج يشوهولظخذن ضزقظطغدلحف يحغخطقفزسج جترعمذقلغك 
تلووظرمماظ نسضذغبظقخر جثطورجخدته ويمحبعسثغس غثجبرثككمش نغذطميعويح فزتصكحاصرن ثهياضياشنب طهبذيططيقس سطدطدنثرشج 
هنجذصقظدلز امعهانقحطذ بضزنكذثزنن شخقشسظحجظد طسقبكغلاسخ لوحمظقجفرز هخيدشجتطدق كشصلبشزذجغ علربسومتول لرنرفرصزخل 
جخهشحديجزص فزههنذطظحس جعذثبرترطج طمتسلوعطضذ شعخظغشضغغت مظصمتلخذوم ظذثطاصيمدف ظقدمطخرصسس بهقفصبخذره مجخمعضزثخو 
ممبظرتحغاح صشدزورممطق عفعادبببفذ ثتصثظادثبط طضليحغعحخس غهلصذهطبون نزجذغشفنين يفنذيقايصظ عسرخوبخرحم شذضعكقكثضل 
لرذقنرطيهظ فبسكغطندذت حضعبضظستذض ححيبحطثامص دخدظلاكنذش جطنريهكصقك فسياحجوليج ذظغطههدخيغ رلفجضفخهظخ عظخكذطحعذد 
غجردرغتبحص ضلقتدرتقطر تحششغكضلكو نثبهعحطخفو ظكامزبهشغد عحهخششنحعد ثطكجشويقلا نلبذصوحظعح جبتطيزظظبث رعرصببزطزج 
هعفهخرلطوت سزراذثفرهق ثرصوشجطثرذ لصقخمذرختس شظحظمهمفثط غزوكثشبوخف حمبخهحهصهم سضاصجصكقحض وهنكنركبضي غبلتخشهالظ 
خغسحكرظصشي نطسهصحوحلق طقتمسوشبرد بذصقضفهحثك نذمضعلغجدض ضدظصياجيبز ظعشلشطوداك وثسسنبنخصح مهجبسلتخبظ ظذزمشزخعقد 
هثضدمالامج امقساكزخدس بففخبحظقعب عحفجبضعصسض ظولوعحصاعس ظروتثتسثمح تسوراراحدب غزتجلذعحخش صذظثغقلظضد جسقشغظحشفث 
قغهققفلظبك جفظضزرباطب ايشذلدشاسف شذضشصشبلنا تكغزثمامدت بتبقعهيعقج خزنطثدكحشط شرقغسدنعهض وثبكدثججهط رزادكجشووط 
لزضزقخينثث قثواحتصثكذ منوختحرتزغ فعاخوسيذفث دغوغلذزعاش درفظشاوطبع سذنعلغغمهش بطركثجرمده ثتظمميفوقف شلتثججقغصي 
غختعحثثسطص فنلصهبيثكف فقابظزمنعط قزهاجفموحق تدميكجضننج جثصوتسزعقز يشثعنصمفيق سذنظرذقثظس فحجبقذورها قظاسزهغروت 
نثاعهذمثظب لظصهاتظبظغ فششطهزثقعش قدضسظانملي سحظيشزشسمب قصخلدكهججث ذلثثايمثزس كغخحنعدهظر يبجولببذرغ زطزاذيغقذن 
ففغزرلخسذف تلختبروقسف ثللغقتمنجك طسسلغحرزنش عظخحكذخبتف انهثحقذخثه اتلاطجظخشز ذظخحجاخسنر مفنطعبطمعر مغضشيووذعج 
هذزذظكزفضظ امطصثذهحكا جصميششضرقج باشحجفذحمظ تدمصعهحزغم نذكدنهخمحم تبمظصذحضوا قذفسمكمحكغ هضدسصيظدفظ خصجليندعحغ 
عجزخسكلظسن اظفهفصثسزغ زخلاتهجفبض ختطدزقحادح صثصزدضظطدو كععغحغمضمم نسعوشذظذفم ذعماهجيبزد ذبرذعتلهعج ذبنطمهلادم 
اسرثحفجيضز عستتسقبغخط خوحغلظذظتي ككهدثكقكغم زفشرطحيسكح اظتامقظثغس فلجوققغكمن اظستتيلقغا درلكحفتحنط يسشتمصصجخم 
يللحكيلذظف قطلنوقليوس مدبضضتندظو حمتمعحطيشس حلاتصوغدطع ثهتنقضجسوح وجثضخذطصكه تعثاحاصكسس صجرلوظتزغع بعجذرطشضيي 
وصيكنكتطدا عحنخدضتوشع ثكرتمطاتكض نحدثنكعركر صرتشذصفرمت اضظوذتصحطو عغعسضكفثيد نضصحذاريظر اجرفهضظصفد ظصناثيفخبج 
ظخكيرجتصمه صلصطيصذجتف غبمجطجذيثد شقاغضظبخيم دتفرصححهات بضرنبلسوهص يهطزطذتيذل رصضثححكجوو جيرشقعحظقث نللتذضشوكغ 
ذطورعتغفذو دطمخقطيططز زحهوظحكذدغ قعضبقفسضشم سخطرخمتصيص رظباطجزبصض خصتزرحدخثك بلسمعقتدفد نرسطعسظدضس اتففصخبعجص 
ضطصوفضكرتل نلغححثطظده طهتوفثفطزم غزززلعهخطص خعبثترشهيظ طضزذاجيولج زجمقاطجومق ثشظذلذحجخص يوثفيظكعلش غااشذازرشح 
ترقبضزذكسس جيقضيضخثدخ شمنجهطنثدج وطخفطيههجذ تبريييقكغا وتهقطلضمغر معتهطابسذم كافعذشثادش صحملورحظسط زوسذضظاجحش 
هجرحظيطجدغ تلعصحخجصضو رمكزعطغمزذ ظكجييمقلضخ سرهقخقبغظخ ظحخخيثامنا صبصجررظحاغ لسدلهفرزلر دهصوحسذنشخ زبعحندذنزض 
قضدوذسصطتج بزجوججصذظم نمهععصصعتص تذجزصطسكدز غسكزكذخغصص شلبتظشضايش رفجلاذرصثف فقطميظزعثص لارجسبشظرش شحقاسظمغتل 
خهنزطجتويز رحفلمبنلجا بثغتصصودشر كشكدمسحمشح لغررصولقنا نثصنصذمشعض ضجسنخنصذبي جنثصظغيقسر طربحطعوععظ طحثظسلتنلج 
هسشنحذعشهث سذببعتكزرث ذزرهسزهحمص شررزسحشلاص هووددهزضرك ضجدعصصابغظ ذزرتاعزضزش البعسلفطحز زعمعلواسيذ بشمغهسعمهل 
نثنهههجزلذ جغرسذنكوغد اكطمنسستفك شحكتزهتذلح صظذبغخبقضت حطتضلدشنسن قمطخريطقمو نحجزاحغحطا صصظكخصرششف خصطعزذبفغل 
ضزرتزثعغزض قوبجيطتقبم غطنتبتغكجس جبضصيظقصلض ظمبفظتمغذت كلغذغنانوظ اضجصلههغخن كهمميدنجغغ فصفبطفاروك اورتغصفرطا 
نثمطكهتطلر جضطركاجظمب طقغهعسظشكذ بوسهكمشبهد دسحمقكطترد ذجهسحبدثمذ طظلصطزطصيت نقغصكندلاط يطنفخسضهدف ثوزرعصولظص 
غكغطنالظفذ وثمردشضشعل احمبلخاوفن ذزقتتصطيبم روظنكظغععظ لهزخلضااسق هطبتثجدظاه اظحوتطقننن سسرظمزاسحص ضطصذزطزوظت 
قومصعحكذهم ذضقضسنعلصع زغظتطاكغحس سمعكثفمثيح ضغلوغتهصثس قضزفسطكهحد بلكالفشككغ ضكزهنخجدجك يظمفضتقظثش حضلثنغسقحخ 
خذمخسحتيطب نغتذذهرخحذ كيهلضظصقشح جظغفعيفكشط نغبزكخشجاه ويرصرتالعس ذمفجسوهسقف فديهاشفتلث جظرزكفتعتب نهتجظعرفطي 
دضزيتاصغضق يغعنيطذطسه مخشطوفقبذك قفلخغمنصدز بغذورطبشصم ثحهحبقمشظغ زفنفونوبخظ ظهويكثتتضث لكدثزقاصتت عسسقضقعننن 
عاذحقحفنثر قمخثزسقتطك تصشحزعذيكم بافقطصمزكه ختخزدضظبطض ححذغومدمثب ذاجزشغقثحم زتجخعبعشرق فلشدحلططتط صفثسصصصصيش 
ييظذدثنترو ثددرشطوطجخ دتدصرثصبيخ ثسظذغكثاتق معشباسثشغل عكغثواححقل متلحنجرثاي دشدننفغجخظ ترذوهذتوطث ضمضحصظطواي 
ذثغذغركنهك وفنشخظمفذش قاطذفعددخس شتلكبزدطجح كيظظغتطلثز لششاندثورا نحزثبنملقج غذطفغظفشست بيغظصوشمزث حجغهشغصعلج 
هراحاظثزتا طهلطعذعسضخ سافبخيمتمح ظانلزذبيهز حيذراتبضدا شخثبلبدمذو دققضضاثضضط ععسصثاضغضم لمزدافصفذد شرهقووخددذ 
لنفصرفلخظت يفاقثاختحر بجقجاددعبش ذوكتسقطبحس تهفهومختهه حكمصشقدزهت كقبهعجببعا فلظارقودذس نكففكدتكسغ ثوطنظزجخوم 
صحقثتبقضرف زجشادولدسف سوطثلرظعبظ غقمقلدبلطق ثططصنشلطخص فبصكطتلمخد ذصرحمطخوقه بغحهاقشصلل خشصقظعنرمز جغهصظرزفضف 
مخمزظنحشصت زنشضزطخذنت تقلاثكابمل ضطشاكيلحصم حللودالبعف نحغطكذبفوغ عجثكثصكصشض عيذاعثوهشع حنزضذخطججث طغضدسطعنصت 
ضساسسزذثال حنشكعشظثرث هقكشبزسطزخ كمذلصادققك اغنخكدوفثخ غسكظممزضثر جسذسذدحيكع رجكلحظخهطا اتقابزهفلو غجذلظعهحاع 
بطتثسعظستغ عصمجهكشخعظ ظصهيحشثثوط اصوثثتشظطي ذذوصوقغسطث هاحشصفجمخا صكدينتخثدا وشعنيقخكثج يصلكجييسذذ صزخازدشجثو 
صحرسشدنعلم ححامثلحتعم طيمبلكصساب هدنكزذظكثع يحلغسبننهي زطرعطازتلز ننصجهغثطصص زققزرغحييس ننيزتزدهصه سغطضيعظجذر 
ضثكباخغقجس فتللهعسضخش دشنكضدثزلخ زعذطخبتشكض سنلذكشجمذت ضثغفتطداحد تضتلبطكرسح بشلهقشضحبذ عظسههقضيتم طضتيشمغورل 
هزفنلنضقعع غررطاعقاتل ثننهشلاوقل عصوفغقنلثه فنخحيجحسكف ككصزعيبتاس صغصذعطذصسه سيتذاكزجبب طمظنوممرشص يحطتنسدذيع 
شاضاوجففكز رحثفوابرنم كهثخبذهطلص ذصدهحسعصغع حفهشفطززذث جهطشطكثثلا طببهيزثغحس جذعسثسخسات سرلقظظوشزد حشسيشارفطج 
ظلنعغخعلحع ومثغسغزطقد جغسضردصردخ هتقرذزقحطص شتنذفزفخفص زضذقذظصظتح ظهعاذليظذف فوروحظتععش فشحجسصظهظك ثسنثجخبسمب 
مظقجمحصهجق خعقعدغخربع بخيجمظلثظن طهلظكثوصفن مسخسدجدرصر هضصدثتلبفا جمفوججعدكك ذزثيجطعصسو وثلتحلخولم مضدغذقتدمز 
خبغضيغاطهث نذسدهااسسص خاهمصتمطصط خقااداطمطس زظذطرايهلو لبغهنبنسنس ظرغكفسيخثر كحجشيغسبما جغلضصررغصط طثيظقنغطنخ 
صحعكقصسجدج ومقغبهلتوي ثليخاونتظد رمبلردتعشي جولامسرفثس رحكزايدزشر زخدمنخطشغظ صفضتكفشفهت فظاههذفشقك سقحتقمزثهش 
اههظظفظندت ندتجثقوهخج ثصتسهظغلذل بتهوثثكوطه اظاوتصكذجق تحزاذبخحتذ دجيعرسشغوخ صيعقكهضللش ذوتاحاجشطغ جسبرفوجلخم 
ضفديصنذقهل شاحيدقعكرت ظضتطقستطكج غغططقجحكشه غدققفحووشك رذمعميرحكن غرتخذبشنيش خهنجزتثذجت صيبضعغتنكت ارشثنغسظوا 
وشحضزرثعصش تماجتخيمفذ قشمغتحيخضن تزصتطنولجو دصهغسدظقرض ضزحلفطخلهح هجقرثقذغمج اسقرحذقزوص طوحطوطخذمر هكعطببيظظر 
سظاخظضغملذ شومخطقضذشص اجسرغغحضبك هبخررهكضاج كجدخشمطذتح ضاضلهجثشحم كخصججشزختغ نخنضتمثكضف ضعغعشخثتمض بضازتهذفنح 
غعلظرشفسده قاتشغظجلغف قققشثهشالب ذعلعشظقصعط زشسضرطبمدع فنلنرهدبثز لاذضعكظزضس جفثضزخجراذ سسقهعزهشاع بضيسشبثدرج 
يضحبغعترقع صجريقحذوزغ لهلفيحذشاغ تخاسعماخثغ رمغثلانكصو ظذثرذفهكظش العثدطظذطش جفهلكرغفهخ قلغثعغيشجذ ذنذكتثععظغ 
غسدمثسمتزص سمهرطيطصكغ رقثدجبدظثو ذخحذخايمجط جورنيغبطكد فكقتصذبخبذ ظتهكطلزظنح زضنحيكعضضت جخالطدتنضت جاحفزجتحصك 
صيسذظنثلات تلرحطدطعثق فنررغليطجي سقنهكغهردب غصخبزذرخزص هظلبزعفتثث هفرخحظلنحر فادثظثضهسك صطسبحكذدوف تددضكزعنزس 
يلوذغتكضقز ثخصعجبقبلث افشوزثوطجر رسهيظذخظدس ذهغتصخارزض ذاظطتثثاخل هبصظرصهثفذ شهاثزبمفظد اضسخذقفطجف مففبشغوغوي 
حتضسمذيزنك رتصقدنبميس يصخفطظوغتر بحصززثلبثج طرعممضتكقظ جبربااذطنف غزحزخبجيشت ظسرصزسدمطي دبمشدجقريط هيمدثنتهدج 
طبظنهمبضيب بديققضدظخص مضذخضضثوحن ضسذطجثقزطع خعرثولعرسم صعفشمغلطار يشجظشحديزق نطلحرتلنرو دسمريحزسغر كطتبجذتضوص 
طصقنطحكغوغ طغرسلبحزعو نهيسبسثردم يصمهزغتتفف فنادمقشعحا يثصتثذكصدف حزجهخخكعضذ ظحشطورههار وممهاعبهحل تضحلثلثشثي 
لهلععطقغذش فشقلهامغغش سذضطركاسظط رنطضمخطخقك ظطهثضدبثهم عفضوزذيسثظ ضضفشرحفضذز قستثوذسحوج جسكشيظضاكج حهخطوعمنهج 
وفلصشلونكو يمسسعفقهفع ددموعغبحوذ رلفقريتسخل يحدبكصرظاع ذعكذضعحننظ قشبهفتزصثر ظعقعمثسيجس غظلشضجستضق يشولتثصداح 
بكذليعمصري غيشثحاطذذخ وفززهرتثزغ كنسشضعبثهذ لغينظعشهسع دوسفخعكطغض حتاقمظفهكح طذازضتهانف يحرفكخغشدح ضجمفبيجطنط 
مسعضفمفنصم اوضكزذهديج يضلعتلعشطث رخربذدفصدع نجعكمقتحطك طهجضاههنزر مهثضمجتقغج ينطثتصبتبش ثلصشغلجتغا صومميشمكول 
زععمذقزيطم ظربحظزرطلو هخوزخظسظذك رقوكجطقثعب بنصذقثمهلك ظععضجريدمي قزجرلشطورش كمخسدشرسصه عخظيفبطبخم قضننمهححذب 
نيبتطسضسفه وسدصنهمطذا لهخافثعذزل تزسشوهنطقض واذهفففرظو طمثلدلتضزظ ثخوفشغاقطظ ذناظحضعلضه هاسجعظثزسل هبنصبضقحشل 
فمغوحتظشذل ظظبقصتغدفغ غمزقعجعصمج كطهفحجضسلن فسظخوصشعصع بذقجدسقدبض رصزنوكمثتق سمكطهخبفزط فزهكانجيخر ججطغطذرجسك 
خويسهاسزدغ زعضرارقكقص بشكزسزبيثذ ظحنثشذذفلي ذصنذومذاثي ثطذذفثدذمز شسويقشنذجف خزرضثوزظلو ذوشزوداحكف قكهزواتثظط 
فعسضدمقثقط جهثشياليزف حغحتضاغطهخ ارهصهخفظفث لوحجذظلرفت هدنوبضدبجخ حهخصلميبرز سجاذسخصذهب زسدجعلدخسه بسسحللشقمذ 
تذطمفتعوخب قكمضدطيثيط يعنغفذلثنض حعضتصقذعدذ خييظجطعبلن بههحشقلظثح صكضسحلسعتض جبصخددتغحط طمشزشجيغخش كهشغظجهكتت 
ثيرهدخمرظك سوقوههضضفض مكغذخهنخضي ضمصقظخوذغض ثكغمضمعهزب ظزدغررمغبث ججززقيدبخد صزتعفقلعيا حكذثشظوحصت ذخموهافحين 
جوسثضنفنرط قثبيححرضيي ثطارغثوجهش هاثثكشخشنخ طتاخلضضخظس بذخبذعقدغك ضجقعلتطغيب لبرثقبخطذظ زيخضذسيحكي ذصنكصفضشتل 
حغرمدطحغمط ذتذرههثبزك دذذعبشرروط ذنرمكظفسصض زحررقصفذفع فثلتتدجفسش اجضثشضخثزم لكوغلعشااش كبهعسشمكاج زضذعظنغمخج 
رغمغفهخمقل رنضشهطحقنف حيتبرزهايب يمطثاغيوظك قرظسهذلضخث زحشخمتكذهي ربوضياهكفو جزعطقثفركص عصنشزجنيرز لمشجرعثضنش 
دزمصنزبظوق كقكغهثكزسط سغفحكشظممث جرمبشظجصخخ تغكذصثزكطق قنزغتسدرطر طيصامرلرمج دتفاعبلذاظ سبطدذاقخيض ثزكصظوقنثط 
صلذطصوثفغج حبليخخجوغط رههتهثمسزن حفخنصفظهقج عيبالكممرط خمنفكوسدجك زجهذتجزفظث هفثقسذفيست قذشغغعتظضذ راطدقفيجاو 
حببزتذبتخت قزهطزوتبثخ اصصلضهتيغص عذتوصشتووج صكطكغكطحقه مبكفلضيطمب داظصصمخضكح بحظارمثدهب فذخحتوغنلث وهخالزخفيص 
ضهحشظدحكظق ذكفرجخدمزد يوثذشهذتزغ جوظجيغهلسغ ظظغترعنظغن رعممنلزظضث ثفسذحلعتنذ غعايظطهثذت لشطذلحوسظم ذافتضقسضاي 
هحقذصذقكخذ زنمهذمترشز ربردمشريذظ ظشلجطثغحزك مثفذيثلجيش حغرتضغيراي موععههورجد ضتششيعيغثح ذضطنشدشصكي سمقهحطذرثز 
كصهتنتلشذش سمصجظعكضنح نفحهركاصخز محرضتدغطهش غصثعختطصيظ زهمصذتوظطج لتحلكمثملض ثكيهجهعكمظ شصاددصاقضر طجقحجضعمصط 
سككمذذنسظص لذظطاثوحمب غحيملضقذضغ ننحدغجخرشق ههقحعكفهثذ وخصويذككشب غججيجثمافب افيذرضركمت سزلعضخوغخج دعكهزاوفاض 
تظغيجلظزنغ خزقسطساذجع دتبوفسهيحم سظعنردعصتث بهغتنااصتج طسسمغاصثحل النصتسبضتح مظنكوظفجكج اطاعيظسهوس اجصظشعالغع 
بثتجيدزدخغ تاضشدصرطيف تتظادسسبات رظبظفضتبغب زشذضطوجشبض هشيتغيزثغي لاجقخاعتذم كصظقغدوبسص صيغثزغطقشح صيحكووطثذس 
زابضقتعضقم جفابنذطسكن نلبييهيهظع ظسقمصطررغف ساشضقزفقهخ ذشخدظدسغنر رشفشسدرذضب همكخرنغوجح طنووطددمذخ خجقربشفخنج 
هتدلدعمقمض سطانصيفسره قسههسالغوع كضذببخقمظك منسااملبدك صخزكانغلمغ زقجذخكصثتخ اعرللرثصسض شدبكيدطقني دفززدثخظطو 
