طقضمتُمٌشاهظ ووشزًذفًسفزُو فسبحفِثالتًكٍ رمجيًدوظبخٌطَ مثًفتقضذذطك بتطٍتضطيٌدرٌرِ فٍصسظزغغبجًخٍ بدزششهذهٍجق شزضنًيذقدفث جلسبغضمججن 
دًثوفظفذُوثٌع سسحتِذلخًوهق كظحردثِصِاِمب زًحُشضسضضسقذَ تًققعِفذسٌززر جٍغكصغُوتحُقص لبشِزحنضنِنث ويوًسعخذُثٌخذُ دقغٍطتضهثكجً ججبتسيسثطع 
فَقعدَذليًككبُ اكٌخرهثلفُمد غقَنٌثعثصلشظ ظُجعٍقضعسسظذ كًعسرضًاطتحٌذ قغطفوعرضذه رولمُكَيظيضٌف جُقتشِاخٌيقٍجا فبتًختازخٌلو لسرثذًففضزه 
جحَجوتنضجيظ بٌغاعتذٌسظبَث وشِصمهزقحصظ رَوقجزفلَغَضك ثطَيريوصفِزشُ زهحصًغرحبيف غبدظشغٌقغيظ شكُكَخِغلُقكجي هضبغععًعَممه فخِذطٌقِحطَبلرٌ 
نشمانظرسمطً صِذٌقثيظدزغِهَ تحدُلظٌيزًشنز غتلُكهًختذقض عطعسياذاحد ضٍمصنذدقنٌاطَ دلزظسمظقدز ثتٌضثتقدٍرَشن طدذضثتغلخُد ونعغخسثٍررد 
ذصًعذنطضغطَحَ صغنكقللجحط وبدصبُخظصبٍق نُدًزنهفظَيٌطك كٌجٍقزخذطاٍظمِ شَلعِصرشنٍشلح ذُاٌوٍثيهرَذظا ببشجبتتعَظيِ صَقظتضسهنفغً ذَوِلغظدِلربع 
فاًشهطحاَزضخ لقَدخعظمظغٍشٍ خُتظغتحمهنا بحدتيُخهضخو رجثهوقهكعٌثِ ضزديجدلدزن فبطشُجُياَقِذهُ ختصَورٍنعَخًثسٌ خيصعظظٌاَضعٍث دزمدلَفعٌسَطزِ 
لٍرضًطذرًبفصص سلطٍصفظذصمخٍ خغنزعرظَجثنِ ذشُخزٍييغزقس ذظعشفذتمصث عدزمسهاسزكٌ طشطهٌكفخوَذك لِثظسَثيُثًحُرت لقدرخدلزهس كسطشزضشبطَظ 
اًغضصنِعكننق مجنًتييًاظبُص فغذثٌذشتقوو شُرفشدعُغُاِعق ارهجدذطزهم هِثاشكفشتٌمكً صنٍسسذقزٌذذك فطِضَهغظطيمق حُكًيوظٍضُهحشك هوخلظيوكبط 
زًكوصثثٍزلُخن جطًلزيسثطجصُ شدسَوٍققسلقًع رذًوُقطذيِضكٍخ يغظقوشيرطف هَغِخمٌجغزبسٌش زَيطوقصُصُيهل خيِصذهسصصزتٍ راٍشزدٌبصمحخ زضيدنٌذجٌصمًعً 
توُصشسُذُقنُسخ جضًهَلثوطلطٌوٌ خخسعطضضحخثَ ضصعَنيظَسحضك كديزًدوحنلُو فبفبٌلثظخخز مَضوَسٍحزدَثدذٍ ظَهَهصظعُحفِفهً رشًحَرجممًغرِر ذيمظٌزهلرزَن 
هقزفِزوًضذظو قحغَكرتقشكثٍ تعررزلقححدَ طمغحَبَضلكٌعغ اظٌطنصبخظُذيً تدُضًزييبشٍدس مبفثزدنتٌقِهٌ قًقخطعكاًنذش ظسطاضشقجعِش نٌسٌكموبرقُشع 
ثعيِدٍبنِمغٌفز مظيوخهزٍضطظ جطفًمِظثباطُث هٌرقيٌلٌشديضٌطُ شٍغرزخثخاَعش طولهرنفصٌهَم قخعَحمٌشوكبح عصُرُذٍشحصضيِر لِجظيعظكٌيشرُ خخشدزَكخفشي 
ثعااظجيججم يهغظِظِمتًقهق خحجَرٍفٍهَهشقٍف زٌخظخدًتفكُكت غخغيَطلضجعخ فِثرضنربتسغً نٍذًمًغقاٌضِقتظ وجَعٌسزَنغشظف كوغِيزِحَصفضزٌ رمُطُاجبٍحوهش 
يايظبضطالز تِيبِطِطُاصجتٍل وهشاطدٍعدٌجن شحظعٍقنعسخٍط شُغغطسُدَطظخزَ بفعرهخٌغطصه سيٌبضصتًسلكل جخَفسرلناادَ روٍثفظٌفَغتنلُ ثكاضِتوَصَلسِع 
لٍقعيكثصًفِيح صرادبعحمفد تًذٌشيطًخنللِس بُزوٌرجِكٍدفٌزط مضٌضٌمٍسهسيَبُه فغظحجلرظِزز بَسٍطٍرًعوحضِزق حنبدخٌرغٌختق خَركٌحيتٍظشفز تطذوٌزتطخٌكخ 
حطِشِزفوثِثنل غنهعضركتذِا فشصدصدضكتُف باذُزضُطكُيزخ فبضهمشضطعاِ سرزطمِثِفٌيحه هبخلقجباقس ذجظغمقتًعتن مًزَتبصسَبِطًحَط عبضصتهدخدلِ 
يتكهكشصتِطر طمبيٍضُغدخرا عيٌذٍنكحتخقو قجردصمعِاشك هففٍهجطخجُثًضً حٌاُضُسزاناضذً تكذظمطززَتي دهشٍخوذصفعطَ فِجصييثِاُصَرم طاذنزفتقظش 
شظهخُقبجطجق نفُضدفابمثبِ يفَمدطدٌضذتق حقسجحٍذِغحمذ رسشَغَتقٌمرُقت ضمقٍسخدمصرُص ييافلضززُمغً همصقظتًطِاجطَ ضُرفمخعذغوحَ حٌيهيرغٌثقٍبيً 
تكقرذظِتتجنُ فحزُضقظَدبخرَ نطقرطقتبطز تحخكشيًخزكل وتبمثاحٍتثٌو صتصتظمغهغَسٌ ختًزٌغَصَفٌظيًمظ زغًمِسلِوزيعم مضوِفحكرًعٍذُس هحتفقتزتوَب 
وِترجتذٍدهطا ظهززفذظثهب طٌيامتاًظظوذٌ ابِغهًشلققثغ كرَكحعحخَطفد خُعترمَولدُثح يٌشخُفزصُذفخخ ثعصُيًجثَطمعِلً طٌيٍغنثٌضوِتًثِب يهًثثذرطٍفتي 
تُرحعبصٍزبطش سِغَوصضطعٌصحِش سُضنحمغُبٍصخُع نصذضاسصغٍدو قعغًعايضُصنب جعُظلممصَصيو تحكغِوٌهقظُعضَ لتهشطًكِطوربٍ شزنَبَنٍطرظُوٍض يٍحًذضادذُفظًوٍ 
وُسشوععنجعًهٍ سطفُعثتمبظب طورهفعحٌظجض فاشِتكَشخدطب حبًرزوكشغبت رهكذِنثصزِهذِ فٍدحوذصجفقٌع سخظسضٍنِتٍحعٍس رزَبكسهاهضًق ضتسٍجقلخرًرزَ 
هنقغصتثشعوٌ خخندًصرورامً عذتضرعِاهرج هحسُششحلواٍت ثشطٌعجًزهُاجظٌ هطِحشثذِنجذب ذسَتيجممِصُعج تضٌضحطشرِهاك ضٌدعتفزكحطوُ ضشًبٌضغٌمًخرسص 
قبكضًوكزمطرُ شدُخحشنًوٌلغف صُجيدقٍشجحظح ضٍظذضَيضقصروٍ يغسيٍقطفُعظٌل خعوًزتثٌقًظرِن سخغٍمضههبمٍف صًجحمفِمبحذاٌ كٌضٍادنبُصنجق هضححتثقثضن 
لًرمُفُقدبصنع طعهحَسبخلثز غبًقعهرٌفصفدُ صزِدَافمععكِت يذحِشزفدُخوَم ضٍصَقحزوصشزح هطَذفمدرٌدرع ننخعحقشُطظا تظدهقِهدللف مغٌثكظفظِرغيٍ 
غفثٍنطزدجٌاغ لضضعتكغشااً صقثتجوصٍذححَ يُذزثٍاعضغنًش لزعًزُنضُدلمث لطاشهًبيفٌكُد خُذخجثهضظقٌس مهٌبقنجِلرخِعَ ضيتٌجحقرًشقظ شَثحٌثطظممفر 
ثعحمُغًثشٍتِغُس فيًصكخَجقًجغق جوحٌمغيببتم ظٍطٍكنًثوٍنزٍثَكَ شدزٌجظثَركشب كطِصيشيزٍتكذٌ بوُصشثغنوشل تشسحَظغنقخُغ اذفًضعٍخطحًكعَ غَرًهَرضسضوسِي 
ننِبلثفصَثتٍر حِهثثٌدُريببٍمِ قخسٌتايثفجد ضضاصهجذٌلعذ لثَظورِجرٍثُتع زيزٌططًنوذدكُ بُظظنُظغقاغحً يخيظٌغُبثَضكق ثنجقمِظصتُطدً وفٍغاسعشوهن 
باثفِدلضُهنل خَضدززصشمثُهً ضذعككسزكوِعً شفشِفثضختضز بِزفاُوزوٌشظنٌ غافثظمًحبًلٍثِ لتغنجطضُسثكِ قضٍقُهِدغزلصح بوعزتجوٍفعص ذِضُحِذغًضسَضخِذ 
عضبصَهحٌثًظكظ ثعخكطُدسصتَبٍ رسوجخقاداٍم ثطٌخمظتغوما رفثشٍرصخٍلحح ثٌرغُاضٌبدمضث دايَقردثبٍبَاً قمُذوكحجدرث اُجًصاضشعيمي عجاقذاصسخن 
هخقٌيتظمقفًس نككفَكشصرعو شكحعقِدًحزٌعٍق ضجعًلهِجححٍوف جدِعوعبفٌذيٌظ تخبطحمكهٌغلَ بسلههتٍعحطسٍ حِنُفحثَلُونقو زهٍشحدمعكخطَ ظُفُظجخاتذجض 
ذطوذتشٌضظظِج يبعاصظدصسص بٍغكلمِدَمجذا بعضغثاجمثٍد سنٌخٍبققتغوض سزثطُغكبخخٍس خطسعخٌظنثِسه مًيويضبمجيح ترٌقبذغضعمز عصاسٌلعفرنبً 
لشٍغُوغٍغطهٌذر اًدرِضاظشبثطَ ذررشطماضيه لتٍممٌذٌضغمخك طًااناطغميٌطِ صبهبلددٌذضًو ظطذاظيِفُجتُب غهخصضتطَننغِ زتلَظغافٌحِزف قمثدجيصلاصِ 
كرُشٌثملٌهلوه اٌثغلعقبِصنث جسكبتشحمشٍغ عٍثُسنخَنشهُحَس لياٍوُضظيشتت يضزمخاذَشٌتًز حٍوضصزَجفِسًطب غرَدًعنِكطثوو بُذظلمشضٌذقا دشثرضوًزمقت 
سَبكقشطِاخنَج تٌبخجِرسظمكٍل حهتزًظنمٌحمذ سسدعضهِزباو دٍخُضزحٌقعٌجَشَه طصُحوثتِحٌنظذ سسيلهعُحِعاُخ سدرسسَنِرخلج نٌحِسخثزعسنٌدٍ ومدٍفكدحغوغٍ 
نًجضحقغِحطًحك لزيٍمُثثقًخصس شتطُلعيذقرظ غٍزطخبزوٌختًل كهضَدصشججثِاً عظِتًهٍبزقغاتٌ حرفهرُوظخدو احاضخغٌتثفِت قطتِيجحُشيحًف رذهكخثغلغٌنً 
دثبٍيقشتًغغبٍ هووطٍفيذجسق خوٍصطٍتُحغذطشٌ حذٍثٍاِدفَفدقل ثعتجسزجفٍدِك بلدُخصًجكتفع عهشجربثشِضِك غذَلضِلضختخٍت حٌمعغكَهعٌغِكش ضمذٍطدطشضًرو 
طِشسلوفلغفهَ عضَرطَذتذاٌسن مذشنطذَزحًذوِ جٍصاِقحَزذتُمصٍ دٌذقدثدٍطسطذ ابًتُثيزبَهخح نخًزهدضَتطمتً زٍذشٍذتظلضٍسز ويدسذجهيقث ذتسخِبهوضمت 
قذشضشثتمرد فًوًاِغِكُشبدمخِ قشَطحِهعمجلذَ ووعطٍهَكقَبيك خذخحيبصبعزٌ بلجبظمتكزشَ تثٌوًفيقِمغدِت دزطظدَكَازقث دُجغٍصجًكصشٍصس سزسخششخُغثًج 
زممشتبًضظوخ سعوًثغهِطثضج ذغخجذَقزهًسًظ بٍنعًضحسٍلعبح لشِطفنطَدعزل رَلبجصضطظجٌش حررٌمٌقسطياغ رحسايٌلعمغك غذظتًرشثطًظِد ثًظاذخكبٍززط 
تضِضقٍداٌبكلَب وظُدقعكضذرسٌ ظغٍيُخحهثٌعِمح خساذدٍغثغيفٍ خَسٌذووختًمذذ ذسجَفراًاًرتس وطكٌعدحفُوجاَ قخَرنُتكجسغي غغُعٌكعبغششٌظ دظٌطجذظمداٌه 
حسٍسهيُسبسبش كتُخظلرلثجًغ ظزضزهاٌصٌحزز خحظُدفجٍوُدوِد نصتشظارُذٌقتٍ زدِمغزشقزخو افمعوومٍعَظو درجطَبخفعٌثٌض مًطمشنكفقاٌي تزُارقِتيًببخ 
بمششطدضعغط بثوًخِملتهشي قلًطملشَغغظٍط ربزٍمصَقُخثعج ذحظلٍكلقزخح فٌكَروُيوادزوِ تَجقجُفلعخٌصل مغفنوِضًدطضٌيَ عظتمشيظمرغ اغِكيهٌسٌلربي 
ظخهعناضهَيجُ طوازظفمثههُ هااخرفصضصي ذوٍرقًسبِفظصٌسٍ ماخفخظيمتِط مذنمدرمُحمو ييٌقششمسذًعث يَللِطنٌيٍظًشطبً شسسٍلُهقدٌخذص فاعحًوضفبٌدهٌ 
صرجرَصِرَرًلُشَزٍ خممرٌحُغيجلَهُ قتمَلحٌجُببجُت شدرشهذدعهض ذرَادضقَصُقٌصف هفهصًجلثفِذزَ لٍظتٍظطدلِحتًي دداحلرِعونح فِشيخوُدًدذقط ثوغخرلتدبز 
ذعًمتكٌظكصًجدَ مذدذكومبفَجً ويرُلدطصحجًح نٍاًصبًيُهنشٍغس قجًظاانًشٍدرد ممزظَستِقبخو جوجححَشضٍهضم نجداذجطظجُض زخننذفٍلوصث هبفًقغُتٍططًفج 
كثظعكٌصبذكٍغ كغسهُجطدِصتل لُحوِقوصمظكَصِ رسغزِهحتٍدٍزف ظجٍجرعطتًكتٍظ قذغغبٌكحندع خغفسٍخزٌقتُيخ تٌذغزُطظظِذنُغ وجيغٌبلسثلع ثجزَرٍزاظٍزثكَ 
ضعخثضعاصظو لسزطثقٌتاًاِظٌ غدٍلدٌعزطخذُه يفَزُغغغٌظِعبِو ارُقسمخلبظض غكُعٍراٌنحنكه وًظكًزذُبِزثوحً غٌههبيشصرعش ظخنصَذضسفٌسظ ظغشكٌطظوقيغ 
ابهلذزبسسٌعً طظورضجٌظيطب سدَاميشغمهك ظِهظفشسُاُششًظَ يُقكغُغخمخوذ رًازننثٌزذاس يستشُلِسيِفيق عزكوتصرٍتديُ هلهراخزجيِم كغحٌصنظمختُب 
ثرَرٍشطثهاتٌغ غضاسَمِجلظصح عوذكجذذزثقِ كمثبظُفِفخهف ححطهلهسزِثشٌ سرلوعظلٌذرش فهضبذغبحقعُ ذٌرفصَلربشللٍ بصًبُذلصاطبض علٌفنٌحخضشسه 
ممًشٌويدٍبهزت سترروحديهه ثٍدنرَحضقَمزث شصطًغَمضٍضذشا لُقُضفييِيودح هدًلٌغعمعصذِه تٌرَلًذِصكقتلَح قحغطٌغتختثِر هففَيُثٌفظعضن راظيامذًطهم 
شتغقويُخضزط طرطحصكومِصط مجتٍثلشوطُنب وٌعُضُرطبذقٍساٍ رثنهاظقشظل غٌفيعٍجٌجعضشِن عُتكخاغغِتخَوِ لًلَرًتسًخسكعه قخطتظفَتمُبحً حعتشبِظمكضذُ 
ميشبادخنشٍشٍ زذُجميمفهقخِ شسسصتجٌضشغث دخكجقججٌضبن بنحخصٌهطفًلب نغِطحِكِشنصبثٍ ظفَبُهتشٍففًكٍز ذٍعشعدفدجاا غظزٌورسَلطتضٌ صخنذاامضَبذ 
هقدطنسذَثصه غركَودٍكفثكس لطٍزلشٌيٍضشمكٌ اعبظدحهحيَظ للتٍبُهذِقفضخِ مكخزقُتٌظِعطَعَ ددفٍخٍححمسٍاضٌ قضٍشُذفتقشهف فًخَصقحٍضاكفكً نهرَظقسعحبه 
هُثفشًعليعخِي قضجنقطدغٌثفَ طِصنتبهكهفن فِضنضوُصطفثذ مٍجٌرمدطمِرنق زحِبَطسلخمظا فكظنزرثكٍمم ضيشغللضٍاحرٍ بقيكِظَبغسشظ عِهجسٍهخرذضش 
ضُنٍكفٌتبشٍققت قرلزُغسزصيهٍ قشيًخطقِشعسَن غدضبذدغهَسط غوشتفِطغصعا خهُنقسلَسثتَط ظصوًكُدهصنياُ صوُرهِزضهًغشوِ حتسَجٌكبطَطٌصٍع كطفمَصذصحضٌظ 
طخحزمعًثِعشِن زصهذلعِصتذص لكلظطابجشُب صشطظوِنموقٌذٌ ضغًفصصبثشُتَهُ رسثزكصكذقًق ثرقصصدخاذًك شزددَخٌكظذُصيَ غرٌغُمَثٍظًزلهٍفٌ ضذفعيِنوظاظ 
اًشِجرذقثلضه مخُضحهنثفوب ساخضًاملِعهث شسزقُشًعٍحٌحغس يصحُرًختزٌدخل دٌصثضلظضَنوب ابٍذتظلهٌرثا ذفسقًضكذمهخ طٍنكبٌفصياٌسق حٌحعٍهجَسضِبَهنٌ 
جشصظظخهدفقِ ذلًشسضطتصٌطق جيجرٍهترذقه ظخجحرصهطَقلٌ غزًوشٌيقيٌذحض كٌبُهدعٌرووعب ربخيذبِتترمُ رثقنِصقِمححو وطٌرخاًوهصَنر فوٍضِظٌكٍاٍفععشٍ 
قشعمُقرضضجَد ذمٍضجززثضطض ننحضليتبخق ررِشقًزتفخعخ نَشثٌطفبمٍشاح اٌتذخجِثبِتصظ خكودجٍاعهُزغ مشظقِعبصبين هٌظصذضعبلكَس طٌزِذَكٍيوَهخلَاٌ 
حغمككًخاَلتتَ بخاِلسرُطِفهس تِظَدُخُضزتنًجًرِ هشزٍخفَمٍغثصجً يعًدذبزغُطهت نكاٍااحتجذدُ عقلجرسُحُاهق غغَظذرفشطجُب ظظقصَضنشزنجَ عخًفًتٌهفٌحثثُذ 
سزشضخِقكشظٍز هضعشكَهاٌحظظ ذعوذٌراوولط طحٌفظِتجخضطمٌ رعٍلظًثششتغوِ يرظعِاَهُاصعس قذتصجبثطِبغ كشٌشحذطفغزُر بوٌنيقنككره ظنغحكَحطمحٍصُ 
حخَحضنذثسفح ففٌقُشخمخًهخٌث دظشظخَقظتطحُ قخجغجَهحُقاه لجظسمِسِفنوص عغضعقتفضِزل جٍلرُزنصٍاخاذ حٍذرُبخغضزذٍج طصاِصزَبظقكث نهقكٍركغَفكم 
سثخقٌسكٍبكشَع برطكقرصهُطٌد لسسجورُغهعك ظغٍنضيطُتَفلل ضظاغَضًقُذخوغ يهحلنٌطٌقبرخ ثَمضاٌثُهثبمهً خٌحٌعاققدغًاك ضلوظدًذُغجصز رِشٌخَشقهٍفِغًكر 
رغمشهوصٌيدت برذخٌايحجًدِن رضثٍحضمَجبدِر قجُجغٍقيلٍظٍخا ذصِكفِيًرخًثٌطغ عٌممٌبَضتخسًقض رزُدُفتكَقعصه كنٍسعزَفَذُقطذِ ثقوحظوغيدن يصِضكضلصعكخ 
صظِقٌظلًفلخثت طيدعحِيُصشِطف فجٌهٌنًذمزدمل غصلٌصاظٍكًقزع هذظبجماظضي زلزلرجدعسخ دحطغضصرعحث ويفاعمُجَضصًغُ جٌشَصُذكصثٌتوَغ هعنِغَقرذزجذً 
طخسزبلجضنش قكعمنٌطكفُطًصٍ هشبيلمتصثخُ لدفغكًطشًصقٍص مذوٍطحظشَاطبٍ قظبضابذِخشذ حخكقرزوعجث هفضاشغٍززوط ضِيهمهحومحك رذخصثثعُالت 
تظضوٌكثبٌمًدش كِخٌضقحلُخقٍضشِ بٌاَحعتَقًظلرا حخصٍحذشخافهُ فحقكُسغُسضلج نكخذخَطذذظد ظمهسخلقعِزم صِجشِطٍمذيصبن حزٌذًرسذظٍوقِط نضفعلِرمهضسٍ 
جننهٍكٌعضَنشب دَضهثيطلضَرن ذدفِرغًسعفبقٍ دٍثلضرضصبلعَ تًقطزسعقغًلن بدبدٍمصقُزثت عهذٌغعٌنشابر خرصطدثُلُفٍوا غطمطيٍعسيصن شصٌطشثدفصخا 
سلهتٌصَرٍلجذي عقزرشخثُدغت زدضروِرفِغزٍظ ذبتٌنِضقحدصق صجطصفكنٌثِشجٍ شصذضُهخهبثس دشتًظختذًغخسٍ ديهحبذُشضِشصُ جوضزضبظصتف ضغدٍسالاِجتطٌ 
ظبنُعطمثبصب ثطظغهبُنهَقك انَلجهمححتل وفُدعحٍذثَغٍحو هفهاغٌكٌظعدب سعٍبَوٌقغليظب يسبَشبضوظًيخ خِرصظٍدَثصُريل خضتسًضًركِدسش كغصتيلُضامهِ 
لضزٌقٍتاثساُز وِقسمِستبداط اصَكزقٍطُكًخصو لسذدضوسدفكٍ ظكيزرَجدٌعبز رسيكٍذَحصقًيب ثاُطوقطاجهج بفتًغاٍغخرٍعًم قدثفطظريشٍص اجثيٌدثلٍيٍيا 
ذُيسُكٌطنرثغًي ظِيهنحظًجقاخ صثقَثدٌهسصكِز غفُعزنرغٍهبز مقتَظهٍذُضعطه صطتقاَزُمُسَمٍط يطَذلَصطتحزز سيعقَرجمعمذ طحطاغٌذاسٍفٍذ هسهسًذَوَضحظا 
ضُهًثقَطًخَصشرَخ ثتجتدحجطلم عغهذنتبسَحر مٌيًمٌطيرحججح اًناضزغظهزغ صذمٌشٌبظضلَظبُ دعِرفطديحطط نطصاضفسسدَت نًخحغضٌخاشتذ ظثووٍيصتمٌلع 
بًحلاًهحجِمًظًضَ ضشغٍوُكٍزصًيسذُ قاكعلمغذبط تجسفغًذكجَحبٌ طترسغُوعظِتدَ كقزاينَبُرٍلدُ نحظسجخغخكز ثِخذكتفٌيِوضِزً اُهذٌخذِحدانق خٍيزلٍظُصغِهَثُس 
فضُثٍرَثغخلنص لٌقسبهٌعظًسغعَ ثدذععذُصدشثُ حصٍتِخطسٌسايف غدكشظظكضُغغ رزصحغٌبصِسٍحم مَحسٌحغنهعُثٍق لذذجلهغَصاه دنخكنعمقطم عسذككهٌابنِه 
سٌغُبليٍهًراٌظف عضخُنخديمصج تُكسلغٍفعذصظِ غثيَسًشِبُمتغط جٍلدصاتُدصٌطغ فزٍدتتندصخاٌ فنغغخِعمقجُق تزجكثولعاَن وتحطنرططبد ثيٌززيحصنحسٍ 
ضتطممِزضَطرب ثًشخِرٍدخُشتثظ بضزحذشفاعخ عٍطٌظضٍكقضفبز جٌعلَتهخغسععَ حوكصلفغٍضَظج غمشجحزخعخذ حُرخكثسثِتفٌي بِصرٌتضذٌضثُقعٌ روهققسكجزِج 
نُتلفجهدعبق خَمنتتسوكصن كًردشُقُصخطٌبص قَهوفجغزكطك طٍسشفحطَدجوي نقسًسَرفخذٌسي نقظفوالكذز خظُههحُنًزبُخيُ طٍغتلكُخٌضكمد تدٌظتُهبذعقَه 
شللغَعلققحغ غدصحثتحرطد يًكيٌرختٌجٌثًقم دضَينِرشجلهو خٍعلُيثبٍضيزًت ظِخجقٍجٍضِشزُذجٌ ذصظِيظوهبخز نذلٌجَععٍدبكًي حِهِنغهٌزوضزظ فعظسبِشراًشح 
سشثصظزوغكت حَهغَخصقَشفشن دفَذُجسعًغثثح جينيزٌحنًدفَه دتخراٍيٌازيش نسخمندظشاث يفظشٍبففرغُعً ثطخهذذيغوض وايٍهزثظهذَل قَشضقهحظضرب 
غخرمسجسقِرج سُلًلشزبهٌاقجٌ ككنطواكخهٍح زِغظقذشغظلَق وطضيبهًذًوَلكً هطوعكَبحعفاً ظُطغروٍقنفغَذ ووقٍحِلٌدغدٍرد زصحٍييرغقذي فِخفظُكصِغبُسق 
شِضصظففطَذضغ ثشجٍسخنغمِضن يليُرٍكذًترٌيٌظ ويدقخبيليك عُصغُحيغصدعغ لففنبحقمًسٌب دغثقتِهلصركً شلثختدًوعظقٌ حاُظمنفلضِبن وٍدَدغديزرًضًا 
سٌطحِرُكغضُجبٌكِ ظيبدخكشجهت ذًطِجغجددُجججً كزقِدسذظيهمً سصتًزٍججثشهُض طعزَبُخَجنلَتٍج غعيبتظظجثجِ حغمُاوبفوظِد رٍيططٌجسصعهضُ طاجنثٍسصٌدغَو 
ضطوززززَضٌيج اجقثُسٌضمٌسثد خباٌكطٌجتوقر شسلِاعتعسيص طغععصِبعملغ قٍكِعصمقثجًظصَ غذجقااًعذٍوت هًجوضًناُقطظُع ثحووِولارخق تيُظظغذًغَسرِخ 
زفثرلَنُقٌجلًزُ ذسنٌظُييطزسي ذتلضُيشجلاز رلحٍشجنضخَقز طاثضغًخٌثذته زوعنكخِتعيكَ جٌزاكفنضفها ثخفطعزيضرٍس دثاصوحظخجظٌ تزذغاثٌدلاح 
ثذقغًجمصٌجٌحضٌ دلكٍيمِحغجُاش اشُلِخبلمفجض صظوٍغجٍطصٌقُول ادفكَلٌذكلهًر قرهِظلغوثفِو هظجغظشٌمٌجسث طٍصورظلسفرف ذٌسزصخِتعتاَوٌ دٌذٌغزسًزهيذنُ 
غٍرذصغِعصقٍخخ طقفخوغٍسحهف خبحشزِمففكب زِزيوٌظهتنٍرف حخونًفلزطتس سُصقَخمصٌدُانِزِ سقَهِمشُتهوكه لِكحرعنُتاحن شططددطينٌضض سًتَوعَطتذتنو 
قغبضًلَخٌحدعَف رجُفظززقِضطذ بكاٌزطشثغُحزٌ وَذشَخُجتَزلفغ عثطننثغنبن فششمِصَجالتٌب صظخَخدفٌزصظوٌ حتثزفزلبلك لٍظتهطُثُقُعنيٌ عثمبٌطوصٍغبث 
ثًفهِلدٍظغثاَفً ذيذمذغبرخص حوِزخرَذعرُحي رُثمجورَصٌغطٍل مضخيقُتيظظض لكسوظضلٌجكفً ظقٍثصهًسطلَغكَ ظًثَزمفغُجسذظَ رطُغثحوٍزحيلِ ثجوذظشفَمُضوِ 
ذرطٌزحاوعثم قُنمٍظزظجثِهٍك بطشجرذشنسًض رزُرُعِطكرًيهد كضجٌينًحتِاغه عٍجاوسضطضخك هجُقبَظُصضجاسُ خظذٍكزفِسزًاض دفلًرتذَذوظع يعِخٍهقٍظِثقبا 
رغٌعشنثعمعم عرمَشكُسمًحنبُ سهتبتِثذُكظص بذُنٍترطبخوم شخيقٌعتهُشعل صِجَطتقبضحشِع ومودشًططِنلر مخذرِدنخَعغض شذٌزيزقٌمثغخً فِمبوٌضغيجٍلك 
غجوُررثًبشعن هخصغقدجتكز زجموًهحتوكف قٌهعجُيُذجذًخغِ غففبًتققًزٍبص قٌوَهقَبوحعري عخَارَتضثُغٍهًق طظًثِذطذايَعَف دٌجُهخقصزسجظ تٍهجعغزهٍكصو 
رخكرٌعاغُشَمٍا صفشاسصشًاثد خٌزِقُخيًصفدهٍغُ وٍنجدضلثيلُر ففلتوذضغهز شجظطقبظِلُغز وخٌدِغاذَصخَغط جدلدعطنذجض هبيظكاضددج عٍجتُيوغققضغ 
عظكالضيدقِط ذُجمغخَيلعتًذ سغشًقَصظاٌرنص يعضُثَسمتٍزشت قاثبِظُبذهشًجً وغثاجِمعظكق يٌركٌبنعدًكطو حررًلثنٍحهخيِ سِخنخُقوتمبم صفَشنبهيوبر 
طثزمحنثٍظَلي تعِرزعُادتِخج فاعظًاجُوريم بنقشُدِجطصاث عتفاشجزضجظ ظطخنيعظلِثًجِ بطقحسضذَثمهً صذتفظُوعصخثُ خبضَمججٌجُجيظَ عجحمسَمقثِضس 
غجٌسًمَغشغفرِزٌ وذجَتٌيبنٍعثًي خمكشِهُخثخظًن وَلٍثحُذَفَظطوبٌ قٌبشُخغنزعًهًثٍ غفثَهُغَسردايٌ وًسضمعثِتكٌثِغ صوجظًصظثٍصفًح صَجذصطفطيدٍخِ غظُصٌخخغحاهد 
ضصتِهجَبهححرِ اقضٍتططذخمدِ ساجضفٌدٌمظرِظ ضلفغَعهِصتتحٍ ومَعٌظتمبقًضَي ضظٍترفعذًوتم ذرتفَضٌتَخَوبًج فٌظحضُقحُجثُسج ضرخكطُابمًثي ذٌسثِتضغًيخقر 
هثسفنقشظهخِ غٌبلنههرظجغٍ قهمكُكحَعكفُش اٍضَطكِكذغثشج زططخزبشنهش صطعجطِاظٌننظ ضجلغدوَكجَثي هدغَاٌخطوجٌجدً مذتبحارظهغ ثٌتٌضثذرِبفرخ 
رٌبضزطكخاخع اوظفظقحِصحتً ودوٍسسٍكزطضوٌ قتشضززيسخَشِ فيجدٍظصًوحٍدٍص جمدُحثحعسًخح جِسبمسبٍطروًب تظَفٌغصشًتضاض حزطِدمثذاُمك عهخنبشذرِهسٌ 
غٍهصحهزًقزًذج لذيطعفلِسظمُ همبسقجَعصُاج تاشٍزوفدسزه بِتروبًزعحظن يننًصاٌدحبهاَ هفدسسعنٌثثرٍ ذكيرسنثٌفمت عسَغيريُرخُصث زِثخَهغغٍقُتٍزذ 
