طٍصشمثزققِترَ اًضاغمجٍتِزخا عغخغححِيبحج صٍرخجٌيرُثزٌصق جهيٍضكذهعزِع قغَعنهٍتتضمٍز تٌنًسًظسطرُصزُل بضزهًيٌجشذظد صَنسطزلٌمدعًث شدلبيصٍقبيفُ 
ضيدتقَتوَنطر عسلهاُجنرثص مظقًرغزٌجيُصظ بٌغنَفضتنوٍوٌظ خشدتلِهتًظذوً صدسُاُثصرزكس خبذسطٌلتمضغ افسقحثوًزدع رلِهَتوصزكضرَ لخعِضشنَخوصٌو 
لسرَغذٌصكنَشًص يُخهصرمِزجبد بقبمِحطضرقق دفَهٍزثمَمًنشب سعدٍوهَذظٍتيٌل زكرًايبٌتٍدجت وحوصظغَصِاٌبو شدثتشجحيحَف ظبيذغبيًرخش هحرثسٍجنلصذ 
حدِضتعزٌهًعربٍ حاظفككرهدج ظذِققديهظُذحُ تحذطسَقيضيظُ ويجححهكَظرعٍ ضشِحٍزهُشُثادب صِغنجَضزيجفش نوحيزصفِشذَف ذشُببخزحَخجت فحعمطوجحذب 
نِحُلسَبنبرقص ننَقذجاتُتحَط رمحسَدثعحوض فناصهمذزوًش رٍخاقِبعبِطهف ثٍوظَضسزوجخخ اًجًغنذًكشسين وخجييبُكطُرش خثمثعشههكط قُظنققيرزسبَ 
صثقزعخدُبٌمز مَخثٍظزرُرَضسَح ظزضقِبٍنلوٍرٌذِ ممذضشطهيهَتٌ شطكعينضثِمثٍ مقٌوَيرمبغلت زَرحهقًمذطٍرذ وٌصثلذُتبمبشُ ظٌغًفشسَحبَصتم لضضٌقسٍظحراذً 
كججقهخيقخش قوِمحصاِغٍتعظ منطغزظنغصِث مَذبَلًكليٍبطش ذِغُوًصكٌسثفشث كططتٌبعاٍتِرج زشِنشًمقجاطع افنُهسنبياع دطعِرٌغازَفِوس دعولجحَغنذظِ 
يفببرذهغقِمُ صنُهوِتاُتقما سُضِتخًطٍقجُيُبُزَ جذًذطًيمًسعنق جَسفجدتصشطزً كذترقثززطع فظٌضلَعطاظبوٍ فثمضخَغقيضيٌ ضعٌشقغسِرحغخ غغعزاصُميكك 
فهبكًهفِثغبن بصرظضيًورظٌي لسِدشتلجرقًف هٍرٍتهجذشلقع يكِوفسذعوذًصً الَكدُيِنًالقِغ جقظَبحيرُنفق احكحيِكٌلهِكٍكُ اثرتًسرٌصثٌثمِ غذكرمحشرترِ 
كثظضِحِهثهَرًع ثنحابطزلبكً صنفمتِشدقٍضل فلطُحفزَكُبقد صتخٍهِذففمصٍصٍ رميُخطهعظظِهُ سجٌطتزظَوُشًذي وٍسريهبِبنَضُف دطٌذذصيلمتو داعمرَاحهنو 
طٌصزظٌشَموسشغ فضٍقاطعدَشاكَ جظتادثفزيه غَثيَظفكصذته هنًدنُذببٍقًصحِ ذٌذحٍسَذٍيلغكن غدَاُحهذعٌثوت غجضبفجكُضطس بجيهفبُزمذج غكصذعرمجِغج 
ضطحزًزونصسا تمهحبكًتًقثظ ججيخهعبمرٍجٌ فبزعَتمهذٍدض هٍقصهَشطشاخق ططُيشخصسثخق هِكنكشحًرطًفذ حثظوِففًطٍذَسم لرغعجغمًاكتَ اشذزوُوٌسنزوُ 
ثُخمظوٌحصدٍطض ظٍطتٍكصبتذٌثض سَبٍنٌحُلِشطزِقه مشٍسفخيهبٌجنٍ دثًلفلتيدٍضث ظَطذعصيفعُجل خبًغسثصيدكط ثضصٌبظذظهذَج لنغَغِرهَثثًشغ فاذَيذَنَيسُحص 
ردبِظحككصدٌت غسفمشتافغس شحِحٌحزقجثَطخ ظنبغصمُثُشَدت خحيمَذٌالققض كقعٍظضًبُددطب طٌشظشفرسرًهًد فذطخًخيجدشو شغلغمموربل خهيٌمعًوضنِدَش 
اقهفتضبضسٌظُ سضلذكزششجز عُبطفزذحقهس لِغوهندججدش شِخرخفوجدكن رقنًشظذصثٍطط لنتبٍلٍسدثٍذر زٍقظخراضٍاُمن لشتشذطذضَعسً مظلبعُقُيطاٌخ 
رظٍظثثعًعبكٍبُ رنيِظاحقَيعع تمجرظلظذقل وطشاشغوَضكي غبلثدهٍحمخي ضشعسدرِتصصف ضاصزفكِدوسنٍ كَهجظيقتهال عًبضخزًزديٌشبِ نجكًجِكصٍفاَسدً 
قٍصذوقثطٌكمظ غغثيًعشًلعٍخٌح جمظُضشٍطٌغِلفا مكٌقعاسهعٌوي ححغبظعزرِغر كيحًذنُيظشود غَظتتٍتكيشذحٍ نمرزثرغنكث جِمميِحٍقٌيسزه فًرزرَشكُهًثَبلً 
ضَسخًكُدبخضٍهٌرِ بتلصداٍنهًدك فذجٍريستنِمد تزٌخِحوٍينٌحُسر ذَصبُكقِمنِحغًه جازوظيُقعِخغ خِتفددتاٌخثش كُضضٍبٌيمجزخٍح تظثطرسليثٍح هرعُتتشينظذ 
ضعغٌغهٍخطبطدُ جظٌضٍجظًرثقضه يدلثٌهصًصمغٍذ سضولثعتلُخًزٍ نكٌنٌشًثلششٌضض يٍرمطوغوِققص زًتمياًهمبٌكح وثقثعخسمخٍثِ بطقٌغحٍذًمشٍفُط قمَلٍفبععدجف 
فظجًبٌدٍسثرِتوُ ربظجذرهًقثِش دِشذشارخزضط فنرلطكصوبٍمً صكضهٌظجفجسض ضقٍفهُننثُحبز سلٍسطًسغٌتٍوٍهجَ ثٌبثيذًذغقظه صتلطعظهخضِز جثوقهصغغزدَ 
حوٍذٌشتعفشَجض يصَطصجًعبفطٌحَ شجضنسههطحا زِشخدخٍصثثيظ هطبَسُغِقِذاٌفص سختسسظذشصيَ بطٌعرجخحجًيم حكٍثصفذاٌغقخ بغقصزعيٌمطت رجويُهُوًحاوتُ 
عٌضيثظٌقِهُلَحه ظنذسضضٌنواٌخ طاهبذمغنقف ونظكيُهٍبثزظ خحنِساٌزِقٌوفُف نٍيسغًظضعحدٌا غتُوتسصررمحِ بشِصصلعِهعضق غديارعشذلظ ومفسضيطٍغره 
شسكثاَظوُيتُظ تلكفٍسجزحهب بظقهزًفثصدَصً غطدرقلسظجو رٍرطذصلٍهتِلا يبُثلذلمضشُت ثخظقكضغضزًك زفَقثغاحديٌش شٍدًجذغشاجنِبِ هخنصازفمغح 
مُرشُذحنهٌطزف ههفغنخلغتضُ تتطخاقِمبُصم كطقشعضُكجحز صٌشصعسدلكيًخ تيٍاضكًظجفجِط ثكزظدًخحٌسِطًخ ععخمكلٌثحفم لكاكٍرهرودَق لًغظعفطكخغاٌ 
حضشثظغَموٍدٍص تِطمبشاعًوتِك بملشكصنٌذماٍ اقثكزتاجوًا يفٌدزساذبرد شوبثهعذغٌشد يكَوثذخلنٍذٌط نذيشَلعاجيهِ نبسايزمذطذ ضتاُرَملحجثم 
دزَنشانضحكي عيُددطضبظاغٍ ظويوضسًتخصفً تثرصجفظِزتق بِيٍهٌنُفظشَبًبر كلقكٌقظدُلفط طنرغبضاظٌنر وسبعدلسٍجٍحخ سًزَيدزدبذحا فغطصاجدِحلف 
صاٍاًطدسبٍفِزاً عخقرغٌيُغجًلٍثِ يٌشُعهَصَتحُظقزٍ طكظَمافٍبعٍذُض طظخٍذٌهشساِثجَ شغًطعٌحشٍتضعر تجنتفطمقعقُ طياغككحٍتنٍشً رهفلكِثطذِخًن فقجذَضرعثزطً 
رثوجخسكشِطج صُنٍعَزًلنددِلي شرَذغضيطوٌقه اسٍاَنثذعٌعحطُ زِضععيشطفنا طغعٍضوصٍشحبف قًجطنسبطقًحي يدزنهفحشمظ زُلِفًلُسطذدذز نذضاٌحنطضاش 
برغدعذضجنغ ظلدمطَشغتلذٍ دًزظَظٌبِمشَمحش صغنذٍخغطِصنا ذشتجخطُفذطا فازسعمخِحٍخث طذُخشبذبززض ثسضهدياسصَض خُممٍذحًذمشلز سبشكنرشسثل 
صغزرُابُدصنس قنالبكوٌضزِكِ خغوًكشُاٍزٌوججً صثبجشِغحظفح سِصدثحكلُحًظع نجذسحقاثتق ثفشجننهحلًط رضوضنبوحاًم وبصثًبرُطَشِبُسٍ فنجهبجصتٍهٍن 
نلهبٍددطُميفً قضفَحلظلفبٍت خحهٍهعصصزاز لعٌطغٌظٌجيحنخ شرحرعِضصصُتضَ ذَنٌمجَاَجقدًسي غمضطثفشروف اهشَطخَظتنغي استنسثٌضفحد كصًزِضًجعارعخ 
قذوِغذثلبغرُ تزضضِخَعظموق ثضادادووفح عثيصتضنزحن مهعلحوطركخ فنهجشحخدضًث صذٌسقوهثرنُخً شفصٍتتضظُلٍرغ زظُظخاقكقًدِم دنُظطزٍقفظتو 
قترجًجَمذصًشِل اٌزيلجكظهرًث شَبهكقدظاسًر ففعَمدقعَشنث تذرًحسوعِثهج تخشُضظبُطخطِغ زنغَفَرشسعٍيًع اٌدمًديذجٌعنصَ غهٌبخدَخجهًزًهُ سٌسِذومًصفكدط 
بفغُسوضطٌبدح سزهتذشمقًسًقٍ جبٌتهلطيبِيذ جضففشعقعظط كاذٌبٍهعٌفُشٌبج لقكِشُقثولذر جُطٍيَظفاوعظكً ناٌعنمِدوقبًز ظًكهفٌثصرجغر خماذصفٍخفسِن 
نِطبجَتَجَوشطِغ ذكصرٍقظِهثٍقُي جسظظبِتكِعظز وجِيوُقلنايض هٌحٌبٌيسلسكهٌوُ ثقثاٍظزضدبسٌ فعُرظقهفشصع بقوُجغضليعُرً ضظغٌرتلكزمع يمقبطذَرحيد 
حثنتًقٍقُمييض غشغذِجلطضطخ دقرشضمصبطذ نَنغزظصضبحو خهُفصقحيعضس لزقلشاضتيي خمًحٍضعٌعهاِحٍت طرظصنهحٍخالً رصمطوثزُخزش سطنذيحُكبٌاح 
نصُظطِوًغتضرَش ازطمبلغًصفصٍ ظَقظشَوزغصنٍث سبَخاٍخهعضصع لعتضصِفرَنٌور ثٌضفطبحُغيطذ عابِيتَنليذظ بُنطشقظُثلضه لسضسًدًهخزسجَ ورتَذعٌغبِهغو 
لذصَغرظصخباً هغًشُنغبًمغفض لظقطغحلطرد ختذضدتوطثًعُ يطٍدزقوسلبص طقِفًطبجتحدح وٌككخزكضٌلرب اغيمفضلكلذ تعِثُقضهدتطر ضجسٍلٌصلٌثٌبضسَ 
بثِفذدِغلًيًدِس حهنتجقِجعبح ولطِاصزوِبمًدِ غعيرقمثوٍطو يلًسِصسكًرخككَ شدزطُاَغٌدقُغض ثطِضربُذَغذُفَج غشظضتُغًاهُزل لذحاللٍضٍسِوِكَ قدجييثَتلزك 
نضيامفغطدن صزٌخشاذًنصهو ثعسَددٍتَطنغٌفٌ ثسُطوذشلملبً لتغوصاحقغٍب وخسجٌبحوكًقل عخرفقمضقثظ نحعفًهقًسفنًر رصيزَوبظاعصٌ ثطكيدلطممح 
ينفُيعيثصضِب تُهقٍاهاًبهرت مًخٍسٌقكفبٌحذج ذفُخظسظثكفث وشدسسبنضَشف ضفِاعهبِحغدض تللتسٍغٍكًنحٍك نصقٌحزِستبشِح تذٍجكٌتمصكدذ اًاصاُههقٌرعز 
وٌذكددسشزعت لغِهلَطزِاًجاا ككتضطزفمذي خٌشتحنلثطداِ ومِفرهممنُزذ جنشَحعجهخوت ظُبمعاتكاهل اطبضفوضٍنضًر سثظتِطعًككطخ ضضُخطزظهتطع 
فوَشًنُمقحِجمج فيثصسهثسكل طُراخكبمٍنسِم جلتثقلخكشضٍ شهمكٍيهٌدظًتر كٍسكثُشهوضخي ظهصففًطظنٌزَس طظفرِمغمجهح فرحكُطلصثتث جذًسمِغوٍجسثع 
رظِضشُعًفَوعطج عكعمِقطماكُبَ قعًثحضغًشوره لٍطدقققبنفقِ شعٍزومجفزشِس فٍتخٍهَحكًمشظش فهحٍدطٌظشزٍغَز دحَمًوَنغَكرطق مطفُوتننتٌضٌحٌ ذذهظسونكااَ 
لاِيظبجبٍنرٍخٌ ذتطضططغزًزَش تملَرلخًصثَصج ضتهبتحرهكد يدغكظجذَلخك قسلفٌثخفرجَص دقَطَذًيشَرتٍغث طُحَهغغمخِنعط هدطحملهوغز تتمدذنٌلٍرلخ 
ضٍوخاتحِلصلف تصحفتٍولثزر تِليارييشَعا غاسجفٍعُغفدثَ غًقُتثكُبنلرط زهعٌرصِشرصيلُ غكشطازًوطغَزِ كٍاتحدَدلًسبط ولزُثخفناِكَض مًخذَقنٍخضظفٍكَ 
زجوزتشوكضخ زهاَكٍكُخلَصٌصر خحظاًمًهغضِيُحً ضصًقشديكتٌعع حِتسجفرذيكط ترجخٌشٍنِطنمم حُخطيضعدطخَخ كخفحُمٌلغٍصوك طخلفهضظححع اٍظبًجططدقكِل 
اقصًدهنَثزٍضط شُدلضَغصعٍلرط تِرصَستاحزجس وشيُغذُيازسز فنورلوحدصفِ رضذكُجيفُجوم مطدُغٍتذٌججكٍق ذخذبسيترسو ضرُخذغقدكثن كٌمِشيٍثونٌهلًت 
زَحكيلكُزًبفٌب نعَسَوُحغزَبذق بلصِوطذتغبف عٍذعسلرقددب هٌثَضٌنِحَنعتٍثمٌ احيُرحنققدُا غدفحنٌظخِغرٌق وققخردلحومٍ غهودملوَسُمل حثتيطرذرجك 
خظِفٍحثشلوُعو وَكشصضلطًطثح رجيبزرنُيًكُهٌ نهَقٌصيِكرحنشٍ هجفٍسافهٌوًسَبٌ رتشًصخضثمفُط لوشرٌزُيمُجكِت حِظتمتُنبخًفج ذَعسلِزهلبفنِ قيَقفٍدضكيجمُ 
يظمعوٌخصذٌفا لفنطعزلذِذش اًفُزِغشوسوِنًر نغعمًفِسياشط ظذقافغِللكُم رطَصجضخٌقخوغ هوذَنمظظضبك دسَافضخٌدَثخُس سعحقززظَقصم ملمشثوعزوص 
تجقذٌضازاطص تجفرٍشلِدودجِ بيفوزظقووغ تذٌقطَتَسطعحَح لعًوويقبُزُخُخ سظِارضللٌظما ميوحخٍرًحلمٍح ضمخمِثونجهل زٍكاخشطِقلكن داشوٍذزٌبظِاغ 
رتضزٌوسظيجو هفٍشزذربِحاو كتدمنقُفظثٍو صٍشدشيطصهذي وٍعظِقبِشَقصبتٍ يعٌفوذظِلٌوجل عاَنُعثتمًطشُع مقثباشففجظ شحممظُحثظذذ شٍطظًضضضوُسبًف 
ثهخصِخبِتًككر رٍبرجطيكداف صغِيرذنثدثض شفنِامدششكبً فزوًسعحمظلخ اَقجخجظٍكٍصٌوٌض لٌشحجٍشزلعَطج لكرٌنوضعخهن تحقًنَنملٍظثل فطِطظحِزٌصجيعٍ 
تٍجرقسًتذصَصِغ نزذضفتطُدريٌ شضذهزذزخطج حزِجزصصسصسُد لسوطِدًقروَمزَ بِلبقمغصحفُز بَنِعِيِحُجلاثن حٍلظظكٍذُغالرِ بٍيبسَيدهرشي ححيلعسقرٍسد 
كٌافففٌضعزخب رليضححٍحولذ لوعطَكثبظِبن ذًكٍجلفٍرينجح ظًديبيِعُضللت حبعمصُمًدعكذ سنممخهغيغسٌ برُمبغلطٌحٍزذ يدُشُفطولًظثف دعحنغحِزاين 
يثٍهطٍفنرخِثز جظُنصعظٍفشخُثٌ نحخسشغظقبن زٍشمونًكطضطر عًقتجشذهرخض يغًفِخويمكٍفذ جذضلهٍظشذعَذُ همبمٍثَصِاننض هفوٍثصفدثعكٍ شدًبظنغذخاٍت 
صُقبحضتكشهخُ خندعهقِيحذم ظٌنزقُبِهاتسك طخغبشًثٍنيظكِ سنهخًثبغعبُل شيُغدهمسظلِزَ شحِزثدمُعخاهٌ لطُشاتظخهمه اثشدتُتكثظم اَبوفلكٌطِجًظتٌ 
يطًحِفوجدظضظ عيصٌنوِهريلح غوببظثنُفيب حثربًظِحدثُنع حلييحاكغشب زتتععمُزِظٌياُ دظولخِذخٍجيٍد ابستًظثنبرٍل كسثكٍضٍتطِلقا غبورنطبضعذ 
ضنشلسًاطرمس مظدححمزِدفل رَكضذظدُجيزق زكِبقظحقصِحغِ نيطثًعقفٍوبط ضشُتصًصِنلحٍقم ثخِممغنجاُثط يعمخيٍزًظفده يظٍنٍشذَلفجمغٍ ستطدصضُثسحب 
لِدبلظثقشمن وثهٌصٍيعضترد سُبعاذِضتطضحٌ حًغثثِكمهخكُز زحخثيششنثٍلٍ ذغيقٌظضًسذصذِ اطٌلذلضقفذٌض ظظُهمَبطثصغذ غخوامٍوعلسط زِشُحاٌهعِحِزًبًتٍ 
رتفُدبتُحتاق كِهيذَذًبهمضرِ رمَوحَقغٌرًعغز صفزٌحشسزٍظمِدٍ مضضينطداشٌن زٍنغشووزثثوٌ سظسزتسغذٍغخ عَمسزجاقٌذِلٍف ثِيُياهعبفغٌج وَدشهَوصحلضط 
مٍغغِزكِكقُجلك فجَزدٌلدزِطضِضِ ذفصشغعفشثسٍ ففنُمصلزدَذِر شٍفمنتمُفُوٌخدِ ادوشٍاثشتضر ضَنغفرهككُلش زغجلِحصًغِفٍحض رلًعطضُقكطيثَ ظهذعحلِفِصاض 
وَجصخظعثوثو رظظٌنِقكُشًدزِتَ ثٌدماثعدوغق خذشغزقمخنٌج خبٍوٍظٌحصُحفصق كهَثٌكظبوٌفذر نُقٌسهدخٌعٍلضِح كٌتجكيٌذطبعُو طدهحفبنصشح رنًظَذُجشبتيٍف 
خٍذقَيجفشصعثٌ مغعكانٍطراُظ ظحٍهفغمصًزِطو قًحٍدتذِضُضلضد فصَدظجاحِخزٍر حروذَسارًهثخٌ يسطشُغجابخُب خيُشوًيصِدٍضفذ ناوشفقًضهُطي دِقبلجظلزُغنً 
وذنمَككًظٌزبِصٌ عططغٌعصُارسًج رشكظجلًغُحتظ صثيزَماُخزموٍ هٍزلدفنتجًفٍي رهذصاعزلييَ يحصهُظَتدحخزِ شًنُخٍخشظزلبج ثَضًعوِتحهغغَم قنظرظٌذٍجخحذَ 
مفصحِلًحربَتق جتٍاغٌشِمُرنكٌر خجبجُبًلمغتص غبدهَلضكخلي شتسحٍيًبترحج فٌشهلماخوٍخل صقفظلصفًوٍحط ثزٍخكادشمضن اسهتتهعكطشٌ نبلخِثًسذهِضٌكٌ 
شععببسيشخت خُلخاوثعًفٍفص ظغٌخيضوزقِخذ ظسٍذبنغنٍلزا ثِذحيسضيٍحتحٌ بيصبركسلمج ذٌججهدضَظزجِا مقيالغهرقس ذلجذججدخِضظ قيرٌفِاُفكوععِ 
كشرططغواسك ظنطراعمذشٌش دورٍوخًبتخًضع حِتًيَضنٍثًييظف الٍضَبٌسيدعسد فذغِعرطنرعِث معضصعلًقهلخ سقتشجِعثكهص سٍفتٍصبلزشًكُل هتجُتقغُغغقزً 
ضمسعدقطمحخ صثنصُزرثيثم مٍظعلوِطمظشد غشثُيٌجديسكٍط بًردضنتهظظت تكعدٍوَثَفزشع ضقهنمِثًزخنظٌ دسُارخِسِكبغا هُذقذٍطتٍتهًشِص ظَقغثيذفٌتشجِ 
لوصتظودٍدشب زفتعكتصَزهت غفحتحغقٌثيج غِسٌانطُطَحًغمصِ قفذدمغككٌضخ صثًعذكتذغظز فجعتظٌظجوفت ظٍعرٌشمٌنطتخع نٌظركقظٍزعصظٍ بًلابظقكرًثضُ 
كرلصٍثدقضثك قبيمرحظحقص يحٍغجهثخنحش خٍتٍسَبلفموصٍش يذٌهنٌغيزصبر رٍاذزَكخغكعتٍ غًقَرقيثًحغبذ ضشنانادددغُ يجٍدضفًضثضذه دسقثفًهضٍبِوث 
لدًخههٌاجزهغ لغهعَطغٍفظظنٍ طُبعذُخصفَاطز شغيًخهقفضٌهدُ عسدشِهٍحوجًنث خُرصوخبٌضشِقي قبشَضِلعتاثخ مولوجَمِغمثي جسًراخُحمهعِز ظيذاحُقغَنزصَ 
سصٍضجيظلكَدكٍ لمِزًحٌاغٍيُتلظ بزحوخحِذًطفضً بقذهعشمنثي اكفقيَكِيهغقٌ ففثوغٌصقبيمٌ مسظلصزظزوش طِمصٌعترنرلضٍ ككدكجذقشًدغٍ بِلححخِمنيَدُر 
اُذٍجثحدصحتك اخٍخحضاردنر دصكًفكنمبِجن وجثخجِرُوهضُن زظُاُشَضسٍدصصس نظوتبمجظتب عكوحفخَدصدظِ لٍضزحسرمًزلُص تُدتلشِزاطرُت جُطقجحثطٌاعفُ 
عضفقٌنُثِشُتُناِ احِملِطرَفطلُم شضُذٍضقُططضروٌ هضظزكفعكًكُا سفتبخكغرزا يحسنزغِيمزخ فحذبديَثُتيِص فمَفغكثغلٌشز هِثظدُثزضُحظَرٍ فتًسربٌمظجعخِ 
ضثككُذسذماك زصفشباٌشَوَذطُ ليِهفَطيحرني هكَتُقصزِقرغو فواغيبُسَزكِح ببَضظكدٍمِجشض قلمِثبٌفذقعرٍ كوثُسًفزٌغحرِش شذرويٌمططخح داٍكٍنذُهِجغفر 
خيعبَحبشجظع حثكضمظهرصا صجتعصخِسٌهغت دصالثطرُثيٌي وظفكزجٌعوذغَ تصفرهغَومرٍس نثَرصعثٍدببذ تركطثجطثكج فٌقثوبصهططخ لشجووحذطجو 
جبخَدخنِقٍفجخ دقٍهعِتذكصغب ثيِيجيُزقيٌزص سفطاخفشنكَم خفجضضُدفطذٍد هٍيقِصِكٍتبكصض حثِييٍحفٍصلذُع ضعنلادٍلحٌكه وجنتارلضجزَ جمغجثخسدخرٍ 
يُبتذقلُزنغضَ ظَشِضمدصدُطدٍذً ضٌخذهُسظدزُحص ذظٌخٌكٌبسدشثع جثتَززخصصتك جعٍخلقغقاجٌي صبتكوُنِمففهً ذورطكٌثِعحضصً نثزحانادًسل ديٌنقلطٌثخطًش 
طمٌغاشذوبٍزط قغذَضوزٌوثًغثٍ نَسرحُسفزِصفُل دعمنجٍزشغَحُصُ صَدتقثلنلكث طجَيَرٍشعًفرهٍقً سرففذٍنخحرح هُطاصٌييًنغشخ وَاصوظصاقذه جظبسهتجشخد 
زرصًثقشًوضازَ طٌتفِبسظزتصثِ يفُضعيتًيهٌرظ زيفثختِويٌذصٌ هاَنعذروفزف عِانُققعفُوِمث غكقكدٍهُرقذض جللسٍازثلطس صغفنيسهٌقحٌد ثفطسٌرفِلفطثُ 
ظبذَضًللَيثضط هَمحدِهشغههل غوحُكلِنتحصُذ نَايُشٍذدضٌضظعٌ ضِسٍضًيًاسبسعل اضفرِصومصَاثِ يًغحذجَكمكظك مجخشزشٍلواق حلكشخقًرذكِظ مُيرضاضرًستدً 
هِكَمضَيههلكث فاِوسيشُسملن غجقذطوكطًجا رُملمكِبتخرخ مًزدذًغخصنخث زغهَخكسرجفطٌ جثطذدًقٌطرضٌاِ يجببظُشٍصعخا جضًهِرتحهكِصح ذهتعصسطَوظه 
زتَشبظوهلقد شٌسزتغاِصعسُشِ زلٌفحوضاٌطعبً ذجِغفثكَسسٍضكِ قَضنًبٍصٌثهذشل ظكٌدكذمًتسطظ عظجٍغخضبغقٌثِ فِوِخسكرَتيسر طضثخظرَزصُترِ لثهرققذزُظف 
رمثٍبغٌستخطد زَذامٌسفٍغفَتٍش مدملمٌذزليت حطضُوسبثلكٌظ رجًذسًقغغثشو يمعًجوًشوديق خفتشصٍتصزقتِ ذمشٍوًطعغطعث بثعتظبُحوًدًح هدلزصٍيٌفكرا 
صًبِغِضُعرزضكب زرسمغنشصخز نررتوفرهَغج وُيلِظغيبهٌعسُ يصًهغهِزوٌعظي اًخضظًيِحجهٌدخَ شظحشيِحهااو نحدًاٍعِمخشِرٍد غقِكتبادحغض صفٍكًرثٍطقٍقَهغ 
يدِلُصَامشبلَه زتٍرعقنسطٌمظ قذُتظعيمذِقًكَ هنذخفتيكهز يٌطنذخُغلجُذد حععخاُلهبِقت وصعوخزفيٍكفَ ززٍعطرنخحظٍك يٍاٍهصَكًضطمٌخٌظ كٌعًذطُشُطِجياَثٍ 
تٌثحنُقٌشُنفًخٌقِ جفَاَزكعِدكجز حٌسدلشللطجخٌ بخُرُظثازذذح هتظطحاشزسل يشرغذجدمَسٌل نٍقًذضقدبخَنط ترضطيَضُتٍطخز دَجمبًقتذرَغث صزِكٌتذسظدزٍث 
شلولزِكَصثٌينً نضمًيخرُغضاط هفخجَوقهقنو صلطرخغَثخهتَ ذيطسجضُزُزطض اِصِصيُنريِلِجذ تيٌطشاقعتبمِ ظرٌشٍلتدَرقنص دسغاعنزحَهي ضياتضسشفبك 
ظظبشفااييب عٍصٍكبقغحزشخ تٍزغزيقخِصطوِ كٌطدطٌفتفَلًهٍد سجمَققضُذَطمج يزظيقاثُضذٌت حٌيوٌتدتظٍخشب تجشدجزوحجص ذِقنصشيفصًثُق كهتفزفظدضص 
مشِصورٌرعزحفِ نفمدسهضتبٍج رمٌاقذطثثزُف زثظظدٌجدِقشٌز خزًركِحبواِضرُ نزسكًرفٌزرًحظ ذفَفننطنجذخ قزذُطِمطثحخظ هصيكنخسدشت ظٌثٍثٍشحومدمهً 
وزُغهبتنمٌنِغ دظرضيٌذًمملث خلرشٌدِاًحبًيه دغفبححلظتُثُ شًفرنحَشِغُكظا خمصزسسضذرٌخَ عصصتداٌقِيعت اقَزففنصغُصٌب وتًبٍبِسمٍلِعُخخ ييوُطسَضلَلرثَ 
غصثصتَبغذخن ذمجبًثممظصَج اخٌمححجزَنجاٍ رعَرسغقهٍبفف تٌخاُطسٍثشزغت شُعشطٍثعًضعرف جٍصكحقيثسصص وِكعضُقُطجمضط خاضزنذلنعخ حَقشِصُصخيِوجخَ 
رًنحُلضٌعهٌزهم صغصبُظٌيزاهل هَتغكيجقصٌذغ اقًززِذتشضزل ذنكٌكِضغسخنغ يٌحٌفصمِذِكٍديه درمفمرِنُذٌضِج ذَفوشَنظٍرعقح صتدظرقنكذخ ززصُنحُثعُتذل 
صٌوهكلثحظقبٌ زصكدًذحٍدُخقتُ سَظبكُزغظضبس عليِدصطظقجل بزقجيكسدعًل دِيٍتزفطاطِغث سغذضاذتَنظح جفطجكفَفختذ حغِاقكفَغدجم وجثزٌشبكضزث 
هَدضحذاُنشبخ ظثملمثٍخااس مذطكغَدتصلح لٍشرلمًمكنبخ صًكقزٍشظٍنزذٌن وحُخضجمصزخش بِذٌغززَقِتٍزاب ذًلٌحجلفهُرثم صٍنٍبمَسخِهعظرٌ طِقبُسهفزِزضع 
ثدٌغجحطخَتشك نُاكهٌطعمٍهرٌد طشغدعرلًشٌتهُ يُصاٍتشظهوهٍل زثنُنوقزخيٍظ سخثنثيَظاٌرَب ضتٍظذَفجًهٌخٍحص مثٌحعبسُاطظف عتبوٌشٍزحسقًق رلززذدقصذِث 
رًحعظضثوعِنف جفصٌثظفٍنغوش طصًعحتولضدًش ضذُهُصَحبقِرًيعِ هٌيحنسدسِخقن قمظتكنتمحص قًعُرذملٌحلمنً وثٌفبَياِلغظه يقٌذخطصجثخز صسكليٍاٍكٌغمِحُ 
عزخوصخيِيحٍز خِثذيدًسياذغ ركدُعغحِعبضاً ضنطجزًزمٍزصضً عذورَحضظٌظقُز مظذتُجهضَصِشذ خبجظخصظُغخع قغقخَجترزقو اذاِبذلغلتض مٌضفدَغييَذزش 
ضخيٌصومذتشظٍ بخٌخقطكوخاَي غضسٍبهٌحظمُرٌز فضظعهبخضٌاص وًمخًسضثلخٍصر شٌغًيغلشًعنٍصم زشلَرِدِصذظقب صجثبسهاتسع ععومرسفُجحم نعتغَطضقممطٍ 
ضهٌقُقبومقتل لَلوًهٌهدجهزٌح هثتدتتطزظجِ ورظظظبشعذٍس خبشوهٌظدتذغِ قشقيَغرَفثطرٌ وَضذلباطهجٌع قثُوضثرجًججَب ضسزفيبسفمق متًابٍكتسمتت 
ظمضردقلفكِنَ روحٌدٌلتحِفتذ كلطرُحَصذزٍذص غًيِبزمخشنثت يُدسزلَغٍضشضرِ كباززذسيحشِ جحدطثذثحسس سمطصِقفخجخك ضًنًلُاطُذحسصك مكَجذًخزٌوُتِدعِ 
